metrist |A maker of verses. Bale. Spenser was no mere metrist, but a great composer. Lowell.
midst |1. The interior or central part or place; the middle; -- used chiefly in the objective case after in; as, in the midst of the forest. And when the devil had thrown him in the midst, he came out of him. Luke iv. 35. There is nothing... in the midst [of the play] which might not have been placed in the beginning. Dryden. 2. Hence, figuratively, the condition of being surrounded or beset; the press; the burden; as, in the midst of official duties; in the midst of secular affairs. Note: The expressions in our midst, in their midst, etc., are avoided by some good writers, the forms in the midst of us, in the midst of them, etc., being preferred. Syn. -- Midst, Middle. Midst in present usage commonly denotes a part or place surrounded on enveloped by or among other parts or objects (see Amidst); while middle is used of the center of length, or surface, or of a solid, etc. We say in the midst of a thicket; in the middle of a line, or the middle of a room; in the midst of darkness; in the middle of the night.\n\nIn the midst of; amidst. Shak.\n\nIn the middle. [R.] Milton.
midsummer |The middle of summer. Shak. Midsummer daisy (Bot.), the oxeye daisy.
midward |Situated in the middle.\n\nIn or toward the midst.
midway |The middle of the way or distance; a middle way or course. Shak. Paths indirect, or in the midway faint. Milton.\n\nBeing in the middle of the way or distance; as, the midway air. Shak.\n\nIn the middle of the way or distance; half way. \"She met his glance midway.\" Dryden.
midweek |The middle of the week. Also used adjectively.
midwife |A woman who assists other women in childbirth; a female practitioner of the obstetric art.\n\nTo assist in childbirth.\n\nTo perform the office of midwife.
midwifery |1. The art or practice of assisting women in childbirth; obstetrics. 2. Assistance at childbirth; help or coöperation in production.
midwinter |The middle of winter. Dryden.
midwive |To midwife. [Obs.]
mien |Aspect; air; manner; demeanor; carriage; bearing. Vice is a monster of so frightful mien, As, to be hated, needs but to be seen. Pope.
miff |A petty falling out; a tiff; a quarrel; offense. Fielding.\n\nTo offend slightly. [Colloq.]
might |imp. of May. Etym: [AS. meahte, mihte.]\n\nForce or power of any kind, whether of body or mind; energy or intensity of purpose, feeling, or action; means or resources to effect an object; strength; force; power; ability; capacity. What so strong, But wanting rest, will also want of might Spenser. Thou shalt love the Lord thy God with all thine heart, and with all thy soul, and with all thy might. Deut. vi. 5. With might and main. See under 2d Main.
mightful |Mighty. [Obs.] Shak.
mightily |1. In a mighty manner; with might; with great earnestness; vigorously; powerfully. Whereunto I also labor, striving according to his working, which worketh in me mightily. Col. i. 29. 2. To a great degree; very much. Practical jokes amused us mightily. Hawthorne.
mightiness |1. The quality of being mighty; possession of might; power; greatness; high dignity. How soon this mightiness meets misery. Shak. 2. Highness; excellency; -- with a possessive pronoun, a title of dignity; as, their high mightinesses.
mightless |Without; weak. [Obs.]
mighty |1. Possessing might; having great power or authority. Wise in heart, and mighty in strength. Job ix. 4. 2. Accomplished by might; hence, extraordinary; wonderful. \"His mighty works.\" Matt. xi. 20. 3. Denoting and extraordinary degree or quality in respect of size, character, importance, consequences, etc. \"A mighty famine.\" Luke xv. 14. \"Giants of mighty bone.\" Milton. Mighty was their fuss about little matters. Hawthorne.\n\nA warrior of great force and courage. [R. & Obs.] 1 Chron. xi. 12.\n\nIn a great degree; very. [Colloq.] \"He was mighty methodical.\" Jeffrey. We have a mighty pleasant garden. Doddridge.
migniard |Soft; dainty. [Obs.] B. Jonson.
migniardise |Delicate fondling. [Obs.] B. Jonson.
mignon |See 3d Minion.\n\nTo flatter. [R. & Obs.] Danie
mignonette |A plant (Reseda odorata) having greenish flowers with orange- colored stamens, and exhaling a delicious fragrance. In Africa it is a low shrub, but further north it is usually an annual herb. Mignonette pepper, coarse pepper.
migraine |Same as Megrim. -- Mi*grain\"ous, a.
migrant |Migratory. Sir T. Browne. -- n.  A migratory bird or other animal.
migrate |1. To remove from one country or region to another, with a view to residence; to change one's place of residence; to remove; as, the Moors who migrated from Africa into Spain; to migrate to the West. 2. To pass periodically from one region or climate to another for feeding or breeding; -- said of certain birds, fishes, and quadrupeds.
migration |The act of migrating.
migratory |1. Removing regularly or occasionally from one region or climate to another; as, migratory birds. 2. Hence, roving; wandering; nomad; as, migratory habits; a migratory life. Migratory locust (Zoöl.) See Locust. -- Migratory thrush (Zoöl.), the American robin. See Robin.
mikado |The popular designation of the hereditary sovereign of Japan.
mikmaks |Same as Micmacs.
milady |Lit., my lady; hence (as used on the Continent), an English noblewoman or gentlewoman.
milage |Same as Mileage.
milanese |Of or pertaining to Milan in Italy, or to its inhabitants. -- n. sing. & pl.  A native or inhabitant of Milan; people of Milan.
milch |1. Giving milk; -- now applied only to beasts. \"Milch camels.\" Gen. xxxii. \"Milch kine.\" Shak. 2. Tender; pitiful; weeping. [Obs.] Shak.
mild |Gentle; pleasant; kind; soft; bland; clement; hence, moderate in degree or quality; -- the opposite of harsh, severe, irritating, violent, disagreeable, etc.; -- applied to persons and things; as, a mild disposition; a mild eye; a mild air; a mild medicine; a mild insanity. The rosy morn resigns her light And milder glory to the noon. Waller. Adore him as a mild and merciful Being. Rogers. Mild, or Low, steel, steel that has but little carbon in it and is not readily hardened. Syn. -- Soft; gentle; bland; calm; tranquil; soothing; pleasant; placid; meek; kind; tender; indulgent; clement; mollifying; lenitive; assuasive. See Gentle.
milden |To make mild, or milder. Lowell.
mildew |A growth of minute powdery or webby fungi, whitish or of different colors, found on various diseased or decaying substances.\n\nTo taint with mildew. He... mildews the white wheat. Shak.\n\nTo become tainted with mildew.
mildly |In a mild manner.
mildness |The quality or state of being mild; as, mildness of temper; the mildness of the winter.
mile |A certain measure of distance, being equivalent in England and the United States to 320 poles or rods, or 5,280 feet. Note: The distance called a mile varies greatly in different countries. Its length in yards is, in Norway, 12,182; in Brunswick, 11,816; in Sweden, 11,660; in Hungary, 9,139; in Switzerland, 8,548; in Austria, 8,297; in Prussia, 8,238; in Poland, 8,100; in Italy, 2,025; in England and the United States, 1,760; in Spain, 1,552; in the Netherlands, 1,094. Geographical, or Nautical mile, one sixtieth of a degree of a great circle of the earth, or 6080.27 feet. -- Mile run. Same as Train mile. See under Train. -- Roman mile, a thousand paces, equal to 1,614 yards English measure. -- Statute mile, a mile conforming to statute, that is, in England and the United States, a mile of 5,280 feet, as distinguished from any other mile.
mileage |1. An allowance for traveling expenses at a certain rate per mile. 2. Aggregate length or distance in miles; esp., the sum of lengths of tracks or wires of a railroad company, telegraph company, etc. [Written also milage.] Constructive mileage, a mileage allowed for journeys supposed to be made, but not actually made. Bartlett.
milepost |A post, or one of a series of posts, set up to indicate spaces of a mile each or the distance in miles from a given place.
milesian |1. (Anc. Geog.)  Of or pertaining to Miletus, a city of Asia Minor, or to its inhabitants. 2. (Irish Legendary Hist.)  Descended from King Milesius of Spain, whose two sons are said to have conquered Ireland about 1300 b. c.; or pertaining to the descendants of King Milesius; hence, Irish.\n\n1. A native or inhabitant of Miletus. 2. A native or inhabitant of Ireland.
milestone |A stone serving the same purpose as a milepost.
milfoil |A common composite herb (Achillea Millefolium) with white flowers and finely dissected leaves; yarrow. Water milfoil (Bot.), an aquatic herb with dissected leaves (Myriophyllum).
miliaria |A fever accompanied by an eruption of small, isolated, red pimples, resembling a millet seed in form or size; miliary fever.
miliary |1. Like millet seeds; as, a miliary eruption. 2. (Med.)  Accompanied with an eruption like millet seeds; as, a miliary fever. 3. (Zoöl.)  Small and numerous; as, the miliary tubercles of Echini.\n\nOne of the small tubercles of Echini.
milice |Militia. [Obs.]
milieu |Environment. The intellectual and moral milieu created by multitudes of self- centered, cultivated personalities. J. A. Symonds. It is one of the great outstanding facts of his progressive relation to the elements of his social milieu. J. M. Baldwin.
miliola |A genus of Foraminifera, having a porcelanous shell with several longitudinal chambers.
miliolite |A fossil shell of, or similar to, the genus Miliola.\n\nThe same Milliolitic. Miliolite limestone (Geol.), a building stone, one of the group of the Paris basin, almost entirely made up of many-chambered microscopic shells.
miliolitic |Of or pertaining to the genus Miliola; containing miliolites.
militancy |1. The state of being militant; warfare. 2. A military spirit or system; militarism. H. Spencer.
militant |Engaged in warfare; fighting; combating; serving as a soldier. -- Mil\"i*tant*ly, adv. At which command the powers militant... Moved on in silence. Milton. Church militant, the Christian church on earth, which is supposed to be engaged in a constant warfare against its enemies, and is thus distinguished from the church triumphant, in heaven.
militar |Military. [Obs.] Bacon.
militarily |In a military manner.
militarism |1. A military state or condition; reliance on military force in administering government; a military system. 2. The spirit and traditions of military life. H. Spencer.
militarist |A military man. [Obs.] Shak.
military |1. Of or pertaining to soldiers, to arms, or to war; belonging to, engaged in, or appropriate to, the affairs of war; as, a military parade; military discipline; military bravery; military conduct; military renown. Nor do I, as an enemy to peace, Troop in the throngs of military men. Shak. 2. Performed or made by soldiers; as, a military election; a military expedition. Bacon. Military law. See Martial law, under Martial. -- Military order. (a) A command proceeding from a military superior. (b) An association of military persons under a bond of certain peculiar rules; especially, such an association of knights in the Middle Ages, or a body in modern times taking a similar form, membership of which confers some distinction. -- Military tenure, tenure of land, on condition of performing military service.\n\nThe whole body of soldiers; soldiery; militia; troops; the army.
militate |To make war; to fight; to contend; -- usually followed by against and with. These are great questions, where great names militate against each other. Burke. The invisible powers of heaven seemed to militate on the side of the pious emperor. Gibbon.
militia |1. In the widest sense, the whole military force of a nation, including both those engaged in military service as a business, and those competent and available for such service; specifically, the body of citizens enrolled for military instruction and discipline, but not subject to be called into actual service except in emergencies. The king's captains and soldiers fight his battles, and yet... the power of the militia is he. Jer. Taylor. 2. Military service; warfare. [Obs.] Baxter.
militiaman |One who belongs to the militia.
militiate |To carry on, or prepare for, war. [Obs.] Walpole.
milk |1. (Physiol.)  A white fluid secreted by the mammary glands of female mammals for the nourishment of their young, consisting of minute globules of fat suspended in a solution of casein, albumin, milk sugar, and inorganic salts. \"White as morne milk.\" Chaucer. 2. (Bot.)  A kind of juice or sap, usually white in color, found in certain plants; latex. See Latex. 3. An emulsion made by bruising seeds; as, the milk of almonds, produced by pounding almonds with sugar and water. 4. (Zoöl.)  The ripe, undischarged spat of an oyster. Condensed milk. See under Condense, v. t. -- Milk crust (Med.), vesicular eczema occurring on the face and scalp of nursing infants. See Eczema. -- Milk fever. (a) (Med.) A fever which accompanies or precedes the first lactation. It is usually transitory. (b) (Vet. Surg.) A form puerperal peritonitis in cattle; also, a variety of meningitis occurring in cows after calving. -- Milk glass, glass having a milky appearance. -- Milk knot (Med.), a hard lump forming in the breast of a nursing woman, due to obstruction to the flow of milk and congestion of the mammary glands. -- Milk leg (Med.), a swollen condition of the leg, usually in puerperal women, caused by an inflammation of veins, and characterized by a white appearance occasioned by an accumulation of serum and sometimes of pus in the cellular tissue. -- Milk meats, food made from milk, as butter and cheese. [Obs.] Bailey. -- Milk mirror. Same as Escutcheon, 2. -- Milk molar (Anat.), one of the deciduous molar teeth which are shed and replaced by the premolars. -- Milk of lime (Chem.), a watery emulsion of calcium hydrate, produced by macerating quicklime in water. -- Milk parsley (Bot.), an umbelliferous plant (Peucedanum palustre) of Europe and Asia, having a milky juice. -- Milk pea (Bot.), a genus (Galactia) of leguminous and, usually, twining plants. -- Milk sickness (Med.), a peculiar malignant disease, occurring in some parts of the Western United States, and affecting certain kinds of farm stock (esp. cows), and persons who make use of the meat or dairy products of infected cattle. Its chief symptoms in man are uncontrollable vomiting, obstinate constipation, pain, and muscular tremors. Its origin in cattle has been variously ascribed to the presence of certain plants in their food, and to polluted drinking water. -- Milk snake (Zoöl.), a harmless American snake (Ophibolus triangulus, or O. eximius). It is variously marked with white, gray, and red. Called also milk adder, chicken snake, house snake, etc. -- Milk sugar. (Physiol. Chem.) See Lactose, and Sugar of milk (below). -- Milk thistle (Bot.), an esculent European thistle (Silybum marianum), having the veins of its leaves of a milky whiteness. -- Milk thrush. (Med.) See Thrush. -- Milk tooth (Anat.), one of the temporary first set of teeth in young mammals; in man there are twenty. -- Milk tree (Bot.), a tree yielding a milky juice, as the cow tree of South America (Brosimum Galactodendron), and the Euphorbia balsamifera of the Canaries, the milk of both of which is wholesome food. -- Milk vessel (Bot.), a special cell in the inner bark of a plant, or a series of cells, in which the milky juice is contained. See Latex. -- Rock milk. See Agaric mineral, under Agaric. -- Sugar of milk. The sugar characteristic of milk; a hard white crystalline slightly sweet substance obtained by evaporation of the whey of milk. It is used in pellets and powder as a vehicle for homeopathic medicines, and as an article of diet. See Lactose.\n\n1. To draw or press milk from the breasts or udder of, by the hand or mouth; to withdraw the milk of. \"Milking the kine.\" Gay. I have given suck, and know How tender 't is to love the babe that milks me. Shak. 2. To draw from the breasts or udder; to extract, as milk; as, to milk wholesome milk from healthy cows. 3. To draw anything from, as if by milking; to compel to yield profit or advantage; to plunder. Tyndale. They [the lawyers] milk an unfortunate estate as regularly as a dairyman does his stock. London Spectator. To milk the street, to squeeze the smaller operators in stocks and extract a profit from them, by alternately raising and depressing prices within a short range; -- said of the large dealers. [Cant] -- To milk a telegram, to use for one's own advantage the contents of a telegram belonging to another person. [Cant]\n\nTo draw or to yield milk.
milk sickness |A peculiar malignant disease, occurring in parts of the western United States, and affecting certain kinds of farm stock (esp. cows), and persons using the meat or dairy products of infected cattle. Its chief symptoms in man are uncontrollable vomiting, obstinate constipation, pain, and muscular tremors. Its origin in cattle has been variously ascribed to the presence of certain plants in their food, and to polluted water.
milk vetch |A leguminous herb (Astragalus glycyphyllos) of Europe and Asia, supposed to increase the secretion of milk in goats. Note: The name is sometimes taken for the whole genus Astragalus, of which there are about two hundred species in North America, and even more elsewhere.
milk-livered |White-livered; cowardly; timorous.
milken |Consisting of milk. [Obs.]
milker |1. One who milks; also, a mechanical apparatus for milking cows. 2. A cow or other animal that gives milk.
milkful |Full of milk; abounding with food. [R.] \"Milkful vales.\" Sylvester.
milkily |In a milky manner.
milkiness |State or quality of being milky.
milkmaid |A woman who milks cows or is employed in the dairy.
milkman |A man who sells milk or delivers is to customers.
milksop |A piece of bread sopped in milk; figuratively, an effeminate or weak-minded person. Shak. To wed a milksop or a coward ape. Chaucer.
milkweed |Any plant of the genera Asclepias and Acerates, abounding in a milky juice, and having its seed attached to a long silky down; silkweed. The name is also applied to several other plants with a milky juice, as to several kinds of spurge.
milkwort |A genus of plants (Polygala) of many species. The common European P. vulgaris was supposed to have the power of producing a flow of milk in nurses. Note: The species of Campanula, or bellflower, are sometimes called milkwort, from their juice.
milky |1. Consisting of, or containing, milk. Pails high foaming with a milky flood. Pope. 2. Like, or somewhat like, milk; whitish and turbid; as, the water is milky. \"Milky juice.\" Arbuthnot. 3. Yielding milk. \"Milky mothers.\" Roscommon. 4. Mild; tame; spiritless. Has friendship such a faint and milky heart Shak. Milky Way. (Astron.) See Galaxy, 1.
mill |A money of account of the United States, having the value of the tenth of a cent, or the thousandth of a dollar.\n\n1. A machine for grinding or commuting any substance, as grain, by rubbing and crushing it between two hard, rough, or intented surfaces; as, a gristmill, a coffee mill; a bone mill. 2. A machine used for expelling the juice, sap, etc., from vegetable tissues by pressure, or by pressure in combination with a grinding, or cutting process; as, a cider mill; a cane mill. 3. A machine for grinding and polishing; as, a lapidary mill. 4. A common name for various machines which produce a manufactured product, or change the form of a raw material by the continuous repetition of some simple action; as, a sawmill; a stamping mill, etc. 5. A building or collection of buildings with machinery by which the processes of manufacturing are carried on; as, a cotton mill; a powder mill; a rolling mill. 6. (Die Sinking)  A hardened steel roller having a design in relief, used for imprinting a reversed copy of the design in a softer metal, as copper. 7. (Mining) (a) An excavation in rock, transverse to the workings, from which material for filling is obtained. (b) A passage underground through which ore is shot. 8. A milling cutter. See Illust. under Milling. 9. A pugilistic. [Cant] R. D. Blackmore. Edge mill, Flint mill, etc. See under Edge, Flint, etc. -- Mill bar (Iron Works), a rough bar rolled or drawn directly from a bloom or puddle bar for conversion into merchant iron in the mill. -- Mill cinder, slag from a puddling furnace. -- Mill head, the head of water employed to turn the wheel of a mill. -- Mill pick, a pick for dressing millstones. -- Mill pond, a pond that supplies the water for a mill. -- Mill race, the canal in which water is conveyed to a mill wheel, or the current of water which drives the wheel. -- Mill tail, the water which flows from a mill wheel after turning it, or the channel in which the water flows. -- Mill tooth, a grinder or molar tooth. -- Mill wheel, the water wheel that drives the machinery of a mill. -- Roller mill, a mill in which flour or meal is made by crushing grain between rollers. -- Stamp mill (Mining), a mill in which ore is crushed by stamps. -- To go through the mill, to experience the suffering or discipline necessary to bring one to a certain degree of knowledge or skill, or to a certain mental state.\n\n1. To reduce to fine particles, or to small pieces, in a mill; to grind; to comminute. 2. To shape, finish, or transform by passing through a machine; specifically, to shape or dress, as metal, by means of a rotary cutter. 3. To make a raised border around the edges of, or to cut fine grooves or indentations across the edges of, as of a coin, or a screw head; also, to stamp in a coining press; to coin. 4. To pass through a fulling mill; to full, as cloth. 5. To beat with the fists. [Cant] Thackeray. 6. To roll into bars, as steel. To mill chocolate, to make it frothy, as by churning.\n\nTo swim under water; -- said of air-breathing creatures.
mill-cake |The incorporated materials for gunpowder, in the form of a dense mass or cake, ready to be subjected to the process of granulation.
mill-sixpence |A milled sixpence; -- the sixpence being one of the first English coins milled (1561).
millboard |A kind of stout pasteboard.
milldam |A dam or mound to obstruct a water course, and raise the water to a height sufficient to turn a mill wheel.
milled |Having been subjected to some process of milling. Milled cloth, cloth that has been beaten in a fulling mill. -- Milled lead, lead rolled into sheets.
millefiore glass |Slender rods or tubes of colored glass fused together and embedded in clear glass; -- used for paperweights and other small articles.
millenarian |Consisting of a thousand years; of or pertaining to the millennium, or to the Millenarians.\n\nOne who believes that Christ will personally reign on earth a thousand years; a Chiliast.
millenarianism |The doctrine of Millenarians.
millenarism |The doctrine of Millenarians.
millenary |Consisting of a thousand; millennial.\n\nThe space of a thousand years; a millennium; also, a Millenarian.\"During that millenary.\" Hare.
millennial |Of or pertaining to the millennium, or to a thousand years; as, a millennial period; millennial happiness.
millennialism |Belief in, or expectation of, the millennium; millenarianism.
millennialist |One who believes that Christ will reign personally on earth a thousand years; a Chiliast; also, a believer in the universal prevalence of Christianity for a long period.
millenniarism |Belief in, or expectation of, the millennium; millenarianism.
millennist |One who believes in the millennium. [Obs.] Johnson.
millennium |A thousand years; especially, thousand years mentioned in the twentieth chapter in the twentieth chapter of Revelation, during which holiness is to be triumphant throughout the world. Some believe that, during this period, Christ will reign on earth in person with his saints.
milleped |A myriapod with many legs, esp. a chilognath, as the galleyworm. [Written also millipede and milliped.]
millepora |A genus of Hydrocorallia, which includes the millipores.
millepore |Any coral of the genus Millepora, having the surface nearly smooth, and perforated with very minute unequal pores, or cells. The animals are hydroids, not Anthozoa. See Hydrocorallia.
milleporite |A fossil millepore.
miller |1. One who keeps or attends a flour mill or gristmill. 2. A milling machine. 3. (Zoöl.) (a) A moth or lepidopterous insect; -- so called because the wings appear as if covered with white dust or powder, like a miller's clothes. Called also moth miller. (b) The eagle ray. (c) The hen harrier. [Prov. Eng.] Miller's thumb. (Zoöl.) (a) A small fresh-water fish of the genus Uranidea (formerly Cottus), as the European species (U. gobio), and the American (U. gracilis); -- called also bullhead. (b) A small bird, as the gold-crest, chiff- chaff, and long-tailed tit. [Prov. Eng.]
millerite |A believer in the doctrine of William Miller (d. 1849), who taught that the end of the world and the second coming of Christ were at hand.\n\nA sulphide of nickel, commonly occurring in delicate capillary crystals, also in incrustations of a bronze yellow; -- sometimes called hair pyrites.
millesimal |Thousandth; consisting of thousandth parts; as, millesimal fractions.
millet |The name of several cereal and forage grasses which bear an abundance of small roundish grains. The common millets of Germany and Southern Europe are Panicum miliaceum, and Setaria Italica. Note: Arabian millet is Sorghum Halepense. -- Egyptian or East Indian, millet is Penicillaria spicata. -- Indian millet is Sorghum vulgare. (See under Indian.) -- Italian millet is Setaria Italica, a coarse, rank-growing annual grass, valuable for fodder when cut young, and bearing nutritive seeds; -- called also Hungarian grass. -- Texas millet is Panicum Texanum. -- Wild millet, or Millet grass, is Milium effusum, a tail grass growing in woods.
milli- |A prefix denoting a thousandth part of; as, millimeter, milligram, milliampère.
milliampere |The thousandth part of one ampère.
milliard |A thousand millions; -- called also billion. See Billion.
milliary |Of or pertaining to a mile, or to distance by miles; denoting a mile or miles. A milliary column, from which they used to compute the distance of all the cities and places of note. Evelyn.\n\nA milestone.
millier |A weight of the metric system, being one million grams; a metric ton.
millifold |Thousandfold. [R.] Davies (Holy Roode).
milligram |A measure of weight, in the metric system, being the thousandth part of a gram, equal to the weight of a cubic millimeter of water, or .01543 of a grain avoirdupois.
milligramme |A measure of weight, in the metric system, being the thousandth part of a gram, equal to the weight of a cubic millimeter of water, or .01543 of a grain avoirdupois.
milliliter |A measure of capacity in the metric system, containing the thousandth part of a liter. It is a cubic centimeter, and is equal to .061 of an English cubic inch, or to .0338 of an American fluid ounce.
millilitre |A measure of capacity in the metric system, containing the thousandth part of a liter. It is a cubic centimeter, and is equal to .061 of an English cubic inch, or to .0338 of an American fluid ounce.
millimeter |A lineal measure in the metric system, containing the thousandth part of a meter; equal to .03937 of an inch. See 3d Meter.
millimetre |A lineal measure in the metric system, containing the thousandth part of a meter; equal to .03937 of an inch. See 3d Meter.
millimicron |The thousandish part of a micron or the millionth part of a millimeter; -- a unit of length used in measuring light waves, etc.
milliner |1. Formerly, a man who imported and dealt in small articles of a miscellaneous kind, especially such as please the fancy of women. [Obs.] No milliner can so fit his customers with gloves. Shak. 2. A person, usually a woman, who makes, trims, or deals in hats, bonnets, headdresses, etc., for women. Man milliner, a man who makes or deals in millinery; hence, contemptuously, a man who is busied with trifling occupations or embellishments.
millinery |1. The articles made or sold by milliners, as headdresses, hats or bonnets, laces, ribbons, and the like. 2. The business of work of a milliner.
millinet |A stiff cotton fabric used by milliners for lining bonnets.
milling |The act or employment of grinding or passing through a mill; the process of fulling; the process of making a raised or intented edge upon coin, etc.; the process of dressing surfaces of various shapes with rotary cutters. See Mill. High milling, milling in which grain is reduced to flour by a succession of crackings, or of slight and partial crushings, alternately with sifting and sorting the product. -- Low milling, milling in which the reduction is effected in a single crushing or grinding. -- Milling cutter, a fluted, sharp-edged rotary cutter for dressing surfaces, as of metal, of various shapes. -- Milling machine, a machine tool for dressing surfaces by rotary cutters. -- Milling tool, a roller with indented edge or surface, for producing like indentations in metal by rolling pressure, as in turning; a knurling tool; a milling cutter.
million |1. The number of ten hundred thousand, or a thousand thousand, -- written 1,000, 000. See the Note under Hundred 2. A very great number; an indefinitely large number. Millions of truths that a man is not concerned to know. Locke. 3. The mass of common people; -- with the article the. For the play, I remember, pleased not the million. Shak.
millionaire |One whose wealth is counted by millions of francs, dollars, or pounds; a very rich person; a person worth a million or more. [Written also millionnaire.]
millionairess |A woman who is a millionaire, or the wife of a millionaire. [Humorous] Holmes.
millionary |Of or pertaining to millions; consisting of millions; as, the millionary chronology of the pundits. Pinker
millioned |Multiplied by millions; innumerable. [Obs.] Shak.
millionnaire |Millionaire.
millionth |Being the last one of a million of units or objects counted in regular order from the first of a series or succession; being one of a million.\n\nThe quotient of a unit divided by one million; one of a million equal parts.
milliped |The same Milleped.
millistere |A liter, or cubic decimeter.
milliweber |The thousandth part of one weber.
millrea |See Milreis.
millree |See Milreis.
millreis |See Milreis.
millrind |A figure supposed to represent the iron which holds a millstone by being set into its center.
millrynd |A figure supposed to represent the iron which holds a millstone by being set into its center.
millstone |One of two circular stones used for grinding grain or other substance. No man shall take the nether or the upper millstone to pledge. Deut. xxiv. 6. Note: The cellular siliceous rock called buhrstone is usually employed for millstones; also, some kinds of lava, as that Niedermendig, or other firm rock with rough texture. The surface of a millstone has usually a series of radial grooves in which the powdered material collects. Millstone girt (Geol.), a hard and coarse, gritty sandstone, dividing the Carboniferous from the Subcarboniferous strata. See Farewell rock, under Farewell, a., and Chart of Geology. -- To see into, or through, a millstone, to see into or through a difficult matter. (Colloq.)
millwork |1. The shafting, gearing, and other driving machinery of mils. 2. The business of setting up or of operating mill machinery.
millwright |A mechanic whose occupation is to build mills, or to set up their machinery.
milord |Lit., my lord; hence (as used on the Continent), an English nobleman or gentleman.
milreis |A Portuguese money of account rated in the treasury department of the United States at one dollar and eight cents; also, a Brazilian money of account rated at fifty-four cents and six mills.
milt |The spleen.\n\n(a) The spermatic fluid of fishes. (b) The testes, or spermaries, of fishes when filled with spermatozoa.\n\nTo impregnate (the roe of a fish) with milt.
milter |A male fish.
miltonian |Miltonic. Lowell.
miltonic |Of, pertaining to, or resembling, Milton, or his writings; as, Miltonic prose.
miltwaste |A small European fern (Asplenium Ceterach) formerly used in medicine.
milvine |Of or resembling birds of the kite kind.\n\nA bird related to the kite.
milvus |A genus of raptorial birds, including the European kite.
mime |1. A kind of drama in which real persons and events were generally represented in a ridiculous manner. 2. An actor in such representations.\n\nTo mimic. [Obs.] -- Mim\"er, n.
mimeograph |An autographic stencil copying device invented by Edison.
mimesis |Imitation; mimicry.
mimetene |See Mimetite.
mimetic |1. Apt to imitate; given to mimicry; imitative. 2. (Biol.)  Characterized by mimicry; -- applied to animals and plants; as, mimetic species; mimetic organisms. See Mimicry.
mimetical |1. Apt to imitate; given to mimicry; imitative. 2. (Biol.)  Characterized by mimicry; -- applied to animals and plants; as, mimetic species; mimetic organisms. See Mimicry.
mimetism |Same as Mimicry.
mimetite |A mineral occurring in pale yellow or brownish hexagonal crystals. It is an arseniate of lead.
mimic |1. Imitative; mimetic. Oft, in her absence, mimic fancy wakes To imitate her. Milton. Man is, of all creatures, the most mimical. W. Wotton. 2. Consisting of, or formed by, imitation; imitated; as, mimic gestures. \"Mimic hootings.\" Wordsworth. 3. (Min.)  Imitative; characterized by resemblance to other forms; -- applied to crystals which by twinning resemble simple forms of a higher grade of symmetry. Note: Mimic often implies something droll or ludicrous, and is less dignified than imitative. Mimic beetle (Zoöl.), a beetle that feigns death when disturbed, esp. the species of Hister and allied genera.\n\nOne who imitates or mimics, especially one who does so for sport; a copyist; a buffoon. Burke.\n\n1. To imitate or ape for sport; to ridicule by imitation. The walk, the words, the gesture, could supply, The habit mimic, and the mien belie. Dryden. 2. (Biol.)  To assume a resemblance to (some other organism of a totally different nature, or some surrounding object), as a means of protection or advantage. Syn. -- To ape; imitate; counterfeit; mock.
mimical |1. Imitative; mimetic. Oft, in her absence, mimic fancy wakes To imitate her. Milton. Man is, of all creatures, the most mimical. W. Wotton. 2. Consisting of, or formed by, imitation; imitated; as, mimic gestures. \"Mimic hootings.\" Wordsworth. 3. (Min.)  Imitative; characterized by resemblance to other forms; -- applied to crystals which by twinning resemble simple forms of a higher grade of symmetry. Note: Mimic often implies something droll or ludicrous, and is less dignified than imitative. Mimic beetle (Zoöl.), a beetle that feigns death when disturbed, esp. the species of Hister and allied genera.
mimically |In an imitative manner.
mimicker |1. One who mimics; a mimic. 2. (Zoöl.)  An animal which imitates something else, in form or habits.
mimicry |1. The act or practice of one who mimics; ludicrous imitation for sport or ridicule. 2. (Biol.)  Protective resemblance; the resemblance which certain animals and plants exhibit to other animals and plants or to the natural objects among which they live, -- a characteristic which serves as their chief means of protection against enemies; imitation; mimesis; mimetism.
mimographer |A writer of mimes. Sir T. Herbert.
mimosa |A genus of leguminous plants, containing many species, and including the sensitive plants (Mimosa sensitiva, and M. pudica). Note: The term mimosa is also applied in commerce to several kinds bark imported from Australia, and used in tanning; -- called also wattle bark. Tomlinson.
mimotannic |Pertaining to, or designating, a variety of tannin or tannic acid found in Acacia, Mimosa, etc.
mina |An ancient weight or denomination of money, of varying value. The Attic mina was valued at a hundred drachmas.\n\nSee Myna.
minable |Such as can be mined; as, minable earth. Sir T. North.
minaceous |Of the color of minium or red lead; miniate.
minacious |Threatening; menacing. [R.]
minacity |Disposition to threaten. [R.]
minaret |A slender, lofty tower attached to a mosque and surrounded by one or more projecting balconies, from which the summon to prayer is cried by the muezzin.
minargent |An alloy consisting of copper, nickel, tungsten, and aluminium; -- used by jewelers.
minatorially |In a minatory manner; with threats.
minatorily |In a minatory manner; with threats.
minatory |Threatening; menacing. Bacon.
minaul |Same as Manul.
