crinosity |Hairiness. [R.]
cross-examine |To examine or question, as a witness who has been called and examined by the opposite party. \"The opportunity to cross-examine the witnesses.\" Kent.
cross-examiner |One who cross-examines or conducts a crosse-examination.
cross-eye |See Strabismus.
cross-eyed |Affected with strabismus; squint-eyed; squinting.
cross-fertilize |To fertilize, as the stigmas of a flower or plant, with the pollen from another individual of the  same species.
cross-garnet |A hinge having one strap perpendicular and the other strap horizontal giving it the form of an Egyptian or T cross.
cross-pawl |Same as Cross-spale.
cross-purpose |1. A counter or opposing purpose; hence, that which is inconsistent or contradictory. Shaftesbury. 2. pl.  A conversational game, in which questions and answers are made so as to involve ludicrous combinations of ideas. Pepys. To be at cross-purposes, to misunderstand or to act counter to one another without intending it; -- said of persons.
cross-question |To cross-examine; to subject to close questioning.
cross-reading |The reading of the lines of a newspaper directly across the page, instead of down the columns, thus producing a ludicrous combination of ideas.
cross-spale |One of the temporary wooden braces, placed horizontally across a frame to hold it in position until the deck beams are in; a cross- pawl.
cross-spall |One of the temporary wooden braces, placed horizontally across a frame to hold it in position until the deck beams are in; a cross- pawl.
cross-springer |One of the ribs in a groined arch, springing from the corners in a diagonal direction. Note: [See Illustr. of Groined vault.]
cross-staff |1. An instrument formerly used at sea for taking the altitudes of celestial bodies. 2. A surveyor's instrument for measuring offsets.
cross-stitch |A form of stitch, where the stitches are diagonal and in pairs, the thread of one stitch crossing that of the other. \"Tent and cross- stitch.\" Sir W. Scott. -- Cross\"-stitch`, v. t. & i.
cross-stone |See Harmotome, and Staurotide.
cross-tail |A bar connecting the ends of the side rods or levers of a backaction or side-lever engine.
cross-tie |A sleeper supporting and connecting the rails, and holding them in place.
cross-tining |A mode of harrowing crosswise, or transversely to the ridges. Crabb.
cross-vaulting |Vaulting formed by the intersection of two or more simple vaults.
cross-week |Rogation week, when the cross was borne in processions.
crossbar |A transverse bar or piece, as a bar across a door, or as the iron bar or stock which passes through the shank of an anchor to insure its turning fluke down. Russell. Crossbar shot, a projectile which folds into a sphere for loading, but on leaving the gun expands to a cross with a quarter ball at the end of each arm; -- used in naval actions for cutting the enemy's rigging.
crossbarred |1. Secured by, or furnished with, crossbars. Milton. 2. Made or patterned in lines crossing each other; as, crossbarred muslin.
crossbeak |Same as Crossbill.
crossbeam |1. (Arch.)  A girder. 2. (Naut.)  A beam laid across the bitts, to which the cable is fastened when riding at anchor.
crossbill |A bill brought by a defendant, in an equity or chancery suit, against the plaintiff, respecting the matter in question in that suit. Bouvier. Note: In criminal practice, cross bills of indictment for assault, in which the prosecutor in once case is the defendant in another, may be tried together.\n\nA bird of the genus Loxia, allied to the finches. Their mandibles are strongly curved and cross each other; the crossbeak.
crossbite |A deeption; a cheat. [Obs.]\n\nTo deceive; to trick; to gull. [Obs.]
crossbones |A representation of two of the leg bones or arm bones of a skeleton, laid crosswise, often surmounted with a skull, and serving as a symbol of death. Crossbones, scythes, hourglasses, and other lugubrios emblems of mortality. Hawthorne.
crossbow |A weapon, used in discharging arrows, formed by placing a bow crosswise on a stock.
crossbower |A crossbowman.[Obs.]
crossbowman |One who shoots with a crossbow. See Arbalest.
crossbred |Produced by mixing distinct breeds; mongrel.
crossbreed |1. A breed or an animal produced from parents of different breeds; a new variety, as of plants, combining the qualites of two parent varieties or stocks. 2. Anything partaking of the natures of two different things; a hybrid.
crosscut |, v. t. To cut across or through; to intersect.\n\n1. A short cut across; a path shorter than by the high road. 2. (Mining)  A level driven across the course of a vein, or across the main workings, as from one gangway to another. Crosscut saw. (a) A saw, the teeth of which are so set as to adapt it for sawing wood crosswise of the grain rather than lengthwise. (b) A saw managed by two men, one at each end, for cutting large logs crosswise.
crosse |The implement with which the ball is thrown and caught in the game of lacrosse.
crossette |(a) A return in one of the corners of the architrave of a door or window; -- called also ancon, ear, elbow. (b) The shoulder of a joggled keystone.
crossfish |A starfish.
crossflow |To flow across, or in a contrary direction. \"His crossflowing course.\" Milton.
crossgrained |1. Having the grain or fibers run diagonally, or more or less transversely an irregularly, so as to interfere with splitting or planing. If the stuff proves crossgrained, . . . then you must turn your stuff to plane it the contrary way. Moxon. 2. Perverse; untractable; contrary. She was none of your crossgrained, termagant, scolding jades. Arbuthnot.
crosshatch |To shade by means of crosshatching.
crosshatching |In drawing and line engraving, shading with lines that cross one another at an angle.
crosshead |A beam or bar across the head or end of a rod, etc., or a block attached to it and carrying a knuckle pin; as the solid crosspiece running between parallel slides, which receives motion from the piston of a steam engine and imparts it to the connecting rod, which is hinged to the crosshead.
crossing |1. The act by which anything is crossed; as, the crossing of the ocean. 2. The act of making the sign of the cross. Bp. Hall. 3. The act of interbreeding; a mixing of breeds. 4. Intersection, as of two paths or roads. 5. A place where anything (as a stream) is crossed; a paved walk across a street. 6. Contradiction; thwarting; obstruction. I do not bear these crossings. Shak.
crossjack |The lowest square sail, or the lower yard of the mizzenmast.
crosslegged |Having the legs crossed.
crosslet |1. A small cross. Spenser. 2. Etym: [Cf. OF. croisel crucible, and E. Cresset.]  A crucible. [Obs.] Chaucer.\n\nCrossed again; -- said of a cross the arms of which are crossed. SeeCross-crosslet.
crossly |Athwart; adversely; unfortunately; peevishly; fretfully; with ill humor.
crossness |The quality or state of being cross; peevishness; fretfulness; ill humor.
crossopterygian |Of or pertaining to the Crossopterygii. -- n.  One of the Crossopterygii.
crossopterygii |An order of ganoid fishes including among living species the bichir (Polypterus). See Brachioganoidei.
crosspatch |An ill-natured person. [Colloq.] \"Crosspatch, draw the latch.\" Mother Goose.
crosspiece |1. A piece of any structure which is fitted or framed crosswise. 2. (Naut.)  A bar or timber connecting two knightheads or two bitts.
crossroad |A road that crosses another; an obscure road intersecting or avoiding the main road.
crossrow |1. The alphabet; -- called also Christcross-row. And from the crossrow plucks the letter G. Shak. 2. A row that crosses others.
crossruff |The play in whist where partners trump each a different suit, and lead to each other for that purpose; -- called also seesaw.
crosstrees |Pieces of timber at a masthead, to which are attached the upper shrouds. At the head of lower masts in large vessels, they support a semicircular platform called the \"top.\",
  "hobit |A small mortar on a gun carriage, in use before the howitzer.
crossway |See Crossroad.
crosswise |In the form of a cross; across; transversely. Longfellow.
crosswort |A name given to several inconspicuous plants having leaves in whorls of four, as species of Crucianella, Valantia, etc.
crotalaria |A genus of leguminous plants; rattlebox. Note: Crotalaria juncea furnishes the fiber called sunn or Bombay hemp.
crotaline |Resembling, or pertaining to, the Crotalidae, or Rattlesnake family.
crotalo |A Turkish musical instrument.
crotalum |A kind of castanet used by the Corybantes.
crotalus |A genus of poisonous serpents, including the rattlesnakes.
crotaphite |The temple or temporal fossa. Also used adjectively.
crotaphitic |Pertaining to the temple; temporal.
crotch |1. The angle formed by the parting of two legs or branches; a fork; the point where a trunk divides; as, the crotch of a tree. 2. (Naut.)  A stanchion or post of wood or iron, with two arms for supporting a boom, spare yards, etc.; -- called also crane and crutch. Totten.
crotch chain |A form of tackle for loading a log sideways on a sled, skidway, etc.
crotched |1. Having a crotch; forked. 2. Cross; peevish. [Prov. Eng.] Halliwell.
crotchet |1. A forked support; a crotch. The crotchets of their cot in columns rise. Dryden. 2. (Mus.)  A time note, with a stem, having one fourth the value of a semibreve, one half that of a minim, and twice that of a quaver; a quarter note. 3. (Fort.)  An indentation in the glacis of the covered way, at a point where a traverse is placed. 4. (Mil.)  The arrangement of a body of troops, either forward or rearward, so as to form a line nearly perpendicular to the general line of battle. 5. (Print.)  A bracket. See Bracket. 6. (Med.)  An instrument of a hooked form, used in certain cases in the extraction of a fetus. Dunglison. 7. A perverse fancy; a whim which takes possession of the mind; a conceit. He ruined himself and all that trusted in him by crotchets that he could never explain to any rational man. De Quincey.\n\nTo play music in measured time. [Obs.] Donne.
crotcheted |Marked or measured by crotchets; having musical notation. Harmar (1587).
crotchetiness |The state or character of being crotchety, or whimsical. This belief in rightness is a kind of conscientiousness, and when it degenerates it becomes crotchetiness. J. Grote.
crotchety |Given to crotchets; subject to whims; as, a crotchety man.
croton |A genus of euphorbiaceous plants belonging to tropical countries. Croton oil (Med.), a viscid, acrid, brownish yellow oil obtained from the seeds of Croton Tiglium, a small tree of the East Indies. It is a most powerful drastic cathartic, and is used externally as a pustulant.
croton bug |A small, active, winged species of cockroach (Ectobia Germanica), the water bug. It is common aboard ships, and in houses in cities, esp. in those with hot-water pipes.
crotonic |Of or pertaining to, or derived from, a plant of the genus Croton, or from croton oil. Crotonic acid (Chem.), a white crystalline organic acid, C3H5.CO2H, of the ethylene, or acrylic acid series. It was so named because formerly supposed to exist in croton oil. Also, any acid metameric with crotonic acid proper. Note: The acid characteristic of croton oil is tiglic or tiglinic acid, a derivative of crotonic acid.
crotonine |A supposed alkaloid obtained from croton oil by boiling it with water and magnesia, since found to be merely a magnesia soap of the oil. Watts.
crotonylene |A colorless, volatile, pungent liquid, C4H6, produced artificially, and regarded as an unsaturated hydrocarbon of the acetylene series, and analogous to crotonic acid.
crottles |A name given to various lichens gathered for dyeing. [Scot.]
crouch |1. To bend down; to stoop low; to lie close to the ground with the logs bent, as an animal when waiting for prey, or in fear. Now crouch like a cur. Beau. & Fl. 2. To bend servilely; to stoop meanly; to fawn; to cringe. \"A crouching purpose.\" Wordsworth. Must I stand and crouch Under your testy humor Shak.\n\n1. To sign with the cross; to bless. [Obs.] Chaucer. 2. To bend, or cause to bend, as in humility or fear. She folded her arms across her chest, And crouched her head upon her breast. Colerige.
crouched |Marked with the sign of the cross. [Obs.] Crouched friar. See Crutched friar, under Crutched.
croud |See Crowd, a violin.
crouke |A crock; a jar. [Obs.] Chauser.
croup |The hinder part or buttocks of certain quadrupeds, especially of a horse; hence, the place behind the saddle. So light to the croup the fair lady he swung, So light to the saddle before her he sprung. Sir W. Scott.\n\nAn inflammatory affection of the larynx or trachea, accompanied by a hoarse, ringing cough and stridulous, difficult breathing; esp., such an affection when associated with the development of a false membrane in the air passages (also called membranous croup). See False croup, under False, and Diphtheria.
croupade |A leap in which the horse pulls up his hind legs toward his belly.
croupal |Croupy.
crouper |See Crupper.
croupier |1. One who presides at a gaming table and collects the stakes. 2. One who, at a public dinner party, sits at the lower end of the table as assistant chairman.
croupous |Relating to or resembling croup; especially, attended with the formation of a deposit or membrance like that found in membranous croup; as, croupous laryngitis. Croupous pneumonia, pneumonia attended with deposition of fibrinous matter in the air vesicles of the lungs; ordinary acute pneumonia.
croupy |Of or pertaining to croup; resembling or indicating croup; as, a croupy cough.
crouse |Brisk; lively; bold; self-complacent. [Scot.] Burns.
croustade |Bread baked in a mold, and scooped out, to serve minces upon. Bishop.
crout |See Sourkrout.
crouton |Bread cut in various forms, and fried lightly in butter or oil, to garnish hashes, etc.
crow |1. To make the shrill sound characteristic of a cock, either in joy, gayety, or defiance. \"The cock had crown.\" Bayron. The morning cock crew loud. Shak. 2. To shout in exultation or defiance; to brag. 3. To utter a sound expressive of joy or pleasure. The sweetest little maid, That ever crowed for kisses. Tennyson. To crow over, to exult over a vanquished antagonist. Sennacherib crowing over poor Jerusalem. Bp. Hall.\n\n1. (Zoöl.)  A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles. It has a harsh, croaking note. See Caw. Note: The common crow of Europe, or carrion crow, is C. corone. The common American crow is C. Americanus. See Carrion crow, and Illustr., under Carrion. 2. A bar of iron with a beak, crook, or claw; a bar of iron used as a lever; a crowbar. Get me an iron crow, and bring it straight Unto my cell. Shak. 3. The cry of the cock. See Crow, v. i., 1. 4. The mesentery of a beast; -- so called by butchers. Carrion crow. See under Carrion. -- Crow blackbird (Zoöl.), an American bird (Quiscalus quiscula); -- called also purple grackle. -- Crow pheasant (Zoöl.), an Indian cuckoo; the common coucal. It is believed by the natives to give omens. See Coucal. -- Crow shrike (Zoöl.), any bird of the genera Gymnorhina, Craticus, or Strepera, mostly from Australia. -- Red-legged crow. See Crough. -- As the crow flies, in a direct line. -- To pick a crow, To pluck a crow, to state and adjust a difference or grievance (with any one).
crow-quill |A quill of the crow, or a very fine pen made from such a quill.
crow-silk |A filamentous fresh-water alga (Conferva rivularis of Linnaeus, Rhizoclonium rivulare of Kutzing). CROW'S-NEST Crow's-nest` (krz\"nst`), n. (Naut.)  A box or perch near the top of a mast, esp. in whalers, to shelter the man on the lookout.
crow-trodden |Marked with crow's-feet, or wrinkles, about the eyes. [Poetic] Do I look as if I were crow-trodden Beau. & FL.
crowbar |A bar of iron sharpened at one end, and used as a lever.
crowberry |A heathlike plant of the genus Empetrum, and its fruit, a black, scarcely edible berry; -- also called crakeberry.
crowd |1. To push, to press, to shove. Chaucer. 2. To press or drive together; to mass together. \"Crowd us and crush us.\" Shak. 3. To fill by pressing or thronging together; hence, to encumber by excess of numbers or quantity. The balconies and verandas were crowded with spectators, anxious to behold their future sovereign. Prescott. 4. To press by solicitation; to urge; to dun; hence, to treat discourteously or unreasonably. [Colloq.] To crowd out, to press out; specifically, to prevent the publication of; as, the press of other matter crowded out the article. -- To crowd sail (Naut.), to carry an extraordinary amount of sail, with a view to accelerate the speed of a vessel; to carry a press of sail.\n\n1. To press together or collect in numbers; to swarm; to throng. The whole company crowded about the fire. Addison. Images came crowding on his mind faster than he could put them into words. Macaulay. 2. To urge or press forward; to force one's self; as, a man crowds into a room.\n\n1. A number of things collected or closely pressed together; also, a number of things adjacent to each other. A crowd of islands. Pope. 2. A number of persons congregated or collected into a close body without order; a throng. The crowd of Vanity Fair. Macualay. Crowds that stream from yawning doors. {\\*\\bkmkstart here}Tennyson. 3. The lower orders of people; the populace; the vulgar; the rabble; the mob. To fool the crowd with glorious lies. Tennyson. He went not with the crowd to see a shrine. Dryden. Syn. -- Throng; multitude. See Throng.\n\nAn ancient instrument of music with six strings; a kind of violin, being the oldest known stringed instrument played with a bow. [Written also croud, crowth, cruth, and crwth.] A lackey that . . . can warble upon a crowd a little. B. Jonson.\n\nTo play on a crowd; to fiddle. [Obs.] \"Fiddlers, crowd on.\" Massinger.
crowder |One who plays on a crowd; a fiddler. [Obs.] \"Some blind crowder.\" Sir P. Sidney.\n\nOne who crowds or pushes.
crowdy |A thick gruel of oatmeal and milk or water; food of the porridge kind. [Scot.]
crowflower |A kind of campion; according to Gerarde, the Lychnis Flos- cuculi.
crowfoot |1. (Bot.)  The genus Ranunculus, of many species; some are common weeds, others are flowering plants of considerable beauty. 2. (Naut.)  A number of small cords rove through a long block, or euphroe, to suspend an awning by. 3. (Mil.)  A caltrop. [Written also crow's-foot.] 4. (Well Boring)  A tool with a side claw for recovering broken rods, etc. Raymond.
crowkeeper |A person employed to scare off crows; hence, a scarecrow. [Obs.] Scaring the ladies like a crowkeeper. Shak.
crown |p. p. of Crow. [Obs.]\n\n1. A wreath or garland, or any ornamental fillet encircling the head, especially as a reward of victory or mark of honorable distinction; hence, anything given on account of, or obtained by, faithful or successful effort; a reward. \"An olive branch and laurel crown.\" Shak. They do it to obtain a corruptible crown; but we an incorruptiblle. 1 Cor. ix. 25. Be thou faithful unto death, and I will give thee a crown of life. Rev. ii. 10. 2. A royal headdress or cap of sovereignty, worn by emperors, kings, princes, etc. Note: Nobles wear coronets; the triple crown of the pope is usually called a tiara. The crown of England is a circle of gold with crosses, fleurs-de-lis, and imperial arches, inclosing a crimson velvet cap, and ornamented with thousands of diamonds and precious stones. 3. The person entitled to wear a regal or imperial crown; the sovereign; -- with the definite article. Parliament may be dissolved by the demise of the crown. Blackstone. Large arrears of pay were due to the civil and military servants of the crown. Macaulay. 4. Imperial or regal power or dominion; sovereignty. There is a power behind the crown greater than the crown itself. Junius. 5. Anything which imparts beauty, splendor, honor, dignity, or finish. The hoary head is a crown of glory, if it be found in the way of righteousness. Prov. xvi. 31. A virtuous woman is a crown to her husband. Prov. xvi. 4. 6. Highest state; acme; consummation; perfection. Mutual love, the crown of all our bliss. Milton. 7. The topmost part of anything; the summit. The steepy crown of the bare mountains. Dryden. 8. The topmost part of the head (see Illust. of Bird.); that part of the head from which the hair descends toward the sides and back; also, the head or brain. From toe to crown he'll fill our skin with pinches. Shak. Twenty things which I set down: This done, I twenty more-had in my crown. Bunyan. 9. The part of a hat above the brim. 10. (Anat.)  The part of a tooth which projects above the gum; also, the top or grinding surface of a tooth. 11. (Arch.)  The vertex or top of an arch; -- applied generally to about one third of the curve, but in a pointed arch to the apex only. 12. (Bot.)  Same as Corona. 13. (Naut.) (a) That part of an anchor where the arms are joined to the shank. (b) The rounding, or rounded part, of the deck from a level line. (c) pl.  The bights formed by the several turns of a cable. Totten. 14. The upper range of facets in a rose diamond. 15. The dome of a furnace. 16. (Geom.)  The area inclosed between two concentric perimeters. 17. (Eccl.)  A round spot shaved clean on the top of the head, as a mark of the clerical state; the tonsure. 18. A size of writing paper. See under Paper. 19. A coin stamped with the image of a crown; hence,a denomination of money; as, the English crown, a silver coin of the value of five shillings sterling, or a little more than $1.20; the Danish or Norwegian crown, a money of account, etc., worth nearly twenty-seven cents. 20. An ornaments or decoration representing a crown; as, the paper is stamped with a crown. Crown of aberration (Astron.), a spurious circle around the true circle of the sun. -- Crown antler (Zoöl.), the topmost branch or tine of an antler; also, an antler having a cuplike top, with tines springing from the rim. -- Crown bar, one of the bars which support the crown sheet of steam-boiler furnace. -- Crown glass. See under Glass. -- Crown imperial. (Bot.) See in the Vocabulary. -- Crown jewels, the jewels appertaining to the sovereign while wearing the crown. [Eng.] \"She pawned and set to sale the crown jewels.\" Milton. -- Crown land, land belonging to the crown, that is, to the sovereign. -- Crown law, the law which governs criminal prosecutions. [Eng.] -- Crown lawyer, one employed by the crown, as in criminal cases. [Eng.] -- Crown octavo. See under Paper. -- Crown office. See in the Vocabulary. -- Crown paper. See under Paper. -- Crown piece. See in the Vocabulary. -- Crown Prince, the heir apparent to a crown or throne. -- Crown saw. See in the Vocabulary. -- Crown scab (Far.), a cancerous sore formed round the corners of a horse's hoof. -- Crown sheet, the flat plate which forms the top of the furnace or fire box of an internally fired steam boiler. -- Crown shell. (Zoöl.) See Acorn-shell. -- Crown side. See Crown office. -- Crown tax (Eccl. Hist.), a golden crown, or its value, which was required annually from the Jews by the king of Syria, in the time of the Maccabees. 1 Macc. x. 20. -- Crown wheel. See in the Vocabulary. -- Crown work. See in the Vocabulary. -- Pleas of the crown (Engl. law), criminal actions.\n\n1. To cover, decorate, or invest with a crown; hence, to invest with royal dignity and power. Her who fairest does appear, Crown her queen of all the year. Dryden. Crown him, and say, \"Long live our emperor.\" Shak. 2. To bestow something upon as a mark of honor, dignity, or recompense; to adorn; to dignify. Thou . . . hast crowned him with glory and honor. Ps. viii. 5. 3. To form the topmost or finishing part of; to complete; to consummate; to perfect. Amidst the grove that crowns yon tufted hill. Byron. One day shall crown the alliance. Shak. To crown the whole, came a proposition. Motley. 4. (Mech.)  To cause to round upward; to make anything higher at the middle than at the edges, as the face of a machine pulley. 5. (Mil.)  To effect a lodgment upon, as upon the crest of the glacis, or the summit of the breach. To crown a knot (Naut.), to lay the ends of the strands over and under each other.
crown colony |A colony of the British Empire not having an elective magistracy or a parliament, but governed by a chief magistrate (called Governor) appointed by the Crown, with executive councilors nominated by him and not elected by the people.
crown office |The criminal branch of the Court of King's or Queen's Bench, commonly called the crown side of the court, which takes cognizance of all criminal cases. Burrill.
crown side |See Crown office.
crown wheel |A wheel with cogs or teeth set at right angles to its plane; -- called also a contrate wheel or face wheel.
crown-imperial |A spring-blooming plant (Fritillaria imperialis) of the Lily family, having at the top of the stalk a cluster of pendent bell- shaped flowers surmounted with a tuft of green leaves.
crown-post |Same as King-post.
crown-saw |A saw in the form of a hollow cylinder, with teeth on the end or edge, and operated by a rotative motion. Note: The trephine was the first of the class of crownsaws. Knight.
crowned |1. Having or wearing a crown; surmounted, invested, or adorned, with a crown, wreath, garland, etc.; honored; rewarded; completed; consummated; perfected. \"Crowned with one crest.\" Shak. \"Crowned with conquest.\" Milton. With surpassing glory crowned. Milton. 2. Great; excessive; supreme. [Obs.] Chaucer.
crowner |1. One who, or that which, crowns. Beau. & FL. 2. Etym: [Cf. Coroner.]  A coroner. [Prov. Eng. or Scot.]
crownet |1. A coronet. [R.] P. Whitehead. 2. The ultimate end and result of an undertaking; a chief end. [Obs.] O this false soul of Egypt! this grave charm . . . . Whose bosom was my crownet, my chief end. Shak.
crownland |In Austria-Hungary, one of the provinces, or largest administrative divisions of the monarchy; as, the crownland of Lower Austria.
crownless |Without a crown.
crownlet |A coronet. [Poetic] Sir W. Scott.
crownpiece |(a) A piece or part which passes over the head, as in a bridle. (b) A coin [In sense (b) properly crown piece.] See Crown, 19.
crownwork |A work consisting of two or more bastioned fronts, with their outworks, covering an enceinte, a bridgehead, etc., and connected by wings with the main work or the river bank.
crows |A tribe of Indians of the Dakota stock, living in Montana; -- also called Upsarokas. CROW'S-FOOT Crow's\"-foot` (krz\"ft`), n.; pl. Crow's-feet (-f. 1. pl.  The wrinkles that appear, as the effect of age or dissipation, under and around the outer corners of the eyes. Tennyson. 2. (Mil.)  A caltrop. [Written also crowfoot.] 3. (Arch.)  Same as Bird's-mouth. [U.S.]
crowstep |See Corriestep.
crowstone |The top stone of the gable end of a house. Halliwell.
crowth |An ancient musical instrument. See 4th Crowd.
crowtoe |1. The Lotus corniculatus. Dr. Prior. 2. An unidentified plant, probably the crowfoot. \"The tufted crowtoe.\" Milton.
croydon |1.  A kind of carriage like a gig, orig. of wicker-work. 2.  A kind of cotton sheeting; also, a calico.
croylstone |Crystallized cawk, in which the crystals are small.
croys |See Cross, n. [Obs.] Chaucer.
croze |A cooper's tool for making the grooves for the heads of casks, etc.; also, the groove itself.
crozier |See Crosier.
croziered |Crosiered.
crucial |1. Having the form of a cross; appertaining to a cross; cruciform; intersecting; as, crucial ligaments; a crucial incision. 2. Severe; trying or searching, as if bringing to the cross; decisive; as, a crucial test.
crucian carp |A kind of European carp (Carasius vulgaris), inferior to the common carp; -- called also German carp. Note: The gibel or Prussian carp is now generally considered a variety of the crucian carp, or perhaps a hybrid between it and the common carp.
cruciate |1. Tormented. [Obs.] Bale. 2. (Bot.)  Having the leaves or petals arranged in the form of a cross; cruciform.\n\nTo torture; to torment. [Obs.] See Excruciate. Bale.
cruciation |The act of torturing; torture; torment. [Obs.] Bp. Hall.
crucible |1. A vessel or melting pot, composed of some very refractory substance, as clay, graphite, platinum, and used for melting and calcining substances which require a strong degree of heat, as metals, ores, etc. 2. A hollow place at the bottom of a furnace, to receive the melted metal. 3. A test of the most decisive kind; a severe trial; as, the crucible of affliction. Hessian crucible (Chem.), a cheap, brittle, and fragile, but very refractory crucible, composed of the finest fire clay and sand, and commonly used for a single heating; -- named from the place of manufacture.
crucible steel |Cast steel made by fusing in crucibles crude or scrap steel, wrought iron, and other ingredients and fluxes.
crucifer |Any plant of the order Cruciferæ.
cruciferous |1. Bearing a cross. 2. (Bot.)  Of, pertaining to, or resembling, a family of plants which have four petals arranged like the arms of a cross, as the mustard, radish, turnip, etc.
crucifier |One who crucifies; one who subjects himself or another to a painful trial.
crucifix |1. A representation in art of the figure of Christ upon the cross; esp., the sculptured figure affixed to a real cross of wood, ivory, metal, or the like, used by the Roman Catholics in their devotions. The cross, too, by degrees, become the crucifix. Milman. And kissing oft her crucifix, Unto the block she drew. Warner. 2. The cross or religion of Christ. [R.] Jer. Taylor.
crucifixion |1. The act of nailing or fastening a person to a cross, for the purpose of putting him to death; the use of the cross as a method of capital punishment. 2. The state of one who is nailed or fastened to a cross; death upon a cross. 3. Intense suffering or affliction; painful trial. Do ye prove What crucifixions are in love Herrick.
cruciform |Cross-shaped; (Bot.) having four parts arranged in the form of a cross.
crucify |1. To fasten to a cross; to put to death by nailing the hands and feet to a cross or gibbet. They cried, saying, Crucify him, cricify him. Luke xxiii. 21. 2. To destroy the power or ruling influence of; to subdue completely; to mortify. They that are Christ's have crucified the flesh, with the affections and lusts. Gal. v. 24. 3. To vex or torment. Beau. & FL.
crucigerous |Bearing the cross; marked with the figure of a cross. Sir. T. Browne.
crud |See Curd. [Obs.]
cruddle |To curdle. [Obs.] See how thy blood cruddles at this. Bea
crude |1. In its natural state; not cooked or prepared by fire or heat; undressed; not altered, refined, or prepared for use by any artificial process; raw; as, crude flesh. \"Common crude salt.\" Boyle. Molding to its will each successive deposit of the crude materials. I. Taylor. 2. Unripe; not mature or perfect; immature. I come to pluck your berries harsh and crude. Milton. 3. Not reduced to order or form;unfinished; not arranged or prepared; ill-considered; immature. \"Crudeprojects.\" Macualay. Crude, undigested masses of suggestion, furnishing rather raw materials for composition. De Quincey. The originals of Nature in their crude Conception. Milton. 4. Undigested; unconcocted; not brought into a form to give nourishment. \"Crude and inconcoct.\" Bacon. 5. Having, or displaying, superficial and undigested knowledge; without culture or profudity; as, a crude reasoner. 6. (Paint.)  Harsh and offensive, as a color; tawdry or in bad taste, as a combination of colors, or any design or work of art.
crudely |In a crude, immature manner.
crudeness |A crude, undigested, or unprepared state; rawness; unripeness; immatureness; unfitness for a destined use or purpose; as, the crudeness of iron ore; crudeness of theories or plans.
crudity |1. The condition of being crude; rawness. 2. That which is in a crude or undigested state; hence, superficial, undigested views, not reduced to order or form. \"Cridities in the stomach.\" Arbuthnot.
crudle |See Cruddle.
crudy |Coagulated. [Obs.] His cruel wounds with crudy blood congealed. Spenser.\n\nCharacterized by crudeness; raw. [Obs.] The foolish and dull and crudy vapors. Shak.
cruel |See Crewel.\n\n1. Disposed to give pain to others; willing or pleased to hurt, torment, or afflict; destitute of sympathetic kindness and pity; savage; inhuman; hard-hearted; merciless. Behold a people cometh from the north country; . . . they are cruel and have no mercy. Jer. vi. 22,23. 2. Causing, or fitted to cause, pain, grief, or misery. Cruel wars, wasting the earth. Milton. Cursed be their anger, for it was fierce; and their wrath for it was cruel. Gen. xlix. 7. 3. Attended with cruetly; painful; harsh. You have seen cruel proof of this man's strength. Shak.
cruelly |1. In a cruel manner. 2. Extremly; very. [Colloq.] Spectator.
cruelness |Cruelty. [Obs.] Spenser.
cruels |Glandular scrofulous swellings in the neck.
cruelty |1. The attribute or quality of being cruel; a disposition to give unnecessary pain or suffering to others; inhumanity; barbarity. Pierced through the heart with your stern cruelty. Shak. 2. A cruel and barbarous deed; inhuman treatment; the act of willfully causing unnecessary pain. Cruelties worthy of the dungeons of the Inquisition. Macualay.
cruentate |Smeared with blood. [Obs.] Glanwill.
cruentous |Bloody; cruentate. [Obs.]
cruet |1. A bottle or vessel; esp., aviai or small glass bottle for holding vinegar, oil, pepper, or the like, for the table; a caster. Swift. 2. (Eccl.)  A vessel used to hold wine, oil, or water for the service of the altar. Cruet stand, a frame for holding cruets; a caster.
cruise |See Cruse, a small bottle.\n\n1. To sail back and forth on the ocean; to sail, as for the potection of commerce, in search of an enemy, for plunder, or for pleasure. Note: A ship cruises in any particular sea or ocean; as, in the Baltic or in the Atlantic. She cruises off any cape; as, off the Lizard; off Ushant. She cruises on a coast; as, on the coast of Africa. A priate cruises to seize vessels; a yacht cruises for the pleasure of the owner. Ships of war were aent to cruise near the isle of Bute. Macualay. 'Mid sands, and rocks, and storms to cruise for pleasure. Young. 2. To wander hither and thither on land. [Colloq.]\n\nA voyage made in various directions, as of an armed vessel, for the protection of other vessels, or in search of an enemy; a sailing to and fro, as for exploration or for pleasure. He feigned a compliance with some of his men, who were bent upon going a cruise to Manilla. Dampier.
cruiser |One who, or a vessel that, cruises; -- usually an armed vessel.
cruive |A kind of weir or dam for trapping salmon; also, a hovel. [Scot.]
crull |Curly; curled. [Obs.]
cruller |A kind of sweet cake cut in strips and curled or twisted, and fried crisp in boiling fat. [Also written kruller.]
