neoplatonic |Of, pertaining to, or resembling, Neoplatonism or the Neoplatonists.
never |1. Not ever; not at any time; at no time, whether past, present, or future. Shak. Death still draws nearer, never seeming near. Pope. 2. In no degree; not in the least; not. Whosoever has a friend to guide him, may carry his eyes in another man's head, and yet see never the worse. South. And he answered him to never a word. Matt. xxvii. 14. Note: Never is much used in composition with present participles to form adjectives, as in never-ceasing, never-dying, never-ending, never-fading, never-failing, etc., retaining its usual signification. Never a deal, not a bit. [Obs.] Chaucer. -- Never so, as never before; more than at any other time, or in any other circumstances; especially; particularly; -- now often expressed or replaced by ever so. Ask me never so much dower and gift. Gen. xxxiv. 12. A fear of battery, ... though never so well grounded, is no duress. Blackstone.
nevermore |Never again; at no time hereafter. Testament of Love. Tyndale. Where springtime of the Hesperides Begins, but endeth nevermore. Longfellow.
neverthelater |Nevertheless. [Obs.]
nevertheless |Not the less; notwithstanding; in spite of that; yet. No chastening for the present seemeth to be joyous, but grievous; nevertheless, afterward it yieldeth the peaceable fruit of righteousness. Heb. xii. 11. Syn. -- However; at least; yet; still. See However.
nevew |Nephew. [Obs.] haucer.
new |1. Having existed, or having been made, but a short time; having originated or occured lately; having recently come into existence, or into one's possession; not early or long in being; of late origin; recent; fresh; modern; -- opposed to old, as, a new coat; a new house; a new book; a new fashion. \"Your new wife.\" Chaucer. 2. Not before seen or known, although existing before; lately manifested; recently discovered; as, a new metal; a new planet; new scenes. 3. Newly beginning or recurring; starting anew; now commencing; different from has been; as, a new year; a new course or direction. 4. As if lately begun or made; having the state or quality of original freshness; also, changed for the better; renovated; unworn; untried; unspent; as, rest and travel made him a new man. Steadfasty purposing to lead a new life. Bk. of Com. Prayer. Men after long emaciating diets, fat, and almost new. Bacon. 5. Not of ancient extraction, or of a family of ancient descent; not previously kniwn or famous. Addison. 6. Not habituated; not familiar; unaccustomed. New to the plow, unpracticed in the trace. Pope. 7. Fresh from anything; newly come. New from her sickness to that northern air. Dryden. New birth. See under Birth. -- New Church, or New Jerusalem Church, the church holding the doctrines taught by Emanuel Swedenborg. See Swedenborgian. -- New heart (Theol.), a heart or character changed by the power of God, so as to be governed by new and holy motives. -- New land, land ckeared and cultivated for the first time. -- New light. (Zoöl.) See Crappie. -- New moon. (a) The moon in its first quarter, or when it first appears after being invisible. (b) The day when the new moon is first seen; the first day of the lunar month, which was a holy day among the Jews. 2 Kings iv. 23. -- New Red Sandstone (Geol.), an old name for the formation immediately above the coal measures or strata, now divided into the Permian and Trias. See Sandstone. -- New style. See Style. -- New testament. See under Testament. -- New world, the land of the Western Hemisphere; -- so called because not known to the inhabitants of the Eastern Hemisphere until recent times. Syn. -- Novel; recent; fresh; modern. See Novel.\n\nNewly; recently. Chaucer. Note: New is much used in composition, adverbially, in the sense of newly, recently, to quality other words, as in new-born, new-formed, new-found, new-mown. Of new, anew. [Obs.] Chaucer.\n\nTo make new; to renew. [Obs.]
new thought |Any form of belief in mental healing other than (1) Christian Science and (2) hypnotism or psychotherapy. Its central principle is affirmative thought, or suggestion, employed with the conviction that man produces changes in his health, his finances, and his life by the adoption of a favorable mental attitude. AS a therapeutic doctrine it stands for silent and absent mental treatment, and the theory that all diseases are mental in origin. As a cult it has its unifying idea the inculcation of workable optimism in contrast with the \"old thought\" of sin, evil, predestination, and pessimistic resignation. The term is essentially synonymous with the term High Thought, used in England.
new zealand |A group of islands in the South Pacific Ocean. New Zealand flax. (a) (Bot.) A tall, liliaceous herb (Phormium tenax), having very long, sword-shaped, distichous leaves which furnish a fine, strong fiber very valuable for cordage and the like. (b) The fiber itself. -- New Zealand tea (Bot.), a myrtaceous shrub (Leptospermum scoparium) of New Zealand and Australia, the leaves of which are used as a substitute for tea.
new-model |To remodel.
new-year |Of or pertaining to, or suitable for, the commencement of the year; as, New-year gifts or odes. NEW YEAR'S DAY New\" Year's` Day\".  the first day of a calendar year; the first day of January. Often colloquially abbreviated to New year's or new year.
newborn |Recently born. Shak.
newcome |Recently come.
newcomer |One who has lately come.
newel |A novelty; a new thing. [Obs.] Spenser.\n\nThe upright post about which the steps of a circular staircase wind; hence, in stairs having straight flights, the principal post at the foot of a staircase, or the secondary ones at the landings. See Hollow newel, under Hollow.
newfangle |Eager for novelties; desirous of changing. [Obs.] So newfangel be they of their meat. Chaucer.\n\nTo change by introducing novelties. [Obs.]
newfangled |1. Newmade; formed with the affectation of novelty. \"A newfangled nomenclature.\" Sir W. Hamilton. 2. Disposed to change; inclined to novelties; given to new theories or fashions. \"Newfangled teachers.\" 1 Tim. vi. (heading). \"Newfangled men.\" Latimer.
newfangledness |Affectation of, or fondness for, novelty; vain or affected fashion or form.
newfangleness |Newfangledness. [Obs.] Chaucer. Proud newfangleness in their apparel. Robynson (More's Utopia).
newfanglist |One who is eager for novelties or desirous of change. [Obs.] Tooker.
newfangly |In a newfangled manner; with eagerness for novelty. [Obs.] Sir T. More.
newfashioned |Made in a new form, or lately come into fashion.
newfoundland |1. An island on the coast of British North America, famed for the fishing grounds in its vicinity. 2. A Newfoundland dog. Tennyson. Newfoundland dog (Zoöl.), a breed of large dogs, with shaggy hair, which originated in Newfoundland, noted for intelligence, docility, and swimming powers.
newing |Yeast; barm. [prov. Eng.]
newish |Somewhat new; nearly new. Bacon.
newly |1. Lately; recently. He rubbed it o'er with newly gathered mint. Dryden. 2. Anew; afresh; freshly. And the refined mind doth newly fashion Into a fairer form. Spenser.
newmarket |A long, closely fitting cloak.
newness |The quality or state of being new; as, the newness of a system; the newness of a scene; newness of life.
news |1. A report of recent occurences; information of something that has lately taken place, or of something before unknown; fresh tindings; recent intelligence. Evil news rides post, while good news baits. Milton. 2. Something strange or newly happened. It is no news for the weak and poor to be a prey to the strong and rich. L'Estrange. 3. A bearer of news; a courier; a newspaper. [Obs.] There cometh a news thither with his horse. Pepys.
news-book |A newspaper. [Obs.]
news-letter |A circular letter, written or printed for the purpose of disseminating news. This was the name given to the earliest English newspapers.
news-vnder |A seller of newspapers.
news-writer |One who gathered news for, and wrote, news-letters. Macaulay.
newsboy |A boy who distributes or sells newspaper.
newsman |1. One who brings news. [Obs.] Spenser. 2. A man who distributes or sells newspapers.
newsmonger |One who deals in news; one who is active in hearing and telling news.
newspaper |A sheet of paper printed and distributed, at stated intervals, for conveying intelligence of passing events, advocating opinions, etc.; a public print that circulates news, advertisements, proceedings of legislative bodies, public announcements, etc.
newsroom |A room where news is collected and disseminated, or periodicals sold; a reading room supplied with newspapers, magazines, etc.
newsy |Full of news; abounding in information as to current events. [Colloq.]
newt |Any one of several species of small aquatic salamanders. The common British species are the crested newt (Triton cristatus) and the smooth newt (Lophinus punctatus). In America, Diemictylus viridescens is one of the most abundant species.
newtonian |Of or pertaining to Sir Isaac Newton, or his discoveries. Newtonian philosophy, the philosophy of Sir Isaac Newton; -- applied to the doctrine of the universe as expounded in Newton's \"Principia,\" to the modern or experimental philosophy (as opposed to the theories of Descartes and others), and, most frequently, to the mathematical theory of universal gravitation. -- Newtonian telescope (Astron.), a reflecting telescope, in which rays from the large speculum are received by a plane mirror placed diagonally in the axis, and near the open end of the tube, and thrown at right angles toward one side of the tube, where the image is formed and viewed through the eyeplace. -- Newtonian theory of light. See Note under Light.\n\nA follower of Newton.
nexible |That may be knit together. [R.]
next |1. Nearest in place; having no similar object intervening. Chaucer. Her princely guest Was next her side; in order sat the rest. Dryden. Fear followed me so hard, that I fled the next way. Bunyan. 2. Nearest in time; as, the next day or hour. 3. Adjoining in a series; immediately preceding or following in order. None could tell whose turn should be the next. Gay. 4. Nearest in degree, quality, rank, right, or relation; as, the next heir was an infant. The man is near of kin unto us, one of our next kinsmen. Ruth ii. 20. Note: Next is usually followed by to before an object, but to is sometimes omitted. In such cases next in considered by many grammarians as a preposition. Next friend (Law), one who represents an infant, a married woman, or any person who can not appear sui juris, in a suit at law.\n\nIn the time, place, or order nearest or immediately suceeding; as, this man follows next.
nexus |Connection; tie. Man is doubtless one by some subtile nexus ... extending from the new-born infant to the superannuated dotard. De Quincey.
nez perces |A tribe of Indians, mostly inhabiting Idaho.
ngina |The gorilla.
niagara period |A subdivision or the American Upper Silurian system, embracing the Medina, Clinton, and Niagara epoch. The rocks of the Niagara epoch, mostly limestones, are extensively distributed, and at Niagara Falls consist of about eighty feet of shale supporting a greater thickness of limestone, which is gradually undermined by the removal of the shale. See Chart of Geology.
nias |A young hawk; an eyas; hence, an unsophisticated person. [Obs.]
nib |1. A small and pointed thing or part; a point; a prong. \"The little nib or fructifying principle.\" Sir T. Browne. 2. (Zoöl.)  The bill or beak of a bird; the neb. 3. The points of a pen; also, the pointed part of a pen; a short pen adapted for insertion in a holder. 4. One of the handles which project from a scythe snath; also, [Prov. Eng.], the shaft of a wagon.\n\nTo furnish with a nib; to point; to mend the point of; as, to nib a pen.
nibbed |Having a nib or point.
nibble |To bite by little at a time; to seize gently with the mouth; to eat slowly or in small bits. Thy turfy mountains, where live nibbling sheep. Shak.\n\nTo bite upon something gently or cautiously; to eat a little of a thing, as by taking small bits cautiously; as, fishes nibble at the bait. Instead of returning a full answer to my book, he manifestly falls a- nibbling at one single passage. Tillotson.\n\nA small or cautious bite.
nibbler |One who, or that which, nibbles.
nibblingly |In a nibbling manner; cautiously.
nibelungenlied |A great medieval German epic of unknown authorship containing traditions which refer to the Burgundians at the time of Attila (called Etzel in the poem) and mythological elements pointing to heathen times.
nibelungs |In German mythology, the children of the mist, a race of dwarfs or demonic beings, the original possessors of the famous hoard and ring won by Siegfrid; also, the Burgundian kings in the Nibelungenlied.
niblick |A kind of golf stick used to lift the ball out of holes, ruts, etc.
nicagua |The laughing falcon. See under laughing.
nicaragua wood |Brazil wood.
niccolite |A mineral of a copper-red color and metallic luster; an arsenide of nickel; -- called also coppernickel, kupfernickel.
nice |1. Foolish; silly; simple; ignorant; also, weak; effeminate. [Obs.] Gower. But say that we ben wise and nothing nice. Chaucer. 2. Of trifling moment; nimportant; trivial. [Obs.] The letter was not nice, but full of charge Of dear import. Shak. 3. Overscrupulous or exacting; hard to please or satisfy; fastidious in small matters. Curious not knowing, not exact but nice. Pope. And to taste Think not I shall be nice. Milton. 4. Delicate; refined; dainty; pure. Dear love, continue nice and chaste. Donne. A nice and subtile happiness. Milton. 5. Apprehending slight diffferences or delicate distinctions; distinguishing accurately or minutely; carefully discriminating; as, a nice taste or judgment. \"Our author happy in a judge so nice.\" Pope. \"Nice verbal criticism.\" Coleridge. 6. Done or made with careful labor; suited to excite admiration on account of exactness; evidencing great skill; exact; fine; finished; as, nice proportions, nice workmanship, a nice application; exactly or fastidiously discriminated; requiring close discrimination; as, a nice point of law, a nice distinction in philosophy. The difference is too nice Where ends the virtue, or begins the vice. Pope. 7. Pleasing; agreeable; gratifying; delightful; good; as, a nice party; a nice excursion; a nice person; a nice day; a nice sauce, etc. [Loosely & Colloquially] To make nice of, to be scrupulous about. [Obs.] Shak. Syn. -- Dainty; delicate; exquisite; fine; accurate; exact; correct; precise; particular; scrupulous; punctilious; fastidious; squeamish; finical; effeminate; silly.
nicely |In a nice manner.
nicene |Of or pertaining to Nice, a town of Asia Minor, or to the ecumenial council held there A. D. 325. Nicene Creed (, a summary of Christian faith, composed and adopted by the Council of Nice, against Arianism, A. D. 325, altered and confirmed by the Council of Constantinople, A. D. 381, and by subsequent councils.
niceness |Quality or state of being nice.
nicery |Nicety. [Colloq.] Chapman.
nicety |1. The quality or state of being nice (in any of the senses of that word.). The miller smiled of her nicety. Chaucer. 2. Delicacy or exactness of perception; minuteness of observation or of discrimination; precision. 3. A delicate expression, act, mode of treatment, distinction, or the like; a minute distinction. The fineness and niceties of words. Locke. To a nicety, with great exactness or accuracy.
niche |A cavity, hollow, or recess, generally within the thickness of a wall, for a statue, bust, or other erect ornament. hence, any similar position, literal or figurative. Images defended from the injuries of the weather by niches of stone wherein they are placed. Evelun.
niched |Placed in a niche. \"Those niched shapes of noble mold.\" Tennyson.
nick |An evil spirit of the waters. Old Nick, the evil one; the devil. [Colloq.]\n\n1. A notch cut into something; as: (a) A score for keeping an account; a reckoning. [Obs.] (b) (Print.) A notch cut crosswise in the shank of a type, to assist a compositor in placing it properly in the stick, and in distribution. W. Savage. (c) A broken or indented place in any edge or surface; nicks in china. 2. A particular point or place considered as marked by a nick; the exact point or critical moment. To cut it off in the very nick. Howell. This nick of time is the critical occasion for the gainger of a point. L'Estrange.\n\n1. To make a nick or nicks in; to notch; to keep count of or upon by nicks; as, to nick a stick, tally, etc. 2. To mar; to deface; to make ragged, as by cutting nicks or notches in. And thence proceed to nicking sashes. Prior. The itch of his affection should not then Have nicked his captainship. Shak. 3. To suit or fit into, as by a correspondence of nicks; to tally with. Words nicking and resembling one another are applicable to different significations. Camden. 4. To hit at, or in, the nick; to touch rightly; to strike at the precise point or time. The just season of doing things must be nicked, and all accidents improved. L'Estrange. 5. To make a cross cut or cuts on the under side of (the tail of a horse, in order to make him carry ir higher).\n\nTo nickname; to style. [Obs.] For Warbeck, as you nick him, came to me. Ford.
nickar nut |Same as Nicker nut, Nicker tree.
nickar tree |Same as Nicker nut, Nicker tree.
nickel |1. (Chem.)  A bright silver-white metallic element. It is of the iron group, and is hard, malleable, and ductile. It occurs combined with sulphur in millerite, with arsenic in the mineral niccolite, and with arsenic and sulphur in nickel glance. Symbol Ni. Atomic weight 58.6. Note: On account of its permanence in air and inertness to oxidation, it is used in the smaller coins, for plating iron, brass, etc., for chemical apparatus, and in certain alloys, as german silver. It is magnetic, and is very frequently accompanied by cobalt, both being found in meteoric iron. 2. A small coin made of or containing nickel; esp., a five-cent piece. [Colloq. U.S.] Nickel silver, an alloy of nickel, copper, and zinc; -- usually called german silver; called also argentan.
nickel steel |A kind of cast steel containing nickel, which greatly increases its strength. It is used for armor plate, bicycle tubing, propeller shafts, etc.
nickelic |Pertaining to, or containing, nickel; specifically, designating compounds in which, as contrasted with the nickelous compounds, the metal has a higher valence; as nickelic oxide.
nickeliferous |Containing nickel; as, nickelferous iron.
nickeline |1. (Chem.)  An alloy of nickel, a variety of German silver. 2. (Min.)  Niccolite.
nickelodeon |A place of entertainment, as for moving picture exhibition, charging a fee or admission price of five cents. [U. S.]
nickelous |Of, pertaining to, or designating, those compounds of nickel in which, as contrasted with the nickelic compounds, the metal has a lower valence; as, nickelous oxide. Frankland.
nicker |1. One of the night brawlers of London formerly noted for breaking windows with half-pence. [Cant] Arbuthnot. 2. The cutting lip which projects downward at the edge of a boring bit and cuts a circular groove in the wood to limit the size of the hole that is bored.
nicker nut |A rounded seed, rather smaller than a nutmeg, having a hard smooth shell, and a yellowish or bluish color. The seeds grow in the prickly pods of tropical, woody climbers of the genus Cæsalpinia. C. Bonduc has yellowish seeds; C.Bonducella, bluish gray. [Spelt also neckar nut, nickar nut.]
nicker tree |The plant producing nicker nuts. [Written also neckar tree and nickar tree.]
nicking |(a) The cutting made by the hewer at the side of the face. (b) pl.  Small coal produced in making the nicking.
nickle |The European woodpecker, or yaffle; -- called also nicker pecker.
nicknack |See Knickknack.
nicknackery |See Knickknackery.
nickname |A name given in contempt, derision, or sportive familiarity; a familiar or an opprobrious appellation.\n\nTo give a nickname to; to call by a nickname. You nickname virtue; vice you should have spoke. Shak. I altogether disclaim what has been nicknamed the doctrine of finality. Macaulay.
nicolaitan |One of certain corrupt persons in the early church at Ephesus, who are censured in rev. ii. 6, 15.
nicotian |Tobacco. [R.] B. Jonson.\n\nPertaining to, or derived from, tobacco. [R.] Bp. Hall.
nicotiana |A genus of American and Asiatic solanaceous herbs, with viscid foliage and funnel-shaped blossoms. Several species yield tobacco. See Tobacco.
nicotianine |A white waxy substance having a hot, bitter taste, extracted from tobacco leaves and called also tobacco camphor.
nicotic |Nicotinic.
nicotidine |A complex, oily, nitrogenous base, isomeric with nicotine, and obtained by the reduction of certain derivatives of the pyridine group.
nicotine |An alkaloid which is the active principle of tobacco. It is a colorless, transparent, oily liquid, having an acrid odor, and an acrid burning taste. It is intensely poisonous. Ure.
nicotinic |Pertaining to, or derived from, nicotine; nicotic; -- used specifically to designate an acid related to pyridine, obtained by the oxidation of nicotine, and called nicotinic acid.
nicotinism |The morbid condition produced by the excessive use of tobacco.
nictate |To wink; to nictitate.
nictation |the act of winking; nictitation.
nictitate |To wink; to nictate. Nictitating membrance (Anat.), a thin membrance, found in many animals at the inner angle, or beneath the lower lid, of the eye, and capable of being drawn across the eyeball; the third eyelid; the haw.
nictitation |The act of winking.
nidamental |of, pertaining to, or baring, eggs or egg capsules; as, the nidament capsules of certain gastropods; nidamental glands. See Illust. of Dibranchiata.
nidary |A collection of nests. [R.] velyn.
nide |A nestful; a brood; as, a nide of pheasants. [Obs.]
nidering |Infamous; dastardly. [Obs.] Sir W. Scott.
nidgery |A trifle; a piece of foolery. [Obs.] Skinner.
nidget |A fool; an idiot, a coward. [Obs.] Camden.
nidificate |To make a nest. Where are the fishes which nidificated in trees Lowell.
nidification |The act or process of building a nest.
niding |A coward; a dastard; -- a term of utmost opprobrium. [Obs.] He is worthy to be called a niding. Howell.
nidor |Scent or savor of meat or food, cooked or cooking. [Obs.] Jer. Taylor.
nidorose |Nidorous. [R.] Arbuthnot.
nidorous |Resembling the smell or taste of roast meat, or of corrupt animal matter. [R.]
nidulant |1. Nestling, as a bird in itss nest. 2. (Bot.)  Lying loose in pulp or cotton within a berry or pericarp, as in a nest.
nidulate |To make a nest, as a bird. [R.] Cockeram.
nidulation |The time of remaining in the nest. [R.] Sir T. Browne.
nidulite |A Silurian fossil, formerly supposed to consist of eggs.
nidus |A nest: a repository for the eggs of birds, insects, etc.; a breeding place; esp., the place or substance where parasites or the germs of a disease effect lodgment or are developed.
niece |1. A relative, in general; especially, a descendant, whether male or female; a granddaughter or a grandson. [Obs.] B. Jonson. Wyclif. Shak. 2. A daughter of one's brother or sister, or of one's brother-in-law or sister-in-law.
nief |See Neif, the fist.
niellist |One who practices the style of ornamentation called niello.
niello |1. A metallic alloy of a deep black color. 2. The art, process, or method of decorating metal with incised designs filled with the black alloy. 3. A piece of metal, or any other object, so decorated. 4. An impression on paper taken from an ancient incised decoration or metal plate. NIEPCE'S PROCESS Niep\"ce's proc\"ess. (Photog.)  A process, now no longer used, invented by J. N. Niepce, a French chemist, in 1829. It depends upon the action of light in rendering a thin layer of bitumen, with which the plate is coated, insoluble.
nifle |A trifle. [Obs.] Chaucer.
niggard |A person meanly close and covetous; one who spends grudgingly; a stingy, parsimonous fellow; a miser. Chaucer. A penurious niggard of his wealth. Milton. Be niggards of advice on no pretense. Pope.\n\nLike a niggard; meanly covetous or parsimonious; niggardly; miserly; stingy.\n\nTo act the niggard toward; to be niggardly. [R.] Shak.
niggardise |Niggardliness. [Obs.] Spenser.
niggardish |Somewhat niggard.
niggardliness |The quality or state of being niggard; meanness in giving or spending; parsimony; stinginess. Niggardliness is not good husbandry. Addison.
niggardly |Meanly covetous or avarcious in dealing with others; stingy; niggard. Where the owner of the house will be bountiful, it is not for the steward to be niggardly. Bp. Hall. Syn. -- Avarcious; covetous; parsimonious; sparing; miserly; penurios; sordid; stingy. See Avaricious.\n\nIn a niggard manner.
niggardness |Niggardliness. Sir P. Sidney.
niggardous |Niggardly. [Obs.] Covetous gathering and niggardous keeping. Sir T. More.
niggardship |Niggardliness. [Obs.] Sir T. Elyot.
niggardy |Niggardliness. [Obs.] Chaucer.
nigged |Hammer-dressed; -- said of building stone.
nigger |A negro; -- in vulgar derision or depreciation.
niggerhead |A strong black chewing tobacco, usually in twisted plug form; negro head.
niggish |Niggardly. [Obs.]
niggle |To trifle with; to deceive; to mock. [Obs.] Beau. & Fl.\n\n1. To trifle or play. Take heed, daughter, You niggle not with your conscience and religion. Massinger. 2. To act or walk mincingly. [Prov. Eng.] 3. To fret and snarl about trifles. [Prov. Eng.]
niggler |One who niggles.
niggling |Finicky or pottering work; specif. (Fine Arts),  minute and very careful workmanship in drawing, painting, or the like, esp. when bestowed on unimportant detail.
nigh |1. Not distant or remote in place or time; near. The loud tumult shows the battle nigh. Prior. 2. Not remote in degree, kindred, circumstances, etc.; closely allied; intimate. \"Nigh kinsmen.\" Knolles. Ye ... are made nigh by the blood of Christ. Eph. ii. 13. Syn. -- Near; close; adjacent; contiguous; present; neighboring.\n\n1. In a situation near in place or time, or in the course of events; near. He was sick, nigh unto death. Phil. ii. 27. He drew not nigh unheard; the angel bright, Ere he drew nigh, his radiant visage turned. Milton. 2. Almost; nearly; as, he was nigh dead.\n\nTo draw nigh (to); to approach; to come near. [Obs.] Wyclif (Matt. iii. 2).\n\nNear to; not remote or distant from. \"was not this nigh shore\" Shak.
nighly |In a near relation in place, time, degree, etc.; within a little; almost. [Obs.] A cube and a sphere ... nighly of the same bigness. Locke.
nighness |The quality or state of being nigh. [R.] \"Nighness of blood.\" Holished.
night |1. That part of the natural day when the sun is beneath the horizon, or the time from sunset to sunrise; esp., the time between dusk and dawn, when there is no light of the sun, but only moonlight, starlight, or artificial light. And God called the light Day, and the darkness he called Night. Gen. i. 5. 2. Hence: (a) Darkness; obscurity; concealment. Nature and nature's laws lay hid in night. Pope. (b) Intellectual and moral darkness; ignorance. (c) A state of affliction; adversity; as, a dreary night of sorrow. (d) The period after the close of life; death. She closed her eyes in everlasting night. Dryden. (e) A lifeless or unenlivened period, as when nature seems to sleep. \"Sad winter's night\". Spenser. Note: Night is sometimes used, esp. with participles, in the formation of self-explaining compounds; as, night-blooming, night- born, night-warbling, etc. Night by night, Night after night, nightly; many nights. So help me God, as I have watched the night, Ay, night by night, in studying good for England. Shak. -- Night bird. (Zoöl.) (a) The moor hen (Gallinula chloropus). (b) The Manx shearwater (Puffinus Anglorum). -- Night blindness. (Med.) See Hemeralopia. -- Night cart, a cart used to remove the contents of privies by night. -- Night churr, (Zoöl.), the nightjar. -- Night crow, a bird that cries in the night. -- Night dog, a dog that hunts in the night, -- used by poachers. -- Night fire. (a) Fire burning in the night. (b) Ignis fatuus; Will-o'-the-wisp; Jask-with-a-lantern. -- Night flyer (Zoöl.), any creature that flies in the night, as some birds and insects. -- night glass, a spyglass constructed to concentrate a large amount of light, so as see objects distinctly at night. Totten. -- Night green, iodine green. -- Night hag, a witch supposed to wander in the night. -- Night hawk (Zoöl.), an American bird (Chordeiles Virginianus), allied to the goatsucker. It hunts the insects on which it feeds toward evening, on the wing, and often, diving down perpendicularly, produces a loud whirring sound, like that of a spinning wheel. Also sometimes applied to the European goatsuckers. It is called also bull bat. -- Night heron (Zoöl.), any one of several species of herons of the genus Nycticorax, found in various parts of the world. The best known species is Nycticorax griseus, or N. nycticorax, of Europe, and the American variety (var. nævius). The yellow-crowned night heron (Nycticorax violaceus) inhabits the Southern States. Called also qua- bird, and squawk. -- Night house, a public house, or inn, which is open at night. -- Night key, a key for unfastening a night latch. -- Night latch, a kind of latch for a door, which is operated from the outside by a key. -- Night monkey (Zoöl.), an owl monkey. -- night moth (Zoöl.), any one of the noctuids. -- Night parrot (Zoöl.), the kakapo. -- Night piece, a painting representing some night scene, as a moonlight effect, or the like. -- Night rail, a loose robe, or garment, worn either as a nightgown, or over the dress at night, or in sickness. [Obs.] -- Night raven (Zoöl.), a bird of ill omen that cries in the night; esp., the bittern. -- Night rule. (a) A tumult, or frolic, in the night; -- as if a corruption, of night revel. [Obs.] (b) Such conduct as generally rules, or prevails, at night. What night rule now about this haunted grove Shak. -- Night sight. (Med.) See Nyctolopia. -- Night snap, a night thief. [Cant] Beau. & Fl. -- Night soil, human excrement; -- so called because in cities it is collected by night and carried away for manure. -- Night spell, a charm against accidents at night. -- Night swallow (Zoöl.), the nightjar. -- Night walk, a walk in the evening or night. -- Night walker. (a) One who walks in his sleep; a somnambulist; a noctambulist. (b) One who roves about in the night for evil purposes; specifically, a prostitute who walks the streets. -- Night walking. (a) Walking in one's sleep; somnambulism; noctambulism. (b) Walking the streets at night with evil designs. -- Night warbler (Zoöl.), the sedge warbler (Acrocephalus phragmitis); -- called also night singer. [prov. Eng.] -- Night watch. (a) A period in the night, as distinguished by the change of watch. (b) A watch, or guard, to aford protection in the night. -- Night watcher, one who watches in the night; especially, one who watches with evil designs. -- Night witch. Same as Night hag, above.
night letter |See Letter, above.
night lettergram |See Letter, above.
night terrors |A sudden awkening associated with a sensation of terror, occurring in children, esp. those of unstable nervous constitution.
night-blooming |Blooming in the night. Night-blooming cereus. (Bot.) See Note under Cereus.
night-eyed |Capable of seeing at night; sharp-eyed. \"Your night-eyed Tiberius.\" B. Jonson.
night-faring |Going or traveling in the night. Gay.
nightcap |1. A cap worn in bed to protect the head, or in undress. 2. A potion of spirit drank at bedtime. [Cant] Wright.
nightdress |A nightgown.
nighted |1. Darkness; clouded. [R.] Shak. 2. Overtaken by night; belated. Beau. & Fl.
nightertale |period of night; nighttime. [Obs.] Chaucer.
nightfall |The close of the day. Swift.
nightgown |A loose gown used for undress; also, a gown used for a sleeping garnment.
nightingale |1. (Zoöl.)  A small, plain, brown and gray European song bird (Luscinia luscinia). It sings at night, and is celebrated for the sweetness of its song. 2. (Zoöl.)  A larger species (Lucinia philomela), of Eastern Europe, having similar habits; the thrush nightingale. The name is also applied to other allied species. Mock nightingale. (Zoöl.) See Blackcap, n., 1 (a).
nightish |Of or pertaining to night.
nightjar |A goatsucker, esp. the European species. See Illust. of Goatsucker.
nightless |Having no night.
nightlong |Lasting all night.
nightly |Of or pertaining to the night, or to every night; happening or done by night, or every night; as, nightly shades; he kept nightly vigils.\n\nAt night; every night.
nightman |One whose business is emptying privies by night.
nightmare |1. A fiend or incubus formerly supposed to cause trouble in sleep. 2. A condition in sleep usually caused by improper eating or by digestive or nervous troubles, and characterized by a sense of extreme uneasiness or discomfort (as of weight on the chest or stomach, impossibility of motion or speech, etc.), or by frightful or oppressive dreams, from which one wakes after extreme anxiety, in a troubled state of mind; incubus. Dunglison. 3. Hence, any overwhelming, oppressive, or stupefying influence.
nightshade |A common name of many species of the genus Solanum, given esp. to the Solanum nigrum, or black nightshade, a low, branching weed with small white flowers and black berries reputed to be poisonous. Deadly nightshade. Same as Belladonna (a). -- Enchanter's nightshade. See under Enchanter. -- Stinking nightshade. See Henbane. -- Three-leaved nightshade. See Trillium.
nightshirt |A kind of nightgown for men.
nighttime |The time from dusk to dawn; -- opposed to Ant: daytime.
nightward |Approaching toward night.
nigraniline |The complex, nitrogenous, organic base and dyestuff called also aniline black.
nigrescent |Growing black; changing to a black color; approaching to blackness. Johnson.
nigrification |The act or process of making black. [R.] Johnson.
nigrine |A ferruginous variety of rutile.
nigritic |Pertaining to, or having the characteristics of, negroes, or of the Negritos, Papuans, and the Melanesian races; negritic.
nigritude |Blackness; the state of being black. Lamb.
nigromancie |Necromancy. [Obs.]
nigromancien |A necromancer. [Obs.] These false enchanters or nigromanciens. Chaucer.
nigrosine |A dark blue dyestuff, of the induline group; -- called also azodiphenyl blue.
nigua |The chigoe.
nihil |Nothing. Nihil album Etym: [L., white nothing] (Chem.), oxide of zinc. See under Zinc. -- Nihil debet Etym: [L., he owes nothing] (Law), the general issue in certain actions of debt. -- Nihil dicit Etym: [L., he says nothing] (Law), a declinature by the defendant to plead or answer. Tomlins.
nihilism |1. Nothingness; nihility. 2. The doctrine that nothing can be known; scepticism as to all knowledge and all reality. 3. (Politics)  The theories and practices of the Nihilists.
nihilist |1. One who advocates the doctrine of nihilism; one who believes or teaches that nothing can be known, or asserted to exist. 2. (Politics)  A member of a secret association (esp. in Russia), which is devoted to the destruction of the present political, religious, and social institutions.
nihilistic |Of, pertaining to, or characterized by, nihilism.
nihility |Nothingness; a state of being nothing.
nil |Will not. [Obs.] Chaucer.\n\nNothing; of no account; worthless; -- a term often used for canceling, in accounts or bookkeeping. A. J. Ellis.
