evolutionism |The theory of, or belief in, evolution. See Evolution, 6 and 7.
exchange |1. The act of giving or taking one thing in return for another which is regarded as an equivalent; as, an exchange of cattle for grain. 2. The act of substituting one thing in the place of another; as, an exchange of grief for joy, or of a scepter for a sword, and the like; also, the act of giving and receiving reciprocally; as, an exchange of civilities or views. 3. The thing given or received in return; esp., a publication exchanged for another. Shak. 4. (Com.)  The process of setting accounts or debts between parties residing at a distance from each other, without the intervention of money, by exchanging orders or drafts, called bills of exchange. These may be drawn in one country and payable in another, in which case they are called foreign bills; or they may be drawn and made payable in the same country, in which case they are called inland bills. The term bill of exchange is often abbreviated into exchange; as, to buy or sell exchange. Note: A in London is creditor to B in New York, and C in London owes D in New York a like sum. A in London draws a bill of exchange on B in New York; C in London purchases the bill, by which A receives his debt due from B in New York. C transmits the bill to D in New York, who receives the amount from B. 5. (Law)  A mutual grant of equal interests, the one in consideration of the other. Estates exchanged must be equal in quantity, as fee simple for fee simple. Blackstone. 6. The place where the merchants, brokers, and bankers of a city meet at certain hours, to transact business. In this sense often contracted to 'Change. Arbitration of exchange. See under Arbitration. -- Bill of exchange. See under Bill. -- Exchange broker. See under Broker. -- Par of exchange, the established value of the coin or standard of value of one country when expressed in the coin or standard of another, as the value of the pound sterling in the currency of France or the United States. The par of exchange rarely varies, and serves as a measure for the rise and fall of exchange that is affected by the demand and supply. Exchange is at par when, for example, a bill in New York, for the payment of one hundred pounds sterling in London, can be purchased for the sum. Exchange is in favor of a place when it can be purchased there at or above par. -- Telephone exchange, a central office in which the wires of any two telephones or telephone stations may be connected to permit conversation. Syn. -- Barter; dealing; trade; traffic; interchange.\n\n1. To part with give, or transfer to another in consideration of something received as an equivalent; -- usually followed by for before the thing received. Exchange his sheep for shells, or wool for a sparking pebble or a diamond. Locke. 2. To part with for a substitute; to lay aside, quit, or resign (something being received in place of the thing as, to exchange a palace for cell. And death for life exchanged foolishly. Spenser. To shift his being Is to exchange one misery with another. Shak. 3. To give and receive reciprocally, as things of the same kind; to barter; to swap; as, to exchange horses with a neighbor; to exchange houses or hats. Exchange forgiveness with me, noble Hamlet. Shak. Syn. -- To barter; change; commute; interchange; bargain; truck; swap; traffic.\n\nTo be changed or received in exchange for; to pass in exchange; as, dollar exchanges for ten dimes.
exchange editor |An editor who inspects, and culls from, periodicals, or exchanges, for his own publication.
exchangeability |The quality or state of being exchangeable. The law ought not be contravened by an express article admitting the exchangeability of such persons. Washington.
exchangeable |1. Capable of being exchanged; fit or proper to be exchanged. The officers captured with Burgoyne were exchangeable within the powers of General Howe. Marshall. 2. Available for making exchanges; ratable. \"An exchangeable value.\" J. S. Mill.
exchangeably |By way of exchange.
exchanger |One who exchanges; one who practices exchange. Matt.
excheat |See Escheat. [Obs.] Spenser.
excheator |See Escheator. [Obs.]
exchequer |1. One of the superior courts of law; -- so called from a checkered cloth, which covers, or formerly covered, the table. [Eng.] Note: The exchequer was a court of law and equity. In the revenue department, it had jurisdiction over the proprietary rights of the crown against subjects; in the common law department, it administered justice in personal actions between subject and subject. A person proceeding against another in the revenue department was said to exchequer him. The judges of this court were one chief and four puisne barons, so styled. The Court of Exchequer Chamber sat as court of error in which the judgments of each of the superior courts of common law, in England, were subject to revision by the judges of the other two sitting collectively. Causes involving difficult questions of law were sometimes after argument, adjourned into this court from the other courts, for debate before judgment in the court below. Recent legislation in England (1880) has abolished the Court of Exchequer and the Court of Exchequer Chamber, as distinct tribunals, a single board of judiciary, the High Court of Justice, being established for the trial of all classes of civil cases. Wharton. 2. The department of state having charge of the collection and management of the royal revenue. [Eng.] Hence, the treasury; and, colloquially, pecuniary possessions in general; as, the company's exchequer is low. Barons of the exchequer. See under Baron. -- Chancellor of the exchequer. See under Chancellor. -- Exchequer bills or bonds (Eng.), bills of money, or promissory bills, issued from the exchequer by authority of Parliament; a species of paper currency emitted under the authority of the government, and bearing interest.\n\nTo institute a process against (any one) in the Court of Exchequer.
excide |To cut off. [R.]
excipient |Taking an exception.\n\n1. An exceptor. [R.] 2. (Med.)  An inert or slightly active substance used in preparing remedies as a vehicle or medium of administration for the medicinal agents. Chambers.
exciple |The outer part of the fructification of most lichens.
excipulum |The outer part of the fructification of most lichens.
excisable |Liable or subject to excise; as, tobacco in an excisable commodity.
excise |1. In inland duty or impost operating as an indirect tax on the consumer, levied upon certain specified articles, as, tobacco, ale, spirits, etc., grown or manufactured in the country. It is also levied to pursue certain trades and deal in certain commodities. Certain direct taxes (as, in England, those on carriages, servants, plate, armorial bearings, etc.), are included in the excise. Often used adjectively; as, excise duties; excise law; excise system. The English excise system corresponds to the internal revenue system in the United States. Abbot. An excise . . . is a fixed, absolute, and direct charge laid on merchandise, products, or commodities. 11 Allen's (Mass. ) Rpts. 2. That department or bureau of the public service charged with the collection of the excise taxes. [Eng.]\n\n1. To lay or impose an excise upon. 2. To impose upon; to overcharge. [Prov. Eng.]\n\nTo cut out or off; to separate and remove; as, to excise a tumor.
exciseman |An officer who inspects and rates articles liable to excise duty. Macaulay.
excision |1. The act of excising or cutting out or off; extirpation; destruction. Such conquerors are the instruments of vengeance on those nations that have . . . grown ripe for excision. Atterbury. 2. (Eccl.)  The act of cutting off from the church; excommunication. 3. (Surg.)  The removal, especially of small parts, with a cutting instrument. Dunglison.
excitability |1. The quality of being readily excited; proneness to be affected by exciting causes. 2. (Physiol.)  The property manifested by living organisms, and the elements and tissues of which they are constituted, of responding to the action of stimulants; irritability; as, nervous excitability.
excitable |Capable of being excited, or roused into action; susceptible of excitement; easily stirred up, or stimulated.
excitant |Tending to excite; exciting.\n\nAn agent or influence which arouses vital activity, or produces increased action, in a living organism or in any of its tissues or parts; a stimulant.
excitate |To excite. [Obs.] Bacon.
excitation |1. The act of exciting or putting in motion; the act of rousing up or awakening. Bacon. 2. (Physiol.)  The act of producing excitement (stimulation); also, the excitement produced.
excitative |Having power to excite; tending or serving to excite; excitatory. Barrow.
excitator |A kind of discarder.
excitatory |Tending to excite; containing excitement; excitative.
excite |1. To call to activity in any way; to rouse to feeling; to kindle to passionate emotion; to stir up to combined or general activity; as, to excite a person, the spirits, the passions; to excite a mutiny or insurrection; to excite heat by friction. 2. (Physiol.)  To call forth or increase the vital activity of an organism, or any of its parts. Syn. -- To incite; awaken; animate; rouse or arouse; stimulate; inflame; irritate; provoke. -- To Excite, Incite. When we excite we rouse into action feelings which were less strong; when we incite we spur on or urge forward to a specific act or end. Demosthenes excited the passions of the Athenians against Philip, and thus incited the whole nation to unite in the war against him. Antony, by his speech over the body of Cæsar, so excited the feelings of the populace, that Brutus and his companions were compelled to flee from Rome; many however, were incited to join their standard, not only by love of liberty, but hopes of plunder.
exciteful |Full of exciting qualities; as, an exciteful story; exciteful players. Chapman.
excitement |1. The act of exciting, or the state of being roused into action, or of having increased action; impulsion; agitation; as, an excitement of the people. 2. That which excites or rouses; that which moves, stirs, or induces action; a motive. The cares and excitements of a season of transition and struggle. Talfowrd. 3. (Physiol.)  A state of aroused or increased vital activity in an organism, or any of its organs or tissues.
exciter |One who, or that which, excites. Hope is the grand exciter of industry. Dr. H. More.
exciting |Calling or rousing into action; producing excitement; as, exciting events; an exciting story. -- Ex*cit\"ing*ly, adv. Exciting causes (Med.), those which immediately produce disease, or those which excite the action of predisposing causes.
excitive |Serving or tending to excite; excitative. [R.] Bamfield.\n\nThat which excites; an excitant. [R.]
excito-motion |Motion excited by reflex nerves. See Excito-motory.
excito-motor |Excitomotory; as, excito-motor power or causes.
excito-motory |Exciting motion; -- said of that portion of the nervous system concerned in reflex action, by which impressions are transmitted to a nerve center and then reflected back so as to produce muscular contraction without sensation or volition.
excito-nutrient |Exciting nutrition; said of the reflex influence by which the nutritional processes are either excited or modified.
excito-secretory |Exciting secretion; -- said of the influence exerted by reflex action on the function of secretion, by which the various glands are excited to action.
exclaim |To cry out from earnestness or passion; to utter with vehemence; to call out or declare loudly; to protest vehemently; to vociferate; to shout; as, to exclaim against oppression with wonder or astonishment; \"The field is won!\" he exclaimed.\n\nOutcry; clamor. [Archaic] Cursing cries and deep exclaims. Shak.
exclaimer |One who exclaims.
exclamation |1. A loud calling or crying out; outcry; loud or emphatic utterance; vehement vociferation; clamor; that which is cried out, as an expression of feeling; sudden expression of sound or words indicative of emotion, as in surprise, pain, grief, joy, anger, etc. Exclamations against abuses in the church. Hooker. Thus will I drown your exclamations. Shak. A festive exclamation not unsuited to the occasion. Trench. 2. (Rhet.)  A word expressing outcry; an interjection; a word expressing passion, as wonder, fear, or grief. 3. (Print.)  A mark or sign by which outcry or emphatic utterance is marked; thus [!]; -- called also exclamation point.
exclamative |Exclamatory. Earle. -- Ex*clam\"a*tive*ly, adv.
exclamatory |Containing, expressing, or using exclamation; as, an exclamatory phrase or speaker. South. -- Ex*clam\"a*to*ti*ly, adv.
exclave |A portion of a country which is separated from the main part and surrounded by politically alien territory. [Recent.] Note: The same territory is an enclave in respect to the surrounding country and an exclave with respect to the country to which it is politically attached.
exclude |1. To shut out; to hinder from entrance or admission; to debar from participation or enjoyment; to deprive of; to except; -- the opposite to admit; as, to exclude a crowd from a room or house; to exclude the light; to exclude one nation from the ports of another; to exclude a taxpayer from the privilege of voting. And none but such, from mercy I exclude. Milton. 2. To thrust out or eject; to expel; as, to exclude young animals from the womb or from eggs. Excluded middle. (logic) The name given to the third of the \"three logical axioms,\" so-called, namely, to that one which is expressed by the formula: \"Everything is either A or Not-A.\" no third state or condition being involved or allowed. See Principle of contradiction, under Contradiction.
exclusion |1. The act of excluding, or of shutting out, whether by thrusting out or by preventing admission; a debarring; rejection; prohibition; the state of being excluded. His sad exclusion from the doors of bliss. Milton. The exclusion of the duke from the crown of England and Ireland. Hume. 2. (Physiol.)  The act of expelling or ejecting a fetus or an egg from the womb. 3. Thing emitted. Sir T. Browne.
exclusionary |Tending to exclude; causing exclusion; exclusive.
exclusionism |The character, manner, or principles of an exclusionist.
exclusionist |One who would exclude another from some right or privilege; esp., one of the anti-popish politicians of the time of Charles
exclusive |1. Having the power of preventing entrance; debarring from participation or enjoyment; possessed and enjoyed to the exclusion of others; as, exclusive bars; exclusive privilege; exclusive circles of society. 2. Not taking into the account; excluding from consideration; -- opposed to inclusive; as, five thousand troops, exclusive of artillery.\n\nOne of a coterie who exclude others; one who from real of affected fastidiousness limits his acquaintance to a select few.
exclusiveness |Quality of being exclusive.
exclusivism |The act or practice of excluding being exclusive; exclusiveness.
exclusivist |One who favor or practices any from of exclusiveness or exclusivism. The field of Greek mythology . . . the favorite sporting ground of the exclusivists of the solar theory. Gladstone.
exclusory |Able to exclude; excluding; serving to exclude.
excoct |To boil out; to produce by boiling. [Obs.] Bacon.
excoction |The act of excocting or boiling out. [Obs.] Bacon.
excogitate |To think out; to find out or discover by thinking; to devise; to contrive. \"Excogitate strange arts.\" Stirling. This evidence . . . thus excogitated out of the general theory. Whewell.\n\nTo cogitate. [R.] Bacon.
excogitation |The act of excogitating; a devising in the thoughts; invention; contrivance.
excommune |To exclude from participation in; to excommunicate. [Obs.] Poets . . . were excommuned Plato's common wealth Gayton.
excommunicable |Liable or deserving to be excommunicated; making excommunication possible or proper. \"Persons excommunicable .\" Bp. Hall. What offenses are excommunicable Kenle.
excommunicant |One who has been excommunicated.
excommunicate |Excommunicated; interdicted from the rites of the church. -- n.  One excommunicated. Thou shalt stand cursed and excommunicate. Shak.\n\n1. To put out of communion; especially, to cut off, or shut out, from communion with the church, by an ecclesiastical sentence. 2. To lay under the ban of the church; to interdict. Martin the Fifth . . . was the first that excommunicated the reading of heretical books. Miltin.
excommunication |The act of communicating or ejecting; esp., an ecclesiastical censure whereby the person against whom it is pronounced is, for the time, cast out of the communication of the church; exclusion from fellowship in things spiritual. Note: excommunication is of two kinds, the lesser and the greater; the lesser excommunication is a separation or suspension from partaking of the Eucharist; the greater is an absolute execution of the offender from the church and all its rights and advantages, even from social intercourse with the faithful.
excommunicator |One who excommunicates.
excommunion |. A shutting out from communion; excommunication. [Obs.] Excommunication is the utmost of ecclesiastical judicature. Milton.
excoriable |. Capable of being excoriated. The scaly covering of fishes, . . . even in such as are excoriatable. Sir T. Browne.
excoriate |To strip or wear off the skin of; to abrade; to gall; to break and remove the cuticle of, in any manner, as by rubbing, beating, or by the action of acrid substances.
excoriation |1. The act of excoriating or flaying, or state of being excoriated, or stripped of the skin; abrasion. 2. Stripping of possession; spoliation. [Obs.] A pitiful excoriation of the poorer sort. Howell.
excorticate |To strip of bark or skin; to decorticate. [Obs.] \"Excorticate the tree.\" Evelyn.
excortication |The act of stripping off bark, or the state of being thus stripped; decortication.
excreable |Capable of being discharged by spitting. [Obs.] Swift.
excreate |To spit out; to discharge from the throat by hawking and spitting. [Obs.] Cockeram.
excreation |Act of spitting out. [Obs.] Cockeram.
excrement |Matter excreted and ejected; that which is excreted or cast out of the animal body by any of the natural emunctories; especially, alvine, discharges; dung; ordure.\n\nAn excrescence or appendage; an outgrowth. [Obs.] \"Ornamental excrements.\" Fuller. Living creatures put forth (after their period of growth) nothing that is young but hair and nails, which are excrements and no parts. Bacon.
excremental |Of or pertaining to excrement.
excrementitial |Pertaining to, or consisting of, excrement; of the nature of excrement.
excrementitious |Pertaining to, or consisting of, excrement; of the nature of excrement.
excrementive |Serving to excrete; connected with excretion or excrement. [R.] \"The excrementive parts.\" Felthman.
excrementize |To void excrement. [R.] Life of A. Wood
excrescence |An excrescent appendage, as, a wart or tumor; anything growing out unnaturally from anything else; a preternatural or morbid development; hence, a troublesome superfluity; an incumbrance; as, an excrescence on the body, or on a plant. \"Excrescences of joy.\" Jer. Taylor. The excrescences of the Spanish monarchy. Addison.
excrescency |Excrescence. [Obs.]
excrescent |Growing out in an abnormal or morbid manner or as a superfluity. Expunge the whole, or lip the excrescent parts. Pope. Excrescent letter (Philol.), a letter which has been added to a root; as, the d in alder (AS. alr) is an excrescent letter.
excrescential |Pertaining to, or resembling, an excrescence. [R.] Hawthorne.
excreta |Matters to be excreted.
excrete |To separate and throw off; to excrete urine. \"The mucus thus excreted.\" Hooper.
excretin |A nonnitrogenous, crystalline body, present in small quantity in human fæces.
excretion |1. The act of excreting. To promote secretion and excretion. Pereira. 2. That which is excreted; excrement. Bacon.
excretive |Having the power of excreting, or promoting excretion. Harvey.
excretory |Having the quality of excreting, or throwing off excrementitious matter.
excruciable |Liable to torment. [R.] Bailey.
excruciate |Excruciated; tortured. And here my heart long time excruciate. Chapman.\n\nTo inflict agonizing pain upon; to torture; to torment greatly; to rack; as, to excruciate the heart or the body. Their thoughts, like devils, them excruciate. Drayton.
excruciating |. Torturing; racking. \"Excruciating pain.\" V. Knox. \"Excruciating fears.\" Bentley -- Ex*cru\"ci*a`ting*ly, adv.
excruciation |The act of inflicting agonizing pain, or the state of being thus afflicted; that which excruciates; torture. Feltham.
excubation |A keeping watch. [Obs.] Bailey.
excubitorium |A gallery in a church, where persons watched all night.
exculpable |. Capable of being exculpated; deserving exculpation. Sir G. Buck.
exculpate |To clear from alleged fault or guilt; to prove to be guiltless; to relieve of blame; to acquit. He exculpated himself from being the author of the heroic epistle. Mason. I exculpate him further for his writing against me. Milman. Syn. -- To exonerate; absolve; clear; acquit; excuse; vindicate; justify.
exculpation |The act of exculpating from alleged fault or crime; that which exculpates; excuse. These robbers, however, were men who might have made out a strong case in exculpation of themselves. Southey.
exculpatory |. Clearing, or tending to clear, from alleged fault or guilt; excusing. \"An exculpatory letter.\" Johnson.
excur |To run out or forth; to extend. [Obs.] Harvey.
excurrent |1. Running or flowing out; as: (Bot.)  Running or extending out; as, an excurrent midrib, one which projects beyond the apex of a leaf; an excurrent steam or trunk, one which continues to the top. 2. (Zoöl)  Characterized by a current which flows outward; as, an excurrent orifice or tube.
excurse |To journey or pass thought. [R.]
excursion |1. A running or going out or forth; an expedition; a sally. Far on excursion toward the gates of hell. Milton. They would make excursions and waste the country. Holland. 2. A journey chiefly for recreation; a pleasure trip; a brief tour; as, an excursion into the country. 3. A wandering from a subject; digression. I am not in a scribbling mood, and shall therefore make no excursions. Cowper. 4. (Mach.)  Length of stroke, as of a piston; stroke. [An awkward use of the word.] Syn. -- Journey; tour; ramble; jaunt. See Journey.
excursionist |One who goes on an excursion, or pleasure trip.
excursive |Prone to make excursions; wandering; roving; exploring; as, an excursive fancy. The course of excursive . . . understandings. I. Taylor. -- Ex*cur\"sive*ly, adv. -- Ex*cur\"sive*ness, , n.
excursus |A dissertation or digression appended to a work, and containing a more extended exposition of some important point or topic.
excusable |That may be excused, forgiven, justified, or acquitted of blame; pardonable; as, the man is excusable; an excusable action. -- Ex*cus\"a*ble*ness, n. -- Ex*cus\"a*bly, adv. The excusableness of my dissatisfaction. Boyle.
excusation |Excuse; apology. [Obs.] Bacon.
excusator |One who makes, or is authorized to make, an excuse; an apologist. [Obs.] Hume.
excusatory |Making or containing excuse or apology; apologetical; as, an excusatory plea.
excuse |1. To free from accusation, or the imputation of fault or blame; to clear from guilt; to release from a charge; to justify by extenuating a fault; to exculpate; to absolve; to acquit. A man's persuasion that a thing is duty, will not excuse him from guilt in practicing it, if really and indeed it be against Gog's law. Abp. Sharp. 2. To pardon, as a fault; to forgive entirely, or to admit to be little censurable, and to overlook; as, we excuse irregular conduct, when extraordinary circumstances appear to justify it. I must excuse what can not be amended. Shak. 3. To regard with indulgence; to view leniently or to overlook; to pardon. And in our own (excuse some courtly stains.) No whiter page than Addison remains. Pope. 4. To free from an impending obligation or duty; hence, to disengage; to dispense with; to release by favor; also, to remit by favor; not to exact; as, to excuse a forfeiture. I pray thee have me excused. xiv. 19. 5. To relieve of an imputation by apology or defense; to make apology for as not seriously evil; to ask pardon or indulgence for. Think ye that we excuse ourselves to you 2 Cor. xii. 19. Syn. -- To vindicate; exculpate; absolve; acquit. - To Pardon, Excuse, Forgive. A superior pardons as an act of mercy or generosity; either a superior or an equal excuses. A crime, great fault, or a grave offence, as one against law or morals, may be pardoned; a small fault, such as a failure in social or conventional obligations, slight omissions or neglects may be excused. Forgive relates to offenses against one's self, and punishment foregone; as, to forgive injuries or one who has injured us; to pardon grave offenses, crimes, and criminals; to excuse an act of forgetfulness, an unintentional offense. Pardon is also a word of courtesy employed in the sense of excuse.\n\n1. The act of excusing, apologizing, exculpating, pardoning, releasing, and the like; acquittal; release; absolution; justification; extenuation. Pleading so wisely in excuse of it. Shak. 2. That which is offered as a reason for being excused; a plea offered in extenuation of a fault or irregular deportment; apology; as, an excuse for neglect of duty; excuses for delay of payment. Hence with denial vain and coy excuse. Milton. 3. That which excuses; that which extenuates or justifies a fault. \"It hath the excuse of youth.\" Shak. If eyes were made for seeing. Then beauty is its own excuse for being. Emerson. Syn. -- See Apology.
excuseless |Having no excuse; not admitting of excuse or apology. Whillock.
excusement |Excuse. [Obs.] Gower.
excuser |1. One who offers excuses or pleads in extenuation of the fault of another. Swift. 2. One who excuses or forgives another. Shelton.
excuss |1. To shake off; to discard. [R.] To excuss the notation of a Geity out of their minds. Bp. Stillingfleet. 2. To inspect; to investigate; to decipher. [R.] To take some pains in excusing some old monuments. F. Junius (1654). 3. To seize and detain by law, as goods. [Obs.] Ayliffe.
excussion |The act of excusing; seizure by law. [Obs.] Ayliffe.
exeat |1. A license for absence from a college or a religious house. [Eng.] Shipley. 2. A permission which a bishop grants to a priest to go out of his diocese. Wharton.
execrable |Deserving to be execrated; accursed; damnable; detestable; abominable; as, an execrable wretch. \"Execrable pride.\" Hooker. -- Ex\"e*cra*ble*ness, n. -- Ex\"e*cra*bly, adv.
execrate |To denounce evil against, or to imprecate evil upon; to curse; to protest against as unholy or detestable; hence, to detest utterly; to abhor; to abominate. \"They . . . execrate their lct.\" Cowper.
execration |1. The act of cursing; a curse dictated by violent feelings of hatred; imprecation; utter detestation expressed. Cease, gentle, queen, these execrations. Shak. 2. That which is execrated; a detested thing. Ye shall be an execration and . . . a curse. Jer. xlii. 18. Syn. -- See Malediction.
execrative |Cursing; imprecatory; vilifying. Carlyle. -- Ex\"e*cra*tive*ly, adv.\n\nA word used for cursing; an imprecatory word or expression. Earle.
execratory |Of the nature of execration; imprecatory; denunciatory. C. Kingsley. -- n.  A formulary of execrations. L. Addison.
exect |To cut off or out. [Obs.] See Exsect. Harvey.
exection |See Exsection.
executable |Capable of being executed; feasible; as, an executable project. [R.]
executant |One who executes or performs; esp., a performer on a musical instrument. Great executants on the organ. De Quincey.
execute |1. To follow out or through to the end; to carry out into complete effect; to complete; to finish; to effect; to perform; Why delays His hand to execute what his decree Fixed on this day Milton. 2. To complete, as a legal instrument; to perform what is required to give validity to, as by signing and perhaps sealing and delivering; as, to execute a deed, lease, mortgage, will, etc. 3. To give effect to; to do what is provided or required by; to perform the requirements or stimulations of; as, to execute a decree, judgment, writ, or process. 4. To infect capital punishment on; to put to death in conformity to a legal sentence; as, to execute a traitor. 5. Too put to death illegally; to kill. [Obs.] Shak. 6. (Mus.)  To perform, as a piece of music, either on an instrument or with the voice; as, to execute a difficult part brilliantly. Syn. -- To accomplish; effect; fulfill; achieve; consummate; finish; complete. See Accomplish.\n\n1. To do one's work; to act one's part of purpose. [R.] Hayward. 2. To perform musically.
executer |One who performs or carries into effect. See Executor.
execution |1. The act of executing; a carrying into effect or to completion; performance; achievement; consummation; as, the execution of a plan, a work, etc. The excellence of the subject contributed much to the happiness of the execution. Dryden. 2. A putting to death as a legal penalty; death lawfully inflicted; as, the execution of a murderer. A warrant for his execution. Shak. 3. The act of the mode of performing a work of art, of performing on an instrument, of engraving, etc.; as, the execution of a statue, painting, or piece of music. The first quality of execution is truth. Ruskin. 4. (Law) (a) The carrying into effect the judgment given in a court of law. (b) A judicial writ by which an officer is empowered to carry a judgment into effect; final process. (c) The act of signing, and delivering a legal instrument, or giving it the forms required to render it valid; as, the execution of a deed, or a will. 5. That which is executed or accomplished; effect; effective work; -- usually with do. To do some fatal execution. Shak. 6. The act of sacking a town. [Obs.] Beau. & FL.
executioner |1. One who executes; an executer. Bacon. 2. One who puts to death in conformity to legal warrant, as a hangman.
executive |Designed or fitted for execution, or carrying into effect; as, executive talent; qualifying for, concerned with, or pertaining to, the execution of the laws or the conduct of affairs; as, executive power or authority; executive duties, officer, department, etc. Note: In government, executive is distinguished from legislative and judicial; legislative being applied to the organ or organs of government which make the laws; judicial, to that which interprets and applies the laws; executive, to that which carries them into effect or secures their due performance.\n\nAn impersonal title of the chief magistrate or officer who administers the government, whether king, president, or governor; the governing person or body.
executively |In the way of executing or performing.
executor |1. One who executes or performs; a doer; as, an executor of baseness. Shak. 2. An executioner. [Obs.] Delivering o'er to executors pa . . . The lazy, yawning drone. Shak. 3. (Law)  The person appointed by a Executor de son tort Etym: [Of., executor of his own wrong] (Law), a stranger who intermeddles without authority in the distribution of the estate of a deceased person.
executorial |Of or pertaining to an executive.
executorship |The office of an executor.
executory |1. Pertaining to administration, or putting the laws in force; executive. The official and executory duties of government. Burke. 2. (Law)  Designed to be executed or carried into effect in time to come, or to take effect on a future contingency; as, an executory devise, reminder, or estate; an executory contract. Blackstone.
executress |An executrix.
executrix |A woman exercising the functions of an executor.
exedent |Eating out; consuming. [R.]
exedra |1. (Class. Antiq.)  A room in a public building, furnished with seats. 2. (Arch.) (a) The projection of any part of a building in a rounded form. (b) Any out-of-door seat in stone, large enough for several persons; esp., one of curved form.
exegesis |1. Exposition; explanation; especially, a critical explanation of a text or portion of Scripture. 2. (Math.)  The process of finding the roots of an equation. [Obs.]
exegete |An exegetist.
exegetic |Pertaining to exegesis; tending to unfold or illustrate; explanatory; expository. Walker. Ex`e*get\"ic*al*ly, adv.
exegetical |Pertaining to exegesis; tending to unfold or illustrate; explanatory; expository. Walker. Ex`e*get\"ic*al*ly, adv.
exegetics |The science of interpretation or exegesis.
exegetist |One versed in the science of exegesis or interpretation; -- also called exegete.
exemplar |1. A model, original, or pattern, to be copied or imitated; a specimen; sometimes; an ideal model or type, as that which an artist conceives. Such grand exemplar as make their own abilities the sole measure of what is fit or unfit. South. 2. A copy of a book or writing. [Obs.] Udall.\n\nExemplary. [Obs.] The exemplar piety of the father of a family. Jer. Taylor.
exemplarily |In a manner fitted or designed to be an example for imitation or for warning; by way of example. She is exemplarily loyal. Howell. Some he punisheth exemplarily. Hakewill.
exemplariness |The state or quality of being exemplary; fitness to be an example.
exemplarity |Exemplariness. [R.] The exemplarity of Christ's life. Abp. Sharp.
exemplary |1. Serving as a pattern; deserving to be proposed for imitation; commendable; as, an exemplary person; exemplary conduct. [Bishops'] lives and doctrines ought to be exemplary. Bacon. 2. Serving as a warning; monitory; as, exemplary justice, punishment, or damages. 3. Illustrating as the proof of a thing. Fuller. Exemplary damages. (Law) See under Damage.\n\nAn exemplar; also, a copy of a book or writing. [Obs.] Donne.
exemplifiable |That can be exemplified.
exemplification |1. The act of exemplifying; a showing or illustrating by example. 2. That which exemplifies; a case in point; example. 3. (Law)  A copy or transcript attested to be correct by the seal of an officer having custody of the original.
exemplifier |One who exemplifies by following a pattern.
exemplify |1. To show or illustrate by example. He did but . . . exemplify the principles in which he had been brought up. Cowper. 2. To copy; to transcribe; to make an attested copy or transcript of, under seal, as of a record. Holland. 3. To prove or show by an attested copy.
exempt |1. Cut off; set apart. [Obs.] Corrupted, and exempt from ancient gentry. Shak. 2. Extraordinary; exceptional. [Obs.] Chapman. 3. Free, or released, from some liability to which others are subject; excepted from the operation or burden of some law; released; free; clear; privileged; -- (with from): not subject to; not liable to; as, goods exempt from execution; a person exempt from jury service. True nobility is exempt from fear. Shak. T is laid on all, not any one exempt. Dryden.\n\n1. One exempted or freed from duty; one not subject. 2. One of four officers of the Yeomen of the Royal Guard, having the rank of corporal; an Exon. [Eng.]\n\n1. To remove; to set apart. [Obs.] Holland. 2. To release or deliver from some liability which others are subject to; to except or excuse from he operation of a law; to grant immunity to; to free from obligation; to release; as, to exempt from military duty, or from jury service; to exempt from fear or pain. Death So snatched will not exempt us from the pain We are by doom to pay. Milton.
exemptible |That may be exempted.
exemption |The act of exempting; the state of being exempt; freedom from any charge, burden, evil, etc., to which others are subject; immunity; privilege; as, exemption of certain articles from seizure; exemption from military service; exemption from anxiety, suffering, etc.
exemptitious |Separable. [Obs.] \"Exemptitious from matter.\" Dr. H. More.
exenterate |To take out the bowels or entrails of; to disembowel; to eviscerate; as, exenterated fishes. [R.] Exenterated rule-mongers and eviscerated logicians. Hare.
exenteration |Act of exenterating. [R.]
exequatur |1. A written official recognition of a consul or commercial agent, issued by the government to which he is accredited, and authorizing him to exercise his powers in the place to which he is assigned. 2. Official recognition or permission. Prescott.
exequial |Of or pertaining to funerals; funereal.
exequious |Funereal. [Obs.] Drayton.
exequy |A funeral rite (usually in the plural); the ceremonies of burial; obsequies; funeral procession. But see his exequies fulfilled in Rouen. Shak.
exercent |Practicing; professional. [Obs.] \"Every exercent advocate.\" Ayliffe.
exercisable |That may be exercised, used, or exerted.
