whobub |Hubbub. [Obs.] Beau. & Fl.
wild |1. Living in a state of nature; inhabiting natural haunts, as the forest or open field; not familiar with, or not easily approached by, man; not tamed or domesticated; as, a wild boar; a wild ox; a wild cat. Winter's not gone yet, if the wild geese fly that way. Shak. 2. Growing or produced without culture; growing or prepared without the aid and care of man; native; not cultivated; brought forth by unassisted nature or by animals not domesticated; as, wild parsnip, wild camomile, wild strawberry, wild honey. The woods and desert caves, With wild thyme and gadding vine o'ergrown. Milton. 3. Desert; not inhabited or cultivated; as, wild land. \"To trace the forests wild.\" Shak. 4. Savage; uncivilized; not refined by culture; ferocious; rude; as, wild natives of Africa or America. 5. Not submitted to restraint, training, or regulation; turbulent; tempestuous; violent; ungoverned; licentious; inordinate; disorderly; irregular; fanciful; imaginary; visionary; crazy. \"Valor grown wild by pride.\" Prior. \"A wild, speculative project.\" Swift. What are these So withered and so wild in their attire Shak. With mountains, as with weapons, armed; which makes Wild work in heaven. Milton. The wild winds howl. Addison. Search then the ruling passion, there, alone The wild are constant, and the cunning known. Pope. 6. Exposed to the wind and sea; unsheltered; as, a wild roadstead. 7. Indicating strong emotion, intense excitement, or as, a wild look. 8. (Naut.)  Hard to steer; -- said of a vessel. Note: Many plants are named by prefixing wild to the names of other better known or cultivated plants to which they a bear a real or fancied resemblance; as, wild allspice, wild pink, etc. See the Phrases below. To run wild, to go unrestrained or untamed; to live or untamed; to live or grow without culture or training. -- To sow one's wild oats. See under Oat. Wild allspice. (Bot.), spicewood. -- Wild balsam apple (Bot.), an American climbing cucurbitaceous plant (Echinocystis lobata). -- Wild basil (Bot.), a fragrant labiate herb (Calamintha Clinopodium) common in Europe and America. -- Wild bean (Bot.), a name of several leguminous plants, mostly species of Phaseolus and Apios. -- Wild bee (Zoöl.), any one of numerous species of undomesticated social bees, especially the domestic bee when it has escaped from domestication and built its nest in a hollow tree or among rocks. -- Wild bergamot. (Bot.) See under Bergamot. -- Wild boar (Zoöl.), the European wild hog (Sus scrofa), from which the common domesticated swine is descended. -- Wild brier (Bot.), any uncultivated species of brier. See Brier. -- Wild bugloss (Bot.), an annual rough-leaved plant (Lycopsis arvensis) with small blue flowers. -- Wild camomile (Bot.), one or more plants of the composite genus Matricaria, much resembling camomile. -- Wild cat. (Zoöl.) (a) A European carnivore (Felis catus) somewhat resembling the domestic cat, but larger stronger, and having a short tail. It is destructive to the smaller domestic animals, such as lambs, kids, poultry, and the like. (b) The common American lynx, or bay lynx. (c) (Naut.) A wheel which can be adjusted so as to revolve either with, or on, the shaft of a capstan. Luce. -- Wild celery. (Bot.) See Tape grass, under Tape. -- Wild cherry. (Bot.) (a) Any uncultivated tree which bears cherries. The wild red cherry is Prunus Pennsylvanica. The wild black cherry is P. serotina, the wood of which is much used for cabinetwork, being of a light red color and a compact texture. (b) The fruit of various species of Prunus. -- Wild cinnamon. See the Note under Canella. -- Wild comfrey (Bot.), an American plant (Cynoglossum Virginicum) of the Borage family. It has large bristly leaves and small blue flowers. -- Wild cumin (Bot.), an annual umbelliferous plant (Lagoecia cuminoides) native in the countries about the Mediterranean. -- Wild drake (Zoöl.) the mallard. -- Wild elder (Bot.), an American plant (Aralia hispida) of the Ginseng family. -- Wild fowl (Zoöl.) any wild bird, especially any of those considered as game birds. -- Wild goose (Zoöl.), any one of several species of undomesticated geese, especially the Canada goose (Branta Canadensis), the European bean goose, and the graylag. See Graylag, and Bean goose, under Bean. -- Wild goose chase, the pursuit of something unattainable, or of something as unlikely to be caught as the wild goose. Shak. -- Wild honey, honey made by wild bees, and deposited in trees, rocks, the like. -- Wild hyacinth. (Bot.) See Hyacinth, 1 (b). Wild Irishman (Bot.), a thorny bush (Discaria Toumatou) of the Buckthorn family, found in New Zealand, where the natives use the spines in tattooing. -- Wild land. (a) Land not cultivated, or in a state that renders it unfit for cultivation. (b) Land which is not settled and cultivated. -- Wild licorice. (Bot.) See under Licorice. -- Wild mammee (Bot.), the oblong, yellowish, acid fruit of a tropical American tree (Rheedia lateriflora); -- so called in the West Indies. -- Wild marjoram (Bot.), a labiate plant (Origanum vulgare) much like the sweet marjoram, but less aromatic. -- Wild oat. (Bot.) (a) A tall, oatlike kind of soft grass (Arrhenatherum avenaceum). (b) See Wild oats, under Oat. -- Wild pieplant (Bot.), a species of dock (Rumex hymenosepalus) found from Texas to California. Its acid, juicy stems are used as a substitute for the garden rhubarb. -- Wild pigeon. (Zoöl.) (a) The rock dove. (b) The passenger pigeon. -- Wild pink (Bot.), an American plant (Silene Pennsylvanica) with pale, pinkish flowers; a kind of catchfly. -- Wild plantain (Bot.), an arborescent endogenous herb (Heliconia Bihai), much resembling the banana. Its leaves and leaf sheaths are much used in the West Indies as coverings for packages of merchandise. -- Wild plum. (Bot.) (a) Any kind of plum growing without cultivation. (b) The South African prune. See under Prune. -- Wild rice. (Bot.) See Indian rice, under Rice. -- Wild rosemary (Bot.), the evergreen shrub Andromeda polifolia. See Marsh rosemary, under Rosemary. -- Wild sage. (Bot.) See Sagebrush. -- Wild sarsaparilla (Bot.), a species of ginseng (Aralia nudicaulis) bearing a single long-stalked leaf. -- Wild sensitive plant (Bot.), either one of two annual leguminous herbs (Cassia Chamæcrista, and C. nictitans), in both of which the leaflets close quickly when the plant is disturbed. -- Wild service.(Bot.) See Sorb. -- Wild Spaniard (Bot.), any one of several umbelliferous plants of the genus Aciphylla, natives of New Zealand. The leaves bear numerous bayonetlike spines, and the plants form an impenetrable thicket. -- Wild turkey. (Zoöl.) See 2d Turkey.\n\nAn uninhabited and uncultivated tract or region; a forest or desert; a wilderness; a waste; as, the wilds of America; the wilds of Africa. then Libya first, of all her moisture drained, Became a barren waste, a wild of sand. Addison.\n\nWildly; as, to talk wild. Shak.
wild-cat |1. Unsound; worthless; irresponsible; unsafe; -- said to have been originally applied to the notes of an insolvent bank in Michigan upon which there was the figure of a panther. 2. (Railroad)  Running without control; running along the line without a train; as, a wild-cat locomotive.
wildebeest |The gnu.
wilded |Become wild. [R.] An old garden plant escaped and wilded. J. Earle.
wilder |To bewilder; to perplex. Long lost and wildered in the maze of fate. Pope. Again the wildered fancy dreams Of spouting fountains, frozen as they rose. Bryant.
wildering |A plant growing in a state of nature; especially, one which has run wild, or escaped from cultivation.
wilderment |The state of being bewildered; confusion; bewilderment. And snatched her breathless from beneath This wilderment of wreck and death. Moore.
wilderness |1. A tract of land, or a region, uncultivated and uninhabited by human beings, whether a forest or a wide, barren plain; a wild; a waste; a desert; a pathless waste of any kind. The wat'ry wilderness yields no supply. Waller. 2. A disorderly or neglected place. Cowper. 3. Quality or state of being wild; wildness. [Obs.] These paths and bowers doubt not but our joint hands. Will keep from wilderness with ease. Milton.
wildfire |1. A composition of inflammable materials, which, kindled, is very hard to quench; Greek fire. Brimstone, pitch, wildfire . . . burn cruelly, and hard to quench. Bacon. 2. (Med.) (a) An old name for erysipelas. (b) A disease of sheep, attended with inflammation of the skin. 3. A sort of lightning unaccompanied by thunder. [R.]
wildgrave |A waldgrave, or head forest keeper. See Waldgrave. The wildgrave winds his bugle horn. Sir W. Scott.
wilding |A wild or uncultivated plant; especially, a wild apple tree or crab apple; also, the fruit of such a plant. Spenser. Ten ruddy wildings in the wood I found. Dryden. The fruit of the tree . . . is small, of little juice, and bad quality. I presume it to be a wilding. Landor.\n\nNot tame, domesticated, or cultivated; wild. [Poetic] \"Wilding flowers.\" Tennyson. The ground squirrel gayly chirps by his den, And the wilding bee hums merrily by. Bryant.
wildish |Somewhat wild; rather wild. \"A wildish destiny.\" Wordsworth.
wildly |In a wild manner; without cultivation; with disorder; rudely; distractedly; extravagantly.
wildness |The quality or state of being wild; an uncultivated or untamed state; disposition to rove or go unrestrained; rudeness; savageness; irregularity; distraction.
wildwood |A wild or unfrequented wood. Also used adjectively; as, wildwood flowers; wildwood echoes. Burns.
wile |A trick or stratagem practiced for insnaring or deception; a sly, insidious; artifice; a beguilement; an allurement. Put on the whole armor of God, that ye may be able to stand against the wiles of the devil. Eph. vi. 11. Not more almighty to resist our might, Than wise to frustrate all our plots and wiles. Milton.\n\n1. To practice artifice upon; to deceive; to beguile; to allure. [R.] Spenser. 2. To draw or turn away, as by diversion; to while or while away; to cause to pass pleasantly. Tennyson.
wileful |Full of wiles; trickish; deceitful.
wilfley table |An inclined percussion table, usually with longitudinal grooves in its surface, agitated by side blows at right angles to the flow of the pulp; -- so called after the inventor.
wilful |See Willful, Willfully, and Willfulness.
wilfully |See Willful, Willfully, and Willfulness.
wilfulness |See Willful, Willfully, and Willfulness.
wiliness |The quality or state of being wily; craftiness; cunning; guile.
wilk |See Whelk. [Obs.]
will |1. The power of choosing; the faculty or endowment of the soul by which it is capable of choosing; the faculty or power of the mind by which we decide to do or not to do; the power or faculty of preferring or selecting one of two or more objects. It is necessary to form a distinct notion of what is meant by the word \"volition\" in order to understand the import of the word will, for this last word expresses the power of mind of which \"volition\" is the act. Stewart. Will is an ambiguous word, being sometimes put for the faculty of willing; sometimes for the act of that faculty, besides [having] other meanings. But \"volition\" always signifies the act of willing, and nothing else. Reid. Appetite is the will's solicitor, and the will is appetite's controller; what we covet according to the one, by the other we often reject. Hooker. The will is plainly that by which the mind chooses anything. J. Edwards. 2. The choice which is made; a determination or preference which results from the act or exercise of the power of choice; a volition. The word \"will,\" however, is not always used in this its proper acceptation, but is frequently substituted for \"volition\| as when I say that my hand mover in obedience to my will. Stewart. 3. The choice or determination of one who has authority; a decree; a command; discretionary pleasure. Thy will be done. Matt. vi. 10. Our prayers should be according to the will of God. Law. 4. Strong wish or inclination; desire; purpose. Note| \"Inclination is another word with which will is frequently confounded. Thus| when the apothecary says| in Romeo and Juliet| -- My poverty| but not my will| consents; . . . Put this in any liquid thing you will| And drink it off. the word will is plainly used as| synonymous with inclination; not in the strict logical sense| as the immediate antecedent of action. It is with the same latitude that the word is used in common conversation| when we speak of doing a thing which duty prescribes| against one's own will; or when we speak of doing a thing willingly or unwillingly.\" Stewart. 5. That which is strongly wished or desired. What's your will| good friar Shak. The mariner hath his will. Coleridge. 6. Arbitrary disposal; power to control| dispose| or determine. Deliver me not over unto the will of mine enemies. Ps. xxvii. 12. 7 7 (Law)  The legal declaration of a person's mind as to the manner in which he would have his property or estate disposed of after his death; the written instrument| legally executed| by which a man makes disposition of his estate| to take effect after his death; testament; devise. See the Note under Testament| 1. Note| Wills are written or nuncupative| that is| oral. See Nuncupative will| under Nuncupative. At will (Law)| at pleasure. To hold an estate at the will of another| is to enjoy the possession at his pleasure| and be liable to be ousted at any time by the lessor or proprietor. An estate at will is at the will of both parties. -- Good will. See under Good. -- Ill will| enmity; unfriendliness; malevolence. -- To have one's will| to obtain what is desired; to do what one pleases. -- Will worship| worship according to the dictates of the will or fancy; formal worship. [Obs.] -- Will worshiper| one who offers will worship. [Obs.] Jer. Taylor. -- With a will| with willingness and zeal; with all one's heart or strength; earnestly; heartily.\n\n1. To wish; to desire; to incline to have. A wife as of herself no thing ne sholde [should] Wille in effect| but as her husband wolde [would]. Chaucer. Caleb said unto her| What will thou Judg. i. 14. They would none of my counsel. Prov. i. 30. 2. As an auxiliary| will is used to denote futurity dependent on the verb. Thus| in first person| \"I will\" denotes willingness| consent| promise; and when \"will\" is emphasized| it denotes determination or fixed purpose; as| I will go if you wish; I will go at all hazards. In the second and third persons| the idea of distinct volition| wish| or purpose is evanescent| and simple certainty is appropriately expressed; as| \"You will go|\" or \"He will go|\" describes a future event as a fact only. To emphasize will denotes (according to the tone or context) certain futurity or fixed determination. Note| Will| auxiliary| may be used elliptically for will go. \"I'll to her lodgings.\" Marlowe. Note| As in shall (which see)| the second and third persons may be virtually converted into the first| either by question or indirect statement| so as to receive the meaning which belongs to will in that person; thus| \"Will you go\" (answer| \"I will go\") asks assent| requests| etc.; while \"Will he go\" simply inquires concerning futurity; thus| also|\"He says or thinks he will go|\" \"You say or think you will go|\" both signify willingness or consent. Note| Would| as the preterit of will| is chiefly employed in conditional| subjunctive| or optative senses; as| he would go if he could; he could go if he would; he said that he would go; I would fain go| but can not; I would that I were young again; and other like phrases. In the last use| the first personal pronoun is often omitted; as| would that he were here; would to Heaven that it were so; and| omitting the to in such an adjuration. \"Would God I had died for thee.\" Would is used for both present and future time| in conditional propositions| and would have for past time; as| he would go now if he were ready; if it should rain| he would not go; he would have gone| had he been able. Would not| as also will not| signifies refusal. \"He was angry| and would not go in.\" Luke xv. 28. Would is never a past participle. Note| In Ireland| Scotland| and the United States| especially in the southern and western portions of the United States| shall and will| should and would| are often misused| as in the following examples| -- I am able to devote as much time and attention to other subjects as I will [shall] be under the necessity of doing next winter. Chalmers. A countryman| telling us what he had seen| remarked that if the conflagration went on| as it was doing| we would [should] have| as our next season's employment| the Old Town of Edinburgh to rebuild. H. Miller. I feel assured that I will [shall] not have the misfortune to find conflicting views held by one so enlightened as your excellency. J. Y. Mason.\n\nTo be willing; to be inclined or disposed; to be pleased; to wish; to desire. And behold| there came a leper and worshiped him| saying| Lord if thou wilt| thou canst make me clean. And Jesus . . . touched him| saying| I will; be thou clean. Matt. viii. 2| 3. Note| This word has been confused with will| v. i.| to choose| which| unlike this| is of the weak conjugation. Will I| nill I| or Will ye| hill ye| or Will he| nill he| whether I| you| or he will it or not; hence| without choice; compulsorily; -- sometimes corrupted into willy nilly. \"If I must take service willy nilly.\" J. H. Newman. \"Land for all who would till it| and reading and writing will ye| nill ye.\" Lowell.\n\n1. To form a distinct volition of; to determine by an act of choice; to ordain; to decree. \"What she will to do or say.\" Milton. By all law and reason| that which the Parliament will not| is no more established in this kingdom. Milton. Two things he [God] willeth| that we should be good| and that we should be happy. Barrow. 2. To enjoin or command| as that which is determined by an act of volition; to direct; to order. [Obs. or R.] They willed me say so| madam. Shak. Send for music| And will the cooks to use their best of cunning To please the palate. Beau. & Fl. As you go| will the lord mayor . . . To attend our further pleasure presently. J. Webster. 3. To give or direct the disposal of by testament; to bequeath; to devise; as| to will one's estate to a child; also| to order or direct by testament; as| he willed that his nephew should have his watch.\n\nTo exercise an act of volition; to choose; to decide; to determine; to decree. At Winchester he lies| so himself willed. Robert of Brunne. He that shall turn his thoughts inward upon what passes in his own mind when he wills. Locke. I contend for liberty as it signifies a power in man to do as he wills or pleases. Collins."
willemite |A silicate of zinc, usually occurring massive and of a greenish yellow color, also in reddish crystals (troostite) containing manganese.
willer |One who wills.
willet |A large North American snipe (Symphemia semipalmata); -- called also pill-willet, will-willet, semipalmated tattler, or snipe, duck snipe, and stone curlew. Carolina willet, the Hudsonian godwit.
willful |1. Of set purpose; self-determined; voluntary; as, willful murder. Foxe. In willful poverty chose to lead his life. Chaucer. Thou to me Art all things under heaven, all places thou, Who, for my willful crime, art banished hence. Milton. 2. Governed by the will without yielding to reason; obstinate; perverse; inflexible; stubborn; refractory; as, a willful man or horse. -- Will\"ful*ly, adv. -- Will\"ful*ness, n.
willier |One who works at a willying machine.
willing |1. Free to do or to grant; having the mind inclined; not opposed in mind; not choosing to refuse; disposed; not averse; desirous; consenting; complying; ready. Felix, willing to show the Jews a pleasure, left Paul bound. Acts xxiv. 27. With wearied wings and willing feet. Milton. [Fruit] shaken in August from the willing boughs. Bryant. 2. Received of choice, or without reluctance; submitted to voluntarily; chosen; desired. [They] are held, with his melodious harmony, In willing chains and sweet captivity. Milton. 3. Spontaneous; self-moved. [R.] No spouts of blood run willing from a tree. Dryden.
willingly |In a willing manner; with free will; without reluctance; cheerfully. Chaucer. The condition of that people is not so much to be envied as some would willingly represent it. Addison.
willingness |The quality or state of being willing; free choice or consent of the will; freedom from reluctance; readiness of the mind to do or forbear. Sweet is the love which comes with willingness. Dryden.
williwaw |A whirlwind, or whirlwind squall, encountered in the Straits of Magellan. W. C. Russell.
willock |(a) The common guillemot. (b) The puffin. [Prov. Eng.] WILL-O'-THE-WISP Will\"-o'-the-wisp`, n.  See Ignis fatuus.
willow |1. (Bot.)  Any tree or shrub of the genus Salix, including many species, most of which are characterized often used as an emblem of sorrow, desolation, or desertion. \"A wreath of willow to show my forsaken plight.\" Sir W. Scott. Hence, a lover forsaken by, or having lost, the person beloved, is said to wear the willow. And I must wear the willow garland For him that's dead or false to me. Campbell. 2. (Textile Manuf.)  A machine in which cotton or wool is opened and cleansed by the action of long spikes projecting from a drum which revolves within a box studded with similar spikes; -- probably so called from having been originally a cylindrical cage made of willow rods, though some derive the term from winnow, as denoting the winnowing, or cleansing, action of the machine. Called also willy, twilly, twilly devil, and devil. Almond willow, Pussy willow, Weeping willow. (Bot.) See under Almond, Pussy, and Weeping. -- Willow biter (Zoöl.) the blue tit. [Prov. Eng.] -- Willow fly (Zoöl.), a greenish European stone fly (Chloroperla viridis); -- called also yellow Sally. -- Willow gall (Zoöl.), a conical, scaly gall produced on willows by the larva of a small dipterous fly (Cecidomyia strobiloides). -- Willow grouse (Zoöl.), the white ptarmigan. See ptarmigan. -- Willow lark (Zoöl.), the sedge warbler. [Prov. Eng.] -- Willow ptarmigan (Zoöl.) (a) The European reed bunting, or black-headed bunting. See under Reed. (b) A sparrow (Passer salicicolus) native of Asia, Africa, and Southern Europe. -- Willow tea, the prepared leaves of a species of willow largely grown in the neighborhood of Shanghai, extensively used by the poorer classes of Chinese as a substitute for tea. McElrath. -- Willow thrush (Zoöl.), a variety of the veery, or Wilson's thrush. See Veery. -- Willow warbler (Zoöl.), a very small European warbler (Phylloscopus trochilus); -- called also bee bird, haybird, golden wren, pettychaps, sweet William, Tom Thumb, and willow wren.\n\nTo open and cleanse, as cotton, flax, or wool, by means of a willow. See Willow, n., 2.
willow-herb |A perennial herb (Epilobium spicatum) with narrow willowlike leaves and showy rose-purple flowers. The name is sometimes made to include other species of the same genus. Spiked willow-herb, a perennial herb (Lythrum Salicaria) with willowy leaves and spiked purplish flowers.
willow-thorn |A thorny European shrub (Hippophaë rhamnoides) resembling a willow.
willow-weed |(a) A European species of loosestrife (Lysimachia vulgaris). (b) Any kind of Polygonum with willowlike foliage.
willow-wort |(a) Same as Willow-weed. (b) Any plant of the order Salicaceæ, or the Willow family.
willowed |Abounding with willows; containing willows; covered or overgrown with willows. \"Willowed meads.\" Collins.
willower |A willow. See Willow, n., 2.
willowish |Having the color of the willow; resembling the willow; willowy. Walton.
willowy |1. Abounding with willows. Where willowy Camus lingers with delight. Gray. 2. Resembling a willow; pliant; flexible; pendent; drooping; graceful.
willsome |1. Willful; obstinate. [Obs.] 2. Fat; indolent. [Prov. Eng.] Halliwell. 3. Doubtful; uncertain. [Prov. Eng.] Halliwell. -- Will\"some*ness, n. [Obs.]
willy |1. A large wicker basket. [Prov. Eng.] Halliwell. 2. (Textile Manuf.)  Same as 1st Willow, 2.
willy nilly |See Will I, nill I, etc., under 3d Will.
willying |The process of cleansing wool, cotton, or the like, with a willy, or willow. Willying machine. Same as 1st Willow, 2
willywaw |A whirlwind, or whirlwind squall, encountered in the Straits of Magellan. W. C. Russell.
wilne |To wish; to desire. [Obs.] \"He willneth no destruction.\" Chaucer.
wilt |2d pers. sing. of Will.\n\nTo begin to wither; to lose freshness and become flaccid, as a plant when exposed when exposed to drought, or to great heat in a dry day, or when separated from its root; to droop;. to wither. [Prov. Eng. & U. S.]\n\n1. To cause to begin to wither; to make flaccid, as a green plant. [Prov. Eng. U. S.] 2. Hence, to cause to languish; to depress or destroy the vigor and energy of. [Prov. Eng. & U. S.] Despots have wilted the human race into sloth and imbecility. Dr. T. Dwight.
wilton carpet |A kind of carpet woven with loops like the Brussels, but differing from it in having the loops cut so as to form an elastic velvet pile; -- so called because made originally at Wilton, England.
wilwe |Willow. [Obs.] Chaucer.
wily |Full of wiles, tricks, or stratagems; using craft or stratagem to accomplish a purpose; mischievously artful; subtle. \"Wily and wise.\" Chaucer. \"The wily snake.\" Milton. This false, wily, doubling disposition of mind. South. Syn. -- Cunning; artful; sly; crafty. See Cunning.
wimble |An instrument for boring holes, turned by a handle. Specifically: (a) A gimlet. \" It is but like the little wimble, to let in the greater auger.\" Selden. (b) A stonecutter's brace for boring holes in stone. (c) An auger used for boring in earth.\n\nTo bore or pierce, as with a wimble. \"A foot soldier . . . wimbled also a hole through said coffin.\" Wood.\n\nActive; nimble.[Obs.] Spenser.
wimbrel |The whimbrel.
wimple |1. A covering of silk, linen, or other material, for the neck and chin, formerly worn by women as an outdoor protection, and still retained in the dress of nuns. Full seemly her wympel ipinched is. Chaucer. For she had laid her mournful stole aside, And widowlike sad wimple thrown away. Spenser. Then Vivian rose, And from her brown-locked head the wimple throws. M. Arnold. 2. A flag or streamer. Weale.\n\n1. To clothe with a wimple; to cover, as with a veil; hence, to hoodwink. \"She sat ywympled well.\" Chaucer. This wimpled, whining, purblind, wayward boy. Shak. 2. To draw down, as a veil; to lay in folds or plaits, as a veil. 3. To cause to appear as if laid in folds or plaits; to cause to ripple or undulate; as, the wind wimples the surface of water.\n\nTo lie in folds; also, to appear as if laid in folds or plaits; to ripple; to undulate. \"Wimpling waves.\" Longfellow. For with a veil, that wimpled everywhere, Her head and face was hid. Spenser. With me through . . . meadows stray, Where wimpling waters make their way. Ramsay.
win |1. To gain by superiority in competition or contest; to obtain by victory over competitors or rivals; as, to win the prize in a gate; to win money; to win a battle, or to win a country. \"This city for to win.\" Chaucer. \"Who thus shall Canaan win.\" Milton. Thy well-breathed horse Impels the flying car, and wins the course. Dryden. 2. To allure to kindness; to bring to compliance; to gain or obtain, as by solicitation or courtship. Thy virtue wan me; with virtue preserve me. Sir P. Sidney. She is a woman; therefore to be won. Shak. 3. To gain over to one's side or party; to obtain the favor, friendship, or support of; to render friendly or approving; as, to win an enemy; to win a jury. 4. To come to by toil or effort; to reach; to overtake. [Archaic] Even in the porch he him did win. Spenser. And when the stony path began, By which the naked peak they wan, Up flew the snowy ptarmigan. Sir W. Scott. 5. (Mining)  To extract, as ore or coal. Raymond. Syn. -- To gain; get; procure; earn. See Gain.\n\nTo gain the victory; to be successful; to triumph; to prevail. Nor is it aught but just That he, who in debate of truth hath won, should win in arms. Milton. To win of, to be conqueror over. [Obs.] Shak. -- To win on or upon. (a) To gain favor or influence with. \"You have a softness and beneficence winning on the hearts of others.\" Dryden. (b) To gain ground on. \"The rabble . . . will in time win upon power.\" Shak.
wince |1. To shrink, as from a blow, or from pain; to flinch; to start back. I will not stir, nor wince, nor speak a word. Shak. 2. To kick or flounce when unsteady, or impatient at a rider; as, a horse winces.\n\nThe act of one who winces.\n\nA reel used in dyeing, steeping, or washing cloth; a winch. It is placed over the division wall between two wince pits so as to allow the cloth to descend into either compartment. at will. Wince pit, Wince pot, a tank or a pit where cloth in the process of dyeing or manufacture is washed, dipped in a mordant, or the like.
wincer |One who, or that which, winces, shrinks, or kicks.
wincey |Linsey-woolsey.
winch |To wince; to shrink; to kick with impatience or uneasiness.\n\nA kick, as of a beast, from impatience or uneasiness. Shelton.\n\n1. A crank with a handle, for giving motion to a machine, a grindstone, etc. 2. An instrument with which to turn or strain something forcibly. 3. An axle or drum turned by a crank with a handle, or by power, for raising weights, as from the hold of a ship, from mines, etc.; a windlass. 4. A wince.
wincing |The act of washing cloth, dipping it in dye, etc., with a wince. Wincing machine. (a) A wince. Ure. (b) A succession of winces. See Wince. Knight.
wincopipe |A little red flower, no doubt the pimpernel, which, when it opens in the morning, is supposed to bode a fair day. See Pimpernel. There is small red flower in the stubble fields, which country people call the wincopipe; which if it opens in the morning, you may be sure a fair day will follow. Bacon.
