peevishness |The quality of being peevish; disposition to murmur; sourness of temper. Syn. -- See Petulance.
penitently |In a penitent manner.
penk |A minnow. See Pink, n., 4. [Prov. Eng.] Walton.
penknife |A small pocketknife; formerly, a knife used for making and mending quill pens.
penman |1. One who uses the pen; a writer; esp., one skilled in the use of the pen; a calligrapher; a writing master. 2. An author; a composer. South.
penmanship |The use of the pen in writing; the art of writing; style or manner of writing; chirography; as, good or bad penmanship.
penna |A perfect, or normal, feather.
pennaceous |Like or pertaining to a normal feather.
pennach |A bunch of feathers; a plume. [Obs.] Holland.
pennached |Variegated; striped. [Obs.] Evelyn.
pennage |Feathery covering; plumage. [Obs.] Holland.
pennant |(a) A small flag; a pennon. The narrow, or long, pennant (called also whip or coach whip) is a long, narrow piece of bunting, carried at the masthead of a government vessel in commission. The board pennant is an oblong, nearly square flag, carried at the masthead of a commodore's vessel. \"With flags and pennants trimmed.\" Drayton. (b) A rope or strap to which a purchase is hooked.
pennate |1. Winged; plume-shaped. 2. (Bot.)  Same as Pinnate.
pennated |1. Winged; plume-shaped. 2. (Bot.)  Same as Pinnate.
pennatula |Any one of numerous species of Pennatula, Pteroides, and allied genera of Alcyonaria, having a featherlike form; a sea-pen. The zooids are situated along one edge of the side branches.
pennatulacea |A division of alcyonoid corals, including the seapens and related kinds. They are able to move about by means of the hollow muscular peduncle, which also serves to support them upright in the mud. See Pennatula, and Illust. under Alcyonaria.
penned |1. Winged; having plumes. [Obs.] 2. Written with a pen; composed. \"Their penned speech.\" Shak.
penner |1. One who pens; a writer. Sir T. North. 2. A case for holding pens. [Obs.]
penniform |Having the form of a feather or plume.
pennigerous |Bearing feathers or quills.
penniless |Destitute of money; impecunious; poor. -- Pen\"ni*less*ness, n.
penninerved |Pinnately veined or nerved.
pennipotent |Strong of wing; strong on the wing. [Poetic] Davies (Holy Roode).
pennon |A wing; a pinion. Milton.\n\nA pennant; a flag or streamer. Longfellow.
pennoncel |See Pencel.
pennoncelle |See Pencel.
penny |Denoting pound weight for one thousand; -- used in combination, with respect to nails; as, tenpenny nails, nails of which one thousand weight ten pounds.\n\n1. An English coin, formerly of copper, now of bronze, the twelfth part of an English shilling in account value, and equal to four farthings, or about two cents; -- usually indicated by the abbreviation d. (the initial of denarius). Note: \"The chief Anglo-Saxon coin, and for a long period the only one, corresponded to the denarius of the Continent . . . [and was] called penny, denarius, or denier.\" R. S. Poole. The ancient silver penny was worth about three pence sterling (see Pennyweight). The old Scotch penny was only one twelfth the value of the English coin. In the United States the word penny is popularly used for cent. 2. Any small sum or coin; a groat; a stiver. Shak. 3. Money, in general; as, to turn an honest penny. What penny hath Rome borne, What men provided, what munition sent Shak. 4. (Script.)  See Denarius. Penny cress (Bot.), an annual herb of the Mustard family, having round, flat pods like silver pennies (Thlaspi arvense). Dr. Prior. -- Penny dog (Zoöl.), a kind of shark found on the South coast of Britain: the tope. -- Penny father, a penurious person; a niggard. [Obs.] Robinson (More's Utopia). -- Penny grass (Bot.), pennyroyal. [R.] -- Penny post, a post carrying a letter for a penny; also, a mail carrier. -- Penny wise, wise or prudent only in small matters; saving small sums while losing larger; -- used chiefly in the phrase, penny wise and pound foolish.\n\nWorth or costing one penny.
penny-a-liner |One who furnishes matter to public journals at so much a line; a poor writer for hire; a hack writer. Thackeray.
pennyroyal |An aromatic herb (Mentha Pulegium) of Europe; also, a North American plant (Hedeoma pulegioides) resembling it in flavor. Bastard pennyroyal (Bot.) See Blue curls, under Blue.
pennyweight |A troy weight containing twenty-four grains, or the twentieth part of an ounce; as, a pennyweight of gold or of arsenic. It was anciently the weight of a silver penny, whence the name.
pennywort |A European trailing herb (Linaria Cymbalaria) with roundish, reniform leaves. It is often cultivated in hanging baskets. March, or Water, pennywort. (Bot.) See under March.
pennyworth |1. A penny's worth; as much as may be bought for a penny. \"A dear pennyworth.\" Evelyn. 2. Hence: The full value of one's penny expended; due return for money laid out; a good bargain; a bargain. The priests sold the better pennyworths. Locke. 3. A small quantity; a trifle. Bacon.
penock |See Pend.
penological |Of or pertaining to penology.
penologist |One versed in, or a student of, penology.
penology |The science or art of punishment. [Written also poenology.]
penrack |A rack for pens not in use.
pens |pl. of Penny. [Obs.] Chaucer.
pensative |Pensive. [Obs.] Shelton.
pensel |A pencel. Chaucer.
pensible |Held aloft. [Obs.] Bacon.
pensile |Hanging; suspended; pendent; pendulous. Bacon. The long, pensile branches of the birches. W. Howitt.
pensileness |State or quality of being pensile; pendulousness.
pension |1. A payment; a tribute; something paid or given. [Obs.] The stomach's pension, and the time's expense. Sylvester. 2. A stated allowance to a person in consideration of past services; payment made to one retired from service, on account of age, disability, or other cause; especially, a regular stipend paid by a government to retired public officers, disabled soldiers, the families of soldiers killed in service, or to meritorious authors, or the like. To all that kept the city pensions and wages. 1 Esd. iv. 56. 3. A certain sum of money paid to a clergyman in lieu of tithes. [Eng.] Mozley & W. 4. Etym: [F., pronounced .]  A boarding house or boarding school in France, Belgium, Switzerland, etc.\n\nTo grant a pension to; to pay a regular stipend to; in consideration of service already performed; -- sometimes followed by off; as, to pension off a servant. One knighted Blackmore, and one pensioned Quarles. Pope.
pensionary |1. Maintained by a pension; receiving a pension; as, pensionary spies. Donne. 2. Consisting of a pension; as, a pensionary provision for maintenance.\n\n1. One who receives a pension; a pensioner. E. Hall. 2. One of the chief magistrates of towns in Holland. Grand pensionary, the title of the prime minister, or or president of the Council, of Holland when a republic.
pensioner |1. One in receipt of a pension; hence, figuratively, a dependent. The fickle pensioners of Morpheus' train. Milton. Old pensioners . . . of Chelsea Hospital. Macaulay. 2. One of an honorable band of gentlemen who attend the sovereign of England on state occasions, and receive an annual pension, or allowance, of £150 and two horses. 3. Etym: [Cf. F. pensionnaire one who pays for his board. Cf. Pensionary, n.]  In the university of Cambridge, England, one who pays for his living in commons; -- corresponding to commoner at Oxford. Ld. Lytton.
pensive |1. Thoughtful, sober, or sad; employed in serious reflection; given to, or favorable to, earnest or melancholy musing. The pensive secrecy of desert cell. Milton. Anxious cares the pensive nymph oppressed. Pope. 2. Expressing or suggesting thoughtfulness with sadness; as, pensive numbers. Prior.
pensived |Made pensive. [R.] Shak.
pensively |In a pensive manner.
pensiveness |The state of being pensive; serious thoughtfulness; seriousness. Hooker.
penstock |1. A close conduit or pipe for conducting water, as, to a water wheel, or for emptying a pond, or for domestic uses. 2. The barrel of a wooden pump.
pent |Penned or shut up; confined; -- often with up. Here in the body pent. J. Montgomery. No pent-up Utica contracts your powers. J. M. Sewall.
penta- |1. A combining form denoting five; as, pentacapsular; pentagon. 2. (Chem.)  Denoting the degree of five, either as regards quality, property, or composition; as, pentasulphide; pentoxide, etc. Also used adjectively.
pentabasic |Capable of uniting with five molecules of a monacid base; having five acid hydrogen atoms capable of substitution by a basic radical; -- said of certain acids.
pentacapsular |Having five capsules.
pentachenium |A dry fruit composed of five carpels, which are covered by an epigynous calyx and separate at maturity.
pentachloride |A chloride having five atoms of chlorine in each molecule.
pentachord |1. An ancient instrument of music with five strings. 2. An order or system of five sounds. Busby.
pentacid |Capable of neutralizing, or combining with, five molecules of a monobasic acid; having five hydrogen atoms capable of substitution by acid residues; -- said of certain complex bases.
pentacle |A figure composed of two equilateral triangles intersecting so as to form a six-pointed star, -- used in early ornamental art, and also with superstitious import by the astrologers and mystics of the Middle Ages.
pentacoccous |Composed of five united carpels with one seed in each, as certain fruits.
pentaconter |See Penteconter.
pentacrinin |A red and purple pigment found in certain crinoids of the genus Pentacrinus.
pentacrinite |Any species of Pentacrinus.
pentacrinoid |An immature comatula when it is still attached by a stem, and thus resembles a Pentacrinus.
pentacrinus |A genus of large, stalked crinoids, of which several species occur in deep water among the West Indies and elsewhere.
pentacron |A solid having five summits or angular points.
pentacrostic |A set of verses so disposed that the name forming the subject of the acrostic occurs five times -- the whole set of verses being divided into five different parts from top to bottom.
pentad |Any element, atom, or radical, having a valence of five, or which can be combined with, substituted for, or compared with, five atoms of hydrogen or other monad; as, nitrogen is a pentad in the ammonium compounds.\n\nHaving the valence of a pentad.
pentadactyl |1. (Anat.)  Having five digits to the hand or foot. 2. Having five appendages resembling fingers or toes.
pentadactyle |1. (Anat.)  Having five digits to the hand or foot. 2. Having five appendages resembling fingers or toes.
pentadactyloid |Having the form of, or a structure modified from, a pentadactyl limb.
pentadecane |A hydrocarbon of the paraffin series, (C15H32) found in petroleum, tar oil, etc., and obtained as a colorless liquid; -- so called from the fifteen carbon atoms in the molecule.
pentadecatoic |Of, pertaining to, or derived from, pentadecane, or designating an acid related to it.
pentadecylic |Same as Quindecylic.
pentadelphous |Having the stamens arranged in five clusters, those of each cluster having their filaments more or less united, as the flowers of the linden.
pentafid |Divided or cleft into five parts.
pentaglot |A work in five different tongues.
pentagon |A plane figure having five angles, and, consequently, five sides; any figure having five angles. Regular pentagon, a pentagon in which the angles are all equal, and the sides all equal.
pentagonal |Having five corners or angles. Pentagonal dodecahedron. See Dodecahedron, and Pyritohedron.
pentagonally |In the form of a pentagon; with five angles. Sir T. Browne.
pentagonous |Pentagonal.
pentagram |A pentacle or a pentalpha. \"Like a wizard pentagram.\" Tennyson.
pentagraphic |Pantographic. See Pantograph.
pentagraphical |Pantographic. See Pantograph.
pentagynia |A Linnæan order of plants, having five styles or pistils.
pentagynian |Of or pertaining to plants of the order Pentagyna; having five styles.
pentagynous |Of or pertaining to plants of the order Pentagyna; having five styles.
pentahedral |Having five sides; as, a pentahedral figure.
pentahedrical |Pentahedral. [R.]
pentahedron |A solid figure having five sides.
pentahedrous |Pentahedral. Woodward.
pentail |A peculiar insectivore (Ptilocercus Lowii) of Borneo; -- so called from its very long, quill-shaped tail, which is scaly at the base and plumose at the tip.
pentalpha |A five-pointed star, resembling five alphas joined at their bases; -- used as a symbol.
pentamera |An extensive division of Coleoptera, including those that normally have five-jointed tarsi. It embraces about half of all the known species of the Coleoptera.
pentameran |One of the Pentamera.
pentamerous |1. (Biol.)  Divided into, or consisting of, five parts; also, arranged in sets, with five parts in each set, as a flower with five sepals, five petals, five, or twice five, stamens, and five pistils. 2. (Zoöl.)  Belonging to the Pentamera.
pentamerus |A genus of extinct Paleozoic brachiopods, often very abundant in the Upper Silurian. Pentamerus limestone (Geol.), a Silurian limestone composed largely of the shells of Pentamerus.
pentameter |A verse of five feet. Note: The dactylic pentameter consists of two parts separated by a diæresis. Each part consists of two dactyls and a long syllable. The spondee may take the place of the dactyl in the first part, but not in the second. The elegiac distich consists of the hexameter followed by the pentameter. Harkness.\n\nHaving five metrical feet.
pentamethylene |A hypothetical hydrocarbon, C5H10, metameric with the amylenes, and the nucleus of a large number of derivatives; -- so named because regarded as composed of five methylene residues. Cf. Trimethylene, and Tetramethylene.
pentandria |A Linnæan class of plants having five separate stamens.
pentandrian |Of or pertaining to the class Pentadria; having five stamens.
pentandrous |Of or pertaining to the class Pentadria; having five stamens.
pentane |Any one of the three metameric hydrocarbons, C5H12, of the methane or paraffin series. They are colorless, volatile liquids, two of which occur in petroleum. So called because of the five carbon atoms in the molecule.
pentangle |A pentagon. [R.] Sir T. Browne.
pentangular |Having five corners or angles. [R.]
pentapetalous |Having five petals, or flower leaves.
pentaphyllous |Having five leaves or leaflets.
pentapody |A measure or series consisting of five feet.
pentaptote |A noun having five cases.
pentaptych |A picture, or combination of pictures, consisting of a centerpiece and double folding doors or wings, as for an altarpiece.
pentarchy |A government in the hands of five persons; five joint rulers. P. Fletcher. \"The pentarchy of the senses.\" A. Brewer.
pentaspast |A purchase with five pulleys. [R.]
pentaspermous |Containing five seeds.
pentastich |A composition consisting of five verses.
pentastichous |Having, or arranged in, five vertical ranks, as the leaves of an apple tree or a cherry tree.
pentastomida |Same as Linguatulina.
pentastyle |Having five columns in front; -- said of a temple or portico in classical architecture. -- n.  A portico having five columns.
pentateuch |The first five books of the Old Testament, collectively; -- called also the Law of Moses, Book of the Law of Moses, etc.
pentateuchal |Of or pertaining to the Pentateuch.
pentathionic |Pertaining to, or designating, an acid of sulphur obtained by leading hydrogen sulphide into a solution of sulphur dioxide; -- so called because it contains five atoms of sulphur.
pentathlon |A fivefold athletic performance peculiar to the great national games of the Greeks, including leaping, foot racing, wrestling, throwing the discus, and throwing the spear.
pentatomic |(a) Having five atoms in the molecule. (b) Having five hydrogen atoms capable of substitution.
pentavalent |Having a valence of five; -- said of certain atoms and radicals.
penteconter |A Grecian vessel with fifty oars. [Written also pentaconter.]
pentecost |1. A solemn festival of the Jews; -- so called because celebrated on the fiftieth day (seven weeks) after the second day of the Passover (which fell on the sixteenth of the Jewish month Nisan); -- hence called, also, the Feast of Weeks. At this festival an offering of the first fruits of the harvest was made. By the Jews it was generally regarded as commemorative of the gift of the law on the fiftieth day after the departure from Egypt. 2. A festival of the Roman Catholic and other churches in commemoration of the descent of the Holy Spirit on the apostles; which occurred on the day of Pentecost; -- called also Whitsunday. Shak.
pentecostal |Of or pertaining to Pentecost or to Whitsuntide.
pentecostals |Offerings formerly made to the parish priest, or to the mother church, at Pentecost. Shipley.
pentecoster |An officer in the Spartan army commanding fifty men. Mitford.
pentecosty |A troop of fifty soldiers in the Spartan army; -- called also pentecostys. Jowett (Thucyd. ).
pentelic |Of or pertaining to Mount Pentelicus, near Athens, famous for its fine white marble quarries; obtained from Mount Pentelicus; as, the Pentelic marble of which the Parthenon is built.
pentelican |Of or pertaining to Mount Pentelicus, near Athens, famous for its fine white marble quarries; obtained from Mount Pentelicus; as, the Pentelic marble of which the Parthenon is built.
pentene |Same as Amylene.
penthouse |A shed or roof sloping from the main wall or building, as over a door or window; a lean-to. Also figuratively. \"The penthouse of his eyes.\" Sir W. Scott.\n\nLeaning; overhanging. \"Penthouse lid.\" Shak. \"My penthouse eyebrows.\" Dryden.
pentice |A penthouse. [Obs.] Sir H. Wotton.
pentile |See Pantile.
pentine |An unsaturated hydrocarbon, C5H8, of the acetylene series. Same as Valerylene.
pentoic |Pertaining to, or desingating, an acid (called also valeric acid) derived from pentane.
pentone |Same as Valylene.
pentosan |One of a class of substances (complex carbohydrates widely distributed in plants, as in fruits, gums, woods, hay, etc.) which yield pentoses on hydrolysis.
pentosane |One of a class of substances (complex carbohydrates widely distributed in plants, as in fruits, gums, woods, hay, etc.) which yield pentoses on hydrolysis.
pentose |Any of a group of sugars of the formula C5H10O5, as arabinose; -- so called from the five carbon atoms in the molecule. They are not fermented by yeast.
pentoxide |An oxide containing five atoms of oxygen in each molecule; as, phosphorus pentoxide, P2O5.
pentremite |Any species of Pentremites.
pentremites |A genus of crinoids belonging to the Blastoidea. They have five petal-like ambulacra.
pentroof |See Lean-to.
pentrough |A penstock.
pentyl |The hypothetical radical, C5H11, of pentane and certain of its derivatives. Same as Amyl.
pentylic |Pertaining to, derived from, or containing, pentyl; as, pentylic alcohol
penuchle |A game at cards, played with forty-eight cards, being all the cards above the eight spots in two packs.
penult |The last syllable but one of a word; the syllable preceding the final one.
penultima |Same as Penult.
penultimate |Last but one; as, the penultimate syllable, the last syllable but one of a word.\n\nThe penult.
penumbra |1. An incomplete or partial shadow. 2. (Astron.)  The shadow cast, in an eclipse, where the light is partly, but not wholly, cut off by the intervening body; the space of partial illumination between the umbra, or perfect shadow, on all sides, and the full light. Sir I. Newton. Note: The faint shade surrounding the dark central portion of a solar spot is also called the penumbra, and sometimes umbra. 3. (Paint.)  The part of a picture where the shade imperceptibly blends with the light.
penumbrala |Of or pertaining to a penumbra; resembling a penumbra; partially illuminated.
penurious |1. Excessively sparing in the use of money; sordid; stingy; miserly. \"A penurious niggard of his wealth.\" Milton. 2. Not bountiful or liberal; scanty. Here creeps along a poor, penurious stream. C. Pitt. 3. Destitute of money; suffering extreme want. [Obs.] \"My penurious band.\" Shak. Syn. -- Avaricious; covetous; parsimonious; miserly; niggardly; stingy. See Avaricious. --Pe*nu\"ri*ous*ly, adv. -- Pe*nu\"ri*ous*ness, n.
penury |1. Absence of resources; want; privation; indigence; extreme poverty; destitution. \"A penury of military forces.\" Bacon. They were exposed to hardship and penury. Sprat. It arises in neither from penury of thought. Landor. 2. Penuriousness; miserliness. [Obs.] Jer. Taylor.
penwiper |A cloth, or other material, for wiping off or cleaning ink from a pen.
penwoman |A female writer; an authoress. Johnson.
peon |See Poon.\n\n1. A foot soldier; a policeman; also, an office attendant; a messenger. [India] 2. A day laborer; a servant; especially, in some of the Spanish American countries, debtor held by his creditor in a form of qualified servitude, to work out a debt. 3. (Chess)  See 2d Pawn.
peonage |The condition of a peon.
peonism |Same as Peonage. D. Webster.
peony |A plant, and its flower, of the ranunculaceous genus Pæonia. Of the four or five species, one is a shrub; the rest are perennial herbs with showy flowers, often double in cultivation. [Written also pæony, and piony.]
people |1. The body of persons who compose a community, tribe, nation, or race; an aggregate of individuals forming a whole; a community; a nation. Unto him shall the gathering of the people be. Gen. xlix. 10. The ants are a people not strong. Prov. xxx. 25. Before many peoples, and nations, and tongues. Rev. x. 11. Earth's monarchs are her peoples. Whitter . A government of all the people, by all the people, for all the people. T. Parker. Note: Peopleis a collective noun, generally construed with a plural verb, and only occasionally used in the plural form (peoples), in the sense of nations or races. 2. Persons, generally; an indefinite number of men and women; folks; population, or part of population; as, country people; -- sometimes used as an indefinite subject or verb, like on in French, and man in German; as, people in adversity. People were tempted to lend by great premiums. Swift . People have lived twenty-four days upon nothing but water. Arbuthnot . 3. The mass of comunity as distinguished from a special class; the commonalty; the populace; the vulgar; the common crowd; as, nobles and people. And strive to gain his pardon from the people. Addison . 4. With a possessive pronoun: (a) One's ancestors or family; kindred; relations; as, my people were English. (b) One's subjects; fellow citizens; companions; followers. \"You slew great number of his people.\" Shak. Syn. -- People, Nation. When speaking of a state, we use people for the mass of the community, as distinguished from their rulers, and nation for the entire political body, including the rulers. In another sense of the term, nation describes those who are descended from the same stock; and in this sense the Germans regard themselves as one nation, though politically subject to different forms of government.\n\nTo stock with people or inhabitants; to fill as with people; to populate. \"Peopled heaven with angels.\" Dryden. As the gay motes that people the sunbeams. Milton .
peopled |Stocked with, or as with, people; inhabited. \"The peopled air.\" Gray.
peopleless |Destitute of people. Poe.
peopler |A settler; an inhabitant. \"Peoplers of the peaceful glen.\" J. S. Blackie. PEOPLE'S BANK Peo\"ple's bank.  A form of coöperative bank, such as those of Germany; -- a term loosely used for various forms of coöperative financial institutions. PEOPLE'S PARTY People's party. (U. S. Politics)  A party formed in 1891, advocating in an increase of the currency, public ownership and operation of railroads, telegraphs, etc., an income tax, limitation in ownership of land, etc.
peoplish |Vulgar. [Obs.] Chaucer.
peorias |An Algonquin tribe of Indians who formerly inhabited a part of Illinois.
pepastic |Same as Maturative.
peperine |A volcanic rock, formed by the cementing together of sand, scoria, cinders, etc.
peperino |A volcanic rock, formed by the cementing together of sand, scoria, cinders, etc.
peplis |A genus of plants including water purslane.
peplum |A peplos. Hence: An overskirt hanging like an ancient peplos; also, a short fitted skirt attached to a waist or coat.
peplus |1. An upper garment worn by Grecian and Roman women. 2. A kind of kerchief formerly worn by Englishwomen. [Obs.] Fairholt.
pepo |Any fleshy fruit with a firm rind, as a pumpkin, melon, or gourd. See Gourd.
pepper |1. A well-known, pungently aromatic condiment, the dried berry, either whole or powdered, of the Piper nigrum. Note: Common, or black, pepper is made from the whole berry, dried just before maturity; white pepper is made from the ripe berry after the outer skin has been removed by maceration and friction. It has less of the peculiar properties of the plant than the black pepper. Pepper is used in medicine as a carminative stimulant. 2. (Bot.)  The plant which yields pepper, an East Indian woody climber (Piper nigrum), with ovate leaves and apetalous flowers in spikes opposite the leaves. The berries are red when ripe. Also, by extension, any one of the several hundred species of the genus Piper, widely dispersed throughout the tropical and subtropical regions of the earth. 3. Any plant of the genus Capsicum, and its fruit; red pepper; as, the bell pepper. Note: The term pepper has been extended to various other fruits and plants, more or less closely resembling the true pepper, esp. to the common varieties of Capsicum. See Capsicum, and the Phrases, below. African pepper, the Guinea pepper. See under Guinea. -- Cayenne pepper. See under Cayenne. -- Chinese pepper, the spicy berries of the Xanthoxylum piperitum, a species of prickly ash found in China and Japan. -- Guinea pepper. See under Guinea, and Capsicum. -- Jamaica pepper. See Allspice. -- Long pepper. (a) The spike of berries of Piper longum, an East Indian shrub. (b) The root of Piper, or Macropiper, methysticum. See Kava. -- Malaguetta, or Meleguetta, pepper, the aromatic seeds of the Amomum Melegueta, an African plant of the Ginger family. They are sometimes used to flavor beer, etc., under the name of grains of Paradise. -- Red pepper. See Capsicum. -- Sweet pepper bush (Bot.), an American shrub (Clethra alnifolia), with racemes of fragrant white flowers; -- called also white alder. -- Pepper box or caster, a small box or bottle, with a perforated lid, used for sprinkling ground pepper on food, etc. -- Pepper corn. See in the Vocabulary. -- Pepper elder (Bot.), a West Indian name of several plants of the Pepper family, species of Piper and Peperomia. -- Pepper moth (Zoöl.), a European moth (Biston betularia) having white wings covered with small black specks. -- Pepper pot, a mucilaginous soup or stew of vegetables and cassareep, much esteemed in the West Indies. -- Pepper root. (Bot.). See Coralwort. -- pepper sauce, a condiment for the table, made of small red peppers steeped in vinegar. -- Pepper tree (Bot.), an aromatic tree (Drimys axillaris) of the Magnolia family, common in New Zealand. See Peruvian mastic tree, under Mastic.\n\n1. To sprinkle or season with pepper. 2. Figuratively: To shower shot or other missiles, or blows, upon; to pelt; to fill with shot, or cover with bruises or wounds. \"I have peppered two of them.\" \"I am peppered, I warrant, for this world.\" Shak.\n\nTo fire numerous shots (at).
pepper box |A buttress on the left-hand wall of a fives court as the game is played at Eton College, England.
pepper dulse |A variety of edible seaweed (Laurencia pinnatifida) distinguished for its pungency. [Scot.] Lindley.
pepperbrand |See 1st Bunt.
peppercorn |1. A dried berry of the black pepper (Piper nigrum). 2. Anything insignificant; a particle.
pepperer |A grocer; -- formerly so called because he sold pepper. [Obs.]
peppergrass |(a) Any herb of the cruciferous genus Lepidium, especially the garden peppergrass, or garden cress, Lepidium sativum; -- called also pepperwort. All the species have a pungent flavor. (b) The common pillwort of Europe (Pilularia globulifera). See Pillwort.
pepperidge |A North American tree (Nyssa multiflora) with very tough wood, handsome oval polished leaves, and very acid berries, -- the sour gum, or common tupelo. See Tupelo. [Written also piperidge and pipperidge.] Pepperidge bush (Bot.), the barberry.
peppering |Hot; pungent; peppery. Swift.
peppermint |1. (Bot.)  An aromatic and pungent plant of the genus Mentha (M. piperita), much used in medicine and confectionery. 2. A volatile oil (oil of peppermint) distilled from the fresh herb; also, a well-known essence or spirit (essence of peppermint) obtained from it. 3. A lozenge of sugar flavored with peppermint. Peppermint camphor. (Chem.) Same as Menthol. -- Peppermint tree (Bot.), a name given to several Australian species of gum tree (Eucalyptus amygdalina, E. piperita, E. odorata, etc.) which have hard and durable wood, and yield an essential oil.
pepperwort |See Peppergrass.
peppery |1. Of or pertaining to pepper; having the qualities of pepper; hot; pungent. 2. Fig.: Hot-tempered; passionate; choleric.
pepsin |An unorganized proteolytic ferment or enzyme contained in the secretory glands of the stomach. In the gastric juice it is united with dilute hydrochloric acid (0.2 per cent, approximately) and the two together constitute the active portion of the digestive fluid. It is the active agent in the gastric juice of all animals. Note: As prepared from the glandular layer of pigs' or calves' stomachs it constitutes an important article of pharmacy.
pepsinhydrochloric |Same as Peptohydrochloric.
pepsinogen |The antecedent of the ferment pepsin. A substance contained in the form of granules in the peptic cells of the gastric glands. It is readily convertible into pepsin. Also called propepsin.
peptic |1. Relating to digestion; promoting digestion; digestive; as, peptic sauces. 2. Able to digest. [R.] Tolerably nutritive for a mind as yet so peptic. Carlyle. 3. (Physiol. Chem.)  Pertaining to pepsin; resembling pepsin in its power of digesting or dissolving albuminous matter; containing or yielding pepsin, or a body of like properties; as, the peptic glands.\n\n1. An agent that promotes digestion. 2. pl.  The digestive organs. Is there some magic in the place, Or do my peptics differ Tennyson.
peptics |The science of digestion.
peptogen |A substance convertible into peptone.
peptogenic |Same as Peptogenous.
peptogenous |Capable of yielding, or being converted into, peptone.
peptohydrochloric |Designating a hypothetical acid (called peptohydrochloric acid, pepsinhydrochloric acid, and chloropeptic acid) which is supposed to be formed when pepsin and dilute (0.1-0.4 per cent) hydrochloric acid are mixed together.
peptone |(a) The soluble and diffusible substance or substances into which albuminous portions of the food are transformed by the action of the gastric and pancreatic juices. Peptones are also formed from albuminous matter by the action of boiling water and boiling dilute acids. (b) Collectively, in a broader sense, all the products resulting from the solution of albuminous matter in either gastric or pancreatic juice. In this case, however, intermediate products (albumose bodies), such as antialbumose, hemialbumose, etc., are mixed with the true peptones. Also termed albuminose. Note: Pure peptones are of three kinds, amphopeptone, antipeptone, and hemipeptone, and, unlike the albumose bodies, are not precipitated by saturating their solutions with ammonium sulphate.
peptonize |To convert into peptone; to digest or dissolve by means of a proteolytic ferment; as, peptonized food.
peptonoid |A substance related to peptone.
peptonuria |The presence of peptone, or a peptonelike body, in the urine.
peptotoxine |A toxic alkaloid found occasionally associated with the peptones formed from fibrin by pepsinhydrochloric acid.
pequots |A tribe of Indians who formerly inhabited Eastern Connecticut. [Written also Pequods.]
per |Through; by means of; through the agency of; by; for; for each; as, per annum; per capita, by heads, or according to individuals; per curiam, by the court; per se, by itself, of itself. Per is also sometimes used with English words. Per annum, by the year; in each successive year; annually. -- Per cent, Per centum, by the hundred; in the hundred; -- used esp. of proportions of ingredients, rate or amount of interest, and the like; commonly used in the shortened form per cent. -- Per diem, by the day. [For other phrases from the Latin, see Quotations, Phrases, etc., from Foreign Languages, in the Supplement.]
per diem |By the day; substantively (chiefly U. S.), an allowance or amount of so much by the day.
per- |1. A prefix used to signify through, throughout, by, for, or as an intensive as perhaps, by hap or chance; perennial, that lasts throughout the year; perforce, through or by force; perfoliate, perforate; perspicuous, evident throughout or very evident; perplex, literally, to entangle very much. 2. (Chem.)  Originally, denoting that the element to the name of which it is prefixed in the respective compounds exercised its highest valence; now, only that the element has a higher valence than in other similar compounds; thus, barium peroxide is the highest oxide of barium; while nitrogen and manganese peroxides, so-called, are not the highest oxides of those elements.
peract |To go through with; to perform. [Obs.] Sylvester.
peracute |Very sharp; very violent; as, a peracute fever. [R.] Harvey.
peradventure |By chance; perhaps; it may be; if; supposing. \"If peradventure he speak against me.\" Shak. Peradventure there be fifty righteous within the city. Gen. xviii. 24.\n\nChance; hap; hence, doubt; question; as, proved beyond peradventure. South.
peraeopod |One of the thoracic legs of a crustacean. See Illust. of Crustacea.
peragrate |To travel over or through. [Obs.]
peragration |The act or state of passing through any space; as, the peragration of the moon in her monthly revolution. [Obs.] Sir T. Browne.
perambulate |To walk through or over; especially, to travel over for the purpose of surveying or examining; to inspect by traversing; specifically, to inspect officially the boundaries of, as of a town or parish, by walking over the whole line.\n\nTo walk about; to ramble; to stroll; as, he perambulated in the park.
perambulation |1. The act of perambulating; traversing. Bacon. 2. An annual survey of boundaries, as of town, a parish, a forest, etc. 3. A district within which one is authorized to make a tour of inspection. \"The . . . bounds of his own perambulation.\" [Obs.] Holyday.
perambulator |1. One who perambulates. 2. A surveyor's instrument for measuring distances. It consists of a wheel arranged to roll along over the ground, with an apparatus of clockwork, and a dial plate upon which the distance traveled is shown by an index. See Odometer. 3. A low carriage for a child, propelled by pushing.
perameles |Any marsupial of the genus Perameles, which includes numerous species found in Australia. They somewhat resemble rabbits in size and form. See Illust. under Bandicoot.
perbend |See Perpender.
perbreak |See Parbreak.
perbromate |A salt of perbromic acid.
perbromic |Pertaining to, or designating, the highest oxygen acid, HBrO4, of bromine.
perbromide |A bromide having a higher proportion of bromine than any other bromide of the same substance or series.
perca |A genus of fishes, including the fresh-water perch.
percale |A fine cotton fabric, having a linen finish, and often printed on one side, -- used for women's and children's wear.
percaline |A fine kind of French cotton goods, usually of one color.
percarbide |A compound containing a relatively large amount of carbon. [R.]
percarburet |A percarbide. [Obsoles.]
percarbureted |Combined with a relatively large amount of carbon.
percase |Perhaps; perchance. [Obs.] Bacon.
perce |To pierce. [Obs.] Chaucer.
