defiatory |Bidding or manifesting defiance. [Obs.] Shelford.
del credere |An agreement by which an agent or factor, in consideration of an additional premium or commission (called a del credere commission), engages, when he sells goods on credit, to insure, warrant, or guarantee to his principal the solvency of the purchaser, the engagement of the factor being to pay the debt himself if it is not punctually discharged by the buyer when it becomes due.
delaceration |A tearing in pieces. [Obs.] Bailey.
delacrymation |An involuntary discharge of watery humors from the eyes; wateriness of the eyes. [Obs.] Bailey.
delactation |The act of weaning. [Obs.] Bailey.
delaine |A kind of fabric for women's dresses.
delamination |Formation and separation of laminæ or layers; one of the methods by which the various blastodermic layers of the ovum are differentiated. Note: This process consists of a concentric splitting of the cells of the blastosphere into an outer layer (epiblast) and an inner layer (hypoblast). By the perforation of the resultant two-walled vesicle, a gastrula results similar to that formed by the process of invagination.
delapsation |See Delapsion. Ray.
delapse |To pass down by inheritance; to lapse. [Obs.] Which Anne derived alone the right, before all other, Of the delapsed crown from Philip. Drayton.
delapsion |A falling down, or out of place; prolapsion.
delassation |Fatigue. Able to continue without delassation. Ray.
delate |1. To carry; to convey. Try exactly the time wherein sound is delated. Bacon. 2. To carry abroad; to spread; to make public. When the crime is delated or notorious. Jer. Taylor. 3. To carry or bring against, as a charge; to inform against; to accuse; to denounce. As men were delated, they were marked down for such a fine. Bp. Burnet. 4. To carry on; to conduct. Warner.\n\nTo dilate. [Obs.] Goodwin.
delation |1. Conveyance. [Obs. or Archaic] In delation of sounds, the inclosure of them preserveth them. Bacon. 2. (Law)  Accusation by an informer. Milman.
delator |An accuser; an informer. [R.] Howell.
delaware |An American grape, with compact bunches of small, amber-colored berries, sweet and of a good flavor.
delawares |A tribe of Indians formerly inhabiting the valley of the Delaware River, but now mostly located in the Indian Territory.
delay |A putting off or deferring; procrastination; lingering inactivity; stop; detention; hindrance. Without any delay, on the morrow I sat on the judgment seat. Acts xxv. 17. The government ought to be settled without the delay of a day. Macaulay.\n\n1. To put off; to defer; to procrastinate; to prolong the time of or before. My lord delayeth his coming. Matt. xxiv. 48. 2. To retard; to stop, detain, or hinder, for a time; to retard the motion, or time of arrival, of; as, the mail is delayed by a heavy fall of snow. Thyrsis! whose artful strains have oft delayed The huddling brook to hear his madrigal. Milton. 3. To allay; to temper. [Obs.] The watery showers delay the raging wind. Surrey.\n\nTo move slowly; to stop for a time; to linger; to tarry. There seem to be certain bounds to the quickness and slowness of the succession of those ideas, . . . beyond which they can neither delay nor hasten. Locke.
delayer |One who delays; one who lingers.
delayingly |By delays. [R.] Tennyson.
delayment |Hindrance. [Obs.] Gower.
dele |Erase; remove; -- a direction to cancel something which has been put in type; usually expressed by a peculiar form of d, thus: .\n\nTo erase; to cancel; to delete; to mark for omission.\n\nTo deal; to divide; to distribute. [Obs.] Chaucer.
deleble |Capable of being blotted out or erased. \"An impression easily deleble.\" Fuller.
delectable |Highly pleasing; delightful. Delectable both to behold and taste. Milton. -- De*lec\"ta*ble*ness, n. -- De*lec\"ta*bly, adv.
delectate |To delight; to charm. [R.]
delectation |Great pleasure; delight.
delectus |A name given to an elementary book for learners of Latin or Greek. G. Eliot.
delegacy |1. The act of delegating, or state of being delegated; deputed power. [Obs.] By way of delegacy or grand commission. Sir W. Raleigh. 2. A body of delegates or commissioners; a delegation. [Obs.] Burton.
delegate |1. Any one sent and empowered to act for another; one deputed to represent; a chosen deputy; a representative; a commissioner; a vicar. 2. (a) One elected by the people of a territory to represent them in Congress, where he has the right of debating, but not of voting. (b) One sent by any constituency to act as its representative in a convention; as, a delegate to a convention for nominating officers, or for forming or altering a constitution. [U.S.] Court of delegates, formerly, the great court of appeal from the archbishops' courts and also from the court of admiralty. It is now abolished, and the privy council is the immediate court of appeal in such cases. [Eng.]\n\nSent to act for a represent another; deputed; as, a delegate judge. \"Delegate power.\" Strype.\n\n1. To send as one's representative; to empower as an ambassador; to send with power to transact business; to commission; to depute; to authorize. 2. To intrust to the care or management of another; to transfer; to assign; to commit. The delegated administration of the law. Locke. Delegated executive power. Bancroft. The power exercised by the legislature is the people's power, delegated by the people to the legislative. J. B. Finch.
delegation |1. The act of delegating, or investing with authority to act for another; the appointment of a delegate or delegates. 2. One or more persons appointed or chosen, and commissioned to represent others, as in a convention, in Congress, etc.; the collective body of delegates; as, the delegation from Massachusetts; a deputation. 3. (Rom. Law)  A kind of novation by which a debtor, to be liberated from his creditor, gives him a third person, who becomes obliged in his stead to the creditor, or to the person appointed by him. Pothier.
delegatory |Holding a delegated position. Nash.
delenda |Things to be erased or blotted out.
delenifical |Assuaging pain. [Obs.] Bailey.
delete |To blot out; to erase; to expunge; to dele; to omit. I have, therefore, . . . inserted eleven stanzas which do not appear in Sir Walter Scott's version, and have deleted eight. Aytoun.
deleterious |Hurtful; noxious; destructive; pernicious; as, a deleterious plant or quality; a deleterious example. -- Del`e*te\"ri*ous*ly, adv. -- Del`e*te\"ri*ous*ness, n.
deletery |Destructive; poisonous. [Obs.] \"Deletery medicines.\" Hudibras.\n\nThat which destroys. [Obs.] They [the Scriptures] are the only deletery of heresies. Jer. Taylor.
deletion |Act of deleting, blotting out, or erasing; destruction. [Obs.] Jer. Taylor. A total deletion of every person of the opposing party. Sir M. Hale.
deletitious |Of such a nature that anything may be erased from it; -- said of paper.
deletive |Adapted to destroy or obliterate. [R.] Evelyn.
deletory |That which blots out. [Obs.] \"A deletory of sin.\" Jer. Taylor.
delf |A mine; a quarry; a pit dug; a ditch. [Written also delft, and delve.] [Obs.] The delfts would be so flown with waters, that no gins or machines could . . . keep them dry. Ray.\n\nSame as Delftware.
delft |Same as Delftware.
delftware |(a) Pottery made at the city of Delft in Holland; hence: (b) Earthenware made in imitation of the above; any glazed earthenware made for table use, and the like.
delibate |To taste; to take a sip of; to dabble in. [Obs.]
delibation |Act of tasting; a slight trial. [Obs.] Berkeley.
deliber |To deliberate. [Obs.]
deliberate |1. Weighing facts and arguments with a view a choice or decision; carefully considering the probable consequences of a step; circumspect; slow in determining; -- applied to persons; as, a deliberate judge or counselor. \"These deliberate fools.\" Shak. 2. Formed with deliberation; well-advised; carefully considered; not sudden or rash; as, a deliberate opinion; a deliberate measure or result. Settled visage and deliberate word. Shak. 3. Not hasty or sudden; slow. Hooker. His enunciation was so deliberate. W. Wirt.\n\nTo weigh in the mind; to consider the reasons for and against; to consider maturely; to reflect upon; to ponder; as, to deliberate a question.\n\nTo take counsel with one's self; to weigh the arguments for and against a proposed course of action; to reflect; to consider; to hesitate in deciding; -- sometimes with on, upon, concerning. The woman the deliberation is lost. Addison.
deliberately |With careful consideration, or deliberation; circumspectly; warily; not hastily or rashly; slowly; as, a purpose deliberately formed.
deliberateness |The quality of being deliberate; calm consideration; circumspection.
deliberation |1. The act of deliberating, or of weighing and examining the reasons for and against a choice or measure; careful consideration; mature reflection. Choosing the fairest way with a calm deliberation. W. Montagu. 2. Careful discussion and examination of the reasons for and against a measure; as, the deliberations of a legislative body or council.
deliberative |Pertaining to deliberation; proceeding or acting by deliberation, or by discussion and examination; deliberating; as, a deliberative body. A consummate work of deliberative wisdom. Bancroft. The court of jurisdiction is to be distinguished from the deliberative body, the advisers of the crown. Hallam.\n\n1. A discourse in which a question is discussed, or weighed and examined. Bacon. 2. A kind of rhetoric employed in proving a thing and convincing others of its truth, in order to persuade them to adopt it.
deliberatively |In a deliberative manner; circumspectly; considerately.
deliberator |One who deliberates.
delibrate |To strip off the bark; to peel. [Obs.] Ash.
delibration |The act of stripping off the bark. [Obs.] Ash.
delicacy |1. The state or condition of being delicate; agreeableness to the senses; delightfulness; as, delicacy of flavor, of odor, and the like. What choice to choose for delicacy best. Milton. 2. Nicety or fineness of form, texture, or constitution; softness; elegance; smoothness; tenderness; and hence, frailty or weakness; as, the delicacy of a fiber or a thread; delicacy of a hand or of the human form; delicacy of the skin; delicacy of frame. 3. Nice propriety of manners or conduct; susceptibility or tenderness of feeling; refinement; fastidiousness; and hence, in an exaggerated sense, effeminacy; as, great delicacy of behavior; delicacy in doing a kindness; delicacy of character that unfits for earnest action. You know your mother's delicacy in this point. Cowper. 4. Addiction to pleasure; luxury; daintiness; indulgence; luxurious or voluptuous treatment. And to those dainty limbs which Nature lent For gentle usage and soft delicacy Milton. 5. Nice and refined perception and discrimination; critical niceness; fastidious accuracy. That Augustan delicacy of taste which is the boast of the great public schools of England. Macaulay. 6. The state of being affected by slight causes; sensitiveness; as, the delicacy of a chemist's balance. 7. That which is alluring, delicate, or refined; a luxury or pleasure; something pleasant to the senses, especially to the sense of taste; a dainty; as, delicacies of the table. The merchants of the earth are waxed rich through the abundance of her delicacies. Rev. xviii. 3. 8. Pleasure; gratification; delight. [Obs.] He Rome brent for his delicacie. Chaucer. Syn. -- See Dainty.
delicate |1. Addicted to pleasure; luxurious; voluptuous; alluring. [R.] Dives, for his delicate life, to the devil went. Piers Plowman. Haarlem is a very delicate town. Evelyn. 2. Pleasing to the senses; refinedly; hence, adapted to please a nice or cultivated taste; nice; fine; elegant; as, a delicate dish; delicate flavor. 3. Slight and shapely; lovely; graceful; as, \"a delicate creature.\" Shak. 4. Fine or slender; minute; not coarse; -- said of a thread, or the like; as, delicate cotton. 5. Slight or smooth; light and yielding; -- said of texture; as, delicate lace or silk. 6. Soft and fair; -- said of the skin or a surface; as, a delicate cheek; a delicate complexion. 7. Light, or softly tinted; -- said of a color; as; as, a delicate blue. 8. Refined; gentle; scrupulous not to trespass or offend; considerate; -- said of manners, conduct, or feelings; as, delicate behavior; delicate attentions; delicate thoughtfulness. 9. Tender; not able to endure hardship; feeble; frail; effeminate; -- said of constitution, health, etc.; as, a delicate child; delicate health. A delicate and tender prince. Shak. 10. Requiring careful handling; not to be rudely or hastily dealt with; nice; critical; as, a delicate subject or question. There are some things too delicate and too sacred to be handled rudely without injury to truth. F. W. Robertson. 11. Of exacting tastes and habits; dainty; fastidious. 12. Nicely discriminating or perceptive; refinedly critical; sensitive; exquisite; as, a delicate taste; a delicate ear for music. 13. Affected by slight causes; showing slight changes; as, a delicate thermometer.\n\n1. A choice dainty; a delicacy. [R.] With abstinence all delicates he sees. Dryden. 2. A delicate, luxurious, or effeminate person. All the vessels, then, which our delicates have, -- those I mean that would seem to be more fine in their houses than their neighbors, -- are only of the Corinth metal. Holland.
delicately |In a delicate manner.
delicateness |The quality of being delicate.
delicatessen |Relishes for the table; dainties; delicacies. \"A dealer in delicatessen\".  G. H. Putnam.
delices |Delicacies; delights. [Obs.] \"Dainty delices.\" Spenser.
deliciate |To delight one's self; to indulge in feasting; to revel. [Obs.]
delicious |1. Affording exquisite pleasure; delightful; most sweet or grateful to the senses, especially to the taste; charming. Some delicious landscape. Coleridge. One draught of spring's delicious air. Keble. Were not his words delicious Tennyson. 2. Addicted to pleasure; seeking enjoyment; luxurious; effeminate. [Obs.] Others, lastly, of a more delicious and airy spirit, retire themselves to the enjoyments of ease and luxury. Milton. Syn. -- Delicious, Delightful. Delicious refers to the pleasure derived from certain of the senses, particularly the taste and smell; as, delicious food; a delicious fragrance. Delightful may also refer to most of the senses (as, delightful music; a delightful prospect; delightful sensations), but has a higher application to matters of taste, feeling, and sentiment; as, a delightful abode, conversation, employment; delightful scenes, etc. Like the rich fruit he sings, delicious in decay. Smith. No spring, nor summer, on the mountain seen, Smiles with gay fruits or with delightful green. Addison.
deliciously |Delightfully; as, to feed deliciously; to be deliciously entertained.
deliciousness |1. The quality of being delicious; as, the deliciousness of a repast. 2. Luxury. \"To drive away all superfluity and deliciousness.\" Sir T. North.
delict |An offense or transgression against law; (Scots Law) an offense of a lesser degree; a misdemeanor. Every regulation of the civil code necessarily implies a delict in the event of its violation. Jeffrey.
deligate |To bind up; to bandage.
deligation |A binding up; a bandaging. Wiseman.
delight |1. A high degree of gratification of mind; a high-wrought state of pleasurable feeling; lively pleasure; extreme satisfaction; joy. Sounds and sweet airs, that give delight and hurt not. Shak. A fool hath no delight in understanding. Prov. xviii. 2. 2. That which gives great pleasure or delight. Heaven's last, best gift, my ever new delight. Milton. 3. Licentious pleasure; lust. [Obs.] Chaucer.\n\nTo give delight to; to affect with great pleasure; to please highly; as, a beautiful landscape delights the eye; harmony delights the ear. Inventions to delight the taste. Shak. Delight our souls with talk of knightly deeds. Tennyson.\n\nTo have or take great delight or pleasure; to be greatly pleased or rejoiced; -- followed by an infinitive, or by in. Love delights in praises. Shak. I delight to do thy will, O my God. Ps. xl. 8.
delightable |Capable of delighting; delightful. [Obs.] Many a spice delightable. Rom. of R.
delighted |Endowed with delight. If virtue no delighted beauty lack. Shak. Syn. -- Glad; pleased; gratified. See Glad.
delightedly |With delight; gladly.
delighter |One who gives or takes delight.
delightful |Highly pleasing; affording great pleasure and satisfaction. \"Delightful bowers.\" Spenser. \"Delightful fruit.\" Milton. Syn. -- Delicious; charming. See Delicious. -- De*light\"ful*ly, adv. -- De*light\"ful*ness, n.
delighting |Giving delight; gladdening. -- De*light\"ing*ly, adv. Jer. Taylor.
delightless |Void of delight. Thomson.
delightous |Delightful. [Obs.] Rom. of R.
delightsome |Very pleasing; delightful. \"Delightsome vigor.\" Grew. Ye shall be a delightsome land, . . . saith the Lord. Mal. iii. 12. -- De*light\"some*ly, adv. -- De*light\"some*ness, n.
delignate |1.  To clear or strip of wood (by cutting down trees). [R.] Fuller. 2.  To strip or remove the wood from; as, to delignate ramie, in the preparation of ribbons of the fiber for further working.
delilah |The mistress of Samson, who betrayed him (Judges xvi.); hence, a harlot; a temptress. Other Delilahs on a smaller scale Burns met with during his Dumfries sojourn. J. C. Shairp.
delimit |To fix the limits of; to demarcate; to bound.
delimitation |The act or process of fixing limits or boundaries; limitation. Gladstone.
deline |1. To delineate. [Obs.] 2. To mark out. [Obs.] R. North.
delineable |Capable of being, or liable to be, delineated. Feltham.
delineament |Delineation; sketch. Dr. H. More.
delineate |Delineated; portrayed. [R.]\n\n1. To indicate by lines drawn in the form or figure of; to represent by sketch, design, or diagram; to sketch out; to portray; to picture; in drawing and engraving, to represent in lines, as with the pen, pencil, or graver; hence, to represent with accuracy and minuteness. See Delineation. Adventurous to delineate nature's form. Akenside. 2. To portray to the mind or understanding by words; to set forth; to describe. Customs or habits delineated with great accuracy. Walpole.
delineation |1. The act of representing, portraying, or describing, as by lines, diagrams, sketches, etc.; drawing an outline; as, the delineation of a scene or face; in drawing and engraving, representation by means of lines, as distinguished from representation by means of tints shades; accurate and minute representation, as distinguished from art that is careless of details, or subordinates them excessively. 2. A delineated picture; representation; sketch; description in words. Their softest delineations of female beauty. W. Irving. Syn. -- Sketch; portrait; outline. See Sketch.
delineator |1. One who, or that which, delineates; a sketcher. 2. (Surv.)  A perambulator which records distances and delineates a profile, as of a road.
delineatory |That delineates; descriptive; drawing the outline; delineating.
delineature |Delineation. [Obs.]
delinition |A smearing. [Obs.] Dr. H. More.
delinquency |Failure or omission of duty; a fault; a misdeed; an offense; a misdemeanor; a crime. The delinquencies of the little commonwealth would be represented in the most glaring colors. Motley.
delinquent |Failing in duty; offending by neglect of duty.\n\nOne who fails or neglects to perform his duty; an offender or transgressor; one who commits a fault or a crime; a culprit. A delinquent ought to be cited in the place or jurisdiction where the delinquency was committed. Ayliffe.
delinquently |So as to fail in duty.
deliquate |To melt or be dissolved; to deliquesce. [Obs.] Boyle.\n\nTo cause to melt away; to dissolve; to consume; to waste. [Obs.] Dilapidating, or rather deliquating, his bishopric. Fuller.
deliquation |A melting. [Obs.]
deliquesce |To dissolve gradually and become liquid by attracting and absorbing moisture from the air, as certain salts, acids, and alkalies. In very moist air crystals of strontites deliquesce. Black.
deliquescence |The act of deliquescing or liquefying; process by which anything deliquesces; tendency to melt.
deliquescent |1. Dissolving; liquefying by contact with the air; capable of attracting moisture from the atmosphere and becoming liquid; as, deliquescent salts. 2. (Bot.)  Branching so that the stem is lost in branches, as in most deciduous trees. Gray.
deliquiate |To melt and become liquid by absorbing water from the air; to deliquesce. Fourcroy.
deliquiation |The act of deliquating.
deliquium |1. (Chem.)  A melting or dissolution in the air, or in a moist place; a liquid condition; as, a salt falls into a deliquium. [R.] 2. A sinking away; a swooning. [Obs.] Bacon. 3. A melting or maudlin mood. Carlyle.
deliracy |Delirium. [Obs.]
delirament |A wandering of the mind; a crazy fancy. [Obs.] Heywood.
delirancy |Delirium. [Obs.] Gauden.
delirant |Delirious. [Obs.] Owen.
delirate |To madden; to rave. [Obs.] An infatuating and delirating spirit in it. Holland.
deliration |Aberration of mind; delirium. J. Motley. Deliration or alienation of the understanding. Mede.
deliriant |A poison which occasions a persistent delirium, or mental aberration (as belladonna).
delirifacient |Producing, or tending to produce, delirium. -- n.  Any substance which tends to cause delirium.
delirious |Having a delirium; wandering in mind; light-headed; insane; raving; wild; as, a delirious patient; delirious fancies. -- De*lir\"i*ous*ly, adv. -- De*lir\"i*ous*ness, n.
delirium |1. (Med.)  A state in which the thoughts, expressions, and actions are wild, irregular, and incoherent; mental aberration; a roving or wandering of the mind, -- usually dependent on a fever or some other disease, and so distinguished from mania, or madness. 2. Strong excitement; wild enthusiasm; madness. The popular delirium [of the French Revolution] at first caught his enthusiastic mind. W. Irving. The delirium of the preceding session (of Parliament). Motley. Delirium tremens (. Etym: [L., trembling delirium] (Med.), a violent delirium induced by the excessive and prolonged use of intoxicating liquors. -- Traumatic delirium (Med.), a variety of delirium following injury. Syn. -- Insanity; frenzy; madness; derangement; aberration; mania; lunacy; fury. See Insanity.
delit |Delight. [Obs.] Chaucer.
delitable |Delightful; delectable. [Obs.]
delitescence |1. Concealment; seclusion; retirement. The delitescence of mental activities. Sir W. Hamilton. 2. (Med.)  The sudden disappearance of inflammation.
delitescency |Concealment; seclusion. The mental organization of the novelist must be characterized, to speak craniologically, by an extraordinary development of the passion for delitescency. Sir W. Scott.
delitescent |Lying hid; concealed.
delitigate |To chide; to rail heartily. [Obs.]
delitigation |Chiding; brawl. [Obs.]
deliver |1. To set free from restraint; to set at liberty; to release; to liberate, as from control; to give up; to free; to save; to rescue from evil actual or feared; -- often with from or out of; as, to deliver one from captivity, or from fear of death. He that taketh warning shall deliver his soul. Ezek. xxxiii. 5. Promise was that I Should Israel from Philistian yoke deliver. Milton. 2. To give or transfer; to yield possession or control of; to part with (to); to make over; to commit; to surrender; to resign; -- often with up or over, to or into. Thou shalt deliver Pharaoh's cup into his hand. Gen. xl. 13. The constables have delivered her over. Shak. The exalted mind All sense of woe delivers to the wind. Pope. 3. To make over to the knowledge of another; to communicate; to utter; to speak; to impart. Till he these words to him deliver might. Spenser. Whereof the former delivers the precepts of the art, and the latter the perfection. Bacon. 4. To give forth in action or exercise; to discharge; as, to deliver a blow; to deliver a broadside, or a ball. Shaking his head and delivering some show of tears. Sidney. An uninstructed bowler . . . thinks to attain the jack by delivering his bowl straightforward. Sir W. Scott. 5. To free from, or disburden of, young; to relieve of a child in childbirth; to bring forth; -- often with of. She was delivered safe and soon. Gower. Tully was long ere he could be delivered of a few verses, and those poor ones. Peacham. 6. To discover; to show. [Poetic] I 'll deliver Myself your loyal servant. Shak. 7. To deliberate. [Obs.] Chaucer. 8. To admit; to allow to pass. [Obs.] Bacon. Syn. -- To Deliver, Give Forth, Discharge, Liberate, Pronounce, Utter. Deliver denotes, literally, to set free. Hence the term is extensively applied to cases where a thing is made to pass from a confined state to one of greater freedom or openness. Hence it may, in certain connections, be used as synonymous with any or all of the above-mentioned words, as will be seen from the following examples: One who delivers a package gives it forth; one who delivers a cargo discharges it; one who delivers a captive liberates him; one who delivers a message or a discourse utters or pronounces it; when soldiers deliver their fire, they set it free or give it forth.\n\nFree; nimble; sprightly; active. [Obs.] Wonderly deliver and great of strength. Chaucer.
deliverable |Capable of being, or about to be, delivered; necessary to be delivered. Hale.
deliverance |1. The act of delivering or freeing from restraint, captivity, peril, and the like; rescue; as, the deliverance of a captive. He hath sent me to heal the broken-hearted, to preach deliverance to the captives. Luke iv. 18. One death or one deliverance we will share. Dryden. 2. Act of bringing forth children. [Archaic] Shak. 3. Act of speaking; utterance. [Archaic] Shak. Note: In this and in the preceding sense delivery is the word more commonly used. 4. The state of being delivered, or freed from restraint. I do desire deliverance from these officers. Shak. 5. Anything delivered or communicated; esp., an opinion or decision expressed publicly. [Scot.] 6. (Metaph.)  Any fact or truth which is decisively attested or intuitively known as a psychological or philosophical datum; as, the deliverance of consciousness.
deliverer |1. One who delivers or rescues; a preserver. 2. One who relates or communicates.
deliveress |A female de [R.] Evelyn.
deliverly |Actively; quickly; nimbly. [Obs.] Swim with your bodies, And carry it sweetly and deliverly. Beau. & Fl.
deliverness |Nimbleness; agility. [Obs.]
delivery |1. The act of delivering from restraint; rescue; release; liberation; as, the delivery of a captive from his dungeon. 2. The act of delivering up or over; surrender; transfer of the body or substance of a thing; distribution; as, the delivery of a fort, of hostages, of a criminal, of goods, of letters. 3. The act or style of utterance; manner of speaking; as, a good delivery; a clear delivery. 4. The act of giving birth; parturition; the expulsion or extraction of a fetus and its membranes. 5. The act of exerting one's strength or limbs. Neater limbs and freer delivery. Sir H. Wotton. 6. The act or manner of delivering a ball; as, the pitcher has a swift delivery.
dell |1. A small, retired valley; a ravine. In dells and dales, concealed from human sight. Tickell. 2. A young woman; a wench. [Obs.] Sweet doxies and dells. B. Jonson.
della crusca |A shortened form of Academia della Crusca, an academy in Florescence, Italy, founded in the 16th century, especially for conversing the purity of the Italian language. Note: The Accademia della Crusca (literally, academy of the bran or chaff) was so called in allusion to its chief object of bolting or purifying the national language.
dellacruscan |Of or pertaining to the Accademia della Crusca in Florence. The Dellacruscan School, a name given in satire to a class of affected English writers, most of whom lived in Florence, about a. d. 1785.
deloo |The duykerbok.
deloul |A special breed of the dromedary used for rapid traveling; the swift camel; -- called also herire, and maharik.
delph |Delftware. Five nothings in five plates of delph. Swift.\n\nThe drain on the land side of a sea embankment. Knight.
delphian |Delphic.
delphic |1. Of or relating to Delphi, or to the famous oracle of that place. 2. Ambiguous; mysterious. \"If he is silent or delphic.\" New York Times.
delphin |Pertaining to the dauphin of France; as, the Delphin classics, an edition of the Latin classics, prepared in the reign of Louis XIV., for the use of the dauphin (in usum Delphini).\n\nA fatty substance contained in the oil of the dolphin and the porpoise; -- called also phocenin.
delphine |Pertaining to the dauphin of France; as, the Delphin classics, an edition of the Latin classics, prepared in the reign of Louis XIV., for the use of the dauphin (in usum Delphini).\n\nPertaining to the dolphin, a genus of fishes.
delphinic |Pertaining to, or derived from, the dolphin; phocenic. Delphinic acid. (Chem.) See Valeric acid, under Valeric. [Obs.]\n\nPertaining to, or derived from, the larkspur; specifically, relating to the stavesacre (Delphinium staphisagria).
delphinine |A poisonous alkaloid extracted from the stavesacre (Delphinium staphisagria), as a colorless amorphous powder.
delphinoid |Pertaining to, or resembling, the dolphin.
delphinoidea |The division of Cetacea which comprises the dolphins, porpoises, and related forms.
delphinus |1. (Zoöl.)  A genus of Cetacea, including the dolphin. See Dolphin, 1. 2. (Astron.)  The Dolphin, a constellation near the equator and east of Aquila.
delsarte |A system of calisthenics patterned on the theories of François Delsarte (1811 -- 71), a French teacher of dramatic and musical expression.
delsarte system |A system of calisthenics patterned on the theories of François Delsarte (1811 -- 71), a French teacher of dramatic and musical expression.
delta |A tract of land shaped like the letter delta (as, the delta of the Ganges, of the Nile, or of the Mississippi.
delta connection |One of the usual forms or methods for connecting apparatus to a three-phase circuit, the three corners of the delta or triangle, as diagrammatically represented, being connected to the three wires of the supply circuit.
delta current |The current flowing through a delta connection.
deltafication |The formation of a delta or of deltas. [R.]
deltaic |Relating to, or like, a delta.
delthyris |A name formerly given to certain Silurian brachiopod shells of the genus Spirifer. Delthyris limestone (Geol.), one of the divisions of the Upper Silurian rocks in New York.
deltic |Deltaic.
deltidium |The triangular space under the beak of many brachiopod shells.
deltohedron |A solid bounded by twelve quadrilateral faces. It is a hemihedral form of the isometric system, allied to the tetrahedron.
deltoid |Shaped like the Greek Deltoid leaf (Bot.), a leaf in the form of a triangle with the stem inserted at the middle of the base. -- Deltoid muscle (Anat.), a triangular muscle in the shoulder which serves to move the arm directly upward.
deludable |Capable of being deluded; liable to be imposed on gullible. Sir T. Browne.
delude |1. To lead from truth or into error; to mislead the mind or judgment of to beguile; to impose on; to dupe; to make a fool of. To delude the nation by an airy phantom. Burke. 2. To frustrate or disappoint. It deludes thy search. Dryden. Syn. -- To mislead; deceive; beguile; cajole; cheat; dupe. See Deceive.
deluder |One who deludes; a deceiver; an impostor.
deluge |1. A washing away; an overflowing of the land by water; an inundation; a flood; specifically, The Deluge, the great flood in the days of Noah (Gen. vii.). 2. Fig.: Anything which overwhelms, or causes great destruction. \"The deluge of summer.\" Lowell. A fiery deluge fed With ever-burning sulphur unconsumed. Milton. As I grub up some quaint old fragment of a [London] street, or a house, or a shop, or tomb or burial ground, which has still survived in the deluge. F. Harrison. After me the deluge. (Aprés moi le déluge.) Madame de Pompadour.\n\n1. To overflow with water; to inundate; to overwhelm. The deluged earth would useless grow. Blackmore. 2. To overwhelm, as with a deluge; to cover; to overspread; to overpower; to submerge; to destroy; as, the northern nations deluged the Roman empire with their armies; the land is deluged with woe. At length corruption, like a general fldeluge all. Pope.
delundung |An East Indian carnivorous mammal (Prionodon gracilis), resembling the civets, but without scent pouches. It is handsomely spotted.
delusion |1. The act of deluding; deception; a misleading of the mind. Pope. 2. The state of being deluded or misled. 3. That which is falsely or delusively believed or propagated; false belief; error in belief. And fondly mourned the dear delusion gone. Prior. Syn. -- Delusion, Illusion. These words both imply some deception practiced upon the mind. Delusion is deception from want of knowledge; illusion is deception from morbid imagination. An illusion is a false show, a mere cheat on the fancy or senses. It is, in other words, some idea or image presented to the bodily or mental vision which does not exist in reality. A delusion is a false judgment, usually affecting the real concerns of life. Or, in other words, it is an erroneous view of something which exists indeed, but has by no means the qualities or attributes ascribed to it. Thus we speak of the illusions of fancy, the illusions of hope, illusive prospects, illusive appearances, etc. In like manner, we speak of the delusions of stockjobbing, the delusions of honorable men, delusive appearances in trade, of being deluded by a seeming excellence. \"A fanatic, either religious or political, is the subject of strong delusions; while the term illusion is applied solely to the visions of an uncontrolled imagination, the chimerical ideas of one blinded by hope, passion, or credulity, or lastly, to spectral and other ocular deceptions, to which the word delusion is never applied.\" Whately.
delusional |Of or pertaining to delusions; as, delusional monomania.
delusive |Apt or fitted to delude; tending to mislead the mind; deceptive; beguiling; delusory; as, delusive arts; a delusive dream. Delusive and unsubstantial ideas. Whewell. -- De*lu\"sive*ly, adv. -- De*lu\"sive*ness, n.
delusory |Delusive; fallacious. Glanvill.
delve |1. To dig; to open (the ground) as with a spade. Delve of convenient depth your thrashing flooDryden. 2. To dig into; to penetrate; to trace out; to fathom. I can not delve him to the root. Shak.\n\nTo dig or labor with a spade, or as with a spade; to labor as a drudge. Delve may I not: I shame to beg. Wyclif (Luke xvi. 3).\n\nA place dug; a pit; a ditch; a den; a cave. Which to that shady delve him brought at last The very tigers from their delves Look out. Moore.
delver |One who digs, as with a spade.
demagnetize |1. To deprive of magnetic properties. See Magnetize. If the bar be rapidly magnetized and demagnetized. A. Cyc. 2. To free from mesmeric influence; to demesmerize. -- De*mag`net*i*za\"tion, n. -- De*mag\"net*i`zer, n.
demagog |Demagogue.
demagogic |Relating to, or like, a demagogue; factious.
demagogical |Relating to, or like, a demagogue; factious.
demagogism |The practices of a demagogue.
demagogue |A leader of the rabble; one who attempts to control the multitude by specious or deceitful arts; an unprincipled and factious mob orator or political leader.
demagogy |Demagogism.
demain |1. Rule; management. [Obs.] Chaucer. 2. (Law)  See Demesne.
