circumvolant |Flying around. The circumvolant troubles of humanity. G. Macdonald.
clash |1. To make a noise by striking against something; to dash noisily together. 2. To meet in opposition; to act in a contrary direction; to come onto collision; to interfere. However some of his interests might clash with those of the chief adjacent colony. Palfrey.\n\nTo strike noisily against or together.\n\n1. A loud noise resulting from collision; a noisy collision of bodies; a collision. The roll of cannon and clash of arms. Tennyson. 2. Opposition; contradiction; as between differing or contending interests, views, purposes, etc. Clashes between popes and kings. Denham.
clash gear |A change-speed gear in which the gears are changed by sliding endwise.
clashingly |With clashing.
clasp |1. To shut or fasten together with, or as with, a clasp; to shut or fasten (a clasp, or that which fastens with a clasp). 2. To inclose and hold in the hand or with the arms; to grasp; to embrace. 3. To surround and cling to; to entwine about. \"Clasping ivy.\" Milton.\n\n1. An adjustable catch, bent plate, or hook, for holding together two objects or the parts of anything, as the ends of a belt, the covers of a book, etc. 2. A close embrace; a throwing of the arms around; a grasping, as with the hand. Clasp knife, a large knife, the blade of which folds or shuts into the handle. -- Clasp lock, a lock which closes or secures itself by means of a spring.
clasper |1. One who, or that which, clasps, as a tendril. \"The claspers of vines.\" Derham. 2. (Zoöl.) (a) One of a pair of organs used by the male for grasping the female among many of the Crustacea. (b) One of a pair of male copulatory organs, developed on the anterior side of the ventral fins of sharks and other elasmobranchs. See Illust. of Chimæra.
claspered |Furnished with tendrils.
class |1. A group of individuals ranked together as possessing common characteristics; as, the different classes of society; the educated class; the lower classes. 2. A number of students in a school or college, of the same standing, or pursuing the same studies. 3. A comprehensive division of animate or inanimate objects, grouped together on account of their common characteristics, in any classification in natural science, and subdivided into orders, families, tribes, gemera, etc. 4. A set; a kind or description, species or variety. She had lost one class energies. Macaulay. 5. (Methodist Church)  One of the sections into which a church or congregation is divided, and which is under the supervision of a class leader. Class of a curve (Math.), the kind of a curve as expressed by the number of tangents that can be drawn from any point to the curve. A circle is of the second class. -- Class meeting (Methodist Church), a meeting of a class under the charge of a class leader, for counsel and relegious instruction.\n\n1. To arrange in classes; to classify or refer to some class; as, to class words or passages. Note: In scientific arrangement, to classify is used instead of to class. Dana. 2. To divide into classes, as students; to form into, or place in, a class or classes.\n\nTo grouped or classed. The genus or famiky under which it classes. Tatham.
class day |In American colleges and universities, a day of the commencement season on which the senior class celebrates the completion of its course by exercises conducted by the members, such as the reading of the class histories and poem, the delivery of the class oration, the planting of the class ivy, etc.
classible |Capable of being classed.
classic |1. Of or relating to the first class or rank, especially in literature or art. Give, as thy last memorial to the age, One classic drama, and reform the stage. Byron. Mr. Greaves may justly be reckoned a classical author on this subject [Roman weights and coins]. Arbuthnot. 2. Of or pertaining to the ancient Greeks and Romans, esp. to Greek or Roman authors of the highest rank, or of the period when their best literature was produced; of or pertaining to places inhabited by the ancient Greeks and Romans, or rendered famous by their deeds. Though throned midst Latium's classic plains. Mrs. Hemans. The epithet classical, as applied to ancient authors, is determined less by the purity of their style than by the period at which they wrote. Brande & C. He [Atterbury] directed the classical studies of the undergraduates of his college. Macaulay. 3. Conforming to the best authority in literature and art; chaste; pure; refined; as, a classical style. Classical, provincial, and national synods. Macaulay. Classicals orders. (Arch.) See under Order.\n\n1. A work of acknowledged excellence and authrity, or its author; -- originally used of Greek and Latin works or authors, but now applied to authors and works of a like character in any language. In is once raised him to the rank of a legitimate English classic. Macaulay. 2. One learned in the literature of Greece and Rome, or a student of classical literature.
classical |1. Of or relating to the first class or rank, especially in literature or art. Give, as thy last memorial to the age, One classic drama, and reform the stage. Byron. Mr. Greaves may justly be reckoned a classical author on this subject [Roman weights and coins]. Arbuthnot. 2. Of or pertaining to the ancient Greeks and Romans, esp. to Greek or Roman authors of the highest rank, or of the period when their best literature was produced; of or pertaining to places inhabited by the ancient Greeks and Romans, or rendered famous by their deeds. Though throned midst Latium's classic plains. Mrs. Hemans. The epithet classical, as applied to ancient authors, is determined less by the purity of their style than by the period at which they wrote. Brande & C. He [Atterbury] directed the classical studies of the undergraduates of his college. Macaulay. 3. Conforming to the best authority in literature and art; chaste; pure; refined; as, a classical style. Classical, provincial, and national synods. Macaulay. Classicals orders. (Arch.) See under Order.
classicalism |1. A classical idiom, style, or expression; a classicism. 2. Adherence to what are supposed or assumed to be the classical canons of art.
classicalist |One who adheres to what he thinks the classical canons of art. Ruskin.
classicality |The quality of being classical.
classically |1. In a classical manner; according to the manner of classical authors. 2. In the manner of classes; according to a regular order of classes or sets.
classicalness |The quality of being classical.
classicism |A classic idiom or expression; a classicalism. C. Kingsley.
classicist |One learned in the classics; an advocate for the classics.
classifiable |Capable of being classified.
classification |The act of forming into a class or classes; a distibution into groups, as classes, orders, families, etc., according to some common relations or affinities. Artificial classification. (Science) See under Artifitial.
classificatory |Pertaining to classification; admitting of classification. \"A classificatory system.\" Earle.
classifier |One who classifies.
classify |To distribute into classes; to arrange according to a system; to arrnge in sets according to some method founded on common properties or characters. Syn. -- To arrange; distibute; rank.
classis |1. A class or order; sort; kind. [Obs.] His opinion of that classis of men. Clarendon. 2. (Eccl.)  An ecclesiastical body or judicat
classman |1. A member of a class; a classmate. 2. A candidate for graduation in arts who is placed in an honor class, as opposed to a passman, who is not classified. [Oxford, Eng.]
classmate |One who is in the same class with another, as at school or college.
clastic |1. Pertaining to what may be taken apart; as, clastic anatomy (of models). 2. (Min.)  Fragmental; made up of brokas, sandstone is a clastic rock.
clatch |1. A soft or sloppy lump or mass; as, to throw a clatch of mud. 2.  Anything put together or made in a careless or slipshod way; hence, a sluttish or slipshod woman.\n\nTo daub or smear, as with lime; to make or finish in a slipshod way. [Scot.]
clathrate |1. (Bot.)  Shaped like a lattice; cancellate. Gray. 2. (Zoöl.)  Having the surface marked with raised lines resembling a lattice, as many shells.
clatter |1. To make a rattling sound by striking hard bodies together; to make a succession of abrupt, rattling sounds. Clattering loud with clamk. Longfellow. 2. To talk fast and noisily; to rattle with the tongue. I see thou dost but clatter. Spenser.\n\nTo make a rattling noise with. You clatter still your brazen kettle. Swift.\n\n1. A rattling noise, esp. that made by the collision of hard bodies; also, any loud, abrupt sound; a repetition of abrupt sounds. The goose let fall a golden egg With cackle and with clatter. Tennyson. 2. Commotion; disturbance. \"Those mighty feats which made such a clatter in story.\" Barrow. 3. Rapid, noisy talk; babble; chatter. \"Hold still thy clatter.\" Towneley Myst. (15 th Cent. ). Throw by your clatter And handle the matter. B. Jonson
clatterer |One who clatters.
clatteringly |With clattering.
claude lorraine glass |A slightly convex mirror, commonly of black glass, used as a toy for viewing the reflected landscape.
claudent |Shutting; confining; drawing together; as, a claudent muscle. [R.] Jonson
claudicant |Limping. [R.]
claudication |A halting or limping. [R.] Tatler.
clause |1. A separate portion of a written paper, paragraph, or sentence; an article, stipulation, or proviso, in a legal document. The usual attestation clause to a will. Bouvier. 2. (Gram.)  A subordinate portion or a subdivision of a sentence containing a subject and its predicate.\n\nSee Letters clause or close, under Letter.
claustral |Cloistral. Ayliffe
claustrum |A thin lamina of gray matter in each cerebral hemiphere of the brain of man. -- Claus\"tral, a.
clausular |Consisting of, or having, clauses. Smart.
clausure |The act of shutting up or confining; confinement. [R.] Geddes.
clavate |Club-shaped; having the form of a club; growing gradually thicker toward the top. Note: [See Illust. of Antennae.]
clavated |Club-shaped; having the form of a club; growing gradually thicker toward the top. Note: [See Illust. of Antennae.]
clave |imp. of Cleave. [Obs.]
clavecin |The harpsichord.
clavel |See Clevis.
clavellate |See Clavate.
clavellated |Said of potash, probably in reference to its having been obtained from billets of wood by burning. [Obs.]
claver |See Clover. Holland.\n\nFrivolous or nonsensical talk; prattle; chattering. [Scot. & North of Eng.] Emmy found herself entirely at a loss in the midst of their clavers. Thackeray.
clavichord |A keyed stringed instrument, now superseded by the pianoforte. See Clarichord.
clavicle |The collar bone, which is joined at one end to the scapula, or shoulder blade, and at the other to the sternum, or breastbone. In man each clavicle is shaped like the letter
clavicorn |Having club-shaped antennæ. See Antennæ -- n.  One of the Clavicornes.
clavicornes |A group of beetles having club-shaped antennæ.
clavicular |Of or pertaining to the clavicle.
clavier |The keyboard of an organ, pianoforte, or harmonium. Note: Clavier (
claviform |Club-shaped; clavate. Craig.
claviger |One who carries the keys of any place.\n\nOne who carries a club; a club bearer.
clavigerous |Bearing a club or a key.
clavis |A key; a glossary.
clavus |A callous growth, esp. one the foot; a corn.
clavy |A mantelpiece.
claw |1. A sharp, hooked nail, as of a beast or bird. 2. The whole foot of an animal armed with hooked nails; the pinchers of a lobster, crab, etc. 3. Anything resembling the claw of an animal, as the curved and forked end of a hammer for drawing nails. 4. (Bot.)  A slender appendage or process, formed like a claw, as the base of petals of the pink. Gray. Claw hammer, a hammer with one end of the metallic head cleft for use in extracting nails, etc. -- Claw hammer coat, a dress coat of the swallowtail pattern. [Slang] -- Claw sickness, foot rot, a disease affecting sheep.\n\n1. To pull, tear, or scratch with, or as with, claws or nails. 2. To relieve from some uneasy sensation, as by scratching; to tickle; hence, to flatter; to court. [Obs.] Rich men they claw, soothe up, and flatter; the poor they contemn and despise. Holland. 3. To rail at; to scold. [Obs.] In the aforesaid preamble, the king fairly claweth the great monasteries, wherein, saith he, religion, thanks be to God, is right well kept and observed; though he claweth them soon after in another acceptation. T. Fuller Claw me, claw thee, stand by me and I will stand by you; -- an old proverb. Tyndale. To claw away, to scold or revile. \"The jade Fortune is to be clawed away for it, if you should lose it.\" L'Estrange. To claw (one) on the back, to tickle; to express approbation. (Obs.) Chaucer. -- To claw (one) on the gall, to find falt with; to vex. [Obs.] Chaucer.\n\nTo scrape, scratch, or dig with a claw, or with the hand as a claw. \"Clawing [in ash barrels] for bits of coal.\" W. D. Howells. To claw off (Naut.), to turn to windward and beat, to prevent falling on a lee shore.
clawback |A flatterer or sycophant. [Obs.] \"Take heed of these clawbacks.\" Latimer.\n\nFlattering; sycophantic. [Obs.] Like a clawback parasite. Bp. Hall.\n\nTo flatter. [Obs.] Warner.
clawed |Furnished with claws. N. Grew.
clawless |Destitute of claws.
clay |1. A soft earth, which is plastuc, or may be molded with the hands, consisting of hydrous silicate of alumunium. It is the result of the wearing down and decomposition, in part, of rocks containing aluminous minerals, as granite. Lime, magnesia, oxide of iron, and other ingredients, are often present as impurities. 2. (Poetry & Script.)  Earth in general, as representing the elementary particles of the human body; hence, the human body as formed from such particles. I also am formed out of the clay. Job xxxiii. 6. The earth is covered thick with other clay, Which her own clay shall cover. Byron. Bowlder clay. See under Bowlder. -- Brick clay, the common clay, containing some iron, and therefore turning red when burned. -- Clay cold, cold as clay or earth; lifeless; inanimate. -- Clay ironstone, an ore of iron consisting of the oxide or carbonate of iron mixed with clay or sand. -- Clay marl, a whitish, smooth, chalky clay. -- Clay mill, a mill for mixing and tempering clay; a pug mill. -- Clay pit, a pit where clay is dug. -- Clay slate (Min.), argillaceous schist; argillite. -- Fatty clays, clays having a greasy feel; they are chemical compounds of water, silica, and aluminia, as halloysite, bole, etc. -- Fire clay , a variety of clay, entirely free from lime, iron, or an alkali, and therefore infusible, and used for fire brick. -- Porcelain clay, a very pure variety, formed directly from the decomposition of feldspar, and often called kaolin. -- Potter's clay, a tolerably pure kind, free from iron.\n\n1. To cover or manure with clay. 2. To clarify by filtering through clay, as sugar.
clay-brained |Stupid. [Obs.] Shak.
clayes |Wattles, or hurdles, made with stakes interwoven with osiers, to cover lodgments. [Obs.]
clayey |Consisting of clay; abounding with clay; partaking of clay; like clay.
clayish |Partaking of the nature of clay, or containing particles of it.
claymore |A large two-handed sword used formerly by the Scottish Highlanders.
claytonia |An American genus of perennial herbs with delicate blossoms; -- sometimes called spring beauty.
cleading |1. A jacket or outer covering of wood, etc., to prevent radiation of heat, as from the boiler, cylinder. etc., of a steam engine. 2. The planking or boarding of a shaft, cofferdam, etc.
clean |1. Free from dirt or filth; as, clean clothes. 2. Free from that which is useless or injurious; without defects; as, clean land; clean timber. 3. Free from awkwardness; not bungling; adroit; dexterous; as, aclean trick; a clean leap over a fence. 4. Free from errors and vulgarisms; as, a clean style. 5. Free from restraint or neglect; complete; entire. When ye reap the harvest of your land, thou shalt not make clean riddance of corners of thy field. Le 6. Free from moral defilement; sinless; pure. Create in me a clean heart, O God. Ps. li. 10 That I am whole, and clean, and meet for Heaven Tennyson. 7. (Script.)  Free from ceremonial defilement. 8. Free from that which is corrupting to the morals; pure in tone; healthy. \"Lothair is clean.\" F. Harrison. 9. Well-proportioned; shapely; as, clean limbs. A clean bill of health, a certificate from the proper authrity that a ship is free from infection. -- Clean breach. See under Breach, n., 4. -- To make a clean breast. See under Breast.\n\n1. Without limitation or remainder; quite; perfectly; wholly; entirely. \"Domestic broils clean overblown.\" Shak. \"Clean contrary.\" Milton. All the people were passed clean over Jordan. Josh. iii. 17. 2. Without miscarriage; not bunglingly; dexterously. [Obs.] \"Pope came off clean with Homer.\" Henley.\n\nTo render clean; to free from whatever is foul, offensive, or extraneous; to purify; to cleanse. To clean out, to exhaust; to empty; to get away from (one) all his money. [Colloq.] De Quincey.
clean-cut |See Clear-cut.
clean-limbed |With well-proportioned, unblemished limbs; as, a clean-limbed young fellow. Dickens.
clean-timbered |Well-propotioned; symmetrical. [Poetic] Shak.
cleaner |One who, or that which, cleans.
cleaning |1. The act of making clean. 2. The afterbirth of cows, ewes, etc. Gardner.
cleanlily |In a cleanly manner.
cleanliness |State of being cleanly; neatness of person or dress. Cleanliness from head to heel. Swift.
cleanly |1. Habitually clean; pure; innocent. \"Cleanly joys.\" Glanvill. Some plain but cleanly country maid. Dryden. Displays her cleanly platter on the board. Goldsmith. 2. Cleansing; fitted to remove moisture; dirt, etc. [Obs.] \"With cleanly powder dry their hair.\" Prior. 3. Adroit; skillful; dexterous; artful. [Obs.] Through his fine handling and his cleanly play. Spenser.\n\n1. In a clean manner; neatly. He was very cleanly dressed. Dickens. 2. Innocently; without stain. Shak. 3. Adroitly; dexterously. Middleton.
cleanness |1. The state or quality of being clean. 2. Purity of life or language; freedom from licentious courses. Chaucer.
cleansable |Capable of being cleansed. Sherwood.
cleanse |To render clean; to free from fith, pollution, infection, guilt, etc.; to clean. If we walk in the light . . . the blood of Jesus Christ his son cleanseth us from all sin. 1 John i. 7. Can'st thou not minister to a mind diseased, And with some sweet oblivious antidote Cleanse the suffed bosom of that perilous stuff Which weighs upon the heart Shak.
cleanser |One who, or that which, cleanses; a detergent. Arbuthnot.
clear |1. Free from opaqueness; transparent; bright; light; luminous; unclouded. The stream is so transparent, pure, and clear. Denham. Fair as the moon, clear as the sun. Canticles vi. 10. 2. Free from ambiquity or indistinctness; lucid; perspicuous; plain; evident; manifest; indubitable. One truth is clear; whatever is, is right. Pop 3. Able to perceive clearly; keen; acute; penetrating; discriminating; as, a clear intellect; a clear head. Mother of science! now I feel thy power Within me clear, not only to discern Things in their causes, but to trace the ways Of highest agents. Milton. 4. Not clouded with passion; serene; cheerful. With a countenance as clear As friendship wears at feasts. Shak. 5. Easily or distinctly heard; audible; canorous. Hark! the numbers soft and clear Gently steal upon the ear. Pope. 6. Without mixture; entirely pure; as, clear sand. 7. Without defect or blemish, such as freckles or knots; as, a clear complexion; clear lumber. 8. Free from guilt or stain; unblemished. Statesman, yet friend to truth! in soul sincere, In action faithful, and in honor clear. Pope. 9. Without diminution; in full; net; as, clear profit. I often wished that I had clear, For life, six hundred pounds a-year. Swift . 10. Free from impediment or obstruction; unobstructed; as, a clear view; to keep clear of debt. My companion . . . left the way clear for him. Addison. 11. Free from embarrassment; detention, etc. The cruel corporal whispered in my ear, Five pounds, if rightly tipped, would set me clear. Gay. Clear breach. See under Breach, n., 4. -- Clear days (Law.), days reckoned from one day to another, excluding both the first and last day; as, from Sunday to Sunday there are six clear days. -- Clear stuff, boards, planks, etc., free from knots. Syn. -- Manifest; pure; unmixed; pellucid; transparent; luminous; obvious; visible; plain; evident; apparent; distinct; perspicuous. See Manifest.\n\nFull extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls; as, a room ten feet square in the clear.\n\n1. In a clear manner; plainly. Now clear I understand What oft . . . thoughts have searched in vain. Milton. 2. Without limitation; wholly; quite; entirely; as, to cut a piece clear off.\n\n1. To render bright, transparent, or undimmed; to free from clouds. He sweeps the skies and clears the cloudy north. Dryden. 2. To free from impurities; to clarify; to cleanse. 3. To free from obscurity or ambiguity; to relive of perplexity; to make perspicuous. Many knotty points there are Which all discuss, but few can clear. Prior. 4. To render more quick or acute, as the understanding; to make perspicacious. Our common prints would clear up their understandings. Addison 5. To free from impediment or incumbrance, from defilement, or from anything injurious, useless, or offensive; as, to clear land of trees or brushwood, or from stones; to clear the sight or the voice; to clear one's self from debt; -- often used with of, off, away, or out. Clear your mind of cant. Dr. Johnson. A statue lies hid in a block of marble; and the art of the statuary only clears away the superfluous matter. Addison. 6. To free from the imputation of guilt; to justify, vindicate, or acquit; -- often used with from before the thing imputed. I . . . am sure he will clear me from partiality. Dryden. How! wouldst thou clear rebellion Addison. 7. To leap or pass by, or over, without touching or fallure; as, to clear a hedge; to clear a reef. 8. To gain without deduction; to net. The profit which she cleared on the cargo. Macaulay. To clear a ship at the customhouse, to exhibit the documents required by law, give bonds, or perform other acts requisite, and procure a permission to sail, and such papers as the law requires. -- To clear a ship for action, or To clear for action (Naut.), to remove incumbrances from the decks, and prepare for an engagement. -- To clear the land (Naut.), to gain such a distance from shore as to have sea room, and be out of danger from the land. -- To clear hawse (Naut.), to disentangle the cables when twisted. -- To clear up, to explain; to dispel, as doubts, cares or fears.\n\n1. To become free from clouds or fog; to become fair; -- often fallowed by up, off, or away. So foul a sky clears without a strom. Shak. Advise him to stay till the weather clears up. Swift. 2. To disengage one's self frpm incumbrances, distress, or entanglements; to become free. [He that clears at once will relapse; for finding himself out of straits, he will revert to the customs; but he that cleareth by degrees induceth a habit of frugality. Bacon. 3. (Banking)  To make exchanges of checks and bills, and settle balances, as is done in a clearing house. 4. To obtain a clearance; as, the steamer cleared for Liverpool to- day. To clear out, to go or run away; to depart. [Colloq.]
clear-cut |1. Having a sharp, distinct outline, like that of a cameo. She has . . . a cold and clear-cut face. Tennyson. 2. Concisely and distinctly expressed.
clear-headed |Having a clear understanding; quick of perception; intelligent. \"He was laborious and clear-headed.\" Macaulay. -- Clear\"-head`ed*ness, n.
clear-seeing |Having a clear physical or mental vision; having a clear understanding.
clear-shining |Shining brightly. Shak.
clear-sighted |Seeing with clearness; discerning; as, clear-sighted reason
clear-sightedness |Acute discernment.
clearage |The act of reforming anything; clearance. [R.]
clearance |1. The act of clearing; as, to make a through clearance. 2. A certificate that a ship or vessel has been cleared at the customhouse; permission to sail. Every ship was subject to seizure for want of stamped clearances. Durke 3. Clear or net profit. Trollope. 4. (Mach.)  The distance by which one object clears another, as the distance between the piston and cylinder head at the end of a stroke in a steam engine, or the least distance between the point of a cogwell tooth and the bottom of a space between teeth of a wheel with which it engages. Clearance space (Steam engine), the space inclosed in one end of the cylinder, between the valve or valves and the piston, at the beginning of a stroke; waste room. It includes the space caused by the piston's clearance and the space in ports, passageways, etc. Its volume is often expressed as a certain proportion of the volume swept by the piston in a single stroke.
clearcole |A priming of size mixed with whiting or white lead, used in house painting, etc.; also, a size upon which gold leaf is applied in gilding.\n\nTo coat or paint with clearcole.
clearedness |The quality of being cleared. Imputed by his friends to the clearedness, by his foes to the searedness, of his conscience. T. Fuller.
clearer |1. One who, or that which, clears. Gold is a wonderful clearer of the understanding. Addison. 2. (Naut.)  A tool of which the hemp for lines and twines, used by sailmakers, is finished.
clearing |1. The act or process of making clear. The better clearing of this point. South. 2. A tract of land cleared of wood for cultivation. A lonely clearing on the shores of Moxie Lake. J. Burroughs. 3. A method adopted by banks and bankers for making an exchange of checks held by each against the others, and settling differences of accounts. Note: In England, a similar method has been adopted by railroads for adjusting their accounts with each other. 4. The gross amount of the balances adjusted in the clearing house. Clearing house, the establishment where the business of clearing is carried on. See above, 3.
clearly |In a clear manner.
clearness |The quality or state of being clear. Syn. -- Clearness, Perspicuity. Clearness has reference to our ideas, and springs from a distinct conception of the subject under consideration. Perspicuity has reference to the mode of expressing our ideas and belongs essentially to style. Hence we speak of a writer as having clear ideas, a clear arrangement, and perspicuous phraseology. We do at times speak of a person's having great clearness of style; but in such cases we are usually thinking of the clearness of his ideas as manifested in language. \"Whenever men think clearly, and are thoroughly interested, they express themselves with perspicuity and force.\" Robertson.
clearstarch |To stiffen with starch, and then make clear by clapping with the hands; as, to clearstarch muslin.
clearstarcher |One who clearstarches.
clearstory |The upper story of the nave of a church, containing windows, and rising above the aisle roofs.
clearwing |A lepidop terous insect with partially transparent wings, of the family Ægeriadæ, of which the currant and peach-tree borers are examples.
cleat |1. (Carp.)  A strip of wood or iron fastened on transversely to something in order to give strength, prevent warping, hold position, etc. 2. (Naut.)  A device made of wood or metal, having two arms, around which turns may be taken with a line or rope so as to hold securely and yet be readily released. It is bolted by the middle to a deck or mast, etc., or it may be lashed to a rope.\n\nTo strengthen with a cleat.
cleavable |Capable of cleaving or being divided.
cleavage |1. The act of cleaving or splitting. 2. (Crystallog.)  The quality possessed by many crystallized substances of splitting readily in one or more definite directions, in which the cohesive attraction is a minimum, affording more or less smooth surfaces; the direction of the dividing plane; a fragment obtained by cleaving, as of a diamond. See Parting. 3. (Geol.)  Division into laminæ, like slate, with the lamination not necessarily parallel to the plane of deposition; -- usually produced by pressure. Basal cleavage, cleavage parallel to the base of a crystal, or to the plane of the lateral axes. -- Cell cleavage (Biol.), multiplication of cells by fission. See Segmentation. -- Cubuc cleavage, cleavage parallel to the faces of a cube. -- Diagonal cleavage, cleavage parallel to ta diagonal plane. -- Egg clavage. (Biol.) See Segmentation. -- Lateral cleavage, cleavage parallel to the lateral planes. -- Octahedral, Dodecahedral, or Rhombohedral, cleavage, cleavage parallel to the faces of an octahedron, dodecahedron, or rhombohedron. -- Prismatic cleavage, cleavage parallel to a vertical prism.
cleave |1. To adhere closely; to stick; to hold fast; to cling. My bones cleave to my skin. Ps. cii. 5. The diseases of Egypt . . . shall cleave unto thee. Deut. xxviii. 60. Sophistry cleaves close to and protects Sin's rotten trunk, concealing its defects. Cowper. 2. To unite or be united closely in interest or affection; to adhere with strong attachment. Therefore shall a man leave his father and his mother, and shall cleave unto his wife. Gen. ii. 24. Cleave unto the Lord your God. Josh. xxiii. 8. 3. To fit; to be adapted; to assimilate. [Poetic.] New honors come upon him, Like our strange garments, cleave not to their mold But with the aid of use. Shak.\n\n1. To part or divide by force; to split or rive; to cut. O Hamlet, thou hast cleft my heart in twain. Shak. 2. To pert or open naturally; to divide. Every beast that parteth the hoof, and cleaveth the cleft into two claws. Deut. xiv. 6.\n\nTo part; to open; to crack; to separate; as parts of bodies; as, the ground cleaves by frost. The Mount of Olives shall cleave in the midst. Zech. xiv. 4.
cleavelandite |A variety of albite, white and lamellar in structure.
cleaver |One who cleaves, or that which cleaves; especially, a butcher's instrument for cutting animal bodies into joints or pieces.
cleavers |A species of Galium (G. Aparine), having a fruit set with hooked bristles, which adhere to whatever they come in contact with; -- called also, goose grass, catchweed, etc.
cleche |Charged with another bearing of the same figure, and of the color of the field, so large that only a narrow border of the first bearing remains visible; -- said of any heraldic bearing. Compare Voided.
clechy |See Cléché.
cledge |The upper stratum of fuller's earth.
cledgy |Stiff, stubborn, clayey, or tenacious; as, a cledgy soil. Halliwell.
clee |A claw. [Holland.\n\nThe redshank.
cleek |1. A large hook or crook, as for a pot over a fire; specif., an iron- headed golf club with a straight, narrow face and a long shaft. 2.  Act of cleeking; a clutch. [Scot.]\n\n1.  To seize; clutch; snatch; catch; pluck. 2.  To catch or draw out with a cleek, as a fish; to hook. 3. To hook or link (together); hence, to marry.  Scott.
clef |A character used in musical notation to determine the position and pitch of the scale as represented on the staff. Note: The clefs are three in number, called the C, F, and G clefs, and are probably corruptions or modifications of these letters. They indicate that the letters of absolute pitch belonging to the lines upon which they are placed, are respectively C, F, and G. The F or bass clef, and the G or treble clef, are fixed in their positions upon the staff. The C clef may have three positions. It may be placed upon the first or lower line of the staff, in which case it is called soprano clef, upon the third line, in which case it called alto clef, or upon the fourth line, in which case tenor clef. It rarely or never is placed upon the second line, except in ancient music. See other forms of C clef under C, 2. Alto clef, Bass clef. See under Alto, Bass.
cleft |from Cleave.\n\n1. Divided; split; partly divided or split. 2. (Bot.)  Incised nearly to the midrob; as, a cleft leaf.\n\n1. A space or opening made by splitting; a crack; a crevice; as, the cleft of a rock. Is. ii. 21. 2. A piece made by splitting; as, a cleft of wood. 3. (Far.)  A disease in horses; a crack on the band of the pastern. Branchial clefts. See under Branchial. Syn. -- Crack; crevice; fissure; chink; cranny.
cleft-footed |Having a cloven foot.
cleftgraft |To ingraft by cleaving the stock and inserting a scion. Mortimer.
cleg |A small breeze or horsefly. [North of Eng. & Scot.] Jamieson.
cleistogamic |Having, beside the usual flowers, other minute, closed flowers, without petals or with minute petals; -- said of certain species of plants which possess flowers of two or more kinds, the closed ones being so constituted as to insure self-fertilization. Darwin.
cleistogamous |Having, beside the usual flowers, other minute, closed flowers, without petals or with minute petals; -- said of certain species of plants which possess flowers of two or more kinds, the closed ones being so constituted as to insure self-fertilization. Darwin.
clem |To starve; to famish. [Obs.] B. Jonson.
clematis |A genus of flowering plants, of many species, mostly climbers, having feathery styles, which greatly enlarge in the fruit; -- called also virgin's bower.
clemence |Clemency. [Obs.] Spenser.
clemency |1. Disposition to forgive and spare, as offenders; mildness of temper; gentleness; tenderness; mercy. Great clemency and tender zeal toward their subjects. Stowe. They had applied for the royal clemency. Macaulay. 2. Mildness or softness of the elements; as, the clemency of the season. Syn. -- Mildness; tenderness; indulgence; lenity; mercy; gentleness; compassion; kindness.
clement |Mild in temper and disposition; merciful; compassionate. Shak. -- Clem\"ent*ly, adv.
clementine |Of or pertaining to Clement, esp. to St.Clement of Rome and the spurious homilies attributed to him, or to Pope Clement V. and his compilations of canon law.
clench |See Clinch. CLEOPATRA'S NEEDLE Cle`o*pa\"tra's nee\"dle. [So named after Cleopatra, queen of Egypt.]  Either of two obelisks which were moved in ancient times from Heliopolis to Alexandria, one of which is now on the Thames Embankment in London, and the other in Central Park, in the City of New York. Some writers consider that only the obelisk now in Central Park is properly called Cleopatra's needle.
clepe |To call, or name. [Obs.] That other son was cleped Cambalo. Chaucer.\n\nTo make appeal; to cry out. [Obs.] Wandering in woe, and to the heavens on high Cleping for vengeance of this treachery. Mir. for Mag.
clepsine |A genus of freshwater leeches, furnished with a proboscis. They feed upon mollusks and worms.
clepsydra |A water clock; a contrivance for measuring time by the graduated flow of a liquid, as of water, through a small aperture. See Illust. in Appendix.
cleptomania |See Kleptomania.
clerestory |The upper story of the nave of a church, containing windows, and rising above the aisle roofs.\n\nSame as Clearstory.
clergeon |A chorister boy. [Obs.] Chaucer.
clergial |Learned; erudite; clercial. [Obs.] Chaucer.
clergical |Of or pertaining to the clergy; clerical; clerkily; learned. [Obs.] Milton.
clergy |1. The body of men set apart, by due ordination, to the service of God, in the Christian church, in distinction from the laity; in England, usually restricted to the ministers of the Established Church. Hooker. 2. Learning; also, a learned profession. [Obs.] Sophictry . . . rhetoric, and other cleargy. Guy of Warwick. Put their second sons to learn some clergy. State Papers (1515). 3. The privilege or benefit of clergy. If convicted of a clergyable felony, he is entitled equally to his clergy after as before conviction. Blackstone. Benefit of clergy (Eng., Law), the exemption of the persons of clergymen from criminal process before a secular judge -- a privilege which was extended to all who could read, such persons being, in the eye of the law, clerici, or clerks. This privilege was abridged and modified by various statutes, and finally abolished in the reign of George IV. (1827). -- Regular clergy, Secular clergy See Regular, n., and Secular, a.
clergyable |Entitled to, or admitting, the benefit of clergy; as, a clergyable felony. Blackstone.
clergyman |An ordained minister; a man regularly authorized to peach the gospel, and administer its ordinances; in England usually restricted to a minister of the Established Church.
cleric |A clerk, a clergyman. [R.] Bp. Horsley.\n\nSame as Clerical.
