mostahiba |See Mustaiba.
mourn |1. To express or to feel grief or sorrow; to grieve; to be sorrowful; to lament; to be in a state of grief or sadness. Abraham came to mourn for Sarah, and to weep for her. Gen. xxiii. 2. 2. To wear the customary garb of a mourner. We mourn in black; why mourn we not in blood Shak. Grieve for an hour, perhaps, then mourn a year. Pope.\n\n1. To grieve for; to lament; to deplore; to bemoan; to bewail. As if he mourned his rival's ill success. Addison. And looking over the hills, I mourn The darling who shall not return. Emerson. 2. To utter in a mournful manner or voice. The lovelorn nightingale Nightly to thee her sad song mourneth well. Milton. Syn. -- See Deplore.
mourne |The armed or feruled end of a staff; in a sheephook, the end of the staff to which the hook is attached. Sir P. Sidney.
mourner |1. One who mourns or is grieved at any misfortune, as the death of a friend. His mourners were two hosts, his friends and foes. Byron. 2. One who attends a funeral as a hired mourner. Mourners were provided to attend the funeral. L'Estrange.
mournful |Full of sorrow; expressing, or intended to express, sorrow; mourning; grieving; sad; also, causing sorrow; saddening; grievous; as, a mournful person; mournful looks, tones, loss. -- Mourn\"ful*ly, adv. -- Mourn\"ful*ness, n. Syn. -- Sorrowful; lugubrious; sad; doleful; heavy; afflictive; grievous; calamitous.
mourning |1. The act of sorrowing or expressing grief; lamentation; sorrow. 2. Garb, drapery, or emblems indicative of grief, esp. clothing or a badge of somber black. The houses to their tops with black were spread, And ev'n the pavements were with mourning hid. Dryden. Deep mourning. See under Deep.\n\n1. Grieving; sorrowing; lamenting. 2. Employed to express sorrow or grief; worn or used as appropriate to the condition of one bereaved or sorrowing; as, mourning garments; a mourning ring; a mourning pin, and the like. Mourning bride (Bot.), a garden flower (Scabiosa atropurpurea) with dark purple or crimson flowers in flattened heads. -- Mourning dove (Zoöl.), a wild dove (Zenaidura macroura) found throughout the United States; -- so named from its plaintive note. Called also Carolina dove. See Illust. under Dove. -- Mourning warbler (Zoöl.), an American ground warbler (Geothlypis Philadelphia). The male has the head, neck, and chest, deep ash-gray, mixed with black on the throat and chest; other lower parts are pure yellow.
mourningly |In a mourning manner.
mournival |See Murnival.
mouse |1. (Zoöl.)  Any one of numerous species of small rodents belonging to the genus Mus and various related genera of the family Muridæ. The common house mouse (Mus musculus) is found in nearly all countries. The American white-footed, or deer, mouse (Hesperomys leucopus) sometimes lives in houses. See Dormouse, Meadow mouse, under Meadow, and Harvest mouse, under Harvest. 2. (Naut.) (a) A knob made on a rope with spun yarn or parceling to prevent a running eye from slipping. (b) Same as 2d Mousing, 2. 3. A familiar term of endearment. Shak. 4. A dark-colored swelling caused by a blow. [Slang] 5. A match used in firing guns or blasting. Field mouse, Flying mouse, etc. See under Field, Flying, etc. -- Mouse bird (Zoöl.), a coly. -- Mouse deer (Zoöl.), a chevrotain, as the kanchil. -- Mouse galago (Zoöl.), a very small West American galago (Galago murinus). In color and size it resembles a mouse. It has a bushy tail like that of a squirrel. -- Mouse hawk. (Zoöl.) (a) A hawk that devours mice. (b) The hawk owl; -- called also mouse owl. -- Mouse lemur (Zoöl.), any one of several species of very small lemurs of the genus Chirogaleus, found in Madagascar. -- Mouse piece (Cookery), the piece of beef cut from the part next below the round or from the lower part of the latter; -- called also mouse buttock.\n\n1. To watch for and catch mice. 2. To watch for or pursue anything in a sly manner; to pry about, on the lookout for something.\n\n1. To tear, as a cat devours a mouse. [Obs.] \"[Death] mousing the flesh of men.\" Shak. 2. (Naut.)  To furnish with a mouse; to secure by means of a mousing. See Mouse, n., 2.
mouse-ear |(a) The forget-me-not (Myosotis palustris) and other species of the same genus. (b) A European species of hawkweed (Hieracium Pilosella). Mouse-ear chickweed, a name of two common species of chickweed (Cerastium vulgarium, and C. viscosum). -- Mouse-ear cress, a low cruciferous herb (Sisymbrium Thaliana). All these are low herbs with soft, oval, or obovate leaves, whence the name.
mousefish |See Frogfish.
mousehole |A hole made by a mouse, for passage or abode, as in a wall; hence, a very small hole like that gnawed by a mouse.
mousekin |A little mouse. Thackeray.
mouser |1. A cat that catches mice. 2. One who pries about on the lookout for something.
mousetail |A genus of ranunculaceous plants (Myosurus), in which the prolonged receptacle is covered with imbricating achenes, and so resembles the tail of a mouse.
mousie |Diminutive for Mouse. Burns.
mousing |Impertinently inquisitive; prying; meddlesome. \"Mousing saints.\" L'Estrange.\n\n1. The act of hunting mice. 2. (Naut.)  A turn or lashing of spun yarn or small stuff, or a metallic clasp or fastening, uniting the point and shank of a hook to prevent its unhooking or straighening out. 3. A ratchet movement in a loom. Mousing hook, a hook with an attachment which prevents its unhooking.
mousle |To sport with roughly; to rumple. [Written also mouzle.] [Obs.] Wycherley.
mousquetaire |1. A musketeer, esp. one of the French royal musketeers of the 17th and 18th centuries, conspicuous both for their daring and their fine dress. 2.  A mosquetaire cuff or glove, or other article of dress fancied to resemble those worn by the French mosquetaires.
mousquetaire cuff |A deep flaring cuff.
mousquetaire glove |A woman's glove with a long, loosely fitting wrist.
mousse |A frozen dessert of a frothy texture, made of sweetened and flavored whipped cream, sometimes with the addition of egg yolks and gelatin. Mousse differs from ice cream in being beaten before -- not during -- the freezing process.
mousseline |Muslin. Mousseline de laine (. Etym: [F., muslin of wool.] Muslin delaine. See under Muslin. -- Mousseline glass, a kind of thin blown glassware, such as wineglasses, etc.
mousseline de soie |A soft thin silk fabric with a weave like that of muslin.
moustache |Mustache.
mousy |Infested with mice; smelling of mice.
moutan |The Chinese tree peony (Pæonia Mountan), a shrub with large flowers of various colors.
mouth |1. The opening through which an animal receives food; the aperture between the jaws or between the lips; also, the cavity, containing the tongue and teeth, between the lips and the pharynx; the buccal cavity. 2. Hence:  An opening affording entrance or exit; orifice; aperture; as: (a) The opening of a vessel by which it is filled or emptied, charged or discharged; as, the mouth of a jar or pitcher; the mouth of the lacteal vessels, etc. (b) The opening or entrance of any cavity, as a cave, pit, well, or den. (c) The opening of a piece of ordnance, through which it is discharged. (d) The opening through which the waters of a river or any stream are discharged. (e) The entrance into a harbor. 3. (Saddlery)  The crosspiece of a bridle bit, which enters the mouth of an animal. 4. A principal speaker; one who utters the common opinion; a mouthpiece. Every coffeehouse has some particular statesman belonging to it, who is the mouth of the street where he lives. Addison. 5. Cry; voice. [Obs.] Dryden. 6. Speech; language; testimony. That in the mouth of two or three witnesses every word may be established. Matt. xviii. 16. 7. A wry face; a grimace; a mow. Counterfeit sad looks, Make mouths upon me when I turn my back. Shak. Down in the mouth, chapfallen; of dejected countenance; depressed; discouraged. [Obs. or Colloq.] -- Mouth friend, one who professes friendship insincerely. Shak. -- Mouth glass, a small mirror for inspecting the mouth or teeth. -- Mouth honor, honor given in words, but not felt. Shak. -- Mouth organ. (Mus.) (a) Pan's pipes. See Pandean. (b) An harmonicon. -- Mouth pipe, an organ pipe with a lip or plate to cut the escaping air and make a sound. -- To stop the mouth, to silence or be silent; to put to shame; to confound. The mouth of them that speak lies shall be stopped. Ps. lxiii. 11. Whose mouths must be stopped. Titus i. 11.\n\n1. To take into the mouth; to seize or grind with the mouth or teeth; to chew; to devour. Dryden. 2. To utter with a voice affectedly big or swelling; to speak in a strained or unnaturally sonorous manner. \"Mouthing big phrases.\" Hare. Mouthing out his hollow oes and aes. Tennyson. 3. To form or cleanse with the mouth; to lick, as a bear her cub. Sir T. Browne. 4. To make mouths at. [R.] R. Blair.\n\n1. To speak with a full, round, or loud, affected voice; to vociferate; to rant. I'll bellow out for Rome, and for my country, And mouth at Cæsar, till I shake the senate. Addison. 2. To put mouth to mouth; to kiss. [R.] Shak. 3. To make grimaces, esp. in ridicule or contempt. Well I know, when I am gone, How she mouths behind my back. Tennyson.
mouth-footed |Having the basal joints of the legs converted into jaws.
mouth-made |Spoken without sincerity; not heartfelt. \"Mouth-made vows.\" Shak.
mouthed |1. Furnished with a mouth. 2. Having a mouth of a particular kind; using the mouth, speech, or voice in a particular way; -- used only in composition; as, wide- mouthed; hard-mouthed; foul-mouthed; mealy-mouthed.
mouther |One who mouths; an affected speaker.
mouthful |1. As much as is usually put into the mouth at one time. 2. Hence, a small quantity.
mouthless |Destitute of a mouth.
mouthpiece |1. The part of a musical or other instrument to which the mouth is applied in using it; as, the mouthpiece of a bugle, or of a tobacco pipe. 2. An appendage to an inlet or outlet opening of a pipe or vessel, to direct or facilitate the inflow or outflow of a fluid. 3. One who delivers the opinion of others or of another; a spokesman; as, the mouthpiece of his party. Egmont was imprudent enough to make himself the mouthpiece of their remonstrance. Motley.
movability |Movableness.
movable |1. Capable of being moved, lifted, carried, drawn, turned, or conveyed, or in any way made to change place or posture; susceptible of motion; not fixed or stationary; as, a movable steam engine. 2. Changing from one time to another; as, movable feasts, i. e., church festivals, the date of which varies from year to year. Movable letter (Heb. Gram.), a letter that is pronounced, as opposed to one that is quiescent.\n\n1. An article of wares or goods; a commodity; a piece of property not fixed, or not a part of real estate; generally, in the plural, goods; wares; furniture. Furnished with the most rich and princely movables. Evelyn. 2. (Rom. Law)  Property not attached to the soil. Note: The word is not convertible with personal property, since rents and similar incidents of the soil which are personal property by our law are immovables by the Roman law. Wharton.
movableness |The quality or state of being movable; mobility; susceptibility of motion.
movably |In a movable manner or condition.
move |1. To cause to change place or posture in any manner; to set in motion; to carry, convey, draw, or push from one place to another; to impel; to stir; as, the wind moves a vessel; the horse moves a carriage. 2. (Chess, Checkers, etc.)  To transfer (a piece or man) from one space or position to another, according to the rules of the game; as, to move a king. 3. To excite to action by the presentation of motives; to rouse by representation, persuasion, or appeal; to influence. Minds desirous of revenge were not moved with gold. Knolles. No female arts his mind could move. Dryden. 4. To arouse the feelings or passions of; especially, to excite to tenderness or compassion; to touch pathetically; to excite, as an emotion. Shak. When he saw the multitudes, he was moved with compassion on them. Matt. ix. 36. [The use of images] in orations and poetry is to move pity or terror. Felton. 5. To propose; to recommend; specifically, to propose formally for consideration and determination, in a deliberative assembly; to submit, as a resolution to be adopted; as, to move to adjourn. Let me but move one question to your daughter. Shak. They are to be blamed alike who move and who decline war upon particular respects. Hayward. 6. To apply to, as for aid. [Obs.] Shak. Syn. -- To stir; agitate; trouble; affect; persuade; influence; actuate; impel; rouse; prompt; instigate; incite; induce; incline; propose; offer.\n\n1. To change place or posture; to stir; to go, in any manner, from one place or position to another; as, a ship moves rapidly. The foundations also of the hills moved and were shaken, because he was wroth. Ps. xviii. 7. On the green bank I sat and listened long, ... Nor till her lay was ended could I move. Dryden. 2. To act; to take action; to stir; to begin to act; as, to move in a matter. 3. To change residence; to remove, as from one house, town, or state, to another. 4. (Chess, Checkers, etc.)  To change the place of a piece in accordance with the rules of the game.\n\n1. The act of moving; a movement. 2. (Chess, Checkers, etc.)  The act of moving one of the pieces, from one position to another, in the progress of the game. 3. An act for the attainment of an object; a step in the execution of a plan or purpose. To make a move. (a) To take some action. (b) To move a piece, as in a game. -- To be on the move, to bustle or stir about. [Colloq.]
moveless |Motionless; fixed. \"Moveless as a tower.\" Pope.
movement |1. The act of moving; change of place or posture; transference, by any means, from one situation to another; natural or appropriate motion; progress; advancement; as, the movement of an army in marching or maneuvering; the movement of a wheel or a machine; the party of movement. 2. Motion of the mind or feelings; emotion. 3. Manner or style of moving; as, a slow, or quick, or sudden, movement. 4. (Mus.) (a) The rhythmical progression, pace, and tempo of a piece. \"Any change of time is a change of movement.\" Busby. (b) One of the several strains or pieces, each complete in itself, with its own time and rhythm, which make up a larger work; as, the several movements of a suite or a symphony. 5. (Mech.)  A system of mechanism for transmitting motion of a definite character, or for transforming motion; as, the wheelwork of a watch. Febrille movement (Med.), an elevation of the body temperature; a fever. -- Movement cure. (Med.) See Kinesiatrics. -- Movement of the bowels, an evacuation or stool; a passage or discharge. Syn. -- Motion. -- Movement, Motion. Motion expresses a general idea of not being at rest; movement is oftener used to express a definite, regulated motion, esp. a progress.
movent |Moving. [R.] Grew.\n\nThat which moves anything. [R.]
mover |1. A person or thing that moves, stirs, or changes place. 2. A person or thing that imparts motion, or causes change of place; a motor. 3. One who, or that which, excites, instigates, or causes movement, change, etc.; as, movers of sedition. These most poisonous compounds, Which are the movers of a languishing death. Shak. 4. A proposer; one who offers a proposition, or recommends anything for consideration or adoption; as, the mover of a resolution in a legislative body.
movie |A moving picture or a moving picture show; -- commonly used in pl. [Slang or Colloq.]
moving |1. Changing place or posture; causing motion or action; as, a moving car, or power. 2. Exciting movement of the mind; adapted to move the sympathies, passions, or affections; touching; pathetic; as, a moving appeal. I sang an old moving story. Coleridge. Moving force (Mech.), a force that accelerates, retards, or deflects the motion of a body. -- Moving plant (Bot.), a leguminous plant (Desmodium gyrans); -- so called because its leaflets have a distinct automatic motion.\n\nThe act of changing place or posture; esp., the act of changing one's dwelling place or place of business. Moving day, a day when one moves; esp., a day when a large number of tenants change their dwelling place.
moving picture |A series of pictures, usually photographs taken with a special machine, presented to the eye in very rapid succession, with some or all of the objects in the picture represented in slightly changed positions, producing, by persistence of vision, the optical effect of a continuous picture in which the objects move in some manner, as that of some original scene. The usual form of moving pictures is that produced by the cinematograph.
movingly |In a moving manner. Addison.
movingness |The power of moving.
mow |A wry face. \"Make mows at him.\" Shak.\n\nTo make mouths. Nodding, becking, and mowing. Tyndale.\n\nSame as Mew, a gull.\n\nMay; can. \"Thou mow now escapen.\" [Obs.] Chaucer. Our walles mowe not make hem resistence. Chaucer.\n\n1. To cut down, as grass, with a scythe or machine. 2. To cut the grass from; as, to mow a meadow. 3. To cut down; to cause to fall in rows or masses, as in mowing grass; -- with down; as, a discharge of grapeshot mows down whole ranks of men.\n\nTo cut grass, etc., with a scythe, or with a machine; to cut grass for hay.\n\n1. A heap or mass of hay or of sheaves of grain stowed in a barn. 2. The place in a barn where hay or grain in the sheaf is stowed.\n\nTo lay, as hay or sheaves of grain, in a heap or mass in a barn; to pile and stow away.
mowburn |To heat and ferment in the mow, as hay when housed too green.
mowe |See 4th Mow. [Obs.] Chaucer.\n\nSee 1st & 2d Mow. [Obs.]
mower |One who, or that which, mows; a mowing machine; as, a lawn mower.
mowing |1. The act of one who, or the operation of that which, mows. 2. Land from which grass is cut; meadow land. Mowing machine, an agricultural machine armed with knives or blades for cutting standing grass, etc. It is drawn by a horse or horses, or propelled by steam.
mown |Cut down by mowing, as grass; deprived of grass by mowing; as, a mown field.
mowyer |A mower. [Obs.]
moxa |1. (Med.)  A soft woolly mass prepared from the young leaves of Artemisia Chinensis, and used as a cautery by burning it on the skin; hence, any substance used in a like manner, as cotton impregnated with niter, amadou. 2. (Bot.)  A plant from which this substance is obtained, esp. Artemisia Chinensis, and A. moxa.
moxie |1. energy; pep. 2. courage, determination. 3. Know-how, expertise. MW10.
moya |Mud poured out from volcanoes during eruptions; -- so called in South America.
moyle |See Moil, and Moile.
mozarab |Same as Muzarab, Muzarabic.
mozarabic |Same as Muzarab, Muzarabic.
mozetta |A cape, with a small hood; -- worn by the pope and other dignitaries of the Roman Catholic Church. MR. Mr.. (.  The customary abbreviation of Mister in writing and printing. See Master, 4. MRS. Mrs. (.  The customary abbreviation of Mistress when used as a title of courtesy, in writing and printing.
mozzetta |A cape, with a small hood; -- worn by the pope and other dignitaries of the Roman Catholic Church. MR. Mr.. (.  The customary abbreviation of Mister in writing and printing. See Master, 4. MRS. Mrs. (.  The customary abbreviation of Mistress when used as a title of courtesy, in writing and printing.
mucamide |The acid amide of mucic acid, obtained as a white crystalline substance.
mucate |A salt of mucic acid.
muce |See Muse, and Muset.
mucedin |A yellowish white, amorphous, nitrogenous substance found in wheat, rye, etc., and resembling gluten; -- formerly called also mucin.
much |1. Great in quantity; long in duration; as, much rain has fallen; much time. Thou shalt carry much seed out into the field, and shalt gather but little in. Deut. xxviii. 38. 2. Many in number. [Archaic] Edom came out against him with much people. Num. xx. 20. 3. High in rank or position. [Obs.] Chaucer.\n\n1. A great quantity; a great deal; also, an indefinite quantity; as, you have as much as I. He that gathered much had nothing over. Ex. xvi. 18. Note: Muchin this sense can be regarded as an adjective qualifying a word unexpressed, and may, therefore, be modified by as, so, too, very. 2. A thing uncommon, wonderful, or noticeable; something considerable. And [he] thought not much to clothe his enemies. Milton. To make much of, to treat as something of especial value or worth.\n\nTo a great degree or extent; greatly; abundantly; far; nearly. \"Much suffering heroes.\" Pope. Thou art much mightier than we. Gen. xxvi. 16. Excellent speech becometh not a fool, much less do lying lips a prince. Prov. xvii. 7. Henceforth I fly not death, nor would prolong Life much. Milton. All left the world much as they found it. Sir W. Temple.
muchel |Much. [Obs.]
muchness |Greatness; extent. [Obs. or Colloq.] The quantity and muchness of time which it filcheth. W. Whately. Much of a muchness, much the same. [Colloq.] \"Men's men; gentle or simple, they 're much of muchness.\" G. Eliot.
muchwhat |Nearly; almost; much. [Obs.] \"Muchwhat after the same manner.\" Glanvill.
mucic |Pertaining to, or derived from, gums and micilaginous substances; specif., denoting an acid obtained by the oxidation of gums, dulcite, etc., as a white crystalline substance isomeric with saccharic acid.
mucid |Musty; moldy; slimy; mucous. -- Mu\"cid*ness, n.
mucific |1. (Med.)  Inducing or stimulating the secretion of mucus; blennogenous. 2. (Physiol.)  Secreting mucus.
muciform |Resembling mucus; having the character or appearance of mucus.
mucigen |A substance which is formed in mucous epithelial cells, and gives rise to mucin.
mucigenous |Connected with the formation of mucin; resembling mucin. The mucigenous basis is manufactured at the expense of the ordinary protoplasm of the cell. Foster.
mucilage |1. (Bot. Chem.)  A gummy or gelatinous substance produced in certain plants by the action of water on the cell wall, as in the seeds of quinces, of flax, etc. 2. An aqueous solution of gum, or of substances allied to it; as, medicinal mucilage; mucilage for fastening envelopes.
mucilaginous |1. Partaking of the nature of, or resembling, mucilage; moist, soft, and viscid; slimy; ropy; as, a mucilaginous liquid. 2. Of, pertaining to, or secreting, mucilage; as, the mucilaginous glands. 3. Soluble in water, but not in alcohol; yielding mucilage; as, mucilaginous gums or plants. -- Mu`ci*lag\"i*nous*ness, n.
mucin |1. (Bot. Chem.)  See Mucedin. [Obs.] 2. (Physiol. Chem.)  An albuminoid substance which is contained in mucus, and gives to the latter secretion its peculiar ropy character. It is found in all the secretions from mucous glands, and also between the fibers of connective tissue, as in tendons. See Illust. of Demilune.
mucinogen |Same as Mucigen.
muciparous |Secreting, or producing, mucus or mucin.
mucivore |An unsect which feeds on mucus, or the sap of plants, as certain Diptera, of the tribe Mucivora.
muck |, abbreviation of Amuck. To run a muck. See Amuck.\n\n1. Dung in a moist state; manure. Bacon. 2. Vegetable mold mixed with earth, as found in low, damp places and swamps. 3. Anything filthy or vile. Spenser. 4. Money; -- in contempt. The fatal muck we quarreled for. Beau. & Fl. Muck bar, bar iron which has been through the rolls only once. -- Muck iron, crude puddled iron ready for the squeezer or rollers. Knight.\n\nLike muck; mucky; also, used in collecting or distributing muck; as, a muck fork.\n\nTo manure with muck.
muck rake |A rake for scraping up muck or dung. See Muckrake, v. i., below.
muck-rake |To seek for, expose, or charge, esp. habitually, corruption, real or alleged, on the part of public men and corporations. On April 14, 1906, President Roosevelt delivered a speech on \"The Man with the Muck Rake,\" in which he deprecated sweeping and unjust charges of corruption against public men and corporations. The phrase was taken up by the press, and the verb to muck\"rake`, in the above sense, and the noun muck\"rak`er, to designate one so engaged, were speedily coined and obtained wide currency. The original allusion was to a character in Bunyan's \"Pilgrim's Progress\" so intent on raking up muck that he could not see a celestial crown held above him.
muckender |A handkerchief. [Obs.] [Written also muckinder, muckiter, mockadour.]
mucker |A term of reproach for a low or vulgar labor person. [Slang]\n\nTo scrape together, as money, by mean labor or shifts. [Obs.] Udall.
muckerer |A miser; a niggard. [Obs.]
muckiness |The quality of being mucky.
muckle |Much. [Obs.]
muckmidden |A dunghill. [Scot.]
muckrake |To seek for, expose, or charge, esp. habitually, corruption, real or alleged, on the part of public men and corporations. On April 14, 1906, President Roosevelt delivered a speech on \"The Man with the Muck Rake,\" in which he deprecated sweeping and unjust charges of corruption against public men and corporations. The phrase was taken up by the press, and the verb to muck\"rake`, in the above sense, and the noun muck\"rak`er, to designate one so engaged, were speedily coined and obtained wide currency. The original allusion was to a character in Bunyan's \"Pilgrim's Progress\" so intent on raking up muck that he could not see a celestial crown held above him.
muckraker |To seek for, expose, or charge, esp. habitually, corruption, real or alleged, on the part of public men and corporations. On April 14, 1906, President Roosevelt delivered a speech on \"The Man with the Muck Rake,\" in which he deprecated sweeping and unjust charges of corruption against public men and corporations. The phrase was taken up by the press, and the verb to muck\"rake`, in the above sense, and the noun muck\"rak`er, to designate one so engaged, were speedily coined and obtained wide currency. The original allusion was to a character in Bunyan's \"Pilgrim's Progress\" so intent on raking up muck that he could not see a celestial crown held above him.
mucksy |Somewhat mucky; soft, sticky, and dirty; muxy. [Prov. Eng.] R. D. Blackmore.
muckworm |1. (Zoöl.)  A larva or grub that lives in muck or manure; -- applied to the larvæ of the tumbledung and allied beetles. 2. One who scrapes together money by mean labor and devices; a miser. \"Misers are muckworms.\" Pope.
mucky |1. Filthy with muck; miry; as, a mucky road. \"Mucky filth.\" Spenser. 2. Vile, in a moral sense; sordid. [Obs.] Spenser. Mucky money and false felicity. Latimer.
mucocele |An enlargement or protrusion of the mucous membrane of the lachrymal passages, or dropsy of the lachrymal sac, dependent upon catarrhal inflammation of the latter. Dunglison.
mucoid |Resembling mucus. Dunglison. Mucoid degeneration, a form of degeneration in which the tissues are transformed into a semisolid substance resembling mucus. Quain.
muconate |A salt of muconic acid.
muconic |Of, pertaining to, or designating, an organic acid, obtained indirectly from mucic acid, and somewhat resembling itaconic acid.
mucopurulent |Having the character or appearance of both mucus and pus. Dunglison.
mucor |A genus of minute fungi. The plants consist of slender threads with terminal globular sporangia; mold.
mucosity |The quality or state of being mucous or slimy; mucousness.
mucous |1. Of, pertaining to, or resembling, mucus; slimy, ropy, or stringy, and lubricous; as, a mucous substance. 2. Secreting a slimy or mucigenous substance; as, the mucous membrane. Mucous membrane. (Anat.) See under Membrane. -- Mucous patches (Med.), elevated patches found in the mucous membranes of the mouth and anus, usually due to syphilis. -- Mucous tissue (Anat.), a form of connective tissue in an early stage of development, found in the umbilical cord and in the embryo, and also in certain tumors called myxomata.
mucousness |The quality or state of being mucous; sliminess.
mucro |A minute abrupt point, as of a leaf; any small, sharp point or process, terminating a larger part or organ.
mucronate |Ending abruptly in a sharp point; abruptly tipped with a short and sharp point; as, a mucronate leaf. -- Mu\"cro*nate*ly, adv.
mucronated |Ending abruptly in a sharp point; abruptly tipped with a short and sharp point; as, a mucronate leaf. -- Mu\"cro*nate*ly, adv.
mucronulate |Having, or tipped with, a small point or points.
muculent |Slimy; moist, and moderately viscous.
mucus |1. (Physiol.)  A viscid fluid secreted by mucous membranes, which it serves to moisten and protect. It covers the lining membranes of all the cavities which open externally, such as those of the mouth, nose, lungs, intestinal canal, urinary passages, etc. 2. (Physiol.)  Any other animal fluid of a viscid quality, as the synovial fluid, which lubricates the cavities of the joints; -- improperly so used. 3. (Bot.)  A gelatinous or slimy substance found in certain algæ and other plants.
mucusin |Mucin. [R.]
mud |Earth and water mixed so as to be soft and adhesive. Mud bass (Zoöl.), a fresh-water fish (Acantharchum pomotis) of the Eastern United States. It produces a deep grunting note. -- Mud bath, an immersion of the body, or some part of it, in mud charged with medicinal agents, as a remedy for disease. -- Mud boat, a large flatboat used in deredging. -- Mud cat. See Catfish. -- Mud crab (Zoöl.), any one of several American marine crabs of the genus Panopeus. -- Mud dab (Zoöl.), the winter flounder. See Flounder, and Dab. -- Mud dauber (Zoöl.), a mud wasp. -- Mud devil (Zoöl.), the fellbender. -- Mud drum (Steam Boilers), a drum beneath a boiler, into which sediment and mud in the water can settle for removal. -- Mud eel (Zoöl.), a long, slender, aquatic amphibian (Siren lacertina), found in the Southern United States. It has persistent external gills and only the anterior pair of legs. See Siren. -- Mud frog (Zoöl.), a European frog (Pelobates fuscus). -- Mud hen. (Zoöl.) (a) The American coot (Fulica Americana). (b) The clapper rail. -- Mud lark, a person who cleans sewers, or delves in mud. [Slang] - - Mud minnow (Zoöl.), any small American fresh-water fish of the genus Umbra, as U. limi. The genus is allied to the pickerels. -- Mud plug, a plug for stopping the mudhole of a boiler. -- Mud puppy (Zoöl.), the menobranchus. -- Mud scow, a heavy scow, used in dredging; a mud boat. [U.S.] -- Mud turtle, Mud tortoise (Zoöl.), any one of numerous species of fresh-water tortoises of the United States. -- Mud wasp (Zoöl.), any one of numerous species of hymenopterous insects belonging to Pepæus, and allied genera, which construct groups of mud cells, attached, side by side, to stones or to the woodwork of buildings, etc. The female places an egg in each cell, together with spiders or other insects, paralyzed by a sting, to serve as food for the larva. Called also mud dauber.\n\n1. To bury in mud. [R.] Shak. 2. To make muddy or turbid. Shak.
mudar |Either one of two asclepiadaceous shrubs (Calotropis gigantea, and C. procera), which furnish a strong and valuable fiber. The acrid milky juice is used medicinally.
mudarin |A brown, amorphous, bitter substance having a strong emetic action, extracted from the root of the mudar.
muddily |, In a muddy manner; turbidly; without mixture; cloudily; obscurely; confusedly.
muddiness |1. The condition or quality of being muddy; turbidness; foulness casued by mud, dirt, or sediment; as, the muddiness of a stream. 2. Obscurity or confusion, as in treatment of a subject; intellectual dullness.
muddle |1. To make turbid, or muddy, as water. [Obs.] He did ill to muddle the water. L'Estrange. 2. To cloud or stupefy; to render stupid with liquor; to intoxicate partially. Epicurus seems to have had brains so muddled and confounded, that he scarce ever kept in the right way. Bentley. Often drunk, always muddled. Arbuthnot. 3. To waste or misuse, as one does who is stupid or intoxicated. [R.] They muddle it [money] away without method or object, and without having anything to show for it. Hazlitt. 4. To mix confusedly; to confuse; to make a mess of; as, to muddle matters; also, to perplex; to mystify. F. W. Newman.\n\n1. To dabble in mud. [Obs.] Swift. 2. To think and act in a confused, aimless way.\n\nA state of being turbid or confused; hence, intellectual cloudiness or dullness. We both grub on in a muddle. Dickens.
muddlehead |A stupid person. [Colloq.] C. Reade. -- Mud\"dle-head`ed, a. [Colloq.] Dickens.
muddler |One who, or that which, muddles.
muddy |1. Abounding in mud; besmeared or dashed with mud; as, a muddy road or path; muddy boots. 2. Turbid with mud; as, muddy water. 3. Consisting of mud or earth; gross; impure. This muddy vesture of decay. Shak. 4. Confused, as if turbid with mud; cloudy in mind; dull; stupid; also, immethodical; incoherent; vague. Cold hearts and muddy understandings. Burke. Dost think I am so muddy, so unsettled. Shak. 5. Not clear or bright. Swift.\n\n1. To soil with mud; to dirty; to render turbid. 2. Fig.: To cloud; to make dull or heavy. Grew.
muddy-headed |Dull; stupid.
muddy-mettled |Dull-spirited. Shak.
mudfish |(a) The European loach. (b) The bowfin. (c) The South American lipedosiren, and the allied African species (Protopterus annectens). See Lipedosiren. (d) The mud minnow.
mudhole |1. A hole, or hollow place, containing mud, as in a road. 2. (Steam Boilers)  A hole near the bottom, through which the sediment is withdrawn.
mudir |Same as Moodir.
mudsill |The lowest sill of a structure, usually embedded in the soil; the lowest timber of a house; also, that sill or timber of a bridge which is laid at the bottom of the water. See Sill.
mudsucker |A woodcock.
mudwall |The European bee-eater. See Bee-eater. [Written also modwall.]
mudwort |A small herbaceous plant growing on muddy shores (Limosella aquatica).
mue |To mew; to molt. [Obs.] Quarles.
muellerian |Of, pertaining to, or discovered by, Johannes Müller. Müllerian ducts (Anat.), a pair of embryonic ducts which give rise to the genital passages in the female, but disappear in the male. -- Müllerian fibers (Anat.), the sustentacular or connective-tissue fibers which form the framework of the retina.
muezzin |A Mohammedan crier of the hour of prayer. [Written also mouezzin, mueddin, and muwazzin.]
