naples yellow |See under Yellow.
naught |1. Nothing. [Written also nought.] Doth Job fear God for naught Job i. 9. 2. The arithmetical character 0; a cipher. See Cipher. To set at naught, to treat as of no account; to disregard; to despise; to defy; to treat with ignominy. \"Ye have set at naught all my counsel.\" Prov. i. 25.\n\nIn no degree; not at all. Chaucer. To wealth or sovereign power he naught applied. Fairfax.\n\n1. Of no value or account; worthless; bad; useless. It is naught, it is naught, saith the buyer. Prov. xx. 14. Go, get you to your house; begone, away! All will be naught else. Shak. Things naught and things indifferent. Hooker. 2. Hence, vile; base; naughty. [Obs.] No man can be stark naught at once. Fuller.
naughtily |In a naughty manner; wickedly; perversely. Shak.
naughtiness |The quality or state of being naughty; perverseness; badness; wickedness. I know thy pride, and the naughtiness of thine heart. 1 Sam. xvii. 28.
naughtly |Naughtily; wrongly. [Obs.] because my parents naughtly brought me up. Mir. for Mag.
naughty |1. Having little or nothing. [Obs.] [Men] that needy be and naughty, help them with thy goods. Piers Plowman. 2. Worthless; bad; good for nothing. [Obs.] The other basket had very naughty figs. Jer. xxiv. 2. 3. hence, corrupt; wicked. [Archaic] So shines a good deed in a naughty world. Shak. 4. Mischievous; perverse; froward; guilty of disobedient or improper conduct; as, a naughty child. Note: This word is now seldom used except in the latter sense, as applied to children, or in sportive censure.
nauheim bath |Orig., a method of therapeutic treatment administered, esp. for chronic diseases of the curculatory system, at Bad Nauheim, Germany, by G. Schott, consisting in baths in the natural mineral waters of that place, which are charged with carbonic acid, and the use of a graduated course of rest, physical exercises, massage, etc.; hence, any similar treatment using waters artificially charged with the essential ingredients of the natural mineral waters of Bad Nauheim. Hence, Nauheim bath, etc.
nauheim treatment |Orig., a method of therapeutic treatment administered, esp. for chronic diseases of the curculatory system, at Bad Nauheim, Germany, by G. Schott, consisting in baths in the natural mineral waters of that place, which are charged with carbonic acid, and the use of a graduated course of rest, physical exercises, massage, etc.; hence, any similar treatment using waters artificially charged with the essential ingredients of the natural mineral waters of Bad Nauheim. Hence, Nauheim bath, etc.
naumachy |1. A naval battle; esp., a mock sea fight. 2. (Rom. Antiq.)  A show or spectacle representing a sea fight; also, a place for such exhibitions.
nauplius |A crustacean larva having three pairs of locomotive organs (corresponding to the antennules, antennæ, and mandibles), a median eye, and little or no segmentation of the body.
nauropometer |An instrument for measuring the amount which a ship heels at sea.
nauscopy |The power or act of discovering ships or land at considerable distances.
nausea |Seasickness; hence, any similar sickness of the stomach accompanied with a propensity to vomit; qualm; squeamishness of the stomach; loathing.
nauseant |A substance which produces nausea.
nauseate |To become squeamish; to feel nausea; to turn away with disgust.\n\n1. To affect with nausea; to sicken; to cause to feel loathing or disgust. 2. To sicken at; to reject with disgust; to loathe. The patient nauseates and loathes wholesome foods. Blackmore.
nauseation |The act of nauseating, or the state of being nauseated.
nauseative |Causing nausea; nauseous.
nauseous |Causing, or fitted to cause, nausea; sickening; loathsome; disgusting; exciting abhorrence; as, a nauseous drug or medicine. -- Nau\"seous*ly, adv. -- Nau\"seous*ness, n. The nauseousness of such company disgusts a reasonable man. Dryden.
nautch |An entertainment consisting chiefly of dancing by professional dancing (or Nautch) girls. [India]
nautic |Nautical.
nautical |Of or pertaining to seamen, to the art of navigation, or to ships; as, nautical skill. Syn. -- Naval; marine; maritime. See Naval. Nautical almanac. See under Almanac. -- Nautical distance, the length in nautical miles of the rhumb line joining any two places on the earth's surface. -- nautical mile. see under Mile.
nautically |In a nautical manner; with reference to nautical affais.
nautiform |Shaped like the hull of a ship.
nautilite |A fossil nautilus.
nautiloid |Like or pertaining to the nautilus; shaped like a nautilus shell. -- n.  A mollusk, or shell, of the genus Nautilus or family Nautilidæ.
nautilus |1. (Zoöl.)  The only existing genus of tetrabranchiate cephalopods. About four species are found living in the tropical Pacific, but many other species are found fossil. The shell is spiral, symmetrical, and chambered, or divided into several cavities by simple curved partitions, which are traversed and connected together by a continuous and nearly central tube or siphuncle. See Tetrabranchiata. Note: The head of the animal bears numerous simple tapered arms, or tentacles, arranged in groups, but not furnished with suckers. The siphon, unlike, that of ordinary cephalopods, is not a closed tube, and is not used as a locomotive organ, but merely serves to conduct water to and from the gill cavity, which contains two pairs of gills. The animal occupies only the outer chamber of the shell; the others are filled with gas. It creeps over the bottom of the sea, not coming to the surface to swim or sail, as was formerly imagined. 2. The argonaut; -- also called paper nautilus. See Argonauta, and Paper nautilus, under Paper. 3. A variety of diving bell, the lateral as well as vertical motions of which are controlled, by the occupants.
navajoes |A tribe of Indians inhabiting New Mexico and Arizona, allied to the Apaches. They are now largely engaged in agriculture.
naval |Having to do with shipping; of or pertaining to ships or a navy; consisting of ships; as, naval forces, successes, stores, etc. Naval brigade, a body of seamen or marines organized for military service on land. -- Naval officer. (a) An officer in the navy. (b) A high officer in some United States customhouses. -- Naval tactics, the science of managing or maneuvering vessels sailing in squadrons or fleets. Syn. -- Nautical; marine; maritime. -- Naval, Nautical. Naval is applied to vessels, or a navy, or the things which pertain to them or in which they participate; nautical, to seamen and the art of navigation. Hence we speak of a naval, as opposed to a military, engagement; naval equipments or stores, a naval triumph, a naval officer, etc., and of nautical pursuits or instruction, nautical calculations, a nautical almanac, etc.
navals |Naval affairs. [Obs.]
navarch |The commander of a fleet. Mitford.
navarchy |Nautical skill or experience. [Obs.] ir W. Petty.
navarrese |Of or pertaining to Navarre. -- n. sing. & pl.  A native or inhabitant of Navarre; the people of Navarre.
nave |1. The block in the center of a wheel, from which the spokes radiate, and through which the axle passes; -- called also hub or hob. 2. The navel. [Obs.] hak.\n\nThe middle or body of a church, extending from the transepts to the principal entrances, or, if there are no transepts, from the choir to the principal entrance, but not including the aisles.
navel |1. (Anat.)  A mark or depression in the middle of the abdomen; the umbilicus. See Umbilicus.belly button in humans 2. The central part or point of anything; the middle. Within the navel of this hideous wood, Immured in cypress shades, a sorcerer dwells. Milton. 3. (Gun.)  An eye on the under side of a carronade for securing it to a carriage. Navel gall, a bruise on the top of the chine of the back of a horse, behind the saddle. Johnson. -- Navel point. (Her.) Same as Nombril.
navel orange |A type of orange in which the fruit incloses a small secondary fruit, the rind showing on the exterior a navel-like pit or depression at the apex. There are several varieties; they are usually seedless, or nearly so, and are much grown in California.
navel-string |The umbilical cord.
navelwort |A European perennial succulent herb (Cotyledon umbilicus), having round, peltate leaves with a central depression; -- also called pennywort, and kidneywort.
navew |A kind of small turnip, a variety of Brassica campestris. See Brassica. [Writen also naphew.]
navicular |1. Of, pertaining to, or resembling, a boat or ship. 2. Shaped like a boat; cymbiform; scaphoid; as, the navicular glumes of most grasses; the navicular bone. Navicular bone. (Anat.) (a) One of the middle bones of the tarsus, corresponding to the centrale; -- called also scaphoid. (b) A proximal bone on the radial side of the carpus; the scaphoid. -- Navicular disease (Far.), a disease affecting the navicular bone, or the adjacent parts, in a horse's foot.\n\nThe navicular bone.
navigability |The quality or condition of being navigable; navigableness.
navigable |Capable of being navigated; deep enough and wide enough to afford passage to vessels; as, a navigable river. Note: By the comon law, a river is considered as navigable only so far as the tide ebbs and flows in it. This is also the doctrine in several of the United tates. In other States, the doctrine of thje civil law prevails, which is, that a navigable river is a river capable of being navigated, in the common sense of the term. Kent. Burrill. -- Nav\"i*ga*ble*ness, n. -- Nav\"i*ga*bly, adv.
navigate |To joirney by water; to go in a vessel or ship; to perform the duties of a navigator; to use the waters as a highway or channel for commerce or communication; to sail. The Phenicians navigated to the extremities of the Western Ocean. Arbuthnot.\n\n1. To pass over in ships; to sail over or on; as, to navigate the Atlantic. 2. To steer, direct, or manage in sailing; to conduct (ships) upon the water by the art or skill of seamen; as, to navigate a ship.
navigation |1. The act of navigating; the act of passing on water in ships or other vessels; the state of being navigable. 2. (a) the science or art of conducting ships or vessels from one place to another, including, more especially, the method of determining a ship's position, course, distance passed over, etc., on the surface of the globe, by the principles of geometry and astronomy. (b) The management of sails, rudder, etc.; the mechanics of traveling by water; seamanship. 3. Ships in general. [Poetic] Shak. Aërial navigation, the act or art of sailing or floating in the air, as by means of ballons; aëronautic. -- Inland navigation, Internal navigation, navigation on rivers, inland lakes, etc.
navigator |One who navigates or sails; esp., one who direct the course of a ship, or one who is skillful in the art of navigation; also, a book which teaches the art of navigation; as, Bowditch's Navigator.
navigerous |Bearing ships; capable of floating vessels. [R.] Blount.
navvy |Originally, a laborer on canals for internal navigation; hence, a laborer on other public works, as in building railroads, embankments, etc. [Eng.]
navy |1. A fleet of ships; an assemblage of merchantmen, or so many as sail in company. \"The navy also of Hiram, that brought gold from Ophir.\" 1 kings x. 11. 2. The whole of the war vessels belonging to a nation or ruler, considered collectively; as, the navy of Italy. 3. The officers and men attached to the war vessels of a nation; as, he belongs to the navy. Navy bean. see Bean. -- Navy yard, a place set apart as a shore station for the use of the navy. It often contains all the mechanical and other appliences for building and equipping war vessels and training their crews.
navy blue |Prussian blue.
nawab |A deputy ruler or viceroy in India; also, a title given by courtesy to other persons of high rank in the East.
nawl |An awl. [Obs.] usser.
nay |1. No; -- a negative answer to a question asked, or a request made, now superseded by no. See Yes. And eke when I say \"ye,\" ne say not \"nay.\" Chaucer. I tell you nay; but except ye repent, ye shall all likewisr perish. Luke xiii. 3. And now do they thrust us out privily nay, verily; but let them come themselves and fetch us out. Acts xvi. 37. He that will not when he may, When he would he shall have nay. Old Prov. Note: Before the time of Henry VIII. nay was used to answer simple questions, and no was used when the form of the question involved a negative expression; nay was the simple form, no the emphatic. Skeat. 2. Not this merely, but also; not only so, but; -- used to mark the addition or substitution of a more explicit or more emphatic phrase. Note: Nay in this sense may be interchanged with yea. \"Were he my brother, nay, my kingdom's heir.\" Shak.\n\n1. Denial; refusal. 2. a negative vote; one who votes in the negative. It is no nay, there is no denying it. [Obs.] haucer.\n\nTo refuse. [Obs.] Holinshed.
nayaur |A specied of wild sheep (Ovis Hodgsonii), native of Nepaul and Thibet. It has a dorsal mane and a white ruff beneath the neck.
nayt |To refuse; to deny. [Obs.] \"He shall not nayt ne deny his sin.\" Chaucer.
nayward |The negative side. [R.] Howe'er you lean to the nayward. Shak.
nayword |A byword; a proverb; also, a watchword. [Obs.] hak.
nazarene |1. A native or inhabitant of Nazareth; -- a term of contempt applied to Christ and the early Christians. 2. (Eccl. Hist.)  One of a sect of Judaizing Christians in the first and second centuries, who observed the laws of Moses, and held to certain heresies.
nazarite |A Jew bound by a vow to lave the hair uncut, to abstain from wine and strong drink, and to practice extraordinary purity of life and devotion, the obligation being for life, or for a certain time. The word is also used adjectively.
nazariteship |The state of a Nazarite.
nazaritic |Of or pertaining to a Nazarite, or to Nazarites.
nazaritism |The vow and practice of a Nazarite.
naze |A promotory or headland.
nazirite |A Nazarite.
ne |Not; never. [Obs.] He never yet no villany ne said. Chaucer. Note: Ne was formerly used as the universal adverb of negation, and survives in certain compounds, as never (= ne ever) and none (= ne one). Other combinations, now obsolete, will be found in the Vocabulary, as nad, nam, nil. See Negative, 2.\n\nNor. [Obs.] Shak. No niggard ne no fool. Chaucer. Ne . . . ne, neither . . . nor. [Obs.] Chaucer.
ne exeat |A writ to restrain a person from leaving the country, or the jurisdiction of the court. The writ was originally applicable to purposes of state, but is now an ordinary process of courts of equity, resorted to for the purpose of obtaining bail, or security to abide a decree. Kent.
ne plus ultra |1. The uttermost point to which one can go or attain; hence, the summit of achievement; the highest point or degree; the acme. 2.  A prohibition against proceeding further; an insuperable obstacle or limiting condition. [Obs. or R.]
ne temere |A decree of the Congregation of the Council declaring invalid [so far as the laws of the Roman Catholic Church are concerned] any marriage of a Roman Catholic, or of a person who has ever been a Roman Catholic, if not contracted before a duty qualified priest (or the bishop of the diocese) and at least two witnesses. The decree was issued Aug. 2, 1907, and took effect on Easter Apr. 19, 1908. The decree by its terms does not affect mixed marriages (those between Roman Catholics and persons of another faith) in Germany.
neaf |See 2d Neif. Shak.\n\nThe first. [Obs.] \"I kiss thy neif.\" \"Give me your neaf.\" Shak.
neal |To anneal. [R.] Chaucer.\n\nTo be tempered by heat. [R.] Bacon.
neanderthal |Of, pertaining to, or named from, the Neanderthal, a valley in the Rhine Province, in which were found parts of a skeleton of an early type of man. The skull is characterized by extreme dolichocephaly, flat, retreating forehead, with closed frontal sutures, and enormous superciliary ridges. The cranial capacity is estimated at about 1,220 cubic centimeters, being about midway between that of the Pithecanthropus and modern man. Hence, designating the Neanderthal race, or man, a species supposed to have been widespread in paleolithic Europe.
neanderthal man |Of, pertaining to, or named from, the Neanderthal, a valley in the Rhine Province, in which were found parts of a skeleton of an early type of man. The skull is characterized by extreme dolichocephaly, flat, retreating forehead, with closed frontal sutures, and enormous superciliary ridges. The cranial capacity is estimated at about 1,220 cubic centimeters, being about midway between that of the Pithecanthropus and modern man. Hence, designating the Neanderthal race, or man, a species supposed to have been widespread in paleolithic Europe.
neanderthal race |Of, pertaining to, or named from, the Neanderthal, a valley in the Rhine Province, in which were found parts of a skeleton of an early type of man. The skull is characterized by extreme dolichocephaly, flat, retreating forehead, with closed frontal sutures, and enormous superciliary ridges. The cranial capacity is estimated at about 1,220 cubic centimeters, being about midway between that of the Pithecanthropus and modern man. Hence, designating the Neanderthal race, or man, a species supposed to have been widespread in paleolithic Europe.
neanderthaloid |Like, or pertaining to, the Neanderthal skull, or the type of man it represents.
neap |The tongue or pole of a cart or other vehicle drawn by two animals. [U.S.]\n\nLow. Neap tides, the lowest tides of the lunar month, which occur in the second and fourth quarters of the moon; -- opposed to spring tides.\n\nA neap tide. High springs and dead neaps. Harkwill.
neaped |Left aground on the height of a spring tide, so that it will not float till the next spring tide; -- called also beneaped.
neapolitan |Of of pertaining to Maples in Italy. -- n.  A native or citizen of Naples.
neapolitan ice |(a) An ice or ice cream containing eggs as well as cream. (b) An ice or ice cream prepared in layers, as vanilla, strawberry, and chocolate ice cream, and orange or lemon water ice.
neapolitan ice cream |(a) An ice or ice cream containing eggs as well as cream. (b) An ice or ice cream prepared in layers, as vanilla, strawberry, and chocolate ice cream, and orange or lemon water ice.
near |1. At a little distance, in place, time, manner, or degree; not remote; nigh. My wife! my traitress! let her not come near me. Milton. 2. Nearly; almost; well-nigh. \"Near twenty years ago.\" Shak. \"Near a fortnight ago.\" Addison. Near about the yearly value of the land. Locke. 3. Closely; intimately. Shak. Far and near, at a distance and close by; throughout a whole region. -- To come near to, to want but little of; to approximate to. \"Such a sum he found would go near to ruin him.\" Addison. -- Near the wind (Naut.), close to the wind; closehauled.\n\n1. Not far distant in time, place, or degree; not remote; close at hand; adjacent; neighboring; nigh. \"As one near death.\" Shak. He served great Hector, and was ever near, Not with his trumpet only, but his spear. Dryden. 2. Closely connected or related. She is thy father's near kinswoman. Lev. xviii. 12. 3. Close to one's interests, affection, etc.; touching, or affecting intimately; intimate; dear; as, a near friend. 4. Close to anything followed or imitated; not free, loose, or rambling; as, a version near to the original. 5. So as barely to avoid or pass injury or loss; close; narrow; as, a near escape. 6. Next to the driver, when he is on foot; in the Unted States, on the left of an animal or a team; as, the near ox; the near leg. See Off side, under Off, a. 7. Immediate; direct; close; short. \"The nearest way.\" Milton. 8. Close-fisted; parsimonious. [Obs. or Low, Eng.] Note: Near may properly be followed by to before the thing approached'; but more frequently to is omitted, and the adjective or the adverb is regarded as a preposition. The same is also true of the word nigh. Syn. -- Nigh; close; adjacent; proximate; contiguous; present; ready; intimate; dear.\n\nAdjacent to; close by; not far from; nigh; as, the ship sailed near the land. See the Note under near, a.\n\nTo approach; to come nearer; as, the ship neared the land.\n\nTo draw near; to approach. A speck, a mist, a shape, I wist! And still it neared, and neared. Coleridge.
near beer |Any of various malt liquors (see Citation). Near beer is a term of common currency used to designate all that class of malt liquors which contain so little alcohol that they will not produce intoxication, though drunk to excess, and includes in its meaning all malt liquors which are not within the purview of the general prohibition law. Cambell v. City of Thomasville, Georgia Appeal Records, 6 212.
near-legged |Having the feet so near together that they interfere in traveling. Shak.
nearctic |Of or pertaining to a region of the earth's surface including all of temperate and arctic North America and Greenland. In the geographical distribution of animals, this region is marked off as the habitat certain species.
nearhand |Near; near at hand; closely. [Obs. or Scot.] Bacon.
nearly |In a near manner; not remotely; closely; intimately; almost.
nearness |The state or quality of being near; -- used in the various senses of the adjective.
nearsighted |Seeing distinctly at short distances only; shortsighted. -- Near\"sight`ed*ness, n.  See Myopic, and Myopia.
nearsightedness |Seeing distinctly at short distances only; shortsighted. -- Near\"sight`ed*ness, n.  See Myopic, and Myopia.
neat |Cattle of the genus Bos, as distinguished from horses, sheep, and goats; an animal of the genus Bos; as, a neat's tongue; a neat's foot. Chaucer. Wherein the herds[men] were keeping of their neat. Spenser. The steer, the heifer, and the calf Are all called neat. Shak. A neat and a sheep of his own. Tusser. Neat's-foot, an oil obtained by boiling the feet of neat cattle. It is used to render leather soft and pliable.\n\nOf or pertaining to the genus Bos, or to cattle of that genus; as, neat cattle.\n\n1. Free from that which soils, defiles, or disorders; clean; cleanly; tidy. If you were to see her, you would wonder what poor body it was that was so surprisingly neat and clean. Law. 2. Free from what is unbecoming, inappropriate, or tawdry; simple and becoming; pleasing with simplicity; tasteful; chaste; as, a neat style; a neat dress. 3. Free from admixture or adulteration; good of its kind; as, neat brandy. \"Our old wine neat.\" Chapman. 4. Excellent in character, skill, or performance, etc.; nice; finished; adroit; as, a neat design; a neat thief. 5. With all deductions or allowances made; net. Note: [In this sense usually written net. See Net, a., 3.] neat line (Civil Engin.), a line to which work is to be built or formed. -- Neat work, work built or formed to neat lines. Syn. -- Nice; pure; cleanly; tidy; trim; spruce. 'NEATH 'Neath ( or , prep. & adv.  An abbreviation of Beneath. [Poetic]
neatherd |A person who has the care of neat cattle; a cowherd. Dryden.
neathouse |A building for the shelter of neat cattle. [Obs. or Prov. Eng.] Massinger.
neatify |To make neat. [Obs.] olland.
neatly |In a neat manner; tidily; tastefully.
neatness |The state or quality of being neat.
neatress |A woman who takes care of cattle. [R.] Warner.
neb |The nose; the snout; the mouth; the beak of a bird; a nib, as of a pen. [Also written nib.] Shak.
neb-neb |Same as Bablh.
nebalia |A genus of small marine Crustacea, considered the type of a distinct order (Nebaloidea, or Phyllocarida.)
nebula |1. (Astron.)  A faint, cloudlike, self-luminous mass of matter situated beyond the solar system among the stars. True nebulæ are gaseous; but very distant star clusters often appear like them in the telescope. 2. (Med.) (a) A white spot or a slight opacity of the cornea. (b) A cloudy appearance in the urine. [Obs.]
nebular |Of or pertaining to nebulæ; of the nature of, or resembling, a nebula. Nebular hypothesis, an hypothesis to explain the process of formation of the stars and planets, presented in various forms by Kant, Herschel, Laplace, and others. As formed by Laplace, it supposed the matter of the solar system to have existed originally in the form of a vast, diffused, revolving nebula, which, gradually cooling and contracting, threw off, in obedience to mechanical and physical laws, succesive rings of matter, from which subsequently, by the same laws, were produced the several planets, satellites, and other bodies of the system. The phrase may indicate any hypothesis according to which the stars or the bodies of the solar system have been evolved from a widely diffused nebulous form of matter.
nebulated |Clouded with indistinct color markings, as an animal.
nebulation |The condition of being nebulated; also, a clouded, or ill- defined, color mark.
nebule |A little cloud; a cloud. [Obs.] O light without nebule. Old Ballad.\n\nComposed of successive short curves supposed to resemble a cloud; -- said of a heraldic line by which an ordinary or subordinary may be bounded.
nebulization |The act or process of nebulizing; atomization.
nebulize |To reduce (as a liquid) to a fine spray or vapor; to atomize.
nebulizer |An atomizer.
nebulose |Nebulous; cloudy. Derham.
nebulosity |1. The state or quality of being nebulous; cloudiness; hazeness; mistiness; nebulousness. The nebulosity ... of the mother idiom. I. Disraeli. 2. (Astron.) (a) The stuff of which a nebula is formed. (b) A nebula.
nebulous |1. Cloudy; hazy; misty. 2. (Astron.)  Of, pertaining to, or having the appearance of, a nebula; nebular; cloudlike. -- Neb\"u*lous*ly, adv. -- Neb\"u*lous*ness, n.
nebuly |Composed of successive short curves supposed to resemble a cloud; -- said of a heraldic line by which an ordinary or subordinary may be bounded.\n\nA line or a direction composed of successive short curves or waves supposed to resembe a cloud. See NÉbulÉ
necessarian |An advocate of the doctrine of philosophical necessity; a nacessitarian.\n\nOf or pertaining to necessarianism.
necessarianism |The doctrine of philosophical necessity; necessitarianism. Hixley.
necessarily |In a necessary manner; by necessity; unavoidably; indispensably.
necessary |1. Such as must be; impossible to be otherwise; not to be avoided; inevitable. Death, a necessary end, Will come when it will come. Shak. 2. Impossible to be otherwise, or to be dispensed with, without preventing the attainment of a desired result; indispensable; requiste; essential. \"'T is necessary he should die.\" Shak. A certain kind of temper is necessary to the pleasure and quiet of our minds. Tillotson. 3. Acting from necessity or compulsion; involuntary; -- opposed to free; as, whether man is a necessary or a free agent is a question much discussed.\n\n1. A thing that is necessary or indispensable to some purpose; something that one can not do without; a requisite; an essential; -- used chiefly in the plural; as, the necessaries of life. 2. A privy; a water-closet. 3. pl. (Law)  Such things, in respect to infants, lunatics, and married women, as are requisite for support suitable to station.
necessitarian |Of or pertaining to the doctrine of philosophical necessity in regard to the origin and existence of things, especially as applied to the actings or choices of the will; -- opposed to libertarian.\n\nOne who holds to the doctrine of necessitarianism.
necessitarianism |The doctrine of philosophical necessity; the doctrine that results follow by invariable sequence from causes, and esp. that the will is not free, but that human actions and choices result inevitably from motives; deteminism. M. Arnold.
necessitate |1. To make necessary or indispensable; to render unaviolable. Sickness [might] necessitate his removal from the court. South. This fact necessitates a second line. J. Peile. 2. To reduce to the necessity of; to force; to compel. The Marquis of Newcastle, being pressed on both sides, was necessitated to draw all his army into York. Clarendon.
necessitattion |The act of making necessary, or the state of being made necessary; compulsion. [R.] bp. Bramhall.
necessitous |1. Very needy or indigent; pressed with poverty. Necessitous heirs and penurious parents. Arbuthnot. 2. Narrow; destitute; pinching; pinched; as, necessitous circumstances. -- Ne*ces\"si*tous*ly, adv. -- Ne*ces\"si*tous*ness, n.
necessitude |1. Necessitousness; want. Sir M. Hale. 2. Necessary connection or relation. Between kings and their people, parents and their children, there is so great a necessitude, propriety, and intercourse of nature. Jer. Taylor.
necessity |1. The quality or state of being necessary, unavoidable, or absolutely requisite; inevitableness; indispensableness. 2. The condition of being needy or necessitous; pressing need; indigence; want. Urge the necessity and state of times. Shak. The extreme poverty and necessity his majesty was in. Clarendon. 3. That which is necessary; a necessary; a requisite; something indispensable; -- often in the plural. These should be hours for necessities, Not for delights. Shak. What was once to me Mere matter of the fancy, now has grown The vast necessity of heart and life. Tennyson. 4. That which makes an act or an event unavoidable; irresistible force; overruling power; compulsion, physical or moral; fate; fatality. So spake the fiend, and with necessity, The tyrant's plea, excused his devilish deeds. Milton. 5. (Metaph.)  The negation of freedom in voluntary action; the subjection of all phenomena, whether material or spiritual, to inevitable causation; necessitarianism. Of necessity, by necessary consequence; by compulsion, or irresistible power; perforce. Syn. -- See Need.
neck |1. The part of an animal which connects the head and the trunk, and which, in man and many other animals, is more slender than the trunk. 2. Any part of an inanimate object corresponding to or resembling the neck of an animal; as: (a) The long slender part of a vessel, as a retort, or of a fruit, as a gourd. (b) A long narrow tract of land projecting from the main body, or a narrow tract connecting two larger tracts. (c) (Mus.) That part of a violin, guitar, or similar instrument, which extends from the head to the body, and on which is the finger board or fret board. 3. (Mech.)  A reduction in size near the end of an object, formed by a groove around it; as, a neck forming the journal of a shaft. 4. (Bot.)  the point where the base of the stem of a plant arises from the root. Neck and crop, completely; wholly; altogether; roughly and at once. [Colloq.] -- Neck and neck (Racing), so nearly equal that one cannot be said to be before the other; very close; even; side by side. -- Neck of a capital. (Arch.) See Gorgerin. -- Neck of a cascabel (Gun.), the part joining the knob to the base of the breech. -- Neck of a gun, the small part of the piece between the chase and the swell of the muzzle. -- Neck of a tooth (Anat.), the constriction between the root and the crown. -- Neck or nothing (Fig.), at all risks. -- Neck verse. (a) The verse formerly read to entitle a party to the benefit of clergy, said to be the first verse of the fifty-first Psalm, \"Miserere mei,\" etc. Sir W. Scott. (b) Hence, a verse or saying, the utterance of which decides one's fate; a shibboleth. These words, \"bread and cheese,\" were their neck verse or shibboleth to distinguish them; all pronouncing \"broad and cause,\" being presently put to death. Fuller. -- Neck yoke. (a) A bar by which the end of the tongue of a wagon or carriage is suspended from the collars of the harnesses. (b) A device with projecting arms for carrying things (as buckets of water or sap) suspended from one's shoulders. -- On the neck of, immediately after; following closely. \"Commiting one sin on the neck of another.\" W. Perkins. -- Stiff neck, obstinacy in evil or wrong; inflexible obstinacy; contumacy. \"I know thy rebellion, and thy stiff neck.\" Deut. xxxi. 27. -- To break the neck of, to destroy the main force of. \"What they presume to borrow from her sage and virtuous rules... breaks the neck of their own cause.\" Milton. -- To harden the neck, to grow obstinate; to be more and more perverse and rebellious. Neh. ix. 17. -- To tread on the neck of, to oppress; to tyrannize over.\n\nTo reduce the diameter of (an object) near its end, by making a groove around it; -- used with down; as, to neck down a shaft. v. t. & i. To kiss and caress amorously. n. necking
neckar nut |See Nicker nut.
neckband |A band which goes around the neck; often, the part at the top of a garment.
neckcloth |A piece of any fabric worn around the neck.
necked |1. Having (such) a neck; -- chiefly used in composition; as, stiff- necked. 2. (Naut.)  Cracked; -- said of a treenail.
neckerchief |A kerchief for the neck; -- called also neck handkerchief.
necking |Same as Neckmold.
necklace |1. A string of beads, etc., or any continuous band or chain, worn around the neck as an ornament. 2. (Naut.)  A rope or chain fitted around the masthead to hold hanging blocks for jibs and stays.
necklaced |Wearing a necklace; marked as with a necklace. The hooded and the necklaced snake. Sir W. Jones.
neckland |A neck of land. [Obs.]
necklet |A necklace. E. Anold.
neckmold |A small convex molding surrounding a column at the jinction of the shaft and capital. Weale.
neckmould |A small convex molding surrounding a column at the jinction of the shaft and capital. Weale.
neckplate |See Gorget, 1 and 2.
necktie |A scarf, band, or kerchief of silk, etc., passing around the neck or collar and tied in front; a bow of silk, etc., fastened in front of the neck.
neckwear |A collective term for cravats, collars, etc. [Colloq. or trade name]
neckweed |(a) An American annual weed (veronica peregrina), with small white flowers and a roundish pod. (b) The hemp; -- so called as furnishing ropes for hanging criminals. Dr. prior.
necrobiosis |The death of a part by molecular disintegration and without loss of continuity, as in the processes of degeneration and atrophy. Virchow.
necrobiotic |Of or pertaining to necrobiosis; as, a necrobiotic metamorphosis.
necrolatry |The worship of the dead; manes worship. H. Spenser.
necrolite |Same as Necronite.
necrologic |Of or pertaining to necrology; of the nature of necrology; relating to, or giving, an account of the dead, or of deaths.
necrological |Of or pertaining to necrology; of the nature of necrology; relating to, or giving, an account of the dead, or of deaths.
necrologist |One who gives an account of deaths.
necrology |An account of deaths, or of the dead; a register of deaths; a collection of obituary notices.
necromancer |One who practices necromancy; a sorcerer; a wizard.
necromancy |The art of revealing future events by means of a pretended communication with the dead; the black art; hence, magic in general; conjuration; enchantment. See Black art. This palace standeth in the air, By necromancy placèd there. Drayton.
necromantic |Conjuration. [R.] With all the necromantics of their art. Young.\n\nOf or pertaining to necromancy; performed by necromancy. -- Nec`ro*man\"tic*al*ly, adv.
necromantical |Of or pertaining to necromancy; performed by necromancy. -- Nec`ro*man\"tic*al*ly, adv.
necronite |Fetid feldspar, a mineral which, when struck, exhales a fetid odor.
necrophagan |Eating carrion. -- n. (Zoöl.)  Any species of a tribe (Necrophaga) of beetles which, in the larval state, feed on carrion; a burying beetle.
necrophagous |Of or pertaining to the Necrophaga; eating carrion. See Necrophagan.
necrophobia |An exaggerated fear of death or horror of dead bodies.
necrophore |Any one of numerous species of beetles of the genus Necrophorus and allied genera; -- called also burying beetle, carrion beetle, sexton beetle.
necropolis |A city of the dead; a name given by the ancients to their cemeteries, and sometimes applied to modern burial places; a graveyard.
necropsy |A post-mortem examination or inspection; an autopsy. See Autopsy.
necroscopic |Or or relating to post-mortem examinations.
necroscopical |Or or relating to post-mortem examinations.
necrose |To affect with necrosis; to unergo necrosis. Quain.
necrosed |Affected by necrosis; dead; as, a necrosed bone. Dunglison.
