bergmaster |See Barmaster.
better |1. Having good qualities in a greater degree than another; as, a better man; a better physician; a better house; a better air. Could make the worse appear The better reason. Milton. 2. Preferable in regard to rank, value, use, fitness, acceptableness, safety, or in any other respect. To obey is better than sacrifice. 1 Sam. xv. 22. It is better to trust in the Lord than to put confidence in princes. Ps. cxviii. 9. 3. Greater in amount; larger; more. 4. Improved in health; less affected with disease; as, the patient is better. 5. More advanced; more perfect; as, upon better acquaintance; a better knowledge of the subject. All the better. See under All, adv. -- Better half, an expression used to designate one's wife. My dear, my better half (said he), I find I must now leave thee. Sir P. Sidney. -- To be better off, to be in a better condition. -- Had better. (See under Had). Note: The phrase had better, followed by an infinitive without to, is idiomatic. The earliest form of construction was \"were better\" with a dative; as, \"Him were better go beside.\" (Gower.) i. e., It would be better for him, etc. At length the nominative (I, he, they, etc.) supplanted the dative and had took the place of were. Thus we have the construction now used. By all that's holy, he had better starve Than but once think this place becomes thee not. Shak.\n\n1. Advantage, superiority, or victory; -- usually with of; as, to get the better of an enemy. 2. One who has a claim to precedence; a superior, as in merit, social standing, etc.; -- usually in the plural. Their betters would hardly be found. Hooker. For the better, in the way of improvement; so as to produce improvement. \"If I have altered him anywhere for the better.\" Dryden.\n\n1. In a superior or more excellent manner; with more skill and wisdom, courage, virtue, advantage, or success; as, Henry writes better than John; veterans fight better than recruits. I could have better spared a better man. Shak. 2. More correctly or thoroughly. The better to understand the extent of our knowledge. Locke. 3. In a higher or greater degree; more; as, to love one better than another. Never was monarch better feared, and loved. Shak. 4. More, in reference to value, distance, time, etc.; as, ten miles and better. [Colloq.] To think better of (any one), to have a more favorable opinion of any one. -- To think better of (an opinion, resolution, etc.), to reconsider and alter one's decision.\n\n1. To improve or ameliorate; to increase the good qualities of. Love betters what is best. Wordsworth. He thought to better his circumstances. Thackeray. 2. To improve the condition of, morally, physically, financially, socially, or otherwise. The constant effort of every man to better himself. Macaulay. 3. To surpass in excellence; to exceed; to excel. The works of nature do always aim at that which can not be bettered. Hooker. 4. To give advantage to; to support; to advance the interest of. [Obs.] Weapons more violent, when next we meet, May serve to better us and worse our foes. Milton. Syn. -- To improve; meliorate; ameliorate; mend; amend; correct; emend; reform; advance; promote.\n\nTo become better; to improve. Carlyle.\n\nOne who bets or lays a wager.
betterment |1. A making better; amendment; improvement. W. Montagu. 2. (Law)  An improvement of an estate which renders it better than mere repairing would do; -- generally used in the plural. [U. S.] Bouvier.
bettermost |Best. [R.] \"The bettermost classes.\" Brougham.
betterness |1. The quality of being better or superior; superiority. [R.] Sir P. Sidney. 2. The difference by which fine gold or silver exceeds in fineness the standard.
bettong |A small, leaping Australian marsupial of the genus Bettongia; the jerboa kangaroo.
bettor |One who bets; a better. Addison.
betty |1. Etym: [Supposed to be a cant word, from Betty, for Elizabeth, as such an instrument is also called Bess (i. e., Elizabeth) in the Canting Dictionary of 1725, and Jenny (i. e., Jane).]  A short bar used by thieves to wrench doors open. [Written also bettee.] The powerful betty, or the artful picklock. Arbuthnot. 2. Etym: [Betty, nickname for Elizabeth.]  A name of contempt given to a man who interferes with the duties of women in a household, or who occupies himself with womanish matters. 3. A pear-shaped bottle covered round with straw, in which olive oil is sometimes brought from Italy; -- called by chemists a Florence flask. [U. S.] Bartlett.
betulin |A substance of a resinous nature, obtained from the outer bark of the common European birch (Betula alba), or from the tar prepared therefrom; -- called also birch camphor. Watts.
betumble |To throw into disorder; to tumble. [R.] From her betumbled couch she starteth. Shak.
betutor |To tutor; to instruct. Coleridge.
between |1. In the space which separates; betwixt; as, New York is between Boston and Philadelphia. 2. Used in expressing motion from one body or place to another; from one to another of two. If things should go so between them. Bacon. 3. Belonging in common to two; shared by both. Castor and Pollux with only one soul between them. Locke. 4. Belonging to, or participated in by, two, and involving reciprocal action or affecting their mutual relation; as, opposition between science and religion. An intestine struggle, open or secret, between authority and liberty. Hume. 5. With relation to two, as involved in an act or attribute of which another is the agent or subject; as, to judge between or to choose between courses; to distinguish between you and me; to mediate between nations. 6. In intermediate relation to, in respect to time, quantity, or degree; as, between nine and ten o'clock. Between decks, the space, or in the space, between the decks of a vessel. -- Between ourselves, Between you and me, Between themselves, in confidence; with the understanding that the matter is not to be communicated to others. Syn. -- Between, Among. Between etymologically indicates only two; as, a quarrel between two men or two nations; to be between two fires, etc. It is however extended to more than two in expressing a certain relation. I . . . hope that between public business, improving studies, and domestic pleasures, neither melancholy nor caprice will find any place for entrance. Johnson. Among implies a mass or collection of things or persons, and always supposes more than two; as, the prize money was equally divided among the ship's crew.\n\nIntermediate time or space; interval. [Poetic & R.] Shak.
betwixt |1. In the space which separates; between. From betwixt two aged oaks. Milton. 2. From one to another of; mutually affecting. There was some speech of marriage Betwixt myself and her. Shak. Betwixt and between, in a midway position; so-so; neither one thing nor the other. [Colloq.]
beurre |A beurré (or buttery) pear, one with the meas, Beurré d'Anjou; Beurré Clairgeau.
bevel |1. Any angle other than a right angle; the angle which one surface makes with another when they are not at right angles; the slant or inclination of such surface; as, to give a bevel to the edge of a table or a stone slab; the bevel of a piece of timber. 2. An instrument consisting of two rules or arms, jointed together at one end, and opening to any angle, for adjusting the surfaces of work to the same or a given inclination; -- called also a bevel square. Gwilt.\n\n1. Having the slant of a bevel; slanting. 2. Hence: Morally distorted; not upright. [Poetic] I may be straight, though they themselves be bevel. Shak. A bevel angle, any angle other than one of 90º. -- Bevel wheel, a cogwheel whose working face is oblique to the axis. Knight.\n\nTo cut to a bevel angle; to slope the edge or surface of.\n\nTo deviate or incline from an angle of 90 Their houses are very ill built, the walls bevel. Swift.
bevel gear |A kind of gear in which the two wheels working together lie in different planes, and have their teeth cut at right angles to the surfaces of two cones whose apices coincide with the point where the axes of the wheels would meet.
beveled |1. Formed to a bevel angle; sloping; as, the beveled edge of a table. 2. (Min.) Replaced by two planes inclining equally upon the adjacent planes, as an edge; having its edges replaces by sloping planes, as a cube or other solid.
bevelled |1. Formed to a bevel angle; sloping; as, the beveled edge of a table. 2. (Min.) Replaced by two planes inclining equally upon the adjacent planes, as an edge; having its edges replaces by sloping planes, as a cube or other solid.
bevelment |The replacement of an edge by two similar planes, equally inclined to the including faces or adjacent planes.
bever |A light repast between meals; a lunch. [Obs.] Beau. & Fl.\n\nTo take a light repast between meals. [Obs.]
beverage |1. Liquid for drinking; drink; -- usually applied to drink artificially prepared and of an agreeable flavor; as, an intoxicating beverage. He knew no beverage but the flowing stream. Thomson. 2. Specifically, a name applied to various kinds of drink. 3. A treat, or drink money. [Slang]
bevile |A chief broken or opening like a carpenter's bevel. Encyc. Brit.
beviled |Notched with an angle like that inclosed by a carpenter's bevel; -- said of a partition line of a shield.
bevilled |Notched with an angle like that inclosed by a carpenter's bevel; -- said of a partition line of a shield.
bevy |1. A company; an assembly or collection of persons, especially of ladies. What a bevy of beaten slaves have we here ! Beau. & Fl. 2. A flock of birds, especially quails or larks; also, a herd of roes.
bewail |To express deep sorrow for, as by wailing; to lament; to wail over. Hath widowed and unchilded many a one, Which to this hour bewail the injury. Shak. Syn. -- To bemoan; grieve. -- See Deplore.\n\nTo express grief; to lament. Shak.
bewailable |Such as may, or ought to, be bewailed; lamentable.
bewailer |One who bewails or laments.
bewailing |Wailing over; lamenting. -- Be*wail\"ing*ly, adv.
bewailment |The act of bewailing.
bewake |To keep watch over; to keep awake. [Obs.] Gower.
beware |1. To be on one's guard; to be cautious; to take care; -- commonly followed by of or lest before the thing that is to be avoided. Beware of all, but most beware of man ! Pope. Beware the awful avalanche. Longfellow. 2. To have a special regard; to heed. [Obs.] Behold, I send an Angel before thee. . . . Beware of him, and obey his voice. Ex. xxiii. 20, 21. Note: This word is a compound from be and the Old English ware, now wary, which is an adjective. \"Be ye war of false prophetis.\" Wyclif, Matt. vii. 15. It is used commonly in the imperative and infinitive modes, and with such auxiliaries (shall, should, must, etc.) as go with the infinitive.\n\nTo avoid; to take care of; to have a care for. [Obs.] \"Priest, beware your beard.\" Shak. To wish them beware the son. Milton.
bewash |To drench or souse with water. \"Let the maids bewash the men.\" Herrick.
beweep |To weep over; to deplore; to bedew with tears. \"His timeless death beweeping.\" Drayton.\n\nTo weep. [Obs.] Chaucer.
bewet |To wet or moisten. Gay.
bewhore |1. To corrupt with regard to chastity; to make a whore of. J. Fletcher. 2. To pronounce or characterize as a whore. Shak.
bewig |To cover (the head) with a wig. Hawthorne.
bewilder |To lead into perplexity or confusion, as for want of a plain path; to perplex with mazes; or in general, to perplex or confuse greatly. Lost and bewildered in the fruitless search. Addison. Syn. -- To perplex; puzzle; entangle; confuse; confound; mystify; embarrass; lead astray.
bewildered |Greatly perplexed; as, a bewildered mind.
bewilderedness |The state of being bewildered; bewilderment. [R.]
bewildering |Causing bewilderment or great perplexity; as, bewildering difficulties. -- Be*wil\"der*ing*ly, adv.
bewilderment |1. The state of being bewildered. 2. A bewildering tangle or confusion. He . . . soon lost all traces of it amid bewilderment of tree trunks and underbrush. Hawthorne.
bewinter |To make wintry. [Obs.]
bewit |A double slip of leather by which bells are fastened to a hawk's legs.
bewitch |1. To gain an ascendency over by charms or incantations; to affect (esp. to injure) by witchcraft or sorcery. See how I am bewitched; behold, mine arm Is like a blasted sapling withered up. Shak. 2. To charm; to fascinate; to please to such a degree as to take away the power of resistance; to enchant. The charms of poetry our souls bewitch. Dryden. Syn. -- To enchant; captivate; charm; entrance.
bewitchedness |The state of being bewitched. Gauden.
bewitcher |One who bewitches.
bewitchery |The power of bewitching or fascinating; bewitchment; charm; fascination. There is a certain bewitchery or fascination in words. South.
bewitching |Having power to bewitch or fascinate; enchanting; captivating; charming. -- Be*witch\"ing*ly, adv. -- Be*witch\"ing*ness, n.
bewitchment |1. The act of bewitching, or the state of being bewitched. Tylor. 2. The power of bewitching or charming. Shak.
bewonder |1. To fill with wonder. [Obs.] 2. To wonder at; to admire. [Obs.]
bewrap |To wrap up; to cover. Fairfax.
bewray |To soil. See Beray.\n\nTo expose; to reveal; to disclose; to betray. [Obs. or Archaic] The murder being once done, he is in less fear, and in more hope that the deed shall not be bewrayed or known. Robynson (More's Utopia. ) Thy speech bewrayeth thee. Matt. xxvi. 73.
bewrayer |One who, or that which, bewrays; a revealer. [Obs. or Archaic] Addison.
bewrayment |Betrayal. [R.]
bewreck |To wreck. [Obs.]
bewreke |To wreak; to avenge. [Obs.] Ld. Berners.
bewrought |Embroidered. [Obs.] B. Jonson.
bey |A governor of a province or district in the Turkish dominions; also, in some places, a prince or nobleman; a beg; as, the bey of Tunis.
beylic |The territory ruled by a bey.
beyond |1. On the further side of; in the same direction as, and further on or away than. Beyond that flaming hill. G. Fletcher. 2. At a place or time not yet reached; before. A thing beyond us, even before our death. Pope. 3. Past, out of the reach or sphere of; further than; greater than; as, the patient was beyond medical aid; beyond one's strength. 4. In a degree or amount exceeding or surpassing; proceeding to a greater degree than; above, as in dignity, excellence, or quality of any kind. \"Beyond expectation.\" Barrow. Beyond any of the great men of my country. Sir P. Sidney. Beyond sea. (Law) See under Sea. -- To go beyond, to exceed in ingenuity, in research, or in anything else; hence, in a bed sense, to deceive or circumvent. That no man go beyond and defraud his brother in any matter. 1 Thess. iv. 6.\n\nFurther away; at a distance; yonder. Lo, where beyond he lyeth languishing. Spenser.
bez-antler |The second branch of a stag's horn.
bezant |1. A gold coin of Byzantium or Constantinople, varying in weight and value, usually (those current in England) between a sovereign and a half sovereign. There were also white or silver bezants. [Written also besant, byzant, etc.] 2. (Her.)  A circle in or, i. e., gold, representing the gold coin called bezant. Burke. 3. A decoration of a flat surface, as of a band or belt, representing circular disks lapping one upon another.
bezel |The rim which encompasses and fastens a jewel or other object, as the crystal of a watch, in the cavity in which it is set.
bezique |A game at cards in which various combinations of cards in the hand, when declared, score points.
bezoar |A calculous concretion found in the intestines of certain ruminant animals (as the wild goat, the gazelle, and the Peruvian llama) formerly regarded as an unfailing antidote for poison, and a certain remedy for eruptive, pestilential, or putrid diseases. Hence: Any antidote or panacea. Note: Two kinds were particularly esteemed, the Bezoar orientale of India, and the Bezoar occidentale of Peru. Bezoar antelope. See Antelope. -- Bezoar goat (Zoöl.), the wild goat (Capra ægagrus). -- Bezoar mineral, an old preparation of oxide of antimony. Ure.
bezoardic |Pertaining to, or compounded with, bezoar. -- n.  A medicine containing bezoar.
bezoartic |Having the qualities of an antidote, or of bezoar; healing. [Obs.]
bezoartical |Having the qualities of an antidote, or of bezoar; healing. [Obs.]
bezonian |A low fellow or scoundrel; a beggar. Great men oft die by vile bezonians. Shak.
bezpopovtsy |A Russian sect. See Raskolnik.
bezzle |To plunder; to waste in riot. [Obs.]\n\nTo drink to excess; to revel. [Obs.]
bhang |An astringent and narcotic drug made from the dried leaves and seed capsules of wild hemp (Cannabis Indica), and chewed or smoked in the East as a means of intoxication. See Hasheesh.
bheestie |A water carrier, as to a household or a regiment. [India]
bheesty |A water carrier, as to a household or a regiment. [India]
bhistee |Same as Bheesty. [India]
bhisti |Same as Bheesty. [India]
bhunder |An Indian monkey (Macacus Rhesus), protected by the Hindoos as sacred. See Rhesus.
bi |1. In most branches of science bi- in composition denotes two, twice, or doubly; as, bidentate, two-toothed; biternate, doubly ternate, etc. 2. (Chem.)  In the composition of chemical names bi- denotes two atoms, parts, or equivalents of that constituent to the name of which it is prefixed, to one of the other component, or that such constituent is present in double the ordinary proportion; as, bichromate, bisulphide. Be- and di- are often used interchangeably.
bi- |1. In most branches of science bi- in composition denotes two, twice, or doubly; as, bidentate, two-toothed; biternate, doubly ternate, etc. 2. (Chem.)  In the composition of chemical names bi- denotes two atoms, parts, or equivalents of that constituent to the name of which it is prefixed, to one of the other component, or that such constituent is present in double the ordinary proportion; as, bichromate, bisulphide. Be- and di- are often used interchangeably.
biacid |Having two hydrogen atoms which can be replaced by negative atoms or radicals to form salts; -- said of bases. See Diacid.
biacuminate |Having points in two directions.
biangular |Having two angles or corners.
biangulate |Biangular.
biangulated |Biangular.
biangulous |Biangular. [R.]
biannual |Occurring twice a year; half-yearly; semiannual.
biantheriferous |Having two anthers.
biarticulate |Having, or consisting of, tow joints.
bias |1. A weight on the side of the ball used in the game of bowls, or a tendency imparted to the ball, which turns it from a straight line. Being ignorant that there is a concealed bias within the spheroid, which will . . . swerve away. Sir W. Scott. 2. A learning of the mind; propensity or prepossession toward an object or view, not leaving the mind indifferent; bent inclination. Strong love is a bias upon the thoughts. South. Morality influences men's lives, and gives a bias to all their actions. Locke. 3. A wedge-shaped piece of cloth taken out of a garment (as the waist of a dress) to diminish its circumference. 4. A slant; a diagonal; as, to cut cloth on the bias. Syn. -- Prepossession; prejudice; partiality; inclination. See Bent.\n\n1. Inclined to one side; swelled on one side. [Obs.] Shak. 2. Cut slanting or diagonally, as cloth.\n\nIn a slanting manner; crosswise; obliquely; diagonally; as, to cut cloth bias.\n\nTo incline to one side; to give a particular direction to; to influence; to prejudice; to prepossess. Me it had not biased in the one direction, nor should it have biased any just critic in the counter direction. De. Quincey.
biauriculate |1. (Anat.)  Having two auricles, as the heart of mammals, birds, and reptiles. 2. (Bot. & Zoöl.)  Having two earlike projections at its base, as a leaf.
biaxal |Having two axes; as, biaxial polarization. Brewster. -- Bi*ax\"i*al*ly, adv.
biaxial |Having two axes; as, biaxial polarization. Brewster. -- Bi*ax\"i*al*ly, adv.
bib |1. A small piece of cloth worn by children over the breast, to protect the clothes. 2. (Zoöl.)  An arctic fish (Gadus luscus), allied to the cod; -- called also pout and whiting pout. 3. A bibcock.\n\nTo drink; to tipple. [Obs.] This miller hath . . . bibbed ale. Chaucer.\n\nTo drink; to sip; to tipple. He was constantly bibbing. Locke.
bibacious |Addicted to drinking.
bibacity |The practice or habit of drinking too much; tippling. Blount.
bibasic |Having to hydrogen atoms which can be replaced by positive or basic atoms or radicals to form salts; -- said of acids. See Dibasic.
bibb |A bibcock. See Bib, n., 3.
bibbe |To drink; to tipple. [Obs.] This miller hath . . . bibbed ale. Chaucer.
bibber |One given to drinking alcoholic beverages too freely; a tippler; -- chiefly used in composition; as, winebibber.
bibble-babble |Idle talk; babble. Shak.
bibbs |Pieces of timber bolted to certain parts of a mast tp support the trestletrees.
bibcock |A cock or faucet having a bent down nozzle. Knight.
bibelot |A small decorative object without practical utility. Her pictures, her furniture, and her bibelots. M. Crawford.
bibirine |See Bebeerine.
bibitory |Of or pertaining to drinking or tippling.
bible |1. A book. [Obs.] Chaucer. 2. The Book by way of eminence, -- that is, the book which is made up of the writings accepted by Christians as of divine origin and authority, whether such writings be in the original language, or translated; the Scriptures of the Old and New Testaments; -- sometimes in a restricted sense, the Old Testament; as, King James's Bible; Douay Bible; Luther's Bible. Also, the book which is made up of writings similarly accepted by the Jews; as, a rabbinical Bible. 3. A book containing the sacred writings belonging to any religion; as, the Koran is often called the Mohammedan Bible. Fig.)  A book with an authoritative exposition of some topic, respected by many experts on the field. Bible Society, an association for securing the multiplication and wide distribution of the Bible. -- Douay Bible. See Douay Bible. -- Geneva Bible. See under Geneva.
bibler |A great drinker; a tippler. [Written also bibbler and bibbeler.]
biblical |Pertaining to, or derived from, the Bible; as, biblical learning; biblical authority.
biblicality |The quality of being biblical; a biblical subject. [R.]
biblically |According to the Bible.
biblicism |Learning or literature relating to the Bible. [R.]
biblicist |One skilled in the knowledge of the Bible; a demonstrator of religious truth by the Scriptures.
bibliograph |Bibliographer.
bibliographer |One who writes, or is versed in, bibliography.
bibliographic |Pertaining to bibliography, or the history of books. -- Bib`li*o*graph\"ic*al*ly, adv.
bibliographical |Pertaining to bibliography, or the history of books. -- Bib`li*o*graph\"ic*al*ly, adv.
bibliography |A history or description of books and manuscripts, with notices of the different editions, the times when they were printed, etc.
bibliolater |A worshiper of books; especially, a worshiper of the Bible; a believer in its verbal inspiration. De Quincey.
bibliolatrist |A worshiper of books; especially, a worshiper of the Bible; a believer in its verbal inspiration. De Quincey.
bibliolatry |Book worship, esp. of the Bible; -- applied by Roman Catholic divine Coleridge. F. W. Newman.
bibliological |Relating to bibliology.
bibliology |1. An account of books; book lore; bibliography. 2. The literature or doctrine of the Bible.
bibliomancy |A kind of divination, performed by selecting passages of Scripture at hazard, and drawing from them indications concerning future events.
bibliomania |A mania for acquiring books.
bibliomaniac |One who has a mania for books. -- a.  Relating to a bibliomaniac.
bibliomaniacal |Pertaining to a passion for books; relating to a bibliomaniac.
bibliopegic |Relating to the binding of books. [R.]
bibliopegist |A bookbinder.
bibliopegistic |Pertaining to the art of binding books. [R.] Dibdin.
bibliopegy |The art of binding books. [R.]
bibliophile |A lover of books.
bibliophilism |Love of books.
bibliophilist |A lover of books.
bibliophobia |A dread of books. [R.]
bibliopolar |Of or pertaining to the sale of books. \"Bibliopolic difficulties.\" Carlyle.
bibliopole |One who sells books.
bibliopolic |Of or pertaining to the sale of books. \"Bibliopolic difficulties.\" Carlyle.
bibliopolism |The trade or business of selling books.
bibliopolist |Same as Bibliopole.
bibliopolistic |Of or pertaining to bibliopolism. Dibdin.
bibliotaph |One who hides away books, as in a tomb. [R.] Crabb.
bibliotaphist |One who hides away books, as in a tomb. [R.] Crabb.
bibliothec |A librarian.
bibliotheca |A library.
bibliothecal |Belonging to a library. Byrom.
bibliothecary |A librarian. [Obs.] Evelin.
bibliotheke |A library. [Obs.] Bale.
biblist |1. One who makes the Bible the sole rule of faith. 2. A biblical scholar; a biblicist. I. Taylor.
bibracteate |Furnished with, or having, two bracts.
bibulous |1. Readily imbibing fluids or moisture; spongy; as, bibulous blotting paper. 2. Inclined to drink; addicted to tippling.
bibulously |In a bibulous manner; with profuse imbibition or absorption. De Quincey.
bicalcarate |Having two spurs, as the wing or leg of a bird.
bicallose |Having two callosities or hard spots. Gray.
bicallous |Having two callosities or hard spots. Gray.
bicameral |Consisting of, or including, two chambers, or legislative branches. Bentham.
bicapsular |Having two capsules; as, a bicapsular pericarp.
bicarbonate |A carbonate in which but half the hydrogen of the acid is replaced by a positive element or radical, thus making the proportion of the acid to the positive or basic portion twice what it is in the normal carbonates; an acid carbonate; -- sometimes called supercarbonate.
bicarbureted |Containing two atoms or equivalents of carbon in the molecule. [Obs. or R.]
bicarburetted |Containing two atoms or equivalents of carbon in the molecule. [Obs. or R.]
bicarinate |Having two keel-like projections, as the upper palea of grasses.
bicaudal |Having, or terminating in, two tails.
bicaudate |Two-tailed; bicaudal.
bicched |Pecked; pitted; notched. [Obs.] Chaucer. Bicched bones, pecked, or notched, bones; dice.
bice |A pale blue pigment, prepared from the native blue carbonate of copper, or from smalt; -- called also blue bice. Green bice is prepared from the blue, by adding yellow orpiment, or by grinding down the green carbonate of copper. Cooley. Brande & C.
bicentenary |Of or pertaining to two hundred, esp. to two hundred years; as, a bicentenary celebration. -- n.  The two hundredth anniversary, or its celebration.
bicentennial |1. Consisting of two hundred years. 2. Occurring every two hundred years.\n\nThe two hundredth year or anniversary, or its celebration.
bicephalous |Having two heads.
biceps |A muscle having two heads or origins; -- applied particularly to a flexor in the arm, and to another in the thigh.
bichir |A remarkable ganoid fish (Polypterus bichir) found in the Nile and other African rivers. See Brachioganoidei.
bichloride |A compound consisting of two atoms of chlorine with one or more atoms of another element; -- called also dichloride. Bichloride of mercury, mercuric chloride; -- sometimes called corrosive sublimate.
bicho |See Jigger.
bichromate |A salt containing two parts of chromic acid to one of the other ingredients; as, potassium bichromate; -- called also dichromate.
bichromatize |To combine or treat with a bichromate, esp. with bichromate of potassium; as, bichromatized gelatine.
bicipital |1. (Anat.) (a) Having two heads or origins, as a muscle. (b) Pertaining to a biceps muscle; as, bicipital furrows, the depressions on either side of the biceps of the arm. 2. (Bot.)  Dividing into two parts at one extremity; having two heads or two supports; as, a bicipital tree.
bicipitous |Having two heads; bicipital. \"Bicipitous serpents.\" Sir T. Browne.
bicker |A small wooden vessel made of staves and hoops, like a tub. [Prov. Eng.]\n\n1. To skirmish; to exchange blows; to fight. [Obs.] Two eagles had a conflict, and bickered together. Holland. 2. To contend in petulant altercation; to wrangle. Petty things about which men cark and bicker. Barrow. 3. To move quickly and unsteadily, or with a pattering noise; to quiver; to be tremulous, like flame. They [streamlets] bickered through the sunny shade. Thomson.\n\n1. A skirmish; an encounter. [Obs.] 2. A fight with stones between two parties of boys. [Scot.] Jamieson. 3. A wrangle; also, a noise,, as in angry contention.
bickerer |One who bickers.
bickering |1. A skirmishing. \"Frays and bickerings.\" Milton. 2. Altercation; wrangling.
bickerment |Contention. [Obs.] Spenser.
bickern |An anvil ending in a beak or point (orig. in two beaks); also, the beak or horn itself.
bickford fuse |A fuse used in blasting, consisting of a long cylinder of explosive material inclosed in a varnished wrapping of rope or hose. It burns from 2 to 4 feet a minute.
bickford fuze |A fuse used in blasting, consisting of a long cylinder of explosive material inclosed in a varnished wrapping of rope or hose. It burns from 2 to 4 feet a minute.
bickford match |A fuse used in blasting, consisting of a long cylinder of explosive material inclosed in a varnished wrapping of rope or hose. It burns from 2 to 4 feet a minute.
bicolligate |Having the anterior toes connected by a basal web.
bicolor |Of two colors.
bicolored |Of two colors.
biconcave |Concave on both sides; as, biconcave vertebræ.
biconjugate |Twice paired, as when a petiole forks twice. Gray.
biconvex |Convex on both sides; as, a biconvex lens.
bicorn |Having two horns; two-horned; crescentlike.
bicorned |Having two horns; two-horned; crescentlike.
bicornous |Having two horns; two-horned; crescentlike.
bicorporal |Having two bodies.
bicorporate |Double-bodied, as a lion having one head and two bodies.
bicostate |Having two principal ribs running longitudinally, as a leaf.
bicrenate |Twice crenated, as in the case of leaves whose crenatures are themselves crenate.
bicrescentic |Having the form of a double crescent.
bicrural |Having two legs. Hooker.
bicuspid |Having two points or prominences; ending in two points; -- said of teeth, leaves, fruit, etc.\n\nOne of the two double-pointed teeth which intervene between the canines (cuspids) and the molars, on each side of each jaw. See Tooth, n.
bicuspidate |Having two points or prominences; ending in two points; -- said of teeth, leaves, fruit, etc.
bicyanide |See Dicyanide.
bicycle |A light vehicle having two wheels one behind the other. It has a saddle seat and is propelled by the rider's feet acting on cranks or levers.
bicycler |One who rides a bicycle.
bicyclic |Relating to bicycles.
bicycling |The use of a bicycle; the act or practice of riding a bicycle.
bicyclism |The art of riding a bicycle.
bicyclist |A bicycler.
bicycular |Relating to bicycling.
bid |1. To make an offer of; to propose. Specifically : To offer to pay ( a certain price, as for a thing put up at auction), or to take (a certain price, as for work to be done under a contract). 2. To offer in words; to declare, as a wish, a greeting, a threat, or defiance, etc.; as, to bid one welcome; to bid good morning, farewell, etc. Neither bid him God speed. 2. John 10. He bids defiance to the gaping crowd. Granrille. 3. To proclaim; to declare publicly; to make known. [Mostly obs.] \"Our banns thrice bid !\" Gay. 4. To order; to direct; to enjoin; to command. That Power who bids the ocean ebb and flow. Pope Lord, if it be thou, bid me come unto thee. Matt. xiv. 28 I was bid to pick up shells. D. Jerrold. 5. To invite; to call in; to request to come. As many as ye shall find, bid to the marriage. Matt. xxii. 9 To bid beads, to pray with beads, as the Roman Catholics; to distinguish each bead by a prayer. [Obs.] -- To bid defiance to , to defy openly; to brave. -- To bid fair, to offer a good prospect; to make fair promise; to seem likely. Syn. -- To offer; proffer; tender; propose; order; command; direct; charge; enjoin.\n\nimp. & p. p. of Bid.\n\nAn offer of a price, especially at auctions; a statement of a sum which one will give for something to be received, or will take for something to be done or furnished; that which is offered.\n\n1. To pray. [Obs.] Chaucer. 2. To make a bid; to state what one will pay or take.
bidale |An invitation of friends to drink ale at some poor man's house, and there to contribute in charity for his relief. [Prov. Eng.]
bidarka |A portable boat made of skins stretched on a frame. [Alaska] The Century.
bidarkee |A portable boat made of skins stretched on a frame. [Alaska] The Century.
biddable |Obedient; docile. [Scot.]
bidden |of Bid.
bidder |One who bids or offers a price. Burke.
biddery ware |A kind of metallic ware made in India. The material is a composition of zinc, tin, and lead, in which ornaments of gold and silver are inlaid or damascened. [Spelt also bidry, bidree, bedery, beder.]
bidding |1. Command; order; a proclamation or notifying. \"Do thou thy master's bidding.\" Shak. 2. The act or process of making bids; an offer; a proposal of a price, as at an auction.
bidding prayer |1. (R. C. Ch.)  The prayer for the souls of benefactors, said before the sermon. 2. (Angl. Ch.)  The prayer before the sermon, with petitions for various specified classes of persons.
biddy |A name used in calling a hen or chicken. Shak.\n\nAn Irish serving woman or girl. [Colloq.]
bide |1. To dwell; to inhabit; to abide; to stay. All knees to thee shall bow of them that bide In heaven or earth, or under earth, in hell. Milton. 2. To remain; to continue or be permanent in a place or state; to continue to be. Shak.\n\n1. To encounter; to remain firm under (a hardship); to endure; to suffer; to undergo. Poor naked wretches, wheresoe'er you are, That bide the pelting of this pitiless storm. Shak. 2. To wait for; as, I bide my time. See Abide.
bident |An instrument or weapon with two prongs.
bidental |Having two teeth. Swift.
bidentate |Having two teeth or two toothlike processes; two-toothed.
bidet |1. A small horse formerly allowed to each trooper or dragoon for carrying his baggage. B. Jonson. 2. A kind of bath tub for sitting baths; a sitz bath.
bidigitate |Having two fingers or fingerlike projections.
biding |Residence; habitation. Rowe. BIELA'S COMET Bie\"la's com\"et. (Astron.)  A periodic coment, discovered by Biela in 1826, which revolves around the sun in 6.6 years. The November meteors (Andromedes or Bielids) move in its orbit, and may be fragments of the comet.
bield |A shelter. Same as Beild. [Scot.]\n\nTo shelter. [Scot.]
bielid |See Andromede.
biennial |1. Happening, or taking place, once in two years; as, a biennial election. 2. (Bot.)  Continuing for two years, and then perishing, as plants which form roots and leaves the first year, and produce fruit the second.\n\n1. Something which takes place or appears once in two years; esp. a biennial examination. 2. (Bot.)  A plant which exists or lasts for two years.
biennially |Once in two years.
bier |1. A handbarrow or portable frame on which a corpse is placed or borne to the grave. 2. (Weaving)  A count of forty threads in the warp or chain of woolen cloth. Knight.
bierbalk |A church road (e. g., a path across fields) for funerals. [Obs.] Homilies.
biestings |The first milk given by a cow after calving. B. Jonson. The thick and curdy milk . . . commonly called biestings. Newton. (1574).
bifacial |Having the opposite surfaces alike.
