displosive |Explosive.
dissipate |1. To scatter completely; to disperse and cause to disappear; -- used esp. of the dispersion of things that can never again be collected or restored. Dissipated those foggy mists of error. Selden. I soon dissipated his fears. Cook. The extreme tendency of civilization is to dissipate all intellectual energy. Hazlitt. 2. To destroy by wasteful extravagance or lavish use; to squander. The vast wealth . . . was in three years dissipated. Bp. Burnet. Syn. -- To disperse; scatter; dispel; spend; squander; waste; consume; lavish.\n\n1. To separate into parts and disappear; to waste away; to scatter; to disperse; to vanish; as, a fog or cloud gradually dissipates before the rays or heat of the sun; the heat of a body dissipates. 2. To be extravagant, wasteful, or dissolute in the pursuit of pleasure; to engage in dissipation.
dissipated |1. Squandered; scattered. \"Dissipated wealth.\" Johnson. 2. Wasteful of health, money, etc., in the pursuit of pleasure; dissolute; intemperate. A life irregular and dissipated. Johnson.
dissipation |1. The act of dissipating or dispersing; a state of dispersion or separation; dispersion; waste. Without loss or dissipation of the matter. Bacon. The famous dissipation of mankind. Sir M. Hale. 2. A dissolute course of life, in which health, money, etc., are squandered in pursuit of pleasure; profuseness in vicious indulgence, as late hours, riotous living, etc.; dissoluteness. To reclaim the spendthrift from his dissipation and extravagance. P. Henry. 3. A trifle which wastes time or distracts attention. Prevented from finishing them [the letters] a thousand avocations and dissipations. Swift. Dissipation of energy. Same as Degradation of energy, under Degradation.
dissipative |Tending to dissipate. Dissipative system (Mech.), an assumed system of matter and motions in which forces of friction and resistances of other kinds are introduced without regard to the heat or other molecular actions which they generate; -- opposed to conservative system.
dissipativity |The rate at which palpable energy is dissipated away into other forms of energy.
dissite |Lying apart. [Obs.] Lands far dissite and remote asunder. Holland.
disslander |To slander. [Obs.] Legend of Dido.\n\nSlander. [Obs.] E. Hall.
disslanderous |Slanderous. [Obs.]
dissociability |Want of sociability; unsociableness. Bp. Warburton.
dissociable |1. Not They came in two and two, though matched in the most dissociable manner. Spectator. 2. Having a tendency to dissolve social connections; unsuitable to society; unsociable.
dissocial |Unfriendly to society; contracted; selfish; as, dissocial feelings.
dissocialize |To render unsocial.
dissociate |To separate from fellowship or union; to disunite; to disjoin; as, to dissociate the particles of a concrete substance. Before Wyclif's death in 1384, John of Gaunt had openly dissociated himself from the reformer. A. W. Ward.
dissociation |1. The act of dissociating or disuniting; a state of separation; disunion. It will add infinitely dissociation, distraction, and confusion of these confederate republics. Burke. 2. (Chem.)  The process by which a compound body breaks up into simpler constituents; -- said particularly of the action of heat on gaseous or volatile substances; as, the dissociation of the sulphur molecules; the dissociation of ammonium chloride into hydrochloric acid and ammonia.
dissociative |Tending or leading to dissociation.
dissolubility |The quality of being dissoluble; capacity of being dissoluble; capacity of being dissolved by heat or moisture, and converted into a fluid.
dissoluble |1. Capable of being dissolved; having its parts separable by heat or moisture; convertible into a fluid. Woodward. 2. Capable of being disunited.
dissolubleness |The quality of being dissoluble; dissolubility. Boyle.
dissolute |1. With nerves unstrung; weak. [Obs.] Spenser. 2. Loosed from restraint; esp., loose in morals and conduct; recklessly abandoned to sensual pleasures; profligate; wanton; lewd; debauched. \"A wild and dissolute soldier.\" Motley. Syn. -- Uncurbed; unbridled; disorderly; unrestrained; reckless; wild; wanton; vicious; lax; licentious; lewd;
dissolutely |In a dissolute manner.
dissoluteness |State or quality of being dissolute; looseness of morals and manners; addictedness to sinful pleasures; debauchery; dissipation. Chivalry had the vices of dissoluteness. Bancroft.
dissolution |1. The act of dissolving, sundering, or separating into component parts; separation. Dissolutions of ancient amities. Shak. 2. Change from a solid to a fluid state; solution by heat or moisture; liquefaction; melting. 3. Change of form by chemical agency; decomposition; resolution. The dissolution of the compound. South. 4. The dispersion of an assembly by terminating its sessions; the breaking up of a partnership. Dissolution is the civil death of Parliament. Blackstone. 5. The extinction of life in the human body; separation of the soul from the body; death. We expected Immediate dissolution. Milton. 6. The state of being dissolved, or of undergoing liquefaction. A man of continual dissolution and thaw. Shak. 7. The new product formed by dissolving a body; a solution. Bacon. 8. Destruction of anything by the separation of its parts; ruin. To make a present dissolution of the world. Hooker. 9. Corruption of morals; dissipation; dissoluteness. [Obs. or R.] Atterbury.
dissolvability |Capacity of being dissolved; solubility. Richardson.
dissolvable |Capable of being dissolved, or separated into component parts; capable of being liquefied; soluble. -- Dis*solv\"a*ble*ness, n. Though everything which is compacted be in its own nature dissolvable. Cudworth. Such things as are not dissolvable by the moisture of the tongue. Sir I. Newton.
dissolvative |Having the power to dissolve anything; solvent. [Obs.] Frampton.
dissolve |1. To separate into competent parts; to disorganize; to break up; hence, to bring to an end by separating the parts, sundering a relation, etc.; to terminate; to destroy; to deprive of force; as, to dissolve a partnership; to dissolve Parliament. Lest his ungoverned rage dissolve the life. Shak. 2. To break the continuity of; to disconnect; to disunite; to sunder; to loosen; to undo; to separate. Nothing can dissolve us. Shak. Down fell the duke, his joints dissolved asunder. Fairfax. For one people to dissolve the political bands which have connected them with another. The Declaration of Independence. 3. To convert into a liquid by means of heat, moisture, etc.,; to melt; to liquefy; to soften. As if the world were all dissolved to tears. Shak. 4. To solve; to clear up; to resolve. \"Dissolved the mystery.\" Tennyson. Make interpretations and dissolve doubts. Dan. v. 16. 5. To relax by pleasure; to make powerless. Angels dissolved in hallelujahs lie. Dryden. 6. (Law)  To annul; to rescind; to discharge or release; as, to dissolve an injunction. Syn. -- See Adjourn.\n\n1. To waste away; to be dissipated; to be decomposed or broken up. 2. To become fluid; to be melted; to be liquefied. A figure Trenched in ice, which with an hour's heat Dissolves to water, and doth lose his form. Shak. 3. To fade away; to fall to nothing; to lose power. The charm dissolves apace. Shak.
dissolvent |Having power to dissolve power to dissolve a solid body; as, the dissolvent juices of the stomach. Ray.\n\n1. That which has the power of dissolving or melting other substances, esp. by mixture with them; a menstruum; a solvent. Melted in the crucible dissolvents. A. Smith. The secret treaty of December acted as an immediate dissolvent to the truce. Mothley. 2. (Med.)  A remedy supposed capable of dissolving concretions in the body, such as calculi, tubercles, etc.
dissolver |One who, or that which, has power to dissolve or dissipate. Thou kind dissolver of encroaching care. Otway.
dissolving |Melting; breaking up; vanishing. -- Dis*solv\"ing*ly, adv. Dissolving view, a picture which grows dim and is gradually replaced by another on the same field; -- an effect produced by magic lanterns.
dissonance |1. A mingling of discordant sounds; an inharmonious combination of sounds; discord. Filled the air with barbarous dissonance. Milton. 2. Want of agreement; incongruity. Milton.
dissonancy |Discord; dissonance.
dissonant |1. Sounding harshly; discordant; unharmonious. With clamor of voices dissonant and loud. Longfellow. 2. Disagreeing; incongruous; discrepfrom or to. \"Anything dissonant to truth.\" South. What can be dissonant from reason and nature than that a man, naturally inclined to clemency, should show himself unkind and inhuman Hakewill.
disspirit |See Dispirit.
dissuade |1. To advise or exhort against; to try to persuade (one from a course). [Obsolescent] Mr. Burchell, on the contrary, dissuaded her with great ardor: and I stood neuter. Goldsmith. War, therefore, open or concealed, alike My voice dissuades. Milton. 2. To divert by persuasion; to turn from a purpose by reasons or motives; -- with from; as, I could not dissuade him from his purpose. I have tried what is possible to dissuade him. Mad. D' Arblay.
dissuader |One who dissuades; a dehorter.
dissuasion |1. The act of dissuading; exhortation against a thing; dehortation. In spite of all the dissuasions of his friends. Boyle. 2. A motive or consideration tending to dissuade; a dissuasive.
dissuasive |Tending to dissuade or divert from a measure or purpose; dehortatory; as, dissuasive advice. -- n.  A dissuasive argument or counsel; dissuasion; dehortation. Prynne. -- Dis*sua\"sive*ly, adv.
dissunder |To separate; to sunder; to destroy. [R.] Chapman.
dissweeten |To deprive of sweetness. [R.] Bp. Richardson.
dissyllabic |Consisting of two syllabas, a dissyllabic foot in poetry. B. Jons
dissyllabification |A formi
dissyllabify |To form into two syllables. Ogilvie.
dissyllabize |To form into two syllables; to dyssyllabify.
dissyllable |A word of two syllables; as, pa-per.
dissymmetrical |Not having symmetry; asymmetrical; unsymmetrical.
dissymmetry |Absence or defect of symmetry; asymmetry.
dissympathy |Lack of sympathy; want of interest; indifference. [R.]
distad |Toward a distal part; on the distal side of; distally.
distaff |1. The staff for holding a bunch of flax, tow, or wool, from which the thread is drawn in spinning by hand. I will the distaff hold; come thou and spin. Fairfax. 2. Used as a symbol of the holder of a distaff; hence, a woman; women, collectively. His crown usurped, a distaff on the throne. Dryden. Some say the crozier, some say the distaff was too busy. Howell. Note: The plural is regular, but Distaves occurs in Beaumont & Fletcher. Descent by distaff, descent on the mother's side. -- Distaff Day, or Distaff's Day, the morrow of the Epiphany, that is, January 7, because working at the distaff was then resumed, after the Christmas festival; -- called also Rock Day, a distaff being called a rock. Shipley.
distain |To tinge with a different color from the natural or proper one; to stain; to discolor; to sully; to tarnish; to defile; -- used chiefly in poetry. \"Distained with dirt and blood.\" Spenser. [She] hath . . . distained her honorable blood. Spenser. The worthiness of praise distains his worth. Shak.
distal |(a) Remote from the point of attachment or origin; as, the distal end of a bone or muscle; -- opposed to proximal. (b) Pertaining to that which is distal; as, the distal tuberosities of a bone.
distally |Toward a distal part.
distance |1. The space between two objects; the length of a line, especially the shortest line joining two points or things that are separate; measure of separation in place. Every particle attracts every other with a force . . . inversely proportioned to the square of the distance. Sir I. Newton. 2. Remoteness of place; a remote place. Easily managed from a distance. W. Irving. 'T is distance lends enchantment to the view. T. Campbell. [He] waits at distance till he hears from Cato. Addison. 3. (Racing)  A space marked out in the last part of a race course. The horse that ran the whole field out of distance. L'Estrange. Note: In trotting matches under the rules of the American Association, the distance varies with the conditions of the race, being 80 yards in races of mile heaths, best two in three, and 150 yards in races of two-mile heats. At that distance from the winning post in placed the distance post. If any horse has not reached this distance post before the first horse in that heat has reached the winning post, such horse is distanced, and disqualified for cunning again during that race. 4. (Mil.)  Relative space, between troops in ranks, measured from front to rear; -- contrasted with interval, which is measured from right to left. \"Distance between companies in close column is twelve yards.\" Farrow. 5. Space between two antagonists in fencing. Shak. 6. (Painting)  The part of a picture which contains the representation of those objects which are the farthest away, esp. in a landscape. Note: In a picture, the Middle distance is the central portion between the foreground and the distance or the extreme distance. In a perspective drawing, the Point of distance is the point where the visual rays meet. 7. Ideal disjunction; discrepancy; contrariety. Locke. 8. Length or interval of time; period, past or future, between two eras or events. Ten years' distance between one and the other. Prior. The writings of Euclid at the distance of two thousand years. Playfair. 9. The remoteness or reserve which respect requires; hence, respect; ceremoniousness. I hope your modesty Will know what distance to the crown is due. Dryden. 'T is by respect and distance that authority is upheld. Atterbury. 10. A withholding of intimacy; alienation; coldness; disagreement; variance; restraint; reserve. Setting them [factions] at distance, or at least distrust amongst themselves. Bacon. On the part of Heaven, Now alienated, distance and distaste. Milton. 11. Remoteness in succession or relation; as, the distance between a descendant and his ancestor. 12. (Mus.)  The interval between two notes; as, the distance of a fourth or seventh. Angular distance, the distance made at the eye by lines drawn from the eye to two objects. -- Lunar distance. See under Lunar. -- North polar distance (Astron.), the distance on the heavens of a heavenly body from the north pole. It is the complement of the declination. -- Zenith distance (Astron.), the arc on the heavens from a heavenly body to the zenith of the observer. It is the complement of the altitude. -- To keep one's distance, to stand aloof; to refrain from familiarity. If a man makes keep my distance, the comfort is he keeps his at the same time. Swift.\n\n1. To place at a distance or remotely. I heard nothing thereof at Oxford, being then miles distanced thence. Fuller. 2. To cause to appear as if at a distance; to make seem remote. His peculiar art of distancing an object to aggrandize his space. H. Miller. 3. To outstrip by as much as a distance (see Distance, n., 3); to leave far behind; to surpass greatly. He distanced the most skillful of his contemporaries. Milner.
distancy |Distance. [Obs.] Dr. H. More.
distant |1. Separated; having an intervening space; at a distance; away. One board had two tenons, equally distant. Ex. xxxvi. 22. Diana's temple is not distant far. Shak. 2. Far separated; far off; not near; remote; -- in place, time, consanguinity, or connection; as, distant times; distant relatives. The success of these distant enterprises. Prescott. 3. Reserved or repelling in manners; cold; not cordial; somewhat haughty; as, a distant manner. He passed me with a distant bow. Goldsmith. 4. Indistinct; faint; obscure, as from distance. Some distant knowledge. Shak. A distant glimpse. W. Irving. 5. Not conformable; discrepant; repugnant; as, a practice so widely distant from Christianity. Syn. -- Separate; far; remote; aloof; apart; asunder; slight; faint; indirect; indistinct.
distantial |Distant. [Obs.] More distantial from the eye. W. Montagu.
distantly |At a distance; remotely; with reserve.
distaste |1. Aversion of the taste; dislike, as of food or drink; disrelish. Bacon. 2. Discomfort; uneasiness. Prosperity is not without many fears and distastes, and adversity is not without comforts and hopes. Bacon. 3. Alienation of affection; displeasure; anger. On the part of Heaven, Now alienated, distance and distaste. Milton. Syn. -- Disrelish; disinclination; dislike; aversion; displeasure; dissatisfaction; disgust.\n\n1. Not to have relish or taste for; to disrelish; to loathe; to dislike. Although my will distaste what it elected. Shak. 2. To offend; to disgust; to displease. [Obs.] He thought in no policy to distaste the English or Irish by a course of reformation, but sought to please them. Sir J. Davies. 3. To deprive of taste or relish; to make unsavory or distasteful. Drayton.\n\nTo be distasteful; to taste ill or disagreeable. [Obs.] Dangerous conceits are, in their natures, poisons, Which at the are scarce found to distaste. Shak.
distasteful |1. Unpleasant or disgusting to the taste; nauseous; loathsome. 2. Offensive; displeasing to the feelings; disagreeable; as, a distasteful truth. Distasteful answer, and sometimes unfriendly actions. Milton. 3. Manifesting distaste or dislike; repulsive. \"Distasteful looks.\" Shak. Syn. -- Nauseous; unsavory; unpalatable; offensive; displeasing; dissatisfactory; disgusting. - Dis*taste\"ful*ly, adv. -- Dis*taste\"ful*ness, n.
distasteive |Tending to excite distaste. [Obs.] -- n.  That which excites distaste or aversion. [Obs.] Whitlock.
distasture |Something which excites distaste or disgust. [Obs.] Speed.
distemper |1. To temper or mix unduly; to make disproportionate; to change the due proportions of. [Obs.] When . . . the humors in his body ben distempered. Chaucer. 2. To derange the functions of, whether bodily, mental, or spiritual; to disorder; to disease. Shak. The imagination, when completely distempered, is the most incurable of all disordered faculties. Buckminster. 3. To deprive of temper or moderation; to disturb; to ruffle; to make disaffected, ill-humored, or malignant. \"Distempered spirits.\" Coleridge. 4. To intoxicate. [R.] The courtiers reeling, And the duke himself, I dare not say distempered, But kind, and in his tottering chair carousing. Massinger. 5. (Paint.)  To mix (colors) in the way of distemper; as, to distemper colors with size. [R.]\n\n1. An undue or unnatural temper, or disproportionate mixture of parts. Bacon. Note: This meaning and most of the following are to be referred to the Galenical doctrine of the four \"humors\" in man. See Humor. According to the old physicians, these humors, when unduly tempered, produce a disordered state of body and mind. 2. Severity of climate; extreme weather, whether hot or cold. [Obs.] Those countries . . . under the tropic, were of a distemper uninhabitable. Sir W. Raleigh. 3. A morbid state of the animal system; indisposition; malady; disorder; -- at present chiefly applied to diseases of brutes; as, a distemper in dogs; the horse distemper; the horn distemper in cattle. They heighten distempers to diseases. Suckling. 4. Morbid temper of the mind; undue predominance of a passion or appetite; mental derangement; bad temper; ill humor. [Obs.] Little faults proceeding on distemper. Shak. Some frenzy distemper had got into his head. Bunyan. 5. Political disorder; tumult. Waller. 6. (Paint.) (a) A preparation of opaque or body colors, in which the pigments are tempered or diluted with weak glue or size (cf. Tempera) instead of oil, usually for scene painting, or for walls and ceilings of rooms. (b) A painting done with this preparation. Syn. -- Disease; disorder; sickness; illness; malady; indisposition; ailment. See Disease.
distemperance |Distemperature. [Obs.]
distemperate |1. Immoderate. [Obs.] Sir W. Raleigh. 2. Diseased; disordered. [Obs.] Wodroephe.
distemperately |Unduly. [Obs.]
distemperature |1. Bad temperature; intemperateness; excess of heat or cold, or of other qualities; as, the distemperature of the air. [Obs.] 2. Disorder; confusion. Shak. 3. Disorder of body; slight illness; distemper. A huge infectious troop Of pale distemperatures and foes to life. Shak. 4. Perturbation of mind; mental uneasiness. Sprinkled a little patience on the heat of his distemperature. Sir W. Scott.
distemperment |Distempered state; distemperature. [Obs.] Feltham.
distend |1. To extend in some one direction; to lengthen out; to stretch. [R.] But say, what mean those colored streaks in heaven Distended as the brow of God appeased Milton. 2. To stretch out or extend in all directions; to dilate; to enlarge, as by elasticity of parts; to inflate so as to produce tension; to cause to swell; as, to distend a bladder, the stomach, etc. The warmth distends the chinks. Dryden. Syn. -- To dilate; expand; enlarge; swell; inflate.\n\nTo become expanded or inflated; to swell. \"His heart distends with pride.\" Milton.
distensibility |The quality or capacity of being distensible. [R.]
distensible |Capable of being distended or dilated.
distension |Same as Distention.
distensive |Distending, or capable of being distended.
distention |1. The act of distending; the act of stretching in breadth or in all directions; the state of being Distended; as, the distention of the lungs. 2. Breadth; extent or space occupied by the thing distended.
dister |To banish or drive from a country. [Obs.] Howell.
disterminate |Separated by bounds. [Obs.] Bp. Hall.
distermination |Separation by bounds. [Obs.] Hammond.
disthene |Cyanite or kyanite; -- so called in allusion to its unequal hardness in two different directions. See Cyanite.
disthrone |To dethrone. [Obs.]
disthronize |To dethrone. [Obs.] Spenser.
distich |A couple of verses or poetic lines making complete sense; an epigram of two verses.\n\nDisposed in two vertical rows; two-ranked.
distichous |Disposed in two vertical rows; two-ranked.
distichously |In a distichous manner.
distil |See Distill.
distill |1. To drop; to fall in drops; to trickle. Soft showers distilled, and suns grew warm in vain. Pope. 2. To flow gently, or in a small stream. The Euphrates distilleth out of the mountains of Armenia. Sir W. Raleigh. 3. To practice the art of distillation. Shak.\n\n1. To let fall or send down in drops. Or o'er the glebe distill the kindly rain. Pope. The dew which on the tender grass The evening had distilled. Drayton. 2. To obtain by distillation; to extract by distillation, as spirits, essential oil, etc.; to rectify; as, to distill brandy from wine; to distill alcoholic spirits from grain; to distill essential oils from flowers, etc.; to distill fresh water from sea water. \"Distilling odors on me.\" Tennyson. 3. To subject to distillation; as, to distill molasses in making rum; to distill barley, rye, corn, etc. 4. To dissolve or melt. [R.] Swords by the lightning's subtle force distilled. Addison.
distillable |Capable of being distilled; especially, capable of being distilled without chemical change or decomposition; as, alcohol is distillable; olive oil is not distillable.
distillate |The product of distillation; as, the distillate from molasses.
distillation |1. The act of falling in drops, or the act of pouring out in drops. 2. That which falls in drops. [R.] Johnson 3. (Chem.)  The separation of the volatile parts of a substance from the more fixed; specifically, the operation of driving off gas or vapor from volatile liquids or solids, by heat in a retort or still, and the condensation of the products as far as possible by a cool receiver, alembic, or condenser; rectification; vaporization; condensation; as, the distillation of illuminating gas and coal, of alcohol from sour mash, or of boric acid in steam. Note: The evaporation of water, its condensation into clouds, and its precipitation as rain, dew, frost, snow, or hail, is an illustration of natural distillation. 4. The substance extracted by distilling. Shak. Destructive distillation (Chem.), the distillation, especially of complex solid substances, so that the ultimate constituents are separated or evolved in new compounds, -- usually requiring a high degree of heat; as, the destructive distillation of soft coal or of wood. -- Dry distillation, the distillation of substances by themselves, or without the addition of water or of other volatile solvent; as, the dry distillation of citric acid. -- Fractional distillation. (Chem.) See under Fractional.
distillatory |Belonging to, or used in, distilling; as, distillatory vessels. -- n.  A distillatory apparatus; a still.
distiller |1. One who distills; esp., one who extracts alcoholic liquors by distillation. 2. The condenser of a distilling apparatus.
distillery |1. The building and works where distilling, esp. of alcoholic liquors, is carried on. 2. The act of distilling spirits. [R.] Todd.
distillment |Distillation; the substance obtained by distillation. [Obs.] Shak.
distinct |1. Distinguished; having the difference marked; separated by a visible sign; marked out; specified. [Obs.] Wherever thus created -- for no place Is yet distinct by name. Milton. 2. Marked; variegated. [Obs.] The which [place] was dight With divers flowers distinct with rare delight. Spenser. 3. Separate in place; not conjunct; not united by growth or otherwise; -- with from. The intention was that the two armies which marched out together should afterward be distinct. Clarendon. 4. Not identical; different; individual. To offend, and judge, are distinct offices. Shak. 5. So separated as not to be confounded with any other thing; not liable to be misunderstood; not confused; well-defined; clear; as, we have a distinct or indistinct view of a prospect. Relation more particular and distinct. Milton. Syn. -- Separate; unconnected; disjoined; different; clear; plain; conspicuous; obvious.\n\nTo distinguish. [Obs.] Rom. of R.
distinction |1. A marking off by visible signs; separation into parts; division. [Obs.] The distinction of tragedy into acts was not known. Dryden. 2. The act of distinguishing or denoting the differences between objects, or the qualities by which one is known from others; exercise of discernment; discrimination. To take away therefore that error, which confusion breedeth, distinction is requisite. Hooker. 3. That which distinguishes one thing from another; distinguishing quality; sharply defined difference; as, the distinction between real and apparent good. The distinction betwixt the animal kingdom and the inferior parts of matter. Locke. 4. Estimation of difference; regard to differences or distinguishing circumstance. Maids, women, wives, without distinction, fall. Dryden. 5. Conspicuous station; eminence; superiority; honorable estimation; as, a man of distinction. Your country's own means of distinction and defense. D. Webster. Syn. -- Difference; variation, variety; contrast; diversity; contrariety; disagreement; discrimination; preference; superiority; rank; note; eminence.
distinctive |1. Marking or expressing distinction or difference; distinguishing; characteristic; peculiar. The distinctive character and institutions of New England. Bancroft. 2. Having the power to distinguish and discern; discriminating. [Obs.] Sir T. Browne.
distinctively |With distinction; plainly.
distinctiveness |State of being distinctive.
distinctly |1. With distinctness; not confusedly; without the blending of one part or thing another; clearly; plainly; as, to see distinctly. 2. With meaning; significantly. [Obs.] Thou dost snore distinctly; There's meaning in thy snores. Shak. Syn. -- Separately; clearly; plainly; obviously.
distinctness |1. The quality or state of being distinct; a separation or difference that prevents confusion of parts or things. The soul's . . . distinctness from the body. Cudworth. 2. Nice discrimination; hence, clearness; precision; as, he stated his arguments with great distinctness. Syn. -- Plainness; clearness; precision; perspicuity.
distincture |Distinctness. [R.]
distinguish |1. Not set apart from others by visible marks; to make distinctive or discernible by exhibiting differences; to mark off by some characteristic. Not more distinguished by her purple vest, Than by the charming features of her face. Dryden. Milton has distinguished the sweetbrier and the eglantine. Nares. 2. To separate by definition of terms or logical division of a subject with regard to difference; as, to distinguish sounds into high and low. Moses distinguished the causes of the flood into those that belong to the heavens, and those that belong to the earth. T. Burnet. 3. To recognize or discern by marks, signs, or characteristic quality or qualities; to know and discriminate (anything) from other things with which it might be confounded; as, to distinguish the sound of a drum. We are enabled to distinguish good from evil, as well as truth from falsehood. Watts. Nor more can you distinguish of a man, Than of his outward show. Shak. 4. To constitute a difference; to make to differ. Who distinguisheth thee 1 Cor. iv. 7. (Douay version). 5. To separate from others by a mark of honor; to make eminent or known; to confer distinction upon; -- with by or for.\"To distinguish themselves by means never tried before.\" Johnson. Syn. -- To mark; discriminate; differentiate; characterize; discern; perceive; signalize; honor; glorify.\n\n1. To make distinctions; to perceive the difference; to exercise discrimination; -- with between; as, a judge distinguishes between cases apparently similar, but differing in principle. 2. To become distinguished or distinctive; to make one's self or itself discernible. [R.] The little embryo . . . first distinguishes into a little knot. Jer. Taylor.
distinguishable |1. Capable of being distinguished; separable; divisible; discernible; capable of recognition; as, a tree at a distance is distinguishable from a shrub. A simple idea being in itself uncompounded . . . is not distinguishable into different ideas. Locke. 2. Worthy of note or special regard. Swift.
distinguishableness |The quality of being distinguishable.
distinguishably |So as to be distinguished.
distinguished |1. Marked; special. The most distinguished politeness. Mad. D' Arblay. 2. Separated from others by distinct difference; having, or indicating, superiority; eminent or known; illustrious; -- applied to persons and deeds. Syn. -- Marked; noted; famous; conspicuous; celebrated; transcendent; eminent; illustrious; extraordinary; prominent. -- Distinguished, Eminent, Conspicuous, Celebrated, Illustrious. A man is eminent, when he stands high as compared with those around him; conspicuous, when he is so elevated as to be seen and observed; distinguished, when he has something which makes him stand apart from others in the public view; celebrated, when he is widely spoken of with honor and respect; illustrious, when a splendor is thrown around him which confers the highest dignity.
distinguishedly |In a distinguished manner. [R.] Swift.
distinguisher |1. One who, or that which, distinguishes or separates one thing from another by marks of diversity. Sir T. Browne. 2. One who discerns accurately the difference of things; a nice or judicious observer. Dryden.
distinguishing |Constituting difference, or distinction from everything else; distinctive; peculiar; characteristic. The distinguishing doctrines of our holy religion. Locke. Distinguishing pennant (Naut.), a special pennant by which any particular vessel in a fleet is recognized and signaled. Simmonds.
distinguishingly |With distinction; with some mark of preference. Pope.
distinguishment |Observation of difference; distinction. Graunt.
distitle |To deprive of title or right. [R.] B. Jonson.
distoma |A genus of parasitic, trematode worms, having two suckers for attaching themselves to the part they infest. See 1st Fluke, 2.
distort |Distorted; misshapen. [Obs.] Her face was ugly and her mouth distort. Spenser.\n\n1. To twist of natural or regular shape; to twist aside physically; as, to distort the limbs, or the body. Whose face was distorted with pain. Thackeray. 2. To force or put out of the true posture or direction; to twist aside mentally or morally. Wrath and malice, envy and revenge, do darken and distort the understandings of men. Tillotson. 3. To wrest from the true meaning; to pervert; as, to distort passages of Scripture, or their meaning. Syn. -- To twist; wrest; deform; pervert.
distorter |One who, or that which, distorts.
distortion |1. The act of distorting, or twisting out of natural or regular shape; a twisting or writhing motion; as, the distortions of the face or body. 2. A wresting from the true meaning. Bp. Wren. 3. The state of being distorted, or twisted out of shape or out of true position; crookedness; perversion. 4. (Med.)  An unnatural deviation of shape or position of any part of the body producing visible deformity.
distortive |Causing distortion.
distract |1. Separated; drawn asunder. [Obs.] 2. Insane; mad. [Obs.] Drayton.\n\n1. To draw apart or away; to divide; to disjoin. A city . . . distracted from itself. Fuller. 2. To draw (the sight, mind, or attention) in different directions; to perplex; to confuse; as, to distract the eye; to distract the attention. Mixed metaphors . . . distract the imagination. Goldsmith. 3. To agitate by conflicting passions, or by a variety of motives or of cares; to confound; to harass. Horror and doubt distract His troubled thoughts. Milton. 4. To unsettle the reason of; to render insane; to craze; to madden; -- most frequently used in the participle, distracted. A poor mad soul; . . . poverty hath distracted her. Shak.
distracted |Mentally disordered; unsettled; mad. My distracted mind. Pope.
distractedly |Disjointedly; madly. Shak.
distractedness |A state of being distracted; distraction. Bp. Hall.
distracter |One who, or that which, distracts away.
distractful |Distracting. [R.] Heywood.
distractible |Capable of being drawn aside or distracted.
distractile |Tending or serving to draw apart.
distracting |Tending or serving to distract.
distraction |1. The act of distracting; a drawing apart; separation. To create distractions among us. Bp. Burnet. 2. That which diverts attention; a diversion. \"Domestic distractions.\" G. Eliot. 3. A diversity of direction; detachment. [Obs.] His power went out in such distractions as Beguiled all species. Shak. 4. State in which the attention is called in different ways; confusion; perplexity. That ye may attend upon the Lord without distraction. 1 Cor. vii. 3 5. Confusion of affairs; tumult; disorder; as, political distractions. Never was known a night of such distraction. Dryden. 6. Agitation from violent emotions; perturbation of mind; despair. The distraction of the children, who saw both their parents together, would have melted the hardest heart. Tatler. 7. Derangement of the mind; madness. Atterbury. Syn. -- Perplexity; confusion; disturbance; disorder; dissension; tumult; derangement; madness; raving; franticness; furiousness.
distractious |Distractive. [Obs.]
distractive |Causing perplexity; distracting. \"Distractive thoughts.\" Bp. Hall.
distrain |1. To press heavily upon; to bear down upon with violence; hence, to constrain or compel; to bind; to distress, torment, or afflict. [Obs.] \"Distrained with chains.\" Chaucer. 2. To rend; to tear. [Obs.] Neither guile nor force might it [a net] distrain. Spenser. 3. (Law) (a) To seize, as a pledge or indemnification; to take possession of as security for nonpayment of rent, the reparation of an injury done, etc.; to take by distress; as, to distrain goods for rent, or of an amercement. (b) To subject to distress; to coerce; as, to distrain a person by his goods and chattels.\n\nTo levy a distress. Upon whom I can distrain for debt. Camden.
distrainable |Capable of being, or liable to be, distrained. Blackstone.
distrainer |Same as Distrainor.
distrainor |One who distrains; the party distraining goods or chattels. Blackstone.
distraint |The act or proceeding of seizing personal property by distress. Abbott.
distrait |Absent-minded; lost in thought; abstracted.
distraught |1. Torn asunder; separated. [Obs.] \"His greedy throat . . . distraught.\" Spenser. 2. Distracted; perplexed. \"Distraught twixt fear and pity.\" Spenser. As if thou wert distraught and mad with terror. Shak. To doubt betwixt our senses and our souls Which are the most distraught and full of pain. Mrs. Browning.
distraughted |Distracted. [Obs.] Spenser.
distream |To flow. [Poetic] Yet o'er that virtuous blush distreams a tear. Shenstone.
