choregraphical |Pertaining to choregraphy.
churchism |Strict adherence to the forms or principles of some church organization; sectarianism.
churchless |Without a church. T. Fuller.
churchlike |Befitting a church or a churchman; becoming to a clergyman. Shak.
churchliness |Regard for the church.
churchly |Pertaining to, or suitable for, the church; ecclesiastical.
churchman |1. An ecclesiastic or clergyman. 2. An Episcopalian, or a member of the Established Church of England. \"A zealous churchman.\" Macaulay. 3. One was is attached to, or attends, church.
churchmanly |Pertaining to, or becoming, a churchman. Milman.
churchmanship |The state or quality of being a churchman; attachment to the church.
churchship |State of being a church. South.
churchwarden |1. One of the officers (usually two) in an Episcopal church, whose duties vary in different dioceses, but always include the provision of what is necessary for the communion service. 2. A clay tobacco pipe, with a long tube. [Slang, Eng.] There was a small wooden table placed in front of the smoldering fire, with decanters, a jar of tobacco, and two long churchwardens. W. Black.
churchwardenship |The office of a churchwarden.
churchy |Relating to a church; unduly fond of church forms. [Colloq.]
churchyard |The ground adjoining a church, in which the dead are buried; a cemetery. Like graves in the holy churchyard. Shak. Syn. -- Burial place; burying ground; graveyard; necropolis; cemetery; God's acre.
churl |1. A rustic; a countryman or laborer. \"A peasant or churl.\" Spenser. Your rank is all reversed; let men of cloth Bow to the stalwart churls in overalls. Emerson. 2. A rough, surly, ill-bred man; a boor. A churl's courtesy rarely comes, but either for gain or falsehood. Sir P. Sidney. 3. A selfish miser; an illiberal person; a niggard. Like to some rich churl hoarding up his pelf. Drayton.\n\nChurlish; rough; selfish. [Obs.] Ford.
churlish |1. Like a churl; rude; cross-grained; ungracious; surly; illiberal; niggardly. \"Churlish benefits.\" Ld. Burleigh. Half mankind maintain a churlish strife. Cowper. 2. Wanting pliancy; unmanageable; unyielding; not easily wrought; as, a churlish soil; the churlish and intractable nature of some minerals. Boyle.
churlishly |In a churlish manner.
churlishness |Rudeness of manners or temper; lack of kindness or courtesy.
churly |Rude; churlish; violent. Longfellow.
churme |Clamor, or confused noise; buzzing. [Obs.] The churme of a thousand taunts and reproaches. Bacon.
churn |A vessel in which milk or cream is stirred, beaten, or otherwise agitated (as by a plunging or revolving dasher) in order to separete the oily globules from the other parts, and obtain butter.\n\n1. To stir, beat, or agitate, as milk or cream in a churn, in order to make butter. 2. To shake or agitate with violence. Churned in his teeth, the foamy venom rose. Addison.\n\nTo perform the operation of churning.
churning |1. The act of one who churns. 2. The quantity of butter made at one operation.
churr |A vibrant or whirring noise such as that made by some insects, as the cockchafer, or by some birds, as the nightjar, the partridge, etc.\n\nTo make a churr, as a cockchafer. That's the churring of the nightjar. Hall Caine.\n\nTo utter by churring.
churrus |A powerfully narcotic and intoxicating gum resin which exudes from the flower heads, seeds, etc., of Indian hemp.
churrworm |An insect that turns about nimbly; the mole cricket; -- called also fan cricket. Johnson.
chuse |See Choose. [Obs.]
chute |1. A framework, trough, or tube, upon or through which objects are made to slide from a higher to a lower level, or through which water passes to a wheel. 2. See Shoot.
chutnee |A warm or spicy condiment or pickle made in India, compounded of various vegetable substances, sweets, acids, etc.
chutney |A warm or spicy condiment or pickle made in India, compounded of various vegetable substances, sweets, acids, etc.
chylaceous |Possessed of the properties of chyle; consisting of chyle.
chylaqueous |Consisting of chyle much diluted with water; -- said of a liquid which forms the circulating fluid of some inferior animals.
chyle |A milky fluid containing the fatty matter of the food in a state of emulsion, or fine mechanical division; formed from chyme by the action of the intestinal juices. It is absorbed by the lacteals, and conveyed into the blood by the thoracic duct.
chylifaction |The act or process by which chyle is formed from food in animal bodies; chylification, -- a digestive process.
chylifactive |Producing, or converting into, chyle; having the power to form chyle.
chyliferous |[Chyle + -ferous: cf. F. chylifère.] (Physiol.) Transmitting or conveying chyle; as, chyliferous vessels.
chylific |Chylifactive.
chylification |The formation of chyle. See Chylifaction.
chylificatory |Chylifactive.
chylify |To make chyle of; to be converted into chyle.
chylopoetic |Concerned in the formation of chyle; as, the chylopoetic organs.
chylous |Consisting of, or similar to, chyle.
chyluria |A morbid condition in which the urine contains chyle or fatty matter, giving it a milky appearance.
chyme |The pulpy mass of semi-digested food in the small intestines just after its passage from the stomach. It is separated in the intestines into chyle and excrement. See Chyle.
chymic |See Chemic, Chemist, Chemistry.
chymiferous |Bearing or containing chyme.
chymification |The conversion of food into chyme by the digestive action of gastric juice.
chymify |To form into chyme.
chymist |See Chemic, Chemist, Chemistry.
chymistry |See Chemic, Chemist, Chemistry.
chymous |Of or pertaining to chyme.
chyometer |An instrument for measuring liquids. It consists of a piston moving in a tube in which is contained the liquid, the quantity expelled being indicated by the graduation upon the piston rod.
ci-devant |Former; previous; of times gone by; as, a cidevant governor.
cibarious |Pertaining to food; edible. Johnson.
cibation |1. The act of taking food. 2. (Alchemy)  The process or operation of feeding the contents of the crucilbe with fresh material. B. Jonson.
cibol |A perennial alliaceous plant (Allium fistulosum), sometimes called Welsh onion. Its fistular leaves areused in cookery.
ciborium |1. (Arch.)  A canopy usually standing free and supported on four columns, covering the high altar, or, very rarely, a secondary altar. 2. (R. C. Ch.)  The coffer or case in which the host is kept; the pyx.
cicada |Any species of the genus Cicada. They are large hemipterous insects, with nearly transparent wings. The male makes a shrill sound by pecular organs in the under side of the abdomen, consisting of a pair of stretched membranes, acted upon by powerful muscles. A noted American species (C. septendecim) is called the seventeen year locust. Another common species is the dogday cicada.
cicala |A cicada. See Cicada. \"At eve a dry cicala sung.\" Tennison.
cicatrice |A cicatrix.
cicatricial |Relating to, or having the character of, a cicatrix. Dunglison.
cicatricle |The germinating point in the embryo of a seed; the point in the yolk of an egg at which development begins.
cicatrisive |Tending to promote the formation of a cicatrix; good for healing of a wound.
cicatrix |The pellicle which forms over a wound or breach of continuity and completes the process of healing in the latter, and which subsequently contracts and becomes white, forming the scar.
cicatrizant |A medicine or application that promotes the healing of a sore or wound, or the formation of a cicatrix.
cicatrization |The process of forming a cicatrix, or the state of being cicatrized.
cicatrize |To heal or induce the formation of a cicatrix in, as in wounded or ulcerated flesh. Wiseman.\n\nTo heal; to have a new skin.
cicatrose |Full of scars. Craig.
cicely |Any one of several umbelliferous plants, of the genera Myrrhis, Osmorrhiza, etc.
cicero |Pica type; -- so called by French printers.
cicerone |One who shows strangers the curiosities of a place; a guide. Every glib and loquacious hireling who shows strangers about their picture galleries, palaces, and ruins, is termed by them [the Italians] a cicerone, or a Cicero. Trench.
ciceronian |Resembling Cicero in style or action; eloquent.
ciceronianism |Imitation of, or resemblance to, the style or action Cicero; a Ciceronian phrase or expression. \"Great study in Ciceronianism, the chief abuse of Oxford.\" Sir P. Sidney.
cich-pea |The chick-pea. Holland.
cichoraceous |Belonging to, or resembling, a suborder of composite plants of which the chicory (Cichorium) is the type.
cicisbeism |The state or conduct of a cicisbeo.
cicisbeo |1. A professed admirer of a married woman; a dangler about women. 2. A knot of silk or ribbon attached to a fan, walking stick, etc. [Obs.]
ciclatoun |A costly cloth, of uncertain material, used in the Middle Ages. [Obs.] [Written also checklaton, chekelatoun.] His robe was of ciclatoun, That coste many a Jane. Chaucer.
cicurate |To tame. [Obs.] Sir T. Browne.
cicuration |The act of taming. [Obs.] Ray.
cicuta |a genus of poisonous umbelliferous plants, of which the water hemlock or cowbane is best known. Note: The name cicuta is sometimes erroneously applied to Conium maculatum, or officinal hemlock.
cicutoxin |The active principle of the water hemlock (Cicuta) extracted as a poisonous gummy substance.
cid |1. Chief or commander; in Spanish literature, a title of Ruy Diaz, Count of Bivar, a champion of Christianity and of the old Spanish royalty, in the 11th century. 2. An epic poem, which celebrates the exploits of the Spanish national hero, Ruy Diaz.
cider |The expressed juice of apples. It is used as a beverage, for making vinegar, and for other purposes. Note: Cider was formerly used to signify the juice of other fruits, and other kinds of strong liquor, but was not applied to wine. Cider brandy, a kind of brandy distilled from cider. -- Cider mill, a mill in which cider is made. -- Cider press, the press of a cider mill.
ciderist |A maker of cider. [Obs.] Mortimer.
ciderkin |A kind of weak cider made by steeping the refuse pomace in water. Ciderkin is made for common drinking, and supplies the place of small beer. Mortimer.
cierge |A wax candle used in religous rites.
cigar |A small roll of tobacco, used for smoking. Cigar fish (Zoöl.), a fish (Decapterus punctatus), allied to the mackerel, found on the coast of the Gulf of Mexico.
cigarette |A little cigar; a little fine tobacco rolled in paper for smoking.
cilia |1. (Anat.)  The eyelashes. 2. (Biol.)  Small, generally microscopic, vibrating appendages lining certain organs, as the air passages of the higher animals, and in the lower animals often covering also the whole or a part of the exterior. They are also found on some vegetable organisms. In the Infusoria, and many larval forms, they are locomotive organs. 3. (Bot.)  Hairlike processes, commonly marginal and forming a fringe like the eyelash. 4. (Zoöl.)  Small, vibratory, swimming organs, somewhat resembling true cilia, as those of Ctenophora.
ciliary |1. (Anat.)  Pertaining to the cilia, or eyelashes. Also applied to special parts of the eye itself; as, the ciliary processes of the choroid coat; the ciliary muscle, etc. 2. (Biol.)  Pertaining to or connected with the cilia in animal or vegetable organisms; as, ciliary motion.
ciliata |One of the orders of Infusoria, characterized by having cilia. In some species the cilia cover the body generally, in others they form a band around the mouth.
ciliate |Provided with, or surrounded by, cilia; as, a ciliate leaf; endowed with vibratory motion; as, the ciliated epithelium of the windpipe.
ciliated |Provided with, or surrounded by, cilia; as, a ciliate leaf; endowed with vibratory motion; as, the ciliated epithelium of the windpipe.
cilice |A kind of haircloth undergarment. Southey.
cilician |Of or pertaining to Cilicia in Asia Minor. -- n.  A native or inhabitant of Cilicia.
cilicious |Made, or consisting, of hair. [Obs.] A Cilicious or sackcloth habit. Sir T. Browne.
ciliform |Having the form of cilia; very fine or slender.
ciliiform |Having the form of cilia; very fine or slender.
ciliograde |Moving by means of cilia, or cilialike organs; as, the ciliograde Medusæ.
cilium |See Cilia.
cill |See Sill., n. a foundation.
cillosis |A spasmodic trembling of the upper eyelid.
cima |A kind of molding. See Cyma.
cimar |See Simar.
cimbal |A kind of confectionery or cake. [Obs.] Nares.
cimbia |A fillet or band placed around the shaft of a column as if to strengthen it. [Written also cimia.]
cimbrian |Of or pertaining to the Cimbri. -- n.  One of the Cimbri. See Cimbric.
cimbric |Pertaining to the Cimbri, an ancient tribe inhabiting Northern Germany. -- n.  The language of the Cimbri.
cimeliarch |A superintendent or keeper of a church's valuables; a churchwarden. [Obs.] Bailey.
cimeter |See Scimiter.
cimex |A genus of hemipterous insects of which the bedbug is the best known example. See Bedbug.
cimia |See Cimbia.
cimiss |The bedbug. [Obs.] Wright.
cimmerian |1. Pertaining to the Cimmerii, a fabulous people, said to have lived, in very ancient times, in profound and perpetual darkness. 2. Without any light; intensely dark. In dark Cimmerian desert ever dwell. Milton.
cimolite |A soft, earthy, clayey mineral, of whitish or grayish color.
cinch |1. A strong saddle girth, as of canvas. [West. U. S.] 2. A tight grip. [Colloq.]
cinchona |1. (Bot.)  A genus of trees growing naturally on the Andes in Peru and adjacent countries, but now cultivated in the East Indies, producing a medicinal bark of great value. 2. (Med.)  The bark of any species of cinchona containing three per cent. or more of bitter febrifuge alkaloids; Peruvian bark; Jesuits' bark.
cinchonaceous |Allied or pertaining to cinchona, or to the plants that produce it.
cinchonic |Belonging to, or obtained from, cinchona. Mayne.
cinchonidine |One of the quinine group of alkaloids, found especially in red cinchona bark. It is a white crystalline substance, C19H22N2O, with a bitter taste and qualities similar to, but weaker than, quinine; -- sometimes called also cinchonidia.
cinchonine |One of the quinine group of alkaloids isomeric with and resembling cinchonidine; -- called also cinchonia.
cinchonism |A condition produced by the excessive or long-continued use of quinine, and marked by deafness, roaring in the ears, vertigo, etc.
cinchonize |To produce cinchonism in; to poison with quinine or with cinchona.
cincinnati epoch |An epoch at the close of the American lower Silurian system. The rocks are well developed near Cincinnati, Ohio. The group includes the Hudson River and Lorraine shales of New york.
cincinnus |A form of monochasium in which the lateral branches arise alternately on opposite sides of the false axis; -- called also scorpioid cyme. --Cin*cin\"nal (#), a.
cincture |1. A belt, a girdle, or something worn round the body, -- as by an ecclesiastic for confining the alb. 2. That which encompasses or incloses; an inclosure. \"Within the cincture of one wall.\" Bacon. 3. (Arch.)  The fillet, listel, or band next to the apophyge at the extremity of the shaft of a column.
cinctured |Having or wearing a cincture or gridle.
cinder |1. Partly burned or vitrified coal, or other combustible, in which fire is extinct. 2. A hot coal without flame; an ember. Swift. 3. A scale thrown off in forging metal. 4. The slag of a furnace, or scoriaceous lava from a volcano. Cinder frame, a framework of wire in front of the tubes of a locomotive, to arrest the escape of cinders. -- Cinder notch (Metal.), the opening in a blast furnace, through which melted cinder flows out.
cindery |Resembling, or composed of, cinders; full of cinders.
cinefaction |Cineration; reduction to ashes. [Obs.]
cinematic |See Kinematic.
cinematical |See Kinematic.
cinematics |See Kinematics.
cinematograph |1.  A machine, combining magic lantern and kinetoscope features, for projecting on a screen a series of pictures, moved rapidly (25 to 50 a second) and intermittently before an objective lens, and producing by persistence of vision the illusion of continuous motion; a moving-picture machine; also, any of several other machines or devices producing moving pictorial effects. Other common names for the cinematograph are animatograph, biograph, bioscope, electrograph, electroscope, kinematograph, kinetoscope, veriscope, vitagraph, vitascope, zoögyroscope, zoöpraxiscope, etc. The cinematograph, invented by Edison in 1894, is the result of the introduction of the flexible film into photography in place of glass. Encyc. Brit. 2.  A camera for taking chronophotographs for exhibition by the instrument described above.
cinematographer |One who exhibits moving pictures or who takes chronophotographs by the cinematograph. -- Cin`e*mat`o*graph\"ic (#), a. -- Cin`e*mat`o*graph\"ic*al*ly (#), adv.
cinemograph |An integrating anemometer.
cineraceous |Like ashes; ash-colored; cinerous.
cineraria |A Linnæan genus of free-flowering composite plants, mostly from South Africa. Several species are cultivated for ornament.
cinerary |Pertaining to ashes; containing ashes. Cinerary urns, vessels used by the ancients to preserve the ashes of the dead when burned.
cineration |The reducing of anything to ashes by combustion; cinefaction.
cinereous |Like ashes; ash-colored; grayish.
cinerescent |Somewhat cinereous; of a color somewhat resembling that of wood ashes.
cineritious |Like ashes; having the color of ashes, -- as the cortical substance of the brain.
cinerulent |Full of ashes. [Obs.]
cingalese |A native or natives of Ceylon descended from its primitive inhabitants; also (sing.),  the language of the Cingalese. -- a.  Of or pertaining to the Cingalese. [Written also Singhalese.] Note: Ceylonese is applied to the inhabitants of the island in general.
cingle |A girth. [R.] See Surcingle.
cingulum |(a) A distinct girdle or band of color; a raised spiral line as seen on certain univalve shells. (b) The clitellus of earthworms. (c) The base of the crown of a tooth.
cinnabar |1. (Min.)  Red sulphide of mercury, occurring in brilliant red crystals, and also in red or brown amorphous masses. It is used in medicine. 2. The artificial red sulphide of mercury used as a pigment; vermilion. Cinnabar Græcorum (. Etym: [L. Graecorum, gen. pl., of the Greeks.] (Med.) Same as Dragon's blood. -- Green cinnabar, a green pigment consisting of the oxides of cobalt and zinc subjected to the action of fire. -- Hepatic cinnabar (Min.), an impure cinnabar of a liver-brown color and submetallic luster.
cinnabarine |Pertaining to, or resembling, cinnabar; consisting of cinnabar, or containing it; as, cinnabarine sand.
cinnamene |Styrene (which was formerly called cinnamene because obtained from cinnamic acid). See Styrene.
cinnamic |Pertaining to, or obtained from, cinnamon. Cinnamic acid (Chem.), a white, crystalline, odorless substance. C6H5.C2H2C2H2.CO2H, formerly obtained from storax and oil of cinnamon, now made from certain benzene derivatives in large quantities, and used for the artificial production of indigo.
cinnamomic |See Cinnamic.
cinnamon |(a) The inner bark of the shoots of Cinnamomum Zeylanicum, a tree growing in Ceylon. It is aromatic, of a moderately pungent taste, and is one of the best cordial, carminative, and restorative spices. (b) Cassia. Cinnamon stone (Min.), a variety of garnet, of a cinnamon or hyacinth red color, sometimes used in jewelry. -- Oil of cinnamon, a colorless aromatic oil obtained from cinnamon and cassia, and consisting essentially of cinnamic aldehyde, C6H5.C2H2.CHO. -- Wild cinnamon. See Canella.
cinnamone |A yellow crystalline substance, (C6H5.C2H2)2CO, the ketone of cinnamic acid.
cinnamyl |The hypothetical radical, (C6H5.C2H2)2C, of cinnamic compounds. [Formerly written also cinnamule.]
cinnoline |A nitrogenous organic base, C8H6N2, analogous to quinoline, obtained from certain complex diazo compounds.
cinque |Five; the number five in dice or cards.
cinque ports |Five English ports, to which peculiar privileges were anciently accorded; -- viz., Hastings, Romney, Hythe, Dover, and Sandwich; afterwards increased by the addition of Winchelsea, Rye, and some minor places. Baron of the Cinque Ports. See under Baron.
cinque-pace |A lively dance (called also galliard), the steps of which were regulated by the number five. [Obs.] Nares. Shak.
cinque-spotted |Five-spotted. [R.] Shak.
cinquecentist |1. An Italian of the sixteenth century, esp. a poet or artist. 2.  A student or imitator of the art or literature of the Cinquecento.
cinquecento |The sixteenth century, when applied to Italian art or literature; as, the sculpture of the Cinquecento; Cinquecento style.
cinquefoil |1. (Bot.)  The name of several different species of the genus Potentilla; -- also called five-finger, because of the resemblance of its leaves to the fingers of the hand. 2. (Arch.)  An ornamental foliation having five points or cups, used in windows, panels, etc. Gwilt. Marsh cinquefoil, the Potentilla palustris, a plant with purple flowers which grows in fresh-water marshes.
cinter |See Center.
cinura |The group of Thysanura which includes Lepisma and allied forms; the bristletails. See Bristletail, and Lepisma.
cion |See Scion. The cion overruleth the stock; and the stock is but passive, and giveth aliment, but no motion, to the graft. Bacon.
cipher |1. (Arith.)  A character [0] which, standing by itself, expresses nothing, but when placed at the right hand of a whole number, increases its value tenfold. 2. One who, or that which, has no weight or influence. Here he was a mere cipher. W. Irving. 3. A character in general, as a figure or letter. [Obs.] This wisdom began to be written in ciphers and characters and letters bearing the forms of creatures. Sir W. Raleigh. 4. A combination or interweaving of letters, as the initials of a name; a device; a monogram; as, a painter's cipher, an engraver's cipher, etc. The cut represents the initials N. W. 5. A private alphabet, system of characters, or other mode of writing, contrived for the safe transmission of secrets; also, a writing in such characters. His father . . . engaged him when he was very young to write all his letters to England in cipher. Bp. Burnet. Cipher key, a key to assist in reading writings in cipher.\n\nOf the nature of a cipher; of no weight or influence. \"Twelve cipher bishops.\" Milton.\n\nTo use figures in a mathematical process; to do sums in arithmetic. \"T was certain he could write and cipher too. Goldsmith.\n\n1. To write in occult characters. His notes he ciphered with Greek characters. Hayward. 2. To get by ciphering; as, to cipher out the answer. 3. To decipher. [Obs.] Shak. 4. To designate by characters. [Obs.] Shak.
cipherer |One who ciphers.
cipherhood |Nothingness. [R.] Goodwin.
cipolin |A whitish marble, from Rome, containiing pale greenish zones. It consists of calcium carbonate, with zones and cloudings of talc.
cippus |A small, low pillar, square or round, commonly having an inscription, used by the ancients for various purposes, as for indicating the distances of places, for a landmark, for sepulchral inscriptions, etc. Gwilt.
circ |An amphitheatrical circle for sports; a circus. [R.] T. Warton.
circar |A district, or part of a province. See Sircar. [India]
circassian |Of or pertaining to Circassia, in Asia. -- n.  A native or inhabitant of Circassia.
circean |Having the characteristics of Circe, daughter of Sol and Perseis, a mythological enchantress, who first charmed her victims and then changed them to the forms of beasts; pleasing, but noxious; as, a Circean draught.
circensial |Of or pertaining to, or held in, the Circus, In Rome. The pleasure of the Circensian shows. Holyday.
circensian |Of or pertaining to, or held in, the Circus, In Rome. The pleasure of the Circensian shows. Holyday.
circinal |Circinate.
circinate |Rolled together downward, the tip occupying the center; -- a term used in reference to foliation or leafing, as in ferns. Gray.\n\nTo make a circle around; to encompass. [Obs.] Bailey.
circination |1. An orbicular motion. [Obs.] bailey. 2. A circle; a concentric layer. [Obs.] \"The circinations and spherical rounds of onions.\" Sir T. Browne.
circle |1. A plane figure, bounded by a single curve line called its circumference, every part of which is equally distant from a point within it, called the center. 2. The line that bounds sush a figure; a circumference; a ring. 3. (Astron.)  An instrument of observation, the graduated limb of which consists of an entire circle. Note: When it is fixed to a wall in an observatory, it is called a mural circle; when mounted with a telescope on an axis and in Y's, in the plane of the meridian, a meridian or transit circle; when involving the principle of reflection, like the sextant, a reflecting circle; and when that of repeating an angle several times continuously along the graduated limb, a repeating circle. 4. A round body; a sphere; an orb. It is he that sitteth upon the circle of the earth. Is. xi. 22. 5. Compass; circuit; inclosure. In the circle of this forest. Shak. 6. A company assembled, or conceived to assemble, about a central point of interest, or bound by a common tie; a class or division of society; a coterie; a set. As his name gradually became known, the circle of his acquaintance widened. Macaulay. 7. A circular group of persons; a ring. 8. A series ending where it begins, and repeating itself. Thus in a circle runs the peasant's pain. Dryden. 9. (Logic)  A form of argument in which two or more unproved statements are used to prove each other; inconclusive reasoning. That heavy bodies descend by gravity; and, again, that gravity is a quality whereby a heavy body descends, is an impertinent circle and teaches nothing. Glanvill. 10. Indirect form of words; circumlocution. [R.] Has he given the lie, In circle, or oblique, or semicircle. J. Fletcher. 11. A territorial division or district. Note: The Circles of the Holy Roman Empire, ten in number, were those principalities or provinces which had seats in the German Diet. Azimuth circle. See under Azimuth. -- Circle of altitude (Astron.), a circle parallel to the horizon, having its pole in the zenith; an almucantar. -- Circle of curvature. See Osculating circle of a curve (Below). -- Circle of declination. See under Declination. -- Circle of latitude. (a) (Astron.) A great circle perpendicular to the plane of the ecliptic, passing through its poles. (b) (Spherical Projection) A small circle of the sphere whose plane is perpendicular to the axis. -- Circles of longitude, lesser circles parallel to the ecliptic, diminishing as they recede from it. -- Circle of perpetual apparition, at any given place, the boundary of that space around the elevated pole, within which the stars never set. Its distance from the pole is equal to the latitude of the place. -- Circle of perpetual occultation, at any given place, the boundary of the space around the depressed pole, within which the stars never rise. -- Circle of the sphere, a circle upon the surface of the sphere, called a great circle when its plane passes through the center of the sphere; in all other cases, a small circle. -- Diurnal circle. See under Diurnal. -- Dress circle, a gallery in a theater, generally the one containing the prominent and more expensive seats. -- Druidical circles (Eng. Antiq.), a popular name for certain ancient inclosures formed by rude stones circularly arranged, as at Stonehenge, near Salisbury. -- Family circle, a gallery in a theater, usually one containing inexpensive seats. -- Horary circles (Dialing), the lines on dials which show the hours. -- Osculating circle of a curve (Geom.), the circle which touches the curve at some point in the curve, and close to the point more nearly coincides with the curve than any other circle. This circle is used as a measure of the curvature of the curve at the point, and hence is called circle of curvature. -- Pitch circle. See under Pitch. -- Vertical circle, an azimuth circle. -- Voltaic circle or circuit. See under Circuit. -- To square the circle. See under Square. Syn. -- Ring; circlet; compass; circuit; inclosure.\n\n1. To move around; to revolve around. Other planets circle other suns. Pope. 2. To encompass, as by a circle; to surround; to inclose; to encircle. Prior. Pope. Their heads are circled with a short turban. Dampier. So he lies, circled with evil. Coleridge. To circle in, to confine; to hem in; to keep together; as, to circle bodies in. Sir K. Digby.\n\nTo move circularly; to form a circle; to circulate. Thy name shall circle round the gaping through. Byron.
circled |Having the form of a circle; round. \"Monthly changes in her circled orb.\" Shak.
circler |A mean or inferior poet, perhaps from his habit of wandering around as a stroller; an itinerant poet. Also, a name given to the cyclic poets. See under Cyclic, a. [Obs.] B. Jonson.
circlet |1. A little circle; esp., an ornament for the person, having the form of a circle; that which encircles, as a ring, a bracelet, or a headband. Her fair locks in circlet be enrolled. Spenser. 2. A round body; an orb. Pope. Fairest of stars . . . that crown'st the smiling morn With thy bright circlet. Milton. 3. A circular piece of wood put under a dish at table. [Prov. Eng.] Halliwell.
circocele |See Cirsocele.
circuit |1. The act of moving or revolving around, or as in a circle or orbit; a revolution; as, the periodical circuit of the earth round the sun. Watts. 2. The circumference of, or distance round, any space; the measure of a line round an area. The circuit or compass of Ireland is 1,800 miles. J. Stow. 3. That which encircles anything, as a ring or crown. The golden circuit on my head. Shak. 4. The space inclosed within a circle, or within limits. A circuit wide inclosed with goodliest trees. Milton. 5. A regular or appointed journeying from place to place in the exercise of one's calling, as of a judge, or a preacher. 6. (a) (Law) A certain division of a state or country, established by law for a judge or judges to visit, for the administration of justice. Bouvier. (b) (Methodist Church) A district in which an itinerant preacher labors. 7. Circumlocution. [Obs.] \"Thou hast used no circuit of words.\" Huloet. Circuit court (Law), a court which sits successively in different places in its circuit (see Circuit, 6). In the United States, the federal circuit courts are commonly presided over by a judge of the supreme court, or a special circuit judge, together with the judge of the district court. They have jurisdiction within statutory limits, both in law and equity, in matters of federal cognizance. Some of the individual States also have circuit courts, which have general statutory jurisdiction of the same class, in matters of State cognizance. -- Circuit or Circuity of action (Law), a longer course of proceedings than is necessary to attain the object in view. -- To make a circuit, to go around; to go a roundabout way. -- Voltaic or Galvanic circuit or circle, a continous electrical communication between the two poles of a battery; an arrangement of voltaic elements or couples with proper conductors, by which a continuous current of electricity is established.\n\nTo move in a circle; to go round; to circulate. [Obs.] J. Philips.\n\nTo travel around. [Obs.] \"Having circuited the air.\" T. Warton.
circuiteer |A circuiter. Pope.
circuiter |One who travels a circuit, as a circuit judge. [R.] R. Whitlock.
circuition |The act of going round; circumlocution. [R.]
circuitous |Going round in a circuit; roundabout; indirect; as, a circuitous road; a circuitous manner of accompalishing an end. -- Cir*cu\"i*tous*ly, adv. -- Cir*cu\"i*tous*ness, n. Syn. -- Tortuous; winding; sinuous; serpentine.
circuity |A going round in a circle; a course not direct; a roundabout way of proceeding.
circulable |That may be circulated.
circular |1. In the form of, or bounded by, a circle; round. 2. repeating itself; ending in itself; reverting to the point of beginning; hence, illogical; inconclusive; as, circular reasoning. 3. Adhering to a fixed circle of legends; cyclic; hence, mean; inferior. See Cyclic poets, under Cyclic. Had Virgil been a circular poet, and closely adhered to history, how could the Romans have had Dido Dennis. 4. Addressed to a circle, or to a number of persons having a common interest; circulated, or intended for circulation; as, a circular letter. A proclamation of Henry III., . . . doubtless circular throughout England. Hallam. 5. Perfect; complete. [Obs.] A man so absolute and circular In all those wished-for rarities that may take A virgin captive. Massinger. Circular are, any portion of the circumference of a circle. -- Circular cubics (Math.), curves of the third order which are imagined to pass through the two circular points at infinity. -- Circular functions. (Math.) See under Function. -- Circular instruments, mathematical instruments employed for measuring angles, in which the graduation extends round the whole circumference of a circle, or 360º. -- Circular lines, straight lines pertaining to the circle, as sines, tangents, secants, etc. -- Circular note or letter. (a) (Com.) See under Credit. (b) (Diplomacy) A letter addressed in identical terms to a number of persons. -- Circular numbers (Arith.), those whose powers terminate in the same digits as the roots themselves; as 5 and 6, whose squares are 25 and 36. Bailey. Barlow. -- Circular points at infinity (Geom.), two imaginary points at infinite distance through which every circle in the plane is, in the theory of curves, imagined to pass. -- Circular polarization. (Min.) See under Polarization. -- Circular or Globular sailing (Naut.), the method of sailing by the arc of a great circle. -- Circular saw. See under Saw.\n\n1. A circular letter, or paper, usually printed, copies of which are addressed or given to various persons; as, a business circular. 2. A sleeveless cloak, cut in circular form.
circularise |1. to canvass by distributing letters. Syn. -- circularize. [WordNet 1.5] 2. to distribute circulars to. Syn. -- circularize. [WordNet 1.5] 3. to to pass around, as information. Syn. -- circulate, circularize, distribute, disseminate, propagate, broadcast, spread, diffuse, disperse. [WordNet 1.5]
circularity |The quality or state of being circular; a circular form.
circularly |In a circular manner.
circulary |Circular; illogical. [Obs. & .] \"Cross and circulary speeches.\" Hooker.
circulate |1. To move in a circle or circuitously; to move round and return to the same point; as, the blood circulates in the body. Boyle. 2. To pass from place to place, from person to person, or from hand to hand; to be diffused; as, money circulates; a story circulates. Circulating decimal. See Decimal. -- Circulating library, a library whose books are loaned to the public, usually at certain fixed rates. -- Circulating medium. See Medium.\n\nTo cause to pass from place to place, or from person to person; to spread; as, to circulate a report; to circulate bills of credit. Circulating pump. See under Pump. Syn. -- To spread; diffuse; propagate; disseminate.
circulation |1. The act of moving in a circle, or in a course which brings the moving body to the place where its motion began. This continual circulation of human things. Swift. 2. The act of passing from place to place or person to person; free diffusion; transmission. The true doctrines of astronomy appear to have had some popular circulation. Whewell. 3. Currency; circulating coin; notes, bills, etc., current for coin. 4. The extent to which anything circulates or is circulated; the measure of diffusion; as, the circulation of a newspaper. 5. (Physiol.)  The movement of the blood in the blood-vascular system, by which it is brought into close relations with almost every living elementary constituent. Also, the movement of the sap in the vessels and tissues of plants.
circulative |Promoting circulation; circulating. [R.] Coleridge.
circulator |One who, or that which, circulates.
circulatorious |Travelling from house to house or from town to town; itinerant. [Obs.] \"Circulatorious jugglers.\" Barrow.
