freebooty |Freebootery. [Obs.]
frightfully |In a frightful manner; to a frightful dagree.
frightfulness |The quality of being frightful.
frightless |Free from fright; fearless. [Obs.]
frightment |Fear; terror. [Obs.]
frigid |1. Cold; wanting heat or warmth; of low temperature; as, a frigid climate. 2. Wanting warmth, fervor, ardor, fire, vivacity, etc.; unfeeling; forbidding in manner; dull and unanimated; stiff and formal; as, a frigid constitution; a frigid style; a frigid look or manner; frigid obedience or service. 3. Wanting natural heat or vigor sufficient to excite the generative power; impotent. Johnson. Frigid zone, that part of the earth which lies between either polar circle and its pole. It extends 23Arctic.
frigidarium |The cooling room of the Roman thermæ, furnished with a cold bath.
frigidity |1. The condition or quality of being frigid; coldness; want of warmth. Ice is water congealed by the frigidity of the air. Sir T. Browne. 2. Want of ardor, animation, vivacity, etc.; coldness of affection or of manner; dullness; stiffness and formality; as, frigidity of a reception, of a bow, etc. 3. Want of heat or vigor; as, the frigidity of old age.
frigidly |In a frigid manner; coldly; dully; without affection.
frigidness |The state of being frigid; want of heat, vigor, or affection; coldness; dullness.
frigorific |Causing cold; producing or generating cold. Quincy.
frigorifical |Causing cold; producing or generating cold. Quincy.
frijol |1. In Mexico, the southwestern United States, and the West Indies, any cultivated bean of the genus Phaseolus, esp. the black seed of a variety of P. vulgaris. 2.  The beanlike seed of any of several related plants, as the cowpea. Frijoles are an important article of diet among Spanish- American peoples, being used as an ingredient of many dishes.
frijole |1. In Mexico, the southwestern United States, and the West Indies, any cultivated bean of the genus Phaseolus, esp. the black seed of a variety of P. vulgaris. 2.  The beanlike seed of any of several related plants, as the cowpea. Frijoles are an important article of diet among Spanish- American peoples, being used as an ingredient of many dishes.
frill |1. To shake or shiver as with cold; as, the hawk frills. Johnson. 2. (Photog.)  To wrinkle; -- said of the gelatin film.\n\nTo provide or decorate with a frill or frills; to turn back. in crimped plaits; as, to frill a cap.\n\n(a) A ruffing of a bird's feathers from cold. (b) A ruffle, consisting of a fold of membrane, of hairs, or of feathers, around the neck of an animal. See Frilled lizard (below). (c) A similar ruffle around the legs or other appendages of animals. (d) A ruffled varex or fold on certain shells. 2. A border or edging secured at one edge and left free at the other, usually fluted or crimped like a very narrow flounce.
frilled |Furnished with a frill or frills. Frilled lizard (Zoöl.), a large Australian lizard (Chlamydosaurus Kingii) about three feet long, which has a large, erectile frill on each side of the neck.
frim |Flourishing; thriving; fresh; in good case; vigorous. [Obs.] \"Frim pastures.\" Drayton.
frimaire |The third month of the French republican calendar. It commenced November 21, and ended December 20., See Vendémiaire.
fringe |1. An ornamental appendage to the border of a piece of stuff, originally consisting of the ends of the warp, projecting beyond the woven fabric; but more commonly made separate and sewed on, consisting sometimes of projecting ends, twisted or plaited together, and sometimes of loose threads of wool, silk, or linen, or narrow strips of leather, or the like. 2. Something resembling in any respect a fringe; a line of objects along a border or edge; a border; an edging; a margin; a confine. The confines of grace and the fringes of repentance. Jer. Taylor. 3. (Opt.)  One of a number of light or dark bands, produced by the interference of light; a diffraction band; -- called also interference fringe. 4. (Bot.)  The peristome or fringelike appendage of the capsules of most mosses. See Peristome. Fringe tree (Bot.), a small tree (Chionanthus Virginica), growing in the Southern United States, and having snow- white flowers, with long pendulous petals.\n\nTo adorn the edge of with a fringe or as with a fringe. Precipices fringed with grass. Bryant. Fringing reef. See Coral reefs, under Coral.
fringe tree |A small oleaceous tree (Chionanthus virginica), of the southern United States, having clusters of white flowers with slender petals. It is often cultivated.
fringed |Furnished with a fringe. Fringed lear (Bot.), a leaf edged with soft parallel hairs.
fringeless |Having no fringe.
fringent |Encircling like a fringe; bordering. [R.] \"The fringent air.\" Emerson.
fringilla |A genus of birds, with a short, conical, pointed bill. It formerly included all the sparrows and finches, but is now restricted to certain European finches, like the chaffinch and brambling.
fringillaceous |Fringilline.
fringilline |Pertaining to the family Fringillidæ; characteristic of finches; sparrowlike.
fringy |Aborned with fringes. Shak.
fripper |One who deals in frippery or in old clothes. [Obs.] Bacon.
fripperer |A fripper. [Obs.] Johnson.
frippery |1. Coast-off clothes. [Obs.] B. Jonson. 2. Hence: Secondhand finery; cheap and tawdry decoration; affected elegance. Fond of gauze and French frippery. Goldsmith. The gauzy frippery of a French translation. Sir W. Scott. 3. A place where old clothes are sold. Shak. 4. The trade or traffic in old clothes.\n\nTrifling; contemptible.
frisette |a fringe of hair or curls worn about the forehead by women.
friseur |A hairdresser.
frisian |Of or pertaining to Friesland, a province of the Netherlands; Friesic.\n\nA native or inhabitant of Friesland; also, the language spoken in Friesland. See Friesic, n.
frisk |Lively; brisk; frolicsome; frisky. [Obs.] Bp. Hall.\n\nA frolic; a fit of wanton gayety; a gambol: a little playful skip or leap. Johnson.\n\nTo leap, skip, dance, or gambol, in fronc and gayety. The frisking satyrs on the summits danced. Addison.
friskal |A leap or caper. [Obs.] B. Jonson.
frisker |One who frisks; one who leaps of dances in gayety; a wanton; an inconstant or unsettled person. Camden.
frisket |The light frame which holds the sheet of paper to the tympan in printing.
friskful |Brisk; lively; frolicsome.
friskily |In a frisky manner.
friskiness |State or quality of being frisky.
frisky |Inclined to frisk; frolicsome; gay. He is too frisky for an old man. Jeffrey.
frislet |[Fraise a kind of defense; also Friz.) A kind of small ruffle. Halliwell.
frist |To sell upon credit, as goods. [R.] Crabb.
frisure |The dressing of the hair by crisping or curling. Smollett.
frit |1. (Glass Making)  The material of which glass is made, after having been calcined or partly fused in a furnace, but before vitrification. It is a composition of silex and alkali, occasionally with other ingredients. Ure. 2. (Ceramics)  The material for glaze of pottery. Frit brick, a lump of calcined glass materials, brought to a pasty condition in a reverberatory furnace, preliminary to the perfect vitrification in the melting pot.\n\nTo prepare by heat (the materials for making glass); to fuse partially. Ure.\n\nTo fritter; -- with away. [R.] Ld. Lytton.
fritfly |A small dipterous fly of the genus Oscinis, esp. O. vastator, injurious to grain in Europe, and O. Trifole, injurious to clover in America.
frith |1. (Geog.)  A narrow arm of the sea; an estuary; the opening of a river into the sea; as, the Frith of Forth. 2. A kind of weir for catching fish. [Eng.] Carew.\n\n1. A forest; a woody place. [Obs.] Drayton. 2. A small field taken out of a common, by inclosing it; an inclosure. [Obs.] Sir J. Wynne.
frithstool |A seat in churches near the altar, to which offenders formerly fled for sanctuary. [Written variously fridstool, freedstool, etc.] [Obs.]
frithy |Woody. [Obs.] Skelton.
fritillaria |A genus of liliaceous plants, of which the crown-imperial (Fritillaria imperialis) is one species, and the Guinea-hen flower (F. Meleagris) another. See Crown-imperial.
fritillary |1. (Bot.)  A plant with checkered petals, of the genus Fritillaria: the Guinea-hen flower. See Fritillaria. 2. (Zoöl.)  One of several species of butterflies belonging to Argynnis and allied genera; -- so called because the coloring of their wings resembles that of the common Fritillaria. See Aphrodite.
fritinancy |A chirping or creaking, as of a cricket. [Obs.] Sir T. Browne.
fritter |1. A small quantity of batter, fried in boiling lard or in a frying pan. Fritters are of various kinds, named from the substance inclosed in the batter; as, apple fritters, clam fritters, oyster fritters. 2. A fragment; a shred; a small piece. And cut whole giants into fritters. Hudibras. Corn fritter. See under Corn.\n\n1. To cut, as meat, into small pieces, for frying. 2. To break into small pieces or fragments. Break all nerves, and fritter all their sense. Pope. To fritter away, to diminish; to pare off; to reduce to nothing by taking away a little at a time; also, to waste piecemeal; as, to fritter away time, strength, credit, etc.
fritting |The formation of frit or slag by heat with but incipient fusion.
frivol |To act frivolously; to trifle. Kipling. -- Friv\"ol*er (#), Friv\"ol*ler, n. [All Colloq.]
frivolism |Frivolity. [R.] Pristley.
frivolity |The condition or quality of being frivolous; also, acts or habits of trifling; unbecoming levity of disposition.
frivolous |1. Of little weight or importance; not worth notice; slight; as, a frivolous argument. Swift. 2. Given to trifling; marked with unbecoming levity; silly; interested especially in trifling matters. His personal tastes were low and frivolous. Macaulay. Syn. -- Trifling; trivial; slight; petty; worthless. -- Friv\"o*lous*ly, adv. -- Friv\"o*lous*ness, n.
friz |1. To curl or form into small curls, as hair, with a crisping pin; to crisp. With her hair frizzed short up to her ears. Pepys. 2. To form into little burs, prominences, knobs, or tufts, as the nap of cloth. 3. (Leather Manufacture)  To soften and make of even thickness by rubbing, as with pumice stone or a blunt instrument. Frizzing machine. (a) (Fabrics) A machine for frizzing the surface of cloth. (b) (Wood Working) A bench with a revolving cutter head slightly protruding above its surface, for dressing boards.\n\nThat which is frizzed; anything crisped or curled, as a wig; a frizzle. [Written also frizz.] He [Dr. Johnson], who saw in his glass how his wig became his face and head, might easily infer that a similar fullbottomed, well-curled friz of words would be no less becoming to his thoughts. Hare.
frize |See 1st Frieze.
frizel |A movable furrowed piece of steel struck by the flint, to throw sparks into the pan, in an early form of flintlock. Knight.
frizette |a fringe of hair or curls worn about the forehead by women.\n\nA curl of hair or silk; a pad of frizzed hair or silk worn by women under the hair to stuff it out.
frizz |See Friz, v. t. & n.
frizzle |To curl or crisp, as hair; to friz; to crinkle. Gay. To frizzle up, to crinkle or crisp excessively.\n\nA curl; a lock of hair crisped. Milton.
frizzler |One who frizzles.
frizzly |Curled or crisped; as, frizzly, hair.
frizzy |Curled or crisped; as, frizzly, hair.
fro |From; away; back or backward; -- now used only in oppositionto the word to, in the phrase to and fro, that is, to and from. See To and fro under To. Millon.\n\nFrom. [Obs.] Chaucer.
frock |1. A loose outer garment; especially, a gown forming a part of European modern costume for women and children; also, a coarse hirtlike garment worn by some workmen over their ther clothes; a smock frock; as, a marketman's frock. 2. A coarse gown worn by monks or friars, and supposed to take the place of all, or nearly all, other garments. It has a hood which can be drawn over the head at pleasure, and is girded by a cord. Frock coat, a body coat for men, usually doublebreasted, the skirts not being in one piece with the body, but sewed on so as to be somewhat full. -- Smock frock. See in the Vocabulary.\n\n1. To clothe in a frock. 2. To make a monk of. Cf. Unfrock.
frocked |Clothed in a frock.
frockless |Destitute of a frock.
froe |A dirty woman; a slattern; a frow. [Obs.] \"Raging frantic froes.\" Draylon.\n\nAn iron cleaver or splitting tool; a frow. [U. S.] Bartlett.
froebelian |Pertaining to, or derived from, Friedrich Froebel, or the kindergarten system of education, which he organized. -- n.  One who teaches by, or advocates the use of, the kindergarten system.
frog |1. (Zoöl.) An amphibious animal of the genus Rana and related genera, of many species. Frogs swim rapidly, and take long leaps on land. Many of the species utter loud notes in the springtime. Note: The edible frog of Europe (Rana esculenta) is extensively used as food; the American bullfrog (R. Catesbiana) is remarkable for its great size and loud voice. 2. Etym: [Perh. akin to E. fork, cf. frush frog of a horse.] (Anat.)  The triangular prominence of the hoof, in the middle of the sole of the foot of the horse, and other animals; the fourchette. 3. (Railroads)  A supporting plate having raised ribs that form continuations of the rails, to guide the wheels where one track branches from another or crosses it. 4. Etym: [Cf. fraco of wool or silk, L. floccus, E. frock.]  An oblong cloak button, covered with netted thread, and fastening into a loop instead of a button hole. 5. The loop of the scabbard of a bayonet or sword. Cross frog (Railroads), a frog adapted for tracks that cross at right angles. -- Frog cheese, a popular name for a large puffball. -- Frog eater, one who eats frogs; -- a term of contempt applied to a Frenchman by the vulgar class of English. -- Frog fly. (Zoöl.) See Frog hopper. -- Frog hopper (Zoöl.), a small, leaping, hemipterous insect living on plants. The larvæ are inclosed are frothy liquid called cuckoo spit or frog spit. -- Frog lily (Bot.), the yellow water lily (Nuphar). -- Frog spit (Zoöl.), the frothy exudation of the frog hopper; -- called also frog spittle. See Cuckoo spit, under Cuckoo.\n\nTo ornament or fasten (a coat, etc.) with trogs. See Frog, n., 4.
frog-eyed |Spotted with whitish specks due to a disease, or produced artificially by spraying; -- said of tobacco used for cigar wrappers.
frogbit |(a) A European plant (Hydrocharis Morsus-ranæ), floating on still water and propagating itself by runners. It has roundish leaves and small white flowers. (b) An American plant (Limnobium Spongia), with similar habits.
frogfish |(a) See Angler, n., 2. (b) An oceanic fish of the genus Antennarius or Pterophrynoides; -- called also mousefish and toadfish.
frogged |Provided or ornamented with frogs; as, a frogged coat. See Frog, n., 4. Ld. Lytton.
froggy |Abounding in frogs. Sherwood.
frogmouth |One of several species of Asiatic and East Indian birds of the genus Batrachostomus (family Podargidæ); -- so called from their very broad, flat bills.
frogs-bit |Frogbit.
frogshell |One of numerous species of marine gastropod shells, belonging to Ranella and allied genera.
froise |A kind of pancake. See 1st Fraise. [Written also fraise.]
frolic |Full of levity; dancing, playing, or frisking about; full of pranks; frolicsome; gay; merry. The frolic wind that breathes the spring. Milton. The gay, the frolic, and the loud. Waller.\n\n1. A wild prank; a flight of levity, or of gayety and mirth. He would be at his frolic once again. Roscommon. 2. A scene of gayety and mirth, as in lively play, or in dancing; a merrymaking.\n\nTo play wild pranks; to play tricks of levity, mirth, and gayety; to indulge in frolicsome play; to sport. Hither, come hither, and frolic and play. Tennyson.
frolicful |Frolicsome. [R.]
frolicky |Frolicsome. [Obs.] Richardson.
frolicly |In a frolicsome manner; with mirth and gayety. [Obs.] Beau. & Fl.
frolicsome |Full of gayety and mirth; given to pranks; sportive. Old England, who takes a frolicsome brain fever once every two or three years, for the benefit of her doctors. Sir W. Scott. -- Frol\"ic*some*ly, adv. -- Frol\"ic*some*ness, n.
from |Out of the neighborhood of; lessening or losing proximity to; leaving behind; by reason of; out of; by aid of; -- used whenever departure, setting out, commencement of action, being, state, occurrence, etc., or procedure, emanation, absence, separation, etc., are to be expressed. It is construed with, and indicates, the point of space or time at which the action, state, etc., are regarded as setting out or beginning; also, less frequently, the source, the cause, the occasion, out of which anything proceeds; -- the aritithesis and correlative of to; as, it, is one hundred miles from Boston to Springfield; he took his sword from his side; light proceeds from the sun; separate the coarse wool from the fine; men have all sprung from Adam, and often go from good to bad, and from bad to worse; the merit of an action depends on the principle from which it proceeds; men judge of facts from personal knowledge, or from testimony. Experience from the time past to the time present. Bacon. The song began from Jove. Drpden. From high Mæonia's rocky shores I came. Addison. If the wind blow any way from shore. Shak. Note: From sometimes denotes away from, remote from, inconsistent with. \"Anything so overdone is from the purpose of playing.\" Shak. From, when joined with another preposition or an adverb, gives an opportunity for abbreviating the sentence. \"There followed him great multitudes of people . . . from [the land] beyond Jordan.\" Math. iv. 25. In certain constructions, as from forth, from out, etc., the ordinary and more obvious arrangment is inverted, the sense being more distinctly forth from, out from -- from being virtually the governing preposition, and the word the adverb. See From off, under Off, adv., and From afar, under Afar, adv. Sudden partings such as press The life from out young hearts. Byron.
fromward |A way from; -- the contrary of toward. [Obs.] Towards or fromwards the zenith. Cheyne.
fromwards |A way from; -- the contrary of toward. [Obs.] Towards or fromwards the zenith. Cheyne.
frond |The organ formed by the combination or union into one body of stem and leaf, and often bearing the fructification; as, the frond of a fern or of a lichen or seaweed; also, the peculiar leaf of a palm tree.
frondation |The act of stripping, as trees, of leaves or branches; a kind of pruning. Evelyn.
fronde |A political party in France, during the minority of Louis XIV., who opposed the government, and made war upon the court party.
fronded |Furnished with fronds. \"Fronded palms.\" Whittier.
frondent |Covered with leaves; leafy; as, a frondent tree. [R.]
frondesce |To unfold leaves, as plants.
frondescence |(a) The time at which each species of plants unfolds its leaves. (b) The act of bursting into leaf. Milne. Martyn.
frondeur |A member of the Fronde.
frondiferous |Producing fronds.
frondlet |A very small frond, or distinct portion of a compound frond.
frondose |(a) Frond bearing; resembling a frond; having a simple expansion not separable into stem and leaves. (b) Leafy. Gray.
frondous |Frondose. [R.]
frons |The forehead; the part of the cranium between the orbits and the vertex.
front |1. The forehead or brow, the part of the face above the eyes; sometimes, also, the whole face. Bless'd with his father's front, his mother's tongue. Pope. Grim-visaged war hath smoothed his wrinkled front. Shak. His front yet threatens, and his frowns command. Prior. 2. The forehead, countenance, or personal presence, as expressive of character or temper, and especially, of boldness of disposition, sometimes of impudence; seeming; as, a bold front; a hardened front. With smiling fronts encountering. Shak. The inhabitants showed a bold front. Macaulay. 3. The part or surface of anything which seems to look out, or to be directed forward; the fore or forward part; the foremost rank; the van; -- the opposite to back or rear; as, the front of a house; the front of an army. Had he his hurts before Ay, on the front. Shak. 4. A position directly before the face of a person, or before the foremost part of a thing; as, in front of un person, of the troops, or of a house. 5. The most conspicuous part. The very head and front of my offending. Shak. 6. That which covers the foremost part of the head: a front piece of false hair worn by women. Like any plain Miss Smith's, who wears s front. Mrs. Browning. 7. The beginning. \"Summer's front.\" Shak. Bastioned front (Mil.), a curtain connerting two half bastions. -- Front door, the door in the front wall of a building, usually the principal entrance. -- Front of fortification, the works constructed upon any one side of a polygon. Farrow. -- Front of operations, all that part of the field of operations in front of the successive positions occupied by the army as it moves forward. Farrow. -- To come to the front, to attain prominence or leadership.\n\nOf or relating to the front or forward part; having a position in front; foremost; as, a front view.\n\n1. To oppose face to face; to oppose directly; to meet in a hostile manner. You four shall front them in the narrow lane. Shak. 2. To appear before; to meet. [Enid] daily fronted him In some fresh splendor. Tennyson. 3. To face toward; to have the front toward; to confront; as, the house fronts the street. And then suddenly front the changed reality. J. Morley. 4. To stand opposed or opposite to, or over against as, his house fronts the church. 5. To adorn in front; to supply a front to; as, to front a house with marble; to front a head with laurel. Yonder walls, that pertly front your town. Shak.\n\nTo have or turn the face or front in any direction; as, the house fronts toward the east.
frontage |The front part of an edifice or lot; extent of front.
frontal |Belonging to the front part; being in front; esp. (Anat.),  Of or pertaining to the forehead or the anterior part of the roof of the brain case; as, the frontal bones.\n\n1. Something worn on the forehead or face; a frontlet; as: (a) An ornamental band for the hair. (b) (Mil.) The metal face guard of a soldier. 2. (Arch.)  A little pediment over a door or window. 3. (Eccl.)  A movable, decorative member in metal, carved wood, or, commonly, in rich stuff or in embroidery, covering the front of the altar. Frontals are usually changed according to the different ceremonies. 4. (Med.)  A medicament or application for the forehead. [Obs.] Quincy. 5. (Anat.)  The frontal bone, or one of the two frontal bones, of the cranium. Frontal hammer or helve, a forge hammer lifted by a cam, acting upon a \"tongue\" immediately in front of the hammer head. Raymond.
frontate |Growing broader and broader, as a leaf; truncate.
frontated |Growing broader and broader, as a leaf; truncate.
fronted |Formed with a front; drawn up in line. \"Fronted brigades.\" Milton.
frontier |1. That part of a country which fronts or faces another country or an unsettled region; the marches; the border, confine, or extreme part of a country, bordering on another country; the border of the settled and cultivated part of a country; as, the frontier of civilization. 2. (Fort.)  An outwork. [Obs.] Palisadoes, frontiers, parapets. Shak.\n\n1. Lying on the exterior part; bordering; conterminous; as, a frontier town. 2. Of or relating to a frontier. \"Frontier experience.\" W. Irving.\n\nTo constitute or form a frontier; to have a frontier; -- with on. [Obs.] Sir W. Temple.
frontiered |Placed on the frontiers. [R.]
frontiersman |A man living on the frontier.
frontignac |1. A sweet muscadine wine made in Frontignan (Languedoc), France. 2. (Bot.)  A grape of many varieties and colors.
frontignan |1. A sweet muscadine wine made in Frontignan (Languedoc), France. 2. (Bot.)  A grape of many varieties and colors.
frontingly |In a fronting or facing position; opposingly.
frontiniac |See Frontignac.
frontispiece |The part which first meets the eye; as: (a) (Arch.) The principal front of a building. [Obs. or R.] (b) An ornamental figure or illustration fronting the first page, or titlepage, of a book; formerly, the titlepage itself.
frontless |Without face or front; shameless; not diffident; impudent. [Obs.] \"Frontless vice.\" Dryden. \"Frontless flattery.\" Pope.
frontlessly |Shamelessly; impudently. [Obs.]
frontlet |1. A frontal or brow band; a fillet or band worn on the forehead. They shall be as frontlets between thine eyes. Deut. vi. 8. 2. A frown (likened to a frontlet). [R. & Poetic] What makes that frontlet on Methinks you are too much of late i' the frown. Shak. 3. (Zoöl.)  The margin of the head, behind the bill of birds, often bearing rigid bristles.
fronto- |A combining form signifying relating to the forehead or the frontal bone; as, fronto-parietal, relating to the frontal and the parietal bones; fronto-nasal, etc.
fronton |Same as Frontal, 2.
froppish |Peevish; froward. [Obs.] Clarendon.
frore |Frostily. [Obs.] The parching air Burns frore, and cold performs the effect of fire. Milton.
frorn |Frozen. [Obs.] Well nigh frorn I feel. Spenser.
frory |1. Frozen; stiff with cold. [Obs.] Spenser. 2. Covered with a froth like hoarfrost. [Archaic] The foaming steed with frory bit to steer. Fairfax.
frost |1. The act of freezing; -- applied chiefly to the congelation of water; congelation of fluids. 2. The state or temperature of the air which occasions congelation, or the freezing of water; severe cold or freezing weather. The third bay comes a frost, a killing frost. Shak. 3. Frozen dew; -- called also hoarfrost or white frost. He scattereth the frost like ashes. Ps. cxlvii. 16. 4. Coldness or insensibility; severity or rigidity of character. [R.] It was of those moments of intense feeling when the frost of the Scottish people melts like a snow wreath. Sir W. Scott. Black frost, cold so intense as to freeze vegetation and cause it to turn black, without the formation of hoarfrost. -- Frost bearer (Physics), a philosophical instrument illustrating the freezing of water in a vacuum; a cryophous. -- Frost grape (Bot.), an American grape, with very small, acid berries. -- Frost lamp, a lamp placed below the oil tube of an Argand lamp to keep the oil limpid on cold nights; -- used especially in lighthouses. Knight. -- Frost nail, a nail with a sharp head driven into a horse's shoe to keen him from slipping. -- Frost smoke, an appearance resembling smoke, caused by congelation of vapor in the atmosphere in time of severe cold. The brig and the ice round her are covered by a strange black obscurity: it is the frost smoke of arctic winters. Kane. -- Frost valve, a valve to drain the portion of a pipe, hydrant, pump, etc., where water would be liable to freeze. -- Jack Frost, a popular personification of frost.\n\n1. To injure by frost; to freeze, as plants. 2. To cover with hoarfrost; to produce a surface resembling frost upon, as upon cake, metals, or glass. While with a hoary light she frosts the ground. Wordsworth. 3. To roughen or sharpen, as the nail heads or calks of horseshoes, so as to fit them for frosty weather.
frost signal |A signal consisting of a white flag with a black center, used by the United States Weather Bureau to indicate that a local frost is expected. It is used only in Florida and along the coasts of the Pacific and the Gulf Mexico.
frost-bitten |Nipped, withered, or injured, by frost or freezing.
frost-blite |(a) A plant of the genus Atriplex; orache. Gray. (b) The lamb's-quarters (Chenopodium album). Dr. Prior.
frostbird |The golden plover.
frostbite |The freezing, or effect of a freezing, of some part of the body, as the ears or nose. Kane.\n\nTo expose to the effect of frost, or a frosty air; to blight or nip with frost. My wife up and with Mrs. Pen to walk in the fields to frostbite themselves. Pepys.
frostbow |A white arc or circle in the sky attending frosty weather and formed by reflection of sunlight from ice crystals floating in the air; the parhelic circle whose center is at the zenith.
frosted |Covered with hoarfrost or anything resembling hoarfrost; ornamented with frosting; also, frost-bitten; as, a frosted cake; frosted glass. Frosted work is introduced as a foil or contrast to burnished work. Knight.
frostfish |(a) The tomcod; -- so called because it is abundant on the New England coast in autumn at about the commencement of frost. See Tomcod. (b) The smelt. [Local, U. S.] (c) A name applied in New Zealand to the scabbard fish (Lepidotus) valued as a food fish.
frostily |In a frosty manner.
frostiness |State or quality of being frosty.
frosting |1. A composition of sugar and beaten egg, used to cover or ornament cake, pudding, etc. 2. A lusterless finish of metal or glass; the process of producing such a finish.
frostless |Free from frost; as, a frostless winter.
frostweed |An American species of rockrose (Helianthemum Canadense), sometimes used in medicine as an astringent or aromatic tonic. Note: It has large yellow flowers which are often sterile, and later it has abundant but inconspicuous flowers which bear seed. It is so called because, late in autumn, crystals of ice shoot from the cracked bark at the root; -- called also frostwort.
frostwork |The figurework, often fantastic and delicate, which moisture sometimes forms in freezing, as upon a window pane or a flagstone.
frostwort |Same as Frostweed.
frosty |1. Attended with, or producing, frost; having power to congeal water; cold; freezing; as, a frosty night. 2. Covered with frost; as, the grass is frosty. 3. Chill in affection; without warmth of affection or courage. Johnson. 4. Appearing as if covered with hoarfrost; white; gray-haired; as, a frosty head. Shak.
frote |To rub or wear by rubbing; to chafe. [Obs.] B. Jonson.
froterer |One who frotes; one who rubs or chafes. [Obs.] Marston.
froth |1. The bubbles caused in fluids or liquors by fermentation or agitation; spume; foam; esp., a spume of saliva caused by disease or nervous excitement. 2. Any empty, senseless show of wit or eloquence; rhetoric without thought. Johnson. It was a long speech, but all froth. L'Estrange. 3. Light, unsubstantial matter. Tusser. Froth insect (Zoöl.), the cuckoo spit or frog hopper; -- called also froth spit, froth worm, and froth fly. -- Froth spit. See Cuckoo spit, under Cuckoo.\n\n1. To cause to foam. 2. To spit, vent, or eject, as froth. He . . . froths treason at his mouth. Dryden. Is your spleen frothed out, or have ye more Tennyson. 3. To cover with froth; as, a horse froths his chain.\n\nTo throw up or out spume, foam, or bubbles; to foam; as beer froths; a horse froths.
frothily |In a frothy manner.
frothiness |State or quality of being frothy.
frothing |Exaggerated declamation; rant.
frothless |Free from froth.
frothy |1. Full of foam or froth, or consisting of froth or light bubbles; spumous; foamy. 2. Not firm or solid; soft; unstable. Bacon. 3. Of the nature of froth; light; empty; unsubstantial; as, a frothy speaker or harangue. Tillotson.
froufrou |A rustling, esp. the rustling of a woman's dress.
frounce |To gather into or adorn with plaits, as a dress; to form wrinkles in or upon; to curl or frizzle, as the hair. Not tricked and frounced, as she was wont. Milton.\n\nTo form wrinkles in the forehead; to manifest displeasure; to frown. [Obs.] The Commons frounced and stormed. Holland.\n\n1. A wrinkle, plait, or curl; a flounce; -- also, a frown. [Obs.] Beau. & Fl. 2. An affection in hawks, in which white spittle gathers about the hawk's bill. Booth.
frounceless |Without frounces. Rom. of R.
frouzy |Fetid, musty; rank; disordered and offensive to the smell or sight; slovenly; dingy. See Frowzy. \"Petticoats in frouzy heaps.\" Swift.
frow |1. A woman; especially, a Dutch or German woman. Beau. & Fl. 2. A dirty woman; a slattern. [Prov. Eng.] Halliwell.\n\nA cleaving tool with handle at right angles to the blade, for splitting cask staves and shingles from the block; a frower.\n\nBrittle. [Obs.] Evelyn.
froward |Not willing to yield or compIy with what is required or is reasonable; perverse; disobedient; peevish; as, a froward child. A froward man soweth strife. Prov. xvi. 28. A froward retention of custom is as turbulent a thing as innovation. Bacon. Syn. -- Untoward; wayward; unyielding; ungovernable: refractory; obstinate; petulant; cross; peevish. See Perverse. -- Fro\"ward*ly, adv. -- Fro\"ward*ness, n.
frower |A tool. See 2d Frow. Tusser.
frowey |Working smoothly, or without splitting; -- said of timber.
frown |1. To contract the brow in displeasure, severity, or sternness; to scowl; to put on a stern, grim, or surly look. The frowning wrinkle of her brow. Shak. 2. To manifest displeasure or disapprobation; to look with disfavor or threateningly; to lower; as, polite society frowns upon rudeness. The sky doth frown and lower upon our army. Shak.\n\nTo repress or repel by expressing displeasure or disapproval; to rebuke with a look; as, frown the impudent fellow into silence.\n\n1. A wrinkling of the face in displeasure, rebuke, etc.; a sour, severe, or stere look; a scowl. His front yet threatens, and his frowns command. Prior. Her very frowns are fairer far Than smiles of other maidens are. H. Coleridge. 2. Any expression of displeasure; as, the frowns of Providence; the frowns of Fortune.
frowningly |In a frowning manner.
frowny |Frowning; scowling. [Obs.] Her frowny mother's ragged shoulder. Sir F. Palgrave.
frowy |Musty. rancid; as, frowy butter. \"Frowy feed.\" Spenser
frowzy |Slovenly; unkempt; untidy; frouzy. \"With head all frowzy.\" Spenser. The frowzy soldiers' wives hanging out clothes. W. D. Howells.
froze |imp. of Freeze.
frozen |1. Congealed with cold; affected by freezing; as, a frozen brook. They warmed their frozen feet. Dryden. 2. Subject to frost, or to long and severe cold; chilly; as, the frozen north; the frozen zones. 3. Cold-hearted; unsympathetic; unyielding. [R.] Be not ever frozen, coy. T. Carew.
frozenness |A state of being frozen.
frubish |To rub up: to furbish. [Obs.] Beau. c& Et.
fructed |Bearing fruit; -- said of a tree or plant so represented upon an escutcheon. Cussans.
fructescence |The maturing or ripening of fruit. [R.] Martyn.
fructiculose |Fruitful; full of fruit.
fructidor |The twelfth month of the French republican calendar; -- commencing August 18, and ending September 16. See Vendémiaire.
fructiferuos |Bearing or producing fruit. Boyle.
fructification |1. The act of forming or producing fruit; the act of fructifying, or rendering productive of fruit; fecundation. The prevalent fructification of plants. Sir T. Brown. 2. (Bot.) (a) The collective organs by which a plant produces its fruit, or seeds, or reproductive spores. (b) The process of producing fruit, or seeds, or spores.
fructify |To bear fruit. \"Causeth the earth to fructify.\" Beveridge.\n\nTo make fruitful; to render productive; to fertilize; as, to fructify the earth.
fructose |Fruit sugar; levulose. [R.]
fructuary |One who enjoys the profits, income, or increase of anything. Kings are not proprietors nor fructuaries. Prynne.
