seedcake |A sweet cake or cooky containing aromatic seeds, as caraway. Tusser.
self-contained |1. Having self-control; reserved; uncommunicative; wholly engrossed in one's self. 2. (Mach.)  Having all the essential working parts connected by a bedplate or framework, or contained in a case, etc., so that mutual relations of the parts do not depend upon fastening outside of the machine itself. Self-contained steam engine. (a) A steam engine having both bearings for the crank shaft attached to the frame of the engine. (b) A steam engine and boiler combined and fastened together; a portable steam engine.
self-contradiction |The act of contradicting one's self or itself; repugnancy in conceptions or in terms; a proposition consisting of two members, one of which contradicts the other; as, to be and not to be at the same time is a self-contradiction.
self-contradictory |Contradicting one's self or itself.
self-control |Control of one's self; restraint exercised over one's self; self-command.
self-convicted |Convicted by one's own consciousness, knowledge, avowal, or acts.
self-conviction |The act of convicting one's self, or the state of being self- convicted.
self-created |Created by one's self; not formed or constituted by another.
self-culture |Culture, training, or education of one's self by one's own efforts.
self-deceit |The act of deceiving one's self, or the state of being self- deceived; self-deception.
self-deceived |Deceived or misled respecting one's self by one's own mistake or error.
self-deception |Self-deceit.
self-defence |See Self-defense.
self-defense |The act of defending one's own person, property, or reputation. In self-defense (Law), in protection of self, -- it being permitted in law to a party on whom a grave wrong is attempted to resist the wrong, even at the peril of the life of the assailiant. Wharton.
self-defensive |Defending, or tending to defend, one's own person, property, or reputation.
self-degradation |The act of degrading one's self, or the state of being so degraded.
self-delation |Accusation of one's self. [R.] Milman.
self-delusion |The act of deluding one's self, or the state of being thus deluded.
self-denial |The denial of one's self; forbearing to gratify one's own desires; self-sacrifice.
self-denying |Refusing to gratify one's self; self-sacrificing. -- Self`-de*ny\"ing*ly, adv.
self-dependent |Dependent on one's self; self-depending; self-reliant.
self-depending |Depending on one's self.
self-depraved |Corrupted or depraved by one's self. Milton.
self-destroyer |One who destroys himself; a suicide.
self-destruction |The destruction of one's self; self-murder; suicide. Milton.
self-destructive |Destroying, or tending to destroy, one's self or itself; rucidal.
self-determination |Determination by one's self; or, determination of one's acts or states without the necessitating force of motives; -- applied to the voluntary or activity.
self-determining |Capable of self-determination; as, the self-determining power of will.
self-devised |Devised by one's self.
self-devoted |Devoted in person, or by one's own will. Hawthorne.
self-devotement |Self-devotion. [R.]
self-devotion |The act of devoting one's self, or the state of being self- devoted; willingness to sacrifice one's own advantage or happiness for the sake of others; self-sacrifice.
self-devouring |Devouring one's self or itself. Danham.
self-diffusive |Having power to diffuse itself; diffusing itself. Norris.
self-discipline |Correction or government of one's self for the sake of improvement.
self-distrust |Want of confidence in one' self; diffidence.
self-educated |Educated by one's own efforts, without instruction, or without pecuniary assistance from others.
self-elective |Having the right of electing one's self, or, as a body, of electing its own members.
self-enjoyment |Enjoyment of one's self; self-satisfaction.
self-esteem |The holding a good opinion of one's self; self-complacency.
self-estimation |The act of estimating one's self; self-esteem.
self-evidence |The quality or state of being self-evident. Locke.
self-evident |Evident without proof or reasoning; producing certainty or conviction upon a bare presentation to the mind; as, a self-evident proposition or truth. -- Self`-ev\"i*dent*ly, adv.
self-evolution |Evolution of one's self; development by inherent quality or power.
self-exaltation |The act of exalting one's self, or the state of being so exalted.
self-examinant |One who examines himself; one given to self-examination. The humiliated self-examinant feels that there is evil in our nature as well as good. Coleridge.
self-examination |An examination into one's own state, conduct, and motives, particularly in regard to religious feelings and duties.
self-excite |To energize or excite (the field magnets of a dynamo) by induction from the residual magnetism of its cores, leading all or a part of the current thus produced through the field-magnet coils.
self-existence |Inherent existence; existence possessed by virtue of a being's own nature, and independent of any other being or cause; -- an attribute peculiar to God. Blackmore.
self-existent |Existing of or by himself,independent of any other being or cause; -- as, God is the only self-existent being.
self-explaining |Explaining itself; capable of being understood without explanation.
self-exposure |The act of exposing one's self; the state of being so exposed.
self-fertilization |The fertilization of a flower by pollen from the same flower and without outer aid; autogamy.
self-fertilized |Fertilized by pollen from the same flower.
self-glorious |Springing from vainglory or vanity; vain; boastful. Dryden.
self-government |1. The act of governing one's self, or the state of being governed by one's self; self-control; self-command. 2. Hence, government of a community, state, or nation by the joint action of the mass of people constituting such a civil body; also, the state of being so governed; democratic government; democracy. It is to self-government, the great principle of popular representation and administration, -- the system that lets in all to participate in the councels that are to assign the good or evil to all, -- that we may owe what we are and what we hope to be. D. Webster.
self-gratulation |Gratulation of one's self.
self-hardening |Designating, or pert. to, any of various steels that harden when heated to above a red heat and cooled in air, usually in a blast of cold air with moderate rapidity, without quenching. Such steels are alloys of iron and carbon with manganese, tungsten and manganese, chromium, molybdenum and manganese, etc. They are chiefly used as high-speed steels. -- Self`-hard\"en*ed, a.
self-heal |A blue-flowered labiate plant (Brunella vulgaris); the healall.
self-healing |Having the power or property of healing itself.
self-help |The act of aiding one's self, without depending on the aid of others.
self-homicide |The act of killing one's self; suicide. Hakewill.
self-ignorance |Ignorance of one's own character, powers, and limitations.
self-ignorant |Ignorant of one's self.
self-imparting |Imparting by one's own, or by its own, powers and will. Norris.
self-importance |An exaggerated estimate of one's own importance or merit, esp. as manifested by the conduct or manners; self-conceit.
self-important |Having or manifesting an exaggerated idea of one's own importance or merit.
self-imposed |Voluntarily taken on one's self; as, self-imposed tasks.
self-imposture |Imposture practiced on one's self; self-deceit. South.
self-indignation |Indignation at one's own character or actions. Baxter.
self-induction |Induction in a circuit due to the action of one portion of a current upon an adjacent portion during periods of varying current strength. The nature of the induction is such as to oppose the action which produces it.
self-indulgence |Indulgence of one's appetites, desires, or inclinations; -- the opposite of self-restraint, and self-denial.
self-indulgent |Indulging one's appetites, desires, etc., freely.
self-interest |Private interest; the interest or advantage of one's self.
self-interested |Particularly concerned for one's own interest or happiness.
self-involution |Involution in one's self; hence, abstraction of thought; reverie.
self-justifier |One who excuses or justifies himself. J. M. Mason.
self-kindled |Kindled of itself, or without extraneous aid or power. Dryden.
self-knowing |1. Knowing one's self, or one's own character, powers, and limitations. 2. Knowing of itself, without help from another.
self-knowledge |Knowledge of one's self, or of one's own character, powers, limitations, etc.
self-life |Life for one's self; living solely or chiefly for one's own pleasure or good.
self-love |The love of one's self; desire of personal happiness; tendency to seek one's own benefit or advantage. Shak. Self-love, the spring of motion, acts the soul. Pope. Syn. -- Selfishness. -- Self-love, Selfishness. The term self-love is used in a twofold sense: 1. It denotes that longing for good or for well-being which actuates the breasts of all, entering into and characterizing every special desire. In this sense it has no moral quality, being, from the nature of the case, neither good nor evil. 2. It is applied to a voluntary regard for the gratification of special desires. In this sense it is morally good or bad according as these desires are conformed to duty or opposed to it. Selfishness is always voluntary and always wrong, being that regard to our own interests, gratification, etc., which is sought or indulged at the expense, and to the injury, of others. \"So long as self-love does not degenerate into selfishness, it is quite compatible with true benevolence.\" Fleming. \"Not only is the phrase self-love used as synonymous with the desire of happiness, but it is often confounded with the word selfishness, which certainly, in strict propriety, denotes a very different disposition of mind.\" Slewart.
self-luminous |Possessing in itself the property of emitting light. Sir D. Brewster.
self-made |Made by one's self. Self-made man, a man who has risen from poverty or obscurity by means of his own talentss or energies.
self-mettle |Inborn mettle or courage; one's own temper. [Obs.] Shak.
self-motion |Motion given by inherent power, without external impulse; spontaneus or voluntary motion. Matter is not induced with self-motion. Cheyne.
self-moved |Moved by inherent power., without the aid of external impulse.
self-moving |Moving by inherent power, without the aid of external impulse.
self-murder |Suicide.
self-murderer |A suicide.
self-neglecting |A neglecting of one's self, or of one's own interests. Self-love, my liege, is not so vile a sin As self-neglecting. Shak.
self-one |Secret. [Obs.] Marston.
self-opinion |Opinion, especially high opinion, of one's self; an overweening estimate of one's self or of one's own opinion. Collier.
self-opinioned |Having a high opinion of one's self; opinionated; conceited. South.
self-originating |Beginning wwith, or springing from, one's self.
self-partiality |That partiality to himself by which a man overrates his own worth when compared with others. Kames.
self-perplexed |Perplexed by doubts originating in one's own mind.
self-posited |Disposed or arranged by an action originating in one's self or in itself. These molecular blocks of salt are self-posited. Tyndall.
self-positing |The act of disposing or arranging one's self or itself. The self-positing of the molecules. R. Watts.
self-possessed |Composed or tranquill in mind, manner, etc.; undisturbed.
self-possession |The possession of one's powers; calmness; self-command; presence of mind; composure.
self-praise |Praise of one's self.
self-preservation |The preservation of one's self from destruction or injury.
self-propagating |Propagating by one's self or by itself.
self-registering |Registering itself; -- said of any instrument so contrived as to record its own indications of phenomena, whether continuously or at stated times, as at the maxima and minima of variations; as, a self-registering anemometer or barometer.
self-regulated |Regulated by one's self or by itself.
self-regulative |Tending or serving to regulate one's self or itself. Whewell.
self-reliance |Reliance on one's own powers or judgment; self-trust.
self-reliant |Reliant upon one's self; trusting to one's own powers or judgment.
self-renunciation |The act of renouncing, or setting aside, one's own wishes, claims, etc.; self-sacrifice.
self-repellency |The quality or state of being self-repelling.
self-repelling |Made up of parts, as molecules or atoms, which mutually repel each other; as, gases are self-repelling.
self-repetition |Repetition of one's self or of one's acts; the saying or doing what one has already said or done.
self-reproach |The act of reproaching one's self; censure by one's own conscience.
self-reproached |Reproached by one's own conscience or judgment.
self-reproaching |Reproaching one's self. -- Self`-re*proach\"ing*ly, adv.
self-reproof |The act of reproving one's self; censure of one's conduct by one's own judgment.
self-reproved |Reproved by one's own conscience or one's own sense of guilt.
self-reproving |Reproving one's self; reproving by consciousness of guilt.
self-reprovingly |In a self-reproving way.
self-repugnant |Self-contradictory; inconsistent. Brougham.
self-repulsive |Self-repelling.
self-respect |Respect for one's self; regard for one's character; laudable self-esteem.
self-restrained |Restrained by one's self or itself; restrained by one's own power or will.
self-restraint |Restraint over one's self; self-control; self-command.
self-reverence |A reverent respect for one's self. Tennyson.
self-righteous |Righteous in one's own esteem; pharisaic.
self-righteousness |The quality or state of being self-righteous; pharisaism.
self-sacrifice |The act of sacrificing one's self, or one's interest, for others; self-devotion.
self-sacrificing |Yielding up one's own interest, ffeelings, etc; sacrificing one's self.
self-satisfaction |The quality or state of being self-satisfied.
self-satisfied |Satisfied with one's self or one's actions; self-complacent.
self-satisfying |Giving satisfaction to one's self.
self-seeker |One who seeks only his own interest, advantage, or pleasure.
self-seeking |Seeking one's own interest or happiness; selfish. Arbuthnot.\n\nThe act or habit of seeking one's own interest or happiness; selfishness.
self-slaughter |Suicide. Shak.
self-starter |A mechanism (usually one operated by electricity, compressed air, a spring, or an explosive gas), attached to an internal- combustion engine, as on an automobile, and used as a means of starting the engine without cranking it by hand.
self-sufficiency |The quality or state of being self-sufficient.
self-sufficient |1. Sufficient for one's self without external aid or coöperation. Neglect of friends can never be proved rational till we prove the person using it omnipotent and self-sufficient, and such as can never need any mortal assistance. South. 2. Having an overweening confidence in one's own abilities or worth; hence, haughty; overbearing. \"A rash and self-sufficient manner.\" I. Watts.
self-sufficing |Sufficing for one's self or for itself, without needing external aid; self-sufficient. -- Self`-suf*fi\"cing*ness, n. J. C. Shairp.
self-suspended |Suspended by one's self or by itself; balanced. Southey.
self-suspicious |Suspicious or distrustful of one's self. Baxter.
self-taught |Taught by one's own efforts.
self-tormentor |One who torments himself.
self-torture |The act of inflicting pain on one's self; pain inflicted on one's self.
self-trust |Faith in one's self; self-reliance.
self-uned |One with itself; separate from others. [Obs.] Sylvester.
self-view |A view if one's self; specifically, carefulness or regard for one's own interests
self-will |One's own will, esp. when opposed to that of others; obstinacy.
self-willed |Governed by one's own will; not yielding to the wishes of others; obstinate.
self-willedness |Obstinacy. Sir W. Scott.
self-worship |The idolizing of one's self; immoderate self-conceit.
self-wrong |Wrong done by a person himself. Shak.
selfhood |Existence as a separate self, or independent person; conscious personality; individuality. Bib. Sacra.
selfish |1. Caring supremely or unduly for one's self; regarding one's own comfort, advantage, etc., in disregard, or at the expense, of those of others. They judge of things according to their own private appetites and selfish passions. Cudworth. In that throng of selfish hearts untrue. Keble. 2. (Ethics)  Believing or teaching that the chief motives of human action are derived from love of self. Hobbes and the selfish school of philosophers. Fleming.
selfishly |In a selfish manner; with regard to private interest only or chiefly.
selfishness |The quality or state of being selfish; exclusive regard to one's own interest or happiness; that supreme self-love or self- preference which leads a person to direct his purposes to the advancement of his own interest, power, or happiness, without regarding those of others. Selfishness,- a vice utterly at variance with the happiness of him who harbors it, and, as such, condemned by self-love. Sir J. Mackintosh. Syn. -- See Self-love.
selfism |Concentration of one's interests on one's self; self-love; selfishness. Emerson.
selfist |A selfish person. [R.] I. Taylor.
selfless |Having no regard to self; unselfish. Lo now, what hearts have men! they never mount As high as woman in her selfless mood. Tennyson.
selflessness |Quality or state of being selfless.
selfness |Selfishness. [Obs.] Sir. P. Sidney.
selfsame |Precisely the same; the very same; identical. His servant was healed in the selfsame hour. Matt. viii. 13.
selion |A short piece of land in arable ridges and furrows, of uncertain quantity; also, a ridge of land lying between two furrows. [Obs. or Prov. Eng.]
seljuckian |A member of the family of Seljuk; an adherent of that family, or subject of its government; (pl.) the dynasty of Turkish sultans sprung from Seljuk.
seljukian |Of or pertaining to Seljuk, a Tartar chief who embraced Mohammedanism, and began the subjection of Western Asia to that faith and rule; of or pertaining to the dynasty founded by him, or the empire maintained by his descendants from the 10th to the 13th century. J. H. Newman.\n\nA member of the family of Seljuk; an adherent of that family, or subject of its government; (pl.) the dynasty of Turkish sultans sprung from Seljuk.
sell |Self. [Obs. or Scot.] B. Jonson.\n\nA sill. [Obs.] Chaucer.\n\nA cell; a house. [Obs.] Chaucer.\n\n1. A saddle for a horse. [Obs.] He left his lofty steed with golden self. Spenser. 2. A throne or lofty seat. [Obs.] Fairfax.\n\n1. To transfer to another for an equivalent; to give up for a valuable consideration; to dispose of in return for something, especially for money. If thou wilt be perfect, go and sell that thou hast, and give to the poor. Matt. xix. 21. I am changed; I'll go sell all my land. Shak. Note: Sell is corellative to buy, as one party buys what the other sells. It is distinguished usually from exchange or barter, in which one commodity is given for another; whereas in selling the consideration is usually money, or its representative in current notes. 2. To make a matter of bargain and sale of; to accept a price or reward for, as for a breach of duty, trust, or the like; to betray. You would have sold your king to slaughter. Shak. 3. To impose upon; to trick; to deceive; to make a fool of; to cheat. [Slang] Dickens. To sell one's life dearly, to cause much loss to those who take one's life, as by killing a number of one's assailants. -- To sell (anything) out, to dispose of it wholly or entirely; as, he had sold out his corn, or his interest in a business.\n\n1. To practice selling commodities. I will buy with you, sell with you; . . . but I will not eat with you. Shak. 2. To be sold; as, corn sells at a good price. To sell out, to sell one's whole stockk in trade or one's entire interest in a property or a business.\n\nAn imposition; a cheat; a hoax. [Colloq.]
sellanders |See Sallenders.
sellenders |See Sallenders.
seller |One who sells. Chaucer.
selters water |A mineral water from Sellers, in the district of Nassan, Germany, containing much free carbonic acid.
seltzer water |See Selters water.
seltzo-gene |A gazogene.
selvage |1. The edge of cloth which is woven in such a manner as to prevent raveling. 2. The edge plate of a lock, through which the bolt passes. Knight. 3. (Mining.)  A layer of clay or decomposed rock along the wall of a vein. See Gouge, n., 4. Raymond.
selvaged |Having a selvage.
selvagee |A skein or hank of rope yarns wound round with yarns or marline, -- used for stoppers, straps, etc.
selvas |Vast woodland plains of South America.
selve |Self; same. [Obs.] Chaucer.
selvedge |1. The edge of cloth which is woven in such a manner as to prevent raveling. 2. The edge plate of a lock, through which the bolt passes. Knight. 3. (Mining.)  A layer of clay or decomposed rock along the wall of a vein. See Gouge, n., 4. Raymond.
selvedged |Having a selvage.
selves |pl. of Self.
sely |Silly. [Obs.] Chaucer. Wyclif.
semaeostomata |A division of Discophora having large free mouth lobes. It includes Aurelia, and Pelagia. Called also Semeostoma. See Illustr. under Discophora, and Medusa.
semaphore |A signal telegraph; an apparatus for giving signals by the disposition of lanterns, flags, oscillating arms, etc.
semaphoric |Of or pertaining to a semaphore, or semaphores; telegraphic.
semaphorical |Of or pertaining to a semaphore, or semaphores; telegraphic.
semaphorically |By means a semaphore.
semaphorist |One who manages or operates a semaphore.
semasiology |The science of meanings or sense development (of words); the explanation of the development and changes of the meanings of words. --Se*ma`si*o*log\"ic*al (#), a.
sematic |Significant; ominous; serving as a warning of danger; --applied esp. to the warning colors or forms of certain animals.
sematology |The doctrine of signs as the expression of thought or reasoning; the science of indicating thought by signs. Smart.
sematrope |An instrument for signaling by reflecting the rays of the sun in different directions. Knight.
semblable |Like; similar; resembling. [Obs.] Chaucer.\n\nLikeness; representation. [Obs.]
semblably |In like manner. [Obs.] Shak.
semblance |1. Seeming; appearance; show; figure; form. Thier semblance kind, and mild their gestures were. Fairfax. 2. Likeness; resemblance, actual or apparent; similitude; as, the semblance of worth; semblance of virtue. Only semblances or imitations of shells. Woodward.
semblant |1. Like; resembling. [Obs.] Prior. 2. Seeming, rather than real; apparent. [R.] Carlyle.\n\n1. Show; appearance; figure; semblance. [Obs.] Spenser. His flatterers made semblant of weeping. Chaucer. 2. The face. [Obs.] Wyclif (Luke xxiv. 5).
semblative |Resembling. [Obs.] And all is semblative a woman's part. Shak.
semble |1. To imitate; to make a representation or likeness. [Obs.] Where sembling art may carve the fair effect. Prior. 2. (Law)  It seems; -- chiefly used impersonally in reports and judgments to express an opinion in reference to the law on some point not necessary to be decided, and not intended to be definitely settled in the cause.\n\nLike; resembling. [Obs.] T. Hudson.
sembling |The practice of attracting the males of Lepidoptera or other insects by exposing the female confined in a cage. Note: It is often adopted by collectors in order to procure specimens of rare species.
seme |Sprinkled or sown; -- said of field, or a charge, when strewed or covered with small charges.
semeiography |A description of the signs of disease.
semeiological |Of or pertaining to the science of signs, or the systematic use of signs; as, a semeiological classification of the signs or symptoms of disease; a semeiological arrangement of signs used as signals.
semeiology |The science or art of signs. Specifically: (a) (Med.) The science of the signs or symptoms of disease; symptomatology. (b) The art of using signs in signaling.
semeiotic |1. Relating to signs or indications; pertaining to the language of signs, or to language generally as indicating thought. 2. (Med.)  Of or pertaining to the signs or symptoms of diseases.
semeiotics |Semeiology.
semele |A daughter of Cadmus, and by Zeus mother of Bacchus.
semen |1. (Bot.)  The seed of plants. 2. (Physiol.)  The seed or fecundating fluid of male animals; sperm. It is a white or whitish viscid fluid secreted by the testes, characterized by the presence of spermatozoids to which it owes its generative power. Semen contra, or Semen cinæ or cynæ, a strong aromatic, bitter drug, imported from Aleppo and Barbary, said to consist of the leaves, peduncles, and unexpanded flowers of various species of Artemisia; wormseed.
semeniferous |Seminiferous.
semester |A period of six months; especially, a term in a college or uneversity which divides the year into two terms.
semi circumference |Half of a circumference.
semi crustaceous |Half crustaceous; partially crustaceous.
semi pupa |The young of an insect in a stage between the larva and pupa.
semi- |A prefix signifying half, and sometimes partly or imperfectly; as, semiannual, half yearly; semitransparent, imperfectly transparent. Note: The prefix semi is joined to another word either with the hyphen or without it. In this book the hyphen is omitted except before a capital letter; as, semiacid, semiaquatic, semi-Arian, semiaxis, semicalcareous.
semi-arian |A member of a branch of the Arians which did not acknowledge the Son to be consubstantial with the Father, that is, of the same substance, but admitted him to be of a like substance with the Father, not by nature, but by a peculiar privilege.\n\nOf or pertaining to Semi-Arianism.
semi-arianism |The doctrines or tenets of the Semi-Arians.
semi-christianized |Half Christianized.
semi-diesel |Designating an internal-combustion engine of a type resembling the Diesel engine in using as fuel heavy oil which is injected in a spray just before the end of the compression stroke and is fired without electrical ignition. The fuel is sprayed into an iron box (called a hot bulb or hot pot) opening into the combustion chamber, and heated for ignition by a blast-lamp until the engine is running, when it is, ordinarily, kept red hot by the heat of combustion.
semi-pelagian |A follower of John Cassianus, a French monk (died about 448), who modified the doctrines of Pelagius, by denying human merit, and maintaining the necessity of the Spirit's influence, while, on the other hand, he rejected the Augustinian doctrines of election, the inability of man to do good, and the certain perseverance of the saints.\n\nOf or pertaining to the Semi-Pelagians, or their tenets.
semi-pelagianism |The doctrines or tenets of the Semi-Pelagians.
semi-saxon |Half Saxon; -- specifically applied to the language intermediate between Saxon and English, belonging to the period 1150- 1250.
semiacid |Slightly acid; subacid.
semiacidified |Half acidified.
semiadherent |Adherent part way.
semiamplexicaul |Partially amplexicaul; embracing the stem half round, as a leaf.
semiangle |The half of a given, or measuring, angle.
semiannual |Half-yearly.
semiannually |Every half year.
semiannular |Having the figure of a half circle; forming a semicircle. Grew.
semiaxis |One half of the axis of an
semibarbarian |Half barbarous; partially civilized. -- n.  One partly civilized.
semibarbaric |Half barbarous or uncivilized; as, semibarbaric display.
semibarbarism |The quality or state of being half barbarous or uncivilized.
semibarbarous |Half barbarous.
semibreve |A note of half the time or duration of the breve; -- now usually called a whole note. It is the longest note in general use.
semibrief |A semibreve. [R.]
semibull |A bull issued by a pope in the period between his election and coronation.
semicalcareous |Half or partially calcareous; as, a semicalcareous plant.
semicalcined |Half calcined; as, semicalcined iron.
semicastrate |To deprive of one testicle. -- Sem`i*cas*tra\"tion,n.
semicentennial |Of or pertaining to half of a century, or a period of fifty years; as, a semicentennial commemoration.\n\nA fiftieth anniversary.
semichaotic |Partially chaotic.
semichorus |A half chorus; a passage to be sung by a selected portion of the voices, as the female voices only, in contrast with the full choir.
semicircle |1. (a) The half of a circle; the part of a circle bounded by its diameter and half of its circumference. (b) A semicircumference. 2. A body in the form of half of a circle, or half of a circumference. 3. An instrument for measuring angles.
semicircled |Semicircular. Shak.
semicircular |Having the form of half of a circle. Addison. Semicircular canals (Anat.), certain canals of the inner ear. See under Ear.
semicirque |A semicircular hollow or opening among trees or hills. Wordsworth.
semicolon |The punctuation mark [;] indicating a separation between parts or members of a sentence more distinct than that marked by a comma.
semicolumn |A half column; a column bisected longitudinally, or along its axis.
semicolumnar |Like a semicolumn; flat on one side and round on the other; imperfectly columnar.
semicompact |Half compact; imperfectly indurated.
semiconscious |Half conscious; imperfectly conscious. De Quincey.
semicope |A short cope, or an inferier kind of cope. [Obs.] Chaucer.
semicrystalline |Half crystalline; -- said of certain cruptive rocks composed partly of crystalline, partly of amorphous matter.
semicubical |Of or pertaining to the square root of the cube of a quantity. Semicubical parabola, a curve in which the ordinates are proportional to the square roots of the cubes of the abscissas.
semicubium |A half bath, or one that covers only the lewer extremities and the hips; a sitz-bath; a half bath, or hip bath.
semicupium |A half bath, or one that covers only the lewer extremities and the hips; a sitz-bath; a half bath, or hip bath.
semicylindric |Half cylindrical.
semicylyndrical |Half cylindrical.
semideistical |Half deisticsl; bordering on deism. S. Miller.
semidemiquaver |A demisemiquaver; a thirty-second note.
semidetached |Half detached; partly distinct or separate. Semidetached house, one of two tenements under a single roof, but separated by a party wall. [Eng.]
semidiameter |Half of a diameter; a right line, or the length of a right line, drawn from the center of a circle, a sphere, or other curved figure, to its circumference or periphery; a radius.
semidiapason |An imperfect octave.
semidiapente |An imperfect or diminished fifth. Busby.
semidiaphaneity |Half or imperfect transparency; translucency. [R.] Boyle.
semidiaphanous |Half or imperfectly transparent; translucent. Woodward.
semidiatessaron |An imperfect or diminished fourth. [R.]
semiditone |A lesser third, having its terms as 6 to 5; a hemiditone. [R.]
semidiurnal |1. Pertaining to, or accomplished in, half a day, or twelve hours; occurring twice every day. 2. Pertaining to, or traversed in, six hours, or in half the time between the rising and setting of a heavenly body; as, a semidiurnal arc.
semidome |A roof or ceiling covering a semicircular room or recess, or one of nearly that shape, as the apse of a church, a niche, or the like. It is approximately the quarter of a hollow sphere.
semidouble |An office or feast celebrated with less solemnity than the double ones. See Double, n., 8.\n\nHaving the outermost stamens converted into petals, while the inner ones remain perfect; -- said of a flower.
semifable |That which is part fable and part truth; a mixture of truth and fable. De Quincey.
semiflexed |Half bent.
semifloret |See Semifloscule.
semifloscular |Semiflosculous.
semifloscule |A floscule, or florest, with its corolla prolonged into a strap-shaped petal; -- called also semifloret.
semiflosculous |Having all the florets ligulate, as in the dandelion.
semifluid |Imperfectly fluid. -- n.  A semifluid substance.
semiform |A half form; an imperfect form.
semiformed |Half formed; imperfectly formed; as, semiformed crystals.
semiglutin |A peptonelike body, insoluble in alcohol, formed by boiling collagen or gelatin for a long time in water. Hemicollin, a like body, is also formed at the same time, and differs from semiglutin by being partly soluble in alcohol.
semihistorical |Half or party historical. Sir G. C. Lewis.
semihoral |Half-hourly.
semiindurated |Imperfectly indurated or hardened.
semilapidified |Imperfectly changed into stone. Kirwan.
semilens |The half of a lens divided along a plane passing through its axis.
semilenticular |Half lenticular or convex; imperfectly resembling a lens. Kirwan.
semiligneous |Half or partially ligneous, as a stem partly woody and partly herbaceous.
semiliquid |Half liquid; semifluid.
semiliquidity |The quality or state of being semiliquid; partial liquidity.
semilogical |Half logical; partly logical; said of fallacies. Whately.
semilor |A yellowish alloy of copper and zinc. See Simplor.
semilunar |Shaped like a half moon. Semilunar bone (Anat.), a bone of the carpus; the lunar. See Lunar, n. -- Semilunar, or Sigmoid, valves (Anat.), the valves at the beginning of the aorta and of the pulmonary artery which prevent the blood from flowing back into the ventricle.\n\nThe semilunar bone.
semilunary |Semilunar.
semilunate |Semilunar.
semilune |The half of a lune.
semimetal |An element possessing metallic properties in an inferior degree and not malleable, as arsenic, antimony, bismuth, molybdenum, uranium, etc. [Obs.]
semimetallic |Of or pertaining to a semimetal; possessing metallic properties in an inferior degree; resembling metal.
semimonthly |Coming or made twice in a month; as, semimonthly magazine; a semimonthly payment. -- n.  Something done or made every half month; esp., a semimonthly periodical. -- adv.  In a semimonthly manner; at intervals of half a month.
semimute |Having the faculty of speech but imperfectly developed or partially lost.\n\nA semimute person.
seminal |1. Pertaining to, containing, or consisting of, seed or semen; as, the seminal fluid. 2. Contained in seed; holding the relation of seed, source, or first principle; holding the first place in a series of developed results or consequents; germinal; radical; primary; original; as, seminal principles of generation; seminal virtue. The idea of God is, beyond all question or comparison, the one great seminal principle. Hare. Seminal leaf (Bot.), a seed leaf, or cotyleden. -- Seminal receptacle. (Zoöl.) Same as Spermatheca.\n\nA seed. [Obs.] Sir T. Browne.
seminality |The quality or state of being seminal. Sir T. Browne.
seminar |A group of students engaged, under the guidance of an instructor, in original research in a particular line of study, and in the exposition of the results by theses, lectures, etc.; -- called also seminary.
