loather |One who loathes.
logic |1. The science or art of exact reasoning, or of pure and formal thought, or of the laws according to which the processes of pure thinking should be conducted; the science of the formation and application of general notions; the science of generalization, judgment, classification, reasoning, and systematic arrangement; correct reasoning. Logic is science of the laws of thought, as that is, of the necessary conditions to which thought, considered in itself, is subject. Sir W. Hamilton. Note: Logic is distinguished as pure and applied. \" Pure logic is a science of the form, or of the formal laws, of thinking, and not of the matter. Applied logic teaches the application of the forms of thinking to those objects about which men do think. \" Abp. Thomson. 2. A treatise on logic; as, Mill's Logic.
logical |1. Of or pertaining to logic; used in logic; as, logical subtilties. Bacon. 2. According to the rules of logic; as, a logical argument or inference; the reasoning is logical. Prior. 3. Skilled in logic; versed in the art of thinking and reasoning; as, he is a logical thinker. Addison.
logicality |Logicalness.
logically |In a logical manner; as, to argue logically.
logicalness |The quality of being logical.
logician |A person skilled in logic. Bacon. Each fierce logician still expelling Locke. Pope.
logics |See Logic.
logistic |1. Logical. [Obs.] Berkeley. 2. (Math.)  Sexagesimal, or made on the scale of 60; as, logistic, or sexagesimal, arithmetic. Logistic, or Proportional, logarithms, certain logarithmic numbers used to shorten the calculation of the fourth term of a proportion of which one of the terms is a given constant quantity, commonly one hour, while the other terms are expressed in minutes and seconds; -- not now used.
logistical |1. Logical. [Obs.] Berkeley. 2. (Math.)  Sexagesimal, or made on the scale of 60; as, logistic, or sexagesimal, arithmetic. Logistic, or Proportional, logarithms, certain logarithmic numbers used to shorten the calculation of the fourth term of a proportion of which one of the terms is a given constant quantity, commonly one hour, while the other terms are expressed in minutes and seconds; -- not now used.
logistics |1. (Mil.)  That branch of the military art which embraces the details of moving and supplying armies. The meaning of the word is by some writers extended to include strategy. H. L. Scott. 2. (Math.)  A system of arithmetic, in which numbers are expressed in a scale of 60; logistic arithmetic.
logman |A man who carries logs. Shak.
logodaedaly |Verbal legerdemain; a playing with words. [R.] Coleridge.
logogram |A word letter; a phonogram, that, for the sake of brevity, represents a word; as, |, i. e., t, for it. Cf. Grammalogue.
logographer |1. A chronicler; one who writes history in a condensed manner with short simple sentences. 2. One skilled in logography.
logographic |Of or pertaining to logography.
logographical |Of or pertaining to logography.
logography |1. A method of printing in which whole words or syllables, cast as single types, are used. 2. A mode of reporting speeches without using shorthand, -- a number of reporters, each in succession, taking down three or four words. Brande & C.
logogriph |A sort of riddle in which it is required to discover a chosen word from various combinations of its letters, or of some of its letters, which form other words; -- thus, to discover the chosen word chatter form cat, hat, rat, hate, rate, etc. B. Jonson.
logomachist |One who contends about words.
logomachy |1. Contention in words merely, or a contention about words; a war of words. The discussion concerning the meaning of the word \" justification\" . . . has largely been a mere logomachy. L. Abbott. 2. A game of word making.
logometric |Serving to measure or ascertain chemical equivalents; stoichiometric. [R.]
logos |1. A word; reason; speech. H. Bushell. 2. The divine Word; Christ.
logothete |An accountant; under Constantine, an officer of the empire; a receiver of revenue; an administrator of a department.
logotype |A single type, containing two or more letters; as, æ, Æ, fi, fl, ffl, etc. ; -- called also ligature.
logroll |To engage in logrolling; to accomplish by logrolling. [Political cant, U. S.]
logroller |One who engages in logrolling. [Political cant, U. S.] The jobbers and logrollers will all be against it. The. Nation.
logrolling |1. (Logging)  The act or process of rolling logs from the place where they were felled to the stream which floats them to the sawmill or to market. In this labor neighboring camps of loggers combine to assist each other in turn. Longfellow. [U.S.] 2. Hence: A combining to assist another in consideration of receiving assistance in return; -- sometimes used of a disreputable mode of accomplishing political schemes or ends. [Cant, U.S.]
logwood |The heartwood of a tree (Hæmatoxylon Campechianum), a native of South America, It is a red, heavy wood, containing a crystalline substance called hæmatoxylin, and is used largely in dyeing. An extract from this wood is used in medicine as an astringent. Also called Campeachy wood, and bloodwood.
logy |Heavy or dull in respect to motion or thought; as, a logy horse. [U.S.] Porcupines are . . . logy, sluggish creatures. C. H. Merriam.
lohock |See Loch, a medicine.
loimic |Of or pertaining to the plague or contagious disorders.
loin |That part of a human being or quadruped, which extends on either side of the spinal column between the hip bone and the false ribs. In human beings the loins are also called the reins. See Illust. of Beef.
loir |A large European dormouse (Myoxus glis).
loiter |1. To be slow in moving; to delay; to linger; to be dilatory; to spend time idly; to saunter; to lag behind. Sir John, you loiter here too long. Shak. If we have loitered, let us quicken our pace. Rogers. 2. To wander as an idle vagrant. [Obs.] Spenser. Syn. -- To linger; delay; lag; saunter; tarry.
loiterer |1. One who loiters; an idler. 2. An idle vagrant; a tramp. [Obs.] Bp. Sanderson.
loiteringly |In a loitering manner.
lok |The evil deity, the author of all calamities and mischief, answering to the African of the Persians.
lokao |A green vegetable dye imported from China.
loke |A private path or road; also, the wicket or hatch of a door. [Prov. Eng.]
loki |The evil deity, the author of all calamities and mischief, answering to the African of the Persians.
lokorys |Liquorice. [Obs.] Chaucer.
loligo |A genus of cephalopods, including numerous species of squids, common on the coasts of America and Europe. They are much used for fish bait.
loll |1. To act lazily or indolently; to recline; to lean; to throw one's self down; to lie at ease. Void of care, he lolls supine in state. Dryden. 2. To hand extended from the mouth, as the tongue of an ox or a log when heated with labor or exertion. The triple porter of the Stygian seat, With lolling tongue, lay fawning at thy feet. Dryden . 3. To let the tongue hang from the mouth, as an ox, dog, or other animal, when heated by labor; as, the ox stood lolling in the furrow.\n\nTo let hang from the mouth, as the tongue. Fierce tigers couched around and lolled their fawning tongues. Dryden.
lollard |(a) One of a sect of early reformers in Germany. (b) One of the followers of Wyclif in England. [Called also Loller.] By Lollards all know the Wyclifities are meant, so called from Walter Lollardus, one of their teachers in Germany. Fuller.
lollardism |The doctrines or principles of the Lollards.
lollardy |The doctrines or principles of the Lollards.
loller |1. One who lolls. 2. An idle vagabond. [Obs.] Piers Plowman. 3. A Lollard.
lollingly |In a lolling manner. Buckle.
lollipop |A kind of sugar confection which dissolves easily in the mouth. Thackeray.
lollop |To move heavily; to lounge or idle; to loll. [Law.] Charles Reade.
loma |A lobe; a membranous fringe or flap.
lomatinous |Furnished with lobes or flaps.
lombar-house |1. A bank or a pawnbroker's shop. 2. A public institution for lending money to the poor at a moderate interest, upon articles deposited and pledged; -- called also mont de piété.
lombard |Of or pertaining to Lombardy, or the inhabitants of Lombardy.\n\n1. A native or inhabitant of Lombardy. 2. A money lender or banker; -- so called because the business of banking was first carried on in London by Lombards. 3. Same as Lombard-house. A Lombard unto this day signifying a bank for usury or pawns. Fuller. 4. (Mil.)  A form of cannon formerly in use. Prescott. Lombard Street, the principal street in London for banks and the offices of note brokers; hence, the money market and interest of London.
lombard-house |1. A bank or a pawnbroker's shop. 2. A public institution for lending money to the poor at a moderate interest, upon articles deposited and pledged; -- called also mont de piété.
lombardeer |A pawnbroker. [Obs.] Howell.
lombardic |Of or pertaining to Lombardy of the Lombards. Lombardic alphabet, the ancient alphabet derived from the Roman, and employed in the manuscript of Italy. -- Lombardic architecture, the debased Roman style of architecture as found in parts of Northern Italy. F. G. Lee. Lombardy poplar. (Bot.) See Poplar.
loment |An elongated pod, consisting, like the legume, of two valves, but divided transversely into small cells, each containing a single seed.
lomentaceous |Of the nature of a loment; having fruits like loments.
lomonite |Same as Laumontite.
lompish |Lumpish. [Obs.] Spenser.
lond |Land. [Obs.] Chaucer.
london |The capital city of England. London paste (Med.), a paste made of caustic soda and unslacked lime; -- used as a caustic to destroy tumors and other morbid enlargements. -- London pride. (Bot.) (a) A garden name for Saxifraga umbrosa, a hardy perennial herbaceous plant, a native of high lands in Great Britain. (b) A name anciently given to the Sweet William. Dr. Prior. -- London rocket (Bot.), a cruciferous plant (Sisymbrium Irio) which sprung up in London abundantly on the ruins of the great fire of 1667.
london smoke |A neutral tint given to spectacles, shade glasses for optical instruments, etc., which reduces the intensity without materially changing the color of the transmitted light.
london tuft |The Sweet William (Dianthus barbatus).
londoner |A native or inhabitant of London. Shak.
londonism |A characteristic of Londoners; a mode of speaking peculiar to London.
londonize |To impart to (one) a manner or character like that which distinguishes Londoners.\n\nTo imitate the manner of the people of London.
lone |A lane. See Loanin. [Prov. Eng.]\n\n1. Being without a companion; being by one's self; also, sad from lack of companionship; lonely; as, a lone traveler or watcher. When I have on those pathless wilds a appeared, And the lone wanderer with my presence cheered. Shenstone. 2. Single; unmarried, or in widowhood. [Archaic] Queen Elizabeth being a lone woman. Collection of Records (1642). A hundred mark is a long one for a poor lone woman to bear. Shak. 3. Being apart from other things of the kind; being by itself; also, apart from human dwellings and resort; as, a lone house. \" A lone isle.\" Pope. By a lone well a lonelier column rears. Byron. 4. Unfrequented by human beings; solitary. Thus vanish scepters, coronets, and balls, And leave you on lone woods, or empty walls. Pope.
lone-star state |Texas; -- a nickname alluding to the single star on its coat of arms, being the device used on its flag and seal when it was a republic.
loneliness |1. The condition of being lonely; solitude; seclusion. 2. The state of being unfrequented by human beings; as, the loneliness of a road. 3. Love of retirement; disposition to solitude. I see The mystery of your loneliness. Shak. 4. A feeling of depression resulting from being alone. Syn. -- Solitude; seclusion. See Solitude.
lonely |1. Sequestered from company or neighbors; solitary; retired; as, a lonely situation; a lonely cell. 2. Alone, or in want of company; forsaken. To the misled and lonely traveler. Milton. 3. Not frequented by human beings; as, a lonely wood. 4. Having a feeling of depression or sadness resulting from the consciousness of being alone; lonesome. I am very often alone. I don't mean I am lonely. H. James. Syn. -- Solitary; lone; lonesome; retired; unfrequented; sequestered; secluded.
loneness |Solitude; seclusion. [Obs.] Donne.
lonesome |1. Secluded from society; not frequented by human beings; solitary. Like one that on a lonesome road Doth walk in fear and dread. Coleridge . 2. Conscious of, and somewhat depressed by, solitude; as, to feel lonesome. -- Lone\"some*ly, adv. -- Lone\"some*ness, n.
long |1. Drawn out in a line, or in the direction of length; protracted; extended; as, a long line; -- opposed to short, and distinguished from broad or wide. 2. Drawn out or extended in time; continued through a considerable tine, or to a great length; as, a long series of events; a long debate; a long drama; a long history; a long book. 3. Slow in passing; causing weariness by length or duration; lingering; as, long hours of watching. 4. Occurring or coming after an extended interval; distant in time; far away. The we may us reserve both fresh and strong Against the tournament, which is not long. Spenser. 5. Extended to any specified measure; of a specified length; as, a span long; a yard long; a mile long, that is, extended to the measure of a mile, etc. 6. Far-reaching; extensive. \" Long views.\" Burke. 7. (Phonetics)  Prolonged, or relatively more prolonged, in utterance; -- said of vowels and syllables. See Short, a., 13, and Guide to Pronunciation, §§ 22, 30. Note: Long is used as a prefix in a large number of compound adjectives which are mostly of obvious meaning; as, long-armed, long- beaked, long-haired, long-horned, long-necked, long-sleeved, long- tailed, long- worded, etc. In the long run, in the whole course of things taken together; in the ultimate result; eventually. -- Long clam (Zoöl.), the common clam (Mya arenaria) of the Northern United States and Canada; -- called also soft-shell clam and long- neck clam. See Mya. -- Long cloth, a kind of cotton cloth of superior quality. -- Long clothes, clothes worn by a young infant, extending below the feet. -- Long division. (Math.) See Division. -- Long dozen, one more than a dozen; thirteen. -- Long home, the grave. -- Long measure, Long mater. See under Measure, Meter. -- Long Parliament (Eng. Hist.), the Parliament which assembled Nov. 3, 1640, and was dissolved by Cromwell, April 20, 1653. -- Long price, the full retail price. -- Long purple (Bot.), a plant with purple flowers, supposed to be the Orchis mascula. Dr. Prior. -- Long suit (Whist), a suit of which one holds originally more than three cards. R. A. Proctor. -- Long tom. (a) A pivot gun of great length and range, on the dock of a vessel. (b) A long trough for washing auriferous earth. [Western U.S.] (c) (Zoöl.) The long-tailed titmouse. -- Long wall (Coal Mining), a working in which the whole seam is removed and the roof allowed to fall in, as the work progresses, except where passages are needed. -- Of long, a long time. [Obs.] Fairfax. -- To be, or go, long of the market, To be on the long side of the market, etc. (Stock Exchange), to hold stock for a rise in price, or to have a contract under which one can demand stock on or before a certain day at a stipulated price; -- opposed to short in such phrases as, to be short of stock, to sell short, etc. [Cant] See Short. -- To have a long head, to have a farseeing or sagacious mind.\n\n1. (Mus.)  A note formerly used in music, one half the length of a large, twice that of a breve. 2. (Phonetics)  A long sound, syllable, or vowel. 3. The longest dimension; the greatest extent; -- in the phrase, the long and the short of it, that is, the sum and substance of it. Addison.\n\n1. To a great extent in apace; as, a long drawn out line. 2. To a great extent in time; during a long time. They that tarry long at the wine. Prov. xxiii. 30. When the trumpet soundeth long. Ex. xix. 13. 3. At a point of duration far distant, either prior or posterior; as, not long before; not long after; long before the foundation of Rome; long after the Conquest. 4. Through the whole extent or duration. The bird of dawning singeth all night long. Shak. 5. Through an extent of time, more or less; -- only in question; as, how long will you be gone\n\nBy means of; by the fault of; because of. [Obs.] See Along of, under 3d Along.\n\n1. To feel a strong or morbid desire or craving; to wish for something with eagerness; -- followed by an infinitive, or by after or for. I long to see you. Rom. i. 11. I have longed after thy precepts. Ps. cxix. 40. I have longed for thy salvation. Ps. cxix. 174. Nicomedes, longing for herrings, was supplied with fresh ones . . . at a great distance from the sea. Arbuthnot. 2. To belong; -- used with to, unto, or for. [Obs.] The labor which that longeth unto me. Chaucer.
long primer |A kind of type, in size between small pica and bourgeois. Note: long primer.
long-armed |Having long arms; as, the long-armed ape or gibbon.
long-breathed |Having the power of retaining the breath for a long time; long- winded.
long-drawn |Extended to a great length. The cicadæ hushed their long-drawn, ear-splitting strains. G. W. Cable.
long-horned |Having a long horn or horns; as, a long-horned goat, or cow; having long antennæ, as certain beetles (Longicornia).
long-lived |Having a long life; having constitutional peculiarities which make long life probable; lasting long; as, a long-lived tree; they are a longlived family; long-lived prejudices.
long-sight |Long-sightedness Good.
long-sighted |1. Able to see objects at a great distance; hence, having great foresight; sagacious; farseeing. 2. Able to see objects distinctly at a distance, but not close at hand; hypermetropic.
long-sightedness |1. The state or condition of being long-sighted; hence, sagacity; shrewdness. 2. (Med.)  See Hypermetropia.
long-stop |One who is set to stop balls which pass the wicket keeper.
long-sufferance |Forbearance to punish or resent.
long-suffering |Bearing injuries or provocation for a long time; patient; not easily provoked. The Lord God, merciful and gracious, long-suffering, and abundant in goodness and truth. Ex. xxxiv. 6.\n\nLong patience of offense. Despisest thou the riches of his goodness and forbearance and long- suffering Rom. ii. 4.
long-tongue |The wryneck.
long-tongued |1. Having a long tongue. 2. Talkative; babbling; loquacious. Shak.
long-waisted |1. Having a long waist; long from the armpits to the armpits to the bottom of the waist; -- said of persons. 2. Long from the part about the neck or shoulder, or from the armpits, to the bottom of the weist, or to the skirt; -- said of garments; as, a long-waisted coat.
long-winded |Long-breathed; hence, tediously long in speaking; consuming much time; as, a long-winded talker. -- Long\"-wind\"ed*ness, n. A tedious, long-winded harangue. South.
longan |A pulpy fruit related to the litchi, and produced by an evergreen East Indian tree (Nephelium Longan).
longanimity |Disposition to bear injuries patiently; forbearance; patience. Jer. Taylor.
longbeak |The American redbellied snipe (Macrorhamphus scolopaceus); -- called also long-billed dowitcher.
longboat |Formerly, the largest boat carried by a merchant vessel, corresponding to the launch of a naval vessel.
longbow |The ordinary bow, not mounted on a stock; -- so called in distinction from the crossbow when both were used as weapons of war. Also, sometimes, such a bow of about the height of a man, as distinguished from a much shorter one. To draw the longbow, to tell large stories.
longe |1. A thrust. See Lunge. Smollett. 2. The training ground for a horse. Farrow.\n\nSame as 4th Lunge.
longer |One who longs for anything.
longeval |Long-loved; longevous.[R.] Pope.
longevity |Long duration of life; length of life. The instances of longevity are chiefly amongst the abstemious. Arbuthnot.
longevous |Living a long time; of great age. Sir T. Browne.
longhand |The written characters used in the common method of writing; -- opposed to shorthand.
longheaded |Having unusual foresight or sagacity. -- Long\"-head`ed*ness, n.
longhorn |A long-horned animal, as a cow, goat, or beetle. See Long- horned.
longicorn |Long-horned; pertaining to the Longicornia. -- n.  One of the Longicornia.
longicornia |A division of beetles, including a large number of species, in which the antennæ are very long. Most of them, while in the larval state, bore into the wood or beneath the bark of trees, and some species are very destructive to fruit and shade trees. See Apple borer, under Apple, and Locust beetle, under Locust.
longilateral |Having long sides especially, having the form of a long parallelogram. Nineveh . . . was of a longilateral figure, ninety-five furlongs broad, and a hundred and fifty long. Sir T. Browne.
longiloquence |Long-windedness. American longiloquence in oratory. Fitzed. Hall.
longimanous |Having long hands. Sir T. Browne.
longimetry |The art or practice of measuring distances or lengths. Cheyne.
longing |An eager desire; a craving; a morbid appetite; an earnest wish; an aspiration. Put on my crown; I have immortal longings in me. Shak.
longingly |With longing. Dryden.
longinquity |Greatness of distance; remoteness. [R.] Barrow.
longipalp |One of a tribe of beetles, having long maxillary palpi.
longipennate |Having long wings, or quills.
longipennes |A group of longwinged sea birds, including the gulls, petrels, etc.
longipennine |Of or pertaining to the Longipennes; longipennate.
longiroster |One of the Longirostres.
longirostral |Having a long bill; of or pertaining to the Longirostres.
longirostres |A group of birds characterized by having long slender bills, as the sandpipers, curlews, and ibises. It is now regarded as an artificial division.
longish |Somewhat long; moderately long.
longitude |1. Length; measure or distance along the longest line; -- distinguished from breadth or thickness; as, the longitude of a room; rare now, except in a humorous sense. Sir H. Wotton. The longitude of their cloaks. Sir. W. Scott. Mine [shadow] spindling into longitude immense. Cowper. 2. (Geog.)  The arc or portion of the equator intersected between the meridian of a given place and the meridian of some other place from which longitude is reckoned, as from Greenwich, England, or sometimes from the capital of a country, as from Washington or Paris. The longitude of a place is expressed either in degrees or in time; as, that of New York is 74º or 4 h. 56 min. west of Greenwich. 3. (Astron.)  The distance in degrees, reckoned from the vernal equinox, on the ecliptic, to a circle at right angles to the ecliptic passing through the heavenly body whose longitude is designated; as, the longitude of Capella is 79º. Geocentric longitude (Astron.), the longitude of a heavenly body as seen from the earth. -- Heliocentric longitude, the longitude of a heavenly body, as seen from the sun's center. -- Longitude stars, certain stars whose position is known, and the data in regard to which are used in observations for finding the longitude, as by lunar distances.
longitudinal |1. Of or pertaining to longitude or length; as, longitudinal distance. 2. Extending in length; in the direction of the length; running lengthwise, as distinguished from transverse; as, the longitudinal diameter of a body. Cheyne.\n\nA railway sleeper lying parallel with the rail.
longitudinally |In the direction of length.
longlegs |A daddy longlegs.
longly |1. With longing desire. [Obs.] Shak. 2. For a long time; hence, wearisomely.
longmynd rocks |The sparingly fossiliferous conglomerates, grits, schists, and states of Great Britain, which lie at the base of the Cambrian system; -- so called, because typically developed in the Longmynd Hills, Shropshire.
longness |Length.
longnose |The European garfish.
longshanks |The stilt.
longshore |Belonging to the seashore or a seaport; along and on the shore. \"Longshore thieves.\" R. Browning.
longshoreman |One of a class of laborers employed about the wharves of a seaport, especially in loading and unloading vessels.
longsome |Extended in length; tiresome. [Obs.] Bp. Hall. Prior. -- Long\"some*ness, n. [Obs.] Fuller.
longspun |Spun out, or extended, to great length; hence, long-winded; tedious. The longspun allegories fulsome grow, While the dull moral lies too plain below. Addison.
longspur |Any one of several species of fringilline birds of the genus Calcarius (or Plectrophanes), and allied genera. The Lapland longspur (C. Lapponicus), the chestnut-colored longspur (C. ornatus), and other species, inhabit the United States.
longtail |An animal, particularly a log, having an uncut tail. Cf. Curtail. Dog. Note: A longtail was a gentleman's dog, or the dog of one qualified to bunt, other dogs being required to have their tails cut. Cut and longtail, all, gentlefolks and others, as they might come. Shak.
longulite |A kind of crystallite having a (slender) acicular form.
longways |Lengthwise. Addison.
longwise |Lengthwise.
loo |(a) An old game played with five, or three, cards dealt to each player from a full pack. When five cards are used the highest card is the knave of clubs or (if so agreed upon) the knave of trumps; -- formerly called lanterloo. (b) A modification of the game of \"all fours\" in which the players replenish their hands after each round by drawing each a card from the pack. Loo table, a round table adapted for a circle of persons playing loo.\n\nTo beat in the game of loo by winning every trick. [Written also lu.] Goldsmith.
loob |The clay or slimes washed from tin ore in dressing.
loobily |Loobylike; awkward. Fuller.\n\nAwkwardly. L'Estrange.
looby |An awkward, clumsy fellow; a lubber. Swift.
looch |See 2d Loch.
loof |The spongelike fibers of the fruit of a cucurbitaceous plant (Luffa Ægyptiaca); called also vegetable sponge.\n\n(a) Formerly, some appurtenance of a vessel which was used in changing her course; -- probably a large paddle put over the lee bow to help bring her head nearer to the wind. (b) The part of a ship's side where the planking begins to curve toward bow and stern.\n\nSee Luff.
look |1. To direct the eyes for the purpose of seeing something; to direct the eyes toward an object; to observe with the eyes while keeping them directed; -- with various prepositions, often in a special or figurative sense. See Phrases below. 2. To direct the attention (to something); to consider; to examine; as, to look at an action. 3. To seem; to appear; to have a particular appearance; as, the patient looks better; the clouds look rainy. It would look more like vanity than gratitude. Addison. Observe how such a practice looks in another person. I. Watts. 4. To have a particular direction or situation; to face; to front. The inner gate that looketh to north. Ezek. viii. 3. The east gate . . . which looketh eastward. Ezek. xi. 1. 5. In the imperative: see; behold; take notice; take care; observe; - - used to call attention. Look, how much we thus expel of sin, so much we expel of virtue. Milton. Note: Look, in the imperative, may be followed by a dependent sentence, but see is oftener so used. Look that ye bind them fast. Shak. Look if it be my daughter. Talfourd. 6. To show one's self in looking, as by leaning out of a window; as, look out of the window while I speak to you. Sometimes used figuratively. My toes look through the overleather. Shak. 7. To await the appearance of anything; to expect; to anticipate. Looking each hour into death's mouth to fall. Spenser. To look about, to look on all sides, or in different directions. -- To look about one, to be on the watch; to be vigilant; to be circumspect or guarded. -- To look after. (a) To attend to; to take care of; as, to look after children. (b) To expect; to be in a state of expectation. Men's hearts failing them for fear, and for looking after those things which are coming on the earth. Luke xxi. 26. (c) To seek; to search. My subject does not oblige me to look after the water, or point forth the place where to it is now retreated. Woodward. -- To look at, to direct the eyes toward so that one sees, or as if to see; as, to look at a star; hence, to observe, examine, consider; as, to look at a matter without prejudice. -- To look black, to frown; to scowl; to have a threatening appearance. The bishops thereat repined, and looked black. Holinshed. -- To look down on or upon, to treat with indifference or contempt; to regard as an inferior; to despise. -- To look for. (a) To expect; as, to look for news by the arrival of a ship. \"Look now for no enchanting voice.\" Milton. (b) To seek for; to search for; as, to look for lost money, or lost cattle. -- To look forth. (a) To look out of something, as from a window. (b) To threaten to come out. Jer. vi. 1. (Rev. Ver.). -- To look into, to inspect closely; to observe narrowly; to examine; as, to look into the works of nature; to look into one's conduct or affairs. -- To look on. (a) To regard; to esteem. Her friends would look on her the worse. Prior. (b) To consider; to view; to conceive of; to think of. I looked on Virgil as a succinct, majestic writer. Dryden. (c) To be a mere spectator. I'll be a candleholder, and look on. Shak. -- To look out, to be on the watch; to be careful; as, the seaman looks out for breakers. -- To look through. (a) To see through. (b) To search; to examine with the eyes. -- To look to or unto. (a) To watch; to take care of. \"Look well to thy herds.\" Prov. xxvii. 23. (b) To resort to with expectation of receiving something; to expect to receive from; as, the creditor may look to surety for payment. \"Look unto me, and be ye saved.\" Is. xlv. 22. -- To look up, to search for or find out by looking; as, to look up the items of an account. -- To look up to, to respect; to regard with deference.\n\n1. To look at; to turn the eyes toward. 2. To seek; to search for. [Obs.] Looking my love, I go from place to place. Spenser. 3. To expect. [Obs.] Shak. 4. To influence, overawe, or subdue by looks or presence as, to look down opposition. A spirit fit to start into an empire, And look the world to law. Dryden. 5. To express or manifest by a look. Soft eyes looked love to eyes which spake again. Byron. To look daggers. See under Dagger. -- To look in the face, to face or meet with boldness or confidence; hence, sometimes, to meet for combat. -- To look out, to seek for; as, prudent persons look out associates good reputation.\n\n1. The act of looking; a glance; a sight; a view; -- often in certain phrases; as, to have, get, take, throw, or cast, a look. Threw many a northward look to see his father Bring up his powers; but he did long in vain. Shak. 2. Expression of the eyes and face; manner; as, a proud or defiant look. \"Gentle looks.\" Shak. Up ! up! my friends, and clear your looks. Wordsworth. 3. Hence; Appearance; aspect; as, the house has a gloomy look; the affair has a bad look. Pain, disgrace, and poverty have frighted looks. Locke. There was something that reminded me of Dante's Hell in the look of this. Carlyle.
lookdown |See Moonfish (b).
looker |One who looks. Looker-on, a spectator; one that looks on, but has no agency or part in an affair. Did not this fatal war affront thy coast, Yet sattest thou an idle looker-on Fairfax.
looking |Having a certain look or appearance; -- often compounded with adjectives; as, good-looking, grand-looking, etc.\n\n1. The act of one who looks; a glance. 2. The manner in which one looks; appearance; countenance; face. [Obs.] All dreary was his cheer and his looking. Chaucer. Looking for, anticipation; expectation. \"A certain fearful looking for of judgment.\" Heb. x. 27.
looking-glass |A mirror made of glass on which has been placed a backing of some reflecting substance, as quicksilver. There is none so homely but loves a looking-glass. South.
lookout |1. A careful looking or watching for any object or event. 2. The place from which such observation is made. 3. A person engaged in watching. 4. Object or duty of forethought and care; responsibility. [Colloq.]
lool |A vessel used to receive the washings of ores of metals.
loom |See Loon, the bird.\n\n1. A frame or machine of wood or other material, in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric, as in knitting or lace making. Hector, when he sees Andromache overwhelmed with terror, sends her for consolation to the loom and the distaff. Rambler. 2. (Naut.)  That part of an oar which is near the grip or handle and inboard from the rowlock. Totten.\n\n1. To appear above the surface either of sea or land, or to appear enlarged, or distorted and indistinct, as a distant object, a ship at sea, or a mountain, esp. from atmospheric influences; as, the ship looms large; the land looms high. Awful she looms, the terror of the main. H. J. Pye. 2. To rise and to be eminent; to be elevated or ennobled, in a moral sense. On no occasion does he [Paul] loom so high, and shine so gloriously, as in the context. J. M. Mason.\n\nThe state of looming; esp., an unnatural and indistinct appearance of elevation or enlargement of anything, as of land or of a ship, seen by one at sea.
loom-gale |A gentle gale of wind.
looming |The indistinct and magnified appearance of objects seen in particular states of the atmosphere. See Mirage.
loon |A sorry fellow; a worthless person; a rogue.\n\nAny one of several aquatic, wed-footed, northern birds of the genus Urinator (formerly Colymbus), noted for their expertness in diving and swimming under water. The common loon, or great northern diver (Urinator imber, or Colymbus torquatus), and the red-throated loon or diver (U. septentrionalis), are the best known species. See Diver.
loony |See Luny.
loop |A mass of iron in a pasty condition gathered into a ball for the tilt hammer or rolls. [Written also loup.]\n\n1. A fold or doubling of a thread, cord, rope, etc., through which another thread, cord, etc., can be passed, or which a hook can be hooked into; an eye, as of metal; a staple; a noose; a bight. That the probation bear no hinge, nor loop To hang a doubt on. Shak. 2. A small, narrow opening; a loophole. And stop all sight-holes, every loop from whence The eye of Reason may pry in upon us. Shak. 3. A curve of any kind in the form of a loop. 4. (Telegraphy)  A wire forming part of a main circuit and returning to the point from which it starts. 5. (Acoustics)  The portion of a vibrating string, air column, etc., between two nodes; -- called also ventral segment. Loop knot, a single knot tied in a doubled cord, etc. so as to leave a loop beyond the knot. See Illust. of Knot.\n\nTo make a loop of or in; to fasten with a loop or loops; -- often with up; as, to loop a string; to loop up a curtain.
looped |1. Bent, folded, or tied, so as to make a loop; as, a looped wire or string. 2. Full of holes. [Obs.] Shak.
looper |1. An instrument, as a bodkin, for forming a loop in yarn, a cord, etc. 2. (Zoöl.)  The larva of any species of geometrid moths. See Geometrid.
loophole |1. (Mil.)  A small opening, as in the walls of fortification, or in the bulkhead of a ship, through which small arms or other weapons may be discharged at an enemy. 2. A hole or aperture that gives a passage, or the means of escape or evasion.
loopholed |Provided with loopholes.
loopie |Deceitful; cunning; sly. [Scot.]
looping |The running together of the matter of an ore into a mass, when the ore is only heated for calcination.\n\nof Loop. Looping snail (Zoöl.), any species of land snail of the genus Truncatella; -- so called because it creeps like the measuring worms.
looplight |A small narrow opening or window in a tower or fortified wall; a loophole.
loord |A dull, stupid fellow; a drone. [Obs.] Spenser.
loos |Praise; fame; reputation. [Obs.] Spenser. Good conscience and good loos. Chaucer.
