resupply |To supply again.
return |1. To turn back; to go or come again to the same place or condition. \"Return to your father's house.\" Chaucer. On their embattled ranks the waves return. Milton. If they returned out of bondage, it must be into a state of freedom. Locke. Dust thou art, and unto dust shalt thou return. Gen. iii. 19. 2. To come back, or begin again, after an interval, regular or irregular; to appear again. With the year Seasons return; but not me returns Day or the sweet approach of even or morn. Milton. 3. To speak in answer; to reply; to respond. He said, and thus the queen of heaven returned. Pope. 4. To revert; to pass back into possession. And Jeroboam said in his heart, Now shall the kingdom return to the house of David. 1Kings xii. 26. 5. To go back in thought, narration, or argument. \"But to return to my story.\" Fielding.\n\n1. To bring, carry, send, or turn, back; as, to return a borrowed book, or a hired horse. Both fled attonce, ne ever back returned eye. Spenser. 2. To repay; as, to return borrowed money. 3. To give in requital or recompense; to requite. The Lord shall return thy wickedness upon thine own head. 1 Kings ii. 44. 4. To give back in reply; as, to return an answer; to return thanks. 5. To retort; to throw back; as, to return the lie. If you are a malicious reader, you return upon me, that I affect to be thought more impartial than I am. Dryden. 6. To report, or bring back and make known. And all the people answered together, . . . and Moses returned the words of the people unto the Lord. Ex. xix. 8. 7. To render, as an account, usually an official account, to a superior; to report officially by a list or statement; as, to return a list of stores, of killed or wounded; to return the result of an election. 8. Hence, to elect according to the official report of the election officers. [Eng.] 9. To bring or send back to a tribunal, or to an office, with a certificate of what has been done; as, to return a writ. 10. To convey into official custody, or to a general depository. Instead of a ship, he should llevy money, and return the same to the treasurer for his majesty's use. Clarendon. 11. (Tennis)  To bat (the ball) back over the net. 12. (Card Playing)  To lead in response to the lead of one's partner; as, to return a trump; to return a diamond for a club. To return a lead (Card Playing), to lead the same suit led by one's partner. Syn. -- To restore; requite; repay; recompense; render; remit; report.\n\n1. The act of returning (intransitive), or coming back to the same place or condition; as, the return of one long absent; the return of health; the return of the seasons, or of an anniversary. At the return of the year the king of Syria will come up against thee. 1 Kings xx. 22. His personal return was most required and necessary. Shak. 2. The act of returning (transitive), or sending back to the same place or condition; restitution; repayment; requital; retribution; as, the return of anything borrowed, as a book or money; a good return in tennis. You made my liberty your late request: Is no return due from a grateful breast Dryden. 3. That which is returned. Specifically: (a) A payment; a remittance; a requital. I do expect return Of thrice three times the value of this bond. Shak. (b) An answer; as, a return to one's question. (c) An account, or formal report, of an action performed, of a duty discharged, of facts or statistics, and the like; as, election returns; a return of the amount of goods produced or sold; especially, in the plural, a set of tabulated statistics prepared for general information. (d) The profit on, or advantage received from, labor, or an investment, undertaking, adventure, etc. The fruit from many days of recreation is very little; but from these few hours we spend in prayer, the return is great. Jer. Taylor. 4. (Arch.)  The continuation in a different direction, most often at a right angle, of a building, face of a building, or any member, as a molding or mold; -- applied to the shorter in contradistinction to the longer; thus, a facade of sixty feet east and west has a return of twenty feet north and south. 5. (Law) (a) The rendering back or delivery of writ, precept, or execution, to the proper officer or court. (b) The certificate of an officer stating what he has done in execution of a writ, precept, etc., indorsed on the document. (c) The sending back of a commission with the certificate of the commissioners. (d) A day in bank. See Return day, below. Blackstone. 6. (Mil. & Naval)  An official account, report, or statement, rendered to the commander or other superior officer; as, the return of men fit for duty; the return of the number of the sick; the return of provisions, etc. 7. pl. (Fort. & Mining)  The turnings and windings of a trench or mine. Return ball, a ball held by an elastic string so that it returns to the hand from which it is thrown, -- used as a plaything. -- Return bend, a pipe fitting for connecting the contiguous ends of two nearly parallel pipes lying alongside or one above another. -- Return day (Law), the day when the defendant is to appear in court, and the sheriff is to return the writ and his proceedings. -- Return flue, in a steam boiler, a flue which conducts flame or gases of combustion in a direction contrary to their previous movement in another flue. -- Return pipe (Steam Heating), a pipe by which water of condensation from a heater or radiator is conveyed back toward the boiler.
returnable |1. Capable of, or admitting of, being returned. 2. (Law)  Legally required to be returned, delivered, given, or rendered; as, a writ or precept returnable at a certain day; a verdict returnable to the court.
returner |One who returns.
returnless |Admitting no return. Chapman.
retuse |Having the end rounded and slightly indented; as, a retuse leaf.
reule |Rule. [Obs.]
reume |Realm. [Obs.]
reunion |1. A second union; union formed anew after separation, secession, or discord; as, a reunion of parts or particles of matter; a reunion of parties or sects. 2. An assembling of persons who have been separated, as of a family, or the members of a disbanded regiment; an assembly so composed.
reunite |To unite again; to join after separation or variance. Shak.
reunitedly |In a reunited manner.
reunition |A second uniting. [R.]
reurge |To urge again.
revaccinate |To vaccinate a second time or again. -- Re*vac`ci*na\"tion(#), n.
revalescence |The act of growing well; the state of being revalescent. Would this prove that the patient's revalescence had been independent of the medicines given him Coleridge.
revalescent |Growing well; recovering strength.
revaluation |A second or new valuation.
revamp |To vamp again; hence, topatch up; to reconstruct.
reve |To reave. [Obs.] Chaucer.\n\nAn officer, steward, or governor. [Usually written reeve.] [Obs.] Piers Plowman.
reveal |1. To make known (that which has been concealed or kept secret); to unveil; to disclose; to show. Light was the wound, the prince's care unknown, She might not, would not, yet reveal her own. Waller. 2. Specifically, to communicate (that which could not be known or discovered without divine or supernatural instruction or agency). Syn. -- To communicate; disclose; divulge; unveil; uncover; open; discover; impart; show. See Communicate. -- Reveal, Divulge. To reveal is literally to lift the veil, and thus make known what was previously concealed; to divulge is to scatter abroad among the people, or make publicly known. A mystery or hidden doctrine may be revealed; something long confined to the knowledge of a few is at length divulged. \"Time, which reveals all things, is itself not to be discovered.\" Locke. \"A tragic history of facts divulged.\" Wordsworth.\n\n1. A revealing; a disclosure. [Obs.] 2. (Arch.)  The side of an opening for a window, doorway, or the like, between the door frame or window frame and the outer surface of the wall; or, where the opening is not filled with a door, etc., the whole thickness of the wall; the jamb. [Written also revel.]
revealability |The quality or state of being revealable; revealableness.
revealable |Capable of being revealed. -- Re*veal\"a*ble*ness, n.
revealer |One who, or that which, reveals.
revealment |Act of revealing. [R.]
revegetate |To vegetate anew.
reveille |The beat of drum, or bugle blast, about break of day, to give notice that it is time for the soldiers to rise, and for the sentinels to forbear challenging. \"Sound a reveille.\" Dryden. For at dawning to assail ye Here no bugles sound reveille. Sir W. Scott.
revel |See Reveal. [R.]\n\nA feast with loose and noisy jollity; riotous festivity or merrymaking; a carousal. This day in mirth and revel to dispend. Chaucer. Some men ruin . . . their bodies by incessant revels. Rambler. Master of the revels, Revel master. Same as Lord of misrule, under Lord.\n\n1. To feast in a riotous manner; to carouse; to act the bacchanalian; to make merry. Shak. 2. To move playfully; to indulge without restraint. \"Where joy most revels.\" Shak.\n\nTo draw back; to retract. [Obs.] Harvey.
revel-rout |1. Tumultuous festivity; revelry. [Obs.] Rowe. 2. A rabble; a riotous assembly; a mob. [Obs.]
revelate |To reveal. [Obs.] Frith. Barnes.
revelation |1. The act of revealing, disclosing, or discovering to others what was before unknown to them. 2. That which is revealed. 3. (Theol.) (a) The act of revealing divine truth. (b) That which is revealed by God to man; esp., the Bible. By revelation he made known unto me the mystery, as I wrote afore in few words. Eph. iii. 3. 4. Specifically, the last book of the sacred canon, containing the prophecies of St. John; the Apocalypse.
revelator |One who makes a revelation; a revealer. [R.]
reveler |One who revels. \"Moonshine revelers.\" Shak.
revellent |Causing revulsion; revulsive. -- n. (Med.)  A revulsive medicine.
revelment |The act of reveling.
revelous |Fond of festivity; given to merrymaking or reveling. [Obs.] Companionable and revelous was she. Chaucer.
revelry |The act of engaging in a revel; noisy festivity; reveling. And pomp and feast and revelry. Milton.
revendicate |To reclaim; to demand the restoration of. [R.] Vattel (Trans. ).
revendication |The act of revendicating. [R.] Vattel (Trans. )
revenge |1. To inflict harm in return for, as an injury, insult, etc.; to exact satisfaction for, under a sense of injury; to avenge; -- followed either by the wrong received, or by the person or thing wronged, as the object, or by the reciprocal pronoun as direct object, and a preposition before thewrong done or the wrongdoer. To revenge the death of our fathers. Ld. Berners. The gods are just, and will revenge our cause. Dryden. Come, Antony, and young Octavius, come, Revenge yourselves alone on Cassius. Shak. 2. To inflict injury for, in a spiteful, wrong, or malignant spirit; to wreak vengeance for maliciously. Syn. -- To avenge; vindicate. See Avenge.\n\nTo take vengeance; -- with upon. [Obs.] \"A bird that will revenge upon you all.\" Shak.\n\n1. The act of revenging; vengeance; retaliation; a returning of evil for evil. Certainly, in taking revenge, a man is even with his enemy; but in passing it over he is superior. Bacon. 2. The disposition to revenge; a malignant wishing of evil to one who has done us an injury. Revenge now goes To lay a complot to betray thy foes. Shak. The indulgence of revenge tends to make men more savage and cruel. Kames.
revengeable |Capable of being revenged; as, revengeable wrong. Warner.
revengeance |Vengeance; revenge. [Obs.]
revengeful |Full of, or prone to, revenge; vindictive; malicious; revenging; wreaking revenge. If thy revengeful heart can not forgive. Shak. May my hands . . . Never brandish more rebvengeful steel. Shak. Syn. -- Vindictive; vengeful; resentful; malicious. -- Re*venge\"ful*ly, adv. -- Re*venge\"ful*ness, n.
revengeless |Unrevenged. [Obs.] Marston.
revengement |Revenge. [Obs.] He 'll breed revengement and a scourge for me. Shak.
revenger |One who revenges. Shak.
revenging |Executing revenge; revengeful. -- Re*ven\"ging*ly, adv. Shak.
revenue |1. That which returns, or comes back, from an investment; the annual rents, profits, interest, or issues of any species of property, real or personal; income. Do not anticipate your revenues and live upon air till you know what you are worth. Gray. 2. Hence, return; reward; as, a revenue of praise. 3. The annual yield of taxes, excise, customs, duties, rents, etc., which a nation, state, or municipality collects and receives into the treasury for public use. Revenue cutter, an armed government vessel employed to enforce revenue laws, prevent smuggling, etc.
reverb |To echo. [Obs.] Shak.
reverberant |Having the quality of reverberation; reverberating.
reverberate |1. Reverberant. [Obs.] \"The reverberate hills.\" Shak. 2. Driven back, as sound; reflected. [Obs.] Drayton.\n\n1. To return or send back; to repel or drive back; to echo, as sound; to reflect, as light, as light or heat. Who, like an arch, reverberates The voice again. Shak. 2. To send or force back; to repel from side to side; as, flame is reverberated in a furnace. 3. Hence, to fuse by reverberated heat. [Obs.] \"Reverberated into glass.\" Sir T. Browne.\n\n1. To resound; to echo. 2. To be driven back; to be reflected or repelled, as rays of light; to be echoed, as sound.
reverberation |The act of reverberating; especially, the act of reflecting light or heat, or reëchoing sound; as, the reverberation of rays from a mirror; the reverberation of rays from a mirror; the reverberation of voices; the reverberation of heat or flame in a furnace.
reverberative |Of the nature of reverberation; tending to reverberate; reflective. This reverberative influence is that which we have intended above, as the influence of the mass upon its centers. I. Taylor.
reverberator |One who, or that which, produces reverberation.
reverberatory |Producing reverberation; acting by reverberation; reverberative. Reverberatory furnace. See the Note under Furnace.\n\nA reverberatory furnace.
reverdure |To cover again with verdure. Ld. Berners.
revere |To regard with reverence, or profound respect and affection, mingled with awe or fear; to venerate; to reverence; to honor in estimation. Marcus Aurelius, whom he rather revered as his father than treated as his partner in the empire. Addison. Syn. -- To venerate; adore; reverence.
reverence |1. Profound respect and esteem mingled with fear and affection, as for a holy being or place; the disposition to revere; veneration. If thou be poor, farewell thy reverence. Chaucer. Reverence, which is the synthesis of love and fear. Coleridge. When discords, and quarrels, and factions, are carried openly and audaciously, it is a sign the reverence of government islost. Bacon. Note: Formerly, as in Chaucer, reverence denoted \"respect\" \"honor\| without awe or fear. 2. The act of revering; a token of respect or veneration; an obeisance. Make twenty reverences upon receiving . . . about twopence. Goldsmith. And each of them doeth all his diligence To do unto the feast reverence. Chaucer. 3. That which deserves or exacts manifestations of reverence; reverend character; dignity; state. I am forced to lay my reverence by. Shak. 4. A person entitled to be revered; -- a title applied to priests or other ministers with the pronouns his or your; sometimes poetically to a father. Shak. Save your reverence| Saving your reverence| an apologetical phrase for an unseemly expression made in the presence of a priest or clergyman. -- Sir reverence| a contracted form of Save your reverence. Such a one as a man may not speak of| without he say. \"Sir reverence.\" Shak. -- To do reverence| to show reverence or honor; to perform an act of reverence. Now lies he there| And none so poor to do him reverence. Shak. Syn. -- Awe; honor; veneration; adoratuon; dread. -- Awe| Reverence| Dread| Veneration. Reverence is a strong sentiment of respect and esteem| sometimes mingled slightly with fear; as| reverence for the divine law. Awe is a mixed feeling of sublimity and dread in view of something great or terrible| sublime or sacred; as| awe at the divine presence. It does not necessarily imply love. Dread is an anxious fear in view of an impending evil; as| dread of punishment. Veneration is reverence in its strongest manifestations. It is the highest emotion we can exercise toward human beings. Exalted and noble objects produce reverence; terrific and threatening objects awaken dread; a sense of the divine presence fills us with awe; a union of wisdom and virtue in one who is advanced in years inspires us with veneration.\n\nTo regard or treat with reverence; to regard with respect and affection mingled with fear; to venerate. Let . . . the wife see that she reverence her husband. Eph. v. 33. Those that I reverence those I fear| the wise. Shak."
reverencer |One who regards with reverence. \"Reverencers of crowned heads.\" Swift.
reverend |Worthy of reverence; entitled to respect mingled with fear and affection; venerable. A reverend sire among them came. Milton. They must give good example and reverend deportment in the face of their children. Jer. Taylor. Note: This word is commonly given as a title of respect to ecclesiastics. A clergyman is styled the reverend; a dean, the very reverend; a bishop, the right reverend; an archbishop, the most reverend.
reverendly |Reverently. [Obs.] Foxe.
reverent |1. Disposed to revere; impressed with reverence; submissive; humble; respectful; as, reverent disciples. \"They . . . prostrate fell before him reverent.\" Milton. 2. Expressing reverence, veneration, devotion, or submission; as, reverent words; reverent behavior. Joye.
reverential |Proceeding from, or expressing, reverence; having a reverent quality; reverent; as, reverential fear or awe. \"A reverential esteem of things sacred.\" South.
reverentially |In a reverential manner.
reverently |In a reverent manner; in respectful regard.
reverer |One who reveres.
reverie |1. A loose or irregular train of thought occurring in musing or mediation; deep musing; daydream. \"Rapt in nameless reveries.\" Tennyson. When ideas float in our mind without any reflection or regard of the understanding, it is that which the French call revery, our language has scarce a name for it. Locke. 2. An extravagant concient of the fancy; a vision. [R.] There are infinite reveries and numberless extravagancies pass through both [wise and foolish minds]. Addison.
revers |A part turned or folded back so as to show the inside, or a piece put on in imitation of such a part, as the lapel of a coat.
reversal |Intended to reverse; implying reversal. [Obs.] Bp. Burnet.\n\n1. The act of reversing; the causing to move or face in an opposite direction, or to stand or lie in an inverted position; as, the reversal of a rotating wheel; the reversal of objects by a convex lens. 2. A change or overthrowing; as, the reversal of a judgment, which amounts to an official declaration that it is false; the reversal of an attainder, or of an outlawry, by which the sentence is rendered void. Blackstone.
reverse |1. Turned backward; having a contrary or opposite direction; hence; opposite or contrary in kind; as, the reverse order or method. \"A vice reverse unto this.\" Gower. 2. Turned upside down; greatly disturbed. [Obs.] He found the sea diverse With many a windy storm reverse. Gower. 3. (Bot. & Zoöl.)  Reversed; as, a reverse shell. Reverse bearing (Surv.), the bearing of a back station as observed from the station next in advance. -- Reverse curve (Railways), a curve like the letter S, formed of two curves bending in opposite directions. -- Reverse fire (Mil.), a fire in the rear. -- Reverse operation (Math.), an operation the steps of which are taken in a contrary order to that in which the same or similar steps are taken in another operation considered as direct; an operation in which that is sought which in another operation is given, and that given which in the other is sought; as, finding the length of a pendulum from its time of vibration is the reverse operation to finding the time of vibration from the length.\n\n1. That which appears or is presented when anything, as a lance, a line, a course of conduct, etc., is reverted or turned contrary to its natural direction. He did so with the reverse of the lance. Sir W. Scott. 2. That which is directly opposite or contrary to something else; a contrary; an opposite. Chaucer. And then mistook reverse of wrong for right. Pope. To make everything the reverse of what they have seen, is quite as easy as to destroy. Burke. 3. The act of reversing; complete change; reversal; hence, total change in circumstances or character; especially, a change from better to worse; misfortune; a check or defeat; as, the enemy met with a reverse. The strange reverse of fate you see; I pitied you, now you may pity me. Dryden. By a reverse of fortune, Stephen becomes rich. Lamb. 4. The back side; as, the reverse of a drum or trench; the reverse of a medal or coin, that is, the side opposite to the Ant: obverse. See Obverse. 5. A thrust in fencing made with a backward turn of the hand; a backhanded stroke. [Obs.] Shak. 6. (Surg.)  A turn or fold made in bandaging, by which the direction of the bandage is changed.\n\n1. To turn back; to cause to face in a contrary direction; to cause to depart. And that old dame said many an idle verse, Out of her daughter's heart fond fancies to reverse. Spenser. 2. To cause to return; to recall. [Obs.] And to his fresh remembrance did reverse The ugly view of his deformed crimes. Spenser. 3. To change totally; to alter to the opposite. Reverse the doom of death. Shak. She reversed the conduct of the celebrated vicar of Bray. Sir W. Scott. 4. To turn upside down; to invert. A pyramid reversed may stand upon his point if balanced by admirable skill. Sir W. Temple. 5. Hence, to overthrow; to subvert. These can divide, and these reverse, the state. Pope. Custom . . . reverses even the distinctions of good and evil. Rogers. 6. (Law)  To overthrow by a contrary decision; to make void; to under or annual for error; as, to reverse a judgment, sentence, or decree. Reverse arms (Mil.), a position of a soldier in which the piece passes between the right elbow and the body at an angle of 45°, and is held as in the illustration. -- To reverse an engine or a machine, to cause it to perform its revolutions or action in the opposite direction. Syn. -- To overturn; overset; invert; overthrow; subvert; repeal; annul; revoke; undo.\n\n1. To return; to revert. [Obs.] Spenser. 2. To become or be reversed.
reversed |1. Turned side for side, or end for end; changed to the contrary; specifically (Bot. & Zoöl.), sinistrorse or sinistral; as, a reversed, or sinistral, spiral or shell. 2. (Law)  Annulled and the contrary substituted; as, a reversed judgment or decree. Reversed positive or negative (Photog.), a picture corresponding with the original in light and shade, but reversed as to right and left. Abney.
reversedly |In a reversed way.
reverseless |Irreversible. [R.] A. SEward.
reversely |In a reverse manner; on the other hand; on the opposite. Bp. Pearson.
reverser |One who reverses.
reversibility |The quality of being reversible. Tyndall.
reversible |1. Capable of being reversed; as, a chair or seat having a reversible back; a reversible judgment or sentence. 2. Hence, having a pattern or finished surface on both sides, so that either may be used; -- said of fabrics. Reversible lock, a lock that may be applied to a door opening in either direction, or hinged to either jamb. -- Reversible process. See under Process.
reversibly |In a reversible manner.
reversing |Serving to effect reversal, as of motion; capable of being reversed. Reversing engine, a steam engine having a reversing gear by means of which it can be made to run in either direction at will. -- Reversing gear (Mach.), gear for reversing the direction of rotation at will.
reversion |1. The act of returning, or coming back; return. [Obs.] After his reversion home, [he] was spoiled, also, of all that he brought with him. Foxe. 2. That which reverts or returns; residue. [Obs.] The small reversion of this great navy which came home might be looked upon by religious eyes as relics. Fuller. 3. (Law)  The returning of an esttate to the grantor or his heirs, by operation of law, after the grant has terminated; hence, the residue of an estate left in the proprietor or owner thereof, to take effect in possession, by operation of law, after the termination of a limited or less estate carved out of it and conveyed by him. Kent. 4. Hence, a right to future possession or enjoiment; succession. For even reversions are all begged before. Dryden. 5. (Annuities)  A payment which is not to be received, or a benefit which does not begin, until the happening of some event, as the death of a living person. Brande &C. 6. (Biol.)  A return towards some ancestral type or character; atavism. Reversion of series (Alg.), the act of reverting a series. See To revert a series, under Revert, v. t.
reversionary |Of or pertaining to a reversion; involving a reversion; to be enjoyed in succession, or after the termination of a particular estate; as, a reversionary interest or right.\n\nThat which is to be received in reversion.
reversioner |One who has a reversion, or who is entitled to lands or tenements, after a particular estate granted is terminated. Blackstone.
reversis |A certain game at cards.
revert |1. To turn back, or to the contrary; to reverse. Till happy chance revert the cruel scence. Prior. The tumbling stream . . . Reverted, plays in undulating flow. Thomson. 2. To throw back; to reflect; to reverberate. 3. (Chem.)  To change back. See Revert, v. i. To revert a series (Alg.), to treat a series, as y = a + bx + cx2 + etc., where one variable y is expressed in powers of a second variable x, so as to find therefrom the second variable x, expressed in a series arranged in powers of y.\n\n1. To return; to come back. So that my arrows Would have reverted to my bow again. Shak. 2. (Law)  To return to the proprietor after the termination of a particular estate granted by him. 3. (Biol.)  To return, wholly or in part, towards some preëxistent form; to take on the traits or characters of an ancestral type. 4. (Chem.)  To change back, as from a soluble to an insoluble state or the reverse; thus, phosphoric acid in certain fertilizers reverts.\n\nOne who, or that which, reverts. An active promoter in making the East Saxons converts, or rather reverts, to the faith. Fuller.
reverted |Turned back; reversed. Specifically: (Her.) Bent or curved twice, in opposite directions, or in the form of an S.
revertent |A remedy which restores the natural order of the inverted irritative motions in the animal system. [Obs.] E. Darwin.
reverter |1. One who, or that which, reverts. 2. (Law) Reversion. Burrill.
revertible |Capable of, or admitting of, reverting or being reverted; as, a revertible estate.
revertive |Reverting, or tending to revert; returning. -- Re*vert\"ive*ly, adv. The tide revertive, unattracted, leaves A yellow waste of idle sands behind. Thomson.
revery |1. A loose or irregular train of thought occurring in musing or mediation; deep musing; daydream. \"Rapt in nameless reveries.\" Tennyson. When ideas float in our mind without any reflection or regard of the understanding, it is that which the French call revery, our language has scarce a name for it. Locke. 2. An extravagant concient of the fancy; a vision. [R.] There are infinite reveries and numberless extravagancies pass through both [wise and foolish minds]. Addison.\n\nSame as Reverie.
revest |1. To clothe again; to cover, as with a robe; to robe. Her, nathless, . . . the enchanterrevest and decked with due habiliments. Spenser. 2. To vest again with possession or office; as, to revest a magistrate with authority.\n\nTo take effect or vest again, as a title; to revert to former owner; as, the title or right revels in A after alienation.
revestiary |The apartment, in a church or temple, where the vestments, etc., are kept; -- now contracted into vestry.
revestry |Same as Revestiary. [Obs.]
revestture |Vesture. [Obs.] Richrevesture of cloth of gold. E. Hall.
revet |To face, as an embankment, with masonry, wood, or other material.
revetment |A facing of wood, stone, or any other material, to sustain an embankment when it receives a slope steeper than the natural slope; also, a retaining wall. [Written also revêtement (
revibrate |To vibrate back or in return. -- Re`vi*bra\"tion, n.
revict |To reconquer. [Obs.] Bp. Hall.
reviction |Return to life. [Obs.] Sir T. Browne.
revictual |To victual again.
revie |1. To vie with, or rival, in return. 2. (Card Playing)  To meet a wager on, as on the taking of a trick, with a higher wager. [Obs.] B. Jonson.\n\n1. To exceed an adversary's wager in card playing. [Obs.] 2. To make a retort; to bandy words. [Obs.]
review |1. To view or see again; to look back on [R.] \"I shall review Sicilia.\" Shak. 2. To go over and examine critically or deliberately. Specifically: (a) To reconsider; to revise, as a manuscript before printing it, or a book for a new edition. (b) To go over with critical examination, in order to discover exellences or defects; hence, to write a critical notice of; as, to review a new novel. (c) To make a formal or official examination of the state of, as troops, and the like; as, to review a regiment. (d) (Law) To reëxamine judically; as, a higher court may review the proceedings and judgments of a lower one. 3. To retrace; to go over again. Shall I the long, laborious scene review Pope.\n\nTo look back; to make a review.\n\n1. A second or repeated view; a reëxamination; a retrospective survey; a looking over again; as, a review of one's studies; a review of life. 2. An examination with a view to amendment or improvement; revision; as, an author's review of his works. 3. A critical examination of a publication, with remarks; a criticism; a critique. 4. A periodical containing critical essays upon matters of interest, as new productions in literature, art, etc. 5. An inspection, as of troops under arms or of a naval force, by a high officer, for the purpose of ascertaining the state of discipline, equipments, etc. 6. (Law)  The judicial examination of the proceedings of a lower court by a higher. 7. A lesson studied or recited for a second time. Bill of review (Equity), a bill, in the nature of proceedings in error, filed to procure an examination and alteration or reversal of a final decree which has been duly signed and enrolled. Wharton. -- Commission of review (Eng. Eccl. Law), a commission formerly granted by the crown to revise the sentence of the court of delegates. Syn. -- Reëxamination; resurvey; retrospect; survey; reconsideration; revisal; revise; revision.
reviewable |Capable of being reviewed.
reviewal |A review. [R.] Southey.
reviewer |One who reviews or reëxamines; an inspector; one who examines publications critically, and publishes his opinion upon their merits; a professional critic of books.
revigorate |Having new vigor or strength; invigorated anew. [R.] Southey.\n\nTo give new vigor to. [Obs.]
revile |To address or abuse with opprobrious and contemptuous language; to reproach. \"And did not she herself revile me there\" Shak. Who, when he was reviled, reviled not again. 1 Pet. ii. 23. Syn. -- To reproach; vilify; upbraid; calumniate.\n\nReproach; reviling. [Obs.] The gracious Judge, without revile, replied. Milton.
revilement |The act of reviling; also, contemptuous language; reproach; abuse. Spenser.
reviler |One who reviles. 1. Cor. vi. 10.
reviling |Reproach; abuse; vilification. Neither be ye afraid of their revilings. Isa. li. 7.\n\nUttering reproaches; containing reproaches. -- Re*vil\"ing*ly, adv.
revince |To overcome; to refute, as error. [Obs.] Foxe.
revindicate |To vindicate again; to reclaim; to demand and take back. Mitford.
revirescence |A growing green or fresh again; renewal of youth or vigor. [Obs.]
revisable |That may be revised.
revisal |The act of revising, or reviewing and reëxamining for correction and improvement; revision; as, the revisal of a manuscript; the revisal of a proof sheet; the revisal of a treaty.
revise |1. To look at again for the detection of errors; to reëxamine; to review; to look over with care for correction; as, to revise a writing; to revise a translation. 2. (Print.)  To compare (a proof) with a previous proof of the same matter, and mark again such errors as have not been corrected in the type. 3. To review, alter, and amend; as, to revise statutes; to revise an agreement; to revise a dictionary. The Revised Version of the Bible, a version prepared in accordance with a resolution passed, in 1870, by both houses of the Convocation of the Province of Canterbury, England. Both English and American revisers were employed on the work. It was first published in a complete form in 1885, and is a revised form of the Authorized Version. See Authorized Version, under Authorized.\n\n1. A review; a revision. Boyle. 2. (Print.)  A second proof sheet; a proof sheet taken after the first or a subsequent correction.
reviser |One who revises.
revision |1. The act of revising; reëxamination for correction; review; as, the revision of a book or writing, or of a proof sheet; a revision of statutes. 2. That which is made by revising. Syn. -- Reëxamination; revisal; revise; review.
revisional |Of or pertaining to revision; revisory.
revisionary |Of or pertaining to revision; revisory.
revisit |1. To visit again. Milton. 2. To revise. [Obs.] Ld. Berners.
revisitation |The act of revisiting.
revisory |Having the power or purpose to revise; revising. Story.
revitalize |To restore vitality to; to bring back to life. L. S. Beale.
revivable |That may be revived.
revival |The act of reviving, or the state of being revived. Specifically: (a) Renewed attention to something, as to letters or literature. (b) Renewed performance of, or interest in, something, as the drama and literature. (c) Renewed interest in religion, after indifference and decline; a period of religious awakening; special religious interest. (d) Reanimation from a state of langour or depression; -- applied to the health, spirits, and the like. (e) Renewed pursuit, or cultivation, or flourishing state of something, as of commerce, arts, agriculture. (f) Renewed prevalence of something, as a practice or a fashion. (g) (Law) Restoration of force, validity, or effect; renewal; as, the revival of a debt barred by limitation; the revival of a revoked will, etc. (h) Revivification, as of a metal. See Revivification, 2.
revivalism |The spirit of religious revivals; the methods of revivalists.
revivalist |A clergyman or layman who promotes revivals of religion; an advocate for religious revivals; sometimes, specifically, a clergyman, without a particular charge, who goes about to promote revivals. Also used adjectively.
revivalistic |Pertaining to revivals.
revive |1. To return to life; to recover life or strength; to live anew; to become reanimated or reinvigorated. Shak. The Lord heard the voice of Elijah; and the soul of the child came into again, and he revived. 1 Kings xvii. 22. 2. Hence, to recover from a state of oblivion, obscurity, neglect, or depression; as, classical learning revived in the fifteenth century. 3. (Old Chem.)  To recover its natural or metallic state, as a metal.\n\n1. To restore, or bring again to life; to reanimate. Those bodies, by reason of whose mortality we died, shall be revived. Bp. Pearson. 2. To raise from coma,, languor, depression, or discouragement; to bring into action after a suspension. Those gracious words revive my drooping thoughts. Shak. Your coming, friends, revives me. Milton. 3. Hence, to recover from a state of neglect or disuse; as, to revive letters or learning. 4. To renew in the mind or memory; to bring to recollection; to recall attention to; to reawaken. \"Revive the libels born to die.\" Swift. The mind has a power in many cases to revive perceptions which it has once had. Locke. 5. (Old Chem.)  To restore or reduce to its natural or metallic state; as, to revive a metal after calcination.
revivement |Revival. [R.]
reviver |One who, or that which, revives.
revivificate |To revive; to recall or restore to life. [R.]
revivification |1. Renewal of life; restoration of life; the act of recaling, or the state of being recalled, to life. 2. (Old Chem.)  The reduction of a metal from a state of combination to its metallic state.
revivify |To cause to revive. Some association may revivify it enough to make it flash, after a long oblivion, into consciousness. Sir W. Hamilton.
reviving |Returning or restoring to life or vigor; reanimating. Milton. -- Re*viv\"ing*ly, adv.
reviviscence |The act of reviving, or the state of being revived; renewal of life. In this age we have a sort of reviviscence, not, I fear, of the power, but of a taste for the power, of the early times. Coleridge.
reviviscency |The act of reviving, or the state of being revived; renewal of life. In this age we have a sort of reviviscence, not, I fear, of the power, but of a taste for the power, of the early times. Coleridge.
reviviscent |Able or disposed to revive; reviving. E. Darwin.
revivor |Revival of a suit which is abated by the death or marriage of any of the parties, -- done by a bill of revivor. Blackstone.
revocability |The quality of being revocable; as, the revocability of a law.
revocable |Capable of being revoked; as, a revocable edict or grant; a revocable covenant. -- Rev\"o*ca*ble*ness, n. -- Rev\"o*ca*bly, adv.
revocate |To recall; to call back. [Obs.]
