murdress |A battlement in ancient fortifications with interstices for firing through.
mutable |1. Capable of alteration; subject to change; changeable in form, qualities, or nature. Things of the most accidental and mutable nature. South. 2. Changeable; inconstant; unsettled; unstable; fickle. \"Most mutable wishes.\" Byron. Syn. -- Changeable; alterable; unstable; unsteady; unsettled; wavering; inconstant; variable; fickle.
mutableness |The quality of being mutable.
mutably |Changeably.
mutacism |See Mytacism.
mutage |A process for checking the fermentation of the must of grapes.
mutandum |A thing which is to be changed; something which must be altered; -- used chiefly in the plural.
mutation |Change; alteration, either in form or qualities. The vicissitude or mutations in the superior globe are no fit matter for this present argument. Bacon.
mutch |The close linen or muslin cap of an old woman. [Prov. Eng. & Scot.]
mutchkin |A liquid measure equal to four gills, or an imperial pint. [Scot.]
mute |To cast off; to molt. Have I muted all my feathers Beau. & Fl.\n\nTo eject the contents of the bowels; -- said of birds. B. Jonson.\n\nThe dung of birds. Hudibras.\n\n1. Not speaking; uttering no sound; silent. All the heavenly choir stood mute, And silence was in heaven. Milton. Note: In law a prisoner is said to stand mute, when, upon being arranged, he makes no answer, or does not plead directly, or will not put himself on trial. 2. Incapable of speaking; dumb. Dryden. 3. Not uttered; unpronounced; silent; also, produced by complete closure of the mouth organs which interrupt the passage of breath; -- said of certain letters. See 5th Mute, 2. 4. Not giving a ringing sound when struck; -- said of a metal. Mute swan (Zoöl.), a European wild white swan (Cygnus gibbus), which produces no loud notes. Syn. -- Silent; dumb; speechless. -- Mute, Silent, Dumb. One is silent who does not speak; one is dumb who can not, for want of the proper organs; as, a dumb beast, etc.; and hence, figuratively, we speak of a person as struck dumb with astonishment, etc. One is mute who is held back from speaking by some special cause; as, he was mute through fear; mute astonishment, etc. Such is the case with most of those who never speak from childhood; they are not ordinarily dumb, but mute because they are deaf, and therefore never learn to talk; and hence their more appropriate name is deaf-mutes. They spake not a word; But, like dumb statues, or breathing stones, Gazed each on other. Shak. All sat mute, Pondering the danger with deep thoughts. Milton.\n\n1. One who does not speak, whether from physical inability, unwillingness, or other cause. Specifically: (a) One who, from deafness, either congenital or from early life, is unable to use articulate language; a deaf-mute. (b) A person employed by undertakers at a funeral. (c) A person whose part in a play does not require him to speak. (d) Among the Turks, an officer or attendant who is selected for his place because he can not speak. 2. (Phon.)  A letter which represents no sound; a silent letter; also, a close articulation; an element of speech formed by a position of the mouth organs which stops the passage of the breath; as, p, b, d, k, t. 3. (Mus.)  A little utensil made of brass, ivory, or other material, so formed that it can be fixed in an erect position on the bridge of a violin, or similar instrument, in order to deaden or soften the tone.
mute-hill |See Moot-hill. [Scot.]
mutely |Without uttering words or sounds; in a mute manner; silently.
muteness |The quality or state of being mute; speechlessness.
mutessarif |In Turkey, an administrative authority of any of certain sanjaks. They are appointed directly by the Sultan.
mutessarifat |In Turkey, a sanjak whose head is a mutessarif.
mutic |Without a point or pointed process; blunt.
muticous |Without a point or pointed process; blunt.
mutilate |1. Deprived of, or having lost, an important part; mutilated. Sir T. Browne. 2. (Zoöl.)  Having finlike appendages or flukes instead of legs, as a cetacean.\n\nA cetacean, or a sirenian.\n\n1. To cut off or remove a limb or essential part of; to maim; to cripple; to hack; as, to mutilate the body, a statue, etc. 2. To destroy or remove a material part of, so as to render imperfect; as, to mutilate the orations of Cicero. Among the mutilated poets of antiquity, there is none whose fragments are so beautiful as those of Sappho. Addison. Mutilated gear, Mutilated wheel (Mach.), a gear wheel from a portion of whose periphery the cogs are omitted. It is used for giving intermittent movements.
mutilation |The act of mutilating, or the state of being mutilated; deprivation of a limb or of an essential part.
mutilator |One who mutilates.
mutilous |Mutilated; defective; imperfect. [Obs.]
mutine |A mutineer. [Obs.]\n\nTo mutiny. [Obs.]
mutineer |One guilty of mutiny.
muting |Dung of birds.
mutinous |Disposed to mutiny; in a state of mutiny; characterized by mutiny; seditious; insubordinate. The city was becoming mutinous. Macaulay. -- Mu\"ti*nous*ly, adv. -- Mu\"ti*nous*ness, n.
mutiny |1. Insurrection against constituted authority, particularly military or naval authority; concerted revolt against the rules of discipline or the lawful commands of a superior officer; hence, generally, forcible resistance to rightful authority; insubordination. In every mutiny against the discipline of the college, he was the ringleader. Macaulay. 2. Violent commotion; tumult; strife. [Obs.] o raise a mutiny betwixt yourselves. Shak. Mutiny act (Law), an English statute reënacted annually to punish mutiny and desertion. Wharton. Syn. -- See Insurrection.\n\n1. To rise against, or refuse to obey, lawful authority in military or naval service; to excite, or to be guilty of, mutiny or mutinous conduct; to revolt against one's superior officer, or any rightful authority. 2. To fall into strifle; to quarrel. [Obs.] Shak.
mutism |The condition, state, or habit of being mute, or without speech. Max Müller.
mutoscope |A simple form of moving-picture machine in which the series of views, exhibiting the successive phases of a scene, are printed on paper and mounted around the periphery of a wheel. The rotation of the wheel brings them rapidly into sight, one after another, and the blended effect gives a semblance of motion.
mutter |1. To utter words indistinctly or with a low voice and lips partly closed; esp., to utter indistinct complains or angry expressions; to grumble; to growl. Wizards that peep, and that mutter. Is. viii. 19. Meantime your filthy foreigner will stare, And mutter to himself. Dryden. 2. To sound with a low, rumbling noise. Thick lightings flash, the muttering thunder rolls. Pope.\n\nTo utter with imperfect articulations, or with a low voice; as, to mutter threats. Shak.\n\nRepressing or obscure utterance.
mutterer |One who mutters.
mutteringly |With a low voice and indistinct articulation; in a muttering manner.
mutton |1. A sheep. [Obs.] Chapman. Not so much ground as will feed a mutton. Sir H. Sidney. Muttons, beeves, and porkers are good old words for the living quadrupeds. Hallam. 2. The flesh of a sheep. The fat of roasted mutton or beef. Swift. 3. A loose woman; a prostitute. [Obs.] Mutton bird (Zoöl.), the Australian short-tailed petrel (Nectris brevicaudus). -- Mutton chop, a rib of mutton for broiling, with the end of the bone at the smaller part chopped off. -- Mutton fish (Zoöl.), the American eelpout. See Eelpout. -- Mutton fist, a big brawny fist or hand. [Colloq.] Dryden. -- Mutton monger, a pimp [Low & Obs.] Chapman. -- To return to one's muttons. Etym: [A translation of a phrase from a farce by De Brueys, revenons à nos moutons let us return to our sheep.] To return to one's topic, subject of discussion, etc. [Humorous] I willingly return to my muttons. H. R. Haweis.
muttony |Like mutton; having a flavor of mutton.
mutual |1. Reciprocally acting or related; reciprocally receiving and giving; reciprocally given and received; reciprocal; interchanged; as, a mutual love, advantage, assistance, aversion, etc. Conspiracy and mutual promise. Sir T. More. Happy in our mutual help, And mutual love. Milton. A certain shyness on such subjects, which was mutual between the sisters. G. Eliot. 2. Possessed, experienced, or done by two or more persons or things at the same time; common; joint; as, mutual happiness; a mutual effort. Burke. A vast accession of misery and woe from the mutual weeping, and wailing, and gnashing of teeth. Bentley. Note: This use of mutual as synonymous with common is inconsistent with the idea of interchange, or reciprocal relation, which properly belongs to it; but the word has been so used by many writers of high authority. The present tendency is toward a careful discrimination. Mutual, as Johnson will tell us, means something reciprocal, a giving and taking. How could people have mutual ancestors P. Harrison. Mutual insurance, agreement among a number of persons to insure each other against loss, as by fire, death, or accident. -- Mutual insurance company, one which does a business of insurance on the mutual principle, the policy holders sharing losses and profits pro rata. Syn. -- Reciprocal; interchanged; common.
mutualism |The doctrine of mutual dependence as the condition of individual and social welfare. F. Harrison. H. Spencer. Mallock.
mutuality |1. The quality of correlation; reciprocation; interchange; interaction; interdependence. 2. (Law)  Reciprocity of consideration. Wharton.
mutually |In a mutual manner.
mutuary |One who borrows personal chattels which are to be consumed by him, and which he is to return or repay in kind. Bouvier.
mutuation |The act of borrowing or exchanging. [Obs.] Bp. Hall.
mutule |A projecting block worked under the corona of the Doric corice, in the same situation as the modillion of the Corinthian and Composite orders. See Illust. of Gutta. Oxf. Gloss.
mux |Dirt; filth; muck. [Prov. Eng.] ose.\n\nTo mix in an unitidy and offensive way; to make a mess of. [Prov. Eng.; Colloq. U.S.]
muxy |Soft; sticky, and dirty. [Prov. Eng.] See Mucky.
muzarab |One of a denomination of Christians formerly living under the government of the Moors in Spain, and having a liturgy and ritual of their own. [Written also Mozarab, Mostarab.] Brande & C.
muzarabic |Of or pertaining to Muzarabs; as, the Muzarabic liturgy. [Written also Mozarabic.]
muzziness |The state or quality of being muzzy.
muzzle |1. The projecting mouth and nose of a quadruped, as of a horse; a snout. 2. The mouth of a thing; the end for entrance or discharge; as, the muzzle of a gun. 3. A fastening or covering (as a band or cage) for the mouth of an animal, to prevent eating or vicious biting. With golden muzzles all their mouths were bound Dryden. Muzzle sight. (Gun.) See Dispart, n., 2.\n\n1. To bind the mouth of; to fasten the mouth of, so as to prevent biting or eating; hence, figuratively, to bind; to sheathe; to restrain from speech or action. \"My dagger muzzled.\" Shak. Thou shalt not muzzle the ox when he treadeth out the corn. Deut. xxv. 4. 2. To fondle with the closed mouth. [Obs.] L'Estrange.\n\nTo bring the mouth or muzzle near. The bear muzzles and smels to him. L'Estrange.
muzzle-loader |A firearm which receives its charge through the muzzle, as distinguished from one which is loaded at the breech.
muzzle-loading |Receiving its charge through the muzzle; as, a muzzle-loading rifle.
muzzy |Absent-minded; dazed; muddled; stupid. The whole company stared at me with a whimsical, muzzy look, like men whose senses were a little obfuscated by beer rather then wine. W. Irving.
my |Of or belonging to me; -- used always attributively; as, my body; my book; -- mine is used in the predicate; as, the book is mine. See Mine.
mya |A genus of bivalve mollusks, including the common long, or soft-shelled, clam.
myalgia |Pain in the muscles; muscular rheumatism or neuralgia.
myall wood |A durable, fragrant, and dark-colored Australian wood, used by the natives for spears. It is obtained from the small tree Acacia homolophylla.
myaria |A division of bivalve mollusks of which the common clam (Mya) is the type.
mycelium |The white threads or filamentous growth from which a mushroom or fungus is developed; the so-called mushroom spawn. -- My*ce\"li*al, a.
myceloid |Resembling mycelium.
mycetes |A genus of South American monkeys, including the howlers. See Howler, 2, and Illust.
mycetoid |Resembling a fungus.
mycetozoa |The Myxomycetes; -- so called by those who regard them as a class of animals. -- My*ce`to*zo\"an (#), a.
mycoderma |1. (Biol.)  One of the forms in which bacteria group themselves; a more or less thick layer of motionless but living bacteria, formed by the bacteria uniting on the surface of the fluid in which they are developed. This production differs from the zoöloea stage of bacteria by not having the intermediary mucous substance. 2. A genus of microörganisms of which the acetic ferment (Mycoderma aceti), which converts alcoholic fluids into vinegar, is a representative. Cf. Mother.
mycologic |Of or relating to mycology, or the fungi.
mycological |Of or relating to mycology, or the fungi.
mycologist |One who is versed in, or who studies, mycology.
mycology |That branch of botanical science which relates to the musgrooms and other fungi.
mycomelic |Pertaining to, or designating, a complex nitrogenous acid of the alloxan group, obtained as a honey-yellow powder. Its solutions have a gelatinous consistency.
mycoprotein |The protoplasmic matter of which bacteria are composed.
mycose |A variety of sugar, isomeric with sucrose and obtained from certain lichens and fungi. Called also trehalose. [Written also mykose.]
mycothrix |The chain of micrococci formed by the division of the micrococci in multiplication.
mydaleine |A toxic alkaloid (ptomaine) obtained from putrid flesh and from herring brines. As a poison it is said to execute profuse diarrhoea, vomiting, and intestinal inflammation. Brieger.
mydatoxin |A poisonous amido acid, C6H13NO2, separated by Brieger from decaying horseflesh. In physiological action, it is similar to curare.
mydaus |The teledu.
mydriasis |A long-continued or excessive dilatation of the pupil of the eye.
mydriatic |Causing dilatation of the pupil. -- n.  A mydriatic medicine or agent, as belladonna.
myelencephala |Same as Vertebrata.
myelencephalic |Of or pertaining to the myelencephalon; cerebro-spinal.
myelencephalon |(a) The brain and spinal cord; the cerebro-spinal axis; the neuron. Sometimes abbreviated to myelencephal. (b) The metencephalon. Huxley.
myelencephalous |Of or pertaining to the Myelencephala.
myelin |(a) A soft white substance constituting the medullary sheats of nerve fibers, and composed mainly of cholesterin, lecithin, cerebrin, albumin, and some fat. (b) One of a group of phosphorized principles occurring in nerve tissue, both in the brain and nerve fibers.
myelitis |Inflammation of the spinal marrow or its membranes.
myelocoele |The central canal of the spinal cord.
myelogenic |Derived from, or pertaining to, the bone marrow.
myeloid |Resembling marrow in appearance or consistency; as, a myeloid tumor.
myeloidin |A substance, present in the protoplasm of the retinal epithelium cells, and resembling, if not identical with, the substance (myelin) forming the medullary sheaths of nerve fibers.
myelon |The spinal cord. (Sometimes abbrev. to myel.)
myelonal |Of or pertaining to the myelon; as, the myelonal, or spinal, nerves.
myeloneura |The Vertebrata.
myeloplax |One of the huge multinucleated cells found in the marrow of bone and occasionally in other parts; a giant cell. See Osteoclast.
mygale |A genus of very large hairy spiders having four lungs and only four spinnerets. They do not spin webs, but usually construct tubes in the earth, which are often furnished with a trapdoor. The South American bird spider (Mygale avicularia), and the crab spider, or matoutou (M. cancerides) are among the largest species. Some of the species are erroneously called tarantulas, as the Texas tarantula (M. Hentzii).
mykiss |A salmon (Salmo mykiss, syn. S. purpuratus) marked with black spots and a red throat, found in most of the rivers from Alaska to the Colorado River, and in Siberia; -- called also black-spotted trout, cutthroat trout, and redthroat trout.
mylodon |An extinct genus of large slothlike American edentates, allied to Megatherium.
mylohyoid |Pertaining to, or in the region of, the lower jaw and the hyoid apparatus; as, the mylohyoid nerve.
myna |Any one of numerous species of Asiatic starlings of the genera Acridotheres, Sturnopastor, Sturnia, Gracula, and allied genera. In habits they resemble the European starlings, and like them are often caged and taught to talk. See Hill myna, under Hill, and Mino bird. [Spelt also mynah.]
mynchen |A nun. [Obs.]
mynchery |A nunnery; -- a term still applied to the ruins of certain nunneries in England.
mynheer |The Dutch equivalent of Mr. or Sir; hence, a Dutchman.
myo- |A combining form of Gr. muscle; as, myograph, myochrome.
myocarditis |Inflammation of the myocardium.
myocardium |The main substance of the muscular wall of the heart inclosed between the epicardium and endocardium.
myochrome |A colored albuminous substance in the serum from red-colored muscles. It is identical with hemoglobin.
myocomma |A myotome.
myodynamics |The department of physiology which deals with the principles of muscular contraction; the exercise of muscular force or contraction.
myodynamiometer |A myodynamometer.
myodynamometer |An instrument for measuring the muscular strength of man or of other animals; a dynamometer. Dunglison.
myoepithelial |1. (Biol.)  Derived from epithelial cells and destined to become a part of the muscular system; -- applied to structural elements in certain embryonic forms. 2. (Zoöl.)  Having the characteristics of both muscle and epithelium; as, the myoepithelial cells of the hydra.
myogalid |One of the Myogalodæ, a family of Insectivora, including the desman, and allied species.
myogram |See Muscle curve, under Muscle.
myograph |An instrument for determining and recording the different phases, as the intensity, velocity, etc., of a muscular contraction.
myographic |Of or pertaining to myography.
myographical |Of or pertaining to myography.
myography |The description of muscles, including the study of muscular contraction by the aid of registering apparatus, as by some form of myograph; myology.
myohaematin |A red-colored respiratory pigment found associated with hemoglobin in the muscle tissue of a large number of animals, both vertebrate and invertebrate.
myoid |Composed of, or resembling, muscular fiber.
myolemma |Sarcolemma.
myolin |The essential material of muscle fibers.
myologic |Of or pertaining to myology.
myological |Of or pertaining to myology.
myologist |One skilled in myology.
myology |That part of anatomy which treats of muscles.
myoma |A tumor consisting of muscular tissue.
myomancy |Divination by the movements of mice.
myomorph |One of the Myomorpha.
myomorpha |An extensive group of rodents which includes the rats, mice, jerboas, and many allied forms.
myopathia |Any affection of the muscles or muscular system.
myopathic |Of or pertaining to myopathia.
myopathy |Same as Myopathia.
myope |A person having myopy; a myops.
myophan |A contractile striated layer found in the bodies and stems of certain Infusoria.
myopia |Nearsightedness; shortsightedness; a condition of the eye in which the rays from distant object are brought to a focus before they reach the retina, and hence form an indistinct image; while the rays from very near objects are normally converged so as to produce a distinct image. It is corrected by the use of a concave lens.
myopic |Pertaining to, or affected with, or characterized by, myopia; nearsighted. Myopic astigmatism, a condition in which the eye is affected with myopia in one meridian only.
myops |See Myope.
myopsis |The appearance of muscæ volitantes. See Muscæ volitantes, under Musca.
myopy |Myopia.
myosin |An albuminous body present in dead muscle, being formed in the process of coagulation which takes place in rigor mortis; the clot formed in the coagulation of muscle plasma. See Muscle plasma, under Plasma. Note: Myosin belongs to the group of globulins. It is insoluble in water, but soluble in dilute solution of salt, and is especially characterized by being completely precipitated by saturation of its solutions with salt.
myosis |Long-continued contraction of the pupil of the eye.
myositic |Myotic.
myositis |Inflammation of the muscles.
myosotis |A genus of plants. See Mouse-ear.
myotic |Producing myosis, or contraction of the pupil of the eye, as opium, calabar bean, etc. -- n.  A myotic agent.
myotome |(a) A muscular segment; one of the zones into which the muscles of the trunk, especially in fishes, are divided; a myocomma. (b) One of the embryonic muscular segments arising from the protovertebræ; also, one of the protovertebræ themselves. (c) The muscular system of one metamere of an articulate.
myotomic |Of or pertaining to a myotome or myotomes.
myotomy |The dissection, or that part of anatomy which treats of the dissection, of muscles.
myrcia |A large genus of tropical American trees and shrubs, nearly related to the true myrtles (Myrtus), from which they differ in having very few seeds in each berry.
myria- |A prefix, esp. in the metric system, indicating ten thousand, ten thousand times; as, myriameter.
myriacanthous |Having numerous spines, as certain fishes.
myriad |1. The number of ten thousand; ten thousand persons or things. 2. An immense number; a very great many; an indefinitely large number.\n\nConsisting of a very great, but indefinite, number; as, myriad stars.
myriagram |A metric weight, consisting of ten thousand grams or ten kilograms. It is equal to 22.046 lbs. avoirdupois.
myriagramme |A metric weight, consisting of ten thousand grams or ten kilograms. It is equal to 22.046 lbs. avoirdupois.
myrialiter |A metric measure of capacity, containing ten thousand liters. It is equal to 2641.7 wine gallons.
myrialitre |A metric measure of capacity, containing ten thousand liters. It is equal to 2641.7 wine gallons.
myriameter |A metric measure of length, containing ten thousand meters. It is equal to 6.2137 miles.
myriametre |A metric measure of length, containing ten thousand meters. It is equal to 6.2137 miles.
myriapod |One of the Myriapoda.
myriapoda |A class, or subclass, of arthropods, related to the hexapod insects, from which they differ in having the body made up of numerous similar segments, nearly all of which bear true jointed legs. They have one pair of antennæ, three pairs of mouth organs, and numerous trachaæ, similar to those of true insects. The larvæ, when first hatched, often have but three pairs of legs. See Centiped, Galleyworm, Milliped. Note: The existing Myriapoda are divided into three orders: Chilopoda, Chilognatha or Diplopoda, and Pauropoda (see these words in the Vocabulary). Large fossil species (very different from any living forms) are found in the Carboniferous formation.
myriarch |A captain or commander of ten thousand men.
myriare |A measure of surface in the metric system containing ten thousand ares, or one million square meters. It is equal to about 247.1 acres.
myrica |A widely dispersed genus of shrubs and trees, usually with aromatic foliage. It includes the bayberry or wax myrtle, the sweet gale, and the North American sweet fern, so called.
myricin |A silky, crystalline, waxy substance, forming the less soluble part of beeswax, and regarded as a palmitate of a higher alcohol of the paraffin series; -- called also myricyl alcohol.
myricyl |A hypothetical radical regarded as the essential residue of myricin; -- called also melissyl.
myriological |Of or relating to a myriologue.
myriologist |One who composes or sings a myriologue.
myriologue |An extemporaneous funeral song, composed and sung by a woman on the death of a friend. [Modern Greece]
myriophyllous |Having an indefinitely great or countless number of leaves.
myriopoda |See Myriapoda.
myriorama |A picture made up of several smaller pictures, drawn upon separate pieces in such a manner as to admit of combination in many different ways, thus producing a great variety of scenes or landscapes.
myrioscope |A form of kaleidoscope.
myristate |A salt of myristic acid.
myristic |Pertaining to, or derived from, the nutmeg (Myristica). Specifically, designating an acid found in nutmeg oil and otoba fat, and extracted as a white crystalline waxy substance.
myristin |The myristate of glycerin, -- found as a vegetable fat in nutmeg butter, etc.
myristone |The ketone of myristic acid, obtained as a white crystalline substance.
myrmecophyte |A plant that affords shelter and food to certain species of ants which live in symbiotic relations with it. Special adaptations for this purpose exist; thus, Acacia spadicigera has large hollows thorns, and species of Cecropia have stem cavities. -- Myr`me*co*phyt\"ic (#), a.
myrmicine |Of or pertaining to Myrmica, a genus of ants including the small house ant (M. molesta), and many others.
myrmidon |1. One of a fierce tribe or troop who accompained Achilles, their king, to the Trojan war. 2. A soldier or a subordinate civil officer who executes cruel orders of a superior without protest or pity; -- sometimes applied to bailiffs, constables, etc. Thackeray. With unabated ardor the vindictive man of law and his myrmidons pressed forward. W. H. Ainsworth.
myrmidonian |Consisting of, or like, myrmidons. Pope.
myrmotherine |Feeding upon ants; -- said of certain birds.
myrobalan |A dried astringent fruit much resembling a prune. It contains tannin, and was formerly used in medicine, but is now chiefly used in tanning and dyeing. Myrobolans are produced by various species of Terminalia of the East Indies, and of Spondias of South America.
myrobolan |A dried astringent fruit much resembling a prune. It contains tannin, and was formerly used in medicine, but is now chiefly used in tanning and dyeing. Myrobolans are produced by various species of Terminalia of the East Indies, and of Spondias of South America.
myronic |Pertaining to, or obtained from, mustard; -- used specifically to designate a glucoside called myronic acid, found in mustard seed.
myropolist |One who sells unguents or perfumery. [Obs.] Jonhson.
myrosin |A ferment, resembling diastase, found in mustard seeds.
myroxylon |A genus of leguminous trees of tropical America, the different species of which yield balsamic products, among which are balsam of Peru, and balsam of Tolu. The species were formerly referred to Myrospermum.
myrrh |A gum resin, usually of a yellowish brown or amber color, of an aromatic odor, and a bitter, slightly pungent taste. It is valued for its odor and for its medicinal properties. It exuds from the bark of a shrub of Abyssinia and Arabia, the Balsamodendron Myrrha. The myrrh of the Bible is supposed to have been partly the gum above named, and partly the exudation of species of Cistus, or rockrose. False myrrh. See the Note under Bdellium.
myrrhic |Of, pertaining to, or obtained from, myrrh.
myrrhine |Murrhine.
myrtaceous |Of, pertaining to, or resembling, a large and important natural order of trees and shrubs (Myrtaceæ), of which the myrtle is the type. It includes the genera Eucalyptus, Pimenta, Lechythis, and about seventy more.
myrtiform |Resembling myrtle or myrtle berries; having the form of a myrtle leaf.
myrtle |A species of the genus Myrtus, especially Myrtus communis. The common myrtle has a shrubby, upright stem, eight or ten feet high. Its branches form a close, full head, thickly covered with ovate or lanceolate evergreen leaves. It has solitary axillary white or rosy flowers, followed by black several-seeded berries. The ancients considered it sacred to Venus. The flowers, leaves, and berries are used variously in perfumery and as a condiment, and the beautifully mottled wood is used in turning. Note: The name is also popularly but wrongly applied in America to two creeping plants, the blue-flowered periwinkle and the yellow- flowered moneywort. In the West Indies several myrtaceous shrubs are called myrtle. Bog myrtle, the sweet gale. -- Crape myrtle. See under Crape. -- Myrtle warbler (Zoöl.), a North American wood warbler (Dendroica coronata); -- called also myrtle bird, yellow-rumped warbler, and yellow-crowned warbler. -- Myrtle wax. (Bot.) See Bayberry tallow, under Bayberry. -- Sand myrtle, a low, branching evergreen shrub (Leiophyllum buxifolium), growing in New Jersey and southward. -- Wax myrtle (Myrica cerifera). See Bayberry.
myself |I or me in person; -- used for emphasis, my own self or person; as I myself will do it; I have done it myself; -- used also instead of me, as the object of the first person of a reflexive verb, without emphasis; as, I will defend myself.
myselven |Myself. [Obs.]
mysis |A genus of small schizopod shrimps found both in fresh and salt water; the opossum shrimps. One species inhabits the Great Lakes of North America, and is largely eaten by the whitefish. The marine species form part of the food of right whales.
mystacal |Of or pertaining to the upper lip, or mustache.
mystagogic |Of or pertaining to interpretation of mysteries or to mystagogue; of the nature of mystagogy.
mystagogical |Of or pertaining to interpretation of mysteries or to mystagogue; of the nature of mystagogy.
mystagogue |1. interprets mysteries, especially of a religious kind. 2. One who keeps and shows church relics.
mystagogy |The doctrines, principles, or practice of a mystagogue; interpretation of mysteries.
mysterial |Mysterious. [Obs.]
mysteriarch |One presiding over mysteries. [Obs.]
mysterious |Of or pertaining to mystery; containing a mystery; difficult or impossible to understand; obscure not revealed or explained; enigmatical; incomprehensible. God at last To Satan, first in sin, his doom applied, Thought in mysterious terms. Milton. Syn. -- Obscure; secret; occult; dark; mystic; cabalistic; enigmatical; unintelligible; incomprehensible.
mysteriously |In a mysterious manner.
mysteriousness |1. The state or quality of being mysterious. 2. Something mysterious; a mystery. [R.] Jer. Taylor.
mysterize |To make mysterious; to make a mystery of.
mystery |1. A profound secret; something wholly unknown, or something kept cautiously concealed, and therefore exciting curiosity or wonder; something which has not been or can not be explained; hence, specifically, that which is beyond human comprehension. We speak the wisdom of God in a mystery. 1 Cor. ii. 7. If God should please to reveal unto us this great mystery of the Trinity, or some other mysteries in our holy religion, we should not be able to understand them, unless he would bestow on us some new faculties of the mind. Swift. 2. A kind of secret religious celebration, to which none were admitted except those who had been initiated by certain preparatory ceremonies; -- usually plural; as, the Eleusinian mysteries. 3. pl.  The consecrated elements in the eucharist. 4. Anything artfully made difficult; an enigma.\n\n1. A trade; a handicraft; hence, any business with which one is usually occupied. Fie upon him, he will discredit our mystery. Shak. And that which is the noblest mystery Brings to reproach and common infamy. Spenser. 2. A dramatic representation of a Scriptural subject, often some event in the life of Christ; a dramatic composition of this character; as, the Chester Mysteries, consisting of dramas acted by various craft associations in that city in the early part of the 14th century. \"Mystery plays,\" so called because acted by craftsmen. Skeat.
mystic |1. Remote from or beyond human comprehension; baffling human understanding; unknowable; obscure; mysterious. Heaven's numerous hierarchy span The mystic gulf from God to man. Emerson. God hath revealed a way mystical and supernatural. Hooker. 2. Importing or implying mysticism; involving some secret meaning; allegorical; emblematical; as, a mystic dance; mystic Babylon. Thus, then, did the spirit of unity and meekness inspire every joint and sinew of the mystical body. Milton. -- Mys\"tic*al*ly, adv. -- Mys\"tic*al*ness, n.\n\nOne given to mysticism; one who holds mystical views, interpretations, etc.; especially, in ecclesiastical history, one who professed mysticism. See Mysticism.
mystical |1. Remote from or beyond human comprehension; baffling human understanding; unknowable; obscure; mysterious. Heaven's numerous hierarchy span The mystic gulf from God to man. Emerson. God hath revealed a way mystical and supernatural. Hooker. 2. Importing or implying mysticism; involving some secret meaning; allegorical; emblematical; as, a mystic dance; mystic Babylon. Thus, then, did the spirit of unity and meekness inspire every joint and sinew of the mystical body. Milton. -- Mys\"tic*al*ly, adv. -- Mys\"tic*al*ness, n.
mysticete |Any right whale, or whalebone whale. See Cetacea.
mysticism |1. Obscurity of doctrine. 2. (Eccl. Hist.)  The doctrine of the Mystics, who professed a pure, sublime, and wholly disinterested devotion, and maintained that they had direct intercourse with the divine Spirit, and aquired a knowledge of God and of spiritual things unattainable by the natural intellect, and such as can not be analyzed or explained. 3. (Philos.)  The doctrine that the ultimate elements or principles of knowledge or belief are gained by an act or process akin to feeling or faith.
mystification |The act of mystifying, or the state of being mystied; also, something designed to, or that does, mystify. The reply of Pope seems very much as though he had been playing off a mystification on his Grace. De Quincey.
mystificator |One who mystifies.
mystify |1. To involve in mystery; to make obscure or difficult to understand; as, to mystify a passage of Scripture. 2. To perplex the mind of; to puzzle; to impose upon the credulity of ; as, to mystify an opponent. He took undue advantage of his credulity and mystified him exceedingly. Ld. Campbell.
mytacism |Too frequent use of the letter m, or of the sound represented by it.
myth |1. A story of great but unknown age which originally embodied a belief regarding some fact or phenomenon of experience, and in which often the forces of nature and of the soul are personified; an ancient legend of a god, a hero, the origin of a race, etc.; a wonder story of prehistoric origin; a popular fable which is, or has been, received as historical. 2. A person or thing existing only in imagination, or whose actual existence is not verifiable. As for Mrs. Primmins's bones, they had been myths these twenty years. Ld. Lytton. Myth history, history made of, or mixed with, myths.
mythe |See Myth. Grote.
mythic |Of or relating to myths; described in a myth; of the nature of a myth; fabulous; imaginary; fanciful. -- Myth\"ic*al*ly, adv. The mythic turf where danced the nymphs. Mrs. Browning. Hengist and Horsa, Vortigern and Rowena, Arthur and Mordred, are mythical persons, whose very existence may be questioned. Macaulay.
mythical |Of or relating to myths; described in a myth; of the nature of a myth; fabulous; imaginary; fanciful. -- Myth\"ic*al*ly, adv. The mythic turf where danced the nymphs. Mrs. Browning. Hengist and Horsa, Vortigern and Rowena, Arthur and Mordred, are mythical persons, whose very existence may be questioned. Macaulay.
mythographer |A composer of fables.
mythologer |A mythologist.
mythologian |A mythologist.
mythologic |Of or pertaining to mythology or to myths; mythical; fabulous. -- Myth`o*log\"ic*al*ly, adv.
mythological |Of or pertaining to mythology or to myths; mythical; fabulous. -- Myth`o*log\"ic*al*ly, adv.
mythologist |One versed in, or who writes on, mythology or myths.
mythologize |1. To relate, classify, and explain, or attempt to explain, myths; to write upon myths. 2. To construct and propagate myths.
mythologizer |One who, or that which, mythologizes. Imagination has always been, and still is, in a narrower sense, the great mythologizer. Lowell.
mythologue |A fabulous narrative; a myth. [R.] May we not ... consider his history of the fall as an excellent mythologue, to account for the origin of human evil Geddes.
