rehire |To hire again.
religion |1. The outward act or form by which men indicate their recognition of the existence of a god or of gods having power over their destiny, to whom obedience, service, and honor are due; the feeling or expression of human love, fear, or awe of some superhuman and overruling power, whether by profession of belief, by observance of rites and ceremonies, or by the conduct of life; a system of faith and worship; a manifestation of piety; as, ethical religions; monotheistic religions; natural religion; revealed religion; the religion of the Jews; the religion of idol worshipers. An orderly life so far as others are able to observe us is now and then produced by prudential motives or by dint of habit; but without seriousness there can be no religious principle at the bottom, no course of conduct from religious motives; in a word, there can be no religion. Paley. Religion [was] not, as too often now, used as equivalent for godliness; but . . . it expressed the outer form and embodiment which the inward spirit of a true or a false devotion assumed. Trench. Religions, by which are meant the modes of sdivine worship proper to different tribes, nations, or communities, and based on the belief held in common by the members of them severally . . . There is no living religion without something like a doctrine. On the other hand, a doctrine, however elaborate, does not constitute a religion. C. P. Tiele (Encyc. Brit. ). Religion . . . means the conscious relation between man and God, and the expression of that relation in human conduct. J. Köstlin (Schaff- Herzog Encyc. ) After the most straitest sect of our religion I lived a Pharisce. Acts xxvi. 5. The image of a brute, adorned With gay religions full of pomp and gold. Milton. 2. Specifically, conformity in faith and life to the precepts inculcated in the Bible, respecting the conduct of life and duty toward God and man; the Christian faith and practice. Let us with caution indulge the supposition that morality can be maintained without religion. Washington. Religion will attend you . . . as pleasant and useful companion in every proper place, and every temperate occupation of life. Buckminster. 3. (R.C.CH.)  A monastic or religious order subject to a regulated mode of life; the religious state; as, to enter religion. Trench. A good man was there of religion. Chaucer. 4. Strictness of fidelity in conforming to any practice, as if it were an enjoined rule of conduct. [R.] Those parts of pleading which in ancient times might perhaps be material, but at this time are become only mere styles and forms, are still continued with much religion. Sir M. Hale. Note: Religion, as distinguished from theology, is subjective, designating the feelings and acts of men which relate to God; while theology is objective, and denotes those ideas which man entertains respecting the God whom he worships, especially his systematized views of God. As distinguished from morality, religion denotes the influences and motives to human duty which are found in the character and will of God, while morality describes the duties to man, to which true religion always influences. As distinguished from piety, religion is a high sense of moral obligation and spirit of reverence or worship which affect the heart of man with respect to the Deity, while piety, which first expressed the feelings of a child toward a parent, is used for that filial sentiment of veneration and love which we owe to the Father of all. As distinguished from sanciti, religion is the means by which sanctity is achieved, sanctity denoting primarily that purity of heart and life which results from habitual communion with God, and a sense of his continual presence. Natural religion, a religion based upon the evidences of a God and his qualities, which is supplied by natural phenomena. See Natural theology, under Natural. -- Religion of humanity, a name sometimes given to a religion founded upon positivism as a philosophical basis. -- Revealed religion, that which is based upon direct communication of God's will to mankind; especially, the Christian religion, based on the revelations recorded in the Old and New Testaments.
religionary |Relating to religion; pious; as, religionary professions. [Obs.]\n\nA religionist. [R.]
religioner |A religionist. [R.]
religionism |1. The practice of, or devotion to, religion. 2. Affectation or pretense of religion.
religionist |One earnestly devoted or attached to a religion; a religious zealot. The chief actors on one side were, and were to be, the Puritan religionists. Palfrey. It might be that an Antinomian, a Quaker, or other heterodoreligionists, was to be scourged out of the town. Hawthorne.
religionize |To bring under the influence of religion. [R.] Mallock.
religionless |Destitute of religion.
religiosity |The quality of being religious; religious feeling or sentiment; religiousness. [R.] M. Arnold.
religious |1. Of or pertaining to religion; concerned with religion; teaching, or setting forth, religion; set apart to religion; as, a religious society; a religious sect; a religious place; religious subjects, books, teachers, houses, wars. Our law forbids at their religious rites My presence. Milton. 2. Possessing, or conforming to, religion; pious; godly; as, a religious man, life, behavior, etc. Men whose lives Religious titled them the sons of God. Mlton 3. Scrupulously faithful or exact; strict. Thus, Indianlike, Religious in my error, I adore The sun, that looks upon his worshiper. Shak. 4. Belonging to a religious order; bound by vows. One of them is religious. Chaucer. Syn. -- Pious; godly; holy; devout; devotional; conscientious; strict; rogod; exact.\n\nA person bound by monastic vows, or sequestered from secular concern, and devoted to a life of piety and religion; a monk or friar; a nun. Addison.
religiously |In a religious manner. Drayton.
religiousness |The quality of being religious.
relik |Relic. [Obs.] Chaucer.
relinquent |Relinquishing. [R.]\n\nOne who relinquishes. [R.]
relinquish |1. To withdraw from; to leave behind; to desist from; to abandon; to quit; as, to relinquish a pursuit. We ought to relinquish such rites. Hooker. They placed Irish tenants upon the lands relinquished by the English. Sir J. Davies. 2. To give up; to renounce a claim to; resign; as, to relinquish a debt. Syn. -- To resign; leave; quit; forsake; abandon; desert; renounce; forbResign.
relinquisher |One who relinquishes.
relinquishment |The act of relinquishing.
reliquary |A depositary, often a small box or casket, in which relics are kept.
relique |See Relic. Chaucer.
reliquiae |1. Remains of the dead; organic remains; relics. 2. (Bot.)  Same as Induviæ.
reliquian |Of or pertaining to a relic or relics; of the nature of a relic. [R.]
reliquidate |To liquidate anew; to adjust a second time.
reliquidation |A second or renewed liquidation; a renewed adjustment. A. Hamilton.
relish |1. To taste or eat with pleasure; to like the flavor of; to partake of with gratification; hence, to enjoy; to be pleased with or gratified by; to experience pleasure from; as, to relish food. Now I begin to relish thy advice. Shak. He knows how to prize his advantages, and to relish the honors which he enjoys. Atterbury. 2. To give a relish to; to cause to taste agreeably. A savory bit that served to relish wine. Dryden.\n\nTo have a pleasing or appetizing taste; to give gratification; to have a flavor. Had I been the finder-out of this secret, it would not have relished among my other discredits. Shak. A theory, which, how much soever it may relish of wit and invention, hath no foundation in nature. Woodward.\n\n1. A pleasing taste; flavor that gratifies the palate; hence, enjoyable quality; power of pleasing. Much pleasure we have lost while we abstained From this delightful fruit, nor known till now True relish, tasting. Milton. When liberty is gone, Life grows insipid, and has lost its relish. Addison. 2. Savor; quality; characteristic tinge. It preserve some relish of old writing. Pope. 3. A taste for; liking; appetite; fondness. A relish for whatever was excelent in arts. Macaulay. I have a relish for moderate praise, because it bids fair to be jCowper. 4. That which is used to impart a flavor; specifically, something taken with food to render it more palatable or to stimulate the appetite; a condiment. Syn. -- Taste; savor; flavor; appetite; zest; gusto; liking; delight.\n\nThe projection or shoulder at the side of, or around, a tenon, on a tenoned piece. Knight.
relishable |Capable of being relished; agreeable to the taste; gratifying.
relive |To live again; to revive.\n\nTo recall to life; to revive. [Obs.]
reload |To load again, as a gun.
reloan |A second lending of the same thing; a renewal of a loan.
relocate |To locate again.
relocation |1. A second location. 2. (Roman & Scots Law)  Renewal of a lease.
relodge |To lodge again.
relove |To love in return. [Obs.] Boyle.
relucent |Reflecting light; shining; glittering; glistening; bright; luminous; splendid. Gorgeous banners to the sun expand Their streaming volumes of relucent gold. Glover.
reluct |To strive or struggle against anything; to make resistance; to draw back; to feel or show repugnance or reluctance. Apt to reluct at the excesses of it [passion]. Walton.
reluctance |The state or quality of being reluctant; repugnance; aversion of mind; unwillingness; -- often followed by an infinitive, or by to and a noun, formerly sometimes by against. \"Tempering the severity of his looks with a reluctance to the action.\" Dryden. He had some reluctance to obey the summons. Sir W. Scott. Bear witness, Heaven, with what reluctancy Her helpless innocence I doom to die. Dryden. Syn. See Dislike.
reluctancy |The state or quality of being reluctant; repugnance; aversion of mind; unwillingness; -- often followed by an infinitive, or by to and a noun, formerly sometimes by against. \"Tempering the severity of his looks with a reluctance to the action.\" Dryden. He had some reluctance to obey the summons. Sir W. Scott. Bear witness, Heaven, with what reluctancy Her helpless innocence I doom to die. Dryden. Syn. See Dislike.
reluctant |1. Striving against; opposed in desire; unwilling; disinclined; loth. Reluctant, but in vain. Milton. Reluctant now I touched the trembling string. Tickell. 2. Proceeding from an unwilling mind; granted with reluctance; as, reluctant obedience. Mitford. Syn. -- Averse; unwilling; loth; disinclined; repugnant; backward; coy. See Averse.
reluctantly |In a reluctant manner.
reluctate |To struggle against anything; to resist; to oppose. [Obs.] \"To delude their reluctating consciences.\" Dr. H. More.
reluctation |Repugnance; resistance; reluctance. [Obs.] Bacon.
reluctivity |Specific reluctance.
relume |To rekindle; to light again. Relumed her ancient light, not kindled new. Pope. I know not where is that Promethean heat That can thy light relume. Shak.
relumine |1. To light anew; to rekindle. Shak. 2. To illuminate again.
rely |To rest with confidence, as when fully satisfied of the veracity, integrity, or ability of persons, or of the certainty of facts or of evidence; to have confidence; to trust; to depend; -- with on, formerly also with in. Go in thy native innocence; rely On what thou hast of virtue. Milton. On some fond breast the parting soul relies. Gray. Syn. -- To trust; depend; confide; repose.
remade |imp. & p. p. of Remake.
remain |1. To stay behind while others withdraw; to be left after others have been removed or destroyed; to be left after a number or quantity has been subtracted or cut off; to be left as not included or comprised. Gather up the fragments that remain. John vi. 12. Of whom the greater part remain unto this present, but some are fallen asleep. 1 Cor. xv. 6. That . . . remains to be proved. Locke. 2. To continue unchanged in place, form, or condition, or undiminished in quantity; to abide; to stay; to endure; to last. Remain a widow at thy father's house. Gen. xxxviii. 11. Childless thou art; childless remain. Milton. Syn. -- To continue; stay; wait; tarry; rest; sojourn; dwell; abide; last; endure.\n\nTo await; to be left to. [Archaic] The easier conquest now remains thee. Milton.\n\n1. State of remaining; stay. [Obs.] Which often, since my here remain in England, I 've seen him do. Shak. 2. That which is left; relic; remainder; -- chiefly in the plural. \"The remains of old Rome.\" Addison. When this remain of horror has entirely subsided. Burke. 3. Specif., in the plural: (a) That which is left of a human being after the life is gone; relics; a dead body. Old warriors whose adored remains In weeping vaults her hallowed earth contains! Pope. (b) The posthumous works or productions, esp. literary works, of one who is dead; as, Cecil's Remains.
remainder |1. Anything that remains, or is left, after the separation and removal of a part; residue; remnant. \"The last remainders of unhappy Troy.\" Dryden. If these decoctions be repeated till the water comes off clear, the remainder yields no salt. Arbuthnot. 2. (Math.)  The quantity or sum that is left after subtraction, or after any deduction. 3. (Law)  An estate in expectancy, generally in land, which becomes an estate in possession upon the determination of a particular prior estate, created at the same time, and by the same instrument; for example, if land be conveyed to A for life, and on his death to B, A's life interest is a particuar estate, and B's interest is a remainder, or estate in remainder. Syn. -- Balance; rest; residue; remnant; leavings.\n\nRemaining; left; left over; refuse. Which is as dry as the remainder biscuit After a voyage. Shak.
remainder-man |One who has an estate after a particular estate is determined. See Remainder, n., 3. Blackstone.
remake |To make anew.
remand |To recommit; to send back. Remand it to its former place. South. Then were they remanded to the cage again. Bunyan.\n\nThe act of remanding; the order for recommitment.
remandment |A remand.
remanence |The state of being remanent; continuance; permanence. [R.] Jer. Taylor. The remanence of the will in the fallen spirit. Coleridge.
remanency |The state of being remanent; continuance; permanence. [R.] Jer. Taylor. The remanence of the will in the fallen spirit. Coleridge.
remanent |That which remains; a remnant; a residue.\n\nRemaining; residual. That little hope that is remanent hath its degree according to the infancy or growth of the habit. Jer. Taylor. Remanent magnetism (Physics), magnetism which remains in a body that has little coercive force after the magnetizing force is withdrawn, as soft iron; -- called also residual magnetism.
remanet |A case for trial which can not be tried during the term; a postponed case. [Eng.]
remark |1. To mark in a notable manner; to distinquish clearly; to make noticeable or conspicuous; to piont out. [Obs.] Thou art a man remarked to taste a mischief. Ford. His manacles remark him; there he sits. Milton. 2. To take notice of, or to observe, mentally; as, to remark the manner of a speaker. 3. To express in words or writing, as observed or noticed; to state; to say; -- often with a substantive clause; as, he remarked that it was time to go. Syn. -- To observe; notice; heed; regard; note; say. -- Remark, Observe, Notice. To observe is to keep or hold a thing distinctly before the mind. To remark is simply to mark or take note of whatever may come up. To notice implies still less continuity of attention. When we turn from these mental states to the expression of them in language, we find the same distinction. An observation is properly the result of somewhat prolonged thought; a remark is usually suggested by some passing occurence; a notice is in most cases something cursory and short. This distinction is not always maintained as to remark and observe, which are often used interchangeably. \"Observing men may form many judgments by the rules of similitude and proportion.\" I. Watts. \"He can not distinguish difficult and noble speculations from trifling and vulgar remarks.\" Collier. \"The thing to be regarded, in taking notice of a child's miscarriage, is what root it springs from.\" Locke.\n\nTo make a remark or remarks; to comment.\n\n1. Act of remarking or attentively noticing; notice or observation. The cause, though worth the search, may yet elude Conjecture and remark, however shrewd. Cowper. 2. The expression, in speech or writing, of something remarked or noticed; the mention of that which is worthy of attention or notice; hence, also, a casual observation, comment, or statement; as, a pertinent remark. Syn. -- Observation; note; comment; annotation.\n\n(a) A small design etched on the margin of a plate and supposed to be removed after the earliest proofs have been taken; also, any feature distinguishing a particular stage of the plate. (b) A print or proof so distinguished; -- commonly called a Remarque proof.
remarkable |Worthy of being remarked or noticed; noticeable; conspicuous; hence, uncommon; extraordinary. 'T is remarkable, that they Talk most who have the least to say. Prior. There is nothing left remarlable Beneath the visiting moon. Shak. Syn. -- Observable; noticeable; extraordinary; unusual; rare; strange; wonderful; notable; eminent. -- Re*mark\"a*ble*ness, n. -- Re*mark\"a*bly, adv.
remarker |One who remarks.
remarque |(a) A small design etched on the margin of a plate and supposed to be removed after the earliest proofs have been taken; also, any feature distinguishing a particular stage of the plate. (b) A print or proof so distinguished; -- commonly called a Remarque proof.
remarque proof |(a) A small design etched on the margin of a plate and supposed to be removed after the earliest proofs have been taken; also, any feature distinguishing a particular stage of the plate. (b) A print or proof so distinguished; -- commonly called a Remarque proof.
remarriage |A second or repeated marriage.
remarry |To marry again.
remast |To furnish with a new mast or set of masts.
remasticate |To chew or masticate again; to chew over and over, as the cud.
remastication |The act of masticating or chewing again or repeatedly.
remberge |See Ramberge.
remblai |Earth or materials made into a bank after having been excavated.
remble |To remove. [Prov.Eng.] Grose. Tennyson.
reme |Realm. [Obs.] Chaucer.
remean |To give meaning to; to explain the meaning of; to interpret. [Obs.] Wyclif.
remeant |Coming back; returning. [R.] \"Like the remeant sun.\" C. Kingsley.
remeasure |To measure again; to retrace. They followed him . . . The way they came, their steps remeasured right. Fairfax.
remede |Remedy. [Obs.] Chaucer.
remediable |Capable of being remedied or cured. -- Re*me\"di*a*ble*ness, n. -Re*me\"di*a*bly, adv.
remedial |Affording a remedy; intended for a remedy, or for the removal or abatement of an evil; as, remedial treatment. Statutes are declaratory or remedial. Blackstone. It is an evil not compensated by any beneficial result; it is not remedial, not conservative. I. Taylor.
remedially |In a remedial manner.
remediate |Remedial. [R.] Shak.
remediless |1. Not admitting of a remedy; incapable of being restored or corrected; incurable; irreparable; as, a remediless mistake or loss. \"Chains remedilesse.\" Spenser. Hopeless are all my evils, all remediless. Milton. 2. Not answering as a remedy; ineffectual. [Obs.] Forced to forego the attempt remediless. Spenser. Syn. -- Incurable; cureless; irremediable; irrecoverable; irretrievable; irreparable; desperate. -- Re*med\"i*less, adv. [Obs.] Udall. -- Re*med\"i*less*ly, adv. -- Re*med\"i*less*ness, n.
remedy |1. That which relieves or cures a disease; any medicine or application which puts an end to disease and restores health; -- with for; as, a remedy for the gout. 2. That which corrects or counteracts an evil of any kind; a corrective; a counteractive; reparation; cure; -- followed by for or against, formerly by to. What may else be remedy or cure To evils which our own misdeeds have wrought, He will instruct us. Milton. 3. (Law)  The legal means to recover a right, or to obtain redress for a wrong. Civil remedy. See under Civil. -- Remedy of the mint (Coinage), a small allowed deviation from the legal standard of weight and fineness; -- called also tolerance. Syn. -- Cure; restorative; counteraction; reparation; redress; relief; aid; help; assistance.\n\nTo apply a remedy to; to relieve; to cure; to heal; to repair; to redress; to correct; to counteract. I will remedy this gear ere long. Shak.
remelt |To melt again.
remember |1. To have ( a notion or idea) come into the mind again, as previously perceived, known, or felt; to have a renewed apprehension of; to bring to mind again; to think of again; to recollect; as, I remember the fact; he remembers the events of his childhood; I cannot remember dates. We are said to remember anithing, when the idea of it ariseI. Watts. 2. To be capable of recalling when required; to keep in mind; to be continually aware or thoughtful of; to preserve fresh in the memory; to attend to; to think of with gratitude, affection, respect, or any other emotion. Remember the Sabbath day, to keep it holy. Ex. xx. 8. That they may have their wages duly paid 'em, And something over to remember me by. Shak. Remember what I warn thee; shun to taste. Milton. 3. To put in mind; to remind; -- also used reflexively and impersonally. [Obs.] \"Remembering them the trith of what they themselves known.\" Milton. My friends remembered me of home. Chapman. Remember you of passed heaviness. Chaucer. And well thou wost [knowest] if it remember thee. Chaucer. 4. To mention. [Obs.] \"As in many cases hereafter to be remembered.\" Ayliffe. 5. To recall to the mind of another, as in the friendly messages, remember me to him, he wishes to be remembered to you, etc.\n\nTo execise or have the power of memory; as, some remember better than others. Shak.
rememberable |Capable or worthy of being remembered. -- Re*mem\"ber*a*bly, adv. The whole vale of Keswick is so rememberable. Coleridge.
rememberer |One who remembers.
remembrance |1. The act of remembering; a holding in mind, or bringing to mind; recollection. Lest fierce remembrance wake my sudden rage. Milton. Lest the remembrance of his grief should fail. Addison. 2. The state of being remembered, or held in mind; memory; recollection. This, ever grateful, in remembrance bear. Pope. 3. Something remembered; a person or thing kept in memory. Shak. 4. That which serves to keep in or bring to mind; a memorial; a token; a memento; a souvenir; a memorandum or note of something to be remembered. And on his breast a bloody cross he bore, The dear remembrance of his dying Lord. Spenser. Keep this remembrance for thy Julia's sake. Shak. 5. Something to be remembered; counsel; admoni [Obs.] Shak. 6. Power of remembering; reach of personal knowledge; period over which one's memory extends. Thee I have heard relating what was done Ere my remembrance. Milton. Syn. -- Recollection; reminiscence. See Memory.
remembrancer |1. One who, or that which, serves to bring to, or keep in, mind; a memento; a memorial; a reminder. Premature consiolation is but the remembrancer of sorrow. Goldsmith. Ye that are the lord's remembrancers. Isa. lxii. 6. (Rev. Ver. ). 2. A term applied in England to several officers, having various functions, their duty originally being to bring certain matters to the attention of the proper persons at the proper time. \"The remembrancer of the lord treasurer in the exchequer.\" Bacon.
rememorate |To recall something by means of memory; to remember. [Obs.] Bryskett.
rememoration |A recalling by the faculty of memory; remembrance. [Obs. & R.] Bp. Montagu.
rememorative |Tending or serving to remind. [R.]
remenant |A remnant. [Obs.]
remercie |To thank. [Obs.] She him remercied as the patron of her life. Spenser.
remercy |To thank. [Obs.] She him remercied as the patron of her life. Spenser.
remerge |To merge again. \"Remerging in the general Soul.\" Tennyson.
remeve |To remove. [Obs.] Chaucer.
remewe |To remove. [Obs.] Chaucer.
remiform |Shaped like an oar.
remiges |The quill feathers of the wings of a bird.
remigrate |To migrate again; to go back; to return. Boyle.
remigration |Migration back to the place from which one came. Sir M. Hale.
remind |To put (one) in mind of something; to bring to the remembrance of; to bring to the notice or consideration of (a person). When age itself, which will not be defied, shall begin to arrest, seize, and remind us of our mortality. South.
reminder |One who, or that which, reminds; that which serves to awaken remembrance.
remindful |Tending or adapted to remind; careful to remind. Southey.
reminiscence |1. The act or power of recalling past experience; the state of being reminiscent; remembrance; memory. The other part of memory, called reminiscence, which is the retrieving of a thing at present forgot, or but confusedly remembered. South. I forgive your want of reminiscence, since it is long since I saw you. Sir W. Scott. 2. That which is remembered, or recalled to mind; a statement or narration of remembered experience; a recollection; as, pleasing or painful reminiscences. Syn. -- Remembrance; recollection. See Memory.
reminiscency |Reminiscence. [Obs.]
reminiscent |Recalling to mind, or capable of recalling to mind; having remembrance; reminding one of something. Some other of existence of which we have been previously conscious, and are now reminiscent. Sir W. Hamilton.\n\nOne who is addicted to indulging, narrating, or recording reminiscences.
reminiscential |Of or pertaining to reminiscence, or remembrance. Sir T. Browne.
remiped |Having feet or legs that are used as oars; -- said of certain crustaceans and insects.\n\n(a) An animal having limbs like oars, especially one of certain crustaceans. (b) One of a group of aquatic beetles having tarsi adapted for swimming. See Water beetle.
remise |To send, give, or grant back; torelease a claim to; to resign or surrender by deed; to return. Blackstone.\n\nA giving or granting back; surrender; return; release, as of a claim.
remiss |Not energetic or exact in duty or business; not careful or prompt in fulfilling engagements; negligent; careless; tardy; behindhand; lagging; slack; hence, lacking earnestness or activity; languid; slow. Thou never wast remiss, I bear thee witness. Milton. These nervous, bold; those languid and remiss. Roscommon. Its motion becomes more languid and remiss. Woodward. Syn. -- Slack; dilatory; slothful; negligent; careless; neglectful; inattentive; heedles; thoughtless.\n\nThe act of being remiss; inefficiency; failure. [Obs.] \"Remisses of laws.\" Puttenham.
remissful |Inclined to remit punishment; lenient; clement. Drayton.
remissibility |The state or quality of being remissible. Jer. Taylor.
remissible |Capable of being remitted or forgiven. Feltham.
remission |-- Forgiveness, Pardon. Forgiveness is Anglo-Saxon, and pardon Norman French, both implying a giving back. The word pardon, being early used in our Bible, has, in religious matters, the same sense as forgiveness; but in the language of common life there is a difference between them, such as we often find between corresponding Anglo-Saxon and Norman words. Forgive points to inward feeling, and suppose alienated affection; when we ask forgiveness, we primarily seek the removal of anger. Pardon looks more to outward things or consequences, and is often applied to trifling matters, as when we beg pardon for interrupting a man, or for jostling him in a crowd. The civil magistrate also grants a pardon, and not forgiveness. The two words are, therefore, very clearly distinguished from each other in most cases which relate to the common concerns of life.\n\n1. The act of remitting, surrendering, resigning, or giving up. 2. Discharge from that which is due; relinquishment of a claim, right, or obligation; pardon of transgression; release from forfeiture, penalty, debt, etc. This is my blood of the new testament, which is shed for many for the remission of sins. Matt. xxvi. 28. That ples, therefore, . . . Will gain thee no remission. Milton. 3. Diminution of intensity; abatement; relaxation. 4. (Med.)  A temporary and incomplete subsidence of the force or violence of a disease or of pain, as destinguished from intermission, in which the disease completely leaves the patient for a time; abatement. 5. The act of sending back. [R.] Stackhouse. 6. Act of sending in payment, as money; remittance.
remissive |Remitting; forgiving; abating. Bp. Hacket.
remissly |In a remiss or negligent manner; carelessly.
remissness |Quality or state of being remiss.
remissory |Serving or tending to remit, or to secure remission; remissive. \"A sacrifice expiatory or remissory.\" Latimer.
remit |1. To send back; to give up; to surrender; to resign. In the case the law remits him to his ancient and more certain right. Blackstone. In grevious and inhuman crimes, offenders should be remitted to their prince. Hayward. The prisoner was remitted to the guard. Dryden. 2. To restore. [Obs.] The archbishop was . . . remitted to his liberty. Hayward. 3. (Com.)  To transmit or send, esp. to a distance, as money in payment of a demand, account, draft, etc.; as, he remitted the amount by mail. 4. To send off or away; hence: (a) To refer or direct (one) for information, guidance, help, etc. \"Remitting them . . . to the works of Galen.\" Sir T. Elyot. (b) To submit, refer, or leave (something) for judgment or decision. \"Whether the counsel be good Iremit it to the wise readers.\" Sir T. Elyot. 5. To relax in intensity; to make less violent; to abate. So willingly doth God remit his ire. Milton. 6. To forgive; to pardon; to remove. Whose soever sins ye remit, they are remitted unto them. John xx. 23. 7. To refrain from exacting or enforcing; as, to remit the performance of an obligation. \"The sovereign was undoubtedly competent to remit penalties.\" Macaulay. Syn. -- To relax; release; abate; relinguish; forgive; pardon; absolve.\n\n1. To abate in force or in violence; to grow less intense; to become moderated; to abate; to relax; as, a fever remits; the severity of the weather remits. 2. To send money, as in payment. Addison.
remitment |The act of remitting, or the state of being remitted; remission. Disavowing the remitment of Claudius. Milton.
remittal |A remitting; a giving up; surrender; as, the remittal of the first fruits. Swift.
remittance |1. The act of transmitting money, bills, or the like, esp. to a distant place, as in satisfaction of a demand, or in discharge of an obligation. 2. The sum or thing remitted. Addison.
remittee |One to whom a remittance is sent.
remittent |Remitting; characterized by remission; having remissions. Remittent fever (Med.), a fever in which the symptoms temporarily abate at regular intervals, but do not wholly cease. See Malarial fever, under Malarial.
remitter |1. One who remits. Specifically: (a) One who pardons. (b) One who makes remittance. 2. (Law)  The sending or placing back of a person to a title or right he had before; the restitution of one who obtains possession of property under a defective title, to his rights under some valid title by virtue of which he might legally have entered into possession only by suit. Bouvier.
remittitur |(a) A remission or surrender, -- remittitur damnut being a remission of excess of damages. (b) A sending back, as when a record is remitted by a superior to an inferior court. Wharton.
remittor |One who makes a remittance; a remitter.
remix |To mix again or repeatedly.
remnant |Remaining; yet left. [R.] \"Because of the remnant dregs of his disease.\" Fuller. And quiet dedicate her remnant life To the just duties of an humble wife. Prior.\n\n1. That which remains after a part is removed, destroyed, used up, performed, etc.; residue. Chaucer. The remnant that are left of the captivity. Neh. i. 3. The remnant of my tale is of a length To tire your patience. Dryden. 2. A small portion; a slight trace; a fragment; a little bit; a scrap. Some odd quirks and remnants of wit. Shak. 3. (Com.)  An unsold end of piece goods, as cloth, ribbons, carpets, etc. Syn. -- Residue; rest; remains; remainder.
remodel |To model or fashion anew; to change the form of. The corporation had been remodeled. Macaulay.
remodification |The act of remodifying; the state of being remodified.
remodify |To modify again or anew; to reshape.
remolade |A kind of piquant sauce or salad dressing resembling mayonnaise.\n\nAn ointment used in farriery.
remold |To mold or shape anew or again; to reshape.
remollient |Mollifying; softening. [R.]
remonetization |The act of remonetizing.
remonetize |To restore to use as money; as, to remonetize silver.
remonstrance |1. The act of remonstrating; as: (a) A pointing out; manifestation; proof; demonstration. [Obs.] You may marvel why I . . . would not rather Make rash remonstrance of my hidden power Than let him be so lost. Shak. (b) Earnest presentation of reason in opposition to something; protest; expostulation. 2. (R.C.Ch.)  Same as Monstrance.
remonstrant |Inclined or tending to remonstrate; expostulatory; urging reasons in opposition to something.\n\nOne who remonstrates; specifically (Eccl. Hist.),  one of the Arminians who remonstrated against the attacks of the Calvinists in 1610, but were subsequently condemned by the decisions of the Synod of Dort in 1618. See Arminian.
remonstrantly |In a remonstrant manner.
remonstrate |To point out; to show clearly; to make plain or manifest; hence, to prove; to demonstrate. [Obs.] Jer. Taylor. I will remonstrate to you the third door. B. Jonson.\n\nTo present and urge reasons in opposition to an act, measure, or any course of proceedings; to expostulate; as, to remonstrate with a person regarding his habits; to remonstrate against proposed taxation. It is proper business of a divine to state cases of conscience, and to remonstrate against any growing corruptions in practice, and especially in principles. Waterland. Syn. -- Expostulate, Remonstrate. These words are commonly interchangeable, the principal difference being that expostulate is now used especially to signify remonstrance by a superior or by one in authority. A son remonstrates against the harshness of a father; a father expostulates with his son on his waywardness. Subjects remonstrate with their rulers; sovereigns expostulate with the parliament or the people.
remonstration |The act of remonstrating; remonstrance. [R.] Todd.
remonstrative |Having the character of a remonstrance; expressing remonstrance.
remonstrator |One who remonstrates; a remonsrant. Bp. Burnet.
remontant |Rising again; -- applied to a class of roses which bloom more than once in a season; the hybrid perpetual roses, of which the Jacqueminot is a well-known example.
remontoir |See under Escapement.
remora |1. Delay; obstacle; hindrance. [Obs.] Milton. 2. (Zoöl.)  Any one of several species of fishes belonging to Echeneis, Remora, and allied genera. Called also sucking fish. Note: The anterior dorsal fin is converted into a large sucking disk, having two transverse rows of lamellæ, situated on the top of the head. They adhere firmly to sharks and other large fishes and to vessels by this curious sucker, letting go at will. The pegador, or remora of sharks (Echeneis naucrates), and the swordfish remora (Remora brachyptera), are common American species. 3. (Surg.)  An instrument formerly in use, intended to retain parts in their places. Dunglison.
remorate |To hinder; to delay. [Obs.] Johnson.
remord |To excite to remorse; to rebuke. [Obs.] Skelton.\n\nTo feel remorse. [Obs.] Sir T. Elyot.
remordency |Remorse; compunction; compassion. [Obs.] Killingbeck.
remorsed |Feeling remorse. [Obs.]
remorseful |1. Full of remorse. The full tide of remorseful passion had abated. Sir W. Scott. 2. Compassionate; feeling tenderly. [Obs.] Shak. 3. Exciting pity; pitiable. [Obs.] Chapman. -- Re*morse\"ful*ly, adv. -- Re*morse\"ful*ness, n.
remorseless |Being without remorse; having no pity; hence, destitute of sensibility; cruel; insensible to distress; merciless. \"Remorseless adversaries.\" South. \"With remorseless cruelty.\" Milton. Syn. -- Unpitying; pitiless; relentless; unrelenting; implacable; merciless; unmerciful; savage; cruel. -- Re*morse\"less*ly, adv. -- Re*morse\"less*ness, n.
remote |1. Removed to a distance; not near; far away; distant; -- said in respect to time or to place; as, remote ages; remote lands. Places remote enough are in Bohemia. Shak. Remote from men, with God he passed his days. Parnell. 2. Hence, removed; not agreeing, according, or being related; -- in various figurative uses. Specifically: (a) Not agreeing; alien; foreign. \"All these propositions, how remote soever from reason.\" Locke. (b) Not nearly related; not close; as, a remote connection or consanguinity. (c) Separate; abstracted. \"Wherever the mind places itself by any thought, either amongst, or remote from, all bodies.\" Locke. (d) Not proximate or acting directly; primary; distant. \"From the effect to the remotest cause.\" Granville. (e) Not obvious or sriking; as, a remote resemblance. 3. (Bot.)  Separated by intervals greater than usual. -- Re*mote\"ly, adv. -- Re*mote\"ness, n.
