cerotype |A printing process of engraving on a surface of wax spread on a steel plate, for electrotyping.
challenge |1. An invitation to engage in a contest or controversy of any kind; a defiance; specifically, a summons to fight a duel; also, the letter or message conveying the summons. A challenge to controversy. Goldsmith. 2. The act of a sentry in halting any one who appears at his post, and demanding the countersign. 3. A claim or demand. [Obs.] There must be no challenge of superiority. Collier. 4. (Hunting)  The opening and crying of hounds at first finding the scent of their game. 5. (Law)  An exception to a juror or to a member of a court martial, coupled with a demand that he should be held incompetent to act; the claim of a party that a certain person or persons shall not sit in trial upon him or his cause. Blackstone 6. An exception to a person as not legally qualifed to vote. The challenge must be made when the ballot is offered. [U. S.] Challenge to the array (Law), an exception to the whole panel. -- Challenge to the favor, the alleging a special cause, the sufficiency of which is to be left to those whose duty and office it is to decide upon it. -- Challenge to the polls, an exception taken to any one or more of the individual jurors returned. -- Peremptory challenge, a privilege sometimes allowed to defendants, of challenging a certain number of jurors (fixed by statute in different States) without assigning any cause. -- Principal challenge, that which the law allows to be sufficient if found to be true.\n\n1. To call to a contest of any kind; to call to answer; to defy. I challenge any man to make any pretense to power by right of fatherhood. Locke. 2. To call, invite, or summon to answer for an offense by personal combat. By this I challenge him to single fight. Shak. 3. To claim as due; to demand as a right. Challenge better terms. Addison. 4. To censure; to blame. [Obs.] He complained of the emperors . . . and challenged them for that he had no greater revenues . . . from them. Holland. 5. (Mil.)  To question or demand the countersign from (one who attempts to pass the lines); as, the sentinel challenged us, with \"Who comes there\" 6. To take exception to; question; as, to challenge the accuracy of a statement or of a quotation. 7. (Law)  To object to or take exception to, as to a juror, or member of a court. 8. To object to the reception of the vote of, as on the ground that the person in not qualifed as a voter. [U. S.] To challenge to the array, favor, polls. See under Challenge, n.\n\nTo assert a right; to claim a place. Where nature doth with merit challenge. Shak.
challengeable |That may be challenged.
challenger |One who challenges.
challis |A soft and delicate woolen, or woolen and silk, fabric, for ladies' dresses. [Written also chally.]
chalon |A bed blanket. [Obs.] Chaucer.
chalybean |1. Of or pertaining to the Chalybes, an ancient people of Pontus in Asia Minor, celebrated for working in iron and steel. 2. Of superior quality and temper; -- applied to steel. [Obs.] Milton.
chalybeate |Impregnated with salts of iron; having a taste like iron; as, chalybeate springs.\n\nAny water, liquid, or medicine, into which iron enters as an ingredient.
chalybeous |Steel blue; of the color of tempered steel.
chalybite |Native iron carbonate; -- usually called siderite.
cham |To chew. [Obs. or Prov. Eng.] Sir T. More.\n\nThe sovereign prince of Tartary; -- now usually written khan. Shak.
chamade |A signal made for a parley by beat of a drum. They beat the chamade, and sent us carte blanche. Addison.
chamal |The Angora goat. See Angora goat, under Angora.
chamber |1. A retired room, esp. an upper room used for sleeping; a bedroom; as, the house had four chambers. 2. pl.  Apartments in a lodging house. \"A bachelor's life in chambers.\" Thackeray. 3. A hall, as where a king gives audience, or a deliberative body or assembly meets; as, presence chamber; senate chamber. 4. A legislative or judicial body; an assembly; a society or association; as, the Chamber of Deputies; the Chamber of Commerce. 5. A compartment or cell; an inclosed space or cavity; as, the chamber of a canal lock; the chamber of a furnace; the chamber of the eye. 6. pl. (Law.)  A room or rooms where a lawyer transacts business; a room or rooms where a judge transacts such official business as may be done out of court. 7. A chamber pot. [Colloq.] 8. (Mil.) (a) That part of the bore of a piece of ordnance which holds the charge, esp. when of different diameter from the rest of the bore; -- formerly, in guns, made smaller than the bore, but now larger, esp. in breech-loading guns. (b) A cavity in a mine, usually of a cubical form, to contain the powder. (c) A short piece of ornance or cannon, which stood on its breech, without any carriage, formerly used chiefly for rejoicings and theatrical cannonades. Air chamber. See Air chamber, in the Vocabulary. -- Chamber of commerce, a board or association to protect the interests of commerce, chosen from among the merchants and traders of a city. -- Chamber council, a secret council. Shak. -- Chamber counsel or counselor, a counselor who gives his opinion in private, or at his chambers, but does not advocate causes in court. -- Chamber fellow, a chamber companion; a roommate; a chum. -- Chamber hangings, tapestry or hangings for a chamber. -- Chamber lye, urine. Shak. -- Chamber music, vocal or instrumental music adapted to performance in a chamber or small apartment or audience room, instead of a theater, concert hall, or chuch. -- Chamber practice (Law.), the practice of counselors at law, who give their opinions in private, but do not appear in court. -- To sit at chambers, to do business in chambers, as a judge.\n\n1. To reside in or occupy a chamber or chambers. 2. To be lascivious. [Obs.]\n\n1. To shut up, as inn a chamber. Shak. 2. To furnish with a chamber; as, to chamber a gun.
chambered |Having a chamber or chambers; as, a chambered shell; a chambered gun.
chamberer |1. One who attends in a chamber; a chambermaid. [Obs.] Chaucer. 2. A civilian; a carpetmonger. [Obs.]
chambering |Lewdness. [Obs.] Rom. xiii. 13.
chamberlain |1. An officer or servant who has charge of a chamber or chambers. 2. An upper servant of an inn. [Obs.] 3. An officer having the direction and management of the private chambers of a nobleman or monarch; hence, in Europe, one of the high officers of a court. 4. A treasurer or receiver of public money; as, the chamberlain of London, of North Wales, etc. The lord chamberlain of England, an officer of the crown, who waits upon the sovereign on the day of coronation, and provides requisites for the palace of Westminster, and for the House of Lords during the session of Parliament. Under him are the gentleman of the black rod and other officers. His office is distinct from that of the lord chamberlain of the Household, whose functions relate to the royal housekeeping.
chamberlainship |Office if a chamberlain.
chambermaid |1. A maidservant who has the care of chambers, making the beds, sweeping, cleaning the rooms, etc. 2. A lady's maid. [Obs.] Johnson.
chambertin |A red wine from Chambertin near Dijon, in Burgundy.
chambranle |An ornamental bordering or framelike decoration around the sides and top of a door, window, or fireplace. The top piece is called the traverse and the side pieces the ascendants.
chambray |A gingham woven in plain colors with linen finish.
chambrel |Same as Gambrel.
chameck |A kind of spider monkey (Ateles chameck), having the thumbs rudimentary and without a nail.
chameleon |A lizardlike reptile of the genus Chamæleo, of several species, found in Africa, Asia, and Europe. The skin is covered with fine granmulations; the tail is prehensile, and the body is much compressed laterally, giving it a high back. Note: Its color changes more or less with the color of the objects about it, or with its temper when disturbed. In a cool, dark place it is nearly white, or grayish; on admitting the light, it changes to brown, bottle-green, or blood red, of various shades, and more or less mottled in arrangment. The American chameleons belong to Anolis and allied genera of the family Iguanidæ. They are more slender in form than the true chameleons, but have the same power of changing their colors. Chameleon mineral (Chem.), the compound called potassium permanganate, a dark violet, crystalline substance, KMnO4, which in formation passes through a peculiar succession of color from green to blue, purple, red, etc. See Potassium permanganate, under Potassium.
chameleonize |To change into various colors. [R.]
chamfer |The surface formed by cutting away the arris, or angle, formed by two faces of a piece of timber, stone, etc.\n\n1. (Carp.)  To cut a furrow in, as in a column; to groove; to channel; to flute. 2. To make a chamfer on.
chamfret |1. (Carp.)  A small gutter; a furrow; a groove. 2. A chamfer.
chamfron |The frontlet, or head armor, of a horse. [Written also champfrain and chamfrain.]
chamisal |1. (Bot.)  A California rosaceous shrub (Adenostoma fasciculatum) which often forms an impenetrable chaparral. 2.  A chaparral formed by dense growths of this shrub.
chamlet |See Camlet. [Obs.]
chamois |1. (Zoöl.)  A small species of antelope (Rupicapra tragus), living on the loftiest mountain ridges of Europe, as the Alps, Pyrenees, etc. It possesses remarkable agility, and is a favorite object of chase. 2. A soft leather made from the skin of the chamois, or from sheepskin, etc.; -- called also chamois leather, and chammy or shammy leather. See Shammy.
chamomile |A genus of herbs (Anthemis) of the Composite family. The common camomile, A. nobilis, is used as a popular remedy. Its flowers have a strong and fragrant and a bitter, aromatic taste. They are tonic, febrifugal, and in large doses emetic, and the volatile oil is carminative.\n\nSee Camomile.
champ |1. To bite with repeated action of the teeth so as to be heard. Foamed and champed the golden bit. Dryden. 2. To bite into small pieces; to crunch. Steele.\n\nTo bite or chew impatiently. They began . . . irefully to champ upon the bit. Hooker.\n\nThe field or ground on which carving appears in relief.
champagne |A light wine, of several kinds, originally made in the province of Champagne, in France. Note: Champagne properly includes several kinds not only of sparkling but off still wines; but in America the term is usually restricted to wines which effervesce.
champe |The field or ground on which carving appears in relief.
champer |One who champs, or bites.
champertor |One guilty of champerty; one who purchases a suit, or the right of suing, and carries it on at his own expense, in order to obtain a share of the gain.
champerty |1. Partnership in power; equal share of authority. [Obs.] Beauté ne sleighte, strengthe ne hardyness, Ne may with Venus holde champartye. Chaucer. 2. (Law)  The prosecution or defense of a suit, whether by furnishing money or personal services, by one who has no legitimate concern therein, in consideration of an agreement that he shall receive, in the event of success, a share of the matter in suit; maintenance with the addition of an agreement to divide the thing in suit. See Maintenance. Note: By many authorities champerty is defined as an agreement of this nature. From early times the offence of champerty has been forbidden and punishable.
champignon |An edible species of mushroom (Agaricus campestris). Fairy ring champignon, the Marasmius oreades, which has a strong flavor but is edible.
champion |1. One who engages in any contest; esp. one who in ancient times contended in single combat in behalf of another's honor or rights; or one who acts or speaks in behalf of a person or a cause; a defender; an advocate; a hero. A stouter champion never handled sword. Shak. Champions of law and liberty. Fisher Ames. 2. One who by defeating all rivals, has obtained an acknowledged supremacy in any branch of athetics or game of skill, and is ready to contend with any rival; as, the champion of England. Note: Champion is used attributively in the sense of surpassing all competitors; overmastering; as, champion pugilist; champion chess player. Syn. -- Leader; chieftain; combatant; hero; warrior; defender; protector.
championness |A female champion. Fairfax.
championship |State of being champion; leadership; supremancy.
champlain period |A subdivision of the Quaternary age immediately following the Glacial period; -- so named from beds near Lake Champlain. Note: The earlier deposits of this period are diluvial in character, as if formed in connection with floods attending the melting of the glaciers, while the later deposits are of finer material in more quiet waters, as the alluvium.
champleve |Having the ground engraved or cut out in the parts to be enameled; inlaid in depressions made in the ground; -- said of a kind of enamel work in which depressions made in the surface are filled with enamel pastes, which are afterward fired; also, designating the process  of making such enamel work. --n.  A piece of champlevé enamel; also, the process or art of making such enamel work; champlevé work.
chamsin |See Kamsin.
chance |1. A supposed material or psychical agent or mode of activity other than a force, law, or purpose; fortune; fate; -- in this sense often personifed. It is strictly and philosophically true in nature and reason that there is no such thing as chance or accident; it being evident that these words do not signify anything really existing, anything that is truly an agent or the cause of any event; but they signify merely men's ignorance of the real and immediate cause. Samuel Clark. Any society into which chance might throw him. Macaulay. That power Which erring men call Chance. Milton. 2. The operation or activity of such agent. By chance a priest came down that way. Luke x. 31. 3. The supposed effect of such an agent; something that befalls, as the result of unknown or unconsidered forces; the issue of uncertain conditions; an event not calculated upon; an unexpected occurrence; a happening; accident; fortuity; casualty. It was a chance that happened to us. 1 Sam. vi. 9. The Knave of Diamonds tries his wily arts, And wins (O shameful chance!) the Queen of Hearts. Pope. I spake of most disastrous chance. Shak. 4. A possibity; a likelihood; an opportunity; -- with reference to a doubtful result; as, a chance result; as, a chance to escape; a chance for life; the chances are all against him. So weary with disasters, tugged with fortune. That I would get my life on any chance, To mend it, or be rid on't Shak. 5. (Math.)  Probability. Note: The mathematical expression, of a chance is the ratio of frequency with which an event happens in the long run. If an event may happen in a ways and may fail in b ways, and each of these a + b ways is equally likely, the chance, or probability, that the event will happen is measured by the fraction a\/(a + b), and the chance, or probability, that it will fail is measured by b\/(a + b). Chance comer, one who, comes unexpectedly. -- The last chance, the sole remaining ground of hope. -- The main chance, the chief opportunity; that upon which reliance is had, esp. self-interest. -- Theory of chances, Doctrine of chances (Math.), that branch of mathematics which treats of the probability of the occurrence of particular events, as the fall of dice in given positions. -- To mind one's chances, to take advantage of every circumstance; to seize every opportunity.\n\nTo happen, come, or arrive, without design or expectation. \"Things that chance daily.\" Robynson (More's Utopia). If a bird's nest chance to be before thee. Deut. xxii. 6. I chanced on this letter. Shak. Note: Often used impersonally; as, how chances it How chance, thou art returned so soon Shak.\n\n1. To take the chances of; to venture upon; -- usually with it as object. Come what will, I will chance it. W. D. Howells. 2. To befall; to happen to. [Obs.] W. Lambarde.\n\nHappening by chance; casual.\n\nBy chance; perchance. Gray.
chance-medley |1. (Law)  The kiling of another in self-defense upon a sudden and unpremeditated encounter. See Chaud-Medley. Note: The term has been sometimes applied to any kind of homicide by misadventure, or to any accidental killing of a person without premeditation or evil intent, but, in strictness, is applicable to such killing as happens in defending one's self against assault. Bouvier. 2. Luck; chance; accident. Milton. Cowper.
chanceable |Fortuitous; casual. [Obs.]
chanceably |By chance. [Obs.]
chanceful |Hazardous. [Obs.] Spenser.
chancel |(a) That part of a church, reserved for the use of the clergy, where the altar, or communion table, is placed. Hence, in modern use; (b) All that part of a cruciform church which is beyond the line of the transept farthest from the main front. Chancel aisle (Arch.), the aisle which passes on either side of or around the chancel. -- Chancel arch (Arch.), the arch which spans the main opening, leading to the chancel -- Chancel casement, the principal window in a chancel. Tennyson. -- Chancel table, the communion table.
chancellery |Chancellorship. [Obs.] Gower.
chancellor |A judicial court of chancery, which in England and in the United States is distinctively a court with equity jurisdiction. Note: The chancellor was originally a chief scribe or secretary under the Roman emperors, but afterward was invested with judicial powers, and had superintendence over the other officers of the empire. From the Roman empire this office passed to the church, and every bishop has his chancellor, the principal judge of his consistory. In later times, in most countries of Europe, the chancellor was a high officer of state, keeper of the great seal of the kingdom, and having the supervision of all charters, and like public instruments of the crown, which were authenticated in the most solemn manner. In France a secretary is in some cases called a chancellor. In Scotland, the appellation is given to the foreman of a jury, or assize. In the present German empire, the chancellor is the president of the federal council and the head of the imperial administration. In the United States, the title is given to certain judges of courts of chancery or equity, established by the statutes of separate States. Blackstone. Wharton. Chancellor of a bishop, or of a diocese (R. C. Ch. & ch. of Eng.), a law officer appointed to hold the bishop's court in his diocese, and to assist him in matter of ecclesiastical law. -- Chancellor of a cathedral, one of the four chief dignitaries of the cathedrals of the old foundation, and an officer whose duties are chiefly educational, with special reference to the cultivation of theology. -- Chancellor of the Duchy of Lancaster, an officer before whom, or his deputy, the court of the duchy chamber of Lancaster is held. This is a special jurisdiction. -- Chancellor of a university, the chief officer of a collegiate body. In Oxford, he is elected for life; in Cambridge, for a term of years; and his office is honorary, the chief duties of it devolving on the vice chancellor. -- Chancellor of the exchequer, a member of the British cabinet upon whom devolves the charge of the public income and expenditure as the highest finance minister of the government. -- Chancellor of the order of the Garter (or other military orders), an officer who seals the commissions and mandates of the chapter and assembly of the knights, keeps the register of their proceedings, and delivers their acts under the seal of their order. -- Lord high chancellor of England, the presiding judge in the court of chancery, the highest judicial officer of the crown, and the first lay person of the state after the blood royal. He is created chancellor by the delivery into his custody of the great seal, of which he becomes keeper. He is privy counselor by his office, and prolocutor of the House of Lords by prescription.
chancellorship |The office of a chancellor; the time during which one is chancellor.
chancery |1. In England, formerly, the highest court of judicature next to the Parliament, exercising jurisdiction at law, but chiefly in equity; but under the jurisdiction act of 1873 it became the chancery division of the High Court of Justice, and now exercises jurisdiction only in equity. 2. In the Unites States, a court of equity; equity; proceeding in equity. Note: A court of chancery, so far as it is a court of equity, in the English and American sense, may be generally, if not precisely, described as one having jurisdiction in cases of rights, recognized and protected by the municipal jurisprudence, where a plain, adequate, and complete remedy can not be had in the courts of common law. In some of the American States, jurisdiction at law and in equity centers in the same tribunal. The courts of the United States also have jurisdiction both at law and in equity, and in all such cases they exercise their jurisdiction, as courts of law, or as courts of equity, as the subject of adjudication may require. In others of the American States, the courts that administer equity are distinct tribunals, having their appropriate judicial officers, and it is to the latter that the appellation courts of chancery is usually applied; but, in American law, the terms equity and court of equity are more frequently employed than the corresponding terms chancery and court of chancery. Burrill. Inns of chancery. See under Inn. -- To get (or to hold) In chancery (Boxing), to get the head of an antagonist under one's arm, so that one can pommel it with the other fist at will; hence, to have wholly in One's power. The allusion is to the condition of a person involved in the chancery court, where he was helpless, while the lawyers lived upon his estate.
chancre |A venereal sore or ulcer; specifically, the initial lesion of true syphilis, whether forming a distinct ulcer or not; -- called also hard chancre, indurated chancre, and Hunterian chancre. Soft chancre. A chancroid. See Chancroid.
chancroid |A venereal sore, resembling a chancre in its seat and some external characters, but differing from it in being the starting point of a purely local process and never of a systemic disease; -- called also soft chancre.
chancrous |Of the nature of a chancre; having chancre.
chandelier |1. A candlestick, lamp, stand, gas fixture, or the like, having several branches; esp., one hanging from the ceiling. 2. (Fort.)  A movable parapet, serving to support fascines to cover pioneers. [Obs.]
chandler |1. A maker or seller of candles. The chandler's basket, on his shoulder borne, With tallow spots thy coat. Gay. 2. A dealer in other commodities, which are indicated by a word prefixed; as, ship chandler, corn chandler.
chandlerly |Like a chandler; in a petty way. [Obs.] Milton.
chandlery |Commodities sold by a chandler.
chandoo |An extract or preparation of opium, used in China and India for smoking. Balfour.
chandry |Chandlery. [Obs.] \"Torches from the chandry.\" B. Jonson.
chanfrin |The fore part of a horse's head.
change |1. To alter; to make different; to cause to pass from one state to another; as, to change the position, character, or appearance of a thing; to change the countenance. Therefore will I change their glory into shame. Hosea. iv. 7. 2. To alter by substituting something else for, or by giving up for something else; as, to change the clothes; to change one's occupation; to change one's intention. They that do change old love for new, Pray gods, they change for worse! Peele. 3. To give and take reciprocally; to exchange; -- followed by with; as, to change place, or hats, or money, with another. Look upon those thousands with whom thou wouldst not, for any interest, change thy fortune and condition. Jer. Taylor. 4. Specifically: To give, or receive, smaller denominations of money (technically called change) for; as, to change a gold coin or a bank bill. He pulled out a thirty-pound note and bid me change it. Goldsmith. To change a horse, or To change hand (Man.), to turn or bear the horse's head from one hand to the other, from the left to right, or from the right to the left. -- To change hands, to change owners. -- To change one's tune, to become less confident or boastful. [Colloq.] -- To change step, to take a break in the regular succession of steps, in marching or walking, as by bringing the hollow of one foot against the heel of the other, and then stepping off with the foot which is in advance. Syn. -- To alter; vary; deviate; substitute; innovate; diversify; shift; veer; turn. See Alter.\n\n1. To be altered; to undergo variation; as, men sometimes change for the better. For I am Lord, I change not. Mal. iii. 6. 2. To pass from one phase to another; as, the moon changes to-morrow night.\n\n1. Any variation or alteration; a passing from one state or form to another; as, a change of countenance; a change of habits or principles. Apprehensions of a change of dynasty. Hallam. All the days of my appointed time will I wait, till my change come. Job xiv. 14. 2. A succesion or substitution of one thing in the place of another; a difference; novelty; variety; as, a change of seasons. Our fathers did for change to France repair. Dryden. The ringing grooves of change. Tennyson. 3. A passing from one phase to another; as, a change of the moon. 4. Alteration in the order of a series; permutation. 5. That which makes a variety, or may be substituted for another. Thirty change (R.V. changes) of garments. Judg. xiv. 12. 6. Small money; the money by means of which the larger coins and bank bills are made available in small dealings; hence, the balance returned when payment is tendered by a coin or note exceeding the sum due. 7. Etym: [See Exchange.]  A place where merchants and others meet to transact business; a building appropriated for mercantile transactions. [Colloq. for Exchange.] 8. A public house; an alehouse. [Scot.] They call an alehouse a change. Burt. 9. (Mus.)  Any order in which a number of bells are struck, other than that of the diatonic scale. Four bells admit twenty-four changes in ringing. Holder. Change of life, the period in the life of a woman when menstruation and the capacity for conception cease, usually occurring between forty-five and fifty years of age. -- Change ringing, the continual production, without repetition, of changes on bells, See def. 9. above. -- Change wheel (Mech.), one of a set of wheels of different sizes and number of teeth, that may be changed or substituted one for another in machinery, to produce a different but definite rate of angular velocity in an axis, as in cutting screws, gear, etc. -- To ring the changes on, to present the same facts or arguments in variety of ways. Syn. -- Variety; variation; alteration; mutation; transition; vicissitude; innovation; novelty; transmutation; revolution; reverse.
change gear |A gear by means of which the speed of machinery or of a vehicle may be changed while that of the propelling engine or motor remains constant; -- called also change-speed gear.
change key |A key adapted to open only one of a set of locks; -- distinguished from a master key.
changeability |Changeableness.
changeable |1. Capable of change; subject to alteration; mutable; variable; fickle; inconstant; as, a changeable humor. 2. Appearing different, as in color, in different lights, or under different circumstances; as, changeable silk. Syn. -- Mutable; alterable; variable; inconstant; fitful; vacillating; capricious; fickle; unstable; unsteady; unsettled; wavering; erratic; giddy; volatile.
changeableness |The quality of being changeable; fickleness; inconstancy; mutability.
changeably |In a changeable manner.
changeful |Full of change; mutable; inconstant; fickle; uncertain. Pope. His course had been changeful. Motley. -- Change\"ful*ly, adv. -- Change\"ful*ness, n.
changeless |That can not be changed; constant; as, a changeless purpose. -- Change\"less*ness, n.
changeling |1. One who, or that which, is left or taken in the place of another, as a child exchanged by fairies. Such, men do changelings call, so changed by fairies' theft. Spenser. The changeling [a substituted writing] never known. Shak. 2. A simpleton; an idiot. Macaulay. Changelings and fools of heaven, and thence shut out. Wildly we roam in discontent about. Dryden. 3. One apt to change; a waverer. \"Fickle changelings.\" Shak.\n\n1. Taken or left in place of another; changed. \"A little changeling boy.\" Shak. 2. Given to change; inconstant. [Obs.] Some are so studiously changeling. Boyle.
changer |1. One who changes or alters the form of anything. 2. One who deals in or changes money. John ii. 14. 3. One apt to change; an inconstant person.
chank |The East Indian name for the large spiral shell of several species of sea conch much used in making bangles, esp. Turbinella pyrum. Called also chank chell.
channel |1. The hollow bed where a stream of water runs or may run. 2. The deeper part of a river, harbor, strait, etc., where the main current flows, or which affords the best and safest passage for vessels. 3. (Geog.)  A strait, or narrow sea, between two portions of lands; as, the British Channel. 4. That through which anything passes; means of passing, conveying, or transmitting; as, the news was conveyed to us by different channels. The veins are converging channels. Dalton. At best, he is but a channel to convey to the National assembly such matter as may import that body to know. Burke. 5. A gutter; a groove, as in a fluted column. 6. pl. Etym: [Cf. Chain wales.] (Naut.)  Flat ledges of heavy plank bolted edgewise to the outside of a vessel, to increase the spread of the shrouds and carry them clear of the bulwarks. Channel bar, Channel iron (Arch.), an iron bar or beam having a section resembling a flat gutter or channel. -- Channel bill (Zoöl.), a very large Australian cucko (Scythrops Novæhollandiæ. -- Channel goose. (Zoöl.) See Gannet.\n\n1. To form a channel in; to cut or wear a channel or channels in; to groove. No more shall trenching war channel her fields. Shak. 2. To course through or over, as in a channel. Cowper.
channeling |1. The act or process of forming a channel or channels. 2. A channel or a system of channels; a groove.
chanson |A song. Shak.
chanson de geste |Any Old French epic poem having for its subject events or exploits of early French history, real or legendary, and written originally in assonant verse of ten or twelve syllables. The most famous one is the Chanson de Roland. Langtoft had written in the ordinary measure of the later chansons de geste. Saintsbury.
chansonnette |A little song. These pretty little chansonnettes that he sung. Black.
chant |1. To utter with a melodious voice; to sing. The cheerful birds . . . do chant sweet music. Spenser. 2. To celebrate in song. The poets chant in the theaters. Bramhall. 3. (Mus.)  To sing or recite after the manner of a chant, or to a tune called a chant.\n\n1. To make melody with the voice; to sing. \"Chant to the sound of the viol.\" Amos vi. 5. 2. (Mus.)  To sing, as in reciting a chant. To chant (or chaunt) horses, to sing their praise; to overpraise; to cheat in selling. See Chaunter. Thackeray.\n\n1. Song; melody. 2. (Mus.)  A short and simple melody, divided into two parts by double bars, to which unmetrical psalms, etc., are sung or recited. It is the most ancient form of choral music. 3. A psalm, etc., arranged for chanting. 4. Twang; manner of speaking; a canting tone. [R.] His strange face, his strange chant. Macaulay. Ambrosian chant, See under Ambrosian. Chant royal Etym: [F.], in old French poetry, a poem containing five strophes of eleven lines each, and a concluding stanza. -- each of these six parts ending with a common refrain. -- Gregorian chant. See under Gregorian.
chantant |Composed in a melodious and singing style.
chanter |1. One who chants; a singer or songster. Pope. 2. The chief singer of the chantry. J. Gregory. 3. The flute or finger pipe in a bagpipe. See Bagpipe. 4. (Zoöl.)  The hedge sparrow.
chanterelle |A name for several species of mushroom, of which one (Cantharellus cibrius) is edible, the others reputed poisonous.
chantey |A sailor's song. May we lift a deep-sea chantey such as seamen use at sea Kipling.
chanticleer |A cock, so called from the clearness or loundness of his voice in crowing.
chanting |Singing, esp. as a chant is sung. Chanting falcon (Zoöl.), an African falcon (Melierax canorus or musicus). The male has the habit, remarkable in a bird of prey, of singing to his mate, while she is incubating.
chantor |A chanter.
chantress |A female chanter or singer. Milton.
chantry |1. An endowment or foundation for the chanting of masses and offering of prayers, commonly for the founder. 2. A chapel or altar so endowed. Cowell.
chaomancy |Divination by means of apperances in the air.
chaos |1. An empty, immeasurable space; a yawning chasm. [Archaic] Between us and there is fixed a great chaos. Luke xvi. 26 (Rhemish Trans. ). 2. The confused, unorganized condition or mass of matter before the creation of distinct and order forms. 3. Any confused or disordered collection or state of things; a confused mixture; confusion; disorder.
chaotic |Resembling chaos; confused.
chaotically |In a chaotic manner.
chap |1. To cause to open in slits or chinks; to split; to cause the skin of to crack or become rough. Then would unbalanced heat licentious reign, Crack the dry hill, and chap the russet plain. Blackmore. Nor winter's blast chap her fair face. Lyly. 2. To strike; to beat. [Scot.]\n\n1. To crack or open in slits; as, the earth chaps; the hands chap. 2. To strike; to knock; to rap. [Scot.]\n\n1. A cleft, crack, or chink, as in the surface of the earth, or in the skin. 2. A division; a breach, as in a party. [Obs.] Many clefts and chaps in our council board. T. Fuller. 3. A blow; a rap. [Scot.]\n\n1. One of the jaws or the fleshy covering of a jaw; -- commonly in the plural, and used of animals, and colloquially of human beings. His chaps were all besmeared with crimson blood. Cowley. He unseamed him [Macdonald] from the nave to the chaps. Shak. 2. One of the jaws or cheeks of a vise, etc.\n\n1. A buyer; a chapman. [Obs.] If you want to sell, here is your chap. Steele. 2. A man or boy; a youth; a fellow. [Colloq.]\n\nTo bargain; to buy. [Obs.]
chaparajos |Overalls of sheepskin or leather, usually open at the back, worn, esp. by cowboys, to protect the legs from thorny bushes, as in the chaparral; -- called also chapareras or colloq. chaps. [Sp. Amer.]
chapareras |Same as Chaparajos. [Sp. Amer.]
chaparral |1. A thicket of low evergreen oaks. 2. An almost impenetrable thicket or succession of thickets of thorny shrubs and brambles. Chaparral cock; fem. Chaparral hen (Zoöl.), a bird of the cuckoo family (Geococcyx Californianus), noted for running with great speed. It ranges from California to Mexico and eastward to Texas; -- called also road runner, ground cuckoo, churea, and snake killerit is the state bird of New Mexico.
chapbook |Any small book carried about for sale by chapmen or hawkers. Hence, any small book; a toy book.
chape |1. The piece by which an object is attached to something, as the frog of a scabbard or the metal loop at the back of a buckle by which it is fastened to a strap. 2. The transverse guard of a sword or dagger. 3. The metal plate or tip which protects the end of a scabbard, belt, etc. Knight.
chapeau |1. hat or covering for the head. 2. (Her.)  A cap of maintenance. See Maintenance. Chapeau bras ( Etym: [F. chapeau hat + bras arm], a hat so made that it can be compressed and carried under the arm without injury. Such hats were particularly worn on dress occasions by gentlemen in the 18th century. A chapeau bras is now worn in the United States army by general and staff officers.
chaped |Furnished with a chape or chapes. [Obs.] Chaucer.
chapel |1. A subordinate place of worship; as, (a) a small church, often a private foundation, as for a memorial; (b) a small building attached to a church; (c) a room or recess in a church, containing an altar. Note: In Catholic churches, and also in cathedrals and abbey churches, chapels are usually annexed in the recesses on the sides of the aisles. Gwilt. 2. A place of worship not connected with a church; as, the chapel of a palace, hospital, or prison. 3. In England, a place of worship used by dissenters from the Established Church; a meetinghouse. 4. A choir of singers, or an orchastra, attached to the court of a prince or nobleman. 5. (Print.) (a) A printing office, said to be so called because printing was first carried on in England in a chapel near Westminster Abbey. (b) An association of workmen in a printing office. Chapel of ease. (a) A chapel or dependent church built for the ease or a accommodation of an increasing parish, or for parishioners who live at a distance from the principal church. (b) A privy. (Law) -- Chapel master, a director of music in a chapel; the director of a court or orchestra. -- To build a chapel (Naut.), to chapel a ship. See Chapel, v. t., 2. -- To hold a chapel, to have a meeting of the men employed in a printing office, for the purpose of considering questions affecting their interests.\n\n1. To deposit or inter in a chapel; to enshrine. [Obs.] Beau. & Fl. 2. (Naut.)  To cause (a ship taken aback in a light breeze) so to turn or make a circuit as to recover, without bracing the yards, the same tack on which she had been sailing.
chapeless |Without a chape.
chapelet |1. A pair of Straps, with stirrups, joined at the top and fastened to the pommel or the frame of the saddle, after they have been adjusted to the convenience of the rider. [Written also chaplet.] 2. A kind of chain pump, or dredging machine.
chapellany |A chapel within the jurisdiction of a church; a subordinate ecclesiastical foundation.
chapelry |The territorial disrict legally assigned to a chapel.
chaperon |1. A hood; especially, an ornamental or an official hood. His head and face covered with a chaperon, out of which there are but two holes to look through. Howell. 2. A divice placed on the foreheads of horses which draw the hearse in pompous funerals. 3. A matron who accompanies a young lady in public, for propriety, or as a guide and protector.\n\nTo attend in public places as a guide and protector; to matronize. Fortunately Lady Bell Finley, whom I had promised to chaperon, sent to excuse herself. Hannah More.
chaperonage |Attendance of a chaperon on a lady in public; protection afforded by a chaperon.
