plied |imp. & p. p. of Ply.
plunk |1. To pluck and release quickly (a musical string); to twang. 2.  To throw, push, drive heavily, plumply, or suddenly; as, to plunk down a dollar; also, to hit or strike. 3.  To be a truant from (school). [Scot.]\n\n1. Act or sound of plunking. [Colloq.] 2.  [Slang] (a) A large sum of money. [Obs.] (b) A dollar. [U. S.]\n\n1. To make a quick, hollow, metallic, or harsh sound, as by pulling hard on a taut string and quickly releasing it; of a raven, to croak. 2.  To drop or sink down suddenly or heavily; to plump. 3.  To play truant, or \"hooky\". [Scot.]
plunket |A kind of blue color; also, anciently, a kind of cloth, generally blue.
pluperfect |More than perfect; past perfect; -- said of the tense which denotes that an action or event was completed at or before the time of another past action or event. -- n.  The pluperfect tense; also, a verb in the pluperfect tense.
plural |Relating to, or containing, more than one; designating two or more; as, a plural word. Plural faith, which is too much by one. Shak. Plural number (Gram.), the number which designates more than one. See Number, n., 8.\n\nThe plural number; that form of a word which expresses or denotes more than one; a word in the plural form.
pluralism |1. The quality or state of being plural, or in the plural number. 2. (Eccl.)  The state of a pluralist; the holding of more than one ecclesiastical living at a time. [Eng.]
pluralist |A clerk or clergyman who holds more than one ecclesiastical benefice. [Eng.] Of the parochial clergy, a large proportion were pluralists. Macaulay.
plurality |1. The state of being plural, or consisting of more than one; a number consisting of two or more of the same kind; as, a plurality of worlds; the plurality of a verb. 2. The greater number; a majority; also, the greatest of several numbers; in elections, the excess of the votes given for one candidate over those given for another, or for any other, candidate. When there are more than two candidates, the one who receives the plurality of votes may have less than a majority. See Majority. Take the plurality of the world, and they are neither wise nor good. L'Estrange. 3. (Eccl.)  See Plurality of benefices, below. Plurality of benefices (Eccl.), the possession by one clergyman of more than one benefice or living. Each benefice thus held is called a plurality. [Eng.]
pluralization |The act of pluralizing. H. Spencer.
pluralize |1. To make plural by using the plural termination; to attribute plurality to; to express in the plural form. 2. To multiply; to make manifold. [R.]\n\n1. To take a plural; to assume a plural form; as, a noun pluralizes. Earle. 2. (Eccl.)  To hold more than one benefice at the same time. [Eng.]
pluralizer |A pluralist. [R.]
plurally |In a plural manner or sense.
pluri- |A combining form from L. plus, pluris, more, many; as pluriliteral.
pluries |A writ issued in the third place, after two former writs have been disregarded. Mozley & W.
plurifarious |Of many kinds or fashions; multifarious.
plurifoliolate |Having several or many leaflets.
pluriliteral |Consisting of more letters than three. -- n.  A pluriliteral word.
plurilocular |Having several cells or loculi; specifically (Bot.),  having several divisions containing seeds; as, the lemon and the orange are plurilocular fruits. Plurilocular sporangia (Bot.), many-celled sporangia, each cell containing a single spore, as in many algæ.
pluriparous |Producing several young at a birth; as, a pluriparous animal.
pluripartite |Deeply divided into several portions.
pluripresence |Presence in more places than one. [R.] Johnson.
plurisy |Superabundance; excess; plethora. [Obs.] Shak.
plus |1. (Math.)  More, required to be added; positive, as distinguished from negative; -- opposed to Ant: minus. 2. Hence, in a literary sense, additional; real; actual. Success goes invariably with a certain plus or positive power. Emerson. Plus sign (Math.), the sign (+) which denotes addition, or a positive quantity.
plush |A textile fabric with a nap or shag on one side, longer and softer than the nap of velvet. Cowper.
plushy |Like plush; soft and shaggy. H. Kingsley.
plutarchy |Plutocracy; the rule of wealth. [R.]
pluteal |Of or pertaining to a pluteus.
pluteus |The free-swimming larva of sea urchins and ophiurans, having several long stiff processes inclosing calcareous rods.
pluto |The son of Saturn and Rhea, brother of Jupiter and Neptune; the dark and gloomy god of the Lower World. Pluto monkey (Zoöl.), a long- tailed African monkey (Cercopithecus pluto), having side whiskers. The general color is black, more or less grizzled; the frontal band is white.
plutocracy |A form of government in which the supreme power is lodged in the hands of the wealthy classes; government by the rich; also, a controlling or influential class of rich men.
plutocrat |One whose wealth gives him power or influence; one of the plutocracy.
plutocratic |Of or pertaining to plutocracy; as, plutocratic ideas. Bagehot.
plutology |The science which treats of wealth.
plutonian |Plutonic. Poe.\n\nA Plutonist.
plutonic |1. Of or pertaining to Pluto; Plutonian; hence, pertaining to the interior of the earth; subterranean. 2. Of, pertaining to, or designating, the system of the Plutonists; igneous; as, the Plutonic theory. Plutonic action (Geol.), the influence of volcanic heat and other subterranean forces under pressure. -- Plutonic rocks (Geol.), granite, porphyry, and some other igneous rocks, supposed to have consolidated from a melted state at a great depth from the surface. Cf. Intrusive rocks, under Intrusive. -- Plutonic theory. (Geol.) See Plutonism.
plutonism |The theory, early advanced in geology, that the successive rocks of the earth''s crust were formed by igneous fusion; -- opposed to the Neptunian theory.
plutonist |One who adopts the geological theory of igneous fusion; a Plutonian. See Plutonism.
plutus |The son of Jason and Ceres, and the god of wealth. He was represented as bearing a cornucopia, and as blind, because his gifts were bestowed without discrimination of merit.
pluvial |1. Of or pertaining to rain; rainy. [R.] 2. (Geol.)  Produced by the action of rain.\n\nA priest's cope.
pluviameter |See Pluviometer.
pluviametrical |See Pluviometrical.
pluvian |The crocodile bird.
pluviograph |A self-registering rain gauge.
pluviography |The branch of meteorology treating of the automatic registration of the precipitation of rain, snow, etc.; also, the graphic presentation of precipitation data.
pluviometer |An instrument for ascertaining the amount of rainfall at any place in a given time; a rain gauge.
pluviometrical |Of or pertaining to a pluviometer; determined by a pluviometer.
pluviometry |That department of meteorology that treats of the measurement of the precipitation of rain, snow, etc.
pluvioscope |A rain gauge.
pluviose |The fifth month of the French republican calendar adopted in 1793. It began January 20, and ended February 18. See Vendémiaire.
pluvious |Abounding in rain; rainy; pluvial. Sir T. Browne.
ply |1. To bend. [Obs.] As men may warm wax with handes plie. Chaucer. 2. To lay on closely, or in folds; to work upon steadily, or with repeated acts; to press upon; to urge importunately; as, to ply one with questions, with solicitations, or with drink. And plies him with redoubled strokes Dryden. He plies the duke at morning and at night. Shak. 3. To employ diligently; to use steadily. Go ply thy needle; meddle not. Shak. 4. To practice or perform with diligence; to work at. Their bloody task, unwearied, still they ply. Waller.\n\n1. To bend; to yield. [Obs.] It would rather burst atwo than plye. Chaucer. The willow plied, and gave way to the gust. L'Estrange. 2. To act, go, or work diligently and steadily; especially, to do something by repeated actions; to go back and forth; as, a steamer plies between certain ports. Ere half these authors be read (which will soon be with plying hard and daily). Milton. He was forced to ply in the streets as a porter. Addison. The heavy hammers and mallets plied. Longfellow. 3. (Naut.)  To work to windward; to beat.\n\n1. A fold; a plait; a turn or twist, as of a cord. Arbuthnot. 2. Bent; turn; direction; bias. The late learners can not so well take the ply. Bacon. Boswell, and others of Goldsmith's contemporaries, . . . did not understand the secret plies of his character. W. Irving. The czar's mind had taken a strange ply, which it retained to the last. Macaulay. Note: Ply is used in composition to designate folds, or the number of webs interwoven; as, a three-ply carpet.
plyer |One who, or that which, plies; specifically: (a) pl.  A kind of balance used in raising and letting down a drawbridge. It consists of timbers joined in the form of a St. Andrew's cross. (b) pl.  See Pliers.
plyght |See Plight. [Obs.] Chaucer.
plymouth brethren |The members of a religious sect which first appeared at Plymouth, England, about 1830. They protest against sectarianism, and reject all official ministry or clergy. Also called Brethren, Christian Brethren, Plymouthists, etc. The Darbyites are a division of the Brethren.
pneometer |A spirometer.
pneumatic |1. Consisting of, or resembling, air; having the properties of an elastic fluid; gaseous; opposed to dense or solid. The pneumatical substance being, in some bodies, the native spirit of the body. Bacon. 2. Of or pertaining to air, or to elastic fluids or their properties; pertaining to pneumatics; as, pneumatic experiments. \"Pneumatical discoveries.\" Stewart. 3. Moved or worked by pressure or flow of air; as, a pneumatic instrument; a pneumatic engine. 4. (Biol.)  Fitted to contain air; Having cavities filled with air; as, pneumatic cells; pneumatic bones. Pneumatic action, or Pneumatic lever (Mus.), a contrivance for overcoming the resistance of the keys and other movable parts in an organ, by causing compressed air from the wind chest to move them. -- Pneumatic dispatch, a system of tubes, leading to various points, through which letters, packages, etc., are sent, by the flow and pressure of air. -- Pneumatic elevator, a hoisting machine worked by compressed air. -- Pneumatic pile, a tubular pile or cylinder of large diameter sunk by atmospheric pressure. -- Pneumatic pump, an air-exhausting or forcing pump. -- Pneumatic railway. See Atmospheric railway, under Atmospheric. -- Pneumatic syringe, a stout tube closed at one end, and provided with a piston, for showing that the heat produced by compressing a gas will ignite substances. -- Pneumatic trough, a trough, generally made of wood or sheet metal, having a perforated shelf, and used, when filled with water or mercury, for collecting gases in chemical operations. -- Pneumatic tube. See Pneumatic dispatch, above.
pneumatical |1. Consisting of, or resembling, air; having the properties of an elastic fluid; gaseous; opposed to dense or solid. The pneumatical substance being, in some bodies, the native spirit of the body. Bacon. 2. Of or pertaining to air, or to elastic fluids or their properties; pertaining to pneumatics; as, pneumatic experiments. \"Pneumatical discoveries.\" Stewart. 3. Moved or worked by pressure or flow of air; as, a pneumatic instrument; a pneumatic engine. 4. (Biol.)  Fitted to contain air; Having cavities filled with air; as, pneumatic cells; pneumatic bones. Pneumatic action, or Pneumatic lever (Mus.), a contrivance for overcoming the resistance of the keys and other movable parts in an organ, by causing compressed air from the wind chest to move them. -- Pneumatic dispatch, a system of tubes, leading to various points, through which letters, packages, etc., are sent, by the flow and pressure of air. -- Pneumatic elevator, a hoisting machine worked by compressed air. -- Pneumatic pile, a tubular pile or cylinder of large diameter sunk by atmospheric pressure. -- Pneumatic pump, an air-exhausting or forcing pump. -- Pneumatic railway. See Atmospheric railway, under Atmospheric. -- Pneumatic syringe, a stout tube closed at one end, and provided with a piston, for showing that the heat produced by compressing a gas will ignite substances. -- Pneumatic trough, a trough, generally made of wood or sheet metal, having a perforated shelf, and used, when filled with water or mercury, for collecting gases in chemical operations. -- Pneumatic tube. See Pneumatic dispatch, above.
pneumaticity |The state of being pneumatic, or of having a cavity or cavities filled with air; as, the pneumaticity of the bones of birds.
pneumatics |1. That branch of science which treats of the mechanical properties of air and other elastic fluids, as of their weight, pressure, elasticity, etc. See Mechanics. 2. (Philos. & Theol.)  The scientific study or knowledge of spiritual beings and their relations to God, angels, and men.
pneumato- |A combining form from Gr. wind, air, breath, respiration; as, pneumatograph, pneumatology.
pneumatocele |A distention of the scrotum by air; also, hernia of the lungs.
pneumatocyst |A cyst or sac of a siphonophore, containing air, and serving as a float, as in Physalia.
pneumatogarm |A tracing of the respiratory movements, obtained by a pneumatograph or stethograph.
pneumatograph |An instrument for recording the movements of the thorax or chest wall during respiration; -- also called stethograph.
pneumatological |Of or pertaining to pneumatology.
pneumatologist |One versed in pneumatology.
pneumatology |1. The doctrine of, or a treatise on, air and other elastic fluids. See Pneumatics, 1. 2. (Philos. & Theol.)  The science of spiritual being or phenomena of any description.
pneumatometer |An instrument for measuring the amount of force exerted by the lungs in respiration.
pneumatometry |See Spirometry.
pneumatophore |One of the Pneumonophora.
pneumatothorax |See Pneumothorax.
pneumo- |A combining form from Gr. a lung; as, pneumogastric, pneumology.
pneumococcus |A form of micrococcus found in the sputum (and elsewhere) of persons suffering with pneumonia, and thought to be the cause of this disease.
pneumogastric |Of or pertaining to the lungs and the stomach. -- n.  The pneumogastric nerve. Pneumogastric nerve (Anat.), one of the tenth pair of cranial nerves which are distributed to the pharynx, esophagus, larynx, lungs, heart, stomach, liver, and spleen, and, in fishes and many amphibia, to the branchial apparatus and also to the sides of the body.
pneumograph |Same as Pneumatograph.
pneumography |A description of the lungs. Dunglison.
pneumology |The science which treats of the lungs.
pneumometer |A spirometer.
pneumometry |Measurement of the capacity of the lungs for air. Dunglison.
pneumonia |Inflammation of the lungs. Note: Catarrhal pneumonia, or Broncho-pneumonia, is inflammation of the lung tissue, associated with catarrh and with marked evidences of inflammation of bronchial membranes, often chronic; -- also called lobular pneumonia, from its affecting single lobules at a time. -- Croupous pneumonia, or ordinary pneumonia, is an acute affection characterized by sudden onset with a chill, high fever, rapid course, and sudden decline; -- also called lobar pneumonia, from its affecting a whole lobe of the lung at once. See under Croupous. -- Fibroid pneumonia is an inflammation of the interstitial connective tissue lying between the lobules of the lungs, and is very slow in its course, producing shrinking and atrophy of the lungs.
pneumonic |(a) Of or pertaining to the lungs; pulmonic. (b) Of or pertaining to pneumonia; as, pneumonic symptoms.\n\nA medicine for affections of the lungs.
pneumonitic |Of or pertaining to pneumonitis.
pneumonitis |Inflammation of the lungs; pneumonia.
pneumonometer |A spirometer; a pneumometer.
pneumonophora |The division of Siphonophora which includes the Physalia and allied genera; -- called also Pneumatophoræ.
pneumony |See Pneumonia.
pneumooetoka |Same as Sauropsida.
pneumootoka |Same as Sauropsida.
pneumophora |A division of holothurians having an internal gill, or respiratory tree.
pneumoskeleton |A chitinous structure which supports the gill in some invertebrates.
pneumotherapy |The treatment of disease by inhalations of compressed or rarefied air.
pneumothorax |A condition in which air or other gas is present in the cavity of the chest; -- called also pneumatothorax.
pnigalion |Nightmare.
pnyx |The place at Athens where the meetings of the people were held for making decrees, etc.
poa |A genus of grasses, including a great number of species, as the kinds called meadow grass, Kentucky blue grass, June grass, and spear grass (which see).
poach |1. To cook, as eggs, by breaking them into boiling water; also, to cook with butter after breaking in a vessel. Bacon. 2. To rob of game; to pocket and convey away by stealth, as game; hence, to plunder. Garth.\n\nTo steal or pocket game, or to carry it away privately, as in a bag; to kill or destroy game contrary to law, especially by night; to hunt or fish unlawfully; as, to poach for rabbits or for salmon.\n\n1. To stab; to pierce; to spear, \\as fish. [Obs.] Carew. 2. To force, drive, or plunge into anything. [Obs.] His horse poching one of his legs into some hollow ground. Sir W. Temple. 3. To make soft or muddy by trampling Tennyson. 4. To begin and not complete. [Obs.] Bacon.\n\nTo become soft or muddy. Chalky and clay lands . . . chap in summer, and poach in winter. Mortimer.
poachard |(a) A common European duck (Aythya ferina); -- called also goldhead, poker, and fresh-water, or red-headed, widgeon. (b) The American redhead, which is closely allied to the European poachard. Red-crested poachard (Zoöl.), an Old World duck (Branta rufina). -- Scaup poachard, the scaup duck. -- Tufted poachard, a scaup duck (Aythya, or Fuligula cristata), native of Europe and Asia.
poacher |1. One who poaches; one who kills or catches game or fish contrary to law. 2. (Zoöl.)  The American widgeon. [Local, U.S.] Sea poacher (Zoöl.), the lyrie.
poachiness |The state of being poachy; marshiness.
poachy |Wet and soft; easily penetrated by the feet of cattle; -- said of land
poak |Waste matter from the preparation of skins, consisting of hair, lime, oil, etc.
poake |Waste matter from the preparation of skins, consisting of hair, lime, oil, etc.
pocan |The poke (Phytolacca decandra); -- called also pocan bush.
pochard |See Poachard.
pock |A pustule raised on the surface of the body in variolous and vaccine diseases. Of pokkes and of scab every sore. Chaucer.
pock-broken |Broken out, or marked, with smallpox; pock-fretten.
pock-fretten |See Pockmarked.
pock-pitted |Pockmarked; pitted.
pock-pudding |A bag pudding; a name of reproach or ridicule formerly applied by the Scotch to the English.
pockarred |See Pockmarked. [Obs.]
pocket |1. A bag or pouch; especially; a small bag inserted in a garment for carrying small articles, particularly money; hence, figuratively, money; wealth. 2. One of several bags attached to a billiard table, into which the balls are driven. 3. A large bag or sack used in packing various articles, as ginger, hops, cowries, etc. Note: In the wool or hop trade, the pocket contains half sack, or about 168 Ibs.; but it is a variable quantity, the articles being sold by actual weight. 4. (Arch.)  A hole or space covered by a movable piece of board, as in a floor, boxing, partitions, or the like. 5. (Mining.) (a) A cavity in a rock containing a nugget of gold, or other mineral; a small body of ore contained in such a cavity. (b) A hole containing water. 6. (Nat.)  A strip of canvas, sewn upon a sail so that a batten or a light spar can placed in the interspace. 7. (Zoöl.)  Same as Pouch. Note: Pocket is often used adjectively, or in the formation of compound words usually of obvious signification; as, pocket comb, pocket compass, pocket edition, pocket handkerchief, pocket money, pocket picking, or pocket-picking, etc. Out of pocket. See under Out, prep. -- Pocket borough, a borough \"owned\" by some person. See under Borough. [Eng.] -- Pocket gopher (Zoöl.), any one of several species of American rodents of the genera Geomys, and Thomomys, family Geomydæ. They have large external cheek pouches, and are fossorial in their habits. they inhabit North America, from the Mississippi Valley west to the Pacific. Called also pouched gopher. -- Pocket mouse (Zoöl.), any species of American mice of the family Saccomyidæ. They have external cheek pouches. Some of them are adapted for leaping (genus Dipadomys), and are called kangaroo mice. They are native of the Southwestern United States, Mexico, etc. -- Pocket piece, a piece of money kept in the pocket and not spent. -- Pocket pistol, a pistol to be carried in the pocket. -- Pocket sheriff (Eng. Law), a sheriff appointed by the sole authority of the crown, without a nomination by the judges in the exchequer. Burrill. deep pocket, or deep pockets, wealth or substantial financial assets. Note: Used esp. in legal actions, where plaintiffs desire to find a defendant with \"deep pockets\| so as to be able to actually obtain the sum of damages which may be judged due to him. This contrasts with a \"judgment-proof\" defendant| one who has neither assets nor insurance| and against whom a judgment for monetary damages would be worthless.\n\n1. To put| or conceal| in the pocket; as| to pocket the change. He would pocket the expense of the license. Sterne. 2. To take clandestinely or fraudulently. He pocketed pay in the names of men who had long been dead. Macaulay. To pocket a ball (Billiards)| to drive a ball into a pocket of the table. -- To pocket an insult| affront| etc.| to receive an affront without open resentment| or without seeking redress. \"I must pocket up these wrongs.\" Shak."
pocket veto |The retention by the President of the United States of a bill unsigned so that it does not become a law, in virtue of the following constitutional provision (Const. Art. I., sec. 7, cl. 2): \"If any bill shall not be returned by the President within ten days (Sundays excepted) after it shall have been presented to him, the same shall be a law, in like manner as if he had signed it, unless the Congress by their adjournment prevent its return, in which case it shall not be a law.\" Also, an analogous retention of a bill by a State governor.
pocketbook |A small book or case for carrying papers, money, etc., in the pocket; also, a notebook for the pocket.
pocketful |As much as a pocket will hold; enough to fill a pocket; as, pocketfuls of chestnuts.
pocketknife |A knife with one or more blades, which fold into the handle so as to admit of being carried in the pocket.
pockiness |The state of being pocky.
pockmark |A mark or pit made by smallpox.
pockmarked |Marked by smallpox; pitted.
pockwood |Lignum-vitæ.
pocky |Full of pocks; affected with smallpox or other eruptive disease. Bp. Hall.
poco |A little; -- used chiefly in phrases indicating the time or movement; as, poco più allegro, a little faster; poco largo, rather slow. Poco a poco Etym: [It.] (Mus.) Little by little; as, poco a poco crescendo, gradually increasing in loudness.
pocock |Peacock. [Obs.] Chaucer.
pococurante |A careless person; a trifler. [R.]
pococurantism |Carelessness; apathy; indifference. [R.] Carlyle.
pocoson |Low, wooded grounds or swamps in Eastern Maryland and Virginia. [Written also poquoson.] Washington.
poculent |Fit for drink. [Obs.] \"Some those herbs which are not esculent, are . . . poculent.\" Bacon.
poculiform |Having the shape of a goblet or drinking cup.
pod |1. A bag; a pouch. [Obs. or Prov. Eng.] Tusser. 2. (Bot.)  A capsule of plant, especially a legume; a dry dehiscent fruit. See Illust. of Angiospermous. 3. (Zoöl.)  A considerable number of animals closely clustered together; -- said of seals. Pod auger, or pod bit, an auger or bit the channel of which is straight instead of twisted.\n\nTo swell; to fill; also, to produce pods.
podagra |Gout in the joints of the foot; -- applied also to gout in other parts of body.
podagric |1. Pertaining to the gout; gouty; caused by gout. 2. Afflicted with gout. Sir T. Browne.
podagrical |1. Pertaining to the gout; gouty; caused by gout. 2. Afflicted with gout. Sir T. Browne.
podagrous |Gouty; podagric.
podalgia |pain in the foot, due to gout, rheumatism, etc.
podarthrum |The foot joint; in birds, the joint between the metatarsus and the toes.
podded |Having pods.
podder |One who collects pods or pulse.
podesta |1. One of the chief magistrates of the Italian republics in the Middle Ages. Brande & C. 2. A mayor, alderman, or other magistrate, in some towns of Italy.
podetium |A stalk which bears the fructification in some lichens, as in the so-called reindeer moss.
podge |1. A puddle; a plash. Skinner. 2. Porridge. [Prov. Eng.] Halliwell.
podgy |Fat and short; pudgy.
podical |Anal; -- applied to certain organs of insects.
podiceps |See Grebe.
podium |1. (Arch.)  A low wall, serving as a foundation, a substructure, or a terrace wall. It is especially employed by archæologists in two senses: (a) The dwarf wall surrounding the arena of an amphitheater, from the top of which the seats began. (b) The masonry under the stylobate of a temple, sometimes a mere foundation, sometimes containing chambers. See Illust. of Column. 2. (Zoöl.)  The foot.
podley |A young coalfish.
podo- |A combining form or prefix from Gr. poy`s, podo`s, foot; as, podocarp, podocephalous, podology.
podobranch |One of branchiæ attached to the bases of the legs in Crustacea.
podobranchia |Same as Podobranch.
podocarp |A stem, or footstalk, supporting the fruit.
podocephalous |Having a head of flowers on a long peduncle, or footstalk.
podogynium |Same as Basigynium
podophthalmia |The stalk-eyed Crustacea, -- an order of Crustacea having the eyes supported on movable stalks. It includes the crabs, lobsters, and prawns. Called also Podophthalmata, and Decapoda.
podophthalmic |(a) Having the eyes on movable footstalks, or pedicels. (b) Of or pertaining to the Podophthalmia.
podophthalmite |The eyestalk of a crustacean.
podophthalmous |(a) Having the eyes on movable footstalks, or pedicels. (b) Of or pertaining to the Podophthalmia.
podophyllin |A brown bitter gum extracted from the rootstalk of the May apple (Podophyllum peltatum). It is a complex mixture of several substances.
podophyllous |1. (Zoöl.)  Having thin, flat, leaflike locomotive organs. 2. (Anat.)  Pertaining to, or composing, the layer of tissue, made up of laminæ, beneath a horse's hoof.
podophyllum |1. (Bot.)  A genus of herbs of the Barberry family, having large palmately lobed peltate leaves and solitary flower. There are two species, the American Podohyllum peltatum, or May apple, the Himalayan P. Emodi. 2. (Med.)  The rhizome and rootlet of the May apple (Podophyllum peltatum), -- used as a cathartic drug.
podoscaph |A canoe-shaped float attached to the foot, for walking on water.
podosperm |The stalk of a seed or ovule.
podostomata |An order of Bryozoa of which Rhabdopleura is the type. See Rhabdopleura.
podotheca |The scaly covering of the foot of a bird or reptile.
podrida |A miscellaneous dish of meats. See Olla-podrida.
podura |Any small leaping thysanurous insect of the genus Podura and related genera; a springtail. Podura scale (Zoöl.), one of the minute scales with which the body of a podura is covered. They are used as test objects for the microscope.
podurid |Any species of Podura or allied genera. -- a.  Pertaining to the poduras.
poe |Same as Pol.
poebird |The parson bird.
poecile |Same as Poicile.\n\nThe frescoed porch or gallery in Athens where Zeno taught. R. Browning.
poecilitic |(a) Mottled with various colors; variegated; spotted; -- said of certain rocks. (b) Specifically: Of or pertaining to, or characterizing, Triassic and Permian sandstones of red and other colors. [Also written poikilitic.]
poecilopod |One of the Poecilopoda. Also used adjectively.
poecilopoda |(a) Originally, an artificial group including many parasitic Entomostraca, together with the horseshoe crabs (Limuloidea). (b) By some recent writers applied to the Merostomata.
poem |1. A metrical composition; a composition in verse written in certain measures, whether in blank verse or in rhyme, and characterized by imagination and poetic diction; -- contradistinguished from prose; as, the poems of Homer or of Milton. 2. A composition, not in verse, of which the language is highly imaginative or impassioned; as, a prose poem; the poems of Ossian.
poematic |Pertaining to a poem, or to poetry; poetical. [R.] Coleridge.
poenamu |A variety of jade or nephrite, -- used in New Zealand for the manufacture of axes and weapons.
poenology |See Penology.
poephaga |A group of herbivorous marsupials including the kangaroos and their allies. -- Po*eph\"a*gous, a.
poesy |1. The art of composing poems; poetical skill or faculty; as, the heavenly gift of poesy. Shak. 2. Poetry; metrical composition; poems. Music and poesy used to quicken you. Shak. 3. A short conceit or motto engraved on a ring or other thing; a posy. Bacon.
poet |One skilled in making poetry; one who has a particular genius for metrical composition; the author of a poem; an imaginative thinker or writer. The poet's eye, in a fine frenzy rolling, Doth glance from heaven to earth, from earth to heaven. Shak. A poet is a maker, as the word signifies. Dryden. Poet laureate. See under Laureate.
poetaster |An inferior rhymer, or writer of verses; a dabbler in poetic art. The talk of forgotten poetasters. Macaulay.
poetastry |The works of a poetaster. [R.]
poetess |A female poet.
poetic |1. Of or pertaining to poetry; suitable for poetry, or for writing poetry; as, poetic talent, theme, work, sentiments. Shak. 2. Expressed in metrical form; exhibiting the imaginative or the rhythmical quality of poetry; as, a poetical composition; poetical prose. Poetic license. See License, n., 4.
poetical |1. Of or pertaining to poetry; suitable for poetry, or for writing poetry; as, poetic talent, theme, work, sentiments. Shak. 2. Expressed in metrical form; exhibiting the imaginative or the rhythmical quality of poetry; as, a poetical composition; poetical prose. Poetic license. See License, n., 4.
poetically |In a poetic manner.
poetics |The principles and rules of the art of poetry. J. Warton.
poeticule |A poetaster. Swinburne.
poetize |To write as a poet; to compose verse; to idealize. I versify the truth, not poetize. Donne.
poetry |1. The art of apprehending and interpreting ideas by the faculty of imagination; the art of idealizing in thought and in expression. For poetry is the blossom and the fragrance of all human knowledge, human thoughts, human passions, emotions, language. Coleridge. 2. Imaginative language or composition, whether expressed rhythmically or in prose. Specifically: Metrical composition; verse; rhyme; poems collectively; as, heroic poetry; dramatic poetry; lyric or Pindaric poetry. \"The planetlike music of poetry.\" Sir P. Sidney. She taketh most delight In music, instruments, and poetry. Shak. POETS' CORNER Po\"ets' Cor\"ner.  An angle in the south transept of Westminster Abbey, London; -- so called because it contains the tombs of Chaucer, Spenser, Dryden, Ben Jonson, Gray, Tennyson, Browning, and other English poets, and memorials to many buried elsewhere.
poetship |The state or personality of a poet. [R.]
pogamoggan |An aboriginal weapon consisting of a stone or piece of antler fastened to the end of a slender wooden handle, used by American Indians from the Great Plains to the Mackenzie River.
poggy |(a) See Porgy. (b) A small whale.
pogy |The menhaden. Note: Pogy is often confounded with porgy, and therefore incorrectly applied to various fishes.
poh |An exclamation expressing contempt or disgust; bah !
pohagen |See Pauhaugen.
poi |A national food of the Hawaiians, made by baking and pounding the kalo (or taro) root, and reducing it to a thin paste, which is allowed to ferment.
poicile |The frescoed porch or gallery in Athens where Zeno taught. R. Browning.
poignancy |The quality or state of being poignant; as, the poignancy of satire; the poignancy of grief. Swift.
poignant |1. Pricking; piercing; sharp; pungent. \"His poignant spear.\" Spenser. \"Poynaunt sauce.\" Chaucer. 2. Fig.: Pointed; keen; satirical. His wit . . . became more lively and poignant. Sir W. Scott.
poignantly |In a poignant manner.
poikilitic |See Poecilitic.
poikilocyte |An irregular form of corpuscle found in the blood in cases of profound anæmia, probably a degenerated red blood corpuscle.
poikilothermal |Having a varying body temperature. See Homoiothermal.
poikilothermic |Having a varying body temperature. See Homoiothermal.
poikilothermous |Poikilothermal.
poinciana |A prickly tropical shrub (Cæsalpinia, formerly Poinciana, pulcherrima), with bipinnate leaves, and racemes of showy orange-red flowers with long crimson filaments. Note: The genus Poinciana is kept up for three trees of Eastern Africa, the Mascarene Islands, and India.
poind |1. To impound, as cattle. [Obs. or Scot.] Flavel. 2. To distrain. [Scot.] Sir W. Scott.
poinder |1. The keeper of a cattle pound; a pinder. [Obs. or Scot.] T. Adams. 2. One who distrains property. [Scot.] Jamieson.
poinsettia |A Mexican shrub (Euphorbia pulcherrima) with very large and conspicuous vermilion bracts below the yellowish flowers.
