mebles |See Moebles. [Obs.]
megarian |Belonging, or pertaining, to Megara, a city of ancient Greece. Megarian, or Megaric, school, a school of philosophy established at Megara, after the death of Socrates, by his disciples, and remarkable for its logical subtlety.
megaric |Belonging, or pertaining, to Megara, a city of ancient Greece. Megarian, or Megaric, school, a school of philosophy established at Megara, after the death of Socrates, by his disciples, and remarkable for its logical subtlety.
megascope |A modification of the magic lantern, used esp. for throwing a magnified image of an opaque object on a screen, solar or artificial light being used.
megascopic |1. (Physics) Of or pertaining to the megascope or the projection upon a screen of images of opaque objects. (b) Enlarged or magnified; -- said of images or of photographic pictures, etc. 2. (Geol.) Large enough to be seen; --said of the larger structural features and components of rocks which do not require the use of the microscope to be perceived. Opposed to microscopic.
megascopical |1. (Physics) Of or pertaining to the megascope or the projection upon a screen of images of opaque objects. (b) Enlarged or magnified; -- said of images or of photographic pictures, etc. 2. (Geol.) Large enough to be seen; --said of the larger structural features and components of rocks which do not require the use of the microscope to be perceived. Opposed to microscopic.
megaseme |Having the orbital index relatively large; having the orbits narrow transversely; -- opposed to microseme.
megass |See Bagasse.
megasse |See Bagasse.
megasthene |One of a group which includes the higher orders of mammals, having a large size as a typical characteristic.
megasthenic |Having a typically large size; belonging to the megasthenes.
megastome |One of a group of univalve shells, having a large aperture or mouth.
megathere |An extinct gigantic quaternary mammal, allied to the ant-eaters and sloths. Its remains are found in South America.
megatherium |An extinct gigantic quaternary mammal, allied to the ant-eaters and sloths. Its remains are found in South America.
megatheroid |One of a family of extinct edentates found in America. The family includes the megatherium, the megalonyx, etc.
megavolt |One of the larger measures of electro-motive force, amounting to one million volts.
megaweber |A million webers.
megerg |One of the larger measures of work, amounting to one million ergs; -- called also megalerg.
megilp |A gelatinous compound of linseed oil and mastic varnish, used by artists as a vehicle for colors. [Written also magilp, and magilph.]
megilph |A gelatinous compound of linseed oil and mastic varnish, used by artists as a vehicle for colors. [Written also magilp, and magilph.]
megohm |One of the larger measures of electrical resistance, amounting to one million ohms.
megrim |1. A kind of sick or nevrous headache, usually periodical and confined to one side of the head. 2. A fancy; a whim; a freak; a humor; esp., in the plural, lowness of spirits. These are his megrims, firks, and melancholies. Ford. 3. pl. (Far.)  A sudden vertigo in a horse, succeeded sometimes by unconsciousness, produced by an excess of blood in the brain; a mild form of apoplexy. Youatt.\n\nThe British smooth sole, or scaldfish (Psetta arnoglossa).
meibomian |Of, pertaining to, or discovered by, Meibomius. Meibomian glands, the slender sebaceous glands of the eyelids, which discharge, through minute orifices in the edges of the lids, a fatty secretion serving to lubricate the adjacent parts.
meine |See Menge.\n\n1. A family, including servants, etc.; household; retinue; train. [Obs.] Chaucer. Shak. 2. Company; band; army. [Obs.] Chaucer.
meiny |1. A family, including servants, etc.; household; retinue; train. [Obs.] Chaucer. Shak. 2. Company; band; army. [Obs.] Chaucer.
meiocene |See Miocene.
meionite |A member of the scapolite, group, occuring in glassy crystals on Monte Somma, near Naples.
meiosis |Diminution; a species of hyperbole, representing a thing as being less than it really is.
meiostemonous |Having fever stamens than the parts of the corolla.
meistersinger |See Mastersinger.
mekhitarist |See Mechitarist.
melaconite |An earthy black oxide of copper, arising from the decomposition of other ores.
melada |A mixture of sugar and molasses; crude sugar as it comes from the pans without being drained.
melado |A mixture of sugar and molasses; crude sugar as it comes from the pans without being drained.
melaena |A discharge from the bowels of black matter, consisting of altered blood.
melain |The dark coloring matter of the liquid of the cuttlefish.
melainotype |See Melanotype.
melam |A white or buff-colored granular powder,
melamine |A strong nitrogenous base, C3H6N6, produced from several cyanogen compounds, and obtained as a white crystalline substance, -- formerly supposed to be produced by the decomposition of melam. Called also cyanuramide.
melampode |The black hellebore. [Obs.] Spenser.
melampyrin |The saccharine substance dulcite; -- so called because found in the leaves of cowwheat (Melampyrum). See Dulcite.
melampyrite |The saccharine substance dulcite; -- so called because found in the leaves of cowwheat (Melampyrum). See Dulcite.
melanaemia |A morbid condition in which the blood contains black pigment either floating freely or imbedded in the white blood corpuscles.
melanagogue |A medicine supposed to expel black bile or choler. [Obs.]
melancholia |A kind of mental unsoundness characterized by extreme depression of spirits, ill-grounded fears, delusions, and brooding over one particular subject or train of ideas.
melancholian |A person affected with melancholy; a melancholic. [Obs.] Dr. J. Scott.
melancholic |Given to melancholy; depressed; melancholy; dejected; unhappy. Just as the melancholic eye Sees fleets and armies in the sky. Prior.\n\n1. One affected with a gloomy state of mind. J. Spenser. 2. A gloomy state of mind; melancholy. Clarendon.
melancholily |In a melancholy manner.
melancholiness |The state or quality of being melancholy. Hallywell.
melancholious |Melancholy. [R.] Milton.
melancholist |One affected with melancholy or dejection. [Obs.] Glanvill.
melancholize |To become gloomy or dejected in mind. Barrow.\n\nTo make melancholy.
melancholy |1. Depression of spirits; a gloomy state continuing a considerable time; deep dejection; gloominess. Shak. 2. Great and continued depression of spirits, amounting to mental unsoundness; melancholia. 3. Pensive maditation; serious thoughtfulness. [Obs.] \"Hail, divinest Melancholy !\" Milton. 4. Ill nature. [Obs.] Chaucer.\n\n1. Depressed in spirits; dejected; gloomy dismal. Shak. 2. Producing great evil and grief; causing dejection; calamitous; afflictive; as, a melancholy event. 3. Somewhat deranged in mind; having the jugment impaired. [Obs.] Bp. Reynolds. 4. Favorable to meditation; somber. A pretty, melancholy seat, well wooded and watered. Evelin. Syn. -- Gloomy; sad; dispirited; low-spirited; downhearted; unhappy; hypochondriac; disconsolate; heavy, doleful; dismal; calamitous; afflictive.
melanconiaceae |A family of fungi constituting the order Melanconiales. -- Mel`an*co`ni*a\"ceous (#), a.
melanconiales |The smallest of the three orders of Fungi Imperfecti, including those with no asci nor pycnidia, but as a rule having the spores in cavities without special walls. They cause many of the plant diseases known as anthracnose.
melanesian |Of or pertaining to Melanesia.
melange |A mixture; a medley.
melanian |One of a family of fresh-water pectinibranchiate mollusks, having a turret-shaped shell.
melanic |1. Melanotic. 2. (Ethnol.)  Of or pertaining to the black-haired races. Prichard.
melaniline |A complex nitrogenous hydrocarbon obtained artificially (as by the action of cyanogen chloride on aniline) as a white, crystalline substance; -- called also diphenyl guanidin.
melanin |A black pigment found in the pigment-bearing cells of the skin (particularly in the skin of the negro), in the epithelial cells of the external layer of the retina (then called fuscin), in the outer layer of the choroid, and elsewhere. It is supposed to be derived from the decomposition of hemoglobin.
melanism |1. An indue development of dark-colored pigment in the skin or its appendages; -- the opposite of albinism. 2. (Med.)  A disease; black jaundice. See Mel.
melanistic |Affected with melanism; of the nature of melanism.
melanite |A black variety of garnet.
melanochroi |A group of the human race, including the dark whites.
melanochroic |Having a dark complexion; of or pertaining to the Melanochroi.
melanochroite |A mineral of a red, or brownish or yellowish red color. It is a chromate of lead; -- called also phoenicocroite.
melanocomous |Having very dark or black hair; black-haired. Prichard.
melanoma |(a) A tumor containing dark pigment. (b) Development of dark-pigmented tumors.
melanorrhoea |An East Indian genus of large trees. Melanorrhoea usitatissima is the lignum-vitæ of Peru, and yelds a valuable black varnish.
melanoscope |An instrument containing a combination of colored glasses such that they transmit only red light, so that objects of other colors, as green leaves, appear black when seen through it. It is used for viewing colored flames, to detect the presence of potassium, lithium, etc., by the red light which they emit.
melanosis |The morbid deposition of black matter, often of a malignant character, causing pigmented tumors.
melanosperm |An alga of any kind that produces blackish spores, or seed dust. The melanosperms include the rockweeds and all kinds of kelp. -- Mel`a*no*sper\"mous, a.
melanotic |, Melanistic.
melanotype |A positive picture produced with sensitized collodion on a smooth surface of black varnish, coating a thin plate of iron; also, the process of making such a picture. [Written also melainotype.]
melanterite |A hydrous sulphate of iron of a green color and vitreous luster; iron vitriol.
melanure |A small fish of the Mediterranean; a gilthead. See Gilthead (a).
melanuric |Pertaining to, or designating, a complex nitrogenous acid obtained by decomposition of melam, or of urea, as a white crystalline powder; -- called also melanurenic acid.
melaphyre |Any one of several dark-colored augitic, eruptive rocks allied to basalt.
melasma |A dark discoloration of the skin, usually local; as, Addison's melasma, or Addison's disease. -- Me*las\"mic, a.
melasses |See Molasses.
melassic |Pertaining to, or designating, an acid obtained from molasses or glucose, and probably identical with saccharic acid. See Saccharic.
melastoma |A genus of evergreen tropical shrubs; -- so called from the black berries of some species, which stain the mouth.
melastomaceous |Belonging to the order of which Melastoma is the type.
melchite |One of a sect, chiefly in Syria and Egypt, which acknowledges the authority of the pope, but adheres to the liturgy and ceremonies of the Eastern Church.
meld |In the game of pinochle, to declare or announce for a score; as, to meld a sequence.\n\nAny combination or score which may be declared, or melded, in pinochle.
meleagrine |Of or pertaining to the genus Meleagris.
meleagris |A genus of American gallinaceous birds, including the common and the wild turkeys.
melee |A fight in which the combatants are mingled
melena |See Mel.
melene |An unsaturated hydrocarbon, C30H60, of the ethylene series, obtained from beeswax as a white, scaly, crystalline wax; -- called also melissene, and melissylene.
melenite |An explosive of great destructive power; -- so called from its color, which resembles honey.
meletin |See Quercitin.
melezitose |A variety of sugar, isomeric with sucrose, extracted from the manna of the larch (Larix). [Written also melicitose.]
meliaceous |Pertaining to a natural order (Meliacæ) of plants of which the genus Melia is the type. It includes the mahogany and the Spanish cedar.
melibean |Alternately responsive, as verses.
meliboean |Alternately responsive, as verses.
melic |Of or pertaining to song; lyric; tuneful.
melic grass |A genus of grasses (Melica) of little agricultural importance.
melicerous |Consisting of or containing matter like honey; -- said of certain encysted tumors.
melicotoon |See Melocoton.
melicratory |A meadlike drink. [Obs.]
melilite |A mineral occurring in small yellow crystals, found in the lavas (melilite basalt) of Vesuvius, and elsewhere. [Written also mellilite.]
melilot |Any species of Melilotus, a genus of leguminous herbs having a vanillalike odor; sweet clover; hart's clover. The blue melilot (Melilotus cærulea) is used in Switzerland to give color and flavor to sapsago cheese.
melilotic |Of, pertaining to, or obtained from, sweet clover or meliot; specifically, designating an acid of the aromatic series, obtained from melilot as a white crystalline substance.
melinite |A high explosive similar to lyddite, consisting principally of picric acid, used in the French military service.
meliorate |To make better; to improve; to ameliorate; to soften; to make more tolerable. Nature by art we nobly meliorate. Denham. The pure and bening light of revelation has had a meliorating influence on mankind. Washington.\n\nTo grow better.
meliorater |Same as Meliorator.
melioration |The act or operation of meliorating, or the state of being meliorated; improvement. Bacon.
meliorator |One who meliorates.
meliorism |The doctrine that there is a tendency throughout nature toward improvement. J. Sully.
meliority |The state or quality of being better; melioration. [Obs.] Bacon.
meliphagan |Belonging to the genus Meliphaga.\n\nAny bird of the genus Meliphaga and allied genera; a honey eater; -- called also meliphagidan.
meliphagous |Eating, or feeding upon, honey.
melisma |(a) A piece of melody; a song or tune, -- as opposed to recitative or musical declamation. (b) A grace or embellishment.
melissa |A genus of labiate herbs, including the balm, or bee balm (Melissa officinalis).
melissic |Pertaining to, or derived from, beeswax; specif., denoting an acid obtained by oxidation of myricin.
melissyl |See Myricyl.
melissylene |See Melene.
melitose |A variety of sugar isomeric with sucrose, extracted from cotton seeds and from the so-called Australian manna (a secretion of certain species of Eucalyptus).
mell |To mix; to meddle. [Obs.] Chaucer.\n\nHoney. [Obs.] Warner.\n\nA mill. [Obs.] Chaucer.
mellate |A mellitate. [R.]
mellay |A mêlée; a conflict. Tennyson.
mellic |See Mellitic. [R.]
melliferous |Producing honey.
mellific |Producing honey.
mellification |The making or production of honey.
mellifluence |A flow of sweetness, or a sweet, smooth flow.
mellifluent |Flowing as with honey; smooth; mellifluous.
mellifluently |In a mellifluent manner.
mellifluous |Flowing as with honey; smooth; flowing sweetly or smoothly; as, a mellifluous voice. -- Mel*lif\"lu*ous*ly, adv.
melligenous |Having the qualities of honey. [R.]
melligo |Honeydew.
melliloquent |Speaking sweetly or harmoniously.
melliphagan |See Meliphagan.
melliphagous |See Meliphagous.
mellitate |A salt of mellitic acid.
mellite |A mineral of a honey color, found in brown coal, and partly the result of vegetable decomposition; honeystone. It is a mellitate of alumina.
mellitic |(a) Containing saccharine matter; marked by saccharine secretions; as, mellitic diabetes. (b) Pertaining to, or derived from, the mineral mellite. Mellitic acid (Chem.), a white, crystalline, organic substance, C6(CO2H)6, occurring naturally in combination with aluminium in the mineral mellite, and produced artificially by the oxidation of coal, graphite, etc., and hence called also graphitic acid.
mellone |A yellow powder, C6H3N9, obtained from certain sulphocyanates. It has acid properties and forms compounds called mellonides.
mellonide |See Mellone.
mellow |1. Soft or tender by reason of ripeness; having a tender pulp; as, a mellow apple. 2. Hence: (a) Easily worked or penetrated; not hard or rigid; as, a mellow soil. \"Mellow glebe.\" Drayton (b) Not coarse, rough, or harsh; subdued; soft; rich; delicate; -- said of sound, color, flavor, style, etc. \"The mellow horn.\" Wordsworth. \"The mellow-tasted Burgundy.\" Thomson. The tender flush whose mellow stain imbues Heaven with all freaks of light. Percival. 3. Well matured; softened by years; genial; jovial. May health return to mellow age. Wordsworth. As merry and mellow an old bachelor as ever followed a hound. W. Irving. 4. Warmed by liquor; slightly intoxicated. Addison.\n\nTo make mellow. Shak. If the Weather prove frosty to mellow it [the ground], they do not plow it again till April. Mortimer. The fervor of early feeling is tempered and mellowed by the ripeness of age. J. C. Shairp.\n\nTo become mellow; as, ripe fruit soon mellows. \"Prosperity begins to mellow.\" Shak.
mellowly |In a mellow manner.
mellowness |Quality or state of being mellow.
mellowy |Soft; unctuous. Drayton.
melluco |A climbing plant (Ullucus officinalis) of the Andes, having tuberous roots which are used as a substitute for potatoes.
melne |A mill. [Obs.] Chaucer.
melocoton |(a) A quince. (b) A kind of peach having one side deep red, and the flesh yellow. [Written also malacatoon, malacotune.]
melocotoon |(a) A quince. (b) A kind of peach having one side deep red, and the flesh yellow. [Written also malacatoon, malacotune.]
melodeon |1. (Mus.)  A kind of small reed organ; -- a portable form of the seraphine. 2. A music hall.
melodic |Of the nature of melody; relating to, containing, or made up of, melody; melodious.
melodics |The department of musical science which treats of the pitch of tones, and of the laws of melody.
melodiograph |A contrivance for preserving a record of music, by recording the action of the keys of a musical instrument when played upon.
melodious |Containing, or producing, melody; musical; agreeable to the ear by a sweet succession of sounds; as, a melodious voice. \"A melodious voice.\" \"A melodious undertone.\" Longfellow. -- Me*lo\"di*ous*ly, adv. -- Me*lo\"di*ous*ness, n.
melodist |A composer or singer of melodies.
melodize |To make melodious; to form into, or set to, melody.\n\nTo make melody; to compose melodies; to harmonize.
melodrama |Formerly, a kind of drama having a musical accompaniment to intensify the effect of certain scenes. Now, a drama abounding in romantic sentiment and agonizing situations, with a musical accompaniment only in parts which are especially thrilling or pathetic. In opera, a passage in which the orchestra plays a somewhat descriptive accompaniment, while the actor speaks; as, the melodrama in the gravedigging scene of Beethoven's \"Fidelio\".
melodramatic |Of or pertaining to melodrama; like or suitable to a melodrama; unnatural in situation or action. -- Mel`o*dra*mat\"ic*al*ly, adv.
melodramatist |One who acts in, or writes, melodramas.
melodrame |Melodrama.
melody |1. A sweet or agreeable succession of sounds. Lulled with sound of sweetest melody. Shak. 2. (Mus.)  A rhythmical succession of single tones, ranging for the most part within a given key, and so related together as to form a musical whole, having the unity of what is technically called a musical thought, at once pleasing to the ear and characteristic in expression. Note: Melody consists in a succession of single tones; harmony is a consonance or agreement of tones, also a succession of consonant musical combinations or chords. 3. The air or tune of a musical piece. Syn. -- See Harmony.
meloe |A genus of beetles without wings, but having short oval elytra; the oil beetles. These beetles are sometimes used instead of cantharides for raising blisters. See Oil beetle, under Oil.
melograph |Same as Melodiograph.
melolonthidian |A beetle of the genus Melolontha, and allied genera. See May beetle, under May.
melon |1. (Bot.)  The juicy fruit of certain cucurbitaceous plants, as the muskmelon, watermelon, and citron melon; also, the plant that produces the fruit. 2. (Zoöl.)  A large, ornamental, marine, univalve shell of the genus Melo. Melon beetle (Zoöl.), a small leaf beetle (Diabrotiea vittata), which damages the leaves of melon vines. -- Melon cactus, Melon thistle. (a) (Bot.) A genus of cactaceous plants (Melocactus) having a fleshy and usually globose stem with the surface divided into spiny longitudinal ridges, and bearing at the top a prickly and woolly crown in which the small pink flowers are half concealed. M. communis, from the West Indies, is often cultivated, and sometimes called Turk's cap. (b) The related genus Mamillaria, in which the stem is tubercled rather than ribbed, and the flowers sometimes large. See Illust. under Cactus.
melopiano |A piano having a mechanical attachment which enables the player to prolong the notes at will.
meloplastic |Of or pertaining to meloplasty, or the artificial formation of a new cheek.
meloplasty |The process of restoring a cheek which has been destroyed wholly or in part.
melopoeia |The art of forming melody; melody; -- now often used for a melodic passage, rather than a complete melody.
melotype |A picture produced by a process in which development after exposure may be deferred indefinitely, so as to permit transportation of exposed plates; also, the process itself.
melpomene |1. (Class. Myth.)  The Muse of tragedy. 2. (Astron.)  The eighteenth asteroid.
melrose |Honey of roses.
melt |See 2d Milt.\n\n1. To reduce from a solid to a liquid state, as by heat; to liquefy; as, to mell wax, tallow, or lead; to melt ice or snow. 2. Hence: To soften, as by a warming or kindly influence; to relax; to render gentle or susceptible to mild influences; sometimes, in a bad sense, to take away the firmness of; to weaken. Thou would'st have . . . melted down thy youth. Shak. For pity melts the mind to love. Dryden. Syn. -- To liquefy; fuse; thaw; mollify; soften.\n\n1. To be changed from a solid to a liquid state under the influence of heat; as, butter and wax melt at moderate temperatures. 2. To dissolve; as, sugar melts in the mouth. 3. Hence: To be softened; to become tender, mild, or gentle; also, to be weakened or subdued, as by fear. My soul melteth for heaviness. Ps. cxix. 28. Melting with tenderness and kind compassion. Shak. 4. To lose distinct form or outline; to blend. The soft, green, rounded hills, with their flowing outlines, overlapping and melting into each other. J. C. Shairp. 5. To disappear by being dispersed or dissipated; as, the fog melts away. Shak.
meltable |Capable of being melted.
melter |, One who, or that which, melts.
melting |Liquefaction; the act of causing (something) to melt, or the process of becoming melted. Melting point (Chem.), the degree of temperature at which a solid substance melts or fuses; as, the melting point of ice is 0º Centigrade or 32º Fahr., that of urea is 132º Centigrade. -- Melting pot, a vessel in which anything is melted; a crucible.\n\nCausing to melt; becoming melted; -- used literally or figuratively; as, a melting heat; a melting appeal; a melting mood. -- Melt\"ing*ly, adv.
melton |A kind of stout woolen cloth with unfinished face and without raised nap. A commoner variety has a cotton warp.
melungeon |One of a mixed white and Indian people living in parts of Tennessee and the Carolinas. They are descendants of early intermixtures of white settlers with natives. In North Carolina the Croatan Indians, regarded as descended from Raleigh's lost colony of Croatan, formerly classed with negroes, are now legally recognized as distinct.
mem-sahib |Lady; mistress; -- used by Hindustani-speaking natives in India in addressing European women.
member |To remember; to cause to remember; to mention. [Obs.]\n\n1. (Anat.)  A part of an animal capable of performing a distinct office; an organ; a limb. We have many members in one body, and all members have not the same office. Rom. xii. 4. 2. Hence, a part of a whole; an independent constituent of a body; as: (a) A part of a discourse or of a period or sentence; a clause; a part of a verse. (b) (Math.) Either of the two parts of an algebraic equation, connected by the sign of equality. (c) (Engin.)  Any essential part, as a post, tie rod, strut, etc., of a framed structure, as a bridge truss. (d) (Arch.) Any part of a building, whether constructional, as a pier, column, lintel, or the like, or decorative, as a molding, or group of moldings. (e) One of the persons composing a society, community, or the like; an individual forming part of an association; as, a member of the society of Friends. Compression member, Tension member (Engin.), a member, as a rod, brace, etc., which is subjected to compression or tension, respectively.
membered |1. Having limbs; -- chiefly used in composition. 2. (Her.)  Having legs of a different tincture from that of the body; -- said of a bird in heraldic representations.
membership |1. The state of being a member. 2. The collective body of members, as of a society.
membral |Relating to a member.
membranaceous |1. Same as Membranous. Arbuthnot. 2. (Bot.)  Thin and rather soft or pliable, as the leaves of the rose, peach tree, and aspen poplar.
membrane |A thin layer or fold of tissue, usually supported by a fibrous network, serving to cover or line some part or organ, and often secreting or absorbing certain fluids. Note: The term is also often applied to the thin, expanded parts, of various texture, both in animals and vegetables. Adventitious membrane, a membrane connecting parts not usually connected, or of a different texture from the ordinary connection; as, the membrane of a cicatrix. -- Jacob's membrane. See under Retina. -- Mucous membranes (Anat.), the membranes lining passages and cavities which communicate with the exterior, as well as ducts and receptacles of secretion, and habitually secreting mucus. -- Schneiderian membrane. (Anat.) See Schneiderian. -- Serous membranes (Anat.) , the membranes, like the peritoneum and pleura, which line, or lie in, cavities having no obvious outlet, and secrete a serous fluid.
membraneous |See Membranous.
membraniferous |Having or producing membranes.
membraniform |Having the form of a membrane or of parchment.
membranology |The science which treats of membranes.
membranous |1. Pertaining to, consisting of, or resembling, membrane; as, a membranous covering or lining. 2. (Bot.)  Membranaceous. Membranous croup (Med.), true croup. See Croup.
memento |A hint, suggestion, token, or memorial, to awaken memory; that which reminds or recalls to memory; a souvenir. Seasonable mementos may be useful. Bacon.
memento mori |Lit., remember to die, i.e., that you must die; a warning to be prepared for death; an object, as a death's-head or a personal ornament, usually emblematic, used as a reminder of death.
meminna |A small deerlet, or chevrotain, of India.
memnon |A celebrated Egyptian statue near Thebes, said to have the property of emitting a harplike sound at sunrise.
memoir |1. A memorial account; a history composed from personal experience and memory; an account of transactions or events (usually written in familiar style) as they are remembered by the writer. See History, 2. 2. A memorial of any individual; a biography; often, a biography written without special regard to method and completeness. 3. An account of something deemed noteworthy; an essay; a record of investigations of any subject; the journals and proceedings of a society.
memoirist |A writer of memoirs.
memoirs |1. A memorial account; a history composed from personal experience and memory; an account of transactions or events (usually written in familiar style) as they are remembered by the writer. See History, 2. 2. A memorial of any individual; a biography; often, a biography written without special regard to method and completeness. 3. An account of something deemed noteworthy; an essay; a record of investigations of any subject; the journals and proceedings of a society.
memorabilia |Things remarkable and worthy of remembrance or record; also, the record of them.
memorability |The quality or state of being memorable.
memorable |Worthy to be remembered; very important or remarkable. -- Mem\"o*ra*ble*ness, n. -- Mem\"o*ra*bly, adv. Surviving fame to gain, Buy tombs, by books, by memorable deeds. Sir J. Davies.
memorandum |1. A record of something which it is desired to remember; a note to help the memory. I . . . entered a memorandum in my pocketbook. Guardian. I wish you would, as opportunity offers, make memorandums of the regulations of the academies. Sir J. Reynolds. 2. (Law)  A brief or informal note in writing of some transaction, or an outline of an intended instrument; an instrument drawn up in a brief and compendious form. Memorandum check, a check given as an acknowledgment of indebtedness, but with the understanding that it will not be presented at bank unless the maker fails to take it up on the day the debt becomes due. It usually has Mem. written on its face.
memorate |To commemorate. [Obs.]
memorative |Commemorative. [Obs.] Hammond.
memoria |Memory. Memoria technica, technical memory; a contrivance for aiding the memory.
memorial |1. Serving to preserve remembrance; commemorative; as, a memorial building. There high in air, memorial of my name, Fix the smooth oar, and bid me live to fame. Pope. 2. Contained in memory; as, a memorial possession. 3. Mnemonic; assisting the memory. This succession of Aspirate, Soft, and Hard, may be expressed by the memorial word ASH. Skeat. Memorial Day. Same as Decoration Day. [U.S.]\n\n1. Anything intended to preserve the memory of a person or event; something which serves to keep something else in remembrance; a monument. Macaulay. Churches have names; some as memorials of peace, some of wisdom, some in memory of the Trinity itself. Hooker. 2. A memorandum; a record. [Obs. or R.] Hayward. 3. A written representation of facts, addressed to the government, or to some branch of it, or to a society, etc., -- often accompanied with a petition. 4. Memory; remembrance. [Obs.] Precious is the memorial of the just. Evelyn. 5. (Diplomacy)  A species of informal state paper, much used in negotiation.
memorial day |A day, May 30, appointed for commemorating, by decorating their graves with flowers, by patriotic exercises, etc., the dead soldiers and sailors who served the Civil War (1861-65) in the United States; Decoration Day. It is a legal holiday in most of the States. In the Southern States, the Confederate Memorial Day is: May 30 in Virginia; April 26 in Alabama, Florida, Georgia, and Mississippi; May 10 in North Carolina and South Carolina; the second Friday in May in Tennessee; June 3 in Louisiana. [U. S.]
memorial rose |A Japanese evergreen rose (Rosa wichuraiana) with creeping branches, shining leaves, and single white flowers. It is often planted in cemeteries.
memorialist |One who writes or signs a memorial.
memorialize |To address or petition by a memorial; to present a memorial to; as, to memorialize the legislature. T. Hook.
memorializer |One who petitions by a memorial. T. Hook.
memorist |One who, or that which, causes to be remembered. [Obs.]
memoriter |By, or from, memory.
memorize |1. To cause to be remembered ; hence, to record. [Obs.] They neglect to memorize their conquest. Spenser. They meant to . . . memorize another Golgotha. Shak. 2. To commit to memory; to learn by heart.
memory |1. The faculty of the mind by which it retains the knowledge of previous thoughts, impressions, or events. Memory is the purveyor of reason. Rambler. 2. The reach and positiveness with which a person can remember; the strength and trustworthiness of one's power to reach and represent or to recall the past; as, his memory was never wrong. 3. The actual and distinct retention and recognition of past ideas in the mind; remembrance; as, in memory of youth; memories of foreign lands. 4. The time within which past events can be or are remembered; as, within the memory of man. And what, before thy memory, was done From the begining. Milton. 5. Something, or an aggregate of things, remembered; hence, character, conduct, etc., as preserved in remembrance, history, or tradition; posthumous fame; as, the war became only a memory. The memory of the just is blessed. Prov. x. 7. That ever-living man of memory, Henry the Fifth. Shak. The Nonconformists . . . have, as a body, always venerated her [Elizabeth's] memory. Macaulay. 6. A memorial. [Obs.] These weeds are memories of those worser hours. Shak. Syn. -- Memory, Remembrance, Recollection, Reminiscence. Memory is the generic term, denoting the power by which we reproduce past impressions. Remembrance is an exercise of that power when things occur spontaneously to our thoughts. In recollection we make a distinct effort to collect again, or call back, what we know has been formerly in the mind. Reminiscence is intermediate between remembrance and recollection, being a conscious process of recalling past occurrences, but without that full and varied reference to particular things which characterizes recollection. \"When an idea again recurs without the operation of the like object on the external sensory, it is remembrance; if it be sought after by the mind, and with pain and endeavor found, and brought again into view, it is recollection.\" Locke. To draw to memory, to put on record; to record. [Obs.] Chaucer. Gower.
memphian |Of or pertaining to the ancient city of Memphis in Egypt; hence, Egyptian; as, Memphian darkness.
men |pl. of Man.\n\nA man; one; -- used with a verb in the singular, and corresponding to the present indefinite one or they. [Obs.] Piers Plowman. Men moot give silver to the poure triars. Chaucer. A privy thief, men clepeth death. Chaucer.
men-pleaser |One whose motive is to please men or the world, rather than God. Eph. vi. 6.
menaccanite |An iron-black or steel-gray mineral, consisting chiefly of the oxides of iron and titanium. It is commonly massive, but occurs also in rhombohedral crystals. Called also titanic iron ore, and ilmenite.
menace |The show of an intention to inflict evil; a threat or threatening; indication of a probable evil or catastrophe to come. His (the pope's) commands, his rebukes, his menaces. Milman. The dark menace of the distant war. Dryden.\n\n1. To express or show an intention to inflict, or to hold out a prospect of inflicting, evil or injury upon; to threaten; -- usually followed by with before the harm threatened; as, to menace a country with war. My master . . . did menace me with death. Shak. 2. To threaten, as an evil to be inflicted. By oath he menaced Revenge upon the cardinal. Shak.\n\nTo act in threatening manner; to wear a threatening aspect. Who ever knew the heavens menace so Shak.
menacer |One who menaces.
menacingly |In a threatening manner.
menage |See Manage.\n\nA collection of animals; a menagerie. [Obs.] Addison.
menagerie |1. A piace where animals are kept and trained. 2. A collection of wild or exotic animals, kept for exhibition.
menagogue |Emmenagogue.
menaion |A work of twelve volumes, each containing the offices in the Greek Church for a month; also, each volume of the same. Shipley.
menald |Covered with spots; speckled; variegated. [Obs.]
mend |1. To repair, as anything that is torn, broken, defaced, decayed, or the like; to restore from partial decay, injury, or defacement; to patch up; to put in shape or order again; to re-create; as, to mend a garment or a machine. 2. To alter for the better; to set right; to reform; hence, to quicken; as, to mend one's manners or pace. The best service they could do the state was to mend the lives of the persons who composed it. Sir W. Temple. 3. To help, to advance, to further; to add to. Though in some lands the grass is but short, yet it mends garden herbs and fruit. Mortimer. You mend the jewel by the wearing it. Shak. Syn. -- To improve; help; better; emend; amend; correct; rectify; reform.\n\nTo grow better; to advance to a better state; to become improved. Shak.
mendable |Capable of being mended.
mendacious |1. Given to deception or falsehood; lying; as, a mendacious person. 2. False; counterfeit; containing falsehood; as, a mendacious statement. -- Men*da\"cious*ly, adv. -- Men*da\"cious*ness, n.
mendacity |1. The quality or state of being mendacious; a habit of lying. Macaulay. 2. A falsehood; a lie. Sir T. Browne. Syn. -- Lying; deceit; untruth; falsehood.
mendelian |Pert. to Mendel, or to Mendel's law. -- Men*de\"li*an*ism (#), Men*del\"ism (#), n.
