slutch |Slush. [Prov. Eng.]
smotheriness |The quality or state of being smothery.
smotheringly |In a smothering manner.
smothery |Tending to smother; stifling.
smouch |To kiss closely. [Obs.] P. Stubbes.\n\nTo smutch; to soil; as, to smouch the face.\n\nA dark soil or stain; a smutch.
smoulder |1. To burn and smoke without flame; to waste away by a slow and supressed combustion. The smoldering dust did round about him smoke. Spenser. 2. To exist in a state of suppressed or smothered activity; to burn inwardly; as, a smoldering feud.\n\nTo smother; to suffocate; to choke. [Obs.] Holinshed. Palsgrave.\n\nSmoke; smother. [Obs.] The smolder stops our nose with stench. Gascoigne.\n\nSee Smolder.
smouldering |Being in a state of suppressed activity; quiet but not dead. Some evil chance Will make the smoldering scandal break and blaze. Tennyson.
smoulderingness |The state of smoldering.
smouldry |Smoldering; suffocating; smothery. [Obs.] A flaming fire ymixt with smoldry smoke. Spenser.\n\nSee Smoldry.
smudge |1. A suffocating smoke. Grose. 2. A heap of damp combustibles partially ignited and burning slowly, placed on the windward side of a house, tent, or the like, in order, by the thick smoke, to keep off mosquitoes or other insects. [U. S.] Bartlett. 3. That which is smeared upon anything; a stain; a blot; a smutch; a smear.\n\n1. To stifle or smother with smoke; to smoke by means of a smudge. 2. To smear; to smutch; to soil; to blacken with smoke.
smudginess |The quality or state of being smudged, soiled, or blurred. C. A. Young.
smug |Studiously neat or nice, especially in dress; spruce; affectedly precise; smooth and prim. They be so smug and smooth. Robynson (More's Utopia). The smug and scanty draperies of his style. De Quincey. A young, smug, handsome holiness has no fellow. Beau & Fl.\n\nTo make smug, or spruce. [Obs.] Thus said, he smugged his beard, and stroked up fair. Dryton.
smuggle |1. To import or export secretly, contrary to the law; to import or export without paying the duties imposed by law; as, to smuggle lace. 2. Fig.: To convey or introduce clandestinely.\n\nTo import or export in violation of the customs laws.
smuggler |1. One who smuggles. 2. A vessel employed in smuggling.
smugly |In a smug manner. [R.] Gay.
smugness |The quality or state of being smug.
smut |1. Foul matter, like soot or coal dust; also, a spot or soil made by such matter. 2. (Mining)  Bad, soft coal, containing much earthy matter, found in the immediate locality of faults. 3. (Bot.)  An affection of cereal grains producing a swelling which is at length resolved into a powdery sooty mass. It is caused by parasitic fungi of the genus Ustilago. Ustilago segetum, or U. Carbo, is the commonest kind; that of Indian corn is Ustilago maydis. 4. Obscene language; ribaldry; obscenity. He does not stand upon decency . . . but will talk smut, though a priest and his mother be in the room. Addison. Smut mill, a machine for cleansing grain from smut.\n\n1. To stain or mark with smut; to blacken with coal, soot, or other dirty substance. 2. To taint with mildew, as grain. Bacon. 3. To blacken; to sully or taint; to tarnish. 4. To clear of smut; as, to smut grain for the mill.\n\n1. To gather smut; to be converted into smut; to become smutted. Mortimer. 2. To give off smut; to crock.
smutch |A stain; a dirty spot. B. Jonson.\n\nTo blacken with smoke, soot, or coal. [Written also smooch.] B. Jonson.
smutchin |Snuff. [Obs.] Howell.
smutty |1. Soiled with smut; smutted. 2. Tainted with mildew; as, smutty corn. 3. Obscene; not modest or pure; as, a smutty saying. The smutty joke, ridiculously lewd. Smollett. -- Smut\"ti*ly, adv. -- Smut\"ti*ness, n.
smyrniot |Of or pertaining to Smyrna. -- n.  A native or inhabitant of Smyrna.
snack |1. A share; a part or portion; -- obsolete, except in the colloquial phrase, to go snacks, i. e., to share. At last he whispers, \"Do, and we go snacks.\" Pope. 2. A slight, hasty repast. [Colloq.]
snacket |See Snecket. [Prov. Eng.]
snacot |A pipefish of the genus Syngnathus. See Pipefish.
snaffle |A kind of bridle bit, having a joint in the part to be placed in the mouth, and rings and cheek pieces at the ends, but having no curb; -- called also snaffle bit.\n\nTo put a snaffle in the mouth of; to subject to the snaffle; to bridle.
snag |1. A stump or base of a branch that has been lopped off; a short branch, or a sharp or rough branch; a knot; a protuberance. The coat of arms Now on a naked snag in triumph borne. Dryden. 2. A tooth projecting beyond the rest; contemptuously, a broken or decayed tooth. Prior. 3. A tree, or a branch of a tree, fixed in the bottom of a river or other navigable water, and rising nearly or quite to the surface, by which boats are sometimes pierced and sunk. 4. (Zoöl.)  One of the secondary branches of an antler. Snag boat, a steamboat fitted with apparatus for removing snags and other obstructions in navigable streams. [U.S.] -- Snag tooth. Same as Snag, 2. How thy snag teeth stand orderly, Like stakes which strut by the water side. J. Cotgrave.\n\n1. To cut the snags or branches from, as the stem of a tree; to hew roughly. [Prov. Eng.] Halliwell. 2. To injure or destroy, as a steamboat or other vessel, by a snag, or projecting part of a sunken tree. [U. S.]
snagged |Full of snags; snaggy.
snaggy |1. Full of snags; full of short, rough branches or sharp points; abounding with knots. \"Upon a snaggy oak.\" Spenser. 2. Snappish; cross; ill-tempered. [Prov. Eng.]
snail |1. (Zoöl.) (a) Any one of numerous species of terrestrial air-breathing gastropods belonging to the genus Helix and many allied genera of the family Helicidæ. They are abundant in nearly all parts of the world except the arctic regions, and feed almost entirely on vegetation; a land sanil. (b) Any gastropod having a general resemblance to the true snails, including fresh-water and marine species. See Pond snail, under Pond, and Sea snail. 2. Hence, a drone; a slow-moving person or thing. 3. (Mech.)  A spiral cam, or a flat piece of metal of spirally curved outline, used for giving motion to, or changing the position of, another part, as the hammer tail of a striking clock. 4. A tortoise; in ancient warfare, a movable roof or shed to protect besiegers; a testudo. [Obs.] They had also all manner of gynes [engines] . . . that needful is [in] taking or sieging of castle or of city, as snails, that was naught else but hollow pavises and targets, under the which men, when they fought, were heled [protected], . . . as the snail is in his house; therefore they cleped them snails. Vegetius (Trans.). 5. (Bot.)  The pod of the sanil clover. Ear snail, Edible snail, Pond snail, etc. See under Ear, Edible, etc. -- Snail borer (Zoöl.), a boring univalve mollusk; a drill. -- Snail clover (Bot.), a cloverlike plant (Medicago scuttellata, also, M. Helix); -- so named from its pods, which resemble the shells of snails; -- called also snail trefoil, snail medic, and beehive. -- Snail flower (Bot.), a leguminous plant (Phaseolus Caracalla) having the keel of the carolla spirally coiled like a snail shell. -- Snail shell (Zoöl.), the shell of snail. -- Snail trefoil. (Bot.) See Snail clover, above.
snail-like |Like or suiting a snail; as, snail-like progress.\n\nIn the manner of a snail; slowly.
snail-paced |Slow-moving, like a snail. Bid the snail-paced Ajax arm for shame. Shak. 'SNAILS 'Snails, interj.  God's nails, or His nails, that is, the nails with which the Savior was fastened to the cross; -- an ancient form of oath, corresponding to 'Od's bodikins (dim. of body, i.e., God's dear body). Beau & Fl.
snailfish |See Sea snail (a).
snake |Any species of the order Ophidia; an ophidian; a serpent, whether harmless or venomous. See Ophidia, and Serpent. Note: Snakes are abundant in all warm countries, and much the larger number are harmless to man. Blind snake, Garter snake, Green snake, King snake, Milk snake, Rock snake, Water snake, etc. See under Blind, Garter, etc. -- Fetich snake (Zoöl.), a large African snake (Python Sebæ) used by the natives as a fetich. -- Ringed snake (Zoöl.), a common European columbrine snake (Tropidonotus natrix). -- Snake eater. (Zoöl.) (a) The markhoor. (b) The secretary bird. -- Snake fence, a worm fence (which see). [U.S.] -- Snake fly (Zoöl.), any one of several species of neuropterous insects of the genus Rhaphidia; -- so called because of their large head and elongated neck and prothorax. -- Snake gourd (Bot.), a cucurbitaceous plant (Trichosanthes anguina) having the fruit shorter and less snakelike than that of the serpent cucumber. -- Snake killer. (Zoöl.) (a) The secretary bird. (b) The chaparral cock. -- Snake moss (Bot.), the common club moss (Lycopodium clavatum). See Lycopodium. -- Snake nut (Bot.), the fruit of a sapindaceous tree (Ophiocaryon paradoxum) of Guiana, the embryo of which resembles a snake coiled up. -- Tree snake (Zoöl.), any one of numerous species of colubrine snakes which habitually live in trees, especially those of the genus Dendrophis and allied genera.\n\n1. To drag or draw, as a snake from a hole; -- often with out. [Colloq. U.S.] Bartlett. 2. (Naut.)  To wind round spirally, as a large rope with a smaller, or with cord, the small rope lying in the spaces between the strands of the large one; to worm.\n\nTo crawl like a snake.
snakebird |1. Any one of four species of aquatic birds of the genus Anhinga or Plotus. They are allied to the gannets and cormorants, but have very long, slender, flexible necks, and sharp bills. Note: The American species (Anhinga, or Plotus, anhinga) inhabits the Southern United States and tropical America; -- called also darter, and water turkey. The Asiatic species (A. melanogaster) is native of Southern Asia and the East Indies. Two other species inhabit Africa and Australia respectively. 2. (Zoöl.)  The wryneck.
snakefish |(a) The band fish. (b) The lizard fish.
snakehead |1. A loose, bent-up end of one of the strap rails, or flat rails, formerly used on American railroads. It was sometimes so bent by the passage of a train as to slip over a wheel and pierce the bottom of a car. 2. (Bot.) (a) The turtlehead. (b) The Guinea-hen flower. See Snake's-head, and under Guinea.
snakeneck |The snakebird, 1.
snakeroot |Any one of several plants of different genera and species, most of which are (or were formerly) reputed to be efficacious as remedies for the bites of serpents; also, the roots of any of these. Note: The Virginia snakeroot is Aristolochia Serpentaria; black snakeroot is Sanicula, esp. S. Marilandica, also Cimicifuga racemosa; Seneca snakeroot is Polygala Senega; button snakeroot is Liatris, also Eryngium; white snakeroot is Eupatorium ageratoides. The name is also applied to some others besides these. SNAKE'S-HEAD Snake's\"-head`, n. (Bot.)  The Guinea-hen flower; -- so called in England because its spotted petals resemble the scales of a snake's head. Dr. Prior. Snake's-head iris (Bot.), an iridaceous plant (Hermodactylus tuberosus) of the Mediterranean region. The flowers slightly resemble a serpent's open mouth.
snakestone |1. A kind of hone slate or whetstone obtained in Scotland. 2. (Paleon.)  An ammonite; -- so called from its form, which resembles that of a coiled snake. SNAKE'S-TONGUE Snake's-tongue`, n. (Bot.)  Same as Adder's-tongue.
snakeweed |(a) A kind of knotweed (Polygonum Bistorta). (b) The Virginia snakeroot. See Snakeroot.
snakewood |(a) An East Indian climbing plant (Strychnos colubrina) having a bitter taste, and supposed to be a remedy for the bite of the hooded serpent. (b) An East Indian climbing shrub (Ophioxylon serpentinum) which has the roots and stems twisted so as to resemble serpents. (c) Same as Trumpetwood. (d) A tropical American shrub (Plumieria rubra) which has very fragrant red blossoms. (e) Same as Letterwood.
snakish |Having the qualities or characteristics of a snake; snaky.
snaky |1. Of or pertaining to a snake or snakes; resembling a snake; serpentine; winding. The red light playing upon its gilt and carving gave it an appearance of snaky life. L. Wallace. 2. Sly; cunning; insinuating; deceitful. So to the coast of Jordan he directs His easy steps, girded with snaky wiles. Milton. 3. Covered with serpents; having serpents; as, a snaky rod or wand. Dryden. That snaky-headed, Gorgon shield. Milton.
snap |1. To break at once; to break short, as substances that are brittle. Breaks the doors open, snaps the locks. Prior. 2. To strike, to hit, or to shut, with a sharp sound. 3. To bite or seize suddenly, especially with the teeth. He, by playing too often at the mouth of death, has been snapped by it at last. South. 4. To break upon suddenly with sharp, angry words; to treat snappishly; -- usually with up. Granville. 5. To crack; to cause to make a sharp, cracking noise; as, to snap a whip. MacMorian snapped his fingers repeatedly. Sir W. Scott. 6. To project with a snap. To snap back (Football), to roll the ball back with the foot; -- done only by the center rush, who thus delivers the ball to the quarter back on his own side when both sides are ranged in line. -- To snap off. (a) To break suddenly. (b) To bite off suddenly.\n\n1. To break short, or at once; to part asunder suddenly; as, a mast snaps; a needle snaps. But this weapon will snap short, unfaithful to the hand that employs it. Burke. 2. To give forth, or produce, a sharp, cracking noise; to crack; as, blazing firewood snaps. 3. To make an effort to bite; to aim to seize with the teeth; to catch eagerly (at anything); -- often with at; as, a dog snapsat a passenger; a fish snaps at the bait. 4. To utter sharp, harsh, angry words; -- often with at; as, to snap at a child. 5. To miss fire; as, the gun snapped.\n\n1. A sudden breaking or rupture of any substance. 2. A sudden, eager bite; a sudden seizing, or effort to seize, as with the teeth. 3. A sudden, sharp motion or blow, as with the finger sprung from the thumb, or the thumb from the finger. 4. A sharp, abrupt sound, as that made by the crack of a whip; as, the snap of the trigger of a gun. 5. A greedy fellow. L'Estrange. 6. That which is, or may be, snapped up; something bitten off, seized, or obtained by a single quick movement; hence, a bite, morsel, or fragment; a scrap. He's a nimble fellow, And alike skilled in every liberal science, As having certain snaps of all. B. Jonson. 7. A sudden severe interval or spell; -- applied to the weather; as, a cold snap. Lowell. 8. A small catch or fastening held or closed by means of a spring, or one which closes with a snapping sound, as the catch of a bracelet, necklace, clasp of a book, etc. 9. (Zoöl.)  A snap beetle. 10. A thin, crisp cake, usually small, and flavored with ginger; -- used chiefly in the plural. 11. Briskness; vigor; energy; decision. [Colloq.] 12. Any circumstance out of which money may be made or an advantage gained. [Slang] Snap back (Football), the act of snapping back the ball. -- Snap beetle, or Snap bug (Zoöl.), any beetle of the family Elateridæ, which, when laid on its back, is able to leap to a considerable height by means of a thoracic spring; -- called also snapping beetle. -- Snap flask (Molding), a flask for small work, having its sides separable and held together by latches, so that the flask may be removed from around the sand mold. -- Snap judgment, a judgment formed on the instant without deliberation. -- Snap lock, a lock shutting with a catch or snap. -- Snap riveting, riveting in which the rivets have snapheads formed by a die or swaging tool. -- Snap shot, a quick offhand shot, without deliberately taking aim.
snap shot |1. Commonly Snap shot. (a) A quick offhand shot, made without deliberately taking aim over the sights. (b) (Photog.) Act of taking a snapshot (in sense 2). 2.  An instantaneous photograph made, usually with a hand camera, without formal posing of, and often without the foreknowledge of, the subject.
snapdragon |1. (Bot.) (a) Any plant of the scrrophulariaceous genus Antirrhinum, especially the cultivated A. majus, whose showy flowers are fancifully likened to the face of a dragon. (b) A West Indian herb (Ruellia tuberosa) with curiously shaped blue flowers. 2. A play in which raisins are snatched from a vessel containing burning brandy, and eaten; also, that which is so eaten. See Flapdragon. Swift.
snape |To bevel the end of a timber to fit against an inclined surface.
snaphance |1. A spring lock for discharging a firearm; also, the firearm to which it is attached. [Obs.] 2. A trifling or second-rate thing or person. [Obs.]
snaphead |A hemispherical or rounded head to a rivet or bolt; also, a swaging tool with a cavity in its face for forming such a rounded head.
snapper |1. One who, or that which, snaps; as, a snapper up of trifles; the snapper of a whip. 2. (Zoöl.)  Any one of several species of large sparoid food fishes of the genus Lutjanus, abundant on the southern coasts of the United States and on both coasts of tropical America. Note: The red snapper (Lutjanus aya, or Blackfordi) and the gray, or mangrove, snapper (L. griseus) are large and abundant species. The name is loosely applied to various other fishes, as the bluefish, the rosefish, the red grouper, etc. See Rosefish. 3. (Zoöl.)  A snapping turtle; as, the alligator snapper. 4. (Zoöl.)  The green woodpecker, or yaffle. 5. (Zoöl.)  A snap beetle.
snapping |a. & n. from Snap, v. Snapping beetle. (Zoöl.) See Snap beetle, under Snap. -- Snapping turtle. (Zoöl.) (a) A large and voracious aquatic turtle (Chelydra serpentina) common in the fresh waters of the United States; -- so called from its habit of seizing its prey by a snap of its jaws. Called also mud turtle. (b) See Alligator snapper, under Alligator.
snappish |1. Apt to snap at persons or things; eager to bite; as, a snapping cur. 2. Sharp in reply; apt to speak angrily or testily; easily provoked; tart; peevish. The taunting address of a snappish missanthrope. Jeffrey. -- Snap\"pish*ly, adv. -- Snap\"pish*ness, n.
snappy |Snappish. [Colloq.]
snapsack |A knapsack. [Obs.] South.
snapshot |1. Commonly Snap shot. (a) A quick offhand shot, made without deliberately taking aim over the sights. (b) (Photog.) Act of taking a snapshot (in sense 2). 2.  An instantaneous photograph made, usually with a hand camera, without formal posing of, and often without the foreknowledge of, the subject.
snapweed |See Impatiens.
snar |To snarl. [Obs.] Spenser.
snare |1. A contrivance, often consisting of a noose of cord, or the like, by which a bird or other animal may be entangled and caught; a trap; a gin. 2. Hence, anything by which one is entangled and brought into trouble. If thou retire, the Dauphin, well appointed, Stands with the snares of war to tangle thee. Shak. 3. The gut or string stretched across the lower head of a drum. 4. (Med.)  An instrument, consisting usually of a wireloop or noose, for removing tumors, etc., by avulsion. Snare drum, the smaller common military drum, as distinguished from the bass drum; -- so called because (in order to render it more resonant) it has stretched across its lower head a catgut string or strings.\n\nTo catch with a snare; to insnare; to entangle; hence, to bring into unexpected evil, perplexity, or danger. Lest that too heavenly form . . . snare them. Milton. The mournful crocodile With sorrow snares relenting passengers. Shak.
snarer |One who lays snares, or entraps.
snarl |To form raised work upon the outer surface of (thin metal ware) by the repercussion of a snarling iron upon the inner surface.\n\n1. To entangle; to complicate; to involve in knots; as, to snarl a skein of thread. \"Her snarled hair.\" Spenser. 2. To embarrass; to insnare. [The] question that they would have snarled him with. Latimer.\n\nA knot or complication of hair, thread, or the like, difficult to disentangle; entanglement; hence, intricate complication; embarrassing difficulty.\n\n1. To growl, as an angry or surly dog; to gnarl; to utter grumbling sounds. \"An angry cur snarls while he feeds.\" Dryden & Lee. 2. To speak crossly; to talk in rude, surly terms. It is malicious and unmanly to snarl at the little lapses of a pen, from which Virgil himself stands not exempted. Dryden.\n\nThe act of snarling; a growl; a surly or peevish expression; an angry contention.
snarler |One who snarls; a surly, growling animal; a grumbling, quarrelsome fellow.\n\nOne who makes use of a snarling iron.
snarling |from Snarl, v. Snarling iron, a tool with a long beak, used in the process of snarling. When one end is held in a vise, and the shank is struck with a hammer, the repercussion of the other end, or beak, within the article worked upon gives the requisite blow for producing raised work. See 1st Snarl.
snary |Resembling, or consisting of, snares; entangling; insidious. Spiders in the vault their snary webs have spread. Dryden.
snast |The snuff, or burnt wick, of a candle. [Obs.] Bacon.
snatch |1. To take or seize hastily, abruptly, or without permission or ceremony; as, to snatch a loaf or a kiss. When half our knowledge we must snatch, not take. Pope. 2. To seize and transport away; to rap. \"Snatch me to heaven.\" Thomson. Syn. -- To twitch; pluck; grab; catch; grasp; gripe.\n\nTo attempt to seize something suddenly; to catch; -- often with at; as, to snatch at a rope.\n\n1. A hasty catching or seizing; a grab; a catching at, or attempt to seize, suddenly. 2. A short period of vigorous action; as, a snatch at weeding after a shower. Tusser. They move by fits and snatches. Bp. Wilkins. 3. A small piece, fragment, or quantity; a broken part; a scrap. We have often little snatches of sunshine. Spectator. Leave me your snatches, and yield me a direct answer. Shak.
snatch block |a kind of block with an opening in one side to receive the bight of a rope.
snatcher |One who snatches, or takes abruptly.
snatchingly |By snatching; abruptly.
snath |The handle of a scythe; a snead. [Variously written in England snead, sneed, sneath, sneeth, snathe, etc.; in Scotland written sned.]\n\nThe handle of a scythe; a snead. [Variously written in England snead, sneed, sneath, sneeth, snathe, etc.; in Scotland written sned.]
snathe |To lop; to prune. [Prov. Eng.]
snattock |A chip; a alice. [Prov. Eng.] Gayton.
snaw |Snow. [Obs. or Scot.] Burns.
snead |1. A snath. 2. A line or cord; a string. [Prov. Eng.]
sneak |1. To creep or steal (away or about) privately; to come or go meanly, as a person afraid or ashamed to be seen; as, to sneak away from company. imp. & p. p. \"snuck\" is more common now, but not even mentioned here. In MW10, simply \"sneaked or snuck\" You skulked behind the fence, and sneaked away. Dryden. 2. To act in a stealthy and cowardly manner; to behave with meanness and servility; to crouch.\n\nTo hide, esp. in a mean or cowardly manner. [Obs.] \"[Slander] sneaks its head.\" Wake.\n\n1. A mean, sneaking fellow. A set of simpletons and superstitious sneaks. Glanvill. 2. (Cricket)  A ball bowled so as to roll along the ground; -- called also grub. [Cant] R. A. Proctor.
sneak current |A current which, though too feeble to blow the usual fuse or to injure at once telegraph or telephone instruments, will in time burn them out.
sneak-cup |One who sneaks from his cups; one who balks his glass. [Obs.] Shak.
sneaker |1. One who sneaks. Lamb. 2. A vessel of drink. [Prov. Eng.] A sneaker of five gallons. Spectator.
sneakiness |The quality of being sneaky.
sneaking |Marked by cowardly concealment; deficient in openness and courage; underhand; mean; crouching. -- Sneak\"ing*ly, adv. -- Sneak\"ing*ness, n.
sneaksby |A paltry fellow; a sneak. [Obs.] \"Such a bashful sneaksby.\" Barrow.
sneaky |Like a sneak; sneaking.
sneap |1. To check; to reprimand; to rebuke; to chide. [Obs.] Bp. Hall. 2. To nip; to blast; to blight. [Obs.] Biron is like an envious, sneaping frost. Shak.\n\nA reprimand; a rebuke. [Obs.] My lord, I will not undergo this sneap without reply. Shak.
sneath |See Snath.
sneathe |See Snath.
sneb |To reprimand; to sneap. [Obs.] \"Scold and sneb the good oak.\" Spenser.
sneck |To fasten by a hatch; to latch, as a door. [Scot. & Prov. Eng.] Sneck up, be silent; shut up; hold your peace. Shak.\n\nA door latch. [Scot. & Prov. Eng.] Sneck band, a latchstring. Burns. -- Sneck drawer, a latch lifter; a bolt drawer; hence, a sly person; a cozener; a cheat; -- called also sneckdraw. -- Sneck drawing, lifting the latch.
snecket |A door latch, or sneck. [Prov. Eng.]
sned |To lop; to snathe. [Prov. Eng.]\n\nSee Snath.
sneed |See Snath.
sneer |1. To show contempt by turning up the nose, or by a particular facial expression. 2. To inssinuate contempt by a covert expression; to speak derisively. I could be content to be a little sneared at. Pope. 3. To show mirth awkwardly. [R.] Tatler. Syn. -- To scoff; gibe; jeer. -- Sneer, Scoff, Jeer. The verb to sneer implies to cast contempt indirectly or by covert expressions. To jeer is stronger, and denotes the use of several sarcastic reflections. To scoff is stronger still, implying the use of insolent mockery and derision. And sneers as learnedly as they, Like females o'er their morning tea. Swift. Midas, exposed to all their jeers, Had lost his art, and kept his ears. Swift. The fop, with learning at defiance, Scoffs at the pedant and science. Gay.\n\n1. To utter with a grimace or contemptuous expression; to utter with a sneer; to say sneeringly; as, to sneer fulsome lies at a person. Congreve. \"A ship of fools,\" he sneered. Tennyson. 2. To treat with sneers; to affect or move by sneers. Nor sneered nor bribed from virtue into shame. Savage.\n\n1. The act of sneering. 2. A smile, grin, or contortion of the face, indicative of contempt; an indirect expression or insinuation of contempt. \"Who can refute a sneer\" Raley.
sneerer |One who sneers.
sneerful |Given to sneering. [Obs.]
sneeringly |In a sneering manner.
sneeze |To emit air, chiefly through the nose, audibly and violently, by a kind of involuntary convulsive force, occasioned by irritation of the inner membrane of the nose. Not to be sneezed at, not to be despised or contemned; not to be treated lightly. [Colloq.] \"He had to do with old women who were not to be sneezed at.\" Prof. Wilson.\n\nA sudden and violent ejection of air with an audible sound, chiefly through the nose.
sneezeweed |A yellow-flowered composite plant (Helenium autumnale) the odor of which is said to cause sneezing.
sneezewood |The wood of a South African tree. See Neishout.
sneezewort |A European herbaceous plant (Achillea Ptarmica) allied to the yarrow, having a strong, pungent smell.
sneezing |The act of violently forcing air out through the nasal passages while the cavity of the mouth is shut off from the pharynx by the approximation of the soft palate and the base of the tongue.
snell |Active; brisk; nimble; quick; sharp. [Archaic or Prov. Eng. & Scot.] That horny-handed, snell, peremptory little man. Dr. J. Brown.\n\nA short line of horsehair, gut, etc., by which a fishhook is attached to a longer line.
snet |The fat of a deer. [Obs. or Prov. Eng.]\n\nThe clear of mucus; to blow. [Obs.] \"Snetting his nose.\" Holland.
snew |To snow; to abound. [Obs.] It snewed in his house of meat and drink. Chaucer.
snib |To check; to sneap; to sneb. [Obs.] Him would he snib sharply for the nones. Chaucer.\n\nA reprimand; a snub. [Obs.] Marston.
snick |1. A small cut or mark. 2. (Cricket)  A slight hit or tip of the ball, often unintentional. 3. (Fiber)  A knot or irregularity in yarn. Knight. 4. (Furriery)  A snip or cut, as in the hair of a beast. Snick and snee Etym: [cf. D. snee, snede, a cut], a combat with knives. [Obs.] Wiseman.\n\n1. To cut slightly; to strike, or strike off, as by cutting. H. Kingsley. 2. (Cricket)  To hit (a ball) lightly. R. A. Proctor.\n\nSee Sneck. [Prov. Eng. & Scot.] Snick up, shut up; silenced. See Sneck up, under Sneck. Give him money, George, and let him go snick up. Beau & Fl.
snicker |1. To laugh slyly; to laugh in one's sleeve. 2. To laugh with audible catches of voice, as when persons attempt to suppress loud laughter.\n\nA half suppressed, broken laugh. [Written also snigger.]
snide |Tricky; deceptive; contemptible; as, a snide lawyer; snide goods. [Slang]
snider |A breech-loading rifle formerly used in the British service; -- so called from the inventor.
snider rifle |A breech-loading rifle formerly used in the British service; -- so called from the inventor.
sniff |To draw air audibly up the nose; to snuff; -- sometimes done as a gesture of suspicion, offense, or contempt. So ye grow squeamish, gods, and sniff at heaven. M. Arnold.\n\n1. To draw in with the breath through the nose; as, to sniff the air of the country. 2. To perceive as by sniffing; to snuff, to scent; to smell; as, to sniff danger.\n\nThe act of sniffing; perception by sniffing; that which is taken by sniffing; as, a sniff of air.
sniffing |A rapid inspiratory act, in which the mouth is kept shut and the air drawn in through the nose.
sniffle |To snuffle, as one does with a catarrh. [Prov. Eng.]
snift |1. To snort. [Obs.] \"Resentment expressed by snifting.\" Johnson. 2. To sniff; to snuff; to smell. It now appears that they were still snifing and hankering after their old quarters. Landor.\n\n1. A moment. [Prov. Eng.] Halliwell. 2. Slight snow; sleet. [Prov. Eng.] Halliwell.
snifting |from Snift. Snifting valve, a small valve opening into the atmosphere from the cylinder or condenser of a steam engine, to allow the escape of air when the piston makes a stroke; -- so called from the noise made by its action.
snig |To chop off; to cut. [Prov. Eng.]\n\nTo sneak. [Prov. Eng.]\n\nA small eel. [Prov. Eng.]
snigg |A small eel. [Prov. Eng.]
snigger |See Snicker. Thackeray.\n\nSee Snicker. Dickens.
sniggle |To fish for eels by thrusting the baited hook into their holes or hiding places. Walton.\n\nTo catch, as an eel, by sniggling; hence, to hook; to insnare. Beau & Fl.
snip |To cut off the nip or neb of, or to cut off at once with shears or scissors; to clip off suddenly; to nip; hence, to break off; to snatch away. Curbed and snipped in my younger years by fear of my parents from those vicious excrescences to which that age was subject. Fuller. The captain seldom ordered anything out of the ship's stores . . . but I snipped some of it for my own share. De Foe.\n\n1. A single cut, as with shears or scissors; a clip. Shak. 2. A small shred; a bit cut off. Wiseman. 3. A share; a snack. [Obs.] L'Estrange 4. A tailor. [Slang] Nares. C. Kingsley. 5. Small hand shears for cutting sheet metal.
snip-snap |A tart dialogue with quick replies. [R.] Pope.\n\nQuick; short; sharp; smart. Shak.
snipe |1. (Zoöl.)  Any one of numerous species of limicoline game birds of the family Scolopacidæ, having a long, slender, nearly straight beak. Note: The common, or whole, snipe (Gallinago coelestis) and the great, or double, snipe (G. major), are the most important European species. The Wilson's snipe (G. delicata) (sometimes erroneously called English snipe) and the gray snipe, or dowitcher (Macrohamphus griseus), are well-known American species. 2. A fool; a blockhead. [R.] Shak. Half snipe, the dunlin; the jacksnipe. -- Jack snipe. See Jacksnipe. -- Quail snipe. See under Quail. -- Robin snipe, the knot. -- Sea snipe. See in the Vocabulary. -- Shore snipe, any sandpiper. -- Snipe hawk, the marsh harrier. [Prov. Eng.] -- Stone snipe, the tattler. -- Summer snipe, the dunlin; the green and the common European sandpipers. -- Winter snipe. See Rock snipe, under Rock. -- Woodcock snipe, the great snipe.
snipebill |1. A plane for cutting deep grooves in moldings. 2. A bolt by which the body of a cart is fastened to the axle. [Local, U.S.]
snipefish |(a) The bellows fish. (b) A long, slender deep-sea fish (Nemichthys scolopaceus) with a slender beak.
snippack |The common snipe. [Prov. Eng.]
snipper |One who snips.
snipper-snaper |A small, insignificant fellow. [Colloq.]
snippet |A small part or piece. To be cut into snippets and shreds. F. Harrison.
snippety |Ridiculously small; petty. \"Snippety facts.\" London Spectator.
snipy |Like a snipe.
snite |A snipe. [Obs. or Scot.] Carew.\n\nTo blow, as the nose; to snuff, as a candle. [Obs. or Scot.]
snithe |Sharp; piercing; cutting; -- applied to the wind. [Prov. Eng.]
snithy |Sharp; piercing; cutting; -- applied to the wind. [Prov. Eng.]
snivel |1. To run at the nose; to make a snuffling noise. 2. To cry or whine with snuffling, as children; to cry weakly or whiningly. Put stop to thy sniveling ditty. Sir W. Scott.\n\nMucus from the nose; snot.
sniveler |One who snivels, esp. one who snivels habitually.
snively |Running at the nose; sniveling pitiful; whining.
snob |1. A vulgar person who affects to be better, richer, or more fashionable, than he really is; a vulgar upstart; one who apes his superiors. Thackeray. Essentially vulgar, a snob. -- a gilded snob, but none the less a snob. R. G. White. 2. (Eng. Univ.)  A townsman. [Canf] 3. A journeyman shoemaker. [Prov. Eng.] Halliwell. 4. A workman who accepts lower than the usual wages, or who refuses to strike when his fellows do; a rat; a knobstick. Those who work for lower wages during a strike are called snobs, the men who stand out being \"nobs\" De Quincey.
snobbery |The quality of being snobbish; snobbishness.
