debarrass |To disembarrass; to relieve. [R.]
decision |1. Cutting off; division; detachment of a part. [Obs.] Bp. Pearson. 2. The act of deciding; act of settling or terminating, as a controversy, by giving judgment on the matter at issue; determination, as of a question or doubt; settlement; conclusion. The decision of some dispute. Atterbury. 3. An account or report of a conclusion, especially of a legal adjudication or judicial determination of a question or cause; as, a decision of arbitrators; a decision of the Supreme Court. 4. The quality of being decided; prompt and fixed determination; unwavering firmness; as, to manifest great decision. Syn. -- Decision, Determination, Resolution. Each of these words has two meanings, one implying the act of deciding, determining, or resolving; and the other a habit of mind as to doing. It is in the last sense that the words are here compared. Decision is a cutting short. It implies that several courses of action have been presented to the mind, and that the choice is now finally made. It supposes, therefore, a union of promptitude and energy. Determination is the natural consequence of decision. It is the settling of a thing with a fixed purpose to adhere. Resolution is the necessary result in a mind which is characterized by firmness. It is a spirit which scatters (resolves) all doubt, and is ready to face danger or suffering in carrying out one's determinations. Martin Luther was equally distinguished for his prompt decision, his steadfast determination, and his inflexible resolution.
decisive |1. Having the power or quality of deciding a question or controversy; putting an end to contest or controversy; final; conclusive. \"A decisive, irrevocable doom.\" Bates. \"Decisive campaign.\" Macaulay. \"Decisive proof.\" Hallam. 2. Marked by promptness and decision. A noble instance of this attribute of the decisive character. J. Foster. Syn. -- Decided; positive; conclusive. See Decided. -- De*ci\"sive*ly, adv. -- De*ci\"sive*ness, n.
decisory |Able to decide or determine; having a tendency to decide. [R.]
decistere |The tenth part of the stere or cubic meter, equal to 3.531 cubic feet. See Stere.
decitizenize |To deprive of the rights of citizenship. [R.] We have no law -- as the French have -- to decitizenize a citizen. Edw. Bates.
decivilize |To reduce from civilization to a savage state. [R.] Blackwood's Mag.
deck |1. To cover; to overspread. To deck with clouds the uncolored sky. Milton. 2. To dress, as the person; to clothe; especially, to clothe with more than ordinary elegance; to array; to adorn; to embellish. Deck thyself now with majesty and excellency. Job xl. 10. And deck my body in gay ornaments. Shak. The dew with spangles decked the ground. Dryden. 3. To furnish with a deck, as a vessel.\n\n1. The floorlike covering of the horizontal sections, or compartments, of a ship. Small vessels have only one deck; larger ships have two or three decks. Note: The following are the more common names of the decks of vessels having more than one. Berth deck (Navy), a deck next below the gun deck, where the hammocks of the crew are swung. -- Boiler deck (River Steamers), the deck on which the boilers are placed. -- Flush deck, any continuous, unbroken deck from stem to stern. -- Gun deck (Navy), a deck below the spar deck, on which the ship's guns are carried. If there are two gun decks, the upper one is called the main deck, the lower, the lower gun deck; if there are three, one is called the middle gun deck. -- Half-deck, that portion of the deck next below the spar deck which is between the mainmast and the cabin. -- Hurricane deck (River Steamers, etc.), the upper deck, usually a light deck, erected above the frame of the hull. -- Orlop deck, the deck or part of a deck where the cables are stowed, usually below the water line. -- Poop deck, the deck forming the roof of a poop or poop cabin, built on the upper deck and extending from the mizzenmast aft. -- Quarter-deck, the part of the upper deck abaft the mainmast, including the poop deck when there is one. -- Spar deck. (a) Same as the upper deck. (b) Sometimes a light deck fitted over the upper deck. -- Upper deck, the highest deck of the hull, extending from stem to stern. 2. (arch.)  The upper part or top of a mansard roof or curb roof when made nearly flat. 3. (Railroad)  The roof of a passenger car. 4. A pack or set of playing cards. The king was slyly fingered from the deck. Shak. 5. A heap or store. [Obs.] Who . . . hath such trinkets Ready in the deck. Massinger. Between decks. See under Between. -- Deck bridge (Railroad Engineering), a bridge which carries the track upon the upper chords; -- distinguished from a through bridge, which carries the track upon the lower chords, between the girders. -- Deck curb (Arch.), a curb supporting a deck in roof construction. -- Deck floor (Arch.), a floor which serves also as a roof, as of a belfry or balcony. -- Deck hand, a sailor hired to help on the vessel's deck, but not expected to go aloft. -- Deck molding (Arch.), the molded finish of the edge of a deck, making the junction with the lower slope of the roof. -- Deck roof (Arch.), a nearly flat roof which is not surmounted by parapet walls. -- Deck transom (Shipbuilding), the transom into which the deck is framed. -- To clear the decks (Naut.), to remove every unnecessary incumbrance in preparation for battle; to prepare for action. -- To sweep the deck (Card Playing), to clear off all the stakes on the table by winning them.
deckel |Same as Deckle.
decker |1. One who, or that which, decks or adorns; a coverer; as, a table decker. 2. A vessel which has a deck or decks; -- used esp. in composition; as, a single-decker; a three-decker.
deckle |A separate thin wooden frame used to form the border of a hand mold, or a curb of India rubber or other material which rests on, and forms the edge of, the mold in a paper machine and determines the width of the paper. [Spelt also deckel, and deckle.]
deckle edge |The rough, untrimmed edge of paper left by the deckle; also, a rough edge in imitation of this.
deckle-edged |Having a deckle edge; as, deckle-edged paper; a deckle-edged book.
declaim |1. To speak rhetorically; to make a formal speech or oration; to harangue; specifically, to recite a speech, poem, etc., in public as a rhetorical exercise; to practice public speaking; as, the students declaim twice a week. 2. To speak for rhetorical display; to speak pompously, noisily, or theatrically; to make an empty speech; to rehearse trite arguments in debate; to rant. Grenville seized the opportunity to declaim on the repeal of the stamp act. Bancroft.\n\n1. To utter in public; to deliver in a rhetorical or set manner. 2. To defend by declamation; to advocate loudly. [Obs.] \"Declaims his cause.\" South.
declaimant |A declaimer. [R.]
declaimer |One who declaims; an haranguer.
declamation |1. The act or art of declaiming; rhetorical delivery; haranguing; loud speaking in public; especially, the public recitation of speeches as an exercise in schools and colleges; as, the practice declamation by students. The public listened with little emotion, but with much civility, to five acts of monotonous declamation. Macaulay. 2. A set or harangue; declamatory discourse. 3. Pretentious rhetorical display, with more sound than sense; as, mere declamation.
declamator |A declaimer. [R.] Sir T. Elyot.
declamatory |1. Pertaining to declamation; treated in the manner of a rhetorician; as, a declamatory theme. 2. Characterized by rhetorical display; pretentiously rhetorical; without solid sense or argument; bombastic; noisy; as, a declamatory way or style.
declarable |Capable of being declared. Sir T. Browne.
declarant |One who declares. Abbott.
declaration |1. The act of declaring, or publicly announcing; explicit asserting; undisguised token of a ground or side taken on any subject; proclamation; exposition; as, the declaration of an opinion; a declaration of war, etc. 2. That which is declared or proclaimed; announcement; distinct statement; formal expression; avowal. Declarations of mercy and love . . . in the Gospel. Tillotson. 3. The document or instrument containing such statement or proclamation; as, the Declaration of Independence (now preserved in Washington). In 1776 the Americans laid before Europe that noble Declaration, which ought to be hung up in the nursery of every king, and blazoned on the porch of every royal palace. Buckle. 4. (Law)  That part of the process in which the plaintiff sets forth in order and at large his cause of complaint; the narration of the plaintiff's case containing the count, or counts. See Count, n., 3. Declaration of Independence. (Amer. Hist.) See under Independence. -- Declaration of rights. (Eng. Hist) See Bill of rights, under Bill. -- Declaration of trust (Law), a paper subscribed by a grantee of property, acknowledging that he holds it in trust for the purposes and upon the terms set forth. Abbott.
declarative |Making declaration, proclamation, or publication; explanatory; assertive; declaratory. \"Declarative laws.\" Baker. The \"vox populi,\" so declarative on the same side. Swift.
declaratively |By distinct assertion; not impliedly; in the form of a declaration. The priest shall expiate it, that is, declaratively. Bates.
declarator |A form of action by which some right or interest is sought to be judicially declared.
declaratorily |In a declaratory manner.
declaratory |Making declaration, explanation, or exhibition; making clear or manifest; affirmative; expressive; as, a clause declaratory of the will of the legislature. Declaratory act (Law), an act or statute which sets forth more clearly, and declares what is, the existing law.
declare |1. To make clear; to free from obscurity. [Obs.] \"To declare this a little.\" Boyle. 2. To make known by language; to communicate or manifest explicitly and plainly in any way; to exhibit; to publish; to proclaim; to announce. This day I have begot whom I declare My only Son. Milton. The heavens declare the glory of God. Ps. xix. 1. 3. To make declaration of; to assert; to affirm; to set forth; to avow; as, he declares the story to be false. I the Lord . . . declare things that are right. Isa. xlv. 19. 4. (Com.)  To make full statement of, as goods, etc., for the purpose of paying taxes, duties, etc. To declare off, to recede from an agreement, undertaking, contract, etc.; to renounce. -- To declare one's self, to avow one's opinion; to show openly what one thinks, or which side he espouses.\n\n1. To make a declaration, or an open and explicit avowal; to proclaim one's self; -- often with for or against; as, victory declares against the allies. Like fawning courtiers, for success they wait, And then come smiling, and declare for fate. Dryden. 2. (Law)  To state the plaintiff's cause of action at law in a legal form; as, the plaintiff declares in trespass.
declaredly |Avowedly; explicitly.
declaredness |The state of being declared.
declarement |Declaration. [Obs.]
declarer |One who makes known or proclaims; that which exhibits. Udall.
declass |To remove from a class; to separate or degrade from one's class.  North Am. Rev.
declension |1. The act or the state of declining; declination; descent; slope. The declension of the land from that place to the sea. T. Burnet. 2. A falling off towards a worse state; a downward tendency; deterioration; decay; as, the declension of virtue, of science, of a state, etc. Seduced the pitch and height of all his thoughts To base declension. Shak. 3. Act of courteously refusing; act of declining; a declinature; refusal; as, the declension of a nomination. 4. (Gram.) (a) Inflection of nouns, adjectives, etc., according to the grammatical cases. (b) The form of the inflection of a word declined by cases; as, the first or the second declension of nouns, adjectives, etc. (c) Rehearsing a word as declined. Note: The nominative was held to be the primary and original form, and was likened to a perpendicular line; the variations, or oblique cases, were regarded as fallings (hence called casus, cases, or fallings) from the nominative or perpendicular; and an enumerating of the various forms, being a sort of progressive descent from the noun's upright form, was called a declension. Harris. Declension of the needle, declination of the needle.
declensional |Belonging to declension. Declensional and syntactical forms. M. Arnold.
declinable |Capable of being declined; admitting of declension or inflection; as, declinable parts of speech.
declinal |Declining; sloping.
declinate |Bent downward or aside; (Bot.) bending downward in a curve; declined.
declination |1. The act or state of bending downward; inclination; as, declination of the head. 2. The act or state of falling off or declining from excellence or perfection; deterioration; decay; decline. \"The declination of monarchy.\" Bacon. Summer . . . is not looked on as a time Of declination or decay. Waller. 3. The act of deviating or turning aside; oblique motion; obliquity; withdrawal. The declination of atoms in their descent. Bentley. Every declination and violation of the rules. South. 4. The act or state of declining or refusing; withdrawal; refusal; averseness. The queen's declination from marriage. Stow. 5. (Astron.)  The angular distance of any object from the celestial equator, either northward or southward. 6. (Dialing)  The arc of the horizon, contained between the vertical plane and the prime vertical circle, if reckoned from the east or west, or between the meridian and the plane, reckoned from the north or south. 7. (Gram.)  The act of inflecting a word; declension. See Decline, v. t., 4. Angle of declination, the angle made by a descending line, or plane, with a horizontal plane. -- Circle of declination, a circle parallel to the celestial equator. -- Declination compass (Physics), a compass arranged for finding the declination of the magnetic needle. -- Declination of the compass or needle, the horizontal angle which the magnetic needle makes with the true north-and-south line.
declinator |1. An instrument for taking the declination or angle which a plane makes with the horizontal plane. 2. A dissentient. [R.] Bp. Hacket.
declinatory |Containing or involving a declination or refusal, as of submission to a charge or sentence. Blackstone. Declinatory plea (O. Eng. Law), the plea of sanctuary or of benefit of clergy, before trial or conviction; -- now abolished.
declinature |The act of declining or refusing; as, the declinature of an office.
decline |1. To bend, or lean downward; to take a downward direction; to bend over or hang down, as from weakness, weariness, despondency, etc.; to condescend. \"With declining head.\" Shak. He . . . would decline even to the lowest of his family. Lady Hutchinson. Disdaining to decline, Slowly he falls, amidst triumphant cries. Byron. The ground at length became broken and declined rapidly. Sir W. Scott. 2. To tend or draw towards a close, decay, or extinction; to tend to a less perfect state; to become diminished or impaired; to fail; to sink; to diminish; to lessen; as, the day declines; virtue declines; religion declines; business declines. That empire must decline Whose chief support and sinews are of coin. Waller. And presume to know . . . Who thrives, and who declines. Shak. 3. To turn or bend aside; to deviate; to stray; to withdraw; as, a line that declines from straightness; conduct that declines from sound morals. Yet do I not decline from thy testimonies. Ps. cxix. 157. 4. To turn away; to shun; to refuse; -- the opposite of accept or consent; as, he declined, upon principle.\n\n1. To bend downward; to bring down; to depress; to cause to bend, or fall. In melancholy deep, with head declined. Thomson. And now fair Phoebus gan decline in haste His weary wagon to the western vale. Spenser. 2. To cause to decrease or diminish. [Obs.] \"You have declined his means.\" Beau. & Fl. He knoweth his error, but will not seek to decline it. Burton. 3. To put or turn aside; to turn off or away from; to refuse to undertake or comply with; reject; to shun; to avoid; as, to decline an offer; to decline a contest; he declined any participation with them. Could I Decline this dreadful hour Massinger. 4. (Gram.)  To inflect, or rehearse in order the changes of grammatical form of; as, to decline a noun or an adjective. Note: Now restricted to such words as have case inflections; but formerly it was applied both to declension and conjugation. After the first declining of a noun and a verb. Ascham. 5. To run through from first to last; to repeat like a schoolboy declining a noun. [R.] Shak.\n\n1. A falling off; a tendency to a worse state; diminution or decay; deterioration; also, the period when a thing is tending toward extinction or a less perfect state; as, the decline of life; the decline of strength; the decline of virtue and religion. Their fathers lived in the decline of literature. Swift. 2. (Med.)  That period of a disorder or paroxysm when the symptoms begin to abate in violence; as, the decline of a fever. 3. A gradual sinking and wasting away of the physical faculties; any wasting disease, esp. pulmonary consumption; as, to die of a decline. Dunglison. Syn. -- Decline, Decay, Consumption. Decline marks the first stage in a downward progress; decay indicates the second stage, and denotes a tendency to ultimate destruction; consumption marks a steady decay from an internal exhaustion of strength. The health may experience a decline from various causes at any period of life; it is naturally subject to decay with the advance of old age; consumption may take place at almost any period of life, from disease which wears out the constitution. In popular language decline is often used as synonymous with consumption. By a gradual decline, states and communities lose their strength and vigor; by progressive decay, they are stripped of their honor, stability, and greatness; by a consumption of their resources and vital energy, they are led rapidly on to a completion of their existence.
declined |Declinate.
decliner |He who declines or rejects. A studious decliner of honors. Evelyn.
declinometer |An instrument for measuring the declination of the magnetic needle.
declinous |Declinate.
declivitous |Descending gradually; moderately steep; sloping; downhill.
declivity |1. Deviation from a horizontal line; gradual descent of surface; inclination downward; slope; -- opposed to acclivity, or ascent; the same slope, considered as descending, being a declivity, which, considered as ascending, is an acclivity. 2. A descending surface; a sloping place. Commodious declivities and channels for the passage of the waters. Derham.
declivous |Descending gradually; moderately steep; sloping; downhill.
decoct |1. To prepare by boiling; to digest in hot or boiling water; to extract the strength or flavor of by boiling; to make an infusion of. 2. To prepare by the heat of the stomach for assimilation; to digest; to concoct. 3. To warm, strengthen, or invigorate, as if by boiling. [R.] \"Decoct their cold blood.\" Shak.
decoctible |Capable of being boiled or digested.
decoction |1. The act or process of boiling anything in a watery fluid to extract its virtues. In decoction . . . it either purgeth at the top or settleth at the bottom. Bacon. 2. An extract got from a body by boiling it in water. If the plant be boiled in water, the strained liquor is called the decoction of the plant. Arbuthnot. In pharmacy decoction is opposed to infusion, where there is merely steeping. Latham.
decocture |A decoction. [R.]
decoherer |A device for restoring a coherer to its normal condition after it has been affected by an electric wave, a process usually accomplished by some method of tapping or shaking, or by rotation of the coherer.
decollate |To sever from the neck; to behead; to decapitate. The decollated head of St. John the Baptist. Burke.
decollated |Decapitated; worn or cast off in the process of growth, as the apex of certain univalve shells.
decollation |1. The act of beheading or state of one beheaded; -- especially used of the execution of St. John the Baptist. 2. A painting representing the beheading of a saint or martyr, esp. of St. John the Baptist.
decolletage |The upper border or part of a décolleté corsage.
decollete |Leaving the neck and shoulders uncovered; cut low in the neck, or low-necked, as a dress.
decolling |Beheading. [R.] By a speedy dethroning and decolling of the king. Parliamentary History (1648).
decolor |To deprive of color; to bleach.
decolorant |A substance which removes color, or bleaches.
decolorate |Deprived of color.\n\nTo decolor.
decoloration |The removal or absence of color. Ferrand.
decolorize |To deprive of color; to whiten. Turner. -- De*col`or*i*za\"tion, n.
decomplex |Repeatedly compound; made up of complex constituents.
decomposable |Capable of being resolved into constituent elements.
decompose |To separate the constituent parts of; to resolve into original elements; to set free from previously existing forms of chemical combination; to bring to dissolution; to rot or decay.\n\nTo become resolved or returned from existing combinations; to undergo dissolution; to decay; to rot.
decomposed |Separated or broken up; -- said of the crest of birds when the feathers are divergent.
decomposite |1. Compounded more than once; compounded with things already composite. 2. (Bot.)  See Decompound, a., 2.\n\nAnything decompounded. Decomposites of three metals or more. Bacon.
decomposition |1. The act or process of resolving the constituent parts of a compound body or substance into its elementary parts; separation into constituent part; analysis; the decay or dissolution consequent on the removal or alteration of some of the ingredients of a compound; disintegration; as, the decomposition of wood, rocks, etc. 2. The state of being reduced into original elements. 3. Repeated composition; a combination of compounds. [Obs.] Decomposition of forces. Same as Resolution of forces, under Resolution. -- Decomposition of light, the division of light into the prismatic colors.
decompound |1. To compound or mix with that is already compound; to compound a second time. 2. To reduce to constituent parts; to decompose. It divides and decompounds objects into . . . parts. Hazlitt.\n\n1. Compound of what is already compounded; compounded a second time. 2. (Bot.)  Several times compounded or divided, as a leaf or stem; decomposite.\n\nA decomposite.
decompoundable |Capable of being decompounded.
deconcentrate |To withdraw from concentration; to decentralize. [R.]
deconcentration |Act of deconcentrating. [R.]
deconcoct |To decompose. [R.] Fuller.
deconsecrate |To deprive of sacredness; to secularize. -- De*con`se*cra\"tion, n.
decorament |Ornament. [Obs.] Bailey.
decorate |To deck with that which is becoming, ornamental, or honorary; to adorn; to beautify; to embellish; as, to decorate the person; to decorate an edifice; to decorate a lawn with flowers; to decorate the mind with moral beauties; to decorate a hero with honors. Her fat neck was ornamented with jewels, rich bracelets decorated her arms. Thackeray. Syn. -- To adorn; embellish; ornament; beautify; grace. See Adorn. Decorated style (Arch.), a name given by some writers to the perfected English Gothic architecture; it may be considered as having flourished from about a. d. 1300 to a. d. 1375.
decoration |1. The act of adorning, embellishing, or honoring; ornamentation. 2. That which adorns, enriches, or beautifies; something added by way of embellishment; ornament. The hall was celebrated for . . . the richness of its decoration. Motley. 3. Specifically, any mark of honor to be worn upon the person, as a medal, cross, or ribbon of an order of knighthood, bestowed for services in war, great achievements in literature, art, etc. Decoration Day, a day, May 30, appointed for decorating with flowers the graves of the Union soldiers and sailors, who fell in the Civil War in the United States; Memorial Day. [U.S.]
decoration day |= Memorial Day. [U. S.]
decorative |Suited to decorate or embellish; adorning. -- Dec\"o*ra*tive*ness, n. Decorative art, fine art which has for its end ornamentation, rather than the representation of objects or events.
decorator |One who decorates, adorns, or embellishes; specifically, an artisan whose business is the decoration of houses, esp. their interior decoration.
decore |To decorate; to beautify. [Obs.] To decore and beautify the house of God. E. Hall.
decorement |Ornament. [Obs.]
decorous |Suitable to a character, or to the time, place, and occasion; marked with decorum; becoming; proper; seemly; befitting; as, a decorous speech; decorous behavior; a decorous dress for a judge. A decorous pretext the war. Motley. -- De*co\"rous*ly, adv. -- De*co\"rous*ness, n.
decorticate |To divest of the bark, husk, or exterior coating; to husk; to peel; to hull. \"Great barley dried and decorticated.\" Arbuthnot.
decortication |The act of stripping off the bark, rind, hull, or outer coat.
decorticator |A machine for decorticating wood, hulling grain, etc.; also, an instrument for removing surplus bark or moss from fruit trees.
decorum |Propriety of manner or conduct; grace arising from suitableness of speech and behavior to one's own character, or to the place and occasion; decency of conduct; seemliness; that which is seemly or suitable. Negligent of the duties and decorums of his station. Hallam. If your master Would have a queen his beggar, you must tell him, That majesty, to keep decorum, must No less beg than a kingdom. Shak. Syn. -- Decorum, Dignity. Decorum, in accordance with its etymology, is that which is becoming in outward act or appearance; as, the decorum of a public assembly. Dignity springs from an inward elevation of soul producing a corresponding effect on the manners; as, dignity of personal appearance.
decoy |To lead into danger by artifice; to lure into a net or snare; to entrap; to insnare; to allure; to entice; as, to decoy troops into an ambush; to decoy ducks into a net. Did to a lonely cot his steps decoy. Thomson. E'en while fashion's brightest arts decoy, The heart, distrusting, asks if this be joy. Goldsmith. Syn. -- To entice; tempt; allure; lure. See Allure.\n\n1. Anything intended to lead into a snare; a lure that deceives and misleads into danger, or into the power of an enemy; a bait. 2. A fowl, or the likeness of one, used by sportsmen to entice other fowl into a net or within shot. 3. A place into which wild fowl, esp. ducks, are enticed in order to take or shoot them. 4. A person employed by officers of justice, or parties exposed to injury, to induce a suspected person to commit an offense under circumstances that will lead to his detection.
decoy-duck |A duck used to lure wild ducks into a decoy; hence, a person employed to lure others into danger. Beau. & Fl.
decoy-man |A man employed in decoying wild fowl.
decoyer |One who decoys another.
decrease |To grow less, -- opposed to increase; to be diminished gradually, in size, degree, number, duration, etc., or in strength, quality, or excellence; as, they days decrease in length from June to December. He must increase, but I must decrease. John iii. 30. Syn. -- To Decrease, Diminish. Things usually decrease or fall off by degrees, and from within, or through some cause which is imperceptible; as, the flood decreases; the cold decreases; their affection has decreased. Things commonly diminish by an influence from without, or one which is apparent; as, the army was diminished by disease; his property is diminishing through extravagance; their affection has diminished since their separation their separation. The turn of thought, however, is often such that these words may be interchanged. The olive leaf, which certainly them told The flood decreased. Drayton. Crete's ample fields diminish to our eye; Before the Boreal blasts the vessels fly. Pope.\n\nTo cause to grow less; to diminish gradually; as, extravagance decreases one's means. That might decrease their present store. Prior.\n\n1. A becoming less; gradual diminution; decay; as, a decrease of revenue or of strength. 2. The wane of the moon. Bacon.
decreaseless |Suffering no decrease. [R.] It [the river] flows and flows, and yet will flow, Volume decreaseless to the final hour. A. Seward.
decreasing |Becoming less and less; diminishing. -- De*creas\"ing*ly, adv. Decreasing series (Math.), a series in which each term is numerically smaller than the preceding term.
decreation |Destruction; -- opposed to creation. [R.] Cudworth.
decree |1. An order from one having authority, deciding what is to be done by a subordinate; also, a determination by one having power, deciding what is to be done or to take place; edict, law; authoritative ru \"The decrees of Venice.\" Sh There went out a decree from Cæsar Augustus that all the world should be taxed. Luke ii. 1. Poor hand, why quiverest thou at this decree Shak. 2. (Law) (a) A decision, order, or sentence, given in a cause by a court of equity or admiralty. (b) A determination or judgment of an umpire on a case submitted to him. Brande. 3. (Eccl.)  An edict or law made by a council for regulating any business within their jurisdiction; as, the decrees of ecclesiastical councils. Syn. -- Law; regulation; edict; ordinance. See Law.\n\n1. To determine judicially by authority, or by decree; to constitute by edict; to appoint by decree or law; to determine; to order; to ordain; as, a court decrees a restoration of property. Thou shalt also decree a thing, and it shall be established unto thee. Job xxii. 28. 2. To ordain by fate.\n\nTo make decrees; -- used absolutely. Father eternal! thine is to decree; Mine, both in heaven and earth to do thy will. Milton.
decreeable |Capable of being decreed.
decreer |One who decrees. J. Goodwin.
decreet |The final judgment of the Court of Session, or of an inferior court, by which the question at issue is decided.
decrement |1. The state of becoming gradually less; decrease; diminution; waste; loss. Twit me with the decrements of my pendants. Ford. Rocks, mountains, and the other elevations of the earth suffer a continual decrement. Woodward. 2. The quantity lost by gradual diminution or waste; -- opposed to Ant: increment. 3. (Crystallog.)  A name given by Haüy to the successive diminution of the layers of molecules, applied to the faces of the primitive form, by which he supposed the secondary forms to be produced. 4. (Math.)  The quantity by which a variable is diminished. Equal decrement of life. (a) The decrease of life in a group of persons in which the assumed law of mortality is such that of a given large number of persons, all being now of the same age, an equal number shall die each consecutive year. (b) The decrease of life in a group of persons in which the assumed law of mortality is such that the ratio of those dying in a year to those living through the year is constant, being independent of the age of the persons.
decrepit |Broken down with age; wasted and enfeebled by the infirmities of old age; feeble; worn out. \"Beggary or decrepit age.\" Milton. Already decrepit with premature old age. Motley. Note: Sometimes incorrectly written decrepid.
decrepitate |To roast or calcine so as to cause a crackling noise; as, to decrepitate salt.\n\nTo crackle, as salt in roasting.
decrepitation |The act of decrepitating; a crackling noise, such as salt makes when roasting.
decrepitness |Decrepitude. [R.] Barrow.
decrepitude |The broken state produced by decay and the infirmities of age; infirm old age.
decrescendo |With decreasing volume of sound; -- a direction to performers, either written upon the staff (abbreviated Dec., or Decresc.), or indicated by the sign.
decrescent |Becoming less by gradual diminution; decreasing; as, a decrescent moon.\n\nA crescent with the horns directed towards the sinister. Cussans.
decretal |Appertaining to a decree; containing a decree; as, a decretal epistle. Ayliffe.\n\n1. (R. C. Ch.)  An authoritative order or decree; especially, a letter of the pope, determining some point or question in ecclesiastical law. The decretals form the second part of the canon law. 2. (Canon Law)  The collection of ecclesiastical decrees and decisions made, by order of Gregory IX., in 1234, by St. Raymond of Pennafort.
decrete |A decree. [Obs.] Chaucer.
decretion |A decrease. [Obs.] Pearson.
decretist |One who studies, or professes the knowledge of, the decretals.
decretive |Having the force of a decree; determining. The will of God is either decretive or perceptive. Bates.
decretorial |Decretory; authoritative. Sir T. Browne.
decretorily |In a decretory or definitive manner; by decree.
decretory |1. Established by a decree; definitive; settled. The decretory rigors of a condemning sentence. South. 2. Serving to determine; critical. \"The critical or decretory days.\" Sir T. Browne.
decrew |To decrease. [Obs.] Spenser.
decrial |A crying down; a clamorous censure; condemnation by censure.
decrier |One who decries.
decrown |To deprive of a crown; to discrown. [R.] Hakewill.
decrustation |The removal of a crust.
decry |To cry down; to censure as faulty, mean, or worthless; to clamor against; to blame clamorously; to discredit; to disparage. For small errors they whole plays decry. Dryden. Measures which are extolled by one half of the kingdom are naturally decried by the other. Addison. Syn. -- To Decry, Depreciate, Detract, Disparage. Decry and depreciate refer to the estimation of a thing, the former seeking to lower its value by clamorous censure, the latter by representing it as of little worth. Detract and disparage also refer to merit or value, which the former assails with caviling, insinuation, etc., while the latter willfully underrates and seeks to degrade it. Men decry their rivals and depreciate their measures. The envious detract from the merit of a good action, and disparage the motives of him who performs it.
decubation |Act of lying down; decumbence. [Obs.] Evelyn.
decubitus |An attitude assumed in lying down; as, the dorsal decubitus.
deculassement |An accidental blowing off of, or other serious damage to, the breechblock of a gun; also, a removal of the breechblock for the purpose of disabling the gun.
deculassment |An accidental blowing off of, or other serious damage to, the breechblock of a gun; also, a removal of the breechblock for the purpose of disabling the gun.
decuman |Large; chief; -- applied to an extraordinary billow, supposed by some to be every tenth in order. [R.] Also used substantively. \"Such decuman billows.\" Gauden. \"The baffled decuman.\" Lowell.
decumbence |The act or posture of lying down. The ancient manner of decumbency. Sir T. Browne.
decumbency |The act or posture of lying down. The ancient manner of decumbency. Sir T. Browne.
decumbent |1. Lying down; prostrate; recumbent. The decumbent portraiture of a woman. Ashmole. 2. (Bot.)  Reclining on the ground, as if too weak to stand, and tending to rise at the summit or apex; as, a decumbent stem. Gray.
decumbently |In a decumbent posture.
decumbiture |1. Confinement to a sick bed, or time of taking to one's bed from sickness. Boyle. 2. (Astrol.)  Aspect of the heavens at the time of taking to one's sick bed, by which the prognostics of recovery or death were made.
decuple |Tenfold. [R.]\n\nA number ten times repeated. [R.]\n\nTo make tenfold; to multiply by ten. [R.]
decurion |A head or chief over ten; especially, an officer who commanded a division of ten soldiers.
decurionate |The office of a decurion.
decurrence |The act of running down; a lapse. [R.] Gauden.
decurrent |Extending downward; -- said of a leaf whose base extends downward and forms a wing along the stem. -- De*cur\"rent*ly, adv.
decursion |A flowing; also, a hostile incursion. [Obs.] Sir M. Hale.
decursive |Running down; decurrent.
decursively |In a decursive manner. Decursively pinnate (Bot.), having the leaflets decurrent, or running along the petiole; -- said of a leaf.
decurt |To cut short; to curtail. [Obs.] Bale.
decurtation |Act of cutting short. [Obs.]
decury |A set or squad of ten men under a decurion. Sir W. Raleigh.
decussate |To cross at an acute angle; to cut or divide in the form of X; to intersect; -- said of lines in geometrical figures, rays of light, nerves, etc.\n\n1. Crossed; intersected. 2. (Bot.)  Growing in pairs, each of which is at right angles to the next pair above or below; as, decussated leaves or branches. 3. (Rhet.)  Consisting of two rising and two falling clauses, placed in alternate opposition to each other; as, a decussated period.
decussated |1. Crossed; intersected. 2. (Bot.)  Growing in pairs, each of which is at right angles to the next pair above or below; as, decussated leaves or branches. 3. (Rhet.)  Consisting of two rising and two falling clauses, placed in alternate opposition to each other; as, a decussated period.
decussately |In a decussate manner.
decussation |Act of crossing at an acute angle, or state of being thus crossed; an intersection in the form of an X; as, the decussation of lines, nerves, etc.
decussative |Intersecting at acute angles. Sir T. Browne.
decussatively |Crosswise; in the form of an X. \"Anointed decussatively.\" Sir T. Browne.
decyl |A hydrocarbon radical, C10H21, never existing alone, but regarded as the characteristic constituent of a number of compounds of the paraffin series.
decylic |Allied to, or containing, the radical decyl.
dedalian |See Dædalian.
dedalous |See Dædalous.
dedans |A division, at one end of a tennis court, for spectators.
dede |Dead. [Obs.] Chaucer.
dedecorate |To bring to shame; to disgrace. [Obs.] Bailey.
dedecoration |Disgrace; dishonor. [Obs.] Bailey.
dedecorous |Disgraceful; unbecoming. [R.] Bailey.
dedentition |The shedding of teeth. [R.] Sir T. Browne.
