shewer |One who shews. See Shower.
shirting |Cloth, specifically cotton cloth, suitable for making shirts.
shirtless |Not having or wearing a shirt. Pope. -- Shirt\"less*ness, n.
shist |See Shist, Schistose.
shistose |See Shist, Schistose.
shittah |A tree that furnished the precious wood of which the ark, tables, altars, boards, etc., of the Jewish tabernacle were made; -- now believed to have been the wood of the Acacia Seyal, which is hard, fine grained, and yellowish brown in color.
shittah tree |A tree that furnished the precious wood of which the ark, tables, altars, boards, etc., of the Jewish tabernacle were made; -- now believed to have been the wood of the Acacia Seyal, which is hard, fine grained, and yellowish brown in color.
shittim |The wood of the shittah tree.
shittim wood |The wood of the shittah tree.
shittle |A shuttle. [Obs.] Chapman.\n\nWavering; unsettled; inconstant. [Obs.] Holland.
shittlecock |A shuttlecock. [Obs.]
shittleness |Instability; inconstancy. [Obs.] The vain shittlenesse of an unconstant head. Baret.
shive |1. A slice; as, a shive of bread. [Obs. or Prov. Eng.] Shak. 2. A thin piece or fragment; specifically, one of the scales or pieces of the woody part of flax removed by the operation of breaking. 3. A thin, flat cork used for stopping a wide-mouthed bottle; also, a thin wooden bung for casks.
shiver |1. One of the small pieces, or splinters, into which a brittle thing is broken by sudden violence; -- generally used in the plural. \"All to shivers dashed.\" Milton. 2. A thin slice; a shive. [Obs. or Prov. Eng.] \"A shiver of their own loaf.\" Fuller. Of your soft bread, not but a shiver. Chaucer. 3. (Geol.)  A variety of blue slate. 4. (Naut.)  A sheave or small wheel in a pulley. 5. A small wedge, as for fastening the bolt of a window shutter. 6. A spindle. [Obs. or Prov. Eng.]\n\nTo break into many small pieces, or splinters; to shatter; to dash to pieces by a blow; as, to shiver a glass goblet. All the ground With shivered armor strown. Milton.\n\nTo separate suddenly into many small pieces or parts; to be shattered. There shiver shafts upon shields thick. Chaucer The natural world, should gravity once cease, . . . would instantly shiver into millions of atoms. Woodward.\n\nTo tremble; to vibrate; to quiver; to shake, as from cold or fear. Prometheus is laid On icy Caucasus to shiver. Swift. The man that shivered on the brink of sin, Thus steeled and hardened, ventures boldly in. Creech.\n\nTo cause to shake or tremble, as a sail, by steering close to the wind.\n\nThe act of shivering or trembling.
shiver-spar |A variety of calcite, so called from its slaty structure; -- called also slate spar.
shiveringly |In a shivering manner.
shivery |1. Tremulous; shivering. Mallet. 2. Easily broken; brittle; shattery.
shizoku |The Japanese warrior gentry or middle class, formerly called samurai; also, any member of this class.
shoad |A train of vein material mixed with rubbish; fragments of ore which have become separated by the action of water or the weather, and serve to direct in the discovery of mines. [Written also shode.]
shoading |The tracing of veins of metal by shoads. [Written also shoding.] Pryce.
shoal |A great multitude assembled; a crowd; a throng; -- said especially of fish; as, a shoal of bass. \"Great shoals of people.\" Bacon. Beneath, a shoal of silver fishes glides. Waller.\n\nTo assemble in a multitude; to throng; as, the fishes shoaled about the place. Chapman.\n\nHaving little depth; shallow; as, shoal water.\n\n1. A place where the water of a sea, lake, river, pond, etc., is shallow; a shallow. The depth of your pond should be six feet; and on the sides some shoals for the fish to lay their span. Mortimer. Wolsey, that once trod the ways of glory, And sounded all the depths and shoals of honor. Shak. 2. A sandbank or bar which makes the water shoal. The god himself with ready trident stands, And opes the deep, and spreads the moving sands, Then heaves them off the shoals. Dryden.\n\nTo become shallow; as, the color of the water shows where it shoals.\n\nTo cause to become more shallow; to come to a more shallow part of; as, a ship shoals her water by advancing into that which is less deep. Marryat.
shoaliness |The quality or state of being shoaly; little depth of water; shallowness.
shoaling |Becoming shallow gradually. \"A shoaling estuary.\" Lyell.
shoaly |Full of shoals, or shallow places. The tossing vessel sailed on shoaly ground. Dryden.
shoar |A prop. See 3d Shore.
shoat |A young hog. Same as Shote.
shock |1. A pile or assemblage of sheaves of grain, as wheat, rye, or the like, set up in a field, the sheaves varying in number from twelve to sixteen; a stook. And cause it on shocks to be by and by set. Tusser. Behind the master walks, builds up the shocks. Thomson. 2. Etym: [G. schock.] (Com.)  A lot consisting of sixty pieces; -- a term applied in some Baltic ports to loose goods.\n\nTo collect, or make up, into a shock or shocks; to stook; as, to shock rye.\n\nTo be occupied with making shocks. Reap well, scatter not, gather clean that is shorn, Bind fast, shock apace. Tusser.\n\n1. A quivering or shaking which is the effect of a blow, collision, or violent impulse; a blow, impact, or collision; a concussion; a sudden violent impulse or onset. These strong, unshaken mounds resist the shocks Of tides and seas tempestuous. Blackmore. He stood the shock of a whole host of foes. Addison. 2. A sudden agitation of the mind or feelings; a sensation of pleasure or pain caused by something unexpected or overpowering; also, a sudden agitating or overpowering event. \"A shock of pleasure.\" Talfourd. 3. (Med.)  A sudden depression of the vital forces of the entire body, or of a port of it, marking some profound impression produced upon the nervous system, as by severe injury, overpowering emotion, or the like. 4. (Elec.)  The sudden convulsion or contraction of the muscles, with the feeling of a concussion, caused by the discharge, through the animal system, of electricity from a charged body. Syn. -- Concussion, Shock. Both words signify a sudden violent shaking caused by impact or colision; but concussion is restricted in use to matter, while shock is used also of mental states.\n\n1. To give a shock to; to cause to shake or waver; hence, to strike against suddenly; to encounter with violence. Come the three corners of the world in arms, And we shall shock them. Shak. A shall never forget the force with which he shocked De Vipont. Sir W. Scott. 2. To strike with surprise, terror, horror, or disgust; to cause to recoil; as, his violence shocked his associates. Advise him not to shock a father's will. Dryden.\n\nTo meet with a shock; to meet in violent encounter. \"They saw the moment approach when the two parties would shock together.\" De Quincey.\n\n1. (Zoöl.)  A dog with long hair or shag; -- called also shockdog. 2. A thick mass of bushy hair; as, a head covered with a shock of sandy hair.\n\nBushy; shaggy; as, a shock hair. His red shock peruke . . . was laid aside. Sir W. Scott.
shock-head |Shock-headed. Tennyson.
shock-headed |Having a thick and bushy head of hair.
shockdog |See 7th Shock, 1.
shocking |Causing to shake or tremble, as by a blow; especially, causing to recoil with horror or disgust; extremely offensive or disgusting. The grossest and most shocking villainies. Secker. -- Shock\"ing*ly, adv. -- Shock\"ing*ness, n.
shod |f Shoe.
shoddy |1. A fibrous material obtained by \"deviling,\" or tearing into fibers, refuse woolen goods, old stockings, rags, druggets, etc. See Mungo. 2. A fabric of inferior quality made of, or containing a large amount of, shoddy. Note: The great quantity of shoddy goods furnished as army supplies in the late Civil War in the United States gave wide currency to the word, and it came to be applied to persons who pretend to a higher position in society than that to which their breeding or worth entitles them.\n\nMade wholly or in part of shoddy; containing shoddy; as, shoddy cloth; shoddy blankets; hence, colloquially, not genuine; sham; pretentious; as, shoddy aristocracy. Shoddy inventions designed to bolster up a factitious pride. Compton Reade.
shoddy fever |A febrile disease characterized by dyspnoa and bronchitis caused by inhaling dust.
shoddyism |The quality or state of being shoddy. [Colloq.] See the Note under Shoddy, n.
shode |1. The parting of the hair on the head. [Obs.] Full straight and even lay his jolly shode. Chaucer. 2. The top of the head; the head. [Obs.] Chaucer.\n\nSee Shoad, Shoading.
shoder |A package of gold beater's skins in which gold is subjected to the second process of beating.
shoding |See Shoad, Shoading.
shoe |1. A covering for the human foot, usually made of leather, having a thick and somewhat stiff sole and a lighter top. It differs from a boot on not extending so far up the leg. Your hose should be ungartered, . . . yourshoe untied. Shak. Spare none but such as go in clouted shoon. Shak. 2. Anything resembling a shoe in form, position, or use. Specifically: (a) A plate or rim of iron nailed to the hoof of an animal to defend it from injury. (b) A band of iron or steel, or a ship of wood, fastened to the bottom of the runner of a sleigh, or any vehicle which slides on the snow. (c) A drag, or sliding piece of wood or iron, placed under the wheel of a loaded vehicle, to retard its motion in going down a hill. (d) The part of a railroad car brake which presses upon the wheel to retard its motion. (e) (Arch.) A trough-shaped or spout-shaped member, put at the bottom of the water leader coming from the eaves gutter, so as to throw the water off from the building. (f) (Milling.) The trough or spout for conveying the grain from the hopper to the eye of the millstone. (g) An inclined trough in an ore-crushing mill. (h) An iron socket or plate to take the thrust of a strut or rafter. (i) An iron socket to protect the point of a wooden pile. (j) (Mach.) A plate, or notched piece, interposed between a moving part and the stationary part on which it bears, to take the wear and afford means of adjustment; -- called also slipper, and gib. Note: Shoe is often used adjectively, or in composition; as, shoe buckle, or shoe-buckle; shoe latchet, or shoe-latchet; shoe leathet, or shoe-leather; shoe string, shoe-string, or shoestring. Shoe of an anchor. (Naut.) (a) A small block of wood, convex on the back, with a hole to receive the point of the anchor fluke, -- used to prevent the anchor from tearing the planks of the vessel when raised or lowered. (b) A broad, triangular piece of plank placed upon the fluke to give it a better hold in soft ground. -- Shoe block (Naut.), a block with two sheaves, one above the other, and at right angles to each other. -- Shoe bolt, a bolt with a flaring head, for fastening shoes on sleigh runners. -- Shoe pac, a kind of moccasin. See Pac. -- Shoe stone, a sharpening stone used by shoemakers and other workers in leather.\n\n1. To furnish with a shoe or shoes; to put a shoe or shoes on; as, to shoe a horse, a sled, an anchor. 2. To protect or ornament with something which serves the purpose of a shoe; to tip. The sharp and small end of the billiard stick, which is shod with brass or silver. Evelyn.
shoebill |A large African wading bird (Balæniceps rex) allied to the storks and herons, and remarkable for its enormous broad swollen bill. It inhabits the valley of the White Nile. See Illust. (l.) of Beak.
shoeblack |One who polishes shoes.
shoefly |1. (Railroading) A contrivance for throwing the track temporarily to one side for  convenience in filling washouts or effecting other repairs. [Cant, U. S.] 2.  (Print.) In some cylinder presses, a device with long fingers for freeing the sheet from the cylinder.
shoehorn |1. A curved piece of polished horn, wood, or metal used to facilitate the entrance of the foot into a shoe. 2. Figuratively: (a) Anything by which a transaction is facilitated; a medium; -- by way of contempt. Spectator. (b) Anything which draws on or allures; an inducement. [Low] Beau & Fl.
shoeing-horn |1. A curved piece of polished horn, wood, or metal used to facilitate the entrance of the foot into a shoe. 2. Figuratively: (a) Anything by which a transaction is facilitated; a medium; -- by way of contempt. Spectator. (b) Anything which draws on or allures; an inducement. [Low] Beau & Fl.
shoeless |Destitute of shoes. Addison.
shoemaker |1. One whose occupation it is to make shoes and boots. 2. (Zoöl.) (a) The threadfish. (b) The runner, 12.
shoemaking |The business of a shoemaker.
shoer |One who fits shoes to the feet; one who furnishes or puts on shoes; as, a shoer of horses.
shog |A shock; a jog; a violent concussion or impulse. [R. or Scot.]\n\nTo shake; to shock. [R. or Scot.]\n\nTo jog; to move on. [R. or Scot.] Beau & Fl.
shoggle |To joggle. [Obs. or Prov. Eng. & Scot.] Pegge.
shogun |A title originally conferred by the Mikado on the military governor of the eastern provinces of Japan. By gradual usurpation of power the Shoguns (known to foreigners as Tycoons) became finally the virtual rulers of Japan. The title was abolished in 1867. [Written variously, Shiogun, Shiogoon, etc.]
shogunate |The office or dignity of a Shogun. [Written also Siogoonate.]
shola |See Sola.
shole |A plank fixed beneath an object, as beneath the rudder of a vessel, to protect it from injury; a plank on the ground under the end of a shore or the like.\n\nSee Shoal. [Obs.]
shonde |Harm; disgrace; shame. [Obs.] Chaucer.
shone |imp. & p. p. of Shine.
shoo |Begone; away; -- an expression used in frightening away animals, especially fowls.
shooi |The Richardson's skua (Stercorarius parasiticus);- so called from its cry. [Prov. Eng.]
shook |imp. & obs. or poet. p. p. of Shake.\n\n(a) A set of staves and headings sufficient in number for one hogshead, cask, barrel, or the like, trimmed, and bound together in compact form. (b) A set of boards for a sugar box. (c) The parts of a piece of house furniture, as a bedstead, packed together.\n\nTo pack, as staves, in a shook.
shoon |pl. of Shoe. [Archaic] Chaucer. They shook the snow from hats and shoon. Emerson.
shoop |imp. of Shape. Shaped. Chaucer.
shoot |An inclined plane, either artificial or natural, down which timber, coal, etc., are caused to slide; also, a narrow passage, either natural or artificial, in a stream, where the water rushes rapidly; esp., a channel, having a swift current, connecting the ends of a bend in the stream, so as to shorten the course. [Written also chute, and shute.] [U. S.] To take a shoot, to pass through a shoot instead of the main channel; to take the most direct course. [U.S.]\n\n1. To let fly, or cause to be driven, with force, as an arrow or a bullet; -- followed by a word denoting the missile, as an object. If you please To shoot an arrow that self way. Shak. 2. To discharge, causing a missile to be driven forth; -- followed by a word denoting the weapon or instrument, as an object; -- often with off; as, to shoot a gun. The two ends od a bow, shot off, fly from one another. Boyle. 3. To strike with anything shot; to hit with a missile; often, to kill or wound with a firearm; -- followed by a word denoting the person or thing hit, as an object. When Roger shot the hawk hovering over his master's dove house. A. Tucker. 4. To send out or forth, especially with a rapid or sudden motion; to cast with the hand; to hurl; to discharge; to emit. An honest weaver as ever shot shuttle. Beau & Fl. A pit into which the dead carts had nightly shot corpses by scores. Macaulay. 5. To push or thrust forward; to project; to protrude; -- often with out; as, a plant shoots out a bud. They shoot out the lip, they shake the head. Ps. xxii. 7. Beware the secret snake that shoots a sting. Dryden. 6. (Carp.)  To plane straight; to fit by planing. Two pieces of wood that are shot, that is, planed or else pared with a paring chisel. Moxon. 7. To pass rapidly through, over, or under; as, to shoot a rapid or a bridge; to shoot a sand bar. She . . . shoots the Stygian sound. Dryden. 8. To variegate as if by sprinkling or intermingling; to color in spots or patches. The tangled water courses slept, Shot over with purple, and green, and yellow. Tennyson. To be shot of, to be discharged, cleared, or rid of. [Colloq.] \"Are you not glad to be shot of him\" Sir W. Scott.\n\n1. To cause an engine or weapon to discharge a missile; -- said of a person or an agent; as, they shot at a target; he shoots better than he rides. The archers have . . . shot at him. Gen. xlix. 23. 2. To discharge a missile; -- said of an engine or instrument; as, the gun shoots well. 3. To be shot or propelled forcibly; -- said of a missile; to be emitted or driven; to move or extend swiftly, as if propelled; as, a shooting star. There shot a streaming lamp along the sky. Dryden. 4. To penetrate, as a missile; to dart with a piercing sensation; as, shooting pains. Thy words shoot through my heart. Addison. 5. To feel a quick, darting pain; to throb in pain. These preachers make His head to shoot and ache. Herbert. 6. To germinate; to bud; to sprout. Onions, as they hang, will shoot forth. Bacon. But the wild olive shoots, and shades the ungrateful plain. Dryden. 7. To grow; to advance; as, to shoot up rapidly. Well shot in years he seemed. Spenser. Delightful task! to rear the tender thought, To teach the young idea how to shoot. Thomson. 8. To change form suddenly; especially, to solidify. If the menstruum be overcharged, metals will shoot into crystals. Bacon. 9. To protrude; to jut; to project; to extend; as, the land shoots into a promontory. There shot up against the dark sky, tall, gaunt, straggling houses. Dickens. 10. (Naut.)  To move ahead by force of momentum, as a sailing vessel when the helm is put hard alee. To shoot ahead, to pass or move quickly forward; to outstrip others.\n\n1. The act of shooting; the discharge of a missile; a shot; as, the shoot of a shuttle. The Turkish bow giveth a very forcible shoot. Bacon. One underneath his horse to get a shoot doth stalk. Drayton. 2. A young branch or growth. Superfluous branches and shoots of this second spring. Evelyn. 3. A rush of water; a rapid. 4. (Min.)  A vein of ore running in the same general direction as the lode. Knight. 5. (Weaving)  A weft thread shot through the shed by the shuttle; a pick. 6. Etym: [Perh. a different word.]  A shoat; a young hog.
shooter |1. One who shoots, as an archer or a gunner. 2. That which shoots. Specifically: (a) A firearm; as, a five-shooter. [Colloq. U.S.] (b) A shooting star. [R.]
shooting |1. The act of one who, or that which, shoots; as, the shooting of an archery club; the shooting of rays of light. 2. A wounding or killing with a firearm; specifically (Sporting), the killing of game; as, a week of shooting. 3. A sensation of darting pain; as, a shooting in one's head.\n\nOf or pertaining to shooting; for shooting; darting. Shooting board (Joinery), a fixture used in planing or shooting the edge of a board, by means of which the plane is guided and the board held true. -- Shooting box, a small house in the country for use in the shooting season. Prof. Wilson. -- Shooting gallery, a range, usually covered, with targets for practice with firearms. -- Shooting iron, a firearm. [Slang, U.S.] -- Shooting star. (a) (Astron.) A starlike, luminous meteor, that, appearing suddenly, darts quickly across some portion of the sky, and then as suddenly disappears, leaving sometimes, for a few seconds, a luminous train, - - called also falling star. Shooting stars are small cosmical bodies which encounter the earth in its annual revolution, and which become visible by coming with planetary velocity into the upper regions of the atmosphere. At certain periods, as on the 13th of November and 10th of August, they appear for a few hours in great numbers, apparently diverging from some point in the heavens, such displays being known as meteoric showers, or star showers. These bodies, before encountering the earth, were moving in orbits closely allied to the orbits of comets. See Leonids, Perseids. (b) (Bot.) The American cowslip (Dodecatheon Meadia). See under Cowslip. -- Shooting stick (Print.), a tapering piece of wood or iron, used by printers to drive up the quoins in the chase. Hansard.
shooty |Sprouting or coming up freely and regularly. [Prev. Eng.] Grose.
shop |imp. of Shape. Shaped. Chaucer.\n\n1. A building or an apartment in which goods, wares, drugs, etc., are sold by retail. From shop to shop Wandering, and littering with unfolded silks The polished counter. Cowper. 2. A building in which mechanics or artisans work; as, a shoe shop; a car shop. A tailor called me in his shop. Shak. Note: Shop is often used adjectively or in composition; as, shop rent, or shop-rent; shop thief, or shop-thief; shop window, or shop- window, etc. To smell of the shop, to indicate too distinctively one's occupation or profession. -- To talk shop, to make one's business the topic of social conversation; also, to use the phrases peculiar to one's employment. [Colloq.] Syn. -- Store; warehouse. See Store.\n\nTo visit shops for the purpose of purchasing goods. He was engaged with his mother and some ladies to go shopping. Byron.
shopboard |A bench or board on which work is performed; a workbench. South.
shopbook |A book in which a tradesman keeps his accounts. Locke.
shopboy |A boy employed in a shop.
shopen |p. p. of Shape. Chaucer.
shopgirl |A girl employed in a shop.
shopkeeper |A trader who sells goods in a shop, or by retail; -- in distinction from one who sells by wholesale. Addison.
shoplifter |One who steals anything in a shop, or takes goods privately from a shop; one who, under pretense of buying goods, takes occasion to steal.
shoplifting |Larceny committed in a shop; the stealing of anything from a shop.
shoplike |Suiting a shop; vulgar. B. Jonson.
shopmaid |A shopgirl.
shopman |1. A shopkeeper; a retailer. Dryden. 2. One who serves in a shop; a salesman. 3. One who works in a shop or a factory.
shopper |One who shops.
shoppish |Having the appearance or qualities of a shopkeeper, or shopman.
shoppy |1. Abounding with shops. [Colloq.] 2. Of or pertaining to shops, or one's own shop or business; as, shoppy talk. [Colloq.] Mrs. Gaskell.
shopshift |The trick of a shopkeeper; deception. [Obs.] B. Jonson.
shopwalker |One who walks about in a shop as an overseer and director. Cf. Floorwalker.
shopwoman |A woman employed in a shop.
shopworn |Somewhat worn or damaged by having been kept for a time in a shop.
shorage |Duty paid for goods brought on shore. Grabb.
shore |imp. of Shear. Chaucer.\n\nA sewer. [Obs. or Prov. Eng.]\n\nA prop, as a timber, placed as a brace or support against the side of a building or other structure; a prop placed beneath anything, as a beam, to prevent it from sinking or sagging. [Written also shoar.]\n\nTo support by a shore or shores; to prop; -- usually with up; as, to shore up a building.\n\nThe coast or land adjacent to a large body of water, as an ocean, lake, or large river. Michael Cassio, Lieutenant to the warlike Moor Othello, Is come shore. Shak. The fruitful shore of muddy Nile. Spenser. In shore, near the shore. Marryat. -- On shore. See under On. -- Shore birds (Zoöl.), a collective name for the various limicoline birds found on the seashore. -- Shore crab (Zoöl.), any crab found on the beaches, or between tides, especially any one of various species of grapsoid crabs, as Heterograpsus nudus of California. -- Shore lark (Zoöl.), a small American lark (Otocoris alpestris) found in winter, both on the seacoast and on the Western plains. Its upper parts are varied with dark brown and light brown. It has a yellow throat, yellow local streaks, a black crescent on its breast, a black streak below each eye, and two small black erectile ear tufts. Called also horned lark. -- Shore plover (Zoöl.), a large-billed Australian plover (Esacus magnirostris). It lives on the seashore, and feeds on crustaceans, etc. -- Shore teetan (Zoöl.), the rock pipit (Anthus obscurus). [Prov. Eng.]\n\nTo set on shore. [Obs.] Shak.
shoreless |Having no shore or coast; of indefinite or unlimited extent; as, a shoreless ocean. Young.
shoreling |See Shorling.
shorer |One who, or that which, shores or props; a prop; a shore.
shoreward |Toward the shore.
shoring |1. The act of supporting or strengthening with a prop or shore. 2. A system of props; props, collectively.
shorl |See Schorl, Schorlaceous.
shorlaceous |See Schorl, Schorlaceous.
shorling |1. The skin of a sheen after the fleece is shorn off, as distinct from the morling, or skin taken from the dead sheep; also, a sheep of the first year's shearing. [Prov. Eng.] 2. A person who is shorn; a shaveling; hence, in contempt, a priest. [Obs.] Halliwell.
shorn |p. p. of Shear.
short |1. Not long; having brief length or linear extension; as, a short distance; a short piece of timber; a short flight. The bed is shorter than that a man can stretch himself on it. Isa. xxviii. 20. 2. Not extended in time; having very limited duration; not protracted; as, short breath. The life so short, the craft so long to learn. Chaucer. To short absense I could yield. Milton. 3. Limited in quantity; inadequate; insufficient; scanty; as, a short supply of provisions, or of water. 4. Insufficiently provided; inadequately supplied; scantily furnished; lacking; not coming up to a resonable, or the ordinary, standard; -- usually with of; as, to be short of money. We shall be short in our provision. Shak. 5. Deficient; defective; imperfect; not coming up, as to a measure or standard; as, an account which is short of the trith. 6. Not distant in time; near at hand. Marinell was sore offended That his departure thence should be so short. Spenser. He commanded those who were appointed to attend him to be ready by a short day. Clarendon. 7. Limited in intellectual power or grasp; not comprehensive; narrow; not tenacious, as memory. Their own short understandings reach No farther than the present. Rowe. 8. Less important, efficaceous, or powerful; not equal or equivalent; less (than); -- with of. Hardly anything short of an invasion could rouse them again to war. Landor. 9. Abrupt; brief; pointed; petulant; as, he gave a short answer to the question. 10. (Cookery)  Breaking or crumbling readily in the mouth; crisp; as, short pastry. 11. (Metal)  Brittle. Note: Metals that are brittle when hot are called ; as, cast iron may be hot-short, owing to the presence of sulphur. Those that are brittle when cold are called cold-short; as, cast iron may be cold- short, on account of the presence of phosphorus. 12. (Stock Exchange)  Engaging or engaged to deliver what is not possessed; as, short contracts; to be short of stock. See The shorts, under Short, n., and To sell short, under Short, adv. Note: In mercantile transactions, a note or bill is sometimes made payable at short sight, that is, in a little time after being presented to the payer. 13. (Phon.)  Not prolonged, or relatively less prolonged, in utterance; -- opposed to long, and applied to vowels or to syllables. In English, the long and short of the same letter are not, in most cases, the long and short of the same sound; thus, the i in ill is the short sound, not of i in isle, but of ee in eel, and the e in pet is the short sound of a in pate, etc. See Quantity, and Guide to Pronunciation, §§22, 30. Note: Short is much used with participles to form numerous self- explaining compounds; as, short-armed, short-billed, short-fingered, short-haired, short-necked, short-sleeved, short-tailed, short- winged, short-wooled, etc. At short notice, in a brief time; promptly. -- Short rib (Anat.), one of the false ribs. -- Short suit (Whist), any suit having only three cards, or less than three. R. A. Proctor. -- To come short, To cut short, To fall short, etc. See under Come, Cut, etc.\n\n1. A summary account. The short and the long is, our play is preferred. Shak. 2. pl.  The part of milled grain sifted out which is next finer than the bran. The first remove above bran is shorts. Halliwell. 3. pl.  Short, inferior hemp. 4. pl.  Breeches; shortclothes. [Slang] Dickens. 5. (Phonetics)  A short sound, syllable, or vowel. If we compare the nearest conventional shorts and longs in English, as in \"bit\" and \"beat,\" \"not\" and \"naught,\" we find that the short vowels are generally wide, the long narrow, besides being generally diphthongic as well. Hence, originally short vowels can be lengthened and yet kept quite distinct from the original longs. H. Sweet. In short, in few words; in brief; briefly. -- The long and the short, the whole; a brief summing up. -- The shorts (Stock Exchange), those who are unsupplied with stocks which they contracted to deliver.\n\nIn a short manner; briefly; limitedly; abruptly; quickly; as, to stop short in one's course; to turn short. He was taken up very short, and adjudged corrigible for such presumptuous language. Howell. To sell short (Stock Exchange), to sell, for future delivery, what the party selling does not own, but hopes to buy at a lower rate.\n\nTo shorten. [Obs.]\n\nTo fail; to decrease. [Obs.]
short circuit |A circuit formed or closed by a conductor of relatively low resistance because shorter or of relatively great conductivity.
short-breathed |1. Having short-breath, or quick respiration. 2. Having short life.
short-circuit |To join, as the electrodes of a battery or dynamo or any two points of a circuit, by a conductor of low resistance.
short-dated |Having little time to run from the date. \"Thy short-dated life.\" Sandys.
short-handed |Short of, or lacking the regular number of, servants or helpers.
short-jointed |Having short intervals between the joints; -- said of a plant or an animal, especially of a horse whose pastern is too short.
short-lived |Not living or lasting long; being of short continuance; as, a short-lived race of beings; short-lived pleasure; short-lived passion.
short-spoken |Speaking in a quick or short manner; hence, gruff; curt. [Colloq.]
short-waisted |Having a short waist.
short-winded |Affected with shortness of breath; having a quick, difficult respiration, as dyspnoic and asthmatic persons. May.
short-wited |Having little wit; not wise; having scanty intellect or judgment.
shortage |Amount or extent of deficiency, as determined by some requirement or standard; as, a shortage in money accounts.
shortcake |An unsweetened breakfast cake shortened with butter or lard, rolled thin, and baked.
shortclothes |Coverings for the legs of men or boys, consisting of trousers which reach only to the knees, -- worn with long stockings.
shortcoming |The act of falling, or coming short; as: (a) The failure of a crop, or the like. (b) Neglect of, or failure in, performance of duty.
shorten |1. To make short or shorter in measure, extent, or time; as, to shorten distance; to shorten a road; to shorten days of calamity. 2. To reduce or diminish in amount, quantity, or extent; to lessen; to abridge; to curtail; to contract; as, to shorten work, an allowance of food, etc. Here, where the subject is so fruitful, I am shortened by my chain. Dryden. 3. To make deficient (as to); to deprive; -- with of. Spoiled of his nose, and shortened of his ears. Dryden. 4. To make short or friable, as pastry, with butter, lard, pot liquor, or the like. To shorten a rope (Naut.), to take in the slack of it. -- To shorten sail (Naut.), to reduce sail by taking it in.\n\nTo become short or shorter; as, the day shortens in northern latitudes from June to December; a metallic rod shortens by cold.
shortener |One who, or that which, shortens.
shortening |1. The act of making or becoming short or shorter. 2. (Cookery)  That which renders pastry short or friable, as butter, lard, etc.
shorthand |A compendious and rapid method or writing by substituting characters, abbreviations, or symbols, for letters, words, etc.; short writing; stenography. See Illust. under Phonography.
shorthead |A sucking whale less than one year old; -- so called by sailors.
shorthorn |One of a breed of large, heavy domestic cattle having short horns. The breed was developed in England.
shortly |1. In a short or brief time or manner; soon; quickly. Chaucer. I shall grow jealous of you shortly. Shak. The armies came shortly in view of each other. Clarendon. 2. In few words; briefly; abruptly; curtly; as, to express ideas more shortly in verse than in prose.
shortness |The quality or state of being short; want of reach or extension; brevity; deficiency; as, the shortness of a journey; the shortness of the days in winter; the shortness of an essay; the shortness of the memory; a shortness of provisions; shortness of breath.
shortsighted |1. Not able to see far; nearsighted; myopic. See Myopic, and Myopia. 2. Fig.: Not able to look far into futurity; unable to understand things deep; of limited intellect. 3. Having little regard for the future; heedless. -- Short\"sight`ed*ly, adv. -- Short\"sight`ed*ness, n. Cunning is a kind of shortsightedness. Addison.
shortstop |The player stationed in the field bewtween the second and third bases.
shortwing |Any one of several species of small wrenlike Asiatic birds having short wings and a short tail. They belong to Brachypterix, Callene, and allied genera.
shory |Lying near the shore. [Obs.]
shoshones |A linguistic family or stock of North American Indians, comprising many tribes, which extends from Montana and Idaho into Mexico. In a restricted sense the name is applied especially to the Snakes, the most northern of the tribes.
