glassily |So as to resemble glass.
glossohyal |Pertaining to both the hyoidean arch and the tongue; -- applied to the anterior segment of the hyoidean arch in many fishes. -- n. The glossohyal bone or cartilage; lingual bone; entoglossal bone.
glossolalia |The gift of tongues. Farrar.
glossolaly |The gift of tongues. Farrar.
glossological |Of or pertaining to glossology.
glossologist |One who defines and explains terms; one who is versed in glossology.
glossology |1. The definition and explanation of terms; a glossary. 2. The science of language; comparative philology; linguistics; glottology.
glossopharyngeal |Pertaining to both the tongue and the pharynx; -- applied especially to the ninth pair of cranial nerves, which are distributed to the pharynx and tongue. -- n. One of the glossopharyngeal nerves.
glossy |1. Smooth and shining; reflecting luster from a smooth surface; highly polished; lustrous; as, glossy silk; a glossy surface. 2. Smooth; specious; plausible; as, glossy deceit.
glost oven |An oven in which glazed pottery is fired; -- also called glaze kiln, or glaze.
glottal |Of or pertaining to, or produced by, the glottis; glottic. Glottal catch, an effect produced upon the breath or voice by a sudden opening or closing of the glotts. Sweet.
glottic |Of or pertaining to the glottis; glottal.
glottidean |Of or pertaining to the glottis; glottal.
glottis |The opening from the pharynx into the larynx or into the trachea. See Larynx.
glottological |Of or pertaining to glottology.
glottologist |A linguist; a philologist.
glottology |The science of tongues or languages; comparative philology; glossology.
glout |To pout; to look sullen. [Obs.] Garth.\n\nTo view attentively; to gloat on; to stare at. [Obs.] Wright.
glove |1. A cover for the hand, or for the hand and wrist, with a separate sheath for each finder. The latter characteristic distinguishes the glove from the mitten. 2. A boxing glove. Boxing glove. See under Boxing. -- Glove fight, a pugilistic contest in wich the fighters wear boxing gloves. -- Glove money or silver. (a) A tip or gratuity to servants, professedly to buy gloves with. (b) (Eng. Law.) A reward given to officers of courts; also, a fee given by the sheriff of a country to the clerk of assize and judge's officers, when there are no offenders to be executed. -- Glove sponge (Zoöl.), a fine and soft variety of commercial sponges (Spongia officinalis). -- To be hand and glove with, to be intimately associated or on good terms with. \"Hand and glove with traitors.\" J. H. Newman. -- To handle without gloves, to treat without reserve or tenderness; to deal roughly with. [Colloq.] -- To take up the glove, to accept a challenge or adopt a quarrel. -- To throw down the glove, to challenge to combat.\n\nTo cover with, or as with, a glove.
glover |One whose trade it is to make or sell gloves. Glover's suture or stitch, a kind of stitch used in sewing up wounds, in which the thread is drawn alternately through each side from within outward.
glow |1. To shine with an intense or white heat; to give forth vivid light and heat; to be incandenscent. Glows in the stars, and blossoms in the trees. Pope. 2. To exhibit a strong, bright color; to be brilliant, as if with heat; to be bright or red with heat or animation, with blushes, etc. Clad in a gown that glows with Tyrian rays. Dryden. And glow with shame of your proceedings. Shak. 3. To feel hot; to have a burning sensation, as of the skin, from friction, exercise, etc.; to burn. Did not his temples glow In the same sultry winds and acrching heats Addison. The cord slides swiftly through his glowing hands. Gay. 4. To feel the heat of passion; to be animated, as by intense love, zeal, anger, etc.; to rage, as passior; as, the heart glows with love, zeal, or patriotism. With pride it mounts, and with revenge it glows. Dryden. Burns with one love, with one resentment glows. Pope.\n\nTo make hot; to flush. [Poetic] Fans, whose wind did seem To glow the delicate cheeks which they did cool. Shak.\n\n1. White or red heat; incandscence. 2. Brightness or warmth of color; redness; a rosy flush; as, the glow of health in the cheeks. 3. Intense excitement or earnestness; vehemence or heat of passion; ardor. The red glow of scorn. Shak. 4. Heat of body; a sensation of warmth, as that produced by exercise, etc.
glowbard |The glowworm. [Obs.]
glower |to look intently; to stare angrily or with a scowl. Thackeray.
glowingly |In a glowing manner; with ardent heat or passion.
glowlamp |1. (Chem.)  An aphlogistic lamp. See Aphlogistic. 2. (Elect.)  An incandescent lamp. See Incandescent, a.
glowworm |A coleopterous insect of the genus Lampyris; esp., the wingless females and larvæ of the two European species (L. noctiluca, and L. splendidula), which emit light from some of the abdominal segments. Like a glowworm in the night, The which hath fire in darkness, none in light. Shak. Note: The male is winged, and is supposed to be attracted by the light of the female. In America, the luminous larvæ of several species of fireflies and fire beetles are called glowworms. Both sexes of these are winged when mature. See Firefly.
gloxinia |American genus of herbaceous plants with very handsome bell- shaped blossoms; -- named after B. P. Gloxin, a German botanist.
gloze |1. To flatter; to wheedle; to fawn; to talk smoothly. Chaucer. A false, glozing parasite. South. So glozed the tempter, and his proem tuned. Milton. 2. To give a specious or false meaning; to ministerpret. Shak.\n\nTo smooth over; to palliate. By glozing the evil that is in the world. I. Taylor.\n\n1. Flattery; adulation; smooth speech. Now to plain dealing; lay these glozes by. Shak. 2. Specious show; gloss. [Obs.] Sir P. Sidney.
glozer |A flatterer. [Obs.] Gifford (1580).
glucic |Pertaining to, or obtained from, sugar; as, glucic acid.
glucina |A white or gray tasteless powder, the oxide of the element glucinum; -- formerly called glucine.
glucinic |Pertaining to, derived from, or containing, glucinum; as, glucinic oxide.
glucinum |A rare metallic element, of a silver white color, and low specific gravity (2.1), resembling magnesium. It never occurs naturally in the free state, but is always combined, usually with silica or alumina, or both; as in the minerals phenacite, chrysoberyl, beryl or emerald, euclase, and danalite. It was named from its oxide glucina, which was known long before the element was isolated. Symbol Gl. Atomic weight 9.1. Called also beryllium. [Formerly written also glucinium.]
glucogen |See Glycogen.
glucogenesis |Glycogenesis. [R.]
gluconic |Pertaining to, or derived from, glucose. Gluconic acid (Chem.), an organic acid, obtained as a colorless, sirupy liquid, by the oxidation of glucose; -- called also maltonic acid, and dextronic acid.
glucose |1. A variety of sugar occurring in nature very abundantly, as in ripe grapes, and in honey, and produced in great quantities from starch, etc., by the action of heat and acids. It is only about half as sweet as cane sugar. Called also dextrose, grape sugar, diabetic sugar, and starch sugar. See Dextrose. 2. (Chem.)  Any one of a large class of sugars, isometric with glucose proper, and including levulose, galactose, etc. 3. The trade name of a sirup, obtained as an uncrystallizable reside in the manufacture of glucose proper, and containing, in addition to some dextrose or glucose, also maltose, dextrin, etc. It is used as a cheap adulterant of sirups, beers, etc.
glucoside |One of a large series of amorphous or crystalline substances, occurring very widely distributed in plants, rarely in animals, and regarded as influental agents in the formation and disposition of the sugars. They are frequently of a bitter taste, but, by the action of ferments, or of dilute acids and alkalies, always break down into some characteristic substance (acid, aldehyde, alcohol, phenole, or alkaloid) and glucose (or some other sugar); hence the name. They are of the nature of complex and compound ethers, and ethereal salts of the sugar carbohydrates.
glucosuria |A condition in which glucose is discharged in the urine; diabetes mellitus.
glue |A hard brittle brownish gelatin, obtained by boiling to a jelly the skins, hoofs, etc., of animals. When gently heated with water, it becomes viscid and tenaceous, and is used as a cement for uniting substances. The name is also given to other adhesive or viscous substances. Bee glue. See under Bee. -- Fish glue, a strong kind of glue obtained from fish skins and bladders; isinglass. -- Glue plant (Bot.), a fucoid seaweed (Gloiopeltis tenax). -- Liquid glue, a fluid preparation of glue and acetic acid oralcohol. -- Marine glue, a solution of caoutchouc in naphtha, with shellac, used in shipbuilding.\n\nTo join with glue or a viscous substance; to cause to stick or hold fast, as if with glue; to fix or fasten. This cold, congealed blood That glues my lips, and will not let me speak. Shak.
gluer |One who cements with glue.
gluey |Viscous; glutinous; of the nature of, or like, glue.
glueyness |Viscidity.
gluish |Somewhat gluey. Sherwood.
glum |Sullenness. [Obs.] Skelton.\n\nMoody; silent; sullen. I frighten people by my glun face. Thackeray.\n\nTo look sullen; to be of a sour countenance; to be glum. [Obs.] Hawes.
glumaceous |Having glumes; consisting of glumes.
glumal |Characterized by a glume, or having the nature of a glume.
glume |The bracteal covering of the flowers or seeds of grain and grasses; esp., an outer husk or bract of a spikelt. Gray.
glumella |One of the pelets or inner chaffy scales of the flowers or spikelets of grasses.
glumelle |One of the pelets or inner chaffy scales of the flowers or spikelets of grasses.
glumly |In a glum manner; sullenly; moodily.
glummy |dark; gloomy; dismal. [Obs.]
glumness |Moodiness; sullenness.
glump |To manifest sullenness; to sulk. [Colloq.]
glumpy |Glum; sullen; sulky. [Colloq.] \"He was glumpy enough.\" T. Hook.
glunch |Frowning; sulky; sullen. Sir W. Scott. -- n.  A sullen, angry look; a look of disdain or dislike. [Prov. Eng. & Scot.]
glut |1. To swallow, or to swallow greedlly; to gorge. Though every drop of water swear against it, And gape at widest to glut him. Shak. 2. To fill to satiety; to satisfy fully the desire or craving of; to satiate; to sate; to cloy. His faithful heart, a bloody sacrifice, Torn from his breast, to glut the tyrant's eyes. Dryden. The realms of nature and of art were ransacked to glut the wonder, lust, and ferocity of a degraded populace. C. Kingsley. To glut the market, to furnish an oversupply of any article of trade, so that there is no sale for it.\n\nTo eat gluttonously or to satiety. Like three horses that have broken fence, And glutted all night long breast-deep in corn. Tennyson.\n\n1. That which is swallowed. Milton 2. Plenty, to satiety or repletion; a full supply; hence, often, a supply beyond sufficiency or to loathing; over abundance; as, a glut of the market. A glut of those talents which raise men to eminence. Macaulay. 3. Something that fills up an opening; a clog. 4. (a) A wooden wedge used in splitting blocks. [Prov. Eng.] (b) (Mining) A piece of wood used to fill up behind cribbing or tubbing. Raymond. (c) (Bricklaying) A bat, or small piece of brick, used to fill out a course. Knight. (d) (Arch.) An arched opening to the ashpit of a klin. (e) A block used for a fulcrum. 5. (Zoöl.)  The broad-nosed eel (Anguilla latirostris), found in Europe, Asia, the West Indies, etc.
glutaconic |Pertaining to, or derived from, an acid intermediate between glutaric and aconitic acids.
glutaeus |The great muscle of the buttock in man and most mammals, and the corresponding muscle in many lower animals. Note: In man, the glutæus is composed of three distinct parts, which extend and abduct the thigh, and help support the body in standing.
glutamic |Of or pertaining to gluten. Glutamic acid, a nitrogenous organic acid obtained from certain albuminoids, as gluten; -- called also amido-glutaric acid.C5H9NO4.
glutaric |Of, pertaining to, or designating, an acid so called; as, glutaric ethers. Glutaric acid, an organic acid obtained as a white crystalline substance, isomeric with pyrotartaric acid; -- called also normal pyrotartaric acid.
glutazine |A nitrogenous substance, forming a heavy, sandy powder, white or nearly so. It is a derivative of pyridine.
gluteal |Pertaining to, or in the region of, the glutæus.
gluten |The viscid, tenacious substance which gives adhesiveness to dough. Note: Gluten is a complex and variable mixture of glutin or gliadin, vegetable fibrin, vegetable casein, oily material, etc., and ia a very nutritious element of food. It may be separated from the flour of grain by subjecting this to a current of water, the starch and other soluble matters being thus washed out. Gluten bread, bread containing a large proportion of gluten; -- used in cases of diabetes. -- Gluten casein (Chem.), a vegetable proteid found in the seeds of grasses, and extracted as a dark, amorphous, earthy mass. -- Gluten fibrin (Chem.), a vegetable proteid found in the cereal grains, and extracted as an amorphous, brownish yellow substance.
gluteus |Same as Glutæus.
glutin |1. Same as Gliadin. 2. Sometimes synonymous with Gelatin. [R.]
glutinate |To unite with glue; to cement; to stick together. Bailey.
glutination |The act of uniting with glue; sticking together.
glutinative |Having the quality of cementing; tenacious; viscous; glutinous.
glutinosity |The quality of being glutinous; viscousness. [R.]
glutinous |1. Of the nature of glue; resembling glue; viscous; viscid; adhesive; gluey. 2. (Bot.)  Havig a moist and adhesive or sticky surface, as a leaf or gland.
glutinousness |The quality of being glutinous.
glutton |1. One who eats voraciously, or to excess; a gormandizer. 2. Fig.: One who gluts himself. Gluttons in murder, wanton to destroy. Granville. 3. (Zoöl.)  A carnivorous mammal (Gulo luscus), of the family Mustelidæ, about the size of a large badger. It was formerly believed to be inordinately voracious, whence the name; the wolverene. It is a native of the northern parts of America, Europe, and Asia. Glutton bird (Zoöl.), the giant fulmar (Ossifraga gigantea); -- called also Mother Carey's goose, and mollymawk.\n\nGluttonous; greedy; gormandizing. \"Glutton souls.\" Dryden. A glutton monastery in former ages makes a hungry ministry in our days. Fuller.\n\nTo glut; to eat voraciously. [Obs.] Gluttoned at last, return at home to pine. Lovelace. Whereon in Egypt gluttoning they fed. Drayton.
gluttonish |Gluttonous; greedy. Sir P. Sidney.
gluttonize |To eat to excess; to eat voraciously; to gormandize. Hallywell.
gluttonous |Given to gluttony; eating to excess; indulging the appetite; voracious; as, a gluttonous age. -- Glut\"ton*ous*ly, adv. -- Glut\"ton*ous*ness, n.
gluttony |Excess in eating; extravagant indulgence of the appetite for food; voracity. Their sumptuous gluttonies, and gorgeous feasts. Milton.
glycerate |A salt of glyceric acid.
glyceric |Pertaining to, or derived from, glycerin. Glyceric acid (Chem.), an organic acid, obtained by the partial oxidation of glycerin, as a thick liquid. It is a hydroxyl derivative of propionic acid, and has both acid and alcoholic properties.
glyceride |A compound ether (formed from glycerin). Some glycerides exist ready formed as natural fats, others are produced artificially.
glycerin |An oily, viscous liquid, C3H5(OH)3, colorless and odorless, and with a hot, sweetish taste, existing in the natural fats and oils as the base, combined with various acids, as oleic, margaric, stearic, and palmitic. It is a triatomic alcohol, and hence is also called glycerol. See Note under Gelatin. Note: It is obtained from fats by saponification, or, on a large scale, by the action of superheated steam. It is used as an ointment, as a solvent and vehicle for medicines, and as an adulterant in wine, beer, etc.
glycerine |An oily, viscous liquid, C3H5(OH)3, colorless and odorless, and with a hot, sweetish taste, existing in the natural fats and oils as the base, combined with various acids, as oleic, margaric, stearic, and palmitic. It is a triatomic alcohol, and hence is also called glycerol. See Note under Gelatin. Note: It is obtained from fats by saponification, or, on a large scale, by the action of superheated steam. It is used as an ointment, as a solvent and vehicle for medicines, and as an adulterant in wine, beer, etc.
glycerite |A medicinal preparation made by mixing or dissolving a substance in glycerin.
glycerol |Same as Glycerin.
glycerole |Same as Glycerite.
glyceryl |A compound radical, C3H5, regarded as the essential radical of glycerin. It is metameric with allyl. Called also propenyl.
glycide |A colorless liquid, obtained from certain derivatives of glycerin, and regarded as a partially dehydrated glycerin; -- called also glycidic alcohol.
glycidic |Pertaining to, or derived from, glycide; as, glycidic acid.
glycin |Same as Glycocoll.
glycocholate |A salt of glycocholic acid; as, sodium glycocholate.
glycocholic |Pertaining to, or composed of, glycocoll and cholic acid. Glycocholic acid (Physiol. Chem.), a conjugate acid, composed of glycocoll and cholic acid, present in bile in the form of a sodium salt. The acid commonly forms a resinous mass, but can be crystallized in long, white needles.
glycocin |Same as Glycocoll.
glycocoll |A crystalline, nitrogenous substance, with a sweet taste, formed from hippuric acid by boiling with hydrochloric acid, and present in bile united with cholic acid. It is also formed from gelatin by decomposition with acids. Chemically, it is amido-acetic acid. Called also glycin, and glycocin.
glycogen |A white, amorphous, tasteless substance resembling starch, soluble in water to an opalescent fluid. It is found abundantly in the liver of most animals, and in small quantity in other organs and tissues, particularly in the embryo. It is quickly changed into sugar when boiled with dilute sulphuric or hydrochloric acid, and also by the action of amylolytic ferments.
glycogenesis |The production or formation of sugar from gycogen, as in the liver.
glycogenic |Pertaining to, or caused by, glycogen; as, the glycogenic function of the liver.
glycogeny |The production or formation of sugar from gycogen, as in the liver.
glycol |(a) A thick, colorless liquid, C2H4(OH)2, of a sweetish taste, produced artificially from certain ethylene compounds. It is a diacid alcohol, intermediate between ordinary ethyl alcohol and glycerin. (b) Any one of the large class of diacid alcohols, of which glycol proper is the type.
glycolic |Pertaining to, or derived from, glycol; as, glycolic ether; glycolic acid. Glycolic acid (Chem.), an organic acid, found naturally in unripe grapes and in the leaves of the wild grape (Ampelopsis quinquefolia), and produced artificially in many ways, as by the oxidation of glycol, -- whence its name. It is a sirupy, or white crystalline, substance, HO.CH2.CO2H, has the properties both of an alcohol and an acid, and is a type of the hydroxy acids; -- called also hydroxyacetic acid.
glycolide |A white amorphous powder, C4H4O, obtained by heating and dehydrating glycolic acid. [Written also glycollide.]
glycoluric |Pertaining to, derived from, glycol and urea; as, glycoluric acid, which is called also hydantoic acid.
glycoluril |A white, crystalline, nitrogenous substance, obtained by the reduction of allantoïn.
glycolyl |A divalent, compound radical, CO.CH2, regarded as the essential radical of glycolic acid, and a large series of related compounds.
glyconian |Glyconic.
glyconic |Consisting of a spondee, a choriamb, and a pyrrhic; -- applied to a kind of verse in Greek and Latin poetry. -- n. (Pros.)  A glyconic verse.
glyconin |An emulsion of glycerin and the yolk of eggs, used as an ointment, as a vehicle for medicines, etc.
glycose |One of a class of carbohydrates having from three to nine atoms of carbon in the molecules and having the constitution either of an aldehyde alcohol or of a ketone alcohol. Most glycoses have hydrogen and oxygen present in the proportion to form water, while the number of carbon atoms is usually equal to the number of atoms of oxygen.
glycosine |An organic base, C6H6N4, produced artificially as a white, crystalline powder, by the action of ammonia on glyoxal.
glycosometer |An apparatus for determining the amount of sugar in diabetic urine.
glycosuria |Same as Gluoosuria.
glycyrrhiza |1. (Bot.)  A genus of papilionaceous herbaceous plants, one species of which (G. glabra), is the licorice plant, the roots of which have a bittersweet mucilaginous taste. 2. (Med.)  The root of Glycyrrhiza glabra (liquorice root), used as a demulcent, etc.
glycyrrhizimic |From, or pertaining to, glycyrrhizin; as, glycyrrhizimic acid.
glycyrrhizin |A glucoside found in licorice root (Glycyrrhiza), in monesia bark (Chrysophyllum), in the root of the walnut, etc., and extracted as a yellow, amorphous powder, of a bittersweet taste.
glyn |A glen. See Glen. Note: [Obs. singly, but occurring often in locative names in Ireland, as Glen does in Scotland.] He could not beat out the Irish, yet he did shut them up within those narrow corners and glyns under the mountain's foot. Spenser.
glynne |A glen. See Glen. Note: [Obs. singly, but occurring often in locative names in Ireland, as Glen does in Scotland.] He could not beat out the Irish, yet he did shut them up within those narrow corners and glyns under the mountain's foot. Spenser.
glyoxal |A white, amorphous, deliquescent powder, (CO.H)2, obtained by the partial oxidation of glycol. It is a double aldehyde, between glycol and oxalic acid.
glyoxalic |Pertaining to, or designating, an aldehyde acid, intermediate between glycol and oxalic acid. [Written also glyoxylic.]
glyoxaline |A white, crystalline, organic base, C3H4N2, produced by the action of ammonia on glyoxal, and forming the origin of a large class of derivatives hence, any one of the series of which glyoxaline is a type; -- called also oxaline.
glyoxime |A white, crystalline, nitrogenous substance, produced by the action of hydroxylamine on glyoxal, and belonging to the class of oximes; also, any one of a group of substances resembling glyoxime proper, and of which it is a type. See Oxime.
glyph |A sunken channel or groove, usually vertical. See Triglyph.
glyphic |Of or pertaining to sculpture or carving of any sort, esp. to glyphs.
glyphograph |A plate made by glyphography, or an impression taken from such a plate.
glyphographic |Of or pertaining to glyphography.
glyphography |A process similar to etching, in which, by means of voltaic electricity, a raised copy of a drawing is made, so that it can be used to print from.
glyptic |1. Of or pertaining to gem engraving. 2. (Min.)  Figured; marked as with figures.
glyptics |The art of engraving on precious stones.
glyptodon |An extinct South American quaternary mammal, allied to the armadillos. It was as large as an ox, was covered with tessellated scales, and had fluted teeth. Owen.
glyptodont |One of a family (glyptodontidæ) of extinct South American edentates, of which Glyptodon is the type. About twenty species are known.
glyptographic |Relating to glyptography, or the art of engraving on precious stones. [R.]
glyptography |The art or process of engraving on precious stones. [R.]
glyptotheca |A building or room devoted to works of sculpture.
glyster |Same as Clyster.
gmelinite |A rhombohedral zeolitic mineral, related in form and composition to chabazite.
gnaphalium |A genus of composite plants with white or colored dry and persistent involucres; a kind of everlasting.
gnar |A knot or gnarl in wood; hence, a tough, thickset man; -- written also gnarr. [Archaic] He was . . . a thick gnarre. Chaucer.\n\nTo gnarl; to snarl; to growl; -- written also gnarr. [Archaic] At them he gan to rear his bristles strong, And felly gnarre. Spenser. A thousand wants Gnarr at the heels of men. Tennison.
gnarl |To growl; to snarl. And wolves are gnarling who shall gnaw thee first. Shak.\n\na knot in wood; a large or hard knot, or a protuberance with twisted grain, on a tree.
gnarled |Knotty; full of knots or gnarls; twisted; crossgrained. The unwedgeable and gnarléd oak. Shak.
gnarly |Full of knots; knotty; twisted; crossgrained.
gnash |To strike together, as in anger or pain; as, to gnash the teeth.\n\nTo grind or strike the teeth together. There they him laid, Gnashing for anguish, and despite, and shame. Milton.
gnashingly |With gnashing.
gnat |1. (Zoöl.)  A blood-sucking dipterous fly, of the genus Culex, undergoing a metamorphosis in water. The females have a proboscis armed with needlelike organs for penetrating the skin of animals. These are wanting in the males. In America they are generally called mosquitoes. See Mosquito. 2. Any fly resembling a Culex in form or habits; esp., in America, a small biting fly of the genus Simulium and allies, as the buffalo gnat, the black fly, etc. Gnat catcher (Zoöl.), one of several species of small American singing birds, of the genus Polioptila, allied to the kinglets. -- Gnat flower, the bee flower. -- Gnat hawk (Zoöl.), the European goatsucker; -- called also gnat owl. -- Gnat snapper (Zoöl.), a bird that catches gnats. -- Gnat strainer, a person ostentatiously punctilious about trifles. Cf. Matt. xxiii. 24.
gnathic |Of or pertaining to the jaw. Gnathic index, in a skull, the ratio of the distance from the middle of the nasofrontal suture to the basion (taken equal to 100), to the distance from the basion to the middle of the front edge of the upper jaw; -- called also alveolar index. Skulls with the gnathic index below 98 are orthognathous, from 98 to 103 mesognathous, and above 103 are prognathous. Flower.
gnathidium |The ramus of the lower jaw of a bird as far as it is naked; -- commonly used in the plural.
gnathite |Any one of the mouth appendages of the Arthropoda. They are known as mandibles, maxillæ, and maxillipeds.
gnathonic |Flattering; deceitful. [Obs.]
gnathonical |Flattering; deceitful. [Obs.]
gnathopod |A gnathopodite or maxilliped. See Maxilliped.
gnathopodite |Any leglike appendage of a crustacean, when modified wholly, or in part, to serve as a jaw, esp. one of the maxillipeds.
gnathostegite |One of a pair of broad plates, developed from the outer maxillipeds of crabs, and forming a cover for the other mouth organs.
gnathostoma |A comprehensive division of vertebrates, including all that have distinct jaws, in contrast with the leptocardians and marsipobranchs (Cyclostoma), which lack them. [Written also Gnathostomata.]
gnathotheca |The horney covering of the lower mandible of a bird.
gnatling |A small gnat.
gnatworm |The aquatic larva of a gnat; -- called also, colloquially, wiggler.
gnaw |1. To bite, as something hard or tough, which is not readily separated or crushed; to bite off little by little, with effort; to wear or eat away by scraping or continuous biting with the teeth; to nibble at. His bones clean picked; his very bones they gnaw. Dryden. 2. To bite in agony or rage. They gnawed their tongues for pain. Rev. xvi. 10. 3. To corrode; to fret away; to waste.\n\nTo use the teeth in biting; to bite with repeated effort, as in eating or removing with the teethsomething hard, unwiedly, or unmanageable. I might well, like the spaniel, gnaw upon the chain that ties me. Sir P. Sidney.
gnawer |1. One who, or that which, gnaws. 2. (Zoöl.)  A rodent.
gneiss |A crystalline rock, consisting, like granite, of quartz, feldspar, and mica, but having these materials, especially the mica, arranged in planes, so that it breaks rather easily into coarse slabs or flags. Hornblende sometimes takes the place of the mica, and it is then called hornblendic or syenitic gneiss. Similar varieties of related rocks are also called gneiss.
gneissic |Relating to, or resembling, gneiss; consisting of gneiss.
gneissoid |Resembling gneiss; having some of the characteristics of gneiss; -- applied to rocks of an intermediate character between granite and gneiss, or mica slate and gneiss.
gneissose |Having the structure of gneiss.
gnew |imp. of Gnaw. Chaucer.
gnide |To rub; to bruise; to break in pieces. [Obs.] Note: This word is found in Tyrwhitt's Chaucer, but improperly. The woed, though common in Old English, does not occur in Chaucer. T. R. Lounsbury.
gnof |Churl; curmudgeon. [Obs.] Chaucer.
gnome |1. An imaginary being, supposed by the Rosicrucians to inhabit the inner parts of the earth, and to be the guardian of mines, quarries, etc. 2. A dwarf; a goblin; a person of small stature or misshapen features, or of strange appearance. 3. (Zoöl.)  A small owl (Glaucidium gnoma) of the Western United States. 4. Etym: [Gr.  A brief reflection or maxim. Peacham.
gnomic |Sententious; uttering or containing maxims, or striking detached thoughts; aphoristic. A city long famous as the seat of elegiac and gnomic poetry. G. R. Lewes. Gnomic Poets, Greek poets, as Theognis and Solon, of the sixth century B. C., whose writings consist of short sententious precepts and reflections.
gnomical |Sententious; uttering or containing maxims, or striking detached thoughts; aphoristic. A city long famous as the seat of elegiac and gnomic poetry. G. R. Lewes. Gnomic Poets, Greek poets, as Theognis and Solon, of the sixth century B. C., whose writings consist of short sententious precepts and reflections.\n\nGnomonical. Boyle.
gnomically |In a gnomic, didactic, or sententious manner.
gnomologic |Pertaining to, of the nature of, or resembling, a gnomology.
gnomological |Pertaining to, of the nature of, or resembling, a gnomology.
gnomology |A collection of, or a treatise on, maxims, grave sentences, or reflections. [Obs.] Milton.
gnomon |1. (Dialing)  The style or pin, which by its shadow, shows the hour of the day. It is usually set parallel to the earth's axis. 2. (Astron.)  A style or column erected perpendicularly to the horizon, formerly used in astronomocal observations. Its principal use was to find the altitude of the sun by measuring the length of its shadow. 3. (Geom.)  The space included between the boundary lines of two similar parallelograms, the one within the other, with an angle in common; as, the gnomon bcdefg of the parallelograms ac and af. The parallelogram bf is the complement of the parallelogram df. 4. The index of the hour circle of a globe.
gnomonic |Of or pertaining to the gnomon, or the art of dialing. Gnomonic projection, a projection of the circles of the sphere, in which the point of sight is taken at the center of the sphere, and the principal plane is tangent to the surface of the sphere. \"The gnomonic projection derives its name from the connection between the methods of describing it and those for the construction of a gnomon or dial.\" Cyc. of Arts & Sciences.
gnomonical |Of or pertaining to the gnomon, or the art of dialing. Gnomonic projection, a projection of the circles of the sphere, in which the point of sight is taken at the center of the sphere, and the principal plane is tangent to the surface of the sphere. \"The gnomonic projection derives its name from the connection between the methods of describing it and those for the construction of a gnomon or dial.\" Cyc. of Arts & Sciences.
gnomonically |According to the principles of the gnomonic projection.
gnomonics |The art or science of dialing, or of constructing dials to show the hour of the day by the shadow of a gnomon.
gnomonist |One skilled in gnomonics. Boyle.
gnomonology |A treatise on gnomonics.
gnoscopine |An alkaloid existing in small quantities in opium.
gnosis |The deeper wisdom; knowledge of spiritual truth, such as was claimed by the Gnostics.
gnostic |1. Knowing; wise; shrewd. [Old Slang] I said you were a gnostic fellow. Sir W. Scott. 2. (Eccl. Hist.)  Of or pertaining to Gnosticism or its adherents; as, the Gnostic heresy.\n\nOne of the so-called philosophers in the first ages of Christianity, who claimed a true philosophical interpretation of the Christian religion. Their system combined Oriental theology and Greek philosophy with the doctrines of Christianity. They held that all natures, intelligible, intellectual, and material, are derived from the Deity by successive emanations, which they called Eons.
gnosticism |The system of philosophy taught by the Gnostics.
gnow |Gnawed. Chaucer.
gnu |One of two species of large South African antelopes of the genus Catoblephas, having a mane and bushy tail, and curved horns in both sexes. [Written also gnoo.] Note: The common gnu or wildebeest (Catoblephas gnu) is plain brown; the brindled gnu or blue wildebeest (C. gorgon) is larger, with transverse stripes of black on the neck and shoulders.
