cystoidea |Same as Cystidea.
damnable |1. Liable to damnation; deserving, or for which one deserves, to be damned; of a damning nature. A creature unprepared unmeet for dealth, And to transport him in the mind hi is, Were damnable. Shak. 2. Odious; pernicious; detestable. Begin, murderer; . . . leave thy damnable faces. Shak.
damnableness |The state or quality of deserving damnation; execrableness. The damnableness of this most execrable impiety. Prynne.
damnably |1. In a manner to incur sever 2. Odiously; detestably; excessively. [Low]
damnation |1. The state of being damned; condemnation; openly expressed disapprobation. 2. (Theol.)  Condemnation to everlasting punishment in the future state, or the punishment itself. How can ye escape the damnation of hell Matt. xxiii. 33. Wickedness is sin, and sin is damnation. Shak. 3. A sin daserving of everlasting punishment. [R.] The deep damnation of his taking-off. Shak.
damnatory |Doo \"Damnatory invectives.\" Hallam.
damned |1. Sentenced to punishment in a future state; condemned; consigned to perdition. 2. Hateful; detestable; abominable. But, O, what damned minutes tells he o'er Who doats, yet doubts, suspects, yet strongly loves. Shak.
damnific |Procuring or causing loss; mischievous; injurious.
damnification |That which causes damage or loss.
damnify |To cause loss or damage to; to injure; to imparir. [R.] This work will ask as many more officials to make expurgations and expunctions, that the commonwealth of learning be not damnified. Milton.
damning |That damns; damnable; as, damning evidence of guilt.
damningness |Tendency to bring damnation. \"The damningness of them [sins].\" Hammond.
damnum |Harm; detriment, either to character or property.
damoiselle |See Damsel. [Archaic]
damosel |See Damsel. [Archaic]
damosella |See Damsel. [Archaic]
damourite |A kind of Muscovite, or potash mica, containing water.
damp |1. Moisture; humidity; fog; fogginess; vapor. Night . . . with black air Accompanied, with damps and dreadful gloom. Milton. 2. Dejection; depression; cloud of the mind. Even now, while thus I stand blest in thy presence, A secret damp of grief comes o'er my soul. Addison. It must have thrown a damp over your autumn excursion. J. D. Forbes. 3. (Mining)  A gaseous prodact, formed in coal mines, old wells, pints, etc. Choke damp, a damp consisting principally of carboniCarbonic acid, under Carbonic. -- Damp sheet, a curtain in a mine gallery to direct air currents and prevent accumulation of gas. -- Fire damp, a damp consisting chiefly of light carbureted hydrogen; -- so called from its tendence to explode when mixed with atmospheric air and brought into contact with flame.\n\n1. Being in a state between dry and wet; moderately wet; moist; humid. O'erspread with a damp sweat and holy fear. Dryden. 2. Dejected; depressed; sunk. [R.] All these and more came flocking, but with looks Downcast and damp. Milton.\n\n1. To render damp; to moisten; to make humid, or moderately wet; to dampen; as, to damp cloth. 2. To put out, as fire; to depress or deject; to deaden; to cloud; to check or restrain, as action or vigor; to make dull; to weaken; to discourage. \"To damp your tender hopes.\" Akenside. Usury dulls and damps all industries, improvements, and new inventions, wherein money would be stirring if it were not for this slug. Bacon. How many a day has been damped and darkened by an angry word! Sir J. Lubbock. The failure of his enterprise damped the spirit of the soldiers. Macaulay.
damp off |To decay and perish through excessive moisture.
dampen |1. To make damp or moist; to make slightly wet. 2. To depress; to check; to make dull; to lessen. In a way that considerably dampened our enthusiasm. The Century.\n\nTo become damp; to deaden. Byron.
damper |That which damps or checks; as: (a) A valve or movable plate in the flue or other part of a stove, furnace, etc., used to check or regulate the draught of air. (b) A contrivance, as in a pianoforte, to deaden vibrations; or, as in other pieces of mechanism, to check some action at a particular time. Nor did Sabrina's presence seem to act as any damper at the modest little festivities. W. Black.
dampish |Moderately damp or moist. -- Damp\"ish*ly, adv. -- Damp\"ish*ness, n.
dampne |To damn. [Obs.] Chaucer.
dampness |Moderate humidity; moisture; fogginess; moistness.
dampy |1. Somewhat damp. [Obs.] Drayton. 2. Dejected; gloomy; sorrowful. [Obs.] \"Dispel dampy throughts.\" Haywards.
damsel |1. A young person, either male or female, of noble or gentle extraction; as, Damsel Pepin; Damsel Richard, Prince of Wales. [Obs.] 2. A young unmarried woman; a gerl; a maiden. With her train of damsels she was gone, In shady walks the scorching heat to shum. Dryden. Sometimes a troop of damsels glad, . . . Goes by to towered Cameleot. Tennyson. 3. (Milling)  An attachment to a millstone spindle for shaking the hoppe
damson |A small oval plum of a blue color, the fruit of a variety of the Prunus domestica; -- called also damask plum.
dan |A title of honor equivalent to master, or sir. [Obs.] Old Dan Geoffry, in gently spright The pure wellhead of poetry did dwell. Spenser. What time Dan Abraham left the Chaldee land. Thomson.\n\nA small truck or sledge used in coal mines.
danaide |A water wheel having a vertical axis, and an inner and outer tapering shell, between which are vanes or floats attached usually to both shells, but sometimes only to one.
danaite |A cobaltiferous variety of arsenopyrite.
danalite |A mineral occuring in octahedral crystals, also massive, of a reddish color. It is a silicate of iron, zinc manganese, and glicinum, containing sulphur.
danburite |A borosilicate of lime, first found at Danbury, Conn. It is near the topaz in form. Dana.
dance |1. To move with measured steps, or to a musical accompaniment; to go through, either alone or in company with others, with a regulated succession of movements, (commonly) to the sound of music; to trip or leap rhytmically. Jack shall pipe and Gill shall dance. Wiher. Good shepherd, what fair swain is this Which dances with your dauther Shak. 2. To move nimbly or merrily; to express pleasure by motion; to caper; to frisk; to skip about. Then, 'tis time to dance off. Thackeray. More dances my rapt heart Than when I first my wedded mistress saw. Shak. Shadows in the glassy waters dance. Byron. Where rivulets dance their wayward round. Wordsworth. To dance on a rope, or To dance on nothing, to be hanged.\n\nTo cause to dance, or move nimbly or merrily about, or up and down; to dandle. To dance our ringlets to the whistling wind. Shak. Thy grandsire loved thee well; Many a time he danced thee on his knee. Shak. To dance attendance, to come and go obsequiously; to be or remain in waiting, at the beck and call of another, with a view to please or gain favor. A man of his place, and so near our favor, To dance attendance on their lordships' pleasure. Shak.\n\n1. The leaping, tripping, or measured stepping of one who dances; an amusement, in which the movements of the persons are regulated by art, in figures and in accord with music. 2. (Mus.)  A tune by which dancing is regulated, as the minuet, the waltz, the cotillon, etc. Note: The word dance was used ironically, by the older writers, of many proceedings besides dancing. Of remedies of love she knew parchance For of that art she couth the olde dance. Chaucer. Dance of Death (Art), an allegorical representation of the power of death over all, -- the old, the young, the high, and the low, being led by a dancing skeleton. -- Morris dance. See Morris. -- To lead one a dance, to cause one to go through a series of movements or experiences as if guided by a partner in a dance not understood.
dancer |One who dances or who practices dancing. The merry dancers, beams of the northern lights when they rise and fall alternately without any considerable change of length. See Aurora borealis, under Aurora.
danceress |A female dancer. [Obs.] Wyclif.
dancette |Deeply indented; having large teeth; thus, a fess dancetté has only three teeth in the whole width of the escutcheon.
dancing |from Dance. Dancing girl, one of the women in the East Indies whose profession is to dance in the temples, or for the amusement of spectators. There are various classes of dancing girls. -- Dancing master, a teacher of dancing. -- Dancing school, a school or place where dancing is taught.
dancy |Same as Dancetté.
dandelion |A well-known plant of the genus Taraxacum (T. officinale, formerly called T. Dens-leonis and Leontodos Taraxacum) bearing large, yellow, compound flowers, and deeply notched leaves.
dander |1. Dandruff or scurf on the head. 2. Anger or vexation; rage [Low] Halliwell.\n\nTo wander about; to saunter; to talk incoherently. [Prov. Eng.] Halliwell.
dandi |A boatman; an oarsman. [India]
dandie |One of a breed of small terriers; -- called also Dandie Dinmont.\n\n1.  In Scott's \"Guy Mannering\| a Border farmer of eccentric but fine character| who owns two terriers claimed to be the progenitors of the Dandie Dinmont terriers. 2.  One of a breed of terriers with short legs| long body| and rough coat| originating in the country about the English and Scotch border."
dandie dinmont |1.  In Scott's \"Guy Mannering\| a Border farmer of eccentric but fine character| who owns two terriers claimed to be the progenitors of the Dandie Dinmont terriers. 2.  One of a breed of terriers with short legs| long body| and rough coat| originating in the country about the English and Scotch border."
dandified |Made up like a dandy; having the dress or manners of a dandy; buckish.
dandify |To cause to resemble a dandy; to make dandyish.
dandiprat |1. A little fellow; -- in sport or contempt. \"A dandiprat hop-thumb.\" Stanyhurst. 2. A small coin. Henry VII. stamped a small coin called dandiprats. Camden.
dandle |1. To move up and down on one's knee or in one's arms, in affectionate play, as an infant. Ye shall be dandled . . . upon her knees. Is. 2. To treat with fondness, as if a child; to fondle; to toy with; to pet. They have put me in a silk gown and gaudy fool's cap; I as ashamed to be dandled thus. Addison. The book, thus dandled into popularity by bishops and good ladies, contained many pieces of nursery eloquence. Jeffrey. 3. To play with; to put off or delay by trifles; to wheedle. [Obs.] Captains do so dandle their doings, and dally in the service, as it they would not have the enemy subdued. Spenser.
dandler |One who dandles or fondles.
dandriff |See Dandruff. Swift.
dandruff |A scurf which forms on the head, and comes off in small or particles. [Written also dandriff.]
dandy |1. One who affects special finery or gives undue attention to dress; a fop; a coxcomb. 2. (Naut.) (a) A sloop or cutter with a jigger on which a lugsail is set. (b) A small sail carried at or near the stern of small boats; -- called also jigger, and mizzen. 3. A dandy roller. See below. Dandy brush, a yard whalebone brush. -- Dandy fever. See Dengue. -- Dandy line, a kind of fishing line to which are attached several crosspieces of whalebone which carry a hook at each end. -- Dandy roller, a roller sieve used in machines for making paper, to press out water from the pulp, and set the paper.
dandy-cock |A bantam fowl.
dandy-hen |A bantam fowl.
dandyise |To make, or to act, like a dandy; to dandify.
dandyish |Like a dandy.
dandyism |The manners and dress of a dandy; foppishness. Byron.
dandyize |To make, or to act, like a dandy; to dandify.
dandyling |A little or insignificant dandy; a contemptible fop.
dane |A native, or a naturalized inhabitant, of Denmark. Great Dane. (Zoöl.) See Danish dog, under Danish.
danegeld |An annual tax formerly laid on the English nation to buy off the ravages of Danish invaders, or to maintain forces to oppose them. It afterward became a permanent tax, raised by an assessment, at first of one shilling, afterward of two shillings, upon every hide of land throughout the realm. Wharton's Law Dict. Tomlins.
danegelt |An annual tax formerly laid on the English nation to buy off the ravages of Danish invaders, or to maintain forces to oppose them. It afterward became a permanent tax, raised by an assessment, at first of one shilling, afterward of two shillings, upon every hide of land throughout the realm. Wharton's Law Dict. Tomlins.
danewort |A fetid European species of elder (Sambucus Ebulus); dwarf elder; wallwort; elderwort; -- called also Daneweed, Dane's weed, and Dane's-blood. Note: [Said to grow on spots where battles were fought against the Danes.]
dang |imp. of Ding. [Obs.]\n\nTo dash. [Obs.] Till she, o'ercome with anguish, shame, and rage, Danged down to hell her loathsome carriage. Marlowe.
danger |1. Authority; jurisdiction; control. [Obs.] In dangerhad he . . . the young girls. Chaucer. 2. Power to harm; subjection or liability to penalty. [Obs.] See In one's danger, below. You stand within his danger, do you not Shak. Covetousness of gains hath brought [them] in dangerof this statute. Robynson (More's Utopia). 3. Exposure to injury, loss, pain, or other evil; peril; risk; insecurity. 4. Difficulty; sparingness. [Obs.] Chaucer. 5. Coyness; disdainful behavior. [Obs.] Chaucer. In one's danger, in one's power; liable to a penalty to be inflicted by him. [Obs.] This sense is retained in the proverb, \"Out of debt out of danger.\" Those rich man in whose debt and danger they be not. Robynson (More's Utopia). -- To do danger, to cause danger. [Obs.] Shak. Syn. -- Peril; hazard; risk; jeopardy. -- Danger, Peril, Hazard, Risk, Jeopardy. Danger is the generic term, and implies some contingent evil in prospect. Peril is instant or impending danger; as, in peril of one's life. Hazard arises from something fortuitous or beyond our control; as, the hazard of the seas. Risk is doubtful or uncertain danger, often incurred voluntarily; as, to risk an engagement. Jeopardy is extreme danger. Danger of a contagious disease; the perils of shipwreck; the hazards of speculation; the risk of daring enterprises; a life brought into jeopardy.\n\nTo endanger. [Obs.] Shak.
dangerful |Full of danger; dangerous. [Obs.] -- Dan\"ger*ful*ly, adv. [Obs.] Udall.
dangerless |Free from danger. [R.]
dangerous |1. Attended or beset with danger; full of risk; perilous; hazardous; unsafe. Our troops set forth to-morrow; stay with us; The ways are dangerous. Shak. It is dangerous to assert a negative. Macaulay. 2. Causing danger; ready to do harm or injury. If they incline to think you dangerous To less than gods. Milton. 3. In a condition of danger, as from illness; threatened with death. [Colloq.] Forby. Bartlett. 4. Hard to suit; difficult to please. [Obs.] My wages ben full strait, and eke full small; My lord to me is hard and dangerous. Chaucer. 5. Reserved; not affable. [Obs.] \"Of his speech dangerous.\" Chaucer. -- Dan\"ger*ous*ly, adv. -- Dan\"ger*ous*ness, n.
dangle |To hang loosely, or with a swinging or jerking motion. he'd rather on a gibbet dangle Than miss his dear delight, to wrangle. Hudibras. From her lifted hand Dangled a length of ribbon. Tennyson. To dangle about or after, to hang upon importunately; to court the favor of; to beset. The Presbyterians, and other fanatics that dangle after them, are well inclined to pull down the present establishment. Swift.\n\nTo cause to dangle; to swing, as something suspended loosely; as, to dangle the feet. And the bridegroom stood dangling his bonnet and plume. Sir W. Scott.
dangleberry |A dark blue, edible berry with a white bloom, and its shrub (Gaylussacia frondosa) closely allied to the common huckleberry. The bush is also called blue tangle, and is found from New England to Kentucky, and southward.
dangler |One who dangles about or after others, especially after women; a trifler. \" Danglers at toilets.\" Burke.
daniel |A Hebrew prophet distinguished for sagacity and ripeness of judgment in youth; hence, a sagacious and upright judge. A Daniel come to judgment. Shak.
danish |Belonging to the Danes, or to their language or country. -- n.  The language of the Danes. Danish dog (Zoöl.), one of a large and powerful breed of dogs reared in Denmark; -- called also great Dane. See Illustration in Appendix.
danite |1. A descendant of Dan; an Israelite of the tribe of Dan. Judges xiii. 2. 2. Etym: [So called in remembrance of the prophecy in Gen. xlix. 17, \"Dan shall be a serpent by the way,\" etc.]  One of a secret association of Mormons, bound by an oath to obey the heads of the church in all things. [U. S.]
dank |Damp; moist; humid; wet. Now that the fields are dank and ways are mire. Milton. Cheerless watches on the cold, dank ground. Trench.\n\nMoisture; humidity; water. [Obs.]\n\nA small silver coin current in Persia.
dankish |Somewhat dank. -- Dank\"ish*ness, n. In a dark and dankish vault at home. Shak.
dannebrog |The ancient battle standard of Denmark, bearing figures of cross and crown. Order of Dannebrog, an ancient Danish order of knighthood.
danseuse |a professional female dancer; a woman who dances at a public exhibition as in a ballet.
dansk |Danish. [Obs.]
dansker |A Dane. [Obs.] Inquire me first what Danskers are in Paris. Shak.
dantean |Relatingto, emanating from or resembling, the poet Dante or his writings.
dantesque |Dantelike; Dantean. Earle.
danubian |Pertainingto, or bordering on, the river Danube.
dap |To drop the bait gently on the surface of the water. To catch a club by dapping with a grasshoper. Walton.
dapatical |Sumptuous in cheer. [Obs.] Bailey.
daphne |1. (Bot.)  A genus of diminutive Shrubs, mostly evergreen, and with fragrant blossoms. 2. (Myth.)  A nymph of Diana, fabled to have been changed into a laurel tree.
daphnetin |A colorless crystalline substance, C9H6O4, extracted from daphnin.
daphnia |A genus of the genus Daphnia.
daphnin |(a) A dark green bitter resin extracted from the mezereon (Daphne mezereum) and regarded as the essential principle of the plant. [R.] (b) A white, crystalline, bitter substance, regarded as a glucoside, and extracted from Daphne mezereum and D. alpina.
daphnomancy |Divination by means of the laurel.
dapifer |One who brings meat to the table; hence, in some countries, the official title of the grand master or steward of the king's or a nobleman's household.
dapper |Little and active; spruce; trim; smart; neat in dress or appearance; lively. He wondered how so many provinces could be held in subjection by such a dapper little man. Milton. The dapper ditties that I wont devise. Spenser. Sharp-nosed, dapper steam yachts. Julian Hawthorne.
dapperling |A dwarf; a dandiprat. [r.]
dapple |One of the spots on a dappled animal. He has . . . as many eyes on his body as my gray mare hath dapples. Sir P. Sidney.\n\nMarked with spots of different shades of color; spotted; variegated; as, a dapple horse. Some dapple mists still floated along the peaks. Sir W. Scott. Note: The word is used in composition to denote that some color is variegated or marked with spots; as, dapple-bay; dapple-gray. His steed was all dapple-gray. Chaucer. O, swiftly can speed my dapple-gray steed. Sir W. Scott.\n\nTo variegate with spots; to spot. The gentle day, . . . Dapples the drowsy east with spots of gray. Shak. The dappled pink and blushing rose. Prior.
dappled |Marked with spots of different shades of color; spotted; variegated; as, a dapple horse. Some dapple mists still floated along the peaks. Sir W. Scott. Note: The word is used in composition to denote that some color is variegated or marked with spots; as, dapple-bay; dapple-gray. His steed was all dapple-gray. Chaucer. O, swiftly can speed my dapple-gray steed. Sir W. Scott.
darbies |Manacles; handcuffs. [Cant] Jem Clink will fetch you the darbies. Sir W. Scott. Note: In \"The Steel Glass\" by Gascoigne, printed in 1576, occurs the line \"To binde such babes in father Derbies bands.\",
  "flash boiler |A variety of water-tube boiler, used chiefly in steam automobiles, consisting of a nest of strong tubes with very little water space, kept nearly red hot so that the water as it trickles drop by drop into the tubes is immediately flashed into steam and superheated.
darby |A plasterer's float, having two handles; -- used in smoothing ceilings, etc.
darbyite |One of the Plymouth Brethren, or of a sect among them; -- so called from John N. Darby, one of the leaders of the Brethren.
dardanian |Trojan.
dare |To have adequate or sufficient courage for any purpose; to be bold or venturesome; not to be afraid; to venture. I dare do all that may become a man; Who dares do more is none. Shak. Why then did not the ministers use their new law Bacause they durst not, because they could not. Macaulay. Who dared to sully her sweet love with suspicion. Thackeray. The tie of party was stronger than the tie of blood, because a partisan was more ready to dare without asking why. Jowett (Thu Note: The present tense, I dare, is really an old past tense, so that the third person is he dare, but the form he dares is now often used, and will probably displace the obsolescent he dare, through grammatically as incorrect as he shalls or he cans. Skeat. The pore dar plede (the poor man dare plead). P. Plowman. You know one dare not discover you. Dryden. The fellow dares nopt deceide me. Shak. Here boldly spread thy hands, no venom'd weed Dares blister them, no slimly snail dare creep. Beau. & Fl. Note: Formerly durst was also used as the present. Sometimes the old form dare is found for durst or dared.\n\n1. To have courage for; to attempt courageously; to venture to do or to undertake. What high concentration of steady feeling makes men dare every thing and do anything Bagehot. To wrest it from barbarism, to dare its solitudes. The Century. 2. To challenge; to provoke; to defy. Time, I dare thee to discover Such a youth and such a lover. Dryden.\n\n1. The quality of daring; venturesomeness; boldness; dash. [R.] It lends a luster . . . A large dare to our great enterprise. Shak. 2. Defiance; challenge. Childish, unworthy dares Are not enought to part our powers. Chapman. Sextus Pompeius Hath given the dare to Cæsar. Shak.\n\nTo lurk; to lie hid. [Obs.] Chaucer.\n\nTo terrify; to daunt. [Obs.] For I have done those follies, those mad mischiefs, Would dare a woman. Beau. & Fl. To dare larks, to catch them by producing terror through to use of mirrors, scarlet cloth, a hawk, etc., so that they lie still till a net is thrown over them. Nares.\n\nA small fish; the dace.
dare-devil |A reckless fellow. Also used adjectively; as, dare-devil excitement. A humorous dare-devil -- the very man To suit my prpose. Ld. Lytton.
dare-deviltry |Reckless mischief; the action of a dare-devil.
dareful |Full af daring or of defiance; adveturous. [R.] Shak.
darer |One who dares or defies.
darg |A day's work; also, a fixed amount of work, whether more or less than that of a day. [Local, Eng. & Scott]
dargue |A day's work; also, a fixed amount of work, whether more or less than that of a day. [Local, Eng. & Scott]
daric |1. (Antiq.) (a) A gold coin of ancient Persia, weighing usually a little more than 128 grains, and bearing on one side of the figure of an archer. (b) A silver coin of about 86 grains, having the figure of an archer, and hence, in modern times, called a daric. 2. Any very pure gold coin.
daring |Boldness; fearlessness; adventurousness; also, a daring act.\n\nBold; fearless; adventurous; as, daring spirits. -- Dar\"ing*ly, adv. -- Dar\"ing*ness, n.
dariole |1. A crustade. [Obs.] 2.  A shell or cup of pastry filled with custard, whipped cream, crushed macaroons, etc.
dark |1. Destitute, or partially destitute, of light; not receiving, reflecting, or radiating light; wholly or partially black, or of some deep shade of color; not light-colored; as, a dark room; a dark day; dark cloth; dark paint; a dark complexion. O dark, dark, dark, amid the blaze of noon, Irrecoverable dark, total eclipse Without all hope of day! milton. In the dark and silent grave. Sir W. Raleigh. 2. Not clear to the understanding; not easily The dark problems of existence. Shairp. What may seem dark at the first, will afterward be found more plain. Hooker. What's your dark meaning, mouse, of this light word Shak. 3. Destitute of knowledge and culture; in moral or intellectual darkness; unrefined; ignorant. The age wherin he lived was dark, but he Cobld not want light who taught the world oto see. Denhan. The tenth century used to be reckoned by mediæval historians as the darkest part of this intellectual night. Hallam. 4. Evincing blaxk or foul traits of character; vile; wicked; atrocious; as, a dark villain; a dark deed. Left him at large to his own dark designs. Milton. 5. Foreboding evil; gloomy; jealous; suspicious. More dark and dark our woes. Shak. A deep melancholy took possesion of him, and gave a dark tinge to all his views of human nature. Macaulay. There is, in every true woman-s heart, a spark of heavenly fire, which beams and blazes in the dark hour of adversity. W. Irving. 6. Deprived of sight; blind. [Obs.] He was, I think, at this time quite dark, and so had been for some years. Evelyn. Note: Dark is sometimes used to qualify another adjective; as, dark blue, dark green, and sometimes it forms the first part of a compound; as, dark-haired, dark-eyed, dark-colored, dark-seated, dark-working. A dark horse, in racing or politics, a horse or a candidate whose chances of success are not known, and whose capabilities have not been made the subject of general comment or of wagers. [Colloq.] -- Dark house, Dark room, a house or room in which madmen were confined. [Obs.] Shak. -- Dark lantern. See Lantern. -- The Dark Ages, a period of stagnation and obscurity in literature and art, lasting, according to Hallam, nearly 1000 years, from about 500 to about 1500 A. D.. See Middle Ages, under Middle. -- The Dark and Bloody Ground, a phrase applied to the State of Kentucky, and said to be the significance of its name, in allusion to the frequent wars that were waged there between Indians. -- The dark day, a day (May 19, 1780) when a remarkable and unexplained darkness extended over all New England. -- To keep dark, to reveal nothing. [Low]\n\n1. Absence of light; darkness; obscurity; a place where there is little or no light. Here stood he in the dark, his sharp sword out. Shak. 2. The condition of ignorance; gloom; secrecy. Look, what you do, you do it still i' th' dark. Shak. Till we perceive by our own understandings, we are as mucdark, and as void of knowledge, as before. Locke. 3. (Fine Arts)  A dark shade or dark passage in a painting, engraving, or the like; as, the light and darks are well contrasted. The lights may serve for a repose to the darks, and the darks to the lights. Dryden.\n\nTo darken to obscure. [Obs.] Milton.
darken |1. To make dark or black; to deprite of light; to obscure; as, a darkened room. They [locusts] covered the face of the whole earth, so that the land was darkened. Ex. x. 15. So spake the Sovran Voice; and clouds began To darken all the hill. Milton. 2. To render dim; to deprive of vision. Let their eyes be darkened, that they may not see. Rom. xi. 10. 3. To cloud, obscure, or perplex; to render less clear or intelligible. Such was his wisdom that his confidence did seldom darkenhis foresight. Bacon. Who is this that darkeneth counsel by words without knowledge Job. xxxviii. 2. 4. To cast a gloom upon. With these forced thoughts, I prithee, darken not The mirth of the feast. Shak. 5. To make foul; to sully; to tarnish. I must not think there are Evils enough to darken all his goodness. Shak.\n\nTo grow or darker.
darkener |One who, or that which, darkens.
darkening |Twilight; gloaming. [Prov. Eng. & Scot.] Wright.
darkful |Full of darkness. [Obs.]
darkish |Somewhat dark; dusky.
darkle |To grow dark; to show indistinctly. Thackeray.
darkling |In the dark. [Poetic] So, out went the candle, and we were left darkling. Shak. As the wakeful bird Sings darkling. Milton.\n\n1. Becoming dark or gloomy; frowing. His honest brows darkling as he looked towards me. Thackeray. 2. Dark; gloomy. \"The darkling precipice.\" Moore.
darkly |1. With imperfect light, clearness, or knowledge; obscurely; dimly; blindly; uncertainly. What fame to future times conveys but darkly down. Dryden. so softly dark and darkly pure. Byron. 2. With a dark, gloomy, cruel, or menacing look. Looking darkly at the clerguman. Hawthorne.
darkness |1. The absence of light; blackness; obscurity; gloom. And darkness was upon the face of the deep. Gen. i. 2. 2. A state of privacy; secrecy. What I tell you in darkness, that speak ye in light. Matt. x. 27. 3. A state of ignorance or error, especially on moral or religious subjects; hence, wickedness; impurity. Men loved darkness rather than light, because their deeds were evil. John. iii. 19. Pursue these sons of darkness: drive them out From all heaven's bounds. Milton. 4. Want of clearness or perspicuity; obscurity; as, the darkness of a subject, or of a discussion. 5. A state of distress or trouble. A day of clouds and of thick darkness. Joel. ii. 2. Prince of darkness, the Devil; Satan. \"In the power of the Prince of darkness.\" Locke. Syn. -- Darkness, Dimness, Obscurity, Gloom. Darkness arises from a total, and dimness from a partial, want of light. A thing is obscure when so overclouded or covered as not to be easily perceived. As tha shade or obscurity increases, it deepens into gloom. What is dark is hidden from view; what is obscure is difficult to perceive or penetrate; the eye becomes dim with age; an impending storm fills the atmosphere with gloom. When taken figuratively, these words have a like use; as, the darkness of ignorance; dimness of discernment; obscurity of reasoning; gloom of superstition.
darksome |Dark; gloomy; obscure; shaded; cheerless. [Poetic] He brought him through a darksome narrow pass To a broad gate, all built of beaten gold. Spenser.
darky |A negro. [Sleng]
darling |One dearly beloved; a favorite. And can do naught but wail her darling's loss. Shak.\n\nDearly beloved; regarded with especial kindness and tenderness; favorite. \"Some darling science.\" I. Watts. \"Darling sin.\" Macaulay.
darlingtonia |A genus of California pitcher plants consisting of a single species. The long tubular leaves are hooded at the top, and frequently contain many insects drowned in the secretion of the leaves.
darn |To mend as a rent or hole, with interlacing stitches of yarn or thread by means of a needle; to sew together with yarn or thread. He spent every day ten hours in his closet, in darning his stockins. Swift. Darning last. See under Last. -- Darning needle. (a) A long, strong needle for mending holes or rents, especially in stockings. (b) (Zoöl.) Any species of dragon fly, having a long, cylindrical body, resembling a needle. These flies are harmless and without stings. Note: [In this sense, usually written with a hyphen.] Called also devil's darning-needle.\n\nA place mended by darning.\n\nA colloquial euphemism for Damn.
darnel |Any grass of the genus Lolium, esp. the Lolium temulentum (bearded darnel), the grains of which have been reputed poisonous. Other species, as Lolium perenne (rye grass or ray grass), and its variety L. Italicum (Italian rye grass), are highly esteemed for pasture and for making hay. Note: Under darnel our early herbalists comprehended all kinds of cornfield weeds. Dr. Prior.
darner |One who mends by darning.
darnex |Same as Dornick.
darnic |Same as Dornick.
daroo |The Egyptian sycamore (Ficus Sycamorus). See Sycamore.
darr |The European black tern.
darraign |1. To make ready to fight; to array. [Obs.] Darrain your battle, for they are at hand. Shak. 2. To fight out; to contest; to decide by combat. [Obs.] \"To darrain the battle.\" Chaucer .
darrain |1. To make ready to fight; to array. [Obs.] Darrain your battle, for they are at hand. Shak. 2. To fight out; to contest; to decide by combat. [Obs.] \"To darrain the battle.\" Chaucer .
darrein |Last; as, darrein continuance, the last continuance.
dart |1. A pointed missile weapon, intended to be thrown by the hand; a short lance; a javelin; hence, any sharp-pointed missile weapon, as an arrow. And he [Joab] took three darts in his hand, and thrust them through the heart of Absalom. 2 Sa. xviii. 14. 2. Anything resembling a dart; anything that pierces or wounds like a dart. The artful inquiry, whose venomed dart Scarce wounds the hearing while it stabs the heart. Hannan More. 3. A spear set as a prize in running. [Obs.] Chaucer. 4. (Zoöl.)  A fish; the dace. See Dace. Dart sac (Zoöl.), a sac connected with the reproductive organs of land snails, which contains a dart, or arrowlike structure.\n\n1. To throw with a sudden effort or thrust, as a dart or other missile weapon; to hurl or launch. 2. To throw suddenly or rapidly; to send forth; to emit; to shoot; as, the sun darts forth his beams. Or what ill eyes malignant glances dart Pope.\n\n1. To fly or pass swiftly, as a dart. 2. To start and run with velocity; to shoot rapidly along; as, the deer darted from the thicket.
dartars |A kind of scab or ulceration on the skin of lambs.
darter |1. One who darts, or who throw darts; that which darts. 2. (Zoöl.)  The snakebird, a water bird of the genus Plotus; -- so called because it darts out its long, snakelike neck at its prey. See Snakebird. 3. (Zoöl.)  A small fresh-water etheostomoid fish. The group includes numerous genera and species, all of them American. See Etheostomoid.
dartingly |Like a dart; rapidly.
dartle |To pierce or shoot through; to dart repeatedly: -- frequentative of dart. My star that dartles the red and the blue. R. Browning.
dartoic |Of or pertaining to the dartos.
dartoid |Like the dartos; dartoic; as, dartoid tissue.
dartos |A thin layer of peculiar contractile tissue directly beneath the skin of the scrotum.
dartrous |Relating to, or partaking of the nature of, the disease called tetter; herpetic. Dartroud diathesis, A morbid condition of the system predisposing to the development of certain skin deseases, such as eczema, psoriasis, and pityriasis. Also called rheumic diathesis, and hipretism. Piffard.
darwinian |Pertaining to Darwin; as, the Darwinian theory, a theory of the manner and cause of the supposed development of living things from certain original forms or elements. Note: This theory was put forth by Darwin in 1859 in a work entitled \"The Origin of species by Means of Natural Selection.\" The author argues that, in the struggle for existence, those plants and creatures best fitted to the requirements of the situation in which they are placed are the ones that will live; in other words, that Nature selects those which are survive. This is the theory of natural selection or the survival of the fillest. He also argues that natural selection is capable of modifying and producing organisms fit for their circumstances. See Development theory, under Development.\n\nAn advocate of Darwinism.
darwinianism |Darwinism.
darwinism |The theory or doctrines put forth by Darwin. See above. Huxley.
dase |See Daze. [Obs.] Chaucer.
dasewe |To become dim-sighted; to become dazed or dazzled. [Obs.] Chauscer.
