diminishable |Capable of being diminished or lessened.
direct action |See Syndicalism, below.
direct current |(a) A current flowing in one direction only; -- distinguished from alternating current. When steady and not pulsating a direct current is often called a continuous current. (b) A direct induced current, or momentary current of the same direction as the inducing current, produced by stopping or removing the latter; also, a similar current produced by removal of a magnet.
direct nomination |The nomination or designation of candidates for public office by direct popular vote rather than through the action of a convention or body of elected nominating representatives or delegates. The term is applied both to the nomination of candidates without any nominating convention, and, loosely, to the nomination effected, as in the case of candidates for president or senator of the United States, by the election of nominating representatives pledged or instructed to vote for certain candidates dssignated by popular vote.
direct primary |A primary by which direct nominations of candidates for office are made.
direct-acting |Acting directly, as one part upon another, without the intervention of other working parts. Direct-acting steam engine, one in which motion is transmitted to the crank without the intervention of a beam or lever; -- also called direct-action steam engine. -- Direct-acting steam pump, one in which the steam piston rod is directly connected with the pump rod; -- also called direct-action steam pump.
direct-coupled |Coupled without intermediate connections, as an engine and a dynamo. Direct-coupled antenna (Wireless Teleg.), an antenna connected electrically with one point of a closed oscillation circuit in syntony with it and earthed.
directer |One who directs; a director. Directer plane (Geom.), the plane to which all right-lined elements in a warped surface are parallel.
direction |1. The act of directing, of aiming, regulating, guiding, or ordering; guidance; management; superintendence; administration; as, the direction o. I do commit his youth To your direction. Shak. All nature is but art, unknown to thee;direction, which thou canst not see. Pope. 2. That which is imposed by directing; a guiding or authoritative instruction; prescription; order; command; as, he grave directions to the servants. The princes digged the well . . . by the direction of the law giver. Numb. xxi. 18. 3. The name and residence of a person to whom any thing is sent, written upon the thing sent; superscription; address; as, the direction of a letter. 4. The line or course upon which anything is moving or aimed to move, or in which anything is lying or pointing; aim; line or point of tendency; direct line or course; as, the ship sailed in a southeasterly direction. 5. The body of managers of a corporation or enterprise; board of directors. 6. (Gun.)  The pointing of a piece with reference to an imaginary vertical axis; -- distinguished from elevation. The direction is given when the plane of sight passes through the object. Wilhelm. Syn. -- Administration; guidance; management; superintendence; oversight; government; order; command; guide; clew. Direction, Control, Command, Order. These words, as here compared, have reference to the exercise of power over the actions of others. Control is negative, denoting power to restrain; command is positive, implying a right to enforce obedience; directions are commands containing instructions how to act. Order conveys more prominently the idea of authority than the word direction. A shipmaster has the command of his vessel; he gives orders or directions to the seamen as to the mode of sailing it; and exercises a due control over the passengers.
directive |1. Having power to direct; tending to direct, guide, or govern; showing the way. Hooker. The precepts directive of our practice in relation to God. Barrow. 2. Able to be directed; manageable. [Obs.] Swords and bows Directive by the limbs. Shak.
directly |1. In a direct manner; in a straight line or course. \"To run directly on.\" Shak. Indirectly and directly too Thou hast contrived against the very life Of the defendant. Shak. 2. In a straightforward way; without anything intervening; not by secondary, but by direct, means. 3. Without circumlocution or ambiguity; absolutely; in express terms. No man hath hitherto been so impious as plainly and directly to condemn prayer. Hooker. 4. Exactly; just. Stand you directly in Antonius' way. Shak. 5. Straightforwardly; honestly. I have dealt most directly in thy affair. Shak. 6. Manifestly; openly. [Obs.] Desdemona is directly in love with him. Shak. 7. Straightway; next in order; without delay; immediately. \"Will she go now to bed' Directly.'\" Shak. 8. Immediately after; as soon as. Directly he stopped, the coffin was removed. Dickens. Note: This use of the word is common in England, especially in colloquial speech, but it can hardly be regarded as a well-sanctioned or desirable use. Directly proportional (Math.), proportional in the order of the terms; increasing or decreasing together, and with a constant ratio; -- opposed to inversely proportional. Syn. -- Immediately; forthwith; straightway; instantly; instantaneously; soon; promptly; openly; expressly. -- Directly, Immediately, Instantly, Instantaneously. Directly denotes, without any delay or diversion of attention; immediately implies, without any interposition of other occupation; instantly implies, without any intervention of time. Hence, \"I will do it directly,\" means, \"I will go straightway about it.\" \"I will do it immediately,\" means, \"I will do it as the very next thing.\" \"I will do it instantly,\" allows not a particle of delay. Instantaneously, like instantly, marks an interval too small to be appreciable, but commonly relates to physical causes; as, the powder touched by fire instantaneously exploded.
directness |The quality of being direct; straightness; straightforwardness; immediateness.
directoire style |A style of dress prevalent at the time of the French Directory, characterized by great extravagance of design and imitating the Greek and Roman costumes.
director |1. One who, or that which, directs; one who regulates, guides, or orders; a manager or superintendent. In all affairs thou sole director. Swift. 2. One of a body of persons appointed to manage the affairs of a company or corporation; as, the directors of a bank, insurance company, or railroad company. What made directors cheat in South-Sea year Pope. 3. (Mech.)  A part of a machine or instrument which directs its motion or action. 4. (Surg.)  A slender grooved instrument upon which a knife is made to slide when it is wished to limit the extent of motion of the latter, or prevent its injuring the parts beneath.
directorate |The office of director; also, a body of directors taken jointly.
directorial |1. Having the quality of a director, or authoritative guide; directive. 2. Pertaining to: director or directory; specifically, relating to the Directory of France under the first republic. See Directory, 3. Whoever goes to the directorial presence under this passport. Burke.
directorship |The condition or office of a director; directorate.
directory |Containing directions; enjoining; instructing; directorial.\n\n1. A collection or body of directions, rules, or ordinances; esp., a book of directions for the conduct of worship; as, the Directory used by the nonconformists instead of the Prayer Book. 2. A book containing the names and residences of the inhabitants of any place, or of classes of them; an address book; as, a business directory. 3. Etym: [Cf. F. directoire.]  A body of directors; board of management; especially, a committee which held executive power in France under the first republic. 4. Direction; guide. [R.] Whitlock.
directress |A woman who directs. Bp. Hurd.
directrix |1. A directress. [R.] Jer. Taylor. 2. (Geom.) (a) A line along which a point in another line moves, or which in any way governs the motion of the point and determines the position of the curve generated by it; the line along which the generatrix moves in generating a surface. (b) A straight line so situated with respect to a conic section that the distance of any point of the curve from it has a constant ratio to the distance of the same point from the focus.
direful |Dire; dreadful; terrible; calamitous; woeful; as, a direful fiend; a direful day. -- Dire\"ful*ly, adv. -- Dire\"ful*ness, n.
direly |In a dire manner. Drayton.
dirempt |Divided; separated. [Obs.] Stow.\n\nTo separate by force; to tear apart. [Obs.] Holinshed.
diremption |A tearing apart; violent separation. [Obs.] Bp. Hall.
direness |Terribleness; horror; woefulness. Shak.
direption |The act of plundering, despoiling, or snatching away. [R.] Speed.
direptitious |Characterized by direption. [R.] Encyc. Dict.
direptitiously |With plundering violence; by violent injustice. [R.] Strype.
dirge |A piece of music of a mournful character, to accompany funeral rites; a funeral hymn. The raven croaked, and hollow shrieks of owls Sung dirges at her funeral. Ford.
dirgeful |Funereal; moaning. Soothed sadly by the dirgeful wind. Coleridge.
dirige |A service for the dead, in the Roman Catholic Church, being the first antiphon of Matins for the dead, of which Dirige is the first word; a dirge. Evensongs and placebo and dirige. Wyclif. Resort, I pray you, unto my sepulture To sing my dirige with great devotion. Lamentation of Mary Magdalene.
dirigent |Directing. Baxter.\n\nThe line of motion along which a describent line or surface is carried in the genesis of any plane or solid figure; a directrix. Hutton.
dirigible |Capable of being directed; steerable; as, a dirigible balloon.
diriment |Absolute. Diriment impediment (R. C. Ch.), an impediment that nullifies marriage.
dirk |A kind of dagger or poniard; -- formerly much used by the Scottish Highlander. Dirk knife, a clasp knife having a large, dirklike blade.\n\nTo stab with a dirk. Sir W. Scott.\n\nDark. [Obs.] Chaucer.\n\nTo darken. [Obs.] Spenser.
dirkness |Darkness. [Obs.] Chaucer.
dirl |To thrill; to vibrate; to penetrate. [Prov. Eng.] Halliwell.
dirt |1. Any foul of filthy substance, as excrement, mud, dust, etc.; whatever, adhering to anything, renders it foul or unclean; earth; as, a wagonload of dirt. Whose waters cast up mire and dirt. Is. lvii. 20. 2. Meanness; sordidness. Honors . . . thrown away upon dirt and infamy. Melmoth. 3. In placer mining, earth, gravel, etc., before washing. Dirt bed (Geom.), a layer of clayey earth forming a stratum in a geological formation. Dirt beds are common among the coal measures. -- Dirt eating. (a) The use of certain kinds of clay for food, existing among some tribes of Indians; geophagism. Humboldt. (b) (Med.) Same as Chthonophagia. -- Dirt pie, clay or mud molded by children in imitation of pastry. Otway (1684). -- To eat dirt, to submit in a meanly humble manner to insults; to eat humble pie.\n\nTo make foul of filthy; to dirty. Swift.
dirtily |In a dirty manner; foully; nastily; filthily; meanly; sordidly.
dirtiness |The state of being dirty; filthiness; foulness; nastiness; baseness; sordidness.
dirty |1. Defiled with dirt; foul; nasty; filthy; not clean or pure; serving to defile; as, dirty hands; dirty water; a dirty white. Spenser. 2. Sullied; clouded; -- applied to color. Locke. 3. Sordid; base; groveling; as, a dirty fellow. The creature's at his dirty work again. Pope. 4. Sleety; gusty; stormy; as, dirty weather. Storms of wind, clouds of dust, an angry, dirty sea. M. Arnold. Syn. -- Nasty; filthy; foul. See Nasty.\n\n1. To foul; to make filthy; to soil; as, to dirty the clothes or hands. 2. To tarnish; to sully; to scandalize; -- said of reputation, character, etc.
diruption |Disruption.
dis |The god Pluto. Shak.
dis- |. 1. A prefix from the Latin, whence F. dés, or sometimes dé-, dis-. The Latin dis- appears as di- before b, d, g, l, m, n, r, v, becomes dif- before f, and either dis- or di- before j. It is from the same root as bis twice, and duo, E. two. See Two, and cf. Bi-, Di-, Dia-. Dis- denotes separation, a parting from, as in distribute, disconnect; hence it often has the force of a privative and negative, as in disarm, disoblige, disagree. Also intensive, as in dissever. Note: Walker's rule of pronouncing this prefix is, that the s ought always to be pronounced like z, when the next syllable is accented and begins with \"a flat mute [b, d, v, g, z], a liquid [l, m, n, r], or a vowel; as, disable, disease, disorder, disuse, disband, disdain, disgrace, disvalue, disjoin, dislike, dislodge, dismay, dismember, dismiss, dismount, disnatured, disrank, disrelish, disrobe.\" Dr. Webster's example in disapproving of Walker's rule and pronouncing dis- as diz in only one (disease) of the above words, is followed by recent orthoëpists. See Disable, Disgrace, and the other words, beginning with dis-, in this Dictionary. 2. A prefix from Gr. Di-.
disability |1. State of being disabled; deprivation or want of ability; absence of competent physical, intellectual, or moral power, means, fitness, and the like. Grossest faults, or disabilities to perform what was covenanted. Milton. Chatham refused to see him, pleading his disability. Bancroft. 2. Want of legal qualification to do a thing; legal incapacity or incompetency. The disabilities of idiocy, infancy, and coverture. Abbott. Syn. -- Weakness; inability; incompetence; impotence; incapacity; incompetency; disqualification. -- Disability, Inability. Inability is an inherent want of power to perform the thing in question; disability arises from some deprivation or loss of the needed competency. One who becomes deranged is under a disability of holding his estate; and one who is made a judge, of deciding in his own case. A man may decline an office on account of his inability to discharge its duties; he may refuse to accept a trust or employment on account of some disability prevents him from entering into such engagements.
disable |Lacking ability; unable. [Obs.] \"Our disable and unactive force.\" Daniel.\n\n1. To render unable or incapable; to destroy the force, vigor, or power of action of; to deprive of competent physical or intellectual power; to incapacitate; to disqualify; to make incompetent or unfit for service; to impair. A Christian's life is a perpetual exercise, a wrestling and warfare, for which sensual pleasure disables him. Jer. Taylor. And had performed it, if my known offense Had not disabled me. Milton. I have disabled mine estate. Shak. 2. (Law)  To deprive of legal right or qualification; to render legally incapable. An attainder of the ancestor corrupts the blood, and disables his children to inherit. Blackstone. 3. To deprive of that which gives value or estimation; to declare lacking in competency; to disparage; to undervalue. [Obs.] \"He disabled my judgment.\" Shak. Syn. -- To weaken; unfit; disqualify; incapacitate.
disablement |Deprivation of ability; incapacity. Bacon.
disabuse |To set free from mistakes; to undeceive; to disengage from fallacy or deception; to set right. To undeceive and disabuse the people. South. If men are now sufficiently enlightened to disabuse themselves or artifice, hypocrisy, and superstition, they will consider this event as an era in their history. J. Adams.
disaccommodate |To put to inconvenience; to incommode. [R.] Bp. Warburton.
disaccommodation |A state of being unaccommodated or unsuited. [R.] Sir M. Hale.
disaccord |To refuse to assent. [Obs.] Spenser.\n\nDisagreement. Pop. Sci. Monthly.
disaccordant |Not accordant. Fabyan.
disaccustom |To destroy the force of habit in; to wean from a custom. Johnson.
disacidify |To free from acid.
disacknowledge |To refuse to acknowledge; to deny; to disown. [Obs.] South.
disacquaint |To render unacquainted; to make unfamiliar. [Obs.] While my sick heart With dismal smart Is disacquainted never. Herrick.
disacquaintance |Neglect of disuse of familiarity, or familiar acquaintance. [Obs.] South.
disacryl |A white amorphous substance obtained as a polymeric modification of acrolein.
disadorn |To deprive of ornaments. Congreve.
disadvance |To draw back, or cause to draw back. [Obs.] Spenser.
disadvantage |1. Deprivation of advantage; unfavorable or prejudicial quality, condition, circumstance, or the like; that which hinders success, or causes loss or injury. I was brought here under the disadvantage of being unknown by sight to any of you. Burke. Abandoned by their great patron, the faction henceforward acted at disadvantage. Palfrey. 2. Loss; detriment; hindrance; prejudice to interest, fame, credit, profit, or other good. They would throw a construction on his conduct, to his disadvantage before the public. Bancroft. Syn. -- Detriment; injury; hurt; loss; damage.\n\nTo injure the interest of; to be detrimental to.
disadvantageable |Injurious; disadvantageous. [Obs.] Bacon.
disadvantageous |Attended with disadvantage; unfavorable to success or prosperity; inconvenient; prejudicial; -- opposed to advantageous; as, the situation of an army is disadvantageous for attack or defense. Even in the disadvantageous position in which he had been placed, he gave clear indications of future excellence. Prescott. -- Dis*ad`van*ta\"geous*ly, adv. -- Dis*ad`van*ta\"geous*ness, n.
disadventure |Misfortune; mishap. [Obs.] Sir W. Raleigh.
disadventurous |Unprosperous; unfortunate. [Obs.] Spenser.
disadvise |To advise against; to dissuade from. [R.] Boyle.
disaffect |1. To alienate or diminish the affection of; to make unfriendly or less friendly; to fill with discontent and unfriendliness. They had attempted to disaffect and discontent his majesty's late army. Clarendon. 2. To disturb the functions of; to disorder. It disaffects the bowels. Hammond. 3. To lack affection for; to be alienated from, or indisposed toward; to dislike. [Obs.] Bp. Hall.
disaffected |Alienated in feeling; not wholly loyal. J. H. Newman. -- Dis`af*fect\"ed*ly, adv. -- Dis`af*fect\"ed*ness, n.
disaffection |1. State of being disaffected; alienation or want of affection or good will, esp. toward those in authority; unfriendliness; dislike. In the making laws, princes must have regard to . . . the affections and disaffections of the people. Jer. Taylor. 2. Disorder; bad constitution. [R.] Wiseman. Syn. -- Dislike; disgust; discontent; unfriendliness; alienation; disloyalty; hostility.
disaffectionate |Not disposed to affection; unfriendly; disaffected. [R.] Blount.
disaffirm |1. To assert the contrary of; to contradict; to deny; -- said of that which has been asserted. 2. (Law)  To refuse to confirm; to annul, as a judicial decision, by a contrary judgment of a superior tribunal.
disaffirmance |1. The act of disaffirming; denial; negation. 2. (Law)  Overthrow or annulment by the decision of a superior tribunal; as, disaffirmance of judgment.
disaffirmation |The act of disaffirming; negation; refutation.
disafforest |To reduce from the privileges of a forest to the state of common ground; to exempt from forest laws. By charter 9 Henry III. many forests were disafforested. Blackstone.
disaggregate |To destroy the aggregation of; to separate into component parts, as an aggregate mass.
disaggregation |The separation of an aggregate body into its component parts.
disagree |1. To fail to accord; not to agree; to lack harmony; to differ; to be unlike; to be at variance. They reject the plainest sense of Scripture, because it seems disagree with what they call reason. Atterbury. 2. To differ in opinion; to hold discordant views; to be at controversy; to quarrel. Who shall decide, when doctors disagree Pope. 3. To be unsuited; to have unfitness; as, medicine sometimes disagrees with the patient; food often disagrees with the stomach or the taste. Note: Usually followed by with, sometimes by to, rarely by from; as, I disagree to your proposal. Syn. -- To differ; vary; dissent.
disagreeable |1. Not agreeable, conformable, or congruous; Preach you truly the doctrine which you have received, and each nothing that is disagreeable thereunto. Udall. 2. Exciting repugnance; offensive to the feelings or That which is disagreeable to one is many times agreeable to another, or disagreeable in a less degree. Wollaston.
disagreeableness |The state or quality of being; disagreeable; unpleasantness.
disagreeably |In a disagreeable manner; unsuitably; offensively.
disagreeance |Disagreement. [Obs.]
disagreement |1. The state of disagreeing; a being at variance; dissimilitude; diversity. 2. Unsuitableness; unadaptedness. [R.] 3. Difference of opinion or sentiment. 4. A falling out, or controversy; difference. Syn. -- Difference; diversity; dissimilitude; unlikeness; discrepancy; variance; dissent; misunderstanding; dissension; division; dispute; jar; wrangle; discord.
disagreer |One who disagrees. Hammond.
disalliege |To alienate from allegiance. [Obs. & R.] Milton.
disallow |To refuse to allow; to deny the force or validity of; to disown and reject; as, the judge disallowed the executor's charge. To whom coming, as unto a living stone, disallowed indeed of men, but chosen of God. 1 Pet. ii. 4. That the edicts of Cæsar we may at all times disallow, but the statutes of God for no reason we may reject. Milton. Note: This verb was sometimes followed by of; as, \"What follows, if we disallow of this\" Shak. See Allow. Syn. -- To disapprove; prohibit; censure; reject.
disallowable |Not allowable; not to be suffered. Raleigh. -- Dis`al*low\"a*ble*ness, n.
disallowance |The act of disallowing; refusal to admit or permit; rejection. Syn. -- Disapprobation; prohibition; condemnation; censure; rejection.
disally |To part, as an alliance; to sunder. [R.] \"Disallied their nuptials.\" Milton.
disanchor |To raise the anchor of, as a ship; to weigh anchor. [Obs.] Heywood.
disangelical |Not angelical. [R.] \"Disangelical nature.\" Coventry.
disanimate |1. To deprive of life. [R.] Cudworth. 2. To deprive of spirit; to dishearten. Shak.
disanimation |1. Privation of life. [R.] Sir T. Browne. 2. The state of being disanimated or discouraged; depression of spirits.
disannex |To disunite; to undo or repeal the annexation of. State Trials (1608).
disannul |To annul completely; to render void or of no effect. For the Lord of hosts hath purposed, and who shall disannul Isaiah xiv. 27. Note: The prefix in this word an its derivatives is intensive, and not negative.
disannuller |One who disannuls.
disannulment |Complete annulment.
disanoint |To invalidate the consecration of; as, to disanoint a king. [Obs.] Milton.
disapparel |To disrobe; to strip of apparel; to make naked. Drink disapparels the soul. Junius (1635).
disappear |1. To cease to appear or to be perceived; to pass from view, gradually or suddenly; to vanish; to be no longer seen; as, darkness disappears at the approach of light; a ship disappears as she sails from port. 2. To cease to be or exist; as, the epidemic has disappeared.
disappearance |The act of disappearing; cessation of appearance; removal from sight; vanishing. Addison.
disappearing |p. pr. & vb. n. of Disappear. Disappearing carriage (Ordnance), a carriage for heavy coast guns on which the gun is raised above the parapet for firing and upon discharge is lowered behind the parapet for protection. The standard type of disappearing carriage in the coast artillery of the United States army is the Buffington-Crozier carriage, in which the gun trunnions are secured at the upper and after ends of a pair of heavy levers, at the lower ends of which is attached a counterweight of lead. The levers are pivoted at their middle points, which are, with the top carriage, permitted restrained motion along the slightly inclined chassis rails. The counterweight is held in place by a pawl and ratchet. When the gun is loaded the pawl is released and the counterweight sinks, raising the gun to the firing position above the parapet. The recoil following the discharge returns the gun to the loading position, the counterweight rising until the pawl engages the ratchet.
disappendency |A detachment or separation from a former connection. [R.]
disappendent |Freed from a former connection or dependence; disconnected. [R.]
disappoint |1. To defeat of expectation or hope; to hinder from the attainment of that which was excepted, hoped, or desired; to balk; as, a man is disappointed of his hopes or expectations, or his hopes, desires, intentions, expectations, or plans are disappointed; a bad season disappoints the farmer of his crops; a defeat disappoints an enemy of his spoil. I was disappointed, but very agreeably. Macaulay. Note: Disappointed of a thing not obtained; disappointed in a thing obtained. 2. To frustrate; to fail; to hinder of result. His retiring foe Shrinks from the wound, and disappoints the blow. Addison. Syn. -- To tantalize; fail; frustrate; balk; baffle; delude; foil; defeat. See Tantalize.
disappointed |1. Defeated of expectation or hope; balked; as, a disappointed person or hope. 2. Unprepared; unequipped. [Obs.] Cut off even in the blossoms of my sin, Unhouseled, disappointed, unaneled. Shak.
disappointment |1. The act of disappointing, or the state of being disappointed; defeat or failure of expectation or hope; miscarriage of design or plan; frustration. If we hope for things of which we have not thoroughly considered the value, our disappointment will be greater our pleasure in the fruition of them. Addison. In disappointment thou canst bless. Keble. 2. That which disappoints. Syn. -- Miscarriage; frustration; balk.
disappreciate |To undervalue; not to esteem. -- Dis`ap*pre`ci*a\"tion, n.
disapprobation |The act of disapproving; mental condemnation of what is judged wrong, unsuitable, or inexpedient; feeling of censure. We have ever expressed the most unqualified disapprobation of all the steps. Burke.
disapprobatory |Containing disapprobation; serving to disapprove.
disappropriate |Severed from the appropriation or possession of a spiritual corporation. The appropriation may be severed, and the church become disappropriate, two ways. Blackstone.\n\n1. To release from individual ownership or possession. Milton. 2. (Law)  To sever from appropriation or possession a spiritual corporation. Appropriations of the several parsonages . . . would heave been, by the rules of the common law, disappropriated. Blackstone.
disappropriation |The act of disappropriating.
disapproval |Disapprobation; dislike; censure; adverse judgment.
disapprove |1. To pass unfavorable judgment upon; to condemn by an act of the judgment; to regard as wrong, unsuitable, or inexpedient; to censure; as, to disapprove the conduct of others. 2. To refuse official approbation to; to disallow; to decline to sanction; as, the sentence of the court-martial was disapproved by the commander in chief. Note: This verb is often followed by of; as, to disapprove of an opinion, of such conduct. See Approve.
disapprover |One who disapproves.
disapprovingly |In a disapproving manner.
disard |See Dizzard. [Obs.] Burton.
disarm |1. To deprive of arms; to take away the weapons of; to deprive of the means of attack or defense; to render defenseless. Security disarms the best-appointed army. Fuller. The proud was half disarmed of pride. Tennyson. 2. To deprive of the means or the disposition to harm; to render harmless or innocuous; as, to disarm a man's wrath.
disarmament |The act of disarming.
disarmature |The act of divesting of armature. [R.]
disarmed |1. Deprived of arms. 2. (Her.)  Deprived of claws, and teeth or beaks. Cussans.
disarmer |One who disarms.
disarrange |To unsettle or disturb the order or due arrangement of; to throw out of order.
disarrangement |The act of disarranging, or the state of being disarranged; confusion; disorder. Cowper.
disarray |1. To throw into disorder; to break the array of. Who with fiery steeds Oft disarrayed the foes in battle ranged. Fenton. 2. To take off the dress of; to unrobe. So, as she bade, the witch they disarrayed. Spenser.\n\n1. Want of array or regular order; disorder; confusion. Disrank the troops, set all in disarray. Daniel. 2. Confused attire; undress. Spenser.
disarrayment |Disorder. [R.] Feltham.
disarticulate |To sunder; to separate, as joints. -- Dis`ar*tic`u*la\"tion, n.
disarticulator |One who disarticulates and prepares skeletons.
disassent |To dissent. [Obs.]\n\nDissent. [Obs.] E. Hall.
disassenter |One who disassents; a dissenter. [Obs.] State Trials (1634).
disassiduity |Want of as siduity or care. [R.] Sir H. Wotton.
disassimilate |To subject to disassimilation.
disassimilation |The decomposition of complex substances, within the organism, into simpler ones suitable only for excretion, with evolution of energy, -- a normal nutritional process the reverse of assimilation; downward metabolism. The breaking down of already existing chemical compounds into simpler ones, sometimes called disassimilation. Martin.
disassimilative |Having power to disassimilate; of the nature of disassimilation. Disassimilative processes constitute a marked feature in the life of animal cells. McKendrick.
disassociate |To disconnect from things associated; to disunite; to dissociate. Florio.
disaster |1. An unpropitious or baleful aspect of a planet or star; malevolent influence of a heavenly body; hence, an ill portent. [Obs.] Disasters in the sun. Shak. 2. An adverse or unfortunate event, esp. a sudden and extraordinary misfortune; a calamity; a serious mishap. But noble souls, through dust and heat, Rise from disaster and defeat The stronger. Longfellow. Syn. -- Calamity; misfortune; mishap; mischance; visitation; misadventure; ill luck. See Calamity.\n\n1. To blast by the influence of a baleful star. [Obs.] Sir P. Sidney. 2. To bring harm upon; to injure. [R.] Thomson.
disasterly |Disastrously. [Obs.] Drayton.
disastrous |1. Full of unpropitious stellar influences; unpropitious; ill-boding. [Obs.] The moon In dim eclipse, disastrous twilight sheds. Milton. 2. Attended with suffering or disaster; very unfortunate; calamitous; ill-fated; as, a disastrous day; a disastrous termination of an undertaking. Wherein I spake of most disastrous chances. Shak. -- Dis*as\"trous*ly, adv. -- Dis*as\"trous*ness, n.
disattire |To unrobe; to undress. Spenser.
disaugment |To diminish. [R.]
disauthorize |To deprive of credit or authority; to discredit. [R.] W. Wotton.
disavaunce |To retard; to repel; to do damage to. [Obs.] Chaucer.
disaventure |Misfortune. [Obs.] Spenser.
disaventurous |Misadventurous; unfortunate. [Obs.] Spenser.
disavouch |To disavow. [R.] Daniel.
disavow |1. To refuse strongly and solemnly to own or acknowledge; to deny responsibility for, approbation of, an the like; to disclaim; to disown; as, he was charged with embezzlement, but he disavows the crime. A solemn promise made and disavowed. Dryden. 2. To deny; to show the contrary of; to disprove. Yet can they never Toss into air the freedom of my birth, Or disavow my blood Plantagenet's. Ford.
disavowal |The act of disavowing, disclaiming, or disowning; rejection and denial. An earnest disavowal of fear often proceeds from fear. Richardson.
disavowance |Disavowal. [Obs.] South.
disavower |One who disavows.
disavowment |Disavowal. [R.] Wotton.
disband |1. To loose the bands of; to set free; to disunite; to scatter; to disperse; to break up the organization of; especially, to dismiss from military service; as, to disband an army. They disbanded themselves and returned, every man to his own dwelling. Knolles. 2. To divorce. [Obs.] And therefore . . . she ought to be disbanded. Milton.\n\nTo become separated, broken up, dissolved, or scattered; especially, to quit military service by breaking up organization. When both rocks and all things shall disband. Herbert. Human society would in a short space disband. Tillotson.
disbandment |The act of disbanding.
disbar |To expel from the bar, or the legal profession; to deprive (an attorney, barrister, or counselor) of his status and privileges as such. Abbott.
disbark |To disembark. Pope.\n\nTo strip of bark; to bark. [R.] Boyle.
disbarment |Act of disbarring.
disbase |To debase or degrade. [Obs.] Nor you nor your house were so much as spoken of before I disbased myself. B. Jonson.
disbecome |To misbecome. [Obs.] Massinger.
disbelief |The act of disbelieving;; a state of the mind in which one is fully persuaded that an opinion, assertion, or doctrine is not true; refusal of assent, credit, or credence; denial of belief. Our belief or disbelief of a thing does not alter the nature of the thing. Tillotson. No sadder proof can be given by a man of his own littleness that disbelief in great men. Carlyle. Syn. -- Distrust; unbelief; incredulity; doubt; skepticism. -- Disbelief, Unbelief. Unbelief is a mere failure to admit; disbelief is a positive rejection. One may be an unbeliever in Christianity from ignorance or want of inquiry; a unbeliever has the proofs before him, and incurs the guilt of setting them aside. Unbelief is usually open to conviction; disbelief is already convinced as to the falsity of that which it rejects. Men often tell a story in such a manner that we regard everything they say with unbelief. Familiarity with the worst parts of human nature often leads us into a disbelief in many good qualities which really exist among men.
disbelieve |Not to believe; to refuse belief or credence to; to hold not to be true or actual. Assertions for which there is abundant positive evidence are often disbelieved, on account of what is called their improbability or impossibility. J. S. Mill.
disbeliever |One who disbelieves, or refuses belief; an unbeliever. Specifically, one who does not believe the Christian religion. I. Watts.
disbench |1. To drive from a bench or seat. [R.] Shak. 2. (Eng. Law)  To deprive (a bencher) of his privileges. Mozley & W.
disbend |To unbend. [Obs.] Stirling.
disbind |To unbind; to loosen. [Obs.] Mede.
disblame |To clear from blame. [Obs.] Chaucer.
disbodied |Disembodied. [R.]
disboscation |Converting forest land into cleared or arable land; removal of a forest. Sir W. Scott.
disbowel |To disembowel. [R.] Spenser.
disbranch |To divest of a branch or branches; to tear off. Shak.
disbud |To deprive of buds or shoots, as for training, or economizing the vital strength of a tree.
disburden |To rid of a burden; to free from a load borne or from something oppressive; to unload; to disencumber; to relieve. He did it to disburden a conscience. Feltham. My mediations . . . will, I hope, be more calm, being thus disburdened. Hammond. Syn. -- To unload; unburden; discharge; free.\n\nTo relieve one's self of a burden; to ease the mind. Milton.
disburgeon |To strip of burgeons or buds; to disbud. [R.] Holland.
disburse |To pay out; to expend; -- usually from a public fund or treasury. The duty of collecting and disbursing his revenues. Macaulay. Disbursing officer, an officer in any department of the public service who is charged with the duty of paying out public money.
disbursement |1. The act of disbursing or paying out. The disbursement of the public moneys. U. S. Statutes. 2. That which is disbursed or paid out; as, the annual disbursements exceed the income.
disburser |One who disburses money.
disburthen |To disburden; to relieve of a load. [Archaic]
disc |A flat round plate; (Biol.)  a circular structure either in plants or animals; as, a blood disc, a germinal disc, etc. Same as Disk.
discage |To uncage. [R.] Tennyson.
discal |Pertaining to, or resembling, a disk; as, discal cells.
discalceate |To pull off shoes or sandals from. [Obs.] Cockeram.
discalceated |Deprived off shoes or sandals; unshod; discalced.
discalceation |The act of pulling off the shoes or sandals. [Obs.] Sir T. Browne.
discalced |Unshod; barefooted; -- in distinction from calced. \"The foundation of houses of discalced friars.\" Cardinal Manning's St. Teresa.
discamp |To drive from a camp. [Obs.] Holland.
discandy |To melt; to dissolve; to thaw. [Obs.]
discant |See Descant, n.
discapacitate |To deprive of capacity; to incapacitate. [R.]
discard |1. (Card Playing)  To throw out of one's hand, as superfluous cards; to lay aside (a card or cards). 2. To cast off as useless or as no longer of service; to dismiss from employment, confidence, or favor; to discharge; to turn away. They blame the favorites, and think it nothing extraordinary that the queen should . . . resolve to discard them. Swift. 3. To put or thrust away; to reject. A man discards the follies of boyhood. I. Taylor. Syn. -- To dismiss; displace; discharge; cashier.\n\nTo make a discard.\n\nThe act of discarding; also, the card or cards discarded.
discardure |Rejection; dismissal. [R.] Hayter.
discarnate |Stripped of flesh. [Obs.] \"Discarnate bones.\" Glanvill.
