autocratship |The office or dignity of an autocrat.
avoid |1. To empty. [Obs.] Wyclif. 2. To emit or throw out; to void; as, to avoid excretions. [Obs.] Sir T. Browne. 3. To quit or evacuate; to withdraw from. [Obs.] Six of us only stayed, and the rest avoided the room. Bacon. 4. To make void; to annul or vacate; to refute. How can these grants of the king's be avoided Spenser. 5. To keep away from; to keep clear of; to endeavor no to meet; to shun; to abstain from; as, to avoid the company of gamesters. What need a man forestall his date of grief. And run to meet what he would most avoid Milton. He carefully avoided every act which could goad them into open hostility. Macaulay. 6. To get rid of. [Obs.] Shak. 7. (Pleading)  To defeat or evade; to invalidate. Thus, in a replication, the plaintiff may deny the defendant's plea, or confess it, and avoid it by stating new matter. Blackstone. Syn. -- To escape; elude; evade; eschew. -- To Avoid, Shun. Avoid in its commonest sense means, to keep clear of, an extension of the meaning, to withdraw one's self from. It denotes care taken not to come near or in contact; as, to avoid certain persons or places. Shun is a stronger term, implying more prominently the idea of intention. The words may, however, in many cases be interchanged. No man can pray from his heart to be kept from temptation, if the take no care of himself to avoid it. Mason. So Chanticleer, who never saw a fox, Yet shunned him as a sailor shuns the rocks. Dryden.\n\n1. To retire; to withdraw. [Obs.] David avoided out of his presence. 1 Sam. xviii. 11. 2. (Law)  To become void or vacant. [Obs.] Ayliffe.
avoidable |1. Capable of being vacated; liable to be annulled or made invalid; voidable. The charters were not avoidable for the king's nonage. Hale. 2. Capable of being avoided, shunned, or escaped.
avoidance |1. The act of annulling; annulment. 2. The act of becoming vacant, or the state of being vacant; -- specifically used for the state of a benefice becoming void by the death, deprivation, or resignation of the incumbent. Wolsey, . . . on every avoidance of St. Peter's chair, was sitting down therein, when suddenly some one or other clapped in before him. Fuller. 3. A dismissing or a quitting; removal; withdrawal. 4. The act of avoiding or shunning; keeping clear of. \"The avoidance of pain.\" Beattie. 5. The courts by which anything is carried off. Avoidances and drainings of water. Bacon.
avoider |1. The person who carries anything away, or the vessel in which things are carried away. Johnson. 2. One who avoids, shuns, or escapes.
avoidless |Unavoidable; inevitable.
avoirdupois |1. Goods sold by weight. [Obs.] 2. Avoirdupois weight. 3. Weight; heaviness; as, a woman of much avoirdupois. [Colloq.] Avoirdupois weight, a system of weights by which coarser commodities are weighed, such as hay, grain, butter, sugar, tea. Note: The standard Avoirdupois pound of the United States is equivalent to the weight of 27.7015 cubic inches of distilled water at 62º Fahrenheit, the barometer being at 30 inches, and the water weighed in the air with brass weights. In this system of weights 16 drams make 1 ounce, 16 ounces 1 pound, 25 pounds 1 quarter, 4 quarters 1 hundred weight, and 20 hundred weight 1 ton. The above pound contains 7,000 grains, or 453.54 grams, so that 1 pound avoirdupois is equivalent to 1 31-144 pounds troy. (See Troy weight.) Formerly, a hundred weight was reckoned at 112 pounds, the ton being 2,240 pounds (sometimes called a long ton).
avoke |To call from or back again. [Obs.] Bp. Burnet.
avolate |To fly away; to escape; to exhale. [Obs.]
avolation |The act of flying; flight; evaporation. [Obs.]
avoset |A grallatorial bird, of the genus Recurvirostra; the scooper. The bill is long and bend upward toward the tip. The American species is R. Americana. [Written also avocette.]\n\nSame as Avocet.
avouch |1. To appeal to; to cite or claim as authority. [Obs.] They avouch many successions of authorities. Coke. 2. To maintain a just or true; to vouch for. We might be disposed to question its authencity, it if were not avouched by the full evidence. Milman. 3. To declare or assert positively and as matter of fact; to affirm openly. If this which he avouches does appear. Shak. Such antiquities could have been avouched for the Irish. Spenser. 4. To acknowledge deliberately; to admit; to confess; to sanction. Thou hast avouched the Lord this day to be thy God. Deut. xxvi. 17.\n\nEvidence; declaration. [Obs.] The sensible and true avouch Of mine own eyes. Shak.
avouchable |Capable of being avouched.
avoucher |One who avouches.
avouchment |The act of avouching; positive declaration. [Obs.] Milton.
avoutrer |See Advoutrer. [Obs.]
avoutrie |Adultery. [Obs.] Chaucer.
avow |1. To declare openly, as something believed to be right; to own or acknowledge frankly; as, a man avows his principles or his crimes. Which I to be the of Israel's God Avow, and challenge Dagon to the test. Milton. 2. (Law)  To acknowledge and justify, as an act done. See Avowry. Blackstone. Syn. -- To acknowledge; own; confess. See Confess.\n\nAvowal. [Obs.] Dryden.\n\nTo bind, or to devote, by a vow. [Obs.] Wyclif.\n\nA vow or determination. [Archaic]
avowable |Capable of being avowed, or openly acknowledged, with confidence. Donne.
avowal |An open declaration; frank acknowledgment; as, an avowal of such principles. Hume.
avowance |1. Act of avowing; avowal. 2. Upholding; defense; vindication. [Obs.] Can my avowance of king-murdering be collected from anything here written by me Fuller.
avowant |The defendant in replevin, who avows the distress of the goods, and justifies the taking. Cowell.
avowed |Openly acknowledged or declared; admitted. -- A*vow\"ed*ly (, adv.
avowee |The person who has a right to present to a benefice; the patron; an advowee. See Advowson.
avower |One who avows or asserts.
avowry |1. An advocate; a patron; a patron saint. [Obs.] Let God alone be our avowry. Latimer. 2. The act of the distrainer of goods, who, in an action of replevin, avows and justifies the taking in his own right. Blackstone. Note: When an action of replevin is brought, the distrainer either makes avowry, that is, avours taking the distress in his own right, or the right of his wife, and states the reason if it, as for arrears of rent, damage done, or the like; or makes cognizance, that is, acknowledges the taking, but justifies in an another's right, as his bailiff or servant.
avowtry |Adultery. See Advoutry.
avoyer |A chief magistrate of a free imperial city or canton of Switzerland. [Obs.]
avulse |To pluck or pull off. Shenstone.
avulsion |1. A tearing asunder; a forcible separation. The avulsion of two polished superficies. Locke. 2. A fragment torn off. J. Barlow. 3. (Law)  The sudden removal of lands or soil from the estate of one man to that of another by an inundation or a current, or by a sudden change in the course of a river by which a part of the estate of one man is cut off and joined to the estate of another. The property in the part thus separated, or cut off, continues in the original owner. Wharton. Burrill.
avuncular |Of or pertaining to an uncle. In these rare instances, the law of pedigree, whether direct or avuncular, gives way. I. Taylor.
await |1. To watch for; to look out for. [Obs.] 2. To wait on, serve, or attend. [Obs.] 3. To wait for; to stay for; to expect. See Expect. Betwixt these rocky pillars Gabriel sat, Chief of the angelic guards, awaiting night. Milton. 4. To be in store for; to be ready or in waiting for; as, a glorious reward awaits the good. O Eve, some farther change awaits us night. Milton.\n\n1. To watch. [Obs.] Chaucer. 2. To wait (on or upon). [Obs.] 3. To wait; to stay in waiting. Darwin.\n\nA waiting for; ambush; watch; watching; heed. [Obs.] Chaucer.
awake |1. To rouse from sleep.; to wake; to awaken. Where morning's earliest ray . . . awake her. Tennyson. And his disciples came to him, and awoke him, saying, Lord, save us; we perish. Matt. viii. 25. 2. To rouse from a state resembling sleep, as from death, stupidity., or inaction; to put into action; to give new life to; to stir up; as, to awake the dead; to awake the dormant faculties. I was soon awaked from this disagreeable reverie. Goldsmith. It way awake my bounty further. Shak. No sunny gleam awakes the trees. Keble.\n\nTo cease to sleep; to come out of a state of natural sleep; and, figuratively, out of a state resembling sleep, as inaction or death. The national spirit again awoke. Freeman. Awake to righteousness, and sin not. 1 Cor. xv. 34.\n\nNot sleeping or lethargic; roused from sleep; in a state of vigilance or action. Before whom awake I stood. Milton. She still beheld, Now wide awake, the vision of her sleep. Keats. He was awake to the danger. Froude.
awaken |To rouse from sleep or torpor; to awake; to wake. [He] is dispatched Already to awaken whom thou nam'st. Cowper. Their consciences are thoroughly awakened. Tillotson. Syn. -- To arouse; excite; stir up; call forth.
awakener |One who, or that which, awakens.
awakening |Rousing from sleep, in a natural or a figurative sense; rousing into activity; exciting; as, the awakening city; an awakening discourse; the awakening dawn. -- A*wak\"en*ing*ly, adv.\n\nThe act of awaking, or ceasing to sleep. Specifically: A revival of religion, or more general attention to religious matters than usual.
awakenment |An awakening. [R.]
awanting |Missing; wanting. [Prov. Scot. & Eng.] Sir W. Hamilton.
award |To give by sentence or judicial determination; to assign or apportion, after careful regard to the nature of the case; to adjudge; as, the arbitrators awarded damages to the complainant. To review The wrongful sentence, and award a new. Dryden.\n\nTo determine; to make an ~.\n\n1. A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted.\"Impatient for the award.\" Cowper. An award had been given against. Gilpin. 2. The paper containing the decision of arbitrators; that which is warded. Bouvier.
awarder |One who awards, or assigns by sentence or judicial determination; a judge.
aware |1. Watchful; vigilant or on one's guard against danger or difficulty. 2. Apprised; informed; cognizant; conscious; as, he was aware of the enemy's designs. Aware of nothing arduous in a task They never undertook. Cowper.
awarn |To warn. [Obs.] Spenser.
awash |Washed by the waves or tide; -- said of a rock or strip of shore, or (Naut.) of an anchor, etc., when flush with the surface of the water, so that the waves break over it.
away |1. From a place; hence. The sound is going away. Shak. Have me away, for I am sore wounded. 2 Chron. xxxv. 23. 2. Absent; gone; at a distance; as, the master is away from home. 3. Aside; off; in another direction. The axis of rotation is inclined away from the sun. Lockyer. 4. From a state or condition of being; out of existence. Be near me when I fade away. Tennyson. 5. By ellipsis of the verb, equivalent to an imperative: Go or come ~; begone; take ~. And the Lord said . . . Away, get thee down. Exod. xix. 24. 6. On; in continuance; without intermission or delay; as, sing away. [Colloq.] Note: It is much used in phrases signifying moving or going from; as, go away, run away, etc.; all signifying departure, or separation to a distance. Sometimes without the verb; as, whither away so fast \"Love hath wings, and will away.\" Waller. It serves to modify the sense of certain verbs by adding that of removal, loss, parting with, etc.; as, to throw away; to trifle away; to squander away, etc. Sometimes it has merely an intensive force; as, to blaze away. Away with, bear, abide. [Obs. or Archaic] \"The calling of assemblies, I can not away with.\" (Isa. i. 13 ), i. e., \"I can not bear or endure [it].\" -- Away with one, signifies, take him away. \"Away with, crucify him.\" John xix. 15. -- To make away with. (a) To kill or destroy. (b) To carry off.
away-going |Sown during the last years of a tenancy, but not ripe until after its expiration; -- said of crops. Wharton.
awayward |Turned away; away. [Obs.] Chaucer.
awe |1. Dread; great fear mingled with respect. [Obs. or Obsolescent] His frown was full of terror, and his voice Shook the delinquent with such fits of awe. Cowper. 2. The emotion inspired by something dreadful and sublime; an undefined sense of the dreadful and the sublime; reverential fear, or solemn wonder; profound reverence. There is an awe in mortals' joy, A deep mysterious fear. Keble. To tame the pride of that power which held the Continent in awe. Macaulay. The solitude of the desert, or the loftiness of the mountain, may fill the mind with awe -- the sense of our own littleness in some greater presence or power. C. J. Smith. To stand in awe of, to fear greatly; to reverence profoundly. Syn. -- See Reverence.\n\nTo strike with fear and reverence; to inspire with awe; to control by inspiring dread. That same eye whose bend doth awe the world. Shak. His solemn and pathetic exhortation awed and melted the bystanders. Macaulay.
awe-stricken |Awe-struck.
awe-struck |Struck with awe. Milton.
awearied |Wearied. [Poetic]
aweary |Weary. [Poetic] \"I begin to be aweary of thee.\" Shak.
aweather |On the weather side, or toward the wind; in the direction from which the wind blows; -- opposed to alee; as, helm aweather ! Totten.
aweigh |Just drawn out of the ground, and hanging perpendicularly; atrip; -- said of the anchor. Totten.
aweless |See Awless.
awesome |1. Causing awe; appalling; awful; as, an awesome sight. Wright. 2. Expressive of awe or terror. An awesome glance up at the auld castle. Sir W. Scott.
awesomeness |The quality of being awesome.
awful |1. Oppressing with fear or horror; appalling; terrible; as, an awful scene. \"The hour of Nature's awful throes.\" Hemans. 2. Inspiring awe; filling with profound reverence, or with fear and admiration; fitted to inspire reverential fear; profoundly impressive. Heaven's awful Monarch. Milton. 3. Struck or filled with awe; terror-stricken. [Obs.] A weak and awful reverence for antiquity. I. Watts. 4. Worshipful; reverential; law-abiding. [Obs.] Thrust from the company of awful men. Shak. 5. Frightful; exceedingly bad; great; -- applied intensively; as, an awful bonnet; an awful boaster. [Slang] Syn. -- See Frightful.
awfully |1. In an awful manner; in a manner to fill with terror or awe; fearfully; reverently. 2. Very; excessively. [Slang]
awfulness |1. The quality of striking with awe, or with reverence; dreadfulness; solemnity; as, the awfulness of this sacred place. The awfulness of grandeur. Johnson. 2. The state of being struck with awe; a spirit of solemnity; profound reverence. [Obs.] Producing in us reverence and awfulness. Jer. Taylor.
awhape |To confound; to terrify; to amaze. [Obs.] Spenser.
awhile |For a while; for some time; for a short time.
awing |On the wing; flying; fluttering. Wallace.
awk |1. Odd; out of order; perverse. [Obs.] 2. Wrong, or not commonly used; clumsy; sinister; as, the awk end of a rod (the but end). [Obs.] Golding. 3. Clumsy in performance or manners; unhandy; not dexterous; awkward. [Obs. or Prov. Eng.]\n\nPerversely; in the wrong way. L'Estrange.
awkly |1. In an unlucky (left-handed) or perverse manner. [Obs.] Holland. 2. Awkwardly. [Obs.] Fuller.
awkward |1. Wanting dexterity in the use of the hands, or of instruments; not dexterous; without skill; clumsy; wanting ease, grace, or effectiveness in movement; ungraceful; as, he was awkward at a trick; an awkward boy. And dropped an awkward courtesy. Dryden. 2. Not easily managed or effected; embarrassing. A long and awkward process. Macaulay. An awkward affair is one that has gone wrong, and is difficult to adjust. C. J. Smith. 3. Perverse; adverse; untoward. [Obs.] \"Awkward casualties.\" \"Awkward wind.\" Shak. O blind guides, which being of an awkward religion, do strain out a gnat, and swallow up a cancel. Udall. Syn. -- Ungainly; unhandy; clownish; lubberly; gawky; maladroit; bungling; inelegant; ungraceful; unbecoming. -- Awkward, Clumsy, Uncouth. Awkward has a special reference to outward deportment. A man is clumsy in his whole person, he is awkward in his gait and the movement of his limbs. Clumsiness is seen at the first view. Awkwardness is discovered only when a person begins to move. Hence the expressions, a clumsy appearance, and an awkward manner. When we speak figuratively of an awkward excuse, we think of a want of ease and grace in making it; when we speak of a clumsy excuse, we think of the whole thing as coarse and stupid. We apply the term uncouth most frequently to that which results from the want of instruction or training; as, uncouth manners; uncouth language. -- Awk\"ward*ly (, adv. -- Awk\"ward*ness, n.
awkward squad |A squad of inapt recruits assembled for special drill.
awl |A pointed instrument for piercing small holes, as in leather or wood; used by shoemakers, saddlers, cabinetmakers, etc. The blade is differently shaped and pointed for different uses, as in the brad awl, saddler's awl, shoemaker's awl, etc.
awl-shaped |1. Shaped like an awl. 2. (Nat. Hist.)  Subulate. See Subulate. Gray.
awless |1. Wanting reverence; void of respectful fear. \"Awless insolence.\" Dryden. 2. Inspiring no awe. [Obs.] \"The awless throne.\" Shak. [Written also aweless]
awlessness |The quality of being awless.
awlwort |A plant (Subularia aquatica), with awl-shaped leaves.
awm |See Aam.
awn |The bristle or beard of barley, oats, grasses, etc., or any similar bristlelike appendage; arista. Gray.
awned |Furnished with an awn, or long bristle-shaped tip; bearded. Gray.
awning |1. A rooflike cover, usually of canvas, extended over or before any place as a shelter from the sun, rain, or wind. 2. (Naut.) That part of the poop deck which is continued forward beyond the bulkhead of the cabin.
awninged |Furnished with an awning.
awnless |Without awns or beard.
awny |Having awns; bearded.
awork |At work; in action. \"Set awork.\" Shak.
aworking |At work; in action. [Archaic or Colloq.] Spenser.
awreak |To avenge. [Obs.] See Wreak.
awreke |To avenge. [Obs.] See Wreak.
awrong |Wrongly. Ford.
awry |1. Turned or twisted toward one side; not in a straight or true direction, or position; out of the right course; distorted; obliquely; asquint; with oblique vision; as, to glance awry. \"Your crown's awry.\" Shak. Blows them transverse, ten thousand leagues awry. Into the devious air. Milton. 2. Aside from the line of truth, or right reason; unreasonable or unreasonably; perverse or perversely. Or by her charms Draws him awry, enslaved. Milton. Nothing more awry from the law of God and nature than that a woman should give laws to men. Milton.
awsome |Same as Awesome.
ax |A tool or instrument of steel, or of iron with a steel edge or blade, for felling trees, chopping and splitting wood, hewing timber, etc. It is wielded by a wooden helve or handle, so fixed in a socket or eye as to be in the same plane with the blade. The broadax, or carpenter's ax, is an ax for hewing timber, made heavier than the chopping ax, and with a broader and thinner blade and a shorter handle. Note: The ancient battle-ax had sometimes a double edge. Note: The word is used adjectively or in combination; as, axhead or ax head; ax helve; ax handle; ax shaft; ax-shaped; axlike. Note: This word was originally spelt with e, axe; and so also was nearly every corresponding word of one syllable: as, flaxe, taxe, waxe, sixe, mixe, pixe, oxe, fluxe, etc. This superfluous e is not dropped; so that, in more than a hundred words ending in x, no one thinks of retaining the e except in axe. Analogy requires its exclusion here. Note: \"The spelling ax is better on every ground, of etymology, phonology, and analogy, than axe, which has of late become prevalent.\" New English Dict. (Murray).\n\nTo ask; to inquire or inquire of. Note: This word is from Saxon, and is as old as the English language. Formerly it was in good use, but now is regarded as a vulgarism. It is still dialectic in England, and is sometimes heard among the uneducated in the United States. \"And Pilate axide him, Art thou king of Jewis\" \"Or if he axea fish.\" Wyclif. 'bdThe king axed after your Grace's welfare.\" Pegge.
axal |[See Axial.] [R.]
axe |A tool or instrument of steel, or of iron with a steel edge or blade, for felling trees, chopping and splitting wood, hewing timber, etc. It is wielded by a wooden helve or handle, so fixed in a socket or eye as to be in the same plane with the blade. The broadax, or carpenter's ax, is an ax for hewing timber, made heavier than the chopping ax, and with a broader and thinner blade and a shorter handle. Note: The ancient battle-ax had sometimes a double edge. Note: The word is used adjectively or in combination; as, axhead or ax head; ax helve; ax handle; ax shaft; ax-shaped; axlike. Note: This word was originally spelt with e, axe; and so also was nearly every corresponding word of one syllable: as, flaxe, taxe, waxe, sixe, mixe, pixe, oxe, fluxe, etc. This superfluous e is not dropped; so that, in more than a hundred words ending in x, no one thinks of retaining the e except in axe. Analogy requires its exclusion here. Note: \"The spelling ax is better on every ground, of etymology, phonology, and analogy, than axe, which has of late become prevalent.\" New English Dict. (Murray).\n\nSee Ax, Axman.
axeman |See Ax, Axman.
axial |1. Of or pertaining to an axis; of the nature of, or resembling, an axis; around an axis. To take on an axial, and not an equatorial, direction. Nichol. 2. (Anat.)  Belonging to the axis of the body; as, the axial skeleton; or to the axis of any appendage or organ; as, the axial bones. Axial line (Magnetism), the line taken by the magnetic force in passing from one pole of a horseshoe magnet to the other. Faraday.
axially |In relation to, or in a line with, an axis; in the axial (magnetic) line.
axil |The angle or point of divergence between the upper side of a branch, leaf, or petiole, and the stem or branch from which it springs. Gray.
axile |Situated in the axis of anything; as an embryo which lies in the axis of a seed. Gray.
axilla |The armpit, or the cavity beneath the junction of the arm and shoulder. 2. (Bot.)  An axil.
axillar |Axillary.
axillaries |Feathers connecting the under surface of the wing and the body, and concealed by the closed wing.
axillars |Feathers connecting the under surface of the wing and the body, and concealed by the closed wing.
axillary |1. (Anat.)  Of or pertaining to the axilla or armpit; as, axillary gland, artery, nerve. 2. (Bot.)  Situated in, or rising from, an axil; of or pertaining to an axil. \"Axillary buds.\" Gray.
axinite |A borosilicate of alumina, iron, and lime, commonly found in glassy, brown crystals with acute edges.
axinomancy |A species of divination, by means of an ax or hatchet.
axiom |1. (Logic & Math.)  A self-evident and necessary truth, or a proposition whose truth is so evident as first sight that no reasoning or demonstration can make it plainer; a proposition which it is necessary to take for granted; as, \"The whole is greater than a part;\" \"A thing can not, at the same time, be and not be.\" 2. An established principle in some art or science, which, though not a necessary truth, is universally received; as, the axioms of political economy. Syn. -- Axiom, Maxim, Aphorism, Adage. An axiom is a self-evident truth which is taken for granted as the basis of reasoning. A maxim is a guiding principle sanctioned by experience, and relating especially to the practical concerns of life. An aphorism is a short sentence pithily expressing some valuable and general truth or sentiment. An adage is a saying of long-established authority and of universal application.
axiomatic |Of or pertaining to an axiom; having the nature of an axiom; self-evident; characterized by axioms. \"Axiomatical truth.\" Johnson. The stores of axiomatic wisdom. I. Taylor.
axiomatical |Of or pertaining to an axiom; having the nature of an axiom; self-evident; characterized by axioms. \"Axiomatical truth.\" Johnson. The stores of axiomatic wisdom. I. Taylor.
axiomatically |By the use of axioms; in the form of an axiom.
axis |The spotted deer (Cervus axis or Axis maculata) of India, where it is called hog deer and parrah (Moorish name).\n\nA straight line, real or imaginary, passing through a body, on which it revolves, or may be supposed to revolve; a line passing through a body or system around which the parts are symmetrically arranged. 2. (Math.)  A straight line with respect to which the different parts of a magnitude are symmetrically arranged; as, the axis of a cylinder, i. e., the axis of a cone, that is, the straight line joining the vertex and the center of the base; the axis of a circle, any straight line passing through the center. 3. (Bot.)  The stem; the central part, or longitudinal support, on which organs or parts are arranged; the central line of any body. Gray. 4. (Anat.) (a) The second vertebra of the neck, or vertebra dentata. (b) Also used of the body only of the vertebra, which is prolonged anteriorly within the foramen of the first vertebra or atlas, so as to form the odontoid process or peg which serves as a pivot for the atlas and head to turn upon. 5. (Crystallog.)  One of several imaginary lines, assumed in describing the position of the planes by which a crystal is bounded. 6. (Fine Arts)  The primary of secondary central line of any design. Anticlinal axis (Geol.), a line or ridge from which the strata slope downward on the two opposite sides. -- Synclinal axis, a line from which the strata slope upward in opposite directions, so as to form a valley. -- Axis cylinder (Anat.), the neuraxis or essential, central substance of a nerve fiber; -- called also axis band, axial fiber, and cylinder axis. -- Axis in peritrochio, the wheel and axle, one of the mechanical powers. -- Axis of a curve (Geom.), a straight line which bisects a system of parallel chords of a curve; called a principal axis, when cutting them at right angles, in which case it divides the curve into two symmetrical portions, as in the parabola, which has one such axis, the ellipse, which has two, or the circle, which has an infinite number. The two axes of the ellipse are the major axis and the minor axis, and the two axes of the hyperbola are the transverse axis and the conjugate axis. -- Axis of a lens, the straight line passing through its center and perpendicular to its surfaces. -- Axis of a telescope or microscope, the straight line with which coincide the axes of the several lenses which compose it. -- Axes of coördinates in a plane, to straight lines intersecting each other, to which points are referred for the purpose of determining their relative position: they are either rectangular or oblique. -- Axes of coördinates in space, the three straight lines in which the coördinate planes intersect each other. -- Axis of a balance, that line about which it turns. -- Axis of oscillation, of a pendulum, a right line passing through the center about which it vibrates, and perpendicular to the plane of vibration. -- Axis of polarization, the central line around which the prismatic rings or curves are arranged. Brewster. -- Axis of revolution (Descriptive Geom.), a straight line about which some line or plane is revolved, so that the several points of the line or plane shall describe circles with their centers in the fixed line, and their planes perpendicular to it, the line describing a surface of revolution, and the plane a solid of revolution. -- Axis of symmetry (Geom.), any line in a plane figure which divides the figure into two such parts that one part, when folded over along the axis, shall coincide with the other part. -- Axis of the equator, ecliptic, horizon (or other circle considered with reference to the sphere on which it lies), the diameter of the sphere which is perpendicular to the plane of the circle. Hutton. -- Axis of the Ionic capital (Arch.), a line passing perpendicularly through the middle of the eye of the volute. -- Neutral axis (Mech.), the line of demarcation between the horizontal elastic forces of tension and compression, exerted by the fibers in any cross section of a girder. -- Optic axis of a crystal, the direction in which a ray of transmitted light suffers no double refraction. All crystals, not of the isometric system, are either uniaxial or biaxial. -- Optic axis, Visual axis (Opt.), the straight line passing through the center of the pupil, and perpendicular to the surface of the eye. -- Radical axis of two circles (Geom.), the straight line perpendicular to the line joining their centers and such that the tangents from any point of it to the two circles shall be equal to each other. -- Spiral axis (Arch.), the axis of a twisted column drawn spirally in order to trace the circumvolutions without. -- Axis of abscissas and Axis of ordinates. See Abscissa.
axle |1. The pin or spindle on which a wheel revolves, or which revolves with a wheel. 2. A transverse bar or shaft connecting the opposite wheels of a car or carriage; an axletree. 3. An axis; as, the sun's axle. Had from her axle torn The steadfast earth. Milton. Note: Railway axles are called leading and trailing from their position in the front or in the rear of a car or truck respectively.
axle box |1. A bushing in the hub of a wheel, through which the axle passes. 2. The journal box of a rotating axle, especially a railway axle. Note: In railway construction, the axle guard, or pedestal, with the superincumbent weight, rests on the top of the box (usually with a spring intervening), and holds it in place by flanges. The box rests upon the journal bearing and key, which intervene between the inner top of the box and the axle.
axle guard |The part of the framing of a railway car or truck, by which an axle box is held laterally, and in which it may move vertically; -- also called a jaw in the United States, and a housing in England.
axled |Having an axle; -- used in composition. Merlin's agate-axled car. T. Warton.
axletree |1. A bar or beam of wood or iron, connecting the opposite wheels of a carriage, on the ends of which the wheels revolve. 2. A spindle or axle of a wheel. [Obs.]
axman |One who wields an ax.
axminster |An Axminster carpet, an imitation Turkey carpet, noted for its thick and soft pile; -- so called from Axminster, Eng.\n\n(a) [More fully chenille Axminster.] A variety of Turkey carpet, woven by machine or, when more than 27 inches wide, on a hand loom, and consisting of strips of worsted chenille so colored as to produce a pattern on a stout jute backing. It has a fine soft pile. So called from Axminster, England, where it was formerly (1755 -- 1835) made. (b) A similar but cheaper machine-made carpet, resembling moquette in construction and appearance, but finer and of better material.
axminster carpet |(a) [More fully chenille Axminster.] A variety of Turkey carpet, woven by machine or, when more than 27 inches wide, on a hand loom, and consisting of strips of worsted chenille so colored as to produce a pattern on a stout jute backing. It has a fine soft pile. So called from Axminster, England, where it was formerly (1755 -- 1835) made. (b) A similar but cheaper machine-made carpet, resembling moquette in construction and appearance, but finer and of better material.
axolotl |An amphibian of the salamander tribe found in the elevated lakes of Mexico; the siredon. Note: When it breeds in captivity the young develop into true salamanders of the genus Amblystoma. This also occurs naturally under favorable conditions, in its native localities; although it commonly lives and breeds in a larval state, with persistent external gills. See Siredon.
axstone |A variety of jade. It is used by some savages, particularly the natives of the South Sea Islands, for making axes or hatchets.
axtree |Axle or axletree. [Obs.] Drayton.
axunge |Fat; grease; esp. the fat of pigs or geese; usually (Pharm.), lard prepared for medical use.
ay |Ah! alas! \"Ay me! I fondly dream `Had ye been there.'\" Milton.\n\nSame as Aye.\n\nYes; yea; -- a word expressing assent, or an affirmative answer to a question. It is much used in viva voce voting in legislative bodies, etc. Note: This word is written I in the early editions of Shakespeare and other old writers.\n\nAlways; ever; continually; for an indefinite time. For his mercies aye endure. Milton. For aye, always; forever; eternally.
ayah |A native nurse for children; also, a lady's maid. [India]
aye |Yes; yea; -- a word expressing assent, or an affirmative answer to a question. It is much used in viva voce voting in legislative bodies, etc. Note: This word is written I in the early editions of Shakespeare and other old writers.\n\nAn affirmative vote; one who votes in the affirmative; as, \"To call for the ayes and noes;\" \"The ayes have it.\"\n\nAlways; ever; continually; for an indefinite time. For his mercies aye endure. Milton. For aye, always; forever; eternally.
aye-aye |A singular nocturnal quadruped, allied to the lemurs, found in Madagascar (Cheiromys Madagascariensis), remarkable for its long fingers, sharp nails, and rodent-like incisor teeth.
ayegreen |The houseleek (Sempervivum tectorum). Halliwell.
ayein |Again; back against. [Obs.] Chaucer.
ayeins |Again; back against. [Obs.] Chaucer.
ayen |Again; back against. [Obs.] Chaucer.
ayenward |Backward. [Obs.] Chaucer.
ayle |A grandfather. [Obs.] Writ of Ayle, an ancient English writ which lay against a stranger who had dispossessed the demandant of land of which his grandfather died seized.
ayme |The utterance of the ejaculation \"Ay me !\" [Obs.] See Ay, interj. \"Aymees and hearty heigh-hoes.\" J. Fletcher.
ayond |Beyond. [North of Eng.]
ayont |Beyond. [Scot.]
ayrie |See Aerie. Drayton.
ayrshire |One of a superior breed of cattle from Ayrshire, Scotland. Ayrshires are notable for the quantity and quality of their milk.
ayry |See Aerie. Drayton.
ayuntamiento |In Spain and Spanish America, a corporation or body of magistrates in cities and towns, corresponding to mayor and aldermen.
azalea |A genus of showy flowering shrubs, mostly natives of China or of North America; false honeysuckle. The genus is scarcely distinct from Rhododendron.
azarole |The Neapolitan medlar (Cratægus azarolus), a shrub of southern Europe; also, its fruit.
azedarach |1. (Bot.)  A handsome Asiatic tree (Melia azedarach), common in the southern United States; -- called also, Pride of India, Pride of China, and Bead tree. 2. (Med.)  The bark of the roots of the azedarach, used as a cathartic and emetic.
azimuth |(a) The quadrant of an azimuth circle. (b) An arc of the horizon intercepted between the meridian of the place and a vertical circle passing through the center of any object; as, the azimuth of a star; the azimuth or bearing of a line surveying. Note: In trigonometrical surveying, it is customary to reckon the azimuth of a line from the south point of the horizon around by the west from 0º to 360º. Azimuth circle, or Vertical circle, one of the great circles of the sphere intersecting each other in the zenith and nadir, and cutting the horizon at right angles. Hutton. -- Azimuth compass, a compass resembling the mariner's compass, but having the card divided into degrees instead of rhumbs, and having vertical sights; used for taking the magnetic azimuth of a heavenly body, in order to find, by comparison with the true azimuth, the variation of the needle. -- Azimuth dial, a dial whose stile or gnomon is at right angles to the plane of the horizon. Hutton. -- Magnetic azimuth, an arc of the horizon, intercepted between the vertical circle passing through any object and the magnetic meridian. This is found by observing the object with an azimuth compass.
azimuthal |Of or pertaining to the azimuth; in a horizontal circle. Azimuthal error of a transit instrument, its deviation in azimuth from the plane of the meridian.
