gon |imp. & p. p. of Go. [Obs.] Chaucer.
gossypium |A genus of plants which yield the cotton of the arts. The species are much confused. G. herbaceum is the name given to the common cotton plant, while the long-stapled sea-island cotton is produced by G. Barbadense, a shrubby variety. There are several other kinds besides these.
got |imp. & p. p. of Get. See Get.
gote |A channel for water. [Prov. Eng.] Crose.
goter |a gutter. [Obs.] Chaucer.
goth |1. (Ethnol.)  One of an ancient Teutonic race, who dwelt between the Elbe and the Vistula in the early part of the Christian era, and who overran and took an important part in subverting the Roman empire. Note: Under the reign of Valens, they took possession of Dacia (the modern Transylvania and the adjoining regions), and came to be known as Ostrogoths and Visigoths, or East and West Goths; the former inhabiting countries on the Black Sea up to the Danube, and the latter on this river generally. Some of them took possession of the province of Moesia, and hence were called Moesogoths. Others, who made their way to Scandinavia, at a time unknown to history, are sometimes styled Suiogoths. 2. One who is rude or uncivilized; a barbarian; a rude, ignorant person. Chesterfield.
gothamist |A wiseacre; a person deficient in wisdom; -- so called from Gotham, in Nottinghamshire, England, noted for some pleasant blunders. Bp. Morton.
gothamite |1. A gothamist. 2. An inhabitant of New York city. [Jocular] Irving.
gothic |1. Pertaining to the Goths; as, Gothic customs; also, rude; barbarous. 2. (Arch.)  Of or pertaining to a style of architecture with pointed arches, steep roofs, windows large in proportion to the wall spaces, and, generally, great height in proportion to the other dimensions -- prevalent in Western Europe from about 1200 to 1475 a. d. See Illust. of Abacus, and Capital.\n\n1. The language of the Goths; especially, the language of that part of the Visigoths who settled in Moesia in the 4th century. See Goth. Note: Bishop Ulfilas or Walfila translated most of the Bible into Gothic about the Middle of the 4th century. The portion of this translaton which is preserved is the oldest known literary document in any Teutonic language. 2. A kind of square-cut type, with no hair lines. Note: This is Nonpareil GOTHIC. 3. (Arch.)  The style described in Gothic, a., 2.
gothicism |1. A Gothic idiom. 2. Conformity to the Gothic style of architecture. 3. Rudeness of manners; barbarousness.
gothicize |To make Gothic; to bring back to barbarism.
gothite |A hydrous oxide of iron, occurring in prismatic crystals, also massive, with a fibrous, reniform, or stalactitic structure. The color varies from yellowish to blackish brown.
gotten |p. p. of Get.
gouache |A method of painting with opaque colors, which have been ground in water and mingled with a preparation of gum; also, a picture thus painted.
goud |Woad. [Obs.]
goudron |a small fascine or fagot, steeped in wax, pitch, and glue, used in various ways, as for igniting buildings or works, or to light ditches and ramparts. Farrow.
gouge |1. A chisel, with a hollow or semicylindrical blade, for scooping or cutting holes, channels, or grooves, in wood, stone, etc.; a similar instrument, with curved edge, for turning wood. 2. A bookbinder's tool for blind tooling or gilding, having a face which forms a curve. 3. An incising tool which cuts forms or blanks for gloves, envelopes, etc.. from leather, paper, etc. Knight. 4. (Mining)  Soft material lying between the wall of a vein aud the solid vein. Raymond. 5. The act of scooping out with a gouge, or as with a gouge; a groove or cavity scooped out, as with a gouge. 6. Imposition; cheat; fraud; also, an impostor; a cheat; a trickish person. [Slang, U. S.] Gouge bit, a boring bit, shaped like a gouge.\n\n1. To scoop out with a gouge. 2. To scoop out, as an eye, with the thumb nail; to force out the eye of (a person) with the thumb. [K S.] Note: A barbarity mentioned by some travelers as formerly practiced in the brutal frays of desperadoes in some parts of the United States. 3. To cheat in a bargain; to chouse. [Slang, U. S.]
gouger |See Plum Gouger.
gougeshell |A sharp-edged, tubular, marine shell, of the genus Vermetus; also, the pinna. See Vermetus.
goujere |The venereal disease. [Obs.]
gouland |See Golding.
goulards extract |An aqueous solution of the subacetate of lead, used as a lotion in cases of inflammation. Goulard's cerate is a cerate containing this extract.
gour |1. A fire worshiper; a Gheber or Gueber. Tylor. 2. (Zoöl.)  See Koulan.
goura |One of several species of large, crested ground pigeons of the genus Goura, inhabiting New Guinea and adjacent islands. The Queen Victoria pigeon (Goura Victoria) and the crowned pigeon (G. coronata) are among the beat known species.
gourami |A very largo East Indian freshwater fish (Osphromenus gorami), extensively reared in artificial ponds in tropical countries, and highly valued as a food fish. Many unsuccessful efforts have been made to introduce it into Southern Europe. [Written also goramy.]
gourd |1. (Bot.)  A fleshy, three-celled, many-seeded fruit, as the melon, pumpkin, cucumber, etc., of the order Cucurbitaceæ; and especially the bottle gourd (Lagenaria vulgaris) which occurs in a great variety of forms, and, when the interior part is removed, serves for bottles, dippers, cups, and other dishes. 2. A dipper or other vessel made from the shell of a gourd; hence, a drinking vessel; a bottle. Chaucer. Bitter gourd, colocynth.\n\nA false die. See Gord.\n\nA silver dollar; -- so called in Cuba, Hayti, etc. Simmonds.
gourd tree |A tree (the Crescentia Cujete, or calabash tree) of the West Indies and Central America.
gourde |A silver dollar; -- so called in Cuba, Hayti, etc. Simmonds.
gourdiness |The state of being gourdy.
gourdworm |The fluke of sheep. See Fluke.
gourdy |Swelled in the legs.
gourmand |A greedy or ravenous eater; a glutton. See Gormand. That great gourmand, fat Apicius B. Jonson.
gourmet |A connoisseur in eating and drinking; an epicure.
gournet |A fish. See Gurnet.
gout |1. A drop; a clot or coagulation. On thy blade and dudgeon gouts of blood. Shak. 2. (Med.)  A constitutional disease, occurring by paroxysms. It constists in an inflammation of the fibrous and ligamentous parts of the joints, and almost always attacks first the great toe, next the smaller joints, after which, it may attack the greater articulations. It is attended with various sympathettic phenomena, particularly in the digestive organs. It may also attack internal organs, as the stomach, the intestines, etc. Dunglison. 3. A disease of cornstalks. See Corn fly, under Corn. Cout stones. See Chalkstone, n., 2.\n\nTaste; relish.
goutily |In a gouty manner.
goutiness |The state of being gouty; gout.
goutweed |A coarse umbelliferous plant of Europe (Ægopodium Podagraria); -- called also bishop's weed, ashweed, and herb gerard.
goutwort |A coarse umbelliferous plant of Europe (Ægopodium Podagraria); -- called also bishop's weed, ashweed, and herb gerard.
gouty |1. Diseased with, or subject to, the gout; as, a gouty person; a gouty joint. 2. Pertaining to the gout. \"Gouty matter.\" Blackmore. 3. Swollen, as if from gout. Derham. 4. Boggy; as, gouty land. [Obs.] Spenser. Gouty bronchitis, bronchitis arising as a secondary disease during the progress of gout. -- Gouty concretions, calculi (urate of sodium) formed in the joints, kidneys, etc., of sufferers from gout. -- Gouty kidney, an affection occurring during the progress of gout, the kidney shriveling and containing concretions of urate of sodium.
gove |A mow; a rick for hay. [Obs.] Tusser.
govern |1. To direct and control, as the actions or conduct of men, either by established laws or by arbitrary will; to regulate by authority. \"Fit to govern and rule multitudes.\" Shak. 2. To regulate; to influence; to direct; to restrain; to manage; as, to govern the life; to govern a horse. Govern well thy appetite. Milton. 3. (Gram.)  To require to be in a particular case; as, a transitive verb governs a noun in the objective case; or to require (a particular case); as, a transitive verb governs the objective case.\n\nTo exercise authority; to administer the laws; to have the control. Dryden.
governability |Governableness.
governable |Capable of being governed, or subjected to authority; controllable; manageable; obedient. Locke.
governableness |The quality of being governable; manageableness.
governail |Management; mastery. [Obs.] Chaucer. Spenser.
governal |Management; mastery. [Obs.] Chaucer. Spenser.
governance |Exercise of authority; control; government; arrangement. Chaucer. J. H. Newman.
governante |A governess. Sir W. Scott.
governess |A female governor; a woman invested with authority to control and direct; especially, one intrusted with the care and instruction of children, -- usually in their homes.
governing |1. Holding the superiority; prevalent; controlling; as, a governing wind; a governing party in a state. Jay. 2. (Gram.)  Requiring a particular case.
government |1. The act of governing; the exercise of authority; the administration of laws; control; direction; regulation; as, civil, church, or family government. 2. The mode of governing; the system of polity in a state; the established form of law. That free government which we have so dearly purchased, free commonwealth. Milton. 3. The right or power of governing; authority. I here resign my goverment to thee. Shak. 4. The person or persons authorized to administer the laws; the ruling powe; the administratian. When we, in England, speak of the government, we generally understand the ministers of the crown for the time being. Mozley & W. 5. The body politic governed by one authority; a state; as, the governments of Europe. 6. Management of the limbs or body. Shak. 7. (Gram.)  The influence of a word in regard to construction, requiring that another word should be in a particular case.
governmental |Pertaining to government; made by government; as, governmental duties.
governor |1. One who governs; especially, one who is invested with the supreme executive authority in a State; a chief ruler or magistrate; as, the governor of Pennsylvania. \"The governor of the town.\" Shak. 2. One who has the care or guardianship of a young man; a tutor; a guardian. 3. (Naut.)  A pilot; a steersman. [R.] 4. (Mach.)  A contrivance applied to steam engines, water wheels, and other machinery, to maintain nearly uniform speed when the resistances and motive force are variable. Note: The illustration shows a form of governor commonly used for steam engines, in wich a heavy sleeve (a) sliding on a rapidly revolving spindle (b), driven by the engine, is raised or lowered, when the speed varies, by the changing centrifugal force of two balls (c c) to which it is connected by links (d d), the balls being attached to arms (e e) which are jointed to the top of the spindle. The sleeve is connected with the throttle valve or cut-off through a lever (f), and its motion produces a greater supply of steam when the engine runs too slowly and a less supply when too fast. Governor cut- off (Steam Engine), a variable cut-off gear in which the governor acts in such a way as to cause the steam to be cut off from entering the cylinder at points of the stroke dependent upon the engine's speed. -- Hydraulic governor (Mach.), a governor which is operated by the action of a liquid in flowing; a cataract.
governor general |A governor who has lieutenant or deputy governors under him; as, the governor general of Canada, of India.
governorship |The office of a governor.
gowan |1. The daisy, or mountain daisy. [Scot.] And pu'd the gowans fine. Burns. 2. (Min.)  Decomposed granite.
gowany |Having, abounding in, or decked with, daisies. [Scot.] Sweeter than gowany glens or new-mown hay. Ramsay.
gowd |Gold; wealth. [Scot.] The man's the gowd for a' that. Burns.
gowden |Golden. [Scot.]
gowdie |See Dragont. [Scot.]
gowdnook |The saury pike; -- called also gofnick.
gowk |To make a, booby of one); to stupefy. [Obs.] B. Jonson.\n\n1. The European cuckoo; -- called also gawky. 2. A simpleton; a gawk or gawky.
gowl |To howl. [Obs.] Wyclif.
gown |1. A loose, flowing upper garment; especially: (a) The ordinary outer dress of a woman; as, a calico or silk gown. (b) The official robe of certain professional men and scholars, as university students and officers, barristers, judges, etc.; hence, the dress of peace; the dress of civil officers, in distinction from military. He Mars deposed, and arms to gowns made yield. Dryden. (c) A loose wrapper worn by gentlemen within doors; a dressing gown. 2. Any sort of dress or garb. He comes . . . in the gown of humility. Shak.
gowned |Dressed in a gown; clad. Gowned in pure white, that fitted to the shape. Tennyson.
gownman |One whose professional habit is a gown, as a divine or lawyer, and particularly a member of an English university; hence, a civilian, in distinction from a soldier.
gownsman |One whose professional habit is a gown, as a divine or lawyer, and particularly a member of an English university; hence, a civilian, in distinction from a soldier.
gozzard |See Gosherd. [Prov. Eng.]
graafian |Pertaining to, or discovered by, Regnier de Graaf, a Dutch physician. Graafian follicles or vesicles, small cavities in which the ova are developed in the ovaries of mammals, and by the bursting of which they are discharged.
graal |See Grail., a dish.
grab |A vessel used on the Malabar coast, having two or three masts.\n\nTo gripe suddenly; to seize; to snatch; to clutch.\n\n1. A sudden grasp or seizure. 2. An instrument for clutching objects for the purpose of raising them; -- specially applied to devices for withdrawing drills, etc., from artesian and other wells that are drilled, bored, or driven. Grab hag, at fairs, a bag or box holding small articles which are to be drawn, without being seen, on payment of a small sum. [Colloq.] -- Grab game, a theft committed by grabbing or snatching a purse or other piece of property. [Colloq.]
grabber |One who seizes or grabs.
grabble |1. To grope; to feel with the hands. He puts his hands into his pockets, and keeps a grabbling and fumbling. Selden. 2. To lie prostrate on the belly; to sprawl on the ground; to grovel. Ainsworth.
grace |1. The exercise of love, kindness, mercy, favor; disposition to benefit or serve another; favor bestowed or privilege conferred. To bow and sue for grace With suppliant knee. Milton. 2. (Theol.)  The divine favor toward man; the mercy of God, as distinguished from His justice; also, any benefits His mercy imparts; divine love or pardon; a state of acceptance with God; enjoyment of the divine favor. And if by grace, then is it no more of works. Rom. xi. 6. My grace is sufficicnt for thee. 2 Cor. xii. 9. Where sin abounded, grace did much more abound. Rom. v. 20. By whom also we have access by faith into this grace wherein we stand. Rom. v.2 3. (Law) (a) The prerogative of mercy execised by the executive, as pardon. (b) The same prerogative when exercised in the form of equitable relief through chancery. 4. Fortune; luck; -- used commonly with hard or sorry when it means misfortune. [Obs.] Chaucer. 5. Inherent excellence; any endowment or characteristic fitted to win favor or confer pleasure or benefit. He is complete in feature and in mind. With all good grace to grace a gentleman. Shak. I have formerly given the general character of Mr. Addison's style and manner as natural and unaffected, easy and polite, and full of those graces which a flowery imagination diffuses over writing. Blair. 6. Beauty, physical, intellectual, or moral; loveliness; commonly, easy elegance of manners; perfection of form. Grace in women gains the affections sooner, and secures them longer, than any thing else. Hazlitt. I shall answer and thank you again For the gift and the grace of the gift. Longfellow. 7. pl. (Myth.)  Graceful and beautiful females, sister goddesses, represented by ancient writers as the attendants sometimes of Apollo but oftener of Venus. They were commonly mentioned as three in number; namely, Aglaia, Euphrosyne, and Thalia, and were regarded as the inspirers of the qualities which give attractiveness to wisdom, love, and social intercourse. The Graces love to weave the rose. Moore. The Loves delighted, and the Graces played. Prior. 8. The title of a duke, a duchess, or an archbishop, and formerly of the king of England. How fares your Grace ! Shak. 9. (Commonly pl.)  Thanks. [Obs.] Yielding graces and thankings to their lord Melibeus. Chaucer. 10. A petition for grace; a blessing asked, or thanks rendered, before or after a meal. 11. pl. (Mus.)  Ornamental notes or short passages, either introduced by the performer, or indicated by the composer, in which case the notation signs are called grace notes, appeggiaturas, turns, etc. 12. (Eng. Universities)  An act, vote, or decree of the government of the institution; a degree or privilege conferred by such vote or decree. Walton. 13. pl.  A play designed to promote or display grace of motion. It consists in throwing a small hoop from one player to another, by means of two sticks in the hands of each. Called also grace hoop or hoops. Act of grace. See under Act. -- Day of grace (Theol.), the time of probation, when the offer of divine forgiveness is made and may be accepted. That day of grace fleets fast away. I. Watts. -- Days of grace (Com.), the days immediately following the day when a bill or note becomes due, which days are allowed to the debtor or payer to make payment in. In Great Britain and the United States, the days of grace are three, but in some countries more, the usages of merchants being different. -- Good graces, favor; friendship. -- Grace cup. (a) A cup or vessel in which a health is drunk after grace. (b) A health drunk after grace has been said. The grace cup follows to his sovereign's health. Hing. -- Grace drink, a drink taken on rising from the table; a grace cup. To [Queen Margaret, of Scotland] . . . we owe the custom of the grace drink, she having established it as a rule at her table, that whosoever staid till grace was said was rewarded with a bumper. Encyc. Brit. -- Grace hoop, a hoop used in playing graces. See Grace, n., 13. -- Grace note (Mus.), an appoggiatura. See Appoggiatura, and def. 11 above. -- Grace stroke, a finishing stoke or touch; a coup de grace. -- Means of grace, means of securing knowledge of God, or favor with God, as the preaching of the gospel, etc. -- To do grace, to reflect credit upon. Content to do the profession some grace. Shak. -- To say grace, to render thanks before or after a meal. -- With a good grace, in a fit and proper manner grace fully; graciously. -- With a bad grace, in a forced, reluctant, or perfunctory manner; ungraciously. What might have been done with a good grace would at least be done with a bad grace. Macaulay. Syn. -- Elegance; comeliness; charm; favor; kindness; mercy. -- Grace, Mercy. These words, though often interchanged, have each a distinctive and peculiar meaning. Grace, in the strict sense of the term, is spontaneous favor to the guilty or undeserving; mercy is kindness or compassion to the suffering or condemned. It was the grace of God that opened a way for the exercise of mercy toward men. See Elegance.\n\n1. To adorn; to decorate; to embellish and dignify. Great Jove and Phoebus graced his noble line. Pope. We are graced with wreaths of victory. Shak. 2. To dignify or raise by an act of favor; to honor. He might, at his pleasure, grace or disgrace whom he would in court. Knolles. 3. To supply with heavenly grace. Bp. Hall. 4. (Mus.) To add grace notes, cadenzas, etc., to.
graced |Endowed with grace; beautiful; full of graces; honorable. Shak.
graceful |Displaying grace or beauty in form or action; elegant; easy; agreeable in appearance; as, a graceful walk, deportment, speaker, air, act, speech. High o'er the rest in arms the graceful Turnus rode. Dryden. -- Grace\"ful*ly, adv. Grace\"ful*ness, n.
graceless |1. Wanting in grace or excellence; departed from, or deprived of, divine grace; hence, depraved; corrupt. \"In a graceless age.\" Milton. 2. Unfortunate. Cf. Grace, n., 4. [Obs.] Chaucer. -- Grace\"less*ly, adv. -- Grace\"less-ness, n.
gracile |Slender; thin. [Obs.] Bailey.
gracility |State of being gracilent; slenderness. Milman. \"Youthful gracility.\" W. D. Howells.
gracillent |Slender; thin. [Obs.] Bailey.
gracious |1. Abounding in grace or mercy; manifesting love,. or bestowing mercy; characterized by grace; beneficent; merciful; disposed to show kindness or favor; condescending; as, his most gracious majesty. A god ready to pardon, gracious and merciful. Neh. ix. 17. So hallowed and so gracious in the time. Shak. 2. Abounding in beauty, loveliness, or amiability; graceful; excellent. Since the birth of Cain, the first male child, . . . There was not such a gracious creature born. Shak. 3. Produced by divine grace; influenced or controlled by the divine influence; as, gracious affections. Syn. -- Favorable; kind; benevolent; friendly; beneficent; benignant; merciful.
graciously |1. In a gracious manner; courteously; benignantly. Dryden. 2. Fortunately; luckily. [Obs.] Chaucer.
graciousness |Quality of being gracious.
grackle |(a) One of several American blackbirds, of the family Icteridæ; as, the rusty grackle (Scolecophagus Carolinus); the boat-tailed grackle (see Boat-tail); the purple grackle (Quiscalus quiscula, or Q. versicolor). See Crow blackbird, under Crow. (b) An Asiatic bird of the genus Gracula. See Myna.
gradate |1. To grade or arrange (parts in a whole, colors in painting, etc.), so that they shall harmonize. 2. (Chem.)  To bring to a certain strength or grade of concentration; as, to gradate a saline solution.
gradation |1. The act of progressing by regular steps or orderly arrangement; the state of being graded or arranged in ranks; as, the gradation of castes. 2. The act or process of bringing to a certain grade. 3. Any degree or relative position in an order or series. The several gradations of the intelligent universe. I. Taylor. 4. (Fine Arts)  A gradual passing from one tint to another or from a darker to a lighter shade, as in painting or drawing. 6. (Mus.)  A diatonic ascending or descending succession of chords.\n\nTo form with gradations. [R.]
gradational |By regular steps or gradations; of or pertaining to gradation.
gradatory |1. Proceeding step by step, or by gradations; gradual. Could we have seen [Macbeth's] crimes darkening on their progress . . . could this gradatory apostasy have been shown us. A. Seward. 2. (Zoöl.)  Suitable for walking; -- said of the limbs of an animal when adapted for walking on land.\n\nA series of steps from a cloister into a church.
grade |1. A step or degree in any series, rank, quality, order; relative position or standing; as, grades of military rank; crimes of every grade; grades of flour. They also appointed and removed, at their own pleasure, teachers of every grade. Buckle. 2. In a railroad or highway: (a) The rate of ascent or descent; gradient; deviation from a level surface to an inclined plane; -- usually stated as so many feet per mile, or as one foot rise or fall in so many of horizontal distance; as, a heavy grade; a grade of twenty feet per mile, or of 1 in 264. (b) A graded ascending, descending, or level portion of a road; a gradient. 3. (Stock Breeding)  The result of crossing a native stock with some better breed. If the crossbreed have more than three fourths of the better blood, it is called high grade. At grade, on the same level; -- said of the crossing of a railroad with another railroad or a highway, when they are on the same level at the point of crossing. -- Down grade, a descent, as on a graded railroad. -- Up grade, an ascent, as on a graded railroad. -- Equating for grades. See under Equate. -- Grade crossing, a crossing at grade.\n\n1. To arrange in order, steps, or degrees, according to size, quality, rank, etc. 2. To reduce to a level, or to an evenly progressive ascent, as the line of a canal or road. 3. (Stock Breeding)  To cross with some better breed; to improve the blood of.
gradely |Decent; orderly. [Prov. Eng.] Halliwell. -- adv.  Decently; in order. [Prov. Eng.]
grader |1. One who grades, or that by means of which grading is done or facilitate.  2. A vehicle used for levelling earth, esp. one with a plow blade suspended from the center, used specifically for grading roads.
gradient |1. Moving by steps; walking; as, gradient automata. Wilkins. 2. Rising or descending by regular degrees of inclination; as, the gradient line of a railroad. 3. Adapted for walking, as the feet of certain birsds.\n\n1. The rate of regular or graded ascent or descent in a road; grade. 2. A part of a road which slopes upward or downward; a portion of a way not level; a grade. 3. The rate of increase or decrease of a variable magnitude, or the curve which represents it; as, a thermometric gradient. Gradient post, a post or stake indicating by its height or by marks on it the grade of a railroad, highway, or embankment, etc., at that spot.
gradin |Any member like a step, as the raised back of an altar or the like; a set raised over another. \"The gradines of the amphitheeater.\" Layard.
gradine |Any member like a step, as the raised back of an altar or the like; a set raised over another. \"The gradines of the amphitheeater.\" Layard.\n\nA toothed chised by sculptors.
grading |The act or method of arranging in or by grade, or of bringing, as the surface of land or a road, to the desired level or grade.
gradino |A step or raised shelf, as above a sideboard or altar. Cf. Superaltar, and Gradin.
gradual |Proceeding by steps or degrees; advancing, step by step, as in ascent or descent or from one state to another; regularly progressive; slow; as, a gradual increase of knowledge; a gradual decline. Creatures animate with gradual life Of growth, sense, reason, all summed up in man. Milton.\n\n1. (R. C. Ch.) (a) An antiphon or responsory after the epistle, in the Mass, which was sung on the steps, or while the deacon ascended the steps. (b) A service book containing the musical portions of the Mass. 2. A series of steps. [Obs.] Dryden.
graduality |The state of being gradual; gradualness. [R.] Sir T. Browne.
gradually |1. In a gradual manner. 2. In degree. [Obs.] Human reason doth not only gradually, but specifically, differ from the fantastic reason of brutes. Grew.
gradualness |The quality or state of being gradual; regular progression or gradation; slowness. The gradualness of this movement. M. Arnold. The gradualness of growth is a characteristic which strikes the simplest observer. H. Drummond.
graduate |1. To mark with degrees; to divide into regular steps, grades, or intervals, as the scale of a thermometer, a scheme of punishment or rewards, etc. 2. To admit or elevate to a certain grade or degree; esp., in a college or university, to admit, at the close of the course, to an honorable standing defined by a diploma; as, he was graduated at Yale College. 3. To prepare gradually; to arrange, temper, or modify by degrees or to a certain degree; to determine the degrees of; as, to graduate the heat of an oven. Dyers advance and graduate their colors with salts. Browne. 4. (Chem.)  To bring to a certain degree of consistency, by evaporation, as a fluid. Graduating engine, a dividing engine. See Dividing engine, under Dividing.\n\n1. To pass by degrees; to change gradually; to shade off; as, sandstone which graduates into gneiss; carnelian sometimes graduates into quartz. 2. (Zoöl.)  To taper, as the tail of certain birds. 3. To take a degree in a college or university; to become a graduate; to receive a diploma. He graduated at Oxford. Latham. He was brought to their bar and asked where he had graduated. Macaulay.\n\n1. One who has received an academical or professional degree; one who has completed the prescribed course of study in any school or institution of learning. 2. A graduated cup, tube, or flask; a measuring glass used by apothecaries and chemists. See under Graduated.\n\nArrangei by successive steps or degrees; graduated. Beginning with the genus, passing through all the graduate and subordinate stages. Tatham.
graduated |1. Marked with, or divided into, degrees; divided into grades. 2. (Zoöl.)  Tapered; -- said of a bird's tail when the outer feathers are shortest, and the others successively longer. Graduated tube, bottle, cap, or glass, a vessel, usually of glass, having horizontal marks upon its sides, with figures, to indicate the amount of the contents at the several levels. -- Graduated spring (Railroads), a combination of metallic and rubber springs.
graduateship |State of being a graduate. Milton.
graduation |1. The act of graduating, or the state of being graduated; as, graduation of a scale; graduation at a college; graduation in color; graduation by evaporation; the graduation of a bird's tail, etc. 2. The marks on an instrument or vessel to indicate degrees or quantity; a scale. 3. The exposure of a liquid in large surfaces to the air, so as to hasten its evaporation.
graduator |1. One who determines or indicates graduation; as, a graduator of instruments. 2. An instrument for dividing any line, right or curve, into small, regular intervals. 3. An apparatus for diffusing a solution, as brine or vinegar, over a large surface, for exposure to the air.
gradus |A dictionary of prosody, designed as an aid in writing Greek or Latin poetry. He set to work . . . without gradus or other help. T. Hughes.
graf |A German title of nobility, equivalent to earl in English, or count in French. See Earl.
graff |A steward; an overseer. [A prince] is nothing but a servant, overseer, or graff, and not the head, which is a title belonging only to Christ. John Knox.\n\nSee Graft.
graffage |The scarp of a ditch or moat. \"To clean the graffages.\" Miss Mitford.
graffer |a notary or scrivener. Bowvier.
graffiti |Inscriptions, figure drawings, etc., found on the walls of ancient sepulchers or ruins, as in the Catacombs, or at Pompeii.
graffito |Production of decorative designs by scratching them through a surface of layer plaster, glazing, etc., revealing a different- colored ground; also, pottery or ware so decorated; -- chiefly used attributively.
graft |(a) A small shoot or scion of a tree inserted in another tree, the stock of which is to support and nourish it. The two unite and become one tree, but the graft determines the kind of fruit. (b) A branch or portion of a tree growing from such a shoot. (c) (Surg.) A portion of living tissue used in the operation of autoplasty.\n\n1. To insert (a graft) in a branch or stem of another tree; to propagate by insertion in another stock; also, to insert a graft upon. [Formerly written graff.] 2. (Surg.)  To implant a portion of (living flesh or akin) in a lesion so as to form an organic union. 3.  To join (one thing) to another as if by grafting, so as to bring about a close union. And graft my love immortal on thy fame ! Pope. 4. (Naut.)  To cover, as a ring bolt, block strap, splicing, etc., with a weaving of small cord or rope-yarns.\n\nTo insert scions from one tree, or kind of tree, etc., into another; to practice grafting.
graftage |The science of grafting, including the various methods of practice and details of operation.
grafter |1. One who inserts scions on other stocks, or propagates fruit by ingrafting. 2.  An instrument by which grafting is facilitated. 3. The original tree from which a scion has been taken for grafting upon another tree. Shak.
grafting |The act or method of weaving a cover for a ring, rope end, etc. 3. (Surg.)  The transplanting of a portion of flesh or skin to a denuded surface; autoplasty. 4. (Carp.)  A scarfing or endwise attachment of one timber to another. Cleft grafting (Hort.) a method of grafting in which the scion is placed in a cleft or slit in the stock or stump made by sawing off a branch, usually in such a manaer that its bark evenly joins that of the stock. -- Crown, or Rind, grafting, a method of grafting which the alburnum and inner bark are separated, and between them is inserted the lower end of the scion cut slantwise. -- Saddle grafting, a mode of grafting in which a deep cleft is made in the end of the scion by two sloping cuts, and the end of the stock is made wedge-shaped to fit the cleft in the scion, which is placed upon it saddlewise. -- Side grafting, a mode of grafting in which the scion, cut quite across very obliquely, so as to give it the form of a slender wedge, is thrust down inside of the bark of the stock or stem into which it is inserted, the cut side of the scion being next the wood of the stock. -- Skin grafting. (Surg.) See Autoplasty. -- Splice grafting (Hort.), a method of grafting by cutting the ends of the scion and stock completely across and obliquely, in such a manner that the sections are of the same shape, then lapping the ends so that the one cut surface exactly fits the other, and securing them by tying or otherwise. -- Whip grafting, tongue grafting, the same as splice grafting, except that a cleft or slit is made in the end of both scion and stock, in the direction of the grain and in the middle of the sloping surface, forming a kind of tongue, so that when put together, the tongue of each is inserted in the slit of the other. -- Grafting scissors, a surgeon's scissors, used in rhinoplastic operations, etc. -- Grafting tool. (a) Any tool used in grafting. (b) A very strong curved spade used in digging canals. -- Grafting wax, a composition of rosin, beeswax tallow, etc., used in binding up the wounds of newly grafted trees.
graham bread |Bread made of unbolted wheat flour. [U. S.] Bartlett.
grahamite |One who follows the dietetic system of Graham. [U. S.]
grail |A book of offices in the Roman Catholic Church; a gradual. [Obs.] T. Warton. Such as antiphonals, missals, grails, processionals, etc. Strype.\n\nA broad, open dish; a chalice; -- only used of the Holy Grail. Note: The Holy Grail, according to some legends of the Middle Ages, was the cup used by our Savior in dispensing the wine at the last supper; and according to others, the platter on which the paschal lamb was served at the last Passover observed by our Lord. This cup, according to the legend, if appoached by any but a perfectly pure and holy person, would be borne away and vanish from the sight. The quest of the Holy Grail was to be undertaken only by a knight who was perfectly chaste in thought, word, and act.\n\nSmall particles of earth; gravel. [Obs.] Lying down upon the sandy grail. Spenser.\n\nOne of the small feathers of a hawk.
graille |A halfround single-cut file or fioat, having one curved face and one straight face, -- used by comb makers. Knight.
