artsman |A man skilled in an art or in arts. [Obs.] Bacon.
asperifoliate |Having rough leaves. Note: By some applied to the natural order now called Boraginaceæ or borageworts.
asperifolious |Having rough leaves. Note: By some applied to the natural order now called Boraginaceæ or borageworts.
asperity |1. Roughness of surface; unevenness; -- opposed to smoothness. \"The asperities of dry bodies.\" Boyle. 2. Roughness or harshness of sound; that quality which grates upon the ear; raucity. 3. Roughness to the taste; sourness; tartness. 4. Moral roughness; roughness of manner; severity; crabbedness; harshness; -- opposed to mildness. \"Asperity of character.\" Landor. It is no very cynical asperity not to confess obligations where no benefit has been received. Johnson. 5. Sharpness; disagreeableness; difficulty. The acclivities and asperities of duty. Barrow. Syn. -- Acrimony; moroseness; crabbedness; harshness; sourness; tartness. See Acrimony.
aspermatous |Aspermous.
aspermous |Destitute of seeds; aspermatous.
asperne |To spurn; to despise. [Obs.] Sir T. More.
asperous |Rough; uneven. Boyle.
asperse |1. To sprinkle, as water or dust, upon anybody or anything, or to besprinkle any one with a liquid or with dust. Heywood. 2. To bespatter with foul reports or false and injurious charges; to tarnish in point of reputation or good name; to slander or calumniate; as, to asperse a poet or his writings; to asperse a man's character. With blackest crimes aspersed. Cowper. Syn. -- To slander; defame; detract from; calumniate; vilify. -- To Asperse, Defame, Slander, Calumniate. These words have in common the idea of falsely assailing the character of another. To asperse is figuratively to cast upon a character hitherto unsullied the imputation of blemishes or faults which render it offensive or loathsome. To defame is to detract from a man's honor and reputation by charges calculated to load him with infamy. Slander (etymologically the same as scandal) and calumniate, from the Latin, have in common the sense of circulating reports to a man's injury from unworthy or malicious motives. Men asperse their neighbors by malignant insinuations; they defame by advancing charges to blacken or sully their fair fame; they slander or calumniate by spreading injurious reports which are false, or by magnifying slight faults into serious errors or crimes.
aspersed |1. (Her.)  Having an indefinite number of small charges scattered or strewed over the surface. Cussans. 2. Bespattered; slandered; calumniated. Motley.
asperser |One who asperses; especially, one who vilifies another.
aspersion |1. A sprinkling, as with water or dust, in a literal sense. Behold an immersion, not and aspersion. Jer. Taylor. 2. The spreading of calumniations reports or charges which tarnish reputation, like the bespattering of a body with foul water; calumny. Every candid critic would be ashamed to cast wholesale aspersions on the entire body of professional teachers. Grote. Who would by base aspersions blot thy virtue. Dryden.
aspersive |Tending to asperse; defamatory; slanderous. -- As*pers\"ive*ly, adv.
aspersoir |An aspergill.
aspersorium |1. The stoup, basin, or other vessel for holy water in Roman Catholic churches. 2. A brush for sprinkling holy water; an aspergill.
asphalt |1. Mineral pitch, Jews' pitch, or compact native bitumen. It is brittle, of a black or brown color and high luster on a surface of fracture; it melts and burns when heated, leaving no residue. It occurs on the surface and shores of the Dead Sea, which is therefore called Asphaltites, or the Asphaltic Lake. It is found also in many parts of Asia, Europe, and America. See Bitumen. 2. A composition of bitumen, pitch, lime, and gravel, used for forming pavements, and as a water-proof cement for bridges, roofs, etc.; asphaltic cement. Artificial asphalt is prepared from coal tar, lime, sand, etc. Asphalt stone, Asphalt rock, a limestone found impregnated with asphalt.\n\nTo cover with asphalt; as, to asphalt a roof; asphalted streets.
asphalte |Asphaltic mastic or cement. See Asphalt, 2.
asphaltic |Pertaining to, of the nature of, or containing, asphalt; bituminous. \"Asphaltic pool.\" \"Asphaltic slime.\" Milton.
asphaltite |Asphaltic.\n\nAsphaltic. Bryant.
asphaltum |1. Mineral pitch, Jews' pitch, or compact native bitumen. It is brittle, of a black or brown color and high luster on a surface of fracture; it melts and burns when heated, leaving no residue. It occurs on the surface and shores of the Dead Sea, which is therefore called Asphaltites, or the Asphaltic Lake. It is found also in many parts of Asia, Europe, and America. See Bitumen. 2. A composition of bitumen, pitch, lime, and gravel, used for forming pavements, and as a water-proof cement for bridges, roofs, etc.; asphaltic cement. Artificial asphalt is prepared from coal tar, lime, sand, etc. Asphalt stone, Asphalt rock, a limestone found impregnated with asphalt.
asphaltus |See Asphalt.
asphodel |A general name for a plant of the genus Asphodelus. The asphodels are hardy perennial plants, several species of which are cultivated for the beauty of their flowers. Note: The name is also popularly given to species of other genera. The asphodel of the early English and French poets was the daffodil. The asphodel of the Greek poets is supposed to be the Narcissus poeticus. Dr. Prior. Pansies, and violets, and asphodel. Milton.
asphyctic |Pertaining to asphyxia.
asphyxia |Apparent death, or suspended animation; the condition which results from interruption of respiration, as in suffocation or drowning, or the inhalation of irrespirable gases.
asphyxial |Of or relating to asphyxia; as, asphyxial phenomena.
asphyxiate |To bring to a state of asphyxia; to suffocate. Note: [Used commonly in the past pple.]
asphyxiated |In a state of asphyxia; suffocated.
asphyxiation |The act of causing asphyxia; a state of asphyxia.
asphyxied |In a state of asphyxia; suffocated.
asphyxy |Apparent death, or suspended animation; the condition which results from interruption of respiration, as in suffocation or drowning, or the inhalation of irrespirable gases.
aspic |1. The venomous asp. [Chiefly poetic] Shak. Tennyson. 2. A piece of ordnance carrying a 12 pound shot. [Obs.]\n\nA European species of lavender (Lavandula spica), which produces a volatile oil. See Spike.\n\nA savory meat jelly containing portions of fowl, game, fish, hard boiled eggs, etc. Thackeray.
aspidobranchia |A group of Gastropoda, with limpetlike shells, including the abalone shells and keyhole limpets.
aspirant |Aspiring.\n\nOne who aspires; one who eagerly seeks some high position or object of attainment. In consequence of the resignations . . . the way to greatness was left clear to a new set of aspirants. Macaulay.
aspirate |To pronounce with a breathing, an aspirate, or an h sound; as, we aspirate the words horse and house; to aspirate a vowel or a liquid consonant.\n\n1. A sound consisting of, or characterized by, a breath like the sound of h; the breathing h or a character representing such a sound; an aspirated sound. 2. A mark of aspiration used in Greek; the asper, or rough breathing. Bentley. 3. An elementary sound produced by the breath alone; a surd, or nonvocal consonant; as, f, th in thin, etc.\n\nPronounced with the h sound or with audible breath. But yet they are not aspirate, i. e., with such an aspiration as h. Holder.
aspirated |Pronounced with the h sound or with audible breath. But yet they are not aspirate, i. e., with such an aspiration as h. Holder.
aspiration |1. The act of aspirating; the pronunciation of a letter with a full or strong emission of breath; an aspirated sound. If aspiration be defined to be an impetus of breathing. Wilkins. 2. The act of breathing; a breath; an inspiration. 3. The act of aspiring of a ardently desiring; strong wish; high desire. \"Aspirations after virtue.\" Johnson. Vague aspiration after military renown. Prescott.
aspirator |1. (Chem.)  An apparatus for passing air or gases through or over certain liquids or solids, or for exhausting a closed vessel, by means of suction. 2. (Med.)  An instrument for the evacuation of the fluid contents of tumors or collections of blood.
aspiratory |Of or pertaining to breathing; suited to the inhaling of air
aspire |1. To desire with eagerness; to seek to attain something high or great; to pant; to long; -- followed by to or after, and rarely by at; as, to aspire to a crown; to aspire after immorality. Aspiring to be gods, if angels fell; Aspiring to be angels, men rebel. Pope. 2. To rise; to ascend; to tower; to soar. My own breath still foments the fire, Which flames as high as fancy can aspire. Waller.\n\nTo aspire to; to long for; to try to reach; to mount to. [Obs.] That gallant spirit hath aspired the clouds. Shak.\n\nAspiration. [Obs.] Chapman.
aspirement |Aspiration. [Obs.]
aspirer |One who aspires.
aspirin |A white crystalline compound of acetyl and salicylic acid used as a drug for the salicylic acid liberated from it in the intestines.
aspiring |That aspires; as, an Aspiring mind. -- As*pir\"ing*ly, adv. -- As*pir\"ing*ness, n.
aspish |Pertaining to, or like, an asp.
asportation |The felonious removal of goods from the place where they were deposited. Note: It is adjudged to be larceny, though the goods are not carried from the house or apartment. Blackstone.
asprawl |Sprawling.
asquat |Squatting.
asquint |With the eye directed to one side; not in the straight line of vision; obliquely; awry, so as to see distortedly; as, to look asquint.
ass |1. (Zoöl.)  A quadruped of the genus Equus (E. asinus), smaller than the horse, and having a peculiarly harsh bray and long ears. The tame or domestic ass is patient, slow, and sure-footed, and has become the type of obstinacy and stupidity. There are several species of wild asses which are swift-footed. 2. A dull, heavy, stupid fellow; a dolt. Shak. Asses' Bridge. Etym: [L. pons asinorum.] The fifth proposition of the first book of Euclid, \"The angles at the base of an isosceles triangle are equal to one another.\" [Sportive] \"A schoolboy, stammering out his Asses' Bridge.\" F. Harrison. -- To make an ass of one's self, to do or say something very foolish or absurd.
assafoetida |Same as Asafetida.
assagai |A spear used by tribes in South Africa as a missile and for stabbing, a kind of light javelin.
assai |A direction equivalent to very; as, adagio assai, very slow.
assail |1. To attack with violence, or in a vehement and hostile manner; to assault; to molest; as, to assail a man with blows; to assail a city with artillery. No rude noise mine ears assailing. Cowper. No storm can now assail The charm he wears within. Keble. 2. To encounter or meet purposely with the view of mastering, as an obstacle, difficulty, or the like. The thorny wilds the woodmen fierce assail. Pope. 3. To attack morally, or with a view to produce changes in the feelings, character, conduct, existing usages, institutions; to attack by words, hostile influence, etc.; as, to assail one with appeals, arguments, abuse, ridicule, and the like. The papal authority . . . assailed. Hallam. They assailed him with keen invective; they assailed him with still keener irony. Macaulay. Syn. -- To attack; assault; invade; encounter; fall upon. See Attack.
assailable |Capable of being assailed.
assailant |Assailing; attacking. Milton.\n\nOne who, or that which, assails, attacks, or assaults; an assailer. An assailant of the church. Macaulay.
assailer |One who assails.
assailment |The act or power of assailing; attack; assault. [R.] His most frequent assailment was the headache. Johnson.
assamar |The peculiar bitter substance, soft or liquid, and of a yellow color, produced when meat, bread, gum, sugar, starch, and the like, are roasted till they turn brown.
assamese |Of or pertaining to Assam, a province of British India, or to its inhabitants. -- n. sing. & pl.  A native or natives of Assam.
assapan |The American flying squirrel (Pteromys volucella).
assapanic |The American flying squirrel (Pteromys volucella).
assart |1. (Old Law)  The act or offense of grubbing up trees and bushes, and thus destroying the tickets or coverts of a forest. Spelman. Cowell. 2. A piece of land cleared of trees and bushes, and fitted for cultivation; a clearing. Ash. Assart land, forest land cleared of woods and brush.\n\nTo grub up, as trees; to commit an assart upon; as, to assart land or trees. Ashmole.
assassin |One who kills, or attempts to kill, by surprise or secret assault; one who treacherously murders any one unprepared for defense.\n\nTo assassinate. [Obs.] Stillingfleet.
assassinate |1. To kill by surprise or secret assault; to murder by treacherous violence. Help, neighbors, my house is broken open by force, and I am ravished, and like to be assassinated. Dryden. 2. To assail with murderous intent; hence, by extended meaning, to maltreat exceedingly. [Archaic] Your rhymes assassinate our fame. Dryden. Such usage as your honorable lords Afford me, assassinated and betrayed. Milton. Syn. -- To kill; murder; slay. See Kill.\n\n1. An assassination, murder, or murderous assault. [Obs.] If I had made an assassinate upon your father. B. Jonson. 2. An assassin. [Obs.] Dryden.
assassination |The act of assassinating; a killing by treacherous violence.
assassinator |An assassin.
assassinous |Murderous. Milton.
assastion |Roasting. [Obs.] Sir T. Browne.
assault |1. A violent onset or attack with physical means, as blows, weapons, etc.; an onslaught; the rush or charge of an attacking force; onset; as, to make assault upon a man, a house, or a town. The Spanish general prepared to renew the assault. Prescott. Unshaken bears the assault Of their most dreaded foe, the strong southwest. Wordsworth. 2. A violent onset or attack with moral weapons, as words, arguments, appeals, and the like; as, to make an assault on the prerogatives of a prince, or on the constitution of a government. Clarendon. 3. (Law)  An apparently violent attempt, or willful offer with force or violence, to do hurt to another; an attempt or offer to beat another, accompanied by a degree of violence, but without touching his person, as by lifting the fist, or a cane, in a threatening manner, or by striking at him, and missing him. If the blow aimed takes effect, it is a battery. Blackstone. Wharton. Practically, however, the word assault is used to include the battery. Mozley & W. Syn. -- Attack; invasion; incursion; descent; onset; onslaught; charge; storm.\n\n1. To make an assault upon, as by a sudden rush of armed men; to attack with unlawful or insulting physical violence or menaces. Insnared, assaulted, overcome, led bound. Milton. 2. To attack with moral means, or with a view of producing moral effects; to attack by words, arguments, or unfriendly measures; to assail; as, to assault a reputation or an administration. Before the gates, the cries of babes newborn, . . . Assault his ears. Dryden. Note: In the latter sense, assail is more common. Syn. -- To attack; assail; invade; encounter; storm; charge. See Attack.
assaultable |Capable of being assaulted.
assaulter |One who assaults, or violently attacks; an assailant. E. Hall.
assay |1. Trial; attempt; essay. [Obs.] Chaucer. I am withal persuaded that it may prove much more easy in the assay than it now seems at distance. Milton. 2. Examination and determination; test; as, an assay of bread or wine. [Obs.] This can not be, by no assay of reason. Shak. 3. Trial by danger or by affliction; adventure; risk; hardship; state of being tried. [Obs.] Through many hard assays which did betide. Spenser. 4. Tested purity or value. [Obs.] With gold and pearl of rich assay. Spenser. 5. (Metallurgy)  The act or process of ascertaining the proportion of a particular metal in an ore or alloy; especially, the determination of the proportion of gold or silver in bullion or coin. 6. The alloy or metal to be assayed. Ure. Assay and essay are radically the same word; but modern usage has appropriated assay chiefly to experiments in metallurgy, and essay to intellectual and bodily efforts. See Essay.] Note: Assay is used adjectively or as the first part of a compound; as, assay balance, assay furnace. Assay master, an officer who assays or tests gold or silver coin or bullion. -- Assay ton, a weight of 29.1662\/3 grams.\n\n1. To try; to attempt; to apply. [Obs. or Archaic] To-night let us assay our plot. Shak. Soft words to his fierce passion she assayed. Milton. 2. To affect. [Obs.] When the heart is ill assayed. Spenser. 3. To try tasting, as food or drink. [Obs.] 4. To subject, as an ore, alloy, or other metallic compound, to chemical or metallurgical examination, in order to determine the amount of a particular metal contained in it, or to ascertain its composition.\n\nTo attempt, try, or endeavor. [Archaic. In this sense essay is now commonly used.] She thrice assayed to speak. Dryden.
assay pound |A small standard weight used in assaying bullion, etc., sometimes equaling 0.5 gram, but varying with the assayer.
assay ton |A weight of 29.166 + grams used in assaying, for convenience. Since it bears the same relation to the milligram that a ton of 2000 avoirdupois pounds does to the troy ounce, the weight in milligrams of precious metal obtained from an assay ton of ore gives directly the number of ounces to the ton.
assayable |That may be assayed.
assayer |One who assays. Specifically: One who examines metallic ores or compounds, for the purpose of determining the amount of any particular metal in the same, especially of gold or silver.
assaying |The act or process of testing, esp. of analyzing or examining metals and ores, to determine the proportion of pure metal.
asse |A small foxlike animal (Vulpes cama) of South Africa, valued for its fur.
assecuration |Assurance; certainty. [Obs.]
assecure |To make sure or safe; to assure. [Obs.] Hooker.
assecution |An obtaining or acquiring. [Obs.] Ayliffe.
assegai |A spear used by tribes in South Africa as a missile and for stabbing, a kind of light javelin.\n\nSame as Assagai.
assemblage |1. The act of assembling, or the state o In sweet assemblage every blooming grace. Fenton. 2. A collection of individuals, or of individuals, or of particular things; as, a political assemblage; an assemblage of ideas. Syn. -- Company; group; collection; concourse; gathering; meeting; convention. Assemblage, Assembly. An assembly consists only of persons; an assemblage may be composed of things as well as persons, as, an assemblage of incoherent objects. Nor is every assemblage of persons an assembly; since the latter term denotes a body who have met, and are acting, in concert for some common end, such as to hear, to deliberate, to unite in music, dancing, etc. An assemblage of skaters on a lake, or of horse jockeys at a race course, is not an assembly, but might be turned into one by collecting into a body with a view to discuss and decide as to some object of common interest.
assemblance |1. Resemblance; likeness; appearance. [Obs.] Care I for the . . . stature, bulk, and big assemblance of a man Shak. 2. An assembling; assemblage. [Obs.] To weete [know] the cause of their assemblance. Spenser.
assemble |To collect into one place or body; to bring or call together; to convene; to congregate. Thither he assembled all his train. Milton. All the men of Israel assembled themselves. 1 Kings viii. 2.\n\nTo meet or come together, as a number of individuals; to convene; to congregate. Dryden. The Parliament assembled in November. W. Massey.\n\nTo liken; to compare. [Obs.] Bribes may be assembled to pitch. Latimer.
assembler |One who assembles a number of individuals; also, one of a number assembled.
assembly |1. A company of persons collected together in one place, and usually for some common purpose, esp. for deliberation and legislation, for worship, or for social entertainment. 2. A collection of inanimate objects. [Obs.] Howell. 3. (Mil.)  A beat of the drum or sound of the bugle as a signal to troops to assemble. Note: In some of the United States, the legislature, or the popular branch of it, is called the Assembly, or the General Assembly. In the Presbyterian Church, the General Assembly is the highest ecclesiastical tribunal, composed of ministers and ruling elders delegated from each presbytery; as, the General Assembly of the Presbyterian Church in the United States, or of Scotland. Assembly room, a room in which persons assemble, especially for dancing. -- Unlawful assembly (Law), a meeting of three or more persons on a common plan, in such a way as to cause a reasonable apprehension that they will disturb the peace tumultuously. -- Westminster Assembly, a convocation, consisting chiefly of divines, which, by act of Parliament, assembled July 1, 1643, and remained in session some years. It framed the \"Confession of Faith,\" the \"Larger Catechism,\" and the \"Shorter Catechism,\" which are still received as authority by Presbyterians, and are substantially accepted by Congregationalists. Syn. -- See Assemblage.
assemblyman |A member of an assembly, especially of the lower branch of a state legislature.
assent |To admit a thing as true; to express one's agreement, acquiescence, concurrence, or concession. Who informed the governor . . . And the Jews also assented, saying that these things were so. Acts xxiv. 9. The princess assented to all that was suggested. Macaulay. Syn. -- To yield; agree; acquiesce; concede; concur.\n\nThe act of assenting; the act of the mind in admitting or agreeing to anything; concurrence with approval; consent; agreement; acquiescence. Faith is the assent to any proposition, on the credit of the proposer. Locke. The assent, if not the approbation, of the prince. Prescott. Too many people read this ribaldry with assent and admiration. Macaulay. Royal assent, in England, the assent of the sovereign to a bill which has passed both houses of Parliament, after which it becomes law. Syn. -- Concurrence; acquiescence; approval; accord. -- Assent, Consent. Assent is an act of the understanding, consent of the will or feelings. We assent to the views of others when our minds come to the same conclusion with theirs as to what is true, right, or admissible. We consent when there is such a concurrence of our will with their desires and wishes that we decide to comply with their requests. The king of England gives his assent, not his consent, to acts of Parliament, because, in theory at least, he is not governed by personal feelings or choice, but by a deliberate, judgment as to the common good. We also use assent in cases where a proposal is made which involves but little interest or feeling. A lady may assent to a gentleman's opening the window; but if he offers himself in marriage, he must wait for her consent.
assentation |Insincere, flattering, or obsequious assent; hypocritical or pretended concurrence. Abject flattery and indiscriminate assentation degrade as much as indiscriminate contradiction and noisy debate disgust. Ld. Chesterfield.
assentator |An obsequious; a flatterer. [R.]
assentatory |Flattering; obsequious. [Obs.] -- As*sent\"a*to*ri*ly, adv. [Obs.]
assenter |One who assents.
assentient |Assenting.
assenting |Giving or implying assent. -- As*sent\"ing*ly, adv.
assentive |Giving assent; of the nature of assent; complying. -- As*sent\"ive*ness, n.
assentment |Assent; agreement. [Obs.]
assert |1. To affirm; to declare with assurance, or plainly and strongly; to state positively; to aver; to asseverate. Nothing is more shameful . . . than to assert anything to be done without a cause. Ray. 2. To maintain; to defend. [Obs. or Archaic] That . . . I may assert Eternal Providence, And justify the ways of God to men. Milton. I will assert it from the scandal. Jer. Taylor. 3. To maintain or defend, as a cause or a claim, by words or measures; to vindicate a claim or title to; as, to assert our rights and liberties. To assert one's self, to claim or vindicate one's rights or position; to demand recognition. Syn. -- To affirm; aver; asseverate; maintain; protest; pronounce; declare; vindicate. -- To Assert, Affirm, Maintain, Vindicate. To assert is to fasten to one's self, and hence to claim. It is, therefore, adversative in its nature. We assert our rights and privileges, or the cause of tree institutions, as against opposition or denial. To affirm is to declare as true. We assert boldly; we affirm positively. To maintain is to uphold, and insist upon with earnestness, whatever we have once asserted; as, to maintain one's cause, to maintain an argument, to maintain the ground we have taken. To vindicate is to use language and measures of the strongest kind, in defense of ourselves and those for whom we act. We maintain our assertions by adducing proofs, facts, or arguments; we are ready to vindicate our rights or interests by the utmost exertion of our powers.
asserter |One who asserts; one who avers pr maintains; an assertor. The inflexible asserter of the rights of the church. Milman.
assertion |1. The act of asserting, or that which is asserted; positive declaration or averment; affirmation; statement asserted; position advanced. There is a difference between assertion and demonstration. Macaulay. 2. Maintenance; vindication; as, the assertion of one's rights or prerogatives.
assertive |Positive; affirming confidently; affirmative; peremptory. In a confident and assertive form. Glanvill. As*sert\"ive*ly, adv. -- As*sert\"ive*ness, n.
assertor |One who asserts or avers; one who maintains or vindicates a claim or a right; an affirmer, supporter, or vindicator; a defender; an asserter. The assertors of liberty said not a word. Macaulay. Faithful assertor of thy country's cause. Prior.
assertorial |Asserting that a thing is; -- opposed to problematical and apodeictical.
assertory |Affirming; maintaining. Arguments . . . assertory, not probatory. Jer. Taylor. An assertory, not a promissory, declaration. Bentham. A proposition is assertory, when it enounces what is known as actual. Sir W. Hamilton.
assess |1. To value; to make a valuation or official estimate of for the purpose of taxation. 2. To apportion a sum to be paid by (a person, a community, or an estate), in the nature of a tax, fine, etc.; to impose a tax upon (a person, an estate, or an income) according to a rate or apportionment. 3. To determine and impose a tax or fine upon (a person, community, estate, or income); to tax; as, the club assessed each member twenty- five cents. 4. To fix or determine the rate or amount of. This sum is assessed and raised upon individuals by commissioners in the act. Blackstone.
assessable |Liable to be assessed or taxed; as, assessable property.
assessee |One who is assessed.
assession |A sitting beside or near.
assessment |1. The act of assessing; the act of determining an amount to be paid; as, an assessment of damages, or of taxes; an assessment of the members of a club. 2. A valuation of property or profits of business, for the purpose of taxation; such valuation and an adjudging of the proper sum to be levied on the property; as, an assessment of property or an assessment on property. Note: An assessment is a valuation made by authorized persons according to their discretion, as opposed to a sum certain or determined by law. It is a valuation of the property of those who are to pay the tax, for the purpose of fixing the proportion which each man shall pay. Blackstone. Burrill. 3. The specific sum levied or assessed. 4. An apportionment of a subscription for stock into successive installments; also, one of these installments (in England termed a \"call\"). [U. S.]
assessor |1. One appointed or elected to assist a judge or magistrate with his special knowledge of the subject to be decided; as legal assessors, nautical assessors. Mozley & W. 2. One who sits by another, as next in dignity, or as an assistant and adviser; an associate in office. Whence to his Son, The assessor of his throne, he thus began. Milton. With his ignorance, his inclinations, and his fancy, as his assessors in judgment. I. Taylor. 3. One appointed to assess persons or property for the purpose of taxation. Bouvier.
assessorial |Of or pertaining to an assessor, or to a court of assessors. Coxe.
assessorship |The office or function of an assessor.
asset |Any article or separable part of one's assets.
assets |1. (Law) (a) Property of a deceased person, subject by law to the payment of his debts and legacies; -- called assets because sufficient to render the executor or administrator liable to the creditors and legatees, so far as such goods or estate may extend. Story. Blackstone. (b) Effects of an insolvent debtor or bankrupt, applicable to the payment of debts. 2. The entire property of all sorts, belonging to a person, a corporation, or an estate; as, the assets of a merchant or a trading association; -- opposed to liabilities. Note: In balancing accounts the assets are put on the Cr. side and the debts on the Dr. side.
assever |See Asseverate. [Archaic]
asseverate |To affirm or aver positively, or with solemnity. Syn. -- To affirm; aver; protest; declare. See Affirm.
asseveration |The act of asseverating, or that which is asseverated; positive affirmation or assertion; solemn declaration. Another abuse of the tongue I might add, -- vehement asseverations upon slight and trivial occasions. Ray.
asseverative |Characterized by asseveration; asserting positively.
asseveratory |Asseverative.
assibilate |To make sibilant; to change to a sibilant. J. Peile.
assibilation |Change of a non-sibilant letter to a sibilant, as of -tion to - shun, duke to ditch.
assidean |One of a body of devoted Jews who opposed the Hellenistic Jews, and supported the Asmoneans.
assident |Usually attending a disease, but not always; as, assident signs, or symptoms.
assiduate |Unremitting; assiduous. [Obs.] \"Assiduate labor.\" Fabyan.
assiduity |1. Constant or close application or attention, particularly to some business or enterprise; diligence. I have, with much pains and assiduity, qualified myself for a nomenclator. Addison. 2. Studied and persevering attention to a person; -- usually in the plural.
assiduous |1. Constant in application or attention; devoted; attentive; unremitting. She grows more assiduous in her attendance. Addison. 2. Performed with constant diligence or attention; unremitting; persistent; as, assiduous labor. To weary him with my assiduous cries. Milton. Syn. -- Diligent; attentive; sedulous; unwearied; unintermitted; persevering; laborious; indefatigable. As*sid\"u*ous*ly, adv. -- As*sid\"u*ous*ness, n.
assiege |To besiege. [Obs.] \"Assieged castles.\" Spenser.\n\nA siege. [Obs.] Chaucer.
assientist |A shareholder of the Assiento company; one of the parties to the Assiento contract. Bancroft.
assiento |A contract or convention between Spain and other powers for furnishing negro slaves for the Spanish dominions in America, esp. the contract made with Great Britain in 1713.
assign |1. To appoint; to allot; to apportion; to make over. In the order I assign to them. Loudon. The man who could feel thus was worthy of a better station than that in which his lot had been assigned. Southey. He assigned to his men their several posts. Prescott. 2. To fix, specify, select, or designate; to point out authoritatively or exactly; as, to assign a limit; to assign counsel for a prisoner; to assign a day for trial. All as the dwarf the way to her assigned. Spenser. It is not easy to assign a period more eventful. De Quincey. 3. (Law)  To transfer, or make over to another, esp. to transfer to, and vest in, certain persons, called assignees, for the benefit of creditors. To assign dower, to set out by metes and bounds the widow's share or portion in an estate. Kent.\n\nA thing pertaining or belonging to something else; an appurtenance. [Obs.] Six French rapiers and poniards, with their assigns, as girdles, hangers, and so. Shak.\n\nA person to whom property or an interest is transferred; as, a deed to a man and his heirs and assigns.
assignability |The quality of being assignable.
assignable |Capable of being assigned, allotted, specified, or designated; as, an assignable note or bill; an assignable reason; an assignable quantity.
assignat |One of the notes, bills, or bonds, issued as currency by the revolutionary government of France (1790-1796), and based on the security of the lands of the church and of nobles which had been appropriated by the state.
assignation |1. The act of assigning or allotting; apportionment. This order being taken in the senate, as touching the appointment and assignation of those provinces. Holland. 2. An appointment of time and place for meeting or interview; -- used chiefly of love interviews, and now commonly in a bad sense. While nymphs take treats, or assignations give. Pope. 3. A making over by transfer of title; assignment. House of assignation, a house in which appointments for sexual intercourse are fulfilled.
assignee |(a) A person to whom an assignment is made; a person appointed or deputed by another to do some act, perform some business, or enjoy some right, privilege, or property; as, an assignee of a bankrupt. See Assignment (c). An assignee may be by special appointment or deed, or be created by jaw; as an executor. Cowell. Blount. (b) pl.  In England, the persons appointed, under a commission of bankruptcy, to manage the estate of a bankrupt for the benefit of his creditors.
assigner |One who assigns, appoints, allots, or apportions.
assignment |1. An allotting or an appointment to a particular person or use; or for a particular time, as of a cause or causes in court. 2. (Law) (a) A transfer of title or interest by writing, as of lease, bond, note, or bill of exchange; a transfer of the whole of some particular estate or interest in lands. (b) The writing by which an interest is transferred. (c) The transfer of the property of a bankrupt to certain persons called assignees, in whom it is vested for the benefit of creditors. Assignment of dower, the setting out by metes and bounds of the widow's thirds or portion in the deceased husband's estate, and allotting it to her. Note: Assignment is also used in law as convertible with specification; assignment of error in proceedings for review being specification of error; and assignment of perjury or fraud in indictment being specifications of perjury or fraud.
assignor |An assigner; a person who assigns or transfers an interest; as, the assignor of a debt or other chose in action.
assimilability |The quality of being assimilable. [R.] Coleridge.
assimilable |That may be assimilated; that may be likened, or appropriated and incorporated.
assimilate |1. To bring to a likeness or to conformity; to cause a resemblance between. Sir M. Hale. To assimilate our law to the law of Scotland. John Bright. Fast falls a fleecy; the downy flakes Assimilate all objects. Cowper. 2. To liken; to compa [R.] 3. To appropriate and transform or incorporate into the substance of the assimilating body; to absorb or appropriate, as nourishment; as, food is assimilated and converted into organic tissue. Hence also animals and vegetables may assimilate their nourishment. Sir I. Newton. His mind had no power to assimilate the lessons. Merivale.\n\n1. To become similar or like something else. [R.] 2. To change and appropriate nourishment so as to make it a part of the substance of the assimilating body. Aliment easily assimilated or turned into blood. Arbuthnot. 3. To be converted into the substance of the assimilating body; to become incorporated; as, some kinds of food assimilate more readily than others. I am a foreign material, and cannot assimilate with the church of England. J. H. Newman.
assimilation |1. The act or process of assimilating or bringing to a resemblance, likeness, or identity; also, the state of being so assimilated; as, the assimilation of one sound to another. To aspire to an assimilation with God. Dr. H. More. The assimilation of gases and vapors. Sir J. Herschel. 2. (Physiol.)  The conversion of nutriment into the fluid or solid substance of the body, by the processes of digestion and absorption, whether in plants or animals. Not conversing the body, not repairing it by assimilation, but preserving it by ventilation. Sir T. Browne. Note: The term assimilation has been limited by some to the final process by which the nutritive matter of the blood is converted into the substance of the tissues and organs.
assimilative |Tending to, or characterized by, assimilation; that assimilates or causes assimilation; as, an assimilative process or substance.
assimilatory |Tending to assimilate, or produce assimilation; as, assimilatory organs.
assimulate |1. To feign; to counterfeit; to simulate; to resemble. [Obs.] Blount. 2. To assimilate. [Obs.] Sir M. Hale.
assimulation |Assimilation. [Obs.] Bacon.
assinego |A stupid fellow. [Obs.] Shak.\n\nSee Asinego.
assish |Resembling an ass; asinine; stupid or obstinate. Such . . . appear to be of the assich kind . . . Udall.
assist |To give support to in some undertaking or effort, or in time of distress; to help; to aid; to succor. Assist me, knight. I am undone! Shak. Syn. -- To help; aid; second; back; support; relieve; succor; befriend; sustain; favor. See Help.\n\n1. To lend aid; to help. With God not parted from him, as was feared, But favoring and assisting to the end. Milton. 2. To be present as a spectator; as, to assist at a public meeting. [A Gallicism] Gibbon. Prescott.
