covertly |Secretly; in private; insidiously.
cramp |1. That which confines or contracts; a restraint; a shakle; a hindrance. A narrow fortune is a cramp to a great mind. L'Estrange. Crippling his pleasures with the cramp of fear. Cowper. 2. (Masonry)  A device, usually of iron bent at the ends, used to hold together blocks of stone, timbers, etc.; a cramp iron. 3. (Carp.)  A rectangular frame, with a tightening screw, used for compressing the jionts of framework, etc. 4. A piece of wood having a curve corresponding to that of the upper part of the instep, on which the upper leather of a boot is stretched to give it the requisite shape. 5. (Med.)  A spasmodic and painful involuntary contraction of a muscle or muscles, as of the leg. The cramp, divers nights, gripeth him in his legs. Sir T. More. Cramp bone, the patella of a sheep; -- formerly used as a charm for the cramp. Halliwell. \"He could turn cramp bones into chess men.\" Dickens. -- Cramp ring, a ring formerly supposed to have virtue in averting or curing cramp, as having been consecrated by one of the kings of England on Good Friday.\n\n1. To compress; to restrain from free action; to confine and contract; to hinder. The mind my be as much cramped by too much knowledge as by ignorance. Layard. 2. To fasten or hold with, or as with, a cramp. 3. Hence, to bind together; to unite. The . . . fabric of universal justic is well cramped and bolted together in all its parts. Burke. 4. To form on a cramp; as, to cramp boot legs. 5. To afflict with cramp. When the gout cramps my joints. Ford. To cramp the wheels of wagon, to turn the front wheels out of line with the hind wheels, so that one of them shall be against the body of the wagon.\n\nKnotty; difficult. [R.] Care being taken not to add any of the cramp reasons for this opinion. Coleridge.
cramp iron |See Cramp, n., 2.
crampet |A cramp iron or cramp ring; a chape, as of a scabbard. [Written also crampit and crampette.]
crampfish |The torpedo, or electric ray, the touch of which gives an electric shock. See Electric fish, and Torpedo.
crampit |See Crampet.
crampon |An a
cramponee |Having a cramp or square piece at the end; -- said of a cross so furnished.
crampoons |1. A clutch formed of hooked pieces of iron, like double calipers, for raising stones, lumber, blocks of ice, etc. 2. Iron insruments with sharp points, worn on the shoes to assist in gaining or keeping a foothold.
crampy |1. Affected with cramp. 2. Productive of, or abounding in, cramps. \"This crampy country.\" Howitt.
cran |A measure for fresh herrings, -- as many as will fill a barrel. [Scot.] H. Miller.
cranage |1. The liberty of using a crane, as for loading and unloading vessels. 2. The money or price paid for the use of a crane.
cranberry |A red, acid berry, much used for making sauce, etc.; also, the plant producing it (several species of Vaccinum or Oxycoccus.) The high cranberry or cranberry tree is a species of Viburnum (V. Opulus), and the other is sometimes called low cranberry or marsh cranberry to distinguish it.
cranch |See Craunch.
crandall |A kind of hammer having a head formed of a group of pointed steel bars, used for dressing ashlar, etc. -- v. t.  To dress with a crandall.
crane |A measure for fresh herrings, -- as many as will fill a barrel. [Scot.] H. Miller.\n\n1. (Zoöl.)  A wading bird of the genus Grus, and allied genera, of various species, having a long, straight bill, and long legs and neck. Note: The common European crane is Grus cinerea. The sand-hill crane (G. Mexicana) and the whooping crane (G. Americana) are large American species. The Balearic or crowned crane is Balearica pavonina. The name is sometimes erroneously applied to the herons and cormorants. 2. A machine for raising and lowering heavy weights, and, while holding them suspended, transporting them through a limited lateral distance. In one form it consists of a projecting arm or jib of timber or iron, a rotating post or base, and the necessary tackle, windlass, etc.; -- so called from a fancied similarity between its arm and the neck of a crane See Illust. Of Derrick. 3. An iron arm with horizontal motion, attached to the side or back of a fireplace, for supporting kettles, etc., over a fire. 4. A siphon, or bent pipe, for drawing liquors out of a cask. 5. (Naut.)  A forked post or projecting bracket to support spars, etc., -- generally used in pairs. See Crotch, 2. Crane fly (Zoöl.), a dipterous insect with long legs, of the genus Tipula. -- Derrick crane. See Derrick. -- Gigantic crane. (Zoöl.) See Adjutant, n., 3. -- Traveling crane, Traveler crane, Traversing crane (Mach.), a crane mounted on wheels; esp., an overhead crane consisting of a crab or other hoisting apparatus traveling on rails or beams fixed overhead, as in a machine shop or foundry. -- Water crane, a kind of hydrant with a long swinging spout, for filling locomotive tenders, water carts, etc., with water.\n\n1. To cause to rise; to raise or lift, as by a crane; -- with up. [R.] What engines, what instruments are used in craning up a soul, sunk below the center, to the highest heavens. Bates. An upstart craned up to the height he has. Massinger. 2. To stretch, as a crane stretches its neck; as, to crane the neck disdainfully. G. Eliot.\n\nto reach forward with head and neck, in order to see better; as, a hunter cranes forward before taking a leap. Beaconsfield. Thackeray. The passengers eagerly craning forward over the bulwarks. Howells. CRANE'S-BILL Crane's\"-bill` (krnz\"bl`), n. 1. (Bot.)  The geranium; -- so named from the long axis of the fruit, which resembles the beak of a crane. Dr. Prior. 2. (Surg.)  A pair of long-beaked forceps.
crang |See Krang.
crania |A genus of living Brachiopoda; -- so called from its fancied resemblance to the cranium or skull.
cranial |Of or pertaining to the cranium.
cranioclasm |The crushing of a child's head, as with the cranioclast or craniotomy forceps in cases of very difficult delivery. Dunglison.
cranioclast |An instrument for crushing the head of a fetus, to facilitate delivery in difficult eases.
craniofacial |Of or pertaining to the cranium and face; as, the craniofacial angle.
craniognomy |The science of the form and characteristics of the skull. [R.]
craniological |Of or pertaining to craniology.
craniologist |One proficient in craniology; a phrenologist.
craniology |The department of science (as of ethnology or archæology) which deals with the shape, size, proportions, indications, etc., of skulls; the study of skulls.
craniometer |An instrument for measuring the size of skulls.
craniometric |Pertaining to craniometry.
craniometrical |Pertaining to craniometry.
craniometry |The art or act of measuring skulls.
cranioscopist |One skilled in, or who practices, cranioscopy. It was found of equal dimension in a literary man whose skull puzzied the cranioscopists. Coleridge.
cranioscopy |Scientific examination of the cranium.
craniota |A comprehensive division of the Vertebrata, including all those that have a skull.
craniotomy |The operation of opening the fetal head, in order to effect delivery.
cranium |The skull of an animal; especially, that part of the skull, either cartilaginous or bony, which immediately incloses the brain; the brain case or brainpan. See Skull.
crank |1. (Mach.)  A bent portion of an axle, or shaft, or an arm keyed at right angles to the end of a shaft, by which motion is imparted to or received from it; also used to change circular into reciprocating motion, or reciprocating into circular motion. See Bell crank. 2. Any bend, turn, or winding, as of a passage. So many turning cranks these have, so many crooks. Spenser. 3. A twist or turn in speech; a conceit consisting in a change of the form or meaning of a word. Quips, and cranks, and wanton wiles. Milton. 4. A twist or turn of the mind; caprice; whim; crotchet; also, a fit of temper or passion. [Prov. Eng.] Violent of temper; subject to sudden cranks. Carlyle. 5. A person full of crotchets; one given to fantastic or impracticable projects; one whose judgment is perverted in respect to a particular matter. [Colloq.] 6. A sick person; an invalid. [Obs.] Thou art a counterfeit crank, a cheater. Burton. Crank axle (Mach.), a driving axle formed with a crank or cranks, as in some kinds of locomotives. -- Crank pin (Mach.), the cylindrical piece which forms the handle, or to which the connecting rod is attached, at the end of a crank, or between the arms of a double crank. -- Crank shaft, a shaft bent into a crank, or having a crank fastened to it, by which it drives or is driven. -- Crank wheel, a wheel acting as a crank, or having a wrist to which a connecting rod is attached.\n\n1. Sick; infirm. [Prov. Eng.] 2. (Naut.)  Liable to careen or be overest, as a ship when she is too narrow, or has not sufficient ballast, or is loaded too high, to carry full sail. 3. Full of spirit; brisk; lively; sprightly; overconfident; opinionated. He who was, a little before, bedrid, . . . was now crank and lusty. Udall. If you strong electioners did not think you were among the elect, you would not be so crank about it. Mrs. Stowe.\n\nTo run with a winding course; to double; to crook; to wind and turn. See how this river comes me cranking in. Shak.
crankbird |A small European woodpecker (Picus minor).
cranked |Formed with, or having, a bend or crank; as, a cranked axle.
crankiness |Crankness. Lowell.
crankle |To break into bends, turns, or angles; to crinkle. Old Veg's stream . . . drew her humid train aslope, Crankling her banks. J. Philips.\n\nTo bend, turn, or wind. Along the crankling path. Drayton.\n\nA bend or turn; a twist; a crinkle.
crankness |1. (Naut.)  Liability to be overset; -- said of a ship or other vessel. 2. Sprightliness; vigor; health.
cranky |1. Full of spirit; crank. 2. Addicted to crotchets and whims; unreasonable in opinions; crotchety. [Colloq.] 3. Unsteady; easy to upset; crank.
crannied |Having crannies, chinks, or fissures; as, a crannied wall. Tennyson.
crannog |One of the stockaded islands in Scotland and Ireland which in ancient times were numerous in the lakes of both countries. They may be regarded as the very latest class of prehistoric strongholds, reaching their greatest development in early historic times, and surviving through the Middle Ages. See also Lake dwellings, under Lake. Encyc. Brit.
crannoge |One of the stockaded islands in Scotland and Ireland which in ancient times were numerous in the lakes of both countries. They may be regarded as the very latest class of prehistoric strongholds, reaching their greatest development in early historic times, and surviving through the Middle Ages. See also Lake dwellings, under Lake. Encyc. Brit.
cranny |1. A small, narrow opening, fissure, crevice, or chink, as in a wall, or other substance. In a firm building, the cavities ought not to be filled with rubbish, but with brick or stone fitted to the crannies. Dryden. He peeped into every cranny. Arbuthnot. 2. (Glass Making)  A tool for forming the necks of bottles, etc.\n\n1. To crack into, or become full of, crannies. [R.] The ground did cranny everywhere. Golding. 2. To haunt, or enter by, crannies. All tenantless, save to the cranning wind. Byron.\n\nQuick; giddy; thoughtless. [Prov. Eng.] Halliwell.
crantara |The fiery cross, used as a rallying signal in the Highlands of Scotland.
crants |A garland carried before the bier of a maiden. [Obs.] Yet here she is allowed her virgin crants, Her maaiden strewments. Shak.
crap |In the game of craps, a first throw of the dice in which the total is two, three, or twelve, in which case the caster loses.
crap shooting |Same as Craps.
crapaud |1.  A toad. [Obs.] 2.  (Pronounced kra`po\") As a proper name, Johnny Crapaud, or Crapaud, a nickname for a Frenchman.
crapaudine |Turning on pivots at the top and bottom; -- said of a door.\n\nAn ulcer on the coronet of a horse. Bailey.
crape |A thin, crimped stuff, made of raw silk gummed and twisted on the mill. Black crape is much used for mourning garments, also for the dress of some clergymen. A saint in crape is twice a saint in lawn. Pope. Crape myrtle (Bot.), a very ornamental shrub (Lagerströmia Indica) from the East Indies, often planted in the Southern United States. Its foliage is like that of the myrtle, and the flower has wavy crisped petals. -- Oriental crape. See Canton crape.\n\nTo form into ringlets; to curl; to crimp; to friz; as, to crape the hair; to crape silk. The hour for curling and craping the hair. Mad. D'Arblay.
crapefish |Salted codfish hardened by pressure. Kane.
crapnel |A hook or drag; a grapnel.
crappie |A kind of fresh-water bass of the genus Pomoxys, found in the rivers of the Southern United States and Mississippi valley. There are several species. [Written also croppie.]
crapple |A claw. [Obs.]
craps |A gambling game with dice. [Local, U.S.]
crapula |Same as Crapulence.
crapule |Same as Crapulence.
crapulence |The sickness occasioned by intemperance; surfeit. Bailey.
crapulent |Surcharged with liquor; sick from excessive indulgence in liquor; drunk; given to excesses. [R.]
crapulous |Surcharged with liquor; sick from excessive indulgence in liquor; drunk; given to excesses. [R.]
crapy |Resembling crape.
crare |A slow unwieldy trading vessel. [Obs.] [Written also crayer, cray, and craie.] Shak.
crase |To break in pieces; to crack. [Obs.] \"The pot was crased.\" Chaucer.
crash |To break in pieces violently; to dash together with noise and violence. [R.] He shakt his head, and crasht his teeth for ire. Fairfax.\n\n1. To make a loud, clattering sound, as of many things falling and breaking at once; to break in pieces with a harsh noise. Roofs were blazing and walls crashing in every part of the city. Macualay. 2. To break with violence and noise; as, the chimney in falling crashed through the roof.\n\n1. A loud, sudden, confused sound, as of manu things falling and breaking at once. The wreck of matter and the crash of worlds. Addison. 2. Ruin; failure; sudden breaking down, as of a business house or a commercial enterprise.\n\nCoarse, heavy, narrow linen cloth, used esp. for towels.
crashing |The noise of many things falling and breaking at once. There shall be . . . a great crashing from the hills. Zeph. i. 10.
crasis |1. (Med.)  A mixture of constituents, as of the blood; constitution; temperament. 2. (Gram.)  A contraction of two vowels (as the final and initial vowels of united words) into one long vowel, or into a dipthong; synæresis; as, cogo for coago.
craspedota |The hydroid or naked-eyed medusæ. See Hydroidea.
craspedote |Of or pertaining to the Craspedota.
crass |Cross; thick; dense; coarse; not elaborated or refined. \"Crass and fumid exhalations.\" Sir. T. Browne. \"Crass ignorance\" Cudworth.
crassament |A semisolid mass or clot, especially that formed in coagulation of the blood.
crassamentum |A semisolid mass or clot, especially that formed in coagulation of the blood.
crassiment |See Crassament.
crassitude |Crossness; coarseness; thickness; density. Bacon.
crassness |Grossness. [Obs.] Glanvill.
crastination |Procrastination; a putting off till to-morrow. [Obs.]
crataegus |A genus of small, hardy trees, including the hawthorn, much used for ornamental purposes.
cratch |A manger or open frame for hay; a crib; a rack. [Obs.] Begin from first where He encradled was, In simple cratch, wrapt in a wad of hay. Spenser. Cratch cradle, a representation of the figure of the cratch, made upon the fingers with a string; cat's cradle; -- called also scratch cradle.
crate |1. A large basket or hamper of wickerwork, used for the transportation of china, crockery, and similar wares. 2. A box or case whose sides are of wooden slats with interspaces, -- used especially for transporting fruit.\n\nTo pack in a crate or case for transportation; as, to crate a sewing machine; to crate peaches.
crater |1. The basinlike opening or mouth of a volcano, through which the chief eruption comes; similarly, the mouth of a gevser, about which a cone of silica is often built up. 2. (Mil.)  The pit left by the explosion of a mine. 3. (Astron.)  A constellation of the southen hemisphere; -- called also the Cup.
crateriform |Having the form of a shallow bowl; -- said of a corolla.
craterous |Pertaining to, or resembling, a crater. [R.] R. Browning.
craunch |To crush with the teeth; to chew with violence and noise; to crunch. Swift.
cravat |A neckcloth; a piece of silk, fine muslin, or other cloth, worn by men about the neck. While his wig was combed and his cravat tied. Macualay.
cravatted |Wearing a cravat. The young men faultlessly appointed, handsomely cravatted. Thackeray.
crave |1. To ask with earnestness or importunity; to ask with submission or humility; to beg; to entreat; to beseech; to implore. I crave your honor's pardon. Shak. Joseph . . . went in boldly unto Pilate, and craved the body of Jesus. Mark xv. 43. 2. To call for, as a gratification; to long for; hence, to require or demand; as, the stomach craves food. His path is one that eminently craves weary walking. Edmund Gurney. Syn. -- To ask; seek; beg; beseech; implore; entreat; solicit; request; supplicate; adjure.\n\nTo desire strongly; to feel an insatiable longing; as, a craving appetite. Once one may crave for love. Suckling.
craven |Cowardly; fainthearted; spiritless. \"His craven heart.\" Shak. The poor craven bridegroom said never a word. Sir. W. Scott. In craven fear of the sarcasm of Dorset. Macualay.\n\nA recreant; a coward; a weak-hearted, spiritless fellow. See Recreant, n. King Henry. Is it fit this soldier keep his oath Fluellen.He is a craven and a villain else. Shak. Syn. -- Coward; poltroon; dastard.\n\nTo make recreant, weak, spiritless, or cowardly. [Obs.] There is a prohibition so divine, That cravens my weak hand. Shak.
craver |One who craves or begs.
craving |Vehement or urgent desire; longing for; beseeching. A succession of cravings and satiety. L'Estrange. -- Crav\"ing*ly, adv. -- Crav\"ing*ness, n.
craw |(a) The crop of a bird. (b) The stomach of an animal.
crawfish |Any crustacean of the family Astacidæ, resembling the lobster, but smaller, and found in fresh waters. Crawfishes are esteemed very delicate food both in Europe and America. The North American species are numerous and mostly belong to the genus Cambarus. The blind crawfish of the Mamoth Cave is Cambarus pellucidus. The common European species is Astacus fluviatilis.
crawford |A Crawford peach; a well-known freestone peach, wich yellow flesh, first raised by Mr. William Crawford, of New Jersey.
crawl |1. To move slowly by drawing the body along the ground, as a worm; to move slowly on hands and kness; to creep. A worm finds what it searches after only by feeling, as it crawls from one thing to another. Grew. 2. Hence, to move or advance in a feeble, slow, or timorous manner. He was hardly able to crawl about the room. Arbuthnot. The meanest thing that crawl'd beneath my eyes. Byron. 3. To advance slowly and furtively; to insinuate one's self; to advance or gain influence by servile or obsequious conduct. Secretly crawling up the battered walls. Knolles. Hath crawled into the favor of the king. Shak. Absurd opinions crawl about the world. South. 4. To have a sensation as of insect creeping over the body; as, the flesh crawls. See Creep, v. i. ,7.\n\nThe act or motion of crawling;\n\nA pen or inclosure of stakes and hurdles on the seacoast, for holding fish.
crawl stroke |A racing stroke, in which the swimmer, lying flat on the water with face submerged, takes alternate overhand arm strokes while moving his legs up and down alternately from the knee.
crawler |One who, or that which, crawls; a creeper; a reptile.
crawly |Creepy. [Colloq.]
cray |See Crare. [Obs.]
crayer |See Crare. [Obs.]
crayfish |Any crustacean of the family Astacidæ, resembling the lobster, but smaller, and found in fresh waters. Crawfishes are esteemed very delicate food both in Europe and America. The North American species are numerous and mostly belong to the genus Cambarus. The blind crawfish of the Mamoth Cave is Cambarus pellucidus. The common European species is Astacus fluviatilis.\n\nSee Crawfish.
crayon |1. An implement for drawing, made of clay and plumbago, or of some preparation of chalk, usually sold in small prisms or cylinders. Let no day pass over you . . . without giving some strokes of the pencil or the crayon. Dryden. Note: The black crayon gives a deeper black than the lead pencil. This and the colored crayons are often called chalks. The red crayon is also called sanguine. See Chalk, and Sanguine. 2. A crayon drawing. 3. (Electricity)  A pencil of carbon used in producing electric light. Crayon board, cardboard with a surface prepared for crayon drawing. -- Crayon drawing, the act or art of drawing with crayons; a drawing made with crayons.\n\nTo sketch, as with a crayon; to sketch or plan. He soon afterwards composed that discourse, conformably to the plan which he had crayoned out. Malone.
craze |1. To break into pieces; to crush; to grind to powder. See Crase. God, looking forth, will trouble all his host, And craze their chariot wheels. Milton. 2. To weaken; to impair; to render decrepit. [Obs.] Till length of years, And sedentary numbness, craze my limbs. Milton. 3. To derange the intellect of; to render insane. Any man . . . that is crazed and out of his wits. Tilloston. Grief hath crazed my wits. Shak.\n\n1. To be crazed, or to act or appear as She would weep and he would craze. Keats. 2. To crack, as the glazing of porcelain or pottery.\n\n1. Craziness; insanity. 2. A strong habitual desire or fancy; a crotchet. It was quite a craze with him [Burns] to have his Jean dressed genteelly. Prof. Wilson. 3. A temporary passion or infatuation, as for same new amusement, pursuit, or fashion; as, the bric-a-brac craze; the æsthetic craze. Various crazes concerning health and disease. W. Pater.
craze-mill |A mill for grinding tin ore.
crazedness |A broken state; decrepitude; an impaired state of the intellect.
crazily |In a crazy manner.
craziness |1. The state of being broken down or weakened; as, the craziness of a ship, or of the limbs. 2. The state of being broken in mind; imbecility or weakness of intellect; derangement.
crazing-mill |A mill for grinding tin ore.
crazy |1. Characterized by weakness or feeblness; decrepit; broken; falling to decay; shaky; unsafe. Piles of mean andcrazy houses. Macualay. One of great riches, but a crazy constitution. Addison. They . . . got a crazy boat to carry them to the island. Jeffrey. 2. Broken, weakened, or dissordered in intellect; shattered; demented; deranged. Over moist and crazy brains. Hudibras. 3. Inordinately desirous; foolishly eager. [Colloq.] The girls were crazy to be introduced to him. R. B. Kimball. Crazy bone, the bony projection at the end of the elbow (olecranon), behind which passes the ulnar nerve; -- so called on account of the curiously painful tingling felt, when, in a particular position, it receives a blow; -- called also funny bone. -- Crazy quilt, a bedquilt made of pieces of silk or other material of various sizes, shapes, and colors, fancifully stitched together without definite plan or arrangement.
creable |Capable of being created. [Obs.] I. Watts.
creaght |A drove or herd. [Obs.] Haliwell.\n\nTo graze. [Obs.] Sir. L. Davies.
creak |To make a prolonged sharp grating or ssqueaking sound, as by the friction of hard substances; as, shoes creak. The creaking locusts with my voice conspire. Dryden. Doors upon their hinges creaked. Tennyson.\n\nTo produce a creaking sound with. Creaking my shoes on the plain masonry. Shak.\n\nThew sound produced by anuthing that creaks; a creaking. Roget.
creaking |A harsh grating or squeaking sound, or the act of making such a sound. Start not at the creaking of the door. Longfellow.
cream |1. The rich, oily, and yellowish part of milk, which, when the milk stands unagitated, rises, and collects on the surface. It is the part of milk from which butter is obtained. 2. The part of any liquor that rises, and collects on the surface. [R.] 3. A delicacy of several kinds prepared for the table from cream, etc., or so as to resemble cream. 4. A cosmetic; a creamlike medicinal preparation. In vain she tries her paste and creams, To smooth her skin or hide its seams. Goldsmith. 5. The best or choicest part of a thing; the quintessence; as. the cream of a jest or story; the cream of a collection of books or pictures. Welcome, O flower and cream of knights errant. Shelton. Bavarian cream, a preparation of gelatin, cream, sugar, and eggs, whipped; -- to be eaten cold. -- Cold cream, an ointment made of white wax, almond oil, rose water, and borax, and used as a salve for the hands and lips. -- Cream cheese, a kind of cheese made from curd from which the cream has not been taken off, or to which cream has been added. -- Cream gauge, an instrument to test milk, being usually a graduated glass tube in which the milk is placed for the cream to rise. -- Cream nut, the Brazil nut. -- Cream of lime. (a) A scum of calcium carbonate which forms on a solution of milk of lime from the carbon dioxide of the air. (b) A thick creamy emulsion of lime in water. -- Cream of tartar (Chem.), purified tartar or argol; so called because of the crust of crystals which forms on the surface of the liquor in the process of purification by recrystallization. It is a white crystalline substance, with a gritty acid taste, and is used very largely as an ingredient of baking powders; -- called also potassium bitartrate, acid potassium tartrate, etc.\n\n1. To skim, or take off by skimming, as cream. 2. To take off the best or choicest part of. 3. To furnish with, or as with, cream. Creaming the fragrant cups. Mrs. Whitney. To cream butter (Cooking), to rub, stir, or beat, butter till it is of a light creamy consistency.\n\nTo form or become covered with cream; to become thick like cream; to assume the appearance of cream; hence, to grow stiff or formal; to mantle. There are a sort of men whose visages Do cream and mantle like a standing pool. Shak.
cream laid |See under Laid.
cream-colored |Of the color of cream; light yellow. \"Cream-colored horses.\" Hazlitt.
cream-faced |White or pale, as the effect of fear, or as the natural complexion. Thou cream-faced loon. Shak.
cream-fruit |A plant of Sierra Leone which yields a wholesome, creamy juice.
cream-slice |A wooden knife with a long thin blade, used in handling cream or ice cream.
cream-white |As white as cream.
creamcake |A kind of cake filled with custard made of cream, eggs, etc.
creamery |1. A place where butter and cheese are made, or where milk and cream are put up in cans for market. 2. A place or apparatus in which milk is set for raising cream. 3. An establishment where cream is sold.
creaminess |The quality of being creamy.
creamy |Full of, or containing, cream; resembling cream, in nature, appearance, or taste; creamlike; unctuous. \"Creamy bowis.\" Collins. \"Lines of creamy spray.\" Tennyson. \"Your creamy words but cozen.\" Beau & Fl.
creance |1. Faith; belief; creed. [Obs.] Chaucer. 2. (Falconry)  A fine, small line, fastened to a hawk's leash, when it is first lured.\n\nTo get on credit; to borrow. [Obs.] Chaucer.
creant |Creative; formative. [R.] Mrs. Browning.
crease |See Creese. Tennison.\n\n1. A line or mark made by folding or doubling any pliable substance; hence, a similar mark, howewer produced. 2. (Cricket)  One of the lines serving to define the limits of the bowler and the striker. Bowling crease (Cricket), a line extending three feet four inches on each side of the central strings at right angles to the line between the wickets. -- Return crease (Cricket), a short line at each end of the bowling crease and at right angles to it, extending toward the bowler. -- Popping crease (Cricket),, a line drawn in front of the wicket, four feet distant from it, parallel to the bowling crease and at least as long as the latter. J. H. Walsh (Encyc. of Rural Sports).\n\nTo make a crease or mark in, as by folding or doubling. Creased, like dog's ears in a folio. Gray.
creaser |1. A tool, or a sewing-mashine attachment, for making lines or creases on leather or cloth, as guides to sew by. 2. A tool for making creases or beads, as in sheet iron, or for rounding small tubes. 3. (Bookbinding)  A tool for making the band impression distinct on the back. Knight.
creasing |A layer of tiles forming a corona for a wall.
creasote |See Creosote.
creasy |Full of creases. Tennyson.
creat |An usher to a riding master.
creatable |That may be created.
create |Created; composed; begotte. [Obs.] Hearts create of duty and zeal. Shak.\n\n1. To bring into being; to form out of nothing; to cause to exist. In the beginning, God created the heaven and the earth. Gen. i. 1. 2. To effect by the agency, and under the laws, of causation; to be the occasion of; to cause; to produce; to form or fashion; to renew. Your eye in Scotland Would create soldiers. Shak. Create in me a clean heart. Ps. li. 10. 3. To invest with a new form, office, or character; to constitute; to appoint; to make; as, to create one a peer. \"I create you companions to our person.\" Shak.
creatic |Relating to, or produced by, flesh or animal food; as, creatic nausea. [Written also kreatic.]
creatin |A white, crystalline, nitrogenous substance found abundantly in muscle tissue. [Written also kreatine.]
creatinin |A white, crystalline, nitrogenous body closely related to creatin but more basic in its properties, formed from the latter by the action of acids, and occurring naturally in muscle tissue and in urine. [Written also kretinine.]
creation |1. The act of creating or causing to exist. Specifically, the act of bringing the universe or this world into existence. From the creation to the general doom. Shak. As when a new particle of matter dotn begin to exist, in rerum natura, which had before no being; and this we call creation. Locke. 2. That which is created; that which is produced or caused to exist, as the world or some original work of art or of the imagination; nature. We know that the whole creation groaneth. Rom. viii. 22. A dagger of the mind, a false creation. Shak. Choice pictures and creations of curious art. Beaconsfield. 3. The act of constituting or investing with a new character; appointment; formation. An Irish peer of recent creation. Landor.
creational |Of or pertaining to creation.
creationism |The doctrine that a soul is specially created for each human being as soon as it is formed in the womb; -- opposed to traducianism.
creative |Having the power to create; exerting the act of creation. \"Creative talent.\" W. Irving. The creative force exists in the germ. Whewell.
creativeness |The qualiyu of being creative.
creator |One who creates, produces, or constitutes. Specifically, the Supreme Being. To sin's rebuke and my Creater's praise. Shak. The poets and artists of Greece, who are at the same time its prophets, the creators of its divinities, and the revealers of its theological beliefs. Caird.
creatorship |State or condition of a creator.
creatress |She who creates. Spenser.
creatrix |A creatress. [R.]
creatural |Belonging to a creature; having the qualities of a creature. [R.]
creature |1. Anything created; anything not self-existent; especially, any being created with life; an animal; a man. He asked water, a creature so common and needful that it was against the law of nature to deny him. Fuller. God's first creature was light. Bacon. On earth, join, all ye creatures, to extol Him first, him last, him midst, and without end. Milton. And most attractive is the fair result Of thought, the creature of a polished mind. Cowper. 2. A human being, in pity, contempt, or endearment; as, a poor creature; a pretty creature. The world hath not a sweeter creature. Shak. 3. A person who owes his rise and fortune to another; a servile dependent; an instrument; a tool. A creature of the queen's, Lady Anne Bullen. Shak. Both Charles himself and his creature, Laud. Macualay. 4. A general term among farmers for horses, oxen, etc. Creature comforts, those which minister to the comfort of the body.
creatureless |Without created beings; alone. God was alone And creatureless at first. Donne.
creaturely |Creatural; characteristic of a creature. [R.] \"Creaturely faculties.\" Cheyne.
creatureship |The condition of being a creature.
creaturize |To make like a creature; to degrade [Obs.] Degrade and creaturize that mundane soul. Cudworth.
creaze |The tin ore which collects in the central part of the washing pit or buddle.
crebricostate |Marked with closely set ribs or ridges.
crebrisulcate |Marked with closely set transverse furrows.
crebritude |Frequency. [Obs.] Bailey.
crebrous |Frequent; numerous. [Obs.] Goodwin.
creche |A public nursery, where the young children of poor women are cared for during the day, while their mothers are at work.
credence |1. Reliance of the mind on evidence of facts derived from other sources than personal knowledge; belief; credit; confidence. To give credence to the Scripture miracles. Trench. An assertion which might easily find credence. Macualay. 2. That which gives a claim to credit, belief, or confidence; as, a letter of credence. 3. (Eccl.)  The small table by the side of the altar or communion table, on which the bread and wine are placed before being consecrated. 4. A cupboard, sideboard, or cabinet, particularly one intended for the display of rich vessels or plate, and consisting chiefly of open shelves for that purpose.\n\nTo give credence to; to believe. [Obs.]
credendum |A thing to be believed; an article of faith; -- distinguished from agendum, a practical duty. The great articles and credenda of Christianity. South.
credent |1. Believing; giving credence; credulous. [R.] If with too credent esr you list songs. Shak. 2. Having credit or authority; credible. [Obs.] For my authority bears of a credent bulk. Shak.
credential |Giving a title or claim to credit or confidence; accrediting. Their credential letters on both sides. Camden.\n\n1. That which gives a title to credit or confidence. 2. pl.  Testimonials showing that a person is entitled to credit, or has right to exercise official power, as the letters given by a government to an ambassador or envoy, or a certificate that one is a duly elected delegate. The committee of estates excepted against the credentials of the English commissioners. Whitelocke. Had they not shown undoubted credentials from the Divine Person who sent them on such a message. Addison.
credibility |The quality of being credible; credibleness; as, the credibility of facts; the credibility of witnesses.
credible |Capable of being credited or believed; worthy of belief; entiled to confidence; trustworthy. Things are made credible either by the known condition and quality of the utterer or by the manifest likelihood of truth in themselves. Hooker. A very diligent and observing person, and likewise very sober and credible. Dampier.
credibleness |The quality or state of being credible; worthness of belief; credibility. [R.] Boyle.
credibly |In a manner inducing belief; as, I have been credibly informed of the event.
