marplot |One who, by his officious
mass |1. (R. C. Ch.)  The sacrifice in the sacrament of the Eucharist, or the consecration and oblation of the host. 2. (Mus.)  The portions of the Mass usually set to music, considered as a musical composition; -- namely, the Kyrie, the Gloria, the Credo, the Sanctus, and the Agnus Dei, besides sometimes an Offertory and the Benedictus. Canon of the Mass. See Canon. -- High Mass, Mass with incense, music, the assistance of a deacon, subdeacon, etc. -- Low Mass, Mass which is said by the priest through-out, without music. -- Mass bell, the sanctus bell. See Sanctus. -- Mass book, the missal or Roman Catholic service book.\n\nTo celebrate Mass. [Obs.] Hooker.\n\n1. A quantity of matter cohering together so as to make one body, or an aggregation of particles or things which collectively make one body or quantity, usually of considerable size; as, a mass of ore, metal, sand, or water. If it were not for these principles, the bodies of the earth, planets, comets, sun, and all things in them, would grow cold and freeze, and become inactive masses. Sir I. Newton. A deep mass of continual sea is slower stirred To rage. Savile. 2. (Phar.)  A medicinal substance made into a cohesive, homogeneous lump, of consistency suitable for making pills; as, blue mass. 3. A large quantity; a sum. All the mass of gold that comes into Spain. Sir W. Raleigh. He had spent a huge mass of treasure. Sir J. Davies. 4. Bulk; magnitude; body; size. This army of such mass and charge. Shak. 5. The principal part; the main body. Night closed upon the pursuit, and aided the mass of the fugitives in their escape. Jowett (Thucyd.). 6. (Physics)  The quantity of matter which a body contains, irrespective of its bulk or volume. Note: Mass and weight are often used, in a general way, as interchangeable terms, since the weight of a body is proportional to its mass (under the same or equal gravitative forces), and the mass is usually ascertained from the weight. Yet the two ideas, mass and weight, are quite distinct. Mass is the quantity of matter in a body; weight is the comparative force with which it tends towards the center of the earth. A mass of sugar and a mass of lead are assumed to be equal when they show an equal weight by balancing each other in the scales. Blue mass. See under Blue. -- Mass center (Geom.), the center of gravity of a triangle. -- Mass copper, native copper in a large mass. -- Mass meeting, a large or general assembly of people, usually a meeting having some relation to politics. -- The masses, the great body of the people, as contrasted with the higher classes; the populace.\n\nTo form or collect into a mass; to form into a collective body; to bring together into masses; to assemble. But mass them together and they are terrible indeed. Coleridge.
massacre |1. The killing of a considerable number of human beings under circumstances of atrocity or cruelty, or contrary to the usages of civilized people; as, the massacre on St. Bartholomew's Day. 2. Murder. [Obs.] Shak. Syn. -- Massacre, Butchery, Carnage. Massacre denotes the promiscuous slaughter of many who can not make resistance, or much resistance. Butchery refers to cold-blooded cruelty in the killing of men as if they were brute beasts. Carnage points to slaughter as producing the heaped-up bodies of the slain. I'll find a day to massacre them all, And raze their faction and their family. Shak. If thou delight to view thy heinous deeds, Brhold this pattern of thy butcheries. Shak. Such a scent I draw Of carnage, prey innumerable ! Milton.\n\nTo kill in considerable numbers where much resistance can not be made; to kill with indiscriminate violence, without necessity, and contrary to the usages of nations; to butcher; to slaughter; -- limited to the killing of human beings. If James should be pleased to massacre them all, as Maximian had massacred the Theban legion. Macaulay.
massacrer |One who massacres. [R.]
massage |A rubbing or kneading of the body, especially when performed as a hygienic or remedial measure.
massagist |One who practices massage; a masseur or masseuse.
massasauga |The black rattlesnake (Crotalus, or Caudisona, tergemina), found in the Mississippi Valley.
masse |A stroke made with the cue held vertically.
masse shot |A stroke made with the cue held vertically.
masser |A priest who celebrates Mass. [R.] Bale.
masseter |The large muscle which raises the under jaw, and assists in mastication.
masseteric |Of or pertaining to the masseter.
masseterine |Masseteric.
masseur |One who performs massage.
masseuse |One who performs massage.
massicot |Lead protoxide, PbO, obtained as a yellow amorphous powder, the fused and crystalline form of which is called litharge; lead ocher. It is used as a pigment. Note: Massicot is sometimes used by painters, and also as a drier in the composition of ointments and plasters.
massiness |The state or quality of being massy; ponderousness.
massive |1. Forming, or consisting of, a large mass; compacted; weighty; heavy; massy. \"Massive armor.\" Dr. H. More. 2. (Min.)  In mass; not necessarily without a crystalline structure, but having no regular form; as, a mineral occurs massive. Massive rock (Geol.), a compact crystalline rock not distinctly schistone, as granite; also, with some authors, an eruptive rock.
massively |In a heavy mass.
massiveness |The state or quality of being massive; massiness.
massoola boat |See Masoola boat.
massora |Same as Masora.
massoret |Same as Masorite.
massy |Compacted into, or consisting of, a mass; having bulk and weight ot substance; ponderous; bulky and heavy; weight; heavy; as, a massy shield; a massy rock. Your swords are now too massy for your strengths, And will not be uplifted. Shak. Yawning rocks in massy fragments fly. Pope.
mast |The fruit of the oak and beech, or other forest trees; nuts; acorns. Oak mast, and beech, . . . they eat. Chapman. Swine under an oak filling themselves with the mast. South.\n\n1. (Naut.)  A pole, or long, strong, round piece of timber, or spar, set upright in a boat or vessel, to sustain the sails, yards, rigging, etc. A mast may also consist of several pieces of timber united by iron bands, or of a hollow pillar of iron or steel. The tallest pine Hewn on Norwegian hills, to be the mast Of some great ammiral. Milton. Note: The most common general names of masts are foremast, mainmast, and mizzenmast, each of which may be made of separate spars. 2. (Mach.)  The vertical post of a derrick or crane. Afore the mast, Before the mast. See under Afore, and Before. -- Mast coat. See under Coat. -- Mast hoop, one of a number of hoops attached to the fore edge of a boom sail, which slip on the mast as the sail is raised or lowered; also, one of the iron hoops used in making a made mast. See Made.\n\nTo furnish with a mast or masts; to put the masts of in position; as, to mast a ship.
mastaba |1. In Mohammedan countries, a fixed seat, common in dwellings and in public places. 2.  (Egyptology) A type of tomb, of the time of the Memphite dynasties, comprising an oblong structure with sloping sides (sometimes containing a decorated chamber, sometimes of solid masonry), and connected with a mummy chamber in the rock beneath.
mastabah |1. In Mohammedan countries, a fixed seat, common in dwellings and in public places. 2.  (Egyptology) A type of tomb, of the time of the Memphite dynasties, comprising an oblong structure with sloping sides (sometimes containing a decorated chamber, sometimes of solid masonry), and connected with a mummy chamber in the rock beneath.
mastax |(a) The pharynx of a rotifer. It usually contains four horny pieces. The two central ones form the incus, against which the mallei, or lateral ones, work so as to crush the food. (b) The lore of a bird.
masted |Furnished with a mast or masts; -- chiefly in composition; as, a three-masted schooner.
master |A vessel having (so many) masts; -- used only in compounds; as, a two-master.\n\n1. A male person having another living being so far subject to his will, that he can, in the main, control his or its actions; -- formerly used with much more extensive application than now. (a) The employer of a servant. (b) The owner of a slave. (c) The person to whom an apprentice is articled. (d) A sovereign, prince, or feudal noble; a chief, or one exercising similar authority. (e) The head of a household. (f) The male head of a school or college. (g) A male teacher. (h) The director of a number of persons performing a ceremony or sharing a feast. (i) The owner of a docile brute, -- especially a dog or horse. (j) The controller of a familiar spirit or other supernatural being. 2. One who uses, or controls at will, anything inanimate; as, to be master of one's time. Shak. Master of a hundred thousand drachms. Addison. We are masters of the sea. Jowett (Thucyd. ). 3. One who has attained great skill in the use or application of anything; as, a master of oratorical art. Great masters of ridicule. Maccaulay. No care is taken to improve young men in their own language, that they may thoroughly understand and be masters of it. Locke. 4. A title given by courtesy, now commonly pronounced mìster, except when given to boys; -- sometimes written Mister, but usually abbreviated to Mr. 5. A young gentleman; a lad, or small boy. Where there are little masters and misses in a house, they are impediments to the diversions of the servants. Swift. 6. (Naut.)  The commander of a merchant vessel; -- usually called captain. Also, a commissioned officer in the navy ranking next above ensign and below lieutenant; formerly, an officer on a man-of-war who had immediate charge, under the commander, of sailing the vessel. 7. A person holding an office of authority among the Freemasons, esp. the presiding officer; also, a person holding a similar office in other civic societies. Little masters, certain German engravers of the 16th century, so called from the extreme smallness of their prints. -- Master in chancery, an officer of courts of equity, who acts as an assistant to the chancellor or judge, by inquiring into various matters referred to him, and reporting thereon to the court. -- Master of arts, one who takes the second degree at a university; also, the degree or title itself, indicated by the abbreviation M. A., or A. M. -- Master of the horse, the third great officer in the British court, having the management of the royal stables, etc. In ceremonial cavalcades he rides next to the sovereign. -- Master of the rolls, in England, an officer who has charge of the rolls and patents that pass the great seal, and of the records of the chancery, and acts as assistant judge of the court. Bouvier. Wharton. -- Past master, one who has held the office of master in a lodge of Freemasons or in a society similarly organized. -- The old masters, distinguished painters who preceded modern painters; especially, the celebrated painters of the 16th and 17th centuries. -- To be master of one's self, to have entire self-control; not to be governed by passion. -- To be one's own master, to be at liberty to act as one chooses without dictation from anybody. Note: Master, signifying chief, principal, masterly, superior, thoroughly skilled, etc., is often used adjiectively or in compounds; as, master builder or master-builder, master chord or master-chord, master mason or master-mason, master workman or master-workman, master mechanic, master mind, master spirit, master passion, etc. Throughout the city by the master gate. Chaucer. Master joint (Geol.), a quarryman's term for the more prominent and extended joints traversing a rock mass. -- Master key, a key adapted to open several locks differing somewhat from each other; figuratively, a rule or principle of general application in solving difficulties. -- Master lode (Mining), the principal vein of ore. -- Master mariner, an experienced and skilled seaman who is certified to be competent to command a merchant vessel. -- Master sinew (Far.), a large sinew that surrounds the hough of a horse, and divides it from the bone by a hollow place, where the windgalls are usually seated. -- Master singer. See Mastersinger. -- Master stroke, a capital performance; a masterly achievement; a consummate action; as, a master stroke of policy. -- Master tap (Mech.), a tap for forming the thread in a screw cutting die. -- Master touch. (a) The touch or skill of a master. Pope. (b) Some part of a performance which exhibits very skillful work or treatment. \"Some master touches of this admirable piece.\" Tatler. -- Master work, the most important work accomplished by a skilled person, as in architecture, literature, etc.; also, a work which shows the skill of a master; a masterpiece. -- Master workman, a man specially skilled in any art, handicraft, or trade, or who is an overseer, foreman, or employer.\n\n1. To become the master of; to subject to one's will, control, or authority; to conquer; to overpower; to subdue. Obstinacy and willful neglects must be mastered, even though it cost blows. Locke. 2. To gain the command of, so as to understand or apply; to become an adept in; as, to master a science. 3. To own; to posses. [Obs.] The wealth That the world masters. Shak.\n\nTo be skillful; to excel. [Obs.]
master vibrator |In an internal-combustion engine with two or more cylinders, an induction coil and vibrator placed in the circuit between the battery or magneto and the coils for the different cylinders, which are used without vibrators of their own.
masterdom |Dominion; rule; command. [R.] Shak.
masterful |1. Inclined to play the master; domineering; imperious; arbitrary. Dryden. 2. Having the skill or power of a master; indicating or expressing power or mastery. His masterful, pale face. Mrs. Browning.
masterfully |In a masterful manner; imperiously. A lawless and rebellious man who held lands masterfully and in high contempt of the royal authority. Macaulay.
masterhood |The state of being a master; hence, disposition to command or hector. C. Bronté.
masterless |Destitute of a master or owner; ungoverned or ungovernable. -- Mas\"ter*less*ness, n.
masterliness |The quality or state of being masterly; ability to control wisely or skillfully.
masterly |1. Suitable to, or characteristic of, a master; indicating thorough knowledge or superior skill and power; showing a master's hand; as, a masterly design; a masterly performance; a masterly policy. \"A wise and masterly inactivity.\" Sir J. Mackintosh. 2. Imperious; domineering; arbitrary.\n\nWith the skill of a master. Thou dost speak masterly. Shak.
masterous |Masterly. [Obs.] Milton.
masterpiece |Anything done or made with extraordinary skill; a capital performance; a chef-d'oeuvre; a supreme achievement. The top and masterpiece of art. South. Dissimulation was his masterpiece. Claredon.
mastership |1. The state or office of a master. 2. Mastery; dominion; superior skill; superiority. Where noble youths for mastership should strive. Driden. 3. Chief work; masterpiece. [Obs.] Dryden. 4. An ironical title of respect. How now, seignior Launce ! what news with your mastership Shak.
mastersinger |One of a class of poets which flourished in Nuremberg and some other cities of Germany in the 15th and 16th centuries. They bound themselves to observe certain arbitrary laws of rhythm.
masterwort |(a) A tall and coarse European umbelliferous plant (Peucedanum Ostruthium, formerly Imperatoria). (b) The Astrantia major, a European umbelliferous plant with a showy colored involucre. (c) Improperly, the cow parsnip (Heracleum lanatum).
mastery |1. The position or authority of a master; dominion; command; supremacy; superiority. If divided by mountains, they will fight for the mastery of the passages of the tops. Sir W. Raleigh. 2. Superiority in war or competition; victory; triumph; preëminence. The voice of them that shout for mastery. Ex. xxxii. 18. Every man that striveth for the mastery is temperate in all things. 1 Cor. ix. 25. O, but to have gulled him Had been a mastery. B. Jonson. 3. Contest for superiority. [Obs.] Holland. 4. A masterly operation; a feat. [Obs.] I will do a maistrie ere I go. Chaucer. 5. Specifically, the philosopher's stone. [Obs.] 6. The act process of mastering; the state of having mastered. He could attain to a mastery in all languages. Tillotson. The learning and mastery of a tongue, being unpleasant in itself, should not be cumbered with other difficulties. Locke.
mastful |Abounding in mast; producing mast in abundance; as, the mastful forest; a mastful chestnut. Dryden.
masthead |The top or head of a mast; the part of a mast above the hounds.\n\nTo cause to go to the masthead as a punishment. Marryat.
masthouse |A building in which vessels' masts are shaped, fitted, etc.
mastic |1. (Bot.)  A low shrubby tree of the genus Pistacia (P. Lentiscus), growing upon the islands and coasts of the Mediterranean, and producing a valuable resin; -- called also, mastic tree. 2. A resin exuding from the mastic tree, and obtained by incision. The best is in yellowish white, semitransparent tears, of a faint smell, and is used as an astringent and an aromatic, also as an ingredient in varnishes. 3. A kind of cement composed of burnt clay, litharge, and linseed oil, used for plastering walls, etc. Barbary mastic (Bot.), the Pistachia Atlantica. -- Peruvian mastic tree (Bot.), a small tree (Schinus Molle) with peppery red berries; -- called also pepper tree. -- West Indian mastic (Bot.), a lofty tree (Bursera gummifera) full of gum resin in every part.
masticable |Capable of being masticated.
masticador |A part of a bridle, the slavering bit. [Written also mastigador.]
masticate |To grind or crush with, or as with, the teeth and prepare for swallowing and digestion; to chew; as, to masticate food.
masticater |One who masticates.
mastication |The act or operation of masticating; chewing, as of food. Mastication is a necessary preparation of solid aliment, without which there can be no good digestion. Arbuthnot.
masticator |1. One who masticates. 2. A machine for cutting meat into fine pieces for toothless people; also, a machine for cutting leather, India rubber, or similar tough substances, into fine pieces, in some processes of manufacture.
masticatory |Chewing; adapted to perform the office o\n\nA substance to be chewed to increase the saliva. Bacon.
mastich |See Mastic.
masticin |A white, amorphous, tenacious substance resembling caoutchouc, and obtained as an insoluble residue of mastic.
masticot |Massicot. [Obs.]
mastiff |A breed of large dogs noted for strength and courage. There are various strains, differing in form and color, and characteristic of different countries. Mastiff bat (Zoöl.) , any bat of the genus Molossus; so called because the face somewhat resembles that of a mastiff.
mastigopod |One of the Mastigopoda.
mastigopoda |The Infusoria.
mastigure |Any one of several large spiny-tailed lizards of the genus Uromastix. They inhabit Southern Asia and North Africa.
masting |The act or process of putting a mast or masts into a vessel; also, the scientific principles which determine the position of masts, and the mechanical methods of placing them. Masting house (Naut.), a large building, with suitable mechanism overhanging the water, used for stepping and unstepping the masts of vessels.
mastitis |Inflammation of the breast.
mastless |Bearing no mast; as, a mastless oak or beech. Dryden.\n\nHaving no mast; as, a mastless vessel.
mastlin |See Maslin.
mastodon |An extinct genus of mammals closely allied to the elephant, but having less complex molar teeth, and often a pair of lower, as well as upper, tusks, which are incisor teeth. The species were mostly larger than elephants, and their romains occur in nearly all parts of the world in deposits ranging from Miocene to late Quaternary time.
mastodonsaurus |A large extinct genus of labyrinthodonts, found in the European Triassic rocks.
mastodontic |Pertaining to, or resembling, a mastodon; as, mastodontic dimensions. Everett.
mastodynia |Pain occuring in the mamma or female breast, -- a form of neuralgia.
mastodyny |Pain occuring in the mamma or female breast, -- a form of neuralgia.
mastoid |(a) Resembling the nipple or the breast; -- applied specifically to a process of the temporal bone behind the ear. (b) Pertaining to, or in the region of, the mastoid process; mastoidal.
mastoidal |Same as Mastoid.
mastoiditis |Inflammation in the mastoid process of the temporal bone.
mastology |The natural history of Mammalia.
mastress |Mistress. [Obs.] Chaucer.
masturbation |Onanism; self-pollution.
masty |Full of mast; abounding in acorns, etc.
masula boat |Same as Masoola boat.
mat |A name given by coppersmiths to an alloy of copper, tin, iron, etc., usually called white metal. [Written also matt.]\n\nCast down; dejected; overthrown; slain. [Obs.] When he saw them so piteous and so maat. Chaucer.\n\n1. A fabric of sedge, rushes, flags, husks, straw, hemp, or similar material, used for wiping and cleaning shoes at the door, for covering the floor of a hall or room, and for other purposes. 2. Any similar fabric for various uses, as for covering plant houses, putting beneath dishes or lamps on a table, securing rigging from friction, and the like. 3. Anything growing thickly, or closely interwoven, so as to resemble a mat in form or texture; as, a mat of weeds; a mat of hair. 4. An ornamental border made of paper, pasterboard, metal, etc., put under the glass which covers a framed picture; as, the mat of a daguerreotype. Mat grass. (Bot.) (a) A low, tufted, European grass (Nardus stricta). (b) Same as Matweed. -- Mat rush (Bot.), a kind of rush (Scirpus lacustris) used in England for making mats.\n\n1. To cover or lay with mats. Evelyn. 2. To twist, twine, or felt together; to interweave into, or like, a mat; to entangle. And o'er his eyebrows hung his matted hair. Dryden.\n\nTo grow thick together; to become interwoven or felted together like a mat.
matabele |A warlike South African Kaffir tribe.
matabeles |A warlike South African Kaffir tribe.
matachin |An old dance with swords and bucklers; a sword dance.
mataco |The three-banded armadillo (Tolypeutis tricinctus). See Illust. under Loricata.
matador |1. The killer; the man appointed to kill the bull in bullfights. 2. (Card Playing)  In the game of quadrille or omber, the three principal trumps, the ace of spades being the first, the ace of clubs the third, and the second being the deuce of a black trump or the seven of a red one. When Lady Tricksey played a four, You took it with a matadore. Swift.
matadore |1. The killer; the man appointed to kill the bull in bullfights. 2. (Card Playing)  In the game of quadrille or omber, the three principal trumps, the ace of spades being the first, the ace of clubs the third, and the second being the deuce of a black trump or the seven of a red one. When Lady Tricksey played a four, You took it with a matadore. Swift.
matagasse |A shrike or butcher bird; -- called also mattages. [Prov. Eng.]
matajuelo |A large squirrel fish (Holocentrus ascensionis) of Florida and the West Indies.
matajuelo blanco |A West Indian food fish (Malacanthus plumieri) related to the tilefish.
matamata |The bearded tortoise (Chelys fimbriata) of South American rivers.
matanza |A place where animals are slaughtered for their hides and tallow. [Western U. S.]
match |Anything used for catching and retaining or communicating fire, made of some substance which takes fire readily, or remains burning some time; esp., a small strip or splint of wood dipped at one end in a substance which can be easily ignited by friction, as a preparation of phosphorus or chlorate of potassium. Match box, a box for holding matches. -- Match tub, a tub with a perforated cover for holding slow matches for firing cannon, esp. on board ship. The tub contains a little water in the bottom, for extinguishing sparks from the lighted matches. -- Quick match, threads of cotton or cotton wick soaked in a solution of gunpowder mixed with gum arabic and boiling water and afterwards strewed over with mealed powder. It burns at the rate of one yard in thirteen seconds, and is used as priming for heavy mortars, fireworks, etc. -- Slow match, slightly twisted hempen rope soaked in a solution of limewater and saltpeter or washed in a lye of water and wood ashes. It burns at the rate of four or five inches an hour, and is used for firing cannon, fireworks, etc.\n\n1. A person or thing equal or similar to another; one able to mate or cope with another; an equal; a mate. Government . . . makes an innocent man, though of the lowest rank, a match for the mightiest of his fellow subjects. Addison. 2. A bringing together of two parties suited to one another, as for a union, a trial of skill or force, a contest, or the like; as, specifically: (a) A contest to try strength or skill, or to determine superiority; an emulous struggle. \"Many a warlike match.\" Drayton. A solemn match was made; he lost the prize. Dryden. (b) A matrimonial union; a marriage. 3. An agreement, compact, etc. \"Thy hand upon that match.\" Shak. Love doth seldom suffer itself to be confined by other matches than those of its own making. Boyle. 4. A candidate for matrimony; one to be gained in marriage. \"She . . . was looked upon as the richest match of the West.\" Clarendon. 5. Equality of conditions in contest or competition. It were no match, your nail against his horn. Shak. 6. Suitable combination or bringing together; that which corresponds or harmonizes with something else; as, the carpet and curtains are a match. 7. (Founding)  A perforated board, block of plaster, hardened sand, etc., in which a pattern is partly imbedded when a mold is made, for giving shape to the surfaces of separation between the parts of the mold. Match boarding (Carp.), boards fitted together with tongue and groove, or prepared to be so fitted. -- Match game, a game arranged as a test of superiority. -- Match plane (Carp.), either of the two planes used to shape the edges of boards which are joined by grooving and tonguing. -- Match plate (Founding), a board or plate on the opposite sides of which the halves of a pattern are fastened, to facilitate molding. Knight. -- Match wheel (Mach.), a cogwheel of suitable pitch to work with another wheel; specifically, one of a pair of cogwheels of equal size.\n\n1. To be a mate or match for; to be able to complete with; to rival successfully; to equal. No settled senses of the world can match The pleasure of that madness. Shak. 2. To furnish with its match; to bring a match, or equal, against; to show an equal competitor to; to set something in competition with, or in opposition to, as equal. No history or antiquity can matchis policies and his conduct. South. 3. To oppose as equal; to contend successfully against. Eternal might To match with their inventions they presumed So easy, and of his thunder made a scorn. Milton. 4. To make or procure the equal of, or that which is exactly similar to, or corresponds with; as, to match a vase or a horse; to match cloth. \"Matching of patterns and colors.\" Swift. 5. To make equal, proportionate, or suitable; to adapt, fit, or suit (one thing to another). Let poets match their subject to their strength. Roscommon. 6. To marry; to give in marriage. A senator of Rome survived, Would not have matched his daughter with a king. Addison. 7. To fit together, or make suitable for fitting together; specifically, to furnish with a tongue and a groove, at the edges; as, to match boards. Matching machine, a planing machine for forming a tongue or a groove on the edge of a board.\n\n1. To be united in marriage; to mate. I hold it a sin to match in my kindred. Shak. Let tigers match with hinds, and wolves with sheep. Dryden. 2. To be of equal, or similar, size, figure, color, or quality; to tally; to suit; to correspond; as, these vases match.
match game |A game arranged as a test of superiority; also, one of a series of such games.
match play |Play in which the score is reckoned by counting the holes won or lost by each side; -- disting. from medal play.
match-cloth |A coarse cloth.
match-coat |A coat made of match-cloth.
matchable |Capable of being matched; comparable on equal conditions; adapted to being joined together; correspondent. -- Match\"a*ble*ness, n. Sir Walter Raleigh . . . is matchable with the best of the ancients. Hakewill.
matcher |One who, or that which, matches; a matching machine. See under 3d Match.
matchless |1. Having no equal; unequaled. \"A matchless queen.\" Waller. 2. Unlike each other; unequal; unsuited. [Obs.] \"Matchless ears.\" Spenser. -- Match\"less*ly, adv. -- Match\"less*ness, n.
matchlock |An old form of gunlock containing a match for firing the priming; hence, a musket fired by means of a match.
matchmaker |1. One who makes matches for burning or kinding. 2. One who tries to bring about marriages.
matchmaking |1. The act or process of making matches for kindling or burning. 2. The act or process of trying to bring about a marriage for others.\n\nBusy in making or contriving marriages; as, a matchmaking woman.
mate |The Paraguay tea, being the dried leaf of the Brazilian holly (Ilex Paraguensis). The infusion has a pleasant odor, with an agreeable bitter taste, and is much used for tea in South America.\n\nSame as Checkmate.\n\nSee 2d Mat. [Obs.] Chaucer.\n\n1. To confuse; to confound. [Obs.] Shak. 2. To checkmate.\n\n1. One who customarily associates with another; a companion; an associate; any object which is associated or combined with a similar object. 2. Hence, specifically, a husband or wife; and among the lower animals, one of a pair associated for propagation and the care of their young. 3. A suitable companion; a match; an equal. Ye knew me once no mate For you; there sitting where you durst not soar. Milton. 4. (Naut.)  An officer in a merchant vessel ranking next below the captain. If there are more than one bearing the title, they are called, respectively, first mate, second mate, third mate, etc. In the navy, a subordinate officer or assistant; as, master's mate; surgeon's mate.\n\n1. To match; to marry. If she be mated with an equal husband. Shak. 2. To match one's self against; to oppose as equal; to compete with. There is no passion in the mind of man so weak but it mates and masters the fear of death. Bacon. I, . . . in the way of loyalty and truth, . . . Dare mate a sounder man than Surrey can be. Shak.\n\nTo be or become a mate or mates, especially in sexual companionship; as, some birds mate for life; this bird will not mate with that one.
matelasse |Ornamented by means of an imitation or suggestion of quilting, the surface being marked by depressed lines which form squares or lozenges in relief; as, matelassé silks.\n\nA quilted ornamented dress fabric of silk or silk and wool.
mateless |Having no mate.
matelote |A dish of food composed of many kings of fish.\n\n1. A stew, commonly of fish, flavored with wine, and served with a wine sauce containing onions, mushrooms, etc. 2.  An old dance of sailors, in double time, and somewhat like a hornpipe.
matelotte |1. A stew, commonly of fish, flavored with wine, and served with a wine sauce containing onions, mushrooms, etc. 2.  An old dance of sailors, in double time, and somewhat like a hornpipe.
mateology |A vain, unprofitable discourse or inquiry. [R.]
mateotechny |Any unprofitable science. [Obs.]
mater |See Alma mater, Dura mater, and Pia mater.
materia medica |1. Material or substance used in the composition of remedies; -- a general term for all substances used as curative agents in medicine. 2. That branch of medical science which treats of the nature and properties of all the substances that are employed for the cure of diseases.
material |1. Consisting of matter; not spiritual; corporeal; physical; as, material substance or bodies. The material elements of the universe. Whewell. 2. Hence: Pertaining to, or affecting, the physical nature of man, as distinguished from the mental or moral nature; relating to the bodily wants, interests, and comforts. 3. Of solid or weighty character; not insubstantial; of cinsequence; not be dispensed with; important. Discourse, which was always material, never trifling. Evelyn. I shall, in the account of simple ideas, set down only such as are most material to our present purpose. Locke. 4. (Logic.)  Pertaining to the matter, as opposed to the form, of a thing. See Matter. Material cause. See under Cause. -- Material evidence (Law), evidence which conduces to the proof or disproof of a relevant hypothesis. Wharton. Syn. -- Corporeal; bodily; important; weighty; momentous; essential.\n\nThe substance or matter of which anything is made or may be made. Raw material, any crude, unfinished, or elementary materials that are adapted to use only by processes of skilled labor. Cotton, wool, ore, logs, etc., are raw material.\n\nTo form from matter; to materialize. [Obs.] Sir T. Browne.
materialism |1. The doctrine of materialists; materialistic views and tenets. The irregular fears of a future state had been supplanted by the materialism of Epicurus. Buckminster. 2. The tendency to give undue importance to material interests; devotion to the material nature and its wants. 3. Material substances in the aggregate; matter. [R. & Obs.] A. Chalmers.
materialist |1. One who denies the existence of spiritual substances or agents, and maintains that spiritual phenomena, so called, are the result of some peculiar organization of matter. 2. One who holds to the existence of matter, as distinguished from the idealist, who denies it. Berkeley.
materialistic |Of or pertaining to materialism or materialists; of the nature of materialism. But to me his very spiritualism seemed more materialistic than his physics. C. Kingsley.
materialistical |Of or pertaining to materialism or materialists; of the nature of materialism. But to me his very spiritualism seemed more materialistic than his physics. C. Kingsley.
materiality |1. The quality or state of being material; material existence; corporeity. 2. Importance; as, the materiality of facts.
materialization |The act of materializing, or the state of being materialized.
materialize |1. To invest wich material characteristics; to make perceptible to the senses; hence, to present to the mind through the medium of material objects. Having wich wonderful art and beauty materialized, if I may so call it, a scheme of abstracted notions, and clothed the most nice, refined conceptions of philosophy in sensible images. Tatler. 2. To regard as matter; to consider or explain by the laws or principles which are appropriate to matter. 3. To cause to assume a character appropriate to material things; to occupy with material interests; as, to materialize thought. 4. (Spiritualism)  To make visable in, or as in, a material form; -- said of spirits. A female spirit form temporarily materialized, and not distinguishable from a human being. Epes Sargent.\n\nTo appear as a material form; to take substantial shape. [Colloq.]
materially |1. In the state of matter. I do not mean that anything is separable from a body by fire that was not materially preëxistent in it. Boyle. 2. In its essence; substantially. An ill intention is certainly sufficient to spoil . . . an act in itself materially good. South. 3. In an important manner or degree; essentaily; as, it materially concern us to know the real motives of our actions.
materialness |The state of being material.
materiarian |See Materialist. [Obs.]
materiate |Consisting of matter. [Obs.] Bacon.
materiated |Consisting of matter. [Obs.] Bacon.
materiation |Act of forming matter. [Obs.] Sir T. Browne.
materiel |That in a complex system which constitutes the materials, or instruments employed, in distinction from the personnel, or men; as, the baggage, munitions, provisions, etc., of an army; or the buildings, libraries, and apparatus of a college, in distinction from its officers.
materious |See Material. [Obs.]
maternal |Of or pertaining to a mother; becoming to a mother; motherly; as, maternal love; maternal tenderness. Syn. -- See Motherly.
maternally |In a motherly manner.
maternity |The state of being a mother; the character or relation of a mother.
matfelon |The knapweed (Centaurea nigra).
math |A mowing, or that which is gathered by mowing; -- chiefly used in composition; as, an aftermath. [Obs.] The first mowing thereof, for the king's use, is wont to be sooner than the common math. Bp. Hall.
mathematic |See Mathematical.
mathematical |Of or pertaining to mathematics; according to mathematics; hence, theoretically precise; accurate; as, mathematical geography; mathematical instruments; mathematical exactness. -- Math`e*mat\"ic*al*ly, adv.
mathematician |One versed in mathematics.
mathematics |That science, or class of sciences, which treats of the exact relations existing between quantities or magnitudes, and of the methods by which, in accordance with these relations, quantities sought are deducible from other quantities known or supposed; the science of spatial and quantitative relations. Note: Mathematics embraces three departments, namely: 1. Arithmetic. 2. Geometry, including Trigonometry and Conic Sections. 3. Analysis, in which letters are used, including Algebra, Analytical Geometry, and Calculus. Each of these divisions is divided into pure or abstract, which considers magnitude or quantity abstractly, without relation to matter; and mixed or applied, which treats of magnitude as subsisting in material bodies, and is consequently interwoven with physical considerations.
mather |See Madder.
mathes |The mayweed. Cf. Maghet.
mathesis |Learning; especially, mathematics. [R.] Pope.
mathurin |See Trinitarian.
matico |A Peruvian plant (Piper, or Artanthe, elongatum), allied to the pepper, the leaves of which are used as a styptic and astringent.
matie |A fat herring with undeveloped roe. [Written also matty.] [Eng. & Scot.]
