diagraph |A drawing instrument, combining a protractor and scale.
dictum |1. An authoritative statement; a dogmatic saying; an apothegm. A class of critical dicta everywhere current. M. Arnold. 2. (Law) (a) A judicial opinion expressed by judges on points that do not necessarily arise in the case, and are not involved in it. (b) (French Law) The report of a judgment made by one of the judges who has given it. Bouvier. (c) An arbitrament or award.
dictyogen |A plant with netveined leaves, and monocotyledonous embryos, belonging to the class Dictyogenæ, proposed by Lindley for the orders Dioscoreaceæ, Smilaceæ, Trilliaceæ, etc.
dicyanide |A compound of a binary type containing two cyanogen groups or radicals; -- called also bicyanide.
dicyemata |An order of worms parasitic in cephalopods. They are remarkable for the extreme simplicity of their structure. The embryo exists in two forms.
dicyemid |Like or belonging to the Dicyemata. -- n.  One of the Dicyemata.
dicynodont |One of a group of extinct reptiles having the jaws armed with a horny beak, as in turtles, and in the genus Dicynodon, supporting also a pair of powerful tusks. Their remains are found in triassic strata of South Africa and India.
did |of Do.
didactic |Fitted or intended to teach; conveying instruction; preceptive; instructive; teaching some moral lesson; as, didactic essays. \"Didactical writings.\" Jer. Taylor. The finest didactic poem in any language. Macaulay.\n\nA treatise on teaching or education. [Obs.] Milton.
didactical |Fitted or intended to teach; conveying instruction; preceptive; instructive; teaching some moral lesson; as, didactic essays. \"Didactical writings.\" Jer. Taylor. The finest didactic poem in any language. Macaulay.
didactically |In a didactic manner.
didacticism |The didactic method or system.
didacticity |Aptitude for teaching. Hare.
didactics |The art or science of teaching.
didactyl |An animal having only two digits.
didactylous |Having only two digits; two-toed.
didal |A kind of triangular spade. [Obs.]
didapper |See Dabchick.
didascalar |Didascalic. [R.]
didascalic |Didactic; preceptive. [R.] Prior.
diddle |To totter, as a child in walking. [Obs.] Quarles.\n\nTo cheat or overreach. [Colloq.] Beaconsfield.
diddler |A cheat. [Colloq.] Jeremy Diddler, a character in a play by James Kenney, entitled \"Raising the wind.\" The name is applied to any needy, tricky, constant borrower; a confidence man.
didelphia |The subclass of Mammalia which includes the marsupials. See Marsupialia.
didelphian |Of or relating to the Didelphia. -- n.  One of the Didelphia.
didelphic |Having the uterus double; of or pertaining to the Didelphia.
didelphid |Same as Didelphic.\n\nA marsupial animal.
didelphous |Didelphic.\n\nFormerly, any marsupial; but the term is now restricted to an American genus which includes the opossums, of which there are many species. See Opossum. [Written also Didelphis.] See Illustration in Appendix. Cuvier.
didelphyc |Same as Didelphic.
didelphys |Formerly, any marsupial; but the term is now restricted to an American genus which includes the opossums, of which there are many species. See Opossum. [Written also Didelphis.] See Illustration in Appendix.  Cuvier.
didine |Like or pertaining to the genus Didus, or the dodo.
dido |A shrewd trick; an antic; a caper. To cut a dido, to play a trick; to cut a caper; -- perhaps so called from the trick of Dido, who having bought so much land as a hide would cover, is said to have cut it into thin strips long enough to inclose a spot for a citadel.
didonia |The curve which on a given surface and with a given perimeter contains the greatest area. Tait.
didrachm |A two-drachma piece; an ancient Greek silver coin, worth nearly forty cents.
didrachma |A two-drachma piece; an ancient Greek silver coin, worth nearly forty cents.
didst |, the 2d pers. sing. imp. of Do.
diducement |Diduction; separation into distinct parts. Bacon.
diduction |The act of drawing apart; separation.
didym |See Didymium.
didymium |A rare metallic substance usually associated with the metal cerium; -- hence its name. It was formerly supposed to be an element, but has since been found to consist of two simpler elementary substances, neodymium and praseodymium. See Neodymium, and Praseodymium.
didymous |Growing in pairs or twins.
didynamia |A Linnæan class of plants having four stamens disposed in pairs of unequal length.
didynamian |Didynamous.
didynamous |Of or pertaining to the Didynamia; containing four stamens disposed in pairs of unequal length.
die |1. To pass from an animate to a lifeless state; to cease to live; to suffer a total and irreparable loss of action of the vital functions; to become dead; to expire; to perish; -- said of animals and vegetables; often with of, by, with, from, and rarely for, before the cause or occasion of death; as, to die of disease or hardships; to die by fire or the sword; to die with horror at the thought. To die by the roadside of grief and hunger. Macaulay. She will die from want of care. Tennyson. 2. To suffer death; to lose life. In due time Christ died for the ungodly. Rom. v. 6. 3. To perish in any manner; to cease; to become lost or extinct; to be extinguished. Letting the secret die within his own breast. Spectator. Great deeds can not die. Tennyson. 4. To sink; to faint; to pine; to languish, with weakness, discouragement, love, etc. His heart died within, and he became as a stone. 1 Sam. xxv. 37. The young men acknowledged, in love letters, that they died for Rebecca. Tatler. 5. To become indifferent; to cease to be subject; as, to die to pleasure or to sin. 6. To recede and grow fainter; to become imperceptible; to vanish; -- often with out or away. Blemishes may die away and disappear amidst the brightness. Spectator. 7. (Arch.)  To disappear gradually in another surface, as where moldings are lost in a sloped or curved face. 8. To become vapid, flat, or spiritless, as liquor. To die in the last ditch, to fight till death; to die rather than surrender. \"There is one certain way,\" replied the Prince [William of Orange] \" by which I can be sure never to see my country's ruin, -- I will die in the last ditch.\" Hume (Hist. of Eng. ). -- To die out, to cease gradually; as, the prejudice has died out. Syn. -- To expire; decease; perish; depart; vanish.\n\n1. A small cube, marked on its faces with spots from one to six, and used in playing games by being shaken in a box and thrown from it. See Dice. 2. Any small cubical or square body. Words . . . pasted upon little flat tablets or dies. Watts. 3. That which is, or might be, determined, by a throw of the die; hazard; chance. Such is the die of war. Spenser. 4. (Arch.)  That part of a pedestal included between base and cornice; the dado. 5. (Mach.) (a) A metal or plate (often one of a pair) so cut or shaped as to give a certain desired form to, or impress any desired device on, an object or surface, by pressure or by a blow; used in forging metals, coining, striking up sheet metal, etc. (b) A perforated block, commonly of hardened steel used in connection with a punch, for punching holes, as through plates, or blanks from plates, or for forming cups or capsules, as from sheet metal, by drawing. (c) A hollow internally threaded screw-cutting tool, made in one piece or composed of several parts, for forming screw threads on bolts, etc.; one of the separate parts which make up such a tool. Cutting die (Mech.), a thin, deep steel frame, sharpened to a cutting edge, for cutting out articles from leather, cloth, paper, etc. -- The die is cast, the hazard must be run; the step is taken, and it is too late to draw back; the last chance is taken.
diecian |See Dioecian, and Dioecious.
diecious |See Dioecian, and Dioecious.
diedral |The same as Dihedral.
diegesis |A narrative or history; a recital or relation.
dielectric |Any substance or medium that transmits the electric force by a process different from conduction, as in the phenomena of induction; a nonconductor. separating a body electrified by induction, from the electrifying body.
dielytra |See Dicentra.
diencephalon |The interbrain or thalamencephalon; -- sometimes abbreviated to dien. See Thalamencephalon.
dieresis |1. (Gram.)  The separation or resolution of one syllable into two; -- the opposite of synæresis. 2. A mark consisting of two dots [..], placed over the second of two adjacent vowels, to denote that they are to be pronounced as distinct letters; as, coöperate, aërial.\n\nSame as Diæresis.
dies irae |Day of wrath; -- the name and beginning of a famous mediæval Latin hymn on the Last Judgment.
dies juridicus |A court day.
dies non |A day on which courts are not held, as Sunday or any legal holiday.
diesel engine |A type of internal-combustion engine in which the air drawn in by the suction stroke is so highly compressed that the heat generated ignites the fuel (usually crude oil), the fuel being automatically sprayed into the cylinder under pressure. The Diesel engine has a very high thermal efficiency.
diesel motor |A type of internal-combustion engine in which the air drawn in by the suction stroke is so highly compressed that the heat generated ignites the fuel (usually crude oil), the fuel being automatically sprayed into the cylinder under pressure. The Diesel engine has a very high thermal efficiency.
diesinker |An engraver of dies for stamping coins, medals, etc.
diesinking |The process of engraving dies.
diesis |1. (Mus.)  A small interval, less than any in actual practice, but used in the mathematical calculation of intervals. 2. (Print.)  The mark ; -- called also double dagger.
diestock |A stock to hold the dies used for cutting screws.
diet |1. Course of living or nourishment; what is eaten and drunk habitually; food; victuals; fare. \"No inconvenient diet.\" Milton. 2. A course of food selected with reference to a particular state of health; prescribed allowance of food; regimen prescribed. To fast like one that takes diet. Shak. Diet kitchen, a kitchen in which diet is prepared for invalids; a charitable establishment that provides proper food for the sick poor.\n\n1. To cause to take food; to feed. [R.] Shak. 2. To cause to eat and drink sparingly, or by prescribed rules; to regulate medicinally the food of. She diets him with fasting every day. Spenser.\n\n1. To eat; to take one's meals. [Obs.] Let him . . . diet in such places, where there is good company of the nation, where he traveleth. Bacon. 2. To eat according to prescribed rules; to ear sparingly; as, the doctor says he must diet.\n\nA legislative or administrative assembly in Germany, Poland, and some other countries of Europe; a deliberative convention; a council; as, the Diet of Worms, held in 1521.
dietarian |One who lives in accordance with prescribed rules for diet; a dieter.
dietary |Pertaining to diet, or to the rules of diet.\n\nA rule of diet; a fixed allowance of food, as in workhouse, prison, etc.
dieter |One who diets; one who prescribes, or who partakes of, food, according to hygienic rules.
dietetic |Of or performance to diet, or to the rules for regulating the kind and quantity of food to be eaten.
dietetical |Of or performance to diet, or to the rules for regulating the kind and quantity of food to be eaten.
dietetically |In a dietetical manner.
dietetics |That part of the medical or hygienic art which relates to diet or food; rules for diet. To suppose that the whole of dietetics lies in determining whether or not bread is more nutritive than potatoes. H. Spencer.
dietetist |A physician who applies the rules of dietetics to the cure of diseases. Dunglison.
diethylamine |A colorless, volatile, alkaline liquid, NH(C2H5)2, having a strong fishy odor resembling that of herring or sardines. Cf. Methylamine.
dietic |Dietetic.
dietical |Dietetic. [R.] Ferrand.
dietine |A subordinate or local assembly; a diet of inferior rank.
dietist |One skilled in dietetics. [R.]
dietitian |One skilled in dietetics. [R.]
diffame |Evil name; bad reputation; defamation. [Obs.] Chaucer.
diffarreation |A form of divorce, among the ancient Romans, in which a cake was used. See Confarreation.
differ |1. To be or stand apart; to disagree; to be unlike; to be distinguished; -- with from. One star differeth from another star in glory. 1 Cor. xv. 41. Minds differ, as rivers differ. Macaulay. 2. To be of unlike or opposite opinion; to disagree in sentiment; -- often with from or with. 3. To have a difference, cause of variance, or quarrel; to dispute; to contend. We 'll never differ with a crowded pit. Rowe. Syn. -- To vary; disagree; dissent; dispute; contend; oppose; wrangle. -- To Differ with, Differ from. Both differ from and aiffer with are used in reference to opinions; as, \"I differ from you or with you in that opinion.\"\" In all other cases, expressing simple unlikeness, differ from is used; as, these two persons or things differ entirely from each other. Severely punished, not for differing from us in opinion, but for committing a nuisance. Macaulay. Davidson, whom on a former occasion we quoted, to differ from him. M. Arnold. Much as I differ from him concerning an essential part of the historic basis of religion. Gladstone. I differ with the honorable gentleman on that point. Brougham. If the honorable gentleman differs with me on that subject, I differ as heartily with him, and shall always rejoice to differ. Canning.\n\nTo cause to be different or unlike; to set at variance. [R.] But something 'ts that differs thee and me. Cowley.
difference |1. The act of differing; the state or measure of being different or unlike; distinction; dissimilarity; unlikeness; variation; as, a difference of quality in paper; a difference in degrees of heat, or of light; what is the difference between the innocent and the guilty Differencies of administration, but the same Lord. 1 Cor. xii. 5. 2. Disagreement in opinion; dissension; controversy; quarrel; hence, cause of dissension; matter in controversy. What was the difference It was a contention in public. Shak. Away therefore went I with the constable, leaving the old warden and the young constable to compose their difference as they could. T. Ellwood. 3. That by which one thing differs from another; that which distinguishes or causes to differ;; mark of distinction; characteristic quality; specific attribute. The marks and differences of sovereignty. Davies. 4. Choice; preference. [Obs.] That now be chooseth with vile difference To be a beast, and lack intelligence. Spenser. 5. (Her.)  An addition to a coat of arms to distinguish the bearings of two persons, which would otherwise be the same. See Augmentation, and Marks of cadency, under Cadency. 6. (Logic)  The quality or attribute which is added to those of the genus to constitute a species; a differentia. 7. (Math.)  The quantity by which one quantity differs from another, or the remainder left after subtracting the one from the other. Ascensional difference. See under Ascensional. Syn. -- Distinction; dissimilarity; dissimilitude; variation; diversity; variety; contrariety; disagreement; variance; contest; contention; dispute; controversy; debate; quarrel; wrangle; strife.\n\nTo cause to differ; to make different; to mark as different; to distinguish. Thou mayest difference gods from men. Chapman. Kings, in receiving justice and undergoing trial, are not differenced from the meanest subject. Milton. So completely differenced by their separate and individual characters that we at once acknowledge them as distinct persons. Sir W. Scott.
different |1. Distinct; separate; not the same; other. \"Five different churches.\" Addison. 2. Of various or contrary nature, form, or quality; partially or totally unlike; dissimilar; as, different kinds of food or drink; different states of health; different shapes; different degrees of excellence. Men are as different from each other, as the regions in which they are born are different. Dryden. Note: Different is properly followed by from. Different to, for different from, is a common English colloquialism. Different than is quite inadmissible.
differentia |The formal or distinguishing part of the essence of a species; the characteristic attribute of a species; specific difference.
differential |1. Relating to or indicating a difference; creating a difference; discriminating; special; as, differential characteristics; differential duties; a differential rate. For whom he produced differential favors. Motley. 2. (Math.)  Of or pertaining to a differential, or to differentials. 3. (Mech.)  Relating to differences of motion or leverage; producing effects by such differences; said of mechanism. Differential calculus. (Math.) See under Calculus. -- Differential coefficient, the limit of the ratio of the increment of a function of a variable to the increment of the variable itself, when these increments are made indefinitely small. -- Differential coupling, a form of slip coupling used in light machinery to regulate at pleasure the velocity of the connected shaft. -- Differential duties (Polit. Econ.), duties which are not imposed equally upon the same products imported from different countries. -- Differential galvanometer (Elec.), a galvanometer having two coils or circuits, usually equal, through which currents passing in opposite directions are measured by the difference of their effect upon the needle. -- Differential gearing, a train of toothed wheels, usually an epicyclic train, so arranged as to constitute a differential motion. -- Differential motion, a mechanism in which a simple differential combination produces such a change of motion or force as would, with ordinary compound arrangements, require a considerable train of parts. It is used for overcoming great resistance or producing very slow or very rapid motion. -- Differential pulley. (Mach.) (a) A portable hoisting apparatus, the same in principle as the differential windlass. (b) A hoisting pulley to which power is applied through a differential gearing. -- Differential screw, a compound screw by which a motion is produced equal to the difference of the motions of the component screws. -- Differential thermometer, a thermometer usually with a U-shaped tube terminating in two air bulbs, and containing a colored liquid, used for indicating the difference between the temperatures to which the two bulbs are exposed, by the change of position of the colored fluid, in consequence of the different expansions of the air in the bulbs. A graduated scale is attached to one leg of the tube. -- Differential windlass, or Chinese windlass, a windlass whose barrel has two parts of different diameters. The hoisting rope winds upon one part as it unwinds from the other, and a pulley sustaining the weight to be lifted hangs in the bight of the rope. It is an ancient example of a differential motion.\n\n1. (Math.)  An increment, usually an indefinitely small one, which is given to a variable quantity. Note: According to the more modern writers upon the differential and integral calculus, if two or more quantities are dependent on each other, and subject to increments of value, their differentials need not be small, but are any quantities whose ratios to each other are the limits to which the ratios of the increments approximate, as these increments are reduced nearer and nearer to zero. 2. A small difference in rates which competing railroad lines, in establishing a common tariff, allow one of their number to make, in order to get a fair share of the business. The lower rate is called a differential rate. Differentials are also sometimes granted to cities. 3. (Elec.) (a) One of two coils of conducting wire so related to one another or to a magnet or armature common to both, that one coil produces polar action contrary to that of the other. (b) A form of conductor used for dividing and distributing the current to a series of electric lamps so as to maintain equal action in all. Knight. Partial differential (Math.), the differential of a function of two or more variables, when only one of the variables receives an increment. -- Total differential (Math.), the differential of a function of two or more variables, when each of the variables receives an increment. The total differential of the function is the sum of all the partial differentials.
differentially |In the way of differentiation.
differentiate |1. To distinguish or mark by a specific difference; to effect a difference in, as regards classification; to develop differential characteristics in; to specialize; to desynonymize. The word then was differentiated into the two forms then and than. Earle. Two or more of the forms assumed by the same original word become differentiated in signification. Dr. Murray. 2. To express the specific difference of; to describe the properties of (a thing) whereby it is differenced from another of the same class; to discriminate. Earle. 3. (Math.)  To obtain the differential, or differential coefficient, of; as, to differentiate an algebraic expression, or an equation.\n\nTo acquire a distinct and separate character. Huxley.
differentiation |1. The act of differentiating. Further investigation of the Sanskrit may lead to differentiation of the meaning of such of these roots as are real roots. J. Peile. 2. (Logic)  The act of distinguishing or describing a thing, by giving its different, or specific difference; exact definition or determination. 3. (Biol.)  The gradual formation or production of organs or parts by a process of evolution or development, as when the seed develops the root and the stem, the initial stem develops the leaf, branches, and flower buds; or in animal life, when the germ evolves the digestive and other organs and members, or when the animals as they advance in organization acquire special organs for specific purposes. 4. (Metaph.)  The supposed act or tendency in being of every kind, whether organic or inorganic, to assume or produce a more complex structure or functions.
differentiator |One who, or that which, differentiates.
differently |In a different manner; variously.
differingly |In a differing or different manner. Boyle.
difficile |Difficult; hard to manage; stubborn. [Obs.] -- Dif\"fi*cile*ness, n. [Obs.] Bacon.
difficilitate |To make difficult. [Obs.] W. Montagu.
difficult |1. Hard to do or to make; beset with difficulty; attended with labor, trouble, or pains; not easy; arduous. Note: Difficult implies the notion that considerable mental effort or skill is required, or that obstacles are to be overcome which call for sagacity and skill in the agent; as, a difficult task; hard work is not always difficult work; a difficult operation in surgery; a difficult passage in an author. There is not the strength or courage left me to venture into the wide, strange, and difficult world, alone. Hawthorne. 2. Hard to manage or to please; not easily wrought upon; austere; stubborn; as, a difficult person. Syn. -- Arduous; painful; crabbed; perplexed; laborious; unaccommodating; troublesome. See Arduous.\n\nTo render difficult; to impede; to perplex. [R.] Sir W. Temple.
difficultate |To render difficult; to difficilitate. [Obs.] Cotgrave.
difficultly |With difficulty. Cowper.
difficultness |Difficulty. [R.] Golding.
difficulty |1. The state of being difficult, or hard to do; hardness; arduousness; -- opposed to easiness or facility; as, the difficulty of a task or enterprise; a work of difficulty. Not being able to promote them [the interests of life] on account of the difficulty of the region. James Byrne. 2. Something difficult; a thing hard to do or to understand; that which occasions labor or perplexity, and requires skill perseverance to overcome, solve, or achieve; a hard enterprise; an obstacle; an impediment; as, the difficulties of a science; difficulties in theology. They lie under some difficulties by reason of the emperor's displeasure. Addison. 3. A controversy; a falling out; a disagreement; an objection; a cavil. Measures for terminating all local difficulties. Bancroft. 4. Embarrassment of affairs, especially financial affairs; -- usually in the plural; as, to be in difficulties. In days of difficulty and pressure. Tennyson. Syn. -- Impediment; obstacle; obstruction; embarrassment; perplexity; exigency; distress; trouble; trial; objection; cavil. See Impediment.
diffide |To be distrustful. [Obs.] Dr. H. More.
diffidence |1. The state of being diffident; distrust; want of confidence; doubt of the power, ability, or disposition of others. [Archaic] That affliction grew heavy upon me, and weighed me down even to a diffidence of God's mercy. Donne. 2. Distrust of one's self or one's own powers; lack of self-reliance; modesty; modest reserve; bashfulness. It is good to speak on such questions with diffidence. Macaulay. An Englishman's habitual diffidence and awkwardness of adress. W. Irving. Syn. -- Humility; bashfulness; distrust; suspicion; doubt; fear; timidity; apprehension; hesitation. See Humility, and Bashfulness.
diffidency |See Diffidence. [Obs.]
diffident |1. Wanting confidence in others; distrustful. [Archaic] You were always extremely diffident of their success. Melmoth. 2. Wanting confidence in one's self; distrustful of one's own powers; not self-reliant; timid; modest; bashful; characterized by modest reserve. The diffident maidens, Folding their hands in prayer. Longfellow. Syn. -- Distrustful; suspicious; hesitating; doubtful; modest; bashful; lowly; reserved.
diffidently |In a diffident manner. To stand diffidently against each other with their thoughts in battle array. Hobbes.
diffind |To split. [Obs.] Bailey.
diffine |To define. [Obs.] Chaucer.
diffinitive |Definitive; determinate; final. [Obs.] Sir H. Wotton.
diffission |Act of cleaving or splitting. [R.] Bailey.
difflation |A blowing apart or away. [Obs.] Bailey.
diffluence |A flowing off on all sides; fluidity. [R.]
diffluency |A flowing off on all sides; fluidity. [R.]
diffluent |Flowing apart or off; dissolving; not fixed. [R.] Bailey.
difform |Irregular in form; -- opposed to uniform; anomalous; hence, unlike; dissimilar; as, to difform corolla, the parts of which do not correspond in size or proportion; difform leaves. The unequal refractions of difform rays. Sir I. Newton.
difformity |Irregularity of form; diversity of form; want of uniformity. [Obs.] Sir T. Browne.
diffract |To break or separate into parts; to deflect, or decompose by deflection, a
diffraction |The deflection and decomposition of light in passing by the edges of opaque bodies or through narrow slits, causing the appearance of parallel bands or fringes of prismatic colors, as by the action of a grating of fine lines or bars. Remarked by Grimaldi (1665), and referred by him to a property of light which he called diffraction. Whewell. Diffraction grating. (Optics) See under Grating. -- Diffraction spectrum. (Optics) See under Spectrum.
diffractive |That produces diffraction.
diffranchise |See Disfranchise, Disfranchisement.
diffranchisement |See Disfranchise, Disfranchisement.
diffusate |Material which, in the process of catalysis, has diffused or passed through the separating membrane.
diffuse |To pour out and cause to spread, as a fluid; to cause to flow on all sides; to send out, or extend, in all directions; to spread; to circulate; to disseminate; to scatter; as to diffuse information. Thence diffuse His good to worlds and ages infinite. Milton. We find this knowledge diffused among all civilized nations. Whewell. Syn. -- To expand; spread; circulate; extend; scatter; disperse; publish; proclaim.\n\nTo pass by spreading every way, to diffuse itself.\n\nPoured out; widely spread; not restrained; copious; full; esp., of style, opposed to concise or terse; verbose; prolix; as, a diffuse style; a diffuse writer. A diffuse and various knowledge of divine and human things. Milton. Syn. -- Prolix; verbose; wide; copious; full. See Prolix.
diffused |Spread abroad; dispersed; loose; flowing; diffuse. It grew to be a widely diffused opinion. Hawthorne. -- Dif*fus\"ed*ly, adv. -- Dif*fus\"ed*ness, n.
diffusely |In a diffuse manner.
diffuseness |The quality of being diffuse; especially, in writing, the use of a great or excessive number of word to express the meaning; copiousness; verbosity; prolixity.
diffuser |One who, or that which, diffuses.
diffusibility |The quality of being diffusible; capability of being poured or spread out.
diffusible |1. Capable of flowing or spreading in all directions; that may be diffused. 2. (Physiol.)  Capable of passing through animal membranes by osmosis.
diffusibleness |Diffusibility.
diffusion |1. The act of diffusing, or the state of being diffused; a spreading; extension; dissemination; circulation; dispersion. A diffusion of knowledge which has undermined superstition. Burke. 2. (Physiol.)  The act of passing by osmosis through animal membranes, as in the distribution of poisons, gases, etc., through the body. Unlike absorption, diffusion may go on after death, that is, after the blood ceases to circulate. Syn. -- Extension; spread; propagation; circulation; expansion; dispersion.
diffusive |Having the quality of diffusing; capable of spreading every way by flowing; spreading widely; widely reaching; copious; diffuse. \"A plentiful and diffusive perfume.\" Hare.
diffusively |In a diffusive manner.
diffusiveness |The quality or state of being diffusive or diffuse; extensiveness; expansion; dispersion. Especially of style: Diffuseness; want of conciseness; prolixity. The fault that I find with a modern legend, it its diffusiveness. Addison.
diffusivity |Tendency to become diffused; tendency, as of heat, to become equalized by spreading through a conducting medium.
dig |1. To turn up, or delve in, (earth) with a spade or a hoe; to open, loosen, or break up (the soil) with a spade, or other sharp instrument; to pierce, open, or loosen, as if with a spade. Be first to dig the ground. Dryden. 2. To get by digging; as, to dig potatoes, or gold. 3. To hollow out, as a well; to form, as a ditch, by removing earth; to excavate; as, to dig a ditch or a well. 4. To thrust; to poke. [Colloq.] You should have seen children . . . dig and push their mothers under the sides, saying thus to them: Look, mother, how great a lubber doth yet wear pearls. Robynson (More's Utopia). To dig down, to undermine and cause to fall by digging; as, to dig down a wall. -- To dig from, out of, out, or up, to get out or obtain by digging; as, to dig coal from or out of a mine; to dig out fossils; to dig up a tree. The preposition is often omitted; as, the men are digging coal, digging iron ore, digging potatoes. -- To dig in, to cover by digging; as, to dig in manure.(b) To entrench oneself so as to give stronger resistance; -- used of warfare. Also figuratively, esp. in the phrase to dig in one's heels.\n\n1. To work with a spade or other like implement; to do servile work; to delve. Dig for it more than for hid treasures. Job iii. 21. I can not dig; to beg I am ashamed. Luke xvi. 3. 2. (Mining)  To take ore from its bed, in distinction from making excavations in search of ore. 3. To work like a digger; to study ploddingly and laboriously. [Cant, U.S.]\n\n1. A thrust; a punch; a poke; as, a dig in the side or the ribs. See Dig, v. t., 4. [Colloq.] 2. A plodding and laborious student. [Cant, U.S.]
digamist |One who marries a second time; a deuterogamist. Hammond.
digamma |A letter ( Note: This form identifies it with the Latin F, though in sound it is said to have been nearer V. It was pronounced, probably, much like the English W.
digammate |Having the digamma or its representative letter or sound; as, the Latin word vis is a digammated form of the Greek . Andrews.
digammated |Having the digamma or its representative letter or sound; as, the Latin word vis is a digammated form of the Greek . Andrews.
digamous |Pertaining to a second marriage, that is, one after the death of the first wife or the first husband.
digamy |Act, or state, of being twice married; deuterogamy. [R.]
digastric |(a) Having two bellies; biventral; -- applied to muscles which are fleshy at each end and have a tendon in the middle, and esp. to the muscle which pulls down the lower jaw. (b) Pertaining to the digastric muscle of the lower jaw; as, the digastric nerves.
digenea |A division of Trematoda in which alternate generations occur, the immediate young not resembling their parents.
digenesis |The faculty of multiplying in two ways; -- by ova fecundated by spermatic fluid, and asexually, as by buds. See Parthenogenesis.
digenous |Sexually reproductive. Digenous reproduction. (Biol.) Same as Digenesis.
digerent |Digesting. [Obs.] Bailey.
digest |1. To distribute or arrange methodically; to work over and classify; to reduce to portions for ready use or application; as, to digest the laws, etc. Joining them together and digesting them into order. Blair. We have cause to be glad that matters are so well digested. Shak. 2. (Physiol.)  To separate (the food) in its passage through the alimentary canal into the nutritive and nonnutritive elements; to prepare, by the action of the digestive juices, for conversion into blood; to convert into chyme. 3. To think over and arrange methodically in the mind; to reduce to a plan or method; to receive in the mind and consider carefully; to get an understanding of; to comprehend. Feelingly digest the words you speak in prayer. Sir H. Sidney. How shall this bosom multiplied digest The senate's courtesy Shak. 4. To appropriate for strengthening and comfort. Grant that we may in such wise hear them [the Scriptures], read, mark, learn, and inwardly digest them. Book of Common Prayer. 5. Hence: To bear comfortably or patiently; to be reconciled to; to brook. I never can digest the loss of most of Origin's works. Coleridge. 6. (Chem.)  To soften by heat and moisture; to expose to a gentle heat in a boiler or matrass, as a preparation for chemical operations. 7. (Med.)  To dispose to suppurate, or generate healthy pus, as an ulcer or wound. 8. To ripen; to mature. [Obs.] Well-digested fruits. Jer. Taylor. 9. To quiet or abate, as anger or grief.\n\n1. To undergo digestion; as, food digests well or ill. 2. (Med.)  To suppurate; to generate pus, as an ulcer.\n\nThat which is digested; especially, that which is worked over, classified, and arranged under proper heads or titles; esp. (Law),  a compilation of statutes or decisions analytically arranged. The term is applied in a general sense to the Pandects of Justinian (see Pandect), but is also specially given by authors to compilations of laws on particular topics; a summary of laws; as, Comyn's Digest; the United States Digest. A complete digest of Hindu and Mahommedan laws after the model of Justinian's celebrated Pandects. Sir W. Jones. They made a sort of institute and digest of anarchy, called the Rights of Man. Burke.
digestedly |In a digested or well-arranged manner; methodically.
digester |1. One who digests. 2. A medicine or an article of food that aids digestion, or strengthens digestive power. Rice is . . . a great restorer of health, and a great digester. Sir W. Temple. 3. A strong closed vessel, in which bones or other substances may be subjected, usually in water or other liquid, to a temperature above that of boiling, in order to soften them.
digestibility |The quality of being digestible.
digestible |Capable of being digested.
digestibleness |The quality of being digestible; digestibility.
digestion |1. The act or process of digesting; reduction to order; classification; thoughtful consideration. 2. (Physiol.)  The conversion of food, in the stomach and intestines, into soluble and diffusible products, capable of being absorbed by the blood. 3. (Med.)  Generation of pus; suppuration.
digestive |Pertaining to digestion; having the power to cause or promote digestion; as, the digestive ferments. Digestive cheese and fruit there sure will be. B. Jonson. Digestive apparatus, the organs of food digestion, esp. the alimentary canal and glands connected with it. -- Digestive salt, the chloride of potassium.\n\n1. That which aids digestion, as a food or medicine. Chaucer. That digestive [a cigar] had become to me as necessary as the meal itself. Blackw. Mag. 2. (Med.) (a) A substance which, when applied to a wound or ulcer, promotes suppuration. Dunglison. (b) A tonic. [R.]
digestor |See Digester.
digesture |Digestion. [Obs.] Harvey.
diggable |Capable of being dug.
digger |One who, or that which, digs. Digger wasp (Zoöl.), any one of the fossorial Hymenoptera.
diggers |A degraded tribe of California Indians; -- so called from their practice of digging roots for food.
digging |1. The act or the place of excavating. 2. pl.  Places where ore is dug; especially, certain localities in California, Australia, and elsewhere, at which gold is obtained. [Recent] 3. pl.  Region; locality. [Low]
dight |1. To prepare; to put in order; hence, to dress, or put on; to array; to adorn. [Archaic] \"She gan the house to dight.\" Chaucer. Two harmless turtles, dight for sacrifice. Fairfax. The clouds in thousand liveries dight. Milton. 2. To have sexual intercourse with. [Obs.] Chaucer.
dighter |One who dights. [Obs.]
digit |1. (Zoöl.)  One of the terminal divisions of a limb appendage; a finger or toe. The ruminants have the \"cloven foot,\" i. e., two hoofed digits on each foot. Owen. 2. A finger's breadth, commonly estimated to be three fourths of an inch. 3. (Math.)  One of the ten figures or symbols, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, by which all numbers are expressed; -- so called because of the use of the fingers in counting and computing. Note: By some authorities the symbol 0 is not included with the digits. 4. (Anat.)  One twelfth part of the diameter of the sun or moon; -- a term used to express the quantity of an eclipse; as, an eclipse of eight digits is one which hides two thirds of the diameter of the disk.\n\nTo point at or out with the finger. [R.]
digital |Of or performance to the fingers, or to digits; done with the fingers; as, digital compression; digital examination.
