gangliac |Relating to a ganglion; ganglionic.
gastraea |A primeval larval form; a double-walled sac from which, according to the hypothesis of Haeckel, man and all other animals, that in the first stages of their individual evolution pass through a two-layered structural stage, or gastrula form, must have descended. This idea constitutes the Gastræa theory of Haeckel. See Gastrula.
gastralgia |Pain in the stomach or epigastrium, as in gastric disorders.
gastric |Of, pertaining to, or situated near, the stomach; as, the gastric artery. Gastric digestion (Physiol.), the conversion of the albuminous portion of food in the stomach into soluble and diffusible products by the solvent action of gastric juice. -- Gastric fever (Med.), a fever attended with prominent gastric symptoms; -- a name applied to certain forms of typhoid fever; also, to catarrhal inflammation of the stomach attended with fever. -- Gastric juice (Physiol.), a thin, watery fluid, with an acid reaction, secreted by a peculiar set of glands contained in the mucous membrane of the stomach. It consists mainly of dilute hydrochloric acid and the ferment pepsin. It is the most important digestive fluid in the body, but acts only on proteid foods. -- Gastric remittent fever (Med.), a form of remittent fever with pronounced stomach symptoms.
gastriloquist |One who appears to speak from his stomach; a ventriloquist.
gastriloquous |Ventriloquous. [R.]
gastriloquy |A voice or utterance which appears to proceed from the stomach; ventriloquy.
gastritis |Inflammation of the stomach, esp. of its mucuos membrane.
gastro- |A combining form from the Gr. gastrocolic, gastrocele, gastrotomy.
gastrocnemius |The muscle which makes the greater part of the calf of the leg.
gastrocolic |Pertaining to both the stomach and the colon; as, the gastrocolic, or great, omentum.
gastrodisc |That part of blastoderm where the hypoblast appears like a small disk on the inner face of the epibladst.
gastroduodenal |Pertaining to the stomach and duodenum; as, the gastroduodenal artery.
gastroduodenitis |Inflammation of the stomach and duodenum. It is one of the most frequent causes of jaundice.
gastroelytrotomy |The operation of cutting into the upper part of the vagina, through the abdomen (without opening the peritoneum), for the purpose of removing a fetus. It is a substitute for the Cæsarean operation, and less dangerous.
gastroenteric |Gastrointestinal.
gastroenteritis |Inflammation of the lining membrane of the stomach and the intestines.
gastroepiploic |Of or pertaining to the stomach and omentum.
gastrohepatic |Pertaining to the stomach and liver; hepatogastric; as, the gastrohepatic, or lesser, omentum.
gastrohysterotomy |Cæsarean section. See under Cæsarean.
gastrointestinal |Of or pertaining to the stomach and intestines; gastroenteric.
gastrolith |See Crab's eyes, under Crab.
gastrology |The science which treats of the structure and functions of the stomach; a treatise of the stomach.
gastromalacia |A softening of the coats of the stomach; -- usually a post- morten change.
gastromancy |(a) A kind of divination, by means of words seemingly uttered from the stomach. (b) A species of divination, by means of glasses or other round, transparent vessels, in the center of which figures are supposed to appear by magic art.
gastromyces |The fungoid growths sometimes found in the stomach; such as Torula, etc.
gastromyth |One whose voice appears to proceed from the stomach; a ventriloquist. [Obs.]
gastronome |One fond of good living; an epicure. Sir W. Scott.
gastronomer |One fond of good living; an epicure. Sir W. Scott.
gastronomic |Pertaining to gastromony.
gastronomical |Pertaining to gastromony.
gastronomist |A gastromomer.
gastronomy |The art or science of good eating; epicurism; the art of good cheer.
gastrophrenic |Pertaining to the stomach and diaphragm; as, the gastrophrenic ligament.
gastropneumatic |Pertaining to the alimentary canal and air passages, and to the cavities connected with them; as, the gastropneumatic mucuos membranes.
gastropod |One of the Gastropoda. [Written also gasteropod.]
gastropoda |One of the classes of Mollusca, of great extent. It includes most of the marine spiral shells, and the land and fresh-water snails. They generally creep by means of a flat, muscular disk, or foot, on the ventral side of the body. The head usually bears one or two pairs of tentacles. See Mollusca. [Written also Gasteropoda.] Note: The Gastropoda are divided into three subclasses; viz.: (a) The Streptoneura or Dioecia, including the Pectinibranchiata, Rhipidoglossa, Docoglossa, and Heteropoda. (b) The Euthyneura, including the Pulmonata and Opisthobranchia. (c) The Amphineura, including the Polyplacophora and Aplacophora.
gastropodous |Of or pertaining to the Gastropoda.
gastroraphy |The operation of sewing up wounds of the abdomen. Quincy.
gastroscope |An instrument for viewing or examining the interior of the stomach.
gastroscopic |Of or pertaining to gastroscopy.
gastroscopy |Examination of the abdomen or stomach, as with the gastroscope.
gastrosplenic |Pertaining to the stomach and spleen; as, the gastrosplenic ligament.
gastrostege |One of the large scales on the belly of a serpent.
gastrostomy |The operation of making a permanent opening into the stomach, for the introduction of food.
gastrotomy |A cutting into, or opening of, the abdomen or the stomach.
gastrotricha |A group of small wormlike animals, having cilia on the ventral side. The group is regarded as an ancestral or synthetic one, related to rotifers and annelids.
gastrotrocha |A form of annelid larva having cilia on the ventral side.
gastrovascular |Having the structure, or performing the functions, both of digestive and circulatory organs; as, the gastrovascular cavity of coelenterates.
gastrula |An embryonic form having its origin in the invagination or pushing in of the wall of the planula or blastula (the blastosphere) on one side, thus giving rise to a double-walled sac, with one opening or mouth (the blastopore) which leads into the cavity (the archenteron) lined by the inner wall (the hypoblast). See Illust. under Invagination. In a more general sense, an ideal stage in embryonic development. See Gastræa. -- a.  Of or pertaining to a gastrula.
gastrulation |The process of invagination, in embryonic development, by which a gastrula is formed.
gastrura |See Stomatopoda.
gastrurous |Pertaining to the Gastrura.
gat |imp. of Get. [Obs.]
gat-toothed |Goat-toothed; having a lickerish tooth; lustful; wanton. [Obs.]
gatch |Plaster as used in Persian architecture and decorative art. Gatch decoration, decoration in plaster often producing design of great beauty. -- Gatch work, work in which gatch is employed; also, articles of gatch ornamentation collectively.
gate |1. A large door or passageway in the wall of a city, of an inclosed field or place, or of a grand edifice, etc.; also, the movable structure of timber, metal, etc., by which the passage can be closed. 2. An opening for passage in any inclosing wall, fence, or barrier; or the suspended framework which closes or opens a passage. Also, figuratively, a means or way of entrance or of exit. Knowest thou the way to Dover Both stile and gate, horse way and footpath. Shak. Opening a gate for a long war. Knolles. 3. A door, valve, or other device, for stopping the passage of water through a dam, lock, pipe, etc. 4. (Script.)  The places which command the entrances or access; hence, place of vantage; power; might. The gates of hell shall not prevail against it. Matt. xvi. 18. 5. In a lock tumbler, the opening for the stump of the bolt to pass through or into. 6. (Founding) (a) The channel or opening through which metal is poured into the mold; the ingate. (b) The waste piece of metal cast in the opening; a sprue or sullage piece. [Written also geat and git.] Gate chamber, a recess in the side wall of a canal lock, which receives the opened gate. -- Gate channel. See Gate, 5. -- Gate hook, the hook-formed piece of a gate hinge. -- Gate money, entrance money for admission to an inclosure. -- Gate tender, one in charge of a gate, as at a railroad crossing. -- Gate valva, a stop valve for a pipe, having a sliding gate which affords a straight passageway when open. -- Gate vein (Anat.), the portal vein. -- To break gates (Eng. Univ.), to enter a college inclosure after the hour to which a student has been restricted. -- To stand in the gate, or gates, to occupy places or advantage, power, or defense.\n\n1. To supply with a gate. 2. (Eng. Univ.) To punish by requiring to be within the gates at an earlier hour than usual.\n\n1. A way; a path; a road; a street (as in Highgate). [O. Eng. & Scot.] I was going to be an honest man; but the devil has this very day flung first a lawyer, and then a woman, in my gate. Sir W. Scott. 2. Manner; gait. [O. Eng. & Scot.]
gated |Having gates. Young.
gatehouse |A house connected or associated with a gate.
gateless |Having no gate.
gateman |A gate keeper; a gate tender.
gatepost |1. A post to which a gate is hung; -- called also swinging or hinging post. 2. A post against which a gate closes; -- called also shutting post.
gateway |A passage through a fence or wall; a gate; also, a frame, arch, etc., in which a gate in hung, or a structure at an entrance or gate designed for ornament or defense.
gatewise |In the manner of a gate. Three circles of stones set up gatewise. Fuller.
gather |1. To bring together; to collect, as a number of separate things, into one place, or into one aggregate body; to assemble; to muster; to congregate. And Belgium's capital had gathered them Her beauty and her chivalry. Byron. When he had gathered all the chief priests and scribes of the people together. Matt. ii. 4. 2. To pick out and bring together from among what is of less value; to collect, as a harvest; to harvest; to cull; to pick off; to pluck. A rose just gathered from the stalk. Dryden. Do men gather grapes of thorns, or figs of thistles Matt. vii. 16. Gather us from among the heathen. Ps. cvi. 47. 3. To accumulate by collecting and saving little by little; to amass; to gain; to heap up. He that by usury and unjust gain increaseth his substance, he shall gather it for him that will pity the poor. Prov. xxviii. 8. To pay the creditor . . . he must gather up money by degrees. Locke. 4. To bring closely together the parts or particles of; to contract; to compress; to bring together in folds or plaits, as a garment; also, to draw together, as a piece of cloth by a thread; to pucker; to plait; as, to gather a ruffle. Gathering his flowing robe, he seemed to stand In act to speak, and graceful stretched his hand. Pope. 5. To derive, or deduce, as an inference; to collect, as a conclusion, from circumstances that suggest, or arguments that prove; to infer; to conclude. Let me say no moreGather the sequel by that went before. Shak. 6. To gain; to win. [Obs.] He gathers ground upon her in the chase. Dryden. 7. (Arch.)  To bring together, or nearer together, in masonry, as where the width of a fireplace is rapidly diminished to the width of the flue, or the like. 8. (Naut.)  To haul in; to take up; as, to gather the slack of a rope. To be gathered to one's people, or to one's fathers to die. Gen. xxv. 8. -- To gather breath, to recover normal breathing after being out of breath; to get breath; to rest. Spenser. -- To gather one's self together, to collect and dispose one's powers for a great effort, as a beast crouches preparatory to a leap. -- To gather way (Naut.), to begin to move; to move with increasing speed.\n\n1. To come together; to collect; to unite; to become assembled; to congregate. When small humors gather to a gout. Pope. Tears from the depth of some divine despair Rise in the heart, and gather to the eyes. Tennyson. 2. To grow larger by accretion; to increase. Their snowball did not gather as it went. Bacon. 3. To concentrate; to come to a head, as a sore, and generate pus; as, a boil has gathered. 4. To collect or bring things together. Thou knewest that I reap where I sowed not, and gather where I have not strewed. Matt. xxv. 26.\n\n1. A plait or fold in cloth, made by drawing a thread through it; a pucker. 2. (Carriage Making)  The inclination forward of the axle journals to keep the wheels from working outward. 3. (Arch.)  The soffit or under surface of the masonry required in gathering. See Gather, v. t., 7.
gatherable |Capable of being gathered or collected; deducible from premises. [R.] Godwin.
gatherer |1. One who gathers or collects. 2. (Sewing Machine)  An attachment for making gathers in the cloth.
gathering |1. The act of collecting or bringing together. 2. That which is gathered, collected, or brought together; as: (a) A crowd; an assembly; a congregation. (b) A charitable contribution; a collection. (c) A tumor or boil suppurated or maturated; an abscess.\n\nAssembling; collecting; used for gathering or concentrating. Gathering board (Bookbinding), a table or board on which signatures are gathered or assembled, to form a book. Knight. -- Gathering coal, a lighted coal left smothered in embers over night, about which kindling wood is gathered in the morning. -- Gathering hoop, a hoop used by coopers to draw together the ends of barrel staves, to allow the hoops to be slipped over them. -- Gathering peat. (a) A piece of peat used as a gathering coal, to preserve a fire. (b) In Scotland, a fiery peat which was sent round by the Borderers as an alarm signal, as the fiery cross was by the Highlanders.
gatling gun |An American machine gun, consisting of a cluster of barrels which, being revolved by a crank, are automatically loaded and fired. Note: The improved Gatling gun can be fired at the rate of 1,200 shots per minute. Farrow.
gatten tree |A name given to the small trees called guelder-rose (Viburnum Opulus), cornel (Cornus sanguinea), and spindle tree (Euonymus Europæus).
gauche |1. Left handed; hence, awkward; clumsy. 2. (Geom.)  Winding; twisted; warped; -- applied to curves and surfaces.
gaucherie |An awkward action; clumsiness; boorishness.
gaucho |On of the native inhabitants of the pampas, of Spanish-American descent. They live mostly by rearing cattle.
gaud |1. Trick; jest; sport. [Obs.] Chaucer. 2. Deceit; fraud; artifice; device. [Obs.] Chaucer. 3. An ornament; a piece of worthless finery; a trinket. \"An idle gaud.\" Shak.\n\nTo sport or keep festival. [Obs.] \"Gauding with his familiars. \" [Obs.] Sir T. North.\n\nTo bedeck gaudily; to decorate with gauds or showy trinkets or colors; to paint. [Obs.] \"Nicely gauded cheeks.\" Shak.
gaud-day |See Gaudy, a feast.
gaudery |Finery; ornaments; ostentatious display. [R.] \"Tarnished gaudery.\" Dryden.
gaudful |Joyful; showy. [Obs.]
gaudily |In a gaudy manner. Guthrie.
gaudiness |The quality of being gaudy. Whitlock.
gaudish |Gaudy. \"Gaudish ceremonies.\" Bale.
gaudless |Destitute of ornament. [R.]
gaudy |1. Ostentatiously fine; showy; gay, but tawdry or meretricious. Costly thy habit as thy purse can buy, But not expressed in fancy; rich, not gaudy. Shak. 2. Gay; merry; festal. Tennyson. Let's have one other gaudy night. Shak.\n\nOne of the large beads in the rosary at which the paternoster is recited. [Obs.] Gower.\n\nA feast or festival; -- called also gaud-day and gaudy day. [Oxford Univ.] Conybeare.
gaudygreen |Light green. [Obs.] Chaucer. Spenser.
gauffer |To plait, crimp, or flute; to goffer, as lace. See Goffer.
gauffering |A mode of plaiting or fluting. Gauffering iron, a kind of fluting iron for fabrics. -- Gauffering press (Flower Manuf.), a press for crimping the leaves and petals into shape.
gauffre |A gopher, esp. the pocket gopher.
gauge |1. To measure or determine with a gauge. 2. To measure or to ascertain the contents or the capacity of, as of a pipe, barrel, or keg. 3. (Mech.)  To measure the dimensions of, or to test the accuracy of the form of, as of a part of a gunlock. The vanes nicely gauged on each side. Derham. 4. To draw into equidistant gathers by running a thread through it, as cloth or a garment. 5. To measure the capacity, character, or ability of; to estimate; to judge of. You shall not gauge me By what we do to-night. Shak.\n\n1. A measure; a standard of measure; an instrument to determine dimensions, distance, or capacity; a standard. This plate must be a gauge to file your worm and groove to equal breadth by. Moxon. There is not in our hands any fixed gauge of minds. I. Taylor. 2. Measure; dimensions; estimate. The gauge and dimensions of misery, depression, and contempt. Burke. 3. (Mach. & Manuf.)  Any instrument for ascertaining or regulating the dimensions or forms of things; a templet or template; as, a button maker's gauge. 4. (Physics)  Any instrument or apparatus for measuring the state of a phenomenon, or for ascertaining its numerical elements at any moment; -- usually applied to some particular instrument; as, a rain gauge; a steam gauge. 5. (Naut.) (a) Relative positions of two or more vessels with reference to the wind; as, a vessel has the weather gauge of another when on the windward side of it, and the lee gauge when on the lee side of it. (b) The depth to which a vessel sinks in the water. Totten. 6. The distance between the rails of a railway. Note: The standard gauge of railroads in most countries is four feet, eight and one half inches. Wide, or broad, gauge, in the United States, is six feet; in England, seven feet, and generally any gauge exceeding standard gauge. Any gauge less than standard gauge is now called narrow gauge. It varies from two feet to three feet six inches. 7. (Plastering)  The quantity of plaster of Paris used with common plaster to accelerate its setting. 8. (Building)  That part of a shingle, slate, or tile, which is exposed to the weather, when laid; also, one course of such shingles, slates, or tiles. Gauge of a carriage, car, etc., the distance between the wheels; -- ordinarily called the track. -- Gauge cock, a stop cock used as a try cock for ascertaining the height of the water level in a steam boiler. -- Gauge concussion (Railroads), the jar caused by a car-wheel flange striking the edge of the rail. -- Gauge glass, a glass tube for a water gauge. -- Gauge lathe, an automatic lathe for turning a round object having an irregular profile, as a baluster or chair round, to a templet or gauge. -- Gauge point, the diameter of a cylinder whose altitude is one inch, and contents equal to that of a unit of a given measure; -- a term used in gauging casks, etc. -- Gauge rod, a graduated rod, for measuring the capacity of barrels, casks, etc. -- Gauge saw, a handsaw, with a gauge to regulate the depth of cut. Knight. -- Gauge stuff, a stiff and compact plaster, used in making cornices, moldings, etc., by means of a templet. -- Gauge wheel, a wheel at the forward end of a plow beam, to determine the depth of the furrow. -- Joiner's gauge, an instrument used to strike a line parallel to the straight side of a board, etc. -- Printer's gauge, an instrument to regulate the length of the page. -- Rain gauge, an instrument for measuring the quantity of rain at any given place. -- Salt gauge, or Brine gauge, an instrument or contrivance for indicating the degree of saltness of water from its specific gravity, as in the boilers of ocean steamers. -- Sea gauge, an instrument for finding the depth of the sea. -- Siphon gauge, a glass siphon tube, partly filled with mercury, -- used to indicate pressure, as of steam, or the degree of rarefaction produced in the receiver of an air pump or other vacuum; a manometer. -- Sliding gauge. (Mach.) (a) A templet or pattern for gauging the commonly accepted dimensions or shape of certain parts in general use, as screws, railway-car axles, etc. (b) A gauge used only for testing other similar gauges, and preserved as a reference, to detect wear of the working gauges. (c) (Railroads) See Note under Gauge, n., 5. -- Star gauge (Ordnance), an instrument for measuring the diameter of the bore of a cannon at any point of its length. -- Steam gauge, an instrument for measuring the pressure of steam, as in a boiler. -- Tide gauge, an instrument for determining the height of the tides. -- Vacuum gauge, a species of barometer for determining the relative elasticities of the vapor in the condenser of a steam engine and the air. -- Water gauge. (a) A contrivance for indicating the height of a water surface, as in a steam boiler; as by a gauge cock or glass. (b) The height of the water in the boiler. -- Wind gauge, an instrument for measuring the force of the wind on any given surface; an anemometer. -- Wire gauge, a gauge for determining the diameter of wire or the thickness of sheet metal; also, a standard of size. See under Wire.
gaugeable |Capable of being gauged.
gauged |Tested or measured by, or conformed to, a gauge. Gauged brick, brick molded, rubbed, or cut to an exact size and shape, for arches or ornamental work. -- Gauged mortar. See Gauge stuff, under Gauge, n.
gauger |One who gauges; an officer whose business it is to ascertain the contents of casks.
gauger-ship |The office of a gauger.
gauging rod |See Gauge rod, under Gauge, n.
gaul |1. The Anglicized form of Gallia, which in the time of the Romans included France and Upper Italy (Transalpine and Cisalpine Gaul). 2. A native or inhabitant of Gaul.
gaulish |Pertaining to ancient France, or Gaul; Gallic. [R.]
gault |A series of beds of clay and marl in the South of England, between the upper and lower greensand of the Cretaceous period.
gaultheria |A genus of ericaceous shrubs with evergreen foliage, and, often, edible berries. It includes the American winter-green (Gaultheria procumbens), and the larger-fruited salal of Northwestern America (Gaultheria Shallon).
gaunt |Attenuated, as with fasting or suffering; lean; meager; pinched and grim. \"The gaunt mastiff.\" Pope. A mysterious but visible pestilence, striding gaunt and fleshless across our land. Nichols.
gauntlet |See Gantlet.\n\n1. A glove of such material that it defends the hand from wounds. Note: The gauntlet of the Middle Ages was sometimes of chain mail, sometimes of leather partly covered with plates, scales, etc., of metal sewed to it, and, in the 14th century, became a glove of small steel plates, carefully articulated and covering the whole hand except the palm and the inside of the fingers. 2. A long glove, covering the wrist. 3. (Naut.)  A rope on which hammocks or clothes are hung for drying. To take up the gauntlet, to accept a challenge. -- To throw down the gauntlet, to offer or send a challenge. The gauntlet or glove was thrown down by the knight challenging, and was taken up by the one who accepted the challenge; -- hence the phrases.
gauntletted |Wearing a gauntlet.
gauntly |In a gaunt manner; meagerly.
gauntree |1. A frame for supporting barrels in a cellar or elsewhere. Sir W. Scott. 2. (Engin.)  A scaffolding or frame carrying a crane or other structure. Knight.
gauntry |1. A frame for supporting barrels in a cellar or elsewhere. Sir W. Scott. 2. (Engin.)  A scaffolding or frame carrying a crane or other structure. Knight.
gaur |An East Indian species of wild cattle (Bibos gauris), of large size and an untamable disposition. [Spelt also gour.]
gaure |To gaze; to stare. [Obs.] Chaucer.
gauss |The C.G.S. unit of density of magnetic field, equal to a field of one line of force per square centimeter, being thus adopted as an international unit at Paris in 1900; sometimes used as a unit of intensity of magnetic field. It was previously suggested as a unit of magnetomotive force.
gaussage |The intensity of a magnetic field expressed in C.G.S. units, or gausses.
gauze |A very thin, slight, transparent stuff, generally of silk; also, any fabric resembling silk gauze; as, wire gauze; cotton gauze. Gauze dresser, one employed in stiffening gauze.\n\nHaving the qualities of gauze; thin; light; as, gauze merino underclothing.
gauziness |The quality of being gauzy; flimsiness. Ruskin.
gauzy |Pertaining to, or resembling, gauze; thin and slight as gauze.
gavage |Forced feeding (as of poultry or infants) by means of a tube passed through the mouth down to the stomach.
gave |imp. of Give.
gavel |A gable. [Prov. Eng.] Halliwell.\n\nA small heap of grain, not tied up into a bundle. Wright.\n\n1. The mallet of the presiding officer in a legislative body, public assembly, court, masonic body, etc. 2. A mason's setting maul. Knight.\n\nTribute; toll; custom. [Obs.] See Gabel. Cowell.
gavelet |An ancient special kind of cessavit used in Kent and London for the recovery of rent. [Obs.]
gavelkind |A tenure by which land descended from the father to all his sons in equal portions, and the land of a brother, dying without issue, descended equally to his brothers. It still prevails in the county of Kent. Cowell.
gaveloche |Same as Gavelock.
gavelock |1. A spear or dart. [R. & Obs.] 2. An iron crow or lever. [Scot. & North of Eng.]
gaverick |The European red gurnard (Trigla cuculus). [Prov. Eng.]
gaviae |The division of birds which includes the gulls and terns.
gavial |A large Asiatic crocodilian (Gavialis Gangeticus); -- called also nako, and Gangetic crocodile. Note: The gavial has a long, slender muzzle, teeth of nearly uniform size, and feet completely webbed. It inhabits the Ganges and other rivers of India. The name is also applied to several allied fossil species.
gavot |A kind of difficult dance; a dance tune, the air of which has two brisk and lively, yet dignified, strains in common time, each played twice over. [Written also gavotte.]
gawby |A baby; a dunce. [Prov. Eng.]
gawk |1. A cuckoo. Johnson. 2. A simpleton; a booby; a gawky. Carlyle.\n\nTo act like a gawky.
gawky |Foolish and awkward; clumsy; clownish; as, gawky behavior. -- n. A fellow who is awkward from being overgrown, or from stupidity, a gawk.
gawn |A small tub or lading vessel. [Prov. Eng.] Johnson.
gawntree |See Gauntree.
gay |1. Excited with merriment; manifesting sportiveness or delight; inspiring delight; livery; merry. Belinda smiled, and all the world was gay. Pope. Gay hope is theirs by fancy fed. Gray. 2. Brilliant in colors; splendid; fine; richly dressed. Why is my neighbor's wife so gay Chaucer. A bevy of fair women, richly gay In gems and wanton dressMilton. 3. Loose; dissipated; lewd. [Colloq.] Syn. -- Merry; gleeful; blithe; airy; lively; sprightly, sportive; light- hearted; frolicsome; jolly; jovial; joyous; joyful; glad; showy; splendid; vivacious.\n\nAn ornament [Obs.] L'Estrange.
gayal |A Southern Asiatic species of wild cattle (Bibos frontalis).
gaydiang |A vessel of Anam, with two or three masts, lofty triangular sails, and in construction somewhat resembling a Chinese junk.
gayety |1. The state of being gay; merriment; mirth; acts or entertainments prompted by, or inspiring, merry delight; -- used often in the plural; as, the gayeties of the season. 2. Finery; show; as, the gayety of dress. Syn. -- Liveliness; mirth; animation; vivacity; glee; blithesomeness; sprightliness; jollity. See Liveliness.
gayley process |The process of removing moisture from the blast of an iron blast furnace by reducing its temperature so far that it will not remain suspended as vapor in the blast current, but will be deposited as snow in the cooling apparatus. The resultant uniformly dehydrated blast effects great economy in fuel consumption, and promotes regularity of furnace operation, and certainty of furnace control.
gaylussite |A yellowish white, translucent mineral, consisting of the carbonates of lime and soda, with water.
gayly |1. With mirth and frolic; merrily; blithely; gleefully. 2. Finely; splendidly; showily; as, ladies gayly dressed; a flower gayly blooming. Pope.
gayne |To avail. [Obs.]
gayness |Gayety; finery. [R.]
gaysome |Full of gayety. Mir. for Mag.
gaytre |The dogwood tree. [Obs.] Chaucer.\n\nThe dogwood tree. [Obs.] Chaucer.
gaze |To fixx the eyes in a steady and earnest look; to look with eagerness or curiosity, as in admiration, astonishment, or with studious attention. Why stand ye gazing up into heaven Acts i. 11. Syn. -- To gape; stare; look. -- To Gaze, Gape, Stare. To gaze is to look with fixed and prolonged attention, awakened by excited interest or elevated emotion; to gape is to look fixedly, with open mouth and feelings of ignorant wonder; to stare is to look with the fixedness of insolence or of idiocy. The lover of nature gazes with delight on the beauties of the landscape; the rustic gapes with wonder at the strange sights of a large city; the idiot stares on those around with a vacant look.\n\nTo view with attention; to gaze on . [R.] And gazed a while the ample sky. Milton.\n\n1. A fixed look; a look of eagerness, wonder, or admiration; a continued look of attention. With secret gaze Or open admiration him behold. Milton. 2. The object gazed on. Made of my enemies the scorn and gaze. Milton. At gaze (a) (Her.) With the face turned directly to the front; -- said of the figures of the stag, hart, buck, or hind, when borne, in this position, upon an escutcheon. (b) In a position expressing sudden fear or surprise; -- a term used in stag hunting to describe the manner of a stag when he first hears the hounds and gazes round in apprehension of some hidden danger; hence, standing agape; idly or stupidly gazing. I that rather held it better men should perish one by one, Than that earth should stand at gaze like Joshua's moon in Ajalon! Tennyson.
gazeebo |A summerhouse so situated as to command an extensive prospect. [Colloq.]
gazeful |Gazing. [R.] Spenser.
gazehound |A hound that pursues by the sight rather than by the scent. Sir W. Scott.
gazel |The black currant; also, the wild plum. [Prov. Eng.]\n\nSee Gazelle.
gazelle |One of several small, swift, elegantly formed species of antelope, of the genus Gazella, esp. G. dorcas; -- called also algazel, corinne, korin, and kevel. The gazelles are celebrated for the luster and soft expression of their eyes. [Written also gazel.] Note: The common species of Northern Africa (Gazella dorcas); the Arabian gazelle, or ariel (G. Arabica); the mohr of West Africa (G. mohr); the Indian (G. Bennetti); the ahu or Persian (G. subgutturosa); and the springbok or tsebe (G. euchore) of South Africa, are the best known.
gazement |View. [Obs.] Spenser.
gazer |One who gazes.
gazet |A Venetian coin, worth about three English farthings, or one and a half cents. [Obs.]
gazette |A newspaper; a printed sheet published periodically; esp., the official journal published by the British government, and containing legal and state notices.\n\nTo announce or publish in a gazette; to announce officially, as an appointment, or a case of bankruptcy.
gazetteer |1. A writer of news, or an officer appointed to publish news by authority. Johnson. 2. A newspaper; a gazette. [Obs.] Burke. 3. A geographical dictionary; a book giving the names and descriptions, etc., of many places. 4. An alphabetical descriptive list of anything.
gazingstock |A person or thing gazed at with scorn or abhorrence; an object of curiosity or contempt. Bp. Hall.
gazogene |A portable apparatus for making soda water or aërated liquids on a small scale. Knight.
gazon |One of the pieces of sod used to line or cover parapets and the faces of earthworks.
ge- |An Anglo-Saxon prefix. See Y-.
geal |To congeal. [Obs. or Scot.]
gean |A species of cherry tree common in Europe (Prunus avium); also, the fruit, which is usually small and dark in color.
geanticlinal |An upward bend or flexure of a considerable portion of the earth's crust, resulting in the formation of a class of mountain elevations called anticlinoria; -- opposed to geosynclinal.
gear |1. Clothing; garments; ornaments. Array thyself in thy most gorgeous gear. Spenser. 2. Goods; property; household stuff. Chaucer. Homely gear and common ware. Robynson (More's Utopia) 3. Whatever is prepared for use or wear; manufactured stuff or material. Clad in a vesture of unknown gear. Spenser. 4. The harness of horses or cattle; trapping. 5. Warlike accouterments. [Scot.] Jamieson. 6. Manner; custom; behavior. [Obs.] Chaucer. 7. Business matters; affairs; concern. [Obs.] Thus go they both together to their gear. Spenser. 8. (Mech.) (a) A toothed wheel, or cogwheel; as, a spur gear, or a bevel gear; also, toothed wheels, collectively. (b) An apparatus for performing a special function; gearing; as, the feed gear of a lathe. (c) Engagement of parts with each other; as, in gear; out of gear. 9. pl. (Naut.)  See 1st Jeer (b). 10. Anything worthless; stuff; nonsense; rubbish. [Obs. or Prov. Eng.] Wright. That servant of his that confessed and uttered this gear was an honest man. Latimer. Bever gear. See Bevel gear. -- Core gear, a mortise gear, or its skeleton. See Mortise wheel, under Mortise. -- Expansion gear (Steam Engine), the arrangement of parts for cutting off steam at a certain part of the stroke, so as to leave it to act upon the piston expansively; the cut-off. See under Expansion. -- Feed gear. See Feed motion, under Feed, n. -- Gear cutter, a machine or tool for forming the teeth of gear wheels by cutting. -- Gear wheel, any cogwheel. -- Running gear. See under Running. -- To throw in, or out of, gear (Mach.), to connect or disconnect (wheelwork or couplings, etc.); to put in, or out of, working relation.\n\n1. To dress; to put gear on; to harness. 2. (Mach.)  To provide with gearing. Double geared, driven through twofold compound gearing, to increase the force or speed; -- said of a machine.\n\nTo be in, or come into, gear.
gearing |1. Harness. 2. (Mach.)  The parts by which motion imparted to one portion of an engine or machine is transmitted to another, considered collectively; as, the valve gearing of locomotive engine; belt gearing; esp., a train of wheels for transmitting and varying motion in machinery. Frictional gearing. See under Frictional. -- Gearing chain, an endless chain transmitted motion from one sprocket wheel to another. See Illust. of Chain wheel. -- Spur gearing, gearing in which the teeth or cogs are ranged round either the concave or the convex surface (properly the latter) of a cylindrical wheel; -- for transmitting motion between parallel shafts, etc.
geason |Rare; wonderful. [Obs.] Spenser.
geat |The channel or spout through which molten metal runs into a mold in casting. [Written also git, gate.]
gecarcinian |A land crab of the genus Gecarcinus, or of allied genera.
geck |1. Scorn, derision, or contempt. [Prov. Eng.] 2. An object of scorn; a dupe; a gull. [Obs.] To become the geck and scorn O'the other's villainy. Shak.\n\n1. To deride; to scorn; to mock. [Prov. Eng.] 2. To cheat; trick, or gull. [Obs.] Johnson.\n\nTo jeer; to show contempt. Sir W. Scott.
gecko |Any lizard of the family Geckonidæ. The geckoes are small, carnivorous, mostly nocturnal animals with large eyes and vertical, elliptical pupils. Their toes are generally expanded, and furnished with adhesive disks, by which they can run over walls and ceilings. They are numerous in warm countries, and a few species are found in Europe and the United States. See Wall gecko, Fanfoot.
geckotian |A gecko.
ged |The European pike.
gedd |The European pike.
