presageful |Full of presages; ominous. Dark in the glass of some presageful mood. Tennyson.
presupposal |Presupposition. [R.] \"Presupposal of knowledge.\" Hooker.
presuppose |To suppose beforehand; to imply as antecedent; to take for granted; to assume; as, creation presupposes a creator. Each [kind of knowledge] presupposes many necessary things learned in other sciences, and known beforehand. Hooker.
presupposition |1. The act of presupposing; an antecedent implication; presumption. 2. That which is presupposed; a previous supposition or surmise.
presurmise |A surmise previously formed. Shak.
presystolic |Preceding the systole or contraction of the heart; as, the presystolic friction sound.
pretemporal |Situated in front of the temporal bone.
pretence |See Pretense, Pretenseful, Pretenseless.\n\n1. The act of laying claim; the claim laid; assumption; pretension. Spenser. Primogeniture can not have any pretense to a right of solely inheriting property or power. Locke. I went to Lambeth with Sir R. Brown's pretense to the wardenship of Merton College, Oxford. Evelyn. 2. The act of holding out, or offering, to others something false or feigned; presentation of what is deceptive or hypocritical; deception by showing what is unreal and concealing what is real; false show; simulation; as, pretense of illness; under pretense of patriotism; on pretense of revenging Cæsar's death. 3. That which is pretended; false, deceptive, or hypocritical show, argument, or reason; pretext; feint. Let not the Trojans, with a feigned pretense Of proffered peace, delude the Latian prince. Dryden. 4. Intention; design. [Obs.] A very pretense and purpose of unkindness. Shak. Note: See the Note under Offense. Syn. -- Mask; appearance; color; show; pretext; excuse. -- Pretense, Pretext. A pretense is something held out as real when it is not so, thus falsifying the truth. A pretext is something woven up in order to cover or conceal one's true motives, feelings, or reasons. Pretext is often, but not always, used in a bad sense.
pretenceful |See Pretense, Pretenseful, Pretenseless.
pretenceless |See Pretense, Pretenseful, Pretenseless.
pretend |1. To lay a claim to; to allege a title to; to claim. Chiefs shall be grudged the part which they pretend. Dryden. 2. To hold before, or put forward, as a cloak or disguise for something else; to exhibit as a veil for something hidden. [R.] Lest that too heavenly form, pretended To hellish falsehood, snare them. Milton. 3. To hold out, or represent, falsely; to put forward, or offer, as true or real (something untrue or unreal); to show hypocritically, or for the purpose of deceiving; to simulate; to feign; as, to pretend friendship. This let him know, Lest, willfully transgressing, he pretend Surprisal. Milton. 4. To intend; to design; to plot; to attempt. [Obs.] Such as shall pretend Malicious practices against his state. Shak. 5. To hold before one; to extend. [Obs.] \"His target always over her pretended.\" Spenser.\n\n1. To put in, or make, a claim, truly or falsely; to allege a title; to lay claim to, or strive after, something; -- usually with to. \"Countries that pretend to freedom.\" Swift. For to what fine he would anon pretend, That know I well. Chaucer. 2. To hold out the appearance of being, possessing, or performing; to profess; to make believe; to feign; to sham; as, to pretend to be asleep. \"[He] pretended to drink the waters.\" Macaulay.
pretendant |A pretender; a claimant.
pretended |Making a false appearance; unreal; false; as, pretended friend. -- Pre*tend\"ed*ly, adv.
pretendence |The act of pretending; pretense. [Obs.] Daniel.
pretender |1. One who lays claim, or asserts a title (to something); a claimant. Specifically,  The pretender (Eng. Hist.), the son or the grandson of James II., the heir of the royal family of Stuart, who laid claim to the throne of Great Britain, from which the house was excluded by law. It is the shallow, unimproved intellects that are the confident pretenders to certainty. Glanvill. 2. One who pretends, simulates, or feigns.
pretendership |The character, right, or claim of a pretender. Swift.
pretendingly |As by right or title; arrogantly; presumptuously. Collier.
pretense |1. The act of laying claim; the claim laid; assumption; pretension. Spenser. Primogeniture can not have any pretense to a right of solely inheriting property or power. Locke. I went to Lambeth with Sir R. Brown's pretense to the wardenship of Merton College, Oxford. Evelyn. 2. The act of holding out, or offering, to others something false or feigned; presentation of what is deceptive or hypocritical; deception by showing what is unreal and concealing what is real; false show; simulation; as, pretense of illness; under pretense of patriotism; on pretense of revenging Cæsar's death. 3. That which is pretended; false, deceptive, or hypocritical show, argument, or reason; pretext; feint. Let not the Trojans, with a feigned pretense Of proffered peace, delude the Latian prince. Dryden. 4. Intention; design. [Obs.] A very pretense and purpose of unkindness. Shak. Note: See the Note under Offense. Syn. -- Mask; appearance; color; show; pretext; excuse. -- Pretense, Pretext. A pretense is something held out as real when it is not so, thus falsifying the truth. A pretext is something woven up in order to cover or conceal one's true motives, feelings, or reasons. Pretext is often, but not always, used in a bad sense.
pretensed |Pretended; feigned. [Obs.] -- Pre*tens\"ed*ly, adv. [Obs.]
pretenseful |Abounding in pretenses.
pretenseless |Not having or making pretenses.
pretension |1. The act of pretending, or laying claim; the act of asserting right or title. The arrogant pretensions of Glengarry contributed to protract the discussion. Macaulay. 2. A claim made, whether true or false; a right alleged or assumed; a holding out the appearance of possessing a certain character; as, pretensions to scholarship. This was but an invention and pretension given out by the Spaniards. Bacon. Men indulge those opinions and practices that favor their pretensions. L'Estrange.
pretentative |Fitted for trial beforehand; experimental. [R.] Sir H. Wotton.
pretentious |Full of pretension; disposed to lay claim to more than is one's; presuming; assuming. -- Pre*ten\"tious*ly, adv. -- Pre*ten\"tious*ness, n.
preter- |A prefix signifying past, by, beyond, more than; as, preter- mission, a permitting to go by; preternatural, beyond or more than is natural. [Written also præter.]
preterhuman |More than human.
preterient |Passed through; antecedent; previous; as, preterient states. [R.]
preterimperfect |Old name of the tense also called imperfect.
preterist |1. One whose chief interest is in the past; one who regards the past with most pleasure or favor. 2. (Theol.)  One who believes the prophecies of the Apocalypse to have been already fulfilled. Farrar.
preterit |1. (Gram.)  Past; -- applied to a tense which expresses an action or state as past. 2. Belonging wholly to the past; passed by. [R.] Things and persons as thoroughly preterite as Romulus or Numa. Lowell.\n\nThe preterit; also, a word in the preterit tense.
preterite |Same as Preterit.
preteriteness |Same as Preteritness.
preterition |1. The act of passing, or going past; the state of being past. Bp. Hall. 2. (Rhet.)  A figure by which, in pretending to pass over anything, a summary mention of it is made; as, \"I will not say, he is valiant, he is learned, he is just.\" Called also paraleipsis. 3. (Law)  The omission by a testator of some one of his heirs who is entitled to a portion. Bouvier.
preteritive |Used only or chiefly in the preterit or past tenses, as certain verbs.
preteritness |The quality or state of being past. Bentley. Lowell.
preterlapsed |Past; as, preterlapsed ages. [R.] Glanvill.
preterlegal |Exceeding the limits of law. [R.]
pretermission |1. The act of passing by or omitting; omission. Milton. 2. (Rhet.)  See Preterition.
pretermit |To pass by; to omit; to disregard. Bacon.
preternatural |Beyond of different from what is natural, or according to the regular course of things, but not clearly supernatural or miraculous; strange; inexplicable; extraordinary; uncommon; irregular; abnormal; as, a preternatural appearance; a preternatural stillness; a preternatural presentation (in childbirth) or labor. This vile and preternatural temper of mind. South. Syn. -- See Supernatural.
preternaturalism |The state of being preternatural; a preternatural condition.
preternaturality |Preternaturalness. [R.] Dr. John Smith.
preternaturally |In a preternatural manner or degree. Bacon.
preternaturalness |The quality or state of being preternatural.
preterperfect |Old name of the tense also called preterit.
preterpluperfect |Old name of the tense also called pluperfect.
pretertiary |Earlier than Tertiary.
pretervection |The act of carrying past or beyond. [R.] Abp. Potter.
pretex |To frame; to devise; to disguise or excuse; hence, to pretend; to declare falsely. [Obs.]
pretext |Ostensible reason or motive assigned or assumed as a color or cover for the real reason or motive; pretense; disguise. They suck the blood of those they depend on, under a pretext of service and kindness. L'Estrange. With how much or how little pretext of reason. Dr. H. More. Syn. -- Pretense; excuse; semblance; disguise; appearance. See Pretense.
pretexture |A pretext. [Obs.]
pretibial |Situated in front of the tibia.
pretor |1. (Rom. Antiq.)  A civil officer or magistrate among the ancient Romans. Note: Originally the pretor was a kind of third consul; but at an early period two pretors were appointed, the first of whom (praetor urbanus) was a kind of mayor or city judge; the other (praetor peregrinus) was a judge of cases in which one or both of the parties were foreigners. Still later, the number of pretors, or judges, was further increased. 2. Hence, a mayor or magistrate. [R.] Dryden.
pretorial |Pretorian. Burke.
pretorian |Of or pertaining to a pretor or magistrate; judicial; exercised by, or belonging to, a pretor; as, pretorian power or authority. Pretorian bands or guards, or Pretorians (Rom. Hist.), the emperor's bodyguards, instituted by the Emperor Augustus in nine cohorts of 1,000 men each. -- Pretorian gate (Rom. Antiq.), that one of the four gates in a camp which lay next the enemy. Brande & C.\n\nA soldier of the pretorian guard.
pretorium |1. The general's tent in a Roman camp; hence, a council of war, because held in the general's tent. 2. The official residence of a governor of a province; hence, a place; a splendid country seat.
pretorship |The office or dignity of a pretor. J. Warton
pretorture |To torture beforehand. Fuller.
prettily |In a pretty manner.
prettiness |The quality or state of being pretty; -- used sometimes in a disparaging sense. A style . . . without sententious pretension or antithetical prettiness. Jeffrey.
pretty |1. Pleasing by delicacy or grace; attracting, but not striking or impressing; of a pleasing and attractive form a color; having slight or diminutive beauty; neat or elegant without elevation or grandeur; pleasingly, but not grandly, conceived or expressed; as, a pretty face; a pretty flower; a pretty poem. This is the prettiest lowborn lass that ever Ran on the greensward. Shak. 2. Moderately large; considerable; as, he had saved a pretty fortune. \"Wavering a pretty while.\" Evelyn. 3. Affectedly nice; foppish; -- used in an ill sense. The pretty gentleman is the most complaisant in the world. Spectator. 4. Mean; despicable; contemptible; -- used ironically; as, a pretty trick; a pretty fellow. 5. Stout; strong and brave; intrepid; valiant. [Scot.] [He] observed they were pretty men, meaning not handsome. Sir W. Scott. Syn. -- Elegant; neat; fine. See Handsome.\n\nIn some degree; moderately; considerably; rather; almost; -- less emphatic than very; as, I am pretty sure of the fact; pretty cold weather. Pretty plainly professes himself a sincere Christian. Atterbury.
pretty-spoken |Spoken or speaking prettily. [Colloq.]
prettyish |Somewhat pretty. Walpole.
prettyism |Affectation of a pretty style, manner, etc. [R.] Ed. Rev.
pretypify |To prefigure; to exhibit previously in a type. Bp. Pearson.
pretzel |A kind of German biscuit or cake in the form of a twisted ring, salted on the outside.
prevail |1. To overcome; to gain the victory or superiority; to gain the advantage; to have the upper hand, or the mastery; to succeed; -- sometimes with over or against. When Moses held up his hand, Israel prevailed, and when he let down his hand, Amalek prevailed. Ex. xvii. 11. So David prevailed over the Philistine. 1 Sam. xvii. 50. This kingdom could never prevail against the united power of England. Swift. 2. To be in force; to have effect, power, or influence; to be predominant; to have currency or prevalence; to obtain; as, the practice prevails this day. This custom makes the short-sighted bigots, and the warier skeptics, as far as it prevails. Locke. 3. To persuade or induce; -- with on, upon, or with; as, I prevailedon him to wait. He was prevailed with to restrain the Earl. Clarendon. Prevail upon some judicious friend to be your constant hearer, and allow him the utmost freedom. Swift.
prevailing |1. Having superior force or influence; efficacious; persuasive. Shak. Saints shall assist thee with prevailing prayers. Rowe. 2. Predominant; prevalent; most general; as, the prevailing disease of a climate; a prevailing opinion. Syn. See Prevalent.
prevailingly |So as to prevail.
prevailment |Prevalence; superior influence; efficacy. [Obs.] Shak.
prevalence |The quality or condition of being prevalent; superior strength, force, or influence; general existence, reception, or practice; wide extension; as, the prevalence of virtue, of a fashion, or of a disease; the prevalence of a rumor. The duke better knew what kind of argument were of prevalence with him. Clarendon.
prevalency |See Prevalence.
prevalent |1. Gaining advantage or superiority; having superior force, influence, or efficacy; prevailing; predominant; successful; victorious. Brennus told the Roman embassadors, that prevalent arms were as good as any title. Sir W. Raleigh. 2. Most generally received or current; most widely adopted or practiced; also, generally or extensively existing; widespread; prevailing; as, a prevalent observance; prevalent disease. This was the most received and prevalent opinion. Woodward. Syn. -- Prevailing; predominant; successful; efficacious; powerful. -- Prevalent, Prevailing. What customarily prevails is prevalent; as, a prevalent fashion. What actually prevails is prevailing; as, the prevailing winds are west. Hence, prevailing is the livelier and more pointed word, since it represents a thing in action. It is sometimes the stronger word, since a thing may prevail sufficiently to be called prevalent, and yet require greater strength to make it actually prevailing.
prevalently |In a prevalent manner. Prior.
prevaricate |1. To shift or turn from one side to the other, from the direct course, or from truth; to speak with equivocation; to shuffle; to quibble; as, he prevaricates in his statement. He prevaricates with his own understanding. South. 2. (Civil Law)  To collude, as where an informer colludes with the defendant, and makes a sham prosecution. 3. (Eng. Law)  To undertake a thing falsely and deceitfully, with the purpose of defeating or destroying it. Syn. -- To evade; equivocate; quibble; shuffle. -- Prevaricate, Evade, Equivocate. One who evades a question ostensibly answers it, but really turns aside to some other point. He who equivocate uses words which have a double meaning, so that in one sense he can claim to have said the truth, though he does in fact deceive, and intends to do it. He who prevaricates talks all round the question, hoping to \"dodge\" it, and disclose nothing.\n\nTo evade by a quibble; to transgress; to pervert. [Obs.] Jer. Taylor.
prevarication |1. The act of prevaricating, shuffling, or quibbling, to evade the truth or the disclosure of truth; a deviation from the truth and fair dealing. The august tribunal of the skies, where no prevarication shall avail. Cowper. 2. A secret abuse in the exercise of a public office. 3. (Law) (a) (Roman Law) The collusion of an informer with the defendant, for the purpose of making a sham prosecution. (b) (Common Law) A false or deceitful seeming to undertake a thing for the purpose of defeating or destroying it. Cowell.
prevaricator |1. One who prevaricates. 2. (Roman Law)  A sham dealer; one who colludes with a defendant in a sham prosecution. 3. One who betrays or abuses a trust. Prynne.
preve |To prove. [Obs.] Chaucer.\n\nProof. [Obs.] Chaucer.
prevenance |A going before; anticipation in sequence or order. \"The law of prevenance is simply the well-known law of phenomenal sequence.\" Ward.
prevenancy |The act of anticipating another's wishes, desires, etc., in the way of favor or courtesy; hence, civility; obligingness. [Obs.] Sterne.
prevene |To come before; to anticipate; hence, to hinder; to prevent. [Obs.] Philips.
prevenience |The act of going before; anticipation. [R.]
prevenient |Going before; preceding; hence, preventive. \"Prevenient grace descending.\" Milton.
prevent |1. To go before; to precede; hence, to go before as a guide; to direct. [Obs.] We which are alive and remain unto the coming of the Lord shall not prevent them which are asleep. 1 Thess. iv. 15. We pray thee that thy grace may always prevent and follow us. Bk. of Common Prayer. Then had I come, preventing Sheba's queen. Prior. 2. To be beforehand with; to anticipate. [Obs.] Their ready guilt preventing thy commands. Pope. 3. To intercept; to hinder; to frustrate; to stop; to thwart. \"This vile purpose to prevent.\" Shak. Perhaps forestalling night prevented them. Milton.\n\nTo come before the usual time. [Obs.] Strawberries . . . will prevent and come early. Bacon.
preventability |The quality or state of being preventable.
preventable |Capable of being prevented or hindered; as, preventable diseases.
preventative |That which prevents; -- incorrectly used instead of preventive.
preventer |1. One who goes before; one who forestalls or anticipates another. [Obs.] Bacon. 2. One who prevents or obstructs; a hinderer; that which hinders; as, a preventer of evils or of disease. 3. (Naut.)  An auxiliary rope to strengthen a mast. Preventer bolts, or Preventer plates (Naut.), fixtures connected with preventers to reënforce other rigging. -- Preventer stay. (Naut.) Same as Preventer, 3.
preventingly |So as to prevent or hinder.
prevention |1. The act of going, or state of being, before. [Obs.] The greater the distance, the greater the prevention. Bacon. 2. Anticipation; esp., anticipation of needs or wishes; hence, precaution; forethought. [Obs.] Hammond. Shak. 3. The act of preventing or hindering; obstruction of action, access, or approach; thwarting. South. Casca, be sudden, for we fear prevention. Shak. 4. Prejudice; prepossession. [A Gallicism] Dryden.
preventional |Tending to prevent. [Obs.]
preventive |1. Going before; preceding. [Obs.] Any previous counsel or preventive understanding. Cudworth. 2. Tending to defeat or hinder; obviating; preventing the access of; as, a medicine preventive of disease. Physic is either curative or preventive. Sir T. Browne. Preventive service, the duty performed by the armed police in guarding the coast against smuggling. [Eng]\n\nThat which prevents, hinders, or obstructs; that which intercepts access; in medicine, something to prevent disease; a prophylactic.
preventively |In a preventive manner.
prevertebral |Situated immediately in front, or on the ventral side, of the vertebral column; prespinal.
previous |Going before in time; being or happening before something else; antecedent; prior; as, previous arrangements; a previous illness. The dull sound . . . previous to the storm, Rolls o'er the muttering earth. Thomson. Previous question. (Parliamentary Practice) See under Question, and compare Closure. -- Previous to, before; -- often used adverbially for previously. \"Previous to publication.\" M. Arnold. \"A policy . . . his friends had advised previous to 1710.\" J. H. Newman. Syn. -- Antecedent; preceding; anterior; prior; foregoing; former.
previously |Beforehand; antecedently; as, a plan previously formed.
previousness |The quality or state of being previous; priority or antecedence in time.
previse |1. To foresee. [R.] 2. To inform beforehand; to warn. Ld. Lytton.
prevision |Foresight; foreknowledge; prescience. H. Spencer.
prevoyant |Foreseeing; prescient. [R.] Mrs. Oliphant.
prewarn |To warn beforehand; to forewarn. [R.]
prey |Anything, as goods, etc., taken or got by violence; anything taken by force from an enemy in war; spoil; booty; plunder. And they brought the captives, and the prey, and the spoil, unto Moses, and Eleazar the priest. Num. xxxi. 12. 2. That which is or may be seized by animals or birds to be devoured; hence, a person given up as a victim. The old lion perisheth for lack of prey. Job iv. ii. Already sees herself the monster's prey. Dryden. 3. The act of devouring other creatures; ravage. Hog in sloth, fox in stealth, . . . lion in prey. Shak. Beast of prey, a carnivorous animal; one that feeds on the flesh of other animals.\n\nTo take booty; to gather spoil; to ravage; to take food by violence. More pity that the eagle should be mewed, While kites and buzzards prey at liberty. Shak. To prey on or upon. (a) To take prey from; to despoil; to pillage; to rob. Shak. (b) To seize as prey; to take for food by violence; to seize and devour. Shak. (c) To wear away gradually; to cause to waste or pine away; as, the trouble preyed upon his mind. Addison.
preyer |One who, or that which, preys; a plunderer; a waster; a devourer. Hooker.
preyful |1. Disposed to take prey. [Obs.] The preyful brood of savage beasts. Chapman. 2. Rich in prey. [Obs.] Shak.
prezygapophysis |An anterior zygapophysis.
prial |A corruption of pair royal. See under Pair, n.
prian |A fine, white, somewhat friable clay; also, the ore contained in a mixture of clay and pebbles. [Written also pryan.]
priapean |A species of hexameter verse so constructed as to be divisible into two portions of three feet each, having generally a trochee in the first and the fourth foot, and an amphimacer in the third; -- applied also to a regular hexameter verse when so constructed as to be divisible into two portions of three feet each. Andrews.
priapism |More or less permanent erection and rigidity of the penis, with or without sexual desire.
priapulacea |A suborder of Gephyræa, having a cylindrical body with a terminal anal opening, and usually with one or two caudal gills.
pricasour |A hard rider. [Obs.]
price |1. The sum or amount of money at which a thing is valued, or the value which a seller sets on his goods in market; that for which something is bought or sold, or offered for sale; equivalent in money or other means of exchange; current value or rate paid or demanded in market or in barter; cost. \"Buy wine and milk without money and without price.\" Isa. lv. 1. We can afford no more at such a price. Shak. 2. Value; estimation; excellence; worth. Her price is far above rubies. Prov. xxxi. 10. New treasures still, of countless price. Keble. 3. Reward; recompense; as, the price of industry. 'T is the price of toil, The knave deserves it when he tills the soil. Pope. Price current, or Price list, a statement or list of the prevailing prices of merchandise, stocks, specie, bills of exchange, etc., published statedly or occasionally.\n\n1. To pay the price of. [Obs.] With thine own blood to price his blood. Spenser. 2. To set a price on; to value. See Prize. 3. To ask the price of; as, to price eggs. [Colloq.]
priced |Rated in price; valued; as, high-priced goods; low-priced labor.
priceite |A hydrous borate of lime, from Oregon.
priceless |1. Too valuable to admit of being appraised; of inestimable worth; invaluable. 2. Of no value; worthless. [R.] J. Barlow.
prick |1. That which pricks, penetrates, or punctures; a sharp and slender thing; a pointed instrument; a goad; a spur, etc.; a point; a skewer. Pins, wooden pricks, nails, sprigs of rosemary. Shak. It is hard for thee to kick against the pricks. Acts ix. 5. 2. The act of pricking, or the sensation of being pricked; a sharp, stinging pain; figuratively, remorse. \"The pricks of conscience.\" A. Tucker. 3. A mark made by a pointed instrument; a puncture; a point. Hence: (a) A point or mark on the dial, noting the hour. [Obs.] \"The prick of noon.\" Shak. (b) The point on a target at which an archer aims; the mark; the pin. \"They that shooten nearest the prick.\" Spenser. (c) A mark denoting degree; degree; pitch. [Obs.] \"To prick of highest praise forth to advance.\" Spenser. (d) A mathematical point; -- regularly used in old English translations of Euclid. (e) The footprint of a hare. [Obs.] 4. (Naut.)  A small roll; as, a prick of spun yarn; a prick of tobacco.\n\n1. To pierce slightly with a sharp-pointed instrument or substance; to make a puncture in, or to make by puncturing; to drive a fine point into; as, to prick one with a pin, needle, etc.; to prick a card; to prick holes in paper. 2. To fix by the point; to attach or hang by puncturing; as, to prick a knife into a board. Sir I. Newton. The cooks prick it [a slice] on a prong of iron. Sandys. 3. To mark or denote by a puncture; to designate by pricking; to choose; to mark; -- sometimes with off. Some who are pricked for sheriffs. Bacon. Let the soldiers for duty be carefully pricked off. Sir W. Scott. Those many, then, shall die: their names are pricked. Shak. 4. To mark the outline of by puncturing; to trace or form by pricking; to mark by punctured dots; as, to prick a pattern for embroidery; to prick the notes of a musical composition. Cowper. 5. To ride or guide with spurs; to spur; to goad; to incite; to urge on; -- sometimes with on, or off. Who pricketh his blind horse over the fallows. Chaucer. The season pricketh every gentle heart. Chaucer. My duty pricks me on to utter that. Shak. 6. To affect with sharp pain; to sting, as with remorse. \"I was pricked with some reproof.\" Tennyson. Now when they heard this, they were pricked in their heart. Acts ii. 37. 7. To make sharp; to erect into a point; to raise, as something pointed; -- said especially of the ears of an animal, as a horse or dog; and usually followed by up; -- hence, to prick up the ears, to listen sharply; to have the attention and interest strongly engaged. \"The courser . . . pricks up his ears.\" Dryden. 8. To render acid or pungent. [Obs.] Hudibras. 9. To dress; to prink; -- usually with up. [Obs.] 10. (Naut) (a) To run a middle seam through, as the cloth of a sail. (b) To trace on a chart, as a ship's course. 11. (Far.) (a) To drive a nail into (a horse's foot), so as to cause lameness. (b) To nick.\n\n1. To be punctured; to suffer or feel a sharp pain, as by puncture; as, a sore finger pricks. 2. To spur onward; to ride on horseback. Milton. A gentle knight was pricking on the plain. Spenser. 3. To become sharp or acid; to turn sour, as wine. 4. To aim at a point or mark. Hawkins.
prick-eared |Having erect, pointed ears; -- said of certain dogs. Thou prick-eared cur of Iceland. Shak.
pricker |1. One who, or that which, pricks; a pointed instrument; a sharp point; a prickle. 2. One who spurs forward; a light horseman. The prickers, who rode foremost, . . . halted. Sir W. Scott. 3. A priming wire; a priming needle, -- used in blasting and gunnery. Knight. 4. (Naut.)  A small marline spike having generally a wooden handle, -- used in sailmaking. R. H. Dana, Ir.
pricket |A buck in his second year. See Note under 3d Buck. Shak.
pricking |1. The act of piercing or puncturing with a sharp point. \"There is that speaketh like the prickings of a sword.\" Prov. xii. 18 [1583]. 2. (Far.) (a) The driving of a nail into a horse's foot so as to produce lameness. (b) Same as Nicking. 3. A sensation of being pricked. Shak. 4. The mark or trace left by a hare's foot; a prick; also, the act of tracing a hare by its footmarks. [Obs.] 5. Dressing one's self for show; prinking. [Obs.]
pricking-up |The first coating of plaster in work of three coats upon laths. Its surface is scratched once to form a better key for the next coat. In the United States called scratch coat. Brande & C.
prickle |1. A little prick; a small, sharp point; a fine, sharp process or projection, as from the skin of an animal, the bark of a plant, etc.; a spine. Bacon. 2. A kind of willow basket; -- a term still used in some branches of trade. B. Jonson. 3. A sieve of filberts, -- about fifty pounds. [Eng.]\n\nTo prick slightly, as with prickles, or fine, sharp points. Felt a horror over me creep, Prickle skin, and catch my breath. Tennyson.
prickleback |The stickleback.
pricklefish |The stickleback.
prickliness |The quality of being prickly, or of having many prickles.
prickling |Prickly. [Obs.] Spenser.
pricklouse |A tailor; -- so called in contempt. [Old slang] L'Estrange.
prickly |Full of sharp points or prickles; armed or covered with prickles; as, a prickly shrub. Prickly ash (Bot.), a prickly shrub (Xanthoxylum Americanum) with yellowish flowers appearing with the leaves. All parts of the plant are pungent and aromatic. The southern species is X. Carolinianum. Gray. -- Prickly heat (Med.), a noncontagious cutaneous eruption of red pimples, attended with intense itching and tingling of the parts affected. It is due to inflammation of the sweat glands, and is often brought on by overheating the skin in hot weather. -- Prickly pear (Bot.), a name given to several plants of the cactaceous genus Opuntia, American plants consisting of fleshy, leafless, usually flattened, and often prickly joints inserted upon each other. The sessile flowers have many petals and numerous stamens. The edible fruit is a large pear-shaped berry containing many flattish seeds. The common species of the Northern Atlantic States is Opuntia vulgaris. In the South and West are many others, and in tropical America more than a hundred more. O. vulgaris, O. Ficus-Indica, and O. Tuna are abundantly introduced in the Mediterranean region, and O. Dillenii has become common in India. -- Prickly pole (Bot.), a West Indian palm (Bactris Plumierana), the slender trunk of which bears many rings of long black prickles. -- Prickly withe (Bot.), a West Indian cactaceous plant (Cereus triangularis) having prickly, slender, climbing, triangular stems. -- Prickly rat (Zoöl.), any one of several species of South American burrowing rodents belonging to Ctenomys and allied genera. The hair is usually intermingled with sharp spines.
prickmadam |A name given to several species of stonecrop, used as ingredients of vermifuge medicines. See Stonecrop.
prickpunch |A pointed steel punch, to prick a mark on metal.
prickshaft |An arrow. [Obs.]
pricksong |Music written, or noted, with dots or points; -- so called from the points or dots with which it is noted down. [Obs.] He fights as you sing pricksong. Shak.
prickwood |A shrub (Euonymus Europæus); -- so named from the use of its wood for goads, skewers, and shoe pegs. Called also spindle tree.
pricky |Stiff and sharp; prickly. Holland.
pride |A small European lamprey (Petromyzon branchialis); -- called also prid, and sandpiper.\n\n1. The quality or state of being proud; inordinate self-esteem; an unreasonable conceit of one's own superiority in talents, beauty, wealth, rank, etc., which manifests itself in lofty airs, distance, reserve, and often in contempt of others. Those that walk in pride he is able to abase. Dan. iv. 37. Pride that dines on vanity sups on contempt. Franklin. 2. A sense of one's own worth, and abhorrence of what is beneath or unworthy of one; lofty self-respect; noble self-esteem; elevation of character; dignified bearing; proud delight; -- in a good sense. Thus to relieve the wretched was his pride. Goldsmith. A people which takes no pride in the noble achievements of remote ancestors will never achieve anything worthy to be remembered with pride by remote descendants. Macaulay. 3. Proud or disdainful behavior or treatment; insolence or arrogance of demeanor; haughty bearing and conduct; insolent exultation; disdain. Let not the foot of pride come against me. Ps. xxxvi. 11. That hardly we escaped the pride of France. Shak. 4. That of which one is proud; that which excites boasting or self- gratulation; the occasion or ground of self-esteem, or of arrogant and presumptuous confidence, as beauty, ornament, noble character, children, etc. Lofty trees yclad with summer's pride. Spenser. I will cut off the pride of the Philistines. Zech. ix. 6. A bold peasantry, their country's pride. Goldsmith. 5. Show; ostentation; glory. Pride, pomp, and circumstance of glorious war. Shak. 6. Highest pitch; elevation reached; loftiness; prime; glory; as, to be in the pride of one's life. A falcon, towering in her pride of place. Shak. 7. Consciousness of power; fullness of animal spirits; mettle; wantonness; hence, lust; sexual desire; esp., an excitement of sexual appetite in a female beast. [Obs.] Pride of India, or Pride of China. (Bot.) See Margosa. -- Pride of the desert (Zoöl.), the camel. Syn. -- Self-exaltation; conceit; hauteur; haughtiness; lordliness; loftiness. -- Pride, Vanity. Pride is a high or an excessive esteem of one's self for some real or imagined superiority, as rank, wealth, talents, character, etc. Vanity is the love of being admired, praised, exalted, etc., by others. Vanity is an ostentation of pride; but one may have great pride without displaying it. Vanity, which is etymologically \"emptiness,\" is applied especially to the exhibition of pride in superficialities, as beauty, dress, wealth, etc.\n\nTo indulge in pride, or self-esteem; to rate highly; to plume; -- used reflexively. Bp. Hall. Pluming and priding himself in all his services. South.\n\nTo be proud; to glory. [R.]
prideful |Full of pride; haughty. Tennyson. -- Pride\"ful*ly, adv. -- Pride\"ful-ness, n.
prideless |Without pride. Chaucer.
pridian |Of or pertaining to the day before, or yesterday. [R.] Thackeray.
pridingly |Proudly. [Obs.]
prie |The plant privet. [Obs.] Tusser.\n\nTo pry. [Obs.] Chaucer.
pried |imp. & p. p. of Pry.
priedieu |A kneeling desk for prayers.
prief |Proof. [Obs.] Spenser. Lydgate.
prier |One who pries; one who inquires narrowly and searches, or is inquisitive. So pragmatical a prier he is into divine secrets. Fuller.
priest |1. (Christian Church)  A presbyter elder; a minister; specifically: (a) (R. C. Ch. & Gr. Ch.) One who is authorized to consecrate the host and to say Mass; but especially, one of the lowest order possessing this power. Murdock. (b) (Ch. of Eng. & Prot. Epis. Ch.)  A presbyter; one who belongs to the intermediate order between bishop and deacon. He is authorized to perform all ministerial services except those of ordination and confirmation. 2. One who officiates at the altar, or performs the rites of sacrifice; one who acts as a mediator between men and the divinity or the gods in any form of religion; as, Buddhist priests. \"The priests of Dagon.\" 1 Sam. v. 5. Then the priest of Jupiter . . . brought oxen and garlands . . . and would have done sacrifice with the people. Acts xiv. 13. Every priest taken from among men is ordained for men in things pertaining to God, that he may offer both gifts and sacrifices for sins. Heb. v. 1. Note: In the New Testament presbyters are not called priests; but Christ is designated as a priest, and as a high priest, and all Christians are designated priests.\n\nTo ordain as priest.
priest-ridden |Controlled or oppressed by priests; as, a priest-ridden people. Swift.
priestcap |A form of redan, so named from its shape; -- called also swallowtail.
