brigose |Contentious; quarrelsome. [Obs.] Puller.
bronchiole |A minute bronchial tube.
bronchitic |Of or pertaining to bronchitis; as, bronchitic inflammation.
bronchitis |Inflammation, acute or chronic, of the bronchial tubes or any part of them.
broncho |A native or a Mexican horse of small size. [Western U.S.]
broncho-pneumonia |Inflammation of the bronchi and lungs; catarrhal pneumonia.
bronchocele |See Goiter.
bronchophony |A modification of the voice sounds, by which they are intensified and heightened in pitch; -- observed in auscultation of the chest in certain cases of intro-thoracic disease.
bronchotome |An instrument for cutting into the bronchial tubes.
bronchotomy |An incision into the windpipe or larynx, including the operations of tracheotomy and laryngotomy.
bronchus |One of the subdivisions of the trachea or windpipe; esp. one of the two primary divisions.
bronco |Same as Broncho.
brond |A sword. [Obs.]
brontograph |(a) A tracing or chart showing the phenomena attendant on thunderstorms. (b) An instrument for making such tracings, as a recording brontometer.
brontolite |An aërolite. [R.]
brontolith |An aërolite. [R.]
brontology |A treatise upon thunder.
brontometer |An instrument for noting or recording phenomena attendant on thunderstorms.
brontosaurus |A genus of American jurassic dinosaurs. A length of sixty feet is believed to have been attained by these reptiles.
brontotherium |A genus of large extinct mammals from the miocene strata of western North America. They were allied to the rhinoceros, but the skull bears a pair of powerful horn cores in front of the orbits, and the fore feet were four-toed. See Illustration in Appendix.
brontozoum |An extinct animal of large size, known from its three-toed footprints in Mesozoic sandstone. Note: The tracks made by these reptiles are found eighteen inches in length, and were formerly referred to gigantic birds; but the discovery of large bipedal three-toed dinosaurs has suggested that they were made by those reptiles.
bronze |1. An alloy of copper and tin, to which small proportions of other metals, especially zinc, are sometimes added. It is hard and sonorous, and is used for statues, bells, cannon, etc., the proportions of the ingredients being varied to suit the particular purposes. The varieties containing the higher proportions of tin are brittle, as in bell metal and speculum metal. 2. A statue, bust, etc., cast in bronze. A print, a bronze, a flower, a root. Prior. 3. A yellowish or reddish brown, the color of bronze; also, a pigment or powder for imitating bronze. 4. Boldness; impudence; \"brass.\" Imbrowned with native bronze, lo! Henley stands. Pope. Aluminium bronze. See under Aluminium. -- Bronze age, an age of the world which followed the stone age, and was characterized by the use of implements and ornaments of copper or bronze. -- Bronze powder, a metallic powder, used with size or in combination with painting, to give the appearance of bronze, gold, or other metal, to any surface. -- Phosphor bronze and Silicious or Silicium bronze are made by adding phosphorus and silicon respectively to ordinary bronze, and are characterized by great tenacity.\n\n1. To give an appearance of bronze to, by a coating of bronze powder, or by other means; to make of the color of bronze; as, to bronze plaster casts; to bronze coins or medals. The tall bronzed black-eyed stranger. W. Black. 2. To make hard or unfeeling; to brazen. The lawer who bronzes his bosom instead of his forehead. Sir W. Scott. Bronzed skin disease. (Pathol.) See Addison's disease.
bronze steel |A hard tough alloy of tin, copper, and iron, which can be used for guns.
bronzewing |An Australian pigeon of the genus Phaps, of several species; -- so called from its bronze plumage.
bronzine |A metal so prepared as to have the appearance of bronze. -- a.  Made of bronzine; resembling bronze; bronzelike.
bronzing |1. The act or art of communicating to articles in metal, wood, clay, plaster, etc., the appearance of bronze by means of bronze powders, or imitative painting, or by chemical processes. Tomlinson. 2. A material for bronzing.
bronzist |One who makes, imitates, collects, or deals in, bronzes.
bronzite |A variety of enstatite, often having a bronzelike luster. It is a silicate of magnesia and iron, of the pyroxene family.
bronzy |Like bronze.
brooch |1. An ornament, in various forms, with a tongue, pin, or loop for attaching it to a garment; now worn at the breast by women; a breastpin. Formerly worn by men on the hat. Honor 's a good brooch to wear in a man's hat. B. Jonson. 2. (Paint.)  A painting all of one color, as a sepia painting, or an India painting.\n\nTo adorn as with a brooch. [R.]
brood |1. The young birds hatched at one time; a hatch; as, a brood of chicken. As a hen doth gather her brood under her wings. Luke xiii. 34. A hen followed by a brood of ducks. Spectator. 2. The young from the same dam, whether produced at the same time or not; young children of the same mother, especially if nearly of the same age; offspring; progeny; as, a woman with a brood of children. The lion roars and gluts his tawny brood. Wordsworth. 3. That which is bred or produced; breed; species. Flocks of the airy brood, (Cranes, geese or long-necked swans). Chapman. 4. (Mining)  Heavy waste in tin and copper ores. To sit on brood, to ponder. [Poetic] Shak.\n\n1. Sitting or inclined to sit on eggs. 2. Kept for breeding from; as, a brood mare; brood stock; having young; as, a brood sow.\n\n1. To sit on and cover eggs, as a fowl, for the purpose of warming them and hatching the young; or to sit over and cover young, as a hen her chickens, in order to warm and protect them; hence, to sit quietly, as if brooding. Birds of calm sir brooding on the charmed wave. Milton. 2. To have the mind dwell continuously or moodily on a subject; to think long and anxiously; to be in a state of gloomy, serious thought; -- usually followed by over or on; as, to brood over misfortunes. Brooding on unprofitable gold. Dryden. Brooding over all these matters, the mother felt like one who has evoked a spirit. Hawthorne. When with downcast eyes we muse and brood. Tennyson.\n\n1. To sit over, cover, and cherish; as, a hen broods her chickens. 2. To cherish with care. [R.] 3. To think anxiously or moodily upon. You'll sit and brood your sorrows on a throne. Dryden.
broody |Inclined to brood. Ray.
brook |A natural stream of water smaller than a river or creek. The Lord thy God bringeth thee into a good land, a land of brooks of water. Deut. viii. 7. Empires itself, as doth an inland brook Into the main of waters. Shak.\n\n1. To use; to enjoy. [Obs.] Chaucer. 2. To bear; to endure; to put up with; to tolerate; as, young men can not brook restraint. Spenser. Shall we, who could not brook one lord, Crouch to the wicked ten Macaulay. 3. To deserve; to earn. [Obs.] Sir J. Hawkins.
brook mint |See Water mint.
brookite |A mineral consisting of titanic oxide, and hence identical with rutile and octahedrite in composition, but crystallizing in the orthorhombic system.
brooklet |A small brook.
brooklime |A plant (Veronica Beccabunga), with flowers, usually blue, in axillary racemes. The American species is V. Americana. [Formerly written broklempe or broklympe.]
brookside |The bank of a brook.
brookweed |A small white-flowered herb (Samolus Valerandi) found usually in wet places; water pimpernel.
broom |1. (Bot.)  A plant having twigs suitable for making brooms to sweep with when bound together; esp., the Cytisus scoparius of Western Europe, which is a low shrub with long, straight, green, angular branches, mintue leaves, and large yellow flowers. No gypsy cowered o'er fires of furze and broom. Wordsworth. 2. An implement for sweeping floors, etc., commonly made of the panicles or tops of broom corn, bound together or attached to a long wooden handle; -- so called because originally made of the twigs of the broom. Butcher's broom, a plant (Ruscus aculeatus) of the Smilax family, used by butchers for brooms to sweep their blocks; -- called also knee holly. See Cladophyll. -- Dyer's broom, a species of mignonette (Reseda luteola), used for dyeing yellow; dyer's weed; dyer's rocket. -- Spanish broom. See under Spanish.\n\nSee Bream.
broom corn |A variety of Sorghum vulgare, having a joined stem, like maize, rising to the height of eight or ten feet, and bearing its seeds on a panicle with long branches, of which brooms are made.
broom rape |A genus (Orobanche) of parasitic plants of Europe and Asia. They are destitute of chlorophyll, have scales instead of leaves, and spiked flowers, and grow attached to the roots of other plants, as furze, clover, flax, wild carrot, etc. The name is sometimes applied to other plants related to this genus, as Aphyllon uniflorumand A. Ludovicianum.
broomstaff |A broomstick. [Obs.] Shak.
broomstick |A stick used as a handle of a broom.
broomy |Of or pertaining to broom; overgrowing with broom; resembling broom or a broom. If land grow mossy or broomy. Mortimer.
brose |Pottage made by pouring some boiling liquid on meal (esp. oatmeal), and stirring it. It is called beef brose, water brose, etc., according to the name of the liquid (beef broth, hot water, etc.) used. [Scot.]
brotel |Brittle. [Obs.] Chaucer.
brotelness |Brittleness. [Obs.] Chaucer.
broth |Liquid in which flesh (and sometimes other substances, as barley or rice) has been boiled; thin or simple soup. I am sure by your unprejudiced discourses that you love broth better than soup. Addison.
brothel |A house of lewdness or ill fame; a house frequented by prostitutes; a bawdyhouse.
brotheler |One who frequents brothels.
brothelry |Lewdness; obscenity; a brothel. B. Jonson.
brother |1. A male person who has the same father and mother with another person, or who has one of them only. In the latter case he is more definitely called a half brother, or brother of the half blood. Two of us in the churchyard lie, My sister and my brother. Wordsworth. 2. One related or closely united to another by some common tie or interest, as of rank, profession, membership in a society, toil, suffering, etc.; -- used among judges, clergymen, monks, physicians, lawers, professors of religion, etc. \"A brother of your order.\" Shak. We few, we happy few, we band of brothers, For he to-day that sheds his blood with me Shall be my brother. Shak. 3. One who, or that which, resembles another in distinctive qualities or traits of character. He also that is slothful in his work is brother to him that is a great waster. Prov. xviii. 9. That April morn Of this the very brother. Wordsworth. Note: In Scripture, the term brother is applied to a kinsman by blood more remote than a son of the same parents, as in the case of Abraham and Lot, Jacob and Laban. In a more general sense, brother or brethren is used for fellow-man or fellow-men. For of whom such massacre Make they but of their brethren, men of men Milton. Brother Jonathan, a humorous designation for the people of the United States collectively. The phrase is said to have originated from Washington's referring to the patriotic Jonathan Trumbull, governor of Connecticut, as \"Brother Jonathan.\" -- Blood brother. See under Blood.\n\nTo make a brother of; to call or treat as a brother; to admit to a brotherhood. Sir W. Scott.
brother german |A brother by both the father's and mother's side, in contradistinction to a uterine brother, one by the mother only. Bouvier.
brother-in-law |The brother of one's husband or wife; also, the husband of one's sister; sometimes, the husband of one's wife's sister.
brotherhood |1. The state of being brothers or a brother. 2. An association for any purpose, as a society of monks; a fraternity. 3. The whole body of persons engaged in the same business, -- especially those of the same profession; as, the legal or medical brotherhood. 4. Persons, and, poetically, things, of a like kind. A brotherhood of venerable trees. Wordsworth. Syn. -- Fraternity; association; fellowship; sodality.
brotherliness |The state or quality of being brotherly.
brotherly |Of or pertaining to brothers; such as is natural for brothers; becoming to brothers; kind; affectionate; as, brotherly love. Syn. -- Fraternal; kind; affectionate; tender.\n\nLike a brother; affectionately; kindly. \"I speak but brotherly of him.\" Shak.
brouded |Braided; broidered. [Obs.] Alle his clothes brouded up and down. Chaucer.
brougham |A light, close carriage, with seats inside for two or four, and the fore wheels so arranged as to turn short.
brow |1. The prominent ridge over the eye, with the hair that covers it, forming an arch above the orbit. And his arched brow, pulled o'er his eyes, With solemn proof proclaims him wise. Churchill. 2. The hair that covers the brow (ridge over the eyes); the eyebrow. 'T is not your inky brows, your brack silk hair. Shak. 3. The forehead; as, a feverish brow. Beads of sweat have stood upon thy brow. Shak. 4. The general air of the countenance. To whom thus Satan with contemptuous brow. Milton. He told them with a masterly brow. Milton. 5. The edge or projecting upper aprt of a steep place; as, the brow of a precipice; the brow of a hill. To bend the brow, To knit the brows, to frown; to scowl.\n\nTo bound to limit; to be at, or form, the edge of. [R.] Tending my flocks hard by i' the hilly crofts That brow this bottom glade. Milton.
browbeat |To depress or bear down with haughty, stern looks, or with arrogant speech and dogmatic assertions; to abash or disconcert by impudent or abusive words or looks; to bully; as, to browbeat witnesses. My grandfather was not a man to be browbeaten. W. Irving.
browbeating |The act of bearing down, abashing, or disconcerting, with stern looks, suspercilious manners, or confident assertions. The imperious browbeating and scorn of great men. L'Estrange.
browbound |Crowned; having the head encircled as with a diadem. Shak.
browdyng |Embroidery. [Obs.] Of goldsmithrye, of browdying, and of steel. Chaucer.
browed |Having (such) a brow; -- used in composition; as, dark-browed, stern-browed.
browless |Without shame. L. Addison.
brown |Of a dark color, of various shades between black and red or yellow. Cheeks brown as the oak leaves. Longfellow. Brown Bess, the old regulation flintlock smoothbore musket, with bronzed barrel, formerly used in the British army. -- Brown bread (a) Dark colored bread; esp. a kind made of unbolted wheat flour, sometimes called in the United States Graham bread. \"He would mouth with a beggar though she smelt brown bread and garlic.\" Shak. (b) Dark colored bread made of rye meal and Indian meal, or of wheat and rye or Indian; rye and Indian bread. [U.S.] -- Brown coal, wood coal. See Lignite. -- Brown hematite or Brown iron ore (Min.), the hydrous iron oxide, limonite, which has a brown streak. See Limonite. -- Brown holland. See under Holland. -- Brown paper, dark colored paper, esp. coarse wrapping paper, made of unbleached materials. -- Brown spar (Min.), a ferruginous variety of dolomite, in part identical with ankerite. -- Brown stone. See Brownstone. -- Brown stout, a strong kind of proter or malt liquor. -- Brown study, a state of mental abstraction or serious reverie. W. Irving.\n\nA dark color inclining to red or yellow, resulting from the mixture of red and black, or of red, black, and yellow; a tawny, dusky hue.\n\n1. To make brown or dusky. A trembling twilight o'er welkin moves,Browns the dim void and darkens deep the groves. Barlow. 2. To make brown by scorching slightly; as, to brown meat or flour. 3. To give a bright brown color to, as to gun barrels, by forming a thin coat of oxide on their surface. Ure.\n\nTo become brown.
brown bill |A bill or halberd of the 16th and 17th centuries. See 4th Bill. Many time, but for a sallet, my brainpan had been cleft with a brown bill. Shak. Note: The black, or as it is sometimes called, the brown bill, was a kind of halberd, the cutting part hooked like a woodman's bill, from the back of which projected a spike, and another from the head. Grose.
brown race |The Malay or Polynesian race; -- loosely so called.
brown thrush |A common American singing bird (Harporhynchus rufus), allied to the mocking bird; -- also called brown thrasher.
brownian |Pertaining to Dr. Robert Brown, who first demonstrated (about 1827) the commonness of the motion described below. Brownian movement, the peculiar, rapid, vibratory movement exhibited by the microscopic particles of substances when suspended in water or other fluids.
brownie |An imaginary good-natured spirit, who was supposed often to perform important services around the house by night, such as thrashing, churning, sweeping. [Scot.]
browning |1. The act or operation of giving a brown color, as to gun barrels, etc. 2. (Masonry)  A smooth coat of brown mortar, usually the second coat, and the preparation for the finishing coat of plaster.
brownish |Somewhat brown.
brownism |The views or teachings of Robert Brown of the Brownists. Milton.\n\nThe doctrines of the Brunonian system of medicine. See Brunonian.
brownist |A follower of Robert Brown, of England, in the 16th century, who taught that every church is complete and independent in itself when organized, and consists of members meeting in one place, having full power to elect and depose its officers.\n\nOne who advocates the Brunonian system of medicine.
brownness |The quality or state of being brown. Now like I brown (O lovely brown thy hair); Only in brownness beauty dwelleth there. Drayton.
brownstone |A dark variety of sandstone, much used for building purposes.
brownwort |A species of figwort or Scrophularia (S. vernalis), and other species of the same genus, mostly perennials with inconspicuous coarse flowers.
browny |Brown or, somewhat brown. \"Browny locks.\" Shak.
browpost |A beam that goes across a building.
browse |The tender branches or twigs of trees and shrubs, fit for the food of cattle and other animals; green food. Spenser. Sheep, goats, and oxen, and the nobler steed, On browse, and corn, and flowery meadows feed. Dryden.\n\n1. To eat or nibble off, as the tender branches of trees, shrubs, etc.; -- said of cattle, sheep, deer, and some other animals. Yes, like the stag, when snow the plasture sheets, The barks of trees thou browsedst. Shak. 2. To feed on, as pasture; to pasture on; to graze. Fields . . . browsed by deep-uddered kine. Tennyson.\n\n1. To feed on the tender branches or shoots of shrubs or trees, as do cattle, sheep, and deer. 2. To pasture; to feed; to nibble. Shak.
browser |An animal that browses.
browsewood |Srubs and bushes upon which animals browse.
browsing |Browse; also, a place abounding with shrubs where animals may browse. Browsings for the deer. Howell.
browspot |A rounded organ between the eyes of the frog; the interocular gland.
bruang |The Malayan sun bear.
brucine |A poweful vegetable alkaloid, found, associated with strychnine, in the seeds of different species of Strychnos, especially in the Nux vomica. It is less powerful than strychnine. Called also brucia and brucina.
brucite |(a) A white, pearly mineral, occurring thin and foliated, like talc, and also fibrous; a native magnesium hydrate. (b) The mineral chondrodite. [R.]
bruckeled |Wet and dirty; begrimed. [Obs. or Dial.] Herrick.
bruh |The rhesus monkey. See Rhesus.
bruin |A bear; -- so called in popular tales and fables.
bruise |1. To injure, as by a blow or collision, without laceration; to contuse; as, to bruise one's finger with a hammer; to bruise the bark of a tree with a stone; to bruise an apple by letting it fall. 2. To break; as in a mortar; to bray, as minerals, roots, etc.; to crush. Nor bruise her flowerets with the armed hoofs. Shak. Syn. -- To pulverize; bray; triturate; pound; contuse.\n\nTo fight with the fists; to box. Bruising was considered a fine, manly, old English custom. Thackeray.\n\nAn injury to the flesh of animals, or to plants, fruit, etc., with a blunt or heavy instrument, or by collision with some other body; a contusion; as, a bruise on the head; bruises on fruit. From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises. Isa. i. 6.
bruiser |1. One who, or that which, bruises. 2. A boxer; a pugilist. R. Browning. Like a new bruiser on Broughtonic aand, Amid the lists our hero takes his stand. T. Warton. 3. A concave tool used in grinding lenses or the speculums of telescopes. Knight.
bruisewort |A plant supposed to heal bruises, as the true daisy, the soapwort, and the comfrey.
bruit |1. Report; rumor; fame. The bruit thereof will bring you many friends. Shak. 2. [French pron. (Med.)  An abnormal sound of several kinds, heard on auscultation.\n\nTo report; to noise abroad. I find thou art no less than fame hath bruited. Shak.
brumaire |The second month of the calendar adopted by the first French republic. It began thirty days after the autumnal equinox. See Vendemiaire.
brumal |Of or pertaining to winter. \"The brumal solstice.\" Sir T. Browne.
brume |Mist; fog; vapors. \"The drifting brume.\" Longfellow.
brummagem |Counterfeit; gaudy but worthless; sham. [Slang] \"These Brummagem gentry.\" Lady D. Hardy.
brumous |Foggy; misty.
brun |Same as Brun, a brook. [Scot.]
brunette |A girl or woman with a somewhat brown or dark complexion. -- a.  Having a dark tint.
brunion |A nectarine.
brunonian |Pertaining to, or invented by, Brown; -- a term applied to a system of medicine promulgated in the 18th century by John Brown, of Scotland, the fundamental doctrine of which was, that life is a state of excitation produced by the normal action of external agents upon the body, and that disease consists in excess or deficiency of excitation.
brunswick black |See Japan black.
brunswick green |An oxychloride of copper, used as a green pigment; also, a carbonate of copper similarly employed.
brunt |1. The heat, or utmost violence, of an onset; the strength or greatest fury of any contention; as, the brunt of a battle. 2. The force of a blow; shock; collision. \"And heavy brunt of cannon ball.\" Hudibras. It is instantly and irrecoverably scattered by our first brunt with some real affair of common life. I. Taylor.
brush |1. An instrument composed of bristles, or other like material, set in a suitable back or handle, as of wood, bone, or ivory, and used for various purposes, as in removing dust from clothes, laying on colors, etc. Brushes have different shapes and names according to their use; as, clothes brush, paint brush, tooth brush, etc. 2. The bushy tail of a fox. 3. (Zoöl.)  A tuft of hair on the mandibles. 4. Branches of trees lopped off; brushwood. 5. A thicket of shrubs or small trees; the shrubs and small trees in a wood; underbrush. 6. (Elec.)  A bundle of flexible wires or thin plates of metal, used to conduct an electrical current to or from the commutator of a dynamo, electric motor, or similar apparatus. 7. The act of brushing; as, to give one's clothes a brush; a rubbing or grazing with a quick motion; a light touch; as, we got a brush from the wheel as it passed. [As leaves] have with one winter's brush Fell from their boughts. Shak. 8. A skirmish; a slight encounter; a shock or collision; as, to have a brush with an enemy. Let grow thy sinews till their knots be strong, And tempt not yet the brushes of the war. Shak. 9. A short contest, or trial, of speed. Let us enjoy a brush across the country. Cornhill Mag. Electrical brush, a form of the electric discharge characterized by a brushlike appearance of luminous rays diverging from an electrified body.\n\n1. To apply a brush to, according to its particular use; to rub, smooth, clean, paint, etc., with a brush. \"A' brushes his hat o' mornings.\" Shak. 2. To touch in passing, or to pass lightly over, as with a brush. Some spread their sailes, some with strong oars sweep The waters smooth, and brush the buxom wave. Fairfax. Brushed with the kiss of rustling wings. Milton. 3. To remove or gather by brushing, or by an act like that of brushing, or by passing lightly over, as wind; -- commonly with off. As wicked dew as e'er my mother brushed With raven's feather from unwholesome fen. Shak. And from the boughts brush off the evil dew. Milton. To brush aside, to remove from one's way, as with a brush. -- To brush away, to remove, as with a brush or brushing motion. -- To brush up, to paint, or make clean or bright with a brush; to cleanse or improve; to renew. You have commissioned me to paint your shop, and I have done my best to brush you up like your neighbors. Pope.\n\nTo move nimbly in haste; to move so lightly as scarcely to be perceived; as, to brush by. Snatching his hat, he brushed off like the wind. Goldsmith.
brush turkey |A large, edible, gregarious bird of Australia (Talegalla Lathami) of the family Megapodidæ. Also applied to several allied species of New Guinea. Note: The brush turkeys live in the \"brush,\" and construct a common nest by collecting a large heap of decaying vegetable matter, which generates heat sufficient to hatch the numerous eggs (sometimes half a bushel) deposited in it by the females of the flock.
brush wheel |1. A wheel without teeth, used to turn a similar one by the friction of bristles or something brushlike or soft attached to the circumference. 2. A circular revolving brush used by turners, lapidaries, silversmiths, etc., for polishing.
brusher |One who, or that which, brushes.
brushiness |The quality of resembling a brush; brushlike condition; shagginess. Dr. H. More.
brushing |1. Constructed or used to brush with; as a brushing machine. 2. Brisk; light; as, a brushing gallop.
brushite |A white or gray crystalline mineral consisting of the acid phosphate of calcium.
brushwood |1. Brush; a thicket or coppice of small trees and shrubs. 2. Small branches of trees cut off.
brushy |Resembling a brush; shaggy; rough.
brusk |Same as Brusque.
brusque |Rough and prompt in manner; blunt; abrupt; hluff; as, a brusque man; a brusque style.
brusqueness |Quality of being brusque; roughness joined with promptness; blutness. Brit. Quar.
brussels |A city of Belgium, giving its name to a kind of carpet, a kind of lace, etc. Brussels carpet, a kind of carpet made of worsted yarn fixed in a foundation web of strong linen thread. The worsted, which alone shows on the upper surface in drawn up in loops to form the pattern. -- Brussels ground, a name given to the handmade ground of real Brussels lace. It is very costly because of the extreme fineness of the threads. -- Brussels lace, an expensive kind of lace of several varieties, originally made in Brussels; as, Brussels point, Brussels ground, Brussels wire ground. -- Brussels net, an imitation of Brussels ground, made by machinery. -- Brussels point. See Point lace. -- Brussels sprouts (Bot.), a plant of the Cabbage family, which produces, in the axils of the upright stem, numerous small green heads, or \"sprouts,\" each a cabbage in miniature, of one or two inches in diameter; the thousand-headed cabbage. -- Brussels wire ground, a ground for lace, made of silk, with meshes partly straight and partly arched.
brustle |1. To crackle; to rustle, as a silk garment. [Obs.] Gower. 2. To make a show of fireceness or defiance; to bristle. [Obs.] To brustle up, to bristle up. [Obs.] Otway.\n\nA bristle. [Obs. or Prov.] Chaucer.
brut |To browse. [Obs.] Evelyn.\n\nSee Birt.
bruta |See Edentata.
brutal |1. Of or pertaining to a brute; as, brutal nature. \"Above the rest of brutal kind.\" Milton. 2. Like a brute; savage; cruel; inhuman; brutish; unfeeling; merciless; gross; as, brutal manners. \"Brutal intemperance.\" Macaulay.
brutalism |Brutish quality; brutality.
brutality |1. The quality of being brutal; inhumanity; savageness; pitilessness. 2. An inhuman act. The . . . brutalities exercised in war. Brougham.
brutalization |The act or process of making brutal; state of being brutalized.
brutalize |To make brutal; beasty; unfeeling; or inhuman.\n\nTo become brutal, inhuman, barbarous, or coarse and beasty. [R.] He mixed . . . with his countrymen, brutalized with them in their habits and manners. Addison.
brutally |In a brutal manner; cruelly.
brute |1. Not having sensation; senseless; inanimate; unconscious; without intelligence or volition; as, the brute earth; the brute powers of nature. 2. Not possessing reason, irrational; unthinking; as, a brute beast; the brute creation. A creature . . . not prone And brute as other creatures, but endued With sanctity of reason. Milton. 3. Of, pertaining to, or characteristic of, a brute beast. Hence: Brutal; cruel; fierce; ferocious; savage; pitiless; as, brute violence. Macaulay. The influence of capital and mere brute labor. Playfair. 4. Having the physical powers predominating over the mental; coarse; unpolished; unintelligent. A great brute farmer from Liddesdale. Sir W. Scott. 5. Rough; uncivilized; unfeeling. [R.]\n\n1. An animal destitute of human reason; any animal not human; esp. a quadruped; a beast. Brutes may be considered as either aëral, terrestrial, aquatic, or amphibious. Locke. 2. A brutal person; a savage in heart or manners; as unfeeling or coarse person. An ill-natured brute of a husband. Franklin. Syn. -- See Beast.\n\nTo report; to bruit. [Obs.]
brutely |In a rude or violent manner.
bruteness |1. Brutality. [Obs.] Spenser. 2. Insensibility. \"The bruteness of nature.\" Emerson.
brutify |To make like a brute; to make senseless, stupid, or unfeeling; to brutalize. Any man not quite brutified and void of sense. Barrow.
bruting |Browsing. [Obs.] Evelyn.
brutish |Pertaining to, or resembling, a brute or brutes; of a cruel, gross, and stupid nature; coarse; unfeeling; unintelligent. O, let all provocation Take every brutish shape it can devise. Leigh Hunt. Man may . . . render himself brutish, but it is in vain that he would seek to take the rank and density of the brute. I. Taylor. Syn. -- Insensible; stupid; unfeeling; savage; cruel; brutal; barbarous; inhuman; ferocious; gross; carnal; sensual; bestial. -- Bru\"tish*ly, adv. -- Bru\"tish*ness, n.
brutism |The nature or characteristic qualities or actions of a brute; extreme stupidity, or beastly vulgarity.
bryological |Relating to bryology; as, bryological studies.
bryologist |One versed in bryology.
bryology |That part of botany which relates to mosses.
bryonin |A bitter principle obtained from the root of the bryony (Bryonia alba and B. dioica). It is a white, or slightly colored, substance, and is emetic and cathartic.
bryony |The common name of several cucurbitaceous plants of the genus Bryonia. The root of B. alba (rough or white bryony) and of B. dioica is a strong, irritating cathartic. Black bryony, a plant (Tamus communis) so named from its dark glossy leaves and black root; black bindweed.
bryophyta |See Cryptogamia.
bryozoa |A class of Molluscoidea, including minute animals which by budding form compound colonies; -- called also Polyzoa. Note: They are often coralike in form and appearance, each small cell containing an individual zooid. Other species grow in delicate, flexible, branched forms, resembling moss, whence the name. Some are found in fresh water, but most are marine. The three principal divisions are Ectoprocta, Entoprocta, and Pterobranchia. See Cyclostoma, Chilostoma, and Phylactolema.
bryozoan |Of or pertaining to the Bryozoa. -- n.  One of the Bryozoa.
bryozoum |An individual zooid of a bryozoan coralline, of which there may be two or more kinds in a single colony. The zooecia usually have a wreath of tentacles around the mouth, and a well developed stomach and intestinal canal; but these parts are lacking in the other zooids (Avicularia, Ooecia, etc.).
buansuah |The wild dog of northern India (Cuon primævus), supposed by some to be an ancestral species of the domestic dog.
buat |A lantern; also, the moon. [Scot.] Sir W. Scott.
bub |Strong malt liquor. [Cant] Prior.\n\nA young brother; a little boy; -- a familiar term of address of a small boy.\n\nTo throw out in bubbles; to bubble. [Obs.] Sackville.
bubale |A large antelope (Alcelaphus bubalis) of Egypt and the Desert of Sahara, supposed by some to be the fallow deer of the Bible.
bubaline |Resembling a buffalo. Bubaline antelope (Zoöl.), the bubale.
bubble |1. A thin film of liquid inflated with air or gas; as, a soap bubble; bubbles on the surface of a river. Beads of sweat have stood upon thy brow, Like bubbles in a late disturbed stream. Shak. 2. A small quantity of air or gas within a liquid body; as, bubbles rising in champagne or aërated waters. 3. A globule of air, or globular vacuum, in a transparent solid; as, bubbles in window glass, or in a lens. 4. A small, hollow, floating bead or globe, formerly used for testing the strength of spirits. 5. The globule of air in the spirit tube of a level. 6. Anything that wants firmness or solidity; that which is more specious than real; a false show; a cheat or fraud; a delusive scheme; an empty project; a dishonest speculation; as, the South Sea bubble. Then a soldier . . . Seeking the bubble reputation Even in the cannon's mouth. Shak. 7. A person deceived by an empty project; a gull. [Obs.] \"Ganny's a cheat, and I'm a bubble.\" Prior.\n\n1. To rise in bubbles, as liquids when boiling or agitated; to contain bubbles. The milk that bubbled in the pail. Tennyson. 2. To run with a gurdling noise, as if forming bubbles; as, a bubbling stream. Pope. 3. To sing with a gurgling or warbling sound. At mine ear Bubbled the nightingale and heeded not. Tennyson.
bubble shell |A marine univalve shell of the genus Bulla and allied genera, belonging to the Tectibranchiata.
bubbler |To cheat; to deceive. She has bubbled him out of his youth. Addison. The great Locke, who was seldom outwitted by false sounds, was nevertheless bubbled here. Sterne.\n\n1. One who cheats. All the Jews, jobbers, bubblers, subscribers, projectors, etc. Pope. 2. (Zoöl.)  A fish of the Ohio river; -- so called from the noise it makes.
bubbling jock |The male wild turkey, the gobbler; -- so called in allusion to its notes.
bubbly |Abounding in bubbles; bubbling. Nash.
bubby |A woman's breast. [Low]\n\nBub; -- a term of familiar or affectionate address to a small boy.
bubo |An inflammation, with enlargement, of a limphatic gland, esp. in the groin, as in syphilis.
bubonic |Of or pertaining to a bubo or buboes; characterized by buboes.
bubonocele |An inguinal hernia; esp. that incomplete variety in which the hernial pouch descends only as far as the groin, forming a swelling there like a bubo.
bubukle |A red pimple. [R.] Shak.
buccal |Of or pertaining to the mouth or cheeks.
buccan |1.  A wooden frame or grid for roasting, smoking, or drying meat over fire. 2.  A place where meat is smoked. 3.  Buccaned meat.\n\nTo expose (meat) in strips to fire and smoke upon a buccan.
buccaneer |A robber upon the sea; a pirate; -- a term applied especially to the piratical adventurers who made depredations on the Spaniards in America in the 17th and 18th centuries. [Written also bucanier.] Note: Primarily, one who dries and smokes flesh or fish after the manner of the Indians. The name was first given to the French settlers in Hayti or Hispaniola, whose business was to hunt wild cattle and swine.\n\nTo act the part of a buccaneer; to live as a piratical adventurer or sea robber.
buccaneerish |Like a buccaneer; piratical.
buccinal |Shaped or sounding like a trumpet; trumpetlike.
buccinator |A muscle of the cheek; -- so called from its use in blowing wind instruments.
buccinoid |Resembling the genus Buccinum, or pertaining to the Buccinidæ, a family of marine univalve shells. See Whelk, and Prosobranchiata.
