bilaminate |Formed of, or having, two laminæ, or thin plates.
birch |1. A tree of several species, constituting the genus Betula; as, the white or common birch (B. alba) (also called silver birch and lady birch); the dwarf birch (B. glandulosa); the paper or canoe birch (B. papyracea); the yellow birch (B. lutea); the black or cherry birch (B. lenta). 2. The wood or timber of the birch. 3. A birch twig or birch twigs, used for flogging. Note: The twigs of the common European birch (B. alba), being tough and slender, were formerly much used for rods in schools. They were also made into brooms. The threatening twigs of birch. Shak. 4. A birch-bark canoe. Birch of Jamaica, a species (Bursera gummifera) of turpentine tree. -- Birch partridge. (Zoöl.) See Ruffed grouse. -- Birch wine, wine made of the spring sap of the birch. -- Oil of birch. (a) An oil obtained from the bark of the common European birch (Betula alba), and used in the preparation of genuine ( and sometimes of the imitation) Russia leather, to which it gives its peculiar odor. (b) An oil prepared from the black birch (B. lenta), said to be identical with the oil of wintergreen, for which it is largely sold.\n\nOf or pertaining to the birch; birchen.\n\nTo whip with a birch rod or twig; to flog.
birchen |Of or relating to birch. He passed where Newark's stately tower Looks out from Yarrow's birchen bower. Sir W. Scott.
bird |1. Orig., a chicken; the young of a fowl; a young eaglet; a nestling; and hence, a feathered flying animal (see 2). That ungentle gull, the cuckoo's bird. Shak. The brydds [birds] of the aier have nestes. Tyndale (Matt. viii. 20). 2. (Zoöl.)  A warm-blooded, feathered vertebrate provided with wings. See Aves. 3. Specifically, among sportsmen, a game bird. 4. Fig.: A girl; a maiden. And by my word! the bonny bird In danger shall not tarry. Campbell. Arabian bird, the phenix. -- Bird of Jove, the eagle. -- Bird of Juno, the peacock. -- Bird louse (Zoöl.), a wingless insect of the group Mallophaga, of which the genera and species are very numerous and mostly parasitic upon birds. -- Bird mite (Zoöl.), a small mite (genera Dermanyssus, Dermaleichus and allies) parasitic upon birds. The species are numerous. -- Bird of passage, a migratory bird. -- Bird spider (Zoöl.), a very large South American spider (Mygale avicularia). It is said sometimes to capture and kill small birds. -- Bird tick (Zoöl.), a dipterous insect parasitic upon birds (genus Ornithomyia, and allies), usually winged.\n\n1. To catch or shoot birds. 2. Hence: To seek for game or plunder; to thieve. [R.] B. Jonson.
bird cage |A cage for confining birds.
bird cherry |A shrub (Prunus Padus ) found in Northern and Central Europe. It bears small black cherries.
bird fancier |1. One who takes pleasure in rearing or collecting rare or curious birds. 2. One who has for sale the various kinds of birds which are kept in cages.
bird of paradise |The name of several very beautiful birds of the genus Paradisea and allied genera, inhabiting New Guinea and the adjacent islands. The males have brilliant colors, elegant plumes, and often remarkable tail feathers. Note: The Great emerald (Paradisea apoda) and the Lesser emerald (P. minor) furnish many of the plumes used as ornaments by ladies; the Red is P. rubra or sanguinea; the Golden is Parotia aurea or sexsetacea; the King is Cincinnurus regius. The name is also applied to the longer-billed birds of another related group (Epimachinæ) from the same region. The Twelve-wired (Seleucides alba) is one of these. See Paradise bird, and Note under Apod.
bird pepper |A species of capsicum (Capsicum baccatum), whose small, conical, coral-red fruit is among the most piquant of all red peppers. BIRD'S-BEAK Bird's\"-beak`, n. (Arch.)  A molding whose section is thought to resemble a beak.
bird-eyed |Quick-sighted; catching a glance as one goes.
bird-witted |Flighty; passing rapidly from one subject to another; not having the faculty of attention. Bacon.
birdbolt |A short blunt arrow for killing birds without piercing them. Hence: Anything which smites without penetrating. Shak.
birdcage |A cage for confining birds.
birdcall |1. A sound made in imitation of the note or cry of a bird for the purpose of decoying the bird or its mate. 2. An instrument of any kind, as a whistle, used in making the sound of a birdcall.
birdcatcher |One whose employment it is to catch birds; a fowler.
birdcatching |The art, act, or occupation or catching birds or wild fowls.
birder |A birdcatcher.
birdie |A pretty or dear little bird; -- a pet name. Tennyson.
birdikin |A young bird. Thackeray.
birding |Birdcatching or fowling. Shak. Birding piece, a fowling piece. Shak.
birdlet |A little bird; a nestling.
birdlike |Resembling a bird.
birdlime |An extremely adhesive viscid substance, usually made of the middle bark of the holly, by boiling, fermenting, and cleansing it. When a twig is smeared with this substance it will hold small birds which may light upon it. Hence: Anything which insnares. Not birdlime or Idean pitch produce A more tenacious mass of clammy juice. Dryden. Note: Birdlime is also made from mistletoe, elder, etc.\n\no smear with birdlime; to catch with birdlime; to insnare. When the heart is thus birdlimed, then it cleaves to everything it meets with. Coodwin.
birdling |A little bird; a nestling.
birdman |A fowler or birdcatcher.
birdseed |Canary seed, hemp, millet or other small seeds used for feeding caged birds. BIRD'S-EYE Bird's\"-eye`, a. 1. Seen from above, as if by a flying bird; embraced at a glance; hence, generalas, a bird's-eye view. 2. Marked with spots resembling bird's eyes; as, bird's-eye diaper; bird's-eye maple. BIRD'S-EYE Bird's\"-eye`, n. (Bot.)  A plant with a small bright flower, as the Adonis or pheasant's eye, the mealy primrose (Primula farinosa), and species of Veronica, Geranium, etc. BIRD'S-EYE MAPLE Bird's\"-eye` ma\"ple.  See under Maple. BIRD'S-FOOT Bird's\"-foot`, n. (Bot.)  A papilionaceous plant, the Ornithopus, having a curved, cylindrical pod tipped with a short, clawlike point. Bird's-foot trefoil. (Bot.) (a) A genus of plants (Lotus) with clawlike pods. L. corniculatas, with yellow flowers, is very common in Great Britain. (b) the related plant, Trigonella ornithopodioides, is also European. BIRD'S-MOUTH Bird's-mouth`, n. (Arch.)  An interior acrow's-foot in the United States. BIRD'S NEST; BIRD'S-NEST Bird's\" nest`, or Bird's-nest, n. 1. The nest in which a bird lays eggs and hatches her young. 2. (Cookery)  The nest of a small swallow (Collocalia nidifica and several allied species), of China and the neighboring countries, which is mixed with soups. Note: The nests are found in caverns and fissures of cliffs on rocky coasts, and are composed in part of algæ. They are of the size of a goose egg, and in substance resemble isinglass. See Illust. under Edible. 3. (Bot.)  An orchideous plant with matted roots, of the genus Neottia (N. nidus-avis.) Bird's-nest pudding, a pudding containing apples whose cores have been replaces by sugar. -- Yellow bird's nest, a plant, the Monotropa hypopitys. BIRD'S-NESTING Bird's-nest`ing, n.  Hunting for, or taking, birds' nests or their contents. BIRD'S-TONGUE Bird's\"-tongue`, n. (Bot.)  The knotgrass (Polygonum aviculare).
birdwoman |An airwoman; an aviatress. [Colloq.]
birectangular |Containing or having two right angles; as, a birectangular spherical triangle.
bireme |An ancient galley or vessel with two banks or tiers of oars.
biretta |Same as Berretta.
birgander |See Bergander.
birk |A birch tree. [Prov. Eng.] \"The silver birk.\" Tennyson.\n\nA small European minnow (Leuciscus phoxinus).
birken |To whip with a birch or rod. [Obs.]\n\nBirchen; as, birken groves. Burns.
birkie |A lively or mettlesome fellow. [Jocular, Scot.] Burns.
birl |To revolve or cause to revolve; to spin. [Scot.] Sir W. Scott.\n\nTo pour (beer or wine); to ply with drink; to drink; to carouse. [Obs. or Dial.] Skelton.
birlaw |A law made by husbandmen respecting rural affairs; a rustic or local law or by-law. [Written also byrlaw, birlie, birley.]
birostrate |Having a double beak, or two processes resembling beaks. The capsule is bilocular and birostrated. Ed. Encyc.
birostrated |Having a double beak, or two processes resembling beaks. The capsule is bilocular and birostrated. Ed. Encyc.
birr |To make, or move with, a whirring noise, as of wheels in motion.\n\n1. A whirring sound, as of a spinning wheel. 2. A rush or impetus; force.
birrus |A coarse kind of thick woolen cloth, worn by the poor in the Middle Ages; also, a woolen cap or hood worn over the shoulders or over the head.
birse |A bristle or bristles. [Scot.]
birt |A fish of the turbot kind; the brill. [Written also burt, bret, or brut.] [Prov. Eng.]
birth |1. The act or fact of coming into life, or of being born; -- generally applied to human beings; as, the birth of a son. 2. Lineage; extraction; descent; sometimes, high birth; noble extraction. Elected without reference to birth, but solely for qualifications. Prescott. 3. The condition to which a person is born; natural state or position; inherited disposition or tendency. A foe by birth to Troy's unhappy name. Dryden. 4. The act of bringing forth; as, she had two children at a birth. \"At her next birth.\" Milton. 5. That which is born; that which is produced, whether animal or vegetable. Poets are far rarer births that kings. B. Jonson. Others hatch their eggs and tend the birth till it is able to shift for itself. Addison. 6. Origin; beginning; as, the birth of an empire. New birth (Theol.), regeneration, or the commencement of a religious life. Syn. -- Parentage; extraction; lineage; race; family.\n\nSee Berth. [Obs.] De Foe.
birthday |1. The day in which any person is born; day of origin or commencement. Those barbarous ages past, succeeded next The birthday of invention. Cowper. 2. The day of the month in which a person was born, in whatever succeeding year it may recur; the anniversary of one's birth. This is my birthday; as this very day Was Cassius born. Shak.\n\nOf or pertaining to the day of birth, or its anniversary; as, birthday gifts or festivities.
birthdom |The land of one's birth; one's inheritance. [R.] Shak.
birthing |Anything added to raise the sides of a ship. Bailey.
birthless |Of mean extraction. [R.] Sir W. Scott.
birthmark |Some peculiar mark or blemish on the body at birth. Most part of this noble lineage carried upon their body for a natural birthmark, . . . a snake. Sir T. North.
birthnight |The night in which a person is born; the anniversary of that night in succeeding years. The angelic song in Bethlehem field, On thy birthnight, that sung thee Savior born. Milton.
birthplace |The town, city, or country, where a person is born; place of origin or birth, in its more general sense. \"The birthplace of valor.\" Burns.
birthright |Any right, privilege, or possession to which a person is entitled by birth, such as an estate descendible by law to an heir, or civil liberty under a free constitution; esp. the rights or inheritance of the first born. Lest there be any . . . profane person, as Esau, who for one morsel of meat sold his birthright. Heb. xii. 16.
birthroot |An herbaceous plant (Trillium erectum), and its astringent rootstock, which is said to have medicinal properties.
birthwort |A genus of herbs and shrubs (Aristolochia), reputed to have medicinal properties.
bis |Twice; -- a word showing that something is, or is to be, repeated; as a passage of music, or an item in accounts.\n\nA form of Bi-, sometimes used before s, c, or a vowel.
bis- |A form of Bi-, sometimes used before s, c, or a vowel.
bisa antelope |See Oryx.
bisaccate |Having two little bags, sacs, or pouches.
biscayan |Of or pertaining to Biscay in Spain. -- n.  A native or inhabitant of Biscay.
biscotin |A confection made of flour, sugar, marmalade, and eggs; a sweet biscuit.
biscuit |1. A kind of unraised bread, of many varieties, plain, sweet, or fancy, formed into flat cakes, and bakes hard; as, ship biscuit. According to military practice, the bread or biscuit of the Romans was twice prepared in the oven. Gibbon. 2. A small loaf or cake of bread, raised and shortened, or made light with soda or baking powder. Usually a number are baked in the same pan, forming a sheet or card. 3. Earthen ware or porcelain which has undergone the first baking, before it is subjected to the glazing. 4. (Sculp.)  A species of white, unglazed porcelain, in which vases, figures, and groups are formed in miniature. Meat biscuit, an alimentary preparation consisting of matters extracted from meat by boiling, or of meat ground fine and combined with flour, so as to form biscuits.
biscutate |Resembling two bucklers placed side by side.
bise |A pale blue pigment, prepared from the native blue carbonate of copper, or from smalt; -- called also blue bice. Green bice is prepared from the blue, by adding yellow orpiment, or by grinding down the green carbonate of copper. Cooley. Brande & C.\n\nA cold north wind which prevails on the northern coasts of the Mediterranean and in Switzerland, etc.; -- nearly the same as the mistral.\n\nSee Bice.
bisect |1. To cut or divide into two parts. 2. (Geom.)  To divide into two equal parts.
bisection |Division into two parts, esp. two equal parts.
bisector |One who, or that which, bisects; esp. (Geom.) a straight line which bisects an angle.
bisectrix |The line bisecting the angle between the optic axes of a biaxial crystal.
bisegment |One of tow equal parts of a line, or other magnitude.
biseptate |With two partitions or septa. Gray.
biserial |In two rows or series.
biseriate |In two rows or series.
biserrate |1. (Bot.)  Doubly serrate, or having the serratures serrate, as in some leaves. 2. (Zoöl.)  Serrate on both sides, as some antennæ.
bisetose |Having two bristles.
bisetous |Having two bristles.
bisexous |Bisexual. [Obs.] Sir T. Browne.
bisexual |Of both sexes; hermaphrodite; as a flower with stamens and pistil, or an animal having ovaries and testes.
bisexuous |Bisexual.
biseye |of Besee. [Obs.] Chaucer. Evil biseye, ill looking. [Obs.]
bish |Same as Bikh.
bishop |1. A spiritual overseer, superintendent, or director. Ye were as sheep going astray; but are now returned unto the Shepherd and Bishop of your souls. 1 Pet. ii. 25. It is a fact now generally recognized by theologians of all shades of opinion, that in the language of the New Testament the same officer in the church is called indifferently \"bishop\" ( J. B. Lightfoot. 2. In the Roman Catholic, Greek, and Anglican or Protestant Episcopal churches, one ordained to the highest order of the ministry, superior to the priesthood, and generally claiming to be a successor of the Apostles. The bishop is usually the spiritual head or ruler of a diocese, bishopric, or see. Bishop in partibus [infidelium] (R. C. Ch.), a bishop of a see which does not actually exist; one who has the office of bishop, without especial jurisdiction. Shipley. -- Titular bishop (R. C. Ch.), a term officially substituted in 1882 for bishop in partibus. -- Bench of Bishops. See under Bench. 3. In the Methodist Episcopal and some other churches, one of the highest church officers or superintendents. 4. A piece used in the game of chess, bearing a representation of a bishop's miter; -- formerly called archer. 5. A beverage, being a mixture of wine, oranges or lemons, and sugar. Swift. 6. An old name for a woman's bustle. [U. S.] If, by her bishop, or her \"grace\" alone, A genuine lady, or a church, is known. Saxe.\n\nTo admit into the church by confirmation; to confirm; hence, to receive formally to favor.\n\nTo make seem younger, by operating on the teeth; as, to bishop an old horse or his teeth. Note: The plan adopted is to cut off all the nippers with a saw to the proper length, and then with a cutting instrument the operator scoops out an oval cavity in the corner nippers, which is afterwards burnt with a hot iron until it is black. J. H. Walsh.
bishop sleeve |A wide sleeve, once worn by women. BISHOP'S LENGTH Bish\"op's length`.  A canvas for a portrait measuring 58 by 94 inches. The half bishop measures 45 of 56.
bishop-stool |A bishop's seat or see. BISHOP'S-WEED Bish\"op's-weed`, n. (Bot.) (a) An umbelliferous plant of the genus Ammi. (b) Goutweed (Ægopodium podagraria). BISHOP'S-WORT Bish\"op's-wort`, n. (Bot.)  Wood betony (Stachys betonica); also, the plant called fennel flower (Nigella Damascena), or devil-in-a-bush.
bishopdom |Jurisdiction of a bishop; episcopate. \"Divine right of bishopdom.\" Milton.
bishoplike |Resembling a bishop; belonging to a bishop. Fulke.
bishoply |Bishoplike; episcopal. [Obs.]\n\nIn the manner of a bishop. [Obs.]
bishopric |1. A diocese; the district over which the jurisdiction of a bishop extends. 2. The office of a spiritual overseer, as of an apostle, bishop, or presbyter. Acts i. 20. BISHOP'S CAP Bish\"op's cap`. (Bot.)  A plant of the genus Mitella; miterwort. Longfellow.
bisie |To busy; to employ. [Obs.]
bisilicate |A salt of metasilicic acid; -- so called because the ratio of the oxygen of the silica to the oxygen of the base is as two to one. The bisilicates include many of the most common and important minerals.
bisk |Soup or broth made by boiling several sorts of flesh together. King.\n\nSee Bisque.
biskara boil |Same as Aleppo boil.
biskara button |Same as Aleppo boil.
bismare |Shame; abuse. [Obs.] Chaucer.
bismer |Shame; abuse. [Obs.] Chaucer.\n\n1. A rule steelyard. [Scot.] 2. (Zoöl.)  The fifteen-spined (Gasterosteus spinachia).
bismillah |An adjuration or exclamation common among the Mohammedans. [Written also Bizmillah.]
bismite |Bismuth trioxide, or bismuth ocher.
bismuth |One of the elements; a metal of a reddish white color, crystallizing in rhombohedrons. It is somewhat harder than lead, and rather brittle; masses show broad cleavage surfaces when broken across. It melts at 507º Fahr., being easily fused in the flame of a candle. It is found in a native state, and as a constituent of some minerals. Specific gravity 9.8. Atomic weight 207.5. Symbol Bi. Note: Chemically, bismuth (with arsenic and antimony is intermediate between the metals and nonmetals; it is used in thermo-electric piles, and as an alloy with lead and tin in the fusible alloy or metal. Bismuth is the most diamagnetic substance known. Bismuth glance, bismuth sulphide; bismuthinite. -- Bismuth ocher, a native bismuth oxide; bismite.
bismuthal |Containing bismuth.
bismuthic |Of or pertaining to bismuth; containing bismuth, when this element has its higher valence; as, bismuthic oxide.
bismuthiferous |Containing bismuth.
bismuthine |Native bismuth sulphide; -- sometimes called bismuthite.
bismuthinite |Native bismuth sulphide; -- sometimes called bismuthite.
bismuthous |Of, or containing, bismuth, when this element has its lower valence.
bismuthyl |Hydrous carbonate of bismuth, an earthy mineral of a dull white or yellowish color. [Written also bismuthite.]
bison |(a) The aurochs or European bison. (b) The American bison buffalo (Bison Americanus), a large, gregarious bovine quadruped with shaggy mane and short black horns, which formerly roamed in herds over most of the temperate portion of North America, but is now restricted to very limited districts in the region of the Rocky Mountains, and is rapidly decreasing in numbers.
bispinose |Having two spines.
bisque |Unglazed white porcelain.\n\nA point taken by the receiver of odds in the game of tennis; also, an extra innings allowed to a weaker player in croquet.\n\nA white soup made of crayfish.
bissell truck |A truck for railroad rolling stock, consisting of two ordinary axle boxes sliding in guides attached to a triangular frame; -- called also pony truck.
bissextile |Leap year; every fourth year, in which a day is added to the month of February on account of the excess of the tropical year (365 d. 5 h. 48 m. 46 s.) above 365 days. But one day added every four years is equivalent to six hours each year, which is 11 m. 14 s. more than the excess of the real year. Hence, it is necessary to suppress the bissextile day at the end of every century which is not divisible by 400, while it is retained at the end of those which are divisible by 400.\n\nPertaining to leap year.
bisson |Purblind; blinding. [Obs.] \"Bisson rheum.\" Shak.
bister |A dark brown pigment extracted from the soot of wood.
bistipuled |Having two stipules.
bistort |An herbaceous plant of the genus Polygonum, section Bistorta; snakeweed; adderwort. Its root is used in medicine as an astringent.
bistoury |A surgical instrument consisting of a slender knife, either straight or curved, generally used by introducing it beneath the part to be divided, and cutting towards the surface.
bistre |A dark brown pigment extracted from the soot of wood.\n\nSee Bister.
bisulcate |1. Having two grooves or furrows. 2. (Zoöl.)  Cloven; said of a foot or hoof.
bisulcous |Bisulcate. Sir T. Browne.
bisulphate |A sulphate in which but half the hydrogen of the acid is replaced by a positive element or radical, thus making the proportion of the acid to the positive or basic portion twice what it is in the normal sulphates; an acid sulphate.
bisulphide |A sulphide having two atoms of sulphur in the molecule; a disulphide, as in iron pyrites, FeS2; -- less frequently called bisulphuret.
bisulphite |A salt of sulphurous acid in which the base replaces but half the hydrogen of the acid; an acid sulphite.
bisulphuret |See Bisulphide.
bit |1. The part of a bridle, usually of iron, which is inserted in the mouth of a horse, and having appendages to which the reins are fastened. Shak. The foamy bridle with the bit of gold. Chaucer. 2. Fig.: Anything which curbs or restrains.\n\nTo put a bridle upon; to put the bit in the mouth of.\n\nimp. & p. p. of Bite.\n\n1. A part of anything, such as may be bitten off or taken into the mouth; a morsel; a bite. Hence: A small piece of anything; a little; a mite. 2. Somewhat; something, but not very great. My young companion was a bit of a poet. T. Hook. Note: This word is used, also, like jot and whit, to express the smallest degree; as, he is not a bit wiser. 3. A tool for boring, of various forms and sizes, usually turned by means of a brace or bitstock. See Bitstock. 4. The part of a key which enters the lock and acts upon the bolt and tumblers. Knight. 5. The cutting iron of a plane. Knight. 6. In the Southern and Southwestern States, a small silver coin (as the real) formerly current; commonly, one worth about 12 1\/2 cents; also, the sum of 12 1\/2 cents. Bit my bit, piecemeal. Pope.\n\nof Bid, for biddeth. [Obs.] Chaucer.
bitake |To commend; to commit. [Obs.] Chaucer.
bitangent |Possessing the property of touching at two points. -- n.  A line that touches a curve in two points.
bitartrate |A salt of tartaric acid in which the base replaces but half the acid hydrogen; an acid tartrate, as cream of tartar.
bitch |1. The female of the canine kind, as of the dog, wolf, and fox. 2. An opprobrious name for a woman, especially a lewd woman. Pope.
bite |1. To seize with the teeth, so that they enter or nip the thing seized; to lacerate, crush, or wound with the teeth; as, to bite an apple; to bite a crust; the dog bit a man. Such smiling rogues as these, Like rats, oft bite the holy cords atwain. Shak. 2. To puncture, abrade, or sting with an organ (of some insects) used in taking food. 3. To cause sharp pain, or smarting, to; to hurt or injure, in a literal or a figurative sense; as, pepper bites the mouth. \"Frosts do bite the meads.\" Shak. 4. To cheat; to trick; to take in. [Colloq.] Pope. 5. To take hold of; to hold fast; to adhere to; as, the anchor bites the ground. The last screw of the rack having been turned so often that its purchase crumbled, . . . it turned and turned with nothing to bite. Dickens. To bite the dust, To bite the ground, to fall in the agonies of death; as, he made his enemy bite the dust. -- To bite in (Etching), to corrode or eat into metallic plates by means of an acid. -- To bite the thumb at (any one), formerly a mark of contempt, designed to provoke a quarrel; to defy. \"Do you bite your thumb at us \" Shak. -- To bite the tongue, to keep silence. Shak.\n\n1. To seize something forcibly with the teeth; to wound with the teeth; to have the habit of so doing; as, does the dog bite 2. To cause a smarting sensation; to have a property which causes such a sensation; to be pungent; as, it bites like pepper or mustard. 3. To cause sharp pain; to produce anguish; to hurt or injure; to have the property of so doing. At the last it [wine] biteth like serpent, and stingeth like an adder. Prov. xxiii. 32. 4. To take a bait into the mouth, as a fish does; hence, to take a tempting offer. 5. To take or keep a firm hold; as, the anchor bites.\n\n1. The act of seizing with the teeth or mouth; the act of wounding or separating with the teeth or mouth; a seizure with the teeth or mouth, as of a bait; as, to give anything a hard bite. I have known a very good fisher angle diligently four or six hours for a river carp, and not have a bite. Walton. 2. The act of puncturing or abrading with an organ for taking food, as is done by some insects. 3. The wound made by biting; as, the pain of a dog's or snake's bite; the bite of a mosquito. 4. A morsel; as much as is taken at once by biting. 5. The hold which the short end of a lever has upon the thing to be lifted, or the hold which one part of a machine has upon another. 6. A cheat; a trick; a fraud. [Colloq.] The baser methods of getting money by fraud and bite, by deceiving and overreaching. Humorist. 7. A sharper; one who cheats. [Slang] Johnson. 8. (Print.)  A blank on the edge or corner of a page, owing to a portion of the frisket, or something else, intervening between the type and paper.
biter |1. One who, or that which, bites; that which bites often, or is inclined to bite, as a dog or fish. \"Great barkers are no biters.\" Camden. 2. One who cheats; a sharper. [Colloq.] Spectator.
biternate |Doubly ternate, as when a petiole has three ternate leaflets. -- Bi*ter\"nate*ly, adv. Gray.
bitheism |Belief in the existence of two gods; dualism.
biting |That bites; sharp; cutting; sarcastic; caustic. \"A biting affliction.\" \"A biting jest.\" Shak.
biting in |The process of corroding or eating into metallic plates, by means of an acid. See Etch. G. Francis.
bitingly |In a biting manner.
bitless |Not having a bit or bridle.
bito |A small scrubby tree (Balanites Ægyptiaca) growing in dry regions of tropical Africa and Asia. The hard yellowish white wood is made into plows in Abyssinia; the bark is used in Farther India to stupefy fish; the ripe fruit is edible, when green it is an anthelmintic; the fermented juice is used as a beverage; the seeds yield a medicinal oil called zachun. The African name of the tree is hajilij.
bito tree |A small scrubby tree (Balanites Ægyptiaca) growing in dry regions of tropical Africa and Asia. The hard yellowish white wood is made into plows in Abyssinia; the bark is used in Farther India to stupefy fish; the ripe fruit is edible, when green it is an anthelmintic; the fermented juice is used as a beverage; the seeds yield a medicinal oil called zachun. The African name of the tree is hajilij.
bitstock |A stock or handle for holding and rotating a bit; a brace.
bitt |See Bitts.\n\nTo put round the bitts; as, to bitt the cable, in order to fasten it or to slacken it gradually, which is called veering away. Totten.
bittacle |A binnacle. [Obs.]
bitten |of Bite.\n\nTerminating abruptly, as if bitten off; premorse.
bitter |AA turn of the cable which is round the bitts. Bitter end, that part of a cable which is abaft the bitts, and so within board, when the ship rides at anchor.\n\n1. Having a peculiar, acrid, biting taste, like that of wormwood or an infusion of hops; as, a bitter medicine; bitter as aloes. 2. Causing pain or smart; piercing; painful; sharp; severe; as, a bitter cold day. 3. Causing, or fitted to cause, pain or distress to the mind; calamitous; poignant. It is an evil thing and bitter, that thou hast forsaken the Lord thy God. Jer. ii. 19. 4. Characterized by sharpness, severity, or cruelty; harsh; stern; virulent; as, bitter reproach. Husbands, love your wives, and be not bitter against them. Col. iii. 19. 5. Mournful; sad; distressing; painful; pitiable. The Egyptians . . . made their lives bitter with hard bondage. Ex. i. 14. Bitter apple, Bitter cucumber, Bitter gourd. (Bot.) See Colocynth. -- Bitter cress (Bot.), a plant of the genus Cardamine, esp. C. amara. -- Bitter earth (Min.), tale earth; calcined magnesia. -- Bitter principles (Chem.), a class of substances, extracted from vegetable products, having strong bitter taste but with no sharply defined chemical characteristics. -- Bitter salt, Epsom salts;; magnesium sulphate. -- Bitter vetch (Bot.), a name given to two European leguminous herbs, Vicia Orobus and Ervum Ervilia. -- To the bitter end, to the last extremity, however calamitous. Syn. -- Acrid; sharp; harsh; pungent; stinging; cutting; severe; acrimonious.\n\nAny substance that is bitter. See Bitters.\n\nTo make bitter. Wolcott.
bitter spar |A common name of dolomite; -- so called because it contains magnesia, the soluble salts of which are bitter. See Dolomite.
bitterbump |the butterbump or bittern.
bitterful |Full of bitterness. [Obs.]
bittering |A bitter compound used in adulterating beer; bittern.
bitterish |Somewhat bitter. Goldsmith.
bitterling |A roachlike European fish (Rhodima amarus).
bitterly |In a bitter manner.
bittern |A wading bird of the genus Botaurus, allied to the herons, of various species. Note: The common European bittern is Botaurus stellaris. It makes, during the brooding season, a noise called by Dryden bumping, and by Goldsmith booming. The American bittern is B. lentiginosus, and is also called stake-driver and meadow hen. See Stake-driver. Note: The name is applied to other related birds, as the least bittern (Ardetta exilis), and the sun bittern.\n\n1. The brine which remains in salt works after the salt is concreted, having a bitter taste from the chloride of magnesium which it contains. 2. A very bitter compound of quassia, cocculus Indicus, etc., used by fraudulent brewers in adulterating beer. Cooley.
bitterness |1. The quality or state of being bitter, sharp, or acrid, in either a literal or figurative sense; implacableness; resentfulness; severity; keenness of reproach or sarcasm; deep distress, grief, or vexation of mind. The lip that curls with bitterness. Percival. I will complain in the bitterness of my soul. Job vii. 11. 2. A state of extreme impiety or enmity to God. Thou art in the gall of bitterness, and in the bond of iniquity. Acts viii. 23. 3. Dangerous error, or schism, tending to draw persons to apostasy. Looking diligently, . . . lest any root of bitterness springing up trouble you. Heb. xii. 15.
bitternut |The swamp hickory (Carya amara). Its thin-shelled nuts are bitter.
bitterroot |A plant (Lewisia rediviva) allied to the purslane, but with fleshy, farinaceous roots, growing in the mountains of Idaho, Montana, etc. It gives the name to the Bitter Root mountains and river. The Indians call both the plant and the river Spæt'lum.
bitters |A liquor, generally spirituous in which a bitter herb, leaf, or root is steeped.
bittersweet |Sweet and then bitter or bitter and then sweet; esp. sweet with a bitter after taste; hence (Fig.), pleasant but painful.\n\n1. Anything which is bittersweet. 2. A kind of apple so called. Gower. 3. (Bot.) (a) A climbing shrub, with oval coral-red berries (Solanum dulcamara); woody nightshade. The whole plant is poisonous, and has a taste at first sweetish and then bitter. The branches are the officinal dulcamara. (b) An American woody climber (Celastrus scandens), whose yellow capsules open late in autumn, and disclose the red aril which covers the seeds; -- also called Roxbury waxwork.
bitterweed |A species of Ambrosia (A. artemisiæfolia); Roman worm wood. Gray.
bitterwood |A West Indian tree (Picræna excelsa) from the wood of which the bitter drug Jamaica quassia is obtained.
bitterwort |The yellow gentian (Gentiana lutea), which has a very bitter taste.
bittock |A small bit of anything, of indefinite size or quantity; a short distance. [Scot.] Sir W. Scott.
bittor |The bittern. Dryden.
bittour |The bittern. Dryden.
bitts |A frame of two strong timbers fixed perpendicularly in the fore part of a ship, on which to fasten the cables as the ship rides at anchor, or in warping. Other bitts are used for belaying (belaying bitts), for sustaining the windlass (carrick bitts, winch bitts, or windlass bitts), to hold the pawls of the windlass (pawl bitts) etc.
bitume |Bitumen. [Poetic] May.
bitumed |Smeared with bitumen. [R.] \"The hatches caulked and bitumed.\" Shak.
bitumen |1. Mineral pitch; a black, tarry substance, burning with a bright flame; Jew's pitch. It occurs as an abundant natural product in many places, as on the shores of the Dead and Caspian Seas. It is used in cements, in the construction of pavements, etc. See Asphalt. 2. By extension, any one of the natural hydrocarbons, including the hard, solid, brittle varieties called asphalt, the semisolid maltha and mineral tars, the oily petroleums, and even the light, volatile naphthas.
bitumen process |Any process in which  advantage is taken of the fact that prepared bitumen is rendered insoluble by exposure to light, as in photolithography.
bituminate |To treat or impregnate with bitumen; to cement with bitumen. \"Bituminated walls of Babylon.\" Feltham.
bituminiferous |Producing bitumen. Kirwan.
bituminization |The process of bituminizing. Mantell.
bituminize |To prepare, treat, impregnate, or coat with bitumen.
bituminous |Having the qualities of bitumen; compounded with bitumen; containing bitumen. Near that bituminous lake where Sodom flamed. Milton. Bituminous coal, a kind of coal which yields, when heated, a considerable amount of volatile bituminous matter. It burns with a yellow smoky flame. -- Bituminous limestone, a mineral of a brown or black color, emitting an unpleasant smell when rubbed. That of Dalmatia is so charged with bitumen that it may be cut like soap. -- Bituminous shale, an argillaceous shale impregnated with bitumen, often accompanying coal.
biuret |A white, crystalline, nitrogenous substance, C2O2N3H5, formed by heating urea. It is intermediate between urea and cyanuric acid.
bivalency |The quality of being bivalent.
bivalent |Equivalent in combining or displacing power to two atoms of hydrogen; dyad.
