theogonic |Of or relating to theogony.
thicken |To make thick (in any sense of the word). Specifically: -- (a) To render dense; to inspissate; as, to thicken paint. (b) To make close; to fill up interstices in; as, to thicken cloth; to thicken ranks of trees or men. (c) To strengthen; to confirm. [Obs.] And this may to thicken other proofs. Shak. (d) To make more frequent; as, to thicken blows.\n\nTo become thick. \"Thy luster thickens when he shines by.\" Shak. The press of people thickens to the court. Dryden. The combat thickens, like the storm that flies. Dryden.
thickening |Something put into a liquid or mass to make it thicker.
thicket |A wood or a collection of trees, shrubs, etc., closely set; as, a ram caught in a thicket. Gen. xxii. 13.
thickhead |1. A thick-headed or stupid person. [Colloq.] 2. (Zoöl.)  Any one of several species of Australian singing birds of the genus Pachycephala. The males of some of the species are bright- colored. Some of the species are popularly called thrushes.
thickish |Somewhat thick.
thickly |In a thick manner; deeply; closely.
thickness |The quality or state of being thick (in any of the senses of the adjective).
thickset |1. Close planted; as, a thickset wood; a thickset hedge. Dryden. 2. Having a short, thick body; stout.\n\n1. A close or thick hedge. 2. A stout, twilled cotton cloth; a fustian corduroy, or velveteen. McElrath.
thickskin |A coarse, gross person; a person void of sensibility or sinsitiveness; a dullard.
thickskull |A dullard, or dull person; a blockhead; a numskull. Entick.
thider |Thither. [Obs.] Chaucer.
thiderward |Thitherward. [Obs.]
thief |1. One who steals; one who commits theft or larceny. See Theft. There came a privy thief, men clepeth death. Chaucer. Where thieves break through and steal. Matt. vi. 19. 2. A waster in the snuff of a candle. Bp. Hall. Thief catcher. Same as Thief taker. -- Thief leader, one who leads or takes away a thief. L'Estrange. -- Thief taker, one whose business is to find and capture thieves and bring them to justice. -- Thief tube, a tube for withdrawing a sample of a liquid from a cask. -- Thieves' vinegar, a kind of aromatic vinegar for the sick room, taking its name from the story that thieves, by using it, were enabled to plunder, with impunity to health, in the great plague at London. [Eng.] Syn. -- Robber; pilferer. -- Thief, Robber. A thief takes our property by stealth; a robber attacks us openly, and strips us by main force. Take heed, have open eye, for thieves do foot by night. Shak. Some roving robber calling to his fellows. Milton.
thiefly |Like a thief; thievish; thievishly. [Obs.] Chaucer.
thienone |A ketone derivative of thiophene obtained as a white crystalline substance, (C4H3S)2.CO, by the action of aluminium chloride and carbonyl chloride on thiophene.
thienyl |The hypothetical radical C4H3S, regarded as the essential residue of thiophene and certain of its derivatives.
thieve |To practice theft; to steal.
thievery |1. The practice of stealing; theft; thievishness. Among the Spartans, thievery was a practice morally good and honest. South. 2. That which is stolen. [Obs.] Shak.
thievish |1. Given to stealing; addicted to theft; as, a thievish boy, a thievish magpie. 2. Like a thief; acting by stealth; sly; secret. Time's thievish progress to eternity. Shak. 3. Partaking of the nature of theft; accomplished by stealing; dishonest; as, a thievish practice. Or with a base and biosterous sword enforce A thievish living on the common road. Shak. -- Thiev\"ish*ly, adv. -- Thiev\"ish*ness, n.
thigh |1. (Anat.)  The proximal segment of the hind limb between the knee and the trunk. See Femur. 2. (Zoöl.)  The coxa, or femur, of an insect. Thigh bone (Anat.), the femur.
thigmotactic |Of or pertaining to thigmotaxis.
thigmotaxis |The property possessed by living protoplasm of contracting, and thus moving, when touched by a solid or fluid substance. When the movement is away from the touching body, it is negative thigmotaxis; when towards it, positive thigmotaxis.
thilk |That same; this; that. [Obs.] \"I love thilk lass.\" Spenser. Thou spake right now of thilke traitor death. Chaucer.
thill |1. One of the two long pieces of wood, extending before a vehicle, between which a horse is hitched; a shaft. 2. (Mining)  The floor of a coal mine. Raymond. Thill coupling, a device for connecting the thill of a vehicle to the axle.
thiller |The horse which goes between the thills, or shafts, and supports them; also, the last horse in a team; -- called also thill horse.
thimble |1. A kind of cap or cover, or sometimes a broad ring, for the end of the finger, used in sewing to protect the finger when pushing the needle through the material. It is usually made of metal, and has upon the outer surface numerous small pits to catch the head of the needle. 2. (Mech.)  Any thimble-shaped appendage or fixure. Specifically: -- (a) A tubular piece, generally a strut, through which a bolt or pin passes. (b) A fixed or movable ring, tube, or lining placed in a hole. (c) A tubular cone for expanding a flue; -- called ferrule in England. 3. (Naut.)  A ring of thin metal formed with a grooved circumference so as to fit within an eye-spice, or the like, and protect it from chafing.
thimbleberry |A kind of black raspberry (Rubus occidentalis), common in America.
thimbleeye |The chub mackerel. See under Chub.
thimbleful |As much as a thimble will hold; a very small quantity. For a thimbleful of golf, a thimbleful of love. Dryden.
thimblerig |A sleight-of-hand trick played with three small cups, shaped like thimbles, and a small ball or little pea.\n\nTo swindle by means of small cups or thimbles, and a pea or small ball placed under one of them and quickly shifted to another, the victim laying a wager that he knows under which cup it is; hence, to cheat by any trick.
thimblerigger |One who cheats by thimblerigging, or tricks of legerdemain.
thimbleweed |Any plant of the composite genus Rudbeckia, coarse herbs somewhat resembling the sunflower; -- so called from their conical receptacles.
thin |1. Having little thickness or extent from one surface to its opposite; as, a thin plate of metal; thin paper; a thin board; a thin covering. 2. Rare; not dense or thick; -- applied to fluids or soft mixtures; as, thin blood; thin broth; thin air. Shak. In the day, when the air is more thin. Bacon. Satan, bowing low His gray dissimulation, disappeared, Into thin air diffused. Milton. 3. Not close; not crowded; not filling the space; not having the individuals of which the thing is composed in a close or compact state; hence, not abundant; as, the trees of a forest are thin; the corn or grass is thin. Ferrara is very large, but extremely thin of people. Addison. 4. Not full or well grown; wanting in plumpness. Seven thin ears . . . blasted with the east wind. Gen. xli. 6. 5. Not stout; slim; slender; lean; gaunt; as, a person becomes thin by disease. 6. Wanting in body or volume; small; feeble; not full. Thin, hollow sounds, and lamentable screams. Dryden. 7. Slight; small; slender; flimsy; wanting substance or depth or force; superficial; inadequate; not sufficient for a covering; as, a thin disguise. My tale is done, for my wit is but thin. Chaucer. Note: Thin is used in the formation of compounds which are mostly self-explaining; as, thin-faced, thin-lipped, thin-peopled, thin- shelled, and the like. Thin section. See under Section.\n\nNot thickly or closely; in a seattered state; as, seed sown thin. Spain is thin sown of people. Bacon.\n\nTo make thin (in any of the senses of the adjective).\n\nTo grow or become thin; -- used with some adverbs, as out, away, etc.; as, geological strata thin out, i. e., gradually diminish in thickness until they disappear.
thin-skinned |Having a thin skin; hence, sensitive; irritable.
thine |A form of the possessive case of the pronoun thou, now superseded in common discourse by your, the possessive of you, but maintaining a place in solemn discourse, in poetry, and in the usual language of the Friends, or Quakers. Note: In the old style, thine was commonly shortened to thi (thy) when used attributively before words beginning with a consonant; now, thy is used also before vowels. Thine is often used absolutely, the thing possessed being understood.
thing |1. Whatever exists, or is conceived to exist, as a separate entity, whether animate or inanimate; any separable or distinguishable object of thought. God made . . . every thing that creepeth upon the earth after his kind. Gen. i. 25. He sent after this manner; ten asses laden with the good things of Egypt. Gen. xiv. 23. A thing of beauty is a joy forever. Keats. 2. An inanimate object, in distinction from a living being; any lifeless material. Ye meads and groves, unsonscious things! Cowper. 3. A transaction or occurrence; an event; a deed. [And Jacob said] All these things are against me. Gen. xlii. 36. Which if ye tell me, I in like wise will tell you by what authority I do these things. Matt. xxi. 24. 4. A portion or part; something. Wieked men who understand any thing of wisdom. Tillotson. 5. A diminutive or slighted object; any object viewed as merely existing; -- often used in pity or contempt. See, sons, what things you are! Shak. The poor thing sighed, and . . . turned from me. Addison. I'll be this abject thing no more. Granville. I have a thing in prose. Swift. 6. pl.  Clothes; furniture; appurtenances; luggage; as, to pack or store one's things. [Colloq.] Note: Formerly, the singular was sometimes used in a plural or collective sense. And them she gave her moebles and her thing. Chaucer. Note: Thing was used in a very general sense in Old English, and is still heard colloquially where some more definite term would be used in careful composition. In the garden [he] walketh to and fro, And hath his things [i. e., prayers, devotions] said full courteously. Chaucer. Hearkening his minstrels their things play. Chaucer. 7. (Law)  Whatever may be possessed or owned; a property; -- distinguished from person. 8. [In this sense pronounced tîng.]  In Scandinavian countries, a legislative or judicial assembly. Longfellow. Things personal. (Law) Same as Personal property, under Personal. -- Things real. Same as Real property, under Real.
think |1. To seem or appear; -- used chiefly in the expressions methinketh or methinks, and methought. Note: These are genuine Anglo-Saxon expressions, equivalent to it seems to me, it seemed to me. In these expressions me is in the dative case. 2. To employ any of the intellectual powers except that of simple perception through the senses; to exercise the higher intellectual faculties. For that I am I know, because I think. Dryden. 3. Specifically: -- (a) To call anything to mind; to remember; as, I would have sent the books, but I did not think of it. Well thought upon; I have it here. Shak. (b) To reflect upon any subject; to muse; to meditate; to ponder; to consider; to deliberate. And when he thought thereon, he wept. Mark xiv. 72. He thought within himself, saying, What shall I do, because I have no room where to bestow my fruits Luke xii. 17. (c) To form an opinion by reasoning; to judge; to conclude; to believe; as, I think it will rain to-morrow. Let them marry to whom they think best. Num. xxxvi. 6. (d) To purpose; to intend; to design; to mean. I thought to promote thee unto great honor. Num. xxiv. 11. Thou thought'st to help me. Shak. (e) To presume; to venture. Think not to say within yourselves, We have Abraham to our father. Matt. iii. 9. Note: To think, in a philosophical use as yet somewhat limited, designates the higher intellectual acts, the acts preëminently rational; to judge; to compare; to reason. Thinking is employed by Hamilton as \"comprehending all our collective energies.\" It is defined by Mansel as \"the act of knowing or judging by means of concepts,\"by Lotze as \"the reaction of the mind on the material supplied by external influences.\" See Thought. To think better of. See under Better. -- To think much of, or To think well of, to hold in esteem; to esteem highly. Syn. -- To expect; guess; cogitate; reflect; ponder; contemplate; meditate; muse; imagine; suppose; believe. See Expect, Guess.\n\n1. To conceive; to imagine. Charity . . . thinketh no evil. 1 Cor. xiii. 4,5. 2. To plan or design; to plot; to compass. [Obs.] So little womanhood And natural goodness, as to think the death Of her own son. Beau. & Fl. 3. To believe; to consider; to esteem. Nor think superfluous other's aid. Milton. To think much, to esteem a great matter; to grudge. [Obs.] \"[He] thought not much to clothe his enemies.\" Milton. -- To think scorn. (a) To disdain. [Obs.] \"He thought scorn to lay hands on Mordecai alone.\" Esther iii. 6. (b) To feel indignation. [Obs.]
thinkable |Capable of being thought or conceived; cogitable. Sir W. Hamilton.
thinker |One who thinks; especially and chiefly, one who thinks in a particular manner; as, a close thinker; a deep thinker; a coherent thinker.
thinking |Having the faculty of thought; cogitative; capable of a regular train of ideas; as, man is a thinking being. -- Think\"ing*ly, adv.\n\nThe act of thinking; mode of thinking; imagination; cogitation; judgment. I heard a bird so sing, Whose music, to my thinking, pleased the king. Shak.
thinly |In a thin manner; in a loose, scattered manner; scantily; not thickly; as, ground thinly planted with trees; a country thinly inhabited.
thinner |One who thins, or makes thinner.
thinness |The quality or state of being thin (in any of the senses of the word).
thinnish |Somewhat thin.
thinolite |A calcareous tufa, in part crystalline, occurring on a large scale as a shore deposit about the Quaternary lake basins of Nevada.
thio- |A combining form (also used adjectively) denoting the presence of sulphur. See Sulpho-.
thiocarbonate |A sulphocarbonate.
thiocarbonic |Same as Sulphocarbonic.
thiocyanate |Same as Sulphocyanate.
thiocyanic |Same as Sulphocyanic.
thionaphthene |A double benzene and thiophene nucleus, C8H6S, analogous to naphthalene, and like it the base of a large series of derivatives. [Written also thionaphtene.]
thionic |Of or pertaining to sulphur; containing or resembling sulphur; specifically, designating certain of the thio compounds; as, the thionic acids. Cf. Dithionic, Trithionic, Tetrathionic, etc.
thionine |An artificial red or violet dyestuff consisting of a complex sulphur derivative of certain aromatic diamines, and obtained as a dark crystalline powder; -- called also phenylene violet.
thionol |A red or violet dyestuff having a greenish metallic luster. It is produced artificially, by the chemical dehydration of thionine, as a brown amorphous powder.
thionoline |A beautiful fluorescent crystalline substance, intermediate in composition between thionol and thionine.
thionyl |The hypothetical radical SO, regarded as an essential constituent of certain sulphurous compounds; as, thionyl chloride.
thiophene |A sulphur hydrocarbon, C4H4S, analogous to furfuran and benzene, and acting as the base of a large number of substances which closely resemble the corresponding aromatic derivatives.
thiophenic |Of, pertaining to, or derived from, thiophene; specifically, designating a certain acid analogous to benzoic acid.
thiophenol |A colorless mobile liquid, C6H5.SH, of an offensive odor, and analogous to phenol; -- called also phenyl sulphydrate.
thiophthene |A double thiophene nucleus, C6H4S2, analogous to thionaphthene, and the base of a large series of compounds. [Written also thiophtene.]
thiosulphate |A salt of thiosulphuric acid; -- formerly called hyposulphite. Note: The sodium salt called in photography by the name sodium hyposulphite, being used as a solvent for the excess of unchanged silver chloride, bromide, and iodide on the sensitive plate.
thiosulphuric |Of, pertaining to, or designating, an unstable acid, H2S2O3, analogous to sulphuric acid, and formerly called hyposulphurous acid.
thiotolene |A colorless oily liquid, C4H3S.CH3, analogous to, and resembling, toluene; -- called also methyl thiophene.
thioxene |Any one of three possible metameric substances, which are dimethyl derivatives of thiophene, like the xylenes from benzene.
third |1. Next after the second; coming after two others; -- the ordinal of three; as, the thirdhour in the day. \"The third night.\" Chaucer. 2. Constituting or being one of three equal parts into which anything is divided; as, the third part of a day. Third estate. (a) In England, the commons, or the commonalty, who are represented in Parliament by the House of Commons. (b) In France, the tiers état. See Tiers état. Third order (R. C. Ch.), an order attached to a monastic order, and comprising men and women devoted to a rule of pious living, called the third rule, by a simple vow if they remain seculars, and by more solemn vows if they become regulars. See Tertiary, n., 1. -- Third person (Gram.), the person spoken of. See Person, n., 7. -- Third sound. (Mus.) See Third, n., 3.\n\n1. The quotient of a unit divided by three; one of three equal parts into which anything is divided. 2. The sixtieth part of a second of time. 3. (Mus.)  The third tone of the scale; the mediant. 4. pl. (Law)  The third part of the estate of a deseased husband, which, by some local laws, the widow is entitled to enjoy during her life. Major third (Mus.), an interval of two tones. -- Minor third (Mus.), an interval of a tone and a half.
third rail |(a) The third rail used in the third-rail system. (b) An electric railway using such a rail. [Colloq.]
third-borough |An under constable. Shak. Johnson.
third-penny |A third part of the profits of fines and penalties imposed at the country court, which was among the perquisites enjoyed by the earl.
third-rail system |A system in which a third rail is used for carrying the current for operating the motors, the rail being insulated from the ground and the current being taken off by means of contact brushes or other devices.
thirdings |The third part of the corn or grain growing on the ground at the tenant's death, due to the lord for a heriot, as within the manor of Turfat in Herefordshire.
thirdly |In the third place. Bacon.
thirl |To bore; to drill or thrill. See Thrill. [Obs. or Prov.] That with a spear was thirled his breast bone. Chaucer.
thirlage |The right which the owner of a mill possesses, by contract or law, to compel the tenants of a certain district, or of his sucken, to bring all their grain to his mill for grinding. Erskine.
thirst |1. A sensation of dryness in the throat associated with a craving for liquids, produced by deprivation of drink, or by some other cause (as fear, excitement, etc.) which arrests the secretion of the pharyngeal mucous membrane; hence, the condition producing this sensation. Wherefore is this that thou hast brought us up out of Egypt, to kill us, and our children . . . with thirst Ex. xvii. 3. With thirst, with cold, with hunger so confounded. Chaucer. 2. Fig.: A want and eager desire after anything; a craving or longing; -- usually with for, of, or after; as, the thirst for gold. \"Thirst of worldy good.\" Fairfax. \"The thirst I had of knowledge.\" Milton.\n\n1. To feel thirst; to experience a painful or uneasy sensation of the throat or fauces, as for want of drink. The people thirsted there for water. Ex. xvii. 3. 2. To have a vehement desire. My soul thirsteth for . . . the living God. Ps. xlii. 2.\n\nTo have a thirst for. [R.] He seeks his keeper's flesh, and thirsts his blood. Prior.
thirster |One who thirsts.
thirstily |In a thirsty manner.
thirstiness |The state of being thirsty; thirst.
thirstle |The throstle. [Prov. Eng.]
thirsty |1. Feeling thirst; having a painful or distressing sensation from want of drink; hence, having an eager desire. Give me, I pray thee, a little water to drink, for I am thirsty. Judges iv. 19. 2. Deficient in moisture; dry; parched. A dry and thirsty land, where no water is. Ps. lxiii. 1. When in the sultry glebe I faint, Or on the thirsty mountain pant. Addison.
thirteen |One more than twelve; ten and three; as, thirteen ounces or pounds.\n\n1. The number greater by one than twelve; the sum of ten and three; thirteen units or objects. 2. A symbol representing thirteen units, as 13 or xiii.
thirteenth |1. Next in order after the twelfth; the third after the tenth; -- the ordinal of thirteen; as, the thirteenth day of the month. 2. Constituting or being one of thirteen equal parts into which anything is divided.\n\n1. The quotient of a unit divided by thirteen; one of thirteen equal parts into which anything is divided. 2. The next in order after the twelfth. 3. (Mus.)  The interval comprising an octave and a sixth.
thirtieth |1. Next in order after the twenty-ninth; the tenth after the twentieth; -- the ordinal of thirty; as, the thirtieth day of the month. 2. Constituting or being one of thirty equal parts into which anything is divided.\n\nThe quotient of a unit divided by thirty; one of thirty equal parts.
thirty |Being three times ten; consisting of one more than twenty-nine; twenty and ten; as, the month of June consists of thirty days.\n\n1. The sum of three tens, or twenty and ten; thirty units or objects. 2. A symbol expressing thirty, as 30, or XXX.
thirty-second |Being one of thirty-two equal parts into which anything is divided. Thirty-second note (Mus.), the thirty-second part of a whole note; a demi-semiquaver.
this |1. As a demonstrative pronoun, this denotes something that is present or near in place or time, or something just mentioned, or that is just about to be mentioned. When they heard this, they were pricked in their heart. Acts ii. 37. But know this, that if the good man of the house had known in what watch the thief would come, he would have watched. Matt. xxiv. 43. 2. As an adjective, this has the same demonstrative force as the pronoun, but is followed by a noun; as, this book; this way to town. Note: This may be used as opposed or correlative to that, and sometimes as opposed to other or to a second this. See the Note under That, 1. This way and that wavering sails they bend. Pope. A body of this or that denomination is produced. Boyle. Their judgment in this we may not, and in that we need not, follow. Hooker. Consider the arguments which the author had to write this, or to design the other, before you arraign him. Dryden. Thy crimes . . . soon by this or this will end. Addison. Note: This, like a, every, that, etc., may refer to a number, as of years, persons, etc., taken collectively or as a whole. This twenty years have I been with thee.. Gen. xxxi. 38. I have not wept this years; but now My mother comes afresh into my eyes. Dryden.
thistle |Any one of several prickly composite plants, especially those of the genera Cnicus, Craduus, and Onopordon. The name is often also applied to other prickly plants. Blessed thistle, Carduus benedictus, so named because it was formerly considered an antidote to the bite of venomous creatures. -- Bull thistle, Cnicus lanceolatus, the common large thistle of neglected pastures. -- Canada thistle, Cnicus arvensis, a native of Europe, but introduced into the United States from Canada. -- Cotton thistle, Onopordon Acanthium. -- Fuller's thistle, the teasel. -- Globe thistle, Melon thistle, etc. See under Globe, Melon, etc. -- Pine thistle, Atractylis gummifera, a native of the Mediterranean region. A vicid gum resin flows from the involucre. -- Scotch thistle, either the cotton thistle, or the musk thistle, or the spear thistle; -- all used national emblems of Scotland. -- Sow thistle, Sonchus oleraceus. -- Spear thistle. Same as Bull thistle. -- Star thistle, a species of Centaurea. See Centaurea. -- Torch thistle, a candelabra-shaped plant of the genus Cereus. See Cereus. -- Yellow thistle, Cincus horridulus. Thistle bird (Zoöl.), the American goldfinch, or yellow-bird (Spinus tristis); -- so called on account of its feeding on the seeds of thistles. See Illust. under Goldfinch. -- Thistle butterfly (Zoöl.), a handsomely colored American butterfly (Vanessa cardui) whose larva feeds upon thistles; -- called also painted lady. -- Thistle cock (Zoöl.), the corn bunting (Emberiza militaria). [Prov. Eng.] -- Thistle crown, a gold coin of England of the reign of James I., worth four shillings. -- Thistle finch (Zoöl.), the goldfinch; -- so called from its fondness for thistle seeds. [Prov. Eng.] -- Thistle funnel, a funnel having a bulging body and flaring mouth.
thistly |1. Overgrown with thistles; as, thistly ground. 2. Fig.: Resembling a thistle or thistles; sharp; pricking. In such a world, so thorny, and where none Finds happiness unblighted, or, if found, Without some thistly sorrow at its side. Cowper.
thither |1. To that place; -- opposed to Ant: hither. This city is near; . . . O, let me escape thither. Gen. xix. 20. Where I am, thither ye can not come. John vii. 34. 2. To that point, end, or result; as, the argument tended thither. Hither and thither, to this place and to that; one way and another. Syn. -- There. Thither, There. Thither properly denotes motion toward a place; there denotes rest in a place; as, I am going thither, and shall meet you there. But thither has now become obsolete, except in poetry, or a style purposely conformed to the past, and there is now used in both senses; as, I shall go there to-morrow; we shall go there together.\n\n1. Being on the farther side from the person speaking; farther; -- a correlative of hither; as, on the thither side of the water. W. D. Howells. 2. Applied to time: On the thither side of, older than; of more years than. See Hither, a. Huxley.
thitherto |To that point; so far. [Obs.]
thitherward |To ward that place; in that direction. They shall ask the way to Zion, with their faces thitherward. Jer. l. 5.
thitsee |1. (Bot.)  The varnish tree of Burmah (Melanorrhoea usitatissima). 2. A black varnish obtained from the tree.
thlipsis |Compression, especially constriction of vessels by an external cause.
tho |The. [Obs.] Spenser.\n\nThose. [Obs.] This knowen tho that be to wives bound. Chaucer.\n\nThen. [Obs.] Spenser. To do obsequies as was tho the guise. Chaucer.\n\nThough. [Reformed spelling.]
thole |1. A wooden or metal pin, set in the gunwale of a boat, to serve as a fulcrum for the oar in rowing. Longfellow. 2. The pin, or handle, of a scythe snath. Thole pin. Same as Thole.\n\nTo bear; to endure; to undergo. [Obs. or Scot.] Gower. So much woe as I have with you tholed. Chaucer. To thole the winter's steely dribble. Burns.\n\nTo wait. [Prov. Eng. & Scot.]
thomaean |A member of the ancient church of Christians established on the Malabar coast of India, which some suppose to have been originally founded by the Apostle Thomas.
thomaism |The doctrine of Thomas Aquinas, esp. with respect to predestination and grace.
thomas phosphate |Same as Basic slag, above.
thomas process |Same as Basic process, above.
thomas slag |Same as Basic slag, above.
thomean |A member of the ancient church of Christians established on the Malabar coast of India, which some suppose to have been originally founded by the Apostle Thomas.
thomism |The doctrine of Thomas Aquinas, esp. with respect to predestination and grace.
thomist |A follower of Thomas Aquinas. See Scotist.
thomite |A Thomæan.
thomsenolite |A fluoride of aluminium, calcium, and sodium occurring with the cryolite of Greenland. THOMSEN'S DISEASE Thom\"sen's dis*ease\". Etym: [From Thomsen, a physician of Sleswick.] (Med.)  An affection apparently congenital, consisting in tonic contraction and stiffness of the voluntary muscles occurring after a period of muscular inaction.
thomson process |A process of electric welding in which heat is developed by a large current passing through the metal.
thomsonian |Of or pertaining to Thomsonianism. -- n.  A believer in Thomsonianism; one who practices Thomsonianism.
thomsonianism |An empirical system which assumes that the human body is composed of four elements, earth, air, fire, and water, and that vegetable medicines alone should be used; -- from the founder, Dr. Samuel Thomson, of Massachusetts.
thomsonite |A zeolitic mineral, occurring generally in masses of a radiated structure. It is a hydrous silicate of aluminia, lime, and soda. Called also mesole, and comptonite.
thong |A strap of leather; especially, one used for fastening anything. And nails for loosened spears, and thongs for shields, provide. Dryden. Thong seal (Zoöl.), the bearded seal. See the Note under Seal.
thooid |Of or pertaining to a group of carnivores, including the wovels and the dogs.
thor |The god of thunder, and son of Odin.
thoracentesis |The operation of puncturing the chest wall so as to let out liquids contained in the cavity of the chest.
thoracic |Of or pertaining to the thorax, or chest. Thoracic duct (Anat.), the great trunk of the lymphatic vessels, situated on the ventral side of the vertebral column in the thorax and abdomen. See Illust. of Lacteal.\n\nOne of a group of fishes having the ventral fins placed beneath the thorax or beneath the pectorial fins.
thoracica |A division of cirripeds including those which have six thoracic segments, usually bearing six pairs of cirri. The common barnacles are examples.
thoracometer |Same as Stethometer.
thoracoplasty |A remodeling or reshaping of the thorax; especially, the operation of removing the ribs, so as to obliterate the pleural cavity in cases of empyema.
thoracostraca |An extensive division of Crustacea, having a dorsal shield or carapec
thoracotomy |The operation of opening the pleural cavity by incision.
thoral |Of or pertaining to a bed. [R.]
thorax |1. (Anat.)  The part of the trunk between the neck and the abdomen, containing that part of the body cavity the walls of which are supported by the dorsal vertebræ, the ribs, and the sternum, and which the heart and lungs are situated; the chest. Note: In mammals the thoracic cavity is completely separated from the abdominal by the diaphragm, but in birds and many reptiles the separation is incomplete, while in other reptiles, and in amphibians and fishes, there is no marked separation and no true thorax. 2. (Zoöl.) (a) The middle region of the body of an insect, or that region which bears the legs and wings. It is composed of three united somites, each of which is composed of several distinct parts. See Illust. in Appendix. and Illust. of Coleoptera. (b) The second, or middle, region of the body of a crustacean, arachnid, or other articulate animal. In the case of decapod Crustacea, some writers include under the term thorax only the three segments bearing the maxillipeds; others include also the five segments bearing the legs. See Illust. in Appendix. 3. (Antiq.)  A breastplate, cuirass, or corselet; especially, the breastplate worn by the ancient Greeks.
thoria |A rare white earthy substance, consisting of the oxide of thorium; -- formerly called also thorina.
thoric |Of or pertaining to thorium; designating the compounds of thorium.
thorite |A mineral of a brown to black color, or, as in the variety orangite, orange-yellow. It is essentially a silicate of thorium.
thorium |A metallic element found in certain rare minerals, as thorite, pyrochlore, monazite, etc., and isolated as an infusible gray metallic powder which burns in the air and forms thoria; -- formerly called also thorinum. Symbol Th. Atomic weight 232.0.
thorn |1. A hard and sharp-pointed projection from a woody stem; usually, a branch so transformed; a spine. 2. (Bot.)  Any shrub or small tree which bears thorns; especially, any species of the genus Cratægus, as the hawthorn, whitethorn, cockspur thorn. 3. Fig.: That which pricks or annoys as a thorn; anything troublesome; trouble; care. There was given to me a thorn in the flesh, the messenger of Satan to buffet me. 2 Cor. xii. 7. The guilt of empire, all its thorns and cares, Be only mine. Southern. 4. The name of the Anglo-Saxon letter th, as in thin, then. So called because it was the initial letter of thorn, a spine. Thorn apple (Bot.), Jamestown weed. -- Thorn broom (Bot.), a shrub that produces thorns. -- Thorn hedge, a hedge of thorn-bearing trees or bushes. -- Thorn devil. (Zoöl.) See Moloch, 2. -- Thorn hopper (Zoöl.), a tree hopper (Thelia cratægi) which lives on the thorn bush, apple tree, and allied trees.\n\nTo prick, as with a thorn. [Poetic] I am the only rose of all the stock That never thorn'd him. Tennyson.
thorn-headed |Having a head armed with thorns or spines. Thorn-headed worm (Zoöl.), any worm of the order Acanthocephala; -- called also thornhead.
thornback |1. (Zoöl.)  A European skate (Raia clavata) having thornlike spines on its back. 2. (Zoöl.)  The large European spider crab or king crab (Maia squinado).
thornbill |Any one of several species of small, brilliantly colored American birds of the genus Rhamphomicron. They have a long, slender, sharp bill, and feed upon honey, insects, and the juice of the sugar cane.
thornbird |A small South American bird (Anumbius anumbii) allied to the ovenbirds of the genus Furnarius). It builds a very large and complex nest of twigs and thorns in a bush or tree.
thornbut |The turbot.
thornless |Destitute of, or free from, thorns.
thornset |Set with thorns. Dyer.
thorntail |A beautiful South American humming bird (Gouldia Popelairii), having the six outer tail feathers long, slender, and pointed. The head is ornamented with a long, pointed crest.
thorny |1. Full of thorns or spines; rough with thorns; spiny; as, a thorny wood; a thorny tree; a thorny crown. 2. Like a thorn or thorns; hence, figuratively, troublesome; vexatious; harassing; perplexing. \"The thorny point of bare distress.\" Shak. The steep and thorny way to heaven. Shak. Thorny rest-harrow (Bot.), rest-harrow. -- Thorny trefoil, a prickly plant of the genus Fagonia (F. Cretica, etc.).
thoro |Thorough. [Reformed spelling.]
thorough |Through. [Obs.] Spenser. Shak.\n\n1. Passing through; as, thorough lights in a house. [Obs.] 2. Passing through or to the end; hence, complete; perfect; as, a thorough reformation; thorough work; a thorough translator; a thorough poet.\n\n1. Thoroughly. [Obs. or Colloq.] Chaucer. 2. Through. [Obs.] Shak.\n\nA furrow between two ridges, to drain off the surface water. [Prov. Eng.] Halliwell.
thorough bass |The representation of chords by figures placed under the base; figured bass; basso continuo; -- sometimes used as synonymous with harmony.
thorough-brace |A leather strap supporting the body of a carriage, and attached to springs, or serving as a spring. See Illust. of Chaise.
thorough-lighted |Provided with thorough lights or windows at opposite sides, as a room or building. Gwilt.
thoroughbred |Bred from the best blood through a long line; pure-blooded; -- said of stock, as horses. Hence, having the characteristics of such breeding; mettlesome; courageous; of elegant form, or the like. -- n.  A thoroughbred animal, especially a horse.
thoroughfare |1. A passage through; a passage from one street or opening to another; an unobstructed way open to the public; a public road; hence, a frequented street. A large and splendid thoroughfare. Motley. 2. A passing or going through; passage. [R.] [Made] Hell and this world -- one realm, one continent Of easy thoroughfare. Milton.
thoroughgoing |1. Going through, or to the end or bottom; very thorough; complete. 2. Going all lengths; extreme; thoroughplaced; -- less common in this sense.
thoroughly |In a thorough manner; fully; entirely; completely.
thoroughness |The quality or state of being thorough; completeness.
thoroughpaced |Perfect in what is undertaken; complete; going all lengths; as, a thoroughplaced Tory or Whig. If she be a thoroughplaced impostor. Sir W. Scott.
thoroughpin |A disease of the hock (sometimes of the knee) of a horse, caused by inflammation of the synovial membrane and a consequent excessive secretion of the synovial fluid; -- probably so called because there is usually an oval swelling on each side of the leg, appearing somewhat as if a pin had been thrust through.
thoroughsped |Fully accomplished; thoroughplaced. [R.] Swift.
