mistrustless |Having no mistrust or suspicion. The swain mistrustless of his smutted face. Goldsmith.
modest |1. Restraining within due limits of propriety; not forward, bold, boastful, or presumptious; rather retiring than pushing one's self forward; not obstructive; as, a modest youth; a modest man. 2. Observing the proprieties of the sex; not unwomanly in act or bearing; free from undue familiarity, indecency, or lewdness; decent in speech and demeanor; -- said of a woman. Mrs. Ford, the honest woman, the modest wife. Shak. The blushing beauties of a modest maid. Dryden. 3. Evincing modestly in the actor, author, or speaker; not showing presumption; not excessive or extreme; moderate; as, a modest request; modest joy. Syn. -- Reserved; unobtrusive; diffident; bashful; coy; shy; decent; becoming; chaste; virtuous.
modestly |In a modest manner.
modesty |1. The quality or state of being modest; that lowly temper which accompanies a moderate estimate of one's own worth and importance; absence of self-assertion, arrogance, and presumption; humility respecting one's own merit. 2. Natural delicacy or shame regarding personal charms and the sexual relation; purity of thought and manners; due regard for propriety in speech or action. Her blush is guiltiness, not modesty. Shak. Modesty piece, a narrow piece of lace worn by women over the bosom. [Obs.] Addison. Syn. -- Bashfulness; humility; diffidence; shyness. See Bashfulness, and Humility.
modicity |Moderateness; smallness; meanness. [Obs.]
modicum |A little; a small quantity; a measured simply. \"Modicums of wit.\" Shak. Her usual modicum of beer and punch. Thackeray.
modifiability |Capability of being modified; state or quality of being modifiable.
modifiable |Capable of being modified; liable to modification.
modificable |Modifiable. [Obs.]
modificate |To qualify. [Obs.] Bp. Pearson.
modification |The act of modifying, or the state of being modified; a modified form or condition; state as modified; a change; as, the modification of an opinion, or of a machine; the various modifications of light. Bentley.
modificative |That which modifies or qualifies, as a word or clause.
modificatory |Tending or serving to modify; modifying. Max Müller.
modifier |One who, or that which, modifies. Hume.
modify |1. To change somewhat the form or qualities of; to alter somewhat; as, to modify a contrivance adapted to some mechanical purpose; to modify the terms of a contract. 2. To limit or reduce in extent or degree; to moderate; to qualify; to lower. Of his grace He modifies his first severe decree. Dryden.
modillion |The enriched block or horizontal bracket generally found under the cornice of the Corinthian and Composite entablature, and sometimes, less ornamented, in the Ionic and other orders; -- so called because of its arrangement at regulated distances.
modiolar |Shaped like a bushel measure.
modiolus |The central column in the osseous cochlea of the ear.
modish |According to the mode, or customary manner; conformed to the fashion; fashionable; hence, conventional; as, a modish dress; a modish feast. Dryden. \"Modish forms of address.\" Barrow. -- Mod\"ish*ly, adv. -- Mod\"ish*ness, n.
modist |One who follows the fashion.
modiste |A female maker of, or dealer in, articles of fashion, especially of the fashionable dress of ladies; a woman who gives direction to the style or mode of dress.
modius |A dry measure, containing about a peck.
modocs |A tribe of warlike Indians formerly inhabiting Northern California. They are nearly extinct.
modular |Of or pertaining to mode, modulation, module, or modius; as, modular arrangement; modular accent; modular measure.
modulate |1. To form, as sound, to a certain key, or to a certain portion. 2. To vary or inflect in a natural, customary, or musical manner; as, the organs of speech modulate the voice in reading or speaking. Could any person so modulate her voice as to deceive so many Broome.\n\nTo pass from one key into another.
modulation |1. The act of modulating, or the state of being modulated; as, the modulation of the voice. 2. Sound modulated; melody. [R.] Thomson. 3. (Mus.)  A change of key, whether transient, or until the music becomes established in the new key; a shifting of the tonality of a piece, so that the harmonies all center upon a new keynote or tonic; the art of transition out of the original key into one nearly related, and so on, it may be, by successive changes, into a key quite remote. There are also sudden and unprepared modulations.
modulator |One who, or that which, modulates. Denham.
module |1. A model or measure. 2. (Arch.)  The size of some one part, as the diameter of semi-diameter of the base of a shaft, taken as a unit of measure by which the proportions of the other parts of the composition are regulated. Generally, for columns, the semi-diameter is taken, and divided into a certain number of parts, called minutes (see Minute), though often the diameter is taken, and any dimension is said to be so many modules and minutes in height, breadth, or projection.\n\nTo model; also, to modulate. [Obs.] Sandys. Drayton.
modulus |A quantity or coefficient, or constant, which expresses the measure of some specified force, property, or quality, as of elasticity, strength, efficiency, etc.; a parameter. Modulus of a machine, a formula expressing the work which a given machine can perform under the conditions involved in its construction; the relation between the work done upon a machine by the moving power, and that yielded at the working points, either constantly, if its motion be uniform, or in the interval of time which it occupies in passing from any given velocity to the same velocity again, if its motion be variable; -- called also the efficiency of the machine. Mosley. Rankine. -- Modulus of a system of logarithms (Math.), a number by which all the Napierian logarithms must be multiplied to obtain the logarithms in another system. -- Modulus of elasticity. (a) The measure of the elastic force of any substance, expressed by the ratio of a stress on a given unit of the substance to the accompanying distortion, or strain. (b) An expression of the force (usually in terms of the height in feet or weight in pounds of a column of the same body) which would be necessary to elongate a prismatic body of a transverse section equal to a given unit, as a square inch or foot, to double, or to compress it to half, its original length, were that degree of elongation or compression possible, or within the limits of elasticity; -- called also Young's modulus. -- Modulus of rupture, the measure of the force necessary to break a given substance across, as a beam, expressed by eighteen times the load which is required to break a bar of one inch square, supported flatwise at two points one foot apart, and loaded in the middle between the points of support. Rankine.
modus |1. The arrangement of, or mode of expressing, the terms of a contract or conveyance. 2. (Law)  A qualification involving the idea of variation or departure from some general rule or form, in the way of either restriction or enlargement, according to the circumstances of the case, as in the will of a donor, an agreement between parties, and the like. Bracton. 3. (Law)  A fixed compensation or equivalent given instead of payment of tithes in kind, expressed in full by the phrase modus decimandi. Blackstone. They, from time immemorial, had paid a modus, or composition. Landor. Modus operandi ( Etym: [L.], manner of operating.
modus vivendi |Mode, or manner, of living; hence, a temporary arrangement of affairs until disputed matters can be settled.
mody |Fashionable. [R.]
moe |A wry face or mouth; a mow. [Obs.]\n\nTo make faces; to mow. [Obs.]\n\nMore. See Mo. [Obs.] \"Sing no more ditties, sing no moe.\" Shak.
moebles |Movables; furniture; -- also used in the singular (moeble). [Obs.] Chaucer.
moelline |An unguent for the hair.
moellon |Rubble masonry.
moesogothic |Belonging to the Moesogoths, a branch of the Goths who settled in Moesia.\n\nThe language of the Moesogoths; -- also called Gothic.
moeve |To move. [Obs.] Chaucer.
moff |A thin silk stuff made in Caucasia.
mog |To move away; to go off. [Prov. Eng. or Local, U. S.]
moggan |A closely fitting knit sleeve; also, a legging of knitted material. [Scot.]
mogul |1. A person of the Mongolian race. 2. (Railroad)  A heavy locomotive for freight traffic, having three pairs of connected driving wheels and a two-wheeled truck. Great, or Grand, Mogul, the sovereign of the empire founded in Hindostan by the Mongols under Baber in the sixteenth century. Hence, a very important personage; a lord; -- sometimes only mogul. Dryden.
moha |A kind of millet (Setaria Italica); German millet.
mohair |The long silky hair or wool of the Angora goat of Asia Minor; also, a fabric made from this material, or an imitation of such fabric.
mohammedan |Of or pertaining to Mohammed, or the religion and institutions founded by Mohammed. [Written also Mahometan, Mahomedan, Muhammadan, etc.]\n\nA follower of Mohammed, the founder of Islamism; one who professes Mohammedanism or Islamism.
mohammedan calendar |A lunar calendar reckoning from the year of the hegira, 622 a. d. Thirty of its years constitute a cycle, of which the 2d, 5th, 7th, 10th, 13th, 16th, 18th, 21st, 24th, 26th, and 29th are leap years, having 355 days; the others are common, having 354 days. By the following tables any Mohammedan date may be changed into the Christian date, or vice versa, for the years 1900-1935 a. d. Months of the Mohammedan year. 1 Muharram . . . .. 30 2 Safar . . . . . . .. 29 3 Rabia I . . . . . . 30 4 Rabia II . . . .. 29 5 Jumada I . . . .. 30 6 Jumada II . . . . 29 7 Rajab . . . . . . .. 30 8 Shaban . . . . . . . 29 9 Ramadan . . . . . . 30 10 Shawwal . . . . . . 29 11 Zu'lkadah . . . . 30 12 Zu'lhijjah . . . 29* * in leap year, 30 days a. h. a. d. a. h.    a. d. 1317  begins May 12, 1899      1336* begins Oct.17, 1917 1318 May  1, 1900      1337         Oct. 7, 1918 1319*        Apr.20, 1901 1338*        Sept.26,1919 1320         Apr.10, 1902      1339 Sept.15,1920 1321+        Mar.30, 1903      1340         Sept.4, 1921 1322*        Mar.18, 1904      1341*        Aug.24, 1922 1323 Mar. 8, 1905      1342         Aug.14, 1923 1324         Feb.25, 1906 1343         Aug. 2, 1924 1325*        Feb.14, 1907      1344* July 22,1925 1326         Feb. 4, 1908      1345         July 12,1926 1327*        Jan.23, 1909      1346*        July 1, 1927 1328 Jan.13, 1910      1347         June 20,1928 1329         Jan. 2, 1911 1348         June 9, 1929 1330*        Dec.22, 1911      1349* May 29, 1930 1331         Dec.11, 1912      1350         May 19, 1931 1332         Nov.30, 1913      1351++       May  7, 1932 1333* Nov.19, 1914      1352*        Apr.26, 1933 1334         Nov. 9, 1915 1353         Apr.16, 1934 1335         Oct.28, 1916      1354 Apr. 5, 1935 * Leap year  + First year of the 45th cycle ++ First year of the 46th cycle The following general rule for finding the date of commencement of any Mohammedan year has a maximum error of a day: Multiply 970,224 by the Mohammedan year, point off six decimal places, and add 621.5774. The whole number will be the year a. d., and the decimal multiplied by 365 will give the day of the year.
mohammedan era |The era in use in Mohammedan countries. See Mohammedan year, below.
mohammedan year |The year used by Mohammedans, consisting of twelve lunar months without intercalation, so that they retrograde through all the seasons in about 32½ years. The Mohammedan era begins with the year 622 a.d., the first day of the Mohammedan year 1332 begin Nov. 30, 1913, acording to the Gregorian calendar.
mohammedanism |The religion, or doctrines and precepts, of Mohammed, contained in the Koran; Islamism.
mohammedanize |To make conformable to the principles, or customs and rites, of Mohammedanism. [Written also Mahometanize.]
mohammedism |The religion, or doctrines and precepts, of Mohammed, contained in the Koran; Islamism.
mohammedize |To make conformable to the principles, or customs and rites, of Mohammedanism. [Written also Mahometanize.]
mohawk |1. (Ethnol.)  One of a tribe of Indians who formed part of the Five Nations. They formerly inhabited the valley of the Mohawk River. 2. One of certain ruffians who infested the streets of London in the time of Addison, and took the name from the Mohawk Indians. [Slang] Spectator. Macaulay.
mohicans |A tribe of Lenni-Lenape Indians who formerly inhabited Western Connecticut and Eastern New York. [Written also Mohegans.]
moho |A gallinule (Notornis Mantelli) formerly inhabiting New Zealand, but now supposed to be extinct. It was incapable of flight. See Notornis.
mohock |See Mohawk.
moholi |See Maholi.
mohr |A West African gazelle (Gazella mohr), having horns on which are eleven or twelve very prominent rings. It is one of the species which produce bezoar. [Written also mhorr.]
mohur |A British Indian gold coin, of the value of fifteen silver rupees, or $7.21. Malcom.
mohurrum |1. The first month of the Mohammedan year. Whitworth. 2. A festival of the Shiah sect of the Mohammedans held during the first ten days of the month Mohurrum.
moider |To toil. [Prov. Eng. & Scot.]
moidore |A gold coin of Portugal, valued at about 27s. sterling.
moiety |1. One of two equal parts; a half; as, a moiety of an estate, of goods, or of profits; the moiety of a jury, or of a nation. Shak. The more beautiful moiety of his majesty's subject. Addison. 2. An indefinite part; a small part. Shak.
moil |To daub; to make dirty; to soil; to defile. Thou ... doest thy mind in dirty pleasures moil. Spenser.\n\nTo soil one's self with severe labor; to work with painful effort; to labor; to toil; to drudge. Moil not too much under ground. Bacon. Now he must moil and drudge for one he loathes. Dryden.\n\nA spot; a defilement. The moil of death upon them. Mrs. Browning.
moile |A kind of high shoe anciently worn. [Written also moyle.]
moineau |A small flat bastion, raised in the middle of an overlong curtain.
moira |The deity who assigns to every man his lot.
moire |1. Originally, a fine textile fabric made of the hair of an Asiatic goat; afterwards, any textile fabric to which a watered appearance is given in the process of calendering. 2. A watered, clouded, or frosted appearance produced upon either textile fabrics or metallic surfaces. Moire antique, a superior kind of thick moire.
moire metallique |A crystalline or frosted appearance produced by some acids on tin plate; also, the tin plate thus treated.
moist |1. Moderately wet; damp; humid; not dry; as, a moist atmosphere or air. \"Moist eyes.\" Shak. 2. Fresh, or new. [Obs.] \"Shoes full moist and new.\" \"A draught of moist and corny ale.\" Chaucer.\n\nTo moisten. [Obs.] Shak.
moisten |1. To make damp; to wet in a small degree. A pipe a little moistened on the inside. Bacon. 2. To soften by making moist; to make tender. It moistened not his executioner's heart with any pity. Fuller.
moistener |One who, or that which, moistens. Johnson.
moistful |Full of moisture. [R.]
moistless |Without moisture; dry. [R.]
moistness |The quality or state of being moist.
moisture |1. A moderate degree of wetness. Bacon. 2. That which moistens or makes damp or wet; exuding fluid; liquid in small quantity. All my body's moisture Scarce serves to quench my furnace-burning heat. Shak.
moistureless |Without moisture.
moisty |Moist. [Obs.]
moither |To perplex; to confuse. [Prov. Eng.] Lamb.\n\nTo toil; to labor. [Prov. Eng.]
mojarra |Any of certain basslike marine fishes (mostly of tropical seas, and having a deep, compressed body, protracile mouth, and large silvery scales) constituting the family Gerridæ, as Gerres plumieri, found from Florida to Brazil and used as food. Also, any of numerous other fishes of similar appearance but belonging to other families.
mokadour |A handkerchief. [Obs.]
moke |A donkey. [Cant] Thackeray.\n\nA mesh of a net, or of anything resembling a net. Halliwell.
moky |Misty; dark; murky; muggy. [Obs.]
mola |See Sunfish, 1.
molar |Of or pertaining to a mass of matter; -- said of the properties or motions of masses, as distinguished from those of molecules or atoms. Carpenter.\n\nHaving power to grind; grinding; as, the molar teeth; also, of or pertaining to the molar teeth. Bacon.\n\nAny one of the teeth back of the incisors and canines. The molar which replace the deciduous or milk teeth are designated as premolars, and those which are not preceded by deciduous teeth are sometimes called true molars. See Tooth.
molary |Same as 2d Molar.
molasse |A soft Tertiary sandstone; -- applied to a rock occurring in Switzerland. See Chart of Geology.
molasses |The thick, brown or dark colored, viscid, uncrystallizable sirup which drains from sugar, in the process of manufacture; any thick, viscid, sweet sirup made from vegetable juice or sap, as of the sorghum or maple. See Treacle.
mold |A spot; a blemish; a mole. [Obs.] Spenser.\n\n1. Crumbling, soft, friable earth; esp., earth containing the remains or constituents of organic matter, and suited to the growth of plants; soil. 2. Earthy material; the matter of which anything is formed; composing substance; material. The etherial mold, Incapable of stain. Milton. Nature formed me of her softest mold. Addison.\n\nTo cover with mold or soil. [R.]\n\nA growth of minute fungi of various kinds, esp. those of the great groups Hyphomycetes, and Physomycetes, forming on damp or decaying organic matter. Note: The common blue mold of cheese, the brick-red cheese mold, and the scarlet or orange strata which grow on tubers or roots stored up for use, when commencing to decay, are familiar examples. M. J. Berkley.\n\nTo cause to become moldy; to cause mold to grow upon.\n\nTo become moldy; to be covered or filled, in whole or in part, with a mold.\n\n1. The matrix, or cavity, in which anything is shaped, and from which it takes its form; also, the body or mass containing the cavity; as, a sand mold; a jelly mold. Milton. 2. That on which, or in accordance with which, anything is modeled or formed; anything which serves to regulate the size, form, etc., as the pattern or templet used by a shipbuilder, carpenter, or mason. The glass of fashion and the mold of form. Shak. 3. Cast; form; shape; character. Crowned with an architrave of antique mold. Pope. 4. (Arch.)  A group of moldings; as, the arch mold of a porch or doorway; the pier mold of a Gothic pier, meaning the whole profile, section, or combination of parts. 5. (Anat.)  A fontanel. 6. (Paper Making)  A frame with a wire cloth bottom, on which the pump is drained to form a sheet, in making paper by hand.\n\n1. To form into a particular shape; to shape; to model; to fashion. He forgeth and moldeth metals. Sir M. Hale. Did I request thee, Maker, from my clay To mold me man Milton. 2. To ornament by molding or carving the material of; as, a molded window jamb. 3. To knead; as, to mold dough or bread. 4. (Founding)  To form a mold of, as in sand, in which a casting may be made.
moldable |Capable of being molded or formed.
moldboard |1. A curved plate of iron (originally of wood) back of the share of a plow, which turns over the earth in plowing. 2. (Founding)  A follow board.
molder |One who, or that which, molds or forms into shape; specifically (Founding), one skilled in the art of making molds for castings.\n\nTo crumble into small particles; to turn to dust by natural decay; to lose form, or waste away, by a gradual separation of the component particles, without the presence of water; to crumble away. The moldering of earth in frosts and sun. Bacon. When statues molder, and when arches fall. Prior. If he had sat still, the enemy's army would have moldered to nothing. Clarendon.\n\nTo turn to dust; to cause to crumble; to cause to waste away. [Time's] gradual touch Has moldered into beauty many a tower. Mason.
moldery |Covered or filled with mold; consisting of, or resembling, mold.
moldiness |The state of being moldy.
molding |1. The act or process of shaping in or on a mold, or of making molds; the art or occupation of a molder. 2. Anything cast in a mold, or which appears to be so, as grooved or ornamental bars of wood or metal. 3. (Arch.)  A plane, or curved, narrow surface, either sunk or projecting, used for decoration by means of the lights and shades upon its surface. Moldings vary greatly in pattern, and are generally used in groups, the different members of each group projecting or retreating, one beyond another. See Cable, n., 3, and Crenelated molding, under Crenelate, v. t.\n\nUsed in making a mold or moldings; used in shaping anything according to a pattern. Molding, or Moulding, board. (a) See Follow board, under Follow, v. t. (b) A board on which bread or pastry is kneaded and shaped. -- Molding, or Moulding, machine. (a) (Woodworking) A planing machine for making moldings. (b) (Founding) A machine to assist in making molds for castings. -- Molding, or Moulding, mill, a mill for shaping timber. -- Molding, or Moulding, sand (Founding), a kind of sand containing clay, used in making molds.
moldwarp |See Mole the animal. Spenser.
moldy |Overgrown with, or containing, mold; as, moldy cheese or bread.
mole |1. A spot; a stain; a mark which discolors or disfigures. [Obs.] Piers Plowman. 2. A spot, mark, or small permanent protuberance on the human body; esp., a spot which is dark-colored, from which commonly issue one or more hairs.\n\nA mass of fleshy or other more or less solid matter generated in the uterus.\n\nA mound or massive work formed of masonry or large stones, etc., laid in the sea, often extended either in a right line or an arc of a circle before a port which it serves to defend from the violence of the waves, thus protecting ships in a harbor; also, sometimes, the harbor itself. Brande & C.\n\n1. (Zoöl.)  Any insectivore of the family Talpidæ. They have minute eyes and ears, soft fur, and very large and strong fore feet. Note: The common European mole, or moldwarp (Talpa Europæa), is noted for its extensive burrows. The common American mole, or shrew mole (Scalops aquaticus), and star-nosed mole (Condylura cristata) have similar habits. Note: In the Scriptures, the name is applied to two unindentified animals, perhaps the chameleon and mole rat. 2. A plow of peculiar construction, for forming underground drains. [U.S.] Duck mole. See under Duck. -- Golden mole. See Chrysochlore. -- Mole cricket (Zoöl.), an orthopterous insect of the genus Gryllotalpa, which excavates subterranean galleries, and throws up mounds of earth resembling those of the mole. It is said to do damage by injuring the roots of plants. The common European species (Gryllotalpa vulgaris), and the American (G. borealis), are the best known. -- Mole rat (Zoöl.), any one of several species of Old World rodents of the genera Spalax, Georychus, and several allied genera. They are molelike in appearance and habits, and their eyes are small or rudimentary. -- Mole shrew (Zoöl.), any one of several species of short-tailed American shrews of the genus Blarina, esp. B. brevicauda. -- Water mole, the duck mole.\n\n1. To form holes in, as a mole; to burrow; to excavate; as, to mole the earth. 2. To clear of molehills. [Prov. Eng.] Pegge.
mole-eyed |Having eyes like those of the mole; having imperfect sight.
molebut |The sunfish (Orthagoriscus, or Mola). [Written also molebat.]
molecast |A little elevation of earth made by a mole; a molehill. Mortimer.
molech |The fire god of the Ammonites, to whom human sacrifices were offered; Moloch. Lev. xviii. 21.
molecular |Pertaining to, connected with, produced by, or consisting of, molecules; as, molecular forces; molecular groups of atoms, etc. Molecular attraction (Phys.), attraction acting between the molecules of bodies, and at insensible distances. -- Molecular weight (Chem.), the weight of a molecule of any gas or vapor as compared with the hydrogen atom as a standard; the sum of the atomic weights of the constituents of a molecule; thus, the molecular weight of water (H2O) is 18.
molecularity |The state of consisting of molecules; the state or quality of being molecular.
molecularly |With molecules; in the manner of molecules. W. R. Grove.
molecule |1. One of the very small invisible particles of which all matter is supposed to consist. 2. (Physics)  The smallest part of any substance which possesses the characteristic properties and qualities of that substance, and which can exist alone in a free state. 3. (Chem.)  A group of atoms so united and combined by chemical affinity that they form a complete, integrated whole, being the smallest portion of any particular compound that can exist in a free state; as, a molecule of water consists of two atoms of hydrogen and one of oxygen. Cf. Atom.
molehill |A little hillock of earth thrown up by moles working under ground; hence, a very small hill, or an insignificant obstacle or difficulty. Having leapt over such mountains, lie down before a molehill. South.
molendinaceous |Resembling the sails of a windmill.
molendinarious |Resembling the sails of a windmill.
moleskin |Any fabric having a thick soft shag, like the fur of a mole; esp., a kind of strong twilled fustian.
molest |To trouble; to disturb; to render uneasy; to interfere with; to vex. They have molested the church with needless opposition. Hooker. Syn. -- To trouble; disturb; incommode; inconvenience; annoy; vex; tease.\n\nMolestation. [Obs.] Chaucer.
molestation |The act of molesting, or the state of being molested; disturbance; annoyance.
molester |One who molests.
molestful |Troublesome; vexatious. [R.]
molestie |Molestation. [Obs.] Chaucer.
molesty |Molestation. [Obs.] Chaucer.
molewarp |See Moldwarp.
moliminous |Of great bulk or consequence; very important. [Obs.] Dr. H. More.
moline |The crossed iron that supports the upper millstone by resting on the spindle; a millrind. Cross moline (Her.), a cross each arm of which is divided at the end into two rounded branches or divisions.
molinism |The doctrines of the Molinists, somewhat resembling the tenets of the Arminians.
molinist |A follower of the opinions of Molina, a Spanish Jesuit (in respect to grace); an opposer of the Jansenists.
moll |Minor; in the minor mode; as, A moll, that is, A minor.
mollah |One of the higher order of Turkish judges; also, a Turkish title of respect for a religious and learned man. [Written also moolah.]
molle |Lower by a semitone; flat; as, E molle, that is, E flat.
mollebart |An agricultural implement used in Flanders, consisting of a kind of large shovel drawn by a horse and guided by a man. [Written also mollebært and mouldebært.] Simmonds.
mollemoke |Any one of several species of large pelagic petrels and fulmars, as Fulmarus glacialis, of the North Atlantic, and several species of Æstrelata, of the Southern Ocean. See Fulmar. [Written also mollymawk, malmock, mollemock, mallemocke, etc.]
mollient |Serving to soften; assuaging; emollient.
molliently |Assuagingly.
mollifiable |Capable of being mollified.
mollification |The act of mollifying, or the state of being mollified; a softening. Chaucer.
mollifier |One who, or that which, mollifies. Bacon.
mollify |1. To soften; to make tender; to reduce the hardness, harshness, or asperity of; to qualify; as, to mollify the ground. With sweet science mollified their stubborn hearts. Spenser. 2. To assuage, as pain or irritation, to appease, as excited feeling or passion; to pacify; to calm.
mollinet |A little mill.
mollipilose |Having soft hairs; downy.
mollities |Unnatural softness of any organ or part. Dunglison.
mollitude |Softness; effeminacy; weakness. [R.]
mollusc |Same as Mollusk.
mollusca |One of the grand divisions of the animal kingdom, including the classes Cephalopoda, Gastropoda, PteropodaScaphopoda, and Lamellibranchiata, or Conchifera. These animals have an unsegmented bilateral body, with most of the organs and parts paired, but not repeated longitudinally. Most of them develop a mantle, which incloses either a branchial or a pulmonary cavity. They are generally more or less covered and protected by a calcareous shell, which may be univalve, bivalve, or multivalve. Note: Formerly the Brachiopoda, Bryzoa, and Tunicata were united with the Lamellibranchiata in an artificial group called Acephala, which was also included under Mollusca. See Molluscoudea.
molluscan |Of or pertaining to mollusks. -- n.  A mollusk; one of the Mollusca.
molluscoid |Resembling the true mollusks; belonging to the Molluscoidea. -- n.  One of the Molluscoidea.
molluscoidal |Molluscoid.
molluscoidea |A division of Invertebrata which includes the classes Brachiopoda and Bryozoa; -- called also Anthoid Mollusca. Note: Originally the Tunicata were included under Molluscoidea, from which they are known to differ widely in structure and embryology. Molluscoidea were formerly considered a subdivision of Mollusca, but they are now known to have more relationship with Annelida than with Mollusca.
molluscous |Molluscan.
molluscum |A cutaneous disease characterized by numerous tumors, of various forms, filled with a thick matter; -- so called from the resemblance of the tumors to some molluscous animals. Dunglison.
mollusk |One of the Mollusca. [Written also mollusc.]
molly |Same as Mollemoke.\n\nA pet or colloquial name for Mary. Molly cottontail. (Zoöl.) See Cottontail. -- Molly Maguire (ma*gwir\"); pl. Molly Maguires (-gwirz). (a) A member of a secret association formed among the tenantry in Ireland about 1843, principally for the purpose of intimidating law officers and preventing the service of legal writs. Its members disguised themselves in the dress of women. (b) A member of a similar association of Irishmen organized in the anthracite coal region of Pennsylvania, about 1854, for the purpose of intimidating employers and officers of the law, and for avenging themselves by murder on persons obnoxious to them. The society was broken up by criminal prosecutions in 1876.
molly-mawk |See Mollemoke.
moloch |1. (Script.)  The fire god of the Ammonites in Canaan, to whom human sacrifices were offered; Molech. Also applied figuratively. 2. (Zoöl.)  A spiny Australian lizard (Moloch horridus). The horns on the head and numerous spines on the body give it a most formidable appearance.
molokane |See Raskolnik.
molokany |See Raskolnik.
molosse |See Molossus.
molosses |Molasses. [Obs.]
molossine |A bat of the genus Molossus, as the monk bat.
molossus |A foot of three long syllables. [Written also molosse.]
molt |of Melt. Chaucer. Spenser.\n\nTo shed or cast the hair, feathers, skin, horns, or the like, as an animal or a bird. Bacon.\n\nTo cast, as the hair, skin, feathers, or the like; to shed.\n\nThe act or process of changing the feathers, hair, skin, etc.; molting.
moltable |Capable of assuming a molten state; meltable; fusible. [Obs.]
molten |1. Melted; being in a state of fusion, esp. when the liquid state is produced by a high degree of heat; as, molten iron. 2. Made by melting and casting the substance or metal of which the thing is formed; as, a molten image.
molto |Much; very; as, molto adagio, very slow.
moly |1. A fabulous herb of occult power, having a black root and white blossoms, said by Homer to have been given by Hermes to Ulysses to counteract the spells of Circe. Milton. 2. (Bot.)  A kind of garlic (Allium Moly) with large yellow flowers; -- called also golden garlic.
molybdate |A salt of molybdic acid.
molybdena |See Molybdenite.
molybdenite |A mineral occurring in soft, lead-gray, foliated masses or scales, resembling graphite; sulphide of molybdenum.
molybdenous |See Molybdous.
molybdenum |A rare element of the chromium group, occurring in nature in the minerals molybdenite and wulfenite, and when reduced obtained as a hard, silver-white, difficulty fusible metal. Symbol Mo. Atomic weight 95.9.
molybdic |Of, pertaining to, or containing, molybdenum; specif., designating those compounds in which the element has a higher valence, as contrasted with molybdous compounds; as, molybdic oxide.
molybdite |Molybdic ocher.
molybdous |Of, pertaining to, or containing, molybdenum; specif., designating those compounds in which molybdenum has a lower valence as contrasted with molybdic compounds.
mome |A dull, silent person; a blockhead. [Obs.] Spenser.
moment |1. A minute portion of time; a point of time; an instant; as, at thet very moment. In a moment, in the twinkling of an eye. 1 Cor. xv. 52. 2. Impulsive power; force; momentum. The moments or quantities of motion in bodies. Berkley. Touch, with lightest moment of impulse, His free will. Milton. 3. Importance, as in influence or effect; consequence; weight or value; consideration. Matters of great moment. Shak. It is an abstruse speculation, but also of far less moment and consequence of us than the others. Bentley. 4. An essential element; a deciding point, fact, or consideration; an essential or influential circumstance. 5. (Math.)  An infinitesimal change in a varying quantity; an increment or decrement. [Obs.] 6. (Mech.)  Tendency, or measure of tendency, to produce motion, esp. motion about a fixed point or axis. Moment of a couple (Mech.), the product of either of its forces into the perpendicular distance between them. -- Moment of a force. (Mech.) (a) With respect to a point, the product of the intensity of the force into the perpendicular distance from the point to the line of direction of the force. (b) With respect to a line, the product of that component of the force which is perpendicular to the plane passing through the line and the point of application of the force, into the shortest distance between the line and this point. (c) With respect to a plane that is parallel to the force, the product of the force into the perpendicular distance of its point of application from the plane. -- Moment of inertia, of a rotating body, the sum of the mass of each particle of matter of the body into the square of its distance from the axis of rotation; -- called also moment of rotation and moment of the mass. -- Statical moment, the product of a force into its leverage; the same as moment of a force with respect to a point, line, etc. -- Virtual moment. See under Virtual. Syn. -- Instant; twinkling; consequence; weight; force; value; consideration; signification; avail.
momental |1. Lasting but a moment; brief. Not one momental minute doth she swerve. Breton. 2. Important; momentous. 3. (Mech.)  Of or pertaining to moment or momentum.
momentally |For a moment. [Obs.]
momentaneous |Momentary. [Obs.] Hooker. \"Momentany as a sound.\" Shak.
momentany |Momentary. [Obs.] Hooker. \"Momentany as a sound.\" Shak.
momentarily |Every moment; from moment to moment. Shenstone.
momentariness |The state or quality of being momentary; shortness of duration.
momentary |Done in a moment; continuing only a moment; lasting a very short time; as, a momentary pang. This momentary joy breeds months of pain. Shak.
momently |1. For a moment. 2. In a moment; every moment; momentarily.
momentous |Of moment or consequence; very important; weighty; as, a momentous decision; momentous affairs. -- Mo*men\"tous*ly, adv. -- Mo*men\"tous*ness, n.
momentum |1. (Mech.)  The quantity of motion in a moving body, being always proportioned to the quantity of matter multiplied into the velocity; impetus. 2. Essential element, or constituent element. I shall state the several momenta of the distinction in separate propositions. Sir W. Hamilton.
momier |A name given in contempt to strict Calvinists in Switzerland, France, and some parts of Germany, in the early part of the 19th century.
mommery |See Mummery. Rowe.
momot |See Motmot.
momus |The god of mockery and censure.
mon- |Same as Mono-.\n\nA prefix signifying one, single, alone; as, monocarp, monopoly; (Chem.) indicating that a compound contains one atom, radical, or group of that to the name of which it is united; as, monoxide, monosulphide, monatomic, etc.
mona |A small, handsome, long-tailed West American monkey (Cercopithecus mona). The body is dark olive, with a spot of white on the haunches.
monachal |Of or pertaining to monks or a monastic life; monastic.
monachism |The system and influences of a monastic life; monasticism.
