kakistocracy |Government by the worst men.
kentucky |One of the United States. Kentucky blue grass (Bot.), a valuable pasture and meadow grass (Poa pratensis), found in both Europe and America. See under Blue grass. -- Kentucky coffee tree (Bot.), a tall North American tree (Gymnocladus Canadensis) with bipinnate leaves. It produces large woody pods containing a few seeds which have been used as a substitute for coffee. The timber is a very valuable.
kephalin |One of a group of nitrogenous phosphorized principles, supposed by Thudichum to exist in brain tissue.
kepi |A military cap having a close-fitting band, a round flat top sloping toward the front, and a visor. As originally worn by the French in Algeria about 1830 it was tall and stiff with a straight visor. It is now lower, has a curved visor, and is frequently soft.
kept |of Keep. Kept mistress, a concubine; a woman supported by a man as his paramour.
kepviselohaz |See Legislature.
keramic |Same as Ceramic.
keramics |Same as Ceramics.
keramographic |Suitable to be written upon; capable of being written upon, as a slate; -- said especially of a certain kind of globe. Scudamore.
kerana |A kind of long trumpet, used among the Persians. Moore (Encyc. of Music).
kerargyrite |See Cerargyrite.
kerasin |A nitrogenous substance free from phosphorus, supposed to be present in the brain; a body closely related to cerebrin.
kerasine |Resembling horn; horny; corneous.
keratin |A nitrogenous substance, or mixture of substances, containing sulphur in a loose state of combination, and forming the chemical basis of epidermal tissues, such as horn, hair, feathers, and the like. It is an insoluble substance, and, unlike elastin, is not dissolved even by gastric or pancreatic juice. By decomposition with sulphuric acid it yields leucin and tyrosin, as does albumin. Called also epidermose.
keratitis |Inflammation of the cornea.
keratode |See Keratose.
keratogenous |Producing horn; as, the keratogenous membrane within the horny hoof of the horse.
keratoidea |Same as Keratosa.
keratome |An instrument for dividing the cornea in operations for cataract.
keratonyxis |The operation of removing a cataract by thrusting a needle through the cornea of the eye, and breaking up the opaque mass.
keratophyte |A gorgonian coral having a horny axis.
keratosa |An order of sponges having a skeleton composed of hornlike fibers. It includes the commercial sponges.
keratose |A tough, horny animal substance entering into the composition of the skeleton of sponges, and other invertebrates; -- called also keratode.\n\nContaining hornlike fibers or fibers of keratose; belonging to the Keratosa.
keraunograph |A figure or picture impressed by lightning upon the human body or elsewhere. -- Ker`au-nog\"ra-phy, n.
kerb |See Curb.
kerbstone |See Curbstone.
kercher |A kerchief. [Obs.] He became . . . white as a kercher. Sir T. North.
kerchered |Covered, or bound round, with a kercher. [Obs.] G. Fletcher.
kerchief |1. A square of fine linen worn by women as a covering for the head; hence, anything similar in form or material, worn for ornament on other parts of the person; -- mostly used in compounds; as, neckerchief; breastkerchief; and later, handkerchief. He might put on a hat, a muffler, and a kerchief, and so escape. Shak. Her black hair strained away To a scarlet kerchief caught beneath her chin. Mrs. Browning. 2. A lady who wears a kerchief. Dryden.
kerchiefed |Dressed; hooded; covered; wearing a kerchief. Milton.
kerchieft |Dressed; hooded; covered; wearing a kerchief. Milton.
kerf |A notch, channel, or slit made in any material by cutting or sawing.
kerite |A compound in which tar or asphaltum combined with animal or vegetable oils is vulcanized by sulphur, the product closely resembling rubber; -- used principally as an insulating material in telegraphy. Knight.
kerl |See Carl.
kermes |1. (Zoöl.)  The dried bodies of the females of a scale insect (Coccus ilicis), allied to the cochineal insect, and found on several species of oak near the Mediterranean. They are round, about the size of a pea, contain coloring matter analogous to carmine, and are used in dyeing. They were anciently thought to be of a vegetable nature, and were used in medicine. [Written also chermes.] 2. (Bot.)  A small European evergreen oak (Quercus coccifera) on which the kermes insect (Coccus ilicis) feeds. J. Smith (Dict. Econ. Plants). Kermes mineral. (a) (Old Chem.) An artificial amorphous trisulphide of antimony; -- so called on account of its red color. (b) (Med. Chem.) A compound of the trioxide and trisulphide of antimony, used in medicine. This substance occurs in nature as the mineral kermesite.
kermesse |See Kirmess.
kern |1. A light-armed foot soldier of the ancient militia of Ireland and Scotland; -- distinguished from gallowglass, and often used as a term of contempt. Macaulay. Now for our Irish wars; We must supplant those rough, rug-headed kerns. Shak. 2. Any kind of boor or low-lived person. [Obs.] Blount. 3. (O. Eng. Law)  An idler; a vagabond. Wharton.\n\nA part of the face of a type which projects beyond the body, or shank.\n\nTo form with a kern. See 2d Kern.\n\nA churn. [Prov. Eng.]\n\nA hand mill. See Quern. Johnson.\n\n1. To harden, as corn in ripening. [Obs.] Carew. 2. To take the form of kernels; to granulate. [Obs.] It is observed that rain makes the salt kern. Dampier.
kern baby |A doll or image decorated with corn (grain) flowers, etc., carried in the festivals of a kern, or harvest-home. Called also harvest queen.
kerned |Having part of the face projecting beyond the body or shank; -- said of type. \"In Roman, f and j are the only kerned letters.\" MacKellar.
kernel |1. The essential part of a seed; all that is within the seed walls; the edible substance contained in the shell of a nut; hence, anything included in a shell, husk, or integument; as, the kernel of a nut. See Illust. of Endocarp. ' A were as good crack a fusty nut with no kernel Shak. 2. A single seed or grain; as, a kernel of corn. 3. A small mass around which other matter is concreted; a nucleus; a concretion or hard lump in the flesh. 4. The central, substantial or essential part of anything; the gist; the core; as, the kernel of an argument.\n\nTo harden or ripen into kernels; to produce kernels.
kerneled |Having a kernel.
kernelled |Having a kernel.
kernelly |Full of kernels; resembling kernels; of the nature of kernels. Holland.
kernish |Clownish; booorish. [Obs.] \"A petty kernish prince.\" Milton.
kerolite |Same as Cerolite.
kerosene |An oil used for illuminating purposes, formerly obtained from the distillation of mineral wax, bituminous shale, etc., and hence called also coal oil. It is now produced in immense quantities, chiefly by the distillation and purification of petroleum. It consists chiefly of several hydrocarbons of the methane series.
kers |A cress. [Obs.] Chaucer. Not worth a kers. See under Cress.
kerse |A cress. [Obs.] Chaucer. Not worth a kers. See under Cress.
kersey |A kind of coarse, woolen cloth, usually ribbed, woven from wool of long staple.
kerseymere |See Cassimere.
kerseynette |See Cassinette.
kerseys |Varieties of kersey; also, trousers made of kersey.
kerve |To carve. [Obs.] Chaucer.
kerver |A carver. [Obs.] Chaucer.
kesar |See Kaiser [Obs.] Spenser.
keslop |The stomach of a calf, prepared for rennet. Halliwell.
kess |To kiss. [Obs.] Chaucer
kest |of Cast. [Obs.]
kestrel |A small, slender European hawk (Falco alaudarius), allied to the sparrow hawk. Its color is reddish fawn, streaked and spotted with white and black. Also called windhover and stannel. The name is also applied to other allied species. Note: This word is often used in contempt, as of a mean kind of hawk. \"Kites and kestrels have a resemblance with hawks.\" Bacon.
ket |Carrion; any filth. [Prob. Eng.] Halliwell.
keta |A small salmon (Oncorhynchus keta) of inferior value, which in the autumn runs up all the larger rivers between San Francisco and Kamchatka.
ketch |An almost obsolete form of vessel, with a mainmast and a mizzenmast, -- usually from one hundred to two hundred and fifty tons burden. Bomb ketch. See under Bomb.\n\nA hangman. See Jack Ketch.\n\nTo catch. [Now obs. in spelling, and colloq. in pronunciation.] To ketch him at a vantage in his snares. Spenser.
ketchup |A sauce. See Catchup.
ketine |One of a series of organic bases obtained by the reduction of certain isonitroso compounds of the ketones. In general they are unstable oily substances having a pungent aromatic odor.
ketmie |The name of certain African species of Hibiscus, cultivated for the acid of their mucilage. [Written also ketmia.]
ketol |One of a series of series of complex nitrogenous substances, represented by methyl ketol and related to indol. Methyl ketol, a weak organic base, obtained as a white crystalline substance having the odor of fæces.
ketone |One of a large class of organic substances resembling the aldehydes, obtained by the distillation of certain salts of organic acids and consisting of carbonyl (CO) united with two hydrocarbon radicals. In general the ketones are colorless volatile liquids having a pungent ethereal odor. Note: The ketones are named by adding the suffix-one to the stems of the organic acids from which they are respectively derived; thus, acetic acid gives acetone; butyric acid, butyrone, etc.
ketonic |Pertaining to, or derived from, a ketone; as, a ketonic acid.
kettle |A metallic vessel, with a wide mouth, often without a cover, used for heating and boiling water or other liguids. Kettle pins, ninepins; skittles. [Obs.] Shelton. -- Kettle stitch (Bookbinding), the stitch made in sewing at the head and tail of a book. Knight.
kettledrum |1. (Mus.)  A drum made of thin copper in the form of a hemispherical kettle, with parchment stretched over the mouth of it. Note: Kettledrums, in pairs, were formerly used in martial music for cavalry, but are now chiefly confined to orchestras, where they are called tympani. 2. An informal social party at which a light collation is offered, held in the afternoon or early evening. Cf. Drum, n., 4 and 5.
kettledrummer |One who plays on a kettledrum.
keuper |The upper division of the European Triassic. See Chart of Geology.
kevel |1. (Naut.)  A strong cleat to which large ropes are belayed. 2. A stone mason's hammer. [Written also cavil.] Kevel head (Naut.), a projecting end of a timber, used as a kevel.\n\nThe gazelle.
kever |i. To cover. [Obs.] Chaucer.
keverchief |A kerchief. [Obs.] Chaucer.
kevin |The gazelle.
kex |1. (Bot.)  A weed; a kecksy. Bp. Gauden. Though the rough kex break The starred mosaic. Tennyson. 2. A dry husk or covering. When the kex, or husk, is broken, he proveth a fair flying butterfly. Holland.
key |1. An instrument by means of which the bolt of a lock is shot or drawn; usually, a removable metal instrument fitted to the mechanism of a particular lock and operated by turning in its place. 2. An instrument which is turned like a key in fastening or adjusting any mechanism; as, a watch key; a bed key, etc. 3. That part of an instrument or machine which serves as the means of operating it; as, a telegraph key; the keys of a pianoforte, or of a typewriter. 4. A position or condition which affords entrance, control, pr possession, etc.; as, the key of a line of defense; the key of a country; the key of a political situation. Hence, that which serves to unlock, open, discover, or solve something unknown or difficult; as, the key to a riddle; the key to a problem. Those who are accustomed to reason have got the true key of books. Locke. Who keeps the keys of all the creeds. Tennyson. 5. That part of a mechanism which serves to lock up, make fast, or adjust to position. 6. (Arch.) (a) A piece of wood used as a wedge. (b) The last board of a floor when laid down. 7. (Masonry) (a) A keystone. (b) That part of the plastering which is forced through between the laths and holds the rest in place. 8. (Mach.) (a) A wedge to unite two or more pieces, or adjust their relative position; a cotter; a forelock. See Illusts. of Cotter, and Gib. (b) A bar, pin or wedge, to secure a crank, pulley, coupling, etc., upon a shaft, and prevent relative turning; sometimes holding by friction alone, but more frequently by its resistance to shearing, being usually embedded partly in the shaft and partly in the crank, pulley, etc. 9. (Bot.)  An indehiscent, one-seeded fruit furnished with a wing, as the fruit of the ash and maple; a samara; -- called also key fruit. 10. (Mus.) (a) A family of tones whose regular members are called diatonic tones, and named key tone (or tonic) or one (or eight), mediant or three, dominant or five, subdominant or four, submediant or six, supertonic or two, and subtonic or seven. Chromatic tones are temporary members of a key, under such names as \" sharp four,\" \"flat seven,\" etc. Scales and tunes of every variety are made from the tones of a key. (b) The fundamental tone of a movement to which its modulations are referred, and with which it generally begins and ends; keynote. Both warbling of one song, both in one key. Shak. 11. Fig: The general pitch or tone of a sentence or utterance. You fall at once into a lower key. Cowper. Key bed. Same as Key seat. -- Key bolt, a bolt which has a mortise near the end, and is secured by a cotter or wedge instead of a nut. Key bugle. See Kent bugle. -- Key of a position or country. (Mil.) See Key, 4. -- Key seat (Mach.), a bed or groove to receive a key which prevents one part from turning on the other. -- Key way, a channel for a key, in the hole of a piece which is keyed to a shaft; an internal key seat; -- called also key seat. -- Key wrench (Mach.), an adjustable wrench in which the movable jaw is made fast by a key. -- Power of the keys (Eccl.), the authority claimed by the ministry in some Christian churches to administer the discipline of the church, and to grant or withhold its privileges; -- so called from the declaration of Christ, \"I will give unto thee the keys of the kingdom of heaven.\" Matt. xvi. 19.\n\nTo fasten or secure firmly; to fasten or tighten with keys or wedges. Francis. To key up. (a) (Arch.) To raise (the whole ring of an arch) off its centering, by driving in the keystone forcibly. (b) (Mus.) To raise the pitch of. (c) Hence, fig., to produce nervous tension in.
key fruit |A samara.
key tone |See Keynote.
key-cold |Cold as a metallic key; lifeless. [Formerly, a proverbial expression.] Shak. Milton.
keyage |Wharfage; quayage.
keyboard |The whole arrangement, or one range, of the keys of an organ, typewriter, etc.
keyed |Furnished with keys; as, a keyed instrument; also, set to a key, as a tune. Keyed bugle. See Kent bugle.
keyhole |1. A hole or apertupe in a door or lock, for receiving a key. 2. (a) (Carp.) A hole or excavation in beams intended to be joined together, to receive the key which fastens them. (b) (Mach.) a mortise for a key or cotter. Keyhole limpet (Zoöl.), a marine gastropod of the genus Fissurella and allied genera. See Fissurella. -- Keyhole saw, a narrow, slender saw, used in cutting keyholes, etc., as in doors; a kind of compass saw or fret saw. -- Keyhole urchin (Zoöl.), any one of numerous clypeastroid sea urchins, of the genera Melitta, Rotula, and Encope; -- so called because they have one or more perforations resembling keyholes.
keynote |1. (Mus.)  The tonic or first tone of the scale in which a piece or passage is written; the fundamental tone of the chord, to which all the modulations of the piece are referred; -- called also key tone. 2. The fundamental fact or idea; that which gives the key; as, the keynote of a policy or a sermon.
keyseat |To form a key seat, as by cutting. See Key seat, under Key.
keystone |The central or topmost stone of an arch. This in some styles is made different in size from the other voussoirs, or projects, or is decorated with carving. See Illust. of Arch. Keystone State, the State of Pennsylvania; -- so called from its having been the central State of the Union at the formation of the Constitution.
keystone state |Pennsylvania; -- a nickname alluding to its having been the central one of the 13 original United States.
keyway |See Key way, under Key.
khaki |Of a dull brownish yellow, or drab color; -- applied to cloth, originally to a stout brownish cotton cloth, used in making uniforms in the Anglo-Indian army. In the United States service the summer uniform of cotton is officially designated khaki; the winter uniform of wool, olive drab.\n\nAny kind of khaki cloth; hence, a uniform of khaki or, rarely, a soldier clad in khaki. In the United States and British armies khaki or cloth of a very similar color is almost exclusively used for service in the field.
khaliff |See Caliph.
khamsin |A hot southwesterly wind in Egypt, coming from the Sahara. [Written also Khamseen.]\n\nSame as Kamsin.
khan |A king; a prince; a chief; a governor; -- so called among the Tartars, Turks, and Persians, and in countries now or formerly governed by them.\n\nAn Eastern inn or caravansary. [Written also kawn.]
khanate |Dominion or jurisdiction of a khan.
khaya |A lofty West African tree (Khaya Senegalensis), related to the mahogany, which it resembles in the quality of the wood. The bark is used as a febrifuge.
khedive |A governor or viceroy; -- a title granted in 1867 by the sultan of Turkey to the ruler of Egypt.
khenna |See Henna.
kholah |The Indian jackal.
kholsun |The dhole.
khond |A Dravidian of a group of tribes of Orissa, India, a section of whom were formerly noted for their cruel human sacrifices to the earth goddess, murder of female infants, and marriage by capture.
khutbah |An address or public prayer read from the steps of the pulpit in Mohammedan mosques, offering glory to God, praising Mohammed and his descendants, and the ruling princes.
kiabooca wood |. See Kyaboca wood.
kiang |The dziggetai.
kibble |To bruise; to grind coarsely; as, kibbled oats. [Prov.Eng.] Halliwell.\n\nA large iron bucket used in Cornwall and Wales for raising ore out of mines. [Prov. Eng.] [Written also kibbal.]
kibblings |Portions of small fish used for bait on the banks of Newfoundland.
kibe |A chap or crack in the flesh occasioned by cold; an ulcerated chilblain. \"He galls his kibe.\" Shak.
kibed |Chapped; cracked with cold; affected with chilblains; as kibed heels. Beau. & Fl.
kibitka |1. A tent used by the Kirghiz Tartars. 2. A rude kind of Russian vehicle, on wheels or on runners, sometimes covered with cloth or leather, and often used as a movable habitation.
kiblah |See Keblah.
kibosh |1. Nonsense; stuff; also, fashion; style. [Slang] 2.  Portland cement when thrown or blown into the recesses of carved stonework to intensify the shadows. To put the kibosh on, to do for; to dispose of. [Slang]
kiby |Affected with kibes. Skelton.
kichil |,. [Obs.] See Kechil. Chaucer.
kick |To strike, thrust, or hit violently with the foot; as, a horse kicks a groom; a man kicks a dog. He [Frederick the Great] kicked the shins of his judges. Macaulay. To kick the beam, to fit up and strike the beam; -- said of the lighter arm of a loaded balance; hence, to be found wanting in weight. Milton. -- To kick the bucket, to lose one's life; to die. [Colloq. & Low]\n\n1. To thrust out the foot or feet with violence; to strike out with the foot or feet, as in defense or in bad temper; esp., to strike backward, as a horse does, or to have a habit of doing so. Hence, figuratively: To show ugly resistance, opposition, or hostility; to spurn. I should kick, being kicked. Shak. 2. To recoil; -- said of a musket, cannon, etc.\n\n1. A blow with the foot or feet; a striking or thrust with the foot. A kick, that scarce would more a horse, May kill a sound divine. Cowper. 2. The projection on the tang of the blade of a pocket knife, which prevents the edge of the blade from striking the spring. See Illust. of Pocketknife. 3. (Brickmaking)  A projection in a mold, to form a depression in the surface of the brick. 4. The recoil of a musket or other firearm, when discharged.
kickable |Capable or deserving of being kicked. \"A kickable boy.\" G. Eliot.
kickapoos |A tribe of Indians which formerly occupied the region of Northern Illinois, allied in language to the Sacs and Foxes.
kicker |One who, or that which, kicks.
kickshaw |See Kickshaws, the correct singular.
kickshaws |1. Something fantastical; any trifling, trumpery thing; a toy. Art thou good at these kickshawses! Shak. 2. A fancy dish; a titbit; a delicacy. Some pigeons, . . . a joint of mutton, and any pretty little tiny kickshaws. Shak. Cressy was lost by kickshaws and soup-maigre. Fenton.
kickshoe |A kickshaws. Milton.
kicksy-wicksy |That which is restless and uneasy. Note: Kicky-wicky, or, in some editions, Kicksy-wicksy, is applied contemptuously to a wife by Shakespeare, in \"All's Well that Ends Well,\" ii. 3, 297.\n\nFantastic; restless; as, kicksy-wicksy flames. Nares.
kickup |The water thrush or accentor. [Local, West Indies]
kicky-wisky |That which is restless and uneasy. Note: Kicky-wicky, or, in some editions, Kicksy-wicksy, is applied contemptuously to a wife by Shakespeare, in \"All's Well that Ends Well,\" ii. 3, 297.
kid |1. (Zoöl.)  A young goat. The . . . leopard shall lie down with the kid. Is. xi. 6 . 2. A young child or infant; hence, a simple person, easily imposed on. [Slang] Charles Reade. 3. A kind of leather made of the skin of the young goat, or of the skin of rats, etc. 4. pl.  Gloves made of kid. [Colloq. & Low] 5. A small wooden mess tub; -- a name given by sailors to one in which they receive their food. Cooper.\n\nTo bring forth a young goat.\n\nA fagot; a bundle of heath and furze. [Prov. Eng.] Wright.\n\nof Kythe. [Obs.] Gower. Chaucer.\n\nSee Kiddy, v. t. [Slang]
kid-fox |A young fox Shak.
kidde |of Kythe. [Obs.] Chaucer.
kidderminster |A kind of ingrain carpeting, named from the English town where formerly most of it was manufactured.
kiddier |A huckster; a cadger. [Obs.] Halliwell.
kiddle |A kind of basketwork wear in a river, for catching fish. [Improperly spelled kittle.]
kiddow |The guillemot. [Written also kiddaw.] [Prov. Eng.]
kiddy |To deceive; to outwit; to hoax. [Slang] Dickens.\n\nA young fellow; formerly, a low thief. [Slang, Eng.]
kiddyish |Frolicsome; sportive. [Slang]
kidfox |A young fox Shak.
kidling |A young kid.
kidnap |To take (any one) by force or fear, and against one's will, with intent to carry to another place. Abbott. You may reason or expostulate with the parents, but never attempt to kidnap their children, and to make proselytes of them. Whately. Note: Originally used only of stealing children, but now extended in application to any human being, involuntarily abducted.
kidnaper |One who steals or forcibly carries away a human being; a manstealer.
kidnapper |One who steals or forcibly carries away a human being; a manstealer.
kidney |1. (Anat.)  A glandular organ which excretes urea and other waste products from the animal body; a urinary gland. Note: In man and in other mammals there are two kidneys, one each side of vertebral column in the back part of the abdomen, each kidney being connected with the bladder by a long tube, the ureter, through which the urine is constantly excreted into the bladder to be periodically discharged. 2. Habit; disposition; sort; kind. Shak. There are in later other decrees, made by popes of another kidney. Barrow. Millions in the world of this man's kidney. L'Estrange. Your poets, spendthrifts, and other fools of that kidney, pretend, forsooth, to crack their jokes on prudence. Burns. Note: This use of the word perhaps arose from the fact that the kidneys and the fat about them are an easy test of the condition of an animal as to fatness. \"Think of that, -- a man of my kidney; -- . . . as subject to heat as butter.\" Shak. 3. A waiter. [Old Cant] Tatler. Floating kidney. See Wandering kidney, under Wandering. -- Kidney bean (Bot.), a sort of bean; -- so named from its shape. It is of the genus Phaseolus (P. vulgaris). See under Bean. -- Kidney ore (Min.), a variety of hematite or iron sesquioxide, occurring in compact kidney-shaped masses. -- Kidney stone. (Min.) See Nephrite, and Jade. -- Kidney vetch (Bot.), a leguminous herb of Europe and Asia (Anthyllis vulneraria), with cloverlike heads of red or yellow flowers, once used as a remedy for renal disorders, and also to stop the flow of blood from wounds; lady's-fingers.
kidney-form |Having the form or shape of a kidney; reniform; as, a kidney- shaped leaf. Gray.
kidney-shaped |Having the form or shape of a kidney; reniform; as, a kidney- shaped leaf. Gray.
kidneywort |(a) A kind of saxifrage (Saxifrage stellaris). (b) The navelwort.
kie |Kine; cows. [Prov. Eng.] Halliwell.
kiefekil |A species of clay; meerschaum. [Also written keffekil.]
kier |A large tub or vat in which goods are subjected to the action of hot lye or bleaching liquor; -- also called keeve.
kieselguhr |Siliceous earth; specifically, porous infusorial earth, used as an absorbent of nitroglycerin in the manufacture of dynamite.
kieserite |Hydrous sulphate of magnesia found at the salt mines of Stassfurt, Prussian Saxony.
kieve |See Keeve, n.
kike |To gaze; to stare. [Obs.] Chaucer.\n\nTo kick [Obs.] Chaucer.
kilderkin |A small barrel; an old liquid measure containing eighteen English beer gallons, or nearly twenty-two gallons, United States measure. [Written also kinderkin.]
kilerg |A unit of work equal to one thousand ergs.
kilkenny cats |Two cats fabled, in an Irish story, to have fought till nothing was left but their tails. It is probably a parable of a local contest between Kilkenny and Irishtown, which impoverished both towns.
kill |A kiln. [Obs.] Fuller.\n\nA channel or arm of the sea; a river; a stream; as, the channel between Staten Island and Bergen Neck is the Kill van Kull, or the Kills; -- used also in composition; as, Schuylkill, Catskill, etc.\n\n1. To deprive of life, animal or vegetable, in any manner or by any means; to render inanimate; to put to death; to slay. Ah, kill me with thy weapon, not with words ! Shak. 2. To destroy; to ruin; as, to kill one's chances; to kill the sale of a book. \"To kill thine honor.\" Shak. Her lively color kill'd with deadly cares. Shak. 3. To cause to cease; to quell; to calm; to still; as, in seamen's language, a shower of rain kills the wind. Be comforted, good madam; the great rage, You see, is killed in him. Shak. 4. To destroy the effect of; to counteract; to neutralize; as, alkali kills acid. To kill time, to busy one's self with something which occupies the attention, or makes the time pass without tediousness. Syn. -- To murder; assassinate; slay; butcher; destroy. -- To Kill, Murder, Assassinate. To kill does not necessarily mean any more than to deprive of life. A man may kill another by accident or in self-defense, without the imputation of guilt. To murder is to kill with malicious forethought and intention. To assassinate is tomurder suddenly and by stealth. The sheriff may kill without murdering; the duelist murders, but does not assassinate his antagonist; the assassin kills and murders.
kill-joy |One who causes gloom or grief; a dispiriting person. W. Black.
killdee |A small American plover (Ægialitis vocifera). Note: It is dark grayish brown above; the rump and upper tail coverts are yellowish rufous; the belly, throat, and a line over the eyes, white; a ring round the neck and band across the breast, black.
killdeer |A small American plover (Ægialitis vocifera). Note: It is dark grayish brown above; the rump and upper tail coverts are yellowish rufous; the belly, throat, and a line over the eyes, white; a ring round the neck and band across the breast, black.
killer |1. One who deprives of life; one who, or that which, kills. 2. (Zoöl.)  A voracious, toothed whale of the genus Orca, of which several species are known. Note: The killers have a high dorsal fin, and powerful jaws armed with large, sharp teeth. They capture, and swallow entire, large numbers of seals, porpoises, and dolphins, and are celebrated for their savage, combined attacks upon the right whales, which they are said to mutilate and kill. The common Atlantic species (Orca gladiator), is found both on the European and the American coast. Two species (Orca ater and O. rectipinna) occur on the Pacific coast.
killesse |(a) A gutter, groove, or channel. (b) A hipped roof. [Prov. Eng.] Parker.
killifish |Any one of several small American cyprinodont fishes of the genus Fundulus and allied genera. They live equally well in fresh and brackish water, or even in the sea. They are usually striped or barred with black. Called also minnow, and brook fish. See Minnow.
killigrew |The Cornish chough. See under Chough. [Prov. Eng. & Scot.]
killikinick |See Kinnikinic.
killing |Literally, that kills; having power to kill; fatal; in a colloquial sense, conquering; captivating; irresistible. -- Kill\"ing*ly, adv. Those eyes are made so killing. Pope. Nothing could be more killingly spoken. Milton.
killock |A small anchor; also, a kind of anchor formed by a stone inclosed by pieces of wood fastened together. [Written also killick.]
killow |An earth of a blackish or deep blue color. Woodward.
kiln |1. A large stove or oven; a furnace of brick or stone, or a heated chamber, for the purpose of hardening, burning, or drying anything; as, a kiln for baking or hardening earthen vessels; a kiln for drying grain, meal, lumber, etc.; a kiln for calcining limestone. 2. A furnace for burning bricks; a brickkiln.
kiln-dry |To dry in a kiln; as, to kiln-dry meal or grain. Mortimer.
kilnhole |The mouth or opening of an oven or kiln. Shak.
kilo |An abbreviation of Kilogram.
kilo- |A combining form used to signify thousand in forming the names of units of measurement; as, kilogram, kilometer, kilowatt, etc.
kilogram |A measure of weight, being a thousand grams, equal to 2.2046 pounds avoirdupois (15,432.34 grains). It is equal to the weight of a cubic decimeter of distilled water at the temperature of maximum density, or 39º Fahrenheit.
kilogramme |A measure of weight, being a thousand grams, equal to 2.2046 pounds avoirdupois (15,432.34 grains). It is equal to the weight of a cubic decimeter of distilled water at the temperature of maximum density, or 39º Fahrenheit.
kilogrammeter |A measure of energy or work done, being the amount expended in raising one kilogram through the height of one meter, in the latitude of Paris.
kilogrammetre |A measure of energy or work done, being the amount expended in raising one kilogram through the height of one meter, in the latitude of Paris.
kiloliter |A measure of capacity equal to a cubic meter, or a thousand liters. It is equivalent to 35.315 cubic feet, and to 220.04 imperial gallons, or 264.18 American gallons of 321 cubic inches.
kilolitre |A measure of capacity equal to a cubic meter, or a thousand liters. It is equivalent to 35.315 cubic feet, and to 220.04 imperial gallons, or 264.18 American gallons of 321 cubic inches.
kilometer |A measure of length, being a thousand meters. It is equal to 3,280.8 feet, or 62137 of a mile.
kilometre |A measure of length, being a thousand meters. It is equal to 3,280.8 feet, or 62137 of a mile.
kilostere |A cubic measure containing 1000 cubic meters, and equivalent to 35,315 cubic feet.
kilovolt |A unit of electromotive force equal to one thousand volts.
kilowatt |One thousand watts.
kilowatt hour |A unit of work or energy equal to that done by one kilowatt acting for one hour; --approx. = 1.34 horse-power hour.
kilt |p. p. from Kill. [Obs.] Spenser.\n\nA kind of short petticoat, reaching from the waist to the knees, worn in the Highlands of Scotland by men, and in the Lowlands by young boys; a filibeg. [Written also kelt.]\n\nTo tuck up; to truss up, as the clothes. [Scot.] Sir W. Scott.
kilted |1. Having on a kilt. 2. Plaited after the manner of kilting. 3. Tucked or fastened up; -- said of petticoats, etc.
kilter |See Kelter.
kilting |A perpendicular arrangement of flat, single plaits, each plait being folded so as to cover half the breadth of the preceding one.
kimbo |Crooked; arched; bent. [Written also kimbow.] Dryden.
kimmerian |See Cimmerian.
kimnel |A tub. See Kemelin. [Obs.] She knew not what a kimnel was Beau. & Fl.
kimono |1. A kind of loose robe or gown tied with a sash, worn as an outer garment by Japanese men and women. 2.  A similar gown worn as a dressing gown by women of Western nations.
kimry |See Cymry.
kin |A diminutive suffix; as, manikin; lambkin.\n\nA primitive Chinese instrument of the cittern kind, with from five to twenty-five silken strings. Riemann.\n\n1. Relationship, consanguinity, or affinity; connection by birth or marriage; kindred; near connection or alliance, as of those having common descent. 2. Relatives; persons of the same family or race. The father, mother, and the kinbeside. Dryden. You are of kin, and so a friend to their persons. Bacon.\n\nOf the same nature or kind; kinder. \"Kin to the king.\" Shak.
kinaesodic |Kinesodic.
kinaesthesis |The perception attendant upon the movements of the muscles. Bastian.
kinaesthetic |Of, pertaining to, or involving, kinæsthesis.
kinate |See Quinate. [Obsolescent]
kincob |India silk brocaded with flowers in silver or gold. -- a.  Of the nature of kincob; brocaded. Thackeray.
