sigillative |Fit to seal; belonging to a seal; composed of wax. [R.]
silver |1. (Chem.)  A soft white metallic element, sonorous, ductile, very malleable, and capable of a high degree of polish. It is found native, and also combined with sulphur, arsenic, antimony, chlorine, etc., in the minerals argentite, proustite, pyrargyrite, ceragyrite, etc. Silver is one of the \"noble\" metals, so-called, not being easily oxidized, and is used for coin, jewelry, plate, and a great variety of articles. Symbol Ag (Argentum). Atomic weight 107.7. Specific gravity 10.5. Note: Silver was known under the name of luna to the ancients and also to the alchemists. Some of its compounds, as the halogen salts, are remarkable for the effect of light upon them, and are used in photography. 2. Coin made of silver; silver money. 3. Anything having the luster or appearance of silver. 4. The color of silver. Note: Silver is used in the formation of many compounds of obvious meaning; as, silver-armed, silver-bright, silver-buskined, silver- coated, silver-footed, silver-haired, silver-headed, silver-mantled, silver-plated, silver-slippered, silver-sounding, silver-studded, silver-tongued, silver-white. See Silver, a. Black silver (Min.), stephanite; -- called also brittle silver ore, or brittle silver glance. -- Fulminating silver. (Chem.) (a) A black crystalline substance, Ag2O.(NH3)2, obtained by dissolving silver oxide in aqua ammonia. When dry it explodes violently on the slightest percussion. (b) Silver fulminate, a white crystalline substance, Ag2C2N2O2, obtained by adding alcohol to a solution of silver nitrate. When dry it is violently explosive. -- German silver. (Chem.) See under German. -- Gray silver. (Min.) See Freieslebenite. -- Horn silver. (Min.) See Cerargyrite. -- King's silver. (O. Eng. Law) See Postfine. -- Red silver, or Ruby silver. (Min.) See Proustite, and Pyrargyrite. -- Silver beater, one who beats silver into silver leaf or silver foil. -- Silver glance, or Vitreous silver. (Min.) See Argentine.\n\n1. Of or pertaining to silver; made of silver; as, silver leaf; a silver cup. 2. Resembling silver. Specifically: (a) Bright; resplendent; white. \"Silver hair.\" Shak. Others, on silver lakes and rivers, bathed Their downy breast. Milton. (b) Precious; costly. (c) Giving a clear, ringing sound soft and clear. \"Silver voices.\" Spenser. (d) Sweet; gentle; peaceful. \"Silver slumber.\" Spenser. American silver fir (Bot.), the balsam fir. See under Balsam. -- Silver age (Roman Lit.), the latter part (a. d. 14-180) of the classical period of Latinity, -- the time of writers of inferior purity of language, as compared with those of the previous golden age, so-called. -- Silver-bell tree (Bot.), an American shrub or small tree (Halesia tetraptera) with white bell-shaped flowers in clusters or racemes; the snowdrop tree. -- Silver bush (Bot.), a shrubby leguminous plant (Anthyllis Barba- Jovis) of Southern Europe, having silvery foliage. -- Silver chub (Zoöl.), the fallfish. -- Silver eel. (Zoöl.) (a) The cutlass fish. (b) A pale variety of the common eel. -- Silver fir (Bot.), a coniferous tree (Abies pectinata) found in mountainous districts in the middle and south of Europe, where it often grows to the height of 100 or 150 feet. It yields Burgundy pitch and Strasburg turpentine. -- Silver foil, foil made of silver. -- Silver fox (Zoöl.), a variety of the common fox (Vulpes vulpes, variety argenteus) found in the northern parts of Asia, Europe, and America. Its fur is nearly black, with silvery tips, and is highly valued. Called also black fox, and silver-gray fox. -- Silver gar. (Zoöl.) See Billfish (a) -- Silver grain (Bot.), the lines or narrow plates of cellular tissue which pass from the pith to the bark of an exogenous stem; the medullary rays. In the wood of the oak they are much larger than in that of the beech, maple, pine, cherry, etc. -- Silver grebe (Zoöl.), the red-throated diver. See Illust. under Diver. -- Silver hake (Zoöl.), the American whiting. -- Silver leaf, leaves or sheets made of silver beaten very thin. -- Silver lunge (Zoöl.), the namaycush. -- Silver moonfish.(Zoöl.) See Moonfish (b). -- Silver moth (Zoöl.), a lepisma. -- Silver owl (Zoöl.), the barn owl. -- Silver perch (Zoöl.), the mademoiselle, 2. -- Silver pheasant (Zoöl.), any one of several species of beautiful crested and long-tailed Asiatic pheasants, of the genus Euplocamus. They have the tail and more or less of the upper parts silvery white. The most common species (E. nychtemerus) is native of China. -- Silver plate, domestic utensils made of silver. -- Silver plover (Zoöl.), the knot. -- Silver salmon (Zoöl.), a salmon (Oncorhynchus kisutch) native of both coasts of the North Pacific. It ascends all the American rivers as far south as the Sacramento. Called also kisutch, whitefish, and white salmon. -- Silver shell (Zoöl.), a marine bivalve of the genus Anomia. See Anomia. -- Silver steel, an alloy of steel with a very small proportion of silver. -- Silver stick, a title given to the title field officer of the Life Guards when on duty at the palace. [Eng.] Thackeray. -- Silver tree (Bot.), a South African tree (Leucadendron argenteum) with long, silvery, silky leaves. -- Silver trout, (Zoöl.) See Trout. -- Silver wedding. See under Wedding. -- Silver whiting (Zoöl.), a marine sciænoid food fish (Menticirrus littoralis) native of the Southern United States; -- called also surf whiting. -- Silver witch (Zoöl.), A lepisma.\n\n1. To cover with silver; to give a silvery appearance to by applying a metal of a silvery color; as, to silver a pin; to silver a glass mirror plate with an amalgam of tin and mercury. 2. To polish like silver; to impart a brightness to, like that of silver. And smiling calmness silvered o'er the deep. Pope. 3. To make hoary, or white, like silver. His head was silvered o'er with age. Gay.\n\nTo acquire a silvery color. [R.] The eastern sky began to silver and shine. L. Wallace.
silver certificate |A certificate issued by a government that there has been deposited with it silver to a specified amount, payable to the bearer on demand. In the United States and its possessions, it is issued against the deposit of silver coin, and is not legal tender, but is receivable for customs, taxes, and all public dues.
silver state |Nevada; -- a nickname alluding to its silver mines.
silver-gray |Having a gray color with a silvery luster; as, silver-gray hair.
silverback |The knot.
silverberry |A tree or shrub (Elæagnus argentea) with silvery foliage and fruit. Gray.
silverbill |An Old World finch of the genus Minia, as the M. Malabarica of India, and M. cantans of Africa.
silverboom |See Leucadendron.
silverfin |A small North American fresh-water cyprinoid fish (Notropis Whipplei).
silverfish |(a) The tarpum. (b) A white variety of the goldfish. Lepisma saccharina, which may infest houses, and eats starched clothing and sized papers. See Lepisma.
silveriness |The state of being silvery.
silvering |The art or process of covering metals, wood, paper, glass, etc., with a thin film of metallic silver, or a substance resembling silver; also, the firm do laid on; as, the silvering of a glass speculum.
silverite |One who favors the use or establishment of silver as a monetary standard; -- so called by those who favor the gold standard. [Colloq. or Cant]
silverize |To cover with silver.
silverless |Having no silcver; hence, without money; impecunious. Piers Plowman.
silverling |A small silver coin. [Obs.] A thousand vines at a thousand silverings. Isa. vii. 23.
silverly |Like silver in appearance or in sound. Let me wipe off this honorable dew, That silverly doth progress on thy cheeks. Shak.
silvern |Made of silver. [Archaic.] Wyclif (Acts xix. 24). Speech is silvern; silence is golden. Old Proverb.
silversides |Any one of several species of small fishes of the family Atherinidæ, having a silvery stripe along each side of the body. The common species of the American coast (Menidia notata) is very abundant. Called also silverside, sand smelt, friar, tailor, and tinker. Brook silversides (Zoöl.), a small fresh-water North American fish (Labadesthes sicculus) related to the marine silversides.
silversmith |One whose occupation is to manufacture utensils, ornaments, etc., of silver; a worker in silver.
silverspot |Any one of numerous species of butterflies of the genus Argynnis and allied genera, having silvery spots on the under side of the wings. See Illust. under Aphrodite.
silverware |Dishes, vases, ornaments, and utensils of various sorts, made of silver.
silverweed |A perennial rosaceous herb (Potentilla Anserina) having the leaves silvery white beneath.
silvery |1. Resembling, or having the luster of, silver; grayish white and lustrous; of a mild luster; bright. All the enameled race, whose silvery wing Waves to the tepid zephyrs of the spring. Pope. 2. Besprinkled or covered with silver. 3. Having the clear, musical tone of silver; soft and clear in sound; as, silvery voices; a silvery laugh. Silvery iron (Metal.), a peculiar light-gray fine-grained cast iron, usually obtained from clay iron ore.
silvics |1. The science treating of the life of trees in the forest. 2.  Habit or behavior of a forest tree.
silviculture |See Sylviculture.
sima |A cyma.
simagre |A grimace. [Obs.] Dryden.
simar |A woman's long dress or robe; also light covering; a scarf. [Written also cimar, cymar, samare, simare.]
simarre |See Simar. Sir W. Scott.
simblot |The harness of a drawloom.
simia |A Linnæan genus of Quadrumana which included the types of numerous modern genera. By modern writers it is usually restricted to the genus which includes the orang-outang.
simial |Simian; apelike.
simian |Of or pertaining to the family Simiadæ, which, in its widest sense, includes all the Old World apes and monkeys; also, apelike. -- n.  Any Old World monkey or ape.
similar |1. Exactly corresponding; resembling in all respects; precisely like. 2. Nearly corresponding; resembling in many respects; somewhat like; having a general likeness. 3. Homogenous; uniform. [R.] Boyle. Similar figures (Geom.), figures which differ from each other only in magnitude, being made up of the same number of like parts similarly situated. -- Similar rectilineal figures, such as have their several angles respectively equal, each to each, and their sides about the equal angles proportional. -- Similar solids, such as are contained by the same number of similar planes, similarly situated, and having like inclination to one another.\n\nThat which is similar to, or resembles, something else, as in quality, form, etc.
similarity |The quality or state of being similar; likeness; resemblance; as, a similarity of features. Hardly is there a similarity detected between two or three facts, than men hasten to extend it to all. Sir W. Hamilton.
similarly |In a similar manner.
similary |Similar. [Obs.] Rhyming cadences of similarly words. South.
similative |Implying or indicating likeness or resemblance. [R.] In similative or instrumental relation to a pa. pple. [past participle], as almond-leaved, -scented, etc. New English Dict.
simile |A word or phrase by which anything is likened, in one or more of its aspects, to something else; a similitude; a poetical or imaginative comparison. A good swift simile, but something currish. Shak.
similiter |The technical name of the form by which either party, in pleading, accepts the issue tendered by his opponent; -- called sometimes a joinder in issue.
similitude |1. The quality or state of being similar or like; resemblance; likeness; similarity; as, similitude of substance. Chaucer. Let us make now man in our image, man In our similitude. Milton. If fate some future bard shall join In sad similitude of griefs to mine. Pope. 2. The act of likening, or that which likens, one thing to another; fanciful or imaginative comparison; a simile. Tasso, in his similitudes, never departed from the woods; that is, all his comparisons were taken from the country. Dryden. 3. That which is like or similar; a representation, semblance, or copy; a facsimile. Man should wed his similitude. Chaucer.
similitudinary |Involving or expressing similitude. [Obs.] Coke.
similize |To liken; to compare; as, to similize a person, thing, or act. Lowell.
similor |An alloy of copper and zinc, resembling brass, but of a golden color. Ure.
simious |Of or pertaining to the Simian. That strange simious, schoolboy passion of giving pain to others. Sydney Smith.
simitar |See Scimiter.
simmer |To boil gently, or with a gentle hissing; to begin to boil. I simmer as liquor doth on the fire before it beginneth to boil. Palsgrave.\n\nTo cause to boil gently; to cook in liquid heated almost or just to the boiling point.
simnel |1. A kind of cake made of fine flour; a cracknel. [Obs.] Not common bread, but vastel bread, or simnels. Fuller. 2. A kind of rich plum cake, eaten especially on Mid-Lent Sunday. [Eng.] Herrick.
simon-pure |Genuine; true; real; authentic; -- a term alluding to the comedy character Simon Pure, who is impersonated by another and is obliged to prove himself to be the \"real Simon Pure.\",
  "fractionate |To separate into different portions or fractions, as in the distillation of liquids.
simoniac |One who practices simony, or who buys or sells preferment in the church. Ayliffe.
simoniacal |Of or pertaining to simony; guilty of simony; consisting of simony. -- Sim\"o*ni`a*cal*ly, adv. The flagitious profligacy of their lives, and the simoniacal arts by which they grasped at the popedom. J. S. Harford.
simonial |Simoniacal. [Obs.]
simonian |One of the followers of Simon Magus; also, an adherent of certain heretical sects in the early Christian church.
simonious |Simoniacal. [Obs.] Milton.
simonist |One who practices simony.
simony |The crime of buying or selling ecclesiastical preferment; the corrupt presentation of any one to an ecclesiastical benefice for money or reward. Piers Plowman.
simoom |A hot, dry, suffocating, dust-laden wind, that blows occasionally in Arabia, Syria, and neighboring countries, generated by the extreme heat of the parched deserts or sandy plains.
simoon |A hot, dry, suffocating, dust-laden wind, that blows occasionally in Arabia, Syria, and neighboring countries, generated by the extreme heat of the parched deserts or sandy plains.
simous |Having a very flat or snub nose, with the end turned up.
simpai |A long-tailed monkey (Semnopitchecus melalophus) native of Sumatra. It has a crest of black hair. The forehead and cheeks are fawn color, the upper parts tawny and red, the under parts white. Called also black-crested monkey, and sinpæ.
simper |1. To smile in a silly, affected, or conceited manner. Behold yond simpering dame. Shak. With a made countenance about her mouth, between simpering and smiling. ir. P. Sidney. 2. To glimmer; to twinkle. [Obs.] Yet can I mark how stars above Simper and shine. Herbert.\n\nA constrained, self-conscious smile; an affected, silly smile; a smirk. The conscious simper, and the jealous leer. Pope.
simperer |One who simpers. Sir W. Scott. A simperer that a court affords. T. Nevile.
simpering |from Simper, v.
simperingly |In a simpering manner.
simple |1. Single; not complex; not infolded or entangled; uncombined; not compounded; not blended with something else; not complicated; as, a simple substance; a simple idea; a simple sound; a simple machine; a simple problem; simple tasks. 2. Plain; unadorned; as, simple dress. \"Simple truth.\" Spenser. \"His simple story.\" Burns. 3. Mere; not other than; being only. A medicine . . . whose simple touch Is powerful to araise King Pepin. Shak. 4. Not given to artifice, stratagem, or duplicity; undesigning; sincere; true. Full many fine men go upon my score, as simple as I stand here, and I trust them. Marston. Must thou trust Tradition's simple tongue Byron. To be simple is to be great. Emerson. 5. Artless in manner; unaffected; unconstrained; natural; inartificial;; straightforward. In simple manners all the secret lies. Young. 6. Direct; clear; intelligible; not abstruse or enigmatical; as, a simple statement; simple language. 7. Weak in intellect; not wise or sagacious; of but moderate understanding or attainments; hence, foolish; silly. \"You have simple wits.\" Shak. The simple believeth every word; but the prudent man looketh well to his going. Prov. xiv. 15. 8. Not luxurious; without much variety; plain; as, a simple diet; a simple way of living. Thy simple fare and all thy plain delights. Cowper. 9. Humble; lowly; undistinguished. A simple husbandman in garments gray. Spenser. Clergy and laity, male and female, gentle and simple made the fuel of the same fire. Fuller. 10. (BOt.)  Without subdivisions; entire; as, a simple stem; a simple leaf. 11. (Chem.)  Not capable of being decomposed into anything more simple or ultimate by any means at present known; elementary; thus, atoms are regarded as simple bodies. Cf. Ultimate, a. Note: A simple body is one that has not as yet been decomposed. There are indications that many of our simple elements are still compound bodies, though their actual decomposition into anything simpler may never be accomplished.fundamental particle 12. (Min.)  Homogenous. 13. (Zoöl.)  Consisting of a single individual or zooid; as, a simple ascidian; -- opposed to compound. Simple contract (Law), any contract, whether verbal or written, which is not of record or under seal. J. W. Smith. Chitty. -- Simple equation (Alg.), an eqyation containing but one unknown quantity, and that quantity only in the first degree. -- Simple eye (Zoöl.), an eye having a single lens; -- opposed to Ant: compound eye. -- Simple interest. See under Interest. -- Simple larceny. (Law) See under Larceny. -- Simple obligation (Rom. Law), an obligation which does not depend for its execution upon any event provided for by the parties, or is not to become void on the happening of any such event. Burrill. Syn. -- Single; uncompounded; unmingled; unmixed; mere; uncombined; elementary; plain; artless; sincere; harmless; undesigning; frank; open; unaffected; inartificial; unadorned; credulous; silly; foolish; shallow; unwise. -- Simple, Silly. One who is simple is sincere, unaffected, and inexperienced in duplicity, -- hence liable to be duped. A silly person is one who is ignorant or weak and also self-confident; hence, one who shows in speech and act a lack of good sense. Simplicity is incompatible with duplicity, artfulness, or vanity, while silliness is consistent with all three. Simplicity denotes lack of knowledge or of guile; silliness denotes want of judgment or right purpose, a defect of character as well as of education. I am a simple woman, much too weak To oppose your cunning. Shak. He is the companion of the silliest people in their most silly pleasure; he is ready for every impertinent entertainment and diversion. Law.\n\n1. Something not mixed or compounded. \"Compounded of many simples.\" Shak. 2. (Med.)  A medicinal plant; -- so called because each vegetable was supposed to possess its particular virtue, and therefore to constitute a simple remedy. What virtue is in this remedy lies in the naked simple itself as it comes over from the Indies. Sir W. Temple. 3. (Weaving) (a) A drawloom. (b) A part of the apparatus for raising the heddles of a drawloom. 4. (R. C. Ch.)  A feast which is not a double or a semidouble.\n\nTo gather simples, or medicinal plants. As simpling on the flowery hills she [Circe] strayed. Garth.
simple-hearted |Sincere; inguenuous; guileless. Sir W. Scott.
simple-minded |Artless; guileless; simple-hearted; undesigning; unsuspecting; devoid of duplicity. Blackstone. -- Sim\"ple-mind`ed*ness, n.
simpleness |The quality or state of being simple; simplicity. Shak.
simpler |One who collects simples, or medicinal plants; a herbalist; a simplist. Simpler's joy. (Bot.) Vervain.
simpless |Simplicity; silliness. [Obs.] Spenser.
simpleton |A person of weak intellect; a silly person.
simplician |One who is simple. [Obs.] Arnway.
simplicity |1. The quality or state of being simple, unmixed, or uncompounded; as, the simplicity of metals or of earths. 2. The quality or state of being not complex, or of consisting of few parts; as, the simplicity of a machine. 3. Artlessness of mind; freedom from cunning or duplicity; lack of acuteness and sagacity. Marquis Dorset, a man, for his harmless simplicity neither misliked nor much regarded. Hayward. In wit a man; simplicity a child. Pope. 4. Freedom from artificial ornament, pretentious style, or luxury; plainness; as, simplicity of dress, of style, or of language; simplicity of diet; simplicity of life. 5. Freedom from subtlety or abstruseness; clearness; as, the simplicity of a doctrine; the simplicity of an explanation or a demonstration. 6. Weakness of intellect; silliness; folly. How long, ye simple ones, will ye love simplicity and the scorners delight in their scorning Prov. i. 22.
simplification |The act of simplifying. A. Smith.
simplify |To make simple; to make less complex; to make clear by giving the explanation for; to show an easier or shorter process for doing or making. The collection of duties is drawn to a point, and so far simplified. A. Hamilton. It is important, in scientific pursuits, to be caitious in simplifying our deductions. W. Nicholson.
simplist |One skilled in simples, or medicinal plants; a simpler. Sir T. Browne.
simplistic |Of or pertaining to simples, or a simplist. [R.] Wilkinson.
simplity |Simplicity. [Obs.]
simploce |See Symploce.
simply |1. In a simple manner or state; considered in or by itself; without addition; along; merely; solely; barely. [They] make that now good or evil, . . . which otherwise of itself were not simply the one or the other. Hooker. Simply the thing I am Shall make me live. Shak. 2. Plainly; without art or subtlety. Subverting worldly strong and worldly wise By simply meek. Milton. 3. Weakly; foolishly. Johnson.
simulacher |See Simulacrum. [Obs.]
simulachre |See Simulacrum. [Obs.]
simulacrum |A likeness; a semblance; a mock appearance; a sham; -- now usually in a derogatory sense. Beneath it nothing but a great simulacrum. Thackeray.
simular |One who pretends to be what he is not; one who, or that which, simulates or counterfeits something; a pretender. [Obs.] Shak. Christ calleth the Pharisees hypocrites, that is to say, simulars, and painted sepulchers. Tyndale.\n\nFalse; specious; counterfeit. [R. & Obs.] \"Thou simular man of virtue.\" Shak.
simulate |Feigned; pretended. Bale.\n\nTo assume the mere appearance of, without the reality; to assume the signs or indications of, falsely; to counterfeit; to feign. The Puritans, even in the depths of the dungeons to which she had sent them, prayed, and with no simulated fervor, that she might be kept from the dagger of the assassin. Macaulay.
simulation |The act of simulating, or assuming an appearance which is feigned, or not true; -- distinguished from dissimulation, which disguises or conceals what is true. Syn. -- Counterfeiting; feint; pretense.
simulator |One who simulates, or feigns. De Quincey.
simulatory |Simulated, or capable of being simulated. Bp. Hall.
simultaneity |The quality or state of being simultaneous; simultaneousness.
simultaneous |Existing, happening, or done, at the same time; as, simultaneous events. -- Si`mul*ta\"ne*ous*ly, adv. -- Si`mul*ta\"ne*ous*ness, n. Simultaneous equations (Alg.), two or more equations in which the values of the unknown quantities entering them are the same at the same time in both or in all.
simulty |Private grudge or quarrel; as, domestic simulties. [Obs.] B. Jonson.
sin |Old form of Since. [Obs. or Prov.Eng. & Scot.] Sin that his lord was twenty year of age. Chaucer.\n\n1. Transgression of the law of God; disobedience of the divine command; any violation of God's will, either in purpose or conduct; moral deficiency in the character; iniquity; as, sins of omission and sins of commission. Whosoever committeth sin is the servant of sin. John viii. 34. Sin is the transgression of the law. 1 John iii. 4. I think 't no sin. To cozen him that would unjustly win. Shak. Enthralled By sin to foul, exorbitant desires. Milton. 2. An offense, in general; a violation of propriety; a misdemeanor; as, a sin against good manners. I grant that poetry's a crying sin. Pope. 3. A sin offering; a sacrifice for sin. He hath made him to be sin for us, who knew no sin. 2 Cor. v. 21. 4. An embodiment of sin; a very wicked person. [R.] Thy ambition, Thou scarlet sin, robbed this bewailing land Of noble Buckingham. Shak. Note: Sin is used in the formation of some compound words of obvious signification; as, sin-born; sin-bred, sin-oppressed, sin-polluted, and the like. Actual sin, Canonical sins, Original sin, Venial sin. See under Actual, Canonical, etc. -- Deadly, or Mortal, sins (R. C. Ch.), willful and deliberate transgressions, which take away divine grace; -- in distinction from vental sins. The seven deadly sins are pride, covetousness, lust, wrath, gluttony, envy, and sloth. -- Sin eater, a man who (according to a former practice in England) for a small gratuity ate a piece of bread laid on the chest of a dead person, whereby he was supposed to have taken the sins of the dead person upon himself. -- Sin offering, a sacrifice for sin; something offered as an expiation for sin. Syn. -- Iniquity; wickedness; wrong. See Crime.\n\n1. To depart voluntarily from the path of duty prescribed by God to man; to violate the divine law in any particular, by actual transgression or by the neglect or nonobservance of its injunctions; to violate any known rule of duty; -- often followed by against. Against thee, thee only, have I sinned. Ps. li. 4. All have sinned, and come short of the glory of God. Rom. iii. 23. 2. To violate human rights, law, or propriety; to commit an offense; to trespass; to transgress. I am a man More sinned against than sinning. Shak. Who but wishes to invert the laws Of order, sins against the eternal cause. Pope.
sinaic |Of or pertaining to Mount Sinai; given or made at Mount Sinai; as, the Sinaitic law. Sinaitic manuscript, a fourth century Greek manuscript of the part Bible, discovered at Mount Sinai (the greater part of it in 1859) by Tisschendorf, a German Biblical critic; -- called also Codex Sinaiticus.
sinaitic |Of or pertaining to Mount Sinai; given or made at Mount Sinai; as, the Sinaitic law. Sinaitic manuscript, a fourth century Greek manuscript of the part Bible, discovered at Mount Sinai (the greater part of it in 1859) by Tisschendorf, a German Biblical critic; -- called also Codex Sinaiticus.
sinalbin |A glucoside found in the seeds of white mustard (Brassica alba, formerly Sinapis alba), and extracted as a white crystalline substance.
sinamine |A bitter white crystalline nitrogenous substance, obtained indirectly from oil of mustard and ammonia; -- called also allyl melamine.
sinapate |A salt of sinapic acid.
sinapic |Of or pertaining to sinapine; specifically, designating an acid (C11H12O5) related to gallic acid, and obtained by the decomposition of sinapine, as a white crystalline substance.
sinapine |An alkaloid occuring in the seeds of mustard. It is extracted, in combination with sulphocyanic acid, as a white crystalline substance, having a hot, bitter taste. When sinapine is isolated it is unstable and undergoes decomposition.
sinapis |A disused generic name for mustard; -- now called Brassica.
sinapisin |A substance extracted from mustard seed and probably identical with sinalbin. [Obs.]
sinapism |A plaster or poultice composed principally of powdered mustard seed, or containing the volatile oil of mustard seed. It is a powerful irritant.
sinapoleic |Of or pertaining to mustard oil; specifically, designating an acid of the oleic acid series said to occur in mistard oil.
sinapoline |A nitrogenous base, CO.(NH.C3H5)2, related to urea, extracted from mustard oil, and also produced artifically, as a white crystalline substance; -- called also diallyl urea.
sincaline |Choline. [Written also sinkaline.]
since |1. From a definite past time until now; as, he went a month ago, and I have not seen him since. We since become the slaves to one man's lust. B. Jonson. 2. In the time past, counting backward from the present; before this or now; ago. w many ages since has Virgil writ Roscommon. About two years since, it so fell out, that he was brought to a great lady's house. Sir P. Sidney. 3. When or that. [Obs.] Do you remember since we lay all night in the windmill in St. George's field Shak.\n\nFrom the time of; in or during the time subsequent to; subsequently to; after; -- usually with a past event or time for the object. The Lord hath blessed thee, since my coming. Gen. xxx. 30. I have a model by which he build a nobler poem than any extant since the ancients. Dryden.\n\nSeeing that; because; considering; -- formerly followed by that. Since that my penitence comes after all, Imploring pardon. Shak. Since truth and constancy are vain, Since neither love, nor sense of pain, Nor force of reason, can persuade, Then let example be obeyed. Granville. Syn. -- Because; for; as; inasmuch as; considering. See Because.
sincere |1. Pure; unmixed; unadulterated. There is no sincere acid in any animal juice. Arbuthnot. A joy which never was sincere till now. Dryden. 2. Whole; perfect; unhurt; uninjured. [Obs.] The inviolable body stood sincere. Dryden. 3. Being in reality what it appears to be; having a character which corresponds with the appearance; not falsely assumed; genuine; true; real; as, a sincere desire for knowledge; a sincere contempt for meanness. A sincere intention of pleasing God in all our actions. Law. 4. Honest; free from hypocrisy or dissimulation; as, a sincere friend; a sincere person. The more sincere you are, the better it will fare with you at the great day of account. Waterland. Syn. -- Honest; unfeigned; unvarnished; real; true; unaffected; inartificial; frank; upright. See Hearty.
sincerely |In a sincere manner. Specifically: (a) Purely; without alloy. Milton. (b) Honestly; unfeignedly; without dissimulation; as, to speak one's mind sincerely; to love virtue sincerely.
sincereness |Same as Sincerity. Beau & Fl.
sincerity |The quality or state of being sincere; honesty of mind or intention; freedom from simulation, hypocrisy, disguise, or false pretense; sincereness. I protest, in the sincerity of love. Shak. Sincerity is a duty no less plain than important. Knox.
sinch |A saddle girth made of leather, canvas, woven horsehair, or woven grass. [Western U.S.]\n\nTo gird with a sinch; to tighten the sinch or girth of (a saddle); as, to sinch up a sadle. [Western U.S.]
sincipital |Of or pertaining to the sinciput; being in the region of the sinciput.
sinciput |1. (Anat.)  The fore part of the head. 2. (Zoöl.)  The part of the head of a bird between the base of the bill and the vertex.
sindi |A native of Sind, India, esp. one of the native Hindoo stock.
sindon |1. A wrapper. [Obs.] \"Wrapped in sindons of linen.\" Bacon. 2. (Surg.)  A small rag or pledget introduced into the hole in the cranium made by a trephine. Dunglison.
sine |(a) The length of a perpendicular drawn from one extremity of an arc of a circle to the diameter drawn through the other extremity. (b) The perpendicular itself. See Sine of angle, below. Artificial sines, logarithms of the natural sines, or logarithmic sines. -- Curve of sines. See Sinusoid. -- Natural sines, the decimals expressing the values of the sines, the radius being unity. -- Sine of an angle, in a circle whose radius is unity, the sine of the arc that measures the angle; in a right-angled triangle, the side opposite the given angle divided by the hypotenuse. See Trigonometrical function, under Function. -- Versed sine, that part of the diameter between the sine and the arc.\n\nWithout.
sinecural |Of or pertaining to a sinecure; being in the nature of a sinecure.
sinecure |1. An ecclesiastical benefice without the care of souls. Ayliffe. 2. Any office or position which requires or involves little or no responsibility, labor, or active service. A lucrative sinecure in the Excise. Macaulay.\n\nTo put or place in a sinecure.
sinecurism |The state of having a sinecure.
sinecurist |One who has a sinecure.
sinew |1. (Anat.)  A tendon or tendonous tissue. See Tendon. 2. Muscle; nerve. [R.] Sir J. Davies. 3. Fig.: That which supplies strength or power. The portion and sinew of her fortune, her marriage dowry. Shak. The bodies of men, munition, and money, may justly be called the sinews of war. Sir W. Raleigh. Note: Money alone is often called the sinews of war.\n\nTo knit together, or make strong with, or as with, sinews. Shak. Wretches, now stuck up for long tortures . . . might, if properly treated, serve to sinew the state in time of danger. Goldsmith.
sinew-shrunk |Having the sinews under the belly shrunk by excessive fatigue.
sinewed |1. Furnished with sinews; as, a strong-sinewed youth. 2. Fig.: Equipped; strengthened. When he sees Ourselves well sinewed to our defense. Shak.
sinewiness |Quality of being sinewy.
sinewish |Sinewy. [Obs.] Holinshed.
sinewless |Having no sinews; hence, having no strength or vigor.
sinewous |Sinewy. [Obs.] Holinshed.
sinewy |1. Pertaining to, consisting of, or resembling, a sinew or sinews. The sinewy thread my brain lets fall. Donne. 2. Well braced with, or as if with, sinews; nervous; vigorous; strong; firm; tough; as, the sinewy Ajax. A man whose words . . . were so close and sinewy. Hare.
sinful |Tainted with, or full of, sin; wicked; iniquitous; criminal; unholy; as, sinful men; sinful thoughts. Piers Plowman. Ah sinful nation, a people laden with iniquity. Isa. i. 4. -- Sin\"ful*ly, adv. -- Sin\"ful*ness, n.
sing |1. To utter sounds with musical inflections or melodious modulations of voice, as fancy may dictate, or according to the notes of a song or tune, or of a given part (as alto, tenor, etc.) in a chorus or concerted piece. The noise of them that sing do I hear. Ex. xxxii. 18. 2. To utter sweet melodious sounds, as birds do. On every bough the briddes heard I sing. Chaucer. Singing birds, in silver cages hung. Dryden. 3. To make a small, shrill sound; as, the air sings in passing through a crevice. O'er his head the flying spear Sang innocent, and spent its force in air. Pope. 4. To tell or relate something in numbers or verse; to celebrate something in poetry. Milton. Bid her . . . sing Of human hope by cross event destroyed. Prior. 5. Ti cry out; to complain. [Obs.] They should sing if thet they were bent. Chaucer.\n\n1. To utter with musical infections or modulations of voice. And they sing the song of Moses, the servant of God, and the song of the Lamb. Rev. xv. 3. And in the darkness sing your carol of high praise. Keble. 2. To celebrate is song; to give praises to in verse; to relate or rehearse in numbers, verse, or poetry. Milton. Arms and the man I sing. Dryden. The last, the happiest British king, Whom thou shalt paint or I shall sing. Addison. 3. To influence by singing; to lull by singing; as, to sing a child to sleep. 4. To accompany, or attend on, with singing. I heard them singing home the bride. Longfellow.
sing-sing |The kob.
