guld |A flower. See Gold. [Obs.] Chaucer.
gymnosophist |One of a sect of philosophers, said to have been found in India by Alexander the Great, who went almost naked, denied themselves the use of flesh, renounced bodily pleasures, and employed themselves in the contemplation of nature.
gymnosophy |The doctrines of the Gymnosophists. Good.
gymnosperm |A plant that bears naked seeds (i. e., seeds not inclosed in an ovary), as the common pine and hemlock. Cf. Angiosperm.
gymnospermous |(a) Having naked seeds, or seeds not inclosed in a capsule or other vessel. (b) Belonging to the class of plants consisting of gymnosperms.
gymnotoka |The Athecata.
gymnotus |A genus of South American fresh-water fishes, including the Gymnotus electricus, or electric eel. It has a greenish, eel-like body, and is possessed of electric power. One fearful shock, fearful but momentary, like from the electric blow of the gymnotus. De Quincey.
gyn |To begin [Obs.] See Gin.
gynaeceum |The part of a large house, among the ancients, exclusively appropriated to women. [Written also gyneceum, gynecium.] Tennyson.
gynaecian |The same as Gynecian.
gynaecium |The part of a large house, among the ancients, exclusively appropriated to women. [Written also gyneceum, gynecium.] Tennyson.
gynaecophore |A ventral canal or groove, in which the males of some dioecious trematodes carry the female. See Illust. of Hæmatozoa.
gynander |A plant having the stamens inserted in the pistil.
gynandria |A class of plants in the Linnaean system, whose stamens grow out of, or are united with, the pistil.
gynandrian |Having stamens inserted in the pistil; belonging to the class Gynandria.
gynandromorph |An animal affected with gynandromorphism,
gynandromorphism |An abnormal condition of certain animals, in which one side has the external characters of the male, and the other those of the female.
gynandromorphous |Affected, with gynandromorphism.
gynandrous |Having stamens inserted in the pistil; belonging to the class Gynandria.
gynantherous |Pertaining to an abnormal condition of the flower, in which the stamens are converted into pistils. A. Brown.
gynarchy |Government by a woman. Chesterfield.
gyneceum |See Gynæceum.
gynecian |Of or relating to women.
gynecocracy |Government by a woman, female power; gyneocracy. Bailey.
gynecological |Of or pertaining to gynecology.
gynecology |The science which treats of the structure and diseases of women. -- Gyn`e*col\"o*gist.
gyneocracy |See Gynecocracy.
gyneolatry |The adoration or worship of woman. The sentimental gyneolatry of chivalry, which was at best but skin- deep. Lowell.
gynephobia |Hatred of women; repugnance to the society of women. Holmes.
gynno |To begin. See Gin. [Obs.]
gynobase |A dilated base or receptacle, supporting a multilocular ovary.
gynobasic |Pertaining to, or having, a gynobase.
gynocracy |Female government; gynecocracy. The aforesaid state has repeatedly changed from absolute despotism to republicanism, not forgetting the intermediate stages of oligarchy, limited monarchy, and even gynocracy; for I myself remember Alsatia governed for nearly nine months by an old fishwoman. Sir H. Scott.
gynodioecious |Dioecious, but having some hermaphrodite or perfect flowers on an individual plant which bears mostly pistillate flowers.
gynoecium |The pistils of a flower, taken collectively. See Illust. of Carpophore.
gynophore |1. (Bot.)  The pedicel raising the pistil or ovary above the stamens, as in the passion flower. Lindley. 2. (Zoöl.)  One of the branches bearing the female gonophores, in certain Siphonophora.
gyp |A college servant; -- so called in Cambridge, England; at Oxford called a scout. [Cant]
gypse |See Gypsum. [Obs.] Pococke.
gypseous |Resembling or containing gypsum; partaking of the qualities of gypsum.
gypsey |A gypsy. See Gypsy.
gypsiferous |Containing gypsum.
gypsine |Gypseous. [R.] Chambers.
gypsography |The act or art of engraving on gypsum.
gypsoplast |A cast taken in plaster of Paris, or in white lime.
gypsum |A mineral consisting of the hydrous sulphate of lime (calcium). When calcined, it forms plaster of Paris. Selenite is a transparent, crystalline variety; alabaster, a fine, white, massive variety.
gypsy |1. One of a vagabond race, whose tribes, coming originally from India, entered Europe in 14th or 15th centry, and are now scattered over Turkey, Russia, Hungary, Spain, England, etc., living by theft, fortune telling, horsejockeying, tinkering, etc. Cf. Bohemian, Romany. Like a right gypsy, hath, at fast and loose, Beguiled me to the very heart of loss. Shak. 2. The language used by the gypsies. Shak. 3. A dark-complexioned person. Shak. 4. A cunning or crafty person [Collog.] Prior.\n\nPertaining to, or suitable for, gypsies. Gypsy hat, a woman's or child's broad-brimmed hat, usually of straw or felt. -- Gypsy winch, a small winch, which may be operated by a crank, or by a ratchet and pawl through a lever working up and down.\n\nTo play the gypsy; to picnic in the woods. Mostly. Gyp\"sy*ing, vb. n.
gypsy moth |A tussock moth (Ocneria dispar) native of the Old World, but accidentally introduced into eastern Massachusetts about 1869, where its caterpillars have done great damage to fruit, shade, and forest trees of many kinds. The male gypsy moth is yellowish brown, the female white, and larger than the male. In both sexes the wings are marked by dark lines and a dark lunule. The caterpillars, when full- grown, have a grayish mottled appearance, with blue tubercles on the anterior and red tubercles on the posterior part of the body, all giving rise to long yellow and black hairs. They usually pupate in July and the moth appears in August. The eggs are laid on tree trunks, rocks, etc., and hatch in the spring.
gypsyism |1. The arts and practices or habits of gypsies; deception; cheating; flattery. 2. The state of a gypsy.
gypsywort |A labiate plant (the Lycopus Europæus). Gypsies are said to stain their skin with its juice.
gyracanthus |A genus of fossil fishes, found in Devonian and carboniferous strata; -- so named from their round, sculptured spines.
gyral |1. Moving in a circular path or way; whirling; gyratory. 2. (Anat.)  Pertaining to a gyrus, or convolution.
gyrant |Gyrating. [R.]
gyrate |Winding or coiled round; curved into a circle; taking a circular course.\n\nTo revolve round a central point; to move spirally about an axis, as a tornado; to revolve.
gyration |1. The act of turning or whirling, as around a fixed center; a circular or spiral motion; motion about an axis; rotation; revolution. The gyrations of an ascending balloon. De Quincey. If a burning coal be nimbly moved round in a circle, with gyrations continually repeated, the whole circle will appear like fire. Sir I. Newton. 2. (Zoöl.)  One of the whorls of a spiral univalve shell. Center of gyration. (Mech.) See under Center. -- Radius of gyration the distance between the axis of a rotating body and its center of gyration. Rankine.
gyratory |Moving in a circle, or spirally; revolving; whirling around.
gyre |A circular motion, or a circle described by a moving body; a turn or revolution; a circuit. Quick and more quick he spins in giddy gyres. Dryden. Still expanding and ascending gyres. Mrs. Browning.\n\nTo turn round; to gyrate. [Obs.] Bp. Hall. Drayton.
gyreful |Abounding in gyres. [Obs.]
gyrencephala |The higher orders of Mammalia, in which the cerebrum is convoluted. -- Gyr\"en*ceph\"a*lous, a.
gyrfalcon |One of several species and varieties of large Arctic falcons, esp. Falco rusticolus and the white species F. Islandicus, both of which are circumpolar. The black and the gray are varieties of the former. See Illust. of Accipiter. [Written also gerfalcon, gierfalcon, and jerfalcon.]
gyri |See Gyrus.
gyrland |To garland. [Obs.]
gyro-pigeon |A flying object simulating a pigeon in flight, when projected from a spring trap. It is used as a flying target in shooting matches. Knight.
gyrodus |A genus of extinct oölitic fishes, having rounded teeth in several rows adapted for crushing.
gyrogonite |The petrified fruit of the Chara hispida, a species of stonewort. See Stonewort. Lyell.
gyroidal |1. Spiral in arrangement or action. 2. (Crystallog.)  Having the planes arranged spirally, so that they incline all to the right (or left) of a vertical line; -- said of certain hemihedral forms. 3. (Opt.)  Turning the plane of polarization circularly or spirally to the right or left.
gyrolepis |A genus of ganoid fishes, found in strata of the new red sandetone, and the lias bone beds. Agassiz.
gyroma |A turning round. [R.]
gyromancy |A kind of divination performed by drawing a ring or circle, and walking in or around it. Brande & C.
gyron |A subordinary of triangular form having one of its angles at the fess point and the opposite aide at the edge of the escutcheon. When there is only one gyron on the shield it is bounded by two linea drawn from the fess point, one horizontally to the dexter side, and one to the dexter chief corner.
gyronny |Covered with gyrons, or divided so as to form several gyrons; - - said of an escutcheon.
gyropigeon |A flying object simulating a pigeon in flight, when projected from a spring trap. It is used as a flying target in shooting matches. Knight.
gyroscope |1. A rotating wheel, mounted in a ring or rings, for illustrating the dynamics of rotating bodies, the composition of rotations, etc. It was devised by Professor W. R. Johnson, in 1832, by whom it was called the rotascope. 2. A form of the above apparatus, invented by M. Foucault, mounted so delicately as to render visible the rotation of the earth, through the tendency of the rotating wheel to preserve a constant plane of rotation, independently of the earth's motion.
gyroscopic |Pertaining to the gyroscope; resembling the motion of the gyroscope.
gyrose |Turned round like a crook, or bent to and fro. Loudon.
gyrostat |A modification of the gyroscope, consisting essentially of a fly wheel fixed inside a rigid case to which is attached a thin flange of metal for supporting the instrument. It is used in studying the dynamics of rotating bodies.
gyrostatic |Of or pertaining to the gyrostat or to gyrostatics.
gyrostatics |The doctrine or theory of the gyrostat, or of the phenomena of rotating bodies.
gyrus |A convoluted ridge between grooves; a convolution; as, the gyri of the brain; the gyri of brain coral. See Brain.
gyse |Guise. [Obs.] Chaucer.
gyte |Delirious; senselessly extravagant; as, the man is clean gyte. [Scot.] Sir W. Scott.
gyve |A shackle; especially, one to confine the legs; a fetter. [Written also give.] Like a poor prisoner in his twisted gyves. Shak. With gyves upon his wrist. Hood.\n\nTo fetter; to shackle; to chain. Spenser. I will gyve thee in thine own courtship. Shak.
h |the eighth letter of the English alphabet, is classed among the consonants, and is formed with the mouth organs in the same position as that of the succeeding vowel. It is used with certain consonants to form digraphs representing sounds which are not found in the alphabet, as sh, th, th, as in shall, thing, thine (for zh see §274); also, to modify the sounds of some other letters, as when placed after c and p, with the former of which it represents a compound sound like that of tsh, as in charm (written also tch as in catch), with the latter, the sound of f, as in phase, phantom. In some words, mostly derived or introduced from foreign languages, h following c and g indicates that those consonants have the hard sound before e, i, and y, as in chemistry, chiromancy, chyle, Ghent, Ghibelline, etc.; in some others, ch has the sound of sh, as in chicane. See Guide to Pronunciation, §§ 153, 179, 181-3, 237-8. Note: The name (aitch) is from the French ache; its form is from the Latin, and this from the Greek H, which was used as the sign of the spiritus asper (rough breathing) before it came to represent the long vowel, Gr. ê. The Greek H is from Phoenician, the ultimate origin probably being Egyptian. Etymologically H is most closely related to c; as in E. horn, L. cornu, Gr. ke`ras; E. hele, v. t., conceal; E. hide, L. cutis, Gr. ky`tos; E. hundred, L. centum, Gr. 'e-kat-on, Skr. csata. H piece (Mining), the part of a plunger pump which contains the valve.\n\nThe seventh degree in the diatonic scale, being used by the Germans for B natural. See B.
ha |An exclamation denoting surprise, joy, or grief. Both as uttered and as written, it expresses a great variety of emotions, determined by the tone or the context. When repeated, ha, ha, it is an expression of laughter, satisfaction, or triumph, sometimes of derisive laughter; or sometimes it is equivalent to \"Well, it is so.\" Ha-has, and inarticulate hootings of satirical rebuke. Carlyle.
ha-ha |A sunk fence; a fence, wall, or ditch, not visible till one is close upon it. [Written also haw-haw.]
haaf |The deepsea fishing for cod, ling, and tusk, off the Shetland Isles.
haak |A sea fish. See Hake. Ash.
haar |A fog; esp., a fog or mist with a chill wind. [Scot.] T. Chalmers.
habeas corpus |A writ having for its object to bring a party before a court or judge; especially, one to inquire into the cause of a person's imprisonment or detention by another, with the view to protect the right to personal liberty; also, one to bring a prisoner into court to testify in a pending trial. Bouvier.
habendum |That part of a deed which follows the part called the premises, and determines the extent of the interest or estate granted; -- so called because it begins with the word Habendum. Kent.
haberdash |To deal in small wares. [R.] To haberdash in earth's base ware. Quarles.
haberdasher |1. A dealer in small wares, as tapes, pins, needles, and thread; also, a hatter. [Obs.] The haberdasher heapeth wealth by hats. Gascoigne. 2. A dealer in drapery goods of various descriptions, as laces, silks, trimmings, etc.
haberdashery |The goods and wares sold by a haberdasher; also (Fig.), trifles. Burke.
haberdine |A cod salted and dried. Ainsworth.
habergeon |Properly, a short hauberk, but often used loosely for the hauberk. Chaucer.
habilatory |Of or pertaining to clothing; wearing clothes. Ld. Lytton.
habile |Fit; qualified; also, apt. [Obs.] Spenser.
habiliment |1. A garment; an article of clothing. Camden. 2. pl.  Dress, in general. Shak.
habilimented |Clothed. Taylor (1630).
habilitate |Qualified or entitled. [Obs.] Bacon.\n\nTo fit out; to equip; to qualify; to entitle. Johnson.
habilitation |Equipment; qualification. [Obs.] Bacon.
hability |Ability; aptitude. [Obs.] Robynson. (More's Utopia).
habit |1. The usual condition or state of a person or thing, either natural or acquired, regarded as something had, possessed, and firmly retained; as, a religious habit; his habit is morose; elms have a spreading habit; esp., physical temperament or constitution; as, a full habit of body. 2. (Biol.)  The general appearance and manner of life of a living organism. 3. Fixed or established custom; ordinary course of conduct; practice; usage; hence, prominently, the involuntary tendency or aptitude to perform certain actions which is acquired by their frequent repetition; as, habit is second nature; also, peculiar ways of acting; characteristic forms of behavior. A man of very shy, retired habits. W. Irving. 4. Outward appearance; attire; dress; hence, a garment; esp., a closely fitting garment or dress worn by ladies; as, a riding habit. Costly thy habit as thy purse can buy. Shak. There are, among the states, several of Venus, in different habits. Addison. Syn. -- Practice; mode; manner; way; custom; fashion. -- Habit, Custom. Habit is a disposition or tendency leading us to do easily, naturally, and with growing certainty, what we do often; custom is external, being habitual use or the frequent repetition of the same act. The two operate reciprocally on each other. The custom of giving produces a habit of liberality; habits of devotion promote the custom of going to church. Custom also supposes an act of the will, selecting given modes of procedure; habit is a law of our being, a kind of \"second nature\" which grows up within us. How use doth breed a habit in a man ! Shak. He who reigns . . . upheld by old repute, Consent, or custom. Milton.\n\n1. To inhabit. [Obs.] In thilke places as they [birds] habiten. Rom. of R. 2. To dress; to clothe; to array. They habited themselves lite those rural deities. Dryden. 3. To accustom; to habituate. [Obs.] Chapman.
habitability |Habitableness.
habitable |Capable of being inhabited; that may be inhabited or dwelt in; as, the habitable world. -- Hab\"it*a*ble*ness, n. -- Hab\"it*a*bly, adv.\n\nA dwelling place. Chaucer. Southey.
habitan |Same as Habitant, 2. General met an emissary . . . sent . . . to ascertain the feelings of the habitans or French yeomanry. W. Irwing.
habitance |Dwelling; abode; residence. [Obs.] Spenser.
habitancy |Same as Inhabitancy.
habitant |1. An inhabitant; a dweller. Milton. Pope. 2. Etym: [F. pron. (]  An inhabitant or resident; -- a name applied to and denoting farmers of French descent or origin in Canada, especially in the Province of Quebec; -- usually in plural. The habitants or cultivators of the soil. Parkman.
habitat |1. (Biol.)  The natural abode, locality or region of an animal or plant. 2. Place where anything is commonly found. This word has its habitat in Oxfordshire. Earle.
habitation |1. The act of inhabiting; state of inhabiting or dwelling, or of being inhabited; occupancy. Denham. 2. Place of abode; settled dwelling; residence; house. The Lord . . . blesseth the habitation of the just. Prov. iii. 33.
habitator |A dweller; an inhabitant. [Obs.] Sir T. Browne.
habited |1. Clothed; arrayed; dressed; as, he was habited like a shepherd. 2. Fixed by habit; accustomed. [Obs.] So habited he was in sobriety. Fuller. 3. Inhabited. [Archaic] Another world, which is habited by the ghosts of men and women. Addison.
habitual |1. Formed or acquired by habit or use. An habitual knowledge of certain rules and maxims. South. 2. According to habit; established by habit; customary; constant; as, the habiual practice of sin. It is the distinguishing mark of habitual piety to be grateful for the most common and ordinary blessings. Buckminster. Syn. -- Customary; accustomed; usual; common; wonted; ordinary; regular; familiar. -- Ha*bit\"u*al*ly, adv. -- Ha*bit\"u*al*ness, n.
habituate |1. To make accustomed; to accustom; to familiarize. Our English dogs, who were habituated to a colder clime. Sir K. Digby. Men are first corrupted . . . and next they habituate themselves to their vicious practices. Tillotson. 2. To settle as an inhabitant. [Obs.] Sir W. Temple.\n\nFirmly established by custom; formed by habit; habitual. [R.] Hammond.
habituation |The act of habituating, or accustoming; the state of being habituated.
habitude |1. Habitual attitude; usual or accustomed state with reference to something else; established or usual relations. South. The same ideas having immutably the same habitudes one to another. Locke. The verdict of the judges was biased by nothing else than habitudes of thinking. Landor. 2. Habitual association, intercourse, or familiarity. To write well, one must have frequent habitudes with the best company. Dryden. 3. Habit of body or of action. Shak. It is impossible to gain an exact habitude without an infinite Dryden.
habitue |One who habitually frequents a place; as, an habitué of a theater.
habiture |Habitude. [Obs.]
habitus |Habitude; mode of life; general appearance.
hable |See Habile. [Obs.] Spenser.
habnab |By chance. [Obs.]
hachure |A short line used in drawing and engraving, especially in shading and denoting different surfaces, as in map drawing. See Hatching.
hacienda |A large estate where work of any kind is done, as agriculture, manufacturing, mining, or raising of animals; a cultivated farm, with a good house, in distinction from a farming establishment with rude huts for herdsmen, etc.; -- a word used in Spanish-American regions. 1.
hack |1. A frame or grating of various kinds; as, a frame for drying bricks, fish, or cheese; a rack for feeding cattle; a grating in a mill race, etc. 2. Unburned brick or tile, stacked up for drying.\n\n1. To cut irregulary, without skill or definite purpose; to notch; to mangle by repeated strokes of a cutting instrument; as, to hack a post. My sword hacked like a handsaw. Shak. 2. Fig.: To mangle in speaking. Shak.\n\nTo cough faintly and frequently, or in a short, broken manner; as, a hacking cough.\n\n1. A notch; a cut. Shak. 2. An implement for cutting a notch; a large pick used in breaking stone. 3. A hacking; a catch in speaking; a short, broken cough. Dr. H. More. 4. (Football)  A kick on the shins. T. Hughes. Hack saw, a handsaw having a narrow blade stretched in an iron frame, for cutting metal.\n\n1. A horse, hackneyed or let out for common hire; also, a horse used in all kinds of work, or a saddle horse, as distinguished from hunting and carriage horses. 2. A coach or carriage let for hire; particularly, a a coach with two seats inside facing each other; a hackney coach. On horse, on foot, in hacks and gilded chariots. Pope. 3. A bookmaker who hires himself out for any sort of literary work; an overworked man; a drudge. Here lies poor Ned Purdon, from misery freed, Who long was a bookseller's hack. Goldsmith. 4. A procuress.\n\nHackneyed; hired; mercenary. Wakefield. Hack writer, a hack; one who writes for hire. \"A vulgar hack writer.\" Macaulay.\n\n1. To use as a hack; to let out for hire. 2. To use frequently and indiscriminately, so as to render trite and commonplace. The word \"remarkable\" has been so hacked of late. J. H. Newman.\n\n1. To be exposed or offered or to common use for hire; to turn prostitute. Hanmer. 2. To live the life of a drudge or hack. Goldsmith.
hackamore |A halter consisting of a long leather or rope strap and headstall, -- used for leading or tieing a pack animal. [Western U.S.]
hackberry |A genus of trees (Celtis) related to the elm, but bearing drupes with scanty, but often edible, pulp. C. occidentalis is common in the Eastern United States. Gray.
hackbolt |The greater shearwater or hagdon. See Hagdon.
hackbuss |Same as Hagbut.
hackee |The chipmunk; also, the chickaree or red squirrel. [U.S.]
hacker |One who, or that which, hacks. Specifically: A cutting instrument for making notches; esp., one used for notching pine trees in collecting turpentine; a hack.
hackery |A cart with wooden wheels, drawn by bullocks. [Bengal] Malcom.
hackle |1. A comb for dressing flax, raw silk, etc.; a hatchel. 2. Any flimsy substance unspun, as raw silk. 3. One of the peculiar, long, narrow feathers on the neck of fowls, most noticeable on the cock, -- often used in making artificial flies; hence, any feather so used. 4. An artificial fly for angling, made of feathers.\n\n1. To separate, as the coarse part of flax or hemp from the fine, by drawing it through the teeth of a hackle or hatchel. 2. To tear asunder; to break in pieces. The other divisions of the kingdom being hackled and torn to pieces. Burke.
hackly |1. Rough or broken, as if hacked. 2. (Min.)  Having fine, short, and sharp points on the surface; as, the hackly fracture of metallic iron.
hackman |The driver of a hack or carriage for public hire.
hackmatack |The American larch (Larix Americana), a coniferous tree with slender deciduous leaves; also, its heavy, close-grained timber. Called also tamarack.
hackney |1. A horse for riding or driving; a nag; a pony. Chaucer. 2. A horse or pony kept for hire. 3. A carriage kept for hire; a hack; a hackney coach. 4. A hired drudge; a hireling; a prostitute.\n\nLet out for hire; devoted to common use; hence, much used; trite; mean; as, hackney coaches; hackney authors. \"Hackney tongue.\" Roscommon.\n\n1. To devote to common or frequent use, as a horse or carriage; to wear out in common service; to make trite or commonplace; as, a hackneyed metaphor or quotation. Had I lavish of my presence been, So common-hackneyed in the eyes of men. Shak. 2. To carry in a hackney coach. Cowper.
hackneyman |A man who lets horses and carriages for hire.
hackster |A bully; a bravo; a ruffian; an assassin. [Obs.] Milton.
hacqueton |Same as Acton. [Obs.]
had |See Have. Had as lief, Had rather, Had better, Had as soon, etc., with a nominative and followed by the infinitive without to, are well established idiomatic forms. The original construction was that of the dative with forms of be, followed by the infinitive. See Had better, under Better. And lever me is be pore and trewe. [And more agreeable to me it is to be poor and true.] C. Mundi (Trans. ). Him had been lever to be syke. [To him it had been preferable to be sick.] Fabian. For him was lever have at his bed's head Twenty bookes, clad in black or red, . . . Than robes rich, or fithel, or gay sawtrie. Chaucer. Note: Gradually the nominative was substituted for the dative, and had for the forms of be. During the process of transition, the nominative with was or were, and the dative with had, are found. Poor lady, she were better love a dream. Shak. You were best hang yourself. Beau. & Fl. Me rather had my heart might feel your love Than my unpleased eye see your courtesy. Shak. I hadde levere than my scherte, That ye hadde rad his legende, as have I. Chaucer. I had as lief not be as live to be In awe of such a thing as I myself. Shak. I had rather be a dog and bay the moon, Than such a Roman. Shak. I had rather be a doorkeeper in the house of my God, than to dwell in the tents of wickedness. Ps. lxxxiv.10.
hadder |Heather; heath. [Obs.] Burton.
haddie |The haddock. [Scot.]
haddock |A marine food fish (Melanogrammus æglefinus), allied to the cod, inhabiting the northern coasts of Europe and America. It has a dark lateral line and a black spot on each side of the body, just back of the gills. Galled also haddie, and dickie. Norway haddock, a marine edible fish (Sebastes marinus) of Northern Europe and America. See Rose fish.
hade |1. The descent of a hill. [Obs.] 2. (Mining)  The inclination or deviation from the vertical of any mineral vein.\n\nTo deviate from the vertical; -- said of a vein, fault, or lode.
hades |The nether world (according to classical mythology, the abode of the shades, ruled over by Hades or Pluto); the invisible world; the grave. And death and Hades gave up the dead which were in them. Rev. xx. 13 (Rev. Ver. ). Neither was he left in Hades, nor did his flesh see corruption. Acts ii. 31 (Rev. Ver.). And in Hades he lifted up his eyes, being in torments. Luke xvi.23 (Rev. Ver.).
hadj |The pilgrimage to Mecca, performed by Mohammedans.
hadji |1. A Mohammedan pilgrim to Mecca; -- used among Orientals as a respectful salutation or a title of honor. G. W. Curtis. 2. A Greek or Armenian who has visited the holy sepulcher at Jerusalem. Heyse.
hadrosaurus |An American herbivorous dinosaur of great size, allied to the iguanodon. It is found in the Cretaceous formation.
haecceity |Literally, this-ness. A scholastic term to express individuality or singleness; as, this book.
haema- |Combining forms indicating relation or resemblance to blood, association with blood; as, hæmapod, hæmatogenesis, hæmoscope. Note: Words from Gr. (hema-, hemato-, hemo-, as well as hæma-, hæmato-, hæmo-.
haemachrome |Hematin.
haemacyanin |A substance found in the blood of the octopus, which gives to it its blue color. Note: When deprived of oxygen it is colorless, but becomes quickly blue in contact with oxygen, and is then generally called oxyhæmacyanin. A similar blue coloring matter has been detected in small quantity in the blood of other animals and in the bile.
haemacytometer |An apparatus for determining the number of corpuscles in a given quantity of blood.
haemad |Toward the hæmal side; on the hæmal side of; -- opposed to neurad.
haemadrometer |Same as Hemadrometer.
haemadrometry |Same as Hemadrometry.
haemadromograph |An instrument for registering the velocity of the blood.
haemadromometer |Same as Hemadrometer.
haemadromometry |Same as Hemadrometry.
haemadynameter |Same as Hemadynamometer.
haemadynamics |Same as Hemadynamics.
haemadynamometer |Same as Hemadynamometer.
haemal |Pertaining to the blood or blood vessels; also, ventral. See Hemal.
haemaphaein |A brownish substance sometimes found in the blood, in cases of jaundice.
haemapod |An hæmapodous animal. G. Rolleston.
haemapodous |Having the limbs on, or directed toward, the ventral or hemal side, as in vertebrates; -- opposed to neuropodous.
haemapoietic |Bloodforming; as, the hæmapoietic function of the spleen.
haemapophysis |Same as Hemapophysis. -- Hæm`a*po*phys\"i*al, a.
haemastatics |Same as Hemastatics.
haematachometer |A form of apparatus (somewhat different from the hemadrometer) for measuring the velocity of the blood.
haematachometry |The measurement of the velocity of the blood.
haematemesis |Same as Hematemesis.
haematic |Of or pertaining to the blood; sanguine; brownish red. Hæmatic acid (Physiol.), a hypothetical acid, supposed to be formed from hemoglobin during its oxidation in the lungs, and to have the power of freeing carbonic acid from the sodium carbonate of the serum. Thudichum.
haematin |Same as Hematin.
haematinometer |Same as Hematinometer.
haematinometric |Same as Hematinometric.
haematite |Same as Hematite.
haematitic |Of a blood-red color; crimson; (Bot.) brownish red.
haemato- |Combining forms indicating relation or resemblance to blood, association with blood; as, hæmapod, hæmatogenesis, hæmoscope. Note: Words from Gr. (hema-, hemato-, hemo-, as well as hæma-, hæmato-, hæmo-.\n\nSee Hæma-.
haematoblast |One of the very minute, disk-shaped bodies found in blood with the ordinary red corpuscles and white corpuscles; a third kind of blood corpuscle, supposed by some to be an early stage in the development of the red corpuscles; -- called also blood plaque, and blood plate.
haematocrya |The cold-blooded vertebrates. Same as Hematocrya.
haematocryal |Cold-blooded.
haematocrystallin |Same as Hematocrystallin.
haematodynamometer |Same as Hemadynamometer.
haematogenesis |(a) The origin and development of blood. (b) The transformation of venous arterial blood by respiration; hematosis.
haematogenic |Relating to hæmatogenesis.
haematogenous |Originating in the blood.
haematoglobulin |Same as Hematoglobin.
haematoid |Same as Hematoid.
haematoidin |Same as Hematoidin.
haematoin |A substance formed from the hematin of blood, by removal of the iron through the action of concentrated sulphuric acid. Two like bodies, called respectively hæmatoporphyrin and hæmatolin, are formed in a similar manner.
haematolin |See Hæmatoin.
haematology |The science which treats of the blood. Same as Hematology.
haematolysis |Dissolution of the red blood corpuscles with diminished coagulability of the blood; hæmolysis. -- Hæm`a*to*lyt\"ic (#), a.
haematometer |(a) Same as Hemadynamometer. (b) An instrument for determining the number of blood corpuscles in a given quantity of blood.
haematophilina |A division of Cheiroptera, including the bloodsucking bats. See Vampire.
haematoplast |Same as Hæmatoblast.
haematoplastic |Blood formative; -- applied to a substance in early fetal life, which breaks up gradually into blood vessels.
haematoporphyrin |See Hæmatoin.
haematosac |A vascular sac connected, beneath the brain, in many fishes, with the infundibulum.
haematoscope |A hæmoscope.
haematosin |Hematin. [R.]
haematosis |Same as Hematosis.
haematotherma |Same as Hematotherma.
haematothermal |Warm-blooded; homoiothermal.
haematothorax |Same as Hemothorax.
haematoxylin |The coloring principle of logwood. It is obtained as a yellow crystalline substance, C16H14O6, with a sweetish taste. Formerly called also hematin.
haematoxylon |A genus of leguminous plants containing but a single species, the H. Campechianum or logwood tree, native in Yucatan.
haematozooen |A parasite inhabiting the blood; esp.: (a) Certain species of nematodes of the genus Filaria, sometimes found in the blood of man, the horse, the dog, etc. (b) The trematode, Bilharzia hæmatobia, which infests the inhabitants of Egypt and other parts of Africa, often causing death.
haematozoon |A parasite inhabiting the blood; esp.: (a) Certain species of nematodes of the genus Filaria, sometimes found in the blood of man, the horse, the dog, etc. (b) The trematode, Bilharzia hæmatobia, which infests the inhabitants of Egypt and other parts of Africa, often causing death.
haemic |,
haemin |Same as Hemin.
haemo- |Combining forms indicating relation or resemblance to blood, association with blood; as, hæmapod, hæmatogenesis, hæmoscope. Note: Words from Gr. (hema-, hemato-, hemo-, as well as hæma-, hæmato-, hæmo-.\n\nSee Hæma-.
haemochrome |Same as Hæmachrome.
haemochromogen |A body obtained from hemoglobin, by the action of reducing agents in the absence of oxygen.
haemochromometer |An apparatus for measuring the amount of hemoglobin in a fluid, by comparing it with a solution of known strength and of normal color.
haemocyanin |Same as Hæmacyanin.
haemocytolysis |See Hæmocytotrypsis.
haemocytometer |See Hæmacytometer.
haemocytotrypsis |A breaking up of the blood corpuscles, as by pressure, in distinction from solution of the corpuscles, or hæmcytolysis.
haemodromograph |Same as Hæmadromograph.
haemodromometer |Same as Hemadrometer.
haemodynameter |Same as Hemadynamics.
haemodynamics |Same as Hemadynamics.
haemoglobin |Same as Hemoglobin.
haemoglobinometer |Same as Hemochromometer.
haemol |A dark brown powder containing iron, prepared by the action of zinc dust as a reducing agent upon the coloring matter of the blood, used medicinally as a hematinic.
haemolutein |See Hematoidin.
haemolysis |Same as Hæmatolysis, Hæmatolytic.
haemolytic |Same as Hæmatolysis, Hæmatolytic.
haemomanometer |Same as Hemadynamometer.
haemometer |Same as Hemadynamometer.
haemony |A plant described by Milton as \"of sovereign use against all enchantments.\",
