roger |A black flag with white skull and crossbones, formerly used by pirates; -- called also Jolly Roger.
roomer |A lodger. [Colloq.]\n\nAt a greater distance; farther off. [Obs.] Sir J. Harrington.
roomful |Abounding with room or rooms; roomy. \"A roomful house.\" [R.] Donne.\n\nAs much or many as a room will hold; as, a roomful of men. Swift.
roomily |Spaciously.
roominess |The quality or state of being roomy; spaciousness; as, the roominess of a hall.
roomless |Being without room or rooms. Udall.
roommate |One of twe or more occupying the same room or rooms; one who shares the occupancy of a room or rooms; a chum.
roomsome |Roomy. [Obs.] Evelyn.
roomth |Room; space. [Obs.] Drayton.
roomthy |Roomy; spacious. [Obs.] Fuller.
roomy |Having ample room; spacious; large; as, a roomy mansion; a roomy deck. Dryden.
roon |Vermilion red; red. [R.] Her face was like the lily roon. J. R. Drake.
roop |See Roup. [Prov. Eng.]
roorbach |A defamatory forgery or falsehood published for purposes of political intrigue. [U.S.] Note: The word originated in the election canvass of 1844, when such a forgery was published, to the detriment of James K. Polk, a candidate for President, purporting to be an extract from the \"Travels of Baron Roorbach.\",
  "anthropometry |Measurement of the height and other dimensions of human beings, especially at different ages, or in different races, occupations, etc. Dunglison.
roorback |A defamatory forgery or falsehood published for purposes of political intrigue. [U.S.] Note: The word originated in the election canvass of 1844, when such a forgery was published, to the detriment of James K. Polk, a candidate for President, purporting to be an extract from the \"Travels of Baron Roorbach.\",
  "tetragon |1. (Geom.)  A plane figure having four sides and angles; a quadrangle, as a square, a rhombus, etc. 2. (Astrol.)  An aspect of two planets with regard to the earth when they are distant from each other ninety degrees, or the fourth of a circle. Hutton.
roosa oil |The East Indian name for grass oil. See under Grass.
roost |Roast. [Obs.] Chaucer.\n\nSee Roust, v. t.\n\n1. The pole or other support on which fowls rest at night; a perch. He clapped his wings upon his roost. Dryden. 2. A collection of fowls roosting together. At roost, on a perch or roost; hence, retired to rest.\n\n1. To sit, rest, or sleep, as fowls on a pole, limb of a tree, etc.; to perch. Wordsworth. 2. Fig.; To lodge; to rest; to sleep. O, let me where thy roof my soul hath hid, O, let me roost and nestle there. Herbert.
roostcock |The male of the domestic fowl; a cock. [Prov. Eng.] Halliwell.
rooster |The male of the domestic fowl; a cock. [U.S.] Nor, when they [the Skinners and Cow Boys] wrung the neck of a rooster, did they trouble their heads whether he crowed for Congress or King George. W. Irving.
root |1. To turn up the earth with the snout, as swine. 2. Hence, to seek for favor or advancement by low arts or groveling servility; to fawn servilely.\n\nTo turn up or to dig out with the snout; as, the swine roots the earth.\n\n1. (Bot.) (a) The underground portion of a plant, whether a true root or a tuber, a bulb or rootstock, as in the potato, the onion, or the sweet flag. (b) The descending, and commonly branching, axis of a plant, increasing in length by growth at its extremity only, not divided into joints, leafless and without buds, and having for its offices to fix the plant in the earth, to supply it with moisture and soluble matters, and sometimes to serve as a reservoir of nutriment for future growth. A true root, however, may never reach the ground, but may be attached to a wall, etc., as in the ivy, or may hang loosely in the air, as in some epiphytic orchids. 2. An edible or esculent root, especially of such plants as produce a single root, as the beet, carrot, etc.; as, the root crop. 3. That which resembles a root in position or function, esp. as a source of nourishment or support; that from which anything proceeds as if by growth or development; as, the root of a tooth, a nail, a cancer, and the like. Specifically: (a) An ancestor or progenitor; and hence, an early race; a stem. They were the roots out of which sprang two distinct people. Locke. (b) A primitive form of speech; one of the earliest terms employed in language; a word from which other words are formed; a radix, or radical. (c) The cause or occasion by which anything is brought about; the source. \"She herself . . . is root of bounty.\" Chaucer. The love of money is a root of all kinds of evil. 1 Tim. vi. 10 (rev. Ver. ) (d) (Math.)  That factor of a quantity which when multiplied into itself will produce that quantity; thus, 3 is a root of 9, because 3 multiplied into itself produces 9; 3 is the cube root of 27. (e) (Mus.) The fundamental tone of any chord; the tone from whose harmonics, or overtones, a chord is composed. Busby. (f) The lowest place, position, or part. \"Deep to the roots of hell.\" Milton. \"The roots of the mountains.\" Southey. 4. (Astrol.)  The time which to reckon in making calculations. When a root is of a birth yknowe [known]. Chaucer. Aërial roots. (Bot.) (a) Small roots emitted from the stem of a plant in the open air, which, attaching themselves to the bark of trees, etc., serve to support the plant. (b) Large roots growing from the stem, etc., which descend and establish themselves in the soil. See Illust. of Mangrove. -- Multiple primary root (Bot.), a name given to the numerous roots emitted from the radicle in many plants, as the squash. -- Primary root (Bot.), the central, first-formed, main root, from which the rootlets are given off. -- Root and branch, every part; wholly; completely; as, to destroy an error root and branch. -- Root-and-branch men, radical reformers; -- a designation applied to the English Independents (1641). See Citation under Radical, n., 2. -- Root barnacle (Zoöl.), one of the Rhizocephala. -- Root hair (Bot.), one of the slender, hairlike fibers found on the surface of fresh roots. They are prolongations of the superficial cells of the root into minute tubes. Gray. -- Root leaf (Bot.), a radical leaf. See Radical, a., 3 (b). -- Root louse (Zoöl.), any plant louse, or aphid, which lives on the roots of plants, as the Phylloxera of the grapevine. See Phylloxera. -- Root of an equation (Alg.), that value which, substituted for the unknown quantity in an equation, satisfies the equation. -- Root of a nail (Anat.), the part of a nail which is covered by the skin. -- Root of a tooth (Anat.), the part of a tooth contained in the socket and consisting of one or more fangs. -- Secondary roots (Bot.), roots emitted from any part of the plant above the radicle. -- To strike root, To take root, to send forth roots; to become fixed in the earth, etc., by a root; hence, in general, to become planted, fixed, or established; to increase and spread; as, an opinion takes root. \"The bended twigs take root.\" Milton.\n\n1. To fix the root; to enter the earth, as roots; to take root and begin to grow. In deep grounds the weeds root deeper. Mortimer. 2. To be firmly fixed; to be established. If any irregularity chanced to intervene and to cause misappehensions, he gave them not leave to root and fasten by concealment. Bp. Fell.\n\n1. To plant and fix deeply in the earth, or as in the earth; to implant firmly; hence, to make deep or radical; to establish; -- used chiefly in the participle; as, rooted trees or forests; rooted dislike. 2. To tear up by the root; to eradicate; to extirpate; -- with up, out, or away. \"I will go root away the noisome weeds.\" Shak. The Lord rooted them out of their land . . . and cast them into another land. Deut. xxix. 28.
rootcap |A mass of parenchym
rooted |Having taken root; firmly implanted; fixed in the heart. \"A rooted sorrow.\" Shak. -- Root\"*ed*ly, adv. -- Root\"ed*ness, n.
rooter |One who, or that which, roots; one that tears up by the roots.
rootery |A pile of roots, set with plants, mosses, etc., and used as an ornamental object in gardening.
rootless |Destitute of roots.
rootlet |A radicle; a little root.
rootstock |A perennial underground stem, producing leafly s
rooty |Full of roots; as, rooty ground.
ropalic |See Rhopalic.
rope |1. A large, stout cord, usually one not less than an inch in circumference, made of strands twisted or braided together. It differs from cord, line, and string, only in its size. See Cordage. 2. A row or string consisting of a number of things united, as by braiding, twining, etc.; as, a rope of onions. 3. pl.  The small intestines; as, the ropes of birds. Rope ladder, a ladder made of ropes. -- Rope mat., a mat made of cordage, or strands of old rope. -- Rope of sand, something of no cohession or fiber; a feeble union or tie; something not to be relied upon. -- Rope pump, a pump in which a rapidly running endless rope raises water by the momentum communicated to the water by its adhesion to the rope. -- Rope transmission (Mach.), a method of transmitting power, as between distant places, by means of endless ropes running over grooved pulleys. -- Rope's end, a piece of rope; especially, one used as a lash in inflicting punishment. -- To give one rope, to give one liberty or license; to let one go at will uncheked.\n\nTo be formed into rope; to draw out or extend into a filament or thread, as by means of any glutinous or adhesive quality. Let us not hang like ropingicicles Upon our houses' thatch. Shak.\n\n1. To bind, fasten, or tie with a rope or cord; as, to rope a bale of goods. Hence: -- 2. To connect or fasten together, as a party of mountain climbers, with a rope. 3. To partition, separate, or divide off, by means of a rope, so as to include or exclude something; as, to rope in, or rope off, a plot of ground; to rope out a crowd. 4. To lasso (a steer, horse). [Colloq. U.S.] 5. To draw, as with a rope; to entice; to inveigle; to decoy; as, to rope in customers or voters. [Slang, U.S.] 6. To prevent from winning (as a horse), by pulling or curbing. [Racing Slang, Eng.]
rope-yarn |the yarn or thread of any stuff of which the strands of a rope are made.
ropeband |A small piece of spun yarn or marline, used to fasten the head of the sail to the spar. [Written also roband, and robbin.]
ropedancer |One who dances, walks, or performs acrobatic feats, on a rope extended through the air at some height. -- Rope\"dan`cing, n.
roper |1. A maker of ropes. P. Plowman. 2. One who ropes goods; a packer. 3. One fit to be hanged. [Old Slang] Douce.
ropery |1. A place where ropes are made. 2. Tricks deserving the halter; roguery. [Obs.] \"Saucy merchant . . . so full of his ropery.\" Shak. ROPE'S-END Rope's\"-end`, v. t.  To punish with a rope's end.
ropewalk |A long, covered walk, or a low, level building, where ropes are manufactured.
ropewalker |A ropedancer.
ropily |In a ropy manner; in a viscous or glutinous manner.
ropiness |Quality of being ropy; viscosity.
ropish |Somewhat ropy.
ropy |capable of being drawn into a thread, as a glutinous substance; stringy; viscous; tenacious; glutinous; as ropy sirup; ropy lees.
roque |A form of croquet modified for greater accuracy of play. The court has a wood border often faced with rubber, used as a cushion in bank shots. The balls are 3¼ in. in diameter, the cage (center arches or wickets) 3 3\/8 in. wide, the other arches 3½ in. wide.
roquefort |A highly flavored blue-molded cheese, made at Roquefort, department of Aveyron, France. It is made from milk of ewes, sometimes with cow's milk added, and is cured in caves. Improperly, a cheese made in imitation of it.
roquefort cheese |A highly flavored blue-molded cheese, made at Roquefort, department of Aveyron, France. It is made from milk of ewes, sometimes with cow's milk added, and is cured in caves. Improperly, a cheese made in imitation of it.
roquelaure |A cloak reaching about to, or just below, the knees, worn in the 18th century. [Written also roquelo.]
roquet |To hit, as another's ball, with one's own ball.\n\nTo hit another's ball with one's own.
roral |Of or pertaining to dew; consisting of dew; dewy. [R.] M. Green.
roration |A falling of dew. [R.]
roric |Of or pertaining to dew; resembling dew; dewy. Roric figures (Physics), figures which appear upon a polished surface, as glass, when objects which have been near to, or in contact with, the surface are removed and the surface breathed upon; -- called also Moser's images.
rorid |Dewy; bedewed. [R.] T. Granger.
roriferous |generating or producing dew. [R.]
rorifluent |Flowing with dew. [R.]
rorqual |A very large North Atlantic whalebone whale (Physalus antiquorum, or Balænoptera physalus). It has a dorsal fin, and strong longitudinal folds on the throat and belly. Called also razorback. Note: It is one of the largest of the whales, somethimes becoming nearly one hundred feet long, but it is more slender than the right whales, and is noted for its swiftness. The name is sometimes applied to other related species of finback whales.
rorulent |1. Full of, or abounding in, dew. [R.] 2. (Zoöl.)  Having the surface appearing as if dusty, or covered with fine dew.
rory |Dewy. [R.] And shook his wings with rory May-dew wet. Fairfax.
rosaceous |1. (Bot.) (a) Of or pertaining to a natural order of plants (Rosaceæ) of which the rose is the type. It includes also the plums and cherries, meadowsweet, brambles, the strawberry, the hawthorn, applies, pears, service tress, and quinces. (b) Like a rose in shape or appearance; as, a rosaceous corolla. 2. Of a pure purpish pink color.
rosacic |Pertaining to, or designating, an acid (called also lithic acid) found in certain red precipitates of urine. See Uric. [Obs.]
rosalgar |realgar. [Obs.] chaucer.
rosalia |A form of melody in which a phrase or passage is successively repeated, each time a step or half step higher; a melodic sequence.
rosaniline |A complex nitrogenous base, C20H21N3O, obtained by oxidizing a mixture of aniline and toluidine, as a colorless crystalline substance which forms red salts. These salts are essential components of many of the socalled aniline dyes, as fuchsine, aniline red, etc. By extension, any one of the series of substances derived from, or related to, rosaniline proper.
rosarian |A cultivator of roses.
rosary |1. A bed of roses, or place where roses grow. \"Thick rosaries of scented thorn.\" Tennyson. 2. (R.C.Ch.)  A series of prayers (see Note below) arranged to be recited in order, on beads; also, a string of beads by which the prayers are counted. His idolized book, and the whole rosary of his prayers. Milton. Note: A rosary consists of fifteen decades. Each decade contains ten Ave Marias marked by small beads, preceded by a Paternoster, marked by a larger bead, and concluded by a Gloria Patri. Five decades make a chaplet, a third part of the rosary. Bp. Fitzpatrick. 3. A chapelet; a garland; a series or collection, as of beautiful thoughts or of literary selections. Every day propound to yourself a rosary or chaplet of good works to present to God at night. Jer. Taylor. 4. A coin bearing the figure of a rose, fraudulently circulated in Ireland in the 13th century for a penny. Rosary shell (Zoöl.), any marine gastropod shell of the genus Monodonta. They are top-shaped, bright-colored and pearly.
roscid |Containing, or consisting of, dew; dewy. [R.] Bacon.
roscoelite |A green micaceous mineral occurring in minute scales. It is essentially a silicate of aluminia and potash containing vanadium.
rose |imp. of Rise.\n\n1. A flower and shrub of any species of the genus Rosa, of which there are many species, mostly found in the morthern hemispere Note: Roses are shrubs with pinnate leaves and usually prickly stems. The flowers are large, and in the wild state have five petals of a color varying from deep pink to white, or sometimes yellow. By cultivation and hybridizing the number of petals is greatly increased and the natural perfume enhanced. In this way many distinct classes of roses have been formed, as the Banksia, Baurbon, Boursalt, China, Noisette, hybrid perpetual, etc., with multitudes of varieties in nearly every class. 2. A knot of ribbon formed like a rose; a rose knot; a rosette, esp. one worn on a shoe. Sha. 3. (Arch.)  A rose window. See Rose window, below. 4. A perforated nozzle, as of a pipe, spout, etc., for delivering water in fine jets; a rosehead; also, a strainer at the foot of a pump. 5. (Med.)  The erysipelas. Dunglison. 6. The card of the mariner's compass; also, a circular card with radiating lines, used in other instruments. 7. The color of a rose; rose-red; pink. 8. A diamond. See Rose diamond, below. Cabbage rose, China rose, etc. See under Cabbage, China, etc. -- Corn rose (Bot.) See Corn poppy, under Corn. -- Infantile rose (Med.), a variety of roseola. -- Jamaica rose. (Bot.) See under Jamaica. -- Rose acacia (Bot.), a low American leguminous shrub (Robinia hispida) with handsome clusters of rose-colored blossoms. -- Rose aniline. (Chem.) Same as Rosaniline. -- Rose apple (Bot.), the fruit of the tropical myrtaceous tree Eugenia Jambos. It is an edible berry an inch or more in diameter, and is said to have a very strong roselike perfume. -- Rose beetle. (Zoöl.) (a) A small yellowish or buff longlegged beetle (Macrodactylus subspinosus), which eats the leaves of various plants, and is often very injurious to rosebushes, apple trees, grapevines, etc. Called also rose bug, and rose chafer. (b) The European chafer. -- Rose bug. (Zoöl.) same as Rose beetle, Rose chafer. -- Rose burner, a kind of gas-burner producing a rose-shaped flame. -- Rose camphor (Chem.), a solid odorless substance which separates from rose oil. -- Rose campion. (Bot.) See under Campion. -- Rose catarrh (Med.), rose cold. -- Rose chafer. (Zoöl.) (a) A common European beetle (Cetonia aurata) which is often very injurious to rosebushes; -- called also rose beetle, and rose fly. (b) The rose beetle (a). -- Rose cold (Med.), a variety of hay fever, sometimes attributed to the inhalation of the effluvia of roses. See Hay fever, under Hay. -- Rose color, the color of a rose; pink; hence, a beautiful hue or appearance; fancied beauty, attractiveness, or promise. -- Rose de Pompadour, Rose du Barry, names succesively given to a delicate rose color used on Sèvres porcelain. -- Rose diamond, a diamond, one side of which is flat, and the other cut into twenty-four triangular facets in two ranges which form a convex face pointed at the top. Cf. Brilliant, n. -- Rose ear. See under Ear. -- Rose elder (Bot.), the Guelder-rose. -- Rose engine, a machine, or an appendage to a turning lathe, by which a surface or wood, metal, etc., is engraved with a variety of curved lines. Craig. -- Rose family (Bot.) the Roseceæ. See Rosaceous. -- Rose fever (Med.), rose cold. -- Rose fly (Zoöl.), a rose betle, or rose chafer. -- Rose gall (Zoöl.), any gall found on rosebushes. See Bedeguar. -- Rose knot, a ribbon, or other pliade band plaited so as to resemble a rose; a rosette. -- Rose lake, Rose madder, a rich tint prepared from lac and madder precipitated on an earthy basis. Fairholt. -- Rose mallow. (Bot.) (a) A name of several malvaceous plants of the genus Hibiscus, with large rose-colored flowers. (b) the hollyhock. -- Rose nail, a nail with a convex, faceted head. -- Rose noble, an ancient English gold coin, stamped with the figure of a rose, first struck in the reign of Edward III., and current at 6s. 8d. Sir W. Scott. -- Rose of China. (Bot.) See China rose (b), under China. -- Rose of Jericho (Bot.), a Syrian cruciferous plant (Anastatica Hierochuntica) which rolls up when dry, and expands again when moistened; -- called also resurrection plant. -- Rose of Sharon (Bot.), an ornamental malvaceous shrub (Hibiscus Syriacus). In the Bible the name is used for some flower not yet identified, perhaps a Narcissus, or possibly the great lotus flower. -- Rose oil (Chem.), the yellow essential oil extracted from various species of rose blossoms, and forming the chief part of attar of roses. -- Rose pink, a pigment of a rose color, made by dyeing chalk or whiting with a decoction of Brazil wood and alum; also, the color of the pigment. -- Rose quartz (Min.), a variety of quartz which is rose-red. -- Rose rash. (Med.) Same as Roseola. -- Rose slug (Zoöl.), the small green larva of a black sawfly (Selandria rosæ). These larvæ feed in groups on the parenchyma of the leaves of rosebushes, and are often abundant and very destructive. -- Rose window (Arch.), a circular window filled with ornamental tracery. Called also Catherine wheel, and marigold window. Cf. wheel window, under Wheel. -- Summer rose (Med.), a variety of roseola. See Roseola. -- Under the rose Etym: [a translation of L. sub rosa], in secret; privately; in a manner that forbids disclosure; -- the rose being among the ancients the symbol of secrecy, and hung up at entertainments as a token that nothing there said was to be divulged. -- Wars of the Roses (Eng. Hist.), feuds between the Houses of York and Lancaster, the white rose being the badge of the House of York, and the red rose of the House of Lancaster.\n\n1. To render rose-colored; to redden; to flush. [Poetic] \"A maid yet rosed over with the virgin crimson of modesty.\" Shak. 2. To perfume, as with roses. [Poetic] Tennyson.
rose water |Water tinctured with roses by distillation.
rose-colored |1. Having the color of a pink rose; rose-pink; of a delicate pink color. 2. Uncommonly beautiful; hence, extravagantly fine or pleasing; alluring; as, rose-colored anticipations.
rose-cut |Cut flat on the reverse, and with a convex face formed of triangular facets in rows; -- said of diamonds and other precious stones. See Rose diamond, under Rose. Cf. Brilliant, n.
rose-pink |1. Having a pink color like that of the rose, or like the pigment called rose pink. See Rose pink, under Rose. 2. Disposed to clothe everything with roseate hues; hence, sentimental. \"Rose-pink piety.\" C. Kingsley.
rose-red |Red as a rose; specifically (Zoöl.), of a pure purplish red color. Chaucer.
rose-rial |A name of several English gold coins struck in different reigns and having having different values; a rose noble.
rose-water |Having the odor of rose water; hence, affectedly nice or delicate; sentimental. \"Rose-water philantropy.\" Carlyle.
roseal |resembling a rose in smell or color. [Obs.] Sir T. Elyot.
roseate |1. Full of roses; rosy; as, roseate bowers. 2. resembling a rose in color or fragrance; esp., tinged with rose color; blooming; as, roseate beauty; her roseate lips. Roseate tern (Zoöl.), an American and European tern (Sterna Dougalli) whose breast is roseate in the breeding season.
rosebay |(a) the oleander. [Obs.] (b) Any shrub of the genus Rhododendron. [U.S.] (c) An herb (Epilobium spicatum) with showy purple flowers, common in Europe and North America; -- called also great willow herb.
rosebud |The flower of a rose before it opens, or when but partially open.
rosebush |The bush or shrub which bears roses.
rosedrop |1. A lozenge having a rose flavor. 2. A kind of earring. Simmonds. 3. (Med.)  A ruddy eruption upon the nose caused by drinking ardent spirits; a grog blossom.
rosefinch |Any one of numerous species of Asiatic finches of the genera Carpodacus, and Propasser, and allied genera, in which the male is more or less colored with rose red.
rosefish |A large marine scorpænoid food fish (Sebastes marinus) found on the northern coasts of Europe and America. called also red perch, hemdurgan, Norway haddok, and also, erroneously, snapper, bream, and bergylt. Note: When full grown it is usually bright rose-red or orange-red; the young are usually mottled with red and ducky brown.
rosehead |1. See Rose, n., 4. 2. A many-sided pyramidal head upon a nail; also a nail with such a head.
roseine |See Magenta.
roselite |A hydrous arsenite of cobalt, occuring in small red crystals, allied to erythrite.
rosella |A beautiful Australian parrakeet (Platycercus eximius) often kept as a cage bird. The head and back of the neck are scarlet, the throat is white, the back dark green varied with lighter green, and the breast yellow.
roselle |a malvaceous plant (Hibiscus Sabdariffa) cultivated in the east and West Indies for its fleshy calyxes, which are used for making tarts and jelly and an acid drink.
rosemaloes |The liquid storax of the East Indian Liquidambar orientalis.
rosemary |A labiate shrub (Rosmarinus officinalis) with narrow grayish leaves, growing native in the southern part of France, Spain, and Italy, also in Asia Minor and in China. It has a fragrant smell, and a warm, pungent, bitterish taste. It is used in cookery, perfumery, etc., and is an emblem of fidelity or constancy. There's rosemary, that's for remembrance. Shak. Marsh rosemary. (a) A little shrub (Andromeda polifolia) growing in cold swamps and having leaves like those of the rosemary. (b) See under Marsh. -- Rosemary pine, the loblolly pine. See under Loblolly.
rosen |Consisting of roses; rosy. [Obs.] ROSENMULLER'S ORGAN; ROSENMUELLER'S ORGAN Ro\"sen*mül`ler's or\"gan.  [So named from its first describer, J. C. Rosenmüller, a German anatomist.] (Anat.) The parovarium.
roseo- |A prefix (also used adjectively) signifying rose-red; specifically used to designate certain rose-red compounds (called roseo-cobaltic compounds) of cobalt with ammonia. Cf. Luteo-.
roseola |A rose-colored efflorescence upon the skin, occurring in circumscribed patches of little or no elevation and often alternately fading and reviving; also, an acute specific disease which is characterized by an eruption of this character; -- called also rose rash. -- Ro*se\"o*lous, a.
roser |A rosier; a rosebush. [Obs.]
roseroot |A fleshy-leaved herb (Rhodiola rosea); rosewort; -- so called because the roots have the odor of roses.
rosery |A place where roses are cultivated; a nursery of roses. See Rosary, 1.
roset |A red color used by painters. Peacham.
rosetta stone |A stone found at Rosetta, in Egypt, bearing a trilingual inscription, by aid of which, with other inscriptions, a key was obtained to the hieroglyphics of ancient Egypt. Brande & C.
rosetta wood |An east Indian wood of a reddish orange color, handsomely veined with darker marks. It is occasionally used for cabinetwork. Ure.
rosette |1. An imitation of a rose by means of ribbon or other material, -- used as an ornament or a badge. 2. (Arch.)  An ornament in the form of a rose or roundel, -much used in decoration. 3. A red color. See Roset. 4. A rose burner. See under Rose. 5. (Zoöl.) (a) Any structure having a flowerlike form; especially, the group of five broad ambulacra on the upper side of the spatangoid and clypeastroid sea urchins. See Illust. of Spicule, and Sand dollar, under Sand. (b) A flowerlike color marking; as, the rosettes on the leopard.
rosewood |A valuable cabinet wood of a dark red color, streaked and variegated with black, obtained from several tropical leguminous trees of the genera Dalbergia and Machærium. The finest kind is from Brazil, and is said to be from the Dalbergia nigra. African rosewood, the wood of the leguminous tree Pterocarpus erinaceus. -- Jamaica rosewood, the wood of two West Indian trees (Amyris balsamifera, and Linocieria ligustrina). -- New South Wales rosewood, the wood of Trichilia glandulosa, a tree related to the margosa.
roseworm |The larva of any one of several species of lepidopterous insects which feed upon the leaves, buds, or blossoms of the rose, especially Cacæcia rosaceana, which rolls up the leaves for a nest, and devours both the leaves and buds.
rosewort |(a) Roseroot. (b) Any plant nearly related to the rose. Lindley.
rosicrucian |One who, in the 17th century and the early part of the 18th, claimed to belong to a secret society of philosophers deeply versed in the secrets of nature, -- the alleged society having existed, it was stated, several hundred years. Note: The Rosicrucians also called brothers of the Rosy Cross, Rosy- cross Knights, Rosy-cross philosophers, etc. Among other pretensions, they claimed to be able to transmute metals, to prolong life, to know what is passing in distant places, and to discover the most hidden things by the application of the Cabala and science of numbers.\n\nOf or pertaining to the Rosicrucians, or their arts.
rosied |Decorated with roses, or with the color of roses.
rosier |A rosebush; roses, collectively. [Obs.] Crowned with a garland of sweet rosier. Spenser.
rosily |In a rosy manner. M. Arnold.
rosin |The hard, amber-colored resin left after distilling off the volatile oil of turpentine; colophony. Rosin oil, an oil obtained from the resin of the pine tree, -- used by painters and for lubricating machinery, etc.\n\nTo rub with rosin, as musicians rub the bow of a violin. Or with the rosined bow torment the string. Gay.
rosiness |The quality of being rosy.
rosinweed |(a) The compass plant. See under Compass. (b) A name given in California to various composite plants which secrete resins or have a resinous smell.
rosiny |like rosin, or having its qualities.
rosland |heathy land; land full of heather; moorish or watery land. [prov. Eng.]
rosmarine |1. Dew from the sea; sea dew. [Obs.] That purer brine And wholesome dew called rosmarine. B. Jonson. 2. Rosemary. [Obs.] Spenser. \"Biting on anise seed and rosmarine.\" Bp. Hall.\n\nA fabulous sea animal which was reported to climb by means of its teeth to the tops of rocks to feed upon the dew. And greedly rosmarines with visages deforme. Spenser.
rosolic |Pertaining to, or designating, a complex red dyestuff (called rosolic acid) which is analogous to rosaniline and aurin. It is produced by oxidizing a mixture of phenol and cresol, as a dark red amorphous mass, C20H16O3, which forms weak salts with bases, and stable ones with acids. Called also methyl aurin, and, formerly, corallin.
ross |The rough, scaly matter on the surface of the bark of trees. [Prov. Eng. & Local, U.S.]\n\nTo divest of the ross, or rough, scaly surface; as, to ross bark. [Local, U.S.]
rossel |Light land; rosland. [Obs. or Prov. Eng.] Mortimer.
rossel current |A portion of the southern equatorial current flowing westward from the Fiji Islands to New Guinea.\n\nA portion of the southern equatorial current flowing westward from the Fiji Islands to New Guinea. [Webster 1913 Suppl.]
rosselly |Loose; light. [Obs.] Mortimer.
rost |See Roust. [Scot.] Jemieson.
rostel |same as Rostellum.
rostellar |Pertaining to a rostellum.
rostellate |Having a rostellum, or small beak; terminating in a beak.
rostelliform |Having the form of a rostellum, or small beak.
rostellum |A small beaklike process or extension of some part; a small rostrum; as, the rostellum of the stigma of violets, or of the operculum of many mosses; the rostellum on the head of a tapeworm.
roster |A register or roll showing the order in which officers, enlisted men, companies, or regiments are called on to serve.
rostra |See Rostrum, 2.
rostral |Of or pertaining to the beak or snout of an animal, or the beak of a ship; resembling a rostrum, esp., the rostra at Rome, or their decorations. [Monuments] adorned with rostral crowns and naval ornaments. Addison.
rostrate |1. Having a process resembling the beak of a bird; beaked; rostellate. 2. Furnished or adorned with beaks; as, rostrated galleys.
rostrated |1. Having a process resembling the beak of a bird; beaked; rostellate. 2. Furnished or adorned with beaks; as, rostrated galleys.
rostrifera |A division of pectinibranchiate gastropods, having the head prolonged into a snout which is not retractile.
rostriform |Having the form of a beak.
rostrulum |A little rostrum, or beak, as of an insect.
rostrum |1. The beak or head of a ship. 2. pl. (Rostra) (Rom. Antiq.)  The Beaks; the stage or platform in the forum where orations, pleadings, funeral harangues, etc., were delivered; -- so called because after the Latin war, it was adorned with the beaks of captured vessels; later, applied also to other platforms erected in Rome for the use of public orators. 3. Hence, a stage for public speaking; the pulpit or platform occupied by an orator or public speaker. Myself will mount the rostrum in his favor. Addison. 4. (Zoöl.) (a) Any beaklike prolongation, esp. of the head of an animal, as the beak of birds. (b) The beak, or sucking mouth parts, of Hemiptera. (c) The snout of a gastropod mollusk. See Illust. of Littorina. (d) The anterior, often spinelike, prolongation of the carapace of a crustacean, as in the lobster and the prawn. 5. (Bot.)  Same as Rostellum. 6. (Old Chem.)  The pipe to convey the distilling liquor into its receiver in the common alembic. Quincy. 7. (Surg.)  A pair of forceps of various kinds, having a beaklike form. [Obs.] Coxe.
rosulate |Arranged in little roselike clusters; -- said of leaves and bracts.
rosy |Resembling a rose in color, form, or qualities; blooming; red; blushing; also, adorned with roses. A smile that glowed Celestial rosy-red, love's proper hue. Milton. While blooming youth and gay delight Sit thy rosy cheeks confessed. Prior. Note: Rosy is sometimes used in the formation of selfrosy-bosomed, rosy-colored, rosy-crowned, rosy-fingered, rosy-tinted. Rosy cross. See the Note under Rosicrucian, n.
rot |1. To undergo a process common to organic substances by which they lose the cohesion of their parts and pass through certain chemical changes, giving off usually in some stages of the process more or less offensive odors; to become decomposed by a natural process; to putrefy; to decay. Fixed like a plant on his peculiar spot, To draw nutrition, propagate, and rot. Pope. 2. Figuratively: To perish slowly; to decay; to die; to become corrupt. Four of the sufferers were left to rot in irons. Macaulay. Rot, poor bachelor, in your club. Thackeray. Syn. -- To putrefy; corrupt; decay; spoil.\n\n1. To make putrid; to cause to be wholly or partially decomposed by natural processes; as, to rot vegetable fiber. 2. To expose, as flax, to a process of maceration, etc., for the purpose of separating the fiber; to ret.\n\n1. Process of rotting; decay; putrefaction. 2. (Bot.)  A disease or decay in fruits, leaves, or wood, supposed to be caused by minute fungi. See Bitter rot, Black rot, etc., below. 3. Etym: [Cf. G. rotz glanders.]  A fatal distemper which attacks sheep and sometimes other animals. It is due to the presence of a parasitic worm in the liver or gall bladder. See 1st Fluke, 2. His cattle must of rot and murrain die. Milton. Bitter rot (Bot.), a disease of apples, caused by the fungus Glæosporium fructigenum. F. L. Scribner. -- Black rot (Bot.), a disease of grapevines, attacking the leaves and fruit, caused by the fungus Læstadia Bidwellii. F. L. Scribner. -- Dry rot (Bot.) See under Dry. -- Grinder's rot (Med.) See under Grinder. -- Potato rot. (Bot.) See under Potato. -- White rot (Bot.), a disease of grapes, first appearing in whitish pustules on the fruit, caused by the fungus Coniothyrium diplodiella. F. L. Scribner.
