stronghold |A fastness; a fort or fortress; fortfield place; a place of security.
stupor |1. Great diminution or suspension of sensibility; suppression of sense or feeling; lethargy. 2. Intellectual insensibility; moral stupidity; heedlessness or inattention to one's interests.
stupose |Composed of, or having, tufted or matted filaments like tow; stupeous.
stuprate |To ravish; to debauch. [R.] Heywood.
stupration |Violation of chastity by force; rape. [R.] Sir T. Browne.
stuprum |Stupration.
sturb |To disturb. [Obs.] Chaucer.
sturdily |In a sturdy manner.
sturdiness |Quality of being sturdy.
sturdy |1. Foolishly obstinate or resolute; stubborn; unrelenting; unfeeling; stern. This sturdy marquis gan his hearte dress To rue upon her wifely steadfastness. Chaucer. This must be done, and I would fain see Mortal so sturdy as to gainsay. Hudibras. A sturdy, hardened sinner shall advance to the utmost pitch of impiety with less reluctance than he took the first steps. Atterbury. 2. Resolute, in a good sense; or firm, unyielding quality; as, a man of sturdy piety or patriotism. 3. Characterized by physical strength or force; strong; lusty; violent; as, a sturdy lout. How bowed the woods beneath their sturdy stroke! Gray. 4. Stiff; stout; strong; as, a sturdy oak. Milton. He was not of any delicate contexture; his limbs rather sturdy than dainty. Sir H. Wotton. Syn. -- Hardy; stout; strong; firm; robust; stiff.\n\nA disease in sheep and cattle, marked by great nervousness, or by dullness and stupor.
sturgeon |Any one of numerous species of large cartilaginous ganoid fishes belonging to Acipenser and allied genera of the family Acipenseridæ. They run up rivers to spawn, and are common on the coasts and in the large rivers and lakes of North America, Europe, and Asia. Caviare is prepared from the roe, and isinglass from the air bladder. Note: The common North American species are Acipenser sturio of the Atlantic coast region, A. transmontanus of the Pacific coast, and A. rubicundus of the Mississippi River and its tributaries. In Europe, the common species is Acipenser sturio, and other well-known species are the sterlet and the huso. The sturgeons are included in the order Chondrostei. Their body is partially covered by five rows of large, carinated, bony plates, of which one row runs along the back. The tail is heterocercal. The toothless and protrusile mouth is beneath the head, and has four barbels in front. Shovel-nosed sturgeon. (Zoöl.) See Shovelnose (d).
sturiones |An order of fishes including the sturgeons.
sturionian |One of the family of fishes of which the sturgeon is the type.
sturk |See Stirk. [Prov. Eng. & Scot.]
sturnoid |Like or pertaining to the starlings.
sturt |To vex; to annoy; to startle. [Obs. or Prov. Eng. & Scot.]\n\n1. Disturbance; annoyance; care. [Obs. or Prov. Eng. & Scot.] \"Sturt and care.\" J. Rolland. 2. (Mining)  A bargain in tribute mining by which the tributor profits. Raymond.
sturtion |A corruption of Nasturtion.
stut |To stutter. [Obs.] Skelton.
stutter |To hesitate or stumble in uttering words; to speak with spasmodic repetition or pauses; to stammer. Trembling, stuttering, calling for his confessor. Macaulay.\n\n1. The act of stuttering; a stammer. See Stammer, and Stuttering. 2. One who stutters; a stammerer. [Obs.] Bacon.
stutterer |One who stutters; a stammerer.
stuttering |The act of one who stutters; -- restricted by some physiologists to defective speech due to inability to form the proper sounds, the breathing being normal, as distinguished from stammering.\n\nApt to stutter; hesitating; stammering. -- Stut\"ter*ing*ly, adv.
sty |1. A pen or inclosure for swine. 2. A place of bestial debauchery. To roll with pleasure in a sensual sty. Milton.\n\nTo shut up in, or as in, a sty. Shak.\n\nTo soar; to ascend; to mount. See Stirrup. [Obs.] With bolder wing shall dare aloft to sty, To the last praises of this Faery Queene. Spenser.\n\nAn inflamed swelling or boil on the edge of the eyelid. [Written also stye.]
styan |See Sty, a boil. [R.] De quincey.
styca |An anglo-Saxon copper coin of the lowest value, being worth half a farthing. S. M. Leake.
stycerin |A triacid alcohol, related to glycerin, and obtained from certain styryl derivatives as a yellow, gummy, amorphous substance; - - called also phenyl glycerin.
stye |See Sty, a boil.
stygial |Stygian. [R.] Skelton.
stygian |Of or pertaining to the river Styx; hence, hellish; infernal. See Styx. At that so sudden blaze, the Stygian throng Bent their aspect. Milton.
stylagalmaic |Performing the office of columns; as, Atlantes and Caryatides are stylagalmaic figures or images. [Written also stylogalmaic.]
stylar |See Stilar.
stylaster |Any one of numerous species of delicate, usually pink, calcareous hydroid corals of the genus Stylaster.
style |1. An instrument used by the ancients in writing on tablets covered with wax, having one of its ends sharp, and the other blunt, and somewhat expanded, for the purpose of making erasures by smoothing the wax. 2. Hence, anything resembling the ancient style in shape or use. Specifically: -- (a) A pen; an author's pen. Dryden. (b) A sharp-pointed tool used in engraving; a graver. (c) A kind of blunt-pointed surgical instrument. (d) (Zoöl.) A long, slender, bristlelike process, as the anal styles of insects. (e) Etym: [Perhaps fr. Gr.  The pin, or gnomon, of a dial, the shadow of which indicates the hour. See Gnomon. (f) Etym: [Probably fr. Gr. (Bot.)  The elongated part of a pistil between the ovary and the stigma. See Illust. of Stamen, and of Pistil. 3. Mode of expressing thought in language, whether oral or written; especially, such use of language in the expression of thought as exhibits the spirit and faculty of an artist; choice or arrangement of words in discourse; rhetorical expression. High style, as when that men to kinges write. Chaucer. Style is the dress of thoughts. Chesterfield. Proper words in proper places make the true definition of style. Swift. It is style alone by which posterity will judge of a great work. I. Disraeli. 4. Mode of presentation, especially in music or any of the fine arts; a characteristic of peculiar mode of developing in idea or accomplishing a result. The ornamental style also possesses its own peculiar merit. Sir J. Reynolds. 5. Conformity to a recognized standard; manner which is deemed elegant and appropriate, especially in social demeanor; fashion. According to the usual style of dedications. C. Middleton. 6. Mode or phrase by which anything is formally designated; the title; the official designation of any important body; mode of address; as, the style of Majesty. One style to a gracious benefactor, another to a proud, insulting foe. Burke. 7. (Chron.)  A mode of reckoning time, with regard to the Julian and Gregorian calendars. Note: Style is Old or New. The Old Style follows the Julian manner of computing the months and days, or the calendar as established by Julius Cæsar, in which every fourth year consists of 366 days, and the other years of 365 days. This is about 11 minutes in a year too much. Pope Georgy XIII. reformed the calendar by retrenching 10 days in October, 1582, in order to bring back the vernal equinox to the same day as at the time of the Council of Nice, A.D. 325. This reformation was adopted by act of the British Parliament in 1751, by which act 11 days in September, 1752, were retrenched, and the third day was reckoned the fourteenth. This mode of reckoning is called New Style, according to which every year divisible by 4, unless it is divisible by 100 without being divisible by 400, has 366 days, and any other year 365 days. Style of court, the practice or manner observed by a court in its proceedings. Ayliffe. Syn. -- Diction; phraseology; manner; course; title. See Diction.\n\nTo entitle; to term, name, or call; to denominate. \"Styled great conquerors.\" Milton. How well his worth and brave adventures styled. Dryden. Syn. -- To call; name; denominate; designate; term; characterize.
stylet |A small poniard; a stiletto. 2. (Surg.) (a) An instrument for examining wounds and fistulas, and for passing setons, and the like; a probe, -- called also specillum. (b) A stiff wire, inserted in catheters or other tubular instruments to maintain their shape and prevent clogging. 3. (Zoöl.)  Any small, more or less rigid, bristlelike organ; as, the caudal stylets of certain insects; the ventral stylets of certain Infusoria.
styliferous |Bearing one or more styles.
styliform |Having the form of, or resembling, a style, pin, or pen; styloid.
stylish |Having style or artistic quality; given to, or fond of, the display of style; highly fashionable; modish; as, a stylish dress, house, manner. -- Styl\"ish*ly, adv. -- Styl\"ish*ness, n.
stylist |One who is a master or a model of style, especially in writing or speaking; a critic of style. Distinguished as a stylist, for ease. Fitzed. Hall.
stylistic |Of or pertaining to style in language. [R.] \"Stylistic trifles.\" J. A. Symonds. The great stylistic differences in the works ascribed to him [Wyclif]. G. P. Marsh.
stylite |One of a sect of anchorites in the early church, who lived on the tops of pillars for the exercise of their patience; -- called also pillarist and pillar saint.
stylo- |A combining form used in anatomy to indicate connection with, or relation to, the styloid process of the temporal bone; as, stylohyal, stylomastoid, stylomaxillary.
stylobate |The uninterrupted and continuous flat band, coping, or pavement upon which the bases of a row of columns are supported. See Sub-base.
styloglossal |Of or pertaining to styloid process and the tongue.
stylograph |A stylographic pen.
stylographic |1. Of or pertaining to stylography; used in stylography; as, stylographic tablets. 2. Pertaining to, or used in, stylographic pen; as, stylographic ink. Stylographic pen, a pen with a conical point like that of a style, combined with a reservoir for supplying it with ink. -- Stylographic pencil, a pencil used in stylography.
stylographical |Same as Stylographic, 1. -- Sty`lo*graph\"ic*al*ly, adv.
stylography |A mode of writing or tracing lines by means of a style on cards or tablets.
stylohyal |A segment in the hyoidean arch between the epihyal and tympanohyal.
stylohyoid |Of or pertaining to the styloid process and the hyoid bone.
styloid |1. Styliform; as, the styloid process. 2. (Anat.)  Of or pertaining to the styloid process. Styloid process (Anat.), a long and slender process from the lower side of the temporal bone of man, corresponding to the tympanohyal and stylohyal of other animals.
stylomastoid |Of or pertaining to the styloid and mastoid processes of the temporal bone.
stylomaxillary |Of or pertaining to the styloid process and the maxilla.
stylometer |An instrument for measuring columns.
stylommata |Same as Stylommatophora.
stylommatophora |A division of Pulmonata in which the eyes are situated at the tips of the tentacles. It includes the common land snails and slugs. See Illust. under Snail.
stylommatophorous |Of or pertaining to Stylommatophora.
stylopodium |An expansion at the base of the style, as in umbelliferous plants.
stylops |A genus of minute insects parasitic, in their larval state, on bees and wasps. It is the typical genus of the group Strepsiptera, formerly considered a distinct order, but now generally referred to the Coleoptera. See Strepsiptera.
stylus |An instrument for writing. See Style, n., 1. That needle-shaped part at the tip of the playing arm of phonograph which sits in the groove of a phonograph record while it is turning, to detect the undulations in the phonograph groove and convert them into vibrations which are transmitted to a system (since 1920 electronic) which converts the signal into sound; also called needle. The stylus is frequently composed of metal or diamond. 3. The needle-like device used to cut the grooves which record the sound on the original disc during recording of a phonograph record. 4. (Computers)  A pen-shaped pointing device used to specify the cursor position on a graphics tablet.
stymie |The position of two balls on the putting green such that, being more than six inches apart, one ball lies directly between the other and the hole at which the latter must be played; also, the act of bringing the balls into this position.\n\nTo bring into the position of, or impede by, a stymie.
styphnate |A salt of styphnic acid.
styphnic |Pertaining to, or designating, a yellow crystalline astringent acid, (NO2)3.C6H.(OH)2, obtained by the action of nitric acid on resorcin. Styphnic acid resembles picric acid, but is not bitter. It acts like a strong dibasic acid, having a series of well defined salts.
styptic |Producing contraction; stopping bleeding; having the quality of restraining hemorrhage when applied to the bleeding part; astringent. [Written also stiptic.] Styptic weed (Bot.), an American leguminous herb (Cassia occidentalis) closely related to the wild senna.\n\nA styptic medicine.
styptical |Styptic; astringent.
stypticity |The quality or state of being styptic; astringency.
styracin |A white crystalline tasteless substance extracted from gum storax, and consisting of a salt of cinnamic acid with cinnamic alcohol.
styrax |1. (Bot.)  A genus of shrubs and trees, mostly American or Asiatic, abounding in resinous and aromatic substances. Styrax officinalis yields storax, and S. Benzoin yields benzoin. 2. Same as Storax.
styrol |See Styrolene.
styrolene |An unsaturated hydrocarbon, C8H8, obtained by the distillation of storax, by the decomposition of cinnamic acid, and by the condensation of acetylene, as a fragrant, aromatic, mobile liquid; -- called also phenyl ethylene, vinyl benzene, styrol, styrene, and cinnamene.
styrone |A white crystalline substance having a sweet taste and a hyacinthlike odor, obtained by the decomposition of styracin; -- properly called cinnamic, or styryl, alcohol.
styryl |A hypothetical radical found in certain derivatives of styrolene and cinnamic acid; -- called also cinnyl, or cinnamyl.
stythe |Choke damp.
stythy |See Stithy.
styx |The principal river of the lower world, which had to be crossed in passing to the regions of the dead.
suability |Liability to be sued; the state of being subjected by law to civil process.
suable |Capable of being sued; subject by law to be called to answer in court. Story.
suade |To persuade. [Obs.]
suadible |Suasible. [Obs.] Wyclif (James iii. 17).
suage |To assuage. [Obs.] Dryden.
suant |Spread equally over the surface; uniform; even. [Written also suent.] [Local, U.S. & Prov. Eng.] -- Su\"ant*ly, adv. [Local, U.S. & Prov. Eng.]
suasible |Capable of being persuaded; easily persuaded.
suasion |The act of persuading; persuasion; as, moral suasion.
suasive |Having power to persuade; persuasive; suasory. South. \"Genial and suasive satire.\" Earle. -- Sua\"sive*ly, adv.
suasory |Tending to persuade; suasive.
suave |Sweet; pleasant; delightful; gracious or agreeable in manner; bland. -- Suave\"ly, adv.
suavify |To make affable or suave.
suaviloquent |Sweetly speaking; using agreeable speech. [R.]
suaviloquy |Sweetness of speech. [R.]
suavity |1. Sweetness to the taste. [Obs.] Sir T. Browne. 2. The quality of being sweet or pleasing to the mind; agreeableness; softness; pleasantness; gentleness; urbanity; as, suavity of manners; suavity of language, conversation, or address. Glanvill.
sub |A subordinate; a subaltern. [Colloq.]
sub judice |Before the judge, or court; not yet decided; under judicial consideration.
sub- |1. A prefix signifying under, below, beneath, and hence often, in an inferior position or degree, in an imperfect or partial state, as in subscribe, substruct, subserve, subject, subordinate, subacid, subastringent, subgranular, suborn. Sub- in Latin compounds often becomes sum- before m, sur before r, and regularly becomes suc-, suf- , sug-, and sup- before c, f, g, and p respectively. Before c, p, and t it sometimes takes form sus- (by the dropping of b from a collateral form, subs-). 2. (Chem.)  A prefix denoting that the ingredient (of a compound) signified by the term to which it is prefixed,is present in only a small proportion, or less than the normal amount; as, subsulphide, suboxide, etc. Prefixed to the name of a salt it is equivalent to basic; as, subacetate or basic acetate. [Obsoles.]
sub-base |The lowest member of a base when divided horizontally, or of a baseboard, pedestal, or the like.
sub-bass |The deepest pedal stop, or the lowest tones of an organ; the fundamental or ground bass. [Written also sub-base.] Ayliffe.
subacetate |An acetate containing an excess of the basic constituent.
subacid |Moderately acid or sour; as, some plants have subacid juices. -- n.  A substance moderately acid.
subacrid |Moderalely acrid or harsh.
subacromial |Situated beneath the acromial process of the scapula.
subact |To reduce; to subdue. [Obs.] Bacon.
subaction |The act of reducing to any state, as of mixing two bodies combletely. [Obs.] Bacon.
subacute |Moderalely acute.
subaduncate |Somewhat hooked or curved.
subadvocate |An under or subordinate advocate.
subaerial |Beneath the sky; in the open air; specifically (Geol.), taking place on the earth's surface, as opposed to subaqueous.
subagency |A subordinate agency.
subagent |A person employed by an agent to transact the whole, or a part, of the business intrusted to the latter. Bouvier. Chitty.
subagitation |Unlawful sexual intercourse. [Obs.]
subah |A province; a government, as of a viceroy; also, a subahdar. [India]
subahdar |A viceroy; a governor of a subah; also, a native captain in the British native army. [India]
subahdary |The office or jurisdiction of a subahdar.
subahship |The office or jurisdiction of a subahdar.
subaid |To aid secretly; to assist in a private manner, or indirectly. [R.] Daniel.
subalmoner |An under almoner.
subalpine |Inhabiting the somewhat high slopes and summits of mountains, but considerably below the snow line.
subaltern |1. Ranked or ranged below; subordinate; inferior; specifically (Mil.), ranking as a junior officer; being below the rank of captain; as, a subaltern officer. 2. (Logic)  Asserting only a part of what is asserted in a related proposition. Subaltern genus. (Logic) See under Genus.\n\n1. A person holding a subordinate position; specifically, a commissioned military officer below the rank of captain. 2. (Logic)  A subaltern proposition. Whately.
subalternant |A universal proposition. See Subaltern, 2. Whately.
subalternate |1. Succeeding by turns; successive. 2. Subordinate; subaltern; inferior. All their subalternate and several kinds. Evelyn.\n\nA particular proposition, as opposed to a universal one. See Subaltern, 2.
subalternating |Subalternate; successive.
subalternation |The state of being subalternate; succession of turns; subordination.
subangular |Slightly angular.
subapennine |Under, or at the foot of, the Apennine mountains; -- applied, in geology, to a series of Tertiary strata of the older Pliocene period.
subapical |Being under the apex; of or pertaining to the part just below the apex.
subaquaneous |Subaqueous. [Obs.]
subaquatic |1. Being under water, or beneath the surface of water; adapted for use under water; submarine; as, a subaqueous helmet. 2. (Geol.)  Formed in or under water; as, subaqueous deposits.
subaqueous |1. Being under water, or beneath the surface of water; adapted for use under water; submarine; as, a subaqueous helmet. 2. (Geol.)  Formed in or under water; as, subaqueous deposits.
subarachnoid |Situated under the arachnoid membrane.
subarachnoidal |Situated under the arachnoid membrane.
subarctic |Approximately arctic; belonging to a region just without the arctic circle.
subarcuate |Having a figure resembling that of a bow; somewhat curved or arched.
subarcuated |Having a figure resembling that of a bow; somewhat curved or arched.
subarration |The ancient custom of betrothing by the bestowal, on the part of the man, of marriage gifts or tokens, as money, rings, or other presents, upon the woman.
subarytenoid |Situated under the arytenoid cartilage of the larynx.
subastral |Beneath the stars or heavens; terrestrial. Bp. Warburton.
subastringent |Somewhat astringent.
subatom |A hypothetical component of a chemical atom, on the theory that the elements themselves are complex substances; -- called also atomicule.
subaud |To understand or supply in an ellipsis. [R.]
subaudition |The act of understanding, or supplying, something not expressed; also, that which is so understood or supplied. Trench.
subaxillary |1. (Anat.)  Situated under the axilla, or armpit. 2. (Bot.)  Placed under the axil, or angle formed by the branch of a plant with the stem, or a leaf with the branch.
subbasal |Near the base.
subbeadle |An under beadle.
subbrachial |Of or pertaining to the subbrachians.
subbrachiales |A division of soft-finned fishes in which the ventral fins are situated beneath the pectorial fins, or nearly so.
subbrachian |One of the Subbrachiales.
subbreed |A race or strain differing in certain characters from the parent breed; an incipient breed.
subbronchial |Situated under, or on the ventral side of, the bronchi; as, the subbronchial air sacs of birds.
subcaliber |Smaller than the caliber of a firearm. [Written also subcalibre.] Subcaliber projectile, a projectile having a smaller diameter than the caliber of the arm from which it is fired, and to which it is fitted by means of a sabot. Knight.
subcarbonate |A carbonate containing an excess of the basic constituent.
subcarboniferous |Of or pertaining to the lowest division of the Carboniferous formations underlying the proper coal measures. It was a marine formation characterized in general by beds of limestone. -- n.  The Subcarboniferous period or formation.
subcarbureted |United with, or containing, carbon in less than the normal proportion. [Written also subcarburetted.] [Obsoles.]
subcartilaginous |(a) Situated under or beneath a cartilage or cartilages. (b) Partially cartilaginous.
subcaudal |Situated under, or on the ventral side of, the tail; as, the subcaudal, or chevron, bones.
subcelestial |Being beneath the heavens; as, subcelestial glories. Barrow.
subcellar |A cellar beneath another story wholly or partly underground; usually, a cellar under a cellar.
subcentral |1. Under the center. 2. Nearly central; not quite central.
subchanter |An underchanter; a precentor's deputy in a cathedral; a succentor.
subcircular |Nearly circular.
subclass |One of the natural groups, more important than an order, into which some classes are divided; as, the angiospermous subclass of exogens.
subclavian |Situated under the clavicle, or collar bone; as, the subclavian arteries.
subcolumnar |Having an imperfect or interrupted columnar structure.
subcommittee |An under committee; a part or division of a committee. Yet by their sequestrators and subcommittees abroad . . . those orders were commonly disobeyed. Milton.
subcompressed |Not fully compressed; partially or somewhat compressed.
subconcave |Slightly concave. Owen.
subconformable |Partially conformable.
subconical |Slightly conical.
subconjunctival |Situated under the conjunctiva.
subconscious |1. Occurring without the possibility or the fact of an attendant consciousness; -- said of states of the soul. 2. Partially conscious; feebly conscious.
subconsciousness |The state or quality of being subconscious; a state of mind in which perception and other mental processes occur without distinct consciousness.
subconstellation |A subordinate constellation. Sir T. Browne.
subcontract |A contract under, or subordinate to, a previous contract.
subcontracted |1. Contracted after a former contract. 2. Betrothed for the second time. [Obs.] Shak.
subcontractor |One who takes a portion of a contract, as for work, from the principal contractor.
subcontrary |1. Contrary in an inferior degree. 2. (Geom.)  Having, or being in, a contrary order; -- said of a section of an oblique cone having a circular base made by a plane not parallel to the base, but so inclined to the axis that the section is a circle; applied also to two similar triangles when so placed as to have a common angle at the vertex, the opposite sides not being parallel. Brande & C. 3. (Logic)  Denoting the relation of opposition between the particular affirmative and particular negative. Of these both may be true and only one can be false.\n\nA subcontrary proposition; a proposition inferior or contrary in a lower degree.
subcoracoid |Situated under the coracoid process of the scapula; as, the subcoracoid dislocation of the humerus.
subcordate |Somewhat cordate; somewhat like a heart in shape.
subcorneous |(a) Situated under a horny part or layer. (b) Partially horny.
subcostal |Situated below the costas, or ribs; as, the subcostal muscles. Note: The subcostal muscles are distinct from, and within, the intercostal.\n\n1. (Anat.)  A subcostal muscle. 2. (Zoöl.)  One of the principal nervures of the wings of an insect. It is situated next beneath or behind the costal. See Nervure.
subcranial |Situated under, or on the ventral side of, the cranium; facial.
subcrustaceous |Occurring beneath a crust or scab; as, a subcrustaceous cicatrization.
subcrystalline |Imperfectly crystallized.
subcultrate |Having a form resembling that of a colter, or straight on one side and curved on the other.
subcultrated |Having a form resembling that of a colter, or straight on one side and curved on the other.
subcutaneous |Situated under the skin; hypodermic. -- Sub`cu*ta\"ne*ous*ly, adv. Subcutaneous operation (Surg.), an operation performed without opening that part of the skin opposite to, or over, the internal section.
subcuticular |Situated under the cuticle, or scarfskin.
subcylindric |Imperfectly cylindrical; approximately cylindrical.
subcylindrical |Imperfectly cylindrical; approximately cylindrical.
subdeacon |One belonging to an order in the Roman Catholic Church, next interior to the order of deacons; also, a member of a minor order in the Greek Church.
subdeaconry |The order or office of subdeacon.
subdeaconship |The order or office of subdeacon.
subdean |An under dean; the deputy or substitute of a dean. Ayliffe.
subdeanery |Office or rank of subdean.
subdecanal |Of or pertaining to a subdean or subdeanery.
subdecuple |Containing one part of ten.
subdelegate |A subordinate delegate, or one with inferior powers.\n\nTo appoint to act as subdelegate, or as a subordinate; to depete.
subdented |Indented beneath.
subdepartment |A subordinate department; a bureau. See the Note under Bureau.
subdeposit |That which is deposited beneath something else.
subderisorious |Ridiculing with moderation. [R.] Dr. H. More.
subderivative |A word derived from a derivative, and not directly from the root; as, \"friendliness\" is a subderivative, being derived from \"friendly\| which is in turn a derivative from \"friend.\""
subdiaconate |Of or pertaining to a subdeacon, or to the office or rank of a subdeacon.\n\nThe office or rank of a subdeacon.
subdial |Of or pertaining to the open air; being under the open sky. [R.] N. Bacon.
subdialect |A subordinate dialect.
subdichotomy |A subordinate, or inferior, division into parts; a subdivision. [R.] Many subdichatomies of petty schisms. Milton.
subdilated |Partially dilated.
subdititious |Put secretly in the place of something else; foisted in. [R.]
subdiversify |To diversify aggain what is already diversified. [R.] Sir M. Hale.
subdivide |To divide the parts of (anything) into more parts; to part into smaller divisions; to divide again, as what has already been divided. The progenies of Cham and Japhet swarmed into colonies, and those colonies were subdivided into many others. Dryden.\n\nTo be, or to become, subdivided.
subdivine |Partaking of divinity; divine in a partial or lower degree. Bp. Hall.
subdivisible |Susceptible of subdivision.
subdivision |1. The act of subdividing, or separating a part into smaller parts. 2. A part of a thing made by subdividing. In the decimal table, the subdivision of the cubit, as span, palm, and digit, are deduced from the shorter cubit. Arbuthnot.
subdolous |Sly; crafty; cunning; artful. [R.]
subdominant |The fourth tone above, or fifth below, the tonic; -- so called as being under the dominant.
subduable |Able to be subdued.
subdual |Act of subduing. Bp. Warburton.
subduce |1. To withdraw; to take away. Milton. 2. To subtract by arithmetical operation; to deduct. If, out of that infinite multitude of antecedent generations, we should subduce ten. Sir M. Hale.
subduct |1. To withdraw; to take away. Milton. 2. To subtract by arithmetical operation; to deduct. If, out of that infinite multitude of antecedent generations, we should subduce ten. Sir M. Hale.
subduction |1. The act of subducting or taking away. Bp. Hall. 2. Arithmetical subtraction. Sir M. Hale.
subdue |1. To bring under; to conquer by force or the exertion of superior power, and bring into permanent subjection; to reduce under dominion; to vanquish. I will subdue all thine enemies. 1 Chron. xvii. 10. 2. To overpower so as to disable from further resistance; to crush. Nothing could have subdued nature To such a lowness, but his unkind daughters. Shak. If aught . . . were worthy to subdue The soul of man. Milton. 3. To destroy the force of; to overcome; as, medicines subdue a fever. 4. To render submissive; to bring under command; to reduce to mildness or obedience; to tame; as, to subdue a stubborn child; to subdue the temper or passions. 5. To overcome, as by persuasion or other mild means; as, to subdue opposition by argument or entreaties. 6. To reduce to tenderness; to melt; to soften; as, to subdue ferocity by tears. 7. To make mellow; to break, as land; also, to destroy, as weeds. 8. To reduce the intensity or degree of; to tone down; to soften; as, to subdue the brilliancy of colors. Syn. -- To conquer; overpower; overcome; surmount; vanquish. See Conquer.
subdued |1. Conquered; overpowered; crushed; submissive; mild. 2. Not glaring in color; soft in tone.
subduement |Subdual. [Obs.] Shak.
subduer |One who, or that which, subdues; a conqueror. Spenser.
subdulcid |Somewhat sweet; sweetish. [R.]
subduple |Indicating one part of two; in the ratio of one to two. Subduple ratio, the ratio of 1 to 2: thus, 3:6 is a subduple ratio, as 6:3 is a duple ratio.
subduplicate |Expressed by the square root; -- said of ratios. Subduplicate ratio, the ratio of the square roots, or the square root of a ratio; thus, the subduplicate ratio of a to b is *a to *b, or *a\/b.
subdural |Situated under the dura mater, or between the dura mater and the arachnoid membrane.
subeditor |An assistant editor, as of a periodical or journal.
subelongate |Not fully elongated; somewhat elongated.
subendocardial |Situated under the endocardium.
subendymal |Situated under the endyma.
subepidermal |Situated immediately below the epidermis.
subepiglottic |Situated under the epiglottis.
subepithelial |Situated under the epithelium.
subequal |Nearly equal.
suberate |A salt of suberic acid.
subereous |Of or pertaining to cork; of the nature of cork; suberose.
suberic |Of or pertaining to cork; specifically, designating an acid, C
suberin |A material found in the cell walls of cork. It is a modification of lignin.
suberite |Any sponge of the genus Suberites and allied genera. These sponges have a fine and compact texture, and contain minute siliceous spicules.
suberization |Conversion of the cell walls into cork tissue by development of suberin; -- commonly taking place in exposed tissues, as when a callus forms over a wound. Suberized cell walls are impervious to water.
suberize |To effect suberization of.
suberone |(a) The hypothetical ketone of suberic acid. (b) A colorless liquid, analogous suberone proper, having a pleasant peppermint odor. It is obtained by the distillation of calcium suberate.
suberose |Having a corky texture.
suberous |Having a corky texture.
subesophageal |Situated beneath the esophagus. [Written also suboesophageal.] Subesophageal ganglion (Zoöl.), a large special ganglion situated beneath the esophagus of arthropods, annelids, and some other invertebrates.
subfamily |One of the subdivisions, of more importance than genus, into which certain families are divided.
subfibrous |Somewhat fibrous.
subfuscous |Duskish; moderately dark; brownish; tawny.
subfusk |Subfuscous. [Obs.] Tatler.
subgelatinous |Imperfectly or partially gelatinous.
subgeneric |Of or pertaining to a subgenus.
subgenus |A subdivision of a genus, comprising one or more species which differ from other species of the genus in some important character or characters; as, the azaleas now constitute a subgenus of Rhododendron.
subglacial |Pertaining or belonging to the under side of a glacier; being beneath a glacier; as, subglacial streams.
subglobose |Not quite globose.
subglobular |Nearly globular.
subglossal |Situated under the tongue; sublingual.
subglottic |Situated below the glottis; -- applied to that part of the cavity of the larynx below the true vocal cords.
subglumaceous |Somewhat glumaceous.
subgovernor |A subordinate or assistant governor.
subgranular |Somewhat granular.
subgroup |A subdivision of a group, as of animals. Darwin.
subhastation |A public sale or auction. [R.] Bp. Burnet.
subhepatic |Situated under, or on the ventral side of, the liver; -- applied to the interlobular branches of the portal vein.
subhornblendic |Containing hornblende in a scattered state; of or relating to rocks containing disseminated hornblende.
subhumerate |To place the shoulders under; to bear. [Obs.] Nothing surer ties a friend than freely to subhumerate the burden which was his. Feltham.
subhyaloid |Situated under the hyaliod membrane.
subhyoidean |Situated or performed beneath the hyoid bone; as, subhyoidean laryngotomy.
subimago |A stage in the development of certain insects, such as the May flies, intermediate between the pupa and imago. In this stage, the insect is able to fly, but subsequently sheds a skin before becoming mature. Called also pseudimago.
subincusation |A slight charge or accusation. [Obs.] Bp. Hall.
subindex |A number or mark placed opposite the lower part of a letter or symbol to distinguish the symbol; thus, a0, b1, c2, xn, have 0, 1, 2, and n as subindices.
subindicate |To indicate by signs or hints; to indicate imperfectly. [R.] Dr. H. More.
subindication |The act of indicating by signs; a slight indication. [R.] \"The subindication and shadowing of heavenly things.\" Barrow.
subindividual |A division of that which is individual. An individual can not branch itself into subindividuals. Milton.
subinduce |To insinuate; to offer indirectly. [Obs.] Sir E. Dering.
subinfer |To infer from an inference already made. [Obs.] Bp. Hall.
subinfeudation |(a) The granting of lands by inferior lords to their dependents, to be held by themselves by feudal tenure. Craig. (b) Subordinate tenancy; undertenancy. The widow is immediate tenant to the heir, by a kind of subinfeudation, or undertenancy. Blackstone.
subingression |Secret entrance. [R.] Boyle.
subintestinal |Situated under, or on the ventral side of, the intestine.
subinvolution |Partial or incomplete involution; as, subinvolution of the uterus.
subitaneous |Sudden; hasty. [Obs.] Bullokar. -- Sub`i*ta\"ne*ous*ness, n. [Obs.]
subitany |Subitaneous; sudden; hasty. [Obs.] Hales.
subito |In haste; quickly; rapidly.
subjacent |1. Lying under or below. 2. Being in a lower situation, though not directly beneath; as, hills and subjacent valleys.
