mameluco |A child born of a white father and Indian mother. [S. Amer.]
manifold |1. Various in kind or quality; many in number; numerous; multiplied; complicated. O Lord, how manifold are thy works! Ps. civ. 24. I know your manifold transgressions. Amos v. 12. 2. Exhibited at divers times or in various ways; -- used to qualify nouns in the singular number. \"The manifold wisdom of God.\" Eph. iii. 10. \"The manifold grace of God.\" 1 Pet. iv. 10. Manifold writing, a process or method by which several copies, as of a letter, are simultaneously made, sheets of coloring paper being infolded with thin sheets of plain paper upon which the marks made by a stylus or a type-writer are transferred.\n\n1. A copy of a writing made by the manifold process. 2. (Mech.)  A cylindrical pipe fitting, having a number of lateral outlets, for connecting one pipe with several others. 3. pl.  The third stomach of a ruminant animal. [Local, U.S.]\n\nTo take copies of by the process of manifold writing; as, to manifold a letter.
manifolded |Having many folds, layers, or plates; as, a manifolded shield. [Obs.]
manifoldly |In a manifold manner.
manifoldness |1. Multiplicity. Sherwood. 2. (Math.)  A generalized concept of magnitude.
maniform |Shaped like the hand.
maniglion |Either one of two handles on the back of a piece of ordnance.
manihoc |See Manioc.
manihot |See Manioc.
manikin |1. A little man; a dwarf; a pygmy; a manakin. 2. A model of the human body, made of papier-mache or other material, commonly in detachable pieces, for exhibiting the different parts and organs, their relative position, etc.
manila |Of or pertaining to Manila or Manilla, the capital of the Philippine Islands; made in, or exported from, that city. Manila cheroot or cigar, a cheroot or cigar made of tobacco grown in the Philippine Islands. -- Manila hemp, a fibrous material obtained from the Musa textilis, a plant allied to the banana, growing in the Philippine and other East India islands; -- called also by the native name abaca. From it matting, canvas, ropes, and cables are made. -- Manila paper, a durable brown or buff paper made of Manila hemp, used as a wrapping paper, and as a cheap printing and writing paper. The name is also given to inferior papers, made of other fiber.
manilio |See Manilla, 1. Sir T. Herbert.
manilla |Of or pertaining to Manila or Manilla, the capital of the Philippine Islands; made in, or exported from, that city. Manila cheroot or cigar, a cheroot or cigar made of tobacco grown in the Philippine Islands. -- Manila hemp, a fibrous material obtained from the Musa textilis, a plant allied to the banana, growing in the Philippine and other East India islands; -- called also by the native name abaca. From it matting, canvas, ropes, and cables are made. -- Manila paper, a durable brown or buff paper made of Manila hemp, used as a wrapping paper, and as a cheap printing and writing paper. The name is also given to inferior papers, made of other fiber.\n\n1. A ring worn upon the arm or leg as an ornament, especially among the tribes of Africa. 2. A piece of copper of the shape of a horseshoe, used as money by certain tribes of the west coast of Africa. Simmonds.\n\nSame as Manila.
manille |See 1st Manilla, 1.
manioc |The tropical plants (Manihot utilissima, and M. Aipi), from which cassava and tapioca are prepared; also, cassava.[Written also mandioc, manihoc, manihot.]
maniple |1. A handful. [R.] B. Jonson. 2. A division of the Roman army numbering sixty men exclusive of officers, any small body of soldiers; a company. Milton. 3. Originally, a napkin; later, an ornamental band or scarf worn upon the left arm as a part of the vestments of a priest in the Roman Catholic Church. It is sometimes worn in the English Church service.
manipular |1. Of or pertaining to the maniple, or company. 2. Manipulatory; as, manipular operations.
manipulate |1. To treat, work, or operate with the hands, especially when knowledge and dexterity are required; to manage in hand work; to handle; as, to manipulate scientific apparatus. 2. To control the action of, by management; as, to manipulate a convention of delegates; to manipulate the stock market; also, to manage artfully or fraudulently; as, to manipulate accounts, or election returns.\n\nTo use the hands in dexterous operations; to do hand work; specifically, to manage the apparatus or instruments used in scientific work, or in artistic or mechanical processes; also, specifically, to use the hand in mesmeric operations.
manipulation |1. The act or process of manipulating, or the state of being manipulated; the act of handling work by hand; use of the hands, in an artistic or skillful manner, in science or art. Manipulation is to the chemist like the external senses to the mind. Whewell. 2. The use of the hands in mesmeric operations. 3. Artful management; as, the manipulation of political bodies; sometimes, a management or treatment for purposes of deception or fraud.
manipulative |Of or pertaining to manipulation; performed by manipulation.
manipulator |One who manipulates
manipulatory |Of or pertaining to manipulation.
manis |A genus of edentates, covered with large, hard, triangular scales, with sharp edges that overlap each other like tiles on a roof. They inhabit the warmest parts of Asia and Africa, and feed on ants. Called also Scaly anteater. See Pangolin.
manito |A name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship. Tylor. Gitche Manito the mighty, The Great Spirit, the creator, Smiled upon his helpless children! Longfellow. Mitche Manito the mighty, He the dreadful Spirit of Evil, As a serpent was depicted. Longfellow.
manitou |A name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship. Tylor. Gitche Manito the mighty, The Great Spirit, the creator, Smiled upon his helpless children! Longfellow. Mitche Manito the mighty, He the dreadful Spirit of Evil, As a serpent was depicted. Longfellow.
manitrunk |The anterior segment of the thorax in insects. See Insect.
manitu |A name given by tribes of American Indians to a great spirit, whether good or evil, or to any object of worship. Tylor. Gitche Manito the mighty, The Great Spirit, the creator, Smiled upon his helpless children! Longfellow. Mitche Manito the mighty, He the dreadful Spirit of Evil, As a serpent was depicted. Longfellow.
mankind |1. The human race; man, taken collectively. The proper study of mankind is man. Pore. 2. Men, as distinguished from women; the male portion of human race. Lev. xviii. 22. 3. Human feelings; humanity. [Obs] B. Jonson.\n\nManlike; not womanly; masculine; bold; cruel. [Obs] Are women grown so mankind Must they be wooing Beau. & Fl. Be not too mankind against your wife. Chapman.
manks |Of or pertaining to the language or people of the of Man. -- n.  The language spoken in the Isle of Man. See Manx.
manless |1. Destitute of men. Bakon. 2. Unmanly; inhuman. [Obs.] Chapman.
manlessly |Inhumanly. [Obs.]
manlike |Like man, or like a man, in form or nature; having the qualities of a man, esp. the nobler qualities; manly. \" Gentle, manlike speech.\" Testament of Love. \" A right manlike man.\" Sir P. Sidney. In glaring Chloe's manlike taste and mien. Shenstone.
manliness |The quality or state of being manly.
manling |A little man. [Obs.] B. Jonson.
manly |Having qualities becoming to a man; not childish or womanish; manlike, esp. brave, courageous, resolute, noble. Let's briefly put on manly readiness. Shak. Serene and manly, hardened to sustain The load of life. Dryden. Syn. -- Bold; daring; brave; courageous; firm; undaunted; hardy; dignified; stately.\n\nIn a manly manner; with the courage and fortitude of a manly man; as, to act manly.
manna |1. (Script.)  The food supplied to the Israelites in their journey through the wilderness of Arabia; hence, divinely supplied food. Ex. xvi. 15. 2. (Bot.)  A name given to lichens of the genus Lecanora, sometimes blown into heaps in the deserts of Arabia and Africa, and gathered and used as food. 3. (Bot. & Med.)  A sweetish exudation in the form of pale yellow friable flakes, coming from several trees and shrubs and used in medicine as a gentle laxative, as the secretion of Fraxinus Ornus, and F. rotundifolia, the manna ashes of Southern Europe. Note: Persian manna is the secretion of the camel's thorn (see Camel's thorn, under Camel); Tamarisk manna, that of the Tamarisk mannifera, a shrub of Western Asia; Australian, manna, that of certain species of eucalyptus; Briançon manna, that of the European larch. Manna grass (Bot.), a name of several tall slender grasses of the genus Glyceria. they have long loose panicles, and grow in moist places. Nerved manna grass is Glyceria nervata, and Floating manna grass is G. flu. -- Manna insect (Zoöl), a scale insect (Gossyparia mannipara), which causes the exudation of manna from the Tamarisk tree in Arabia.
manna croup |1. The portions of hard wheat kernels not ground into flour by the millstones: a kind of semolina prepared in Russia and used for puddings, soups, etc. -- called also manna groats. 2. The husked grains of manna grass.
manner |1. Mode of action; way of performing or effecting anything; method; style; form; fashion. The nations which thou hast removed, and placed in the cities of Samaria, know not the manner of the God of the land. 2 Kings xvii. 26. The temptations of prosperity insinuate themselves after a gentle, but very powerful,manner. Atterbury. 2. Characteristic mode of acting, conducting, carrying one's self, or the like; bearing; habitual style. Specifically: (a) Customary method of acting; habit. Paul, as his manner was, went in unto them. Acts xvii. 2. Air and manner are more expressive than words. Richardson. (b) pl.  Carriage; behavior; deportment; also, becoming behavior; well- bred carriage and address. Good manners are made up of petty sacrifices. Emerson. (c) The style of writing or thought of an author; characteristic peculiarity of an artist. 3. Certain degree or measure; as, it is in a manner done already. The bread is in a manner common. 1 Sam. xxi.5. 4. Sort; kind; style; -- in this application sometimes having the sense of a plural, sorts or kinds. Ye tithe mint, and rue, and all manner of herbs. Luke xi. 42. I bid thee say, What manner of man art thou Coleridge. Note: In old usage, of was often omitted after manner, when employed in this sense. \"A manner Latin corrupt was her speech.\" Chaucer. By any manner of means, in any way possible; by any sort of means. -- To be taken in, or with the manner. Etym: [A corruption of to be taken in the mainor. See Mainor.] To be taken in the very act. [Obs.] See Mainor. -- To make one's manners, to make a bow or courtesy; to offer salutation. -- Manners bit, a portion left in a dish for the sake of good manners. Hallwell. Syn. -- Method; mode; custom; habit; fashion; air; look; mien; aspect; appearance. See Method.
mannerchor |A German men's chorus or singing club.
mannered |1. Having a certain way, esp a. polite way, of carrying and conducting one's self. Give her princely training, that she may be Mannered as she is born. Shak. 2. Affected with mannerism; marked by excess of some characteristic peculiarity. His style is in some degree mannered and confined. Hazlitt.
mannerism |Adherence to a peculiar style or manner; a characteristic mode of action, bearing, or treatment, carried to excess, especially in literature or art. Mannerism is pardonable,and is sometimes even agreeable, when the manner, though vicious, is natural . . . . But a mannerism which does not sit easy on the mannerist, which has been adopted on principle, and which can be sustained only by constant effort, is always offensive. Macaulay.
mannerist |One addicted to mannerism; a person who, in action, bearing, or treatment, carries characteristic peculiarities to excess. See citation under Mannerism.
mannerliness |The quality or state of being mannerly; civility; complaisance. Sir M. Hale.
mannerly |Showing good manners; civil; respectful; complaisant. What thou thinkest meet, and is most mannerly. Shak.\n\nWith good manners. Shak.
mannheim gold |A kind of brass made in imitation of gold. It contains eighty per cent of copper and twenty of zinc. Ure.
mannide |A white amorphous or crystalline substance, obtained by dehydration of mannite, and distinct from, but convertible into, mannitan.
mannish |1. Resembling a human being in form or nature; human. Chaucer. But yet it was a figure Most like to mannish creature. Gower. 2. Resembling, suitable to, or characteristic of, a man, manlike, masculine. Chaucer. A woman impudent and mannish grown. Shak. 3. Fond of men; -- said of a woman. [Obs.] Chaucer. -- Man\"nish*ly,adv. -- Man\"nish*ness, n.
mannitan |A white amorphous or crystalline substance obtained by the partial dehydration of mannite.
mannitate |A salt of mannitic acid.
mannite |1. (Chem.)  A white crystalline substance of a sweet taste obtained from a so-called manna, the dried sap of the flowering ash (Fraxinus ornus); -- called also mannitol, and hydroxy hexane. Cf. Dulcite. HO.CH2.(CHOH)4.CH2.OH = D-mannitol; manna sugar; cordycepic acid; Diosmol; Mannicol; Mannidex; Osmiktrol; Osmosal. -- used in pharmacy as excipient and diluent for solids and liquids. Used as a food additive for anti-caking properties, or as a sweetener. Also used to \"cut\" (dilute) illegal drugs such as cocaine or heroin. (\"excipient\" use) 2. (Bot.)  A sweet white efflorescence from dried fronds of kelp, especially from those of the Laminaria saccharina, or devil's apron.
mannitic |Of, pertaining to, resembling, or derived from, mannite. Mannitic acid (Chem.), a white amorphous substance, intermediate between saccharic acid and mannite, and obtained by the partial oxidation of the latter.
mannitol |The technical name of mannite. See Mannite.
mannitose |A variety of sugar obtained by the partial oxidation of mannite, and closely resembling levulose.
mano |The muller, or crushing and grinding stone, used in grinding corn on a metate. [Mexico & Local U. S.]
manoeuvre |1. Management; dexterous movement; specif., a military or naval evolution, movement, or change of position. 2. Management with address or artful design; adroit proceeding; stratagem.\n\n1. To perform a movement or movements in military or naval tactics; to make changes in position with reference to getting advantage in attack or defense. 2. To manage with address or art; to scheme.\n\nTo change the positions of, as of troops of ships.\n\nSee Maneuver.
manoeuvrer |One who maneuvers. This charming widow Beaumont is a nanoeuvrer. We can't well make an English word of it. Miss Edgeworth.
manograph |An optical device for making an indicator diagram for high- speed engines. It consists of a light-tight box or camera having at one end a small convex mirror which reflects a beam of light on to the ground glass or photographic plate at the other end. The mirror is pivoted so that it can be moved in one direction by a small plunger operated by an elastic metal diaphragm which closes a tube connected with the engine cylinder. It is also moved at right angles to this direction by a reducing motion, called a reproducer, so as to copy accurately on a smaller scale the motion of the engine piston. The resultant of these two movements imparts to the reflected beam of light a motion similar to that of the pencil of the ordinary indicator, and this can be traced on the sheet of ground glass, or photographed.
manometer |An instrument for measuring the tension or elastic force of gases, steam, etc., constructed usually on the principle of allowing the gas to exert its elastic force in raising a column of mercury in an open tube, or in compressing a portion of air or other gas in a closed tube with mercury or other liquid intervening, or in bending a metallic or other spring so as to set in motion an index; a pressure gauge. See Pressure, and Illust. of Air pump.
manometric |Of or pertaining to the manometer; made by the manometer.
manometrical |Of or pertaining to the manometer; made by the manometer.
manor |1. (Eng. Law)  The land belonging to a lord or nobleman, or so much land as a lord or great personage kept in his own hands, for the use and subsistence of his family. My manors, rents, revenues, l forego. Shak. Note: In these days, a manor rather signifies the jurisdiction and royalty incorporeal, than the land or site, for a man may have a manor in gross, as the law terms it, that is, the right and interest of a court-baron, with the perquisites thereto belonging. 2. (American Law)  A tract of land occupied by tenants who pay a free-farm rent to the proprietor, sometimes in kind, and sometimes by performing certain stipulated services. Burrill. Manor house, or Manor seat, the house belonging to a manor.
manorial |Of or pertaining to a manor. \" Manorial claims.\" Paley.
manoscope |Same as Manometer.
manoscopy |The science of the determination of the density of vapors and gases.
manovery |A contrivance or maneuvering to catch game illegally.
manqueller |A killer of men; a manslayer. [Obs.] Carew.
manred |Homage or service rendered to a superior, as to a lord; vassalage. [Obs. or Scots Law] Jamieson.
manrent |Homage or service rendered to a superior, as to a lord; vassalage. [Obs. or Scots Law] Jamieson.
manrope |One of the side ropes to the gangway of a ship. Totten.
mansard roof |A hipped curb roof; that is, a roof having on all sides two slopes, the lower one being steeper than the upper one.
manse |1. A dwelling house, generally with land attached. 2. The parsonage; a clergyman's house. [Scot.] Capital manse, the manor house, or lord's court.
manservant |A male servant.
mansion |1. A dwelling place, -- whether a part or whole of a house or other shelter. [Obs.] In my Father's house are many mansions. John xiv. 2. These poets near our princes sleep, And in one grave their mansions keep. Den 2. The house of the lord of a manor; a manor house; hence: Any house of considerable size or pretension. 3. (Astrol.)  A twelfth part of the heavens; a house. See 1st House, 8. Chaucer. 4. The place in the heavens occupied each day by the moon in its monthly revolution. [Obs.] The eight and twenty mansions That longen to the moon. Chaucer. Mansion house, the house in which one resides; specifically, in London and some other cities, the official residence of the Lord Mayor. Blackstone.\n\nTo dwell; to reside. [Obs.] Mede.
mansionary |Resident; residentiary; as, mansionary canons.
mansionry |The state of dwelling or residing; occupancy as a dwelling place. [Obs.] Shak.
manslaughter |1. The slaying of a human being; destruction of men. Milton. 2. (Law)  The unlawful killing of a man, either in negligenc
manslayer |One who kills a human being; one who commits manslaughter.
manstealer |A person who steals or kidnaps a human being or beings.
manstealing |The act or business of stealing or kidnaping human beings, especially with a view to e
mansuete |Tame; gentle; kind. [Obs.] Ray.
mansuetude |Tameness; gentleness; mildness. [Archaic]
manswear |To swear falsely. Same as Mainswear.
manta |See Coleoptera and Sea devil.
mantchoo |Same as Manchu.
manteau |1. A woman's cloak or mantle. 2. A gown worn by women. [Obs.]
mantel |The finish around a fireplace, covering the chimney-breast in front and sometimes on both sides; especially, a shelf above the fireplace, and its supports. [Written also mantle.]
mantelet |1. (a) A short cloak formerly worn by knights. (b) A short cloak or mantle worn by women. A mantelet upon his shoulders hanging. Chaucer. 2. (Fort.)  A musket-proof shield of rope, wood, or metal, which is sometimes used for the protection of sappers or riflemen while attacking a fortress, or of gunners at embrasures; -- now commonly written mantlet.
mantelletta |A silk or woolen vestment without sleeves worn by cardinals, bishops, abbots, and the prelates of the Roman court. It has a low collar, is fastened in front, and reaches almost to the knees.
mantelpiece |Same as Mantel.
mantelshelf |The shelf of a mantel.
manteltree |The lintel of a fireplace when of wood, as frequently in early houses.
mantic |Of or pertaining to divination, or to the condition of one inspired, or supposed to be inspired, by a deity; prophetic. [R.] \"Mantic fury.\" Trench.
mantilla |1. A lady's light cloak of cape of silk, velvet, lace, or the like. 2. A kind of veil, covering the head and falling down upon the shoulders; -- worn in Spain, Mexico, etc.
mantis |Any one of numerous species of voracious orthopterous insects of the genus Mantis, and allied genera. They are remarkable for their slender grotesque forms, and for holding their stout anterior legs in a manner suggesting hands folded in prayer. The common American species is M. Carolina. Mantis shrimp. (Zoöl.) See Sguilla.
mantispid |Any neuropterous insect of the genus Mantispa, and allied genera. The larvæ feed on plant lice. Also used adjectively. See Illust. under Neuroptera.
mantissa |The decimal part of a logarithm, as distinguished from the integral part, or characteristic.
mantle |1. A loose garment to be worn over other garments; an enveloping robe; a cloak. Hence, figuratively, a covering or concealing envelope. [The] children are clothed with mantles of satin. Bacon. The green mantle of the standing pool. Shak. Now Nature hangs her mantle green On every blooming tree. Burns. 2. (Her.)  Same as Mantling. 3. (Zoöl.) (a) The external fold, or folds, of the soft, exterior membrane of the body of a mollusk. It usually forms a cavity inclosing the gills. See Illusts. of Buccinum, and Byssus. (b) Any free, outer membrane. (c) The back of a bird together with the folded wings. 4. (Arch.)  A mantel. See Mantel. 5. The outer wall and casing of a blast furnace, above the hearth. Raymond. 6. (Hydraulic Engin.)  A penstock for a water wheel.\n\nTo cover or envelop, as with a mantle; to cloak; to hide; to disguise. Shak.\n\n1. To unfold and spread out the wings, like a mantle; -- said of hawks. Also used figuratively. Ne is there hawk which mantleth on her perch. Spenser. Or tend his sparhawk mantling in her mew. Bp. Hall. My frail fancy fed with full delight. Doth bathe in bliss, and mantleth most at ease. Spenser. 2. To spread out; -- said of wings. The swan, with arched neck Between her white wings mantling proudly, rows. Milton. 3. To spread over the surface as a covering; to overspread; as, the scum mantled on the pool. Though mantled in her cheek the blood. Sir W. Scott. 4. To gather, assume, or take on, a covering, as froth, scum, etc. There is a sort of men whose visages Do cream and mantle like a standing pond. Shak. Nor bowl of wassail mantle warm. Tennyson.
mantlet |See Mantelet.
mantling |The representation of a mantle, or the drapery behind and around a coat of arms: -- called also lambrequin.
manto |See Manteau. [Obs.] Bailey.
mantologist |One who is skilled in mantology; a diviner. [R.]
mantology |The act or art of divination. [R.]
mantra |A prayer; an invocation; a religious formula; a charm. [India] Note: Among the Hindoos each caste and tribe has a mantra peculiar to itself; as, the mantra of the Brahmans. Balfour (Cyc. of India).
mantrap |1. A trap for catching trespassers. [Eng.] 2. A dangerous place, as an open hatch, into which one may fall.
mantua |1. A superior kind of rich silk formerly exported from Mantua in Italy. [Obs.] Beck (Draper's Dict.). 2. A woman's cloak or mantle; also, a woman's gown. [Obs.]
mantuamaker |One who makes dresses, cloaks, etc., for women; a dressmaker.
mantuan |Of or pertaining to Mantua. -- n.  A native or inhabitant of Mantua.
manu |One of a series of progenitors of human beings, and authors of human wisdom.
manual |Of or pertaining to the hand; done or made by the hand; as, manual labor; the king's sign manual. \"Manual and ocular examination.\" Tatham. Manual alphabet. See Dactylology. -- Manual exercise (Mil.) the exercise by which soldiers are taught the use of their muskets and other arms. -- Seal manual, the impression of a seal worn on the hand as a ring. -- Sign manual. See under Sign.\n\n1. A small book, such as may be carried in the hand, or conveniently handled; a handbook; specifically, the service book of the Roman Catholic Church. This manual of laws, styled the Confessor's Laws. Sir M. Hale. 2. (Mus.)  A keyboard of an organ or harmonium for the fingers, as distinguished from the pedals; a clavier, or set of keys. Moore (Encyc. of Music). 3. (Mil.)  A prescribed exercise in the systematic handing of a weapon; as, the manual of arms; the manual of the sword; the manual of the piece (cannon, mortar, etc.).
manualist |One who works wi
manually |By hand.
manuary |Manual. -- n.  An artificer. [Obs.] Bp. Hall.
manubial |Belonging to spoils; taken in war. [Obs.] Bailey.
manubrial |Of or pertaining to a manubrium; shaped like a manubrium; handlelike.
manubrium |1. (Anat.)  A handlelike process or part; esp., the anterior segment of the sternum, or presternum, and the handlelike process of the malleus. 2. (Zoöl.)  The proboscis of a jellyfish; -- called also hypostoma. See Illust. of Hydromedusa.
manucode |Any bird of the genus Manucodia, of Australia and New Guinea. They are related to the bird of paradise.
manuducent |One who leads by the hand; a manuductor. [Obs.]
manuduction |Guidance by the hand. [Obs.] Glanvill. South.
manuductor |A conductor; an officer in the ancient church who gave the signal for the choir to sing, and who beat time with the hand, and regulated the music. Moore (Encyc. of Music.)
manufactory |1. Manufacture. [Obs.] 2. A building or place where anything is manufactured; a factory.\n\nPertaining to manufacturing.
manufactural |Of or pertaining to manufactures. [R.]
manufacture |1. The operation of making wares or any products by hand, by machinery, or by other agency. 2. Anything made from raw materials by the hand, by machinery, or by art, as cloths, iron utensils, shoes, machinery, saddlery, etc.\n\n1. To make (wares or other products) by hand, by machinery, or by other agency; as, to manufacture cloth, nails, glass, etc. 2. To work, as raw or partly wrought materials, into suitable forms for use; as, to manufacture wool, cotton, silk, or iron.\n\nTo be employed in manufacturing something.
manufacturer |One who manufactures.
manufacturing |1. Employed, or chiefly employed, in manufacture; as, a manufacturing community; a manufacturing town. 2. Pertaining to manufacture; as, manufacturing projects.
manul |A wild cat (Felis manul), having long, soft, light-colored fur. It is found in the mountains of Central Asia, and dwells among rocks.
manumise |To manumit. [Obs.] Dryden.
manumission |The act of manumitting, or of liberating a slave from bondage. \"Given to slaves at their manumission.\" Arbuthnot.
manumit |To release from slavery; to liberate from personal bondage or servitude; to free, as a slave. \"Manumitted slaves.\" Hume.
manumotive |Movable by hand. [R.]
manumotor |A small wheel carriage, so constructed that a person sitting in it may move it.
manurable |1. Capable of cultivation. [Obs.] Sir M. Hale. 2. Capable of receiving a fertilizing substance.
manurage |Cultivation. [Obs.] Warner.
manurance |Cultivation. [Obs.] Spenser.
manure |1. To cultivate by manual labor; to till; hence, to develop by culture. [Obs.] To whom we gave the strand for to manure. Surrey. Manure thyself then; to thyself be improved; And with vain, outward things be no more moved. Donne. 2. To apply manure to; to enrich, as land, by the application of a fertilizing substance. The blood of English shall manure the ground. Shak.\n\nAny matter which makes land productive; a fertilizing substance, as the contents of stables and barnyards, dung, decaying animal or vegetable substances, etc. Dryden.
manurement |Cultivation. [Obs.] W. Wotton.
manurer |One who manures land.
manurial |Relating to manures.
manuring |The act of process of applying manure; also, the manure applied.
manus |The distal segment of the fore limb, including the carpus and fore foot or hand.
manuscript |Written with or by the hand; not printed; as, a manuscript volume.\n\n1. A literary or musical composition written with the hand, as distinguished from a printed copy. 2. Writing, as opposed to print; as, the book exists only in manuscript. Craik. Note: The word is often abbreviated to MS., plural MSS.
manuscriptal |Manuscript. [Obs.]
manutenency |Maintenance. [Obs.] Abp. Sancroft.
manway |A small passageway, as in a mine, that a man may pass through. Raymond.
manx |Of or pertaining to the Isle of Man, or its inhabitants; as, the Manx language. Manx cat (Zoöl.), a breed of domestic cats having a rudimentary tail, containing only about three vertebrae. -- Manx shearwater (Zoöl.), an oceanic bird (Puffinus anglorum, or P. puffinus), called also Manx petrel, Manx puffin. It was formerly abundant in the Isle of Man.\n\nThe language of the inhabitants of the Isle of Man, a dialect of the Celtic.
many |A retinue of servants; a household. [Obs.] Chaucer.\n\nConsisting of a great number; numerous; not few. Thou shalt be a father of many nations. Gen. xvii. 4. Not many wise men after the flesh, not many mighty, not many noble, are called. 1 Cor. i. 26. Note: Many is freely prefixed to participles, forming compounds which need no special explanation; as, many-angled, many-celled, many-eyed, many-footed, many-handed, many-leaved, many-lettered, many-named, many-peopled, many-petaled, many-seeded, many-syllabled (polysyllabic), many-tongued, many-voiced, many-wived, and the like. Comparison is often expressed by many with as or so. \"As many as were willing hearted . . . brought bracelets.\" Exod. xxxv. 22. \"So many laws argue so many sins.\" Milton. Many stands with a singular substantive with a or an. Many a, a large number taken distributively; each one of many. \"For thy sake have I shed many a tear.\" Shak. \"Full many a gem of purest ray serene.\" Gray. -- Many one, many a one; many persons. BK. of Com. Prayer. -- The many, the majority; -- opposed to the few. See Many, n. -- Too many, too numerous; hence, too powerful; as, they are too many for us. L'Estrange. Syn. -- Numerous; multiplied; frequent; manifold; various; divers; sundry.\n\n1. The populace; the common people; the majority of people, or of a community. After him the rascal many ran. Spenser. 2. A large or considerable number. A many of our bodies shall no doubt Find native graves. Shak. Seeing a great many in rich gowns. Addison. It will be concluded by manythat he lived like an honest man. Fielding. Note: In this sense, many is connected immediately with another substantive (without of) to show of what the many consists; as, a good many [of] people think so. He is liable to a great many inconveniences. Tillotson.
many-minded |Having many faculties; versatile; many-sided.
many-sided |1. Having many sides; -- said of figures. Hence, presenting many questions or subjects for consideration; as, a many-sided topic. 2. Interested in, and having an aptitude for, many unlike pursuits or objects of attention; versatile. -- Ma\"ny-sid`ed*ness, n.
manyplies |The third division, or that between the reticulum, or honeycomb stomach, and the abomasum, or rennet stomach, in the stomach of ruminants; the omasum; the psalterium. So called from the numerous folds in its mucous membrane. See Illust of Ruminant.
manyways |In many different ways; variously.
manywise |In many different ways; variously.
manzanilla |A kind of small roundish olive with a small freestone pit, a fine skin, and a peculiar bitterish flavor. Manzanillas are commonly pitted and stuffed with Spanish pimientos.
manzanita |A name given to several species of Arctostaphylos, but mostly to A. glauca and A. pungens, shrubs of California, Oregon, etc., with reddish smooth bark, ovate or oval coriaceous evergreen leaves, and bearing clusters of red berries, which are said to be a favorite food of the grizzly bear.
maori |One of the aboriginal inhabitants of New Zealand; also, the original language of New Zealand. -- a.  Of or pertaining to the Maoris or to their language.
map |1. A representation of the surface of the earth, or of some portion of it, showing the relative position of the parts represented; -- usually on a flat surface. Also, such a representation of the celestial sphere, or of some part of it. Note: There are five principal kinds of projection used in making maps: the orthographic, the stereographic, the globuar, the conical, and the cylindrical, or Mercator's projection. See Projection. 2. Anything which represents graphically a succession of events, states, or acts; as, an historical map. Thus is his cheek the map of days outworn. Shak. Map lichen (Bot.), a lichen (Lecidea geographica.) growing on stones in curious maplike figures. Dr. Prior.\n\nTo represent by a map; -- often with out; as, to survey and map, or map out, a county. Hence, figuratively: To represent or indicate systematically and clearly; to sketch; to plan; as, to map, or map out, a journey; to map out business. I am near to the place where they should meet, if Pisanio have mapped it truly. Shak.
mapach |The raccoon.
maple |A tree of the genus Acer, including about fifty species. A. saccharinum is the rock maple, or sugar maple, from the sap of which sugar is made, in the United States, in great quantities, by evaporation; the red or swamp maple is A. rubrum; the silver maple, A. dasycarpum, having fruit wooly when young; the striped maple, A. Pennsylvanium, called also moosewood. The common maple of Europe is A. campestre, the sycamore maple is A. Pseudo-platanus, and the Norway maple is A. platanoides. Note: Maple is much used adjectively, or as the first part of a compound; as, maple tree, maple leaf, etc. Bird's-eye maple, Curled maple, varieties of the wood of the rock maple, in which a beautiful lustrous grain is produced by the sinuous course of the fibers. -- Maple honey, Maple molasses, or Maple sirup, maple sap boiled to the consistency of molasses. -- Maple sugar, sugar obtained from the sap of the sugar maple by evaporation.
maplike |Having or consisting of lines resembling a map; as, the maplike figures in which certain lichens grow.
mappery |The making, or study, of maps. [Obs.] Shak.
maqui |A Chilian shrub (Aristotelia Maqui). Its bark furnishes strings for musical instruments, and a medicinal wine is made from its berries.
mar |A small lake. See Mere. [Prov. Eng.]\n\n1. To make defective; to do injury to, esp. by cutting off or defacing a part; to impair; to disfigure; to deface. I pray you mar no more trees with wiring love songs in their barks. Shak. But mirth is marred, and the good cheer is lost. Dryden. Ire, envy, and despair Which marred all his borrowed visage. Milton. 2. To spoil; to ruin. \"It makes us, or it mars us.\" \"Striving to mend, to mar the subject.\" Shak.\n\nA mark or blemish made by bruising, scratching, or the like; a disfigurement.
mar-text |A blundering preacher.
mara |The principal or ruling evil spirit. E. Arnold.\n\nA female demon who torments people in sleep by crouching on their chests or stomachs, or by causing terrifying visions.\n\nThe Patagonian cavy (Dolichotis Patagonicus.)
marabou |1. (Zoöl.)  A large stork of the genus Leptoptilos (formerly Ciconia), esp. the African species (L. crumenifer), which furnishes plumes worn as ornaments. The Asiatic species (L. dubius, or L. argala) is the adjutant. See Adjutant. [Written also marabu.] 2. One having five eighths negro blood; the offspring of a mulatto and a griffe. [Louisiana] Bartlett.
marabout |A Mohammedan saint; especially, one who claims to work cures supernaturally.
maracan |A macaw.
marai |A sacred inclosure or temple; -- so called by the islanders of the Pacific Ocean.
