fumishness |Choler; fretfulness; passion.
fustian |1. A kind of coarse twilled cotton or cotton and linen stuff, including corduroy, velveteen, etc. 2. An inflated style of writing; a kind of writing in which high- sounding words are used,' above the dignity of the thoughts or subject; bombast. Claudius . . . has run his description into the most wretched fustian. Addison.\n\n1. Made of fustian. 2. Pompous; ridiculously tumid; inflated; bombastic; as, fustian history. Walpole.
fustianist |A writer of fustian. [R.] Milton.
fustic |The wood of the Maclura tinctoria, a tree growing in the West Indies, used in dyeing yellow; -- called also old fustic. [Written also fustoc.] Note: Other kinds of yellow wood are often called fustic; as that of species of Xanthoxylum, and especially the Rhus Cotinus, which is sometimes called young fustic to distinguish it from the Maclura. See Fustet.
fustigate |To cudgel. [R.] Bailey.
fustigation |A punishment by beating with a stick or club; cudgeling. This satire, composed of actual fustigation. Motley.
fustilarian |A low fellow; a stinkard; a scoundrel. [Obs.] Shak.
fustilug |A gross, fat, unwieldy person. [Obs.] F. Junius.
fustilugs |A gross, fat, unwieldy person. [Obs.] F. Junius.
fustiness |A fusty state or quality; moldiness; mustiness; an ill smell from moldiness.
fusty |1. Moldy; musty; ill-smelling; rank. \"A fusty plebeians.\" Shak. 2. Moping. [Archaic] A melancholy, fusty humor. Pepys.
fusure |Act of fusing; fusion. [R.]
futchel |The jaws between which the hinder end of a carriage tongue is inserted. Knight.
futhorc |The Runic alphabet; -- so called from the six letters f, u, þ (th), o (or a), r, c (=k). The letters are called Runes and the alphabet bears the name Futhorc from the first six letters. I. Taylor. The spelling futharc represents most accurately the original values of these six Runic letters.
futhork |The Runic alphabet; -- so called from the six letters f, u, þ (th), o (or a), r, c (=k). The letters are called Runes and the alphabet bears the name Futhorc from the first six letters. I. Taylor. The spelling futharc represents most accurately the original values of these six Runic letters.
futile |1. Talkative; loquacious; tattling. [Obs.] Talkers and futile persons. Bacon. 2. Of no importance; answering no useful end; useless; vain; worthless. \"Futile theories.\" I. Taylor. His reasoning . . . was singularly futile. Macaulay.
futilely |In a futile manner.
futility |1. The quality of being talkative; talkativeness; loquaciousness; loquacity. [Obs.] 2. The quality of producing no valuable effect, or of coming to nothing; uselessness. The futility of this mode of philosophizing. Whewell.
futilous |Futile; trifling. [Obs.]
futtock |One of the crooked timbers which are scarfed together to form the lower part of the compound rib of a vessel; one of the crooked transverse timbers passing across and over the keel. Futtock plates (Naut.), plates of iron to which the dead-eyes of the topmast rigging are secured. -- Futtock shrouds, short iron shrouds leading from the upper part of the lower mast or of the main shrouds to the edge of the top, or through it, and connecting the topmast rigging with the lower mast. Totten.
futurable |Capable of being future; possible to occur. [R.] Not only to things future, but futurable. Fuller.
future |That is to be or come hereafter; that will exist at any time after the present; as, the next moment is future, to the present. Future tense (Gram.), the tense or modification of a verb which expresses a future act or event.\n\n1. Time to come; time subsequent to the present (as, the future shall be as the present); collectively, events that are to happen in time to come. \"Lay the future open.\" Shak. 2. The possibilities of the future; -- used especially of prospective success or advancement; as, he had great future before him. 3. (Gram.)  A future tense. To deal in futures, to speculate on the future values of merchandise or stocks. [Brokers' cant]
futureless |Without prospect of betterment in the future. W. D. Howells.
futurely |In time to come. [Obs.] Raleigh.
futurism |A movement or phase of post-impressionism (which see, below).
futurist |1. One whose chief interests are in what is to come; one who anxiously, eagerly, or confidently looks forward to the future; an expectant. 2. (Theol.)  One who believes or maintains that the fulfillment of the prophecies of the Bible is to be in the future.
futuritial |Relating to what is to come; pertaining to futurity; future. [R.]
futurition |The state of being future; futurity. [R.] Nothing . . . can have this imagined futurition, but as it is decreed. Coleridge.
futurity |1. State of being that is yet to come; future state. 2. Future time; time to come; the future. 3. Event to come; a future event. All futurities are naked before the All-seeing Eye. South.
fuze |A tube, filled with combustible matter, for exploding a shell, etc. See Fuse, n. Chemical fuze, a fuze in which substances separated until required for action are then brought into contact, and uniting chemically, produce explosion. -- Concussion fuze, a fuze ignited by the striking of the projectile. -- Electric fuze, a fuze which is ignited by heat or a spark produced by an electric current. -- Friction fuze, a fuze which is ignited by the heat evolved by friction. -- Percussion fuze, a fuze in which the ignition is produced by a blow on some fulminating compound. -- Time fuze, a fuze adapted, either by its length or by the character of its composition, to burn a certain time before producing an explosion.
fuze plug |1. (Ordnance)  A plug fitted to the fuse hole of a shell to hold the fuse. 2.  A fusible plug that screws into a receptacle, used as a fuse in electric wiring.
fuzz |To make drunk. [Obs.] Wood.\n\nFine, light particles or fibers; loose, volatile matter. Fuzz ball, a kind of fungus or mushroom, which, when pressed, bursts and scatters a fine dust; a puffball.\n\nTo fly off in minute particles.
fuzzle |To make drunk; to intoxicate; to fuddle. [Obs.] Burton.
fuzzy |1. Not firmly woven; that ravels. [Written also fozy.] [Prov. Eng.] 2. Furnished with fuzz; having fuzz; like fuzz; as, the fuzzy skin of a peach.
fy |A word which expresses blame, dislike, disapprobation, abhorrence, or contempt. See Fie.
fyke |A long bag net distended by hoops, into which fish can pass easily, without being able to return; -- called also fyke net. Cozzens.
fyllot |A rebated cross, formerly used as a secret emblem, and a common ornament. It is also called gammadion, and swastika.
fyrd |The military force of the whole nation, consisting of all men able to bear arms. The national fyrd or militia. J. R. Green.
fyrdung |The military force of the whole nation, consisting of all men able to bear arms. The national fyrd or militia. J. R. Green.
fytte |See Fit a song. [Archaic]
g |1. G is the seventh letter of the English alphabet, and a vocal consonant. It has two sounds; one simple, as in gave, go, gull; the other compound (like that of j), as in gem, gin, dingy. See Guide to Pronunciation, §§ 231-6, 155, 176, 178, 179, 196, 211, 246. Note: The form of G is from the Latin, in the alphabet which it first appeared as a modified form of C. The name is also from the Latin, and probably comes to us through the French. Etymologically it is most closely related to a c hard, k y, and w; as in corn, grain, kernel; kin L. genus, Gr. garden, yard; drag, draw; also to ch and h; as in get, prehensile; guest, host (an army); gall, choler; gust, choose. See C. 2. (Mus.)  G is the name of the fifth tone of the natural or model scale; -- called also sol by the Italians and French. It was also originally used as the treble clef, and has gradually changed into the character represented in the margin. See Clef. G# (G sharp) is a tone intermediate between G and A.
gab |The hook on the end of an eccentric rod opposite the strap. See. Illust. of Eccentric.\n\nThe mouth; hence, idle prate; chatter; unmeaning talk; loquaciousness. [Colloq.] Gift of gab, facility of expression. [Colloq.]\n\n1. To deceive; to lie. [Obs.] Chaucer. 2. To talk idly; to prate; to chatter. Holinshed.
gabarage |A kind of coarse cloth for packing goods. [Obs.]
gabardine |A coarse frock or loose upper garment formerly worn by Jews; a mean dress. Shak.
gabber |1. A liar; a deceiver. [Obs.] 2. One addicted to idle talk.
gabble |1. To talk fast, or to talk without meaning; to prate; to jabber. Shak. 2. To utter inarticulate sounds with rapidity; as, gabbling fowls. Dryden.\n\n1. Loud or rapid talk without meaning. Forthwith a hideous gabble rises loud Among the builders. Milton. 2. Inarticulate sounds rapidly uttered; as of fowls.
gabbler |One who gabbles; a prater.
gabbro |A name originally given by the Italians to a kind of serpentine, later to the rock called euphotide, and now generally used for a coarsely crystalline, igneous rock consisting of lamellar pyroxene (diallage) and labradorite, with sometimes chrysolite (olivine gabbro).
gabel |A rent, service, tribute, custom, tax, impost, or duty; an excise. Burrill. He enables St. Peter to pay his gabel by the ministry of a fish. Jer. Taylor.
gabeler |A collector of gabels or taxes.
gabelle |A tax, especially on salt. [France] Brande & C.
gabelleman |A gabeler. Carlyle.
gaber-lunzie |A beggar with a wallet; a licensed beggar. [Scot.] Sir W. Scott.
gaberdine |A coarse frock or loose upper garment formerly worn by Jews; a mean dress. Shak.\n\nSee Gabardine.
gabert |A lighter, or vessel for inland navigation. [Scot.] Jamieson.
gabion |1. (Fort.)  A hollow cylinder of wickerwork, like a basket without a bottom. Gabions are made of various sizes, and filled with earth in building fieldworks to shelter men from an enemy's fire. 2. (Hydraul. Engin.)  An openwork frame, as of poles, filled with stones and sunk, to assist in forming a bar dyke, etc., as in harbor improvement.
gabionade |1. (Fort.)  A traverse made with gabions between guns or on their flanks, protecting them from enfilading fire. 2. A structure of gabions sunk in lines, as a core for a sand bar in harbor improvements.
gabionage |The part of a fortification built of gabions.
gabioned |Furnished with gabions.
gabionnade |See Gabionade.
gable |A cable. [Archaic] Chapman.\n\n(a) The vertical triangular portion of the end of a building, from the level of the cornice or eaves to the ridge of the roof. Also, a similar end when not triangular in shape, as of a gambrel roof and the like. Hence: (b) The end wall of a building, as distinguished from the front or rear side. (c) A decorative member having the shape of a triangular gable, such as that above a Gothic arch in a doorway. Bell gable. See under Bell. -- Gable roof, a double sloping roof which forms a gable at each end. -- Gable wall. Same as Gable (b). -- Gable window, a window in a gable.
gablet |A small gable, or gable-shaped canopy, formed over a tabernacle, niche, etc.
gablock |A false spur or gaff, fitted on the heel of a gamecock. Wright.
gaby |A simpleton; a dunce; a lout. [Colloq.]
gad |1. The point of a spear, or an arrowhead. 2. A pointed or wedge-shaped instrument of metal, as a steel wedge used in mining, etc. I will go get a leaf of brass, And with a gad of steel will write these words. Shak. 3. A sharp-pointed rod; a goad. 4. A spike on a gauntlet; a gadling. Fairholt. 5. A wedge-shaped billet of iron or steel. [Obs.] Flemish steel . . . some in bars and some in gads. Moxon. 6. A rod or stick, as a fishing rod, a measuring rod, or a rod used to drive cattle with. [Prov. Eng. Local, U.S.] Halliwell. Bartlett. Upon the gad, upon the spur of the moment; hastily. [Obs.] \"All this done upon the gad!\" Shak.\n\nTo walk about; to rove or go about, without purpose; hence, to run wild; to be uncontrolled. \"The gadding vine.\" Milton. Why gaddest thou about so much to change thy way Jer. ii. 36.
gadabout |A gadder [Colloq.]
gadbee |The gadfly.
gadder |One who roves about idly, a rambling gossip.
gadding |Going about much, needlessly or without purpose. Envy is a gadding passion, and walketh the streets. Bacon. The good nuns would check her gadding tongue. Tennyson. Gadding car, in quarrying, a car which carries a drilling machine so arranged as to drill a line of holes.
gaddingly |In a roving, idle manner.
gaddish |Disposed to gad. -- Gad\"dish*nes, n. \"Gaddishness and folly.\" Abp. Leighton.
gade |(a) A small British fish (Motella argenteola) of the Cod family. (b) A pike, so called at Moray Firth; -- called also gead. [Prov. Eng.]
gadere |To gather. [Obs.] Chaucer.
gadfly |Any dipterous insect of the genus Oestrus, and allied genera of botflies. Note: The sheep gadfly (Oestrus ovis) deposits its young in the nostrils of sheep, and the larvæ develop in the frontal sinuses. The common species which infests cattle (Hypoderma bovis) deposits its eggs upon or in the skin where the larvæ or bots live and produce sores called wormels. The gadflies of the horse produce the intestinal parasites called bots. See Botfly, and Bots. The true horseflies are often erroneously called gadflies, and the true gadflies are sometimes incorrectly called breeze flies. Gadfly petrel (Zoöl.), one of several small petrels of the genus Oestrelata.
gadhelic |Of or pertaining to that division of the Celtic languages, which includes the Irish, Gaelic, and Manx. J. Peile.
gadic |Pertaining to, or derived from, the cod (Gadus); -- applied to an acid obtained from cod-liver oil, viz., gadic acid.
gaditanian |Of or relating to Cadiz, in Spain. -- n.  A native or inhabitant of Cadiz.
gadling |See Gad, n., 4.\n\nGadding about. [Obs.]\n\nA roving vagabond. [Obs.] Rom. of R.
gadman |A gadsman.
gadoid |Of or pertaining to the family of fishes (Gadidæ) which includes the cod, haddock, and hake. -- n.  One of the Gadidæ. [Written also gadid.]
gadolinia |A rare earth, regarded by some as an oxide of the supposed element gadolinium, by others as only a mixture of the oxides of yttrium, erbium, ytterbium, etc.
gadolinic |Pertaining to or containing gadolinium.
gadolinite |A mineral of a nearly black color and vitreous luster, and consisting principally of the silicates of yttrium, cerium, and iron.
gadolinium |A supposed rare metallic element, with a characteristic spectrum, found associated with yttrium and other rare metals. Its individuality and properties have not yet been determined.
gadre |To gather. [Obs.] Chaucer.
gadsman |One who uses a gad or goad in driving.
gaduin |A yellow or brown amorphous substance, of indifferent nature, found in cod-liver oil.
gadwall |A large duck (Anas strepera), valued as a game bird, found in the northern parts of Europe and America; -- called also gray duck. [Written also gaddwell.]
gaekwar |The title of the ruling Prince of Baroda, in Gujarat, in Bombay, India.
gael |A Celt or the Celts of the Scotch Highlands or of Ireland; now esp., a Scotch Highlander of Celtic origin.
gaelic |Of or pertaining to the Gael, esp. to the Celtic Highlanders of Scotland; as, the Gaelic language.\n\nThe language of the Gaels, esp. of the Highlanders of Scotland. It is a branch of the Celtic.
gaff |1. A barbed spear or a hook with a handle, used by fishermen in securing heavy fish. 2. (Naut.)  The spar upon which the upper edge of a fore-and-aft sail is extended. 3. Same as Gaffle, 1. Wright.\n\nTo strike with a gaff or barbed spear; to secure by means of a gaff; as, to gaff a salmon.
gaff-topsail |A small triangular sail having its foot extended upon the gaff and its luff upon the topmast.
gaffer |1. An old fellow; an aged rustic. Go to each gaffer and each goody. Fawkes. Note: Gaffer was originally a respectful title, now degenerated into a term of familiarity or contempt when addressed to an aged man in humble life. 2. A foreman or overseer of a gang of laborers. [Prov. Eng.]
gaffle |1. An artificial spur or gaff for gamecocks. 2. A lever to bend crossbows.
gag |1. To stop the mouth of, by thrusting sometimes in, so as to hinder speaking; hence, to silence by authority or by violence; not to allow freedom of speech to. Marvell. The time was not yet come when eloquence was to be gagged, and reason to be hood winked. Maccaulay. 2. To pry or hold open by means of a gag. Mouths gagged to such a wideness. Fortescue (Transl. ). 3. To cause to heave with nausea.\n\n1. To heave with nausea; to retch. 2. To introduce gags or interpolations. See Gag, n., 3. [Slang] Cornill Mag.\n\n1. Sometimes thrust into the mouth or throat to hinder speaking. 2. A mouthful that makes one retch; a choking bit; as, a gag of mutton fat. Lamb. 3. A speech or phrase interpolated offhand by an actor on the stage in his part as written, usually consisting of some seasonable or local allusion. [Slang] Gag rein (Harness), a rein for drawing the bit upward in the horse's mouth. -- Gag runner (Harness), a loop on the throat latch guiding the gag rein.
gag law |A law or ruling prohibiting proper or free debate, as in closure. [Colloq. or Cant]
gag-toothed |Having gagteeth. [Obs.]
gagate |Agate. [Obs.] Fuller.
gage |1. A pledge or pawn; something laid down or given as a security for the performance of some act by the person depositing it, and forfeited by nonperformance; security. Nor without gages to the needy lend. Sandys. 2. A glove, cap, or the like, cast on the ground as a challenge to combat, and to be taken up by the accepter of the challenge; a challenge; a defiance. \"There I throw my gage.\" Shak.\n\nA variety of plum; as, the greengage; also, the blue gage, frost gage, golden gage, etc., having more or less likeness to the greengage. See Greengage.\n\n1. To give or deposit as a pledge or security for some act; to wage or wager; to pawn or pledge. [Obs.] A moiety competent Was gaged by our king. Shak. 2. To bind by pledge, or security; to engage. Great debts Wherein my time, sometimes too prodigal, Hath left me gaged. Shak.\n\nA measure or standart. See Gauge, n.\n\nTo measure. See Gauge, v. t. You shall not gage me By what we do to-night. Shak.
gager |A measurer. See Gauger.
gagger |1. One who gags. 2. (Founding)  A piece of iron imbedded in the sand of a mold to keep the sand in place.
gaggle |To make a noise like a goose; to cackle. Bacon.\n\nA flock of wild geese. [Prov. Eng.] Halliwell.
gagtooth |A projecting tooth. [Obs.]
gahnite |Zinc spinel; automolite.
gaidic |Pertaining to hypogeic acid; -- applied to an acid obtained from hypogeic acid.
gaiety |Same as Gayety.
gailer |A jailer. [Obs.] Chaucer.
gaillard |Gay; brisk; merry; galliard. Chaucer.
gailliarde |A lively French and Italian dance.
gaily |Merrily; showily. See gaily.
gain |A square or beveled notch cut out of a girder, binding joist, or other timber which supports a floor beam, so as to receive the end of the floor beam.\n\nConvenient; suitable; direct; near; handy; dexterous; easy; profitable; cheap; respectable. [Obs. or Prov. Eng.]\n\n1. That which is gained, obtained, or acquired, as increase, profit, advantage, or benefit; -- opposed to loss. But what things were gain to me, those I counted loss for Christ. Phil. iii. 7. Godliness with contentment is great gain. 1 Tim. vi. 6. Every one shall share in the gains. Shak. 2. The obtaining or amassing of profit or valuable possessions; acquisition; accumulation. \"The lust of gain.\" Tennyson.\n\n1. To get, as profit or advantage; to obtain or acquire by effort or labor; as, to gain a good living. What is a man profited, if he shall gain the whole world, and lose his own soul Matt. xvi. 26. To gain dominion, or to keep it gained. Milton. For fame with toil we gain, but lose with ease. Pope. 2. To come off winner or victor in; to be successful in; to obtain by competition; as, to gain a battle; to gain a case at law; to gain a prize. 3. To draw into any interest or party; to win to one's side; to conciliate. If he shall hear thee, thou hast gained thy brother. Matt. xviii. 15. To gratify the queen, and gained the court. Dryden. 4. To reach; to attain to; to arrive at; as, to gain the top of a mountain; to gain a good harbor. Forded Usk and gained the wood. Tennyson. 5. To get, incur, or receive, as loss, harm, or damage. [Obs. or Ironical] Ye should . . . not have loosed from Crete, and to have gained this harm and loss. Acts xxvii. 21. Gained day, the calendar day gained in sailing eastward around the earth. -- To gain ground, to make progress; to advance in any undertaking; to prevail; to acquire strength or extent. -- To gain over, to draw to one's party or interest; to win over. -- To gain the wind (Naut.), to reach the windward side of another ship. Syn. -- To obtain; acquire; get; procure; win; earn; attain; achieve. See Obtain. -- To Gain, Win. Gain implies only that we get something by exertion; win, that we do it in competition with others. A person gains knowledge, or gains a prize, simply by striving for it; he wins a victory, or wins a prize, by taking it in a struggle with others.\n\nTo have or receive advantage or profit; to acquire gain; to grow rich; to advance in interest, health, or happiness; to make progress; as, the sick man gains daily. Thou hast greedily gained of thy neighbors by extortion. Ezek. xxii. 12. Gaining twist, in rifled firearms, a twist of the grooves, which increases regularly from the breech to the muzzle. To gain on or upon. (a) To encroach on; as, the ocean gains on the land. (b) To obtain influence with. (c) To win ground upon; to move faster than, as in a race or contest. (d) To get the better of; to have the advantage of. The English have not only gained upon the Venetians in the Levant, but have their cloth in Venice itself. Addison. My good behavior had so far gained on the emperor, that I began to conceive hopes of liberty. Swift.
gainable |Capable of being obtained or reached. Sherwood.
gainage |(a) The horses, oxen, plows, wains or wagons and implements for carrying on tillage. (b) The profit made by tillage; also, the land itself. Bouvier.
gainer |One who gains. Shak.
gainful |Profitable; advantageous; lucrative. \"A gainful speculation.\" Macaulay. -- Gain\"ful*ly, adv. -- Gain\"ful*ness, n.
gaingiving |A misgiving. [Obs.]
gainless |Not producing gain; unprofitable. Hammond. -- Gain\"less\/ness, n.
gainly |Handily; readily; dexterously; advantageously. [Obs.] Dr. H. More.
gainpain |Bread-gainer; -- a term applied in the Middle Ages to the sword of a hired soldier.
gainsay |To contradict; to deny; to controvert; to dispute; to forbid. I will give you a mouth and wisdom which all your adversaries shall not be able to gainsay nor resist. Luke xxi. 15. The just gods gainsay That any drop thou borrow'dst from thy mother, My sacred aunt, should by my mortal sword Be drained. Shak.
gainsayer |One who gainsays, contradicts, or denies. \"To convince the gainsayers.\" Tit. i. 9.
gainsborough hat |A woman's broad-brimmed hat of a form thought to resemble those shown in portraits by Thomas Gainsborough, the English artist (1727- 88).
gainsome |1. Gainful. 2. Prepossessing; well-favored. [Obs.] Massinger. 'GAINST; GAINST Gainst, prep.  A contraction of Against.
gainstand |To withstand; to resist. [Obs.] Durst . . . gainstand the force of so many enraged desires. Sir P. Sidney.
gainstrive |To strive or struggle against; to withstand. [Obs.] Spenser.
gairfowl |See Garefowl.
gairish |Same as Garish, Garishly, Garishness.
gairishly |Same as Garish, Garishly, Garishness.
gairishness |Same as Garish, Garishly, Garishness.
gait |1. A going; a walk; a march; a way. Good gentleman, go your gait, and let poor folks pass. Shak. 2. Manner of walking or stepping; bearing or carriage while moving. 'T is Cinna; I do know him by his gait. Shak.
gaited |Having (such) a gait; -- used in composition; as, slow-gaited; heavy-gaited.
gaiter |1. A covering of cloth or leather for the ankle and instep, or for the whole leg from the knee to the instep, fitting down upon the shoe. 2. A kind of shoe, consisting of cloth, and covering the ankle.\n\nTo dress with gaiters.
gaitre |The dogwood tree. [Obs.] Chaucer.
gala |Pomp, show, or festivity. Macaulay. Gala day, a day of mirth and festivity; a holiday.
galacta-gogue |An agent exciting secretion of milk.
galactic |1. Of or pertaining to milk; got from milk; as, galactic acid. 2. Of or pertaining to the galaxy or Milky Way. Galactic circle (Astron.), the great circle of the heavens, to which the course of the galaxy most nearly conforms. Herschel. -- Galactic poles, the poles of the galactic circle.
galactin |(a) An amorphous, gelatinous substance containing nitrogen, found in milk and other animal fluids. It resembles peptone, and is variously regarded as a coagulating or emulsifying agent. (b) A white waxy substance found in the sap of the South American cow tree (Galactodendron). (c) An amorphous, gummy carbohydrate resembling gelose, found in the seeds of leguminous plants, and yielding on decomposition several sugars, including galactose.
galactodensimeter |Same as Galactometer.
galactometer |An instrument for ascertaining the quality of milk (i.e., its richness in cream) by determining its specific gravity; a lactometer.
galactophagist |One who eats, or subsists on, milk.
galactophagous |Feeding on milk.
galactophorous |Milk-carrying; lactiferous; -- applied to the ducts of mammary glands.
galactopoietic |Increasing the flow of milk; milk-producing. -- n. A galactopoietic substance.
galactose |A white, crystalline sugar, C6H12O6, isomeric with dextrose, obtained by the decomposition of milk sugar, and also from certain gums. When oxidized it forms mucic acid. Called also lactose (though it is not lactose proper).
galage |See Galoche. Spenser.
galago |A genus of African lemurs, including numerous species. Note: The grand galago (Galago crassicaudata) is about the size of a cat; the mouse galago (G. murinus)is about the size of a mouse.
galanga |The pungent aromatic rhizome or tuber of certain East Indian or Chinese species of Alpinia (A. Galanga and A. officinarum) and of the Kæmpferia Galanga), -- all of the Ginger family.
galangal |The pungent aromatic rhizome or tuber of certain East Indian or Chinese species of Alpinia (A. Galanga and A. officinarum) and of the Kæmpferia Galanga), -- all of the Ginger family.
galantine |A dish of veal, chickens, or other white meat, freed from bones, tied up, boiled, and served cold. Smart.
galapee tree |The West Indian Sciadophyllum Brownei, a tree with very large digitate leaves.
galatea |A kind of striped cotton fabric, usually of superior quality and striped with blue or red on white.
galatian |Of or pertaining to Galatia or its inhabitants. -- A native or inhabitant of Galatia, in Asia Minor; a descendant of the Gauls who settled in Asia Minor.
galaxy |1. (Astron.)  The Milky Way; that luminous tract, or belt, which is seen at night stretching across the heavens, and which is composed of innumerable stars, so distant and blended as to be distinguishable only with the telescope. The term has recently been used for remote clusters of stars. Nichol. 2. A splendid assemblage of persons or things.
galban |A gum resin exuding from the stems of certain Asiatic umbelliferous plants, mostly species of Ferula. The Bubon Galbanum of South Africa furnishes an inferior kind of galbanum. It has an acrid, bitter taste, a strong, unpleasant smell, and is used for medical purposes, also in the arts, as in the manufacture of varnish.
galbanum |A gum resin exuding from the stems of certain Asiatic umbelliferous plants, mostly species of Ferula. The Bubon Galbanum of South Africa furnishes an inferior kind of galbanum. It has an acrid, bitter taste, a strong, unpleasant smell, and is used for medical purposes, also in the arts, as in the manufacture of varnish.
galbe |The general outward form of any solid object, as of a column or a vase.
gale |1. A strong current of air; a wind between a stiff breeze and a hurricane. The most violent gales are called tempests. Note: Gales have a velocity of from about eighteen (\"moderate\") to about eighty (\"very heavy\") miles an our. Sir. W. S. Harris. 2. A moderate current of air; a breeze. A little gale will soon disperse that cloud. Shak. And winds of gentlest gale Arabian odors fanned From their soft wings. Milton. 3. A state of excitement, passion, or hilarity. The ladies, laughing heartily, were fast getting into what, in New England, is sometimes called a gale. Brooke (Eastford). Topgallant gale (Naut.), one in which a ship may carry her topgallant sails.\n\nTo sale, or sail fast.\n\nA song or story. [Obs.] Toone.\n\nTo sing. [Obs.] \"Can he cry and gale.\" Court of Love.\n\nA plant of the genus Myrica, growing in wet places, and strongly resembling the bayberry. The sweet gale (Myrica Gale) is found both in Europe and in America.\n\nThe payment of a rent or annuity. [Eng.] Mozley & W. Gale day, the day on which rent or interest is due.
galea |1. (Bot.)  The upper lip or helmet-shaped part of a labiate flower. 2. (Surg.)  A kind of bandage for the head. 3. (Pathol.)  Headache extending all over the head. 4. (Paleon.)  A genus of fossil echini, having a vaulted, helmet-shaped shell. 5. (Zoöl.)  The anterior, outer process of the second joint of the maxillae in certain insects.
galeas |See Galleass.
galeate |1. Wearing a helmet; protected by a helmet; covered, as with a helmet. 2. (Biol.)  Helmeted; having a helmetlike part, as a crest, a flower, etc.; helmet-shaped.
galeated |1. Wearing a helmet; protected by a helmet; covered, as with a helmet. 2. (Biol.)  Helmeted; having a helmetlike part, as a crest, a flower, etc.; helmet-shaped.
galei |That division of elasmobranch fishes which includes the sharks.
galena |1. (Med.)  A remedy or antidose for poison; theriaca. [Obs.] Parr. 2. (Min.)  Lead sulphide; the principal ore of lead. It is of a bluish gray color and metallic luster, and is cubic in crystallization and cleavage. False galena. See Blende.
galenic |Pertaining to, or containing, galena.\n\nRelating to Galen or to his principles and method of treating diseases. Dunglison. Galenic pharmacy, that branch of pharmacy which relates to the preparation of medicines by infusion, decoction, etc., as distinguished from those which are chemically prepared.
galenical |Pertaining to, or containing, galena.\n\nRelating to Galen or to his principles and method of treating diseases. Dunglison. Galenic pharmacy, that branch of pharmacy which relates to the preparation of medicines by infusion, decoction, etc., as distinguished from those which are chemically prepared.
galenism |The doctrines of Galen.
galenist |A follower of Galen.
galenite |Galena; lead ore.
galeopithecus |A genus of flying Insectivora, formerly called flying lemurs. See Colugo.
galericulate |Covered as with a hat or cap. Smart.
galerite |A cretaceous fossil sea urchin of the genus Galerites.
galician |Of or pertaining to Galicia, in Spain, or to Galicia, the kingdom of Austrian Poland. -- n.  A native of Galicia in Spain; -- called also Gallegan.
galilean |Of or pertaining to Galileo; as, the Galilean telescope. See Telescope.\n\nOf or relating to Galilee.\n\n1. A native or inhabitant of Galilee, the northern province of Palestine under the Romans. 2. (Jewish Hist.)  One of the party among the Jews, who opposed the payment of tribute to the Romans; -- called also Gaulonite. 3. A Christian in general; -- used as a term of reproach by Mohammedans and Pagans. Byron.
galilee |A porch or waiting room, usually at the west end of an abbey church, where the monks collected on returning from processions, where bodies were laid previous to interment, and where women were allowed to see the monks to whom they were related, or to hear divine service. Also, frequently applied to the porch of a church, as at Ely and Durham cathedrals. Gwilt.
galimatias |Nonsense; gibberish; confused and unmeaning talk; confused mixture. Her dress, like her talk, is a galimatias of several countries. Walpole.
galingale |A plant of the Sedge family (Cyperus longus) having aromatic roots; also, any plant of the same genus. Chaucer. Meadow, set with slender galingale. Tennyson.
galiot |(a) A small galley, formerly used in the Mediterranean, built mainly for speed. It was moved both by sails and oars, having one mast, and sixteen or twenty seats for rowers. (b) A strong, light-draft, Dutch merchant vessel, carrying a mainmast and a mizzenmast, and a large gaff mainsail.
galipot |An impure resin of turpentine, hardened on the outside of pine trees by the spontaneous evaporation of its essential oil. When purified, it is called yellow pitch, white pitch, or Burgundy pitch.
