flabellinerved |Having many nerves diverging radiately from the base; -- said of a leaf.
flathead |Characterized by flatness of head, especially that produced by artificial means, as a certain tribe of American Indians.\n\nA Chinook Indian. See Chinook, n., 1.
flatiron |An iron with a flat, smooth surface for ironing clothes.
flative |Producing wind; flatulent. [Obs.] A. Brewer.
flatling |With the flat side, as of a sword; flatlong; in a prostrate position. [Obs.] Spenser.
flatlong |; 115), adv. With the flat side downward; not edgewise. Shak.
flatly |In a flat manner; evenly; horizontally; without spirit; dully; frigidly; peremptori;y; positively, plainly. \"He flatly refused his aid.\" Sir P. Sidney. He that does the works of religion slowly, flatly, and without appetite. Jer. Taylor.
flatness |1. The quality or state of being flat. 2. Eveness of surface; want of relief or prominence; the state of being plane or level. 3. Want of vivacity or spirit; prostration; dejection; depression. 4. Want of variety or flavor; dullness; inspidity. 5. Depression of tone; the state of being below the true pitch; -- opposed to sharpness or acuteness.
flatour |A flatterer. [Obs.] Chaucer.
flatten |1. To reduce to an even surface or one approaching evenness; to make flat; to level; to make plane. 2. To throw down; to bring to the ground; to prostrate; hence, to depress; to deject; to dispirit. 3. To make vapid or insipid; to render stale. 4. (Mus.)  To lower the pitch of; to cause to sound less sharp; to let fall from the pitch. To flatten a sail (Naut.), to set it more nearly fore-and-aft of the vessel. -- Flattening oven, in glass making, a heated chamber in which split glass cylinders are flattened for window glass.\n\nTo become or grow flat, even, depressed dull, vapid, spiritless, or depressed below pitch.
flatter |1. One who, or that which, makes flat or flattens. 2. (Metal Working) (a) A flat-faced fulling hammer. (b) A drawplate with a narrow, rectangular orifice, for drawing flat strips, as watch springs, etc.\n\n1. To treat with praise or blandishments; to gratify or attempt to gratify the self-love or vanity of, esp. by artful and interested commendation or attentions; to blandish; to cajole; to wheedle. When I tell him he hates flatterers, He says he does, being then most flattered. Shak. A man that flattereth his neighbor, spreadeth a net for his feet. Prov. xxix. 5. Others he flattered by asking their advice. Prescott. 2. To raise hopes in; to encourage or favorable, but sometimes unfounded or deceitful, representations. 3. To portray too favorably; to give a too favorable idea of; as, his portrait flatters him.\n\nTo use flattery or insincere praise. If it may stand him more in stead to lie, Say and unsay, feign, flatter, or adjure. Milton.
flatterer |One who flatters. The most abject flaterers degenerate into the greatest tyrants. Addison.
flattering |That flatters (in the various senses of the verb); as, a flattering speech. Lay not that flattering unction to your soul. Shak. A flattering painter, who made it his care, To draw men as they ought be, not as they are. Goldsmith.
flatteringly |With flattery.
flattery |The act or practice of flattering; the act of pleasing by artiful commendation or compliments; adulation; false, insincere, or excessive praise. Just praise is only a debt, but flattery is a present. Rambler. Flattery corrupts both the receiver and the giver. Burke. Syn. -- Adulation; compliment; obsequiousness. See Adulation.
flatting |1. The process or operation of making flat, as a cylinder of glass by opening it out. 2. A mode of painting,in which the paint, being mixed with turpentine, leaves the work without gloss. Gwilt. 3. A method of preserving gilding unburnished, by touching with size. Knolles. 4. The process of forming metal into sheets by passing it between rolls. Flatting coat, a coat of paint so put on as to have no gloss. -- Flatting furnace. Same as Flattening oven, under Flatten. -- Flatting mill. (a) A rolling mill producing sheet metal; esp., in mints, the ribbon from which the planchets are punched. (b) A mill in which grains of metal are flatted by steel rolls, and reduced to metallic dust, used for purposes of ornamentation.
flattish |Somewhat flat. Woodward.
flatulence |The state or quality of being flatulent.
flatulency |The state or quality of being flatulent.
flatulent |1. Affected with flatus or gases generated in the alimentary canal; windy. 2. Generating, or tending to generate, wind in the stomach. Vegetables abound more with aërial particles than animal substances, and therefore are more flatulent. Arbuthnot. 3. Turgid with flatus; as, a flatulent tumor. Quincy. 4. Pretentious without substance or reality; puffy; empty; vain; as, a flatulent vanity. He is too flatulent sometimes, and sometimes too dry. Dryden.
flatulently |In a flatulent manner; with flatulence.
flatuosity |Flatulence. [Obs.] Bacon.
flatuous |Windy; generating wind. [Obs.] Bacon.
flatus |1. A breath; a puff of wind. Clarke. 2. Wind or gas generated in the stomach or other cavities of the body. Quincy.
flatware |Articles for the table, as china or silverware, that are more or less flat, as distinguished from hollow ware.\n\nArticles for the table, as china or silverware, that are more or less flat, as distinguished from hollow ware. [Webster 1913 Suppl.]
flatwise |With the flat side downward, or next to another object; not edgewise.
flatworm |Any worm belonging to the Plathelminthes; also, sometimes applied to the planarians.
flaundrish |Flemish. [Obs.]
flaunt |To throw or spread out; to flutter; to move ostentatiously; as, a flaunting show. You flaunt about the streets in your new gilt chariot. Arbuthnot. One flaunts in rags, one flutters in brocade. Pope.\n\nTo display ostentatiously; to make an impudent show of.\n\nAnything displayed for show. [Obs.] In these my borrowed flaunts. Shak.
flauntingly |In a flaunting way.
flautist |A player on the flute; a flutist.
flauto |A flute. Flaute piccolo ( Etym: [It., little flute], an octave flute. -- Flauto traverso ( Etym: [It., transverse flute], the German flute, held laterally, instead of being played, like the old flûte a bec, with a mouth piece at the end.
flavaniline |A yellow, crystalline, organic dyestuff, C16H14N2, of artifical production. It is a strong base, and is a complex derivative of aniline and quinoline.
flavescent |Turning yellow; yellowish.
flavicomous |Having yellow hair. [R.]
flavin |A yellow, vegetable dyestuff, resembling quercitron.
flavine |A yellow, crystalline, organic base, C13H12N2O, obtained artificially.
flavol |A yellow, crystalline substance, obtained from anthraquinone, and regarded as a hydroxyl derivative of it.
flavor |1. That quality of anything which affects the smell; odor; fragrances; as, the flavor of a rose. 2. That quality of anything which affects the taste; that quality which gratifies the palate; relish; zest; savor; as, the flavor of food or drink. 3. That which imparts to anything a peculiar odor or taste, gratifying to the sense of smell, or the nicer perceptions of the palate; a substance which flavors. 4. That quality which gives character to any of the productions of literature or the fine arts.\n\nTo give flavor to; to add something (as salt or a spice) to, to give character or zest.
flavored |Having a distinct flavor; as, high-flavored wine.
flavorless |Without flavor; tasteless.
flavorous |Imparting flavor; pleasant to the taste or smell; sapid. Dryden.
flavous |Yellow. [Obs.]
flaw |1. A crack or breach; a gap or fissure; a defect of continuity or cohesion; as, a flaw in a knife or a vase. This heart Shall break into a hundered thousand flaws. Shak. 2. A defect; a fault; as, a flaw in reputation; a flaw in a will, in a deed, or in a statute. Has not this also its flaws and its dark side South. 3. A sudden burst of noise and disorder; a tumult; uproar; a quarrel. [Obs.] And deluges of armies from the town Came pouring in; I heard the mighty flaw. Dryden. 4. A sudden burst or gust of wind of short duration. Snow, and hail, and stormy gust and flaw. Milton. Like flaws in summer laying lusty corn. Tennyson. Syn. -- Blemish; fault; imoerfection; spot; speck.\n\n1. To crack; to make flaws in. The brazen caldrons with the frosts are flawed. Dryden. 2. To break; to violate; to make of no effect. [Obs.] France hath flawed the league. Shak.
flawless |Free from flaws. Boyle.
flawn |A sort of flat custard or pie. [Obs.] Tusser.
flawter |To scrape o [Obs.] Johnson.
flawy |1. Full of flaws or cracks; broken; defective; faulty. Johnson. 2. Subject to sudden flaws or gusts of wind.
flax |1. (Bot.)  A plant of the genus Linum, esp. the L. usitatissimum, which has a single, slender stalk, about a foot and a half high, with blue flowers. The fiber of the bark is used for making thread and cloth, called linen, cambric, lawn, lace, etc. Linseed oil is expressed from the seed. 2. The skin or fibrous part of the flax plant, when broken and cleaned by hatcheling or combing. Earth flax (Min.), amianthus. -- Flax brake, a machine for removing the woody portion of flax from the fibrous. -- Flax comb, a hatchel, hackle, or heckle. -- Flax cotton, the fiber of flax, reduced by steeping in bicarbinate of soda and acidulated liquids, and prepared for bleaching and spinning like cotton. Knight. -- Flax dresser, one who breaks and swingles flax, or prepares it for the spinner. -- Flax mill, a mill or factory where flax is spun or linen manufactured. -- Flax puller, a machine for pulling flax plants in the field. -- Flax wench. (a) A woman who spins flax. [Obs.] (b) A prostitute. [Obs.] Shak. -- Mountain flax (Min.), amianthus. -- New Zealand flax (Bot.) See Flax-plant.
flax-plant |A plant in new Zealand (Phormium tenax), allied to the lilies and aloes. The leaves are two inches wide and several feet long, and furnish a fiber which is used for making ropes, mats, and coarse cloth.
flaxen |Made of flax; resembling flax or its fibers; of the color of flax; of a light soft straw color; fair and flowing, like flax or tow; as, flaxen thread; flaxen hair.
flaxseed |The seed of the flax; linseed.
flaxweed |See Toadflax.
flaxy |Like flax; flaxen. Sir M. Sandys.
flay |To skin; to strip off the skin or surface of; as, to flay an ox; to flay the green earth. With her nails She 'll flay thy wolfish visage. Shak.
flayer |One who strips off the skin.
flea |To flay. [Obs.] He will be fleaced first And horse collars made of's skin. J. Fletcher.\n\nAn insect belonging to the genus Pulex, of the order Aphaniptera. Fleas are destitute of wings, but have the power of leaping energetically. The bite is poisonous to most persons. The human flea (Pulex irritans), abundant in Europe, is rare in America, where the dog flea (P. canis) takes its place. See Aphaniptera, and Dog flea. See Illustration in Appendix. A flea in the ear, an unwelcome hint or unexpected reply, annoying like a flea; an irritating repulse; as, to put a flea in one's ear; to go away with a flea in one's ear. -- Beach flea, Black flea, etc. See under Beach, etc.
flea-beetle |A small beetle of the family Halticidæ, of many species. They have strong posterior legs and leap like fleas. The turnip flea- beetle (Phyllotreta vittata) and that of the grapevine (Graptodera chalybea) are common injurious species.
flea-bite |1. The bite of a flea, or the red spot caused by the bite. 2. A trifling wound or pain, like that of the bite of a flea. Harvey.
flea-bitten |1. Bitten by a flea; as, a flea-bitten face. 2. White, flecked with minute dots of bay or sorrel; -- said of the color of a horse.
flea-louse |A jumping plant louse of the family Psyllidæ, of many species. That of the pear tree is Psylla pyri.
fleabane |One of various plants, supposed to have efficacy in driving away fleas. They belong, for the most part, to the genera Conyza, Erigeron, and Pulicaria.
fleagh |imp. of Fly.
fleak |A flake; a thread or twist. [Obs.] Little long fleaks or threads of hemp. Dr. H. More.
fleaking |A light covering of reeds, over which the main covering is laid, in thatching houses. [Prov. Eng.] Wright.
fleam |A sharp instrument used for opening veins, lancing gums, etc.; a kind of lancet. Fleam tooth, a tooth of a saw shaped like an isosceles triangle; a peg tooth. Knight.
fleamy |Bloody; clotted. [Obs. or Prov.] Foamy bubbling of a fleamy brain. Marston.
flear |See Fleer.
fleawort |An herb used in medicine (Plantago Psyllium), named from the shape of its seeds. Loudon.
fleche |A simple fieldwork, consisting of two faces forming a salient angle pointing outward and open at the gorge.
fleck |A flake; also, a lock, as of wool. [Obs.] J. Martin.\n\nA spot; a streak; a speckle. \"A sunny fleck.\" Longfellow. Life is dashed with flecks of sin. tennyson.\n\nTo spot; to streak or stripe; to variegate; to dapple. Both flecked with white, the true Arcadian strain. Dryden. A bird, a cloud, flecking the sunny air. Trench.
flecker |To fleck. Johnson.
fleckless |Without spot or blame. [R.] My consnience will not count me fleckless. Tennyson.
flection |1. The act of bending, or state of being bent. 2. The variation of words by declension, comparison, or conjugation; inflection.
flectional |Capable of, or pertaining to, flection or inflection. A flectional word is a phrase in the bud. Earle.
flector |A flexor.
fled |imp. & p. p. of Flee.
fledge |Feathered; furnished with feathers or wings; able to fly. Hfledge with wings. Milton.\n\n1. To furnish with feathers; to supply with the feathers necessary for flight. The birds were not as yet fledged enough to shift for themselves. L'Estrange. 2. To furnish or adorn with any soft covering. Your master, whose chin is not yet fledged. Shak.
fledgeling |A young bird just fledged.
flee |To run away, as from danger or evil; to avoid in an alarmed or cowardly manner; to hasten off; -- usually with from. This is sometimes omitted, making the verb transitive. [He] cowardly fled, not having struck one stroke. Shak. Flee fornication. 1 Cor. vi. 18. So fled his enemies my warlike father. Shak. Note: When great speed is to be indicated, we commonly use fly, not flee; as, fly hence to France with the utmost speed. \"Whither shall I fly to 'scape their hands\" Shak. See Fly, v. i., 5.
fleece |1. The entire coat of wood that covers a sheep or other similar animal; also, the quantity shorn from a sheep, or animal, at one time. Who shore me Like a tame wether, all my precious fleece. Milton. 2. Any soft woolly covering resembling a fleece. 3. (Manuf.)  The fine web of cotton or wool removed by the doffing knife from the cylinder of a carding machine. Fleece wool, wool shorn from the sheep. -- Golden fleece. See under Golden.\n\n1. To deprive of a fleece, or natural covering of wool. 2. To strip of money or other property unjustly, especially by trickery or frand; to bring to straits by oppressions and exactions. Whilst pope and prince shared the wool betwixt them, the people were finely fleeced. Fuller. 3. To spread over as with wool. [R.] Thomson.
fleeced |1. Furnished with a fleece; as, a sheep is well fleeced. Spenser. 2. Stripped of a fleece; plundered; robbed.
fleeceless |Without a fleece.
fleecer |One who fleeces or strips unjustly, especially by trickery or fraund. Prynne.
fleecy |Covered with, made of, or resembling, a fleece. \"Fleecy flocks.\" Prior.
fleen |Obs. pl. of Flea. Chaucer.
fleer |One who flees. Ld. Berners.\n\n1. To make a wry face in contempt, or to grin in scorn; to deride; to sneer; to mock; to gibe; as, to fleer and flout. To fleer and scorn at our solemnity. Shak. 2. To grin with an air of civility; to leer. [Obs.] Grinning and fleering as though they went to a bear baiting. Latimer.\n\nTo mock; to flout at. Beau. & Fl.\n\n1. A word or look of derision or mockery. And mark the fleers, the gibes, and notable scorn. Shak. 2. A grin of civility; a leer. [Obs.] A sly, treacherous fleer on the face of deceivers. South.
fleerer |One who fleers. Beau. & Fl.
fleeringly |In a fleering manner.
fleet |1. To sail; to float. [Obs.] And in frail wood on Adrian Gulf doth fleet. Spenser. 2. To fly swiftly; to pass over quickly; to hasten; to flit as a light substance. All the unaccomplished works of Nature's hand, . . . Dissolved on earth, fleet hither. Milton. 3. (Naut.)  To slip on the whelps or the barrel of a capstan or windlass; - - said of a cable or hawser.\n\n1. To pass over rapidly; to skin the surface of; as, a ship that fleets the gulf. Spenser. 2. To hasten over; to cause to pass away lighty, or in mirth and joy. Many young gentlemen flock to him, and fleet the time carelessly. Shak. 3. (Naut.) (a) To draw apart the blocks of; -- said of a tackle. Totten. (b) To cause to slip down the barrel of a capstan or windlass, as a rope or chain.\n\n1. Swift in motion; moving with velocity; light and quick in going from place to place; nimble. In mail their horses clad, yet fleet and strong. Milton. 2. Light; superficially thin; not penetring deep, as soil. [Prov. Eng.] Mortimer.\n\nA number of vessels in company, especially war vessels; also, the collective naval force of a country, etc. Fleet captain, the senior aid of the admiral of a fleet, when a captain. Ham. Nav. Encyc.\n\n1. A flood; a creek or inlet; a bay or estuary; a river; -- obsolete, except as a place name, -- as Fleet Street in London. Together wove we nets to entrap the fish In floods and sedgy fleets. Matthewes. 2. A former prison in London, which originally stood near a stream, the Fleet (now filled up). Fleet parson, a clergyman of low character, in, or in the vicinity of, the Fleet prison, who was ready to unite persons in marriage (called Fleet marriage) at any hour, without public notice, witnesses, or consent of parents.\n\nTo take the cream from; to skim. [Prov. Eng.] Johnson.
fleet-foot |Swift of foot. Shak.
fleeten |Fleeted or skimmed milk. [Obs.] Fleeten face, a face of the color of fleeten, i. e., blanched; hence, a coward. \"You know where you are, you fleeten face.\" Beau. & Fl.
fleeting |Passing swiftly away; not durable; transient; transitory; as, the fleeting hours or moments. Syn. -- Evanescent; ephemeral. See Transient.
fleetingly |In a fleeting manner; swiftly.
fleetings |A mixture of buttermilk and boiling whey; curds. [prov. Eng.] Wright.
fleetly |In a fleet manner; rapidly.
fleetness |Swiftness; rapidity; velocity; celerity; speed; as, the fleetness of a horse or of time.
fleigh |imp. of Fly. Chaucer.
fleme |To banish; to drive out; to expel. [Obs.] \"Appetite flemeth discretion.\" Chaucer.
flemer |One who, or that which, banishes or expels. [Obs.] Chaucer.
fleming |A native or inhabitant of Flanders.
flemish |Pertaining to Flanders, or the Flemings. -- n.  The language or dialect spoken by the Flemings; also, collectively, the people of Flanders. Flemish accounts (Naut.), short or deficient accounts. [Humorous]Ham. Nav. Encyc. -- Flemish beauty (Bot.), a well known pear. It is one of few kinds which have a red color on one side. -- Flemish bond. (Arch.) See Bond, n., 8. -- Flemish brick, a hard yellow paving brick. -- Flemish coil, a flat coil of rope with the end in the center and the turns lying against, without riding over, each other. -- Flemish eye (Naut.), an eye formed at the end of a rope by dividing the strands and lying them over each other. -- Flemish horse (Naut.), an additional footrope at the end of a yard.
flench |Same as Flence.
flense |To strip the blubber or skin from, as from a whale, seal, etc. the flensed carcass of a fur seal. U. S. Census (1880).
flesh |1. The aggregate of the muscles, fat, and other tissues which cover the framework of bones in man and other animals; especially, the muscles. Note: In composition it is mainly albuminous, but contains in adition a large number of crystalline bodies, such as creatin, xanthin, hypoxanthin, carnin, etc. It is also rich in phosphate of potash. 2. Animal food, in distinction from vegetable; meat; especially, the body of beasts and birds used as food, as distinguished from fish. With roasted flesh, or milk, and wastel bread. Chaucer. 3. The human body, as distinguished from the soul; the corporeal person. As if this flesh, which walls about our life, Were brass impregnable. Shak. 4. The human eace; mankind; humanity. All flesh had corrupted his way upon the earth. Gen. vi. 12. 5. Human nature: (a) In a good sense, tenderness of feeling; gentleness. There is no flesh in man's obdurate heart. Cowper. (b) In a bad sense, tendency to transient or physical pleasure; desire for sensual gratification; carnality. (c) (Theol.) The character under the influence of animal propensities or selfish passions; the soul unmoved by spiritual influences. 6. Kindred; stock; race. He is our brother and our flesh. Gen. xxxvii. 27. 7. The soft, pulpy substance of fruit; also, that part of a root, fruit, and the like, which is fit to be eaten. Note: Flesh is often used adjectively or self-explaining compounds; as, flesh broth or flesh-broth; flesh brush or fleshbrush; flesh tint or flesh-tint; flesh wound. After the flesh, after the manner of man; in a gross or earthly manner. \"Ye judge after the flesh.\" John viii. 15. -- An arm of flesh, human strength or aid. -- Flesh and blood. See under Blood. -- Flesh broth, broth made by boiling flesh in water. -- Flesh fly (Zoöl.), one of several species of flies whose larvæ or maggots feed upon flesh, as the bluebottle fly; -- called also meat fly, carrion fly, and blowfly. See Blowly. -- Flesh meat, animal food. Swift. -- Flesh side, the side of a skin or hide which was next to the flesh; -- opposed to grain side. -- Flesh tint (Painting), a color used in painting to imitate the hue of the living body. -- Flesh worm (Zoöl.), any insect larva of a flesh fly. See Flesh fly (above). -- Proud flesh. See under Proud. -- To be one flesh, to be closely united as in marriage; to become as one person. Gen. ii. 24.\n\n1. To feed with flesh, as an incitement to further exertion; to initiate; -- from the practice of training hawks and dogs by feeding them with the first game they take, or other flesh. Hence, to use upon flesh (as a murderous weapon) so as to draw blood, especially for the first time. Full bravely hast thou fleshed Thy maiden sword. Shak. The wild dog Shall flesh his tooth on every innocent. Shak. 2. To glut; to satiate; hence, to harden, to accustom. \"Fleshed in triumphs.\" Glanvill. Old soldiers Fleshed in the spoils of Germany and France. Beau. & Fl. 3. (Leather Manufacture)  To remove flesh, membrance, etc., from, as from hides.
fleshed |1. Corpulent; fat; having flesh. 2. Glutted; satiated; initiated. Fleshed with slaughter. Dryden.
flesher |1. A butcher. A flesher on a block had laid his whittle down. Macaulay. 2. A two-handled, convex, blunt-edged knife, for scraping hides; a fleshing knife.
fleshhood |The state or condition of having a form of flesh; incarnation. [R.] Thou, who hast thyself Endured this fleshhood. Mrs. Browning.
fleshiness |The state of being fleshy; plumpness; corpulence; grossness. Milton.
fleshings |Flesh-colored tights, worn by actors dancers. D. Jerrold.
fleshless |Destitute of flesh; lean. Carlyle.
fleshliness |The state of being fleshly; carnal passions and appetites. Spenser.
fleshling |A person devoted to fleshly things. [Obs.] Spenser.
fleshly |1. Of or pertaining to the flesh; corporeal. \"Fleshly bondage.\" Denham. 2. Animal; not Dryden. 3. Human; not celestial; not spiritual or divine. \"Fleshly wisdom.\" 2 Cor. i. 12. Much ostentation vain of fleshly arm And fragile arms. Milton. 4. Carnal; wordly; lascivious. Abstain from fleshly lusts, which war against the soul. 1 Pet. ii. 11.\n\nIn a fleshly manner; carnally; lasciviously. [Obs.] Chaucer.
fleshment |The act of fleshing, or the excitement attending a successful beginning. [R.] Shak.
fleshmonger |One who deals in flesh; hence, a pimp; a procurer; a pander. [R.] Shak.
fleshpot |A pot or vessel in which flesh is cooked; hence (pl.),  plenty; high living. In the land of Egypt . . . we sat by the fleshpots, and . . . did eat bread to the full. Ex. xvi. 3.
fleshquake |A quaking or trembling of the flesh; a quiver. [Obs.] B. Jonson.
fleshy |1. Full of, or composed of, flesh; plump; corpulent; fat; gross. The sole of his foot is fleshy. Ray. 2. Human. [Obs.] \"Fleshy tabernacle.\" Milton. 3. (Bot.)  Composed of firm pulp; succulent; as, the houseleek, cactus, and agave are fleshy plants.
flet |Skimmed. [Obs.]
fletch |To feather, as an arrow. Bp. Warburton. [Congress] fletched their complaint, by adding: \"America loved his brother.\" Bancroft.
fletcher |One who fletches of feathers arrows; a manufacturer of bows and arrows. [Obs.] Mortimer.
flete |To float; to swim. [Obs.] \"Whether I sink or flete.\" Chaucer.
fletiferous |Producing tears. [Obs.] Blount.
fleur-de-lis |1. (Bot.)  The iris. See Flower-de-luce. 2. A conventional flower suggested by the iris, and having a form which fits it for the terminal decoration of a scepter, the ornaments of a crown, etc. It is also a heraldic bearing, and is identified with the royal arms and adornments of France.
fleuron |A flower-shaped ornament, esp. one terminating an object or forming one of a series, as a knob of a cover to a dish, or a flower- shaped part in a necklace.
fleury |Finished at the ends with fleurs-de-lis; -- said esp. a cross so decorated.
flew |imp. of Fly.
flewed |Having large flews. Shak.
flews |The pendulous or overhanging lateral parts of the upper lip of dogs, especially prominent in hounds; -- called also chaps. See Illust. of Bloodhound.
flex |To bend; as, to flex the arm.\n\nFlax. [Obs.] Chaucer.
flexanimous |Having power to change the mind. [Obs.] Howell.
flexibility |The state or quality of being flexible; flexibleness; pliancy; pliability; as, the flexibility of strips of hemlock, hickory, whalebone or metal, or of rays of light. Sir I. Newton. All the flexibility of a veteran courtier. Macaulay.
flexible |1. Capable of being flexed or bent; admitting of being turned, bowed, or twisted, without breaking; pliable; yielding to pressure; not stiff or brittle. When the splitting wind Makes flexible the knees of knotted oaks. Shak. 2. Willing or ready to yield to the influence of others; not invincibly rigid or obstinate; tractable; manageable; ductile; easy and compliant; wavering. Phocion was a man of great severity, and no ways flexible to the will of the people. Bacon. Women are soft, mild, pitiful, and flexible. Shak. 3. Capable or being adapted or molded; plastic,; as, a flexible language. This was a principle more flexible to their purpose. Rogers. Syn. -- Pliant; pliable; supple; tractable; manageable; ductile; obsequious; inconstant; wavering. -- Flex\"i*ble*ness, n. -- Flex\"i*bly, adv.
flexicostate |Having bent or curved ribs.
flexile |Flexible; pliant; pliable; easily bent; plastic; tractable. Wordsworth.
flexion |1. The act of flexing or bending; a turning. 2. A bending; a part bent; a fold. Bacon. 3. (Gram.)  Syntactical change of form of words, as by declension or conjugation; inflection. Express the syntactical relations by flexion. Sir W. Hamilton. 4. (Physiol.)  The bending of a limb or joint; that motion of a joint which gives the distal member a continually decreasing angle with the axis of the proximal part; -- distinguished from extension.
flexor |A muscle which bends or flexes any part; as, the flexors of the arm or the hand; -- opposed to extensor.
flexuose |Flexuous.
flexuous |1. Having turns, windings, or flexures. 2. (Bot.)  Having alternate curvatures in opposite directions; bent in a zigzag manner. 3. Wavering; not steady; flickering. Bacon.
flexural |Of, pertaining to, or resulting from, flexure; of the nature of, or characterized by, flexure; as, flexural elasticity.
flexure |1. The act of flexing or bending; a turning or curving; flexion; hence, obsequious bowing or bending. Will it give place to flexure and low bending Shak. 2. A turn; a bend; a fold; a curve. Varying with the flexures of the valley through which it meandered. British Quart. Rev. 3. (Zoöl.)  The last joint, or bend, of the wing of a bird. 4. (Astron.)  The small distortion of an astronomical instrument caused by the weight of its parts; the amount to be added or substracted from the observed readings of the instrument to correct them for this distortion. The flexure of a curve (Math.), the bending of a curve towards or from a straight line.
flibbergib |A sycophant. [Obs. & Humorous.] \"Flatterers and flibbergibs.\" Latimer.
flibbertigibbet |An imp. Shak.
flibustier |A buccaneer; an American pirate. See Flibuster. [Obs.]
flick |To whip lightly or with a quick jerk; to flap; as, to flick a horse; to flick the dirt from boots. Thackeray.\n\nA flitch; as, a flick of bacon.
flicker |1. To flutter; to flap the wings without flying. And flickering on her nest made short essays to sing. Dryden. 2. To waver unsteadily, like a flame in a current of air, or when about to expire; as, the flickering light. The shadows flicker to fro. Tennyson.\n\n1. The act of wavering or of fluttering; flucuation; sudden and brief increase of brightness; as, the last flicker of the dying flame. 2. (Zoöl.)  The golden-winged woodpecker (Colaptes aurutus); -- so called from its spring note. Called also yellow-hammer, high-holder, pigeon woodpecker, and yucca. The cackle of the flicker among the oaks. Thoureau.
flickeringly |In a flickering manner.
flickermouse |See Flittermouse.
flidge |Fledged; fledge. [Obs.] Holland.\n\nTo become fledged; to fledge. [Obs.] Every day build their nests, every hour flidge. R. Greene.
flier |1. One who flies or flees; a runaway; a fugitive. Shak. 2. (Mach.)  A fly. See Fly, n., 9, and 13 (b). 3. (Spinning)  See Flyer, n., 5. 4. (Arch.)  See Flyer, n., 4.
flight |1. The act or flying; a passing through the air by the help of wings; volitation; mode or style of flying. Like the night owl's lazy flight. Shak. 2. The act of fleeing; the act of running away, to escape or expected evil; hasty departure. Pray ye that your flight be not in the winter. Matt. xxiv. 20. Fain by flight to save themselves. Shak. 3. Lofty elevation and excursion;a mounting; a soaas, a flight of imagination, ambition, folly. Could he have kept his spirit to that flight, He had been happy. Byron. His highest flights were indeed far below those of Taylor. Macaulay. 4. A number of beings or things passing through the air together; especially, a flock of birds flying in company; the birds that fly or migrate together; the birds produced in one season; as, a flight of arrows. Swift. Swift flights of angels ministrant. Milton. Like a flight of fowl Scattered winds and tempestuous gusts. Shak. 5. A series of steps or stairs from one landing to another. Parker. 6. A kind of arrow for the longbow; also, the sport of shooting with it. See Shaft. [Obs.] Challenged Cupid at the flight. Shak. Not a flight drawn home E'er made that haste that they have. Beau. & Fl. 7. The husk or glume of oats. [Prov. Eng.] Wright. to take a flight{9}. Flight feathers (Zoöl.), the wing feathers of a bird, including the quills, coverts, and bastard wing. See Bird. -- To put to flight, To turn to flight, to compel to run away; to force to flee; to rout. Syn. -- Pair; set. See Pair.
flight-shot |The distance to which an arrow or flight may be shot; bowshot, -- about the fifth of a mile. [Prov. Eng. & Scot.] Within a flight-shot it inthe valley. Evelyn. Half a flight-shot from the king's oak. Sir W. Scott.
flighted |1. Taking flight; flying; -- used in composition. \"Drowsy-flighted steeds.\" Milton. 2. (Her.)  Feathered; -- said of arrows.
flighter |A horizontal vane revolving over the surface of wort in a cooler, to produce a circular current in the liquor. Knight.
flightily |In a flighty manner.
flightiness |The state or quality of being flighty. The flightness of her temper. Hawthorne. Syn. -- Levity; giddiness; volatility; lightness; wildness; eccentricity. See Levity.
flighty |1. Fleeting; swift; transient. The flighty purpose never is o'ertook, Unless the deed go with it. Shak. 2. Indulging in flights, or wild and unrestrained sallies, of imagination, humor, caprice, etc.; given to disorder Proofs of my flighty and paradoxical turn of mind. Coleridge. A harsh disciplinarian and a flighty enthusiast. J. S. Har
flimflam |A freak; a trick; a lie. Beau. & Fl.
flimsily |In a flimsy manner.
flimsiness |The state or quality of being flimsy.
flimsy |Weak; feeble; limp; slight; vain; without strength or solidity; of loose and unsubstantial structure; without reason or plausibility; as, a flimsy argument, excuse, objection. Proud of a vast extent of flimsy lines. Pope. All the flimsy furniture of a country miss's brain. Sheridan. Syn. -- Weak; feeble; superficial; shallow; vain.\n\n1. Thin or transfer paper. 2. A bank note. [Slang, Eng.]
flinch |1. To withdraw from any suffering or undertaking, from pain or danger; to fail in doing or perserving; to show signs of yielding or of suffering; to shrink; to wince; as, one of the parties flinched from the combat. A child, by a constant course of kindness, may be accustomed to bear very rough usage without flinching or complaining. Locke. 2. (Croquet)  To let the foot slip from a ball, when attempting to give a tight croquet.\n\nThe act of flinching.
flincher |One who flinches or fails.
flinchingly |In a flinching manner.
flindermouse |A bat; a flittermouse.
flinders |Small pieces or splinters; fragments. The tough ash spear, so stout and true, Into a thousand flinders flew. Sir W. Scott.
