cullionly |Mean; base. Shak.
curiosity |1. The state or quality or being curious; nicety; accuracy; exactness; elaboration. [Obs.] Bacon. When thou wast in thy gilt and thy perfume, they mocked thee for too much curiosity. Shak. A screen accurately cut in tapiary work . . . with great curiosity. Evelin. 2. Disposition to inquire, investigate, or seek after knowledge; a desire to gratify the mind with new information or objects of interest; inquisitiveness. Milton. 3. That which is curious, or fitted to excite or reward attention. We took a ramble together to see the curiosities of this great town. Addison. There hath been practiced also a curiosity, to set a tree upon the north side of a wall, and, at a little hieght, to draw it through the wall, etc. Bacon.
curioso |A virtuoso.
curious |1. Difficult to please or satisfy; solicitous to be correct; careful; scrupulous; nice; exact. [Obs.] Little curious in her clothes. Fuller. How shall we, If he be curious, work upon his faith Bean & 2. Exhibiting care or nicety; artfully constructed; elaborate; wrought with elegance or skill. To devise curious works. Ex. xxxv. 32 His body couched in a curious bed. Shak. 3. Careful or anxious to learn; eager for knowledge; given to research or inquiry; habitually inquisitive; prying; -- sometimes with after or of. It is a picurious after things that were elegant and beatiful should not have been as curious as to their origin, their uses, and their natural history. Woodward. 4. Exciting attention or inquiry; awakening surprise; inviting and rewarding inquisitiveness; not simple or plain; strange; rare. \"Acurious tale\" Shak. A multitude of curious analogies. Mocaulay. Many a quaint and curiousvolume of forgotten lore. E. A. Poe. Abstruse investigations in recondite branches of learning or sciense often bring to light curious results. C. J. Smith. Curious arts, magic. [Obs.] Many . . . which used curious arts brought their books together, and burned them. Acts xix. 19. Syn. -- Inquisitive; prying. See Inquisitive.
curiously |In a curious manner.
curiousness |1. Carefulness; painstaking. [Obs.] My father's care With curiousness and cost did train me up. Massinger. 2. The state of being curious; exactness of workmanship; ingenuity of contrivance. 3. Inquisitiveness; curiosity.
curl |1. To twist or form into ringlets; to crisp, as the hair. But curl their locks with bodkins and with braid. Cascoigne. 2. To twist or make onto coils, as a serpent's body. Of his tortuous train, Curled many a wanton wreath in sight of Eve. Milton. 3. To deck with, or as with, curls; to ornament. Thicker than the snaky locks That curledMegæra. Milton. Curling with metaphors a plain intention. Herbert. 4. To raise in waves or undulations; to ripple. Seas would be pools without the brushing air To curl the waves. Dryden. 5. (Hat Making)  To shape (the brim) into a curve.\n\n1. To contract or bend into curis or ringlets, as hair; to grow in curls or spirals, as a vine; to be crinkled or contorted; to have a curly appearance; as, leaves lie curled on the ground. Thou seest it [hair] will not curl by nature. Shak. 2. To move in curves, spirals, or undulations; to contract in curving outlines; to bend in a curved form; to make a curl or curls. \"Cirling billows.\" Dryden. Then round her slender waist he curled. Dryden. Curling smokes from village tops are seen. Pope. Gayly curl the waves before each dashing prow. Byron. He smiled a king of sickly smile, and curled up on the floor. Bret Harte. . 358 3. To play at the game called curling. [Scot.]\n\n1. A ringlet, especially of hair; anything of a spiral or winding form. Under a coronet, his flowing hair In curls on either cheek played. Milton. 2. An undulating or waving line or streak in any substance, as wood, glass, etc.; flexure; sinuosity. If the glass of the prisms . . . be without those numberless waves or curls which usually arise from the sand holes. Sir I. Newton. 3. A disease in potatoes, in which the leaves, at their first appearance, seem curled and shrunken. Blue curls. (Bot.) See under Blue.
curled |Having curls; curly; sinuous; wavy; as, curled maple (maple having fibers which take a sinnuous course). Curled hair (Com.), the hair of the manes and tails of horses, prepared for upholstery purposes. McElrath.
curledness |State of being curled; curliness.
curler |1. One who, or that which, curls. 2. A player at the game called curling. Burns.
curlew |A wading bird of the genus Numenius, remarkable for its long, slender, curved bill. Note: The common European curlew is N. arquatus. The long-billed (N. longirostris), the Hudsonian (N. Hudsonicus), and the Eskimo curlew (N. borealis, are American species. The name is said to imitate the note of the European species. Curlew Jack (Zoöl.) the whimbrel or lesser curlew. -- Curlew sandpiper (Zoöl.), a sandpiper (Tringa ferruginea, or subarquata), common in Europe, rare in America, resembling a curlew in having a long, curved bill. See Illustation in Appendix.
curliness |State of being curly.
curling |1. The act or state of that which curls; as, the curling of smoke when it rises; the curling of a ringlet; also, the act or process of one who curls something, as hair, or the brim of hats. 2. A scottish game in which heavy weights of stone or iron are propelled by hand over the ice towards a mark. Curling . . . is an amusement of the winter, and played on the ice, by sliding from one mark to another great stones of 40 to 70 pounds weight, of a hemispherical form, with an iron or wooden handle at top. The object of the player is to lay his stone as near to the mark as possible, to guard that of his partner, which has been well laid before, or to strike off that of his antagonist. Pennant (Tour in Scotland. 1772). Curling irons, Curling tong, an instrument for curling the hair; -- commonly heated when used.
curlingly |With a curl, or curls.
curly |Curling or tending to curl; having curls; full of ripples; crinkled.
curlycue |Some thing curled or spiral,, as a flourish made with a pen on paper, or with skates on the ice; a trick; a frolicsome caper. [Sometimes written carlicue.] [ Colloq. U.S.] To cut a curlycue, to make a flourish; to cut a caper. I gave a flourishing about the room and cut a curlycue with my right foot. McClintock.
curmudgeon |An avaricious, grasping fellow; a miser; a niggard; a churl. A gray-headed curmudgeon of a negro. W. Irving.
curmudgeonly |Like a curmudgeon; niggardly; churlish; as, a curmudgeonly fellow.
curmurring |Murmuring; grumbling; -- sometimes applied to the rumbling produced by a slight attack of the gripes. [Scot.] Burns.
curr |To coo. [Scot.] The owlets hoot, the owlets curr. Wordsworth.
currant |1. A small kind of seedless raisin, imported from the Levant, chiefly from Zante and Cephalonia; -- used in cookery. 2. The acid fruit or berry of the Ribes rubrum or common red currant, or of its variety, the white currant. 3. (Bot.)  A shrub or bush of several species of the genus Ribes (a genus also including the gooseberry); esp., the Ribes rubrum. Black currant,a shrub or bush (Ribes nigrum and R. floridum) and its black, strong-flavored, tonic fruit. -- Cherry currant, a variety of the red currant, having a strong, symmetrical bush and a very large berry. -- Currant borer (Zoöl.), the larva of an insect that bores into the pith and kills currant bushes; specif., the larvae of a small clearwing moth (Ægeria tipuliformis) and a longicorn beetle (Psenocerus supernotatus). -- Currant worm (Zoöl.), an insect larva which eats the leaves or fruit of the currant. The most injurious are the currant sawfly (Nematus ventricosus), introduced from Europe, and the spanworm (Eufitchia ribearia). The fruit worms are the larva of a fly (Epochra Canadensis), and a spanworm (Eupithecia). -- Flowering currant, Missouri currant, a species of Ribes (R. aureum), having showy yellow flowers.
currency |1. A continued or uninterrupted course or flow like that of a sream; as, the currency of time. [Obs.] Ayliffe. 2. The state or quality of being current; general acceptance or reception; a passing from person to person, or from hand to hand; circulation; as, a report has had a long or general currency; the currency of bank notes. 3. That which is in circulation, or is given and taken as having or representing value; as, the currency of a country; a specie currency; esp., government or bank notes circulating as a substitute for metallic money. 4. Fluency; readiness of utterance. [Obs.] 5. Current value; general estimation; the rate at which anything is generally valued. He . . . takes greatness of kingdoms according to their bulk and currency, and not after intrinsic value. Bacon. The bare name of Englishman . . . too often gave a transient currency to the worthless and ungrateful. W. Irving.
current |1. Running or moving rapidly. [Archaic] Like the current fire, that renneth Upon a cord. Gower. To chase a creature that was current then In these wild woods, the hart with golden horns. Tennyson. 2. Now passing, as time; as, the current month. 3. Passing from person to person, or from hand to hand; circulating through the community; generally received; common; as, a current coin; a current report; current history. That there was current money in Abraham's time is past doubt. Arbuthnot. Your fire-new stamp of honor is scarce current. Shak. His current value, which is less or more as men have occasion for him. Grew. 4. Commonly estimated or acknowledged. 5. Fitted for general acceptance or circulation; authentic; passable. O Buckingham, now do I play the touch To try if thou be current gold indeed. Shak. Account current. See under Account. -- Current money, lawful money. Abbott.\n\n1. A flowing or passing; onward motion. Hence: A body of fluid moving continuously in a certain direction; a stream; esp., the swiftest part of it; as, a current of water or of air; that which resembles a stream in motion; as, a current of electricity. Two such silver currents, when they join, Do glorify the banks that bound them in. Shak. The surface of the ocean is furrowed by currents, whose direction . . . the navigator should know. Nichol. 2. General course; ordinary procedure; progressive and connected movement; as, the current of time, of events, of opinion, etc. Current meter, an instrument for measuring the velocity, force, etc., of currents. -- Current mill, a mill driven by a current wheel. -- Current wheel, a wheel dipping into the water and driven by the current of a stream or by the ebb and flow of the tide. Syn. -- Stream; course. See Stream.
currently |In a current manner; generally; commonly; as, it is currently believed.
currentness |1. The quality of being current; currency; circulation; general reception. 2. Easiness of pronunciation; fluency. [Obs.] When currentness [combineth] with staidness, how can the language . . . sound other than most full of sweetness Camden.
curricle |1. A small or short course. Upon a curricle in this world depends a long course of the next. Sir T. Browne. 2. A two-wheeled chaise drawn by two horses abreast.
curriculum |1. A race course; a place for running. 2. A course; particularly, a specified fixed course of study, as in a university.
currie |See 2d & 3d Curry.
curried |1. Dressed by currying; cleaned; prepared. 2. Prepared with curry; as, curried rice, fowl, etc.
currier |One who curries and dresses leather, after it is tanned.
currish |Having the qualities, or exhibiting the characteristics, of a cur; snarling; quarrelsome; snappish; churlish; hence, also malicious; malignant; brutal. Thy currish spirit Governed a wolf. Shak. Some currish plot, -- some trick. Lockhart. -- Cur\"rish*ly, adv. -- Cur\"rish*ness, n.
curry |1. To dress or prepare for use by a process of scraping, cleansing, beating, smoothing, and coloring; -- said of leather. 2. To dress the hair or coat of (a horse, ox, or the like) with a currycomb and brush; to comb, as a horse, in order to make clean. Your short horse is soon curried. Beau. & FL. 3. To beat or bruise; to drub; -- said of persons. I have seen him curry a fellow's carcass handsomely. Beau. & FL. To curry favor, to seek to gain favor by flattery or attentions. See Favor, n.\n\n1. (Cookery)  A kind of sauce much used in India, containing garlic, pepper, ginger, and other strong spices. 2. A stew of fowl, fish, or game, cooked with curry. Curry powder (Cookery), a condiment used for making curry, formed of various materials, including strong spices, as pepper, ginger, garlic, coriander seed, etc.\n\nTo flavor or cook with curry.
currycomb |A kind of card or comb having rows of metallic teeth or serrated ridges, used in curryng a horse.\n\nTo comb with a currycomb.
curse |1. To call upon divine or supernatural power to send injury upon; to imprecate evil upon; to execrate. Thou shalt not . . . curse the ruler of thy people. Ex. xxii. 28. Ere sunset I'll make thee curse the deed. Shak. 2. To bring great evil upon; to be the cause of serious harm or unhappiness to; to furnish with that which will be a cause of deep trouble; to afflict or injure grievously; to harass or torment. On impious realms and barbarous kings impose Thy plagues, and curse 'em with such sons as those. Pope. To curse by bell, book, and candle. See under Bell.\n\nTo utter imprecations or curses; to affirm or deny with imprecations; to swear. Then began he to curse and to swear. Matt. xxi. 74. His spirits hear me, And yet I need must curse. Shak.\n\n1. An invocation of, or prayer for, harm or injury; malediction. Lady, you know no rules of charity, Which renders good for bad, blessings for curses. Shak. 2. Evil pronounced or invoked upon another, solemnly, or in passion; subjection to, or sentence of, divine condemnation. The priest shall write these curses in a book. Num. v. 23. Curses, like chickens, come home to roost. Old Proverb. 3. The cause of great harm, evil, or misfortune; that which brings evil or severe affliction; torment. The common curse of mankind, folly and ignorance. Shak. All that I eat, or drink, or shall beget, Is propagated curse. Milton. The curse of Scotland (Card Playing), the nine of diamonds. -- Not worth a curse. See under Cress. Syn. -- Malediction; imprecation; execration. See Malediction.
cursed |Deserving a curse; execrable; hateful; detestable; abominable. Let us fly this cursed place. Milton. This cursed quarrel be no more renewed. Dryden.
cursedly |In a cursed manner; miserably; in a manner to be detested; enormously. [Low]
cursedness |1. The state of being under a curse or of being doomed to execration or to evil. 2. Wickedness; sin; cursing. Chaucer. 3. Shrewishness. \"My wife's cursedness.\" Chaucer.
curser |One who curses.
curship |The state of being a cur; one who is currish. [Jocose] How durst he, I say, oppose thy curship! Hudibras.
cursitating |Moving about slightly. [R.] H. Bushnell.
cursitor |1. A courier or runner. [Obs.] \"Cursitors to and fro.\" Holland. 2. (Eng.Law)  An officer in the Court of Chancery, whose business is to make out original writs.
cursive |Running; flowing. Cursive hand,a running handwriting.\n\n1. A character used in cursive writing. 2. A manuscript, especially of the New Testament, written in small, connected characters or in a running hand; -- opposed to uncial. Shipley.
cursor |Any part of a mathematical instrument that moves or slides backward and forward upon another part.
cursorary |Cursory; hasty. [Obs.] With a cursorary eye o'erglanced the articles. Shak.
cursores |(a) An order of running birds including the ostrich, emu, and allies; the Ratitaæ. (b) A group of running spiders; the wolf spiders.
cursorial |(a) Adapted to running or walking, and not to prehension; as, the limbs of the horse are cursorial. See Illust. of Aves. (b) Of or pertaining to the Cursores.
cursorily |In a running or hasty manner; carelessly.
cursoriness |The quality of being cursory; superficial performance; as, cursoriness of view.
cursory |1. Running about; not stationary. [Obs.] 2. Characterized by haste; hastily or superficially performed; slight; superficial; careless. Events far too important to be treated in a cursory manner. Hallam.
curst |imp. & p.p. of Curse.\n\nFroward; malignant; mischievous; malicious; snarling. [Obs.] Though his mind Be ne'er so curst, his tonque is kind. Crashaw.
curstfully |Peevishly; vexatiously; detestably. [Obs.] \"Curstfully mad.\" Marston.
curstness |Peevishness; malignity; frowardness; crabbedness; surliness. [Obs.] Shak.
curt |Characterized by exessive brevity; short; rudely concise; as, curt limits; a curt answer. The curt, yet comprehensive reply. W. Irving.
curtail |To cut off the end or tail, or any part, of; to shorten; to abridge; to diminish; to reduce. I, that am curtailed of this fair proportion. Shak. Our incomes have been curtailed; his salary has been doubled. Macualay.\n\nThe scroll termination of any architectural member, as of a step, etc.
curtail dog |A dog with a docked tail; formerly, the dog of a person not qualified to course, which, by the forest laws, must have its tail cut short, partly as a mark, and partly from a notion that the tail is necessary to a dog in running; hence, a dog not fit for sporting. Hope is a curtail dog in some affairs. Shak.
curtailer |One who curtails.
curtailment |The act or result of curtailing or cutting off. Bancroft.
curtain |1. A hanging screen intended to darken or conceal, and admitting of being drawn back or up, and reclosed at pleasure; esp., drapery of cloth or lace hanging round a bed or at a window; in theaters, and like places, a movable screen for concealing the stage. 2. (Fort.)  That part of the rampart and parapet which is between two bastions or two gates. See Illustrations of Ravelin and Bastion. 3. (Arch.)  That part of a wall of a building which is between two pavilions, towers, etc. 4. A flag; an ensign; -- in contempt. [Obs.] Shak. Behind the curtain, in concealment; in secret. -- Curtain lecture, a querulous lecture given by a wife to her husband within the bed curtains, or in bed. Jerrold. A curtain lecture is worth all the sermons in the world for teaching the virtues of patience and long-suffering. W. Irving. -- The curtain falls, the performance closes. -- The curtain rises, the performance begins. -- To draw the curtain, to close ot over an object, or to remove it; hence: (a) To hide or to disclose an object. (b) To commence or close a performance. -- To drop the curtain, to end the tale, or close the performance.\n\nTo inclose as with curtains; to furnish with curtains. So when the sun in bed Curtained with cloudy red. Milton.
curtal |Curt; brief; laconic. Essays and curtal aphorisms. Milton. Curtal dog. See Curtail dog.\n\nA horse with a docked tail; hence, anything cut short. [Obs] Nares.
curtal ax |A corruption of Cutlass.
curtal friar |A friar who acted as porter at the gate of a monastery. Sir W. Scott.
curtana |The pointless sword carried before English monarchs at their coronation, and emblematically considered as the sword of mercy; -- also called the sword of Edward the Confessor.
curtate |Shortened or reduced; -- said of the distance of a planet from the sun or earth, as measured in the plane of the ecliptic, or the distance from the sun or earth to that point where a perpendicular, let fall from the planet upon the plane of the ecliptic, meets the ecliptic. Curtate cycloid. (Math.) See Cycloid.
curtation |The interval by which the curtate distance of a planet is less than the true distance.
curtein |Same as Curtana.
curtelasse |A corruption of Cutlass.
curtes |Courteous. [Obs.] Chaucer.
curtesy |the life estate which a husband has in the lands of his deceased wife, which by the common law takes effect where he has had issue by her, born alive, and capable of inheriting the lands. Mozley & W.
curtilage |A yard, courtyard, or piece of ground, included within the fence surrounding a dwelling house. Burrill.
curtle ax |A corruption of Cutlass.
curtly |In a curt manner.
curtness |The quality of bing curt.
curtsy |Same as Courtesy, an act of respect.
curule |1. Of or pertaining to a charoit. 2. (Rom. Antiq.)  Of or pertaining to a kind of chair appropriated to Roman magistrates and dignitaries; pertaining to, having, or conferring, the right to sit in the curule chair; hence, official. Note: The curule chair was usually shaped like a camp stool, and provided with curved legs. It was at first ornamented with ivory, and later sometimes made of ivory and inlaid with gold. Curule dignity right of sitting in the curule chair.
cururo |A Chilian burrowing rodent of the genus Spalacopus.
curval |Bowed; bent; curved.
curvant |Bowed; bent; curved.
curvate |Bent in a regular form; curved.
curvated |Bent in a regular form; curved.
curvation |The act of bending or crooking.
curvative |Having the margins only a little curved; -- said of leaves. Henslow.
curvature |1. The act of curving, or the state of being bent or curved; a curving or bending, normal or abnormal, as of a line or surface from a rectilinear direction; a bend; a curve. Cowper. The elegant curvature of their fronds. Darwin. 2. (Math.)  The amount of degree of bending of a mathematical curve, or the tendency at any point to depart from a tangent drawn to the curve at that point. Aberrancy of curvature (Geom.), the deviation of a curve from a curcular form. -Absolute curvature. See under Absolute. -- Angle of curvature (Geom.), one that expresses the amount of curvature of a curve. -- Chord of curvature. See under Chord. -- Circle of curvature. See Osculating circle of a curve, under Circle. -- Curvature of the spine (Med.), an abnormal curving of the spine, especially in a lateral direction. -- Radius of curvature, the radius of the circle of curvature, or osculatory circle, at any point of a curve.
curve |Bent without angles; crooked; curved; as, a curve line; a curve surface.\n\n1. A bending without angles; that wcich is bent; a flexure; as, a curve in a railway or canal. 2. (Geom.)  A line described according to some low, and having no finite portion of it a straight line. Axis of a curve. See under Axis. -- Curve of quickest descent. See Brachystochrone. -- Curve tracing (Math.), the process of determining the shape, location, singular points, and other perculiarities of a curve from its equation. -- Plane curve (Geom.), a curve such that when a plane passes through three points of the curve, it passes through all the other points of the curve. Any other curve is called a curve of double curvature, or a twisted curve.\n\nTo bend; to crook; as, to curve a line; to curve a pipe; to cause to swerve from a straight course; as, to curve a ball in pitching it.\n\nTo bend or turn gradually from a given direction; as, the road curves to the right.
curvedness |The state of being curved.
curvet |1. (Man.)  A particular leap of a horse, when he raises both his fore legs at once, equally advanced, and, as his fore legs are falling, raises his hind legs, so that all his legs are in the air at once. 2. A prank; a frolic.\n\n1. To make a curvet; to leap; to bound. 'Oft and high he did curvet.\" Drayton. 2. To leap and frisk; to frolic. Shak.\n\nTo cause to curvet. Landor.
curvicaudate |Having a curved or crooked tail.
curvicostate |Having bent ribs.
curvidentate |Having curved teeth.
curviform |Having a curved form.
curvilinead |An instrument for drawing curved lines.
curvilineal |Consisting of, or bounded by, curved lines; as, a curvilinear figure.
curvilinear |Consisting of, or bounded by, curved lines; as, a curvilinear figure.
curvilinearity |The state of being curvilinear or of being bounded by curved lines.
curvilinearly |In a curvilinear manner.
curvinerved |Having the ribs or the veins of the leaves curved; -- called also curvinervate and curve-veined.
curvirostral |Having a crooked beak, as the crossbill.
curvirostres |A group of passerine birds, including the creepers and nuthatches.
curviserial |Distributed in a curved line, as leaves along a stem.
curvity |The state of being curved; a bending in a regular form; crookedness. Holder.
curvograph |An arcograph.
cuscus |A soft grass (Pennisetum typhoideum) found in all tropical regions, used as food for men and cattle in Central Africa.
cuscus oil |Same as Vetiver oil.
cushat |The ringdove or wood pigeon. Scarce with cushat's homely song can vie. Sir W. Scott.
cushewbird |The galeated curassow. See Curassow.
cushion |1. A case or bag stuffed with some soft and elastic material, and used to sit or recline upon; a soft pillow or pad. Two cushions stuffed with straw, the seat to raise. Dryden. 2. Anything resembling a cushion in properties or use; as: (a) a pad on which gilders cut gold leaf; (b) a mass of steam in the end of the cylinder of a steam engine to receive the impact of the piston; (c) the elastic edge of a billiard table. 3. A riotous kind of dance, formerly common at weddings; -- called also cushion dance. Halliwell. Cushion capital.(Arch.) A capital so sculptured as to appear like a cushion pressed down by the weight of its entablature. (b) A name given to a form of capital, much used in the Romanesque style, modeled like a bowl, the upper part of which is cut away on four sides, leaving vertical faces. -- Cushion star (Zoöl.) a pentagonal starfish belonging to Goniaster, Astrogonium, and other allied genera; -- so called from its form.\n\n1. To seat or place on, or as on a cushion. Many who are cushioned on thrones would have remained in obscurity. Bolingbroke. 2. To furnish with cushions; as, to cushion a chaise. 3. To conceal or cover up, as under a cushion. Cushioned hammer, a dead-stroke hammer. See under Dead-stroke.
cushion tire |A thick solid-rubber tire, as for a bicycle, with a hollow groove running lengthwise on the inside.
cushionet |A little cushion.
cushionless |Hot furnished with a cushion. Rows of long, cushionless benches, supplying the place of pews. Hawthorne.
cushiony |Like a cushion; soft; pliable. A flat and cushiony noce. Dickens.
cushite |A descendant of Cush, the son of Ham and grandson of Noah.
cusk |A large, edible, marine fish (Brosmius brosme), allied to the cod, common on the northern coasts of Europe and America; -- called also tusk and torsk.
cuskin |A kind of drinking cup. [Obs.]
cusp |1. (Arch.)  A triangular protection from the intrados of an arch, or from an inner curve of tracery. 2. (Astrol.)  The beginning or first entrance of any house in the calculations of nativities, etc. 3. (Astron)  The point or horn of the crescent moon or other crescent-shaped luminary. 4. (Math.)  A multiple point of a curve at which two or more branches of the curve have a common tangent. 5. (Anat.)  A prominence or point, especially on the crown of a tooth. 6. (Bot.)  A sharp and rigid point.\n\nTo furnish with a cusp or cusps.
cuspated |Ending in a point.
cuspid |One of the canine teeth; -- so called from having but one point or cusp on the crown. See Tooth.
cuspidal |Ending in a point.
cuspidate |To make pointed or sharp.\n\nHaving a sharp end, like the point of a spear; terminating in a hard point; as, a cuspidate leaf.
cuspidated |Having a sharp end, like the point of a spear; terminating in a hard point; as, a cuspidate leaf.
cuspidor |Any ornamental vessel used as a spittoon; hence, to avoid the common term, a spittoon of any sort.
cuspis |A point; a sharp end.
cussedness |Disposition to willful wrongdoing; malignity; perversity; cantankerousness; obstinacy. [Slang or Colloq., U. S.] In her opinion it was all pure \"cussedness.\" Mrs. Humphry Ward. Disputatiousness and perversity (what the Americans call \"cussedness\"). James Bryce.
custard |A mixture of milk and eggs, sweetened, and baked or boiled. Custard apple (Bot.), a low tree or shrub of tropical America, including several species of Anona (A. squamosa, reticulata, etc.), having a roundish or ovate fruit the size of a small orange, containing a soft, yellowish, edible pulp. -- Custard coffin, pastry, or crust, which covers or coffins a custard [Obs.] Shak.
custode |See Custodian.
custodial |Relating to custody or guardianship.
custodian |One who has care or custody, as of some public building; a keeper or superintendent.
custodianship |Office or duty of a custodian.
custodier |A custodian. [Scot.] Sir W. Scott.
custody |1. A keeping or guarding; care, watch, inspection, for keeping, preservation, or security. A fleet of thirty ships for the custody of the narrow seas. Bacon. 2. Judicial or penal safe-keeping. Jailer, take him to thy custody. Shak. 3. State of being guarded and watched to prevent escape; restraint of liberty; confinement; imprisonment. What pease will be given To us enslaved, but custody severe, And stripes and arbitrary punishment Milton.
custom |1. Frequent repetition of the same act; way of acting common to many; ordinary manner; habitual practice; usage; method of doing or living. And teach customs which are not lawful. Acts xvi. 21. Moved beyong his custom, Gama said. Tennyson. A custom More honored in the breach than the observance. Shak. 2. Habitual buying of goods; practice of frequenting, as a shop, manufactory, etc., for making purchases or giving orders; business support. Let him have your custom, but not your votes. Addison. 3. (Law)  Long-established practice, considered as unwritten law, and resting for authority on long consent; usage. See Usage, and Prescription. Note: Usage is a fact. Custom is a law. There can be no custom without usage, though there may be usage without custom. Wharton. 4. Familiar aquaintance; familiarity. [Obs.] Age can not wither her, nor custom stale Her infinite variety. Shak. Custom of merchants, a system or code of customs by which affairs of commerce are regulated. -- General customs, those which extend over a state or kingdom. -- Particular customs, those which are limited to a city or district; as, the customs of London. Syn. -- Practice; fashion. See Habit, and Usage.\n\n1. To make familiar; to accustom. [Obs.] Gray. 2. To supply with customers. [Obs.] Bacon.\n\nTo have a custom. [Obs.] On a bridge he custometh to fight. Spenser.\n\n1 the customary toll,tax, or tribute. Render, therefore, to all their dues: tribute to whom tribute is due; custom to whom custom. Rom. xiii. 7. 2. pl.  Duties or tolls imposed by law on commodities, imported or exported.\n\nTo pay the customs of. [Obs.] Marlowe.
customable |1. Customary. [Obs.] Sir T. More. 2. Subject to the payment of customs; dutiable.
customableness |Quality of being customable; conformity to custom. [Obs.]
customably |Usually. [Obs.] Milton.
customarily |In a customary manner; habitually.
customariness |Quality of being customary.
customary |1. Agreeing with, or established by, custom; established by common usage; conventional; habitual. Even now I met him With customary compliment. Shak. A formal customary attendance upon the offices. South. 2. (Law)  Holding or held by custom; as, customary tenants; customary service or estate.\n\nA book containing laws and usages, or customs; as, the Customary of the Normans. Cowell.
customer |1. One who collect customs; a toll gatherer. [Obs.] The customers of the small or petty custom and of the subsidy do demand of them custom for kersey cloths. Hakluyt. 2. One who regularly or repeatedly makes purchases of a trader; a purchaser; a buyer. He has got at last the character of a good customer; by this means he gets credit for something considerable, and then never pays for it. Goldsmith. 3. A person with whom a business house has dealings; as, the customers of a bank. J. A. H. Murray. 4. A peculiar person; -- in an indefinite sense; as, a queer customer; an ugly customer. [Colloq.] Dickens. 5. A lewd woman. [Obs.] Shak.
customhouse |The building where customs and duties are paid, and where vessels are entered or cleared. Customhouse broker, an agent who acts for merchants in the business of entering and clearing goods and vessels.
custos |A keeper; a custodian; a superintendent. [Obs.] Custos rotulorum (r Etym: [LL., keeper of the rolls] (Eng. Law), the principal justice of the peace in a county, who is also keeper of the rolls and records of the sessions of the peace.
custrel |An armor-bearer to a knight. [Obs.]\n\nSee Costrel. [Obs.] Ainsworth.
custumary |See Customary. [Obs.]
