animastic |Pertaining to mind or spirit; spiritual.\n\nPsychology. [Obs.]
answer |1. To speak in defense against; to reply to in defense; as, to answer a charge; to answer an accusation. 2. To speak or write in return to, as in return to a call or question, or to a speech, declaration, argument, or the like; to reply to (a question, remark, etc.); to respond to. She answers him as if she knew his mind. Shak. So spake the apostate angel, though in pain: . . . And him thus answered soon his bold compeer. Milton. 3. To respond to satisfactorily; to meet successfully by way of explanation, argument, or justification, and the like; to refute. No man was able to answer him a word. Matt. xxii. 46. These shifts refuted, answer thine appellant. Milton. The reasoning was not and could not be answered. Macaulay. 4. To be or act in return or response to. Hence: (a) To be or act in compliance with, in fulfillment or satisfaction of, as an order, obligation, demand; as, he answered my claim upon him; the servant answered the bell. This proud king . . . studies day and night To answer all the debts he owes unto you. Shak. (b) To render account to or for. I will . . . send him to answer thee. Shak. (c) To atone; to be punished for. And grievously hath Cæzar answered it. Shak. (d) To be opposite to; to face. The windows answering each other, we could just discern the glowing horizon them. Gilpin. (e) To be or act an equivalent to, or as adequate or sufficient for; to serve for; to repay. [R.] Money answereth all things. Eccles. x. 19. (f) To be or act in accommodation, conformity, relation, or proportion to; to correspond to; to suit. Weapons must needs be dangerous things, if they answered the bulk of so prodigious a person. Swift.\n\n1. To speak or write by way of return (originally, to a charge), or in reply; to make response. There was no voice, nor any that answered. 1 Kings xviii. 26. 2. To make a satisfactory response or return. Hence: To render account, or to be responsible; to be accountable; to make amends; as, the man must answer to his employer for the money intrusted to his care. Let his neck answer for it, if there is any martial law. Shak. 3. To be or act in return. Hence: (a) To be or act by way of compliance, fulfillment, reciprocation, or satisfaction; to serve the purpose; as, gypsum answers as a manure on some soils. Do the strings answer to thy noble hand Dryden. (b) To be opposite, or to act in opposition. (c) To be or act as an equivalent, or as adequate or sufficient; as, a very few will answer. (d) To be or act in conformity, or by way of accommodation, correspondence, relation, or proportion; to conform; to correspond; to suit; -- usually with to. That the time may have all shadow and silence in it, and the place answer to convenience. Shak. If this but answer to my just belief, I 'll remember you. Shak. As in water face answereth to face, so the heart of man to man. Pro\n\n1. A reply to a change; a defense. At my first answer no man stood with me. 2 Tim. iv. 16. 2. Something said or written in reply to a question, a call, an argument, an address, or the like; a reply. A soft answer turneth away wrath. Prov. xv. 1. I called him, but he gave me no answer. Cant. v. 6. 3. Something done in return for, or in consequence of, something else; a responsive action. Great the slaughter is Here made by the Roman; great the answer be Britons must take. Shak. 4. A solution, the result of a mathematical operation; as, the answer to a problem. 5. (Law)  A counter-statement of facts in a course of pleadings; a confutation of what the other party has alleged; a responsive declaration by a witness in reply to a question. In Equity, it is the usual form of defense to the complainant's charges in his bill. Bouvier. Syn. -- Reply; rejoinder; response. See Reply.
answerable |1. Obliged to answer; liable to be called to account; liable to pay, indemnify, or make good; accountable; amenable; responsible; as, an agent is answerable to his principal; to be answerable for a debt, or for damages. Will any man argue that . . . he can not be justly punished, but is answerable only to God Swift. 2. Capable of being answered or refuted; admitting a satisfactory answer. The argument, though subtle, is yet answerable. Johnson. 3. Correspondent; conformable; hence, comparable. What wit and policy of man is answerable to their discreet and orderly course Holland. This revelation . . . was answerable to that of the apostle to the Thessalonians. Milton. 4. Proportionate; commensurate; suitable; as, an achievement answerable to the preparation for it. 5. Equal; equivalent; adequate. [Archaic] Had the valor of his soldiers been answerable, he had reached that year, as was thought, the utmost bounds of Britain. Milton.
answerableness |The quality of being answerable, liable, responsible, or correspondent.
answerably |In an answerable manner; in due proportion or correspondence; suitably.
answerer |One who answers.
answerless |Having no answer, or impossible to be answered. Byron. AN 'T An 't.  An it, that is, and it or if it. See An, conj. [Obs.] AN'T An't.  A contraction for are and am not; also used for is not; -- now usually written ain't. [Colloq. & illiterate speech.]
ant |A hymenopterous insect of the Linnæan genus Formica, which is now made a family of several genera; an emmet; a pismire. Note: Among ants, as among bees, there are neuter or working ants, besides the males and females; the former are without wings. Ants live together in swarms, usually raising hillocks of earth, variously chambered within, where they maintain a perfect system of order, store their provisions, and nurture their young. There are many species, with diverse habits, as agricultural ants, carpenter ants, honey ants, foraging ants, amazon ants, etc. The white ants or Termites belong to the Neuroptera. Ant bird (Zoöl.), one of a very extensive group of South American birds (Formicariidæ), which live on ants. The family includes many species, some of which are called ant shrikes, ant thrushes, and ant wrens. -- Ant rice (Bot.), a species of grass (Aristida oligantha) cultivated by the agricultural ants of Texas for the sake of its seed.
ant bird |See Ant bird, under Ant, n.
ant cow |Any aphid from which ants obtain honeydew.
ant egg |One of the small white egg-shaped pupæ or cocoons of the ant, often seen in or about ant-hills, and popularly supposed to be eggs.
ant thrush |(a) One of several species of tropical birds, of the Old World, of the genus Pitta, somewhat resembling the thrushes, and feeding chiefly on ants. (b) See Ant bird, under Ant.
ant- |See Anti-, prefix.
ant-bear |An edentate animal of tropical America (the Tamanoir), living on ants. It belongs to the genus Myrmecophaga.
ant-cattle |Various kinds of plant lice or aphids tended by ants for the sake of the honeydew which they secrete. See Aphips.
ant-eater |One of several species of edentates and monotremes that feed upon ants. See Ant-bear, Pangolin, Aard-vark, and Echidna.
ant-hill |A mound thrown up by ants or by termites in forming their nests.
ant-lion |A neuropterous insect, the larva of which makes in the sand a pitfall to capture ants, etc. The common American species is Myrmeleon obsoletus, the European is M. formicarius.
anta |A species of pier produced by thickening a wall at its termination, treated architecturally as a pilaster, with capital and base. Note: Porches, when columns stand between two antæ, are called in Latin in antis.
antacid |A remedy for acidity of the stomach, as an alkali or absorbent. -- a.  Counteractive of acidity.
antacrid |Corrective of acrimony of the humors.
antae |See Anta.
antaean |Pertaining to Antæus, a giant athlete slain by Hercules.
antagonism |Opposition of action; counteraction or contrariety of things or principles. Note: We speak of antagonism between two things, to or against a thing, and sometimes with a thing.
antagonist |1. One who contends with another, especially in combat; an adversary; an opponent. Antagonist of Heaven's Almigthy King. Milton. Our antagonists in these controversies. Hooker. 2. (Anat.)  A muscle which acts in opposition to another; as a flexor, which bends a part, is the antagonist of an extensor, which extends it. 3. (Med.)  A medicine which opposes the action of another medicine or of a poison when absorbed into the blood or tissues. Syn. -- Adversary; enemy; opponent; toe; competitor. See Adversary.\n\nAntagonistic; opposing; counteracting; as, antagonist schools of philosophy.
antagonistic |Opposing in combat, combating; contending or acting against; as, antagonistic forces. -- An*tag`o*nis\"tic*al*ly, adv. They were distinct, adverse, even antagonistic. Milman.
antagonistical |Opposing in combat, combating; contending or acting against; as, antagonistic forces. -- An*tag`o*nis\"tic*al*ly, adv. They were distinct, adverse, even antagonistic. Milman.
antagonize |To contend with; to oppose actively; to counteract.\n\nTo act in opposition.
antagony |Contest; opposition; antagonism. [Obs.] Antagony that is between Christ and Belial. Milton.
antalgic |Alleviating pain. -- n.  A medicine to alleviate pain; an anodyne. [R.]
antalkali |Anything that neutralizes, or that counteracts an alkaline tendency in the system. Hoopplw.
antalkaline |Anything that neutralizes, or that counteracts an alkaline tendency in the system. Hoopplw.\n\nOf power to counteract alkalies.
antambulacral |Away from the ambulacral region.
antanaclasis |(a) A figure which consists in repeating the same word in a different sense; as, Learn some craft when young, that when old you may live without craft. (b) A repetition of words beginning a sentence, after a long parenthesis; as, Shall that heart (which not only feels them, but which has all motions of life placed in them), shall that heart, etc.
antanagoge |A figure which consists in answering the charge of an adversary, by a counter charge.
antaphrodisiac |Capable of blunting the venereal appetite. -- n.  Anything that quells the venereal appetite.
antaphroditic |1. Antaphrodisiac. 2. Antisyphilitic. [R.]\n\nAn antaphroditic medicine.
antapoplectic |Good against apoplexy. -- n.  A medicine used against apoplexy.
antarchism |Opposition to government in general. [R.]
antarchist |One who opposes all government. [R.]
antarchistic |Opposed to all human government. [R.]
antarchistical |Opposed to all human government. [R.]
antarctic |Opposite to the northern or arctic pole; relating to the southern pole or to the region near it, and applied especially to a circle, distant from the pole 23º 28min. Thus we say the antarctic pole, circle, ocean, region, current, etc.
antares |The principal star in Scorpio: -- called also the Scorpion's Heart.
antarthritic |A remedy against gout.
antasthmatic |Opposing, or fitted to relieve, asthma. -- n.  A remedy for asthma.
ante |Each player's stake, which is put into the pool before (ante) the game begins.\n\nTo put up (an ante).
ante mortem |Before death; -- generally used adjectivelly; as, an ante- mortem statement; ante-mortem examination. The ante-mortem statement, or dying declaration made in view of death, by one injured, as to the cause and manner of the injury, is often receivable in evidence against one charged with causing the death.
ante- |A Latin preposition and prefix; akin to Gr. anti, Goth. and-, anda- (only in comp.), AS. and-, ond-, (only in comp.: cf. Answer, Along), G. ant-, ent- (in comp.). The Latin ante is generally used in the sense of before, in regard to position, order, or time, and the Gr. opposite, or in the place of.
anteact |A preceding act.
anteal |Being before, or in front. [R.] J. Fleming.
antecedaneous |Antecedent; preceding in time. \"Capable of antecedaneous proof.\" Barrow.
antecede |To go before in time or place; to precede; to surpass. Sir M. Hale.
antecedence |1. The act or state of going before in time; precedence. H. Spenser. 2. (Astron.)  An apparent motion of a planet toward the west; retrogradation.
antecedency |The state or condition of being antecedent; priority. Fothherby.
antecedent |1. Going before in time; prior; anterior; preceding; as, an event antecedent to the Deluge; an antecedent cause. 2. Presumptive; as, an antecedent improbability. Syn. -- Prior; previous; foregoing.\n\n1. That which goes before in time; that which precedes. South. The Homeric mythology, as well as the Homeric language, has surely its antecedents. Max Miller. 2. One who precedes or goes in front. [Obs.] My antecedent, or my gentleman usher. Massinger. 3. pl.  The earlier events of one's life; previous principles, conduct, course, history. J. H. Newman. If the troops . . . prove worthy of their antecedents, the victory is surely ours. Gen. G. McClellan. 4. (Gram.)  The noun to which a relative refers; as, in the sentence \"Solomon was the prince who built the temple,\" prince is the antecedent of who. 5. (Logic) (a) The first or conditional part of a hypothetical proposition; as, If the earth is fixed, the sun must move. (b) The first of the two propositions which constitute an enthymeme or contracted syllogism; as, Every man is mortal; therefore the king must die. 6. (Math.)  The first of the two terms of a ratio; the first or third of the four terms of a proportion. In the ratio a:b, a is the antecedent, and b the consequent.
antecedently |Previously; before in time; at a time preceding; as, antecedently to conversion. Barrow.
antecessor |1. One who goes before; a predecessor. The successor seldom prosecuting his antecessor's devices. Sir E. Sandys. 2. An ancestor; a progenitor. [Obs.]
antechamber |1. A chamber or apartment before the chief apartment and leading into it, in which persons wait for audience; an outer chamber. See Lobby. 2. A space viewed as the outer chamber or the entrance to an interior part. The mouth, the antechamber to the digestive canal. Todd & Bowman.
antechapel |The outer part of the west end of a collegiate or other chapel. Shipley.
antechoir |(a) A space inclosed or reserved at the entrance to the choir, for the clergy and choristers. (b) Where a choir is divided, as in some Spanish churches, that division of it which is the farther from the sanctuary.
antecians |See Ant.
antecommunion |A name given to that part of the Anglican liturgy for the communion, which precedes the consecration of the elements.
antecursor |A forerunner; a precursor. [Obs.]
antedate |1. Prior date; a date antecedent to another which is the actual date. 2. Anticipation. [Obs.] Donne.\n\n1. To date before the true time; to assign to an earlier date; thus, to antedate a deed or a bond is to give it a date anterior to the true time of its execution. 2. To precede in time. 3. To anticipate; to make before the true time. And antedate the bliss above. Pope. Who rather rose the day to antedate. Wordsworth.
antediluvial |Before the flood, or Deluge, in Noah's time.
antediluvian |Of or relating to the period before the Deluge in Noah's time; hence, antiquated; as, an antediluvian vehicle. -- n.  One who lived before the Deluge.
antefact |Something done before another act. [Obs.]
antefix |(a) An ornament fixed upon a frieze. (b) An ornament at the eaves, concealing the ends of the joint tiles of the roof. (c) An ornament of the cymatium of a classic cornice, sometimes pierced for the escape of water.
anteflexion |A displacement forward of an organ, esp. the uterus, in such manner that its axis is bent upon itself. T. G. Thomas.
antelope |One of a group of ruminant quadrupeds, intermediate between the deer and the goat. The horns are usually annulated, or ringed. There are many species in Africa and Asia. The antelope and wolf both fierce and fell. Spenser. Note: The common or bezoar antelope of India is Antilope bezoartica. The chamois of the Alps, the gazelle, the addax, and the eland are other species. See Gazelle. The pronghorn antelope (Antilocapra Americana) is found in the Rocky Mountains. See Pronghorn.
antelucan |Held or being before light; -- a word applied to assemblies of Christians, in ancient times of persecution, held before light in the morning. \"Antelucan worship.\" De Quincey.
antemeridian |Being before noon; in or pertaining to the forenoon. (Abbrev. a. m.)
antemetic |Tending to check vomiting. -- n.  A remedy to check or allay vomiting.
antemosaic |Being before the time of Moses.
antemundane |Being or occurring before the creation of the world. Young.
antemural |An outwork of a strong, high wall, with turrets, in front gateway (as of an old castle), for defending the entrance.
antenatal |Before birth. Shelley.
antenicene |Of or in the Christian church or era, anterior to the first council of Nice, held a. d. 325; as, antenicene faith.
antenna |A movable, articulated organ of sensation, attached to the heads of insects and Crustacea. There are two in the former, and usually four in the latter. They are used as organs of touch, and in some species of Crustacea the cavity of the ear is situated near the basal joint. In insects, they are popularly called horns, and also feelers. The term in also applied to similar organs on the heads of other arthropods and of annelids.
antennal |Belonging to the antennæ. Owen.
antenniferous |Bearing or having antennæ.
antenniform |Shaped like antennæ.
antennule |A small antenna; -- applied to the smaller pair of antennæ or feelers of Crustacea.
antenumber |A number that precedes another. [R.] Bacon.
antenuptial |Preceding marriage; as, an antenuptial agreement. Kent.
anteorbital |Same as Antorbital.
antepaschal |Pertaining to the time before the Passover, or before Easter.
antepast |A foretaste. Antepasts of joy and comforts. Jer. Taylor.
antependium |The hangings or screen in front of the altar; an altar cloth; the frontal. Smollett.
antepenult |The last syllable of a word except two, as -syl in monosyllable.
antepenultima |The last syllable of a word except two, as -syl in monosyllable.
antepenultimate |Of or pertaining to the last syllable but two. -- n.  The antepenult.
antephialtic |Good against nightmare. -- n.  A remedy nightmare. Dunglison.
antepileptic |Good against epilepsy. -- n.  A medicine for epilepsy.
antepone |To put before; to prefer. [Obs.] Bailey.
anteport |An outer port, gate, or door.
anteportico |An outer porch or vestibule.
anteposition |The placing of a before another, which, by ordinary rules, ought to follow it.
anteprandial |Preceding dinner.
antepredicament |A prerequisite to a clear understanding of the predicaments and categories, such as definitions of common terms. Chambers.
anterior |1. Before in time; antecedent. Antigonus, who was anterior to Polybius. Sir G. C. Lewis. 2. Before, or toward the front, in place; as, the anterior part of the mouth; -- opposed to posterior. Note: In comparative anatomy, anterior often signifies at or toward the head, cephalic; and in human anatomy it is often used for ventral. Syn. -- Antecedent; previous; precedent; preceding; former; foregoing.
anteriority |The state of being anterior or preceding in time or in situation; priority. Pope.
anteriorly |In an anterior manner; before.
antero- |A combining form meaning anterior, front; as, antero-posterior, front and back; antero-lateral, front side, anterior and at the side.
anteroom |A room before, or forming an entrance to, another; a waiting room.
antes |See Anta.
antestature |A small intrenchment or work of palisades, or of sacks of earth.
antestomach |A cavity which leads into the stomach, as in birds. Ray.
antetemple |The portico, or narthex in an ancient temple or church.
anteversion |A displacement of an organ, esp. of the uterus, in such manner that its whole axis is directed further forward than usual.
antevert |1. To prevent. [Obs.] Bp. Hall. 2. (Med.)  To displace by anteversion.
anthelion |A halo opposite the sun, consisting of a colored ring or rings around the shadow of the spectator's own head, as projected on a cloud or on an opposite fog bank.
anthelix |Same as Antihelix.
anthelmintic |Good against intestinal worms. -- An anthelmintic remedy. [Written also anthelminthic.]
anthem |1. Formerly, a hymn sung in alternate parts, in present usage, a selection from the Psalms, or other parts of the Scriptures or the liturgy, set to sacred music. 2. A song or hymn of praise. Milton.\n\nTo celebrate with anthems. [Poet.] Sweet birds antheming the morn. Keats.
anthemion |A floral ornament. See Palmette.
anthemis |Chamomile; a genus of composite, herbaceous plants.
anthemwise |Alternately. [Obs.] Bacon.
anther |That part of the stamen containing the pollen, or fertilizing dust, which, when mature, is emitted for the impregnation of the ovary. -- An\"ther*al, a.
antheridium |The male reproductive apparatus in the lower, consisting of a cell or other cavity in which spermatozoids are produced; -- called also spermary. -- An`ther*id\"i*al, a.
antheriferous |(a) Producing anthers, as plants. (b) Supporting anthers, as a part of a flower. Gray.
antheriform |Shaped like an anther; anther-shaped.
antherogenous |Transformed from anthers, as the petals of a double flower.
antheroid |Resembling an anther.
antherozoid |One of the mobile male reproductive bodies in the antheridia of cryptogams.
antherozooid |One of the mobile male reproductive bodies in the antheridia of cryptogams.
anthesis |The period or state of full expansion in a flower. Gray.
anthobian |A beetle which feeds on flowers.
anthobranchia |A division of nudibranchiate Mollusca, in which the gills form a wreath or cluster upon the posterior part of the back. See Nudibranchiata, and Doris.
anthocarpous |Having some portion of the floral envelopes attached to the pericarp to form the fruit, as in the checkerberry, the mulberry, and the pineapple.
anthocyanin |Same as Anthokyan.
anthodium |The inflorescence of a compound flower in which many florets are gathered into a involucrate head.
anthography |A description of flowers.
anthoid |Resembling a flower; flowerlike.
anthokyan |The blue coloring matter of certain flowers. Same as Cyanin.
antholite |A fossil plant, like a petrified flower.
anthological |Pertaining to anthology; consisting of beautiful extracts from different authors, especially the poets. He published a geographical and anthological description of all empires and kingdoms . . . in this terrestrial globe. Wood.
anthologist |One who compiles an anthology.
anthology |1. A discourses on flowers. [R.] 2. A collection of flowers; a garland. [R.] 3. A collection of flowers of literature, that is, beautiful passages from authors; a collection of poems or epigrams; -- particularly applied to a collection of ancient Greek epigrams. 4. (Gr. Ch.)  A service book containing a selection of pieces for the festival services.
anthomania |A extravagant fondness for flowers. [R.] ANTHONY'S FIRE An\"tho*ny's Fire`.  See Saint Anthony's Fire, under Saint.
anthophagous |Eating flowers; -- said of certain insects.
anthophilous |Lit., fond of flowers; hence, feeding upon, or living among, flowers.
anthophore |The stipe when developed into an internode between calyx and corolla, as in the Pink family. Gray.
anthophorous |Flower bearing; supporting the flower.
anthophyllite |A mineral of the hornblende group, of a yellowish gray or clove brown color. -- An`tho*phyl*lit\"ic, a.
anthorism |A description or definition contrary to that which is given by the adverse party. [R.]
anthotaxy |The arrangement of flowers in a cluster; the science of the relative position of flowers; inflorescence.
anthozoa |The class of the Coelenterata which includes the corals and sea anemones. The three principal groups or orders are Acyonaria, Actinaria, and Madreporaria.
anthozoan |Pertaining to the Anthozoa. -- n.  One of the Anthozoa.
anthozoic |Of or pertaining to the Anthozoa.
anthracene |A solid hydrocarbon, C6H4.C2H2.C6H4, which accompanies naphthalene in the last stages of the distillation of coal tar. Its chief use is in the artificial production of alizarin. [Written also anthracin.]
anthracene oil |A heavy green oil (partially solidifying on cooling), which distills over from coal tar at a temperature above 270º. It is the principal source of anthracene.
anthracic |Of or relating to anthrax; as, anthracic blood.
anthraciferous |Yielding anthracite; as, anthraciferous strata.
anthracite |A hard, compact variety of mineral coal, of high luster, differing from bituminous coal in containing little or no bitumen, in consequence of which it burns with a nearly non luminous flame. The purer specimens consist almost wholly of carbon. Also called glance coal and blind coal.
anthracitic |Of, pertaining to, or like, anthracite; as, anthracitic formations.
anthracnose |Any one of several fungus diseases, caused by parasitic species of the series Melanconiales, attacking the bean, grape, melon, cotton, and other plants. In the case of the grape, brown concave spots are formed on the stem and fruit, and the disease is called bird's-eye rot.
anthracoid |Resembling anthrax in action; of the nature of anthrax; as, an anthracoid microbe.
anthracomancy |Divination by inspecting a burning coal.
anthracometer |An instrument for measuring the amount of carbonic acid in a mixture.
anthracometric |Of or pertaining to an anthracometer.
anthraconite |A coal-black marble, usually emitting a fetid smell when rubbed; -- called also stinkstone and swinestone.
anthracosis |A chronic lung disease, common among coal miners, due to the inhalation of coal dust; -- called also collier's lung and miner's phthisis.
anthraquinone |A hydrocarbon, C6H4.C2O2.C6H4, subliming in shining yellow needles. It is obtained by oxidation of anthracene.
anthrax |1. (Med.) (a) A carbuncle. (b) A malignant pustule. 2. (Biol.)  A microscopic, bacterial organism (Bacillus anthracis), resembling transparent rods. [See Illust. under Bacillus.] 3. An infectious disease of cattle and sheep. It is ascribed to the presence of a rod-shaped bacterium (Bacillus anthracis), the spores of which constitute the contagious matter. It may be transmitted to man by inoculation. The spleen becomes greatly enlarged and filled with bacteria. Called also splenic fever.
anthrax vaccine |A fluid vaccine obtained by growing a bacterium (Bacterium anthracis) in beef broth. It is used to immunize animals, esp. cattle.
anthrenus |A genus of small beetles, several of which, in the larval state, are very destructive to woolen goods, fur, etc. The common \"museum pest\" is A. varius; the carpet beetle is A. scrophulariæ. The larvæ are commonly confounded with moths.
anthropic |Like or related to man; human. [R.] Owen.
anthropical |Like or related to man; human. [R.] Owen.
anthropidae |The group that includes man only.
anthropocentric |Assuming man as the center or ultimate end; -- applied to theories of the universe or of any part of it, as the solar system. Draper.
anthropogenic |Of or pertaining to anthropogeny.
anthropogeny |The science or study of human generation, or the origin and development of man.
anthropogeography |The science of the human species as to geographical distribution and environment. Broadly, it includes industrial, commercial, and political geography, and that part of ethnology which deals with distribution and physical environment. -- An`thro*po*ge*og\"ra*pher (#), n. -- An`thro*po*ge`o*graph\"ic*al (#), a.
anthropoglot |An animal which has a tongue resembling that of man, as the parrot.
anthropography |That branch of anthropology which treats of the actual distribution of the human race in its different divisions, as distinguished by physical character, language, institutions, and customs, in contradistinction to ethnography, which treats historically of the origin and filiation of races and nations. P. Cyc.
anthropoid |Resembling man; -- applied especially to certain apes, as the ourang or gorilla. -- n.  An anthropoid ape.
anthropoidal |Anthropoid.
anthropoidea |The suborder of primates which includes the monkeys, apes, and man.
anthropolatry |Man worship.
anthropolite |A petrifaction of the human body, or of any portion of it.
anthropologic |Pertaining to anthropology; belonging to the nature of man. \"Anthropologic wisdom.\" Kingsley. -- An`thro*po*log\"ic*al*ly, adv.
anthropological |Pertaining to anthropology; belonging to the nature of man. \"Anthropologic wisdom.\" Kingsley. -- An`thro*po*log\"ic*al*ly, adv.
anthropologist |One who is versed in anthropology.
anthropology |1. The science of the structure and functions of the human body. 2. The science of man; -- sometimes used in a limited sense to mean the study of man as an object of natural history, or as an animal. 3. That manner of expression by which the inspired writers attribute human parts and passions to God.
anthropomancy |Divination by the entrails of human being.
anthropometric |Pertaining to anthropometry.
anthropometrical |Pertaining to anthropometry.
anthropomorpha |The manlike, or anthropoid, apes.
anthropomorphic |Of or pertaining to anthromorphism. Hadley. -- An`thro*po*mor\"phic*al*ly, adv.
anthropomorphism |1. The representation of the Deity, or of a polytheistic deity, under a human form, or with human attributes and affections. 2. The ascription of human characteristics to things not human.
anthropomorphist |One who attributes the human form or other human attributes to the Deity or to anything not human.
anthropomorphite |One who ascribes a human form or human attributes to the Deity or to a polytheistic deity. Taylor. Specifically, one of a sect of ancient heretics who believed that God has a human form, etc. Tillotson.
anthropomorphitic |to anthropomorphism. Kitto.
anthropomorphitism |Anthropomorphism. Wordsworth.
anthropomorphize |To attribute a human form or personality to. You may see imaginative children every day anthropomorphizing. Lowell.
anthropomorphology |The application to God of terms descriptive of human beings.
anthropomorphosis |Transformation into the form of a human being.
anthropomorphous |Having the figure of, or resemblance to, a man; as, an anthromorphous plant. \"Anthromorphous apes.\" Darwin.
anthroponomics |The science of the laws of the development of the human organism in relation to other organisms and to environment. -- An`thro*po*nom\"ic*al (#), a.
anthroponomy |The science of the laws of the development of the human organism in relation to other organisms and to environment. -- An`thro*po*nom\"ic*al (#), a.
anthropopathic |Of or pertaining to anthropopathy. [R.] -- An`thro*po*path\"ic*al*ly, adv. The daring anthropopathic imagery by which the prophets often represent God as chiding, upbraiding, threatening. H. Rogers.
anthropopathical |Of or pertaining to anthropopathy. [R.] -- An`thro*po*path\"ic*al*ly, adv. The daring anthropopathic imagery by which the prophets often represent God as chiding, upbraiding, threatening. H. Rogers.
anthropopathism |The ascription of human feelings or passions to God, or to a polytheistic deity. In its recoil from the gross anthropopathy of the vulgar notions, it falls into the vacuum of absolute apathy. Hare.
anthropopathite |One who ascribes human feelings to deity.
anthropopathy |The ascription of human feelings or passions to God, or to a polytheistic deity. In its recoil from the gross anthropopathy of the vulgar notions, it falls into the vacuum of absolute apathy. Hare.
anthropophagi |Man eaters; cannibals. Shak.
anthropophagic |Relating to cannibalism or anthropophagy.
anthropophagical |Relating to cannibalism or anthropophagy.
anthropophaginian |One who east human flesh. [Ludicrous] Shak.
anthropophagite |A cannibal. W. Taylor.
anthropophagous |Feeding on human flesh; cannibal.
anthropophagy |The eating of human flesh; cannibalism.
anthropophuism |Human nature. [R.] Gladstone.
anthroposcopy |The art of discovering or judging of a man's character, passions. and inclinations from a study of his visible features. [R.]
anthroposophy |Knowledge of the nature of man; hence, human wisdom.
anthropotomical |Pertaining to anthropotomy, or the dissection of human bodies.
anthropotomist |One who is versed in anthropotomy, or human anatomy.
anthropotomy |The anatomy or dissection of the human body; androtomy. Owen.
anthypnotic |See Antihypnotic.
anthypochondriac |See Antihypochondriac.
anthysteric |See Antihysteric.
anti |A prefix meaning against, opposite or opposed to, contrary, or in place of; -- used in composition in many English words. It is often shortened to ant-; as, antacid, antarctic.
anti-american |Opposed to the Americans, their aims, or interests, or to the genius of American institutions. Marshall.
anti-federalist |One of party opposed to a federative government; -- applied particularly to the party which opposed the adoption of the constitution of the United States. Pickering.
anti-gallican |Opposed to what is Gallic or French.
anti-imperialism |Opposition to imperialism; -- applied specif., in the United States, after the Spanish-American war (1898), to the attitude or principles of those opposing territorial expansion; in England, of those, often called Little Englanders, opposing the extension of the empire and the closer relation of its parts, esp. in matters of commerce and imperial defense. -- An`ti-im*pe\"ri*al*ist, n. -- An`ti- im*pe`ri*al*is\"tic (#), a.
anti-semitism |Opposition to, or hatred of, Semites, esp. Jews. -- An`ti- Sem\"ite (#), n. -- An`ti-Sem*it\"ic (#), a.
anti-trade |A tropical wind blowing steadily in a direction opposite to the trade wind.
antiae |The two projecting feathered angles of the forehead of some birds; the frontal points.
antialbumid |A body formed from albumin by pancreatic and gastric digestion. It is convertible into antipeptone.
antialbumose |See Albumose.
antiaphrodisiac |Same as Antaphrodisiac.
antiapoplectic |Same as Antapoplectic.
antiar |A Virulent poison prepared in Java from the gum resin of one species of the upas tree (Antiaris toxicaria).
antiarin |A poisonous principle obtained from antiar. Watts.
antiasthmatic |Same as Antasthmatic.
antiattrition |Anything to prevent the effects of friction, esp. a compound lubricant for machinery, etc., often consisting of plumbago, with some greasy material; antifriction grease.
antibacchius |A foot of three syllables, the first two long, and the last short.
antibacterial |(a) Inimical to bacteria; -- applied esp. to serum for protection against bacterial diseases. (b) Opposed to the bacterial theory of disease.
antibillous |Counteractive of bilious complaints; tending to relieve biliousness.
antibody |Any of various bodies or substances in the blood which act in antagonism to harmful foreign bodies, as toxins or the bacteria producing the toxins. Normal blood serum apparently contains variousantibodies, and the introduction of toxins or of foreign cells also results in the development of their specific antibodies.
antibrachial |Of or pertaining to the antibrachium, or forearm.
antibrachium |That part of the fore limb between the brachium and the carpus; the forearm.
antibromic |An agent that destroys offensive smells; a deodorizer.
antibubonic |Good or used against bubonic plague; as, antibubonic serum, obtained from immunized horses; antibubonic vaccine, a sterilized bouillon culture of the plague bacillus; antibubonic measures.
antiburgher |One who seceded from the Burghers (1747), deeming it improper to take the Burgess oath.
antic |1. Old; antique. (Zoöl.)  \"Lords of antic fame.\" Phaer. 2. Odd; fantastic; fanciful; grotesque; ludicrous. The antic postures of a merry-andrew. Addison. The Saxons . . . worshiped many idols, barbarous in name, some monstrous, all antic for shape. Fuller.\n\n1. A buffoon or merry-andrew; one that practices odd gesticulations; the Fool of the old play. 2. An odd imagery, device, or tracery; a fantastic figure. Woven with antics and wild imagery. Spenser. 3. A grotesque trick; a piece of buffoonery; a caper. And fraught with antics as the Indian bird That writhes and chatters in her wiry cage. Wordsworth. 4. (Arch.)  A grotesque representation. [Obs.] 5. An antimask. [Obs. or R.] Performed by knights and ladies of his court In nature of an antic. Ford.\n\nTo make appear like a buffoon. [Obs.] Shak.\n\nTo perform antics.
antic-mask |An antimask. B. Jonson.
anticatarrhal |Efficacious against catarrh. -- n.  An anticatarrhal remedy.
anticathode |The part of a vacuum tube opposite the cathode. Upon it the cathode rays impinge.
anticausodic |Same as Anticausotic.
anticausotic |Good against an inflammatory fever. -- n.  A remedy for such a fever.
antichamber |See Antechamber.
antichlor |Any substance (but especially sodium hyposulphite) used in removing the excess of chlorine left in paper pulp or stuffs after bleaching.
