mercership |The business of a mercer.
mesoxalate |A salt of mesoxalic acid.
mesoxalic |Pertaining to, or designating, an acid, CH2O2(CO2H)2, obtained from amido malonic acid.
mesozoa |A group of very lowly organized, wormlike parasites, including the Dicyemata. They are found in cephalopods. See Dicyemata.
mesozoic |Belonging, or relating, to the secondary or reptilian age, or the era between the Paleozoic and Cenozoic. See Chart of Geology.\n\nThe Mesozoic age or formation.
mesprise |1. Contempt; scorn. [Obs.] 2. Etym: [Perh. for F. méprise mistake. Cf. Misprision.]  Misadventure; ill-success. [Obs.] Spenser.
mesquit |A name for two trees of the southwestern part of North America, the honey mesquite, and screw-pod mesquite. Honey mesquite. See Algaroba (b). -- Screw-pod mesquite, a smaller tree (Prosopis pubescens), having spiral pods used as fodder and sometimes as food by the Indians. -- Mesquite grass, a rich native grass in Western Texas (Bouteloua oligostachya, and other species); -- so called from its growing in company with the mesquite tree; -- called also muskit grass, grama grass.
mesquite |A name for two trees of the southwestern part of North America, the honey mesquite, and screw-pod mesquite. Honey mesquite. See Algaroba (b). -- Screw-pod mesquite, a smaller tree (Prosopis pubescens), having spiral pods used as fodder and sometimes as food by the Indians. -- Mesquite grass, a rich native grass in Western Texas (Bouteloua oligostachya, and other species); -- so called from its growing in company with the mesquite tree; -- called also muskit grass, grama grass.
mesquite bean |The pod or seed of the mesquite.
mess |Mass; church service. [Obs.] Chaucer.\n\n1. A quantity of food set on a table at one time; provision of food for a person or party for one meal; as, a mess of pottage; also, the food given to a beast at one time. At their savory dinner set Of herbs and other country messes. Milton. 2. A number of persons who eat together, and for whom food is prepared in common; especially, persons in the military or naval service who eat at the same table; as, the wardroom mess. Shak. 3. A set of four; -- from the old practice of dividing companies into sets of four at dinner. [Obs.] Latimer. 4. The milk given by a cow at one milking. [U.S.] 5. Etym: [Perh. corrupt. fr. OE. mesh for mash: cf. muss.]  A disagreeable mixture or confusion of things; hence, a situation resulting from blundering or from misunderstanding; as, he made a mess of it. [Colloq.]\n\nTo take meals with a mess; to belong to a mess; to eat (with others); as, I mess with the wardroom officers. Marryat.\n\nTo supply with a mess.
mess beef |Barreled salt beef, packed with about 80 pounds chuck and rump, two flanks, and the rest plates.
message |1. Any notice, word, or communication, written or verbal, sent from one person to another. Ehud said, I have a message from God unto thee. Judg. iii. 20. 2. Hence, specifically, an official communication, not made in person, but delivered by a messenger; as, the President's message. Message shell. See Shell.\n\nTo bear as a message. [Obs.]\n\nA messenger. [Obs.] Chaucer.
message stick |A stick, carved with lines and dots, used, esp. by Australian aborigines, to convey information.
messager |A messenger. [Obs.]
messenger |1. One who bears a message; the bearer of a verbal or written communication, notice, or invitation, from one person to another, or to a public body; specifically, an office servant who bears messages. 2. One who, or that which, foreshows, or foretells. Yon gray lines That fret the clouds are messengers of day. Shak. 3. (Naut.)  A hawser passed round the capstan, and having its two ends lashed together to form an endless rope or chain; -- formerly used for heaving in the cable. 4. (Law)  A person appointed to perform certain ministerial duties under bankrupt and insolvent laws, such as to take charge og the estate of the bankrupt or insolvent. Bouvier. Tomlins. Syn. -- Carrier; intelligencer; courier; harbinger; forerunner; precursor; herald. Messenger bird, the secretary bird, from its swiftness.
messet |A dog. [Obs. or Prov. Eng.]
messiad |A German epic poem on the Messiah, by Klopstock.
messiah |The expected king and deliverer of the Hebrews; the Savior; Christ. And told them the Messiah now was born. Milton.
messiahship |The state or office of the Messiah.
messianic |Of or relating to the Messiah; as, the Messianic office or character.
messias |The Messiah. I know that Messias cometh, which is called Christ. John iv. 25.
messidor |The tenth month of the French republican calendar dating from September 22, 1792. It began June 19, and ended July 18. See VendÉmiaire.
messieurs |Sirs; gentlemen; -- abbreviated to Messrs., which is used as the plural of Mr.
messinese |Of or pertaining to Messina, or its inhabitans.
messmate |An associate in a mess.
messuage |A dwelling house, with the adjacent buildings and curtilage, and the adjoining lands appropriated to the use of the household. Cowell. Bouvier. They wedded her to sixty thousand pounds, To lands in Kent, and messuages in York. Tennyson.
mest |Most. [Obs.] Chaucer.
mestee |The offspring of a white person and a quadroon; -- so called in the West Indies. [Written also mustee.]
mester |See Mister, a trade.
mestino |See Mestizo.
mestizo |The offspring of an Indian or a negro and a European or person of European stock. [Spanish America] Mestizo wool, wool imported from South America, and produced by mixed breeds of sheep.
mestling |A kind of brass. See Maslin. [Obs.]
mesymnicum |A repetition at the end of a stanza.
met |of Meet.\n\nof Mete, to measure. Chapman.\n\nof Mete, to dream. Chaucer.
met- |1. A prefix meaning between, with, after, behind, over, about, reversely; as, metachronism, the error of placing after the correct time; metaphor, lit., a carrying over; metathesis, a placing reversely. 2. (Chem.) A prefix denoting: (a) Other; duplicate, corresponding to; resembling; hence, metameric; as, meta-arabinic, metaldehyde. (b) (Organic Chem.) That two replacing radicals, in the benzene nucleus, occupy the relative positions of 1 and 3, 2 and 4, 3 and 5, 4 and 6, 5 and 1, or 6 and 2; as, metacresol, etc. See Ortho-, and Para-. (c) (Inorganic Chem.) Having less than the highest number of hydroxyl groups; -- said of acids; as, metaphosphoric acid. Also used adjectively. at a level above, as metaphysics, metalanguage.
meta- |1. A prefix meaning between, with, after, behind, over, about, reversely; as, metachronism, the error of placing after the correct time; metaphor, lit., a carrying over; metathesis, a placing reversely. 2. (Chem.) A prefix denoting: (a) Other; duplicate, corresponding to; resembling; hence, metameric; as, meta-arabinic, metaldehyde. (b) (Organic Chem.) That two replacing radicals, in the benzene nucleus, occupy the relative positions of 1 and 3, 2 and 4, 3 and 5, 4 and 6, 5 and 1, or 6 and 2; as, metacresol, etc. See Ortho-, and Para-. (c) (Inorganic Chem.) Having less than the highest number of hydroxyl groups; -- said of acids; as, metaphosphoric acid. Also used adjectively. at a level above, as metaphysics, metalanguage.
metabasis |1. (Rhet.)  A transition from one subject to another. 2. (Med.)  Same as Metabola.
metabola |A change or mutation; a change of disease, symptoms, or treatment.\n\nA comprehensive group of insects, including those that undegro a metamorphosis.
metabole |A change or mutation; a change of disease, symptoms, or treatment.
metabolia |A comprehensive group of insects, including those that undegro a metamorphosis.
metabolian |An insect which undergoes a metamorphosis.
metabolic |1. (Biol.)  Of or pertaining to metamorphosis; pertaining to, or involving, change. 2. (Physiol.)  Of or pertaining to metabolism; as, metabolic activity; metabolic force.
metabolisis |Metabolism. [R.]
metabolism |The act or process, by which living tissues or cells take up and convert into their own proper substance the nutritive material brought to them by the blood, or by which they transform their cell protoplasm into simpler substances, which are fitted either for excretion or for some special purpose, as in the manufacture of the digestive ferments. Hence, metabolism may be either constructive (anabolism), or destructive (katabolism).
metabolite |A product of metabolism; a substance produced by metabolic action, as urea.
metabolize |To change by a metabolic process. See Metabolism.
metabranchial |Of or pertaining to the lobe of the carapace of crabs covering the posterior branchiæ.
metacarpal |Of or pertaining to the metacarpus. -- n.  A metacarpal bone.
metacarpus |That part of the skeleton of the hand or forefoot between the carpus and phalanges. In man it consists of five bones. See Illust. of Artiodactyla.
metacenter |The point of intersection of a vertical line through the center of gravity of the fluid displaced by a floating body which is tipped through a small angle from its position of equilibrium, and the inclined line which was vertical through the center of gravity of the body when in equilibrium. Note: When the metacenter is above the center of gravity, the position of the body is stable; when below it, unstable.
metacentre |The point of intersection of a vertical line through the center of gravity of the fluid displaced by a floating body which is tipped through a small angle from its position of equilibrium, and the inclined line which was vertical through the center of gravity of the body when in equilibrium. Note: When the metacenter is above the center of gravity, the position of the body is stable; when below it, unstable.
metacetone |A colorless liquid of an agreeable odor, C6H10O, obtained by distilling a mixture of sugar and lime; -- so called because formerly regarded as a polymeric modification of acetone.
metachloral |A white, amorphous, insoluble substance regarded as a polymeric variety of chloral.
metachronism |An error committed in chronology by placing an event after its real time.
metachrosis |The power og changing color at will by the expansion of special pigment cells, under nerve influence, as seen in many reptiles, fishes, etc. Cope.
metacinnabarite |Sulphide of mercury in isometric form and black in color.
metacism |A defect in pronouncing the letter m, or a too frequent use of it.
metacrolein |A polymeric modification of acrolein obtained by heating it with caustic potash. It is a crystalline substance having an aromatic odor.
metacromion |A process projecting backward and downward from the acromion of the scapula of some mammals.
metadiscoidal |Discoidal by derivation; -- applied especially to the placenta of man and apes, because it is supposed to have been derived from a diffused placenta.
metagastric |Of or pertaining to the two posterior gastric lobes of the carapace of crabs.
metage |1. Measurement, especially of coal. De Foe. 2. Charge for, or price of, measuring. Simmonds.
metagenesis |1. (Biol.)  The change of form which one animal species undergoes in a series of successively produced individuals, extending from the one developed from the ovum to the final perfected individual. Hence, metagenesis involves the production of sexual individuals by nonsexual means, either directly or through intervening sexless generations. Opposed to monogenesis. See Alternate generation, under Generation. 2. (Biol.)  Alternation of sexual and asexual or gemmiparous generations; - - in distinction from heterogamy.
metagenetic |Of or pertaining to metagenesis.
metagenic |Metagenetic.
metagnathous |Cross-billed; -- said of certain birds, as the crossbill.
metagrammatism |Anagrammatism.
metagraphic |By or pertaining to metagraphy.
metagraphy |The art or act of rendering the letters of the alphabet of one language into the possible equivalents of another; transliteration. Stormonth.
metal |1. (Chem.)  An elementary substance, as sodium, calcium, or copper, whose oxide or hydroxide has basic rather than acid properties, as contrasted with the nonmetals, or metalloids. No sharp line can be drawn between the metals and nonmetals, and certain elements partake of both acid and basic qualities, as chromium, manganese, bismuth, etc. Note: Popularly, the name is applied to certain hard, fusible metals, as gold, silver, copper, iron, tin, lead, zinc, nickel, etc., and also to the mixed metals, or metallic alloys, as brass, bronze, steel, bell metal, etc. 2. Ore from which a metal is derived; -- so called by miners. Raymond. 3. A mine from which ores are taken. [Obs.] Slaves . . . and persons condemned to metals. Jer. Taylor. 4. The substance of which anything is made; material; hence, constitutional disposition; character; temper. Not till God make men of some other metal than earth. Shak. 5. Courage; spirit; mettle. See Mettle. Shak. Note: The allusion is to the temper of the metal of a sword blade. Skeat. 6. The broken stone used in macadamizing roads and ballasting railroads. 7. The effective power or caliber of guns carried by a vessel of war. 8. Glass in a state of fusion. Knight. 9. pl.  The rails of a railroad. [Eng.] Base metal (Chem.), any one of the metals, as iron, lead, etc., which are readily tarnished or oxidized, in contrast with the noble metals. In general, a metal of small value, as compared with gold or silver. -- Fusible metal (Metal.), a very fusible alloy, usually consisting of bismuth with lead, tin, or cadmium. -- Heavy metals (Chem.), the metallic elements not included in the groups of the alkalies, alkaline earths, or the earths; specifically, the heavy metals, as gold, mercury, platinum, lead, silver, etc. -- Light metals (Chem.), the metallic elements of the alkali and alkaline earth groups, as sodium, lithium, calcium, magnesium, etc.; also, sometimes, the metals of the earths, as aluminium. -- Muntz metal, an alloy for sheathing and other purposes, consisting of about sixty per cent of copper, and forty of zinc. Sometimes a little lead is added. It is named from the inventor. -- Prince's metal (Old Chem.), an alloy resembling brass, consisting of three parts of copper to one of zinc; -- also called Prince Rupert's metal.\n\nTo cover with metal; as, to metal a ship's bottom; to metal a road.
metalammonium |A hypothetical radical derived from ammonium by the substitution of metallic atoms in place of hydrogen.
metalbumin |A form of albumin found in ascitic and certain serous fluids. It is sometimes regarded as a mixture of albumin and mucin.
metaldehyde |A white crystalline substance isomeric with, and obtained from, acetic aldehyde by polymerization, and reconvertible into the same.
metalepsis |The continuation of a trope in one word through a succession of significations, or the union of two or more tropes of a different kind in one word.
metalepsy |Exchange; replacement; substitution; metathesis. [R.]
metaleptic |1. Of or pertaining to a metalepsis. 2. Transverse; as, the metaleptic motion of a muscle. 3. (Chem.)  Of, pertaining to, concerned in, or occurring by, metalepsy.
metaleptical |Metaleptic. -- Met`a*lep\"tic*al*ly, adv.
metallic |1. Of or pertaining to a metal; of the nature of metal; resembling metal; as, a metallic appearance; a metallic alloy. 2. (Chem.)  Of, pertaining to, or characterized by, the essential and implied properties of a metal, as contrasted with a nonmetal or metalloid; basic; antacid; positive. Metallic iron, iron in the state of the metal, as distinquished from its ores, as magnetic iron. -- Metallic paper, paper covered with a thin solution of lime, whiting, and size. When written upon with a pewter or brass pencil, the lines can hardly be effaced. -- Metallic tinking (Med.), a sound heard in the chest, when a cavity communicating with the air passages contains both air and liquid.
metallical |See Metallic. [Obs.]
metallicly |In a metallic manner; by metallic means.
metallifacture |The production and working or manufacture of metals. [R.] R. Park.
metalliferous |Producing metals; yielding metals.
metalliform |Having the form or structure of a metal.
metalline |(a) Pertaining to, or resembling, a metal; metallic; as, metalline properties. (b) Impregnated with metallic salts; chalybeate; as, metalline water. [R.]\n\nA substance of variable composition, but resembling a soft, dark-colored metal, used in the bearings of machines for obviating friction, and as a substitute for lubricants.
metallist |A worker in metals, or one skilled in metals.
metallization |The act or process of metallizing. [R.]
metallize |To impart metallic properties to; to impregnate with a metal. [R.]
metallochrome |A coloring produced by the deposition of some metallic compound; specifically, the prismatic tints produced by depositing a film of peroxide of lead on polished steel by electricity.
metallochromy |The art or process of coloring metals.
metallograph |A print made by metallography.
metallographic |Pertaining to, or by means of, metallography.
metallographist |One who writes on the subject of metals.
metallography |1. The science or art of metals and metal working; also, a treatise on metals. 2. A method of transferring impressions of the grain of wood to metallic surfaces by chemical action. Knight. 3. A substitute for lithography, in which metallic plates are used instead of stone. Knight.
metalloid |(a) Formerly, the metallic base of a fixed alkali, or alkaline earth; -- applied by Sir H. Davy to sodium, potassium, and some other metallic substances whose metallic character was supposed to be not well defined. (b) Now, one of several elementary substances which in the free state are unlike metals, and whose compounds possess or produce acid, rather than basic, properties; a nonmetal; as, boron, carbon, phosphorus, nitrogen, oxygen, sulphur, chlorine, bromine, etc., are metalloids.\n\n1. Having the appearance of a metal. 2. (Chem.)  Having the properties of a nonmetal; nonmetallic; acid; negative.
metalloidal |Metalloid.
metallophone |(a) An instrument like a pianoforte, but having metal bars instead of strings. (b) An instrument like the xylophone, but having metallic instead of wooden bars.
metallorganic |Metalorganic.
metallotherapy |Treatment of disease by applying metallic plates to the surface of the body.
metallurgic |Of or pertaining to metallurgy.
metallurgical |Of or pertaining to metallurgy.
metallurgist |One who works in metals, or prepares them for use; one who is skilled in metallurgy.
metallurgy |The art of working metals, comprehending the whole process of separating them from other matters in the ore, smelting, refining, and parting them; sometimes, in a narrower sense, only the process of extracting metals from their ores.
metalman |A worker in metals.
metalogical |Beyond the scope or province of logic.
metalorganic |Pertaining to, or denoting, any one of a series of compounds of certain metallic elements with organic radicals; as, zinc methyl, sodium ethyl, etc. [Written also metallorganic.]
metamer |Any one of several metameric forms of the same substance, or of different substances having the same composition; as, xylene has three metamers, viz., orthoxylene, metaxylene, and paraxylene.
metamere |One of successive or homodynamous parts in animals and plants; one of a series of similar parts that follow one another in a vertebrate or articulate animal, as in an earthworm; a segment; a somite. See Illust. of Loeven's larva.
metameric |1. (Chem.)  Having the same elements united in the same proportion by weight, and with the same molecular weight, but possessing a different structure and different properties; as, methyl ether and ethyl alcohol are metameric compounds. See Isomeric. Note: The existence of metameric compounds is due to the different arrangement of the same constituents in the molecule. 2. (Biol.)  Of or pertaining to a metamere or its formation; as, metameric segmentation.
metamerically |In a metameric manner.
metamerism |1. (Biol.)  The symmetry of a metameric structure; serial symmetry; the state of being made up of metameres. 2. (Chem.)  The state or quality of being metameric; also, the relation or condition of metameric compounds.
metamorphic |1. Subject to change; changeable; variable. 2. Causing a change of structure. 3. (Geol.)  Pertaining to, produced by, or exhibiting, certain changes which minerals or rocks may have undergone since their original deposition; -- especially applied to the recrystallization which sedimentary rocks have undergone through the influence of heat and pressure, after which they are called metamorphic rocks.
metamorphism |The state or quality of being metamorphic; the process by which the material of rock masses has been more or less recrystallized by heat, pressure, etc., as in the change of sedimentary limestone to marble. Murchison.
metamorphist |One who believes that the body of Christ was merged into the Deity when he ascended.
metamorphize |To metamorphose.
metamorphose |To change into a different form; to transform; to transmute. And earth was metamorphosed into man. Dryden.\n\nSame as Metamorphosis.
metamorphoser |One who metamorphoses. [R.] Gascoigne.
metamorphosic |Changing the form; transforming. [R.] Pownall.
metamorphosis |1. Change of form, or structure; transformation. 2. (Biol.)  A change in the form or function of a living organism, by a natural process of growth or development; as, the metamorphosis of the yolk into the embryo, of a tadpole into a frog, or of a bud into a blossom. Especially, that form of sexual reproduction in which an embryo undergoes a series of marked changes of external form, as the chrysalis stage, pupa stage, etc., in insects. In these intermediate stages sexual reproduction is usually impossible, but they ultimately pass into final and sexually developed forms, from the union of which organisms are produced which pass through the same cycle of changes. See Transformation. 3. (Physiol.)  The change of material of one kind into another through the agency of the living organism; metabolism. Vegetable metamorphosis (Bot.), the doctrine that flowers are homologous with leaf buds, and that the floral organs are transformed leaves.
metanauplius |A larval crustacean in a stage following the nauplius, and having about seven pairs of appendages.
metanephritic |Of or pertaining to the metanephros.
metanephros |The most posterior of the three pairs of embryonic renal organs developed in many vertebrates.
metanotum |The dorsal portion of the metaphorax of insects.
metantimonate |A salt of metantimonic acid.
metantimonic |(a) Pertaining to, or designating, an acid (formerly called antimonic acid) analogous to metaphosphoric acid, and obtained as a white amorphous insoluble substance, (HSbO3). (b) Formerly, designating an acid, which is now properly called pyroantimonic acid, and analogous to pyrophosphoric acid.
metapectic |Pertaining to, or designating, a supposed acid obtained from pectin.
metapectin |A substance obtained from, and resembling, pectin, and occurring in overripe fruits.
metapeptone |An intermediate product formed in the gastric digestion of albuminous matter.
metaphor |The transference of the relation between one set of objects to another set for the purpose of brief explanation; a compressed simile; e. g., the ship plows the sea. Abbott & Seeley. \"All the world's a stage.\" Shak. Note: The statement, \"that man is a fox,\" is a metaphor; but \"that man is like a fox,\" is a simile, similitude, or comparison.
metaphoric |Of or pertaining to metaphor; comprising a metaphor; not literal; figurative; tropical; as, a metaphorical expression; a metaphorical sense. -- Met`a*phor\"ic*al*ly, adv. -- Met`a*phor\"ic*al*ness, n.
metaphorical |Of or pertaining to metaphor; comprising a metaphor; not literal; figurative; tropical; as, a metaphorical expression; a metaphorical sense. -- Met`a*phor\"ic*al*ly, adv. -- Met`a*phor\"ic*al*ness, n.
metaphorist |One who makes metaphors.
metaphosphate |A salt of metaphosphoric acid.
metaphosphoric |Pertaining to, or designating, a monobasic acid, HPO3, analogous to nitric acid, and, by heating phosphoric acid, obtained as a crystalline substance, commonly called glacial phosphoric acid.
metaphrase |1. A verbal translation; a version or translation from one language into another, word for word; -- opposed to paraphrase. Dryden. 2. An answering phrase; repartee. Mrs. Browning.
metaphrased |Translated literally.
metaphrasis |Metaphrase.
metaphrast |A literal translator.
metaphrastic |Close, or literal.
metaphrastical |Close, or literal.
metaphysic |See Metaphysics.\n\nMetaphysical.
metaphysical |1. Of or pertaining to metaphysics. 2. According to rules or principles of metaphysics; as, metaphysical reasoning. 3. Preternatural or supernatural. [Obs.] The golden round *Which fate and metaphysical aid doth seem To have thee crowned withal. Shak.
metaphysically |In the manner of metaphysical science, or of a metaphysician. South.
metaphysician |One who is versed in metaphysics.
metaphysics |1. The science of real as distinguished from phenomenal being; ontology; also, the science of being, with reference to its abstract and universal conditions, as distinguished from the science of determined or concrete being; the science of the conceptions and relations which are necessarily implied as true of every kind of being; phylosophy in general; first principles, or the science of first principles. Note: Metaphysics is distinguished as general and special. General metaphysics is the science of all being as being. Special metaphysics is the science of one kind of being; as, the metaphysics of chemistry, of morals, or of politics. According to Kant, a systematic exposition of those notions and truths, the knowledge of which is altogether independent of experience, would constitute the science of metaphysics. Commonly, in the schools, called metaphysics, as being part of the philosophy of Aristotle, which hath that for title; but it is in another sense: for there it signifieth as much as \"books written or placed after his natural philosophy.\" But the schools take them for \"books of supernatural philosophy;\" for the word metaphysic will bear both these senses. Hobbes. Now the science conversant about all such inferences of unknown being from its known manifestations, is called ontology, or metaphysics proper. Sir W. Hamilton. Metaphysics are [is] the science which determines what can and what can not be known of being, and the laws of being, a priori. Coleridge. 2. Hence: The scientific knowledge of mental phenomena; mental philosophy; psychology. Metaphysics, in whatever latitude the term be taken, is a science or complement of sciences exclusively occupied with mind. Sir W. Hamilton. Whether, after all, A larger metaphysics might not help Our physics. Mrs. Browning.
metaphysis |Change of form; transformation.
metaplasm |A change in the letters or syllables of a word.
metaplast |A word having more than one form of the root.
metapode |The posterior division of the foot in the Gastropoda and Pteropoda.
metapodial |Of or pertaining to the metapodialia, or to the parts of the limbs to which they belong.
metapodiale |One of the bones of either the metacarpus or metatarsus.
metapodium |Same as Metapode.
metapophysis |A tubercle projecting from the anterior articular processes of some vertebræ; a mammillary process.
metapterygium |The posterior of the three principal basal cartilages in the fins of fishes. -- Me*tap`ter*yg\"i*al, a.
metasilicate |A salt of metasilicic acid.
metasilicic |Designating an acid derived from silicic acid by the removal of water; of or pertaining to such an acid. Note: The salts of metasilicic acid are often called bisilicates, in mineralogy, as Wollastonite (CaSiO3). Metasilicic acid (Chem.), a gelatinous substance, or white amorphous powder, analogous to carbonic acid, and forming many stable salts.
metasomatism |An alteration in a mineral or rock mass when involving a chemical change of the substance, as of chrysolite to serpentine; -- opposed to ordinary metamorphism, as implying simply a recrystallization. -- Met`a*so*mat\"ic, a.
metasome |One of the component segments of the body of an animal.
metastannate |A salt of metastannic acid.
metastannic |Pertaining to, or designating, a compound of tin (metastannic acid), obtained, as an isomeric modification of stannic acid, in the form of a white amorphous substance.
metastasis |1. (Theol.)  A spiritual change, as during baptism. 2. (Med.)  A change in the location of a disease, as from one part to another. Dunglison. 3. (Physiol.)  The act or process by which matter is taken up by cells or tissues and is transformed into other matter; in plants, the act or process by which are produced all of those chemical changes in the constituents of the plant which are not accompanied by a production of organic matter; metabolism.
metastatic |Of, pertaining to, or caused by, metastasis; as, a metastatic abscess; the metastatic processes of growth.
metasternal |Of or pertaining to the metasternum.
metasternum |1. (Anat.)  The most posterior element of the sternum; the ensiform process; xiphisternum. 2. (Zoöl.)  The ventral plate of the third or last segment of the thorax of insects.
metastoma |A median elevation behind the mouth in the arthropods.
metastome |A median elevation behind the mouth in the arthropods.
metatarsal |Of or pertaining to the metatarsus. -- n.  A metatarsal bone.
metatarse |Metatarsus.
metatarsus |That part of the skeleton of the hind or lower limb between the tarsus and phalanges; metatarse. It consists, in the human foot, of five bones. See Illustration in Appendix.
metate |A flat or somewhat hollowed stone upon which grain or other food is ground, by means of a smaller stone or pestle. [Southwestern U. S. & Sp. Amer.]
metathesis |1. (Gram.)  Transposition, as of the letters or syllables of a word; as, pistris for pristis; meagre for meager. 2. (Med.)  A mere change in place of a morbid substance, without removal from the body. 3. (Chem.)  The act, process, or result of exchange, substitution, or replacement of atoms and radicals; thus, by metathesis an acid gives up all or part of its hydrogen, takes on an equivalent amount of a metal or base, and forms a salt.
metathetic |Of or pertaining to metathesis.
metathetical |Of or pertaining to metathesis.
metathoracic |Of or pertaining to the metathorax.
metathorax |The last or posterior segment of the thorax in insects. See Illust. of Coleoptera.
metatitanic |Of, pertaining to, or designating, an acid of titanium analogous to metasilicic acid.
metatungstate |A salt of metatungstic acid.
metatungstic |Of, pertaining to, or designating, an acid known only in its salts (the metatungstates) and properly called polytungstic, or pyrotungstic, acid.
metavanadate |A salt of metavanadic acid.
metavanadic |Of, pertaining to, or designating, a vanadic acid analogous to metaphosphoric acid.
metaxylene |That variety of xylene, or dimethyl benzene, in which the two methyl groups occupy the meta position with reference to each other. It is a colorless inf
metayage |A system of farming on halves. [France & Italy]
metayer |One who cultivates land for a share (usually one half) of its yield, receiving stock, tools, and seed from the landlord. [France & Italy] Milman.
metazoa |Those animals in which the protoplasmic mass, constituting the egg, is converted into a multitude of cells, which are metamorphosed into the tissues of the body. A central cavity is commonly developed, and the cells around it are at first arranged in two layers, -- the ectoderm and endoderm. The group comprises nearly all animals except the Protozoa.
metazoan |One of the Metazoa.
metazoic |Of or pertaining to the Metazoa.
metazooen |One of the Metazoa.
metazoon |One of the Metazoa.
mete |Meat. [Obs.] Chaucer.\n\nTo meet. [Obs.] Chaucer.\n\nTo dream; also impersonally; as, me mette, I dreamed. [Obs.] \"I mette of him all night.\" Chaucer.\n\nTo find the quantity, dimensions, or capacity of, by any rule or standard; to measure.\n\nTo measure. [Obs.] Mark iv. 24.\n\nMeasure; limit; boundary; -- used chiefly in the plural, and in the phrase metes and bounds.
metecorn |A quantity of corn formerly given by the lord to his customary tenants, as an encouragement to, or reward for, labor and faithful service.
metely |According to measure or proportion; proportionable; proportionate. [Obs.]
metempiric |Related, or belonging, to the objects of knowledge within the province of metempirics. If then the empirical designates the province we include within the range of science, the province we exclude may be fitly styled the metempirical. G. H. Lewes.
metempirical |Related, or belonging, to the objects of knowledge within the province of metempirics. If then the empirical designates the province we include within the range of science, the province we exclude may be fitly styled the metempirical. G. H. Lewes.
metempiricism |The science that is concerned with metempirics.
metempirics |The concepts and relations which are conceived as beyond, and yet as related to, the knowledge gained by experience.
metempsychose |To translate or transfer, as the soul, from one body to another. [R.] Peacham.
metempsychosis |The passage of the soul, as an immortal essence, at the death of the animal body it had inhabited, into another living body, whether of a brute or a human being; transmigration of souls. Sir T. Browne.
metemptosis |The suppression of a day in the calendar to prevent the date of the new moon being set a day too late, or the suppression of the bissextile day once in 134 years. The opposite to this is the proemptosis, or the addition of a day every 330 years, and another every 2,400 years.
metencephalon |The posterior part of the brain, including the medulla; the afterbrain. Sometimes abbreviated to meten.
metensomatosis |The assimilation by one body or organism of the elements of another.
meteor |1. Any phenomenon or appearance in the atmosphere, as clouds, rain, hail, snow, etc. Hail, an ordinary meteor. Bp. Hall. 2. Specif.: A transient luminous body or appearance seen in the atmosphere, or in a more elevated region. The vaulty top of heaven Figured quite o'er with burning meteors. Shak. Note: The term is especially applied to fireballs, and the masses of stone or other substances which sometimes fall to the earth; also to shooting stars and to ignes fatui. Meteors are often classed as: aerial meteors, winds, tornadoes, etc.; aqueous meteors, rain, hail, snow, dew, etc.; luminous meteors, rainbows, halos, etc.; and igneous meteors, lightning, shooting stars, and the like.
meteoric |1. Of or pertaining to a meteor, or to meteors; atmospheric, as, meteoric phenomena; meteoric stones. 2. Influenced by the weather; as, meteoric conditions. 3. Flashing; brilliant; transient; like a meteor; as, meteoric fame. \"Meteoric politician.\" Craik. Meteoric iron, Meteoric stone. (Min.) See Meteorite. -- Meteoric paper, a substance of confervoid origin found floating in the air, and resembling bits of coarse paper; -- so called because formerly supposed to fall from meteors. -- Meteoric showers, periodical exhibitions of shooting stars, occuring about the 9th or 10th of August and 13th of November, more rarely in April and December, and also at some other periods.
meteorical |Meteoric.
meteorism |Flatulent distention of the abdomen; tympanites.
meteorite |A mass of stone or iron which has fallen to the earth from space; an aërolite. Note: Meteorites usually show a pitted surface with a fused crust, caused by the heat developed in their rapid passage through the earth's atmosphere. A meteorite may consist: 1. Of metallic iron, alloyed with a small percentage of nickel (meteoric iron, holosiderite). When etched this usually exhibits peculiar crystalline figures, called Widmanstätten figures. 2. Of a cellular mass of iron with imbedded silicates (mesosiderite or siderolite). 3. Of a stony mass of silicates with little iron (meteoric stone, sporadosiderite). 4. Of a mass without iron (asiderite).
meteorize |To ascend in vapors; to take the form of a meteor. Evelyn.
meteorograph |An instrument which registers meteorologic phases or conditions.
meteorographic |Of or pertaining to meteorography.
meteorography |The registration of meteorological phenomena.
meteoroid |A small body moving through space, or revolving about the sun, which on entering the earth's atmosphere would be deflagrated and appear as a meteor. These bodies [small, solid bodies] before they come into the air, I call meteoroids. H. A. Newton.
meteoroidal |Of or pertaining to a meteoroid or to meteoroids.
meteorolite |A meteoric stone; an aërolite; a meteorite.
meteorologic |Of or pertaining to the atmosphere and its phenomena, or to meteorology. Meteorological table, Meteorological register, a table or register exhibiting the state of the air and its temperature, weight, dryness, moisture, motion, etc.
meteorological |Of or pertaining to the atmosphere and its phenomena, or to meteorology. Meteorological table, Meteorological register, a table or register exhibiting the state of the air and its temperature, weight, dryness, moisture, motion, etc.
meteorologist |A person skilled in meteorology.
meteorology |The science which treats of the atmosphere and its phenomena, particularly of its variations of heat and moisture, of its winds, storms, etc.
meteoromancy |A species of divination by meteors, chiefly by thunder and lightning, which was held in high estimation by the Romans.
