trimester |A term or period of three months.
trivial |1. Found anywhere; common. [Obs.] 2. Ordinary; commonplace; trifling; vulgar. As a scholar, meantime, he was trivial, and incapable of labor. De Quincey. 3. Of little worth or importance; inconsiderable; trifling; petty; paltry; as, a trivial subject or affair. The trivial round, the common task. Keble. 4. Of or pertaining to the trivium. Trivial name (Nat. Hist.), the specific name.(Chem.) The common name, not describing the structure and from which the structure cannot be deduced; -- contrasted with systematic name.\n\nOne of the three liberal arts forming the trivium. [Obs.] Skelton. Wood.
trivialism |A trivial matter or method; a triviality. Carlyle.
triviality |1. The quality or state of being trivial; trivialness. 2. That which is trivial; a trifle. The philosophy of our times does not expend itself in furious discussions on mere scholastic trivialities. Lyon Playfair.
trivially |In a trivial manner.
trivialness |Quality or state of being trivial.
trivium |1. The three \" liberal\" arts, grammar, logic, and rhetoric; -- being a triple way, as it were, to eloquence. Note: The trivium and quadrivium together made up the seven liberal arts. See Quadrivium. 2. (Zoöl.)  The three anterior ambulacra of echinoderms, collectively.
triweekly |Occurring or appearing three times a week; thriceweekly; as, a triweekly newspaper. -- adv.  Three times a week. -- n.  A triweekly publication. Note: This is a convenient word, but is not legitimately formed. It should mean occurring once in three weeks, as triennial means once in three years. Cf. Biweekly.
troad |See Trode. [Obs.]
troat |To cry, as a buck in rutting time.\n\nThe cry of a buck in rutting time.
trocar |A stylet, usually with a triangular point, used for exploring tissues or for inserting drainage tubes, as in dropsy. [Written also trochar.]
trocha |A line of fortifications, usually rough, constructed to prevent the passage of an enemy across a region. [Sp. Amer.]
trochaic |A trochaic verse or measure. Dryden.\n\nOf or pertaining to trochees; consisting of trochees; as, trochaic measure or verse.
trochaical |Of or pertaining to trochees; consisting of trochees; as, trochaic measure or verse.
trochal |Resembling a wheel. Trochal disk (Zoöl.), the cephalic disk of a rotifer. It is usually surrounded by a fringe of cilia.
trochanter |1. (Anat.)  One of two processes near the head of the femur, the outer being called the great trochanter, and the inner the small trochanter. 2. (Zoöl.)  The third joint of the leg of an insect, or the second when the trochantine is united with the coxa.
trochanteric |Of or pertaining to one or both of the trochanters.
trochantine |The second joint of the leg of an insect, -- often united with the coxa.
trochar |See Trocar.
troche |A medicinal tablet or lozenge; strictly, one of circular form.
trochee |A foot of two syllables, the first long and the second short, as in the Latin word ante, or the first accented and the second unaccented, as in the English word motion; a choreus.
trochil |The crocodile bird. The crocodile . . . opens his chaps to let the trochil in to pick his teeth, which gives it the usual feeding. Sir T. Herbert.
trochili |A division of birds comprising the humming birds.
trochilic |OF or pertaining to rotary motion; having power to draw out or turn round. \"By art trochilic.\" Camden.
trochilics |The science of rotary motion, or of wheel work. Wilkins.
trochilidist |One who studies, or is versed in, the nature and habits of humming birds, or the Trochilidæ. Gould.
trochilos |The crocodile bird, or trochil.
trochilus |1. (Zoöl.) (a) A genus of humming birds. It Formerly included all the known species. (b) Any one of several species of wrens and kinglets. [Obs.] (c) The crocodile bird. 2. (Arch.)  An annular molding whose section is concave, like the edge of a pulley; -- called also scotia.
troching |One of the small branches of a stag's antler.
trochiscus |A kind of tablet or lozenge; a troche.
trochisk |See Trochiscus. [Obs.] Bacon.
trochite |A wheel-like joint of the stem of a fossil crinoid.
trochlea |1. (Mach.)  A pulley. [Obs.] 2. (Anat.)  A pulley, or a structure resembling a pulley; as, the trochlea, or pulleylike end, of the humerus, which articulates with the ulna; or the trochlea, or fibrous ring, in the upper part of the orbit, through which the superior oblique, or trochlear, muscle of the eye passes.
trochlear |Shaped like, or resembling, a pulley; pertaining to, or connected with, a trochlea; as, a trochlear articular surface; the trochlear muscle of the eye. Trochlear nerve. See Pathetic nerve, under Pathetic.
trochleary |Pertaining to, or connected with, a trochlea; trochlear; as, the trochleary, or trochlear, nerve.
trochoid |The curve described by any point in a wheel rolling on a line; a cycloid; a roulette; in general, the curve described by any point fixedly connected with a moving curve while the moving curve rolls without slipping on a second fixed curve, the curves all being in one plane. Cycloids, epicycloids, hypocycloids, cardioids, etc., are all trochoids.\n\n1. (Anat.)  Admitting of rotation on an axis; -- sometimes applied to a pivot joint like that between the atlas and axis in the vertebral column. 2. (Zoöl.)  Top-shaped; having a flat base and conical spire; -- said of certain shells. 3. (Zoöl.)  Of or pertaining to the genus Trochus or family Trochidæ.
trochoidal |1. (Geom.)  Of or pertaining to a trochoid; having the properties of a trochoid. 2. (Anat. & Zoöl.)  See Trochoid, a.
trochometer |A contrivance for computing the revolutions of a wheel; an odometer.
trochosphere |A young larval form of many annelids, mollusks, and bryozoans, in which a circle of cilia is developed around the anterior end.
trochus |Any one of numerous species of marine univalve shells belonging to Trochus and many allied genera of the family Trochidæ. Some of the species are called also topshells.
troco |An old English game; -- called also lawn billiards.
trod |imp. & p. p. of Tread.
trodden |p. p. of Tread.
trode |imp. of Tread. On burnished hooves his war-horse trode. Tennyson.\n\nTread; footing. [Written also troad.][Obs.] Spenser.
troglodyte |1. (Ethnol.)  One of any savage race that dwells in caves, instead of constructing dwellings; a cave dweller. Most of the primitive races of man were troglodytes. In the troglodytes' country there is a lake, for the hurtful water it beareth called the \"mad lake.\" Holland. 2. (Zoöl.)  An anthropoid ape, as the chimpanzee. 3. (Zoöl.)  The wren.
troglodytes |1. (Zoöl.)  A genus of apes including the chimpanzee. 2. (Zoöl.)  A genus of singing birds including the common wrens.
troglodytic |Of or pertaining to a troglodyte, or dweller in caves.
troglodytical |Of or pertaining to a troglodyte, or dweller in caves.
trogon |Any one of numerous species of beautiful tropical birds belonging to the family Trogonidæ. They are noted for the brilliant colors and the resplendent luster of their plumage. Note: Some of the species have a train of long brilliant feathers lying over the tail and consisting of the upper tail coverts. Unlike other birds having two toes directed forward and two backward, they have the inner toe turned backward. A few species are found in Africa and India, but the greater number, including the most brilliant species, are found in tropical America. See Illust. of Quesal.
trogonoid |Like or pertaining to the trogons.
trogue |A wooden trough, forming a drain. Raymond.
troic |Pertaining to Troy; Trojan. Gladstone.
troilite |Native iron protosulphide, FeS. It is known only in meteoric irons, and is usually in imbedded nodular masses of a bronze color.
troilus |A large, handsome American butterfly (Euphoeades, or Papilio, troilus). It is black, with yellow marginal spots on the front wings, and blue spots on the rear wings.
troilus butterfly |A large American butterfly (Papilio troilus). It is black, with yellow marginal spots on the front wings, and blue on the rear.
trois point |The third point from the outer edge on each player's home table.
trojan |Of or pertaining to ancient Troy or its inhabitants. -- n.  A native or inhabitant of Troy. Tim jumped like a Trojan from the bed. Finnegan's Wake (Irish song)
troll |A supernatural being, often represented as of diminutive size, but sometimes as a giant, and fabled to inhabit caves, hills, and like places; a witch. Troll flower. (Bot.) Same as Globeflower (a).\n\n1. To move circularly or volubly; to roll; to turn. To dress and troll the tongue, and roll the eye. Milton. 2. To send about; to circulate, as a vessel in drinking. Then doth she troll to the bowl. Gammer Gurton's Needle. Troll the brown bowl. Sir W. Scott. 3. To sing the parts of in succession, as of a round, a catch, and the like; also, to sing loudly or freely. Will you troll the catch Shak. His sonnets charmed the attentive crowd, By wide-mouthed mortaltrolled aloud. Hudibras. 4. To angle for with a trolling line, or with a book drawn along the surface of the water; hence, to allure. 5. To fish in; to seek to catch fish from. With patient angle trolls the finny deep. Goldsmith.\n\n1. To roll; to run about; to move around; as, to troll in a coach and six. 2. To move rapidly; to wag. F. Beaumont. 3. To take part in trolling a song. 4. To fish with a rod whose line runs on a reel; also, to fish by drawing the hook through the water. Their young men . . . trolled along the brooks that abounded in fish. Bancroft.\n\n1. The act of moving round; routine; repetition. Burke. 2. A song the parts of which are sung in succession; a catch; a round. Thence the catch and troll, while \"Laughter, holding both his sides,\" sheds tears to song and ballad pathetic on the woes of married life. Prof. Wilson. 3. A trolley. Troll plate (Mach.), a rotative disk with spiral ribs or grooves, by which several pieces, as the jaws of a chuck, can be brought together or spread radially.
troller |One who trolls.
trolley |(a) A form of truck which can be tilted, for carrying railroad materials, or the like. [Eng.] (b) A narrow cart that is pushed by hand or drawn by an animal. [Eng.] (c) (Mach.) A truck from which the load is suspended in some kinds of cranes. (d) (Electric Railway) A truck which travels along the fixed conductors, and forms a means of connection between them and a railway car. Trolley line, (a) A trolley(e). (b) The path along which a trolley(e) runs. -- Trolley car, a wheeled car powered by electricity drawn from a trolley, and thus constrained to follow the trolley lines.
trolley car |A motor car to which the current is conveyed by means of a trolley.
trolley wire |A heavy conducting wire on which the trolley car runs and from which it receives the current.
trollmydames |The game of nineholes. [Written also trolmydames.] [Obs.] Shak.
trollop |A stroller; a loiterer; esp., an idle, untidy woman; a slattern; a slut; a whore.
trollopee |A kind of loose dress for women. [Obs.] Goldsmith.
trolly |(a) A form of truck which can be tilted, for carrying railroad materials, or the like. [Eng.] (b) A narrow cart that is pushed by hand or drawn by an animal. [Eng.] (c) (Mach.) A truck from which the load is suspended in some kinds of cranes. (d) (Electric Railway) A truck which travels along the fixed conductors, and forms a means of connection between them and a railway car. Trolley line, (a) A trolley(e). (b) The path along which a trolley(e) runs. -- Trolley car, a wheeled car powered by electricity drawn from a trolley, and thus constrained to follow the trolley lines.
trombone |1. (Mus.)  A powerful brass instrument of the trumpet kind, thought by some to be the ancient sackbut, consisting of a tube in three parts, bent twice upon itself and ending in a bell. The middle part, bent double, slips into the outer parts, as in a telescope, so that by change of the vibrating length any tone within the compass of the instrument (which may be bass or tenor or alto or even, in rare instances, soprano) is commanded. It is the only member of the family of wind instruments whose scale, both diatonic and chromatic, is complete without the aid of keys or pistons, and which can slide from note to note as smoothly as the human voice or a violin. Softly blown, it has a rich and mellow sound, which becomes harsh and blatant when the tones are forced; used with discretion, its effect is often solemn and majestic. 2. (Zoöl.)  The common European bittern.
trommel |A revolving buddle or sieve for separating, or sizing, ores. Raymond.
tromp |A blowing apparatus, in which air, drawn into the upper part of a vertical tube through side holes by a stream of water within, is carried down with the water into a box or chamber below which it is led to a furnace. [Written also trompe, and trombe.]\n\nA trumpet; a trump. [Obs.] Chaucer.
trompe |A trumpet; a trump. [Obs.] Chaucer.
trompil |An aperture in a tromp.
tron |See 3d Trone, 2. [Obs. or Scott.]
trona |A native double salt, consisting of a combination of neutral and acid sodium carbonate, Na2CO3.2HNaCO3.2H2O, occurring as a white crystalline fibrous deposit from certain soda brine springs and lakes; -- called also urao, and by the ancients nitrum.
tronage |A toll or duty paid for weighing wool; also, the act of weighing wool. [Obs.] Nares.
tronator |An officer in London whose duty was to weigh wool. [Obs.]
trone |A throne. [Obs.] Chaucer.\n\nA small drain. [Obs. or Prov. Eng.]\n\n1. A steelyard. [Prov. Eng.] 2. A form of weighing machine for heavy wares, consisting of two horizontal bars crossing each other, beaked at the extremities, and supported by a wooden pillar. It is now mostly disused. [Scot.] Jamieson. Trone stone, a weight equivalent to nineteen and a half pounds. [Scot.] -- Trone weight, a weight formerly used in Scotland, in which a pound varied from 21 to 28 ounces avoirdupois.
trones |1. A steelyard. [Prov. Eng.] 2. A form of weighing machine for heavy wares, consisting of two horizontal bars crossing each other, beaked at the extremities, and supported by a wooden pillar. It is now mostly disused. [Scot.] Jamieson. Trone stone, a weight equivalent to nineteen and a half pounds. [Scot.] -- Trone weight, a weight formerly used in Scotland, in which a pound varied from 21 to 28 ounces avoirdupois.
troop |1. A collection of people; a company; a number; a multitude. That which should accompany old age --As honor, love, obedience, troops of friends --I must not look to have. Shak. 2. Soldiers, collectively; an army; -- now generally used in the plural. Farewell the plumed troop, and the big wars. Shak. His troops moved to victory with the precision of machines. Macaulay. 3. (Mil.)  Specifically, a small body of cavalry, light horse, or dragoons, consisting usually of about sixty men, commanded by a captain; the unit of formation of cavalry, corresponding to the company in infantry. Formerly, also, a company of horse artillery; a battery. 4. A company of stageplayers; a troupe. W. Coxe. 5. (Mil.)  A particular roll of the drum; a quick march.\n\n1. To move in numbers; to come or gather in crowds or troops. \"Armies . . . troop to their standard.\" Milton. 2. To march on; to go forward in haste. Nor do I, as an enemy to peace, Troop in the throngs of military men. Shak.
troopbird |Any troupial.
trooper |A soldier in a body of cavalry; a cavalryman; also, the horse of a cavalryman.
troopfowl |The American scaup duck. [Local, U. S.]
troopial |Same as Troupial.
troopmeal |By troops; in crowds. [Obs.] So, troopmeal, Troy pursued a while, laying on with swords and darts. Chapman.
troopship |A vessel built or fitted for the conveyance of troops; a transport. [Eng.]
troostite |Willemite.
tropaeolin |A name given to any one of a series of orange-red dyestuffs produced artificially from certain complex sulphonic acid derivatives of azo and diazo hydrocarbons of the aromatic series; -- so called because of the general resemblance to the shades of nasturtium (Tropæolum).
trope |(a) The use of a word or expression in a different sense from that which properly belongs to it; the use of a word or expression as changed from the original signification to another, for the sake of giving life or emphasis to an idea; a figure of speech. (b) The word or expression so used. In his frequent, long, and tedious speeches, it has been said that a trope never passed his lips. Bancroft. Note: Tropes are chiefly of four kinds: metaphor, metonymy, synecdoche, and irony. Some authors make figures the genus, of which trope is a species; others make them different things, defining trope to be a change of sense, and figure to be any ornament, except what becomes so by such change.
tropeine |Any one of a series of artificial ethereal salts derived from the alkaloidal base tropine.
trophi |The mouth parts of an insect, collectively, including the labrum, labium, maxillæ, mandibles, and lingua, with their appendages.
trophic |Of or connected with nutrition; nitritional; nourishing; as, the so-called trophic nerves, which have a direct influence on nutrition.
trophied |Adorned with trophies. The trophied arches, storied halls, invade. Pope.
trophonian |Of or pertaining to Trophonius, his architecture, or his cave and oracle.
trophosome |The nutritive zooids of a hydroid, collectively, as distinguished from the gonosome, or reproductive zooids.
trophosperm |The placenta.
trophy |1. (Gr. & Rom. Antiq.)  A sign or memorial of a victory raised on the field of battle, or, in case of a naval victory, on the nearest land. Sometimes trophies were erected in the chief city of the conquered people. Note: A trophy consisted originally of some of the armor, weapons, etc., of the defeated enemy fixed to the trunk of a tree or to a post erected on an elevated site, with an inscription, and a dedication to a divinity. The Romans often erected their trophies in the Capitol. 2. The representation of such a memorial, as on a medal; esp. (Arch.), an ornament representing a group of arms and military weapons, offensive and defensive. 3. Anything taken from an enemy and preserved as a memorial of victory, as arms, flags, standards, etc. Around the posts hung helmets, darts, and spears, And captive chariots, axes, shields, and bars, And broken beaks of ships, the trophies of their wars. Dryden. 4. Any evidence or memorial of victory or conquest; as, every redeemed soul is a trophy of grace. Note: Some trophies(5) are unique, temporary possession of the same object passing to the new victors of some periodic contest in subsequent occurrences. Others are objects of little inherent worth, given by the authority sponsoring the contest to the victor. A trophy is sometimes shaped like a cup, and in such cases may be called a cup, as the America's Cup (in Yacht racing). Trophy money, a duty paid formerly in England, annually, by housekeepers, toward providing harness, drums, colors, and the like, for the militia.
tropic |Of, pertaining to, or designating, an acid obtained from atropine and certain other alkaloids, as a white crystalline substance slightly soluble in water.\n\n1. (Astron.)  One of the two small circles of the celestial sphere, situated on each side of the equator, at a distance of 23º 28min, and parallel to it, which the sun just reaches at its greatest declination north or south, and from which it turns again toward the equator, the northern circle being called the Tropic of Cancer, and the southern the Tropic of Capricorn, from the names of the two signs at which they touch the ecliptic. 2. (Geog.) (a) One of the two parallels of terrestrial latitude corresponding to the celestial tropics, and called by the same names. (b) pl.  The region lying between these parallels of latitude, or near them on either side. The brilliant flowers of the tropics bloom from the windows of the greenhouse and the saloon. Bancroft.\n\nOf or pertaining to the tropics; tropical. Tropic bird (Zoöl.), any one of three species of oceanic belonging to the genus Phaëthon, found chiefly in tropical seas. They are mostly white, and have two central tail feathers very long and slender. The yellow-billed tropic bird. Phaëthon flavirostris (called also boatswain), is found on the Atlantic coast of America, and is common at the Bermudas, where it breeds.
tropical |1. Of or pertaining to the tropics; characteristic of, or incident to, the tropics; being within the tropics; as, tropical climate; tropical latitudes; tropical heat; tropical diseases. 2. Etym: [From Trope.]  Rhetorically changed from its exact original sense; being of the nature of a trope; figurative; metaphorical. Jer. Taylor. The foundation of all parables is some analogy or similitude between the tropical or allusive part of the parable and the thing intended by it. South. Tropic month. See Lunar month, under Month. -- Tropic year, the solar year; the period occupied by the sun in passing from one tropic or one equinox to the same again, having a mean length of 365 days, 5 hours, 48 minutes, 46.0 seconds, which is 20 minutes, 23.3 seconds shorter than the sidereal year, on account of the precession of the equinoxes.
tropically |In a tropical manner; figuratively; metaphorically.
tropidine |An alkaloid, C8H13N, obtained by the chemical dehydration of tropine, as an oily liquid having a coninelike odor.
tropilidene |A liquid hydrocarbon obtained by the dry distillation of tropine with quicklime. It is regarded as being homologous with dipropargyl.
tropine |A white crystalline alkaloid, C8H15NO, produced by decomposing atropine.
tropism |Modification of the direction of growth.
tropist |One who deals in tropes; specifically, one who avoids the literal sense of the language of Scripture by explaining it as mere tropes and figures of speech.
tropologic |Characterized by tropes; varied by tropes; tropical. Burton. -- Trop`o*log\"ic*al*ly, adv.
tropological |Characterized by tropes; varied by tropes; tropical. Burton. -- Trop`o*log\"ic*al*ly, adv.
tropologize |To use in a tropological sense, as a word; to make a trope of. [R.] If . . . Minerva be tropologized into prudence. Cudworth.
tropology |A rhetorical mode of speech, including tropes, or changes from the original import of the word. Sir T. Browne.
troppo |Too much; as, allegro ma non troppo, brisk but not too much so.
trossers |Trousers. [Obs.] Shak.
trot |1. To proceed by a certain gait peculiar to quadrupeds; to ride or drive at a trot. See Trot, n. 2. Fig.: To run; to jog; to hurry. He that rises late must trot all day, and will scarcely overtake his business at night. Franklin.\n\nTo cause to move, as a horse or other animal, in the pace called a trot; to cause to run without galloping or cantering. To trot out, to lead or bring out, as a horse, to show his paces; hence, to bring forward, as for exhibition. [Slang.]\n\n1. The pace of a horse or other quadruped, more rapid than a walk, but of various degrees of swiftness, in which one fore foot and the hind foot of the opposite side are lifted at the same time. \"The limbs move diagonally in pairs in the trot.\" Stillman (The Horse in Motion). 2. Fig.: A jogging pace, as of a person hurrying. 3. One who trots; a child; a woman. An old trot with ne'er a tooth. Shak.
troth |1. Belief; faith; fidelity. Bid her alight And hertroth plight. Shak. 2. Truth; verity; veracity; as, by my troth. Shak. In troth, thou art able to instruct gray hairs. Addison. 3. Betrothal.
trothless |Faitless; false; treacherous. Thrall to the faithless waves and trothless sky. Fairfax.
trothplight |To betroth. [Obs.]\n\nBetrothed; espoused; affianced. [Obs.] Shak.\n\nThe act of betrothing, or plighting faith; betrothing. [Obs.] Shak.
trothplighted |Having fidelity pledged.
trotter |1. One that trots; especially, a horse trained to be driven in trotting matches. 2. The foot of an animal, especially that of a sheep; also, humorously, the human foot.
trottoir |Footpath; pavement; sidewalk. Headless bodies trailed along the trottoirs. Froude.
trou-de-loup |A pit in the form of an inverted cone or pyramid, constructed as an obstacle to the approach of an enemy, and having a pointed stake in the middle. The pits are called also trapholes.
troubadour |One of a school of poets who flourished from the eleventh to the thirteenth century, principally in Provence, in the south of France, and also in the north of Italy. They invented, and especially cultivated, a kind of lyrical poetry characterized by intricacy of meter and rhyme, and usually of a romantic, amatory strain.
troublable |Causing trouble; troublesome. [Obs.] troublable ire.\" Chaucer.
trouble |1. To put into confused motion; to disturb; to agitate. An angel went down at a certain season into the pool, and troubled the water. John v. 4. God looking forth will trouble all his host. Milton. 2. To disturb; to perplex; to afflict; to distress; to grieve; to fret; to annoy; to vex. Now is my soul troubled. John xii. 27. Take the boy to you; he so troubles me 'T is past enduring. Shak. Never trouble yourself about those faults which age will cure. Locke. 3. To give occasion for labor to; -- used in polite phraseology; as, I will not trouble you to deliver the letter. Syn. -- To disturb; perplex; afflict; distress; grieve; harass; annoy; tease; vex; molest.\n\nTroubled; dark; gloomy. [Obs.] \"With full trouble cheer.\" Chaucer.\n\n1. The state of being troubled; disturbance; agitation; uneasiness; vexation; calamity. Lest the fiend . . . some new trouble raise. Milton. Foul whisperings are abroad; unnatural deeds Do breed unnatural troubles. Shak. 2. That which gives disturbance, annoyance, or vexation; that which afflicts. 3. (Mining)  A fault or interruption in a stratum. To get into trouble, to get into difficulty or danger. [Colloq.] -- To take the trouble, to be at the pains; to exert one's self; to give one's self inconvenience. She never took the trouble to close them. Bryant. Syn. -- Affliction; disturbance; perplexity; annoyance; molestation; vexation; inconvenience; calamity; misfortune; adversity; embarrassment; anxiety; sorrow; misery.
troubler |One who troubles or disturbs; one who afflicts or molests; a disturber; as, a troubler of the peace. The rich troublers of the world's repose. Waller.
troublesome |Giving trouble or anxiety; vexatious; burdensome; wearisome. This troublesome world. Book of Common Prayer. These troublesome disguises that we wear. Milton. My mother will never be troublesome to me. Pope. Syn. -- Uneasy; vexatious; perplexing; harassing; annoying; disgusting; irksome; afflictive; burdensome; tiresome; wearisome; importunate. -- Trou\"ble*some*ly, adv. -- Trou\"ble*some*ness, n.
troublous |Full of trouble; causing trouble. \"In doubtful time of troublous need.\" Byron. A tall ship tossed in troublous seas. Spenser.
trough |1. A long, hollow vessel, generally for holding water or other liquid, especially one formed by excavating a log longitudinally on one side; a long tray; also, a wooden channel for conveying water, as to a mill wheel. 2. Any channel, receptacle, or depression, of a long and narrow shape; as, trough between two ridges, etc. Trough gutter (Arch.), a rectangular or V-shaped gutter, usually hung below the eaves of a house. -- Trough of the sea, the depression between two waves.
trough-shell |Any bivalve shell of the genus Mactra. See Mactra.
troul |See Troll.
trounce |To punish or beat severely; to whip smartly; to flog; to castigate. [Colloq.]
troupe |A company or troop, especially the company pf performers in a play or an opera.
troupial |Any one of numerous species of bright-colored American birds belonging to Icterus and allied genera, especially Icterus icterus, a native of the West Indies and South America. Many of the species are called orioles in America. [Written also troopial.]
trouse |Trousers. [Obs.] Spenser.
trousering |Cloth or material for making trousers.
trousers |A garment worn by men and boys, extending from the waist to the knee or to the ankle, and covering each leg separately. pants; used attrib. in the singular, as a trouser leg; see pant
trousse |A case for small implements; as, a surgeon's trousse.
trousseau |The collective lighter equipments or outfit of a bride, including clothes, jewelry, and the like; especially, that which is provided for her by her family.
trout |1. (Zoöl.)  Any one of numerous species of fishes belonging to Salmo, Salvelinus, and allied genera of the family Salmonidæ. They are highly esteemed as game fishes and for the quality of their flesh. All the species breed in fresh water, but after spawning many of them descend to the sea if they have an opportunity. Note: The most important European species are the river, or brown, trout (Salmo fario), the salmon trout, and the sewen. The most important American species are the brook, speckled, or red-spotted, trout (Salvelinus fontinalis) of the Northern United States and Canada; the red-spotted trout, or Dolly Varden (see Malma); the lake trout (see Namaycush); the black-spotted, mountain, or silver, trout (Salmo purpuratus); the golden, or rainbow, trout (see under Rainbow); the blueback trout (see Oquassa); and the salmon trout (see under Salmon.) The European trout has been introduced into America. 2. (Zoöl.)  Any one of several species of marine fishes more or less resembling a trout in appearance or habits, but not belonging to the same family, especially the California rock trouts, the common squeteague, and the southern, or spotted, squeteague; -- called also salt-water trout, sea trout, shad trout, and gray trout. See Squeteague, and Rock trout under Rock. Trout perch (Zoöl.), a small fresh-water American fish (Percopsis guttatus), allied to the trout, but resembling a perch in its scales and mouth.
trout-colored |White, with spots of black, bay, or sorrel; as, a trout-colored horse.
troutbird |The American golden plover. [Local, U. S.]
troutlet |A little trout; a troutling. Hood.
troutling |A little trout; a troutlet.
trouvere |One of a school of poets who flourished in Northern France from the eleventh to the fourteenth century.
trouveur |One of a school of poets who flourished in Northern France from the eleventh to the fourteenth century.
trover |(a) The gaining possession of any goods, whether by finding or by other means. (b) An action to recover damages against one who found goods, and would not deliver them to the owner on demand; an action which lies in any case to recover the value of goods wrongfully converted by another to his own use. In this case the finding, though alleged, is an immaterial fact; the injury lies in the conversion.
trow |A boat with an open well amidships. It is used in spearing fish. Knight.\n\nTo believe; to trust; to think or suppose. [Archaic] So that ye trow in Christ, and you baptize. Chaucer. A better priest, I trow, there nowhere none is. Chaucer. It never yet was worn, I trow. Tennyson. Note: I trow, or trow alone, was formerly sometimes added to questions to express contemptuous or indignant surprise. What tempest, I trow, threw this whale . . . ashore Shak. What is the matter, trow Shak.
trowel |1. A mason's tool, used in spreading and dressing mortar, and breaking bricks to shape them. 2. A gardener's tool, somewhat like a scoop, used in taking up plants, stirring the earth, etc. 3. (Founding)  A tool used for smoothing a mold. Trowel bayonet. See Spade bayonet, under Spade. -- Fish trowel. See Fish slice, under Fish.
troweled |Formed with a trowel; smoothed with a trowel; as, troweled stucco, that is, stucco laid on and ready for the reception of paint. [Written also trowelled.]
trowelful |As much as a trowel will hold; enough to fill a trowel.
trowl |See Troll.
trowsed |Wearing trousers. [Obs.]
trowsers |Same as Trousers.
troy |Troy weight. Troy weight, the weight which gold and silver, jewels, and the like, are weighed. It was so named from Troyes, in France, where it was first adopted in Europe. The troy ounce is supposed to have been brought from Cairo during the crusades. In this weight the pound is divided into 12 ounces, the ounce into 20 pennyweights, and the pennyweight into 24 grains; hence, the troy ounce contains 480 grains, and the troy pound contains 5760 grains. The avoirdupois pound contains 7000 troy grains; so that 175 pounds troy equal 144 pounds avoirdupois, or 1 pound troy = 0.82286 of a pound avoirdupois, and 1 ounce troy = 1apothecaries' weight, used in weighing medicines, etc. In the standard weights of the United States, the troy ounce is divided decimally down to the
troyounce |See Troy ounce, under Troy weight, above, and under Ounce.
truage |1. A pledge of truth or peace made on payment of a tax. [Obs.] Ld. Berners. 2. A tax or impost; tribute. [Obs.] R. of Gloucester.
truancy |The act of playing truant, or the state of being truant; as, addicted to truancy.
truand |See Truant. [Obs.]
truant |One who stays away from business or any duty; especially, one who stays out of school without leave; an idler; a loiterer; a shirk. Dryden. I have a truant been to chivalry. Shak. To play truant, to stray away; to loiter; especially, to stay out of school without leave. Sir T. Browne\n\nWandering from business or duty; loitering; idle, and shirking duty; as, a truant boy. While truant Jove, in infant pride, Played barefoot on Olympus' side. Trumbull.\n\nTo idle away time; to loiter, or wander; to play the truant. Shak. By this means they lost their time and truanted on the fundamental grounds of saving knowledge. Lowell.\n\nTo idle away; to waste. [R.] I dare not be the author Of truanting the time. Ford.
truantly |Like a truant; in idleness.
truantship |The conduct of a truant; neglect of employment; idleness; truancy. Ascham.
trub |A truffle. [Obs.]
trubtall |A short, squat woman. [Obs.] Ainsworth.
trubu |An East India herring (Clupea toli) which is extensively caught for the sake of its roe and for its flesh.
truce |1. (Mil.)  A suspension of arms by agreement of the commanders of opposing forces; a temporary cessation of hostilities, for negotiation or other purpose; an armistice. 2. Hence, intermission of action, pain, or contest; temporary cessation; short quiet. Where he may likeliest find Truce to his restless thoughts. Milton. Flag of truce (Mil.), a white flag carried or exhibited by one of the hostile parties, during the flying of which hostilities are suspended. -- Truce of God, a suspension of arms promulgated by the church, which occasionally took place in the Middle Ages, putting a stop to private hostilities at or within certain periods.
trucebreaker |One who violates a truce, covenant, or engagement.
truceless |Without a truce; unforbearing. Two minds in one, and each a truceless guest. H. Brooke.
truchman |An interpreter. See Dragoman. [Obs.] And after, by the tongue, Her truchman, she reports the mind's each throw. B. Jonson.
trucidation |The act of killing. [Obs.]
