klinometer |See Clinometer.
know |Knee. [Obs.] Chaucer.\n\n1. To perceive or apprehend clearly and certainly; to understand; to have full information of; as, to know one's duty. O, that a man might know The end of this day's business ere it come! Shak. There is a certainty in the proposition, and we know it. Dryden. Know how sublime a thing it is To suffer and be strong. Longfellow. 2. To be convinced of the truth of; to be fully assured of; as, to know things from information. 3. To be acquainted with; to be no stranger to; to be more or less familiar with the person, character, etc., of; to possess experience of; as, to know an author; to know the rules of an organization. He hath made him to be sin for us, who knew no sin. 2 Cor. v. 21. Not to know me argues yourselves unknown. Milton. 4. To recognize; to distinguish; to discern the character of; as, to know a person's face or figure. Ye shall know them by their fruits. Matt. vil. 16. And their eyes were opened, and they knew him. Luke xxiv. 31. To know Faithful friend from flattering foe. Shak. At nearer view he thought he knew the dead. Flatman. 5. To have sexual commerce with. And Adam knew Eve his wife. Gen. iv. 1. Note: Know is often followed by an objective and an infinitive (with or without to) or a participle, a dependent sentence, etc. And I knew that thou hearest me always. John xi. 42. The monk he instantly knew to be the prior. Sir W. Scott. In other hands I have known money do good. Dickens. To know how, to understand the manner, way, or means; to have requisite information, intelligence, or sagacity. How is sometimes omitted. \" If we fear to die, or know not to be patient.\" Jer. Taylor.\n\n1. To have knowledge; to have a clear and certain perception; to possess wisdom, instruction, or information; -- often with of. Israel doth not know, my people doth not consider. Is. i. 3. If any man will do his will, he shall know of the doctrine, whether it be of God, or whether I speak of myself. John vii. 17. The peasant folklore of Europe still knows of willows that bleed and weep and speak when hewn. Tylor. 2. To be assured; to feel confident. To know of,to ask, to inquire. [Obs.] \" Know of your youth, examine well your blood.\" Shak.
know-all |One who knows everything; hence, one who makes pretension to great knowledge; a wiseacre; -- usually ironical. [Colloq. or R.]
know-nothing |A member of a secret political organization in the United States, the chief objects of which were the proscription of foreigners by the repeal of the naturalization laws, and the exclusive choice of native Americans for office. Note: The party originated in 1853, and existed for about three years. The members of it were called Know-nothings, because they replied \"I don't know,\" to any questions asked them in reference to the party.
know-nothingism |The doctrines, principles, or practices, of the Know-nothings.
knowable |That may be known; capable of being discovered, understood, or ascertained. Thus mind and matter, as known or knowable, are only two different series of phenomena or qualities. Sir W. Hamilton.
knowableness |The state or quality of being knowable. Locke.
knower |One who knows. Shak.
knowing |1. Skilful; well informed; intelligent; as, a knowing man; a knowing dog. The knowing and intelligent part of the world. South. 2. Artful; cunning; as, a knowing rascal. [Colloq.]\n\nKnowledge; hence, experience. \" In my knowing.\" Shak. This sore night Hath trifled former knowings. Shak.
knowingly |1. With knowledge; in a knowing manner; intelligently; consciously; deliberately; as, he would not knowingly offend. Strype. 2. By experience. [Obs.] Shak.
knowingness |The state or quality of being knowing or intelligent; shrewdness; skillfulness.
knowleche |See Knowl, edge. We consider and knowleche that we have offended. Chaucer.
knowleching |Knowledge. [Obs.] Chaucer.
knowledge |1. The act or state of knowing; clear perception of fact, truth, or duty; certain apprehension; familiar cognizance; cognition. Knowledge, which is the highest degree of the speculative faculties, consists in the perception of the truth of affirmative or negative propositions. Locke. 2. That which is or may be known; the object of an act of knowing; a cognition; -- chiefly used in the plural. There is a great difference in the delivery of the mathematics, which are the most abstracted of knowledges. Bacon. Knowledges is a term in frequent use by Bacon, and, though now obsolete, should be revived, as without it we are compelled to borrow \"cognitions\" to express its import. Sir W. Hamilton. To use a word of Bacon's, now unfortunately obsolete, we must determine the relative value of knowledges. H. Spencer. 3. That which is gained and preserved by knowing; instruction; acquaintance; enlightenment; learning; scholarship; erudition. Knowledge puffeth up, but charity edifieth. 1 Cor. viii. 1. Ignorance is the curse of God; -Knowledge, the wing wherewith we fly to heaven. Shak. 4. That familiarity which is gained by actual experience; practical skill; as, a knowledge of life. Shipmen that had knowledge of the sea. 1 Kings ix. 27. 5. Scope of information; cognizance; notice; as, it has not come to my knowledge. Why have I found grace in thine eyes, that thou shouldst take knowledge of me Ruth ii. 10. 6. Sexual intercourse; -- usually preceded by carnal; as, carnal knowledge. Syn. -- See Wisdom.\n\nTo acknowledge. [Obs.] \"Sinners which knowledge their sins.\" Tyndale.
known |of Know.
knubs |Waste silk formed in winding off the threads from a cocoon.
knuckle |1. The joint of a finger, particularly when made prominent by the closing of the fingers. Davenant. 2. The kneejoint, or middle joint, of either leg of a quadruped, especially of a calf; -- formerly used of the kneejoint of a human being. With weary knuckles on thy brim she kneeled sadly down. Golding. 3. The joint of a plant. [Obs.] Bacon. 4. (Mech.)  The joining pars of a hinge through which the pin or rivet passes; a knuckle joint. 5. (Shipbuilding)  A convex portion of a vessel's figure where a sudden change of shape occurs, as in a canal boat, where a nearly vertical side joins a nearly flat bottom. 6. A contrivance, usually of brass or iron, and furnished with points, worn to protect the hand, to add force to a blow, and to disfigure the person struck; as, brass knuckles; -- called also knuckle duster. [Slang.] Knuckle joint (Mach.), a hinge joint, in which a projection with an eye, on one piece, enters a jaw between two corresponding projections with eyes, on another piece, and is retained by a pin which passes through the eyes and forms the pivot. -- Knuckle of veal (Cookery), the lower part of a leg of veal, from the line of the body to the knuckle.\n\nTo yield; to submit; -- used with down, to, or under. To knuckle to. (a) To submit to in a contest; to yield to. [Colloq.] See To knock under, under Knock, v. i. (b) To apply one's self vigorously or earnestly to; as, to knuckle to work. [Colloq.]\n\nTo beat with the knuckles; to pommel. [R.] Horace Smith.
knuckled |Jointed. [Obs.] Bacon.
knuff |A lout; a clown. [Obs.] The country knuffs, Hob, Dick, and Hick, With clubs and clouted shoon. Hayward.
knur |A knurl. Woodward.
knurl |A contorted knot in wood; a crossgrained protuberance; a nodule; a boss or projection. 2. One who, or that which, is crossgrained.\n\nTo provide with ridges, to assist the grasp, as in the edge of a flat knob, or coin; to mill.
knurled |1. Full of knots; gnarled. 2. Milled, as the head of a screw, or the edge of a coin.
knurly |Full of knots; hard; tough; hence, capable of enduring or resisting much.
knurry |Full of knots. [Obs.] Drayton.
koaita |Same as Coaita.
koala |A tailless marsupial (Phascolarctos cinereus), found in Australia. The female carries her young on the back of her neck. Called also Australian bear, native bear, and native sloth.
kob |Any one of several species of African antelopes of the genus Kobus, esp. the species Kobus sing-sing.
koba |Any one of several species of African antelopes of the genus Kobus, esp. the species Kobus sing-sing.
kobalt |See Cobalt.
kobellite |A blackish gray mineral, a sulphide of antimony, bismuth, and lead.
kobold |A kind of domestic spirit in German mythology, corresponding to the Scottish brownie and the English Robin Goodfellow.
kodak |A kind of portable camera.
koel |Any one of several species of cuckoos of the genus Eudynamys, found in India, the East Indies, and Australia. They deposit their eggs in the nests of other birds.
koff |A two-masted Dutch vessel.
koftgari |Ornamental work produced by inlaying steel with gold, -- a variety of damascening much used in the arts of India.
kohinoor |A famous diamond, surrendered to the British crown on the annexation of the Punjab. According to Hindoo legends, it was found in a Golconda mine, and has been the property of various Hindoo and Persian rulers.
kohl |A mixture of soot and other ingredients, used by Egyptian and other Eastern women to darken the edges of the eyelids.
kohl-rabi |A variety of cabbage, in which the edible part is a large, turnip-shaped swelling of the stem, above the surface of the ground.
kohnur |A famous diamond, surrendered to the British crown on the annexation of the Punjab. According to Hindoo legends, it was found in a Golconda mine, and has been the property of various Hindoo and Persian rulers.
kokama |The gemsbok.
koklass |Any pheasant of the genus Pucrasia. The birds of this genus inhabit India and China, and are distinguished by having a long central and two lateral crests on the head. Called also pucras.
kokoon |The gnu.
kola |Same as Cola, Cola nut.
kola nut |Same as Cola, Cola nut.
kolarian |An individual of one of the races of aboriginal inhabitants which survive in Hindostan. -- a.  Of or pertaining to the Kolarians.
kolinsky |Among furriers, any of several Asiatic minks; esp., Putorius sibiricus, the yellowish brown pelt of which is valued, esp. for the tail, used for making artists' brushes. Trade names for the fur are red sable and Tatar sable.
koluschan |Designating, or pert. to, a linguistic stock of North American Indians comprising the Tlinkit tribes of the Alexander Archipelago of southeastern Alaska and adjacent coast lands. Their language bears some affinity to Mexican tongues.
kolushan |Designating, or pert. to, a linguistic stock of North American Indians comprising the Tlinkit tribes of the Alexander Archipelago of southeastern Alaska and adjacent coast lands. Their language bears some affinity to Mexican tongues.
komenic |Of or pertaining to, or designating, an acid derived from meconic acid. [Written also comenic.]
komtok |An African freshwater fish (Protopterus annectens), belonging to the Dipnoi. It can breathe air by means of its lungs, and when waters dry up, it encases itself in a nest of hard mud, where it remains till the rainy season. It is used as food.
kon |To know. See Can, and Con. [Obs.] Ye konnen thereon as much as any man. Chaucer.
konite |See Conite.
konseal |A form of capsule for inclosing a dose of medicine that is offensive, caustic, or the like.
konze |A large African antelope (Alcelaphus Lichtensteini), allied to the hartbeest, but having shorter and flatter horns, and lacking a black patch on the face.
koodoo |A large South African antelope (Strepsiceros kudu). The males have graceful spiral horns, sometimes four feet long. The general color is reddish or grayish brown, with eight or nine white bands on each side, and a pale dorsal stripe. The old males become dark bluish gray, due to the skin showing through the hair. The females are hornless. Called also nellut. [Written also kudu.]
kookoom |The oryx or gemsbok. [Written also kookaam.]
koolokamba |A west African anthropoid ape (Troglodytes koolokamba, or T. Aubryi), allied to the chimpanzee and gorilla, and, in some respects, intermediate between them.
koolslaa |See Coleslaw.
koord |See Kurd.
koordish |See Kurdish.
koorilian |Same as Kurilian.
kop |Hill; mountain. [South Africa]
kopeck |A small Russian coin. One hundred kopecks make a rouble, worth about sixty cents. [Written also kopek, copec, and copeck.]
kopje |A hillock; a small kop. [South Africa] The colloqual Dutch pronunciation as here given is the usual one in South Africa.
koran |The Scriptures of the Mohammedans, containing the professed revelations to Mohammed; -- called also Alcoran. [Written also Kuran or Quran.]
korin |The gazelle.
korrigum |A West African antelope (Damalis Senegalensis), allied to the sassaby. It is reddish gray, with a black face, and a black stripe on the outside of the legs above the knees.
kosher |Ceremonially clean, according to Jewish law; --applied to food, esp. to meat of animals slaughtered according to the requirements of Jewish law. Opposed to tref. Hence, designating a shop, store, house, etc., where such food is sold or used.\n\nKosher food; also, a kosher shop.\n\nTo prepare in conformity with the requirements of the Jewish law, as meat.
kosmos |See Cosmos. Gladstone.
kotow |The prostration made by mandarins and others to their superiors, either as homage or worship, by knocking the forehead on the ground. There are degrees in the rite, the highest being expressed by three knockings. [China]kowtow S. W. Williams.\n\nTo perform the kotow.kowtow
koulan |A wild horse (Equus, or Asinus, onager) inhabiting the plants of Central Asia; -- called also gour, khur, and onager. [Written also kulan.] Note: It is sometimes confounded with the dziggetai, to which it is closely related. It is gray in winter, but fulvous in summer. It has a well defined, dark, dorsal stripe, and a short, erect mane. In size, it is intermediate between the horse and ass.
koumiss |An intoxicating fermented or distilled liquor originally made by the Tartars from mare's or camel's milk. It can be obtained from any kind of milk, and is now largely made in Europe. [Written also koumyss, kumiss, kumish, and kumys.] Koumiss has from time immemorial served the Tartar instead of wine or spirits. J. H. Newman.
kousso |An Abyssinian rosaceous tree (Brayera anthelmintica), the flowers of which are used as a vermifuge. [Written also cusso and kosso.]
kowtow |The same as Kotow. I have salaamed and kowtowed to him. H. James.
kra |A long-tailed ape (Macacus cynomolgus) of India and Sumatra. It is reddish olive, spotted with black, and has a black tail.
kraal |1. A collection of huts within a stockade; a village; sometimes, a single hut. [South Africa] 2. An inclosure into which are driven wild elephants which are to be tamed and educated. [Ceylon]
krait |A very venomous snake of India (Bungarus coeruleus), allied to the cobra. Its upper parts are bluish or brownish black, often with narrow white streaks; the belly is whitish.
kraken |A fabulous Scandinavian sea monster, often represented as resembling an island, but sometimes as resembling an immense octopus. To believe all that has been said of the sea serpent or kraken, would be credulity; to reject the possibility of their existence, would be presumption. Goldsmith. Like a kraken huge and black. Longfellow.
krakowiak |A lively Polish dance. See Cracovienne.
krameria |A genus of spreading shrubs with many stems, from one species of which (K. triandra), found in Peru, rhatany root, used as a medicine, is obtained.
krameric |Pertaining to, or derived from, Krameria (rhatany); as, krameric acid, usually called ratanhia-tannic acid.
krang |The carcass of a whale after the blubber has been removed. [Written also crang and kreng.]
kranging hook |A hook for holding the blubber while cutting it away. [Written also cranging hook.]
kreatic |See Creatic.
kreatin |See Creatin.
kreatinin |See Creatinin.
kreel |See Creel.
kremlin |The citadel of a town or city; especially, the citadel of Moscow, a large inclosure which contains imperial palaces, cathedrals, churches, an arsenal, etc. [Russia]
krems |A variety of white lead. See Krems lead, under Lead, n.
kreng |See Krang.
kreosote |See Creosote.
kreutzer |A small copper coin formerly used in South Germany; also, a small Austrian copper coin. [Written also kreuzer.]
kriegsspiel |A game of war, played for practice, on maps. Farrow.
kris |A Malay dagger. See Creese.
krishna |The most popular of the Hindoo divinities, usually held to be the eighth incarnation of the god Vishnu.
kritarchy |The rule of the judges over Israel. Samson, Jephthah, Gideon, and other heroes of the kritarchy. Southey.
krokidolite |See Crocidolite.
krone |A coin of Denmark, Norway, and Sweden, of the value of about twenty-eight cents. See Crown, n., 9.
krooman |One of a negro tribe of Liberia and the adjacent coast, whose members are much employed on shipboard.
kruller |See Cruller.
krumhorn |(a) A reed instrument of music of the cornet kind, now obsolete (see Cornet, 1, a.) (b) A reed stop in the organ; -- sometimes called cremona.
krummhorn |(a) A reed instrument of music of the cornet kind, now obsolete (see Cornet, 1, a.) (b) A reed stop in the organ; -- sometimes called cremona.
krupp gun |. A breech-loading steel cannon manufactured at the works of Friedrich Krupp, at Essen in Prussia. Guns of over eight-inch bore are made up of several concentric cylinders; those of a smaller size are forged solid. Knight.
krupp process |(a) A process practiced by Friedrich Krupp,  Essen, Germany, for washing pig iron, differing from the Bell process in using manganese as well as iron oxide, and performed in a Pernot furnace. Called also the Bell-Krupp process. (b) A process for the manufacture of steel armor plates, invented or practiced by Krupp, the details of which are secret. It is understood to involve the addition of chromium as well as nickel to the metal, and to include a treatment like that of the Harvey process with unknown variations or additions. The product is mentioned by some authors, as improved Harvey, or Harvey-Krupp armor plate.
kruppize |To treat by, or subject to, the Krupp process.
kryolite |See Cryolite.
krypton |An inert gaseous element of the argon group, occurring in air to the extent of about one volume in a million. It was discovered by Ramsay and Travers in 1898. Liquefying point, -- 152º C.; symbol, Kr; atomic weight, 83.0.
ksar |See Czar.
kshatriya |The military caste, the second of the four great Hindoo castes; also, a member of that caste. See Caste. [India]
kshatruya |The military caste, the second of the four great Hindoo castes; also, a member of that caste. See Caste. [India]
kuda |The East Indian tapir. See Tapir.
kudos |Glory; fame; renown; praise. W. H. Russel.\n\nTo praise; to extol; to glorify. \"Kudos'd egregiously.\" [R.] Southey.
kudu |See Koodoo.
kufic |See Cufic.
kukang |The slow lemur. See Lemur.
kuklux |The name adopted in the southern part of the United States by a secret political organization, active for several years after the close of the Civil War, and having for its aim the repression of the political power of the freedmen; -- called also Kuklux Klan.
kulan |See Koulan.
kulturkampf |Lit., culture war; -- a name, originating with Virchow (1821 -- 1902), given to a struggle between the the Roman Catholic Church and the German government, chiefly over the latter's efforts to control educational and ecclesiastical appointments in the interest of the political policy of centralization. The struggle began with the passage by the Prussian Diet in May, 1873, of the so-called May laws, or Falk laws, aiming at the regulation of the clergy. Opposition eventually compelled the government to change its policy, and from 1880 to 1887 laws virtually nullifying the May laws were enacted.
kumish |See Koumiss.
kumiss |See Koumiss.
kummel |A Russian and German liqueur, consisting of a sweetened spirit flavored with caraway seeds.
kumquat |A small tree of the genus Citrus (C. Japonica) growing in China and Japan; also, its small acid, orange-colored fruit used for preserves.
kupfernickel |Copper-nickel; niccolite. See Niccolite.
kurd |A native or inhabitant of a mountainous region of Western Asia belonging to the Turkish and Persian monarchies. [Written also Koord.]
kurdish |Of or pertaining to the Kurds. [Written also Koordish.]
kurilian |Of or pertaining to the Kurile Islands, a chain of islands in the Pacific ocean, extending from the southern extremity of Kamschatka to Yesso. -- n.  A native or an inhabitant of the Kurile Islands. [Written also Koorilian.]
kuro-siwo |See Japan Current, above.
kursaal |A public hall or room, for the use of visitors at watering places and health resorts in Germany.
kusimanse |A carnivorous animal (Crossarchus obscurus) of tropical Africa. It its allied to the civets. Called also kusimansel, and mangue.
kuskus |See Vetiver.
kussier |(Mus.) A Turkish instrument of music, with a hollow body covered with skin, over which five strings are stretched. [Written also kussir.]
kutauss |The India civet (Viverra zibetha).
kutch |The packet of vellum leaves in which the gold is first beaten into thin sheets.\n\nSee Catechu.
ky |Kine. [Scot.] See Kee, Kie, and Kine.
kyaboca wood |(a) Amboyna wood. (b) Sandalwood (Santalum album).
kyack |A pack sack to be swung on either side of a packsaddle. [Western U. S.]
kyanite |See Cyanite.
kyanize |To render (wood) proof against decay by saturating with a solution of corrosive sublimate in open tanks, or under pressure.
kyanol |(a) Aniline. [Obs.] (b) A base obtained from coal tar. Ure.
kyanophyll |Same as Cyanophyll.
kyar |Cocoanut fiber, or the cordage made from it. See Coir.
kyaw |A daw. [Scot.]
kyd |p. p. of Kythe.
kydde |imp. of Kythe, to show. [Obs.] Chaucer. Note: Spenser erroneously uses kydst to mean \"knowest.\",
  "pillwort |Any plant of the genus Pilularia; minute aquatic cryptograms, with small pill-shaped fruit; -- sometimes called peppergrass.
kyke |To look steadfastly; to gaze. [Obs.] [Written also kike, keke.] This Nicholas sat ever gaping upright, As he had kyked on the newe moon. Chaucer.
kyley |A variety of the boomerang.
kyloes |The cattle of the Hebrides, or of the Highlands. [Scot.] Sir W. Scott.
kymnel |See Kimnel. [Obs.] Chapman.
kymograph |An instrument for measuring, and recording graphically, the pressure of the blood in any of the blood vessels of a living animal; -- called also kymographion.
kymographic |Of or pertaining to a kymograph; as, a kymographic tracing.
kymric |See Cymric, a. & n.
kymry |See Cymry.
kynrede |Kindred. [Obs.] Chaucer.
kynurenic |Pertaining to, or designating, an acid obtained from the urine of dogs. By decomposition the acid yields a nitrogenous base (called kynurin) and carbonic acid. [Written also cynurenic.]
kyrie |See Kyrie eleison.
kyrie eleison |1. (R. C. Ch.)  Greek words, meaning \"Lord, have mercy upon us,\" used in the Mass, the breviary offices, the litany of the saints, etc. Addis & Arnold. 2. The name given to the response to the Commandments, in the service of the Church of England and of the Protestant Episcopal Church.
kyrielle |A litany beginning with the words. \"Kyrie eleison.\" Shipley.
kyriolexy |The use of literal or simple expressions, as distinguished from the use of figurative or obscure ones. Krauth-Fleming.
kyriological |Serving to denote objects by conventional signs or alphabetical characters; as, the original Greek alphabet of sixteen letters was called kyriologic, because it represented the pure elementary sounds. See Curiologic. [Written also curiologic and kuriologic.] Note: The term is also applied, as by Warburton, to those Egyptian hieroglyphics, in which a part is put conventionally for the whole, as in depicting a battle by two hands, one holding a shield and the other a bow.
kyriology |The use of literal or simple expressions, as distinguished from the use of figurative or obscure ones. Krauth-Fleming.
kythe |To make known; to manifest; to show; to declare. [Obs: or Scot.] For gentle hearte kytheth gentilesse. Chaucer.\n\nTo come into view; to appear. [Scot.] It kythes bright . . . because all is dark around it. Sir W. Scott.
kytomiton |See Karyomiton.
kytoplasma |See Karyoplasma.
l |1. L is the twelfth letter of the English alphabet, and a vocal consonant. It is usually called a semivowel or liquid. Its form and value are from the Greek, through the Latin, the form of the Greek letter being from the Phoenician, and the ultimate origin prob. Egyptian. Etymologically, it is most closely related to r and u; as in pilgrim, peregrine, couch (fr. collocare), aubura (fr. LL. alburnus). Note: At the end of monosyllables containing a single vowel, it is often doubled, as in fall, full, bell; but not after digraphs, as in foul, fool, prowl, growl, foal. In English words, the terminating syllable le is unaccented, the e is silent, and l is preceded by a voice glide, as in able, eagle, pronounced a''b'l, ''g'l. See Guide to Pronunciation, § 241. 2. As a numeral, L stands for fifty in the English, as in the Latin language. For 50 the Romans used the Chalcidian chi, I. Taylor (The Alphabet).\n\n1. An extension at right angles to the length of a main building, giving to the ground plan a form resembling the letter L; sometimes less properly applied to a narrower, or lower, extension in the direction of the length of the main building; a wing. [Written also ell.] 2. (Mech.)  A short right-angled pipe fitting, used in connecting two pipes at right angles. [Written also ell.]
la |(a) A syllable applied to the sixth tone of the scale in music in solmization. (b) The tone A; -- so called among the French and Italians.\n\n1. Look; see; behold; -- sometimes followed by you. [Obs.] Shak. 2. An exclamation of surprise; -- commonly followed by me; as, La me! [Low]
la valliere |A neck ornament consisting of a chain and single pendant, or drop.
laager |A camp, esp. one with an inclosure of travelers' wagons for temporary defense. [South Africa] Wagons . . . can be readily formed into a laager, a camp, by being drawn into a circle, with the oxen placed inside and so kept safe from the attacks of wild beasts. James Bryce.\n\nTo form into, or camp in, a laager, or protected camp.
laas |A lace. See Lace. [Obs.] Chaucer.
lab |To prate; to gossip; to babble; to blab. [Obs.] Chaucer.\n\nA telltale; a prater; a blabber. [Obs.] \"I am no lab.\" Chaucer.
labadist |A follower of Jean de Labadie, a religious teacher of the 17th century, who left the Roman Catholic Church and taught a kind of mysticism, and the obligation of community of property among Christians. LABARRAQUE'S SOLUTION La`bar`raque's\" so*lu\"tion. Etym: [From Labarraque, a Parisian apothecary.] (Med.)  An aqueous solution of hypochlorite of sodium, extensively used as a disinfectant.
labarum |The standard adopted by the Emperor Constantine after his conversion to Christianity. It is described as a pike bearing a silk banner hanging from a crosspiece, and surmounted by a golden crown. It bore a monogram of the first two letters (CHR) of the name of Christ in its Greek form. Later, the name was given to various modifications of this standard.
labdanum |See Ladanum.
labefaction |The act of labefying or making weak; the state of being weakened; decay; ruin. There is in it such a labefaction of all principles as may be injurious to morality. Johnson.
labefy |To weaken or impair. [R.]
label |1. A tassel. [Obs.] Huloet. Fuller. 2. A slip of silk, paper, parchment, etc., affixed to anything, usually by an inscription, the contents, ownership, destination, etc.; as, the label of a bottle or a package. 3. A slip of ribbon, parchment, etc., attached to a document to hold the appended seal; also, the seal. 4. A writing annexed by way of addition, as a codicil added to a will. 5. (Her.)  A barrulet, or, rarely, a bendlet, with pendants, or points, usually three, especially used as a mark of cadency to distinguish an eldest or only son while his father is still living. 6. A brass rule with sights, formerly used, in connection with a circumferentor, to take altitudes. Knight. 7. (Gothic Arch.)  The name now generally given to the projecting molding by the sides, and over the tops, of openings in mediæval architecture. It always has a Arch. Pub. Soc. 8. In mediæval art, the representation of a band or scroll containing an inscription. Fairholt.\n\n1. To affix a label to; to mark with a name, etc.; as, to label a bottle or a package. 2. To affix in or on a label. [R.]
labeler |One who labels. [Written also labeller.]
labellum |1. (Bot.)  The lower or apparently anterior petal of an orchidaceous flower, often of a very curious shape. 2. (Zoöl.)  A small appendage beneath the upper lip or labrum of certain insects.
labent |Slipping; sliding; gliding. [R.]
labia |See Labium.
labial |1. Of or pertaining to the lips or labia; as, labial veins. 2. (Mus.)  Furnished with lips; as, a labial organ pipe. 3. (Phonetics) (a) Articulated, as a consonant, mainly by the lips, as b, p, m, w. (b) Modified, as a vowel, by contraction of the lip opening, as oo (food), o (old), etc., and as eu and u in French, and ö, ü in German. See Guide to Pronunciation, 4. (Zoöl.)  Of or pertaining to the labium; as, the labial palpi of insects. See Labium.\n\n1. (Phonetics)  A letter or character representing an articulation or sound formed or uttered chiefly with the lips, as b, p, w. 2. (Mus.)  An organ pipe that is furnished with lips; a flue pipe. 3. (Zoöl.)  One of the scales which border the mouth of a fish or reptile.
labialism |The quality of being labial; as, the labialism of an articulation; conversion into a labial, as of a sound which is different in another language. J. Peile.
labialization |The modification of an articulation by contraction of the lip opening.
labialize |To modify by contraction of the lip opening.
labially |In a labial manner; with, or by means of, the lips.
labiate |To labialize. Brewer.\n\n(a) Having the limb of a tubular corolla or calyx divided into two unequal parts, one projecting over the other like the lips of a mouth, as in the snapdragon, sage, and catnip. (b) Belonging to a natural order of plants (Labiatæ), of which the mint, sage, and catnip are examples. They are mostly aromatic herbs.\n\nA plant of the order Labiatæ.
labiated |Same as Labiate, a. (a).
labiatifloral |Having labiate flowers, as the snapdragon.\n\nHaving labiate flowers, as the snapdragon.
labidometer |A forceps with a measuring attachment for ascertaining the size of the fetal head.
labile |Liable to slip, err, fall, or apostatize. [Obs.] Cheyne.
lability |Liability to lapse, err, or apostatize. [Archaic] Coleridge.
labimeter |See Labidometer.
labiodental |Formed or pronounced by the cooperation of the lips and teeth, as f and v. -- n.  A labiodental sound or letter.
labionasal |Formed by the lips and the nose. -- n.  A labionasal sound or letter.
labioplasty |A plastic operation for making a new lip, or for replacing a lost tissue of a lip.
labiose |Having the appearance of being labiate; -- said of certain polypetalous corollas.
labipalp |A labial palp.
labipalpus |One of the labial palpi of an insect. See Illust. under Labium.
labium |1. A lip, or liplike organ. 2. The lip of an organ pipe. 3. pl. (Anat.)  The folds of integument at the opening of the vulva. 4. (Zoöl.) (a) The organ of insects which covers the mouth beneath, and serves as an under lip. It consists of the second pair of maxillæ, usually closely united in the middle line, but bearing a pair of palpi in most insects. It often consists of a thin anterior part (ligula or palpiger) and a firmer posterior plate (mentum). (b) Inner margin of the aperture of a shell.
lablab |an East Indian name for several twining leguminous plants related to the bean, but commonly applied to the hyacinth bean (Delichos Lablab).
labor |1. Physical toil or bodily exertion, especially when fatiguing, irksome, or unavoidable, in distinction from sportive exercise; hard, muscular effort directed to some useful end, as agriculture, manufactures, and like; servile toil; exertion; work. God hath set Labor and rest, as day and night, to men Successive. Milton. 2. Intellectual exertion; mental effort; as, the labor of compiling a history. 3. That which requires hard work for its accomplishment; that which demands effort. Being a labor of so great a difficulty, the exact performance thereof we may rather wish than look for. Hooker. 4. Travail; the pangs and efforts of childbirth. The queen's in labor, They say, in great extremity; and feared She'll with the labor end. Shak. 5. Any pang or distress. Shak. 6. (Naut.)  The pitching or tossing of a vessel which results in the straining of timbers and rigging. 7. Etym: [Sp.]  A measure of land in Mexico and Texas, equivalent to an area of 177 Bartlett. Syn. -- Work; toil; drudgery; task; exertion; effort; industry; painstaking. See Toll.\n\n1. To exert muscular strength; to exert one's strength with painful effort, particularly in servile occupations; to work; to toil. Adam, well may we labor still to dress This garden. Milton. 2. To exert one's powers of mind in the prosecution of any design; to strive; to take pains. 3. To be oppressed with difficulties or disease; to do one's work under conditions which make it especially hard, wearisome; to move slowly, as against opposition, or under a burden; to be burdened; -- often with under, and formerly with of. The stone that labors up the hill. Granville. The line too labors,and the words move slow. Pope. To cure the disorder under which he labored. Sir W. Scott. Come unto me, all ye that labor and are heavy laden, and I will give you rest. Matt. xi. 28 4. To be in travail; to suffer the pangs of childbirth. 5. (Naut.)  To pitch or roll heavily, as a ship in a turbulent sea. Totten.\n\n1. To work at; to work; to till; to cultivate by toil. The most excellent lands are lying fallow, or only labored by children. W. Tooke. 2. To form or fabricate with toil, exertion, or care. \"To labor arms for Troy.\" Dryden. 3. To prosecute, or perfect, with effort; to urge streas, to labor a point or argument. 4. To belabor; to beat. [Obs.] Dryden.
labor day |In most of the States and Territories of the United States, a day, usually the first Monday of September, set aside as a legal holiday, in honor of, or in the interest of, workingmen as a class. Also, a similar holiday in Canada, Australia, etc.
labor-saving |Saving labor; adapted to supersede or diminish the labor of men; as, laborsaving machinery.
laborant |A chemist. [Obs.] Boyle.
laboratory |The workroom of a chemist; also, a place devoted to experiments in any branch of natural science; as, a chemical, physical, or biological laboratory. Hence, by extension, a place where something is prepared, or some operation is performed; as, the liver is the laboratory of the bile.
labored |Bearing marks of labor and effort; elaborately wrought; not easy or natural; as, labored poetry; a labored style.
laboredly |In a labored manner; with labor.
laborer |One who labors in a toilsome occupation; a person who does work that requires strength rather than skill, as distinguished from that of an artisan.
laboring |1. That labors; performing labor; esp., performing coarse, heavy work, not requiring skill also, set apart for labor; as, laboring days. The sleep of a laboring man is sweet. eccl. v. 12. 2. Suffering pain or grief. Pope. Laboring oar, the oar which requires most strength and exertion; often used figuratively; as, to have, or pull, the laboring oar in some difficult undertaking.
laborious |1. Requiring labor, perseverance, or sacrifices; toilsome; tiresome. Dost thou love watchings, abstinence, or toil, Laborious virtues all Learn these from Cato. Addison. 2. Devoted to labor; diligent; industrious; as, a laborious mechanic. -- La*bo\"ri*ous*ly, adv. -- La*bo\"ri*ous*ness, n.
laborless |Not involving labor; not laborious; easy.
laborous |Laborious. [Obs.] Wyatt. -- La\"bor*ous*ly, adv. [Obs.] Sir T. Elyot.
