hortatory |Giving exhortation or advise; encouraging; exhortatory; inciting; as, a hortatory speech. Holland.
however |1. In whetever manner, way, or degree. However yet they me despise and spite. Spenser. Howe'er the business goes, you have made fault. Shak. 2. At all events; at least; in any case. Our chief end is to be freed from all, if it may be, however from the greatest evils. Tillotson.\n\nNevertheless; notwithstanding; yet; still; though; as, I shall not oppose your design; I can not, however, approve of it. In your excuse your love does little say; You might howe'er have took a better way. Dryden. Syn. -- However, At least, Nevertheless, Yet. These words, as here compared, have an adversative sense in reference to something referred to in the context. However is the most general, and leads to a final conclusion or decision. Thus we say, the truth, however, has not yet fully come out; i.e., such is the speaker's conclusion in view of the whole case. So also we say, however, you may rely on my assistance to that amount; i. e., at all events, whatever may happen, this is my final decision. At least is adversative in another way. It points out the utmost concession that can possibly be required, and still marks the adversative conclusion; as, at least, this must be done; whatever may be our love of peace, we must at least maintain the rights of conscience. Nevertheless denotes that though the concession be fully made, it has no bearing of the question; as, nevertheless, we must go forward. Yet signifies that however extreme the supposition or fact comceded may be, the consequence which might naturally be expected does not and will not follow; as, though I should die with thee, yet will I not deny thee; though he slay me, yet will I trust in him. Cf. But.
howitz |A howitzer. [Obs.]
howitzer |(a) A gun so short that the projectile, which was hollow, could be put in its place by hand; a kind of mortar. [Obs.] (b) A short, light, largebore cannon, usually having a chamber of smaller diameter than the rest of the bore, and intended to throw large projectiles with comparatively small charges.
howker |Same as Hooker.
howl |1. To utter a loud, protraced, mournful sound or cry, as dogs and wolves often do. And dogs in corners set them down to howl. Drayton. Methought a legion of foul fiends Environ'd me about, and howled in my ears. Shak. 2. To utter a sound expressive of distress; to cry aloud and mournfully; to lament; to wail. Howl ye, for the day of the Lord is at hand. Is. xiii. 6. 3. To make a noise resembling the cry of a wild beast. Wild howled the wind. Sir W. Scott. Howling monkey. (Zoöl.) See Howler, 2. -- Howling wilderness, a wild, desolate place inhabited only by wild beasts. Deut. xxxii. 10.\n\nTo utter with outcry. \"Go . . . howl it out in deserts.\" Philips.\n\n1. The protracted, mournful cry of a dog or a wolf, or other like sound. 2. A prolonged cry of distress or anguish; a wail.
howler |1. One who howls. 2. (Zoöl.)  Any South American monkey of the genus Mycetes. Many species are known. They are arboreal in their habits, and are noted for the loud, discordant howling in which they indulge at night.
howlet |An owl; an owlet. [Written also houlet.] R. Browning.
howp |To cry out; to whoop. [Obs.] Chaucer.
howso |Howsoever. [Obs.]
howsoever |1. In what manner soever; to whatever degree or extent; however. I am glad he's come, howsoever he comes. Shak. 2. Although; though; however. [Obs.] Shak.
howve |A hood. See Houve. [Obs.]
hox |To hock; to hamstring. See Hock. [Obs.] Shak.
hoy |A small coaster vessel, usually sloop-rigged, used in conveying passengers and goods from place to place, or as a tender to larger vessels in port. The hoy went to London every week. Cowper.\n\nHo! Halloe! Stop!
hoyden |Same as Hoiden.
hoyman |One who navigates a hoy. A common hoyman to carry goods by water for hire. Hobart.
hsien |An administrative subdivision of a fu, or department, or of an independent chow; also, the seat of government of such a district.
huanaco |See Guanaco.
huaracho |A kind of sandal worn by Indians and the lower classes generally; --usually used in pl. [Southern U. S. & Mex.]
hub |1. The central part, usually cylindrical, of a wheel; the nave. See Illust. of Axle box. 2. The hilt of a weapon. Halliwell. 3. A rough protuberance or projecting obstruction; as, a hub in the road. [U.S.] See Hubby. 4. A goal or mark at which quoits, etc., are cast. 5. (Diesinking)  A hardened, engraved steel punch for impressing a device upon a die, used in coining, etc. 6. A screw hob. See Hob, 3. 7. A block for scotching a wheel. Hub plank (Highway Bridges), a horizontal guard plank along a truss at the height of a wagon-wheel hub. -- Up to the hub, as far as possible in embarrassment or difficulty, or in business, like a wheel sunk in mire; deeply involved. [Colloq.]
hubble-bubble |A tobacco pipe, so arranged that the smoke passes through water, making a bubbling noise, whence its name. In India, the bulb containing the water is often a cocoanut shell.
hubbub |A loud noise of many confused voices; a tumult; uproar. Milton. This hubbub of unmeaning words. Macaulay.
hubby |Full of hubs or protuberances; as, a road that has been frozen while muddy is hubby. [U.S.]
hubner |A mineral of brownish black color, occurring in columnar or foliated masses. It is native manganese tungstate.
huch |A large salmon (Salmo, or Salvelinus, hucho) inhabiting the Danube; -- called also huso, and bull trout.
huchen |A large salmon (Salmo, or Salvelinus, hucho) inhabiting the Danube; -- called also huso, and bull trout.
huck |To higgle in trading. [Obs.] Holland.
huckaback |A kind of linen cloth with raised figures, used for towelings.
huckle |1. The hip; the haunch. 2. A bunch or part projecting like the hip. Huckle bone. (a) The hip bone; the innominate bone. (b) A small bone of the ankle; astragalus. [R.] Udall.
huckle-backed |Round-shoulded.
huckleberry |(a) The edible black or dark blue fruit of several species of the American genus Gaylussacia, shrubs nearly related to the blueberries (Vaccinium), and formerly confused with them. The commonest huckelberry comes from G. resinosa. (b) The shrub that bears the berries. Called also whortleberry. Squaw huckleberry. See Deeberry.
huckster |1. A retailer of small articles, of provisions, and the like; a peddler; a hawker. Swift. 2. A mean, trickish fellow. Bp. Hall.\n\nTo deal in small articles, or in petty bargains. Swift.
hucksterage |The business of a huckster; small dealing; peddling. Ignoble huckster age of piddling tithes. Milton.
hucksterer |A huckster. Gladstone. Those hucksterers or money-jobbers. Swift.
huckstress |A female huckster.
hud |A huck or hull, as of a nut. [Prov. Eng.] Wright.
huddle |To press together promiscuously, from confusion, apprehension, or the like; to crowd together confusedly; to press or hurry in disorder; to crowd. The cattle huddled on the lea. Tennyson. Huddling together on the public square . . . like a herd of panic- struck deer. Prescott.\n\n1. To crowd (things) together to mingle confusedly; to assemble without order or system. Our adversary, huddling several suppositions together, . . . makes a medley and confusion. Locke. 2. To do, make, or put, in haste or roughly; hence, to do imperfectly; -- usually with a following preposition or adverb; as, to huddle on; to huddle up; to huddle together. \"Huddle up a peace.\" J. H. Newman. Let him forescat his work with timely care, Which else is huddled when the skies are fair. Dryden. Now, in all haste, they huddle on Their hoods, their cloaks, and get them gone. Swift.\n\nA crowd; a number of persons or things crowded together in a confused manner; tumult; confusion. \"A huddle of ideas.\" Addison.
huddler |One who huddles things together.
hudge |An iron bucket for hoisting coal or ore. Raymond.
hudibrastic |Similar to, or in the style of, the poem \"Hudibras,\" by Samuel Butler; in the style of doggerel verse. Macaulay.
hudsonian |Of or pertaining to Hudson's Bay or to the Hudson River; as, the Hudsonian curlew.
hue |1. Color or shade of color; tint; dye. \"Flowers of all hue.\" Milton. Hues of the rich unfolding morn. Keble. 2. (Painting)  A predominant shade in a composition of primary colors; a primary color modified by combination with others.\n\nA shouting or vociferation. Hue and cry (Law), a loud outcry with which felons were anciently pursued, and which all who heard it were obliged to take up, joining in the pursuit till the malefactor was taken; in later usage, a written proclamation issued on the escape of a felon from prison, requiring all persons to aid in retaking him. Burrill.
huebner |A mineral of brownish black color, occurring in columnar or foliated masses. It is native manganese tungstate.
hued |Having color; -- usually in composition; as, bright-hued; many- hued. Chaucer.
hueless |Destitute of color. Hudibras.
huer |One who cries out or gives an alarm; specifically, a balker; a conder. See Balker.
huff |1. To swell; to enlarge; to puff up; as, huffed up with air. Grew. 2. To treat with insolence and arrogance; to chide or rebuke with insolence; to hector; to bully. You must not presume to huff us. Echard. 3. (Draughts)  To remove from the board (the piece which could have captured an opposing piece). See Huff, v. i., 3.\n\n1. To enlarge; to swell up; as, bread huffs. 2. To bluster or swell with anger, pride, or arrogance; to storm; to take offense. THis senseless arrogant conceit of theirs made them huff at the doctrine of repentance. South. 3. (Draughts)  To remove from the board a man which could have captured a piece but has not done so; -- so called because it was the habit to blow upon the piece.\n\n1. A swell of sudden anger or arrogance; a fit of disappointment and petulance or anger; a rage. \"Left the place in a huff.\" W. Irving. 2. A boaster; one swelled with a false opinion of his own value or importance. Lewd, shallow-brained huffs make atheism and contempt of religion the sole badge . . . of wit. South. To take huff, to take offence. Cowper.
huffcap |A blusterer; a bully. [Obs.] -- a.  Blustering; swaggering. [Obs.] Bp. Hall.
huffer |A bully; a blusterer. Hudibras.
huffiness |The state of being huffish; petulance; bad temper. Ld. Lytton.
huffingly |Blusteringly; arrogantly. [R.] And huffingly doth this bonny Scot ride. Old Ballad.
huffish |Disposed to be blustering or arrogant; petulant. -- Huff\"ish*ly, adv. -- Huff\"ish*ness, n.
huffy |1. Puffed up; as, huffy bread. 2. Characterized by arrogance or petulance; easily offended.
hug |1. To cower; to crouch; to curl up. [Obs.] Palsgrave. 2. To crowd together; to cuddle. [Obs.] Shak.\n\n1. To press closely within the arms; to clasp to the bosom; to embrace. \"And huggen me in his arms.\" Shak. 2. To hold fast; to cling to; to cherish. We hug deformities if they bear our names. Glanvill. 3. (Naut.)  To keep close to; as, to hug the land; to hug the wind. To hug one's self, to congratulate one's self; to chuckle.\n\nA close embrace or clasping with the arms, as in affection or in wrestling. Fuller.
huge |Very large; enormous; immense; excessive; -- used esp. of material bulk, but often of qualities, extent, etc.; as, a huge ox; a huge space; a huge difference. \"The huge confusion.\" Chapman. \"A huge filly.\" Jer. Taylor. -- Huge\"ly, adv. -- Huge\"ness, n. Doth it not flow as hugely as the sea. Shak. Syn. -- Enormous; gigantic; colossal; immense; prodigious; vast.
hugger |One who hugs or embraces.\n\nTo conceal; to lurk ambush. [Obs.] Bp. Hall.
hugger-mugger |Privacy; secrecy. Commonly in the phrase in hugger-mugger, with haste and secrecy. [Archaic] Many things have been done in hugger-mugger. Fuller.\n\n1. Secret; clandestine; sly. 2. Confused; disorderly; slovenly; mean; as, hugger-mugger doings.
huggle |To hug. [Obs.]
huguenot |A French Protestant of the period of the religious wars in France in the 16th century.
huguenotism |The religion of the Huguenots in France.
hugy |Vast. [Obs.] Dryden.
huia bird |A New Zealand starling (Heteralocha acutirostris), remarkable for the great difference in the form and length of the bill in the two sexes, that of the male being sharp and straight, that of the female much longer and strongly curved.
huisher |See Usher. B. Jonson.\n\nTo usher. [Obs.] Jer. Taylor.
huke |An outer garment worn in Europe in the Middle Ages. [Written also heuk and hyke.] [Obs.] Bacon.
hulan |See Uhlan.
hulch |A hunch. [Obs.]
hulchy |Swollen; gibbous. [Obs.]
hulk |1. The body of a ship or decked vessel of any kind; esp., the body of an old vessel laid by as unfit for service. \"Some well-timbered hulk.\" Spenser. 2. A heavy ship of clumsy build. Skeat. 3. Anything bulky or unwieldly. Shak. Shear hulk, an old ship fitted with an apparatus to fix or take out the masts of a ship. -- The hulks, old or dismasted ships, formerly used as prisons. [Eng.] Dickens.\n\nTo take out the entrails of; to disembowel; as, to hulk a hare. [R.] Beau. & Fl.
hulking |Bulky; unwiedly. [R.] \"A huge hulking fellow.\" H. Brooke.
hulky |Bulky; unwiedly. [R.] \"A huge hulking fellow.\" H. Brooke.
hull |1. The outer covering of anything, particularly of a nut or of grain; the outer skin of a kernel; the husk. 2. Etym: [In this sense perh. influenced by D. hol hold of a ship, E. hold.] (Naut.)  The frame or body of a vessel, exclusive of her masts, yards, sails, and rigging. Deep in their hulls our deadly bullets light. Dryden. Hull down, said of a ship so distant that her hull is concealed by the convexity of the sea.\n\n1. To strip off or separate the hull or hulls of; to free from integument; as, to hull corn. 2. To pierce the hull of, as a ship, with a cannon ball.\n\nTo toss or drive on the water, like the hull of a ship without sails. [Obs.] Shak. Milton.
hullabaloo |A confused noise; uproar; tumult. [Colloq.] Thackeray.
hulled |Deprived of the hulls. Hulled corn, kernels of maize prepared for food by removing the hulls.
huller |One who, or that which, hulls; especially, an agricultural machine for removing the hulls from grain; a hulling machine.
hullo |See Hollo.
hully |Having or containing hulls.
huloist |See Hyloist.
hulotheism |See Hylotheism.
hulver |Holly, an evergreen shrub or tree.
hum |1. To make a low, prolonged sound, like that of a bee in flight; to drone; to murmur; to buzz; as, a top hums. P. Fletcher. Still humming on, their drowsy course they keep. Pope. 2. To make a nasal sound, like that of the letter m prolonged, without opening the mouth, or articulating; to mumble in monotonous undertone; to drone. The cloudy messenger turns me his back, And hums. Shak. 3. Etym: [Cf. Hum, interj.]  To make an inarticulate sound, like h'm, through the nose in the process of speaking, from embarrassment or a affectation; to hem. 4. To express satisfaction by a humming noise. Here the spectators hummed. Trial of the Regicides. Note: Formerly the habit of audiences was to express gratification by humming and displeasure by hissing. 5. To have the sensation of a humming noise; as, my head hums, -- a pathological condition.\n\n1. To sing with shut mouth; to murmur without articulation; to mumble; as, to hum a tune. 2. To express satisfaction with by humming. 3. To flatter by approving; to cajole; to impose on; to humbug. [Colloq. & Low]\n\n1. A low monotonous noise, as of bees in flight, of a swiftly revolving top, of a wheel, or the like; a drone; a buzz. The shard-borne beetle with his drowsy hums. Shak. 2. Any inarticulate and buzzing sound; as: (a) The confused noise of a crowd or of machinery, etc., heard at a distance; as, the hum of industry. But 'midst the crowd, the hum, the shock of men. Byron. (b) A buzz or murmur, as of approbation. Macaulay. 3. An imposition or hoax. 4. Etym: [Cf. Hem, interj.]  An inarticulate nasal sound or murmur, like h'm, uttered by a speaker in pause from embarrassment, affectation, etc. THese shrugs, these hums and ha's. Shak. 5. Etym: [Perh. so called because strongly intoxicating.]  A kind of strong drink formerly used. [Obs.] Beau. & Fl. Venous hum. See under Venous.\n\nAhem; hem; an inarticulate sound uttered in a pause of speech implying doubt and deliberation. Pope.
human |Belonging to man or mankind; having the qualities or attributes of a man; of or pertaining to man or to the race of man; as, a human voice; human shape; human nature; human sacrifices. To err is human; to forgive, divine. Pope.\n\nA human being. [Colloq.] Sprung of humans that inhabit earth. Chapman. We humans often find ourselves in strange position. Prof. Wilson.
humanate |Indued with humanity. [Obs.] Cranmer.
humane |1. Pertaining to man; human. [Obs.] Jer. Taylor. 2. Having the feelings and inclinations creditable to man; having a disposition to treat other human beings or animals with kindness; kind; benevolent. Of an exceeding courteous and humane inclination. Sportswood. 3. Humanizing; exalting; tending to refine. Syn. -- Kind; sympathizing; benevolent; mild; compassionate; gentle; tender; merciful. -- Hu*mane\"ly, adv. -- Hu*mane\"ness, n.
humanics |The study of human nature. [R.] T. W. Collins.
humanify |To make human; to invest with a human personality; to incarnate. [R.] The humanifying of the divine Word. H. B. Wilson.
humanism |1. Human nature or disposition; humanity. [She] looked almost like a being who had rejected with indifference the attitude of sex for the loftier quality of abstract humanism. T. Hardy. 2. The study of the humanities; polite learning.
humanist |1. One of the scholars who in the field of literature proper represented the movement of the Renaissance, and early in the 16th century adopted the name Humanist as their distinctive title. Schaff- Herzog. 2. One who purposes the study of the humanities, or polite literature. 3. One versed in knowledge of human nature.
humanistic |1. Of or pertaining to humanity; as, humanistic devotion. Caird. 2. Pertaining to polite kiterature. M. Arnold.
humanitarian |1. (Theol. & Ch. Hist.)  Pertaining to humanitarians, or to humanitarianism; as, a humanitarian view of Christ's nature. 2. (Philos.)  Content with right affections and actions toward man; ethical, as distinguished from religious; believing in the perfectibility of man's nature without supernatural aid. 3. Benevolent; philanthropic. [Recent]\n\n1. (Theol. & Ch. Hist.)  One who denies the divinity of Christ, and believes him to have been merely human. 2. (Philos.)  One who limits the sphere of duties to human relations and affections, to the exclusion or disparagement of the religious or spiritual. 3. One who is actively concerned in promoting the welfare of his kind; a philanthropist. [Recent]
humanitarianism |1. (Theol. & Ch. Hist.)  The distinctive tenet of the humanitarians in denying the divinity of Christ; also, the whole system of doctrine based upon this view of Christ. 2. (Philos.)  The doctrine that man's obligations are limited to, and dependent alone upon, man and the human relations.
humanitian |A humanist. [Obs.] B. Jonson.
humanity |1. The quality of being human; the peculiar nature of man, by which he is distinguished from other beings. 2. Mankind collectively; the human race. But hearing oftentimes The still, and music humanity. Wordsworth. It is a debt we owe to humanity. S. S. Smith. 3. The quality of being humane; the kind feelings, dispositions, and sympathies of man; especially, a disposition to relieve persons or animals in distress, and to treat all creatures with kindness and tenderness. \"The common offices of humanity and friendship.\" Locke. 4. Mental cultivation; liberal education; instruction in classical and polite literature. Polished with humanity and the study of witty science. Holland. 5. pl. (With definite article)  The branches of polite or elegant learning; as language, rhetoric, poetry, and the ancient classics; belles-letters. Note: The cultivation of the languages, literature, history, and archæology of Greece and Rome, were very commonly called literæ humaniores, or, in English, the humanities, . . . by way of opposition to the literæ divinæ, or divinity. G. P. Marsh.
humanization |The act of humanizing. M. Arnold.
humanize |1. To render human or humane; to soften; to make gentle by overcoming cruel dispositions and rude habits; to refine or civilize. Was it the business of magic to humanize our natures with compassion Addison. 2. To give a human character or expression to. \"Humanized divinities.\" Caird. 3. (Med.)  To convert into something human or belonging to man; as, to humanize vaccine lymph.\n\nTo become or be made more humane; to become civilized; to be ameliorated. By the original law of nations, war and extirpation were the punishment of injury. Humanizing by degrees, it admitted slavery instead of death; a further step was the exchange of prisoners instead of slavery. Franklin.
humanizer |One who renders humane.
humankind |Mankind. Pope.
humanly |1. In a human manner; after the manner of men; according to the knowledge or wisdom of men; as, the present prospects, humanly speaking, promise a happy issue. Sir W. Raleigh. 2. Kindly; humanely. [Obs.] Pope.
humanness |The quality or state of being human.
humate |A salt of humic acid.
humation |Interment; inhumation. [R.]
humbird |Humming bird.
humble |1. Near the ground; not high or lofty; not pretentious or magnificent; unpretending; unassuming; as, a humble cottage. THy humble nest built on the ground. Cowley. 2. Thinking lowly of one's self; claiming little for one's self; not proud, arrogant, or assuming; thinking one's self ill-deserving or unworthy, when judged by the demands of God; lowly; waek; modest. God resisteth the proud, but giveth grace unto the humble. Jas. iv. 6. She should be humble who would please. Prior. Without a humble imitation of the divine Author of our . . . religion we can never hope to be a happy nation. Washington. Humble plant (Bot.), a species of sensitive plant, of the genus Mimosa (M. sensitiva). -- To eat humble pie, to endure mortification; to submit or apologize abjectly; to yield passively to insult or humilitation; -- a phrase derived from a pie made of the entrails or humbles of a deer, which was formerly served to servants and retainers at a hunting feast. See Humbles. Halliwell. Thackeray.\n\nHornless. See Hummel. [Scot.]\n\n1. To bring low; to reduce the power, independence, or exaltation of; to lower; to abase; to humilate. Here, take this purse, thou whom the heaven's plagues Have humbled to all strokes. Shak. The genius which humbled six marshals of France. Macaulay. 2. To make humble or lowly in mind; to abase the pride or arrogance of; to reduce the self-sufficiently of; to make meek and submissive; -- often used rexlexively. Humble yourselves therefore under the mighty hand of God, that he may exalt you. 1 Pet. v. 6. Syn. -- To abase; lower; depress; humiliate; mortify; disgrace; degrade.
humblebee |The bumblebee. Shak.
humblehead |Humble condition or estate; humility. [Obs.] Chaucer.
humbleness |The quality of being humble; humility; meekness.
humbler |One who, or that which, humbles some one.
humbles |Entrails of a deer. [Written also umbles.] Johnson.
humblesse |Humbleness; abasement; low obeisance. [Obs.] Chaucer. Spenser.
humbly |With humility; lowly. Pope.
humbug |1. An imposition under fair pretenses; something contrived in order to deceive and mislead; a trick by cajolery; a hoax. 2. A spirit of deception; cajolery; trickishness. 3. One who deceives or misleads; a deceitful or trickish fellow; an impostor. Sir J. Stephen.\n\nTo deceive; to impose; to cajole; to hoax.
humbugger |One who humbugs.
humbuggery |The practice of imposition.
humdrum |Monotonous; dull; commonplace. \"A humdrum crone.\" Bryant.\n\n1. A dull fellow; a bore. B. Jonson. 2. Monotonous and tedious routine. Dissatisfied with humdrum. The Nation. 3. A low cart with three wheels, drawn by one horse.
humect |To moisten; to wet. [Obs.] Howell.
humectant |Diluent. -- n.  A diluent drink or medicine. [Obs.]
humectate |To moisten; to wet. [Obs.] Howell.
humectation |A moistening. [Obs.] Bacon.
humective |Tending to moisten. [Obs.]
humeral |Of or pertaining to the humerus, or upper part of the arm; brachial. Humeral veil (R. C. Ch.), a long, narrow veil or scarf of the same material as the vestments, worn round the shoulders by the officiating priest or his attendant at Mass, and used to protect the sacred vessels from contact with the hands.
humerus |(a) The bone of the brachium, or upper part of the arm or fore limb. (b) The part of the limb containing the humerus; the brachium.
humic |Pertaining to, or derived from, vegetable mold; as, humic acid. See Humin.
humicubation |The act or practice of lying on the ground. [Obs.] Abp. Bramhall.
humid |Containing sensible moisture; damp; moist; as, a humidair or atmosphere; somewhat wet or watery; as, humid earth; consisting of water or vapor. Evening cloud, or humid bow. Milton.
humidity |Moisture; dampness; a moderate degree of wetness, which is perceptible to the eye or touch; -- used especially of the atmosphere, or of anything which has absorbed moisture from the atmosphere, as clothing. Note: In hygrometrical reports (as of the United States Signal Service) complete saturation of the air is designated by Humidity 100, and its partial saturation by smaller numbers.
humidness |Humidity.
humifuse |Spread over the surface of the ground; procumbent. Gray.
humiliant |Humiliating; humbling. \"Humiliant thoughts.\" [R.] Mrs. Browning.
humiliate |To reduce to a lower position in one's own eyes, or in the eyes of others; to humble; to mortify. We stand humiliated rather than encouraged. M. Arnold.
humiliation |1. The act of humiliating or humbling; abasement of pride; mortification. Bp. Hopkins. 2. The state of being humiliated, humbled, or reduced to lowliness or submission. The former was a humiliation of Deity; the latter a humiliation of manhood. Hooker.
humility |1. The state or quality of being humble; freedom from pride and arrogance; lowliness of mind; a modest estimate of one's own worth; a sense of one's own unworthiness through imperfection and sinfulness; self-abasement; humbleness. Serving the Lord with all humility of mind. Acts xx. 19. 2. An act of submission or courtesy. With these humilities they satisfied the young king. Sir J. Davies. Syn. -- Lowliness; humbleness; meekness; modesty; diffidence. -- Humility, Modesty, Diffidence. Diffidence is a distrust of our powers, combined with a fear lest our failure should be censured, since a dread of failure unconnected with a dread of censure is not usually called diffidence. It may be carried too far, and is not always, like modesty and humility, a virtue. Modesty, without supposing self-distrust, implies an unwillingness to put ourselves forward, and an absence of all over-confidence in our own powers. Humility consists in rating our claims low, in being willing to waive our rights, and take a lower place than might be our due. It does not require of us to underrate ourselves.
humin |A bitter, brownish yellow, amorphous substance, extracted from vegetable mold, and also produced by the action of acids on certain sugars and carbohydrates; -- called also humic acid, ulmin, gein, ulmic or geic acid, etc.
humiri |A fragrant balsam obtained from Brazilian trees of the genus Humirium.
humite |A mineral of a transparent vitreous brown color, found in the ejected masses of Vesuvius. It is a silicate of iron and magnesia, containing fluorine.
hummel |To separate from the awns; -- said of barley. [Scot.]\n\nHaving no awns or no horns; as, hummelcorn; a hummel cow. [Scot.]
hummeler |One who, or a machine which, hummels.
hummer |1. One who, or that which, hums; one who applauds by humming. Ainsworth. 2. (Zoöl.)  A humming bird.
humming |Emitting a murmuring sound; droning; murmuring; buzzing.\n\nA sound like that made by bees; a low, murmuring sound; a hum. Hummingale, lively or strong ale. Dryden. -- Humming bird (Zoöl.), any bird of the family Trochilidæ, of which over one hundred genera are known, including about four hundred species. They are found only in America and are most abundant in the tropics. They are mostly of very small size, and are not for their very brilliant colors and peculiar habit of hovering about flowers while vibrating their wings very rapidly with a humming noise. They feed both upon the nectar of flowers and upon small insects. The common humming bird or ruby-throat of the Eastern United States is Trochilus culubris. Several other species are found in the Western United States. See Calliope, and Ruby-throat. -- Humming-bird moth (Zoöl.), a hawk moth. See Hawk moth, under Hawk, the bird.
hummock |1. A rounded knoll or hillock; a rise of ground of no great extent, above a level surface. 2. A ridge or pile of ice on an ice field. 3. Timbered land. See Hammock. [Southern U.S.]
hummocking |The process of forming hummocks in the collision of Arctic ice. Kane.
hummocky |Abounding in hummocks.
hummum |A sweating bath or place for sweating. Sir T. Herbert.
humor |1. Moisture, especially, the moisture or fluid of animal bodies, as the chyle, lymph, etc.; as, the humors of the eye, etc. Note: The ancient physicians believed that there were four humors (the blood, phlegm, yellow bile or choler, and black bile or melancholy), on the relative proportion of which the temperament and health depended. 2. (Med.)  A vitiated or morbid animal fluid, such as often causes an eruption on the skin. \"A body full of humors.\" Sir W. Temple. 3. State of mind, whether habitual or temporary (as formerly supposed to depend on the character or combination of the fluids of the body); disposition; temper; mood; as, good humor; ill humor. Examine how your humor is inclined, And which the ruling passion of your mind. Roscommon. A prince of a pleasant humor. Bacon. I like not the humor of lying. Shak. 4. pl.  Changing and uncertain states of mind; caprices; freaks; vagaries; whims. Is my friend all perfection, all virtue and discretion Has he not humors to be endured South. 5. That quality of the imagination which gives to ideas an incongruous or fantastic turn, and tends to excite laughter or mirth by ludicrous images or representations; a playful fancy; facetiousness. For thy sake I admit That a Scot may have humor, I'd almost said wit. Goldsmith. A great deal of excellent humor was expended on the perplexities of mine host. W. Irving. Aqueous humor, Crystalline humor or lens, Vitreous humor. (Anat.) See Eye. -- Out of humor, dissatisfied; displeased; in an unpleasant frame of mind. Syn. -- Wit; satire; pleasantry; temper; disposition; mood; frame; whim; fancy; caprice. See Wit.\n\n1. To comply with the humor of; to adjust matters so as suit the peculiarities, caprices, or exigencies of; to adapt one's self to; to indulge by skillful adaptation; as, to humor the mind. It is my part to invent, and the musician's to humor that invention. Dryden. 2. To help on by indulgence or compliant treatment; to soothe; to gratify; to please. You humor me when I am sick. Pope. Syn. -- To gratify; to indulge. See Gratify.
humoral |Pertaining to, or proceeding from, the humors; as, a humoral fever. Humoral pathology (Med.), the pathology, or doctrine of the nature of diseases, which attributes all morbid phenomena to the disordered condition of the fluids or humors of the body.
humoralism |1. (Med.)  The state or quality of being humoral. 2. (Med.)  The doctrine that diseases proceed from the humors; humorism. [Obs.]
humoralist |One who favors the humoral pathology or believes in humoralism.
humorism |1. (Med.)  The theory founded on the influence which the humors were supposed to have in the production of disease; Galenism. Dunglison. 2. The manner or disposition of a humorist; humorousness. Coleridge.
humorist |1. (Med.)  One who attributes diseases of the state of the humors. 2. One who has some peculiarity or eccentricity of character, which he indulges in odd or whimsical ways. He [Roger de Coverley] . . . was a great humorist in all parts of his life. Addison. 3. One who displays humor in speaking or writing; one who has a facetious fancy or genius; a wag; a droll. The reputation of wits and humorists. Addison.
humoristic |Of, pertaining to, or resembling, a humorist.
humorize |To humor. Marston.
humorless |Destitute of humor.
humorous |1. Moist; humid; watery. [Obs.] All founts wells, all deeps humorous. Chapman. 2. Subject to be governed by humor or caprice; irregular; capricious; whimsical. Hawthorne. Rough as a storm and humorous as the wind. Dryden. 3. Full of humor; jocular; exciting laughter; playful; as, a humorous story or author; a humorous aspect. Syn. -- Jocose; facetious; witty; pleasant; merry.
humorously |1. Capriciously; whimsically. We resolve rashly, sillily, or humorously. Calamy. 2. Facetiously; wittily.
humorousness |1. Moodiness; capriciousness. 2. Facetiousness; jocularity.
humorsome |1. Moody; whimsical; capricious. Hawthorne. The commons do not abet humorsome, factious arms. Burke. 2. Jocose; witty; humorous. Swift.
humorsomely |Pleasantly; humorously.
humorsomeness |Quality of being humorsome.
hump |1. A protuberance; especially, the protuberance formed by a crooked back. 2. (Zoöl.)  A fleshy protuberance on the back of an animal, as a camel or whale.
hump-shouldered |Having high, hunched shoulders. Hawthorne.
humpback |1. A crooked back; a humped back. Tatler. 2. A humpbacked person; a hunchback. 3. (Zoöl.) (a) Any whale of the genus Megaptera, characterized by a hump or bunch on the back. Several species are known. The most common ones in the North Atlantic are Megaptera longimana of Europe, and M. osphyia of America; that of the California coasts is M. versabilis. (b) A small salmon (Oncorhynchus gorbuscha), of the northwest coast of America.
humpbacked |Having a humped back.
humpbacked salmon |A small salmon (Oncorhynchus gorbuscha) which ascends the rivers of the Pacific coast from California to Alaska, and also on the Asiatic side. In the breeding season the male has a large dorsal hump and distorted jaws.
humped |Having a hump, as the back.
humph |An exclamation denoting surprise, or contempt, doubt, etc.
humpless |Without a hump. Darwin.
humpy |Full of humps or bunches; covered with protuberances; humped.
humstrum |An instrument out of tune or rudely constructed; music badly played.
humulin |An extract of hops.
humus |That portion of the soil formed by the decomposition of animal or vegetable matter. It is a valuable constituent of soils. Graham.
hun |One of a warlike nomadic people of Northern Asia who, in the 5th century, under Atilla, invaded and conquered a great part of Europe.
hunch |1. A hump; a protuberance. 2. A lump; a thick piece; as, a hunch of bread. 3. A push or thrust, as with the elbow.\n\n1. To push or jostle with the elbow; to push or thrust suddenly. 2. To thrust out a hump or protuberance; to crook, as the back. Dryden.
hunchback |A back with a hunch or hump; also, a hunchbacked person.
hunchbacked |Having a humped back.
