epistolography |The art or practice of writing epistles.
equivalence |1. The condition of being equivalent or equal; equality of worth, value, signification, or force; as, an equivalence of definitions. 2. Equal power or force; equivalent amount. 3. (Chem.) (a) The quantity of the combining power of an atom, expressed in hydrogen units; the number of hydrogen atoms can combine with, or be exchanged for; valency. See Valence. (b) The degree of combining power as determined by relative weight. See Equivalent, n., 2. [R.]\n\nTo be equivalent or equal to; to counterbalance. [R.] Sir T. Browne.
equivalency |Same as Equivalence.
equivalent |1. Equal in wortir or value, force, power, effect, import, and the like; alike in significance and value; of the same import or meaning. For now to serve and to minister, servile and ministerial, are terms equivalent. South. 2. (Geom.)  Equal in measure but not admitting of superposition; -- applied to magnitudes; as, a square may be equivalent to a triangle. 3. (Geol.)  Contemporaneous in origin; as, the equivalent strata of different countries.\n\n1. Something equivalent; that which is equal in value, worth, weight, or force; as, to offer an equivalent for damage done. He owned that, if the Test Act were repealed, the Protestants were entitled to some equivalent. . . . During some weeks the word equivalent, then lately imported from France, was in the mouths of all the coffeehouse. Macaulay. 2. (Chem.)  That comparative quantity by weight of an element which possesses the same chemical value as other elements, as determined by actual experiment and reference to the same standard. Specifically: (a) The comparative proportions by which one element replaces another in any particular compound; thus, as zinc replaces hydrogen in hydrochloric acid, their equivalents are 32.5 and 1. (b) The combining proportion by weight of a substance, or the number expressing this proportion, in any particular compound; as, the equivalents of hydrogen and oxygen in water are respectively 1 and 8, and in hydric dioxide 1 and 16. Note: This term was adopted by Wollaston to avoid using the conjectural expression atomic weight, with which, however, for a time it was practically synonymous. The attempt to limit the term to the meaning of a universally comparative combining weight failed, because of the possibility of several compounds of the substances by reason of the variation in combining power which most elements exhibit. The equivalent was really identical with, or a multiple of submultiple of, the atomic weight. 3. (Chem.)  A combining unit, whether an atom, a radical, or a molecule; as, in acid salt two or more equivalents of acid unite with one or more equivalents of base. Mechanical equivalent of heat (Physics), the number of units of work which the unit of heat can perform; the mechanical energy which must be expended to raise the temperature of a unit weight of water from 0º C. to 1º C., or from 32º F. to 33º F. The term was introduced by Dr. Mayer of Heilbronn. Its value was found by Joule to be 1390 foot pounds upon the Centigrade, or 772 foot pounds upon the Fahrenheit, thermometric scale, whence it is often called Joule's equivalent, and represented by the symbol J. This is equal to 424 kilogram meters (Centigrade scale). A more recent determination by Professor Rowland gives the value 426.9 kilogram meters, for the latitude of Baltimore.\n\nTo make the equivalent to; to equal; equivalence. [R.]
equivalently |In an equal manner.
equivalue |To put an equal value upon; to put (something) on a par with another thing. W. Taylor.
equivalve |Having the valves equal in size and from, as in most bivalve shells.
equivalved |Having the valves equal in size and from, as in most bivalve shells.
equivalvular |Same as Equivalve or Equivalved.
equivocacy |Equivocalness.
equivocal |1. (Literally, called equally one thing or the other; hence:) Having two significations equally applicable; capable of double interpretation; of doubtful meaning; ambiguous; uncertain; as, equivocal words; an equivocal sentence. For the beauties of Shakespeare are not of so dim or equivocal a nature as to be visible only to learned eyes. Jeffrey. 2. Capable of being ascribed to different motives, or of signifying opposite feelings, purposes, or characters; deserving to be suspected; as, his actions are equivocal. \"Equivocal repentances.\" Milton. 3. Uncertain, as an indication or sign; doubtful. \"How equivocal a test.\" Burke. Equivocal chord (Mus.), a chord which can be resolved into several distinct keys; one whose intervals, being all minor thirds, do not clearly indicate its fundamental tone or root; the chord of the diminished triad, and the diminished seventh. Syn. -- Ambiguous; doubtful; uncertain; indeterminate. -- Equivocal, Ambiguous. We call an expression ambiguous when it has one general meaning, and yet contains certain words which may be taken in two different senses; or certain clauses which can be so connected with other clauses as to divide the mind between different views of part of the meaning intended. We call an expression equivocal when, taken as a whole, it conveys a given thought with perfect clearness and propriety, and also another thought with equal propriety and clearness. Such were the responses often given by the Delphic oracle; as that to Crambiguous is a mere blunder of language; what is equivocal is usually intended to deceive, though it may occur at times from mere inadvertence. Equivocation is applied only to cases where there is a design to deceive.\n\nA word or expression capable of different meanings; an ambiguous term; an equivoque. In languages of great ductility, equivocals like that just referred to are rarely found. Fitzed. Hall.
equivocally |In an equivocal manner.
equivocalness |The state of being equivocal.
equivocate |To use words of equivocal or doubtful signification; to express one's opinions in terms which admit of different senses, with intent to deceive; to use ambiguous expressions with a view to mislead; as, to equivocate is the work of duplicity. All that Garnet had to say for him was that he supposed he meant to equivocate. Bp. Stillingfleet. Syn. -- To prevaricate; evade; shuffle; quibble. See Prevaricate.\n\nTo render equivocal or ambiguous. He equivocated his vow by a mental reservation. Sir G. Buck.
equivocation |The use of expressions susceptible of a double signification, with a purpose to mislead. There being no room for equivocations, there is no need of distinctions. Locke. Syn. -- Prevarication; ambiguity; shuffling; evasion; guibbling. See Equivocal, a., and Prevaricate, v. i.
equivocator |One who equivocates. Here's an equivocator that could swear in both the scales against either scale, yet could not equivocate to heaven. Shak.
equivocatory |Indicating, or characterized by, equivocation.
equivoke |1. An ambiguous term; a word susceptible of different significations. Coleridge. 2. An equivocation; a guibble. B. Jonson.
equivoque |1. An ambiguous term; a word susceptible of different significations. Coleridge. 2. An equivocation; a guibble. B. Jonson.
equivorous |Feeding on horseflesh; as, equivorous Tartars.
equus |A genus of mammals, including the horse, ass, etc.
era |1. A fixed point of time, usually an epoch, from which a series of years is reckoned. The foundation of Solomon's temple is conjectured by Ideler to have been an era. R. S. Poole. 2. A period of time reckoned from some particular date or epoch; a succession of years dating from some important event; as, the era of Alexander; the era of Christ, or the Christian era (see under Christian). The first century of our era. M. Arnold. 3. A period of time in which a new order of things prevails; a signal stage of history; an epoch. Painting may truly be said to have opened the new era of culture. J. A. Symonds. Syn. -- Epoch; time; date; period; age; dispensation. See Epoch.
eradiate |To shoot forth, as rays of light; to beam; to radiate. Dr. H. More.
eradiation |Emission of radiance.
eradicable |Capable of being eradicated.
eradicate |1. To pluck up by the roots; to root up; as, an oak tree eradicated. 2. To root out; to destroy utterly; to extirpate; as, to eradicate diseases, or errors. This, although now an old an inveterate evil, might be eradicated by vigorous treatment. Southey. Syn. -- To extirpate; root out; exterminate; destroy; annihilate.
eradication |1. The act of plucking up by the roots; a rooting out; extirpation; utter destruction. 2. The state of being plucked up by the roots.
eradicative |Tending or serving to eradicate; curing or destroying thoroughly, as a disease or any evil.\n\nA medicine that effects a radical cure. Whitlock.
erasable |Capable of being erased.
erase |1. To rub or scrape out, as letters or characters written, engraved, or painted; to efface; to expunge; to cross out; as, to erase a word or a name. 2. Fig.: To obliterate; to expunge; to blot out; -- used of ideas in the mind or memory. Burke.
erased |1. Rubbed or scraped out; effaced; obliterated. 2. (Her.)  Represented with jagged and uneven edges, as is torn off; -- used esp. of the head or limb of a beast. Cf. Couped.
erasement |The act of erasing; a rubbing out; expunction; obliteration. Johnson.
eraser |One who, or that which, erases; esp., a sharp instrument or a piece of rubber used to erase writings, drawings, etc.
erasion |The act of erasing; a rubbing out; obliteration.
erastian |One of the followers of Thomas Erastus, a German physician and theologian of the 16th century. He held that the punishment of all offenses should be referred to the civil power, and that holy communion was open to all. In the present day, an Erastian is one who would see the church placed entirely under the control of the State. Shipley.
erastianism |The principles of the Erastains.
erasure |The act of erasing; a scratching out; obliteration.
erative |Pertaining to the Muse Erato who presided over amatory poetry. Stormonth.
erato |The Muse who presided over lyric and amatory poetry.
erbium |A rare metallic element associated with several other rare elements in the mineral gadolinite from Ytterby in Sweden. Symbol Er. Atomic weight 165.9. Its salts are rose-colored and give characteristic spectra. Its sesquioxide is called erbia.
ercedeken |An archdeacon. [Obs.]
erd |The earth. [Prov. Eng.] Wright. Erd shrew (Zoöl.), the common European shrew (Sorex vulgaris); the shrewmouse.
ere |1. Before; sooner than. [Archaic or Poetic] Myself was stirring ere the break of day. Shak. Ere sails were spread new oceans to explore. Dryden. Sir, come down ere my child die. John iv. 49. 2. Rather than. I will be thrown into Etna, . . . ere I will leave her. Shak. Ere long, before, shortly. Shak. -- Ere now, formerly, heretofore. Shak. -- Ere that, and Or are. Same as Ere. Shak.\n\nTo plow. [Obs.] See Ear, v. t. Chaucer.
erebus |1. (Greek Myth.)  A place of nether darkness, being the gloomy space through which the souls passed to Hades. See Milton's \"Paradise Lost,\" Book II., line 883. 2. (Greek Myth.)  The son of Chaos and brother of Nox, who dwelt in Erebus. To the infernal deep, with Erebus and tortures vile. Shak.
erect |1. Upright, or having a vertical position; not inverted; not leaning or bent; not prone; as, to stand erect. Two of far nobler shape, erect and tall. Milton. Among the Greek colonies and churches of Asia, Philadelphia is still erect -- a column of ruins. Gibbon. 2. Directed upward; raised; uplifted. His piercing eyes, erect, appear to view Superior worlds, and look all nature through. Pope. 3. Bold; confident; free from depression; undismayed. But who is he, by years Bowed, but erect in heart Keble. 4. Watchful; alert. Vigilant and erect attention of mind. Hooker. 5. (Bot.)  Standing upright, with reference to the earth's surface, or to the surface to which it is attached. 6. (Her.)  Elevated, as the tips of wings, heads of serpents, etc.\n\n1. To raise and place in an upright or perpendicular position; to set upright; to raise; as, to erect a pole, a flagstaff, a monument, etc. 2. To raise, as a building; to build; to construct; as, to erect a house or a fort; to set up; to put together the component parts of, as of a machine. 3. To lift up; to elevate; to exalt; to magnify. That didst his state above his hopes erect. Daniel. I, who am a party, am not to erect myself into a judge. Dryden. 4. To animate; to encourage; to cheer. It raiseth the dropping spirit, erecting it to a loving complaisance. Barrow. 5. To set up as an assertion or consequence from premises, or the like. \"To erect conclusions.\" Sir T. Browne. \"Malebranche erects this proposition.\" Locke. 6. To set up or establish; to found; to form; to institute. \"To erect a new commonwealth.\" Hooker. Erecting shop (Mach.), a place where large machines, as engines, are put together and adjusted. Syn. -- To set up; raise; elevate; construct; build; institute; establish; found.\n\nTo rise upright. [Obs.] By wet, stalks do erect. Bacon.
erectable |Capable of being erected; as, an erectable feather. Col. G. Montagu.
erecter |An erector; one who raises or builds.
erectile |Capable of being erected; susceptible of being erected of dilated. Erectile tissue (Anat.), a tissue which is capable of being greatly dilated and made rigid by the distension of the numerous blood vessels which it contains.
erectility |The quality or state of being erectile.
erection |1. The act of erecting, or raising upright; the act of constructing, as a building or a wall, or of fitting together the parts of, as a machine; the act of founding or establishing, as a commonwealth or an office; also, the act of rousing to excitement or courage. 2. The state of being erected, lifted up, built, established, or founded; exaltation of feelings or purposes. Her peerless height my mind to high erection draws up. Sidney 3. State of being stretched to stiffness; tension. 4. Anything erected; a building of any kind. 5. (Physiol.)  The state of a part which, from having been soft, has become hard and swollen by the accumulation of blood in the erectile tissue.
erective |Making erect or upright; raising; tending to erect.
erectly |In an erect manner or posture.
erectness |Uprightness of posture or form.
erecto-patent |1. (Bot.)  Having a position intermediate between erect and patent, or spreading. 2. (Zoöl.)  Standing partially spread and erect; -- said of the wings of certain insects.
erector |1. One who, or that which, erects. 2. (Anat.)  A muscle which raises any part. 3. (Physics)  An attachment to a microscope, telescope, or other optical instrument, for making the image erect instead of inverted.
erelong |Before the ere long. A man, . . . following the stag, erelong slew him. Spenser. The world, erelong, a world of tears must weep. Milton.
eremacausis |A gradual oxidation from exposure to air and moisture, as in the decay of old trees or of dead animals.
eremitage |See Hermitage.
eremite |A hermit. Thou art my heaven, and I thy eremite. Keats.
eremitic |Of or pertaining to an eremite; hermitical; living in solitude. \"An eremitical life in the woods.\" Fuller. \"The eremitic instinct.\" Lowell.
eremitical |Of or pertaining to an eremite; hermitical; living in solitude. \"An eremitical life in the woods.\" Fuller. \"The eremitic instinct.\" Lowell.
eremitish |Eremitic. Bp. Hall.
eremitism |The state of a hermit; a living in seclusion from social life.
ereptation |A creeping forth. [Obs.]
ereption |A snatching away. [Obs.] Cockeram.
erethism |A morbid degree of excitement or irritation in an organ. Hoblyn.
erethistic |Relating to erethism.
erewhile |Some time ago; a little while before; heretofore. [Archaic] I am as fair now as I was erewhile. Shak.
erewhiles |Some time ago; a little while before; heretofore. [Archaic] I am as fair now as I was erewhile. Shak.
erf |A garden plot, usually about half an acre. [Cape Colony]
erg |The unit of work or energy in the C. G. S. system, being the amount of work done by a dyne working through a distance of one centimeter; the amount of energy expended in moving a body one centimeter against a force of one dyne. One foot pound is equal to 13,560,000 ergs.
ergal |Potential energy; negative value of the force function.
ergat |To deduce logically, as conclusions. [Obs.] Hewyt.
ergmeter |An instrument for measuring energy in ergs.
ergo |Therefore; consequently; -- often used in a jocular way. Shak.
ergograph |An instrument for measuring and recording the work done by a single muscle or set of muscles, the rate of fatigue, etc. -- Er`go*graph\"ic (#), a.
ergometer |A device for measuring, or an instrument for indicating, energy expended or work done; a dynamometer. -- Er`go*met\"ric (#), a.
ergon |(a) Work, measured in terms of the quantity of heat to which it is equivalent. (b) = Erg.
ergot |1. A diseased condition of rye and other cereals, in which the grains become black, and often spur-shaped. It is caused by a parasitic fungus, Claviceps purpurea. 2. The mycelium or spawn of this fungus infecting grains of rye and wheat. It is a powerful remedial agent, and also a dangerous poison, and is used as a means of hastening childbirth, and to arrest bleeding. 3. (Far.)  A stub, like soft horn, about the size of a chestnut, situated behind and below the pastern joint. 4. (Anat.)  See 2d Calcar, 3 (b).
ergotic |Pertaining to, or derived from, ergot; as, ergotic acid.
ergotin |An extract made from ergot.
ergotine |A powerful astringent alkaloid extracted from ergot as a brown, amorphous, bitter substance. It is used to produce contraction of the uterus.
ergotism |A logical deduction. [Obs.] Sir T. Browne.\n\nA diseased condition produced by eating rye affected with the ergot fungus.
ergotized |Affected with the ergot fungus; as, ergotized rye.
eriach |A recompense formerly given by a murderer to the relatives of the murdered person.
eric |A recompense formerly given by a murderer to the relatives of the murdered person.
erica |A genus of shrubby plants, including the heaths, many of them producing beautiful flowers.
ericaceous |Belonging to the Heath family, or resembling plants of that family; consisting of heats.
ericinol |A colorless oil (quickly becoming brown), with a pleasant odor, obtained by the decomposition of ericolin.
ericius |The Vulgate rendering of the Hebrew word qipod, which in the \"Authorized Version\" is translated bittern, and in the Revised Version, porcupine. I will make it [Babylon] a possession for the ericius and pools of waters. Is. xiv. 23 (Douay version).
ericolin |A glucoside found in the bearberry (and others of the Ericaceæ), and extracted as a bitter, yellow, amorphous mass.
eridanus |A long, winding constellation extending southward from Taurus and containing the bright star Achernar.
erigible |Capable of being erected. [Obs.]
erin |An early, and now a poetic, name of Ireland.
erinaceous |Of the Hedgehog family; like, or characteristic of, a hedgehog.
eringo |The sea holly. See Eryngo.
erinite |A hydrous arseniate of copper, of an emerald-green color; -- so called from Erin, or Ireland, where it occurs.
erinys |An avenging deity; one of the Furies; sometimes, conscience personified. [Written also Erinnys.]
eriometer |An instrument for measuring the diameters of minute particles or fibers, from the size of the colored rings produced by the diffraction of the light in which the objects are viewed.
eristalis |A genus of dipterous insects whose young (called rat-tailed larvæ) are remarkable for their long tapering tail, which spiracles at the tip, and for their ability to live in very impure and salt waters; -- also called drone fly.
eristic |Controversial. [Archaic] A specimen of admirable special pleading in the court of eristic logic. Coleridge.
eristical |Controversial. [Archaic] A specimen of admirable special pleading in the court of eristic logic. Coleridge.
erke |ASlothful. [Obs.] Rom. of R.
erlking |A personification, in German and Scandinavian mythology, of a spirit natural power supposed to work mischief and ruin, esp. to children.
erme |To grieve; to feel sad. [Obs.] Chaucer.
ermelin |See Ermine. Shenstone.
ermilin |See Ermine. Shenstone.
ermin |An Armenian. [Obs.] Chaucer.
ermine |1. (Zoöl.)  A valuable fur-bearing animal of the genus Mustela (M. erminea), allied to the weasel; the stoat. It is found in the northern parts of Asia, Europe, and America. In summer it is brown, but in winter it becomes white, except the tip of the tail, which is always black. 2. The fur of the ermine, as prepared for ornamenting garments of royalty, etc., by having the tips of the tails, which are black, arranged at regular intervals throughout the white. 3. By metonymy, the office or functions of a judge, whose state robe, lined with ermine, is emblematical of purity and honor without stain. Chatham. 4. (Her.)  One of the furs. See Fur (Her.) Note: Ermine is represented by an argent field, tufted with black. Ermines is the reverse of ermine, being black, spotted or timbered with argent. Erminois is the same as ermine, except that or is substituted for argent. Ermine moth (Zoöl.), a white moth with black spots (esp. Yponomeuta padella of Europe); -- so called on account of the resemblance of its covering to the fur of the ermine; also applied to certain white bombycid moths of America.\n\nTo clothe with, or as with, ermine. The snows that have ermined it in the winter. Lowell.
ermined |Clothed or adorned with the fur of the ermine. Pope.
ermines |See Note under Ermine, n., 4.
erminois |See Note under Ermine, n., 4.
ermit |A hermit. [Obs.]
ern |A sea eagle, esp. the European white-tailed sea eagle (Haliæetus albicilla).\n\nTo stir with strong emotion; to grieve; to mourn. Note: [Corrupted into yearn in modern editions of Shakespeare.] [Obs.]
erne |A sea eagle, esp. the European white-tailed sea eagle (Haliæetus albicilla).
ernest |See Earnest. [Obs.] Chaucer.
ernestful |Serious. [Obs.] Chaucer.
erode |To eat into or away; to corrode; as, canker erodes the flesh. \"The blood . . . erodes the vessels.\" Wiseman. The smaller charge is more apt to . . . erode the gun. Am. Cyc.
eroded |1. Eaten away; gnawed; irregular, as if eaten or worn away. 2. (Bot.)  Having the edge worn away so as to be jagged or irregularly toothed.
erodent |A medicine which eats away extraneous growths; a caustic.
erogate |To lay out, as money; to deal out; to expend. [Obs.]
erogation |The act of giving out or bestowing. [Obs.] Sir T. Elyot.
eros |Love; the god of love; -- by earlier writers represented as one of the first and creative gods, by later writers as the son of Aphrodite, equivalent to the Latin god Cupid.
erose |1. Irregular or uneven as if eaten or worn away. 2. (Bot.)  Jagged or irregularly toothed, as if nibbled out or gnawed. -- E*rose\"ly, adv.
erosion |1. The act or operation of eroding or eating away. 2. The state of being eaten away; corrosion; canker.
erosive |That erodes or gradually eats away; tending to erode; corrosive. Humble.
erostrate |Without a beak.
eroteme |A mark indicating a question; a note of interrogation.
erotesis |A figure o Must I give way and room to your rash choler Shall I be frighted when a madman stares Shak.
erotic |Of or pertaining to the passion of love; treating of love; amatory.\n\nAn amorous composition or poem.
erotical |Of or pertaining to the passion of love; treating of love; amatory.
eroticism |Erotic quality.
erpetologist |Herpetologist.
erpetology |Herpetology.
err |1. To wander; to roam; to stray. [Archaic] \"Why wilt thou err from me\" Keble. What seemeth to you, if there were to a man an hundred sheep and one of them hath erred. Wyclif (Matt. xviii. 12). 2. To deviate from the true course; to miss the thing aimed at. \"My jealous aim might err.\" Shak. 3. To miss intellectual truth; to fall into error; to mistake in judgment or opinion; to be mistaken. The man may err in his judgment of circumstances. Tillotson. 4. To deviate morally from the right way; to go astray, in a figurative sense; to do wrong; to sin. Do they not err that devise evil Prov. xiv. 22. 5. To offend, as by erring.
errable |Liable to error; fallible.
errableness |Liability to error. Dr. H. More.
errabund |Erratic. \"Errabund guesses.\" Southey.
errancy |A wandering; state of being in error.
errand |A special business intrusted to a messenger; something to be told or done by one sent somewhere for the purpose; often, a verbal message; a commission; as, the servant was sent on an errand; to do an errand. Also, one's purpose in going anywhere. I have a secret errand to thee, O king. Judg. iii. 19. I will not eat till I have told mine errand. Gen. xxiv. 33. mission.
errant |1. Wandering; deviating from an appointed course, or from a direct path; roving. Seven planets or errant stars in the lower orbs of heaven. Sir T. Browne. 2. Notorious; notoriously bad; downright; arrant. Would make me an errant fool. B. Jonson. 3. (Eng. Law)  Journeying; itinerant; -- formerly applied to judges who went on circuit and to bailiffs at large. Mozley & W.\n\nOne who wanders about. [Obs.] Fuller.
errantia |A group of chætopod annelids, including those that are not confined to tubes. See Chætopoda. [Written also Errantes.]
errantry |1. A wandering; a roving; esp., a roving in quest of adventures. Addison. 2. The employment of a knight-errant. Johnson.
errata |See Erratum.
erratic |1. Having no certain course; roving about without a fixed destination; wandering; moving; -- hence, applied to the planets as distinguished from the fixed stars. The earth and each erratic world. Blackmore. 2. Deviating from a wise of the common course in opinion or conduct; eccentric; strange; queer; as, erratic conduct. 3. Irregular; changeable. \"Erratic fever.\" Harvey. Erratic blocks, gravel, etc. (Geol.), masses of stone which have been transported from their original resting places by the agency of water, ice, or other causes. -- Erratic phenomena, the phenomena which relate to transported materials on the earth's surface.\n\n1. One who deviates from common and accepted opinions; one who is eccentric or preserve in his intellectual character. 2. A rogue. [Obs.] Cockeram. 3. (Geol.)  Any stone or material that has been borne away from its original site by natural agencies; esp., a large block or fragment of rock; a bowlder. Note: In the plural the term is applied especially to the loose gravel and stones on the earth's surface, including what is called drift.
erratical |Erratic. -- Er*rat\"ic*al*ly, adv. -- Er*rat\"ic*al*ness, n.
erration |A wandering; a roving about. [Obs.] Cockeram.
erratum |An error or mistake in writing or printing. A single erratum may knock out the brains of a whole passage. Cowper.
errhine |A medicine designed to be snuffed up the nose, to promote discharges of mucus; a sternutatory. Coxe. -- a.  Causing or increasing secretion of nasal mucus.
erroneous |1. Wandering; straying; deviating from the right course; -- hence, irregular; unnatural. [Obs.] \"Erroneous circulation.\" Arbuthnot. Stopped much of the erroneous light, which otherwise would have disturbed the vision. Sir I. Newman. 2. Misleading; misled; mistaking. [Obs.] An erroneous conscience commands us to do what we ought to omit. Jer. Taylor. 3. Containing error; not conformed to truth or justice; incorrect; false; mistaken; as, an erroneous doctrine; erroneous opinion, observation, deduction, view, etc. -- Er*ro\"ne*ous*ly, adv. -- Er*ro\"ne*ous*ness, n.
error |1. A wandering; a roving or irregular course. [Obs.] The rest of his journey, his error by sea. B. Jonson. 2. A wandering or deviation from the right course or standard; irregularity; mistake; inaccuracy; something made wrong or left wrong; as, an error in writing or in printing; a clerical error. 3. A departing or deviation from the truth; falsity; false notion; wrong opinion; mistake; misapprehension. Herror, though his candor remained unimpaired. Bancroft. 4. A moral offense; violation of duty; a sin or transgression; iniquity; fault. Ps. xix. 12. 5. (Math.)  The difference between the approximate result and the true result; -- used particularly in the rule of double position. 6. (Mensuration) (a) The difference between an observed value and the true value of a quantity. (b) The difference between the observed value of a quantity and that which is taken or computed to be the true value; -- sometimes called residual error. 7. (Law.)  A mistake in the proceedings of a court of record in matters of law or of fact. 8. (Baseball)  A fault of a player of the side in the field which results in failure to put out a player on the other side, or gives him an unearned base. Law of error, or Law of frequency of error (Mensuration), the law which expresses the relation between the magnitude of an error and the frequency with which that error will be committed in making a large number of careful measurements of a quantity. -- Probable error. (Mensuration) See under Probable. -- Writ of error (Law), an original writ, which lies after judgment in an action at law, in a court of record, to correct some alleged error in the proceedings, or in the judgment of the court. Bouvier. Burrill. Syn. -- Mistake; fault; blunder; failure; fallacy; delusion; hallucination; sin. See Blunder.
errorful |Full of error; wrong. Foxe.
errorist |One who encourages and propagates error; one who holds to error.
ers |The bitter vetch (Ervum Ervilia).
erse |A name sometimes given to that dialect of the Celtic which is spoken in the Highlands of Scotland; -- called, by the Highlanders, Gaelic.\n\nOf or pertaining to the Celtic race in the Highlands of Scotland, or to their language.
ersh |See Arrish.
erst |1. First. Chaucer. 2. Previously; before; formerly; heretofore. Chaucer. Tityrus, with whose style he had erst disclaimed all ambition to match his pastoral pipe. A. W. Ward. At erst, at first; at the beginning. -- Now at erst, at this present time. Chaucer.
erstwhile |Till then or now; heretofore; formerly. [Archaic]
erubescence |The act of becoming red; redness of the skin or surface of anything; a blushing.
erubescency |The act of becoming red; redness of the skin or surface of anything; a blushing.
erubescent |Red, or reddish; blushing. Johnson.
erubescite |See Bornite.
eruca |An insect in the larval state; a caterpillar; a larva.
erucic |Pertaining to, or derived from, a genus of cruciferous Mediterranean herbs (Eruca or Brassica); as, erucic acid, a fatty acid resembling oleic acid, and found in colza oil, mustard oil, etc.
erucifrom |Having the form of a caterpillar; -- said of insect larvæ.
eruct |To eject, as wind, from the stomach; to belch. [R.] Howell.
eructate |To eject, as wind, from the stomach; to belch. [R.] Howell.
eructation |1. The act of belching wind from the stomach; a belch. 2. A violent belching out or emitting, as of gaseous or other matter from the crater of a volcano, geyser, etc.
erudiate |To instruct; to educate; to teach. [Obs.] The skillful goddess there erudiates these In all she did. Fanshawe.
erudite |Characterized by extensive reading or knowledge; well instructed; learned. \"A most erudite prince.\" Sir T. More. \"Erudite . . . theology.\" I. Taylor. -- Er\"u*dite`ly, adv. -- Er\"u*dite`ness, n.
erudition |The act of instructing; the result of thorough instruction; the state of being erudite or learned; the acquisitions gained by extensive reading or study; particularly, learning in literature or criticism, as distinct from the sciences; scholarship. The management of a young lady's person is not be overlooked, but the erudition of her mind is much more to be regarded. Steele. The gay young gentleman whose erudition sat so easily upon him. Macaulay. Syn. -- Literature; learning. See Literature.
erugate |Freed from wrinkles; smooth.
eruginous |Partaking of the substance or nature of copper, or of the rust copper; resembling the trust of copper or verdigris; æruginous.
erumpent |Breaking out; -- said of certain fungi which burst through the texture of leaves.
erupt |To cause to burst forth; to eject; as, to erupt lava. Huxley.
eruption |1. The act of breaking out or bursting forth; as: (a) A violent throwing out of flames, lava, etc., as from a volcano of a fissure in the earth's crust. (b) A sudden and overwhelming hostile movement of armed men from one country to another. Milton. (c) A violent commotion. All Paris was quiet . . . to gather fresh strength for the next day's eruption. W. Irving. 2. That which bursts forth. 3. A violent exclamation; ejaculation. He would . . . break out into bitter and passionate eruditions. Sir H. Wotton. 4. (Med.)  The breaking out of pimples, or an efflorescence, as in measles, scarlatina, etc.
eruptional |Eruptive. [R.] R. A. Proctor.
eruptive |1. Breaking out or bursting forth. The sudden glance Appears far south eruptive through the cloud. Thomson. 2. (Med.)  Attended with eruption or efflorescence, or producing it; as, an eruptive fever. 3. (Geol.)  Produced by eruption; as, eruptive rocks, such as the igneous or volcanic.\n\nAn eruptive rock.
eryngium |A genus of umbelliferous plants somewhat like thistles in appearance. Eryngium maritimum, or sea holly, has been highly esteemed as an aphrodisiac, the roots being formerly candied.
eryngo |A plant of the genus Eryngium.
erysipelas |St. Anthony's fire; a febrile disease accompanied with a diffused inflammation of the skin, which, starting usually from a single point, spreads gradually over its surface. It is usually regarded as contagious, and often occurs epidemically.
erysipelatoid |Resembling erysipelas.
erysipelatous |Resembling erysipelas, or partaking of its nature.
erysipelous |Erysipelatous.
erythema |A disease of the skin, in which a diffused inflammation forms rose-colored patches of variable size.
erythematic |Characterized by, or causing, a morbid redness of the skin; relating to erythema.
erythematous |Relating to, or causing, erythema.
erythraean |Red in color. \"The erythrean main.\" Milton.
erythrean |Red in color. \"The erythrean main.\" Milton.
erythric |Pertaining to, derived from, or resembling, erythrin.
erythrin |1. (Chem.)  A colorless crystalline substance, C20H22O10, extracted from certain lichens, as the various species of Rocella. It is a derivative of orsellinic acid. So called because of certain red compounds derived from it. Called also erythric acid. 2. (Min.)  See Erythrite, 2.
erythrina |A genus of leguminous plants growing in the tropics; coral tree; -- so called from its red flowers.
erythrine |1. (Chem.)  A colorless crystalline substance, C20H22O10, extracted from certain lichens, as the various species of Rocella. It is a derivative of orsellinic acid. So called because of certain red compounds derived from it. Called also erythric acid. 2. (Min.)  See Erythrite, 2.
erythrism |A condition of excessive redness. See Erythrochroism.
erythrite |1. (Chem.)  A colorless crystalline substance, C4H6.(OH)4, of a sweet, cooling taste, extracted from certain lichens, and obtained by the decomposition of erythrin; -- called also erythrol, erythroglucin, erythromannite, pseudorcin, cobalt bloom, and under the name phycite obtained from the alga Protococcus vulgaris. It is a tetrabasic alcohol, corresponding to glycol and glycerin. 2. (Min.)  A rose-red mineral, crystallized and earthy, a hydrous arseniate of cobalt, known also as cobalt bloom; -- called also erythrin or erythrine.
erythrochroic |Having, or subject to, erythrochroism.
erythrochroism |An unusual redness, esp. in the plumage of birds, or hair of mammals, independently of age, sex, or season.
erythrodextrin |A dextrin which gives a red color with iodine. See Dextrin.
erythrogen |(a) Carbon disulphide; -- so called from certain red compounds which it produces in combination with other substances. (b) A substance reddened by acids, which is supposed to be contained in flowers. (c) A crystalline substance obtained from diseased bile, which becomes blood-red when acted on by nitric acid or ammonia.
erythrogranulose |A term applied by Brücke to a substance present in small amount in starch granules, colored red by iodine.
erythroid |Of a red color; reddish; as, the erythroid tunic (the cremaster muscle).
erythroleic |Having a red color and oily appearance; -- applied to a purple semifluid substance said to be obtained from archil.
erythrolein |A red substance obtained from litmus.
erythrolitmin |Erythrolein.
erythronium |A name originally given (from its red acid) to the metal vanadium. [R.]
