oviposit |To lay or deposit eggs; -- said esp. of insects.\n\nTo deposit or lay (an egg).
pack |1. To make a pack of; to arrange closely and securely in a pack; hence, to place and arrange compactly as in a pack; to press into close order or narrow compass; as to pack goods in a box; to pack fish. Strange materials packed up with wonderful art. Addison. Where . . . the bones Of all my buried ancestors are packed. Shak. 2. To fill in the manner of a pack, that is, compactly and securely, as for transportation; hence, to fill closely or to repletion; to stow away within; to cause to be full; to crowd into; as, to pack a trunk; the play, or the audience, packs the theater. 3. To sort and arrange (the cards) in a pack so as to secure the game unfairly. And mighty dukes pack cards for half a crown. Pope. 4. Hence: To bring together or make up unfairly and fraudulently, in order to secure a certain result; as, to pack a jury or a causes. The expected council was dwindling into . . . a packed assembly of Italian bishops. Atterbury. 5. To contrive unfairly or fraudulently; to plot. [Obs.] He lost life . . . upon a nice point subtilely devised and packed by his enemies. Fuller. 6. To load with a pack; hence, to load; to encumber; as, to pack a horse. Our thighs packed with wax, our mouths with honey. Shack. 7. To cause to go; to send away with baggage or belongings; esp., to send away peremptorily or suddenly; -- sometimes with off; as, to pack a boy off to school. He . . . must not die Till George be packed with post horse up to heaven. Shak. 8. To transport in a pack, or in the manner of a pack (i. e., on the backs of men or beasts). [Western U.S.] 9. (Hydropathy)  To envelop in a wet or dry sheet, within numerous coverings. See Pack, n., 5. 10. (Mech.)  To render impervious, as by filling or surrounding with suitable material, or to fit or adjust so as to move without giving passage to air, water, or steam; as, to pack a joint; to pack the piston of a steam engine.\n\n1. To make up packs, bales, or bundles; to stow articles securely for transportation. 2. To admit of stowage, or of making up for transportation or storage; to become compressed or to settle together, so as to form a compact mass; as, the goods pack conveniently; wet snow packs well. 3. To gather in flocks or schools; as, the grouse or the perch begin to pack. [Eng.] 4. To depart in haste; -- generally with off or away. Poor Stella must pack off to town Swift. You shall pack, And never more darken my doors again. Tennyson. 5. To unite in bad measures; to confederate for ill purposes; to join in collusion. [Obs.] \"Go pack with him.\" Shak. To send packing, to drive away; to send off roughly or in disgrace; to dismiss unceremoniously. \"The parliament . . . presently sent him packing. South.
pack herse |See under 2d Pack.
pack saddle |See under 2d Pack.
pack thread |See under 2d Pack.
package |1. Act or process of packing. 2. A bundle made up for transportation; a packet; a bale; a parcel; as, a package of goods. 3. A charge made for packing goods. 4. A duty formerly charged in the port of London on goods imported or exported by aliens, or by denizens who were the sons of aliens.
packer |A person whose business is to pack things; especially, one who packs food for preservation; as, a pork packer.
packet |1. A small pack or package; a little bundle or parcel; as, a packet of letters. Shak. 2. Originally, a vessel employed by government to convey dispatches or mails; hence, a vessel employed in conveying dispatches, mails, passengers, and goods, and having fixed days of sailing; a mail boat. Packet boat, ship, or vessel. See Packet, n., 2. -- Packet day, the day for mailing letters to go by packet; or the sailing day. -- Packet note or post. See under Paper.\n\n1. To make up into a packet or bundle. 2. To send in a packet or dispatch vessel. Her husband Was packeted to France. Ford.\n\nTo ply with a packet or dispatch boat.
packfong |A Chinese alloy of nickel, zinc, and copper, resembling German silver.
packhouse |Warehouse for storing goods.
packing |1. The act or process of one who packs. 2. Any material used to pack, fill up, or make close. Specifically (Mach.):  A substance or piece used to make a joint impervious; as: (a) A thin layer, or sheet, of yielding or elastic material inserted between the surfaces of a flange joint. (b) The substance in a stuffing box, through which a piston rod slides. (c) A yielding ring, as of metal, which surrounds a piston and maintains a tight fit, as inside a cylinder, etc. 3. (Masonry)  Same as Filling. [Rare in the U. S.] 4. A trick; collusion. [Obs.] Bale. Cherd packing (Bridge Building), the arrangement, side by side, of several parts, as bars, diagonals, a post, etc., on a pin at the bottom of a chord. Waddell. -- Packing box, a stuffing box. See under Stuffing. -- Packing press, a powerful press for baling cotton, wool, hay, etc. -- Packing ring. See Packing, 2 (c), and Illust. of Piston. -- Packing sheet. (a) A large cloth for packing goods. (b) A sheet prepared for packing hydropathic patients.
packman |One who bears a pack; a peddler.
packwax |Same as Paxwax.
packway |A path, as over mountains, followed by pack animals.
paco |1. (Zoöl.)  Same as Alpaca. 2. Etym: [Peruv. paco, pacu, red, reddish, reddish ore containing silver; perh. a different word.] (Min.)  An earthy-looking ore, consisting of brown oxide of iron with minute particles of native silver. Ure.
pacos |1. (Zoöl.)  Same as Alpaca. 2. Etym: [Peruv. paco, pacu, red, reddish, reddish ore containing silver; perh. a different word.] (Min.)  An earthy-looking ore, consisting of brown oxide of iron with minute particles of native silver. Ure.
pact |An agreement; a league; a compact; a covenant. Bacon. The engagement and pact of society whish goes by the name of the constitution. Burke.
paction |An agreement; a compact; a bargain. [R.] Sir W. Scott.
pactional |Of the nature of, or by means of, a paction. Bp. Sanderson.
pactitious |Setted by a pact, or agreement. [R.] Johnson.
pactolian |Pertaining to the Pactolus, a river in ancient Lydia famous for its golden sands.
pacu |A South American freah-water fish (Myleies pacu), of the family Characinidæ. It is highly esteemed as food.
pad |1. A footpath; a road. [Obs. or Prov. Eng.] 2. An easy-paced horse; a padnag. Addison An abbot on an ambling pad. Tennyson. 3. A robber that infests the road on foot; a highwayman; -- usually called a footpad. Gay. Byron. 4. The act of robbing on the highway. [Obs.]\n\nTo travel upon foot; to tread. [Obs.] Padding the streets for half a crown. Somerville.\n\n1. To travel heavily or slowly. Bunyan. 2. To rob on foot. [Obs.] Cotton Mather. 3. To wear a path by walking. [Prov. Eng.]\n\n1. A soft, or small, cushion; a mass of anything soft; stuffing. 2. A kind of cushion for writing upon, or for blotting; esp., one formed of many flat sheets of writing paper, or layers of blotting paper; a block of paper. 3. A cushion used as a saddle without a tree or frame. 4. A stuffed guard or protection; esp., one worn on the legs of horses to prevent bruising. 5. (Zoöl.)  A cushionlike thickening of the skin one the under side of the toes of animals. 6. A floating leaf of a water lily or similar plant. 7. (Med.)  A soft bag or cushion to relieve pressure, support a part, etc. 8. (Naut.)  A piece of timber fixed on a beam to fit the curve of the deck. W. C. Russel. 9. A measure for fish; as, sixty mackerel go to a pad; a basket of soles. [Eng.] Simmonds. Pad cloth, a saddlecloth; a housing. -- Pad saddle. See def. 3, above. -- Pad tree (Harness Making), a piece of wood or metal which gives rigidity and shape to a harness pad. Knight.\n\n1. To stuff; to furnish with a pad or padding. 2. (Calico Printing)  To imbue uniformly with a mordant; as, to pad cloth. Ure.
pad elephant |An elephant that is furnished with a pad for carrying burdens instead of with a howdah for carrying passengers.
padar |Groats; coarse flour or meal. [Obs.] Sir. H. Wotton.
padder |1. One who, or that which, pads. 2. A highwayman; a footpad. [Obs.]
padding |1. The act or process of making a pad or of inserting stuffing. 2. The material with which anything is padded. 3. Material of inferior value, serving to extend a book, essay, etc. London Sat. Rev. 4. (Calico Printing)  The uniform impregnation of cloth with a mordant.
paddle |1. To use the hands or fingers in toying; to make caressing strokes. [Obs.] Shak. 2. To dabble in water with hands or feet; to use a paddle, or something which serves as a paddle, in swimming, in paddling a boat, etc. As the men were paddling for their lives. L'Estrange. While paddling ducks the standing lake desire. Gay.\n\n1. To pat or stroke amorously, or gently. To be paddling palms and pinching fingers. Shak. 2. To propel with, or as with, a paddle or paddles. 3. To pad; to tread upon; to trample. [Prov. Eng.]\n\n1. An implement with a broad blade, which is used without a fixed fulcrum in propelling and steering canoes and boats. 2. The broad part of a paddle, with which the stroke is made; hence, any short, broad blade, resembling that of a paddle. Thou shalt have a paddle upon thy weapon. Deut. xxiii. 13. 3. One of the broad boards, or floats, at the circumference of a water wheel, or paddle wheel. 4. A small gate in sluices or lock gates to admit or let off water; - - also called clough. 5. (Zoöl.)  A paddle-shaped foot, as of the sea turtle. 6. A paddle-shaped implement for string or mixing. 7. Etym: [In this sense prob. for older spaddle, a dim. of spade.]  See Paddle staff (b), below. [Prov. Eng.] Paddle beam (Shipbuilding), one of two large timbers supporting the spring beam and paddle box of a steam vessel. -- Paddle board. See Paddle, n., 3. -- Paddle box, the structure inclosing the upper part of the paddle wheel of a steam vessel. -- Paddle shaft, the revolving shaft which carries the paddle wheel of a steam vessel. -- Paddle staff. (a) A staff tipped with a broad blade, used by mole catchers. [Prov. Eng.] (b) A long-handled spade used to clean a plowshare; -- called also plow staff. [Prov. Eng.] -- Paddle steamer, a steam vessel propelled by paddle wheels, in distinction from a screw propeller. -- Paddle wheel, the propelling wheel of a steam vessel, having paddles (or floats) on its circumference, and revolving in a vertical plane parallel to the vessel's length.
paddlecock |The lumpfish. [Prov. Eng.]
paddlefish |A large ganoid fish (Polyodon spathula) found in the rivers of the Mississippi Valley. It has a long spatula-shaped snout. Called also duck-billed cat, and spoonbill sturgeon.
paddler |One who, or that which, paddles.\n\nOne who, or that which, paddles.
paddlewood |The light elastic wood of the Aspidosperma excelsum, a tree of Guiana having a fluted trunk readily split into planks.
paddock |A toad or frog. Wyclif. \"Loathed paddocks.\" Spenser Paddock pipe (Bot.), a hollow-stemmed plant of the genus Equisetum, especially E. limosum and the fruiting stems of E. arvense; -- called also padow pipe and toad pipe. See Equisetum. -- Paddock stone. See Toadstone. -- Paddock stool (Bot.),a toadstool.\n\n1. A small inclosure or park for sporting. [Obs.] 2. A small inclosure for pasture; esp., one adjoining a stable. Evelyn. Cowper.
paddy |Low; mean; boorish; vagabond. \"Such pady persons.\" Digges (1585). \"The paddy persons.\" Motley.\n\nA jocose or contemptuous name for an Irishman.\n\nUnhusked rice; -- commonly so called in the East Indies. Paddy bird. (Zoöl.) See Java sparrow, under Java.
padelion |A plant with pedately lobed leaves; the lady's mantle.
padella |A large cup or deep saucer, containing fatty matter in which a wick is placed, -- used for public illuminations, as at St. Peter's, in Rome. Called also padelle.
pademelon |See Wallaby.
padesoy |See Paduasoy.
padge |The barn owl; -- called also pudge, and pudge owl. [Prov. Eng.]
padishah |Chief ruler; monarch; sovereign; -- a title of the Sultan of Turkey, and of the Shah of Persia.
padlock |1. A portable lock with a bow which is usually jointed or pivoted at one end so that it can be opened, the other end being fastened by the bolt, -- used for fastening by passing the bow through a staple over a hasp or through the links of a chain, etc. 2. Fig.: A curb; a restraint.\n\nTo fasten with, or as with, a padlock; to stop; to shut; to confine as by a padlock. Milton. Tennyson.
padnag |An ambling nag. \"An easy padnag.\" Macaulay.
padow |A paddock, or toad. Padow pipe. (Bot.) See Paddock pipe, under Paddock.
padre |1. A Christian priest or monk; -- used in Italy, Spain, Portugal, and Spanish America. 2.  In India (from the Portuguese), any Christian minister; also, a priest of the native region. Kipling.
padrone |1. A patron; a protector. 2. The master of a small coaster in the Mediterranean. 3. A man who imports, and controls the earnings of, Italian laborers, street musicians, etc.
paduasoy |A rich and heavy silk stuff. [Written also padesoy.]
paducahs |See Comanches.
paean |1. An ancient Greek hymn in honor of Apollo as a healing deity, and, later, a song addressed to other deities. 2. Any loud and joyous song; a song of triumph. Dryden. \"Public pæans of congratulation.\" De Quincey. 3. See Pæon.
paedobaptism |Pedobaptism.
paedogenesis |Reproduction by young or larval animals.
paedogenetic |Producing young while in the immature or larval state; -- said of certain insects, etc.
paeon |A foot of four syllables, one long and three short, admitting of four combinations, according to the place of the long syllable. [Written also, less correctly, pæan.]
paeonine |An artifical red nitrogenous dyestuff, called also red coralline.
paeony |See Peony.
pagan |One who worships false goods; an idolater; a heathen; one who is neither a Christian, a Mohammedan, nor a Jew. Neither having the accent of Christians, nor the gait of Christian, pagan, nor man. Shak. Syn. -- Gentile; heathen; idolater. -- Pagan, Gentile, Heathen. Gentile was applied to the other nations of the earth as distinguished from the Jews. Pagan was the name given to idolaters in the early Christian church, because the villagers, being most remote from the centers of instruction, remained for a long time unconverted. Heathen has the same origin. Pagan is now more properly applied to rude and uncivilized idolaters, while heathen embraces all who practice idolatry.\n\nOf or pertaining to pagans; relating to the worship or the worshipers of false goods; heathen; idolatrous, as, pagan tribes or superstitions. And all the rites of pagan honor paid. Dryden.
pagandom |The pagan lands; pagans, collectively; paganism. [R.]
paganic |Of or pertaining to pagans or paganism; heathenish; paganish. [R.] \"The paganic fables of the goods.\" Cudworth. -- Pa*gan\"ic*al*ly, adv. [R.]
paganical |Of or pertaining to pagans or paganism; heathenish; paganish. [R.] \"The paganic fables of the goods.\" Cudworth. -- Pa*gan\"ic*al*ly, adv. [R.]
paganish |Of or pertaining to pagans; heathenish. \"The old paganish idolatry.\" Sharp
paganism |The state of being pagan; pagan characteristics; esp., the worship of idols or false gods, or the system of religious opinions and worship maintained by pagans; heathenism.
paganity |The state of being a pagan; paganism. [R.] Cudworth.
paganize |To render pagan or heathenish; to convert to paganism. Hallywell.\n\nTo behave like pagans. Milton.
paganly |In a pagan manner. Dr. H. More.
page |1. A serving boy; formerly, a youth attending a person of high degree, especially at courts, as a position of honor and education; now commonly, in England, a youth employed for doin errands, waiting on the door, and similar service in households; in the United States, a boy emploed to wait upon the members of a legislative body. He had two pages of honor -- on either hand one. Bacon. 2. A boy child. [Obs.] Chaucer. 3. A contrivance, as a band, pin, snap, or the like, to hold the skirt of a woman's dress from the ground. 4. (Brickmaking.)  A track along which pallets carrying newly molded bricks are conveyed to the hack. 5. (Zoöl.)  Any one of several species of beautiful South American moths of the genus Urania.\n\nTo attend (one) as a page. [Obs.] Shak.\n\n1. One side of a leaf of a book or manuscript. Such was the book from whose pages she sang. Longfellow. 2. Fig.: A record; a writing; as, the page of history. 3. (Print.)  The type set up for printing a page.\n\nTo mark or number the pages of, as a book or manuskript; to furnish with folios.
pageant |1. A theatrical exhibition; a spectacle. \"A pageant truly played.\" Shak. To see sad pageants of men's miseries. Spenser. 2. An elaborate exhibition devised for the entertainmeut of a distinguished personage, or of the public; a show, spectacle, or display. The gaze of fools, and pageant of a day ! Pope. We love the man, the paltry pageant you. Cowper.\n\nOf the nature of a pageant; spectacular. \"Pageant pomp.\" Dryden.\n\nTo exhibit in show; to represent; to mimic. [R.] \"He pageants us.\" Shak.
pageantry |Scenic shows or spectacles, taken collectivelly; spectacular guality; splendor. Such pageantry be to the people shown. Dryden. The pageantry of festival. J. A. Symonds. Syn. -- Pomp; parade; show; display; spectacle.
pagehood |The state of being a page.
pagina |The surface of a leaf or of a flattened thallus.
paginal |Consisting of pages. \"Paginal books.\" Sir T. Browne.
pagination |The act or process of paging a book; also, the characters used in numbering the pages; page number. Lowndes.
paging |The marking or numbering of the pages of a book.
pagod |1. A pagoda. [R.] \"Or some queer pagod.\" Pope. 2. An idol. [Obs.] Bp. Stillingfleet.
pagoda |1. A term by which Europeans designate religious temples and tower- like buildings of the Hindoos and Buddhists of India, Farther India, China, and Japan, -- usually but not always, devoted to idol worship. 2. An idol. [R.] Brande & C. 3. Etym: [Prob. so named from the image of a pagoda or a deity (cf. Skr. bhagavat holy, divine) stamped on it.]  A gold or silver coin, of various kinds and values, formerly current in India. The Madras gold pagoda was worth about three and a half rupees.
pagoda sleeve |A funnel-shaped sleeve arranged to show the sleeve lining and an inner sleeve.
pagodite |Agalmatolite; -- so called because sometimes carved by the Chinese into the form of pagodas. See Agalmatolite.
paguma |Any one of several species of East Indian viverrine mammals of the genus Paguma. They resemble a weasel in form.
pagurian |Any one of a tribe of anomuran crustaceans, of which Pagurus is a type; the hermit crab. See Hermit crab, under Hermit.
pah |An exclamation expressing disgust or contempt. See Bah. Fie! fie! fie! pah! pah! Give me an ounce of civet, good apothecary, to sweeten my imagination. Shak.\n\nA kind of stockaded intrenchment. [New Zealand.] Farrow.
pahi |A large war canoe of the Society Islands.
pahlevi |Same as Pehlevi.
pahoehoe |A name given in the Sandwich Islands to lava having a relatively smooth surface, in distinction from the rough-surfaced lava, called a-a.
pahutes |See Utes.
paid |1. Receiving pay; compensated; hired; as, a paid attorney. 2. Satisfied; contented. [Obs.] \"Paid of his poverty.\" Chaucer.
paideutics |The science or art of teaching.
paien |Pagan. [Obs.] Chaucer.
paigle |A species of Primula, either the cowslip or the primrose. [Written also pagle, pagil, peagle, and pygil.]
paijama |Pyjama.
pail |A vessel of wood or tin, etc., usually cylindrical and having a bail, -- used esp. for carrying liquids, as water or milk, etc.; a bucket. It may, or may not, have a cover. Shak.
pailful |The quantity that a pail will hold. \"By pailfuls.\" Shak.
paillasse |An under bed or mattress of straw. [Written also palliasse.]
paillon |A thin leaf of metal, as for use in gilding or enameling, or to show through a translucent medium.
pailmall |See Pall-mall. [Obs.]
pain |1. Punishment suffered or denounced; suffering or evil inflicted as a punishment for crime, or connected with the commission of a crime; penalty. Chaucer. We will, by way of mulct or pain, lay it upon him. Bacon. Interpose, on pain of my displeasure. Dryden. None shall presume to fly, under pain of death. Addison. 2. Any uneasy sensation in animal bodies, from slight uneasiness to extreme distress or torture, proceeding from a derangement of functions, disease, or injury by violence; bodily distress; bodily suffering; an ache; a smart. \"The pain of Jesus Christ.\" Chaucer. Note: Pain may occur in any part of the body where sensory nerves are distributed, and it is always due to some kind of stimulation of them. The sensation is generally referred to the peripheral end of the nerve. 3. pl.  Specifically, the throes or travail of childbirth. She bowed herself and travailed, for her pains came upon her. 1 Sam. iv. 19. 4. Uneasiness of mind; mental distress; disquietude; anxiety; grief; solicitude; anguish. Chaucer. In rapture as in pain. Keble. 5. See Pains, labor, effort. Bill of pains and penalties. See under Bill. -- To die in the pain, to be tortured to death. [Obs.] Chaucer.\n\n1. To inflict suffering upon as a penalty; to punish. [Obs.] Wyclif (Acts xxii. 5). 2. To put to bodily uneasiness or anguish; to afflict with uneasy sensations of any degree of intensity; to torment; to torture; as, his dinner or his wound pained him; his stomach pained him. Excess of cold, as well as heat, pains us. Lock 3. To render uneasy in mind; to disquiet; to distress; to grieve; as a child's faults pain his parents. I am pained at mJer. iv. 19. To pain one's self, to exert or trouble one's self; to take pains; to be solicitous. [Obs.] \"She pained her to do all that she might.\" Chaucer. Syn. -- To disquiet; trouble; afflict; grieve; aggrieve; distress; agonize; torment; torture.
painable |Causing pain; painful. [Obs.] The manacles of Astyages were not . . . the less weighty and painable for being composed of gold or silver. Evelyn.
painful |1. Full of pain; causing uneasiness or distress, either physical or mental; afflictive; disquieting; distressing Addison. 2. Requiring labor or toil; difficult; executed with laborious effort; as a painful service; a painful march. 3. Painstaking; careful; industrious. [Obs.] Fuller. A very painful person, and a great clerk. Jer. Taylor. Nor must the painful husbandman be tired. Dryden. Syn. -- Disquieting; troublesome; afflictive; distressing; grievous; laborious; toilsome; difficult; arduous. -- Pain\"ful*ly, adv. -- Pain\"ful*ness, n.
painim |A pagan; an infidel; -- used also adjectively. [Written also panim and paynim.] Peacham.
painless |Free from pain; without pain. -- Pain\"less*ly, adv. -- Pain\"less*ness, n.
pains |Labor; toilsome effort; care or trouble taken; -- plural in form, but used with a singular or plural verb, commonly the former. And all my pains is sorted to no proof. Shak. The pains they had taken was very great. Clarendon. The labored earth your pains have sowed and tilled. Dryden.
painstaker |One who takes pains; one careful and faithful in all work. Gay.
painstaking |Careful in doing; diligent; faithful; attentive. \"Painstaking men.\" Harris.\n\nThe act of taking pains; carefulness and fidelity in performance. Beau. & Fl.
painsworthy |Worth the pains o
paint |1. To cover with coloring matter; to apply paint to; as, to paint a house, a signboard, etc. Jezebel painted her face and tired her head. 2 Kings ix. 30. 2. Fig.: To color, stain, or tinge; to adorn or beautify with colors; to diversify with colors. Not painted with the crimson spots of blood. Shak. Cuckoo buds of yellow hue Do paint the meadows with delight. Shak. 3. To form in colors a figure or likeness of on a flat surface, as upon canvas; to represent by means of colors or hues; to exhibit in a tinted image; to portray with paints; as, to paint a portrait or a landscape. 4. Fig.: To represent or exhibit to the mind; to describe vividly; to delineate; to image; to depict. Disloyal The word is too good to paint out her wickedness. Shak. If folly grow romantic, I must paint it. Pope. Syn. -- To color; picture; depict; portray; delineate; sketch; draw; describe.\n\n1. To practice the art of painting; as, the artist paints well. 2. To color one's face by way of beautifying it. Let her paint an inch thick. Shak.\n\n1. (a) A pigment or coloring substance. (b) The same prepared with a vehicle, as oil, water with gum, or the like, for application to a surface. 2. A cosmetic; rouge. Praed.
painted |1. Covered or adorned with paint; portrayed in colors. As idle as a painted ship Upon a painted ocean. Coleridge. 2. (Nat. Hist.)  Marked with bright colors; as, the painted turtle; painted bunting. Painted beauty (Zoöl.), a handsome American butterfly (Vanessa Huntera), having a variety of bright colors, -- Painted cup (Bot.), any plant of an American genus of herbs (Castilleia) in which the bracts are usually bright-colored and more showy than the flowers. Castilleia coccinea has brilliantly scarlet bracts, and is common in meadows. -- Painted finch. See Nonpareil. -- Painted lady (Zoöl.), a bright-colored butterfly. See Thistle butterfly. -- Painted turtle (Zoöl.), a common American freshwater tortoise (Chrysemys picta), having bright red and yellow markings beneath.
painter |A rope at the bow of a boat, used to fasten it to anything. Totten.\n\nThe panther, or puma. [A form representing an illiterate pronunciation, U. S.] J. F. Cooper.\n\nOne whose occupation is to paint; esp.: (a) One who covers buildings, ships, ironwork, and the like, with paint. (b) An artist who represents objects or scenes in color on a flat surface, as canvas, plaster, or the like. Painter's colic. (Med.) See Lead colic, under Colic. -- Painter stainer. (a) A painter of coats of arms. Crabb. (b) A member of a livery company or guild in London, bearing this name.
painterly |Like a painter's work. [Obs.] \"A painterly glose of a visage.\" Sir P. Sidney.
paintership |The state or position of being a painter. [R.] Br. Gardiner.
painting |1. The act or employment of laying on, or adorning with, paints or colors. 2. (Fine Arts)  The work of the painter; also, any work of art in which objects are represented in color on a flat surface; a colored representation of any object or scene; a picture. 3. Color laid on; paint. [R.] Shak. 4. A depicting by words; vivid representation in words. Syn. -- See Picture.
paintless |Not capable of being painted or described. \"In paintless patience.\" Savage.
painture |The art of painting. [Obs.] Chaucer. Dryden.
painty |Unskillfully painted, so that the painter's method of work is too obvious; also, having too much pigment applied to the surface. [Cant]
pair |1. A number of things resembling one another, or belonging together; a set; as, a pair or flight of stairs. \"A pair of beads.\" Chaucer. Beau. & Fl. \"Four pair of stairs.\" Macaulay. Note: [Now mostly or quite disused, except as to stairs.] Two crowns in my pocket, two pair of cards. Beau. & Fl. 2. Two things of a kind, similar in form, suited to each other, and intended to be used together; as, a pair of gloves or stockings; a pair of shoes. 3. Two of a sort; a span; a yoke; a couple; a brace; as, a pair of horses; a pair of oxen. 4. A married couple; a man and wife. \"A happy pair.\" Dryden. \"The hapless pair.\" Milton. 5. A single thing, composed of two pieces fitted to each other and used together; as, a pair of scissors; a pair of tongs; a pair of bellows. 6. Two members of opposite parties or opinion, as in a parliamentary body, who mutually agree not to vote on a given question, or on issues of a party nature during a specified time; as, there were two pairs on the final vote. [Parliamentary Cant] 7. (Kinematics)  In a mechanism, two elements, or bodies, which are so applied to each other as to mutually constrain relative motion. Note: Pairs are named in accordance with the kind of motion they permit; thus, a journal and its bearing form a turning pair, a cylinder and its piston a sliding pair, a screw and its nut a twisting pair, etc. Any pair in which the constraining contact is along lines or at points only (as a cam and roller acting together), is designated a higher pair; any pair having constraining surfaces which fit each other (as a cylindrical pin and eye, a screw and its nut, etc.), is called a lower pair. Pair royal (pl. Pairs Royal) three things of a sort; -- used especially of playing cards in some games, as cribbage; as three kings, three \"eight spots\" etc. Four of a kind are called a double pair royal. \"Something in his face gave me as much pleasure as a pair royal of naturals in my own hand.\" Goldsmith. \"That great pair royal of adamantine sisters [the Fates].\" Quarles. [Written corruptly parial and prial.] Syn. -- Pair, Flight, Set. Originally, pair was not confined to two things, but was applied to any number of equal things (pares), that go together. Ben Jonson speaks of a pair (set) of chessmen; also, he and Lord Bacon speak of a pair (pack) of cards. A \"pair of stairs\" is still in popular use, as well as the later expression, \"flight of stairs.\"\n\n1. To be joined in paris; to couple; to mate, as for breeding. 2. To suit; to fit, as a counterpart. My heart was made to fit and pair with thine. Rowe. 3. Same as To pair off. See phrase below. To pair off, to separate from a company in pairs or couples; specif. (Parliamentary Cant), to agree with one of the opposite party or opinion to abstain from voting on specified questions or issues. See Pair, n., 6.\n\n1. To unite in couples; to form a pair of; to bring together, as things which belong together, or which complement, or are adapted to one another. Glossy jet is paired with shining white. Pope. 2. To engage (one's self) with another of opposite opinions not to vote on a particular question or class of questions. [Parliamentary Cant] Paired fins. (Zoöl.) See under Fin.\n\nTo impair. [Obs.] Spenser.
pairer |One who impairs. [Obs.] Wyclif.
pairing |1. The act or process of uniting or arranging in pairs or couples. 2. See To pair off, under Pair, v. i. Pairyng time, the time when birds or other animals pair.
pairment |Impairment. [Obs.] Wyclif.
pais |The country; the people of the neighborhood. Note: A trial per pais is a trial by the country, that is, by a jury; and matter in pais is matter triable by the country, or jury.
paisano |The chaparral cock.
paise |See Poise. Chapman.
pajamas |Originally, in India, loose drawers or trousers, such as those worn, tied about the waist, by Mohammedan men and women; by extension, a similar garment adopted among Europeans, Americans, etc., for wear in the dressing room and during sleep; also, a suit consisting of drawers and a loose upper garment for such wear.\n\nA garment, similar to the Oriental pyjama (which see), adopted among Europeans, Americans, and other Occidentals, for wear in the dressing room and during sleep; also, a suit of drawers and blouse for such wear.
pajock |A peacock. [Obs.] Shak.
pakfong |See Packfong.
pal |A mate; a partner; esp., an accomplice or confederate. [Slang]
palace |1. The residence of a sovereign, including the lodgings of high officers of state, and rooms for business, as well as halls for ceremony and reception. Chaucer. 2. The official residence of a bishop or other distinguished personage. 3. Loosely, any unusually magnificent or stately house. Palace car. See under Car. -- Palace court, a court having jurisdiction of personal actions arising within twelve miles of the palace at Whitehall. The court was abolished in 1849. [Eng.] Mozley & W.
palacious |Palatial. [Obs.] Graunt.
paladin |A knight-errant; a distinguished champion; as, the paladins of Charlemagne. Sir W. Scott.
palaeo- |See Paleo-.
palaeographer |See Paleographer, Paleographic, etc.
palaeographic |See Paleographer, Paleographic, etc.
palaeotype |A system of representing all spoken sounds by means of the printing types in common use. Ellis. -- Pa`læ*o*typ\"ic*al, a. -- Pa`læ*o*typ\"ic*al*ly, adv.
palaestra |See Palestra.
palaestric |See Palestric.
palaetiologist |One versed in palætiology.
palaetiology |The science which explains, by the law of causation, the past condition and changes of the earth. -- Pa*læ`ti*o*log\"ic*al, a.
palama |A membrane extending between the toes of a bird, and uniting them more or less closely together.
palamate |Web-footed.
palamedeae |An order, or suborder, including the kamichi, and allied South American birds; -- called also screamers. In many anatomical characters they are allied to the Anseres, but they externally resemble the wading birds.
palampore |See Palempore.
palanka |A camp permanently intrenched, attached to Turkish frontier fortresses.
palanquin |An inclosed carriage or litter, commonly about eight feet long, four feet wide, and four feet high, borne on the shoulders of men by means of two projecting poles, -- used in India, China, etc., for the conveyance of a single person from place to place. [Written also palankeen.]
palapteryx |A large extinct ostrichlike bird of New Zealand.
palatability |Palatableness.
palatable |Agreeable to the palate or taste; savory; hence, acceptable; pleasing; as, palatable food; palatable advice.
palatableness |The quality or state of being agreeable to the taste; relish; acceptableness.
palatably |In a palatable manner.
palatal |1. Of or pertaining to the palate; palatine; as, the palatal bones. 2. (Phonetics)  Uttered by the aid of the palate; -- said of certain sounds, as the sound of k in kirk.\n\nA sound uttered, or a letter pronounced, by the aid of the palate, as the letters k and y.
palatalize |To palatize.
palate |1. (Anat.)  The roof of the mouth. Note: The fixed portion, or palate proper, supported by the maxillary and palatine bones, is called the hard palate to distinguish it from the membranous and muscular curtain which separates the cavity of the mouth from the pharynx and is called the soft palate, or velum. 2. Relish; taste; liking; -- a sense originating in the mistaken notion that the palate is the organ of taste. Hard task! to hit the palate of such guests. Pope. 3. Fig.: Mental relish; intellectual taste. T. Baker. 4. (Bot.)  A projection in the throat of such flowers as the snapdragon.\n\nTo perceive by the taste. [Obs.] Shak.
palatial |Of or pertaining to a palace; suitable for a palace; resembling a palace; royal; magnificent; as, palatial structures. \"Palatial style.\" A. Drummond.\n\nPalatal; palatine. [Obs.] Barrow.\n\nA palatal letter. [Obs.] Sir W. Jones.
palatic |Palatal; palatine.\n\nA palatal. [R.]
palatinate |The province or seigniory of a palatine; the dignity of a palatine. Howell.\n\nTo make a palatinate of. [Obs.] Fuller.
