blancmanger |A sort of fricassee with white sauce, variously made of capon, fish, etc. [Obs.] Chaucer.
blickey |A tin dinner pail. [Local, U. S.] Bartlett.
blight |1. To affect with blight; to blast; to prevent the growth and fertility of. [This vapor] blasts vegetables, blights corn and fruit, and is sometimes injurious even to man. Woodward. 2. Hence: To destroy the happiness of; to ruin; to mar essentially; to frustrate; as, to blight one's prospects. Seared in heart and lone and blighted. Byron.\n\nTo be affected by blight; to blast; as, this vine never blights.\n\n1. Mildew; decay; anything nipping or blasting; -- applied as a general name to various injuries or diseases of plants, causing the whole or a part to wither, whether occasioned by insects, fungi, or atmospheric influences. 2. The act of blighting, or the state of being blighted; a withering or mildewing, or a stoppage of growth in the whole or a part of a plant, etc. 3. That which frustrates one's plans or withers one's hopes; that which impairs or destroys. A blight seemed to have fallen over our fortunes. Disraeli. 4. (Zoöl.)  A downy species of aphis, or plant louse, destructive to fruit trees, infesting both the roots and branches; -- also applied to several other injurious insects. 5. pl.  A rashlike eruption on the human skin. [U. S.]
blighting |Causing blight.
blightingly |So as to cause blight.
blimbi |See Bilimbi, etc.
blimbing |See Bilimbi, etc.
blin |To stop; to cease; to desist. [Obs.] Spenser.\n\nCessation; end. [Obs.]
blind |1. Destitute of the sense of seeing, either by natural defect or by deprivation; without sight. He that is strucken blind can not forget The precious treasure of his eyesight lost. Shak. 2. Not having the faculty of discernment; destitute of intellectual light; unable or unwilling to understand or judge; as, authors are blind to their own defects. But hard be hardened, blind be blinded more, That they may stumble on, and deeper fall. Milton. 3. Undiscerning; undiscriminating; inconsiderate. This plan is recommended neither to blind approbation nor to blind reprobation. Jay. 4. Having such a state or condition as a thing would have to a person who is blind; not well marked or easily discernible; hidden; unseen; concealed; as, a blind path; a blind ditch. 5. Involved; intricate; not easily followed or traced. The blind mazes of this tangled wood. Milton. 6. Having no openings for light or passage; as, a blind wall; open only at one end; as, a blind alley; a blind gut. 7. Unintelligible, or not easily intelligible; as, a blind passage in a book; illegible; as, blind writing. 8. (Hort.)  Abortive; failing to produce flowers or fruit; as, blind buds; blind flowers. Blind alley, an alley closed at one end; a cul-de-sac. -- Blind axle, an axle which turns but does not communicate motion. Knight. -- Blind beetle, one of the insects apt to fly against people, esp. at night. -- Blind cat (Zoöl.), a species of catfish (Gronias nigrolabris), nearly destitute of eyes, living in caverns in Pennsylvania. -- Blind coal, coal that burns without flame; anthracite coal. Simmonds. -- Blind door, Blind window, an imitation of a door or window, without an opening for passage or light. See Blank door or window, under Blank, a. -- Blind level (Mining), a level or drainage gallery which has a vertical shaft at each end, and acts as an inverted siphon. Knight. -- Blind nettle (Bot.), dead nettle. See Dead nettle, under Dead. -- Blind shell (Gunnery), a shell containing no charge, or one that does not explode. -- Blind side, the side which is most easily assailed; a weak or unguarded side; the side on which one is least able or disposed to see danger. Swift. -- Blind snake (Zoöl.), a small, harmless, burrowing snake, of the family Typhlopidæ, with rudimentary eyes. -- Blind spot (Anat.), the point in the retina of the eye where the optic nerve enters, and which is insensible to light. -- Blind tooling, in bookbinding and leather work, the indented impression of heated tools, without gilding; -- called also blank tooling, and blind blocking. -- Blind wall, a wall without an opening; a blank wall.\n\n1. To make blind; to deprive of sight or discernment. \"To blind the truth and me.\" Tennyson. A blind guide is certainly a great mischief; but a guide that blinds those whom he should lead is . . . a much greater. South. 2. To deprive partially of vision; to make vision difficult for and painful to; to dazzle. Her beauty all the rest did blind. P. Fletcher. 3. To darken; to obscure to the eye or understanding; to conceal; to deceive. Such darkness blinds the sky. Dryden. The state of the controversy between us he endeavored, with all his art, to blind and confound. Stillingfleet. 4. To cover with a thin coating of sand and fine gravel; as a road newly paved, in order that the joints between the stones may be filled.\n\n1. Something to hinder sight or keep out light; a screen; a cover; esp. a hinged screen or shutter for a window; a blinder for a horse. 2. Something to mislead the eye or the understanding, or to conceal some covert deed or design; a subterfuge. 3. Etym: [Cf. F. blindes, pblende, fr. blenden to blind, fr. blind blind.] (Mil.)  A blindage. See Blindage. 4. A halting place. [Obs.] Dryden.\n\nSee Blende.
blind reader |A post-office clerk whose duty is to decipher obscure addresses.
blindage |A cover or protection for an advanced trench or approach, formed of fascines and earth supported by a framework.
blinde |See Blende.
blinder |1. One who, or that which, blinds. 2. (Saddlery)  One of the leather screens on a bridle, to hinder a horse from seeing objects at the side; a blinker.
blindfish |A small fish (Amblyopsis spelæus) destitute of eyes, found in the waters of the Mammoth Cave, in Kentucky. Related fishes from other caves take the same name.
blindfold |To cover the eyes of, as with a bandage; to hinder from seeing. And when they had blindfolded him, they struck him on the face. Luke xxii. 64.\n\nHaving the eyes covered; blinded; having the mental eye darkened. Hence: Heedless; reckless; as, blindfold zeal; blindfold fury. Fate's blindfold reign the atheist loudly owns. Dryden.
blinding |Making blind or as if blind; depriving of sight or of understanding; obscuring; as, blinding tears; blinding snow.\n\nA thin coating of sand and fine gravel over a newly paved road. See Blind, v. t., 4.
blindly |Without sight, discernment, or understanding; without thought, investigation, knowledge, or purpose of one's own. By his imperious mistress blindly led. Dryden. BLINDMAN'S BUFF Blind\"man's buff\" (. Etym: [See Buff a buffet.]  A play in which one person is blindfolded, and tries to catch some one of the company and tell who it is. Surely he fancies I play at blindman's buff with him, for he thinks I never have my eyes open. Stillingfleet. BLINDMAN'S HOLIDAY Blind`man's hol\"i*day.  The time between daylight and candle light. [Humorous]
blindness |State or condition of being blind, literally or figuratively. Darwin. Color blindness, inability to distinguish certain color. See Daltonism.
blindstory |The triforium as opposed to the clearstory.
blindworm |A small, burrowing, snakelike, limbless lizard (Anguis fragilis), with minute eyes, popularly believed to be blind; the slowworm; -- formerly a name for the adder. Newts and blindworms do no wrong. Shak.
blink |1. To wink; to twinkle with, or as with, the eye. One eye was blinking, and one leg was lame. Pope 2. To see with the eyes half shut, or indistinctly and with frequent winking, as a person with weak eyes. Show me thy chink, to blink through with mine eyne. Shak. 3. To shine, esp. with intermittent light; to twinkle; to flicker; to glimmer, as a lamp. The dew was falling fast, the stars began to blink. Wordsworth. The sun blinked fair on pool and stream . Sir W. Scott. 4. To turn slightly sour, as beer, mild, etc.\n\n1. To shut out of sight; to avoid, or purposely evade; to shirk; as, to blink the question. 2. To trick; to deceive. [Scot.] Jamieson.\n\n1. A glimpse or glance. This is the first blink that ever I had of him. Bp. Hall. 2. Gleam; glimmer; sparkle. Sir W. Scott. Not a blink of light was there. Wordsworth. 3. (Naut.)  The dazzling whiteness about the horizon caused by the reflection of light from fields of ice at sea; ice blink. 4. pl. Etym: [Cf. Blencher.] (Sporting)  Boughs cast where deer are to pass, to turn or check them. [Prov. Eng.]
blink beer |Beer kept unbroached until it is sharp. Crabb.
blink-eyed |Habitually winking. Marlowe.
blinkard |1. One who blinks with, or as with, weak eyes. Among the blind the one-eyed blinkard reigns. Marvell. 2. That which twinkles or glances, as a dim star, which appears and disappears. Hakewill.
blinker |1. One who, or that which, blinks. 2. A blinder for horses; a flap of leather on a horse's bridle to prevent him from seeing objects as his side hence, whatever obstructs sight or discernment. Nor bigots who but one way see, through blinkers of authority. M. Green. 3. pl.  A kind of goggles, used to protect the eyes form glare, etc.
blirt |A gust of wind and rain. Ham. Nav. Encyc.
bliss |Orig., blithesomeness; gladness; now, the highest degree of happiness; blessedness; exalted felicity; heavenly joy. An then at last our bliss Full and perfect is. Milton. Syn. -- Blessedness; felicity; beatitude; happiness; joy; enjoyment. See Happiness.
blissful |Full of, characterized by, or causing, joy and felicity; happy in the highest degree. \"Blissful solitude.\" Milton. -- Bliss\"ful*ly, adv. -- Bliss\"ful*ness, n.
blissless |Destitute of bliss. Sir P. Sidney.
blissom |To be lustful; to be lascivious. [Obs.]\n\nLascivious; also, in heat; -- said of ewes.
blister |1. A vesicle of the skin, containing watery matter or serum, whether occasioned by a burn or other injury, or by a vesicatory; a collection of serous fluid causing a bladderlike elevation of the cuticle. And painful blisters swelled my tender hands. Grainger. 2. Any elevation made by the separation of the film or skin, as on plants; or by the swelling of the substance at the surface, as on steel. 3. A vesicatory; a plaster of Spanish flies, or other matter, applied to raise a blister. Dunglison. Blister beetle, a beetle used to raise blisters, esp. the Lytta (or Cantharis) vesicatoria, called Cantharis or Spanish fly by druggists. See Cantharis. -- Blister fly, a blister beetle. -- Blister plaster, a plaster designed to raise a blister; -- usually made of Spanish flies. -- Blister steel, crude steel formed from wrought iron by cementation; -- so called because of its blistered surface. Called also blistered steel. -- Blood blister. See under Blood.\n\nTo be affected with a blister or blisters; to have a blister form on. Let my tongue blister. Shak.\n\n1. To raise a blister or blisters upon. My hands were blistered. Franklin. 2. To give pain to, or to injure, as if by a blister. This tyrant, whose sole name blisters our tongue. Shak.
blistery |Full of blisters. Hooker.
blite |A genus of herbs (Blitum) with a fleshy calyx. Blitum capitatum is the strawberry blite.
blithe |Gay; merry; sprightly; joyous; glad; cheerful; as, a blithe spirit. The blithe sounds of festal music. Prescott. A daughter fair, So buxom, blithe, and debonair. Milton.
blitheful |Gay; full of gayety; joyous.
blithely |In a blithe manner.
blitheness |The state of being blithe. Chaucer.
blithesome |Cheery; gay; merry. The blithesome sounds of wassail gay. Sir W. Scott. -- Blithe\"some*ly, adv. -- Blithe\"some*ness, n.
blive |Quickly; forthwith. [Obs.] Chaucer.
blizzard |A gale of piercingly cold wind, usually accompanied with fine and blinding snow; a furious blast. [U. S.]
bloat |1. To make turgid, as with water or air; to cause a swelling of the surface of, from effusion of serum in the cellular tissue, producing a morbid enlargement, often accompanied with softness. 2. To inflate; to puff up; to make vain. Dryden.\n\nTo grow turgid as by effusion of liquid in the cellular tissue; to puff out; to swell. Arbuthnot.\n\nBloated. [R.] Shak.\n\nA term of contempt for a worthless, dissipated fellow. [Slang]\n\nTo dry (herrings) in smoke. See Blote.
bloated |Distended beyond the natural or usual size, as by the presence of water, serum, etc.; turgid; swollen; as, a bloated face. Also, puffed up with pride; pompous.
bloatedness |The state of being bloated.
bloater |The common herring, esp. when of large size, smoked, and half dried; -- called also bloat herring.
blob |1. Something blunt and round; a small drop or lump of something viscid or thick; a drop; a bubble; a blister. Wright. 2. (Zoöl.)  A small fresh-water fish (Uranidea Richardsoni); the miller's thumb.
blobber |A bubble; blubber. [Low] T. Carew. Blobber lip, a thick, protruding lip. His blobber lips and beetle brows commend. Dryden.
blobber-lipped |Having thick lips. \"A blobber-lipped shell.\" Grew.
blocage |The roughest and cheapest sort of rubblework, in masonry.
block |1. A piece of wood more or less bulky; a solid mass of wood, stone, etc., usually with one or more plane, or approximately plane, faces; as, a block on which a butcher chops his meat; a block by which to mount a horse; children's playing blocks, etc. Now all our neighbors' chimneys smoke, And Christmas blocks are burning. Wither. All her labor was but as a block Left in the quarry. Tennyson. 2. The solid piece of wood on which condemned persons lay their necks when they are beheaded. Noble heads which have been brought to the block. E. Everett. 3. The wooden mold on which hats, bonnets, etc., are shaped. Hence: The pattern on shape of a hat. He wears his faith but as the fashion of his hat; it ever changes with the next block. Shak. 4. A large or long building divided into separate houses or shops, or a number of houses or shops built in contact with each other so as to form one building; a row of houses or shops. 5. A square, or portion of a city inclosed by streets, whether occupied by buildings or not. The new city was laid out in rectangular blocks, each block containing thirty building lots. Such an average block, comprising 282 houses and covering nine acres of ground, exists in Oxford Street. Lond. Quart. Rev. 6. A grooved pulley or sheave incased in a frame or shell which is provided with a hook, eye, or strap, by which it may be attached to an object. It is used to change the direction of motion, as in raising a heavy object that can not be conveniently reached, and also, when two or more such sheaves are compounded, to change the rate of motion, or to exert increased force; -- used especially in the rigging of ships, and in tackles. 7. (Falconry)  The perch on which a bird of prey is kept. 8. Any obstruction, or cause of obstruction; a stop; a hindrance; an obstacle; as, a block in the way. 9. A piece of box or other wood for engravers' work. 10. (Print.)  A piece of hard wood (as mahogany or cherry) on which a stereotype or electrotype plate is mounted to make it type high. 11. A blockhead; a stupid fellow; a dolt. [Obs.] What a block art thou ! Shak. 12. A section of a railroad where the block system is used. See Block system, below. A block of shares (Stock Exchange), a large number of shares in a stock company, sold in a lump. Bartlett. -- Block printing. (a) A mode of printing (common in China and Japan) from engraved boards by means of a sheet of paper laid on the linked surface and rubbed with a brush. S. W. Williams. (b) A method of printing cotton cloth and paper hangings with colors, by pressing them upon an engraved surface coated with coloring matter. -- Block system on railways, a system by which the track is divided into sections of three or four miles, and trains are so run by the guidance of electric signals that no train enters a section or block before the preceding train has left it.\n\n1. To obstruct so as to prevent passage or progress; to prevent passage from, through, or into, by obstructing the way; -- used both of persons and things; -- often followed by up; as, to block up a road or harbor. With moles . . . would block the port. Rowe. A city . . . besieged and blocked about. Milton. 2. To secure or support by means of blocks; to secure, as two boards at their angles of intersection, by pieces of wood glued to each. 3. To shape on, or stamp with, a block; as, to block a hat. To block out, to begin to reduce to shape; to mark out roughly; to lay out; as, to block out a plan.
block book |A book printed from engraved wooden blocks instead of movable types.
block chain |A chain in which the alternate links are broad blocks connected by thin side links pivoted to the ends of the blocks, used with sprocket wheels to transmit power, as in a bicycle.
block signal |One of the danger signals or safety signals which guide the movement of trains in a block system. The signal is often so coupled with a switch that act of opening or closing the switch operates the signal also.
block system |A system by which the track is divided into short sections, as of three or four miles, and trains are so run by the guidance of electric, or combined electric and pneumatic, signals that no train enters a section or block until the preceding train has left it, as in absolute blocking, or that a train may be allowed to follow another into a block as long as it proceeds with excessive caution, as in permissive blocking.
block tin |See under Tin.
blockade |1. The shutting up of a place by troops or ships, with the purpose of preventing ingress or egress, or the reception of supplies; as, the blockade of the ports of an enemy. Note: Blockade is now usually applied to an investment with ships or vessels, while siege is used of an investment by land forces. To constitute a blockade, the investing power must be able to apply its force to every point of practicable access, so as to render it dangerous to attempt to enter; and there is no blockade of that port where its force can not be brought to bear. Kent. 2. An obstruction to passage. To raise a blockade. See under Raise.\n\n1. To shut up, as a town or fortress, by investing it with troops or vessels or war for the purpose of preventing ingress or egress, or the introduction of supplies. See note under Blockade, n. \"Blockaded the place by sea.\" Gilpin. 2. Hence, to shut in so as to prevent egress. Till storm and driving ice blockade him there. Wordsworth. 3. To obstruct entrance to or egress from. Huge bales of British cloth blockade the door. Pope.
blockader |1. One who blockades. 2. (Naut.)  A vessel employed in blockading.
blockage |The act of blocking up; the state of being blocked up.
blockhead |A stupid fellow; a dolt; a person deficient in understanding. The bookful blockhead, ignorantly read, With loads of learned lumber in his head. Pope.
blockheaded |Stupid; dull.
blockheadism |That which characterizes a blockhead; stupidity. Carlyle.
blockhouse |1. (Mil.)  An edifice or structure of heavy timbers or logs for military defense, having its sides loopholed for musketry, and often an upper story projecting over the lower, or so placed upon it as to have its sides make an angle wit the sides of the lower story, thus enabling the defenders to fire downward, and in all directions; -- formerly much used in America and Germany. 2. A house of squared logs. [West. & South. U. S.]
blocking |1. The act of obstructing, supporting, shaping, or stamping with a block or blocks. 2. Blocks used to support (a building, etc.) temporarily.
blocking course |The finishing course of a wall showing above a cornice.
blockish |Like a block; deficient in understanding; stupid; dull. \"Blockish Ajax.\" Shak. -- Block\"ish*ly, adv. -- Block\"ish*ness, n.
blocklike |Like a block; stupid.
bloedite |A hydrous sulphate of magnesium and sodium.
blolly |(a) A shrub or small tree of southern Florida and the West Indies (Pisonia obtusata) with smooth oval leaves and a hard, 10-ribbed fruit. (b) The rubiaceous shrub Chicocca racemosa, of the same region.
blomary |See Bloomery.
bloncket |Gray; bluish gray. [Obs.] Our bloncket liveries been all too sad. Spenser.
blond |Of a fair color; light-colored; as, blond hair; a blond complexion.
blond metal |A variety of clay ironstone, in Staffordshire, England, used for making tools.
blonde |Of a fair color; light-colored; as, blond hair; a blond complexion.\n\n1. A person of very fair complexion, with light hair and light blue eyes. [Written also blond.] 2. Etym: [So called from its color.]  A kind of silk lace originally of the color of raw silk, now sometimes dyed; -- called also blond lace.
blondness |The state of being blond. G. Eliot.
blonket |Gray; bluish gray. [Obs.] Our bloncket liveries been all too sad. Spenser.
blood |1. The fluid which circulates in the principal vascular system of animals, carrying nourishment to all parts of the body, and bringing away waste products to be excreted. See under Arterial. Note: The blood consists of a liquid, the plasma, containing minute particles, the blood corpuscles. In the invertebrate animals it is usually nearly colorless, and contains only one kind of corpuscles; but in all vertebrates, except Amphioxus, it contains some colorless corpuscles, with many more which are red and give the blood its uniformly red color. See Corpuscle, Plasma. 2. Relationship by descent from a common ancestor; consanguinity; kinship. To share the blood of Saxon royalty. Sir W. Scott. A friend of our own blood. Waller. Half blood (Law), relationship through only one parent. -- Whole blood, relationship through both father and mother. In American Law, blood includes both half blood, and whole blood. Bouvier. Peters. 3. Descent; lineage; especially, honorable birth; the highest royal lineage. Give us a prince of blood, a son of Priam. Shak. I am a gentleman of blood and breeding. Shak. 4. (Stock Breeding)  Descent from parents of recognized breed; excellence or purity of breed. Note: In stock breeding half blood is descent showing one half only of pure breed. Blue blood, full blood, or warm blood, is the same as blood. 5. The fleshy nature of man. Nor gives it satisfaction to our blood. Shak. 6. The shedding of blood; the taking of life, murder; manslaughter; destruction. So wills the fierce, avenging sprite, Till blood for blood atones. Hood. 7. A bloodthirsty or murderous disposition. [R.] He was a thing of blood, whose every motion Was timed with dying cries. Shak. 8. Temper of mind; disposition; state of the passions; -- as if the blood were the seat of emotions. When you perceive his blood inclined to mirth. Shak. Note: Often, in this sense, accompanied with bad, cold, warm, or other qualifying word. Thus, to commit an act in cold blood, is to do it deliberately, and without sudden passion; to do it in bad blood, is to do it in anger. Warm blood denotes a temper inflamed or irritated. To warm or heat the blood is to excite the passions. Qualified by up, excited feeling or passion is signified; as, my blood was up. 9. A man of fire or spirit; a fiery spark; a gay, showy man; a rake. Seest thou not . . . how giddily 'a turns about all the hot bloods between fourteen and five and thirty Shak. It was the morning costume of a dandy or blood. Thackeray. 10. The juice of anything, especially if red. He washed . . . his clothes in the blood of grapes. Gen. xiix. 11. Note: Blood is often used as an adjective, and as the first part of self-explaining compound words; as, blood-bespotted, blood-bought, blood-curdling, blood-dyed, blood-red, blood-spilling, blood-stained, blood-warm, blood-won. Blood baptism (Eccl. Hist.), the martyrdom of those who had not been baptized. They were considered as baptized in blood, and this was regarded as a full substitute for literal baptism. -- Blood blister, a blister or bleb containing blood or bloody serum, usually caused by an injury. -- Blood brother, brother by blood or birth. -- Blood clam (Zoöl.), a bivalve mollusk of the genus Arca and allied genera, esp. Argina pexata of the American coast. So named from the color of its flesh. -- Blood corpuscle. See Corpuscle. -- Blood crystal (Physiol.), one of the crystals formed by the separation in a crystalline form of the hæmoglobin of the red blood corpuscles; hæmatocrystallin. All blood does not yield blood crystals. -- Blood heat, heat equal to the temperature of human blood, or about 98½ º Fahr. -- Blood horse, a horse whose blood or lineage is derived from the purest and most highly prized origin or stock. -- Blood money. See in the Vocabulary. -- Blood orange, an orange with dark red pulp. -- Blood poisoning (Med.), a morbid state of the blood caused by the introduction of poisonous or infective matters from without, or the absorption or retention of such as are produced in the body itself; toxæmia. -- Blood pudding, a pudding made of blood and other materials. -- Blood relation, one connected by blood or descent. -- Blood spavin. See under Spavin. -- Blood vessel. See in the Vocabulary. -- Blue blood, the blood of noble or aristocratic families, which, according to a Spanish prover , has in it a tinge of blue; -- hence, a member of an old and aristocratic family. -- Flesh and blood. (a) A blood relation, esp. a child. (b) Human nature. -- In blood (Hunting), in a state of perfect health and vigor. Shak. -- To let blood. See under Let. -- Prince of the blood, the son of a sovereign, or the issue of a royal family. The sons, brothers, and uncles of the sovereign are styled princes of the blood royal; and the daughters, sisters, and aunts are princesses of the blood royal.\n\n1. To bleed. [Obs.] Cowper. 2. To stain, smear or wet, with blood. [Archaic] Reach out their spears afar, And blood their points. Dryden. 3. To give (hounds or soldiers) a first taste or sight of blood, as in hunting or war. It was most important too that his troops should be blooded. Macaulay. 4. To heat the blood of; to exasperate. [Obs.] The auxiliary forces of the French and English were much blooded one against another. Bacon.
blood money |1. Money paid to the next of kin of a person who has been killed by another. 2. Money obtained as the price, or at the cost, of another's life; -- said of a reward for supporting a capital charge, of money obtained for betraying a fugitive or for committing murder, or of money obtained from the sale of that which will destroy the purchaser.
blood vessel |Any vessel or canal in which blood circulates in an animal, as an artery or vein.
blood-boltered |Having the hair matted with clotted blood. [Obs. & R.] The blood-boltered Banquo smiles upon me. Shak.
blood-shotten |Bloodshot. [Obs.]
bloodbird |An Australian honeysucker (Myzomela sanguineolata); -- so called from the bright red color of the male bird.
blooded |Having pure blood, or a large admixture or pure blood; of approved breed; of the best stock. Note: Used also in composition in phrases indicating a particular condition or quality of blood; as, cold-blooded; warm-blooded.
bloodflower |A genus of bulbous plants, natives of Southern Africa, named Hæmanthus, of the Amaryllis family. The juice of H. toxicarius is used by the Hottentots to poison their arrows.
bloodguilty |Guilty of murder or bloodshed. \"A bloodguilty life.\" Fairfax. -- Blood\"guilt`i*ness (, n. -- Blood\"guilt`less, a.
bloodhound |A breed of large and powerful dogs, with long, smooth, and pendulous ears, and remarkable for acuteness of smell. It is employed to recover game or prey which has escaped wounded from a hunter, and for tracking criminals. Formerly it was used for pursuing runaway slaves. Other varieties of dog are often used for the same purpose and go by the same name. The Cuban bloodhound is said to be a variety of the mastiff.
bloodily |In a bloody manner; cruelly; with a disposition to shed blood.
bloodiness |1. The state of being bloody. 2. Disposition to shed blood; bloodthirstiness. All that bloodiness and savage cruelty which was in our nature. Holland.
bloodless |1. Destitute of blood, or apparently so; as, bloodless cheeks; lifeless; dead. The bloodless carcass of my Hector sold. Dryden. 2. Not attended with shedding of blood, or slaughter; as, a bloodless victory. Froude. 3. Without spirit or activity. Thou bloodless remnant of that royal blood ! Shak. -- Blood\"less*ly, adv. -- Blood\"less*ness, n.
bloodlet |bleed; to let blood. Arbuthnot.
bloodletter |One who, or that which, lets blood; a phlebotomist.
bloodletting |The act or process of letting blood or bleeding, as by opening a vein or artery, or by cupping or leeches; -- esp. applied to venesection.
bloodroot |A plant (Sanguinaria Canadensis), with a red root and red sap, and bearing a pretty, white flower in early spring; -- called also puccoon, redroot, bloodwort, tetterwort, turmeric, and Indian paint. It has acrid emetic properties, and the rootstock is used as a stimulant expectorant. See Sanguinaria. Note: In England the name is given to the tormentil, once used as a remedy for dysentery.
bloodshed |The shedding or spilling of blood; slaughter; the act of shedding human blood, or taking life, as in war, riot, or murder.
bloodshedder |One who sheds blood; a manslayer; a murderer.
bloodshedding |Bloodshed. Shak.
bloodshot |Red and inflamed; suffused with blood, or having the vessels turgid with blood, as when the conjunctiva is inflamed or irritated. His eyes were bloodshot, . . . and his hair disheveled. Dickens.
bloodstick |A piece of hard wood loaded at one end with lead, and used to strike the fleam into the vein. Youatt.
bloodstone |(a) A green siliceous stone sprinkled with red jasper, as if with blood; hence the name; -- called also heliotrope. (b) Hematite, an ore of iron yielding a blood red powder or \"streak.\",
  "cerite |A gastropod shell belonging to the family Cerithiïdæ; -- so called from its hornlike form.\n\nA mineral of a brownish of cherry-red color, commonly massive. It is a hydrous silicate of cerium and allied metals.
bloodstroke |Loss of sensation and motion from hemorrhage or congestion in the brain. Dunglison.
bloodsucker |1. (Zoöl.)  Any animal that sucks blood; esp., the leech (Hirudo medicinalis), and related species. 2. One who sheds blood; a cruel, bloodthirsty man; one guilty of bloodshed; a murderer. [Obs.] Shak. 3. A hard and exacting master, landlord, or money lender; an extortioner.
bloodthirsty |Eager to shed blood; cruel; sanguinary; murderous. -- Blood\"thirst`i*ness (n.
bloodulf |The European bullfinch.
bloodwite |A fine or amercement paid as a composition for the shedding of blood; also, a riot wherein blood was spilled.
bloodwood |A tree having the wood or the sap of the color of blood. Note: Norfolk Island bloodwood is a euphorbiaceous tree (Baloghia lucida), from which the sap is collected for use as a plant. Various other trees have the name, chiefly on account of the color of the wood, as Gordonia Hæmatoxylon of Jamaica, and several species of Australian Eucalyptus; also the true logwood ( Hæmatoxylon campechianum).
bloodwort |A plant, Rumex sanguineus, or bloody-veined dock. The name is applied also to bloodroot (Sanguinaria Canadensis), and to an extensive order of plants (Hæmodoraceæ), the roots of many species of which contain a red coloring matter useful in dyeing.
bloody |1. Containing or resembling blood; of the nature of blood; as, bloody excretions; bloody sweat. 2. Smeared or stained with blood; as, bloody hands; a bloody handkerchief. 3. Given, or tending, to the shedding of blood; having a cruel, savage disposition; murderous; cruel. Some bloody passion shakes your very frame. Shak. 4. Attended with, or involving, bloodshed; sanguinary; esp., marked by great slaughter or cruelty; as, a bloody battle. 5. Infamous; contemptible; -- variously used for mere emphasis or as a low epithet. [Vulgar] Thackeray.\n\nTo stain with blood. Overbury.
bloody flux |The dysentery, a disease in which the flux or discharge from the bowels has a mixture of blood. Arbuthnot.
bloody hand |1. A hand stained with the blood of a deer, which, in the old forest laws of England, was sufficient evidence of a man's trespass in the forest against venison. Jacob. 2. (Her.)  A red hand, as in the arms of Ulster, which is now the distinguishing mark of a baronet of the United Kingdom.
bloody sweat |A sweat accompanied by a discharge of blood; a disease, called sweating sickness, formerly prevalent in England and other countries.
bloody-minded |Having a cruel, ferocious disposition; bloodthirsty. Dryden.
bloodybones |A terrible bugbear.
bloom |1. A blossom; the flower of a plant; an expanded bud; flowers, collectively. The rich blooms of the tropics. Prescott. 2. The opening of flowers in general; the state of blossoming or of having the flowers open; as, the cherry trees are in bloom. \"Sight of vernal bloom.\" Milton. 3. A state or time of beauty, freshness, and vigor; an opening to higher perfection, analogous to that of buds into blossoms; as, the bloom of youth. Every successive mother has transmitted a fainter bloom, a more delicate and briefer beauty. Hawthorne. 4. The delicate, powdery coating upon certain growing or newly- gathered fruits or leaves, as on grapes, plums, etc. Hence: Anything giving an appearance of attractive freshness; a flush; a glow. A new, fresh, brilliant world, with all the bloom upon it. Thackeray. 5. The clouded appearance which varnish sometimes takes upon the surface of a picture. 6. A yellowish deposit or powdery coating which appears on well- tanned leather. Knight. 7. (Min.)  A popular term for a bright-hued variety of some minerals; as, the rose-red cobalt bloom.\n\n1. To produce or yield blossoms; to blossom; to flower or be in flower. A flower which once In Paradise, fast by the tree of life, Began to bloom. Milton. 2. To be in a state of healthful, growing youth and vigor; to show beauty and freshness, as of flowers; to give promise, as by or with flowers. A better country blooms to view, Beneath a brighter sky. Logan.\n\n1. To cause to blossom; to make flourish. [R.] Charitable affection bloomed them. Hooker. 2. To bestow a bloom upon; to make blooming or radiant. [R.] Milton. While barred clouds bloom the soft-dying day. Keats.\n\n(a) A mass of wrought iron from the Catalan forge or from the puddling furnace, deprived of its dross, and shaped usually in the form of an oblong block by shingling. (b) A large bar of steel formed directly from an ingot by hammering or rolling, being a preliminary shape for further working.
bloomary |See Bloomery.
bloomer |1. A costume for women, consisting of a short dress, with loose trousers gathered round ankles, and (commonly) a broad-brimmed hat. 2. A woman who wears a Bloomer costume.
bloomery |A furnace and forge in which wrought iron in the form of blooms is made directly from the ore, or (more rarely) from cast iron.
blooming |The process of making blooms from the ore or from cast iron.\n\n1. Opening in blossoms; flowering. 2. Thriving in health, beauty, and vigor; indicating the freshness and beauties of youth or health.
bloomingly |In a blooming manner.
bloomingness |A blooming condition.
bloomless |Without bloom or flowers. Shelley.
bloomy |1. Full of bloom; flowery; flourishing with the vigor of youth; as, a bloomy spray. But all the bloomy flush of life is fled. Goldsmith. 2. Covered with bloom, as fruit. Dryden.
blooth |Bloom; a blossoming. [Prov. Eng.] All that blooth means heavy autumn work for him and his hands. T. Hardy.
blore |The act of blowing; a roaring wind; a blast. [Obs.] A most tempestuous blore. Chapman.
blosmy |Blossomy. [Obs.] Chaucer.
