perfix |To fix surely; to appoint. [Obs.]
permanganate |A salt of permanganic acid. Potassium permanganate. (Chem.) See Potassium permanganate, under Potassium.
permanganic |Pertaining to, or designating, one of the higher acids of manganese, HMnO4, which forms salts called permanganates.
permansion |Continuance. [Obs.] Sir T. Browne.
permeability |The quality or state of being permeable. Magnetic permeability (Physics), the specific capacity of a body for magnetic induction, or its conducting power for lines of magnetic force. Sir W. Thomson.
permeable |Capable of being permeated, or passed through; yielding passage; passable; penetrable; -- used especially of substances which allow the passage of fluids; as, wood is permeable to oil; glass is permeable to light. I. Taylor.
permeably |In a permeable manner.
permeance |Permeation; specif. (Magnetism),  the reciprocal of reluctance.
permeant |Passing through; permeating. [R.] Sir T. Browne.
permeate |1. To pass through the pores or interstices of; to penetrate and pass through without causing rupture or displacement; -- applied especially to fluids which pass through substances of loose texture; as, water permeates sand. Woodward. 2. To enter and spread through; to pervade. God was conceived to be diffused throughout the whole world, to permeate and pervade all things. Cudworth.
permeation |The act of permeating, passing through, or spreading throughout, the pores or interstices of any substance. Here is not a mere involution only, but a spiritual permeation and inexistence. Bp. Hall.
permian |Belonging or relating to the period, and also to the formation, next following the Carboniferous, and regarded as closing the Carboniferous age and Paleozoic era. -- n.  The Permian period. See Chart of Geology.
permians |A tribe belonging to the Finnic race, and inhabiting a portion of Russia.
permiscible |Capable of being mixed.
permiss |A permitted choice; a rhetorical figure in which a thing is committed to the decision of one's opponent. [Obs.] Milton.
permissibility |The quality of being permissible; permissibleness; allowableness.
permissible |That may be permitted; allowable; admissible. -- Per*mis\"si*ble*ness, n. -- Per*mis\"si*bly, adv.
permission |The act of permitting or allowing; formal consent; authorization; leave; license or liberty granted. High permission of all-ruling Heaven. Milton. You have given me your permission for this address. Dryden. Syn. -- Leave; liberty; license. -- Leave, Permission. Leave implies that the recipient may decide whether to use the license granted or not. Permission is the absence on the part of another of anything preventive, and in general, at least by implication, signifies approval.
permissive |1. Permitting; granting leave or liberty. \"By his permissive will.\" Milton. 2. Permitted; tolerated; suffered. Milton.
permissively |In a permissive manner.
permistion |The act of mixing; the state of being mingled; mixture. [Written also permixtion.]
permit |1. To consent to; to allow or suffer to be done; to tolerate; to put up with. What things God doth neither command nor forbid . . . he permitteth with approbation either to be done or left undone. Hooker. 2. To grant (one) express license or liberty to do an act; to authorize; to give leave; -- followed by an infinitive. Thou art permitted to speak for thyself. Acis xxvi. 1. 3. To give over; to resign; to leave; to commit. Let us not aggravate our sorrows, But to the gods permit the event of things. Addison. Syn. -- To allow; let; grant; admit; suffer; tolerate; endure; consent to. -- To Allow, Permit, Suffer, Tolerate. To allow is more positive, denoting (at least originally and etymologically) a decided assent, either directly or by implication. To permit is more negative, and imports only acquiescence or an abstinence from prevention. The distinction, however, is often disregarded by good writers. To suffer has a stronger passive or negative sense than to permit, sometimes implying against the will, sometimes mere indifference. To tolerate is to endure what is contrary to will or desire. To suffer and to tolerate are sometimes used without discrimination.\n\nTo grant permission; to allow.\n\nWarrant; license; leave; permission; specifically, a written license or permission given to a person or persons having authority; as, a permit to land goods subject to duty.
permittance |The act of permitting; allowance; permission; leave. Milton.
permittee |One to whom a permission or permit is given.
permitter |One who permits. A permitter, or not a hinderer, of sin. J. Edwards.
permix |To mix; to mingle. [Obs.]
permixtion |See Permission.
permulator |A special form of rotary converter with stationary commutator and rotating brushes, in which the exciting field is induced by the alternating current in a short-circuited magnetic core instead of being produced by an external magnet.
permutable |Capable of being permuted; exchangeable. -- Per*mut\"a*ble*ness, n. -- Per*mut\"a*bly, adv.
permutation |1. The act of permuting; exchange of the thing for another; mutual transference; interchange. The violent convulsions and permutations that have been made in property. Burke. 2. (Math.) (a) The arrangement of any determinate number of things, as units, objects, letters, etc., in all possible orders, one after the other; -- called also alternation. Cf. Combination, n., 4. (b) Any one of such possible arrangements. 3. (Law)  Barter; exchange. Permutation lock, a lock in which the parts can be transposed or shifted, so as to require different arrangements of the tumblers on different occasions of unlocking.
permute |1. To interchange; to transfer reciprocally. 2. To exchange; to barter; to traffic. [Obs.] Bought, trucked, permuted, or given. Hakluyt.
permuter |One who permutes.
pern |To take profit of; to make profitable. [Obs.] Sylvester.\n\nThe honey buzzard.
pernancy |A taking or reception, as the receiving of rents or tithes in kind, the receiving of profits. Blackstone.
pernel |See Pimpernel. [Obs.]
pernicion |Destruction; perdition. [Obs.] hudibras.
pernicious |Quick; swift (to burn). [R.] Milton.\n\nHaving the quality of injuring or killing; destructive; very mischievous; baleful; malicious; wicked. Let this pernicious hour Stand aye accursed in the calendar. Shak. Pernicious to his health. Prescott. Syn. -- Destructive; ruinous; deadly; noxious; injurious; baneful; deleterious; hurtful; mischievous. -- Per*ni\"cious*ly, adv., -- Per*ni\"cious*ness, n.
pernicity |Swiftness; celerity. [R.] Ray.
pernickety pernicketty |Finical or fussy; full of petty details. [Colloq.]
pernio |A chilblain.
pernoctalian |One who watches or keeps awake all night.
pernoctation |The act or state of passing the whole night; a remaining all night. \"Pernoctation in prayer.\" Jer. Taylor.
pernor |One who receives the profits, as of an estate.
pernot furnace |A reverberatory furnace with a circular revolving hearth, -- used in making steel.
pernyi moth |A silk-producing moth (Attacus Pernyi) which feeds upon the oak. It has been introduced into Europe and America from China.
perofskite |A titanate of lime occurring in octahedral or cubic crystals. [Written also Perovskite.]
perogue |See Pirogue.
peronate |A term applied to the stipes or stalks of certain fungi which are covered with a woolly substance which at length becomes powdery. Henslow.
peroneal |Of or pertaining to the fibula; in the region of the fibula.
perorate |To make a peroration; to harangue. [Colloq.]
peroration |The concluding part of an oration; especially, a final summing up and enforcement of an argument. Burke.
peroxidation |Act, process, or result of peroxidizing; oxidation to a peroxide.
peroxide |An oxide containing more oxygen than some other oxide of the same element. Formerly peroxides were regarded as the highest oxides. Cf. Per-, 2.
peroxidize |To oxidize to the utmost degree, so as to form a peroxide.
perpend |To weight carefully in the mind. [R.] \"Perpend my words.\" Shak.\n\nTo attend; to be attentive. [R.] Shak.
perpend stone |See Perpender.
perpender |A large stone reaching through a wall so as to appear on both sides of it, and acting as a binder; -- called also perbend, perpend stone, and perpent stone.
perpendicle |Something hanging straight down; a plumb line. [Obs.]
perpendicular |1. Exactly upright or vertical; pointing to the zenith; at right angles to the plane of the horizon; extending in a right line from any point toward the center of the earth. 2. (Geom.)  At right angles to a given line or surface; as, the line ad is perpendicular to the line bc. Perpendicular style (Arch.), a name given to the latest variety of English Gothic architecture, which prevailed from the close of the 14th century to the early part of the 16th; -- probably so called from the vertical style of its window mullions.\n\n1. A line at right angles to the plane of the horizon; a vertical line or direction. 2. (Geom.)  A line or plane falling at right angles on another line or surface, or making equal angles with it on each side.
perpendicularity |The quality or state of being perpendicular.
perpendicularly |In a perpendicular manner; vertically.
perpension |Careful consideration; pondering. [Obs.] Sir T. Browne.
perpensity |Perpension. [Obs.]
perpent stone |See Perpender.
perpession |Suffering; endurance. [Obs.] Bp. Pearson.
perpetrable |Capable of being perpetrated. R. North.
perpetrate |To do or perform; to carry through; to execute, commonly in a bad sense; to commit (as a crime, an offense); to be guilty of; as, to perpetrate a foul deed. What the worst perpetrate, or best endure. Young.
perpetration |1. The act of perpetrating; a doing; -- commonly used of doing something wrong, as a crime. 2. The thing perpetrated; an evil action.
perpetrator |One who perpetrates; esp., one who commits an offense or crime.
perpetuable |Capable of being perpetuated or continued. Varieties are perpetuable, like species. Gray.
perpetual |Neverceasing; continuing forever or for an unlimited time; unfailing; everlasting; continuous. Unto the kingdom of perpetual night. Shak. Perpetual feast of nectared sweets. Milton. Circle of perpetual apparition, or occultation. See under Circle. -- Perpetual calendar, a calendar so devised that it may be adjusted for any month or year. -- Perpetual curacy (Ch. of Eng.), a curacy in which all the tithes are appropriated, and no vicarage is endowed. Blackstone. -- Perpetual motion. See under Motion. -- Perpetual screw. See Endless screw, under Screw. Syn. -- Continual; unceasing; endless; everlasting; incessant; constant; eternal. See Constant.
perpetual calendar |A calendar that can be used perpetually or over a wide range of years. That of Capt. Herschel covers, as given below, dates from 1750 to 1961 only, but is capable of indefinite extension. PERPETUAL CALENDAR Day of the monthJan. Oct.Apr. July Jan.Sept. Dec.JuneFeb. Mar. Nov.Aug. Feb.MayDay of the Week 1815 2229 2916 2330 31017 2431 41118 25 51219 26 61320 27 @71421 28 To find the day of the week corresponding to any date, find the small letter directly under the month and opposite the day of the month; the same small letter also appears in the vertical column that contains the number of the year, and if the line in which it stands is followed out to the right, the day of the week is found. Thus, the small letter under March and opposite 18 is b; b appears again directly over 1904, and at its right is the word Friday. March 18 fell on Friday in 1904, and also in 1898, 1892, etc.  The calendar has other uses, as for finding the months which begin on Sunday in  a particular year, etc. |1753  |1754   |1755   |1750   |1751   |1757   |*1752 |1759  |1765 |*1760  |1761   |*1756  |1763 |1758
perpetually |In a perpetual manner; constantly; continually. The Bible and Common Prayer Book in the vulgar tongue, being perpetually read in churches, have proved a kind of standard for language. Swift.
perpetualty |The state or condition of being perpetual. [Obs.] Testament of Love.
perpetuance |Perpetuity. [Obs.]
perpetuate |To make perpetual; to cause to endure, or to be continued, indefinitely; to preserve from extinction or oblivion; to eternize. Addison. Burke.\n\nMade perpetual; perpetuated. [R.] Southey.
perpetuation |The act of making perpetual, or of preserving from extinction through an endless existence, or for an indefinite period of time; continuance. Sir T. Browne.
perpetuity |1. The quality or state of being perpetual; as, the perpetuity of laws. Bacon. A path to perpetuity of fame. Byron. The perpetuity of single emotion is insanity. I. Taylor. 2. Something that is perpetual. South. 3. Endless time. \"And yet we should, for perpetuity, go hence in debt.\" Shak. 4. (Annuities) (a) The number of years in which the simple interest of any sum becomes equal to the principal. (b) The number of years' purchase to be given for an annuity to continue forever. (c) A perpetual annuity. 5. (Law) (a) Duration without limitations as to time. (b) The quality or condition of an estate by which it becomes inalienable, either perpetually or for a very long period; also, the estate itself so modified or perpetuated.
perplex |1. To involve; to entangle; to make intricate or complicated, and difficult to be unraveled or understood; as, to perplex one with doubts. No artful wildness to perplex the scene. Pope. What was thought obscure, perplexed, and too hard for our weak parts, will lie open to the understanding in a fair view. Locke. 2. To embarrass; to puzzle; to distract; to bewilder; to confuse; to trouble with ambiguity, suspense, or anxiety. \"Perplexd beyond self- explication.\" Shak. We are perplexed, but not in despair. 2 Cor. iv. 8. We can distinguish no general truths, or at least shall be apt to perplex the mind. Locke. 3. To plague; to vex; to tormen. Glanvill. Syn. -- To entangle; involve; complicate; embarrass; puzzle; bewilder; confuse; distract. See Embarrass.\n\nIntricate; difficult. [Obs.] Glanvill.
perplexed |Entangled, involved, or confused; hence, embarrassd; puzzled; doubtful; anxious. -- Per*plex\"ed*ly, adv. -- Per*plex\"ed*ness, n.
perplexing |Embarrassing; puzzling; troublesome. \"Perplexing thoughts.\" Milton.
perplexity |The quality or state of being perplexed or puzzled; complication; intricacy; entanglement; distraction of mind through doubt or difficulty; embarrassment; bewilderment; doubt. By their own perplexities involved, They ravel more. Milton.
perplexiveness |The quality of being perplexing; tendency to perplex. [Obs.] Dr. H. More.
perplexly |Perplexedly. [Obs.] Milton.
perpotation |The act of drinking excessively; a drinking bout. [Obs.]
perquisite |1. Something gained from a place or employment over and above the ordinary salary or fixed wages for services rendered; especially, a fee allowed by law to an officer for a specific service. The pillage of a place taken by storm was regarded as the perquisite of the soldiers. Prescott. The best perquisites of a place are the advantages it gaves a man of doing good. Addison. 2. pl. (Law)  Things gotten by a man's own industry, or purchased with his own money, as opposed to things which come to him by descent. Mozley & W.
perquisited |Supplied with perquisites. [Obs.] \"Perquisited varlets frequent stand.\" Savage.
perquisition |A thorough inquiry of search. [R.] Berkeley.
perradial |Situated around the radii, or radial tubes, of a radiate.
perrie |Precious stones; jewels. [Obs.] [Written also perre, perrye, etc.] Chaucer.
perrier |A short mortar used formerly for throwing stone shot. Hakluyt.
perron |An out-of-door flight of steps, as in a garden, leading to a terrace or to an upper story; -- usually applied to mediævel or later structures of some architectural pretensions.
perroquet |See Paroquet, Parakeet.
perruque |See Peruke.
perruquier |A marker of perukes or wigs.
perry |A fermented liquor made from pears; pear cider. Mortimer.\n\nA suddent squall. See Pirry. [Obs.]
pers |Light blue; grayish blue; -- a term applied to different shades at different periods. -- n.  A cloth of sky-blue color. [Obs.] \"A long surcoat of pers.\" Chaucer.
persalt |A term formerly given to the salts supposed to be formed respectively by neutralizing acids with certain peroxides. [Obsoles.]
persant |Piercing. [Obs.] Spenser.
perscrutation |A thorough searching; a minute inquiry or scrutiny. Carlyle
persecot |See Persicot.
persecute |1. To pursue in a manner to injure, grieve, or afflict; to beset with cruelty or malignity; to harass; especially, to afflict, harass, punish, or put to death, for adherence to a particular religious creed or mode of worship. Do good to them that hate you, and pray for them which despitefully use you, and persecute you. Matt. v. 44. 2. To harass with importunity; to pursue with persistent solicitations; to annoy. Johnson. Syn. -- To oppress; harass; distress; worry; annoy.
persecution |1. The act or practice of persecuting; especially, the infliction of loss, pain, or death for adherence to a particular creed or mode of worship. Persecution produces no sincere conviction. Paley. 2. The state or condition of being persecuted. Locke. 3. A carrying on; prosecution. [Obs.]
persecutor |One who persecutes, or harasses. Shak.
persecutrix |A woman who persecutes.
perseid |One of a group of shooting stars which appear yearly about the 10th of August, and cross the heavens in paths apparently radiating from the constellation Perseus. They are beleived to be fragments once connected with a comet visible in 1862.
perseus |1. (Class. Myth.)  A Grecian legendary hero, son of Jupiter and Danaë, who slew the Gorgon Medusa. 2. (Astron.)  A consellation of the northern hemisphere, near Taurus and Cassiopea. It contains a star cluster visible to the naked eye as a nebula.
persever |To persevere. [Obs.]
perseverance |1. The act of persevering; persistence in anything undertaken; continued pursuit or prosecution of any business, or enterprise begun. \"The king-becoming graces . . . perseverance, mercy, lowliness.\" Shak. Whose constant perseverance overcame Whate'er his cruel malice could invent. Milton. 2. Discrimination. [Obs.] Sir J. Harrington. 3. (Theol.)  Continuance in a state of grace until it is succeeded by a state of glory; sometimes called final perseverance, and the perseverance of the saints. See Calvinism. Syn. -- Persistence; steadfastness; constancy; steadiness; pertinacity.
perseverant |Persevering. [R.] \"Perseverant faith.\" Whitby. -- Per`se*ver\"ant*ly, adv. [R.]
persevere |To persist in any business or enterprise undertaken; to pursue steadily any project or course begun; to maintain a purpose in spite of counter influences, opposition, or discouragement; not to give or abandon what is undertaken. Thrice happy, if they know Their happiness, and persevere upright. Milton. Syn. -- To Persevere, Continue, Persist. The idea of not laying aside is common to these words. Continue is the generic term, denoting simply to do as one has done hitherto. To persevere is to continue in a given course in spite of discouragements, etc., from a desire to obtain our end. To persist is to continue from a determination of will not to give up. Persist is frequently used in a bad sense, implying obstinacy in pursuing an unworthy aim.
persevering |Characterized by perseverance; persistent. -- Per`se*ver\"ing*ly, adv.
persian |Of or pertaining to Persia, to the Persians, or to their language. Persian berry, the fruit of Rhamnus infectorius, a kind of buckthorn, used for dyeing yellow, and imported chiefly from Trebizond. -- Persian cat. (Zoöl.) Same as Angora cat, under Angora. -- Persian columns (Arch.), columns of which the shaft represents a Persian slave; -- called also Persians. See Atlantes. -- Persian drill (Mech.), a drill which is turned by pushing a nut back and forth along a spirally grooved drill holder. -- Persian fire (Med.), malignant pustule. -- Persian powder. See Insect powder, under Insect. -- Persian red. See Indian red (a), under Indian. -- Persian wheel, a noria; a tympanum. See Noria.\n\n1. A native or inhabitant of Persia. 2. The language spoken in Persia. 3. A thin silk fabric, used formerly for linings. Beck. 4. pl. (Arch.)  See Persian columns, under Persian, a.
persic |Of or relating to Persia. -- n.  The Persian language.
persicaria |See Lady's thumb.
persico |= Persicot.
persicot |A cordial made of the kernels of apricots, nectarines, etc., with refined spirit.
persienne |Properly, printed calico, whether Oriental or of fanciful design with flowers, etc., in Western work. Hence, as extended in English, material of a similar character.
persiennes |Window blinds having movable slats, similar to Venetian blinds.
persiflage |Frivolous or bantering talk; a frivolous manner of treating any subject, whether serious or otherwise; light raillery. Hannah More.
persifleur |One who indulges in persiflage; a banterer; a quiz. Carlyle.
persimmon |An American tree (Diospyros Virginiana) and its fruit, found from New York southward. The fruit is like a plum in appearance, but is very harsh and astringent until it has been exposed to frost, when it becomes palatable and nutritious. Japanese persimmon, Diospyros Kaki and its red or yellow edible fruit, which outwardly resembles a tomato, but contains a few large seeds.
persis |A kind of coloring matter obtained from lichens.
persism |A Persian idiom.
persist |To stand firm; to be fixed and unmoved; to stay; to continue steadfastly; especially, to continue fixed in a course of conduct against opposing motives; to persevere; -- sometimes conveying an unfavorable notion, as of doggedness or obstinacy. If they persist in pointing their batteries against particular persons, no laws of war forbid the making reprisals. Addison. Some positive, persisting fops we know, Who, if once wrong, will needs be always so. Pope. That face persists. It floats up; it turns over in my mind. Mrs. Browning. Syn. -- See Persevere, and Insist.
persistence |1. The quality or state of being persistent; staying or continuing quality; hence, in an unfavorable sense, doggedness; obstinacy. 2. The continuance of an effect after the cause which first gave rise to it is removed; as: (a) (Physics)  The persistence of motion. (b) (Physiol.) Visual persistence, or persistence of the visual impression; auditory persistence, etc.
persistency |1. The quality or state of being persistent; staying or continuing quality; hence, in an unfavorable sense, doggedness; obstinacy. 2. The continuance of an effect after the cause which first gave rise to it is removed; as: (a) (Physics)  The persistence of motion. (b) (Physiol.) Visual persistence, or persistence of the visual impression; auditory persistence, etc.
persistent |1. Inclined to persist; having staying qualities; tenacious of position or purpose. 2. (Biol.)  Remaining beyond the period when parts of the same kind sometimes fall off or are absorbed; permanent; as, persistent teeth or gills; a persistent calyx; -- opposed to deciduous, and caducous.
persistently |In a persistent manner.
persisting |Inclined to persist; tenacious of purpose; persistent. -- Per*sist\"ing*ly, adv.
persistive |See Persistent. Shak.
persolve |To pay wholly, or fully. [Obs.] E. Hall.
person |1. A character or part, as in a play; a specific kind or manifestation of individual character, whether in real life, or in literary or dramatic representation; an assumed character. [Archaic] His first appearance upon the stage in his new person of a sycophant or juggler. Bacon. No man can long put on a person and act a part. Jer. Taylor. To bear rule, which was thy part And person, hadst thou known thyself aright. Milton. How different is the same man from himself, as he sustains the person of a magistrate and that of a friend! South. 2. The bodily form of a human being; body; outward appearance; as, of comely person. A fair persone, and strong, and young of age. Chaucer. If it assume my noble father's person. Shak. Love, sweetness, goodness, in her person shined. Milton. 3. , self-conscious being, as distinct from an animal or a thing; a moral agent; a human being; a man, woman, or child. Consider what person stands for; which, I think, is a thinking, intelligent being, that has reason and reflection. Locke. 4. A human being spoken of indefinitely; one; a man; as, any person present. 5. A parson; the parish priest. [Obs.] Chaucer. 6. (Theol.)  Among Trinitarians, one of the three subdivisions of the Godhead (the Father, the Son, and the Holy Ghost); an hypostasis. \"Three persons and one God.\" Bk. of Com. Prayer. 7. (Gram.)  One of three relations or conditions (that of speaking, that of being spoken to, and that of being spoken of) pertaining to a noun or a pronoun, and thence also to the verb of which it may be the subject. Note: A noun or pronoun, when representing the speaker, is said to be in the first person; when representing what is spoken to, in the second person; when representing what is spoken of, in the third person. 8. (Biol.)  A shoot or bud of a plant; a polyp or zooid of the compound Hydrozoa Anthozoa, etc.; also, an individual, in the narrowest sense, among the higher animals. Haeckel. True corms, composed of united personæ . . . usually arise by gemmation, . . . yet in sponges and corals occasionally by fusion of several originally distinct persons. Encyc. Brit. Artificial, or Fictitious, person (Law), a corporation or body politic. blackstone. -- Natural person (Law), a man, woman, or child, in distinction from a corporation. -- In person, by one's self; with bodily presence; not by representative. \"The king himself in person is set forth.\" Shak. -- In the person of, in the place of; acting for. Shak.\n\nTo represent as a person; to personify; to impersonate. [Obs.] Milton.
persona |Same as Person, n., 8.
personable |1. Having a well-formed body, or person; graceful; comely; of good appearance; presentable; as, a personable man or woman. Wise, warlike, personable, courteous, and kind. Spenser. The king, . . . so visited with sickness, was not personable. E. Hall. 2. (Law) (a) Enabled to maintain pleas in court. Cowell. (b) Having capacity to take anything granted.
personage |1. Form, appearance, or belongings of a person; the external appearance, stature, figure, air, and the like, of a person. \"In personage stately.\" Hayward. The damsel well did view his personage. Spenser. 2. Character assumed or represented. \"The actors and personages of this fable.\" Broome. \"Disguised in a false personage.\" Addison. 3. A notable or distinguished person; a conspicious or peculiar character; as, an illustrious personage; a comely personage of stature tall. Spenser.
personal |1. Pertaining to human beings as distinct from things. Every man so termed by way of personal difference. Hooker. 2. Of or pertaining to a particular person; relating to, or affecting, an individual, or each of many individuals; peculiar or proper to private concerns; not public or general; as, personal comfort; personal desire. The words are conditional, -- If thou doest well, -- and so personal to Cain. Locke. 3. Pertaining to the external or bodily appearance; corporeal; as, personal charms. Addison. 4. Done in person; without the intervention of another. \"Personal communication.\" Fabyan. The immediate and personal speaking of God. White. 5. Relating to an individual, his character, conduct, motives, or private affairs, in an invidious and offensive manner; as, personal reflections or remarks. 6. (Gram.)  Denoting person; as, a personal pronoun. Personal action (Law), a suit or action by which a man claims a debt or personal duty, or damages in lieu of it; or wherein he claims satisfaction in damages for an injury to his person or property, or the specific recovery of goods or chattels; -- opposed to real action. -- Personal equation. (Astron.) See under Equation. -- Personal estate or property (Law), movables; chattels; -- opposed to real estate or property. It usually consists of things temporary and movable, including all subjects of property not of a freehold nature. -- Personal identity (Metaph.), the persistent and continuous unity of the individual person, which is attested by consciousness. -- Personal pronoun (Gram.), one of the pronouns I, thou, he, she, it, and their plurals. -- Personal representatives (Law), the executors or administrators of a person deceased. -- Personal rights, rights appertaining to the person; as, the rights of a personal security, personal liberty, and private property. -- Personal tithes. See under Tithe. -- Personal verb (Gram.), a verb which is modified or inflected to correspond with the three persons.\n\nA movable; a chattel.
personalism |The quality or state of being personal; personality. [R.]
personality |1. That which constitutes distinction of person; individuality. Personality is individuality existing in itself, but with a nature as a ground. Coleridge. 2. Something said or written which refers to the person, conduct, etc., of some individual, especially something of a disparaging or offensive nature; personal remarks; as, indulgence in personalities. Sharp personalities were exchanged. Macaulay. 3. (Law)  That quality of a law which concerns the condition, state, and capacity of persons. Burrill.
personalize |To make personal. \"They personalize death.\" H. Spencer.
personally |1. In a personal manner; by bodily presence; in person; not by representative or substitute; as, to deliver a letter personally. He, being cited, personally came not. Grafton. 2. With respect to an individual; as regards the person; individually; particularly. She bore a mortal hatred to the house of Lancaster, and personally to the king. Bacon. 3. With respect to one's individuality; as regards one's self; as, personally I have no feeling in the matter.
personalty |1. The state of being a person; personality. [R.] 2. (Law)  Personal property, as distinguished from realty or real property.
personate |To celebrate loudly; to extol; to praise. [Obs.] In fable, hymn, or song so personating Their gods ridiculous. Milton.\n\n1. To assume the character of; to represent by a fictitious appearance; to act the part of; hence, to counterfeit; to feign; as, he tried to personate his brother; a personated devotion. Hammond. 2. To set forth in an unreal character; to disguise; to mask. [R.] \"A personated mate.\" Milton. 3. To personify; to typify; to describe. Shak.\n\nTo play or assume a character.\n\nHaving the throat of a bilabiate corolla nearly closed by a projection of the base of the lower lip; masked, as in the flower of the snapdragon.
personation |The act of personating, or conterfeiting the person or character of another.
personator |One who personates. \"The personators of these actions.\" B. Jonson.
personeity |Personality. [R.] Coleridge.
personification |1. The act of personifying; impersonation; embodiment. C. Knight. 2. (Rhet.)  A figure of speech in which an inanimate object or abstract idea is represented as animated, or endowed with personality; prosopopas, the floods clap their hands. \"Confusion heards his voice.\" Milton.
personifier |One who personifies.
personify |1. To regard, treat, or represent as a person; to represent as a rational being. The poets take the liberty of personifying inanimate things. Chesterfield. 2. To be the embodiment or personification of; to impersonate; as, he personifies the law.
personize |To personify. [R.] Milton has personized them. J. Richardson.
personnel |The body of persons employed in some public service, as the army, navy, etc.; -- distinguished from matériel.
perspective |1. Of or pertaining to the science of vision; optical. [Obs.] Bacon. 2. Pertaining to the art, or in accordance with the laws, of perspective. Perspective plane, the plane or surface on which the objects are delineated, or the picture drawn; the plane of projection; -- distinguished from the ground plane, which is that on which the objects are represented as standing. When this plane is oblique to the principal face of the object, the perspective is called oblique perspective; when parallel to that face, parallel perspective. -- Perspective shell (Zoöl.), any shell of the genus Solarium and allied genera. See Solarium.\n\n1. A glass through which objects are viewed. [Obs.] \"Not a perspective, but a mirror.\" Sir T. Browne. 2. That which is seen through an opening; a view; a vista. \"The perspective of life.\" Goldsmith. 3. The effect of distance upon the appearance of objects, by means of which the eye recognized them as being at a more or less measurable distance. Hence, aërial perspective, the assumed greater vagueness or uncertainty of outline in distant objects. Aërial perspective is the expression of space by any means whatsoever, sharpness of edge, vividness of color, etc. Ruskin. 4. The art and the science of so delineating objects that they shall seem to grow smaller as they recede from the eye; -- called also linear perspective. 5. A drawing in linear perspective. Isometrical perspective, an inaccurate term for a mechanical way of representing objects in the direction of the diagonal of a cube. -- Perspective glass, a telescope which shows objects in the right position.
perspectively |1. Optically; as through a glass. [R.] You see them perspectively. Shak. 2. According to the rules of perspective.
perspectograph |An instrument for obtaining, and transferring to a picture, the points and outlines of objects, so as to represent them in their proper geometrical relations as viewed from some one point.
perspectography |The science or art of delineating objects according to the laws of perspective; the theory of perspective.
perspicable |Discernible. [Obs.] Herbert.
perspicacious |1. Having the power of seeing clearly; quick-sighted; sharp of sight. 2. Fig.: Of acute discernment; keen. -- Per`spi*ca\"cious*ly, adv. -- Per`spi*ca\"cious*ness, n.
perspicacity |The state of being perspicacious; acuteness of sight or of intelligence; acute discernment. Sir T. Browne.
perspicacy |Perspicacity. [Obs.]
perspicience |The act of looking sharply. [Obs.] Bailey.
perspicil |An optical glass; a telescope. [Obs.] Crashaw.
perspicuity |1. The quality or state of being transparent or translucent. [Obs.] Sir T. Browne. 2. The quality of being perspicuous to the understanding; clearness of expression or thought. 3. Sagacity; perspicacity. Syn. -- Clearness; perspicuousness; plainness; distinctness; lucidity; transparency. See Clearness.
perspicuous |1. Capable of being through; transparent; translucent; not opaque. [Obs.] Peacham. 2. Clear to the understanding; capable of being clearly understood; clear in thought or in expression; not obscure or ambiguous; as, a perspicuous writer; perspicuous statements. \"The purpose is perspicuous.\" Shak. -- Per*spic\"u*ous*ly, adv. -- Per*spic\"u*ous*ness, n.
perspirability |The quality or state of being perspirable.
perspirable |1. Capable of being perspired. Sir T. Browne. 2. Emitting perspiration; perspiring. [R.] Bacon.
perspiration |1. The act or process of perspiring. 2. That which is excreted through the skin; sweat. Note: A man of average weight throws off through the skin during 24 hours about 18 ounces of water, 300 grains of solid matter, and 400 grains of carbonic acid gas. Ordinarily, this constant exhalation is not apparent, and the excretion is then termed insensible perspiration.
perspirative |Performing the act of perspiration; perspiratory.
perspiratory |Of, pertaining to, or producing, perspiration; as, the perspiratory ducts.
perspire |1. (Physiol.)  To excrete matter through the skin; esp., to excrete fluids through the pores of the skin; to sweat. 2. To be evacuated or excreted, or to exude, through the pores of the skin; as, a fluid perspires.\n\nTo emit or evacuate through the pores of the skin; to sweat; to excrete through pores. Firs . . . perspire a fine balsam of turpentine. Smollett.
perstreperous |Noisy; obstreperous. [Obs.] Ford.
perstringe |1. To touch; to graze; to glance on. [Obs.] 2. To criticise; to touch upon. [R.] Evelyn.
persuadable |That may be persuaded. -- Per*suad\"a*ble*ness, n. -- Per*suad\"a*bly, adv.
persuade |1. To influence or gain over by argument, advice, entreaty, expostulation, etc.; to draw or incline to a determination by presenting sufficient motives. Almost thou persuadest me to be a Christian. Acts xxvi. 28. We will persuade him, be it possible. Shak. 2. To try to influence. [Obsolescent] Hearken not unto Hezekiah, when he persuadeth you. 2 Kings xviii. 32. 3. To convince by argument, or by reasons offered or suggested from reflection, etc.; to cause to believe. Beloved, we are persuaded better things of you. Heb. vi. 9. 4. To inculcate by argument or expostulation; to advise; to recommend. Jer. Taylor. Syn. -- To convince; induce; prevail on; win over; allure; entice. See Convince.\n\nTo use persuasion; to plead; to prevail by persuasion. Shak.\n\nPersuasion. [Obs.] Beau. & Fl.
persuaded |Prevailed upon; influenced by argument or entreaty; convinced. -- Per*suad\"ed*ly, adv. -- Per*suad\"ed*ness, n.
persuader |One who, or that which, persuades or influences. \"Powerful persuaders.\" Milton.
