terebrant |Boring, or adapted for boring; -- said of certain Hymenoptera, as the sawflies.
test |1. (Metal.)  A cupel or cupelling hearth in which precious metals are melted for trial and refinement. Our ingots, tests, and many mo. Chaucer. 2. Examination or trial by the cupel; hence, any critical examination or decisive trial; as, to put a man's assertions to a test. \"Bring me to the test.\" Shak. 3. Means of trial; as, absence is a test of love. Each test every light her muse will bear. Dryden. 4. That with which anything is compared for proof of its genuineness; a touchstone; a standard. Life, force, and beauty must to all impart, At once the source, and end, and test of art. Pope. 5. Discriminative characteristic; standard of judgment; ground of admission or exclusion. Our test excludes your tribe from benefit. Dryden. 6. Judgment; distinction; discrimination. Who would excel, when few can make a test Betwixt indifferent writing and the best Dryden. 7. (Chem.)  A reaction employed to recognize or distinguish any particular substance or constituent of a compound, as the production of some characteristic precipitate; also, the reagent employed to produce such reaction; thus, the ordinary test for sulphuric acid is the production of a white insoluble precipitate of barium sulphate by means of some soluble barium salt. Test act (Eng. Law), an act of the English Parliament prescribing a form of oath and declaration against transubstantiation, which all officers, civil and military, were formerly obliged to take within six months after their admission to office. They were obliged also to receive the sacrament according to the usage of the Church of England. Blackstone. -- Test object (Optics), an object which tests the power or quality of a microscope or telescope, by requiring a certain degree of excellence in the instrument to determine its existence or its peculiar texture or markings. -- Test paper. (a) (Chem.) Paper prepared for use in testing for certain substances by being saturated with a reagent which changes color in some specific way when acted upon by those substances; thus, litmus paper is turned red by acids, and blue by alkalies, turmeric paper is turned brown by alkalies, etc. (b) (Law) An instrument admitted as a standard or comparison of handwriting in those jurisdictions in which comparison of hands is permitted as a mode of proving handwriting. -- Test tube. (Chem.) (a) A simple tube of thin glass, closed at one end, for heating solutions and for performing ordinary reactions. (b) A graduated tube. Syn. -- Criterion; standard; experience; proof; experiment; trial. -- Test, Trial. Trial is the wider term; test is a searching and decisive trial. It is derived from the Latin testa (earthen pot), which term was early applied to the fining pot, or crucible, in which metals are melted for trial and refinement. Hence the peculiar force of the word, as indicating a trial or criterion of the most decisive kind. I leave him to your gracious acceptance, whose trial shall better publish his commediation. Shak. Thy virtue, prince, has stood the test of fortune, Like purest gold, that tortured in the furnace, Comes out more bright, and brings forth all its weight. Addison.\n\n1. (Metal.)  To refine, as gold or silver, in a test, or cupel; to subject to cupellation. 2. To put to the proof; to prove the truth, genuineness, or quality of by experiment, or by some principle or standard; to try; as, to test the soundness of a principle; to test the validity of an argument. Experience is the surest standard by which to test the real tendency of the existing constitution. Washington. 3. (Chem.)  To examine or try, as by the use of some reagent; as, to test a solution by litmus paper.\n\nA witness. [Obs.] Prelates and great lords of England, who were for the more surety tests of that deed. Ld. Berners.\n\nTo make a testament, or will. [Obs.]\n\n1. (Zoöl.)  The external hard or firm covering of many invertebrate animals. Note: The test of crustaceans and insects is composed largely of chitin; in mollusks it is composed chiefly of calcium carbonate, and is called the shell. 2. (Bot.)  The outer integument of a seed; the episperm, or spermoderm.
testa |1. (Zoöl.)  The external hard or firm covering of many invertebrate animals. Note: The test of crustaceans and insects is composed largely of chitin; in mollusks it is composed chiefly of calcium carbonate, and is called the shell. 2. (Bot.)  The outer integument of a seed; the episperm, or spermoderm.
testable |1. Capable of being tested or proved. 2. Capable of being devised, or given by will.
testacea |Invertebrate animals covered with shells, especially mollusks; shellfish.
testacean |Onr of the Testacea.
testaceography |The science which treats of testaceans, or shellfish; the description of shellfish. [R.]
testaceology |The science of testaceous mollusks; conchology. [R.]
testaceous |1. Of or pertaining to shells; consisted of a hard shell, or having a hard shell. 2. (Bot. & Zoöl.)  Having a dull red brick color or a brownish yellow color. Testaceous animals (Zoöl.), animals having a firm, calcareous shell, as oysters and clams, thus distinguished from crustaceous animals, whose shells are more thin and soft, and consist of several joints, or articulations, as lobsters and crabs.
testacy |The state or circumstance of being testate, or of leaving a valid will, or testament, at death.
testament |1. (Law)  A solemn, authentic instrument in writing, by which a person declares his will as to disposal of his estate and effects after his death. Note: This is otherwise called a will, and sometimes a last will and testament. A testament, to be valid, must be made by a person of sound mind; and it must be executed and published in due form of law. A man, in certain cases, may make a valid will by word of mouth only. See Nuncupative will, under Nuncupative. 2. One of the two distinct revelations of God's purposes toward man; a covenant; also, one of the two general divisions of the canonical books of the sacred Scriptures, in which the covenants are respectively revealed; as, the Old Testament; the New Testament; -- often limited, in colloquial language, to the latter. He is the mediator of the new testament . . . for the redemption of the transgressions that were under the first testament. Heb. ix. 15. Holographic testament, a testament written wholly by the testator himself. Bouvier.
testamental |Of or pertaining to a testament; testamentary. Thy testamental cup I take, And thus remember thee. J. Montgomery.
testamentary |1. Of or pertaining to a will, or testament; as, letters testamentary. 2. Bequeathed by will; given by testament. How many testamentary charities have been defeated by the negligence or fraud of executors! Atterbury. 3. Done, appointed by, or founded on, a testament, or will; as, a testamentary guardian of a minor, who may be appointed by the will of a father to act in that capacity until the child becomes of age.
testamentation |The act or power of giving by testament, or will. [R.] Burke.
testamentize |To make a will. [Obs.] Fuller.
testamur |A certificate of merit or proficiency; -- so called from the Latin words, Ita testamur, with which it commences.
testate |Having made and left a will; as, a person is said to die testate. Ayliffe.\n\nOne who leaves a valid will at death; a testate person. [R.]
testation |A witnessing or witness. [Obs.] Bp. Hall.
testator |A man who makes and leaves a will, or testament, at death.
testatrix |A woman who makes and leaves a will at death; a female testator.
teste |(a) A witness. (b) The witnessing or concluding clause, duty attached; -- said of a writ, deed, or the like. Burrill.
tester |1. A headpiece; a helmet. [Obs.] The shields bright, testers, and trappures. Chaucer. 2. A flat canopy, as over a pulpit or tomb. Oxf. Gross. 3. A canopy over a bed, supported by the bedposts. No testers to the bed, and the saddles and portmanteaus heaped on me to keep off the cold. Walpole.\n\nAn old French silver coin, originally of the value of about eighteen pence, subsequently reduced to ninepence, and later to sixpence, sterling. Hence, in modern English slang, a sixpence; -- often contracted to tizzy. Called also teston. Shak.
testern |A sixpence; a tester. [Obs.]\n\nTo present with a tester. [Obs.] Shak.
testes |pl. of Teste, or of Testis.
testicardines |A division of brachiopods including those which have a calcareous shell furnished with a hinge and hinge teeth. Terebratula and Spirifer are examples.
testicle |One of the essential male genital glands which secrete the semen.
testicond |Having the testicles naturally concealed, as in the case of the cetaceans.
testicular |Of or pertaining to the testicle.
testiculate |(a) Shaped like a testicle, ovate and solid. (b) Having two tubers resembling testicles in form, as some species of orchis.
testiere |A piece of plate armor for the head of a war horse; a tester.
testif |Testy; headstrong; obstinate. [Obs.] Testif they were and lusty for to play. Chaucer.
testification |The act of testifying, or giving testimony or evidence; as, a direct testification of our homage to God. South.
testificator |A testifier.
testifier |One who testifies; one who gives testimony, or bears witness to prove anything; a witness.
testify |1. To make a solemn declaration, verbal or written, to establish some fact; to give testimony for the purpose of communicating to others a knowledge of something not known to them. Jesus . . . needed not that any should testify of man, for he knew what was in man. John ii. 25. 2. (Law)  To make a solemn declaration under oath or affirmation, for the purpose of establishing, or making proof of, some fact to a court; to give testimony in a cause depending before a tribunal. One witness shall not testify against any person to cause him to die. Num. xxxv. 30. 3. To declare a charge; to protest; to give information; to bear witness; -- with against. O Israel, . . . I will testify against thee. Ps. l. 7. I testified against them in the day wherein they sold victuals. Neh. xiii. 15.\n\n1. To bear witness to; to support the truth of by testimony; to affirm or declare solemny. We speak that we do know, and testify that we have seen; and ye receive not our witness. John iii. 11. 2. (Law)  To affirm or declare under oath or affirmation before a tribunal, in order to prove some fact.\n\nIn a testy manner; fretfully; peevishly; with petulance.
testimonial |1. A writing or certificate which bears testimony in favor of one's character, good conduct, ability, etc., or of the value of a thing. 2. Something, as money or plate, presented to a preson as a token of respect, or of obligation for services rendered.\n\nRelating to, or containing, testimony.
testimony |1. A solemn declaration or affirmation made for the purpose of establishing or proving some fact. Note: Such declaration, in judicial proceedings, may be verbal or written, but must be under oath or affirmation. 2. Affirmation; declaration; as, these doctrines are supported by the uniform testimony of the fathers; the belief of past facts must depend on the evidence of human testimony, or the testimony of historians. 3. Open attestation; profession. [Thou] for the testimony of truth, hast borne Universal reproach. Milton. 4. Witness; evidence; proof of some fact. When ye depart thence, shake off the dust under your feet for a testimony against them. Mark vi. 11. 5. (Jewish Antiq.)  The two tables of the law. Thou shalt put into the ark the testimony which I shall give thee. Ex. xxv. 16. 6. Hence, the whole divine revelation; the sacre The testimony of the Lord is sure, making wise the simple. Ps. xix. 7. Syn. -- Proof; evidence; attestation; witness; affirmation; confirmation; averment. -- Testimony, Proof, Evidence. Proof is the most familiar, and is used more frequently (though not exclusively) of facts and things which occur in the ordinary concerns of life. Evidence is a word of more dignity, and is more generally applied to that which is moral or intellectual; as, the evidences of Christianity, etc. Testimony is what is deposed to by a witness on oath or affirmation. When used figuratively or in a wider sense, the word testimony has still a reference to some living agent as its author, as when we speak of the testimony of conscience, or of doing a thing in testimony of our affection, etc. Testimony refers rather to the thing declared, evidence to its value or effect. \"To conform our language more to common use, we ought to divide arguments into demonstrations, proofs, and probabilities; ba proofs, meaning such arguments from experience as leave no room for doubt or opposition.\" Hume. \"The evidence of sense is the first and highest kind of evidence of which human nature is capable.\" Bp. Wilkins. \"The proof of everything must be by the testimony of such as the parties produce.\" Spenser.\n\nTo witness; to attest; to prove by testimony. [Obs.] Shak.
testiness |The quality or state of being testy; fretfulness; petulance. Testiness is a disposition or aptness to be angry. Locke.
testing |1. The act of testing or proving; trial; proof. 2. (Metal.)  The operation of refining gold or silver in a test, or cupel; cupellation. Testing machine (Engin.), a machine used in the determination of the strength of materials, as iron, stone, etc., and their behavior under strains of various kinds, as elongation, bending, crushing, etc.
testis |A testicle.
teston |A tester; a sixpence. [Obs.]
testone |A silver coin of Portugal, worth about sixpence sterling, or about eleven cents. Homans.
testoon |An Italian silver coin. The testoon of Rome is worth 1s. 3d. sterling, or about thirty cents. Homans.
testudinal |Of, pertaining to, or resembling, a tortoise.
testudinarious |Of or pertaining to the shell of a tortoise; resembling a tortoise shell; having the color or markings of a tortoise shell.
testudinata |An order of reptiles which includes the turtles and tortoises. The body is covered by a shell consisting of an upper or dorsal shell, called the carapace, and a lower or ventral shell, called the plastron, each of which consists of several plates.
testudinate |Resembling a tortoise shell in appearance or structure; roofed; arched; vaulted.
testudinated |Resembling a tortoise shell in appearance or structure; roofed; arched; vaulted.
testudineous |Resembling the shell of a tortoise.
testudo |1. (Zoöl.)  A genus of tortoises which formerly included a large number of diverse forms, but is now restricted to certain terrestrial species, such as the European land tortoise (Testudo Græca) and the gopher of the Southern United States. 2. (Rom. Antiq.)  A cover or screen which a body of troops formed with their shields or targets, by holding them over their heads when standing close to each other. This cover resembled the back of a tortoise, and served to shelter the men from darts, stones, and other missiles. A similar defense was sometimes formed of boards, and moved on wheels. 3. (Mus.)  A kind of musical instrument. a species of lyre; -- so called in allusion to the lyre of Mercury, fabled to have been made of the shell of a tortoise.
testy |Fretful; peevish; petulant; easily irritated. Must I observe you must I stand and crouch Under your testy humor Shak. I was displeased with myself; I was testy. Latimer.
tetanic |1. (Physiol.)  Of or pertaining to tetanus; having the character of tetanus; as, a tetanic state; tetanic contraction. This condition of muscle, this fusion of a number of simple spasms into an apparently smooth, continuous effort, is known as tetanus, or tetanic contraction. Foster. 2. (Physiol. & Med.)  Producing, or tending to produce, tetanus, or tonic contraction of the muscles; as, a tetanic remedy. See Tetanic, n.\n\nA substance (notably nux vomica, strychnine, and brucine) which, either as a remedy or a poison, acts primarily on the spinal cord, and which, when taken in comparatively large quantity, produces tetanic spasms or convulsions.
tetanin |A poisonous base (ptomaine) formed in meat broth through the agency of a peculiar microbe from the wound of a person who has died of tetanus; -- so called because it produces tetanus as one of its prominent effects.
tetanization |The production or condition of tetanus.
tetanize |To throw, as a muscle, into a state of permanent contraction; to cause tetanus in. See Tetanus, n., 2.
tetanoid |Resembling tetanus.
tetanomotor |An instrument from tetanizing a muscle by irritating its nerve by successive mechanical shocks.
tetanus |1. (Med.)  A painful and usually fatal disease, resulting generally from a wound, and having as its principal symptom persistent spasm of the voluntary muscles. When the muscles of the lower jaw are affected, it is called locked-jaw, or lickjaw, and it takes various names from the various incurvations of the body resulting from the spasm. 2. (Physiol.)  That condition of a muscle in which it is in a state of continued vibratory contraction, as when stimulated by a series of induction shocks.
tetany |A morbid condition resembling tetanus, but distinguished from it by being less severe and having intermittent spasms.
tetard |A gobioid fish (Eleotris gyrinus) of the Southern United States; -- called also sleeper.
tetartohedral |Having one fourth the number of planes which are requisite to complete symmetry. -- Te*tar`to*he\"dral*ly, adv.
tetartohedrism |The property of being tetartohedral.
tetaug |See Tautog. [R.]
tetchiness |See Techiness.
tetchy |See Techy. Shak.
tete |A kind of wig; false hair.
tete-a-tete |1. Private conversation; familiar interview or conference of two persons. 2. A short sofa intended to accomodate two persons.\n\nPrivate; confidential; familiar. She avoided tête-à-tête walks with him. C. Kingsley.\n\nFace to face; privately or confidentially; familiarly. Prior.
tete-de-pont |A work thrown up at the end of a bridge nearest the enemy, for covering the communications across a river; a bridgehead.
tetel |A large African antelope (Alcejaphus tora). It has widely divergent, strongly ringed horns.
tether |A long rope or chain by which an animal is fastened, as to a stake, so that it can range or feed only within certain limits.\n\nTo confine, as an animal, with a long rope or chain, as for feeding within certain limits. And by a slender cord was tethered to a stone. Wordsworth.
tether-ball |A game played with rackets and a ball suspended by a string from an upright pole, the object of each side being to wrap the string around the pole by striking the ball in a direction opposite to the other.
tethydan |A tunicate.
tethyodea |A division of Tunicata including the common attached ascidians, both simple and compound. Called also Tethioidea.
tethys |A genus of a large naked mollusks having a very large, broad, fringed cephalic disk, and branched dorsal gills. Some of the species become a foot long and are brilliantly colored.
tetra- |1. A combining form or prefix signifying four, as in tetrabasic, tetrapetalous. 2. (Chem.)  A combining form (also used adjectively) denoting four proportional or combining parts of the substance or ingredient denoted by the term to which it is prefixed, as in tetra-chloride, tetroxide.
tetrabasic |Capable of neutralizing four molecules of a monacid base; having four hydrogen atoms capable of replacement by bases; quadribasic; -- said of certain acids; thus, normal silicic acid, Si(OH)4, is a tetrabasic acid.
tetraboric |Same as Pyroboric.
tetrabranchiata |An order of Cephalopoda having four gills. Among living species it includes only the pearly nautilus. Numerous genera and species are found in the fossil state, such as Ammonites, Baculites, Orthoceras, etc.
tetrabranchiate |Of or pertaining to the Tetrabranchiata. -- n.  One of the Tetrabranchiata.
tetracarpel |Composed of four carpels.
tetrachord |A scale series of four sounds, of which the extremes, or first and last, constituted a fourth. These extremes were immutable; the two middle sounds were changeable.
tetrachotomous |Having a division by fours; separated into four parts or series, or into series of fours.
tetracid |Capable of neutralizing four molecules of a monobasic acid; having four hydrogen atoms capable of replacement ba acids or acid atoms; -- said of certain bases; thus, erythrine, C4H6(OH)4, is a tetracid alcohol.
tetracoccous |Having four cocci, or carpels.
tetracolon |A stanza or division in lyric poetry, consisting of four verses or lines. Crabb.
tetracoralla |Same as Rugosa.
tetractinellid |Any species of sponge of the division Tetractinellida. Also used adjectively.
tetractinellida |A division of Spongiæ in which the spicules are siliceous and have four branches diverging at right angles. Called also Tetractinellinæ.
tetrad |1. The number four; a collection of four things; a quaternion. 2. (Chem.)  A tetravalent or quadrivalent atom or radical; as, carbon is a tetrad.
tetradactyl |Tetradactylous.
tetradactyle |Tetradactylous.
tetradactylous |Having, or characterized by, four digits to the foot or hand.
tetradecane |A light oily hydrocarbon, C14H30, of the marsh-gas series; -- so called from the fourteen carbon atoms in the molecule.
tetradecapoda |Same as Arthrostraca.
tetradic |Of or pertaining to a tetrad; possessing or having the characteristics of a tetrad; as, a carbon is a tetradic element.
tetradite |A person in some way remarkable with regard to the number four, as one born on the fourth day of the month, or one who reverenced four persons in the Godhead. Smart.
tetradon |See Tetrodon.
tetradont |See Tetrodont.
tetradrachm |A silver coin among the ancient Greeks, of the value of four drachms. The Attic tetradrachm was equal to 3s. 3d. sterling, or about 76 cents.
tetradrachma |A silver coin among the ancient Greeks, of the value of four drachms. The Attic tetradrachm was equal to 3s. 3d. sterling, or about 76 cents.
tetradymite |A telluride of bismuth. It is of a pale steel-gray color and metallic luster, and usually occurs in foliated masses. Calles also telluric bismuth.
tetradynamia |A Linnæan class of plants having six stamens, four of which are longer than the others.
tetradynamian |A plant of the order Tetradynamia.\n\nBelonging to the order Tetradynamia; having six stamens, four of which are uniformly longer than the others.
tetradynamous |Belonging to the order Tetradynamia; having six stamens, four of which are uniformly longer than the others.
tetragonal |1. (Geom.)  Of or pertaining to a tetragon; having four angles or sides; thus, the square, the parallelogram, the rhombus, and the trapezium are tetragonal fingers. 2. (Bot.)  Having four prominent longitudinal angles. 3. (Crystallog.)  Designating, or belonging to, a certain system of crystallization; dimetric. See Tetragonal system, under Crystallization.
tetragrammaton |The mystic number four, which was often symbolized to represent the Deity, whose name was expressed by four letters among some ancient nations; as, the Hebrew JeHoVaH, Greek qeo`s, Latin deus, etc.
tetragynia |A Linnæan order of plants having four styles.
tetragynian |Belonging to the order Tetragynia; having four styles.
tetragynous |Belonging to the order Tetragynia; having four styles.
tetrahedral |1. Having, or composed of, four sides. 2. (Crystallog.) (a) Having the form of the regular tetrahedron. (b) Pertaining or related to a tetrahedron, or to the system of hemihedral forms to which the tetrahedron belongs. Tetrahedral angle (Geom.), a solid angle bounded or inclosed by four plane angles.
tetrahedrally |In a tetrahedral manner.
tetrahedrite |A sulphide of antimony and copper, with small quantities of other metals. It is a very common ore of copper, and some varieties yield a considerable presentage of silver. Called also gray copper ore, fahlore, and panabase.
tetrahedron |A solid figure inclosed or bounded by four triangles. Note: In crystallography, the regular tetrahedron is regarded as the hemihedral form of the regular octahedron. Regular tetrahedron (Geom.), a solid bounded by four equal equilateral triangles; one of the five regular solids.
tetrahexahedral |Pertaining to a tetrahexahedron.
tetrahexahedron |A solid in the isometric system, bounded by twenty-four equal triangular faces, four corresponding to each face of the cube.
tetrakishexahedron |A tetrahexahedron.
tetrakosane |A hydrocarbon, C24H50, resembling paraffin, and like it belonging to the marsh-gas series; -- so called from having twenty- four atoms of carbon in the molecule.
tetralogy |A group or series of four dramatic pieces, three tragedies and one satyric, or comic, piece (or sometimes four tragedies), represented consequently on the Attic stage at the Dionysiac festival. Note: A group or series of three tragedies, exhibited together without a fourth piese, was called a trilogy.
tetramera |A division of Coleoptera having, apparently, only four tarsal joints, one joint being rudimentary.
tetramerous |1. (Bot.)  Having the parts arranged in sets of four; as, a tetramerous flower. 2. (Zoöl.)  Having four joints in each of the tarsi; -- said of certain insects.
tetrameter |A verse or line consisting of four measures, that is, in iambic, trochaic, and anapestic verse, of eight feet; in other kinds of verse, of four feet.
tetramethylene |(a) A hypothetical hydrocarbon, C4H8, analogous to trimethylene, and regarded as the base of well-known series or derivatives. (b) Sometimes, an isomeric radical used to designate certain compounds which are really related to butylene.
tetramorph |The union of the four attributes of the Evangelists in one figure, which is represented as winged, and standing on winged fiery wheels, the wings being covered with eyes. The representations of it are evidently suggested by the vision of Ezekiel (ch. i.)
tetrandria |A Linnæan class of plants having four stamens.
tetrandrian |Belonging to the class Tetrandria.
tetrandrous |Belonging to the class Tetrandria.
tetraonid |A bird belonging to the tribe of which the genus Tetrao is the type, as the grouse, partridge, quail, and the like. Used also adjectively.
tetrapetalous |Containing four distinct petals, or flower leaves; as, a tetrapetalous corolla.
tetrapharmacom |A combination of wax, resin, lard, and pitch, composing an ointment. Brande & C.
tetrapharmacum |A combination of wax, resin, lard, and pitch, composing an ointment. Brande & C.
tetraphenol |Furfuran. [Obs.]
tetraphyllous |Having four leaves; consisting of four distinct leaves or leaflets.
tetrapla |A Bible consisting of four different Greek versions arranged in four columns by Origen; hence, any version in four languages or four columns.
tetrapneumona |A division of Arachnida including those spiders which have four lungs, or pulmonary sacs. It includes the bird spiders (Mygale) and the trapdoor spiders. See Mygale.
tetrapnuemonian |One of the Tetrapneumona.
tetrapod |An insect characterized by having but four perfect legs, as certain of the butterflies.
tetrapody |A set of four feet; a measure or distance of four feet.
tetrapteran |An insect having four wings.
tetrapterous |Having four wings.
tetraptote |A noun that has four cases only. Andrews.
tetrarch |A Roman governor of the fourth part of a province; hence, any subordinate or dependent prince; also, a petty king or sovereign.\n\nFour. [Obs.] Fuller.
tetrarchate |A tetrarchy.
tetrarchical |Of or pertaining to a tetrarch or tetrarchy. Bolingbroke.
tetrarchy |The district under a Roman tetrarch; the office or jurisdiction of a tetrarch; a tetrarchate.
tetraschistic |Characterized by division into four parts.
tetrasepalous |Having four sepals.
tetraspaston |A machine in which four pulleys act together. Brande & C.
tetraspermous |Having four seeds. Tetraspermous plant, a plant which produces four seeds in each flower.
tetraspore |A nonsexual spore, one of a group of four regularly occurring in red seaweeds. -- Tet`ra*spor\"ic, a.
tetrastich |A stanza, epigram, or poem, consisting of four verses or lines. Pope.
tetrastyle |Having four columns in front; -- said of a temple, portico, or colonnade. -- n.  A tetrastyle building.
tetrasyllabic |Consisting of, or having, four syllables; quadrisyllabic.
tetrasyllabical |Consisting of, or having, four syllables; quadrisyllabic.
tetrasyllable |A word consisting of four syllables; a quadrisyllable.
tetrathecal |Having four loculaments, or thecæ.
tetrathionate |A salt of tetrathionic acid.
tetrathionic |Of, pertaining to, or designating, a thionic derivative, H
tetratomic |(a) Consisting of four atoms; having four atoms in the molecule, as phosphorus and arsenic. (b) Having a valence of four; quadrivalent; tetravalent; sometimes, in a specific sense, having four hydroxyl groups, whether acid or basic.
tetravalence |The quality or state of being tetravalent; quadrivalence.
tetravalent |Having a valence of four; tetratomic; quadrivalent.
tetraxile |Having four branches diverging at right angles; -- said of certain spicules of sponges.
tetrazin |A hypothetical compound, C2H2N4 which  may be regarded as benzene with four CH groups replaced by nitrogen atoms; also, any of various derivatives of the same. There are three isomeric varieties.
tetrazine |A hypothetical compound, C2H2N4 which  may be regarded as benzene with four CH groups replaced by nitrogen atoms; also, any of various derivatives of the same. There are three isomeric varieties.
tetrazo- |A combining form (also used adjectively), designating any one of a series of double derivatives of the azo and diazo compounds containing four atoms of nitrogen.
tetrazole |A crystalline acid substance, CH2N4, which may be regarded as pyrrol in which nitrogen atoms replace three CH groups; also, any of various derivatives of the same.
tetrazone |Any one of a certain series of basic compounds containing a chain of four nitrogen atoms; for example, ethyl tetrazone, (C2H5)2N.N2.N(C2H5)2, a colorless liquid having an odor of leeks.
tetric |Forward; perverse; harsh; sour; rugged. [Obs.] -- Tet\"ric*al*ness, n.
tetrical |Forward; perverse; harsh; sour; rugged. [Obs.] -- Tet\"ric*al*ness, n.
tetricity |Crabbedness; perverseness. [Obs.]
tetricous |Tetric. [Obs.]
tetrinic |Of, pertaining to, or designating, a complex ketonic acid, C5H6O3, obtained as a white crystalline substance; -- so called because once supposed to contain a peculiar radical of four carbon atoms. Called also acetyl-acrylic acid.
tetrodon |Any one of numerous species of plectognath fishes belonging to Tetrodon and allied genera. Each jaw is furnished with two large, thick, beaklike, bony teeth. [Written also tetradon.] Note: The skin is usually spinous, and the belly is capable of being greatly distended by air or water. It includes the swellfish, puffer (a), and similar species.
tetrodont |Of or pertaining to the tetrodons. -- n.  A tetrodon. [Written also tetradont, and tetraodont.]
tetrol |A hypothetical hydrocarbon, C4H4, analogous to benzene; -- so called from the four carbon atoms in the molecule. Tetrol phenol, furfuran. [Obs.]
tetrolic |Of, pertaining to, or designating, an acid, C3H3.CO2H, of the acetylene series, homologous with propiolic acid, obtained as a white crystalline substance.
tetrose |A monosaccharide derived from a certain alcohol.
tetroxide |An oxide having four atoms of oxygen in the molecule; a quadroxide; as, osmium tetroxide, OsO.
tetryl |Butyl; -- so called from the four carbon atoms in the molecule.
tetrylene |Butylene; -- so called from the four carbon atoms in the molecule.
tetter |A vesicular disease of the skin; herpes. See Herpes. Honeycomb tetter (Med.), favus. -- Moist tetter (Med.), eczema. -- Scaly tetter (Med.), psoriasis. Tetter berry (Bot.), the white bryony.\n\nTo affect with tetter. Shak.
tetter-totter |A certain game of children; seesaw; -- called also titter- totter, and titter-cum-totter.
tetterous |Having the character of, or pertaining to, tetter.
tetterwort |A plant used as a remedy for tetter, -- in England the calendine, in America the bloodroot.
tettigonian |Any one of numerous species of Hemiptera belonging to Tettigonia and allied genera; a leaf hopper.
tettish |Captious; testy. [Written also teatish.] [Obs.] Beau. & Fl.
tettix |1. (Zoöl.)  The cicada. [Obs. or R.] 2. (Zoöl.)  A genus of small grasshoppers.
tetty |Testy; irritable. [Obs.] Burton.
teufit |The lapwing; -- called also teuchit. [Prov. Eng.]
teuk |The redshank. [Prov. Eng.]
teuton |1. One of an ancient German tribe; later, a name applied to any member of the Germanic race in Europe; now used to designate a German, Dutchman, Scandinavian, etc., in distinction from a Celt or one of a Latin race. 2. A member of the Teutonic branch of the Indo-European, or Aryan, family.
teutonic |1. Of or pertaining to the Teutons, esp. the ancient Teutons; Germanic. 2. Of or pertaining to any of the Teutonic languages, or the peoples who speak these languages. Teutonic languages, a group of languages forming a division of the Indo-European, or Aryan, family, and embracing the High German, Low German, Gothic, and Scandinavian dialects and languages. -- Teutonic order, a military religious order of knights, established toward the close of the twelfth century, in imitation of the Templars and Hospitalers, and composed chiefly of Teutons, or Germans. The order rapidly increased in numbers and strength till it became master of all Prussia, Livonia, and Pomerania. In its decay it was abolished by Napoleon; but it has been revived as an honorary order.\n\nThe language of the ancient Germans; the Teutonic languages, collectively.
teutonicism |A mode of speech peculiar to the Teutons; a Teutonic idiom, phrase, or expression; a Teutonic mode or custom; a Germanism.
tew |1. To prepare by beating or working, as leather or hemp; to taw. 2. Hence, to beat; to scourge; also, to pull about; to maul; to tease; to vex. [Obs. or Prov. Eng. & Scot.]\n\nTo work hard; to strive; to fuse. [Local]\n\nTo tow along, as a vessel. [Obs.] Drayton.\n\nA rope or chain for towing a boat; also, a cord; a string. [Obs. or Prov. Eng.]
tewan |A tribe of American Indians including many of the Pueblos of New Mexico and adjacent regions.
tewed |Fatigued; worn with labor or hardship. [Obs. or Local] Mir. for Mag.
tewel |1. A pipe, funnel, or chimney, as for smoke. Chaucer. 2. The tuyère of a furnace.
tewhit |The lapwing; -- called also teewheep. [Prov. Eng.]
tewtaw |To beat; to break, as flax or hemp. [Obs.] Mortimer.
texas |A structure on the hurricane deck of a steamer, containing the pilot house, officers' cabins, etc. [Western U.S.] Knight.
texas leaguer |A short fly that falls too far out to be handled by an infielder and too close in to be caught by an outfielder. [Cant]
text |1. A discourse or composition on which a note or commentary is written; the original words of an author, in distinction from a paraphrase, annotation, or commentary. Chaucer. 2. (O. Eng. Law)  The four Gospels, by way of distinction or eminence. [R.] 3. A verse or passage of Scripture, especially one chosen as the subject of a sermon, or in proof of a doctrine. How oft, when Paul has served us with a text, Has Epictetus, Plato, Tully, preached! Cowper. 4. Hence, anything chosen as the subject of an argument, literary composition, or the like; topic; theme. 5. A style of writing in large characters; text-hand also, a kind of type used in printing; as, German text. Text blindness. (Physiol.) See Word blindness, under Word. -- Text letter, a large or capital letter. [Obs.] -- Text pen, a kind of metallic pen used in engrossing, or in writing text-hand.\n\nTo write in large characters, as in text hand. [Obs.] Beau. & Fl.
text hand |A large hand in writing; -- so called because it was the practice to write the text of a book in a large hand and the notes in a smaller hand.
text-book |1. A book with wide spaces between the lines, to give room for notes. 2. A volume, as of some classical author, on which a teacher lectures or comments; hence, any manual of instruction; a schoolbook.
text-hand |A large hand in writing; -- so called because it was the practice to write the text of a book in a large hand and the notes in a smaller hand.
textile |Pertaining to weaving or to woven fabrics; as, textile arts; woven, capable of being woven; formed by weaving; as, textile fabrics. Textile cone (Zoöl.), a beautiful cone shell (Conus textilis) in which the colors are arranged so that they resemble certain kinds of cloth.\n\nThat which is, or may be, woven; a fabric made by weaving. Bacon.
textman |One ready in quoting texts. [R.] Bp. Sanderston.
textorial |Of or pertaining to weaving. T. Warton.
textrine |Of or pertaining to weaving, textorial; as, the textrine art. Denham.
