half-faced |Showing only part of the face; wretched looking; meager. Shak.
hand |1. That part of the fore limb below the forearm or wrist in man and monkeys, and the corresponding part in many other animals; manus; paw. See Manus. 2. That which resembles, or to some extent performs the office of, a human hand; as: (a) A limb of certain animals, as the foot of a hawk, or any one of the four extremities of a monkey. (b) An index or pointer on a dial; as, the hour or minute hand of a clock. 3. A measure equal to a hand's breadth, -- four inches; a palm. Chiefly used in measuring the height of horses. 4. Side; part; direction, either right or left. On this hand and that hand, were hangings. Ex. xxxviii. 15. The Protestants were then on the winning hand. Milton. 5. Power of performance; means of execution; ability; skill; dexterity. He had a great mind to try his hand at a Spectator. Addison. 6. Actual performance; deed; act; workmanship; agency; hence, manner of performance. To change the hand in carrying on the war. Clarendon. Gideon said unto God, If thou wilt save Israel by my hand. Judges vi. 36. 7. An agent; a servant, or laborer; a workman, trained or competent for special service or duty; a performer more or less skillful; as, a deck hand; a farm hand; an old hand at speaking. A dictionary containing a natural history requires too many hands, as well as too much time, ever to be hoped for. Locke. I was always reckoned a lively hand at a simile. Hazlitt. 8. Handwriting; style of penmanship; as, a good, bad or running hand. Hence, a signature. I say she never did invent this letter; This is a man's invention and his hand. Shak. Some writs require a judge's hand. Burril. 9. Personal possession; ownership; hence, control; direction; management; -- usually in the plural. \"Receiving in hand one year's tribute.\" Knolles. Albinus . . . found means to keep in his hands the goverment of Britain. Milton. 10. Agency in transmission from one person to another; as, to buy at first hand, that is, from the producer, or when new; at second hand, that is, when no longer in the producer's hand, or when not new. 11. Rate; price. [Obs.] \"Business is bought at a dear hand, where there is small dispatch.\" Bacon. 12. That which is, or may be, held in a hand at once; as: (a) (Card Playing) The quota of cards received from the dealer. (b) (Tobacco Manuf.) A bundle of tobacco leaves tied together. 13. (Firearms)  The small part of a gunstock near the lock, which is grasped by the hand in taking aim. Note: Hand is used figuratively for a large variety of acts or things, in the doing, or making, or use of which the hand is in some way employed or concerned; also, as a symbol to denote various qualities or conditions, as: (a) Activity; operation; work; -- in distinction from the head, which implies thought, and the heart, which implies affection. \"His hand will be against every man.\" Gen. xvi. 12.(b) Power; might; supremacy; -- often in the Scriptures. \"With a mighty hand . . . will I rule over you.\" Ezek. xx. 33.(c) Fraternal feeling; as, to give, or take, the hand; to give the right hand. (d) Contract; -- commonly of marriage; as, to ask the hand; to pledge the hand. Note: Hand is often used adjectively or in compounds (with or without the hyphen), signifying performed by the hand; as, hand blow or hand- blow, hand gripe or hand-gripe: used by, or designed for, the hand; as, hand ball or handball, hand bow, hand fetter, hand grenade or hand-grenade, handgun or hand gun, handloom or hand loom, handmill or hand organ or handorgan, handsaw or hand saw, hand-weapon: measured or regulated by the hand; as, handbreadth or hand's breadth, hand gallop or hand-gallop. Most of the words in the following paragraph are written either as two words or in combination. Hand bag, a satchel; a small bag for carrying books, papers, parcels, etc. -- Hand basket, a small or portable basket. -- Hand bell, a small bell rung by the hand; a table bell. Bacon. -- Hand bill, a small pruning hook. See 4th Bill. -- Hand car. See under Car. -- Hand director (Mus.), an instrument to aid in forming a good position of the hands and arms when playing on the piano; a hand guide. -- Hand drop. See Wrist drop. -- Hand gallop. See under Gallop. -- Hand gear (Mach.), apparatus by means of which a machine, or parts of a machine, usually operated by other power, may be operated by hand. -- Hand glass. (a) A glass or small glazed frame, for the protection of plants. (b) A small mirror with a handle. -- Hand guide. Same as Hand director (above). -- Hand language, the art of conversing by the hands, esp. as practiced by the deaf and dumb; dactylology. -- Hand lathe. See under Lathe. -- Hand money, money paid in hand to bind a contract; earnest money. -- Hand organ (Mus.), a barrel organ, operated by a crank turned by hand. -- Hand plant. (Bot.) Same as Hand tree (below). -- Hand rail, a rail, as in staircases, to hold by. Gwilt. -- Hand sail, a sail managed by the hand. Sir W. Temple. -- Hand screen, a small screen to be held in the hand. -- Hand screw, a small jack for raising heavy timbers or weights; (Carp.) a screw clamp. -- Hand staff (pl. Hand staves), a javelin. Ezek. xxxix. 9. -- Hand stamp, a small stamp for dating, addressing, or canceling papers, envelopes, etc. -- Hand tree (Bot.), a lofty tree found in Mexico (Cheirostemon platanoides), having red flowers whose stamens unite in the form of a hand. -- Hand vise, a small vise held in the hand in doing small work. Moxon. -- Hand work, or Handwork, work done with the hands, as distinguished from work done by a machine; handiwork. -- All hands, everybody; all parties. -- At all hands, On all hands, on all sides; from every direction; generally. -- At any hand, At no hand, in any (or no) way or direction; on any account; on no account. \"And therefore at no hand consisting with the safety and interests of humility.\" Jer. Taylor. -- At first hand, At second hand. See def. 10 (above). -- At hand. (a) Near in time or place; either present and within reach, or not far distant. \"Your husband is at hand; I hear his trumpet.\" Shak. (b) Under the hand or bridle. [Obs.] \"Horses hot at hand.\" Shak. -- At the hand of, by the act of; as a gift from. \"Shall we receive good at the hand of God and shall we not receive evil\" Job ii. 10. -- Bridle hand. See under Bridle. -- By hand, with the hands, in distinction from instrumentality of tools, engines, or animals; as, to weed a garden by hand; to lift, draw, or carry by hand. -- Clean hands, freedom from guilt, esp. from the guilt of dishonesty in money matters, or of bribe taking. \"He that hath clean hands shall be stronger and stronger.\" Job xvii. 9. -- From hand to hand, from one person to another. -- Hand in hand. (a) In union; conjointly; unitedly. Swift. (b) Just; fair; equitable. As fair and as good, a kind of hand in hand comparison. Shak. -- Hand over hand, Hand over fist, by passing the hands alternately one before or above another; as, to climb hand over hand; also, rapidly; as, to come up with a chase hand over hand. -- Hand over head, negligently; rashly; without seeing what one does. [Obs.] Bacon. -- Hand running, consecutively; as, he won ten times hand running. -- Hand off! keep off! forbear! no interference or meddling! -- Hand to hand, in close union; in close fight; as, a hand to hand contest. Dryden. -- Heavy hand, severity or oppression. -- In hand. (a) Paid down. \"A considerable reward in hand, and . . . a far greater reward hereafter.\" Tillotson. (b) In preparation; taking place. Chaucer. \"Revels . . . in hand.\" Shak. (c) Under consideration, or in the course of transaction; as, he has the business in hand. -- In one's hand or hands. (a) In one's possession or keeping. (b) At one's risk, or peril; as, I took my life in my hand. -- Laying on of hands, a form used in consecrating to office, in the rite of confirmation, and in blessing persons. -- Light hand, gentleness; moderation. -- Note of hand, a promissory note. -- Off hand, Out of hand, forthwith; without delay, hesitation, or difficulty; promptly. \"She causeth them to be hanged up out of hand.\" Spenser. -- Off one's hands, out of one's possession or care. -- On hand, in present possession; as, he has a supply of goods on hand. -- On one's hands, in one's possession care, or management. -- Putting the hand under the thigh, an ancient Jewish ceremony used in swearing. -- Right hand, the place of honor, power, and strength. -- Slack hand, idleness; carelessness; inefficiency; sloth. -- Strict hand, severe discipline; rigorous government. -- To bear a hand (Naut), to give help quickly; to hasten. -- To bear in hand, to keep in expectation with false pretenses. [Obs.] Shak. -- To be hand and glove, or in glove with. See under Glove. -- To be on the mending hand, to be convalescent or improving. -- To bring up by hand, to feed (an infant) without suckling it. -- To change hand. See Change. -- To change hands, to change sides, or change owners. Hudibras. -- To clap the hands, to express joy or applause, as by striking the palms of the hands together. -- To come to hand, to be received; to be taken into possession; as, the letter came to hand yesterday. -- To get hand, to gain influence. [Obs.] Appetites have . . . got such a hand over them. Baxter. -- To got one's hand in, to make a beginning in a certain work; to become accustomed to a particular business. -- To have a hand in, to be concerned in; to have a part or concern in doing; to have an agency or be employed in. -- To have in hand. (a) To have in one's power or control. Chaucer. (b) To be engaged upon or occupied with. -- To have one's hands full, to have in hand al that one can do, or more than can be done conveniently; to be pressed with labor or engagements; to be surrounded with difficulties. -- To have, or get, the (higher) upper hand, to have, or get, the better of another person or thing. -- To his hand, To my hand, etc., in readiness; already prepared. \"The work is made to his hands.\" Locke. -- To hold hand, to compete successfully or on even conditions. [Obs.] Shak. -- To lay hands on, to seize; to assault. -- To lend a hand, to give assistance. -- To lift, or put forth, the hand against, to attack; to oppose; to kill. -- To live from hand to mouth, to obtain food and other necessaries as want compels, without previous provision. -- To make one's hand, to gain advantage or profit. -- To put the hand unto, to steal. Ex. xxii. 8.-- To put the last, or finishing, hand to, to make the last corrections in; to complete; to perfect. -- To set the hand to, to engage in; to undertake. That the Lord thy God may bless thee in all that thou settest thine hand to. Deut. xxiii. 20. -- To stand one in hand, to concern or affect one. -- To strike hands, to make a contract, or to become surety for another's debt or good behavior. -- To take in hand. (a) To attempt or undertake. (b) To seize and deal with; as, he took him in hand. -- To wash the hands of, to disclaim or renounce interest in, or responsibility for, a person or action; as, to wash one's hands of a business. Matt. xxvii. 24. -- Under the hand of, authenticated by the handwriting or signature of; as, the deed is executed under the hand and seal of the owner.\n\n1. To give, pass, or transmit with the hand; as, he handed them the letter. 2. To lead, guide, or assist with the hand; to conduct; as, to hand a lady into a carriage. 3. To manage; as, I hand my oar. [Obs.] Prior. 4. To seize; to lay hands on. [Obs.] Shak. 5. To pledge by the hand; to handfast. [R.] 6. (Naut.)  To furl; -- said of a sail. Totten. To hand down, to transmit in succession, as from father to son, or from predecessor to successor; as, fables are handed down from age to age; to forward to the proper officer (the decision of a higher court); as, the Clerk of the Court of Appeals handed down its decision. -- To hand over, to yield control of; to surrender; to deliver up.\n\nTo coöperate. [Obs.] Massinger.
hand-hole |A small hole in a boiler for the insertion of the hand in cleaning, etc. Hand-hole plate, the cover of a hand-hole.
hand-tight |As tight as can be made by the hand. Totten.
hand-winged |Having wings that are like hands in the structure and arrangement of their bones; -- said of bats. See Cheiroptera.
handball |1. A ball for throwing or using with the hand. 2.  A game played with such a ball, as by players striking it to and fro between them with the hands, or alternately against a wall, until one side or the other fails to return the ball.
handbarrow |A frame or barrow, without a wheel, carried by hand.
handbill |1. A loose, printed sheet, to be distributed by hand. 2. A pruning hook. [Usually written hand bill.]
handbook |A book of reference, to be carried in the hand; a manual; a guidebook.
handbreadth |A space equal to the breadth of the hand; a palm. Ex. xxxvii. 12.
handcart |A cart drawn or pushed by hand.
handcloth |A handkerchief.
handcraft |Same as Handicraft.
handcraftsman |A handicraftsman.
handcuff |A fastening, consisting of an iron ring around the wrist, usually connected by a chain with one on the other wrist; a manacle; -- usually in the plural.\n\nTo apply handcuffs to; to manacle. Hay (1754).
handed |1. With hands joined; hand in hand. Into their inmost bower, Handed they went. Milton. 2. Having a peculiar or characteristic hand. As poisonous tongued as handed. Shak. Note: Handed is used in composition in the sense of having (such or so many) hands; as, bloody-handed; free-handed; heavy-handed; left- handed; single-handed.
hander |One who hands over or transmits; a conveyer in succession. Dryden.
handfast |1. Hold; grasp; custody; power of confining or keeping. [Obs.] Shak. 2. Contract; specifically, espousal. [Obs.]\n\nFast by contract; betrothed by joining hands. [Obs.] Bale.\n\nTo pledge; to bind; to betroth by joining hands, in order to cohabitation, before the celebration of marriage. [Obs.]\n\nStrong; steadfast.[R.] Carlyle.
handfastly |In a handfast or publicly pledged manner. [Obs.] Holinshed.
handfish |The frogfish.
handful |1. As much as the hand will grasp or contain. Addison. 2. A hand's breadth; four inches. [Obs.] Knap the tongs together about a handful from the bottom. Bacon. 3. A small quantity. This handful of men were tied to very hard duty. Fuller. To have one's handful, to have one's hands full; to have all one can do. [Obs.] They had their handful to defend themselves from firing. Sir. W. Raleigh.
handicap |1. An allowance of a certain amount of time or distance in starting, granted in a race to the competitor possessing inferior advantages; or an additional weight or other hindrance imposed upon the one possessing superior advantages, in order to equalize, as much as possible, the chances of success; as, the handicap was five seconds, or ten pounds, and the like. 2. A race, for horses or men, or any contest of agility, strength, or skill, in which there is an allowance of time, distance, weight, or other advantage, to equalize the chances of the competitors. 3. An old game at cards. [Obs.] Pepys.\n\nTo encumber with a handicap in any contest; hence, in general, to place at disadvantage; as, the candidate was heavily handicapped.
handicapper |One who determines the conditions of a handicap.
handicraft |1. A trade requiring skill of hand; manual occupation; handcraft. Addison. 2. A man who earns his living by handicraft; a handicraftsman. [R.] Dryden.
handicraftsman |A man skilled or employed in handcraft. Bacon.
handily |In a handy manner; skillfully; conveniently.
handiness |The quality or state of being handy.
handiron |See Andrion. [Obs.]
handiwork |Work done by the hands; hence, any work done personally. The firmament showeth his handiwork. Ps. xix. 1.
handkercher |A handkerchief. [Obs. or Colloq.] Chapman (1654). Shak.
handkerchief |1. A piece of cloth, usually square and often fine and elegant, carried for wiping the face or hands. 2. A piece of cloth shaped like a handkerchief to be worn about the neck; a neckerchief; a neckcloth.
handle |1. To touch; to feel with the hand; to use or hold with the hand. Handle me, and see; for a spirit hath not flesh. Luke xxiv. 39. About his altar, handling holy things. Milton. 2. To manage in using, as a spade or a musket; to wield; often, to manage skillfully. That fellow handles his bow like a crowkeeper. Shak. 3. To accustom to the hand; to work upon, or take care of, with the hands. The hardness of the winters forces the breeders to house and handle their colts six months every year. Sir W. Temple. 4. To receive and transfer; to have pass through one's hands; hence, to buy and sell; as, a merchant handles a variety of goods, or a large stock. 5. To deal with; to make a business of. They that handle the law knew me not. Jer. ii. 8. 6. To treat; to use, well or ill. How wert thou handled being prisoner. Shak. 7. To manage; to control; to practice skill upon. You shall see how I will handle her. Shak. 8. To use or manage in writing or speaking; to treat, as a theme, an argument, or an objection. We will handle what persons are apt to envy others. Bacon. To handle without gloves. See under Glove. [Colloq.]\n\nTo use the hands. They have hands, but they handle not. Ps. cxv. 7.\n\n1. That part of vessels, instruments, etc., which is held in the hand when used or moved, as the haft of a sword, the knob of a door, the bail of a kettle, etc. 2. That of which use is made; the instrument for effecting a purpose; a tool. South. To give a handle, to furnish an occasion or means.
handless |Without a hand. Shak.
handling |1. A touching, controlling, managing, using, etc., with the hand or hands, or as with the hands. See Handle, v. t. The heavens and your fair handling Have made you master of the field this day. Spenser. 2. (Drawing, Painting, etc.)  The mode of using the pencil or brush, etc.; style of touch. Fairholt.
handmade |Manufactured by hand; as, handmade shoes.
handmaid |A maid that waits at hand; a female servant or attendant.
handmaiden |A maid that waits at hand; a female servant or attendant.
handsaw |A saw used with one hand.
handsel |1. A sale, gift, or delivery into the hand of another; especially, a sale, gift, delivery, or using which is the first of a series, and regarded as on omen for the rest; a first installment; an earnest; as the first money received for the sale of goods in the morning, the first money taken at a shop newly opened, the first present sent to a young woman on her wedding day, etc. Their first good handsel of breath in this world. Fuller. Our present tears here, not our present laughter, Are but the handsels of our joys hereafter. Herrick. 2. Price; payment. [Obs.] Spenser. Handsel Monday, the first Monday of the new year, when handsels or presents are given to servants, children, etc.\n\n1. To give a handsel to. 2. To use or do for the first time, esp. so as to make fortunate or unfortunate; to try experimentally. No contrivance of our body, but some good man in Scripture hath handseled it with prayer. Fuller.
handsome |1. Dexterous; skillful; handy; ready; convenient; -- applied to things as persons. [Obs.] That they [engines of war] be both easy to be carried and handsome to be moved and turned about. Robynson (Utopia). For a thief it is so handsome as it may seem it was first invented for him. Spenser. 2. Agreeable to the eye or to correct taste; having a pleasing appearance or expression; attractive; having symmetry and dignity; comely; -- expressing more than pretty, and less than beautiful; as, a handsome man or woman; a handsome garment, house, tree, horse. 3. Suitable or fit in action; marked with propriety and ease; graceful; becoming; appropriate; as, a handsome style, etc. Easiness and handsome address in writing. Felton. 4. Evincing a becoming generosity or nobleness of character; liberal; generous. Handsome is as handsome does. Old Proverb. 5. Ample; moderately large. He . . . accumulated a handsome sum of money. V. Knox. To do the handsome thing, to act liberally. [Colloq.] Syn. -- Handsome, Pretty. Pretty applies to things comparatively small, which please by their delicacy and grace; as, a pretty girl, a pretty flower, a pretty cottage. Handsome rises higher, and is applied to objects on a larger scale. We admire what is handsome, we are pleased with what is pretty. The word is connected with hand, and has thus acquired the idea of training, cultivation, symmetry, and proportion, which enters so largely into our conception of handsome. Thus Drayton makes mention of handsome players, meaning those, who are well trained; and hence we speak of a man's having a handsome address, which is the result of culture; of a handsome horse or dog, which implies well proportioned limbs; of a handsome face, to which, among other qualities, the idea of proportion and a graceful contour are essential; of a handsome tree, and a handsome house or villa. So, from this idea of proportion or suitableness, we have, with a different application, the expressions, a handsome fortune, a handsome offer.\n\nTo render handsome. [Obs.] Donne
handsomely |1. In a handsome manner. 2. (Naut.)  Carefully; in shipshape style.
handsomeness |The quality of being handsome. Handsomeness is the mere animal excellence, beauty the mere imaginative. Hare.
handspike |A bar or lever, generally of wood, used in a windlass or capstan, for heaving anchor, and, in modified forms, for various purposes.
handspring |A somersault made with the assistance of the hands placed upon the ground.
handwheel |Any wheel worked by hand; esp., one the rim of which serves as the handle by which a valve, car brake, or other part is adjusted.
handwriting |1. The cast or form of writing peculiar to each hand or person; chirography. 2. That which is written by hand; manuscript. The handwriting on the wall, a doom pronounced; an omen of disaster. Dan. v. 5.
handy |1. Performed by the hand. [Obs.] To draw up and come to handy strokes. Milton. 2. Skillful in using the hand; dexterous; ready; adroit. \"Each is handy in his way.\" Dryden. 3. Ready to the hand; near; also, suited to the use of the hand; convenient; valuable for reference or use; as, my tools are handy; a handy volume. 4. (Naut.)  Easily managed; obedient to the helm; -- said of a vessel.
handy-dandy |A child's play, one child guessing in which closed hand the other holds some small object, winning the object if right and forfeiting an equivalent if wrong; hence, forfeit. Piers Plowman.
handyfight |A fight with the hands; boxing. \"Pollux loves handyfights.\" B. Jonson.
handygripe |Seizure by, or grasp of, the hand; also, close quarters in fighting. Hudibras.
handystroke |A blow with the hand.
handywork |See Handiwork.
hang |1. To suspend; to fasten to some elevated point without support from below; -- often used with up or out; as, to hang a coat on a hook; to hang up a sign; to hang out a banner. 2. To fasten in a manner which will allow of free motion upon the point or points of suspension; -- said of a pendulum, a swing, a door, gate, etc. 3. To fit properly, as at a proper angle (a part of an implement that is swung in using), as a scythe to its snath, or an ax to its helve. [U. S.] 4. To put to death by suspending by the neck; -- a form of capital punishment; as, to hang a murderer. 5. To cover, decorate, or furnish by hanging pictures trophies, drapery, and the like, or by covering with paper hangings; -- said of a wall, a room, etc. Hung be the heavens with black. Shak. And hung thy holy roofs with savage spoils. Dryden. 6. To paste, as paper hangings, on the walls of a room. 7. To hold or bear in a suspended or inclined manner or position instead of erect; to droop; as, he hung his head in shame. Cowslips wan that hang the pensive head. Milton. To hang down, to let fall below the proper position; to bend down; to decline; as, to hang down the head, or, elliptically, to hang the head. -- To hang fire (Mil.), to be slow in communicating fire through the vent to the charge; as, the gun hangs fire; hence, to hesitate, to hold back as if in suspense.\n\n1. To be suspended or fastened to some elevated point without support from below; to dangle; to float; to rest; to remain; to stay. 2. To be fastened in such a manner as to allow of free motion on the point or points of suspension. 3. To die or be put to death by suspension from the neck. [R.] \"Sir Balaam hangs.\" Pope. 4. To hold for support; to depend; to cling; -- usually with on or upon; as, this question hangs on a single point. \"Two infants hanging on her neck.\" Peacham. 5. To be, or be like, a suspended weight. Life hangs upon me, and becomes a burden. Addison. 6. To hover; to impend; to appear threateningly; -- usually with over; as, evils hang over the country. 7. To lean or incline; to incline downward. To decide which way hung the victory. Milton. His neck obliquely o'er his shoulder hung. Pope. 8. To slope down; as, hanging grounds. 9. To be undetermined or uncertain; to be in suspense; to linger; to be delayed. A noble stroke he lifted high, Which hung not, but so swift with tempest fell On the proud crest of Satan. Milton. To hang around, to loiter idly about. -- To hang back, to hesitate; to falter; to be reluctant. \"If any one among you hangs back.\" Jowett (Thucyd.). -- To hang by the eyelids. (a) To hang by a very slight hold or tenure. (b) To be in an unfinished condition; to be left incomplete. -- To hang in doubt, to be in suspense. -- To hang on (with the emphasis on the preposition), to keep hold; to hold fast; to stick; to be persistent, as a disease. -- To hang on the lips, words, etc., to be charmed by eloquence. -- To hang out. (a) To be hung out so as to be displayed; to project. (b) To be unyielding; as, the juryman hangs out against an agreement. [Colloq.] (c) to lounge around a particular place; as, teenageers tend to hang out at the mall these days -- To hang over. (a) To project at the top. (b) To impend over. -- To hang to, to cling. -- To hang together. (a) To remain united; to stand by one another. \"We are all of a piece; we hang together.\" Dryden. (b) To be self- consistent; as, the story does not hang together. [Colloq.] -- To hang upon. (a) To regard with passionate affection. (b) (Mil.) To hover around; as, to hang upon the flanks of a retreating enemy.\n\n1. The manner in which one part or thing hangs upon, or is connected with, another; as, the hang of a scythe. 2. Connection; arrangement; plan; as, the hang of a discourse. [Colloq.] 3. A sharp or steep declivity or slope. [Colloq.] To get the hang of, to learn the method or arrangement of; hence, to become accustomed to. [Colloq.]
hang-by |A dependent; a hanger-on; -- so called in contempt. B. Jonson.
hangbird |The Baltimore oriole (Icterus galbula); -- so called because its nest is suspended from the limb of a tree. See Baltimore oriole.
hangdog |A base, degraded person; a sneak; a gallows bird.\n\n, Low; sneaking; ashamed. The poor colonel went out of the room with a hangdog look. Thackeray.
hanger |1. One who hangs, or causes to be hanged; a hangman. 2. That by which a thing is suspended. Especially: (a) A strap hung to the girdle, by which a dagger or sword is suspended. (b) (Mach.) A part that suspends a journal box in which shafting runs. See Illust. of Countershaft. (c) A bridle iron. 3. That which hangs or is suspended, as a sword worn at the side; especially, in the 18th century, a short, curved sword. 4. A steep, wooded declivity. [Eng.] Gilbert White.
hanger-on |One who hangs on, or sticks to, a person, place, or service; a dependent; one who adheres to others' society longer than he is wanted. Goldsmith.
hanging |1. Requiring, deserving, or foreboding death by the halter. \"What a hanging face!\" Dryden. 2. Suspended from above; pendent; as, hanging shelves. 3. Adapted for sustaining a hanging object; as, the hanging post of a gate, the post which holds the hinges. Hanging compass, a compass suspended so that the card may be read from beneath. -- Hanging garden, a garden sustained at an artificial elevation by any means, as by the terraces at Babylon. -- Hanging indentation. See under Indentation. -- Hanging rail (Arch.), that rail of a door or casement to which hinges are attached. -- Hanging side (Mining), the overhanging side of an inclined or hading vein. -- Hanging sleeves. (a) Strips of the same stuff as the gown, hanging down the back from the shoulders. (b) Loose, flowing sleeves. -- Hanging stile. (Arch.) (a) That stile of a door to which hinges are secured. (b) That upright of a window frame to which casements are hinged, or in which the pulleys for sash windows are fastened. -- Hanging wall (Mining), the upper wall of inclined vein, or that which hangs over the miner's head when working in the vein.\n\n1. The act of suspending anything; the state of being suspended. 2. Death by suspension; execution by a halter. 3. That which is hung as lining or drapery for the walls of a room, as tapestry, paper, etc., or to cover or drape a door or window; -- used chiefly in the plural. Nor purple hangings clothe the palace walls. Dryden.
hangman |One who hangs another; esp., one who makes a business of hanging; a public executioner; -- sometimes used as a term of reproach, without reference to office. Shak.
hangmanship |The office or character of a hangman.
hangnail |A small piece or silver of skin which hangs loose, near the root of finger nail. Holloway.
hangnest |1. A nest that hangs like a bag or pocket. 2. A bird which builds such a nest; a hangbird.
hank |1. A parcel consisting of two or more skeins of yarn or thread tied together. 2. A rope or withe for fastening a gate. [Prov. Eng.] 3. Hold; influence. When the devil hath got such a hank over him. Bp. Sanderson. 4. (Naut.)  A ring or eye of rope, wood, or iron, attached to the edge of a sail and running on a stay.\n\n1. Etym: [OE. hanken.]  To fasten with a rope, as a gate. [Prov. Eng.] Wright. 2. To form into hanks.
hanker |1. To long (for) with a keen appetite and uneasiness; to have a vehement desire; -- usually with for or after; as, to hanker after fruit; to hanker after the diversions of the town. Addison. He was hankering to join his friend. J. A. Symonds. 2. To linger in expectation or with desire. Thackeray.
hankeringly |In a hankering manner.
hankey-pankey |Professional cant; the chatter of conjurers to divert attention from their tricks; hence, jugglery. [Colloq.]
hanoverian |Of or pertaining to Hanover or its people, or to the House of Hanover in England.\n\nA native or naturalized inhabitant of Hanover; one of the House of Hanover.
hansa |See 2d Hanse.
hansard |An official report of proceedings in the British Parliament; -- so called from the name of the publishers.\n\nA merchant of one of the Hanse towns. See the Note under 2d Hanse.
hanse |That part of an elliptical or many-centered arch which has the shorter radius and immediately adjoins the impost.\n\nAn association; a league or confederacy. Hanse towns (Hist.), certain commercial cities in Germany which associated themselves for the protection and enlarging of their commerce. The confederacy, called also Hansa and Hanseatic league, held its first diet in 1260, and was maintained for nearly four hundred years. At one time the league comprised eighty-five cities. Its remnants, Lübeck, Hamburg, and Bremen, are free cities, and are still frequently called Hanse towns.
hanseatic |Pertaining to the Hanse towns, or to their confederacy. Hanseatic league. See under 2d Hanse.
hansel |See Handsel.
hanselines |A sort of breeches. [Obs..] Chaucer.
hansom |A light, low, two-wheeled covered carriage with the driver's seat elevated behind, the reins being passed over the top. He hailed a cruising hansom . . . \" 'Tis the gondola of London,\" said Lothair. Beaconsfield. HAN'T; HAIN'T Han't.  A contraction of have not, or has not, used in illiterate speech. In the United States the commoner spelling is hain't.
hansom cab |A light, low, two-wheeled covered carriage with the driver's seat elevated behind, the reins being passed over the top. He hailed a cruising hansom . . . \" 'Tis the gondola of London,\" said Lothair. Beaconsfield. HAN'T; HAIN'T Han't.  A contraction of have not, or has not, used in illiterate speech. In the United States the commoner spelling is hain't.
hanukka |The Jewish Feast of the Dedication, instituted by Judas Maccabæus, his brothers, and the whole congregation of Israel, in 165 b. c., to commemorate the dedication of the new altar set up at the purification of the temple of Jerusalem to replace the altar which had been polluted by Antiochus Epiphanes (1 Maccabees i. 58, iv. 59). The feast, which is mentioned in John x. 22, is held for eight days (beginning with the 25th day of Kislev, corresponding to December), and is celebrated everywhere, chiefly as a festival of lights, by the Jews.
hanukkah |The Jewish Feast of the Dedication, instituted by Judas Maccabæus, his brothers, and the whole congregation of Israel, in 165 b. c., to commemorate the dedication of the new altar set up at the purification of the temple of Jerusalem to replace the altar which had been polluted by Antiochus Epiphanes (1 Maccabees i. 58, iv. 59). The feast, which is mentioned in John x. 22, is held for eight days (beginning with the 25th day of Kislev, corresponding to December), and is celebrated everywhere, chiefly as a festival of lights, by the Jews.
hanuman |See Hoonoomaun.
hap |To clothe; to wrap. The surgeon happed her up carefully. Dr. J. Brown.\n\nA cloak or plaid. [O. Eng. & Scot.]\n\nThat which happens or comes suddenly or unexpectedly; also, the manner of occurrence or taking place; chance; fortune; accident; casual event; fate; luck; lot. Chaucer. Whether art it was or heedless hap. Spenser. Cursed be good haps, and cursed be they that build Their hopes on haps. Sir P. Sidney. Loving goes by haps: Some Cupid kills with arrows, some with traps. Shak.\n\nTo happen; to befall; to chance. Chaucer. Sends word of all that haps in Tyre. Shak. HA'PENNY; HAP'PENNY Hap'\"pen*ny, n.  A half-penny.
haphazard |Extra hazard; chance; accident; random. We take our principles at haphazard, upon trust. Locke.
haphtarah |One of the lessons from the Nebiim (or Prophets) read in the Jewish synagogue on Sabbaths, feast days, fasts, and the ninth of Ab, at the end of the service, after the parashoth, or lessons from the Law. Such a practice is evidenced in Luke iv.17 and Acts xiii.15.
hapless |Without hap or luck; luckless; unfortunate; unlucky; unhappy; as, hapless youth; hapless maid. Dryden.
haplessly |In a hapless, unlucky manner.
haplomi |An order of freshwater fishes, including the true pikes, cyprinodonts, and blindfishes.
haplostemonous |Having but one series of stamens, and that equal in number to the proper number of petals; isostemonous.
haply |By hap, chance, luck, or accident; perhaps; it may be. Lest haply ye be found even to fight against God. Acts v. 39.
happed |Wrapped; covered; cloaked. [Scot.] All happed with flowers in the green wood were. Hogg.
happen |1. To come by chance; to come without previous expectation; to fall out. There shall no evil happen to the just. Prov. xii. 21. 2. To take place; to occur. All these things which had happened. Luke xxiv. 14. To happen on, to meet with; to fall or light upon. \"I have happened on some other accounts.\" Graunt. -- To happen in, to make a casual call. [Colloq.]
happily |1. By chance; peradventure; haply. [Obs.] Piers Plowman. 2. By good fortune; fortunately; luckily. Preferred by conquest, happily o'erthrown. Waller. 3. In a happy manner or state; in happy circumstances; as, he lived happily with his wife. 4. With address or dexterity; gracefully; felicitously; in a manner to success; with success. Formed by thy converse, happily to steer From grave to gay, from lively to severe. Pope. Syn. -- Fortunately; luckily; successfully; prosperously; contentedly; dexterously; felicitously.
