olfactor |A smelling organ; a nose. [R.]
onset |1. A rushing or setting upon; an attack; an assault; a storming; especially, the assault of an army. Milton. The onset and retire Of both your armies. Shak. Who on that day the word of onset gave. Wordsworth. 2. A setting about; a beginning. [Obs.] Shak. There is surely no greater wisdom than well to time the beginnings and onsets of things. Bacon. 3. Anything set on, or added, as an ornament or as a useful appendage. [Obs.] Johnson.\n\n1. To assault; to set upon. [Obs.] 2. To set about; to begin. [Obs.] Carew.
onslaught |1. An attack; an onset; esp., a furious or murderous attack or assault. By storm and onslaught to proceed. Hudibras. 2. A bloody fray or battle. [Scot.] Jamieson.
onstead |A single farmhouse; a steading. [Prov.Eng. & Scot.] Grose. Jamieson.
onto |On the top of; upon; on. See On to, under On, prep.
ontogenesis |The history of the individual development of an organism; the history of the evolution of the germ; the development of an individual organism, -- in distinction from phylogeny, or evolution of the tribe. Called also henogenesis, henogeny.
ontogenetic |Of or pertaining to ontogenesis; as, ontogenetic phenomena. -- On`to*ge*net\"ic*al*ly, adv.
ontogenic |Ontogenetic.
ontogeny |The history of the individual development of an organism; the history of the evolution of the germ; the development of an individual organism, -- in distinction from phylogeny, or evolution of the tribe. Called also henogenesis, henogeny.
ontologic |Ontological.
ontological |Of or pertaining to ontology.
ontologically |In an ontological manner.
ontologist |One who is versed in or treats of ontology. Edin. Rev.
ontology |That department of the science of metaphysics which investigates and explains the nature and essential properties and relations of all beings, as such, or the principles and causes of being.
onus |A burden; an obligation. Onus probandi ( Etym: [L.], obligation to furnish evidence to prove a thing; the burden of proof.
onward |1. Moving in a forward direction; tending toward a contemplated or desirable end; forward; as, an onward course, progress, etc. 2. Advanced in a forward direction or toward an end. Within a while, Philoxenus came to see how onward the fruits were of his friend's labor. Sir P. Sidney.\n\nToward a point before or in front; forward; progressively; as, to move onward. Not one looks backward, onward still he goes. Pope.
onwardness |Progress; advancement.
onwards |Onward.
ony |Any. [Obs.] Chaucer.
onycha |1. An ingredient of the Mosaic incense, probably the operculum of some kind of strombus. Ex. xxx. 34. 2. The precious stone called onyx. [R.]
onychia |(a) A whitlow. (b) An affection of a finger or toe, attended with ulceration at the base of the nail, and terminating in the destruction of the nail.
onychomancy |Divination by the nails.
onychophora |Malacopoda.
onyx |Chalcedony in parallel layers of different shades of color. It is used for making cameos, the figure being cut in one layer with the next as a ground. Onyx marble, a banded variety of marble or calcium carbonate resembling onyx. It is obtained from Mexico.
oo |One. [Obs.] Chaucer.\n\nA beautiful bird (Moho nobilis) of the Hawaiian Islands. It yields the brilliant yellow feathers formerly used in making the royal robes. Called also yellow-tufted honeysucker.
ooecium |One of the special zooids, or cells, of Bryozoa, destined to receive and develop ova; an ovicell. See Bryozoa.
ooegenesis |The development, or mode of origin, of the ova.
ooegonium |A special cell in certain cryptogamous plants containing oöspheres, as in the rockweeds (Fucus), and the orders Vaucherieæ and Peronosporeæ.
ooelite |A variety of limestone, consisting of small round grains, resembling the roe of a fish. It sometimes constitutes extensive beds, as in the European Jurassic. See the Chart of Geology.
ooelitic |Of or pertaining to oölite; composed of, or resembling, oölite.
ooelogical |Of or pertaining to oölogy.
ooelogist |One versed in oölogy.
ooelogy |The science of eggs in relation to their coloring, size, shape, and number.
ooephore |An alternately produced form of certain cryptogamous plants, as ferns, mosses, and the like, which bears antheridia and archegonia, and so has sexual fructification, as contrasted with the sporophore, which is nonsexual, but produces spores in countless number. In ferns the oöphore is a minute prothallus; in mosses it is the leafy plant.
ooephorectomy |Ovariotomy.
ooephoric |Having the nature of, or belonging to, an oöphore.
ooephoridium |The macrosporangium or case for the larger kind of spores in heterosporous flowerless plants.
ooephoritis |Ovaritis.
ooephyte |Any plant of a proposed class or grand division (collectively termed oöphytes or Oöphyta), which have their sexual reproduction accomplished by motile antherozoids acting on oöspheres, either while included in their oögonia or after exclusion. Note: This class was at first called Oösporeæ, and is made to include all algæ and fungi which have this kind of reproduction, however they may differ in all other respects, the contrasted classes of Thallophytes being Protophytes, Zygophytes, and Carpophytes. The whole system has its earnest advocates, but is rejected by many botanists. See Carpophyte.
ooephytic |Of or pertaining to an oöphyte.
ooerial |A wild, bearded sheep inhabiting the Ladakh mountains. It is reddish brown, with a dark beard from the chin to the chest.
ooesperm |The ovum, after fusion with the spermatozoön in impregnation. Balfour.
ooesphere |1. (Bot.)  An unfertilized, rounded mass of protoplasm, produced in an oögonium. Note: After being fertilized by the access of antherozoids it becomes covered with a cell wall and develops into an oöspore, which may grow into a new plant like the parent. 2. (Bot.)  An analogous mass of protoplasm in the ovule of a flowering plant; an embryonic vesicle. Goodale.
ooesporangium |An oögonium; also, a case containing oval or rounded spores of some other kind than oöspores.
ooespore |(a) A special kind of spore resulting from the fertilization of an oösphere by antherozoids. (b) A fertilized oösphere in the ovule of a flowering plant.
ooesporic |Of or pertaining to an oöspore.
ooestegite |One of the plates which in some Crustacea inclose a cavity wherein the eggs are hatched.
ooetheca |An egg case, especially those of many kinds of mollusks, and of some insects, as the cockroach. Cf. Ooecium.
ooetocoid |A half oviparous, or an oviparous, mammal; a marsupial or monotreme.
ooetooid |A half oviparous, or an oviparous, mammal; a marsupial or monotreme.
ooetype |The part of the oviduct of certain trematode worms in which the ova are completed and furnished with a shell.
ooezoa |Same as Acrita.
oogenesis |The development, or mode of origin, of the ova.
oogonium |A special cell in certain cryptogamous plants containing oöspheres, as in the rockweeds (Fucus), and the orders Vaucherieæ and Peronosporeæ.
ooidal |Shaped like an egg.
ook |Oak. [Obs.] \"A branched ook.\" Chaucer.
oolite |A variety of limestone, consisting of small round grains, resembling the roe of a fish. It sometimes constitutes extensive beds, as in the European Jurassic. See the Chart of Geology.
oolitic |Of or pertaining to oölite; composed of, or resembling, oölite.
oological |Of or pertaining to oölogy.
oologist |One versed in oölogy.
oology |The science of eggs in relation to their coloring, size, shape, and number.
oolong |A fragrant variety of black tea having somewhat the flavor of green tea. [Written also oulong.]
oomiac |A long, broad boat used by the Eskimos.
oomiak |A long, broad boat used by the Eskimos.
oon |One. [Obs.] Chaucer.
oones |Once. [Obs.] Chaucer.
oop |To bind with a thread or cord; to join; to unite. [Scot.] Jamieson.
oopack |A kind of black tea.
oopak |A kind of black tea.
oophore |An alternately produced form of certain cryptogamous plants, as ferns, mosses, and the like, which bears antheridia and archegonia, and so has sexual fructification, as contrasted with the sporophore, which is nonsexual, but produces spores in countless number. In ferns the oöphore is a minute prothallus; in mosses it is the leafy plant.
oophorectomy |Ovariotomy.
oophoric |Having the nature of, or belonging to, an oöphore.
oophoridium |The macrosporangium or case for the larger kind of spores in heterosporous flowerless plants.
oophoritis |Ovaritis.
oophyte |Any plant of a proposed class or grand division (collectively termed oöphytes or Oöphyta), which have their sexual reproduction accomplished by motile antherozoids acting on oöspheres, either while included in their oögonia or after exclusion. Note: This class was at first called Oösporeæ, and is made to include all algæ and fungi which have this kind of reproduction, however they may differ in all other respects, the contrasted classes of Thallophytes being Protophytes, Zygophytes, and Carpophytes. The whole system has its earnest advocates, but is rejected by many botanists. See Carpophyte.
oophytic |Of or pertaining to an oöphyte.
oordoba |The monetary unit of Nicaragua, equivalent to the United States gold dollar.
oorial |A wild, bearded sheep inhabiting the Ladakh mountains. It is reddish brown, with a dark beard from the chin to the chest.
oosperm |The ovum, after fusion with the spermatozoön in impregnation. Balfour.
oosphere |1. (Bot.)  An unfertilized, rounded mass of protoplasm, produced in an oögonium. Note: After being fertilized by the access of antherozoids it becomes covered with a cell wall and develops into an oöspore, which may grow into a new plant like the parent. 2. (Bot.)  An analogous mass of protoplasm in the ovule of a flowering plant; an embryonic vesicle. Goodale.
oosporangium |An oögonium; also, a case containing oval or rounded spores of some other kind than oöspores.
oospore |(a) A special kind of spore resulting from the fertilization of an oösphere by antherozoids. (b) A fertilized oösphere in the ovule of a flowering plant.
oosporic |Of or pertaining to an oöspore.
oostegite |One of the plates which in some Crustacea inclose a cavity wherein the eggs are hatched.
ootheca |An egg case, especially those of many kinds of mollusks, and of some insects, as the cockroach. Cf. Ooecium.
ootocoid |A half oviparous, or an oviparous, mammal; a marsupial or monotreme.
ootooid |A half oviparous, or an oviparous, mammal; a marsupial or monotreme.
ootype |The part of the oviduct of certain trematode worms in which the ova are completed and furnished with a shell.
ooze |1. Soft mud or slime; earth so wet as to flow gently, or easily yield to pressure. \"My son i' the ooze is bedded.\" Shak. 2. Soft flow; spring. Prior. 3. The liquor of a tan vat.\n\n1. To flow gently; to percolate, as a liquid through the pores of a substance or through small openings. The latent rill, scare oozing through the grass. Thomson. 2. Fig.: To leak (out) or escape slowly; as, the secret oozed out; his courage oozed out.\n\nTo cause to ooze. Alex. Smith.
ooze leather |Leather made from sheep and calf skins by mechanically forcing ooze through them; esp., such leather with a soft, finely granulated finish (called sometimes velvet finish) put on the flesh side for special purposes. Ordinary ooze leather is used for shoe uppers, in bookbinding, etc. Hence Ooze calf, Ooze finish, etc.
oozoa |Same as Acrita.
oozy |Miry; containing soft mud; resembling ooze; as, the oozy bed of a river. Pope.
opacate |To darken; to cloud. [Obs.] Boyle.
opacity |1. The state of being opaque; the quality of a body which renders it impervious to the rays of light; want of transparency; opaqueness. 2. Obscurity; want of clearness. Bp. Hall.
opacous |Opaque. [R.] Milton. -- O*pa\"cous*ness, n. [R.]
opacular |Opaque. [Obs.] Sterne.
opah |A large oceanic fish (Lampris quttatus), inhabiting the Atlantic Ocean. It is remarkable for its brilliant colors, which are red, green, and blue, with tints of purple and gold, covered with round silvery spots. Called also king of the herrings.
opake |See Opaque.
opal |A mineral consisting, like quartz, of silica, but inferior to quartz in hardness and specific gravity. Note: The precious opal presents a peculiar play of colors of delicate tints, and is highly esteemed as a gem. One kind, with a varied play of color in a reddish ground, is called the harlequin opal. The fire opal has colors like the red and yellow of flame. Common opal has a milky appearance. Menilite is a brown impure variety, occurring in concretions at Menilmontant, near Paris. Other varieties are cacholong, girasol, hyalite, and geyserite.
opalesce |To give forth a play of colors, like the opal.
opalescence |A reflection of a milky or pearly light from the interior of a mineral, as in the moonstone; the state or quality of being opalescent.
opalescent |Reflecting a milky or pearly light from the interior; having an opaline play of colors.
opaline |Of, pertaining to, or like, opal in appearance; having changeable colors like those of the opal.
opalize |To convert into opal, or a substance like opal. Lyell.
opalotype |A picture taken on \"milky\" glass.
opaque |1. Impervious to the rays of light; not transparent; as, an opaque substance. 2. Obscure; not clear; unintelligible. [Colloq.]\n\nThat which is opaque; opacity. Young.
opaqueness |The state or quality of being impervious to light; opacity. Dr. H. More.
ope |Open. [Poetic] Spenser. On Sunday heaven's gate stands ope. Herbert.\n\nTo open. [Poetic] Wilt thou not ope thy heart to know What rainbows teach and sunsets show Emerson.
opeidoscope |An instrument, consisting of a tube having one end open and the other end covered with a thin flexible membrance to the center of which is attached a small mirror. It is used for exhibiting upon a screen, by means of rays reflected from the mirror, the vibratory motions caused by sounds produced at the open end of the tube, as by speaking or singing into it. A. E. Dolbear.
opelet |A bright-colored European actinian (Anemonia, or Anthea, sulcata); -- so called because it does not retract its tentacles.
open |1. Free of access; not shut up; not closed; affording unobstructed ingress or egress; not impeding or preventing passage; not locked up or covered over; -- applied to passageways; as, an open door, window, road, etc.; also, to inclosed structures or objects; as, open houses, boxes, baskets, bottles, etc.; also, to means of communication or approach by water or land; as, an open harbor or roadstead. Through the gate, Wide open and unquarded, Satan passed. Milton Note: Also, figuratively, used of the ways of communication of the mind, as by the senses; ready to hear, see, etc.; as, to keep one's eyes and ears open. His ears are open unto their cry. Ps. xxxiv. 15. 2. Free to be used, enjoyed, visited, or the like; not private; public; unrestricted in use; as, an open library, museum, court, or other assembly; liable to the approach, trespass, or attack of any one; unprotected; exposed. If Demetrius . . . have a matter against any man, the law is open and there are deputies. Acts xix. 33. The service that I truly did his life, Hath left me open to all injuries. Shak. 3. Free or cleared of obstruction to progress or to view; accessible; as, an open tract; the open sea. 4. Not drawn together, closed, or contracted; extended; expanded; as, an open hand; open arms; an open flower; an open prospect. Each, with open arms, embraced her chosen knight. Dryden. 5. Hence: (a) Without reserve or false pretense; sincere; characterized by sincerity; unfeigned; frank; also, generous; liberal; bounteous; -- applied to personal appearance, or character, and to the expression of thought and feeling, etc. With aspect open, shall erect his head. Pope. The Moor is of a free and open nature. Shak. The French are always open, familiar, and talkative. Addison. (b) Not concealed or secret; not hidden or disguised; exposed to view or to knowledge; revealed; apparent; as, open schemes or plans; open shame or guilt. His thefts are too open. Shak. That I may find him, and with secret gaze Or open admiration him behold. Milton. 6. Not of a quality to prevent communication, as by closing water ways, blocking roads, etc.; hence, not frosty or inclement; mild; -- used of the weather or the climate; as, an open season; an open winter. Bacon. 7. Not settled or adjusted; not decided or determined; not closed or withdrawn from consideration; as, an open account; an open question; to keep an offer or opportunity open. 8. Free; disengaged; unappropriated; as, to keep a day open for any purpose; to be open for an engagement. 9. (Phon.) (a) Uttered with a relatively wide opening of the articulating organs; -- said of vowels; as, the än fär is open as compared with the a in say. (b) Uttered, as a consonant, with the oral passage simply narrowed without closure, as in uttering s. 10. (Mus.) (a) Not closed or stopped with the finger; -- said of the string of an instrument, as of a violin, when it is allowed to vibrate throughout its whole length. (b) Produced by an open string; as, an open tone. The open air, the air out of doors. -- Open chain. (Chem.) See Closed chain, under Chain. -- Open circuit (Elec.), a conducting circuit which is incomplete, or interrupted at some point; -- opposed to an uninterrupted, or Ant: closed circuit. -- Open communion, communion in the Lord's supper not restricted to persons who have been baptized by immersion. Cf. Close communion, under Close, a. -- Open diapason (Mus.), a certain stop in an organ, in which the pipes or tubes are formed like the mouthpiece of a flageolet at the end where the wind enters, and are open at the other end. -- Open flank (Fort.), the part of the flank covered by the orillon. -- Open-front furnace (Metal.), a blast furnace having a forehearth. -- Open harmony (Mus.), harmony the tones of which are widely dispersed, or separated by wide intervals. -- Open hawse (Naut.), a hawse in which the cables are parallel or slightly divergent. Cf. Foul hawse, under Hawse. -- Open hearth (Metal.), the shallow hearth of a reverberatory furnace. -- Open-hearth furnace, a reverberatory furnace; esp., a kind of reverberatory furnace in which the fuel is gas, used in manufacturing steel. -- Open-hearth process (Steel Manuf.), a process by which melted cast iron is converted into steel by the addition of wrought iron, or iron ore and manganese, and by exposure to heat in an open-hearth furnace; -- also called the Siemens-Martin process, from the inventors. -- Open-hearth steel, steel made by an open-hearth process; -- also called Siemens-Martin steel. -- Open newel. (Arch.) See Hollow newel, under Hollow. -- Open pipe (Mus.), a pipe open at the top. It has a pitch about an octave higher than a closed pipe of the same length. -- Open-timber roof (Arch.), a roof of which the constructional parts, together with the under side of the covering, or its lining, are treated ornamentally, and left to form the ceiling of an apartment below, as in a church, a public hall, and the like. -- Open vowel or consonant. See Open, a., 9. Note: Open is used in many compounds, most of which are self- explaining; as, open-breasted, open-minded. Syn. -- Unclosed; uncovered; unprotected; exposed; plain; apparent; obvious; evident; public; unreserved; frank; sincere; undissembling; artless. See Candid, and Ingenuous.\n\nOpen or unobstructed space; clear land, without trees or obstructions; open ocean; open water. \"To sail into the open.\" Jowett (Thucyd. ). Then we got into the open. W. Black. In open, in full view; without concealment; openly. [Obs.] Beau. & Fl.\n\n1. To make or set open; to render free of access; to unclose; to unbar; to unlock; to remove any fastening or covering from; as, to open a door; to open a box; to open a room; to open a letter. And all the windows of my heart I open to the day. Whittier. 2. To spread; to expand; as, to open the hand. 3. To disclose; to reveal; to interpret; to explain. The king opened himself to some of his council, that he was sorry for the earl's death. Bacon. Unto thee have I opened my cause. Jer. xx. 12. While he opened to us the Scriptures. Luke xxiv. 32. 4. To make known; to discover; also, to render available or accessible for settlements, trade, etc. The English did adventure far for to open the North parts of America. Abp. Abbot. 5. To enter upon; to begin; as, to open a discussion; to open fire upon an enemy; to open trade, or correspondence; to open a case in court, or a meeting. 6. To loosen or make less compact; as, to open matted cotton by separating the fibers. To open one's mouth, to speak. -- To open up, to lay open; to discover; to disclose. Poetry that had opened up so many delightful views into the character and condition of our \"bold peasantry, their country's pride.\" Prof. Wilson.\n\n1. To unclose; to form a hole, breach, or gap; to be unclosed; to be parted. The earth opened and swallowed up Dathan, and covered the company of Abiram. Ps. cvi. 17. 2. To expand; to spread out; to be disclosed; as, the harbor opened to our view. 3. To begin; to commence; as, the stock opened at par; the battery opened upon the enemy. 4. (Sporting)  To bark on scent or view of the game.
open door |(a) Open or free admission to all; hospitable welcome; free opportunity. She of the open soul and open door, With room about her hearth for all mankind. Lowell. (b) In modern diplomacy, opportunity for political and commercial intercourse open to all upon equal terms, esp. with reference to a nation whose policy is wholly or partially fixed by nations foreign to itself, or to territory newly acquired by a conquering nation. In this sense, often used adjectively, as, open-door system, open-door policy, etc. The steps taken by Britain to maintain the open door have so far proved to be perfectly futile. A. R. Colquhoun.
open sea |A sea open to all nations. See Mare clausum.
open verdict |A verdict on a preliminary investigation, finding the fact of a crime but not stating the criminal, or finding the fact of a violent death without disclosing the cause.
open-air |Taking place in the open air; outdoor; as, an open-air game or meeting.
open-eyed |With eyes widely open; watchful; vigilant. Shak.
open-handed |Generous; liberal; munificent. -- O\"pen-hand`ed*ness, n. J. S. Mill.
open-headed |Bareheaded. [Obs.]
open-hearted |Candid; frank; generous. Dryden. -- O\"pen-heart`ed*ly, adv. -- O\"pen-heart`ed*ness, n. Walton.
open-hearth steel |See under Open.
open-mouthed |Having the mouth open; gaping; hence, greedy; clamorous. L'Estrange.
openbill |A bird of the genus Anastomus, allied to the stork; -- so called because the two parts of the bill touch only at the base and tip. One species inhabits India, another Africa. Called also open- beak. See Illust. (m), under Beak.
opener |One who, or that which, opens. \"True opener of my eyes.\" Milton.
opening |1. The act or process of opening; a beginning; commencement; first appearance; as, the opening of a speech. The opening of your glory was like that of light. Dryden. 2. A place which is open; a breach; an aperture; a gap; cleft, or hole. We saw him at the opening of his tent. Shak. 3. Hence: A vacant place; an opportunity; as, an opening for business. [Colloq.] Dickens. 4. A thinly wooded space, without undergrowth, in the midst of a forest; as, oak openings. [U.S.] Cooper.
openly |1. In an open manner; publicly; not in private; without secrecy. How grossly and openly do many of us contradict the precepts of the gospel by our ungodliness! Tillotson. 2. Without reserve or disguise; plainly; evidently. My love . . . shall show itself more openly. Shak.
openness |The quality or state of being open.
openwork |1. Anything so constructed or manufactured (in needlework, carpentry, metal work, etc.) as to show openings through its substance; work that is perforated or pierced. 2. (Mining)  A quarry; an open cut. Raymond.
opera |1. A drama, either tragic or comic, of which music forms an essential part; a drama wholly or mostly sung, consisting of recitative, arials, choruses, duets, trios, etc., with orchestral accompaniment, preludes, and interludes, together with appropriate costumes, scenery, and action; a lyric drama. 2. The score of a musical drama, either written or in print; a play set to music. 3. The house where operas are exhibited. Opéra bouffe Etym: [F. opéra opera + bouffe comic, It.buffo], Opera buffa Etym: [It.], light, farcical, burlesque opera. -- Opera box, a partially inclosed portion of the auditorium of an opera house for the use of a small private party. -- Opéra comique Etym: [F.], comic or humorous opera. -- Opera flannel, a light flannel, highly finished. Knight. -- Opera girl (Bot.), an East Indian plant (Mantisia saltatoria) of the Ginger family, sometimes seen in hothouses. It has curious flowers which have some resemblance to a ballet dancer, whence the popular name. Called also dancing girls. -- Opera glass, a short telescope with concave eye lenses of low power, usually made double, that is, with a tube and set of glasses for each eye; a lorgnette; -- so called because adapted for use at the opera, theater, etc. -- Opera hat, a gentleman's folding hat. -- Opera house, specifically, a theater devoted to the performance of operas. -- Opera seria Etym: [It.], serious or tragic opera; grand opera.
operable |Practicable. [Obs.]
operameter |An instrument or machine for measuring work done, especially for ascertaining the number of rotations made by a machine or wheel in manufacturing cloth; a counter. Ure.
operance |The act of operating or working; operation. [R.]
operancy |The act of operating or working; operation. [R.]
operand |The symbol, quantity, or thing upon which a mathematical operation is performed; -- called also faciend.
operant |Operative. [R.] Shak. -- n.  An operative person or thing. [R.] Coleridge.
operate |1. To perform a work or labor; to exert power or strengh, physical or mechanical; to act. 2. To produce an appropriate physical effect; to issue in the result designed by nature; especially (Med.), to take appropriate effect on the human system. 3. To act or produce effect on the mind; to exert moral power or influence. The virtues of private persons operate but on a few. Atterbury. A plain, convincing reason operates on the mind both of a learned and ignorant hearer as long as they live. Swift. 4. (Surg.)  To perform some manual act upon a human body in a methodical manner, and usually with instruments, with a view to restore soundness or health, as in amputation, lithotomy, etc. 5. To deal in stocks or any commodity with a view to speculative profits. [Brokers' Cant]\n\n1. To produce, as an effect; to cause. The same cause would operate a diminution of the value of stock. A. Hamilton. 2. To put into, or to continue in, operation or activity; to work; as, to operate a machine.
operatic |Of or pertaining to the opera or to operas; characteristic of, or resembling, the opera.
operatical |Of or pertaining to the opera or to operas; characteristic of, or resembling, the opera.
operation |1. The act or process of operating; agency; the exertion of power, physical, mechanical, or moral. The pain and sickness caused by manna are the effects of its operation on the stomach. Locke. Speculative painting, without the assistance of manual operation, can never attain to perfection. Dryden. 2. The method of working; mode of action. 3. That which is operated or accomplished; an effect brought about in accordance with a definite plan; as, military or naval operations. 4. Effect produced; influence. [Obs.] The bards . . . had great operation on the vulgar. Fuller. 5. (Math.)  Something to be done; some transformation to be made upon quantities, the transformation being indicated either by rules or symbols. 6. (Surg.)  Any methodical action of the hand, or of the hand with instruments, on the human body, to produce a curative or remedial effect, as in amputation, etc. Calculus of operations. See under Calculus.
operative |1. Having the power of acting; hence, exerting force, physical or moral; active in the production of effects; as, an operative motive. It holds in all operative principles. South. 2. Producing the appropriate or designed effect; efficacious; as, an operative dose, rule, or penalty. 3. (Surg.)  Based upon, or consisting of, an operation or operations; as, operative surgery.\n\nA skilled worker; an artisan; esp., one who operates a machine in a mill or manufactory.
operatively |In an operative manner.
operator |1. One who, or that which, operates or produces an effect. 2. (Surg.)  One who performs some act upon the human body by means of the hand, or with instruments. 3. A dealer in stocks or any commodity for speculative purposes; a speculator. [Brokers' Cant] 4. (Math.)  The symbol that expresses the operation to be performed; -- called also facient.
operatory |A laboratory. [Obs.]
opercle |1. (Anat.)  Any one of the bony plates which support the gill covers of fishes; an opercular bone. 2. (Zoöl.)  An operculum.
opercula |See Operculum.
opercular |Of, pertaining to, or like, an operculum.\n\nThe principal opercular bone or operculum of fishes.
operculate |1. (Bot.)  Closed by a lid or cover, as the capsules of the mosses. 2. (Zoöl.)  Having an operculum, or an apparatus for protecting the gills; -- said of shells and of fishes.
operculated |1. (Bot.)  Closed by a lid or cover, as the capsules of the mosses. 2. (Zoöl.)  Having an operculum, or an apparatus for protecting the gills; -- said of shells and of fishes.
operculiferous |Bearing an operculum.
operculiform |Having the form of a lid or cover.
operculigenous |Producing an operculum; -- said of the foot, or part of the foot, of certain mollusks.
operculum |1. (Bot.) (a) The lid of a pitcherform leaf. (b) The lid of the urnlike capsule of mosses. 2. (Anat.) (a) Any lidlike or operculiform process or part; as, the opercula of a dental follicle. (b) The fold of integument, usually supported by bony plates, which protects the gills of most fishes and some amphibians; the gill cover; the gill lid. (c) The principal opercular bone in the upper and posterior part of the gill cover. 3. (Zoöl.) (a) The lid closing the aperture of various species of shells, as the common whelk. See Illust. of Gastropoda. (b) Any lid-shaped structure closing the aperture of a tube or shell.
operetta |A short, light, musical drama.
operose |Wrought with labor; requiring labor; hence, tedious; wearisome. \"Operose proceeding.\" Burke. \"A very operose calculation.\" De Quincey. -- Op\"er*ose`ly, adv. -- Op\"er*ose`ness, n.
operosity |Laboriousness. [R.] Bp. Hall.
operous |Operose. [Obs.] Holder. -- Op\"er*ous*ly, adv. [Obs.]
opertaneous |Concealed; private. [R.]
opetide |Open time; -- applied to different things: (a) The early spring, or the time when flowers begin opening. [Archaic] Nares. (b) The time between Epiphany and Ash Wednesday wherein marriages were formerly solemnized publicly in churches. [Eng.] (c) The time after harvest when the common fields are open to all kinds of stock. [Prov.Eng.] Halliwell. [Written also opentide.]
ophelic |Of, pertaining to, or designating, a substance (called ophelic acid) extracted from a plant (Ophelia) of the Gentian family as a bitter yellowish sirup, used in India as a febrifuge and tonic.
ophicleide |A large brass wind instrument, formerly used in the orchestra and in military bands, having a loud tone, deep pitch, and a compass of three octaves; -- now generally supplanted by bass and contrabass tubas. Moore (Encyc. of Music).
ophidia |The order of reptiles which includes the serpents. Note: The most important divisions are: the Solenoglypha, having erectile perforated fangs, as the rattlesnake; the Proteroglypha, or elapine serpents, having permanently erect fang, as the cobra; the Asinea, or colubrine serpents, which are destitute of fangs; and the Opoterodonta, or Epanodonta, blindworms, in which the mouth is not dilatable.
ophidian |One of the Ophidia; a snake or serpent.\n\nOf or pertaining to the Ophidia; belonging to serpents.
ophidioid |Of or pertaining to the Ophidiidæ, a family of fishes which includes many slender species. -- n.  One of the Ophidiidæ.
ophidion |The typical genus of ophidioid fishes. [Written also Ophidium.] See Illust. under Ophidioid.
ophidious |Ophidian.
ophiolatry |The worship of serpents.
ophiologic |Of or pertaining to ophiology.
ophiological |Of or pertaining to ophiology.
ophiologist |One versed in the natural history of serpents.
ophiology |That part of natural history which treats of the ophidians, or serpents.
ophiomancy |Divination by serpents, as by their manner of eating, or by their coils.
ophiomorpha |An order of tailless amphibians having a slender, wormlike body with regular annulations, and usually with minute scales imbedded in the skin. The limbs are rudimentary or wanting. It includes the cæcilians. Called also Gymnophiona and Ophidobatrachia.
ophiomorphite |An ammonite.
ophiomorphous |Having the form of a serpent.
ophiophagous |Feeding on serpents; -- said of certain birds and reptiles.
ophiophagus |A genus of venomous East Indian snakes, which feed on other snakes. Ophiophagus elaps is said to be the largest and most deadly of poisonous snakes.
ophism |1. Doctrines and rites of the Ophites. 2.  Serpent worship or the use of serpents as magical agencies.
ophite |Of or pertaining to a serpent. [Obs.]\n\nA greenish spotted porphyry, being a diabase whose pyroxene has been altered to uralite; -- first found in the Pyreness. So called from the colored spots which give it a mottled appearance. -- O*phi\"ic, a.\n\nA mamber of a Gnostic serpent-worshiping sect of the second century.
ophiuchus |A constellation in the Northern Hemisphere, delineated as a man holding a serpent in his hands; -- called also Serpentarius.
ophiura |A genus of ophiurioid starfishes.
ophiuran |Of or pertaining to the Ophiurioidea. -- n.  One of the Ophiurioidea.
ophiurid |Same as Ophiurioid.
ophiurida |Same as Ophiurioidea.
ophiurioid |Of or pertaining to the Ophiurioidea. -- n.  One of the Ophiurioidea. [Written also ophiuroid.]
ophiurioidea |A class of star-shaped echinoderms having a disklike body, with slender, articulated arms, which are not grooved beneath and are often very fragile; -- called also Ophiuroida and Ophiuridea. See Illust. under Brittle star.
ophiuroidea |A class of star-shaped echinoderms having a disklike body, with slender, articulated arms, which are not grooved beneath and are often very fragile; -- called also Ophiuroida and Ophiuridea. See Illust. under Brittle star.
ophryon |The supraorbital point.
ophthalmia |An inflammation of the membranes or coats of the eye or of the eyeball.
ophthalmic |Of, pertaining to, or in the region of, the eye; ocular; as the ophthalmic, or orbitonasal, nerve, a division of the trigeminal, which gives branches to the lachrymal gland, eyelids, nose, and forehead. Ophthalmic region (Zoöl.), the space around the eyes.
ophthalmite |An eyestalk; the organ which bears the compound eyes of decapod Crustacea.
ophthalmological |Of or pertaining to ophthalmology.
ophthalmologist |One skilled in ophthalmology; an oculist.
ophthalmology |The science which treats of the structure, functions, and diseases of the eye.
ophthalmometer |An instrument devised by Helmholtz for measuring the size of a reflected image on the convex surface of the cornea and lens of the eye, by which their curvature can be ascertained.
ophthalmoscope |An instrument for viewing the interior of the eye, particularly the retina. Light is thrown into the eye by a mirror (usually concave) and the interior is then examined with or without the aid of a lens. -- Oph*thal`mo*scop\"ic, a.
ophthalmoscopy |1. A branch of physiognomy which deduces the knowledge of a person's temper and character from the appearance of the eyes. 2. Examination of the eye with the ophthalmoscope.
ophthalmy |Same as Ophthalmia.
opianic |Of, pertaining to, or designating, an organic acid obtained by the oxidation of narcotine.
opianine |An alkaloid found in small quantity in opium. It is identical with narcotine.
opianyl |Same as Meconin.
