stirless |Without stirring; very quiet; motionless. \"Lying helpless and stirless.\" Hare.
stonecutting |Hewing or dressing stone.
stonegall |See Stannel. [Prov. Eng.]
stonehatch |The ring plover, or dotterel. [Prov. Eng.]
stonehenge |An assemblage of upright stones with others placed horizontally on their tops, on Salisbury Plain, England, -- generally supposed to be the remains of an ancient Druidical temple.
stoner |1. One who stones; one who makes an assault with stones. 2. One who walls with stones.
stoneroot |A North American plant (Collinsonia Canadensis) having a very hard root; horse balm. See Horse balm, under Horse.
stonerunner |(a) The ring plover, or the ringed dotterel. [Prov. Eng.] (b) The dotterel. [Prov. Eng.]
stonesmickle |The stonechat; -- called also stonesmitch. [Prov. Eng.]
stoneware |A species of coarse potter's ware, glazed and baked.
stoneweed |Any plant of the genus Lithospermum, herbs having a fruit composed of four stony nutlets.
stonework |Work or wall consisting of stone; mason's work of stone. Mortimer.
stonewort |Any plant of the genus Chara; -- so called because they are often incrusted with carbonate of lime. See Chara.
stonily |In a stony manner.
stoniness |The quality or state of being stony.
stonish |Stony. [R.] \"Possessed with stonish insensibility.\" Robynson (More's Utopia).
stont |Stands. Chaucer.\n\n3d pers. sing. present of Stand.
stony |1. Of or pertaining to stone, consisting of, or abounding in, stone or stones; resembling stone; hard; as, a stony tower; a stony cave; stony ground; a stony crust. 2. Converting into stone; petrifying; petrific. The stony dart of senseless cold. Spenser. 3. Inflexible; cruel; unrelenting; pitiless; obdurate; perverse; cold; morally hard; appearing as if petrified; as, a stony heart; a stony gaze. Stony coral. (Zoöl.) Same as Stone coral, under Stone.
stood |imp. & p. p. of Stand.
stook |A small collection of sheaves set up in the field; a shock; in England, twelve sheaves.\n\nTo set up, as sheaves of grain, in stooks.
stool |A plant from which layers are propagated by bending its branches into the soil. P. Henderson.\n\nTo ramfy; to tiller, as grain; to shoot out suckers. R. D. Blackmore.\n\n1. A single seat with three or four legs and without a back, made in various forms for various uses. 2. A seat used in evacuating the bowels; hence, an evacuation; a discharge from the bowels. 3. A stool pigeon, or decoy bird. [U. S.] 4. (Naut.)  A small channel on the side of a vessel, for the dead-eyes of the backstays. Totten. 5. A bishop's seat or see; a bishop-stool. J. P. Peters. 6. A bench or form for resting the feet or the knees; a footstool; as, a kneeling stool. 7. Material, such as oyster shells, spread on the sea bottom for oyster spat to adhere to. [Local, U.S.] Stool of a window, or Window stool (Arch.), the flat piece upon which the window shuts down, and which corresponds to the sill of a door; in the United States, the narrow shelf fitted on the inside against the actual sill upon which the sash descends. This is called a window seat when broad and low enough to be used as a seat. Stool of repentance, the cuttystool. [Scot.] -- Stool pigeon, a pigeon used as a decoy to draw others within a net; hence, a person used as a decoy for others.
stoolball |A kind of game with balls, formerly common in England, esp. with young women. Nausicaa With other virgins did at stoolball play. Chapman.
stoom |To stum. [R.]
stoop |Originally, a covered porch with seats, at a house door; the Dutch stoep as introduced by the Dutch into New York. Afterward, an out-of-door flight of stairs of from seven to fourteen steps, with platform and parapets, leading to an entrance door some distance above the street; the French perron. Hence, any porch, platform, entrance stairway, or small veranda, at a house door. [U. S.]\n\nA vessel of liquor; a flagon. [Written also stoup.] Fetch me a stoop of liquor. Shak.\n\nA post fixed in the earth. [Prov. Eng.]\n\n1. To bend the upper part of the body downward and forward; to bend or lean forward; to incline forward in standing or walking; to assume habitually a bent position. 2. To yield; to submit; to bend, as by compulsion; to assume a position of humility or subjection. Mighty in her ships stood Carthage long, . . . Yet stooped to Rome, less wealthy, but more strong. Dryden. These are arts, my prince, In which your Zama does not stoop to Rome. Addison. 3. To descend from rank or dignity; to condescend. \"She stoops to conquer.\" Goldsmith. Where men of great wealth stoop to husbandry, it multiplieth riches exceedingly. Bacon. 4. To come down as a hawk does on its prey; to pounce; to souse; to swoop. The bird of Jove, stooped from his aëry tour, Two birds of gayest plume before him drove. Milton. 5. To sink when on the wing; to alight. And stoop with closing pinions from above. Dryden. Cowering low With blandishment, each bird stooped on his wing. Milton. Syn. -- To lean; yield; submit; condescend; descend; cower; shrink.\n\n1. To bend forward and downward; to bow down; as, to stoop the body. \"Have stooped my neck.\" Shak. 2. To cause to incline downward; to slant; as, to stoop a cask of liquor. 3. To cause to submit; to prostrate. [Obs.] Many of those whose states so tempt thine ears Are stooped by death; and many left alive. Chapman. 4. To degrade. [Obs.] Shak.\n\n1. The act of stooping, or bending the body forward; inclination forward; also, an habitual bend of the back and shoulders. 2. Descent, as from dignity or superiority; condescension; an act or position of humiliation. Can any loyal subject see With patience such a stoop from sovereignty Dryden. 3. The fall of a bird on its prey; a swoop. L'Estrange.
stooper |One who stoops.
stooping |from Stoop. -- Stoop\"ing*ly, adv.
stoor |To rise in clouds, as dust. [Prov. Eng.]\n\nStrong; powerful; hardy; bold; audacious. [Obs. or Scot.] O stronge lady stoor, what doest thou Chaucer.
stop |1. To close, as an aperture, by filling or by obstructing; as, to stop the ears; hence, to stanch, as a wound. Shak. 2. To obstruct; to render impassable; as, to stop a way, road, or passage. 3. To arrest the progress of; to hinder; to impede; to shut in; as, to stop a traveler; to stop the course of a stream, or a flow of blood. 4. To hinder from acting or moving; to prevent the effect or efficiency of; to cause to cease; to repress; to restrain; to suppress; to interrupt; to suspend; as, to stop the execution of a decree, the progress of vice, the approaches of old age or infirmity. Whose disposition all the world well knows Will not be rubbed nor stopped. Shak. 5. (Mus.)  To regulate the sounds of, as musical strings, by pressing them against the finger board with the finger, or by shortening in any way the vibrating part. 6. To point, as a composition; to punctuate. [R.] If his sentences were properly stopped. Landor. 7. (Naut.)  To make fast; to stopper. Syn. -- To obstruct; hinder; impede; repress; suppress; restrain; discontinue; delay; interrupt. To stop off (Founding), to fill (a part of a mold) with sand, where a part of the cavity left by the pattern is not wanted for the casting. -- To stop the mouth. See under Mouth.\n\n1. To cease to go on; to halt, or stand still; to come to a stop. He bites his lip, and starts; Stops on a sudden, looks upon the ground; Then lays his finger on his temple: strait Springs out into fast gait; then stops again. Shak. 2. To cease from any motion, or course of action. Stop, while ye may, suspend your mad career! Cowper. 3. To spend a short time; to reside temporarily; to stay; to tarry; as, to stop with a friend. [Colloq.] By stopping at home till the money was gone. R. D. Blackmore. To stop over, to stop at a station beyond the time of the departure of the train on which one came, with the purpose of continuing one's journey on a subsequent train; to break one's journey. [Railroad Cant, U.S.] stopover\n\n1. The act of stopping, or the state of being stopped; hindrance of progress or of action; cessation; repression; interruption; check; obstruction. It is doubtful . . . whether it contributed anything to the stop of the infection. De Foe. Occult qualities put a stop to the improvement of natural philosophy. Sir I. Newton. It is a great step toward the mastery of our desires to give this stop to them. Locke. 2. That which stops, impedes, or obstructs; as obstacle; an impediment; an obstruction. A fatal stop traversed their headlong course. Daniel. So melancholy a prospect should inspire us with zeal to oppose some stop to the rising torrent. Rogers. 3. (Mach.)  A device, or piece, as a pin, block, pawl, etc., for arresting or limiting motion, or for determining the position to which another part shall be brought. 4. (Mus.) (a) The closing of an aperture in the air passage, or pressure of the finger upon the string, of an instrument of music, so as to modify the tone; hence, any contrivance by which the sounds of a musical instrument are regulated. The organ sound a time survives the stop. Daniel. (b) In the organ, one of the knobs or handles at each side of the organist, by which he can draw on or shut off any register or row of pipes; the register itself; as, the vox humana stop. 5. (Arch.)  A member, plain or molded, formed of a separate piece and fixed to a jamb, against which a door or window shuts. This takes the place, or answers the purpose, of a rebate. Also, a pin or block to prevent a drawer from sliding too far. 6. A point or mark in writing or printing intended to distinguish the sentences, parts of a sentence, or clauses; a mark of punctuation. See Punctuation. 7. (Opt.)  The diaphragm used in optical instruments to cut off the marginal portions of a beam of light passing through lenses. 8. (Zoöl.)  The depression in the face of a dog between the skull and the nasal bones. It is conspicuous in the bulldog, pug, and some other breeds. 9. (Phonetics)  Some part of the articulating organs, as the lips, or the tongue and palate, closed (a) so as to cut off the passage of breath or voice through the mouth and the nose (distinguished as a lip-stop, or a front-stop, etc., as in p, t, d, etc.), or (b) so as to obstruct, but not entirely cut off, the passage, as in l, n, etc.; also, any of the consonants so formed. H. Sweet. Stop bead (Arch.), the molding screwed to the inner side of a window frame, on the face of the pulley stile, completing the groove in which the inner sash is to slide. -- Stop motion (Mach.), an automatic device for arresting the motion of a machine, as when a certain operation is completed, or when an imperfection occurs in its performance or product, or in the material which is supplied to it, etc. -- Stop plank, one of a set of planks employed to form a sort of dam in some hydraulic works. -- Stop valve, a valve that can be closed or opened at will, as by hand, for preventing or regulating flow, as of a liquid in a pipe; -- in distinction from a valve which is operated by the action of the fluid it restrains. -- Stop watch, a watch the hands of which can be stopped in order to tell exactly the time that has passed, as in timing a race. See Independent seconds watch, under Independent, a. Syn. -- Cessation; check; obstruction; obstacle; hindrance; impediment; interruption.
stop order |An order that aims to limit losses by fixing a figure at which purchases shall be sold or sales bought in, as where stock is bought at 100 and the broker is directed to sell if the market price drops to 98.
stop-gap |That which closes or fills up an opening or gap; hence, a temporary expedient. Moral prejudices are the stop-gaps of virtue. Hare.
stop-over |Permitting one to stop over; as, a stop-over check or ticket. See To stop over, under Stop, v. i. [Railroad Cant, U.S.]
stopcock |1. A bib, faucet, or short pipe, fitted with a turning stopper or plug for permitting or restraining the flow of a liquid or gas; a cock or valve for checking or regulating the flow of water, gas, etc., through or from a pipe, etc. 2. The turning plug, stopper, or spigot of a faucet. [R.]
stope |A horizontal working forming one of a series, the working faces of which present the appearance of a flight of steps.\n\n(a) To excavate in the form of stopes. (b) To fill in with rubbish, as a space from which the ore has been worked out.\n\nStepped; gone; advanced. [Obs.] A poor widow, somedeal stope in age. Chaucer.
stopen |Stepped; gone; advanced. [Obs.] A poor widow, somedeal stope in age. Chaucer.
stoping |The act of excavating in the form of stopes.
stopless |Not to be stopped. Davenant.
stoppage |The act of stopping, or arresting progress, motion, or action; also, the state of being stopped; as, the stoppage of the circulation of the blood; the stoppage of commerce.
stopped |Made by complete closure of the mouth organs; shut; -- said of certain consonants (p, b, t, d, etc.). H. Sweet.
stopper |1. One who stops, closes, shuts, or hinders; that which stops or obstructs; that which closes or fills a vent or hole in a vessel. 2. (Naut.)  A short piece of rope having a knot at one or both ends, with a lanyard under the knot, -- used to secure something. Totten. 3. (Bot.)  A name to several trees of the genus Eugenia, found in Florida and the West Indies; as, the red stopper. See Eugenia. C. S. Sargent. Ring stopper (Naut.), a short rope or chain passing through the anchor ring, to secure the anchor to the cathead. -- Stopper bolt (Naut.), a large ringbolt in a ship's deck, to which the deck stoppers are hooked.\n\nTo close or secure with a stopper.
stopping |1. Material for filling a cavity. 2. (Mining)  A partition or door to direct or prevent a current of air. 3. (Far.)  A pad or poultice of dung or other material applied to a horse's hoof to keep it moist. Youatt.
stopping-out |A method adopted in etching, to keep the acid from those parts which are already sufficiently corroded, by applying varnish or other covering matter with a brush, but allowing the acid to act on the other parts.
stopple |That which stops or closes the mouth of a vessel; a stopper; as, a glass stopple; a cork stopple.\n\nTo close the mouth of anything with a stopple, or as with a stopple. Cowper.
stopship |A remora. It was fabled to stop ships by attaching itself to them. Sylvester.
stor |Strong; powerful; hardy; bold; audacious. [Obs. or Scot.] O stronge lady stoor, what doest thou Chaucer.\n\nSee Stoor. [Obs.] Chaucer.
storage |1. The act of depositing in a store or warehouse for safe keeping; also, the safe keeping of goods in a warehouse. 2. Space for the safe keeping of goods. 3. The price changed for keeping goods in a store. Storage battery. (Physics) See the Note under Battery.
storax |Any one of a number of similar complex resins obtained from the bark of several trees and shrubs of the Styrax family. The most common of these is liquid storax, a brown or gray semifluid substance of an agreeable aromatic odor and balsamic taste, sometimes used in perfumery, and in medicine as an expectorant. Note: A yellow aromatic honeylike substance, resembling, and often confounded with, storax, is obtained from the American sweet gum tree (Liquidambar styraciflua), and is much used as a chewing gum, called sweet gum, and liquid storax. Cf. Liquidambar.
store |1. That which is accumulated, or massed together; a source from which supplies may be drawn; hence, an abundance; a great quantity, or a great number. The ships are fraught with store of victuals. Bacon. With store of ladies, whose bright eyes Rain influence, and give the prize. Milton. 2. A place of deposit for goods, esp. for large quantities; a storehouse; a warehouse; a magazine. 3. Any place where goods are sold, whether by wholesale or retail; a shop. [U.S. & British Colonies] 4. pl.  Articles, especially of food, accumulated for some specific object; supplies, as of provisions, arms, ammunition, and the like; as, the stores of an army, of a ship, of a family. His swine, his horse, his stoor, and his poultry. Chaucer. In store, in a state of accumulation; in keeping; hence, in a state of readiness. \"I have better news in store for thee.\" Shak. -- Store clothes, clothing purchased at a shop or store; -- in distinction from that which is home-made. [Colloq. U.S.] -- Store pay, payment for goods or work in articles from a shop or store, instead of money. [U.S.] -- To set store by, to value greatly; to have a high appreciation of. -- To tell no store of, to make no account of; to consider of no importance. Syn. -- Fund; supply; abundance; plenty; accumulation; provision. -- Store, Shop. The English call the place where goods are sold (however large or splendid it may be) a shop, and confine the word store to its original meaning; viz., a warehouse, or place where goods are stored. In America the word store is applied to all places, except the smallest, where goods are sold. In some British colonies the word store is used as in the United States. In his needy shop a tortoise hung, An alligator stuffed, and other skins Of ill-shaped fishes; and about his shelves A beggarly account of empty boxes. Shak. Sulphurous and nitrous foam, . . . Concocted and adjusted, they reduced To blackest grain, and into store conveyed. Milton.\n\nAccumulated; hoarded. Bacon.\n\n1. To collect as a reserved supply; to accumulate; to lay away. Dora stored what little she could save. Tennyson. 2. To furnish; to supply; to replenish; esp., to stock or furnish against a future time. Her mind with thousand virtues stored. Prior. Wise Plato said the world with men was stored. Denham. Having stored a pond of four acres with carps, tench, and other fish. Sir M. Hale. 3. To deposit in a store, warehouse, or other building, for preservation; to warehouse; as, to store goods.
stored |Collected or accumulated as a reserve supply; as, stored electricity. It is charged with stored virtue. Bagehot.
storehouse |1. A building for keeping goods of any kind, especially provisions; a magazine; a repository; a warehouse. Joseph opened all the storehouses, and sold unto Egyptians. Gen. xli. 56. The Scripture of God is a storehouse abounding with estimable treasures of wisdom and knowledge. Hooker. 2. A mass or quality laid up. [Obs.] Spenser.
storekeeper |1. A man in charge of stores or goods of any kind; as, a naval storekeeper. 2. One who keeps a \"store;\" a shopkeeper. See 1st Store, 3. [U. S.]
storer |One who lays up or forms a store.
storeroom |Room in a storehouse or repository; a room in which articles are stored.
storeship |A vessel used to carry naval stores for a fleet, garrison, or the like.
storey |See Story.
storge |Parental affection; the instinctive affection which animals have for their young.
storial |Historical. [Obs.] Chaucer.
storied |1. Told in a story. 2. Having a history; interesting from the stories which pertain to it; venerable from the associations of the past. Some greedy minion, or imperious wife, The trophied arches, storied halls, invade. Pope. Can storied urn, or animated bust, Back to its mansion call the fleeting breath Gray. 3. Having (such or so many) stories; -- chiefly in composition; as, a two-storied house.
storier |A relater of stories; an historian. [Obs.] Bp. Peacock.
storify |To form or tell stories of; to narrate or describe in a story. [Obs.]
stork |Any one of several species of large wading birds of the family Ciconidæ, having long legs and a long, pointed bill. They are found both in the Old World and in America, and belong to Ciconia and several allied genera. The European white stork (Ciconia alba) is the best known. It commonly makes its nests on the top of a building, a chimney, a church spire, or a pillar. The black stork (C. nigra) is native of Asia, Africa, and Europe. Black-necked stork, the East Indian jabiru. -- Hair-crested stork, the smaller adjutant of India (Leptoptilos Javanica). -- Giant stork, the adjutant. -- Marabou stork. See Marabou. -- Saddle-billed stork, the African jabiru. See Jabiru. -- Stork's bill (Bot.), any plant of the genus Pelargonium; -- so called in allusion to the beaklike prolongation of the axis of the receptacle of its flower. See Pelargonium.
stork-billed |Having a bill like that of the stork.
storm |1. A violent disturbance of the atmosphere, attended by wind, rain, snow, hail, or thunder and lightning; hence, often, a heavy fall of rain, snow, or hail, whether accompanied with wind or not. We hear this fearful tempest sing, Yet seek no shelter to avoid the storm. Shak. 2. A violent agitation of human society; a civil, political, or domestic commotion; sedition, insurrection, or war; violent outbreak; clamor; tumult. I will stir up in England some black storm. Shak. Her sister Began to scold and raise up such a storm. Shak. 3. A heavy shower or fall, any adverse outburst of tumultuous force; violence. A brave man struggling in the storms of fate. Pope. 4. (Mil.)  A violent assault on a fortified place; a furious attempt of troops to enter and take a fortified place by scaling the walls, forcing the gates, or the like. Note: Storm is often used in the formation of self-explained compounds; as, storm-presaging, stormproof, storm-tossed, and the like. Magnetic storm. See under Magnetic. -- Storm-and-stress period Etym: [a translation of G. sturm und drang periode], a designation given to the literary agitation and revolutionary development in Germany under the lead of Goethe and Schiller in the latter part of the 18th century. -- Storm center (Meteorol.), the center of the area covered by a storm, especially by a storm of large extent. -- Storm door (Arch.), an extra outside door to prevent the entrance of wind, cold, rain, etc.; -- usually removed in summer. -- Storm path (Meteorol.), the course over which a storm, or storm center, travels. -- Storm petrel. (Zoöl.) See Stormy petrel, under Petrel. -- Storm sail (Naut.), any one of a number of strong, heavy sails that are bent and set in stormy weather. -- Storm scud. See the Note under Cloud. Syn. -- Tempest; violence; agitation; calamity. -- Storm, Tempest. Storm is violent agitation, a commotion of the elements by wind, etc., but not necessarily implying the fall of anything from the clouds. Hence, to call a mere fall or rain without wind a storm is a departure from the true sense of the word. A tempest is a sudden and violent storm, such as those common on the coast of Italy, where the term originated, and is usually attended by a heavy rain, with lightning and thunder. Storms beat, and rolls the main; O! beat those storms, and roll the seas, in vain. Pope. What at first was called a gust, the same Hath now a storm's, anon a tempest's name. Donne.\n\nTo assault; to attack, and attempt to take, by scaling walls, forcing gates, breaches, or the like; as, to storm a fortified town.\n\n1. To raise a tempest. Spenser. 2. To blow with violence; also, to rain, hail, snow, or the like, usually in a violent manner, or with high wind; -- used impersonally; as, it storms. 3. To rage; to be in a violent passion; to fume. The master storms, the lady scolds. Swift.
storm-beat |Beaten, injured, or impaired by storms. Spenser.
stormcock |(a) The missel thrush. (b) The fieldfare. (c) The green woodpecker.
stormfinch |The storm petrel.
stormful |Abounding with storms. \"The stormful east.\" Carlyle. -- Storm\"ful*ness, n.
stormglass |A glass vessel, usually cylindrical, filled with a solution which is sensitive to atmospheric changes, indicating by a clouded appearance, rain, snow, etc., and by clearness, fair weather.
stormily |In a stormy manner.
storminess |The state of being stormy; tempestuousness; biosteruousness; impetuousness.
storming |from Storm, v. Storming party (Mil.), a party assigned to the duty of making the first assault in storming a fortress.
stormless |Without storms. Tennyson.
stormwind |A heavy wind; a wind that brings a storm; the blast of a storm. Longfellow.
stormy |1. Characterized by, or proceeding from, a storm; subject to storms; agitated with furious winds; biosterous; tempestous; as, a stormy season; a stormy day or week. \"Beyond the stormy Hebrides.\" Milton. 2. Proceeding from violent agitation or fury; as, a stormy sound; stormy shocks. 3. Violent; passionate; rough; as, stormy passions. Stormy chiefs of a desert but extensive domain. Sir W. Scott.
storthing |The Parliament of Norway, chosen by indirect election once in three years, but holding annual sessions.
storven |p. p. of Starve. Chaucer.
story |A set of rooms on the same floor or level; a floor, or the space between two floors. Also, a horizontal division of a building's exterior considered architecturally, which need not correspond exactly with the stories within. [Written also storey.] Note: A story comprehends the distance from one floor to another; as, a story of nine or ten feet elevation. The spaces between floors are numbered in order, from below upward; as, the lower, second, or third story; a house of one story, of two stories, of five stories. Story post (Arch.), a vertical post used to support a floor or superincumbent wall.\n\n1. A narration or recital of that which has occurred; a description of past events; a history; a statement; a record. One malcontent who did indeed get a name in story. Barrow. Venice, with its unique city and its Impressive story. Ed. Rev. The four great monarchies make the subject of ancient story. Sir W. Temple. 2. The relation of an incident or minor event; a short narrative; a tale; especially, a fictitious narrative less elaborate than a novel; a short romance. Addison. 3. A euphemism or child's word for \"a lie;\" a fib; as, to tell a story. [Colloq.]\n\nTo tell in historical relation; to make the subject of a story; to narrate or describe in story. How worthy he is I will leave to appear hereafter, rather than story him in his own hearing. Shak. It is storied of the brazen colossus in Rhodes, that it was seventy cubits high. Bp. Wilkins.
story-teller |1. One who tells stories; a narrator of anecdotes,incidents, or fictitious tales; as, an amusing story-teller. 2. An historian; -- in contempt. Swift. 3. A euphemism or child's word for \"a liar.\",
  "upsyturvy |Upside down; topsy-turvy. [Obs.] Robert Greene.
story-telling |Being accustomed to tell stories. -- n.  The act or practice of telling stories.
story-writer |1. One who writes short stories, as for magazines. 2. An historian; a chronicler. [Obs.] \"Rathums, the story-writer.\" 1 Esdr. ii. 17.
storybook |A book containing stories, or short narratives, either true or false.
stot |1. A horse. [Obs.] Chaucer. Thorold Rogers. 2. A young bull or ox, especially one three years old. [Prov. Eng. & Scot.]
stote |See Stoat.
stound |To be in pain or sorrow. [Obs. or Prov. Eng. & Scot.]\n\nStunned. [Obs.]\n\n1. A sudden, severe pain or grief; peril; alarm. [Obs.] Spenser. 2. Astonishment; amazement. [Obs.] Spenser. Gay.\n\n1. Hour; time; season. [Obs.] Chaucer. 2. A brief space of time; a moment. [Obs.] Chaucer. In a stound, suddenly. [Obs.] Chaucer.\n\nA vessel for holding small beer. [Prov. Eng.] Halliwell.
stoup |1. A flagon; a vessel or measure for liquids. [Scot.] 2. (Eccl.)  A basin at the entrance of Roman Catholic churches for containing the holy water with which those who enter, dipping their fingers in it, cross themselves; -- called also holy-water stoup.
stour |A battle or tumult; encounter; combat; disturbance; passion. [Obs.] Fairfax. \"That woeful stowre.\" Spenser. She that helmed was in starke stours [fierce conflicts]. Chaucer.\n\nTall; strong; stern. [Obs. or Prov. Eng. & Scot.]
stout |1. Strong; lusty; vigorous; robust; sinewy; muscular; hence, firm; resolute; dauntless. With hearts stern and stout. Chaucer. A stouter champion never handled sword. Shak. He lost the character of a bold, stout, magnanimous man. Clarendon. The lords all stand To clear their cause, most resolutely stout. Daniel. 2. Proud; haughty; arrogant; hard. [Archaic] Your words have been stout against me. Mal. iii. 13. Commonly . . . they that be rich are lofty and stout. Latimer. 3. Firm; tough; materially strong; enduring; as, a stout vessel, stick, string, or cloth. 4. Large; bulky; corpulent. Syn. -- Stout, Corpulent, Portly. Corpulent has reference simply to a superabundance or excess of flesh. Portly implies a kind of stoutness or corpulence which gives a dignified or imposing appearance. Stout, in our early writers (as in the English Bible), was used chiefly or wholly in the sense of strong or bold; as, a stout champion; a stout heart; a stout resistance, etc. At a later period it was used for thickset or bulky, and more recently, especially in England, the idea has been carried still further, so that Taylor says in his Synonyms: \"The stout man has the proportions of an ox; he is corpulent, fat, and fleshy in relation to his size.\" In America, stout is still commonly used in the original sense of strong as, a stout boy; a stout pole.\n\nA strong malt liquor; strong porter. Swift.
stout-hearted |Having a brave heart; courageous. -- Stout\"-heart\"ed*ness, n.
stoutish |Somewhat stout; somewhat corpulent.
stoutly |In a stout manner; lustily; boldly; obstinately; as, he stoutly defended himself.
stoutness |The state or quality of being stout. Syn. -- Strength; bulk; courage; force; valor; lustiness; brawniness; boldness; fortitude; stubbornness.
stovain |A substance, C14H22O2NCl, the hydrochloride of an amino compound containing benzol, used, in solution with strychnine, as a local anæsthetic, esp. by injection into the sheath of the spinal cord, producing anæsthesia below the point of introduction.
stovaine |A substance, C14H22O2NCl, the hydrochloride of an amino compound containing benzol, used, in solution with strychnine, as a local anæsthetic, esp. by injection into the sheath of the spinal cord, producing anæsthesia below the point of introduction.
stove |imp. of Stave.\n\n1. A house or room artificially warmed or heated; a forcing house, or hothouse; a drying room; -- formerly, designating an artificially warmed dwelling or room, a parlor, or a bathroom, but now restricted, in this sense, to heated houses or rooms used for horticultural purposes or in the processes of the arts. When most of the waiters were commanded away to their supper, the parlor or stove being nearly emptied, in came a company of musketeers. Earl of Strafford. How tedious is it to them that live in stoves and caves half a year together, as in Iceland, Muscovy, or under the pole! Burton. 2. An apparatus, consisting essentially of a receptacle for fuel, made of iron, brick, stone, or tiles, and variously constructed, in which fire is made or kept for warming a room or a house, or for culinary or other purposes. Cooking stove, a stove with an oven, opening for pots, kettles, and the like, -- used for cooking. -- Dry stove. See under Dry. -- Foot stove. See under Foot. -- Franklin stove. See in the Vocabulary. -- Stove plant (Bot.), a plant which requires artificial heat to make it grow in cold or cold temperate climates. -- Stove plate, thin iron castings for the parts of stoves.\n\n1. To keep warm, in a house or room, by artificial heat; as, to stove orange trees. Bacon. 2. To heat or dry, as in a stove; as, to stove feathers.
stovehouse |A hothouse.
stovepipe |Pipe made of sheet iron in length and angular or curved pieces fitting together, -- used to connect a portable stove with a chimney flue. Stovepipe hat, the common tall silk hat. [Slang, U.S.]
stover |Fodder for cattle, especially straw or coarse hay. Where live nibbling sheep, And flat meads thatched with stover them to keep. Shak. Thresh barley as yet but as need shall require, Fresh threshed for stover thy cattle desire. Tusser.
stow |1. To place or arrange in a compact mass; to put in its proper place, or in a suitable place; to pack; as, to stowbags, bales, or casks in a ship's hold; to stow hay in a mow; to stow sheaves. Some stow their oars, or stop the leaky sides. Dryden. 2. To put away in some place; to hide; to lodge. Foul thief! where hast thou stowed my daughter Shak. 3. To arrange anything compactly in; to fill, by packing closely; as, to stow a box, car, or the hold of a ship.
stowage |1. The act or method of stowing; as, the stowage of provisions in a vessel. 2. Room in which things may be stowed. Cook. In every vessel is stowage for immense treasures. Addison. 3. The state of being stowed, or put away. \"To have them in safe stowage.\" Shak. 4. Things stowed or packed. Beau. & Fl. 5. Money paid for stowing goods.
stowaway |One who conceals himself board of a vessel about to leave port, or on a railway train, in order to obtain a free passage.
stowboard |A place into which rubbish is put. [Written also stowbord.]
stowce |(a) A windlass. (b) A wooden landmark, to indicate possession of mining land.
stowing |A method of working in which the waste is packed into the space formed by excavating the vein.
stowre |See Stour, a. [Obs.]\n\nSee Stour, n. [Obs.] Spenser.
strabism |Strabismus.
strabismometer |An instrument for measuring the amount of strabismus.
strabismus |An affection of one or both eyes, in which the optic axes can not be directed to the same object, -- a defect due either to undue contraction or to undue relaxation of one or more of the muscles which move the eyeball; squinting; cross-eye.
strabotomy |The operation for the removal of squinting by the division of such muscles as distort the eyeball.
straddle |1. To part the legs wide; to stand or to walk with the legs far apart. 2. To stand with the ends staggered; -- said of the spokes of a wagon wheel where they join the hub.\n\nTo place one leg on one side and the other on the other side of; to stand or sit astride of; as, to straddle a fence or a horse.\n\n1. The act of standing, sitting, or walking, with the feet far apart. 2. The position, or the distance between the feet, of one who straddles; as, a wide straddle. 3. A stock option giving the holder the double privilege of a \"put\" and a \"call,\" i. e., securing to the buyer of the option the right either to demand of the seller at a certain price, within a certain time, certain securities, or to require him to take at the same price, and within the same time, the same securities. [Broker's Cant]
straddling |Applied to spokes when they are arranged alternately in two circles in the hub. See Straddle, v. i., and Straddle, v. t., 3. Knight.
stradometrical |Of, or relating to, the measuring of streets or roads. [R.]
straggle |1. To wander from the direct course or way; to rove; to stray; to wander from the line of march or desert the line of battle; as, when troops are on the march, the men should not straggle. Dryden. 2. To wander at large; to roam idly about; to ramble. The wolf spied out a straggling kid. L'Estrange. 3. To escape or stretch beyond proper limits, as the branches of a plant; to spread widely apart; to shoot too far or widely in growth. Trim off the small, superfluous branches on each side of the hedge that straggle too far out. Mortimer. 4. To be dispersed or separated; to occur at intervals. \"Straggling pistol shots.\" Sir W. Scott. They came between Scylla and Charybdis and the straggling rocks. Sir W. Raleigh.\n\nThe act of straggling. [R.] Carlyle.
straggler |1. One who straggles, or departs from the direct or proper course, or from the company to which he belongs; one who falls behind the rest; one who rambles without any settled direction. 2. A roving vagabond. Shak. 3. Something that shoots, or spreads out, beyond the rest, or too far; an exuberant growth. Let thy hand supply the pruning knife, And crop luxuriant stragglers. Dryden. 4. Something that stands alone or by itself.
straggling |from Straggle, v.
stragglingly |In a straggling manner.
stragulum |The mantle, or pallium, of a bird.
