yachting |Sailing for pleasure in a yacht.
yeman |A yeoman. [Obs.] Chaucer.
yen |The unit of value and account in Japan. Since Japan's adoption of the gold standard, in 1897, the value of the yen has been about 50 cents. The yen is equal to 100 sen.
yend |To throw; to cast. [Prov. Eng.]
yenite |A silicate of iron and lime occurring in black prismatic crystals; -- also called ilvaite. [Spelt also jenite.]
yeoman |1. A common man, or one of the commonly of the first or most respectable class; a freeholder; a man free born. Note: A yeoman in England is considered as next in order to the gentry. The word is little used in the United States, unless as a title in law proceedings and instruments, designating occupation, and this only in particular States. 2. A servant; a retainer. [Obs.] A yeman hadde he and servants no mo. Chaucer. 3. A yeoman of the guard; also, a member of the yeomanry cavalry. [Eng.] 4. (Naut.)  An interior officer under the boatswain, gunner, or carpenters, charged with the stowage, account, and distribution of the stores. Yeoman of the guard, one of the bodyguard of the English sovereign, consisting of the hundred yeomen, armed with partisans, and habited in the costume of the sixteenth century. They are members of the royal household.
yeomanlike |Resembling, or suitable to, a yeoman; yeomanly.
yeomanly |Pertaining to a yeoman; becoming or suitable to, a yeoman; yeomanlike. B. Jonson. Well could he dress his tackle yeomanly. Chaucer.
yeomanry |1. The position or rank of a yeoman. [Obs.] \"His estate of yeomanry.\" Chaucer. 2. The collective body of yeomen, or freeholders. The enfranchised yeomanry began to feel an instinct for dominion. Bancroft. 3. The yeomanry cavalry. [Eng.] Yeomanry cavalry, certain bodies of volunteer cavalry liable to service in Great Britain only. [Eng.]
yeorling |The European yellow-hammer.
yer |Ere; before. [Obs.] Sylvester.
yerba |An herb; a plant. Note: This word is much used in compound names of plants in Spanish; as, yerba buena Etym: [Sp., a good herb], a name applied in Spain to several kinds of mint (Mentha sativa, viridis, etc.), but in California universally applied to a common, sweet-scented labiate plant (Micromeria Douglasii). Yerba dol osa. Etym: [Sp., herb of the she-bear.] A kind of buckthorn (Rhamnus Californica). -- Yerba mansa. Etym: [Sp., a mild herb, soft herb.] A plant (Anemopsis Californica) with a pungent, aromatic rootstock, used medicinally by the Mexicans and the Indians. -- Yerba reuma. Etym: [Cf. Sp. reuma rheum, rheumatism.] A low California undershrub (Frankenia grandifolia).
yerd |See 1st & 2d Yard. [Obs.] Chaucer.
yerk |1. To throw or thrust with a sudden, smart movement; to kick or strike suddenly; to jerk. Their wounded steeds . . . Yerk out their armed heels at their dead masters. Shak. 2. To strike or lash with a whip. [Obs. or Scot.]\n\n1. To throw out the heels; to kick; to jerk. They flirt, they yerk, they backward . . . fling. Drayton. 2. To move a quick, jerking motion.\n\nA sudden or quick thrust or motion; a jerk.
yern |See 3d Yearn. [Obs.]\n\nEager; brisk; quick; active. [Obs.] \"Her song . . . loud and yern.\" Chaucer.
yerne |Eagerly; briskly; quickly. [Obs.] Piers Plowman. My hands and my tongue go so yerne. Chaucer.
yernut |An earthnut, or groundnut. See Groundnut (d). [Written also yarnut.]
yerst |See Erst. [Obs.] Sylvester.
yes |Ay; yea; -- a word which expresses affirmation or consent; -- opposed to Ant: no. Note: Yes is used, like yea, to enforce, by repetition or addition, something which precedes; as, you have done all this -- yes, you have done more. \"Yes, you despise the man books confined.\" Pope. Note: \"The fine distinction between `yea' and `yes,' `nay' and `no,' that once existed in English, has quite disappeared. `Yea' and `nay' in Wyclif's time, and a good deal later, were the answers to questions framed in the affirmative. `Will he come' To this it would have been replied, `Yea' or `Nay', as the case might be. But, `Will he not come' To this the answer would have been `Yes' or `No.' Sir Thomas More finds fault with Tyndale, that in his translation of the Bible he had not observed this distinction, which was evidently therefore going out even then, that is, in the reign of Henry VIII.; and shortly after it was quite forgotten.\" Trench.
yest |See Yeast. Shak.
yester |Last; last past; next before; of or pertaining to yesterday. [An enemy] whom yester sun beheld Mustering her charms. Dryden. Note: This word is now seldom used except in a few compounds; as, yesterday, yesternight, etc.
yester-evening |The evening of yesterday; the evening last past.
yester-morning |The morning of yesterday. Coleridge.
yesterday |1. The day last past; the day next before the present. All our yesterdays have lighted fools The way to dusty death. Shak. We are but of yesterday, and know nothing. Job viii. 9. 2. Fig.: A recent time; time not long past. The proudest royal houses are but of yesterday, when compared with the line of supreme pontiffs. Macaulay.\n\nOn the day last past; on the day preceding to-day; as, the affair took place yesterday.
yestereve |The evening of yesterday; the evening last past.
yestermorn |The morning of yesterday. Coleridge.
yestern |Of or pertaining to yesterday; relating to the day last past.
yesternight |The last night; the night last past.\n\nOn the last night. B. Jonson.
yesternoon |The noon of yesterday; the noon last past.
yesterweek |The week last past; last week.
yesteryear |The year last past; last year.
yestreen |Yester-evening; yesternight; last night. [R. or Scot.] Yestreen I did not know How largely I could live. Bp. Coxe.
yesty |See Yeasty. Shak.
yet |Any one of several species of large marine gastropods belonging to the genus Yetus, or Cymba; a boat shell.\n\n1. In addition; further; besides; over and above; still. \"A little longer; yet a little longer.\" Dryden. This furnishes us with yet one more reason why our savior, lays such a particular stress acts of mercy. Atterbury. The rapine is made yet blacker by the pretense of piety and justice. L'Estrange. 2. At the same time; by continuance from a former state; still. Facts they had heard while they were yet heathens. Addison. 3. Up to the present time; thus far; hitherto; until now; -- and with the negative, not yet, not up to the present time; not as soon as now; as, Is it time to go Not yet. See As yet, under As, conj. Ne never yet no villainy ne said. Chaucer. 4. Before some future time; before the end; eventually; in time. \"He 'll be hanged yet.\" Shak. 5. Even; -- used emphatically. Men may not too rashly believe the confessions of witches, nor yet the evidence against them. Bacon.\n\nNevertheless; notwithstanding; however. Yet I say unto you, That even Solomon in all his glory was not arrayed like one of these. Matt. vi. 29. Syn. -- See However.
yeve |To give. [Obs.] Chaucer.
yeven |Given. [Obs.] Chaucer.
yew |See Yaw.\n\n1. (Bot.)  An evergreen tree (Taxus baccata) of Europe, allied to the pines, but having a peculiar berrylike fruit instead of a cone. It frequently grows in British churchyards. 2. The wood of the yew. It is light red in color, compact, fine- grained, and very elastic. It is preferred to all other kinds of wood for bows and whipstocks, the best for these purposes coming from Spain. Note: The American yew (Taxus baccata, var. Canadensis) is a low and straggling or prostrate bush, never forming an erect trunk. The California yew (Taxus brevifolia) is a good-sized tree, and its wood is used for bows, spear handles, paddles, and other similar implements. Another yew is found in Florida, and there are species in Japan and the Himalayas. 3. A bow for shooting, made of the yew.\n\nOf or pertaining to yew trees; made of the wood of a yew tree; as, a yew whipstock.
yewen |Made of yew; as, yewen bows.
yex |To hiccough. [Written also yox, yux.] [Obs. or Prov. Eng.] He yexeth and he speaketh through the nose. Chaucer.\n\nA hiccough. [Written also yox, and yux.] [Obs. or Prov. Eng.] \"The excessive yex.\" Holland.
yezdegerdian |Of or pertaining to Yezdegerd, the last Sassanian monarch of Persia, who was overthrown by the Mohammedans; as, the Yezdegerdian era, which began on the 16th of June, a. d. 632. The era is still used by the Parsees.
yezdi |Same as Izedi. Taylor.
yezidee |Same as Izedi.
yezidi |Same as Izedi.
yfere |Together. See Ifere. [Obs.] As friends do when they be met yfere. Chaucer.
ygdrasyl |See in the Dictionary of Noted Names in Fiction.
yghe |Eye. [Obs.] Chaucer.
ygo |Gone. Chaucer.
yground |p. p. of Grind. Chaucer.
yholde |p. p. of Hold. Chaucer.
yid |A Jew. [Slang or Colloq.] \"Almost any young Yid who goes out from among her people.\"  John Corbin.
yiddish |A language used by German and other Jews, being a Middle German dialect developed under Hebrew and Slavic influence. It is written in Hebrew characters.
yiddisher |A Yid. [Slang]
yield |1. To give in return for labor expended; to produce, as payment or interest on what is expended or invested; to pay; as, money at interest yields six or seven per cent. To yelde Jesu Christ his proper rent. Chaucer. When thou tillest the ground, it shall not henceforth yield unto thee her strength. Gen. iv. 12. 2. To furnish; to afford; to render; to give forth. \"Vines yield nectar.\" Milton. [He] makes milch kine yield blood. Shak. The wilderness yieldeth food for them and for their children. Job xxiv. 5. 3. To give up, as something that is claimed or demanded; to make over to one who has a claim or right; to resign; to surrender; to relinquish; as a city, an opinion, etc. And, force perforce, I'll make him yield the crown. Shak. Shall yield up all their virtue, all their fame. Milton. 4. To admit to be true; to concede; to allow. I yield it just, said Adam, and submit. Milton. 5. To permit; to grant; as, to yield passage. 6. To give a reward to; to bless. [Obs.] Chaucer. Tend me to-night two hours, I ask no more, And the gods yield you for 't. Shak. God yield thee, and God thank ye. Beau. & Fl. To yield the breath, the ghost, or the life, to die; to expire; -- often followed by up. One calmly yields his willing breath. Keble.\n\n1. To give up the contest; to submit; to surrender; to succumb. He saw the fainting Grecians yield. Dryden. 2. To comply with; to assent; as, I yielded to his request. 3. To give way; to cease opposition; to be no longer a hindrance or an obstacle; as, men readily yield to the current of opinion, or to customs; the door yielded. Will ye relent, And yield to mercy while 't is offered you Shak. 4. To give place, as inferior in rank or excellence; as, they will yield to us in nothing. Nay tell me first, in what more happy fields The thistle springs, to which the lily yields Pope.\n\nAmount yielded; product; -- applied especially to products resulting from growth or cultivation. \"A goodly yield of fruit doth bring.\" Bacon.
yieldable |Disposed to yield or comply. [R.] -- Yield\"a*ble*ness, n. [R.] Bp. Hall.
yieldance |1. The act of producing; yield; as, the yieldance of the earth. [R.] Bp. Hall. 2. The act of yielding; concession. [R.] South.
yielder |One who yields. Shak.
yielding |Inclined to give way, or comply; flexible; compliant; accommodating; as, a yielding temper. Yielding and paying (Law), the initial words of that clause in leases in which the rent to be paid by the lessee is mentioned and reserved. Burrill. Syn. -- Obsequious; attentive. -- Yielding, Obsequious, Attentive. In many cases a man may be attentive or yielding in a high degree without any sacrifice of his dignity; but he who is obsequious seeks to gain favor by excessive and mean compliances for some selfish end. -- Yield\"ing*ly, adv. -- Yield\"ing*ness, n.
yieldless |Without yielding; unyielding. [Obs.]
yift |Gift. [Obs.] \"Great yiftes.\" Chaucer.
yin |A Chinese weight of 2
yis |Yes. [Obs.] \"Yis, sir,\" quod he, \"yis, host.\" Chaucer.
yit |Yet. [Obs.] Chaucer.
yite |The European yellow-hammer.
yive |To give. [Obs.] Chaucer.
ylang-ylang |See Ihlang-ihlang.
yle |Isle. [Obs.] \"The barren yle.\" Chaucer.
yliche |Like; alike. [Obs.] \"All . . . yliche good.\" Chaucer.
ylike |Like; alike. [Obs.] \"All . . . yliche good.\" Chaucer.
yllanraton |The agouara.
ymaked |Made.
ymel |Among. [Obs.] \"Ymel them all.\" Chaucer.
ynambu |A South American tinamou (Rhynchotus rufescens); -- called also perdiz grande, and rufous tinamou. See Illust. of Tinamou.
ynough |Enough. [Obs.] Chaucer.
ynow |Enough. [Obs.] Chaucer.
yockel |The yaffle.
yode |Went; walked; proceeded. [Written also yede.] See Yede. Quer [whether] they rade [rode] or yoke. Cursor Mundi. Then into Cornhill anon I yode. Lydgate.
yodel |To sing in a manner common among the Swiss and Tyrolese mountaineers, by suddenly changing from the head voice, or falsetto, to the chest voice, and the contrary; to warble.\n\nA song sung by yodeling, as by the Swiss mountaineers.
yodle |To sing in a manner common among the Swiss and Tyrolese mountaineers, by suddenly changing from the head voice, or falsetto, to the chest voice, and the contrary; to warble.\n\nA song sung by yodeling, as by the Swiss mountaineers.
yodler |One who yodels.
yoga |A species of asceticism among the Hindoos, which consists in a complete abstraction from all worldly objects, by which the votary expects to obtain union with the universal spirit, and to acquire superhuman faculties.
yogi |A follower of the yoga philosophy; an ascetic. [Spelt also yokin.] Whitworth.
yogism |Yoga, or its practice.
yoicks |A cry of encouragement to foxhounds.
yoit |The European yellow-hammer. [Prov. Eng.]
yojan |A measure of distance, varying from four to ten miles, but usually about five. [India] [Written also yojana.]
yoke |1. A bar or frame of wood by which two oxen are joined at the heads or necks for working together. A yearling bullock to thy name shall smoke, Untamed, unconscious of the galling yoke. Pope. Note: The modern yoke for oxen is usually a piece of timber hollowed, or made curving, near each end, and laid on the necks of the oxen, being secured in place by two bows, one inclosing each neck, and fastened through the timber. In some countries the yoke consists of a flat piece of wood fastened to the foreheads of the oxen by thongs about the horns. 2. A frame or piece resembling a yoke, as in use or shape. Specifically: (a) A frame of wood fitted to a person's shoulders for carrying pails, etc., suspended on each side; as, a milkmaid's yoke. (b) A frame worn on the neck of an animal, as a cow, a pig, a goose, to prevent passage through a fence. (c) A frame or convex piece by which a bell is hung for ringing it. See Illust. of Bell. (d) A crosspiece upon the head of a boat's rudder. To its ends lines are attached which lead forward so that the boat can be steered from amidships. (e) (Mach.) A bent crosspiece connecting two other parts. (f) (Arch.) A tie securing two timbers together, not used for part of a regular truss, but serving a temporary purpose, as to provide against unusual strain. (g) (Dressmaking) A band shaped to fit the shoulders or the hips, and joined to the upper full edge of the waist or the skirt. 3. Fig.: That which connects or binds; a chain; a link; a bond connection. Boweth your neck under that blissful yoke . . . Which that men clepeth spousal or wedlock. Chaucer. This yoke of marriage from us both remove. Dryden. 4. A mark of servitude; hence, servitude; slavery; bondage; service. Our country sinks beneath the yoke. Shak. My yoke is easy, and my burden is light. Matt. xi. 30. 5. Two animals yoked together; a couple; a pair that work together. I have bought five yoke of oxen, and I go to prove them. Luke xiv. 19. 6. The quantity of land plowed in a day by a yoke of oxen. [Obs.] Gardner. 7. A portion of the working day; as, to work two yokes, that is, to work both portions of the day, or morning and afternoon. [Prov. Eng.] Halliwell. Neck yoke, Pig yoke. See under Neck, and Pig. -- Yoke elm (Bot.), the European hornbeam (Carpinus Betulus), a small tree with tough white wood, often used for making yokes for cattle.\n\n1. To put a yoke on; to join in or with a yoke; as, to yoke oxen, or pair of oxen. 2. To couple; to join with another. \"Be ye not unequally yoked with unbelievers.\" 2 Cor. vi. 14. Cassius, you are yoked with a lamb. Shak. 3. To enslave; to bring into bondage; to restrain; to confine. Then were they yoked with garrisons. Milton. The words and promises that yoke The conqueror are quickly broke. Hudibras.\n\nTo be joined or associated; to be intimately connected; to consort closely; to mate. We 'll yoke together, like a double shadow. Shak.
yoke-toed |Having two toes in front and two behind, as the trogons and woodpeckers.
yokeage |See Rokeage. [Local, U. S.]
yokefellow |An associate or companion in, or as in; a mate; a fellow; especially, a partner in marriage. Phil. iv. 3. The two languages [English and French] became yokefellows in a still more intimate manner. Earle. Those who have most distinguished themselves by railing at the sex, very often choose one of the most worthless for a companion and yokefellow. Addison.
yokel |A country bumpkin. [Eng.] Dickens.
yokelet |A small farm; -- so called as requiring but one yoke of oxen to till it. [Prov. Eng.]
yokemate |Same as Yokefellow.
yold |Yielded. Spenser.
yolden |Yielded.
yolk |1. The yellow part of an egg; the vitellus. 2. (Zoöl.)  An oily secretion which naturally covers the wool of sheep. Yolk cord (Zoöl.), a slender cord or duct which connects the yolk glands with the egg chambers in certain insects, as in the aphids. -- Yolk gland (Zoöl.), a special organ which secretes the yolk of the eggs in many turbellarians, and in some other invertebrates. See Illust. of Hermaphrodite in Appendix. -- Yolk sack (Anat.), the umbilical vesicle. See under Unbilical.
yoll |To yell. [Obs.] Chaucer.
yom |Day; -- a Hebrew word used in the names of various Jewish feast days; as, Yom Kippur, the Day of Atonement; Yom Teruah (lit., day of shouting), the Feast of Trumpets.
yon |At a distance, but within view; yonder. [Poetic] Read thy lot in yon celestial sign. Milton. Though fast yon shower be fleeting. Keble.\n\nYonder. [Obs. or Poetic] But, first and chiefest, with thee bring Him that yon soars on golden wing. Milton.
yoncopin |A local name in parts of the Mississippi Valley for the American lotus (Nelumbo lutea).
yond |Furious; mad; angry; fierce. [Obs.] \"Then wexeth wood and yond.\" Spenser.\n\nYonder. [Obs.] \"Yond in the garden.\" Chaucer.
yonder |At a distance, but within view. Yonder are two apple women scolding. Arbuthnot.\n\nBeing at a distance within view, or conceived of as within view; that or those there; yon. \"Yon flowery arbors, yonder alleys green.\" Milton. \"Yonder sea of light.\" Keble. Yonder men are too many for an embassage. Bacon.
yoni |The symbol under which Sakti, or the personification of the female power in nature, is worshiped. Cf. Lingam.
yonker |A young fellow; a younker. [Obs. or Colloq.] Sir W. Scott.
yore |In time long past; in old time; long since. [Obs. or Poetic] As it hath been of olde times yore. Chaucer. Which though he hath polluted oft and yore, Yet I to them for judgment just do fly. Spenser. Of yore, of old time; long ago; as, in times or days of yore. \"But Satan now is wiser than of yore.\" Pope. Where Abraham fed his flock of yore. Keble.
york rite |The rite or ceremonial observed by one of the Masonic systems, deriving its name from the city of York, in England; also, the system itself, which, in England, confers only the first three degrees.
york use |The one of the three printed uses of England which was followed in the north. It was based on the Sarum use. See Use, n., 6. Shipley.
yorker |A tice.
yorkshire |A county in the north of England. Yorkshire grit, a kind of stone used for polishing marble, and copperplates for engravers. Simmonds. -- Yorkshire pudding, a batter pudding baked under meat.
yot |To unite closely. [Prov. Eng.]
yote |To pour water on; to soak in, or mix with, water. [Obs. or Prov. Eng.] Grose. My fowls, which well enough, I, as before, found feeding at their trough Their yoted wheat. Chapman.
you |The pronoun of the second person, in the nominative, dative, and objective case, indicating the person or persons addressed. See the Note under Ye. Ye go to Canterbury; God you speed. Chaucer. Good sir, I do in friendship counsel you To leave this place. Shak. In vain you tell your parting lover You wish fair winds may waft him over. Prior. Note: Though you is properly a plural, it is in all ordinary discourse used also in addressing a single person, yet properly always with a plural verb. \"Are you he that hangs the verses on the trees, wherein Rosalind is so admired \" Shak. You and your are sometimes used indefinitely, like we, they, one, to express persons not specified. \"The looks at a distance like a new-plowed land; but as you come near it, you see nothing but a long heap of heavy, disjointed clods.\" Addison. \"Your medalist and critic are much nearer related than the world imagine.\" Addison. \"It is always pleasant to be forced to do what you wish to do, but what, until pressed, you dare not attempt.\" Hook. You is often used reflexively for yourself of yourselves. \"Your highness shall repose you at the tower.\" Shak.
youl |To yell; to yowl. [Obs.] Chaucer.
young |1. Not long born; still in the first part of life; not yet arrived at adolescence, maturity, or age; not old; juvenile; -- said of animals; as, a young child; a young man; a young fawn. For he so young and tender was of age. Chaucer. \"Whom the gods love, die young,\" has been too long carelessly said; . . . whom the gods love, live young forever. Mrs. H. H. Jackson. 2. Being in the first part, pr period, of growth; as, a young plant; a young tree. While the fears of the people were young. De Foe. 3. Having little experience; inexperienced; unpracticed; ignorant; weak. Come, come, elder brother, you are too young in this. Shak.\n\nThe offspring of animals, either a single animal or offspring collectively. [The egg] bursting with kindly rupture, forth disclosed Their callow young. Milton. With young, with child; pregnant.
young one |A young human being; a child; also, a young animal, as a colt.
youngger |One who is younger; an inferior in age; a junior. \"The elder shall serve the younger.\" Rom. ix. 12.
youngish |Somewhat young. Tatler.
youngling |A young person; a youth; also, any animal in its early life. \"More dear . . . than younglings to their dam.\" Spenser. He will not be so willing, I think, to join with you as with us younglings. Ridley.\n\nYoung; youthful. Wordsworth.
youngly |Like a young person or thing; young; youthful. [Obs.] Shak.\n\n1. In a young manner; in the period of youth; early in life. [Obs.] Shak. 2. Ignorantly; weakly. [R.] YOUNG MEN'S CHRISTIAN ASSOCIATION Young Men's Christian Association.  An organization for promoting the spiritual, intellectual, social, and physical welfare of young men, founded, June 6, 1844, by George Williams (knighted therefor by Queen Victoria) in London. In 1851 it extended to the United States and Canada, and in 1855 representatives of similar organizations throughout Europe and America formed an international body. The movement has successfully expanded not only among young men in general, but also specifically among railroad men, in the army and navy, with provision for Indians and negroes, and a full duplication of all the various lines of oepration in the boys' departments.
youngness |The quality or state of being young.
youngster |A young person; a youngling; a lad. [Colloq.] \"He felt himself quite a youngster, with a long life before him.\" G. Eliot.
youngth |Youth. [Obs.] Youngth is a bubble blown up with breath. Spenser.
youngthly |Pertaining to, or resembling, youth; youthful. [Obs.] Spenser. YOUNG WOMEN'S CHRISTIAN ASSOCIATION Young Women's Christian Association.  An organization for promoting the spiritual, intellectual, social, and economic welfare of young women, originating in 1855 with Lady Kinnaird's home for young women, and Miss Emma Robert's prayer union for young women,in England, which were combined in the year 1884 as a national association. Now nearly all the civilized countries, and esp. the United States, have local, national, and international organizations.
younker |A young person; a stripling; a yonker. [Obs. or Colloq.] That same younker soon was overthrown. Spenser.
youpon |Same as Yaupon.
your |The form of the possessive case of the personal pronoun you. Note: The possessive takes the form yours when the noun to which it refers is not expressed, but implied; as, this book is yours. \"An old fellow of yours.\" Chaucer.
yours |See the Note under Your.\n\nSee the Note under Your.
yourself |An emphasized or reflexive form of the pronoun of the second person; -- used as a subject commonly with you; as, you yourself shall see it; also, alone in the predicate, either in the nominative or objective case; as, you have injured yourself. Of which right now ye han yourselve heard. Chaucer. If yourselves are old, make it your cause. Shak. Why should you be so cruel to yourself Milton. The religious movement which you yourself, as well as I, so faithfully followed from first to last. J. H. Newman.
youth |1. The quality or state of being young; youthfulness; juvenility. \"In my flower of youth.\" Milton. Such as in his face Youth smiled celestial. Milton. 2. The part of life that succeeds to childhood; the period of existence preceding maturity or age; the whole early part of life, from childhood, or, sometimes, from infancy, to manhood. He wondered that your lordship Would suffer him to spend his youth at home. Shak. Those who pass their youth in vice are justly condemned to spend their age in folly. Rambler. 3. A young person; especially, a young man. Seven youths from Athens yearly sent. Dryden. 4. Young persons, collectively. It is fit to read the best authors to youth first. B. Jonson.
youthful |1. Not yet mature or aged; young. \"Two youthful knights.\" Dryden.  Also used figuratively. \"The youthful season of the year.\" Shak. 2. Of or pertaining to the early part of life; suitable to early life; as, youthful days; youthful sports. \"Warm, youthful blood.\" Shak. \"Youthful thoughts.\" Milton. 3. Fresh; vigorous, as in youth. After millions of millions of ages . . . still youthful and flourishing. Bentley. Syn. -- Puerile; juvenile. -- Youthful, Puerile, Juvenile. Puerile is always used in a bad sense, or at least in the sense of what is suitable to a boy only; as, puerile objections, puerile amusements, etc. Juvenile is sometimes taken in a bad sense, as when speaking of youth in contrast with manhood; as, juvenile tricks; a juvenile performance. Youthful is commonly employed in a good sense; as, youthful aspirations; or at least by way of extenuating; as, youthful indiscretions. \"Some men, imagining themselves possessed with a divine fury, often fall into toys and trifles, which are only puerilities.\" Dryden. \"Raw, juvenile writers imagine that, by pouring forth figures often, they render their compositions warm and animated.\" Blair. -- Youth\"ful*ly, adv. -- Youth\"ful*ness, n.
youthhood |The quality or state of being a youth; the period of youth. Cheyne.
youthly |Young; youthful. [Obs.] \"All my youthly days.\" Spenser.
youthsome |Youthful. [Obs.] Pepys.
youthy |Young. [Obs.] Spectator.
youze |The cheetah.
yow |You. [Obs.] Chaucer.
yowe |A ewe. [Prov. Eng. & Scot.] G. Eliot.
yowl |To utter a loud, long, and mournful cry, as a dog; to howl; to yell.\n\nA loud, protracted, and mournful cry, as that of a dog; a howl.
yowley |The European yellow-hammer. [Prov. Eng.]
yox |See Yex. [Obs.] Chaucer.
ypight |See Pight.
ypocras |Hippocras. [Obs.] Chaucer.
ypres lace |Fine bobbin lace made at Ypres in Belgium, usually exactly like Valenciennes lace.
ypsiliform |Resembling the
ypsiloid |In the form of the letter Y; Y-shaped.
yraft |Bereft. Chaucer.
yren |Iron. [Obs.] Chaucer.
yronne |Run. Chaucer.
ysame |Together. [Obs.] \"And in a bag all sorts of seeds ysame.\" Spenser.
yt |, an old method of printing that (AS. æt, edhæt) the \"y\" taking the place of the old letter \"Þ\"). Cf. Ye, the.\n\nan old method of printing that (AS. þæt, ðæt) the \"y\" taking the place of the old letter \"thorn\" (þ).  Cf. Ye, the.\n\nan old method of printing that (AS. þæt, ðæt) the \"y\" taking the place of the old letter \"thorn\" (þ).  Cf. Ye, the.
ythrowe |p. p. of Throw. Chaucer.
ytterbic |Pertaining to, or derived from, ytterbium; containing ytterbium.
ytterbium |A rare element of the boron group, sometimes associated with yttrium or other related elements, as in euxenite and gadolinite. Symbol Yb; provisional atomic weight 173.2. Cf. Yttrium. Note: Ytterbium is associated with other rare elements, and probably has not been prepared in a pure state.
yttria |The oxide, Y2O3, or earth, of yttrium.
yttric |Pertaining to, derived from, or containing, yttrium.
yttriferous |Bearing or containing yttrium or the allied elements; as, gadolinite is one of the yttriferous minerals.
yttrious |Same as Yttric.
yttrium |A rare metallic element of the boron-aluminium group, found in gadolinite and other rare minerals, and extracted as a dark gray powder. Symbol Y. Atomic weight, 89. [Written also ittrium.] Note: Associated with yttrium are certain rare elements, as erbium, ytterbium, samarium, etc., which are separated in a pure state with great difficulty. They are studied by means of their spark or phosphorescent spectra. Yttrium is now regarded as probably not a simple element, but as a mixture of several substances.
yttro-cerite |A mineral of a violet-blue color, inclining to gray and white. It is a hydrous fluoride of cerium, yttrium, and calcium.
yttro-columbite |A tantalate of uranium, yttrium, and calcium, of a brown or black color.
yttro-tantalite |A tantalate of uranium, yttrium, and calcium, of a brown or black color.
yu |Jade.
yucca |See Flicker, n., 2.\n\nA genus of American liliaceous, sometimes arborescent, plants having long, pointed, and often rigid, leaves at the top of a more or less woody stem, and bearing a large panicle of showy white blossoms. Note: The species with more rigid leaves (as Yucca aloifolia, Y. Treculiana, and Y. baccata) are called Spanish bayonet, and one with softer leaves (Y. filamentosa) is called bear grass, and Adam's needle. Yucca moth (Zoöl.), a small silvery moth (Pronuba yuccasella) whose larvæ feed on plants of the genus Yucca.
yucca borer |(a) A California boring weevil (Yuccaborus frontalis). (b) A large mothlike butterfly (Megathymus yuccæ) of the family Megatimidæ, whose larva bores in yucca roots.
yuck |To itch. [Prov. Eng.] Grose.\n\nTo scratch. [Prov. Eng.] Wright.
yuckel |Same as Yockel.
yuen |The crowned gibbon (Hylobates pileatus), native of Siam, Southern China, and the Island of Hainan. It is entirely arboreal in its habits, and has very long arms. the males are dark brown or blackish, with a caplike mass of long dark hair, and usually with a white band around the face. The females are yellowish white, with a dark spot on the breast and another on the crown. Called also wooyen, and wooyen ape.
yufts |Russia leather.
yug |Any one of the four ages, Krita, or Satya, Treta, Dwapara, and Kali, into which the Hindoos divide the duration or existence of the world.
yuga |Any one of the four ages, Krita, or Satya, Treta, Dwapara, and Kali, into which the Hindoos divide the duration or existence of the world.
yuke |Same as Yuck. [Prov. Eng.]
yulan |A species of Magnolia (M. conspicua) with large white blossoms that open before the leaves. See the Note under Magnolia.
yule |Christmas or Christmastide; the feast of the Nativity of our Savior. And at each pause they kiss; was never seen such rule In any place but here, at bonfire, or at Yule. Drayton. Yule block, or Yule log, a large log of wood formerly put on the hearth of Christmas eve, as the foundation of the fire. It was brought in with much ceremony. -- Yule clog, the yule log. Halliwell. W. Irving.
yuletide |Christmas time; Christmastide; the season of Christmas.
yuman |Designating, or pertaining to, an important linguistic stock of North American Indians of the southwestern United States and northwestern Mexico, nearly all agriculturists and adept potters and basket makers. Their usual dwelling is the brush wikiup, and in their native state they wear little clothing. The Yuma, Maricopa, Mohave, Walapi, and Yavapai are among the chief tribes, all of fine physique.
yumas |A tribe of Indians native of Arizona and the adjacent parts of Mexico and California. They are agricultural, and cultivate corn, wheat, barley, melons, etc. Note: The a wider sense, the term sometimes includes the Mohaves and other allied tribes.
yunca |An Indian of a linguistic stock of tribes of the Peruvian coast who had a developed agricultural civilization at the advent of the Spaniards, before which they had been conquered by the Incas. They constructed irrigation canals which are still in use, adorned their buildings with bas-reliefs and frescoes, and were skilled goldsmiths and silversmiths. -- Yun\"can (#), a.
yunx |A genus of birds comprising the wrynecks.
yupon |Same as Yaupon.
yux |See Yex, n. [Obs.]
yvel |Evil; ill. [Obs.] Chaucer.
ywar |Aware; wary. [Obs.] \"Be ywar, and his way shun.\" Piers Plowman.
ywis |Certainly; most likely; truly; probably. [Obs. or Archaic] \"Ywis,\" quod he, \"it is full dear, I say.\" Chaucer. She answered me, \"I-wisse, all their sport in the park is but a shadow to that pleasure that I find in Plato.\" Ascham. A right good knight, and true of word ywis. Spenser. Note: The common form iwis was often written with the prefix apart from the rest of the word and capitalized, as, I wis, I wisse, etc. The prefix was mistaken for the pronoun, I and wis, wisse, for a form of the verb wit to know. See Wis, and cf. Wit, to know. Our ship, I wis, Shall be of another form than this. Longfellow.
z |Z, the twenty-sixth and last letter of the English alphabet, is a vocal consonant. It is taken from the Latin letter Z, which came from the Greek alphabet, this having it from a Semitic source. The ultimate origin is probably Egyptian. Etymologically, it is most closely related to s, y, and j; as in glass, glaze; E. yoke, Gr. yugum; E. zealous, jealous. See Guide to Pronunciation, §§ 273, 274.
