skag |An additional piece fastened to the keel of a boat to prevent lateral motion. See Skeg.
skull |A school, company, or shoal. [Obs.] A knavish skull of boys and girls did pelt at him. Warner. These fishes enter in great flotes and skulls. Holland.\n\n1. (Anat.)  The skeleton of the head of a vertebrate animal, including the brain case, or cranium, and the bones and cartilages of the face and mouth. See Illusts. of Carnivora, of Facial angles under Facial, and of Skeleton, in Appendix. Note: In many fishes the skull is almost wholly cartilaginous but in the higher vertebrates it is more or less completely ossified, several bones are developed in the face, and the cranium is made up, wholly or partially, of bony plates arranged in three segments, the frontal, parietal, and occipital, and usually closely united in the adult. 2. The head or brain; the seat of intelligence; mind. Skulls that can not teach, and will not learn. Cowper. 3. A covering for the head; a skullcap. [Obs. & R.] Let me put on my skull first. Beau & Fl. 4. A sort of oar. See Scull. Skull and crossbones, a symbol of death. See Crossbones.
skullcap |1. A cap which fits the head closely; also, formerly, a headpiece of iron sewed inside of a cap for protection. 2. (Bot.)  Any plant of the labiate genus Scutellaria, the calyx of whose flower appears, when inverted, like a helmet with the visor raised. 3. (Zoöl.)  The Lophiomys. Mad-dog skullcap (Bot.), an American herb (Scetellaria lateriflora) formerly prescribed as a cure for hydrophobia.
skullfish |A whaler's name for a whale more than two years old.
skulpin |See Sculpin.
skun |See Scum.
skunk |Any one of several species of American musteline carnivores of the genus Mephitis and allied genera. They have two glands near the anus, secreting an extremely fetid liquid, which the animal ejects at pleasure as a means of defense. Note: The common species of the Eastern United States (Mephitis mephitica) is black with more or less white on the body and tail. The spotted skunk (Spilogale putorius), native of the Southwestern United States and Mexico, is smaller than the common skunk, and is variously marked with black and white. Skunk bird, Skunk blackbird (Zoöl.), the bobolink; -- so called because the male, in the breeding season, is black and white, like a skunk. -- Skunk cabbage (Bot.), an American aroid herb (Symplocarpus foetidus) having a reddish hornlike spathe in earliest spring, followed by a cluster of large cabbagelike leaves. It exhales a disagreeable odor. Also called swamp cabbage. -- Skunk porpoise. (Zoöl.) See under Porpoise.\n\nIn games of chance and skill: To defeat (an opponent) (as in cards) so that he fails to gain a point, or (in checkers) to get a king. [Colloq.  U. S.]
skunkball |The surf duck.
skunkhead |(a) The surf duck. (b) A duck (Camptolaimus Labradorus) which formerly inhabited the Atlantic coast of New England. It is now supposed to be extinct. Called also Labrador duck, and pied duck.
skunkish |Like the skunk, especially in odor.
skunktop |The surf duck.
skunkweed |Skunk cabbage.
skurry |See Scurry.
skute |A boat; a small vessel. [Obs.] Sir R. Williams.
skutterudite |A mineral of a bright metallic luster and tin-white to pale lead-gray color. It consist of arsenic and cobalt.
sky |1. A cloud. [Obs.] [A wind] that blew so hideously and high, That it ne lefte not a sky In all the welkin long and broad. Chaucer. 2. Hence, a shadow. [Obs.] She passeth as it were a sky. Gower. 3. The apparent arch, or vault, of heaven, which in a clear day is of a blue color; the heavens; the firmament; -- sometimes in the plural. The Norweyan banners flout the sky. Shak. 4. The wheather; the climate. Thou wert better in thy grave than to answer with thy uncovered body this extremity of the skies. Shak. Note: Sky is often used adjectively or in the formation of self- explaining compounds; as, sky color, skylight, sky-aspiring, sky- born, sky-pointing, sky-roofed, etc. Sky blue, an azure color. -- Sky scraper (Naut.), a skysail of a triangular form. Totten. -- Under open sky, out of doors. \"Under open sky adored.\" Milton.\n\n1. To hang (a picture on exhibition) near the top of a wall, where it can not be well seen. [Colloq.] Brother Academicians who skied his pictures. The Century. 2. To throw towards the sky; as, to sky a ball at cricket. [Colloq.]
sky pilot |A person licensed as a pilot. [Slang]
sky-blue |Having the blue color of the sky; azure; as, a sky-blue stone. Wordsworth.
sky-high |, adv. & a. Very high. [Colloq.]
skye terrier |See Terrier.
skyed |Surrounded by sky. [Poetic & R.] \"The skyed mountain.\" Thomson.
skyey |Like the sky; ethereal; being in the sky. \"Skyey regions.\" Thackeray. Sublime on the towers of my skyey bowers, Lightning, my pilot, sits. Shelley.
skyish |Like the sky, or approaching the sky; lofty; ethereal. [R.] Shak.
skylark |A lark that mounts and sings as it files, especially the common species (Alauda arvensis) found in Europe and in some parts of Asia, and celebrated for its melodious song; -- called also sky laverock. See under Lark. Note: The Australian skylark (Cincloramphus cantillans) is a pipit which has the habit of ascending perpendicularly like a skylark, but it lacks the song of a true lark. The Missouri skylark is a pipit (Anthus Spraguei) of the Western United States, resembling the skylark in habit and song.
skylarking |The act of running about the rigging of a vessel in sport; hence, frolicking; scuffing; sporting; carousing. [Colloq.]
skylight |A window placed in the roof of a building, in the ceiling of a room, or in the deck of a ship, for the admission of light from above.
skyman |An aëronaut. [Slang]
skyrocket |A rocket that ascends high and burns as it flies; a species of fireworks.
skysail |The sail set next above the royal. See Illust. under Sail.
skyscraper |(a) (Naut.) (1) A skysail of a triangular form. [Rare] (2)  A name for the one of the fancy sails alleged to have been sometimes set above the skysail. [Obs.] (b) A very tall building. (c) Hence, anything usually large, high, or excessive. [Slang or Colloq.]
skyward |Toward the sky.
slab |1. A thin piece of anything, especially of marble or other stone, having plane surfaces. Gwilt. 2. An outside piece taken from a log or timber in sawing it into boards, planks, etc. 3. (Zoöl.)  The wryneck. [Prov. Eng.] 4. (Naut.)  The slack part of a sail. Slab line (Naut.), a line or small rope by which seamen haul up the foot of the mainsail or foresail. Totten.\n\nThick; viscous. [Obs.] Make the gruel thick and slab. Shak.\n\nThat which is slimy or viscous; moist earth; mud; also, a puddle. [Obs.] Evelyn.
slab-sided |Having flat sides; hence, tall, or long and lank. [Colloq. U. S.]
slabber |To let saliva or some liquid fall from the mouth carelessly, like a child or an idiot; to drivel; to drool. [Written also slaver, and slobber.]\n\n1. To wet and foul spittle, or as if with spittle. He slabbered me over, from cheek to cheek, with his great tongue. Arbuthnot. 2. To spill liquid upon; to smear carelessly; to spill, as liquid foed or drink, in careless eating or drinking. The milk pan and cream pot so slabbered and tost That butter is wanting and cheese is half lost. Tusser.\n\nSpittle; saliva; slaver.\n\n(a) A saw for cutting slabs from logs. (b) A slabbing machine.
slabberer |One who slabbers, or drools; hence, an idiot.
slabbery |Like, or covered with, slabber or slab; slippery; sloppy.
slabbiness |Quality of being slabby.
slabbing |Adapted for forming slabs, or for dressing flat surfaces. Slabbing machine, a milling machine.
slabby |1. Thick; viscous. They present you with a cup, and you must drink of a slabby stuff. Selden. 2. Sloppy; slimy; miry. See Sloppy. Gay.
slack |Small coal; also, coal dust; culm. Raymond.\n\nA valley, or small, shallow dell. [Prov. Eng.] Grose.\n\nLax; not tense; not hard drawn; not firmly extended; as, a slack rope. 2. Weak; not holding fast; as, a slack hand. Milton. 3. Remiss; backward; not using due diligence or care; not earnest or eager; as, slack in duty or service. The Lord is not slack concerning his promise, as some men count slackness. 2 Pet. iii. 9. 4. Not violent, rapid, or pressing; slow; moderate; easy; as, business is slack. \"With slack pace.\" Chaucer. Cslack southwest, at midnight was becalmed. Milton. Slack in stays (Naut.), slow in going about, as a ship. -- Slack water, the time when the tide runs slowly, or the water is at rest; or the interval between the flux and reflux of the tide. -- Slack-water navigation, navigation in a stream the depth of which has been increased, and the current diminished, by a dam or dams. Syn. -- Loose; relaxed; weak; remiss; backward; abated; diminished; inactive; slow; tardy; dull.\n\nSlackly; as, slack dried hops.\n\nThe part of anything that hangs loose, having no strain upon it; as, the slack of a rope or of a sail.\n\n1. To become slack; to be made less tense, firm, or rigid; to decrease in tension; as, a wet cord slackens in dry weather. 2. To be remiss or backward; to be negligent. 3. To lose cohesion or solidity by a chemical combination with water; to slake; as, lime slacks. 4. To abate; to become less violent. Whence these raging fires Will slacken, if his breath stir not their flames. Milton. 5. To lose rapidity; to become more slow; as, a current of water slackens. 6. To languish; to fail; to flag. 7. To end; to cease; to desist; to slake. [Obs.] That through your death your lineage should slack. Chaucer. They will not of that firste purpose slack. Chaucer.\n\n1. To render slack; to make less tense or firm; as, to slack a rope; to slacken a bandage. Wycklif (Acts xxvii. 40) 2. To neglect; to be remiss in. [Obs.] Shak. Slack not the pressage. Dryden. 3. To deprive of cohesion by combining chemically with water; to slake; as, to slack lime. 4. To cause to become less eager; to repress; to make slow or less rapid; to retard; as, to slacken pursuit; to slacken industry. \"Rancor for to slack.\" Chaucer. I should be grieved, young prince, to think my presence Unbent your thoughts, and slackened 'em to arms. Addison. In this business of growing rich, poor men should slack their pace. South. With such delay Well plased, they slack their course. Milton. 5. To cause to become less intense; to mitigate; to abate; to ease. To respite, or deceive, or slack thy pain Of this ill mansion. Milton. Air-slacked lime, lime slacked by exposure to the air, in consequence of the absorption of carton dioxide and water, by which it is converted into carbonate of lime and hydrate of lime.
slacken |1. To become slack; to be made less tense, firm, or rigid; to decrease in tension; as, a wet cord slackens in dry weather. 2. To be remiss or backward; to be negligent. 3. To lose cohesion or solidity by a chemical combination with water; to slake; as, lime slacks. 4. To abate; to become less violent. Whence these raging fires Will slacken, if his breath stir not their flames. Milton. 5. To lose rapidity; to become more slow; as, a current of water slackens. 6. To languish; to fail; to flag. 7. To end; to cease; to desist; to slake. [Obs.] That through your death your lineage should slack. Chaucer. They will not of that firste purpose slack. Chaucer.\n\n1. To render slack; to make less tense or firm; as, to slack a rope; to slacken a bandage. Wycklif (Acts xxvii. 40) 2. To neglect; to be remiss in. [Obs.] Shak. Slack not the pressage. Dryden. 3. To deprive of cohesion by combining chemically with water; to slake; as, to slack lime. 4. To cause to become less eager; to repress; to make slow or less rapid; to retard; as, to slacken pursuit; to slacken industry. \"Rancor for to slack.\" Chaucer. I should be grieved, young prince, to think my presence Unbent your thoughts, and slackened 'em to arms. Addison. In this business of growing rich, poor men should slack their pace. South. With such delay Well plased, they slack their course. Milton. 5. To cause to become less intense; to mitigate; to abate; to ease. To respite, or deceive, or slack thy pain Of this ill mansion. Milton. Air-slacked lime, lime slacked by exposure to the air, in consequence of the absorption of carton dioxide and water, by which it is converted into carbonate of lime and hydrate of lime.\n\nA spongy, semivitrifled substance which miners or smelters mix with the ores of metals to prevent their fusion. [Written also slakin.]
slackly |In a slack manner. Trench.
slackness |The quality or state of being slack.
slade |1. A little dell or valley; a flat piece of low, moist ground. [Obs.] Drayton. 2. The sole of a plow.
slag |1. The dross, or recrement, of a metal; also, vitrified cinders. 2. The scoria of a volcano. Slag furnace, or Slag hearth (Metal.), a furnace, or hearth, for extracting lead from slags or poor ore. -- Slag wool, mineral wool. See under Mineral.
slaggy |Of or pertaining to slag; resembling slag; as, slaggy cobalt.
slaie |A weaver's reed; a sley.
slake |1. To allay; to quench; to extinguish; as, to slake thirst. \"And slake the heavenly fire.\" Spenser. It could not slake mine ire nor ease my heart. Shak. 2. To mix with water, so that a true chemical combination shall take place; to slack; as, to slake lime.\n\n1. To go out; to become extinct. \"His flame did slake.\" Sir T. Browne. 2. To abate; to become less decided. [R.] Shak. 3. To slacken; to become relaxed. \"When the body's strongest sinews slake.\" [R.] Sir J. Davies. 4. To become mixed with water, so that a true chemical combination takes place; as, the lime slakes. Slake trough, a trough containing water in which a blacksmith cools a forging or tool.
slakeless |Not capable of being slaked.
slakin |Slacken.
slam |1. To shut with force and a loud noise; to bang; as, he slammed the door. 2. To put in or on some place with force and loud noise; -- usually with down; as, to slam a trunk down on the pavement. 3. To strike with some implement with force; hence, to beat or cuff. [Prov. Eng.] 4. To strike down; to slaughter. [Prov. Eng.] 5. To defeat (opponents at cards) by winning all the tricks of a deal or a hand. Hoyle. To slam to, to shut or close with a slam. \"He slammed to the door.\" W. D. Howells.\n\nTo come or swing against something, or to shut, with sudden force so as to produce a shock and noise; as, a door or shutter slams.\n\n1. The act of one who, or that which, slams. 2. The shock and noise produced in slamming. The slam and the scowl were lost upon Sam. Dickens. 3. (Card Playing)  Winning all the tricks of a deal. 4. The refuse of alum works. [Prov. Eng.]
slam-bang |With great violence; with a slamming or banging noise. [Colloq.]
slamkin |A slut; a slatternly woman. [Obs. or Prov. Eng.]
slammerkin |A slut; a slatternly woman. [Obs. or Prov. Eng.]
slander |1. A false tale or report maliciously uttered, tending to injure the reputation of another; the malicious utterance of defamatory reports; the dissemination of malicious tales or suggestions to the injury of another. Whether we speak evil of a man to his face or behind his back; the former way, indeed, seems to be the most generous, but yet is a great fault, and that which we call \"reviling;\" the latter is more mean and base, and that which we properly call \"slander\| or \"Backbiting.\" Tillotson. [We] make the careful magistrate The mark of slander. B. Jonson. 2. Disgrace; reproach; dishonor; opprobrium. Thou slander of thy mother's heavy womb. Shak. 3. (Law)  Formerly| defamation generally| whether oral or written; in modern usage| defamation by words spoken; utterance of false| malicious| and defamatory words| tending to the damage and derogation of another; calumny. See the Note under Defamation. Burril.\n\n1. To defame; to injure by maliciously uttering a false report; to tarnish or impair the reputation of by false tales maliciously told or propagated; to calumniate. O| do not slander him| for he is kind. Shak. 2. To bring discredit or shame upon by one's acts. Tax not so bad a voice To slander music any more than once. Shak. Syn. -- To asperse; defame; calumniate; vilify; malign; belie; scandalize; reproach. See Asperse."
slanderer |One who slanders; a defamer; a calumniator. Jer. Taylor.
slanderous |1. Given or disposed to slander; uttering slander. \"Slanderous tongue.\" Shak. 2. Embodying or containing slander; calumnious; as, slanderous words, speeches, or reports. -- Slan\"der*ous*ly, adv. -- Slan\"der*ous*ness, n.
slang |imp. of Sling. Slung. [Archaic]\n\nAny long, narrow piece of land; a promontory. [Local, Eng.] Holland.\n\nA fetter worn on the leg by a convict. [Eng.]\n\nLow, vulgar, unauthorized language; a popular but unauthorized word, phrase, or mode of expression; also, the jargon of some particular calling or class in society; low popular cant; as, the slang of the theater, of college, of sailors, etc.\n\nTo address with slang or ribaldry; to insult with vulgar language. [Colloq.] Every gentleman abused by a cabman or slanged by a bargee was bound there and then to take off his coat and challenge him to fisticuffs. London Spectator.
slang-whanger |One who uses abusive slang; a ranting partisan. [Colloq. or Humorous] W. Irving.
slanginess |Quality of being slangy.
slangous |Slangy. [R.] John Bee.
slangy |Of or pertaining to slang; of the nature of slang; disposed to use slang. [Written also slangey.]
slank |imp. & p. p. of Slink.
slant |To be turned or inclined from a right line or level; to lie obliquely; to slope. On the side of younder slanting hill. Dodsley.\n\nTo turn from a direct line; to give an oblique or sloping direction to; as, to slant a line.\n\n1. A slanting direction or plane; a slope; as, it lies on a slant. 2. An oblique reflection or gibe; a sarcastic remark. Slant or wind, a local variation of the wind from its general direction.\n\nInclined from a direct line, whether horizontal or perpendicular; sloping; oblique. \"The slant lightning.\" Milton.
slanting |Oblique; sloping. -- Slant\"ing*ly, adv.
slantly |In an inclined direction; obliquely; slopingly.
slantwise |In an inclined direction; obliquely; slopingly.
slap |A blow, esp. one given with the open hand, or with something broad.\n\nTo strike with the open hand, or with something broad.\n\nWith a sudden and violent blow; hence, quickly; instantly; directly. [Colloq.] \"The railroad cars drive slap into the city.\" Thackeray.
slapdash |1. In a bold, careless manner; at random. [Colloq.] 2. With a slap; all at once; slap. [Colloq.] Prior.\n\nTo apply, or apply something to, in a hasty, careless, or rough manner; to roughcast; as, to slapdash mortar or paint on a wall, or to slapdash a wall. [Colloq.] Halliwell.
slape |Slippery; smooth; crafty; hypocritical. [Prov. Eng.] Slape ale, plain ale, as opposed to medicated or mixed ale. [Prov. Eng.]
slapeface |A soft-spoken, crafty hypocrite. [Prov. Eng.] Halliwell.
slapjack |A flat batter cake cooked on a griddle; a flapjack; a griddlecake. [Local, U.S.]
slapper |1. One who, or that which, slaps. 2. Anything monstrous; a whopper. [Slang] Grose.\n\nVery large; monstrous; big. [Slang.]
slapping |Very large; monstrous; big. [Slang.]
slash |1. To cut by striking violently and at random; to cut in long slits. 2. To lash; to ply the whip to. [R.] King. 3. To crack or snap, as a whip. [R.] Dr. H. More.\n\nTo strike violently and at random, esp. with an edged instrument; to lay about one indiscriminately with blows; to cut hastily and carelessly. Hewing and slashing at their idle shades. Spenser.\n\n1. A long cut; a cut made at random. 2. A large slit in the material of any garment, made to show the lining through the openings. 3. Etym: [Cf. Slashy.] pl.  Swampy or wet lands overgrown with bushes. [Local, U.S.] Bartlett.
slash pine |A kind of pine tree (Pinus Cubensis) found in Southern Florida and the West Indies; -- so called because it grows in \"slashes.\",
  "amphiscians |The inhabitants of the tropic, whose shadows in one part of the year are cast to the north, and in the other to the south, according as the sun is south or north of their zenith.
slashed |1. Marked or cut with a slash or slashes; deeply gashed; especially, having long, narrow openings, as a sleeve or other part of a garment, to show rich lining or under vesture. A gray jerkin, with scarlet and slashed sleeves. Sir W. Scott. 2. (Bot.)  Divided into many narrow parts or segments by sharp incisions; laciniate.
slasher |A machine for applying size to warp yarns.
slashy |Wet and dirty; slushy. [Prov. Eng.]
slat |A thin, narrow strip or bar of wood or metal; as, the slats of a window blind.\n\n1. To slap; to strike; to beat; to throw down violently. [Prov. Eng. & Colloq. U.S.] How did you kill him Slat[t]ed his brains out. Marston. 2. To split; to crack. [Prov. Eng.] Halliwell. 3. To set on; to incite. See 3d Slate. [Prov. Eng.]
slatch |(a) The period of a transitory breeze. (b) An interval of fair weather. (c) The loose or slack part of a rope; slack.
slate |1. (Min.)  An argillaceous rock which readily splits into thin plates; argillite; argillaceous schist. 2. Any rock or stone having a slaty structure. 3. A prepared piece of such stone. Especially: (a) A thin, flat piece, for roofing or covering houses, etc. (b) A tablet for writing upon. 4. An artificial material, resembling slate, and used for the above purposes. 5. A thin plate of any material; a flake. [Obs.] 6. (Politics)  A list of candidates, prepared for nomination or for election; a list of candidates, or a programme of action, devised beforehand. [Cant, U.S.] Bartlett. Adhesive slate (Min.), a kind of slate of a greenish gray color, which absorbs water rapidly, and adheres to the tongue; whence the name. -- Aluminous slate, or Alum slate (Min.), a kind of slate containing sulphate of alumina, -- used in the manufacture of alum. -- Bituminous slate (Min.), a soft species of sectile clay slate, impregnated with bitumen. -- Hornblende slate (Min.), a slaty rock, consisting essentially of hornblende and feldspar, useful for flagging on account of its toughness. -- Slate ax or axe, a mattock with an ax end, used in shaping slates for roofs, and making holes in them for the nails. -- Slate clay (Geol.), an indurated clay, forming one of the alternating beds of the coal measures, consisting of an infusible compound of alumina and silica, and often used for making fire bricks. Tomlinson. -- Slate globe, a globe the surface of which is made of an artificial slatelike material. -- Slate pencil, a pencil of slate, or of soapstone, used for writing on a slate. -- Slate rocks (Min.), rocks which split into thin laminæ, not necessarily parallel to the stratification; foliated rocks. -- Slate spar (Min.), a variety of calcite of silvery white luster and of a slaty structure. -- Transparent slate, a plate of translucent material, as ground glass, upon which a copy of a picture, placed beneath it, can be made by tracing.\n\n1. To cover with slate, or with a substance resembling slate; as, to slate a roof; to slate a globe. 2. To register (as on a slate and subject to revision), for an appointment. [Polit. Cant]\n\nTo set a dog upon; to bait; to slat. See 2d Slat, 3. [Prov. Eng. & Scot.] [Written also slete.] Ray.
slate-color |A dark bluish gray color.
slate-gray |Of a dark gray, like slate.
slater |One who lays slates, or whose occupation is to slate buildings.\n\nAny terrestrial isopod crustacean of the genus Porcellio and allied genera; a sow bug.
slating |1. The act of covering with slate, slates, or a substance resembling slate; the work of a slater. 2. Slates, collectively; also, material for slating.
slatt |A slab of stone used as a veneer for coarse masonry. Knight.
slatter |To be careless, negligent, or aswkward, esp. with regard to dress and neatness; to be wasteful. Ray.
slattern |A woman who is negligent of her dress or house; one who is not neat and nice.\n\nResembling a slattern; sluttish; slatterny. \"The slattern air.\" Gay.\n\nTo consume carelessly or wastefully; to waste; -- with away. [R.] Chesterfield.
slatternliness |The quality or state of being slatternly; slovenliness; untidiness.
slatternly |Resembling a slattern; sluttish; negligent; dirty. -- adv.  In a slatternly manner.
slatterpouch |A dance or game played by boys, requiring active exercise. [Obs.] Gayton.
slatting |Slats, collectively.\n\nThe violent shaking or flapping of anything hanging loose in the wind, as of a sail, when being hauled down.
slaty |Resembling slate; having the nature, appearance, or properties, of slate; composed of thin parallel plates, capable of being separated by splitting; as, a slaty color or texture. Slaty cleavage (Min.), cleavage, as of rocks, into thin leaves or plates, like those of slate; -- applied especially to those cases in which the planes of cleavage are not parallel to the planes of stratification. It is now believed to be caused by the compression which the strata have undergone. -- Slaty gneiss (Min.), a variety of gneiss in which the scales of mica or crystals of hornblende, which are usually minute, form thin laminæ, rendering the rock easily cleavable.
slaughter |The act of killing. Specifically: (a) The extensive, violent, bloody, or wanton destruction of life; carnage. On war and mutual slaughter bent. Milton. (b) The act of killing cattle or other beasts for market. Syn. -- Carnage; massacre; butchery; murder; havoc.\n\n1. To visit with great destruction of life; to kill; to slay in battle. Your castle is surprised; your wife and babes Savagely slaughtered. Shak. 2. To butcher; to kill for the market, as beasts.
slaughterer |One who slaughters.
slaughterhouse |A house where beasts are butchered for the market.
slaughterman |One employed in slaughtering. Shak.
slaughterous |Destructive; murderous. Shak. M. Arnold. -- Slaugh\"ter*ous*ly, adv.
slav |One of a race of people occupying a large part of Eastern and Northern Europe, including the Russians, Bulgarians, Roumanians, Servo-Croats, Slovenes, Poles, Czechs, Wends or Sorbs, Slovaks, etc. [Written also Slave, and Sclav.]
slave |See Slav.\n\n1. A person who is held in bondage to another; one who is wholly subject to the will of another; one who is held as a chattel; one who has no freedom of action, but whose person and services are wholly under the control of another. thou our slave, Our captive, at the public mill our drudge Milton. 2. One who has lost the power of resistance; one who surrenders himself to any power whatever; as, a slave to passion, to lust, to strong drink, to ambition. 3. A drudge; one who labors like a slave. 4. An abject person; a wretch. Shak. Slave ant (Zoöl.), any species of ants which is captured and enslaved by another species, especially Formica fusca of Europe and America, which is commonly enslaved by Formica sanguinea. -- Slave catcher, one who attempted to catch and bring back a fugitive slave to his master. -- Slave coast, part of the western coast of Africa to which slaves were brought to be sold to foreigners. -- Slave driver, one who superintends slaves at their work; hence, figuratively, a cruel taskmaster. -- Slave hunt. (a) A search after persons in order to reduce them to slavery. Barth. (b) A search after fugitive slaves, often conducted with bloodhounds. -- Slave ship, a vessel employed in the slave trade or used for transporting slaves; a slaver. -- Slave trade, the busines of dealing in slaves, especially of buying them for transportation from their homes to be sold elsewhere. -- Slave trader, one who traffics in slaves. Syn. -- Bond servant; bondman; bondslave; captive; henchman; vassal; dependent; drudge. See Serf.\n\nTo drudge; to toil; to labor as a slave.\n\nTo enslave. Marston.
slaveborn |Born in slavery.
slaveholder |One who holds slaves.
slaveholding |Holding persons in slavery.
slaveocracy |See Slavocracy.
slaver |1. A vessel engaged in the slave trade; a slave ship. 2. A person engaged in the purchase and sale of slaves; a slave merchant, or slave trader. The slaver's hand was on the latch, He seemed in haste to go. Longfellow.\n\n1. To suffer spittle, etc., to run from the mouth. 2. To be besmeared with saliva. Shak.\n\nTo smear with saliva issuing from the mouth; to defile with drivel; to slabber.\n\nSaliva driveling from the mouth. Of all mad creatures, if the learned are right, It is the slaver kills, and not the bite. Pope.
slaverer |A driveler; an idiot.
slavering |Drooling; defiling with saliva. -- Slav\"er*ing*ly, adv.
slavery |1. The condition of a slave; the state of entire subjection of one person to the will of another. Disguise thyself as thou wilt, still, slavery, said I, still thou art a bitter draught! Sterne. I wish, from my soul, that the legislature of this state [Virginia] could see the policy of a gradual abolition of slavery. It might prevent much future mischief. Washington. 2. A condition of subjection or submission characterized by lack of freedom of action or of will. The vulgar slaveries rich men submit to. C. Lever. There is a slavery that no legislation can abolish, -- the slavery of caste. G. W. Cable. 3. The holding of slaves. Syn. -- Bondage; servitude; inthrallment; enslavement; captivity; bond service; vassalage.
slavey |A maidservant. [Colloq. & Jocose Eng.]
slavic |Slavonic. -- n.  The group of allied languages spoken by the Slavs.
slavish |Of or pertaining to slaves; such as becomes or befits a slave; servile; excessively laborious; as, a slavish life; a slavish dependance on the great. -- Slav\"ish*ly, adv. -- Slav\"ish*ness, n.
slavism |The common feeling and interest of the Slavonic race.
slavocracy |The persons or interest formerly representing slavery politically, or wielding political power for the preservation or advancement of slavery. [U. S.]
slavonian |1. Of or pertaining to Slavonia, or its inhabitants. 2. Of or pertaining to the Slavs, or their language.\n\nA native or inhabitant of Slavonia; ethnologically, a Slav.
slavonic |1. Of or pertaining to Slavonia, or its inhabitants. 2. Of or pertaining to the Slavs, or their language.
slavophil |One, not being a Slav, who is interested in the development and prosperity of that race.
slavophile |One, not being a Slav, who is interested in the development and prosperity of that race.
slaw |Sliced cabbage served as a salad, cooked or uncooked.\n\np. p. of Slee, to slay. With a sword drawn out he would have slaw himself. Wyclif (Acts xvi. 27.)
slawen |p. p. of Slee, to slay. With a sword drawn out he would have slaw himself. Wyclif (Acts xvi. 27.)
slay |To put to death with a weapon, or by violence; hence, to kill; to put an end to; to destroy. With this sword then will I slay you both. Chaucer. I will slay the last of them with the sword. Amos ix. 1. I'll slay more gazers than the basilisk. Shak. Syn. -- To kill; murder; slaughter; butcher.
slayer |One who slays; a killer; a murderer; a destrroyer of life.
slazy |See Sleazy.
sle |To slay. [Obs.] Chaucer.
sleave |(a) The knotted or entangled part of silk or thread. (b) Silk not yet twisted; floss; -- called also sleave silk. Sleep that knits up the ravell'd sleave of care. Shak.\n\nTo separate, as threads; to divide, as a collection of threads; to sley; -- a weaver's term.
sleaved |Raw; not spun or wrought; as, sleaved thread or silk. Holinshed.
sleaziness |Quality of being sleazy.
sleazy |Wanting firmness of texture or substance; thin; flimsy; as, sleazy silk or muslin. [Spelt also slazy.]
sled |1. A vehicle on runners, used for conveying loads over the snow or ice; -- in England called sledge. 2. A small, light vehicle with runners, used, mostly by young persons, for sliding on snow or ice.\n\nTo convey or transport on a sled; as, to sled wood or timber.
sledding |1. The act of transporting or riding on a sled. 2. The state of the snow which admits of the running of sleds; as, the sledding is good.
sledge |1. A strong vehicle with low runners or low wheels; or one without wheels or runners, made of plank slightly turned up at one end, used for transporting loads upon the snow, ice, or bare ground; a sled. 2. A hurdle on which, formerly, traitors were drawn to the place of execution. [Eng.] Sir W. Scott. 3. A sleigh. [Eng.] 4. A game at cards; -- called also old sledge, and all fours.\n\nTo travel or convey in a sledge or sledges. Howitt.\n\nA large, heavy hammer, usually wielded with both hands; -- called also sledge hammer. With his heavy sledge he can it beat. Spenser.
slee |To slay. [Obs.] Chaucer.
sleek |1. Having an even, smooth surface; smooth; hence, glossy; as, sleek hair. Chaucer. So sleek her skin, so faultless was her make. Dryden. 2. Not rough or harsh. Those rugged names to our like mouths grow sleek. Milton.\n\nWith ease and dexterity. [Low]\n\nThat which makes smooth; varnish. [R.]\n\nTo make even and smooth; to render smooth, soft, and glossy; to smooth over. Sleeking her soft alluring locks. Milton. Gentle, my lord, sleek o'er your rugged looks. Shak.
sleekly |In a sleek manner; smoothly.
sleekness |The quality or state of being sleek; smoothness and glossiness of surface.
sleeky |1. Of a sleek, or smooth, and glossy appearance. Thomson. 2. Fawning and deceitful; sly. [Scot.]
